,cid,votes,含love,含love中文翻译
22784,UgwbW0QYhT8cIrfODzh4AaABAg,292,hi granny!!! who else loves granny and wants to hug her?,嗨，奶奶！！！还有谁爱奶奶，想拥抱她？
34722,UgwEvpOvh9kcPGJ57Mh4AaABAg,279,"thank you for your hard work and effort to make us happy, love you♥️",感谢您的辛勤工作和努力使我们快乐，爱你♥️
34601,Ugyt6byGBsMbKGaiKiV4AaABAg,264,we northeast indians can relate to your content on another level. the simple yet sustainable lifestyle is the way to go. lots of love to you.,我们东北印第安人可以在另一个层面上与您的内容联系起来。简单而可持续的生活方式是必经之路。对你有很多爱。
33469,Ugxi62w6Jt8MlO_OpJl4AaABAg,260,i always forget she lives in the modern world with us. so lovely,我总是忘记她和我们一起生活在现代世界中。太可爱了
30750,UgxRQa4A-PaXviCB9Xx4AaABAg,253,it's bamboo. there are many pandas not too far from where she lives. i'm sure pandas love to try her bamboo dish too.,是竹子。有很多熊猫离她的住所不远。我敢肯定，大熊猫也喜欢尝试她的竹菜。
35351,Ugz1sIYY5K8sxHEOe7d4AaABAg,212,"can't believe early to watch her video 
.
.
omg this is my 1st time comment since i've been watching all of her videos, tq for 'ur thumbs up guys! i know this is cuz of ziqi's lovers!","不敢相信她的视频
。
。
天哪，这是我第一次评论，因为我一直在观看她的所有视频，即“您的大拇指”的TQ！我知道这是Ziqi恋人的Cuz！"
894,UgxNOT4KkfpEcUdYBct4AaABAg,191,i love the way when she finish cooking her grandmother comes out to enjoy the meal. her grandmother is a star!,当她结束祖母来享用这顿饭时，我喜欢她的道路。她的祖母是明星！
31588,UgwXcDyacnoVwyUcMid4AaABAg,189,"dear miss lizqi , the bamboo forest looks wonderful , there is always true beauty captured in every amazing video that you make. i wish you mighty blessing to you and your loving grandmother. please continue to share your vast wisdom with us all around the world. the videos you make are truly priceless , the love , the beauty and the healthy life style that you promote is amazing indeed. you help many people to find peace , joy and true releif from the hardships of this life. thanks miss lizqi for you are a wonderful gift to us all. may god bless your videos always. your friend from canada!!!!!!!!!!!!!!!!!!!!!!!!!",亲爱的利兹小姐，竹林看起来很棒，在您制作的每一个令人惊叹的视频中，总会捕捉到真正的美丽。我希望您对您和您充满爱心的祖母祝福。请继续与世界各地的我们分享您的巨大智慧。您制作的视频确实是无价的，您推广的爱，美丽和健康的生活方式确实令人惊讶。您可以帮助许多人从今生的艰辛中找到和平，喜悦和真实的宗教。感谢Lizqi小姐为您提供给我们所有人的美好礼物。愿上帝永远保佑您的视频。您来自加拿大的朋友!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
24866,Ugz732P_cYX2F7Gyz7h4AaABAg,184,i don't know what brings me here but i love watching all the videos in this channel. amazing!,我不知道是什么把我带到这里，但我喜欢观看此频道中的所有视频。惊人的！
4948,Ugy1y5WjXHJu-zCvt2h4AaABAg,181,"she has an unconditional love for her grandmother, taking care of her and feeding her with healthy nutritious home cooking",她对祖母有无条件的爱，照顾她，并为她提供健康的营养家庭烹饪
23472,Ugyemwddq3XxO4I_VYp4AaABAg,168,"hello, greetings from peru south america, i watch your videos and every time i love your lifestyle, they are so relaxing the life you lead, i wish you many successes ...",您好，来自秘鲁南美洲的问候，我看着您的视频，每次我爱您的生活方式时，他们都会如此放松您的生活，希望您能取得许多成功...
19039,Ugxx0C0wczLWx2DIaoJ4AaABAg,159,"i just love asian food. last year i visited the philippines for 3 weeks. my next stop will definitely will be japan, china or korea. asian people are so friendly and kind.",我只是喜欢亚洲美食。去年，我访问了菲律宾3周。我的下一站肯定会是日本，中国或韩国。亚洲人是如此友好和友善。
17962,Ugw6czK9Xf25b4E83At4AaABAg,150,this is the best channel to introduce chinese culture. i love to learn chinese culture from here.,这是介绍中国文化的最佳渠道。我喜欢从这里学习中国文化。
33384,UgwyyTX_11oSpbqFpYl4AaABAg,139,"3 new videos in a week? 
wow!! i feel like i got a big diamond's ring....
thank you so much for you, grandma and your team's hard work, liziqi....
can't wait for another new video, because your videos always amazed me.
lots of love from indonesia 
❤❤❤","一周内的3个新视频？
哇！！我觉得我有一个大钻石的戒指。
非常感谢您，奶奶和您团队的辛勤工作，Liziqi。
等不及另一个新视频，因为您的视频总是让我惊讶。
来自印度尼西亚的很多爱
❤❤❤"
3950,UgwGF-mfOEwIG9tT5714AaABAg,138,grandma is so lucky! she is eating good food made with lots of love!,奶奶很幸运！她正在吃充满爱的美食！
18717,UgzFqkSJdWbabJELw6d4AaABAg,120,"this is the first video i see about liziqi, oh my god, i'm totally in love.",这是我看到的关于利兹奇的第一部视频，哦，天哪，我完全恋爱了。
11605,UgzotkfSEk4kAQrin2N4AaABAg,107,i just wish that she would invite me over for lunch some day! she is the master of natural foraging & cooking & always takes care of grandma! gotta love this woman....,我只希望她有一天会邀请我吃午饭！她是自然觅食和烹饪的主人，总是照顾奶奶！要爱这个女人....
29079,Ugy_rv69BA1VHfhSQsR4AaABAg,107,"hello,i'm from vietnam,my grandfather often watch your videos and he very like it. he said : "" you very beautiful and you cook very well"" .he wishes he had a peaceful life like you . love you",您好，我来自越南，我的祖父经常观看您的视频，他非常喜欢。他说：“你很漂亮，你做得很好。”他希望他过着像你一样和平的生活。爱你
9101,UgwfzJm9c_AVWwZPV694AaABAg,104,"she is a life artist, she make picking vegetable, cooking , so graceful and peaceful. present it so well. love to watch her video.",她是一位生活艺术家，她做菜，烹饪，如此优雅而宁静。很好地呈现。喜欢看她的视频。
18156,UgyGNOeNj4QVDKZxYJF4AaABAg,103,i love how she eats that huge bowl all herself lol,我喜欢她如何吃那个巨大的碗自己大声笑
23800,UgzDgXwbZH9f6pbHyZZ4AaABAg,100,"i love the way she made this video - no talking, but let the sounds fulfill screen",我喜欢她制作此视频的方式 - 不说话，但是让声音满足屏幕
9160,Ugztg3AWD6dCH_KutUp4AaABAg,96,i love your lifestyle and hope to live in this village. sorry. i am an arabs of iraq. i am honored to follow your beautiful channel and hope that you are healthy.,我热爱您的生活方式，希望能住在这个村庄，对不起，我是伊拉克的阿拉伯人，很荣幸能跟随您的美丽频道，希望您身体健康。
31539,Ugzonvb4zsPJxUzVih54AaABAg,91,"hello 
i am from manipur,a north eastern state of india 
i would like to say that we have similar kind of lifestyle and food habits 
we also eat this kind of food
love from manipur,india","你好
我来自印度东北部的曼尼普尔
我想说我们有类似的生活方式和饮食习惯
我们也吃这种食物
来自印度曼尼普尔的爱"
18509,Ugz7vX27tY0R8YBBwyB4AaABAg,89,i love how some of her music sounds like you're entering some sleepy little village in a jrpg from the 90's.,我喜欢她的一些音乐听起来好像您正在90年代进入JRPG的一个困倦的小村庄。
14537,UgzC-jbsdrnmIZoKC554AaABAg,86,is it weird that i absolutely love granny? i giggled when she went for a noodle.,我绝对喜欢奶奶很奇怪吗？当她去面条时，我咯咯笑了。
30711,UgyLzQxSX-Xr9lsYQYB4AaABAg,83,i love the chinese culture of living and i want to live in quiet places like this ☺️,我喜欢中国的生活文化，我想住在这样的安静的地方☺️
28346,Ugw4oagRSrnkZ2PMqUR4AaABAg,81,"love u from northeast india, kuki tribes. everything is similar with my traditional love so much i miss my grandma.",来自印度东北部的爱你，库基部落。一切都与我的传统爱相似，所以我想念我的祖母。
12620,UgwXt8TMzqfcyKJivrZ4AaABAg,80,“careful when replicating this at home. we don’t want fermented fingers/fingertips” lol i love the funny caption,“在家里复制此时要小心。我们不想发酵手指/指尖”大声笑我喜欢有趣的标题
24114,Ugx5Uhn6MDqEgKe2x_N4AaABAg,77,i love your videos. they help me with my anxiety,我爱你的视频。他们帮助我焦虑
30722,UgzL5nyy2lVkZjq6So14AaABAg,76,bamboo shoots is one of the most popular recipe in northeast india.. love from northeast india.our culture something like china thailand maynmer etc,竹芽是印度东北部最受欢迎的食谱之一。来自印度东北部的爱情。我们的文化像中国泰国梅纳默等
25343,Ugz38EA5dToJR4R-RF94AaABAg,75,your channel is a true gem! a diamond that shines and sparkles! i love your videos more than i can say!,您的频道是一个真正的宝石！钻石闪闪发光的钻石！我比我所说的更爱你的视频！
31839,UgwcNqMFyyFbcw-g-Eh4AaABAg,72,"while i'm laying in this bed... in this boring hospital.. while watching your video suddenly my tears just fall down.. my mom ask me why i'm crying i just answered "" mom, can we visit her before i die"" my mom came and hug me while crying...... "" sure baby but promise me you need to be strong, ok"" 
"" sure mom""... 
thank you for making this movie. i really love it❤️❤️❤️ i wish someday soon i will going to be in a place like that","当我躺在这张床上...在这家无聊的医院中..当您的视频突然看我的眼泪时。死了“我妈妈在哭泣的时候来拥抱我..............................................
“确定妈妈” ...
感谢您拍这部电影。我真的很喜欢它❤️❤️❤️我希望有一天我很快就会成为这样的地方"
14560,UgzGJkA1_05JZiiafKl4AaABAg,71,i would love to give this lifestyle a try. maybe that would help with depression.,我很想尝试这种生活方式。也许那将有助于抑郁症。
25963,Ugw_mP5mM-vn-Ilt3bt4AaABAg,67,you are so sweet & good. love from india,你是如此的甜蜜和好。来自印度的爱
34683,UgzY7D87DSSlVgPicvx4AaABAg,67,even some dishes aren’t look like delicious i’m still watching. i love how she cook.,即使有些菜看起来也不是美味，我仍在看。我喜欢她做饭。
23873,UgyFFyHcGtrSWBPWqS94AaABAg,66,living style is similar with the north eastern part of india...lots of love from nagaland..,生活方式与印度东北部相似...纳加兰的许多爱。
24858,Ugztyhladsn-4Os-RXR4AaABAg,64,i absolutely love bamboo! my dream is to have a bamboo forest like that in my backyard!,我绝对喜欢竹子！我的梦想是在我的后院拥有这样的竹林！
3909,UgxgK05InVePyfFVu_14AaABAg,62,"this is another incredibly good, brilliant, beautiful, and inspiring video from ms. liziqi (who is also beautiful, hardworking, and brilliant.). we over here in los angeles, love your videos so much. the videos are also very therapeutic, soothing, and relaxing. thank you so much for sharing all your videos, and for all your hard work.",这是Liziqi女士的另一个令人难以置信的好，辉煌，美丽，启发性的视频（他也很漂亮，勤奋且出色。）。我们在洛杉矶，非常喜欢您的视频。这些视频也非常治疗，舒缓和放松。非常感谢您分享所有视频，以及您的辛勤工作。
2740,UgzEDsZzmYAPNawTzGh4AaABAg,62,"its so nice to watch this kind of videos, because this pandemic limits us to travel places, but because of your video i have the luxury to see your place in my own home and this makes me learn something from your beautiful culture!
and most specially thank you for inspiring me to create countryside life content, love from the philippine countryside ❤️","观看这种视频真是太好了，因为这个大流行使我们限制了旅行的地方，但是由于您的视频，我很奢侈地看到您在自己家中的位置，这使我从美丽的文化中学到了一些东西！
最特别感谢您激发我创造乡村生活内容，菲律宾乡村的爱情❤️"
30221,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yk7WhXnfYj,60,"golden melon grandma was taking care of her when she was young. what she is doing is the gratitude for the love and care received from childhood. this is a part of chinese culture, and it's beautiful.",金瓜奶奶小时候照顾她。她正在做的是对从小就得到的爱与关怀的感谢。这是中国文化的一部分，它很美。
24867,UgwNbCpU6Bu3-5x6qAV4AaABAg,60,i really love your channel and what you do. i finally found a channel with no hate comments . who could any one not like this. i actually started a garden because of you . thank you so much for the inspiration❤️❤️,我真的很喜欢您的频道以及您的工作。我终于找到了一个没有仇恨评论的频道。谁能不这样的人。我实际上是因为你而开了一个花园。非常感谢您的灵感❤️❤️
10884,Ugwuo9ZvdA39ONQ2enl4AaABAg,58,i love your lifestyle and hope to live in this village. sorry. i am an arabs of iraq. i am honored to follow your beautiful channel and hope that you are healthy.,我热爱您的生活方式，希望能住在这个村庄，对不起，我是伊拉克的阿拉伯人，很荣幸能跟随您的美丽频道，希望您身体健康。
23871,UgzZVcvWTukScwqK20t4AaABAg,57,"love the house,garden,everything including the puppy...",爱房子，花园，包括小狗在内的一切...
24926,Ugxr0u5Uggi_LMid5Jt4AaABAg,55,"this is my first time watching her video, i think i am in love.
her knowledge is incredible.","这是我第一次观看她的视频，我想我恋爱了。
她的知识令人难以置信。"
20888,UgyJogikDuttiHLxGSl4AaABAg,54,i love the sound her clay pot makes when she places the clay lid its so satisfying,我喜欢她的粘土锅放置粘土盖时发出的声音。
27952,UgwcL7pl3k4GFsOKdSx4AaABAg,54,"she is blessed by mother nature...
i wish if every part of the earth looks like her province one day..
if we love nature...we should also take care of nature..","她被大自然的祝福...
我希望有一天地球的每个地方看起来像她的省。
如果我们爱自然...我们也应该照顾大自然。"
33804,UgzqtrYLxy8UxNh3AzZ4AaABAg,53,your notification is my heartbeat. love from northeast assam btc chirang.,您的通知是我的心跳。来自东北阿萨姆邦BTC Chirang的爱。
4551,UgzsYjL8Vp2YVP-cX894AaABAg,53,"hello, li ziqi. i am from indonesia and i really like you. the spirit of making videos. and don't forget to take care of your health. because many people like your video, i love you. bleak",你好，李子琦。我来自印度尼西亚，真的很喜欢你。制作视频的精神。并且不要忘记照顾自己的健康。因为很多人喜欢你的视频我爱你。
6299,Ugz5wxlPDxlQinAqpsp4AaABAg,51,i would so love to live with that family for a year! what a learning experience of a lifetime.,我很想和那个家庭住一年！一生的学习经历。
29217,UgxVqZz0d0-eMHiElst4AaABAg,50,"i love all your videos. in cebuano bisaya, we call bamboo shoots ""dabong/ubod"" and string beans ""batong""
love from philippines","我喜欢你所有的视频。在宿拜诺·比萨亚（Cebuano Bisaya）中，我们称竹芽为“ dabong/ubod”和山豆“ batong”
来自菲律宾的爱"
28254,UgxGlX6pYTAyFYOZ1Mp4AaABAg,49,love from india... i will always wait for another video..,来自印度的爱...我将永远等待另一个视频。
28133,UgyR-JRN1QhmOHpcSCt4AaABAg,47,hi im from philippines and i love to eat sweet bamboo shoots with coconut milk and sutte shripms,嗨，我来自菲律宾，我喜欢用椰奶和sutte shripms吃甜竹芽
25080,Ugxx19Ia0ByhC1paplt4AaABAg,47,"this way of returning to nature,
reminded. essence
back to the truth, i am worried about chemicals, excessive processing, anticorrosive, and spice pigments. essence
the plate made of the tree trunk, the wooden spoon made me love to death. essence
with such an opportunity to live in such a simple place for a few days, relieve the city's pressure on his back, and it is so stuffy! ~","这种回归自然的生活方式，
真令人回味。。
返璞归真，甭担心化学物质，过度的加工，防腐，香料色素。。
那树干制成的盘子，木料勺子让我爱死了。。
能有这种机会到这样纯朴的地方住上几天，舒解城市人扛在背上，闷在心里的压力，多好！～"
10650,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU798qr7n4Xzgx,45,"​ @user-vw5je5qo2r i know she's making money, and god bless her for it! that she managed to succeed without having to resort to such indecent topics proves that she didn't do it for the money, and that there's love and humanity yet left on earth. wish you a pleasant day!",@user-vw5je5qo2r我知道她正在赚钱，上帝保佑她！她设法取得了成功而不必诉诸这样的不雅话题，证明她没有为了钱而做，并且有爱与人类尚未留在地球上。祝你一天愉快！
4114,Ugye0kSYeLdQW_-j1_54AaABAg,45,"i love your videos! they are so peaceful and the epitome of what i want someday for my life. i always come back to this one and the year of the pig chinese new year! they are two of my favorites (though the newest new years video was amazing!). much love from florida, usa",我爱你的视频！他们是如此的和平，是我一生中想要的东西的缩影。我总是回到这个新年猪新年的那一年！它们是我的两个最爱（尽管最新的新年视频很棒！）。来自美国佛罗里达州的很多爱
24881,UgxPuSaE6FTw-C5kg-R4AaABAg,45,i love sister :: i am watching nepal,我爱姐姐::我正在看尼泊尔
24389,Ugy2iU6f9HSWCkUCzYd4AaABAg,43,i love the relationship with grandmother probably taught her everything now it's her turn to sit back and enjoy the live and care,我喜欢与祖母的关系，可能会教她一切，现在轮到她坐下来享受现场和照顾
9248,Ugxtked_zgHjghjxp854AaABAg,43,i love to be in this place during quarantine. as long as there's an internet connection for my work... this place is refreshingg,我喜欢在隔离期间在这个地方。只要我的工作有互联网连接...这个地方令人耳目一新
33429,UgzVPNmxM6AyMkdBfYN4AaABAg,42,"love ur natural ways,,,the music ,the scenes everything
love from north east india","爱你的自然方式，音乐，场景
来自印度东北部的爱"
25104,Ugyu100yc_UWXEErAhV4AaABAg,41,i'm hungry now ... pork with bamboo shoot is nagas (from northeast india )favorite dish . i just love your cooking,我现在饿了...猪肉和竹烟是纳迦（来自印度东北部）最喜欢的菜。我只是爱你的烹饪
32958,UgzruOU4xd6unPIBz4d4AaABAg,40,"i wonder, how you carry yourself with so much talent 

lots and lots of love for you","我想知道，你是怎么带着这么多才华的

对你有很多爱心"
35376,UgyHrBxVbOtVOsPuSKF4AaABAg,40,from viêtnam with love ❤️,来自viêtnam的爱情❤️
32757,UgyYDVEOAlXNCukIO0R4AaABAg,40,"she is the real princess she lives in beautiful paradise she love her grandma &people around her,she loves working,harvesting,cooking and everything there and one they she will find the future prince they will life happy in peace forevr",她是她生活在美丽的天堂中的真正公主
23267,UgwXnzev4UAuxOpyjVV4AaABAg,39,"i go on a special vacation every time i watch one of your videos. i'm a new subscriber from the u.s. 
i love your gramma.","每次观看您的视频之一时，我都会去一个特别的假期。我是美国的新订户
我爱你的格拉玛。"
33753,Ugyjm5PYGhjW6KES4AR4AaABAg,39,"i loved it when your grandma was sitting in the swing and talking to you , sweet",当你奶奶坐在秋千上与你交谈时，我喜欢它，甜蜜的
15226,Ugy5hVFba7t2mM6CZXN4AaABAg,38,you could actually see the calluses in her petite fingers and also her nails due to her extreme hardwork and dedication to her chores. i love her,实际上，您可以看到她身材娇小的手指和指甲的老茧，因为她的极端努力和对琐事的奉献精神。我爱她
23975,UgwMwa6BCeQY92Aatip4AaABAg,36,pls dont die before i die. so sincere. you are my definition of beauty with brain. sending love from borneo,我死前不要死。真诚。您是我对大脑美丽的定义。从婆罗洲发送爱
17083,UgwoGmYYcukjLHjpxMp4AaABAg,35,"i about 5 years of using youtube, this the first and the only youtube channel that i subscribed just after watching a single video. you are amazing and everything about you is so so beautiful.
love and respect from india","我使用YouTube大约5年了，这是我观看单个视频后唯一订阅的第一个也是YouTube频道。您真是太神奇了，关于您的一切都如此美丽。
印度的爱与尊重"
8878,UgxOBgD3fQC8I59-Qdl4AaABAg,35,"hello! ziyi, our family in hong kong loves you very much, watching the works of vietnamese hype your work. you have used so much effort to do it and be speculated exactly like you. you have to talk more on your show, so that they can hardly speculate on you, and you speak well! we also want to listen to you more! bleak",妳好！子柒，在香港我们一家很爱妳的节目，看倒有越南人炒作妳的作品，你们用了那么多心血去做而被人炒到一模一样，很替妳不值，有少少意见给妳，妳要多在妳的节目里说话，这样她们就难炒作妳，你说话也很好听呀！我们也很想听妳多说话呀！
31351,UgyvQeOLU3ljwMARfLV4AaABAg,35,we do love to eat bamboo shoots too and that snail ^^ love from philippines (bicol),我们也很喜欢吃竹芽，而那个蜗牛^^来自菲律宾的爱（bicol）
8209,Ugwi18Z3V3i04kFFVG54AaABAg,33,"i love cooking n this video is wonderful, everything scene is traditional or very old skool .perfect film",我喜欢烹饪n这个视频很棒，所有场景都是传统的或非常古老的。完美的电影
26257,UgzA1Q8HkCOrZHYuKeF4AaABAg,33,wow chinese food is so great. will surely visit the middle kingdom on day. love from india!,哇，中国菜真棒。一定会在当天参观中间王国。来自印度的爱！
8822,UgzDfAKViIMTcjDaZON4AaABAg,32,i love that her main dinning area is out door! what a blessing to be enjoying the food surrounded by nature!,我喜欢她的主要用餐区不在门外！享受享受大自然包围的食物的祝福！
35124,Ugym8BaNBFABibEdUXR4AaABAg,32,i was eagerly waiting for your new vid by watching your all videos lots of love from india,我热切地等待着您的新视频，看着您的所有视频来自印度
15267,UgyyJiBCNse3kz4IN7Z4AaABAg,32,"rather than paying to eat one of her meals, i would love to learn about the plants and how to cook them",我不想付钱吃她的一顿饭，而是想了解植物以及如何烹饪植物
3704,Ugw32GE2AijQGiO_GQl4AaABAg,30,"luosifen！! as a chinese living abroad, sometimes i want to eat a bowl of luosifen. i love the liziqi video.she advertised china to the world on video. thank her. look forward to her other videos.",luosifen！！作为一个居住在国外的中国人，有时我想吃一碗luosifen。我喜欢Liziqi视频。她在视频中向世界宣传了中国。谢谢她。期待她的其他视频。
5544,Ugw0-C_F0_wTr2VO6HZ4AaABAg,30,"i love liziqi,s videos!, very therapeutic especially during this time of covid 19 pandemic! keep safe to you and your grandmother.;-)",我喜欢Liziqi，S Videos！，非常治疗，尤其是在Covid 19大流行时期！对您和您的祖母保持安全。;-)
26522,UgzebhcISvLjdUki5bZ4AaABAg,30,"i wonder if there's a single man won't fall in love to this sweet beautiful lady....


im your biggest fan from philippines..

wo ai ni liziqi","我想知道是否有一个单身男人不会爱上这个可爱的美丽女士。


我是菲律宾最大的粉丝。

wo ai ni liziqi"
4365,UgyFlsWsHOhC2C22Pe94AaABAg,29,"this is my first time watching her video, i love how they made this kinda content seriously, with great editing. this is the content we need. imagine if local content like this were made from all over the world, how beautiful it gonna be.",这是我第一次观看她的视频，我喜欢他们如何通过精彩的编辑来认真对待这种内容。这是我们需要的内容。想象一下，如果这样的本地内容是由世界各地制成的，那将是多么美丽。
20842,Ugzfk2U1ZDYl5ypDmgV4AaABAg,28,"“casually braising foods from different corners of the kitchen” 
i love this woman","“随便从厨房的不同角落炖食物”
我爱这个女人"
