,cid,votes,time,含peaceful,含peaceful中文翻译
35298,Ugwh_TmTye2v6sL3BIt4AaABAg,47,4 years ago,this video makes me want to live in that peaceful village instead of crowd city๐,这段视频使我想住在那个宁静的村庄，而不是人群城市
3638,UgwpJAISk1bI-XpaJWt4AaABAg,47,1 year ago,this is beautiful just in the way like it’s so peaceful and fulfilling,就像它是如此和平与充实一样，这是美丽的
23446,UgyQ3juM3-h-qV99kvx4AaABAg,46,3 years ago,"i am surprised that a gourmet video has almost no narration and human voice, only a quiet and peaceful background music. very relaxed. very yearning for this quiet rural life ~",我很惊奇，一个美食 video 竟然几乎没有旁白和人的声音，只有安静祥和的背景音乐。很放松。很向往这种安静的田园生活～
5789,UgzY4We3T-EHrrIwkeh4AaABAg,42,2 years ago,"i wish she could let me stay with her, i wouldn’t even ask for salary and would do all the chores.. i just want live the moments with these people in that village. its so peaceful so soothing. i feel like i could bury all my sins there and start a new life.",我希望她能让我和她在一起，我什至不会要求薪水，也会做所有的琐事。.我只想和那个村庄里的这些人一起生活。它是如此宁静，所以舒缓。我觉得我可以将所有的罪恶埋在那里，开始新的生活。
13817,UgxTPEhZueXTD1lsRfF4AaABAg,41,2 years ago,"i don't know why, i am a big man, watching this video crying. perhaps it is moved in the world to have such a peaceful, beautiful, close life of nature, and then look at the mediocre and complicated and complicated work every day in the city. ziyi wishes you and mother -in -law who has always been healthy and happy, thank you for your video.",不知道为什么，我一个大男人，看这视频哭了。也许是感动世上有这么宁静的，美好的，亲近大自然的生活，再看看自己每天在城市里庸庸碌碌紧张复杂地打拼着，很向往。子柒祝福你和婆婆一直健康快乐，谢谢你的视频。
35313,UgyYNJ00G4GAxO9qw9p4AaABAg,40,4 years ago,i am not just with the things you are presenting but also with you. you are incredible human. it is so peaceful the life you are showing. it is a kind of a healing process not just to health be to soul itself.,我不仅在于您要展示的事情，而且还与您同在。你是不可思议的人。您所展示的生活是如此和平。这是一种对健康本身的治疗过程。
9138,UgxZutkmhRTnEm_2AUt4AaABAg,40,2 years ago,this seems like such a pure and peaceful way to live,这似乎是一种纯粹而和平的生活方式
52888,UgxJg4gO5o4mQ86CGp54AaABAg,39,4 years ago,she's getting more and more beautiful living in such peaceful and fresh area.,她在如此宁静和新鲜的地区过着越来越美丽的生活。
5764,Ugxl3_aEEeHJs88R2VZ4AaABAg,35,2 years ago,"am i seeing a sheep? 

those puppies are so lovely
your channel won our hearts. so natural, so peaceful. ❤️❤️

","我看到绵羊吗？ 

那些小狗是如此可爱
您的频道赢得了我们的心。如此自然，如此和平。 ❤️❤️

nagaland"
21007,UgwP8r4EM6aBhw9LtMx4AaABAg,35,3 years ago,imagine having this much peacefulness...canโ€t relate ๐’ฉ,想象一下有这么多的和平...无法联系
40578,Ugy9hIfVYANKS6enqBd4AaABAg,34,4 years ago,"i feel like i'm in the mulan movie. very peaceful, natural, and beautiful. thank you! ❤",我觉得我在木兰电影中。非常和平，自然和美丽。谢谢你！ ❤
45304,UgzSeHaJn7aYhJQSgsl4AaABAg,33,4 years ago,everything is so peaceful and lovely,一切都是如此宁静，可爱
31531,Ugw2kZestzRbqsKnXMF4AaABAg,28,4 years ago,"i want to be one day in villages like this, calming, peaceful, and beautiful",我想在这样的村庄里度过一天，平静，和平与美丽
4210,UgzooBw5L5LBqVxY5_54AaABAg,27,1 year ago,these videos are very useful for those who want peace of mind.it feels so happy and peaceful to see this way of life.the pleasure of living in harmony with nature is something else.,这些视频对于那些想要安心的人来说非常有用。
5575,UgzUF5WipaM77Mhs8Kx4AaABAg,25,2 years ago,this makes me want to detached myself from reality and just peacefully lived in the mountains.,这使我想脱离现实，并和平地生活在山上。
17608,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982DXstbU_V,24,3 years ago,"@heardistance i have no idea about other chinese area's rural life but in sichuan, more specifically, the countryside area around chengdu, the environment, the village, the landscape and the lifestyle, the food are pretty much the same as what they showed in ziqi's video. i know it because i also come from this area. i agree with it looks too perfect but why it can not even look perfect? she works really hard and shares with us how beautiful and how peaceful life can be...why would she show how sad she is how realistic and shitty the life look like? it doesn't make sense. i guess you have some wrong identifications of this channel or you just misunderstand what things she would like to share us about. it's like doing a project, your boss gives you an appraisal and says ok, it's well done but looks too perfect so it's fake it's impossible....hmmm. i don't think anyone will give any appraisal like that. and this channel is not a documentary about recording how poor chinese people are in china. i would suggest you can look for those videos from bbc or cnn or anywhere on youtube, online etc. i am sure there are a lot of videos or whatever news will keep rising your doubt about the reality of ziqi's video.",@heardistance我不知道其他中国地区的乡村生活，但是在四川，更具体地说，是成都周围的乡村地区，环境，村庄，景观和生活方式，食物与他们在Ziqi中所展示的食物几乎相同视频。我知道，因为我也来自这个领域。我同意它看起来太完美了，但是为什么它甚至看上去都不完美呢？她真的很努力，与我们分享了多么美丽和和平的生活……为什么她会向她表现出多么可悲的生活，这是多么现实和卑鄙的生活？这没有道理。我想您对此频道有一些错误的识别，或者您只是误解了她想分享我们的事情。这就像在进行项目一样，您的老板给您评估，说得好，做得很好，但看起来太完美了，所以这是假的，这是不可能的....嗯。我认为没有人会这样评价。这个渠道并不是关于记录中国人在中国的多么可怜的纪录片。我建议您可以从BBC或CNN或YouTube，Online等任何地方查看这些视频。我敢肯定，有很多视频，或者任何新闻都会不断提高您对Ziqi视频现实的疑问。
52538,UgzKlkXcPjr-cjt6XBN4AaABAg,21,4 years ago,hello to all peaceful people from russia !! everyone and well -being to everyone!,向所有来自俄罗斯的和平的人打招呼！每个人都很好 - 对所有人都很好！
52016,UgwMVaA3eg9Qs7AjyjR4AaABAg,20,4 years ago,your videos are always beautiful and peaceful that inspire me a lot! happy chinese new year ! love from london,您的视频总是美丽而宁静的，可以激发我的灵感！农历新年快乐！来自伦敦的爱
43428,UgxS-cU3wreGJWZO6Fd4AaABAg,20,4 years ago,"just so you guys know that her videos don’t represent the actual living standards of chinese people living in rural areas. her home is probably the only decently organised and tidied country residence in rural areas of china. the vast majority of the people that live in rural or mountainous areas in china are poorly educated and have limited access to natural resources, let alone modern technologies. existence of conventional customs and ways of thinking that are outdated and even seem stupid can easily be found in these remote regions. dog thieves that poison and steal dogs in order to sell the meats to certain restaurants that serve dog meats are quite common in these rural areas as well. i can go on and on all day long to talk about what the actual country life in china looks like, but i want to thank her for making these peaceful videos that show the western world the beautiful side of her life as an ordinary country girl living in mainland china, and for the amazing portrait of hard working chinese people that value the idea of family, especially taking actual care of the elderly, above all.",只是让你们知道她的视频并不代表居住在农村地区的中国人的实际生活水平。她的家可能是中国农村地区唯一有组织和整洁的乡村住所。居住在中国农村或山区的绝大多数人受教育程度不佳，获得自然资源的机会有限，更不用说现代技术了。在这些偏远地区可以很容易地发现常规习俗和过时甚至看起来似乎很愚蠢的思维方式。狗盗贼毒和偷狗以将肉类出售给某些狗肉的餐馆，在这些农村地区也很普遍。我可以整天继续谈论中国的现实乡村生活，但我要感谢她制作的这些和平的视频，这些视频向西方世界展示了她作为一个普通的乡村女孩生活的美丽一面在中国大陆，以及对中国努力工作的惊人肖像，这些肖像重视家庭的想法，尤其是对老年人的实际照顾。
43903,UgyvvciMRf8_achl4HN4AaABAg,19,4 years ago,"stunning videos! i love this girl! i traveled a lot in china and with great pleasure i plunge into this calm, peaceful atmosphere of rural life. as we all, in our time, do not have enough enjoying our life, pleasure from our work, skill will focus on the beautiful present! thank you! !",令人惊叹的视频！我爱这个女孩！我在中国旅行很多，很高兴我陷入了这种镇定，宁静的乡村生活的氛围。在我们时代，我们所有人都没有足够的享受，我们的工作很高兴，技能将集中在美丽的礼物上！谢谢！
38541,Ugx1P89G_Bd-0LVKkF54AaABAg,19,4 years ago (edited),"when i watch your videos i feel peaceful, you are a wonderful human being and depending on what i saw, i think you are really talented and experienced in such young age .
amazing .","当我观看您的视频时，我会感到和平，您是一个很棒的人，根据我所看到的，我认为您在如此年轻的时候就非常有才华和经验丰富。
惊人的 。"
40648,UgycEHKp0kQCCcp8gSN4AaABAg,18,4 years ago,i love her videos so much. they're so calming and she's so elegant about the way she prepares things. she looks really peaceful and satisfied and it makes me feel that way too!! i can't get enough of her.,我非常喜欢她的视频。它们是如此的平静，她的准备方式非常优雅。她看起来真的很安静和满足，这也让我感到这种感觉！我不能得到她的足够。
37119,UgwA-4glOyOblf3Vlat4AaABAg.8uJNdG3PRmb8uUg2AbDcpx,17,4 years ago,be mindful of the word โ€productivityโ€ tho. she produces for herself and maybe those around here. that it. if thereโ€s something to โ€envyโ€ is the peaceful of where she lives and her relationship with food/clothing,注意“生产力”一词。她为自己以及周围的人制作。那。如果有什么要“嫉妒”的是她的住所的和平，她与食物/衣服的关系
1883,UgyjL4fFw9-4erCf0Bp4AaABAg,17,1 year ago,"admiring her really, a small but extraordinary girl, everything is good, everything can be done. watch your real peaceful video .",真的很欣赏她，一个小而非凡的女孩，一切都很好，一切都可以做。观看您真正的和平视频。
233,UgzTividt4HonjVl8ph4AaABAg,14,1 month ago,"thank you, ziqi. thank you for giving me consolation whenever i am depressed or stressed. thank you for letting rethink what i want from life. ultimately, it’s not more money or achievements. it’s a peaceful life like yours.",谢谢，Ziqi。感谢您在我感到沮丧或压力时给我安慰。感谢您让我从生活中重新考虑我想要的东西。最终，这不是更多的金钱或成就。像你一样，这是一种和平的生活。
26998,Ugw91qCHqH9O7yiFqPd4AaABAg,12,3 years ago,"peaceful land vs. overstimulated city. this kind of things makes value those litle moments, sunrises, good food and company. bring my grandma back to life and share this kind of journey with her, would be the most priceless experience. if you read this comment, wish you the most beautiful trip to the happiness.",和平土地与过度刺激的城市。这种事情使那些散布的时刻，日出，美食和公司都珍视。将我的祖母重新栩栩如生，与她分享这种旅程，这将是最无价的经历。如果您阅读此评论，请祝您幸福的最美丽之旅。
3725,UgyQz4eYXn6AB1r9Z4d4AaABAg,11,1 year ago,i feel peace and free when i see this video.. i love this so peacefully to my heart,当我看到这部影片时，我感到和平与自由。.我如此和平地爱上了这个视频
173,UgzyrBVy2Dxzq0njadV4AaABAg,11,1 month ago,when ever i feel low or depressed i came here to watch your videos...right now i have head pain...it's feel so peaceful while watching your videos....thank you so much ❤,每当我感到沮丧或沮丧时，我来这里观看您的视频...现在我感到头疼...在观看视频时感觉很宁静。...非常感谢您
30902,UgywzaYNYoUcV0L0NVF4AaABAg,10,3 years ago,best type of sweet and positive video to watch before bed. i don't think about stressful things and i'm able to have a peaceful sleep.,睡觉前观看的最佳甜美和正面视频类型。我不考虑压力很大的事情，我能够和平的睡眠。
21357,UgyMT0oRUzt1BcRJ06t4AaABAg.93iGxVsI80l94G58R8uQZT,9,3 years ago,i wish thanos couldโ€ve lived peacefully,我希望塔诺斯能和平生活
23735,UgzitWAVEaknP14d-pF4AaABAg,8,3 years ago,"browsing the comments, this came in to mind. itโ€s just pathetic to think about that people in the west actually believe what the western mainstream media chose to let the believe. 

itโ€s not the peopleโ€s fault, but itโ€s time to reconsider the moral standards of modern media. with such advanced human civilization, is it okay to publicly and advisedly mislead people and to create prejudice and conflicts on purpose, where it was supposed to be the equal, peaceful and unified human race.

โ€imagine thereโ€s no countriesโ€. countries attack each other for competitive advantages, media are just tools ๐  to control people to support their government. politics do nothing but slow down the development of human.


conclusion: 

the hard-working people are innocent. 
whatโ€s truly evil is the few who possess the most power and most capital.","浏览评论时，想到了这一点。想到西方人实际上相信西方主流媒体选择让自己相信的东西真是可悲。

这不是人民的错，而是该重新考虑现代媒体的道德标准了。有了如此高级的人类文明，可以公开和建议误导人们，并故意造成偏见和冲突，而这本来应该是平等，和平和统一的人类种族。

“想象没有国家”。各国为竞争优势而互相攻击，媒体只是控制人们支持政府的工具。政治无所事事，只会放慢人类的发展。


结论：

勤奋的人是无辜的。
真正的邪恶是少数拥有最大力量和最大资本的人。"
19806,UgyGL14Zbr9JtbZdqxV4AaABAg,8,3 years ago,this video was so peaceful to me. it brought back memories of my grandmother teaching to cook all her wonderful meals. i miss her everyday. you are such an amazing young lady i know your family is so proud of you..,这个视频对我来说是如此宁静。它带回了我祖母教的回忆，以烹饪她所有美味的饭菜。我每天都想念她。你真是个了不起的小姐，我知道你的家人为你感到骄傲。
51757,Ugytl28xQ5VTDqNh3rV4AaABAg,8,4 years ago (edited),sooo peaceful i have no words,太平了，我没有话
4214,Ugzt0HpGMMmQ5xFAuGR4AaABAg,8,1 year ago,"this is so peaceful, i want a life like that but sadly i don't even know how to make tea on my own t_t",这是如此和平，我想要这样的生活，但可悲的是我什至不知道如何用自己的T_T酿造茶
43359,UgyLOp9qjWnbL9lQVJZ4AaABAg,8,4 years ago,"such peacefulness, calmness, beauty-roanic corner. thank you, you showed us your world, especially i felt the warmth of your soul and how you respect your elderly relatives, so sweetly.",这样的宁静，平静，美人的角落。谢谢您，您向我们展示了您的世界，尤其是我的灵魂的温暖以及您如何尊重您的老年亲戚。
39820,UgzvAvqZx8xfl9V1ztN4AaABAg,7,4 years ago,youโ€re so awesome ms. li!!!! keep up the good work. i love watching your videos before going to sleep. they are so peaceful.,你真棒李女士!!!!保持良好的工作。我喜欢在睡觉前观看您的视频。他们是如此和平。
47654,UgzsDqhzC6tiJfJ0-z54AaABAg,7,4 years ago,"the life here is peaceful, i dream of having such a life. in vietnam, we also welcome tet as in china. quality and emotional video, wish you a good new year!",这里的生活是和平的，我梦想着拥有这样的生活。在越南，我们也欢迎在中国的TET。质量和情感视频，祝您新年快乐！
40541,UgyxfJY7gGM4gWHMmvt4AaABAg,7,4 years ago,this was the most peaceful video i’ve seen in a long time,这是我很长时间以来见过的最和平的视频
50637,Ugwpjqxl5RL5z2RRSdR4AaABAg,7,4 years ago,so beautiful and so peaceful,如此美丽，如此和平
1202,UgxRaQxtxP_Vbh8DHw14AaABAg,7,9 months ago,"amazing girl as always, making ordinary things into beautiful and delicious foods. enjoy the nature scene and peaceful life!",一如既往的惊人女孩，将普通的东西变成美丽可口的食物。享受自然界和和平的生活！
16568,UgyrzgEZ8OXqVtt2DYd4AaABAg,6,3 years ago,so peaceful! love from india!,很平静！来自印度的爱！
11021,Ugz9iZYm-ruPe5R8D1F4AaABAg,6,2 years ago,"i too want to live a life where there is no one to interfere in my life where i could grow vegetables myself before my meal in my small farm and there is no needless peeping around. i get irritated by people who peep at me. they do not believe in living life peacefully, but spend their lives in mischiefs of others.",我也想过上一种生活，在我的生活中没有人可以干扰我在小农场用餐前可以种蔬菜，而且无需窥视。偷看我的人感到恼火。他们不和平地相信生活，而是在他人的恶作剧中度过一生。
28464,UgzL4VDpXU0g175_Yj54AaABAg,6,3 years ago,you are such amazing human being ever ....we really love to watch ur video before sleeping ...and yes like other people said...your video brings a good mood and peaceful feeling ...also encourage many people especially woman to keep learning to be their best version ...i wish u always stay healthy and always happy...love from us indonesia,你真是太棒了。继续学习成为他们最好的版本...我希望你永远保持健康和快乐...爱印度尼西亚的爱
13416,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9CVlbj6i-Tw,6,2 years ago,@writeinchinese i wanted to friend with you. and with other peaceful chinese people❤️ my country dont like china also me but only on the ccp and its supporters. i love peaceful chinese cuz i have chinese classmates and friends too ij my school hehe. they are christian chinese.,@writeinchinese我想和你成为朋友。与其他和平的中国人民❤️我的国家也不喜欢中国，但仅在CCP及其支持者身上。我喜欢宁静的中国，因为我也有中国同学和朋友，我的学校也是如此。他们是基督教中国人。
23785,Ugyb8bSm2cbdzpxC_pR4AaABAg,5,3 years ago,"damn i wish i can live there it's like the most peaceful place ever, and the food yum!",该死的，我希望我能住在那儿，就像有史以来最宁静的地方，还有美食！
37623,UgwScm8sMBA-I5wNxdV4AaABAg.8twlsT6QIBn8uIkjkZU-7-,5,4 years ago,me.. everything just looks so delicious and where she lives is so peaceful๐”๐ญโบ๏ธ,我..一切看起来都很美味，她住的地方是如此宁静
36905,Ugyghzl_Ar62a0lpIRt4AaABAg,5,4 years ago,"omg you live in such a peaceful looking place, i love it",天哪，你住在如此宁静的地方，我喜欢它
37559,UgyTyD0Ql68e44HNeRZ4AaABAg,5,4 years ago (edited),"living in a city with difficulties, stress.after watching this video i felt peaceful, relaxed,...and miss my countryside, my parent. i really wanna come back my home.",生活在一个遇到困难的城市里。观看这段视频后，我感到安宁，放松，……想念我的乡村，我的父母。我真的想回到我的家。
32883,UgwGHtAYHQZcsuqI0yZ4AaABAg,4,4 years ago,so peaceful watching your videos ๐โค๏ธ,如此和平观看您的视频
3589,Ugwg1k5TdwbTVPfF2vt4AaABAg,3,1 year ago,"everything is gentle.the will. the scene is peaceful, the music sounds great",一切都很温柔。遗嘱。场景和平，音乐听起来很棒
30515,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xF6UMSZWc9,3,3 years ago,it's ok guys..ultimately its a good video..peaceful one..and after all we all are humans and believe in humanity and harmony..may everyone have a peaceful life,没关系..一个很好的视频。
20273,Ugy_Zh1RcAySf1BxG-h4AaABAg,3,3 years ago,this is 1 of the most peaceful videos i've ever seen...there's something about it that makes me wanna recreate myself.,这是我见过的最和平的视频中的1个……有些事让我想重现自己。
14484,Ugy4Z-44QrgbBPMjeqt4AaABAg,3,2 years ago,that looks peaceful enough to make me cry doing complex math,看起来足够宁静，让我哭泣做复杂的数学
4327,UgzXWNUUdeh3pfujnMZ4AaABAg,3,1 year ago,so peaceful and relaxing to watch your videos! good job!,如此宁静和放松，可以观看您的视频！好工作！
39484,UgzC6zr31B60qlAQj2F4AaABAg,3,4 years ago,was she making food for the whole village? ๐… this vid is so peaceful tho ๐‘,她是为整个村庄做饭吗？
24547,UgwNLUOiDIxsEtId4CZ4AaABAg,3,3 years ago,"1st time while i am watching this video i hope thereโ€s some ads then i can contribute a little bit to this beautiful girl, you make me feel peaceful",第一次我观看此视频时，我希望有一些广告，然后我可以为这个美丽的女孩做出一些贡献，你让我感到和平
31584,UgxsMrl53EpiyCUyY2R4AaABAg,3,4 years ago,i want her to teach me everything she knows. living like this seems so damn peaceful.,我要她教我她知道的一切。这样的生活似乎是如此的和平。
36377,Ugy2ad5_EzA-mhL1oE94AaABAg,3,4 years ago (edited),any budy indies their. it is o malayalee ๐watching on-free so peaceful & relaax,任何兄弟会独立的。 Malayalee o免费观看如此宁静与复制
7894,Ugy207cIL1YfcNXxDcZ4AaABAg,3,2 years ago,the cool atmosphere of peace is peaceful,和平的凉爽气氛是和平
10005,UgyV1fsGmxaqKOfLg7d4AaABAg,3,2 years ago,feeling the camera man heart and his perfection viewโค๏ธ peaceful to watchโค๏ธ,感觉到相机的人的心和他的完美视野❤️宁静观看❤️
16515,UgwhcrpP1NEPuYY4FcF4AaABAg,3,3 years ago,"i think the background music is from the drama ""kill me heal me""(korean version)..so peaceful ❤️",我认为背景音乐来自戏剧《杀死我治愈我》（韩语版）。
40639,UgzVbWTOb9B8k-XIgyJ4AaABAg,2,4 years ago,"i love life like this, peaceful, complete, not afraid nor need to worry about anything!",我喜欢这样的生活，和平，完整，不害怕也不必担心任何事情！
30931,UgwCmXgMDUz-MQeRAWt4AaABAg,2,3 years ago,i wish america was more like this. it seems really peaceful over there,我希望美国更这样。那里似乎真的很宁静
39148,Ugxusw9kTf3tT2823TV4AaABAg,2,4 years ago,"it is not easy to edit this peaceful program. it needs to be close to a gas field to achieve it. each category is just right.
very good, thank you for sharing :) calm, quiet, gentle and comfortable, wisdom, i also see the wisdom of quaint folk, praise !!!! very healing the injuries brought by the city!

i prefer the temperament of the heroine when i don't deliberately dress up with light makeup! very clip! like! ^^
really done ... can stay away from the hustle and bustle for a while,
specific display ... it can be lived, simple, simple and natural, but also live neat and comfortable (although it is not easy)
being able to surround the mountains of gaoli water every day, the air is fresh, the mountains are full of flowers and precious medicinal materials, and the mountains are used to tell the mountains.
you can also choose intermittently .... contacted with today's scientific and technological life ...
if there is a harmonious companion, chun went to qiulai to support the old, this kind of life ... no demand !!!
looking ... watching .... live in the taiji gas field health ... this film is indeed ... rare soul health soup! thank you for sharing :)","编一辑这宁心的节目, 真不容易, 需要有接近的气场走在一起才能成就, 每一范畴每一个配合刚刚好, 
很好佷好, 多谢分享:) 从容, 恬静, 轻柔舒服, 智慧, 还见识到古朴民间的智慧, 赞!!!! 很治愈都市带来的伤!

较喜欢女主角不刻意装扮淡妆时的气质! 很夹! 赞!^^ 
真的做到了...可远离尘嚣一会, 
具体展现了...可以活得既古朴简单自然的同时, 又能整洁舒适不匮乏地生活着 (虽不太易) 
能每天环抱高山高丽水而居, 空气清新, 山峦满是鲜花鲜果及珍贵药材, 用画面诉说了靠山食山, 
又能间歇地选择....与现今科技生活联系着.....看日出观日落, 看银河晚星,! 依四时阴阳作息! 还何求!! 
若有位和谐伴侣春去秋来恩爱扶持到老, 这种生活...无求矣!!! 
看着...看着....活像进入了太极气场养生里...这片的确是...难得心灵养生汤! Thank you for sharing :)"
12682,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9EUH1nk3vKL,2,2 years ago (edited),@elcatrinc1996 hmmm... but they shouldn't. so peaceful nd captivating beauty and pure hearted people❤ love from pakistan..,@elcatrinc1996嗯...但是他们不应该。如此和平的人迷着美丽和纯洁的人❤来自巴基斯坦的爱。
30833,UgyEoA5KDhAxqBjR7dN4AaABAg,2,3 years ago,"i just love this channel, it makes me feel so peaceful, thank you",我只是喜欢这个频道，这让我感到很宁静，谢谢
39393,UgzA_J3fWD2q7H1C6WZ4AaABAg,2,4 years ago,i love soo soo much i like the calm and peaceful atmosphere love from mizoram,我很喜欢太太，我喜欢米佐拉姆的平静与和平的氛围
22960,UgwqGX6R7sXj2MYwFLR4AaABAg,2,3 years ago,yes๏ผwe are peaceful and only lead a healthy life with nature or others rather than fighting or making trouble to whom.๐,是的，我们是和平的，只有与自然或他人一起过健康的生活，而不是与谁打架或惹麻烦。
28620,Ugz61K82zefB0bmwB_t4AaABAg,2,3 years ago (edited),i wish i could live in such a place.. peaceful to see ๐๐๐ omg when she cuts that mango...,我希望我能住在这样一个地方..当她剪那个芒果...
24193,Ugxq7ebvtcmH9xNi-NJ4AaABAg,2,3 years ago,"me a 11 year old artist, and i hope when i grow up
my house can be as somewhat peaceful like lizi's house","我是一个11岁的艺术家，我希望我长大后
我的房子可以像利兹的房子一样和平"
24259,UgwmMyTL2nkz6MDZp4R4AaABAg,2,3 years ago,so peaceful!,很平静！
14437,Ugw1S2GntpfaGLnQ-RZ4AaABAg,2,2 years ago,this place is like a dream and paradise to me. i always wanna spend my whole life in this type of place like living in a peaceful environment,这个地方对我来说就像一个梦和天堂。我一直想在这种类型的地方度过一生，例如生活在宁静的环境中
23068,UgzhNrDWXMJdW5cgwAt4AaABAg,2,3 years ago,"this is my first comment, but i really like this life with peaceful,real,tradition",这是我的第一个评论，但我真的很喜欢和平，真实，传统
10901,UgzbkqFL8fSbxKmjswN4AaABAg,2,2 years ago,i feel so peaceful just by watching this,我只是看着这个，我感到很宁静
16595,Ugxc-2S4U05ZN9WF4vl4AaABAg,2,3 years ago,so peaceful. so beautiful.,很平静。如此美丽。
21417,UgxOo6eufk6vq_ZTbT94AaABAg,2,3 years ago,everything looks so visually appealing. the food looks fantastic! i would love to live like this it seems so peaceful,一切看起来都很吸引人。食物看起来很棒！我很想像这样生活
501,Ugy08Xq9tLdlzSr55At4AaABAg,2,4 months ago,when i saw her every vedio i m really peacefull .....when i am tired and sad .....omg i can't tell how to peace.....the music her work cooking ....m so edict....,当我看到她的每一个小吠陀时，我真的很平静.....当我疲倦和悲伤时.....天哪，我无法说出如何和平.....音乐她的作品做饭....我法令....
18418,Ugw_4LFLEVFLKHUrOnp4AaABAg,2,3 years ago,too peaceful,太平了
6957,UgxY4X-3gWHYyrnIAzZ4AaABAg,2,2 years ago,such a relaxing and peaceful video.,如此轻松而宁静的视频。
36912,UgxpA159fDl9K_EzTex4AaABAg,2,4 years ago,"this life is so peaceful and beautiful. i know iโ€m not cut out for it though, i could never survive. but watching this makes me feel at peace and itโ€s wonderful.",这种生活是如此和平与美丽。我知道我没有为此削减，我永远无法生存。但是看着这让我感到和平，这很棒。
5074,UgyCDZ45jVZD9wcbLQZ4AaABAg,2,1 year ago,inspirit me with peacefully environment,通过和平环境启发我
36390,Ugw7P9cnzsebEVezHBN4AaABAg,2,4 years ago,watching this before bed.. so relaxing and peaceful ๐,睡前看这个..如此放松和宁静
