,cid,votes,含bamboo,含bamboo中文翻译
5021,Ugy72vq6YsgZ-AkBRBN4AaABAg,116,"in indonesia, we call this bamboo root as rebung. we process it into various dishes, the taste wonderful",在印度尼西亚，我们将这种竹根称为rebung。我们将其加工成各种菜肴，味道很棒
17604,Ugy8_drWdVCcrpXhotR4AaABAg,95,"""mother -in -law, you see, a bamboo shoot is bigger than my brain""",“婆婆你看，勒个笋子比我脑壳还大”
19034,UgyhSJHbnccPmF2NewB4AaABAg,95,"as a chinese, i must tell you all that the river snail rice noodle is smelly(because the sour bamboo shoot is smelly) but taste really good.",作为中国人，我必须告诉你所有的蜗牛米面条臭（因为酸竹芽臭），但味道真的很好。
30826,UgzqEgJcid6Z_Gjozqh4AaABAg,92,bamboo shoots and escargot the best combination,竹芽和锁骨最佳组合。我在印度东北部我们最喜欢的我们最喜欢的纳迦菜之一
30722,UgzL5nyy2lVkZjq6So14AaABAg,76,bamboo shoots is one of the most popular recipe in northeast india.. love from northeast india.our culture something like china thailand maynmer etc,竹芽是印度东北部最受欢迎的食谱之一。来自印度东北部的爱情。我们的文化像中国泰国梅纳默等
23325,UgxxzZYtmymnL-RTVTl4AaABAg,67,"what if i don’t have mountain spring water to ferment my sweet bamboo shoots? can i use tap water?

edit: this was literally a joke idk why i’m getting actual feedback","如果我没有山泉水来发酵我的甜竹芽怎么办？我可以使用自来水吗？

编辑：这实际上是个玩笑，为什么我会得到实际的反馈"
34328,Ugzp480ngxB5lnR9uxR4AaABAg,66,"that bamboo shoot we call it ""labong"" here in philippines. it's yummy when you cook it with coconut milk",我们在菲律宾这里称其为“拉邦”。当您用椰奶煮熟时，这很美味
24858,Ugztyhladsn-4Os-RXR4AaABAg,64,i absolutely love bamboo! my dream is to have a bamboo forest like that in my backyard!,我绝对喜欢竹子！我的梦想是在我的后院拥有这样的竹林！
27195,UgxcKRd_zFI2fksm3fV4AaABAg,55,"in indonesia we called that bamboo ""rebung"" and rice field snail ""tutut""",在印度尼西亚，我们称竹子为“ bamboo”和稻田蜗牛“图特”
29217,UgxVqZz0d0-eMHiElst4AaABAg,50,"i love all your videos. in cebuano bisaya, we call bamboo shoots ""dabong/ubod"" and string beans ""batong""
love from philippines","我喜欢你所有的视频。在宿拜诺·比萨亚（Cebuano Bisaya）中，我们称竹芽为“ dabong/ubod”和山豆“ batong”
来自菲律宾的爱"
28133,UgyR-JRN1QhmOHpcSCt4AaABAg,47,hi im from philippines and i love to eat sweet bamboo shoots with coconut milk and sutte shripms,嗨，我来自菲律宾，我喜欢用椰奶和sutte shripms吃甜竹芽
22063,UgzcZvYJmDpSxuUcDfp4AaABAg,45,"bamboo shoot is eaten in assam, india 
we northeastern indians have a lot of similarities with you guys in eating habits. but we don’t use chopsticks.","在印度阿萨姆邦也吃了竹拍。这里很丰富！
我们东北印第安人与你们在饮食习惯方面有很多相似之处。但是我们不使用筷子。"
29683,UgzpH3BE2koNS4RrEgp4AaABAg,44,thank you for the english sub-titles. your videos are amazing. my neighbor has bamboo. hmmmmm,谢谢您的英语子贴。您的视频很棒。我的邻居有竹子。嗯
27286,Ugypu9302JB6MQoBftt4AaABAg,43,i was expecting a panda bear to pop up behind her when she was walking through the bamboo forest in the beginning if the video.,当视频一开始，当她穿过竹林时，我期望一只熊猫熊在她身后弹出。
32538,UgwUCy1Q3w4d2HF3QPp4AaABAg,43,"we eat bamboo shoots too...with pork, fish , chicken, pickle, with fermented fish etc etc 
northeast india ❤️❤️❤️","我们也吃竹芽...配猪肉，鱼，鸡肉，泡菜，发酵鱼等
印度东北部❤️❤️❤️"
25104,Ugyu100yc_UWXEErAhV4AaABAg,41,i'm hungry now ... pork with bamboo shoot is nagas (from northeast india )favorite dish . i just love your cooking,我现在饿了...猪肉和竹烟是纳迦（来自印度东北部）最喜欢的菜。我只是爱你的烹饪
19802,UgzCEkY0funS2x3TS914AaABAg,39,"bamboo the most versatile plant (grass) ever.
1. food✅
2. shelter✅
3. eating utensils ✅
4. and many more ✅","竹子有史以来最通用的植物（草）。
1.食物✅
2.庇护✅
3.吃餐具✅
4.还有更多✅"
26384,UgzBbK2aDxUle4bmSSF4AaABAg,38,even sour bamboo shoot or pickle is very common in many states of northeast india too our cuisine and culture has many simmilarities,甚至在印度东北部的许多州，我们的美食也很常见，我们的美食和文化都具有许多同样的andiminties
31351,UgyvQeOLU3ljwMARfLV4AaABAg,35,we do love to eat bamboo shoots too and that snail ^^ love from philippines (bicol),我们也很喜欢吃竹芽，而那个蜗牛^^来自菲律宾的爱（bicol）
30574,UgzQZItfuNkagVB2f1d4AaABAg,34,i do not know how big i thought bamboo shoots were but i definitely did not think they were that big! i learn so much by watching this channel.,我不知道我以为竹脚的大小，但我绝对不认为它们那么大！我通过观看这个频道学到了很多东西。
34727,Ugzak8p2rONKOfvnHjZ4AaABAg,32,sour bamboo shoot snail fungus is all fresh raw materials.,酸笋 螺蛳 木耳 每一样都是新鲜原材料 太棒了吧
30835,UgxCu5OSfZhBvzyVaJh4AaABAg,31,"the small bamboo shoot look so cute 
lately they say snails has lots of good things to healthy young skin 

so beautiful peaceful video
thank you","小竹芽看起来很可爱
最近他们说蜗牛对健康的年轻皮肤有很多美好的事物

如此美丽的和平视频
谢谢"
10852,UgwNigOuGxhIfE9wyK54AaABAg,31,i wish we had bamboo forest like that in south florida to freely harvest.,我希望我们在佛罗里达州有这样的竹林以自由收获。
22299,UgybzWdmCyevuxF72W14AaABAg,31,"so i had to pause the video, because i was amazed by how big bamboo shoots are. it seems silly, but wow.",因此，我不得不暂停视频，因为我对竹拍有多大感到惊讶。看起来很傻，但是哇。
13544,UgxzeuQHE8cUZICnFY94AaABAg,30,"bamboo resembles a person.
it is easy to break when you are young, but as you get older, you will be sticky and flexible.","竹子类似于一个人。
年轻的时候很容易破裂，但是随着年龄的增长，您会变得粘稠和灵活。"
4138,UgwxyAqLmzSEPFtP6kJ4AaABAg,25,"it's a very big bamboo shoot. in japan, it will be harvested a little from the soil, but the type of bamboo shoot will be different.
every time, it is a wonderful video of the permanent preservation version.","这是一个非常大的竹芽。在日本，它将从土壤中收获一点，但是竹芽的类型将有所不同。
每次，这都是永久保存版本的精彩视频。"
2659,Ugw6yTwn-CyeZ2Ba1nh4AaABAg,25,"i didn’t even know bamboo was edible! wow! 
i love watching her cook what is grown on their farm, everything is totally fresh and organic and probably tastes fantastic!","我什至不知道竹子是可食用的！哇！
我喜欢看着她的农场上种植的东西，一切都是新鲜和有机的，可能会很棒！"
34103,UgwntbwTrLS87gWdbwR4AaABAg,23,bamboo shoots are really delicious.,竹芽真的很美味。
29288,UgwT2T7HfpS_S3Etsr54AaABAg,21,my favorite bamboo shoots and long beans,我最喜欢的竹芽和长豆
33452,UgwoL-2gT6FbGs3eyNd4AaABAg,21,"snail,bamboo shoot i love those",蜗牛，竹芽，我喜欢那些我最喜欢的食物之一，我喜欢看菲律宾的YouT视频
5748,UgwaYawtBC072jeexH14AaABAg,20,the bamboo shoot after she peeled looks sorta like a demented unicorn horn lol ๐,她剥皮后的竹芽看起来像个痴呆的独角兽号角大声笑
30764,UgxRQa4A-PaXviCB9Xx4AaABAg.8yVTcamMULC8yW2P9N3ONL,19,there is plenty of bamboo to go around. it grows quickly.,有很多竹子要去。它很快就会增长。
29546,UgxCqUWFwIq39wXcDTJ4AaABAg,19,when you plant bamboo once in acnl and then have to go clean up the carnage a few days later,当您将竹子种在ACNL中，然后几天后必须清理大屠杀
23964,Ugx9vMjaRJkTIPNqDC14AaABAg,18,i love bamboo shoots...its my favrt...but the bamboo which we eat its little more small then your bamboo,我喜欢竹芽...这是我的最爱...但是我们吃的竹子比竹子要小一点的竹子
15518,UgzON0oBvF-QATs0XeB4AaABAg,17,"the most talented woman youtube, i have a great relaxing feeling when watching her make bamboo shoots.",最有才华的女人YouTube，看着她拍竹射击时，我的感觉很轻松。
34296,UgxFW5vrrBY-ra44lgN4AaABAg,17,"as we all know, the first step of eating snail powder is to start digging of bamboo shoots ...","众所周知, 吃螺蛳粉第一步就是挖笋开始.....看得我瞬间就要去煮一包螺蛳粉压压惊"
6264,UgzdCIMEZGsgrmDN_9p4AaABAg,16,in indonesia. we love the young bamboo she takese. the taste is amazing โค,在印度尼西亚。我们爱她takees的年轻竹子。味道很棒❤
30705,UgwUbmUpfvQnSVUCcXZ4AaABAg,14,i absolutely love your videos! i'm totally in for this bamboo feast!!! bamboo shoots are one of my favorite things to eat. this all looks awesome,我绝对喜欢您的视频！我完全参加这个竹子盛宴！！！竹芽是我最喜欢吃的东西之一。这一切看起来很棒
18431,Ugx8y9urQgd10hph1x14AaABAg,14,"this bamboo shoots have been split with so much moisture. it must be very delicious. can you go to your house as a guest? unfortunately, i did n’t make pork ribs soup, very sweet and delicious and healthy food.",这笋一刀劈开就这么多水分想必好吃极了 。到你家做客好吗？可惜没做排骨荀汤，很甘甜的极美味健康美食的 。
18731,UgzQpRkzQ4SS1A4R3Wp4AaABAg,13,"1:14 this bamboo shoot is larger than my brain, ahaha ~ what kind of you are, what kind of you are",1:14 这个笋子比我脑壳还大，啊哈哈～ 你这个算啥子哦
33996,UgzgJmjWEu74B04XM4t4AaABAg,13,"bamboo shoot with fermented fish is also quite nice ❤️
love from kyrgyzstan... vk","用发酵鱼竹芽也很不错❤️
吉尔吉斯斯坦的爱... VK"
32674,UgzuIC0kZbgaqRXMfvF4AaABAg,13,hmm so this is what bamboo shoots look like (when not in a can/jar),嗯，这就是竹芽的样子（不在罐/罐中时）
28089,UgzQcs09dVWjTG4QDBF4AaABAg,12,"there is a state called nagaland in the north eastern part of india, and we also cook like you do, the bamboo shoot, the eatable snails its omg!! just the way you brush it clean and cooking it with pork!!!",印度东北部有一个名为Nagaland的州，我们也像您一样做饭，竹枪，可食用的蜗牛是它的OMG！就是您刷干净并用猪肉烹饪的方式！！！
16431,Ugy-3nMzYcYNOPDOuDx4AaABAg,11,oh so that’s how bamboo shoots look like in real life i remember there was a cartoon show i used to watch called like heroe 108 or something like that and i remembered there was a character who used bamboo shoots as a weapon and i always thought they were delicious,哦，这就是现实生活中的竹芽的外观可口的
22961,UgwVQLJ2xBaYZbW7gup4AaABAg,11,i love bamboo shoots,我喜欢竹芽
9478,Ugz4rNkUpzVVHXCGwhl4AaABAg,11,"caused the memory of the past, the taste of hometown, cowpea porridge, dried bamboo shoots.",引起过去的记忆，家乡的味道，豇豆稀饭，笋干腊肉。
6488,Ugz6Mm7W8BC9ohgB4p94AaABAg,11,i love the infinity water running thru the bamboo tubes. it's sound so heavenly! i wanna have my spa there with all the herbs and the flowers as my scents and massaged with honeycomb or essential oils from the flowers. then have a sip of my cup of hot rose or ginseng tea. ๐๐,我喜欢通过竹管运行的无限水。听起来很天堂！我想将我的水疗中心与所有草药和花朵一起放在那里，并用蜂窝或花生的精油按摩。然后喝一杯我的热玫瑰或人参茶。
18351,UgwLpUriqrgczctIozh4AaABAg,11,seeing the sour bamboo shoots and peppers mixed together and love it instantly,看到酸笋跟辣椒拌在一起 瞬间爱了
18737,Ugzsvx9qbHniYFQgvE94AaABAg,10,this is sichuan，where pandas live. so you can see so many bamboos here,这是四川，熊猫居住的地方。因此您可以在这里看到这么多竹子
3868,UgwH74kFciN1-IaiJ0B4AaABAg,10,i just amazed by how she use all the leaves vines ect as packing of food or rope while me struggling going to barware store or supermarket to buy so many plastic products...... 's touching me everytime when she show me the skills and wisdom of how to deal with nature. also i feel sorry that my grandparents are no longer able to pass on me their knowledge of how to use bamboo and traditional local dishes...... all of the short stay in rural area are shining memories to me.,我只是对她如何使用所有叶子葡萄藤作为食物或绳索的包装感到惊讶我们决定找到一所拥有大土地的房子，以创造像她家一样的维度。当她向我展示如何处理大自然的技能和智慧时，每次都会感动我。另外，我感到很抱歉，我的祖父母不再能够传递他们对如何使用竹子和传统当地菜肴的知识……在农村地区的所有短暂住宿都对我来说都是闪耀的回忆。
17269,UgxjcBcVFeiVhmYxbvh4AaABAg,9,she looks like princess kaguya in bamboo forrest ( the tale of the bamboo cutter),她看起来像竹福雷斯特公主（竹刀的故事）中的kaguya公主
29967,Ugz-5BlHwlwyOEp7pcl4AaABAg,8,"she is not only amazing but also i learn a lot from her videos,i live in the middle east and it's the 1st time for me to see bamboo shoots ,her videos always leaves me with positive energy..i love her..",她不仅很棒，而且我还从她的视频中学到了很多东西，我住在中东，这是我第一次看到竹脚的拍摄，她的视频总是使我充满积极的能量。我爱她。
32930,Ugz1DBxEBJ9BEGs1RKJ4AaABAg,8,"this is so famous in arunachal pradesh.we call it ""iipe "". very delicious part of bamboo",这在阿鲁纳恰尔邦非常著名。我们称其为“ iipe”。非常美味的竹子
28458,UgyjgiGke3Axaw9uCk54AaABAg,8,"bamboo shoots... my favorite!! 
love your work liziqi... ❤
from manipur, india.","竹芽...我最喜欢的！
爱你的工作liziqi ...❤
来自印度曼尼普尔邦。"
20671,Ugyp7OIylnkF3kW6loZ4AaABAg,8,my dad just brought fresh bamboo shoots to cook.,我父亲刚带来新鲜的竹芽烹饪。
17616,Ugy8_drWdVCcrpXhotR4AaABAg.92iOjyLRCpT92lj9dTXSnp,7,"there are bamboo shoots in this large bamboo shoots, creamy, which is quite fresh.",这种大笋子芯里面有竹笋精，膏状，相当鲜。
31971,UgwGCzOts4q8gz_tfVd4AaABAg,7,"what a big bamboo! these are really big, there are many bamboo in vietnam but its not big like that!",多么大的竹子！这些真的很大，越南有很多竹子，但不是那样大！
15246,Ugxc08zY_vzozGgnblh4AaABAg,7,"1:13 li: look, grandma, this one is bigger than my head~haha~
grandma: there's nothing to show off~i've got much bigger bamboo shoot than this one in years before, haha~ 
9:43 li：(worried) this is too spicy~ you can try this egg","1:13 li：看，奶奶，这个比我的头大〜哈哈〜
奶奶：没有什么可炫耀的〜几年来我比这比这比这比这比这更大要大得多，哈哈〜
9:43 li：（担心）这太辣〜你可以尝试这个鸡蛋"
31151,UgwDdaZO-SlXId0IYGl4AaABAg,7,"bamboo shoots are damn delicious! very crunchy, unique taste, and distinct smell",竹芽真美味！非常松脆，独特的味道和独特的气味
10789,Ugw_dUsvvS9NaTiDmYZ4AaABAg,7,"when i was a kid, my hometown also had a lot of hair bamboo and bamboo shoots. every year, i follow my mother to dig the bamboo shoots and make dried bamboo shoots.",小时候老家也有很多毛竹和竹笋。每顺年都会跟着妈妈后面去挖笋，做笋干。
34452,UgwTnbDtbENt0856UQt4AaABAg,7,"in sollitional food .. bamboo shoot = iwung ,,",在散发食物中。
7904,UgzMqErHl1ZkmfAlsz54AaABAg,7,again. love everything. the bamboo shoots we call mautuai or rawtuai as they are two different species where i live. fermented/sour mauituai we call tuaithur. the river snails are called chengkawl. and the long beans behlawi rah. i should make some of these dishes. its summer/monsoon now and they are plentiful. thanks liz.,再次。爱一切。我们称之为Mautuai或Rawtuai的竹芽，因为它们是我居住的两个不同的物种。发酵/酸味的mauituai我们称为Tuaithur。河蜗牛被称为Chengkawl。还有长豆Behlawi Rah。我应该做一些这些菜。现在是夏天/季风，它们很丰富。谢谢丽兹。
27369,UgyFxYLp7xxYaY9VhY14AaABAg,7,i love to eat bamboo shoot in coconut milk gravy. yumms,我喜欢在椰奶肉汁中吃竹芽。 Yumms
4746,UgzeAliRHFdFB7tlmtV4AaABAg,6,instead of young bamboo it is gatel ... liziqi is great ... from indonesia here qt one team .... proud of you liziqi .. you are my inspiration ..,而不是年轻的竹子，而是gatel ... liziqi很棒...来自印度尼西亚的QT一支球队....为您感到骄傲。
13128,UgyLNiSo135xWMLEsGt4AaABAg,6,"arrived ""appeared on the veranda ..
we call the young bamboo ""bamboo shoots"" and we usually process it into a vegetable lodeh
greetings from indonesia...","到达”出现在阳台上。
我们称年轻的竹子为“竹芽”，通常将其加工成蔬菜lodeh
来自印度尼西亚的问候..."
11416,UgyKmkCls9elr0rbQ_t4AaABAg,6,"in bengkulu city, indonesia. we called this plant as ""bamboo shoots"".",在印度尼西亚的班库卢市。我们称这种植物为“竹芽”。
23950,UgxZCZVUrlZeI9qokoh4AaABAg,6,i feel sorry for the baby bamboo but i've tried bamboo shoots before and they taste great . . . such a hard choice,我为小竹子感到难过，但我以前尝试过竹芽，它们的味道很棒。 。 。如此艰难的选择
15058,UgyMF4j1ok7uvOmYPap4AaABAg,6,this immediately took me back to naruto where menma died before eating the bamboo shoots when he and naruto fetched them for ichiraku to cook,这立即带我回到火影忍者，当他和火影忍者把它们送去一护来烹饪时，Menma在吃竹芽之前就死了。
30186,UgyJqCDjhT3PYjFDofJ4AaABAg,6,wow i never knew bamboo could be so big and never knew the shoots that large were still edible! in america you would not find such a forest and even if you did you would not be allowed to harvest anything. your freedom to forage the wild areas is a blessed gift and that will pay off in lasting health!,哇，我从来不知道竹子会这么大，而且从不知道大型的芽仍然可食用！在美国，您找不到这样的森林，即使您这样做，也不会被允许收获任何东西。您觅食野外区域的自由是一种有福的礼物，这将在持久的健康中获得回报！
4654,UgweA5ZxDmv9cPJS5QB4AaABAg,6,"i was surprised that such a delicate and beautiful woman digs crunchy bamboo shoots with nata and cut freely!
it looks delicious! i would like to eat it.","如此精致而美丽的女人与娜塔（Nata）挖松脆的竹芽并自由切割，我感到惊讶！
看起来很好吃！我想吃。"
13151,UgytFdIOGLrtnkYGfah4AaABAg.95xI76s2uBE9644ToqDcMj,6,she built her camera from bamboo sticks,她用竹棍子建造了相机
7842,UgzbZsdwFVGgHSA12yl4AaABAg.9CNVtbLkub_9CpWuWHgVoA,6,if you don't eat bamboo shoots being a northeastern from india i don't know what you are!!!,如果您不吃印度的东北部，我不知道你是什么！！！
7833,UgzbZsdwFVGgHSA12yl4AaABAg.9CNVtbLkub_9CX6_iJYk-x,6,yeah m frm manipur.. and its bamboo season.. every household fav.. bamboo shoots haha.... u should try sometime,是的，M Manipur ..和它的竹季度..每个家庭最喜欢..竹芽哈哈....您应该尝试一下
20456,UgzOZCSyXEdQnLPLtWh4AaABAg,6,"in assamese language that bamboo we say ""bahor gaztenga""we make pickle",用阿萨姆语言，我们说“ bahor gaztenga”我们做泡菜
32610,UgygQcrl6tmVJ46y3lx4AaABAg,5,"after pulling the bamboo shoots and grabbing the tian snail, i was happy to get a bowl of powder. what is the immortal life!",拔完了竹笋抓完田螺竟然开心地搞了碗粉来嗦，这是什么神仙人生啊！
29688,UgxOc56JxbO9uIT2dtF4AaABAg,5,bamboo shoots are my favorite part of chinese cuisine. water chesnuts are second!,竹芽是我最喜欢的中国美食的一部分。水切斯还第二！
31178,Ugz5Dy8AoOxJv0CjHPd4AaABAg,5,"bamboo is very sharp. it can be used as a weapon!!!

anyway, ziqi makes a wondeful cusine with bamboo. it is interesting!!!","竹非常锋利。它可以用作武器！！！

无论如何，Ziqi用竹子制作了一个奇妙的库岛。挺有趣的！！！"
26512,UgxnDXkPrEpMrRQ8NTN4AaABAg,5,"when i was a kid, i also dug bamboo shoots. 。 was scolded by others.",我小时候也去挖过笋。
21133,UgwGx794HdSmWwmIlKR4AaABAg,5,"i've picked those mushrooms in my woods and grow those beans in my garden before, but that's where my experience with this ends i love bamboo shoots and i know where a stand of giant bamboo grows near an old burned down house. maybe i should try some. it's amazing to think of how much food they get out of those few shoots and that cutting them back makes the plant grow better.",我以前在树林里挑选了那些蘑菇，然后在我的花园里种了那些豆子，但这就是我对此的经历，我喜欢竹芽，我知道在一个旧的烧毁房屋附近生长了巨大的竹子。也许我应该尝试一些。想到他们从那些芽中获得多少食物并将其削减的食物使植物生长更好，这真是令人惊讶。
8017,Ugx7hI7282eZctm9ST54AaABAg,5,i'm gonna try this as i have bamboo shoots at home now.,我要尝试一下，因为我现在在家有竹脚。
7096,Ugx6Irzk0vRU65Wzf5R4AaABAg,5,"aah! bamboo shoot my favorite ๐๐
lots of love from northeast indiaโค๏ธ","啊！竹子拍我最喜欢的
来自印度东北部的很多爱"
22119,UgxCJfx9nywwEHMF8614AaABAg,5,this video is especially satisfying because of her peeling those outer bamboo shoot layers haha.,由于她剥皮了那些外面的竹芽层哈哈，这段视频特别令人满意。
19049,Ugx46KLz3MoYD0YNGCh4AaABAg,5,those bamboo forests are mesmerizing to see.,那些竹林令人着迷。
33637,UgzD32VatiXq8IT-BeR4AaABAg,5,"bamboo shoot, pork, roasted chillies, fresh water snails, lotus roots.......oh my, oh my
i wish i was home","竹芽，猪肉，烤辣椒，淡水蜗牛，莲根.......哦，我的，哦，我的
我希望我在家"
14034,UgxjRMUcthC3Hu-2Ur94AaABAg,4,"liziqi: i need bamboo shoots 
goes to the bamboo feild
me: i need bamboo shoots
goes to the market","liziqi：我需要竹芽
去竹菲尔德
我：我需要竹芽
去市场"
14267,Ugx9scXIVeGR00l-hFN4AaABAg.94KdLZ7CMpN95BIMnV1KcK,4,"lmao its bamboo, they are one of the plants that grow the fastest in no time+ she doesnt do much damage than us living in cities that once were big forests too",lmao它的竹子，它们是一个立即生长最快的植物之一，她没有比曾经是大森林的城市所造成的伤害
