,cid,votes,time,含bamboo,含bamboo中文翻译
22966,UgxU9Sbakj1FojVvuXp4AaABAg.92dBGmfuAR-92jLn0fEm-q,2,3 years ago,"how can it be. essence hua nong is true, ziyi is like making movies. if you want to watch beauty, there are many documentary. hua nong's affinity, ziyi can not bring us.ๆฏ i have been firing recently because foreigners like it. the chinese feel strange. then come to see why foreigners like it. of course, ziyi is also very powerful, but most chinese people feel that it is not very interesting. especially rural people feel the deepest, just like you are selling phone, hundreds of calls every day, you have to die, the salary is only more than 3,000. as a result, some people took a video of the phone sales. the protagonist was very handsome and cozy. with erlang's legs, a beautiful and elegant life, you know it is unreal at a glance, and then subconsciously criticize, because you think your real life has been consumed by these vested interests, but it is beautiful. the truth, you will not imagine, just like li xuan attacking those who want to pasto the pastoral shepherd, the hua nong fire is mainly because of the fierce excuses to kill the bamboo rat, and then it is more real, not installed, very natural, the hair is not of the hair, the hair is not none of the hair. washing, funny, so affinity.",怎么可能。。华农好歹真实，子柒就像是拍电影的感觉，要想看美的，各种纪录片多得是，华农那种亲和力，子柒是不能带给我们的，只有不了解中国的外国人喜欢，子柒最近会火，多是因为外国人喜欢，中国人觉得奇怪，然后来看看老外为什么会喜欢，子柒当然也很厉害了，但大多数中国人觉得不是很有趣，觉得子柒很装，特别是农村人感受最深，就像你是电话销售，每天几百个电话，累的要死，工资才3000多，结果有人拍了个电话销售的视频，主角很帅很惬意的打着电话，翘着二郎腿，衣着靓丽优雅的生活，你一看就知道不真实，然后下意识的去抨击，因为你觉得你真实的生活被这些既得利益者消费了，其实就是距离产生美，很多东西你看到过真相，你就不会在去想象，就像李诞抨击那些想田园牧歌的人一样，华农火主要是因为凶残的找借口杀竹鼠，然后也比较真实，不装，很自然，头发都不洗，滑稽搞笑，所以有亲和力。
48392,UgzWRYXgVqoDqwQ1CSx4AaABAg,2,4 years ago,"matep ..
i am chinese descent but not all of them i understand. this is miss again preparation for welcoming the chinese new year. the tradition of making cakes and snacks ahead of the chinese new year is super busy. yep ... all the culture of other parts of the world will also be busy if it is approaching or welcoming the day of the celebration according to their respective traditions.
specifically in this video, traditions and recipes are indeed innate from our ancestors. but of course not all we can make in my beloved indonesia, because not all the materials used in our ancestors are in the land of indonesia. so we replace it with local materials. and it turns out it doesn't feel like it is worse. and more importantly is the essence that is ...
in our country indonesia even has more variety of traditions and culture, our land also produces extraordinary variety of agricultural products. we can be proud as asian nations and of course especially indonesia.
i admit that miss li is very extraordinary to show the world how beautiful the country, tradition, culture, etc.
i really hope there is a figure like miss li in indonesia, so that the world will see the way we make rendang, chicken opor, bamboo lemang, etc. .. certainly will make the world amazed.
greetings from pekanbaru.","matep ..
我是中国血统，但我了解的不是所有人。这再次是为欢迎农历新年的准备。在农历新年之前制作蛋糕和小吃的传统非常忙。是的...如果根据各自的传统接近或欢迎庆祝活动的那一天，世界其他地区的所有文化也将很忙。
特别是在此视频中，传统和食谱确实是我们祖先的天生。但是，当然，我们在我心爱的印度尼西亚并不是所有的东西，因为并非祖先中使用的所有材料都在印度尼西亚之地。因此，我们用当地材料代替它。事实证明，它并没有更糟。更重要的是...的本质是...
在我国，印度尼西亚甚至拥有更多种类的传统和文化，我们的土地也生产出非凡的农产品。我们可以为亚洲国家，尤其是印度尼西亚而感到自豪。
我承认，李小姐非常非同寻常，向世界展示国家，传统，文化等多么美丽。
我真的希望有一个像印度尼西亚的李小姐这样的人物，这样世界将看到我们制作鸡，鸡肉，竹子莱蒙等的方式。肯定会让世界惊讶。
佩坎巴鲁的问候。"
16601,UgyGVzylN_or_ohuRoh4AaABAg,1,3 years ago,"could you try making bamboo pipe cakes? i watched it from a video that dianzi xiaoge did for her son, yunnan and i though you could have a challenge with this one.",您可以尝试制作竹管蛋糕吗？我从戴安兹·小（Dianzi Xiaoge）为她的儿子云南（Yunnan）做的视频中观看了它，尽管您可能会对这个挑战。
27559,Ugy4rrKHmsbODkmnBBR4AaABAg,1,3 years ago,"the man who marries this woman wins the lottery. he knows how to do everything, i have seen another video of her making a formidable bamboo furniture. i'm going to live in china, i find her and i do my wife, ha ha ha .....
(barranquilla - colombia / friday, august 30, 2019).
--------------------------------------
the man who marries this woman wins the lottery. she knows how to do everything, there i have seen another video of her making a formidable bamboo furniture. i am going to live in china if i have found it and i make it my wife, ha .....
(barranquilla - colombia / friday, august 30, 2019).","与这个女人结婚的男人赢得了彩票。他知道如何做一切，我看过她制作强大的竹具的另一个视频。我要住在中国，我找到了她，我做我的妻子哈哈哈.....
（Barranquilla-哥伦比亚 / 2019年8月30日，星期五）。
------------------------------------------------------
与这个女人结婚的男人赢得了彩票。她知道如何做所有事情，在那里，我看过另一个她制作了强大的竹作家具的视频。如果我找到了它，我将住在中国，而我成为我的妻子，哈.....
（Barranquilla-哥伦比亚 / 2019年8月30日，星期五）。"
22641,UgxK3r_oT2VQLdcCHFZ4AaABAg.92pimCBlCp892prhSmR-rZ,1,3 years ago,"people really do these farm work, including a bamboo chair, not performed by light performances. of course, the video is artistic processing. it is said that the performance is not advisable. villages in various places are not exactly the same.",人家是真的会做这些农活，包括做了竹椅的，不是光表演就能表演出来的，视频当然是有艺术加工处理的，说是表演不可取。各个地方的乡村也并不是完全一样。
28019,UgyyrbUKYWOw4sOzJgt4AaABAg.8ytwvQwB2C48yxQDNJdaPE,1,3 years ago,me too i saw first bamboo video.. and them become addicted :)),我也看了第一个竹视频..他们上瘾了:)）
25198,UgxDoocYMAjGlpgg5iV4AaABAg,1,3 years ago,i would love to have those large bamboo trays fro drying my herbs. where can i get them?,我很想让那些大的竹盘从我的草药干燥。我在哪里可以得到它们？
46370,UgzheQh3lqKH1EvFUZZ4AaABAg.8qv-xnvCyIE8qwoo8Mp2LO,0,4 years ago (edited),"@christiannugraha1011 i recognize that she dragged the bamboo, not lifted, that’s why i wrote ""dragged."" i’d want to know if she even lives near a bamboo forest. in other vids, we are lead to believe her house is located on a mountain, not a hill. in this vid, she’s filmed dragging those 60’ bamboo poles across a large field. even if the bamboo forest does grow “next” to her house, it’s apparent that's not what she wants her audience to believe based on the images provided (e.g. dragging the 60’ bamboo poles down the “hill,” across a field, up the “mountain.”) she wants the viewer to believe she can labor and toil and still look immaculate, without a drop of sweat, not a strand out of place, no smears of dirt on her face and hands while miraculously keeping that lipstick and no-makeup makeup look. 

she also had an adult dog a year ago who disappeared from the vids and two puppies showed up recently with a lamb. are these dogs props, personal pets, or livestock?

that weibo is her target audience is irrelevant to my skepticism. but, since we’re on that topic, it’s obvious she’s branching out to youtube because she gets paid when she has youtube advertisers. plus, she can probably make more from youtube than she can make from weibo.

and, yes, we shouldn't believe everything on the internet and her videos are a glaring reason why we shouldn't. a typical youtuber share a day in his/her everyday life by not contriving and fictionalizing it to the degree and frequency that it’s probably happening in her vids and without acknowledging it to the viewer.

i'd enjoy the cinematography more if i'm not shaking my head in disbelieve at some of the antics.","@christiannugraha1011我认识到她拖着竹子而不是抬起，这就是我写“拖动”的原因。我想知道她是否甚至住在竹林附近。在其他视频中，我们认为她的房子位于山上，而不是山上。在这个vid中，她拍摄的是将这60英尺的竹竿拖到大型田地上。即使竹林确实在她的房子里“下一个”生长，显然这不是她希望听众根据所提供的图像相信的（例如，将60'的竹杆拖到田野上的“山丘”上，向上拖动“山。”）她希望观众相信自己可以劳作和辛劳，而且看起来仍然完美无缺，没有汗水，没有一束不合适的，她的脸和手上没有污垢，而奇迹般地保留了那只口红，也没有 - 制成化妆看起来。

一年前，她还有一只成年狗，他从视频中消失了，最近有两只幼犬出现在羔羊身上。这些狗道具，个人宠物还是牲畜？

微博是她的目标受众，与我的怀疑主义无关。但是，由于我们在这个主题上，很明显，她正在YouTube分支机构，因为当她拥有YouTube广告客户时她会得到报酬。另外，她可能从YouTube中获得的比微博所能获得的更多。

而且，是的，我们不应该相信互联网上的所有内容，她的视频是我们不应该不应该的明显原因。一个典型的YouTuber在他/她的日常生活中分享了一天的一天，因为它不考虑和虚构的程度和频率，可能会发生在她的视频中，而没有向观众承认它。

如果我不对某些滑稽动作不相信自己的头，我会更喜欢摄影。"
40140,UgyP60npm0iFynpTQ6x4AaABAg.8sYfCNysqHb8s_-O3hZfxe,0,4 years ago,this is a traditional chinese snack.。it is a string of wild fruits strung with bamboo sticks and then glued with maltose。it has been recorded since the song dynasty。,这是一种传统的中国零食。
40195,UgzgvpAT9-MykZqeqvx4AaABAg,0,4 years ago,i’m a new subscriber & i’m amazed at your talents; from making bamboo furniture to creating good things to eat.,我是一个新的订户，对您的才华感到惊讶；从制作竹作家具到创造美好的食物。
41443,Ugw0hiL7B1S79TA_N0p4AaABAg,0,4 years ago (edited),"once a young peasant woman with her sheep and wolfhound rangers gathered snails and shaggy zholudi in a bamboo forest, to make a stew with cakes and zifir and chopped with pastille .. then praised the whores with butter, weld and i realized that she was cool finally ..",曾经是一个年轻的农民女人和她的绵羊和狼狗游骑兵在竹林里聚集了蜗牛和蓬松的Zholudi，用蛋糕和Zifir炖了炖肉，并用俗气切碎。最后 ..
45438,Ugzv09gJ7_C43e3tRRV4AaABAg,0,4 years ago,"this younger sister is so talented that people will make sauce dishes without tightness, and they can make woodworking bamboo wares that are amazed by men in both hands.
this time, i made a snack again, which made people look too much ... great, xiaoqi","这位小柒妹妹实在太有才了，人长得美不打紧还会亲手做许酱料佳肴，双手还能做出连男人都惊叹的木工竹器，太佩服了。
这回，又做了年味点心，让人看了太喜爱...太棒了，小柒"
43846,Ugwy6Ee2PIQOLiw9ho14AaABAg,0,4 years ago,"a few days ago when i watched the bamboo rat at station b and looked at the barrage, i realized that li ziyi was still a commercial elite. taobao's turnover of more than one billion yuan a year.",几天前在B站上看竹鼠看弹幕时才知道李子柒还是个商业精英啊，淘宝一年一个多亿的营业额。
44132,UgxkVXWsrwR6JUUQkot4AaABAg,0,4 years ago,"i want to see how to do bamboo tubes, please",想看如何做竹筒粑粑 拜托了
46368,UgzheQh3lqKH1EvFUZZ4AaABAg.8qv-xnvCyIE8qv4fspWIOI,0,4 years ago (edited),"萩邪 she's the one representing herself as someone living primitively in a rural area using primitive tools. if she wants to demonstrate to the world how one can live, cook, almost primitively while having their own tv crew and production budget which includes an interior/exterior renovation so that it's visually pleasing to a youtube audience, great, that's her prerogative and i hope she gets paid well to act the part in her flowing dresses and model poses. but, she or her production company should explain that in her channel so her audience are not questioning the reality of the “show” as entertaining and contrived and staged as it may look. okay? seriously, are we really expected to believe that she dragged half a dozen 60' long bamboo poles down a mountain, across a large field, and back up the mountain to her farmhouse? and, is that old lady even her grandmother?",她是代表自己是使用原始工具在农村地区原始生活的人。如果她想向世界展示一个人如何生活，做饭，几乎是原始的，同时拥有自己的电视工作人员和制作预算，其中包括室内/外部装修，以便对YouTube观众视觉上令人愉悦，这是她的特权，这就是她的特权和我希望她能获得良好的薪水来扮演自己的飘逸连衣裙和模特姿势。但是，她或她的制作公司应该解释说，在她的频道中，她的观众并没有质疑“表演”的现实，因为它看起来很有趣，人为地和上演。好的？认真地说，我们真的希望她相信她将六根60'长的竹竿拖到山上，越过大田，然后将山上拖回她的农舍吗？而且，那个老太太甚至是祖母吗？
38839,UgwUpm9P-adPU4aTPkJ4AaABAg,0,4 years ago,iโ€m in ah moment iโ€m always left speechless how does she know how to do all of that where and when did she gathered all that knowledge? not gonna lie wished i a peace of land so could grow a garden along with bamboo that furniture made from bamboo was amazing. saw it yesterday well do saying iโ€m speechless i sure did said to much ๐,我在啊，我总是无语，她怎么知道如何完成所有这些知识？不会撒谎，希望我的土地平静，所以可以和竹子一起种植花园，用竹子制成的家具很棒。昨天看到了，说我无言以对，我肯定对
4750,UgxtOZhLgR4zsfyDaxh4AaABAg,0,1 year ago,good bamboo,好 棒 的 竹
28602,UgwvlmBEZVybrDm7ujx4AaABAg,0,3 years ago,"this woman knows how to do just anything and everything. she knows how to forage, cook and preserve food, she knows how to make beautiful furnitures from bamboos, she knows embroidery, she knows how to sew and dye a dress, she knows how to make strings from her sheep's wool and i've only watched like 3 of her videos??? most of us go to universities to learn only one of those skills??? what????",这个女人知道如何做任何事情。她知道如何觅食，做饭和保存食物，她知道如何用竹子制作美丽的家具，她知道刺绣，她知道如何缝制和染色，她知道如何用绵羊的羊毛制作弦看着她的3个视频？？？我们大多数人都去大学学习其中一种技能？？？什么？？？？
33280,UgzYAPal7GjkZkDP3yZ4AaABAg.8vMLi_z2HBf8v_J00dEGVL,0,4 years ago,"yongky willmana shes got everything... like building a sofa with bamboo, making colorful dress with grapes...etc",Yongky Willmana Shes拥有一切...就像用竹子建造沙发，用葡萄制作五颜六色的衣服...等
32326,Ugxc6y6_-820Wbjsm8N4AaABAg,0,4 years ago,so talented but uses too much plastic i thought she would make her own bamboo bags or something for the produce,如此有才华，但使用太多塑料，我以为她会自己制作自己的竹袋或产品
31830,UgwLuyMUyTvoiizlLUh4AaABAg,0,4 years ago (edited),omg there is the furniture she made frome bamboo,天哪，有她做的家具
29264,Ugyo5cM6rAFot2UsxVZ4AaABAg,0,3 years ago,"bamboo, fire, golden corpse, bamboo, bamboo corpse bamboo, bamboo, bamboo, and ten wood",竹水火金尸火竹金尸竹竹火竹土 十木
6604,Ugzr_5br_b4wp2rRZtV4AaABAg,0,2 years ago,"the boiling file compatibly balance because bamboo specifically examine atop a stupid person. alluring, seemly law",沸腾的文件是兼容的，因为竹子专门检查一个愚蠢的人。诱人的，看似法律
28062,Ugxp2QPv_RhQMAQC2Ux4AaABAg,0,3 years ago,"nice to meet you ๐€

i am japanese.

this person is addicted to seeing a video that breaks bamboo and watching it.

how old is this woman? i'm curious.

i registered the channel ๐€","很高兴认识你

我是日本人。

这个人沉迷于看一段视频打破竹子并观看它。

这个女人多大了？我很好奇。

我注册了频道"
28020,UgyyrbUKYWOw4sOzJgt4AaABAg.8ytwvQwB2C48yzGUUFREuA,0,3 years ago,@cataliniannis616 wow so i'm not the only one who become addicted after watching the bamboo version ๐,@cataliniannis616哇，所以我不是唯一一个观看竹版后瘾君子的人
24353,UgyQAMmANW_77J2u1xt4AaABAg.91AgDmPxghl92eIotlF55M,0,3 years ago,"this garden is in southwest china๏ผthere lives liziqi, bamboo and giant panda, welcome๐",这个花园在中国西南部，在那里生活，竹子和巨大的熊猫，欢迎
