,cid,votes,含creative,含creative中文翻译
37489,UgwLdkaU_COCGKyyWrl4AaABAg,4,"a source of positive energy, even if the psychological is tired, you feel comfortable, you are well creative",积极能量的来源，即使心理疲倦，您也感到舒适，您很有创造力
37300,UgxnKHeuspMr8Hiz4hJ4AaABAg,3,"one of the most beautiful things i looked at, you are creative, i like your mastery of your work",我看的最美丽的事物之一，您很有创造力，我喜欢您对工作的精通
5163,UgzjNVMnOPQFvuE1_rF4AaABAg,3,"i didn't know that chinese village 
life is so creative god bless you and good luck fore your future","我不知道那个中国村庄
生活是如此有创造力的上帝保佑你，祝你好运，在你的未来 -"
39580,UgwFM1ggaz8pxFrqxdl4AaABAg,2,you are a fairy in paradise ๐งโ€โ๏ธ simply. you are creative ๐ฅฐ,你是天堂中的童话。你是有创造力的
41301,UgyusMMdx-c9XjC23rp4AaABAg,2,"this is so amazing... i am speechless... i just recently discovered this channel and have fallen in love with it! keep up with your amazing, creative work! 
much love from germany ♡","这真是太神奇了...我无语...我最近发现了这个频道，并爱上了它！跟上您惊人的创意工作！
来自德国的很多爱"
30876,Ugy3YolHHrz6BAq-1VV4AaABAg,2,"glory be to god, a paradise on the ground in which all fruits, vegetables, and girl are creative, and life is great in this spot of the earth.",荣耀归于上帝，在所有水果，蔬菜和女孩都有创造力的地面上的天堂，在地球这个地方的生活很棒。
28684,UgxksTE9wGiyI2pFMTh4AaABAg,2,this video creative and really-really amazing โจโจโจโจ๐‘‘,这个视频创意，非常非常惊人✨✨✨✨
2329,Ugx4qywBWnnXZa9zjfx4AaABAg,2,most creative girl,最有创造力的女孩
1775,Ugxx_UFKQg4oB36qtSN4AaABAg.9bGcZrQxffm9ntooOQD59k,1,"i agree with your advantage, i too am a very good colom, a creative girl, and i have found a year ago and stayed up",我同意您的优势，我也是一个很好的Colom，一个富有创造力的女孩，我在一年前找到了
30629,UgzMmRk6M7zCwSyObEF4AaABAg,1,hi im new to your channel and i like what you do and how your so creative of what you do and the things you make and how they turn out very lovely at what you do keep it up,嗨，我是您的频道新手，我喜欢您的工作，以及您如何创造自己的工作以及您所做的事情以及它们如何非常可爱的事情，
31321,UgymsgpHW4z2lLGkknR4AaABAg.8wJSy4-v-pU8wLXT3mpwmw,1,@eliekawave8116 so lame next time come up with something more creative chimp,@eliekawave8116所以下次la脚提出一些更具创意的黑猩猩
852,UgxXSoukInNZ0q2N3_N4AaABAg,1,i like your creative meals,我喜欢你的创意餐
34360,Ugz4oE2UswtqfGdlab54AaABAg,1,the very creative lady in the world ๐–ค always watching โค๏ธ,世界上非常有创造力的女士
34543,Ugw5s9z3MVHWUuAa_XR4AaABAg.8uztCsvLOer8vU8s6pSoWb,1,"i was thinking the same thing how could you capture that on camera this channel obviously has a talented and creative camera man director and editor

the music and audio that's also perfectly tailored to the scene","我在想同样的事情，你怎么能在相机上捕捉到这个频道显然有才华横溢且创意的摄影师导演和编辑

音乐和音频也非常适合现场"
35617,UgwvbPf0UYrtkcgQXZp4AaABAg,1,"the coat is so cute,she is beatiful,she is creative ๐๐๐๐๐๐๐๐ i love she โฃโฃ",外套是如此可爱，她很美丽，她很有创造力
24963,UgxwOVeBa2SFEKIgv4l4AaABAg,1,it is creative,它很有创造力
38822,Ugx8jzEhjlKR7cEytdd4AaABAg,1,"god willing, a second world is creative, so everything",上帝愿意，第二世界是有创造力的，所以一切
41007,Ugx4LuoHmubeWZt8qjp4AaABAg,1,who's recording this? it's awesome. food is everywhere. so creative and talented,谁在录制这个？这很棒。食物无处不在。如此有创造力和才华
51780,UgwcbjBSIcrxac0FQwh4AaABAg.8qlSByVRnOS8qlZZytnfwG,1,"by god, it is true. the girl is creative with the word",上帝，这是真的。女孩具有创造力
26286,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9-UPqVbrgjH,1,"yes, as someone else below commented: she makes you want to do something creative/meaningful.",是的，正如下面的其他人所说的那样：她让您想做一些创意/有意义的事情。
30571,Ugy_rO-a59Lsu4z62gd4AaABAg,1,very creative! bleak,很有创意！
14968,UgwtSRxngECjx9i_tXh4AaABAg,1,"you are so good at cooking, creative, neat and clean... you live so peaceful in that place with nature around. i love it",您是如此擅长烹饪，富有创造力，整洁和清洁...您在那个地方生活如此宁静。我喜欢它
5469,UgxxZtgUMU9Jx_c1OWB4AaABAg,1,she's beautiful and creative,她美丽而富有创造力
7238,Ugw7i80VT-iWrXfdj214AaABAg,1,what a creative mind,多么有创造力的心灵
4727,Ugz46k-SqO8fT5qMZ5d4AaABAg,1,"creative, pintere, bakate ....",创意，Pinter，Bakate ....
4341,UgyYC5t33br_XRzFlnR4AaABAg,1,peacefull world always give happiness and it also give a creative idea,和平世界总是给予幸福，这也给了一个创意的想法
17858,UgwuVdQ1ichVhgkJcVR4AaABAg,1,oh my god she is so hardworking and creative,哦，天哪，她是如此勤奋和创造力
18344,UgyDUr1aLaG7Dnm3Gmx4AaABAg,0,"beautiful. love every thing. i love with the sharp color and texture of the video. you are very talented and creative. 

would really appreciate if you would consider adding some english subtitles. thank you.","美丽的。爱每件事。我喜欢视频的鲜艳色彩和质感。您非常有才华和富有创造力。

如果您考虑添加一些英文字幕，真的很感激。谢谢。"
42958,UgwO_sTYjnoujIcttcd4AaABAg,0,"this girl is already handsome, sweet, smart cooking, can make cakes, completely bgt. place her residence, clean kitchen, help her grandmother, creative,
bgt's ideal girl, hemmm","这个女孩已经是英俊，甜美，聪明的烹饪，可以制作蛋糕，完全BGT。
BGT的理想女孩，hemmm"
43696,UgypqH-AvvuWBS4OTDd4AaABAg,0,"hi

i impressed your creative and i just created a youtube channel and i would like introduce to you.

channel address
deliciousbowl

https://goo.gl/aqttrw

kindly support 

my channel prefer indian style food and i would like to learn international food and like to introduce to our community.","你好

我给您的创意留下了深刻的印象，我刚刚创建了一个YouTube频道，我想向您介绍。

频道地址
美味碗

https://goo.gl/aqttrw

请支持

我的频道更喜欢印度风格的食物，我想学习国际食品，并希望向我们的社区介绍。"
4078,Ugwp5JOHASJuhEhBd2h4AaABAg.9S2KC4bd-or9S3x6QUmdio,0,@aya-vr9gq hahahaha this girl is creative frankly,@aya-vr9gq haha​​haha这个女孩很有创造力
43193,UgyNnD3MAKIgrh8VjKN4AaABAg,0,and my lord is creative,我的主很有创造力
41629,Ugw-BdglCNjch48Rqp94AaABAg,0,i am happy watching you doing beautiful creative loving work with nature all around you. you are beautiful too,我很高兴看到您与周围的大自然一起做美丽的创意爱情。你也很漂亮
42909,UgxaxLgViSPwlIfFkrR4AaABAg,0,"wow, good creative",哇，好创意
3923,UgzGdtPvUYlM3HSm31p4AaABAg,0,"nice food , i like your creative. for me makes traditional food too. thank you so much for sharing.",美味的食物，我喜欢你的创意。对我来说，也制作传统食物。非常感谢你的分享。
41510,UgyAsnIf3Cwl4x8w78B4AaABAg,0,"i like his video, all. creative ...",我喜欢他的视频，全部。创意...
5631,Ugzh0zAggCk9CqgK6Xl4AaABAg,0,creative and pretty asmr because it is asmr to me.,创造性且漂亮的ASMR，因为这对我来说是ASMR。
37701,UgwoF_3ooncR6C_cWqJ4AaABAg,0,creative and talented..proud of you!,创造性和才华。
44070,Ugx7WxnNjmfZbXvmyqV4AaABAg.8rGEgBiIX4t8rSlq0IhJV3,0,"by god, this is creative and i hope to live in this place",上帝，这很有创造力，我希望生活在这个地方
44947,UgzqnCUq_-Lh-jOFomp4AaABAg,0,i like your creative fusion cusine method in forest.,我喜欢您在森林中的创造性融合Cusine方法。
37445,UgwG8sOoXqLC1_pV9814AaABAg,0,most happy to see video koyo ngene material material from the creative nature pokoe joz ๐‘๐‘๐‘๐‘,最高兴看到视频Koyo Ngene材料来自创意性质Pokoe Joz
45019,Ugx0oYGT8ZJ57unO5KJ4AaABAg,0,"wow, creative, you are successful",哇，创意，你成功了
45611,UgwxEtWvMxiFfQpStQp4AaABAg,0,very creative,非常有创造力
46626,Ugxl9WEWqA7S92y3zdR4AaABAg,0,"strong women ... creative ... pretty ...
his life is very good ...","坚强的女人...创意...漂亮...
他的生活很好..."
47204,UgzR5mifbU6CV2hPR5Z4AaABAg,0,happy new year from america :-) i love your videos and so wish i could learn all your creative methods of making sweets! thank you for sharing! <3,来自美国的新年快乐：-)我喜欢您的视频，因此希望我能学习所有制作糖果的创意方法！感谢你的分享！ <3
47282,UgxcDn5cXPE8DRbPwp14AaABAg,0,you are really one of the greatest women and an example to follow you are wonderful and creative i hope to like you one day,您确实是最伟大的女人之一，也是跟随您的榜样，我很棒，很有创造力，我希望有一天喜欢您
47410,Ugz0DjIcpLXWz747vtN4AaABAg,0,so many delicious treats from fresh naturally grown real foods by a very creative and able person. thank you for another interesting and calming vid. happy lunar new year to all involved in the creation of this vid and to those who watch it!,如此富有创造力和能力的人会从新鲜的天然食物中获得如此多的美味佳肴。谢谢您的另一个有趣而平静的视频。所有参与创建这个vid的人以及观看它的人！
47483,Ugzdbjw8ciwRcgVOfpl4AaABAg,0,you are beautiful and creative,你是美丽而富有创造力的
49006,UgxFxiF3A6WdYtVjqth4AaABAg,0,"happy new year li ziqi & to ur grandmother &happiness ❤❤❤❤❤ ur are 1 in a million unique talented kindhearted young lady 
thank u very much for sharing all your beautiful awesome videos .... iam learning alot from your talent & creative healthy cooking & handicraft & ur grandmother","新年快乐李Ziqi＆tor ur祖母
非常感谢您分享您所有美丽的令人敬畏的视频。...我从您的才华和创意健康烹饪和手工艺品中学习了很多❤"
49354,Ugz2BR0m_QyeX_OJmqh4AaABAg,0,creative,有创造力的
49905,Ugwl2DBCweJBy3KWbm54AaABAg,0,i don't know where are you from...but you too creative girl,我不知道你来自哪里...但是你太有创造力的女孩
50206,UgxLiR9G1fslZxDNfXl4AaABAg,0,amazing ❤️ creative ....,惊人的❤️创意...
51262,UgyJQRrMMFmpfS8zST54AaABAg,0,really creative like this ... if in indonesia there is a super youtuber like this ... the subcribe may not be that much,真的很有创造力...如果在印度尼西亚有这样的超级YouTuber ...
2842,UgzY05U8Tvv8rvmMpG94AaABAg,0,a few creative word in your right,右边的一些创意词
52101,UgweZ7nGrG_cN0YAUDF4AaABAg,0,"your video so nice and amazing. i saw about 20 videos or more within 2 days. 
you are so cute, beautiful, creative, strong girl and i love the way you take care of your grandmother.
love and respect you from vietnam.","您的视频真是太好了。我在2天内看到了大约20个视频或更多视频。
你是如此可爱，美丽，富有创造力，坚强的女孩，我喜欢你照顾祖母的方式。
爱和尊重你的越南。"
6132,UgyReEi8js-hC07-SNt4AaABAg,0,"you're so creative, ndu",你很有创造力，ndu
36997,UgzT7_5rOtbh8_8IkWZ4AaABAg,0,"tbh, i love being connected with my computer and everything, especially to see this type of content, but i feel like we should go way more outside and earth should look way more like in the video: original and beautiful nature! not pollution made by tons of cars and huge sky crappers hiding the horizon... the way this young lady showed us how creative you can be with so many things nature gives us legit got me in tears... we're here trying to fight for environmental changes while she's living what i'd call a true and simple life. that's what we all should try to reach, simple and pure happiness, made from little things of the daily life.",tbh，我喜欢与我的计算机和所有内容联系在一起，尤其是看到这种类型的内容，但是我觉得我们应该在外界更像，地球应该更像是视频中的：原创和美丽的自然！这不是大量的汽车和巨大的天空cr险污染，隐藏着地平线...这位年轻女士向我们展示了您对大自然的多种事物的创造力，使我们感到哭泣……我们在这里试图在这里试图为环境变化而战，而她过着我所说的真实和简单的生活。这就是我们所有人都应该尝试到的，简单而纯洁的幸福，这些幸福是由日常生活的小东西制成的。
6430,UgxZhWahXDhEER51WAt4AaABAg,0,she very inspirational living in country side and very creative woman. now a day.not many women can work in a farm and climbing up hill.,她生活在乡村方面和非常有创造力的女人。现在一天。没有许多妇女可以在农场工作并爬上山上。
18405,UgylniMUsFNuGcOJ7iR4AaABAg,0,she is very creative... ❤ love from bangladesh,她很有创造力...❤孟加拉国的爱
18640,UgyJoYE82X1U7jRu6yR4AaABAg,0,what a nice video. i love that you want grandpa. and very natural sweets. you are very creative. it motivates me to do things. i have.,多么好的视频。我爱你想要爷爷。和非常自然的糖果。你很有创造力。它激励我做事。我有。
19261,UgxVnwT6wJSLbm7xFZx4AaABAg,0,"i wish i have a woman like her .. she's so fashonate , creative , strong and a beutifull woman.",我希望我有一个像她这样的女人。她是如此的粉丝，富有创造力，坚强和一个贝蒂法尔（Beutifull）的女人。
19589,UgydhP1WKfP1XMjbT2l4AaABAg,0,very creative,非常有创造力
19939,Ugxg0lENrOdpnXzgfuF4AaABAg,0,"i am colombian as i would like to be your intelligent and judicious creative worker, it hurts what i am poor and i do not have the ways to buy the things that you do i like the kill and have bird chickens i congratulate you you are beautiful and your mom also also bless you with a lot health and strength to keep this worker and judicious",我是哥伦比亚人，因为我想成为你聪明，明智的创意工作者，这伤害了我贫穷的东西，我没有办法购买您所做的东西，我喜欢杀人和鸟儿鸡，我祝贺你，你是美丽的您妈妈还祝福您拥有很多健康和力量，以保持这位工人和明智
19987,UgwTH0IDnPj6Ww5ZYBR4AaABAg,0,wow! it 's so creative that you make this yourself,哇！它是如此创造力，以至于自己做这个
21591,UgzdNUBMD4a8jj60-hx4AaABAg,0,creative,有创造力的
23817,Ugzuo0H-2DBz_BDukiR4AaABAg.9261i1TWznF92GQ6U_8CCU,0,@gwendolinguo2124 i just saw it after i commented. what i loved the most is she she shows in her video that she too used youtube to teach herself and expanded creatively from there.,@gwendolinguo2124我发表评论后刚刚看到了它。我最喜欢的是她在视频中展示了她也用YouTube来教自己并从那里创造性地扩展自己。
23839,UgwXVvZQLE462Z5fDmN4AaABAg.923ISAUWGmC92Aa960qpsW,0,"no itโ€s not egg!!!! itโ€s butter that is melt. you can see she put some marshmallows into the pot when butter melted and boiled. then you can follow her. but i think you need several times to make it. cause you need to find a balance of taste. i saw my sister doing it before. omg very delicious!!! and being creative, cookies raisins nuts fruits anything you want.",不，不是鸡蛋！！！这是融化的黄油。您会看到她在黄油融化并煮沸时将一些棉花糖放入锅中。那你可以跟随她。但是我认为您需要几次才能做到这一点。因为您需要找到味道平衡。我以前见过我姐姐这样做。天哪，非常美味！！！饼干葡萄干坚果发挥创意，果实果实任何您想要的东西。
23913,UgwwE_vpIJNQ5_ZOKX54AaABAg,0,very creative,非常有创造力
18070,Ugx5YDmEoXFnYhYLvtB4AaABAg,0,"you are creative, clean and beautiful",您富有创造力，干净美丽
25453,UgyWgvooopUTzdlP5g14AaABAg,0,"she is amazing artistic, strong, creative, courageous the only thing that bothers me is the way she handles dogs. have never seen a loving touch towards them.",她是惊人的艺术，坚强，富有创造力，勇敢的人，让我感到困扰的唯一事情就是她处理狗的方式。从未见过对他们的爱意。
27100,Ugw3DbhPON3sDZ1ANnZ4AaABAg,0,you are very creative in everything my sister,你姐姐的一切都很有创造力
17522,UgzyfNnx9F4HEMskppl4AaABAg,0,"oh god, what is the most beautiful nature, and you are a creative girl with a good",哦，天哪，最美丽的天性是什么，你是一个有创造力的女孩
29171,Ugzpp5e2sgyeUcyZvyJ4AaABAg,0,"you are creative liziqi, more than wonderful nature abounds with all good things, i wish we had jinan like you enjoying it, congratulations to you",您是创造性的Liziqi，在所有美好的事物中都充满了奇妙的自然，我希望我们能像您一样喜欢Jinan，向您表示恭喜
29831,UgxurKOZsEMdel2IhTN4AaABAg,0,hi creative in the sense of the word,在这个词的意义上，嗨，创意
15429,Ugxks_G15JjYM4Lywal4AaABAg,0,"one of your fan since i watched your video about living inside the nature and things how to made food out your garden,how to prepare the combination very creative and so amazing and fun to watched...so healthy food every meal you prepared and i noticed how much you love your grandma...",自从我观看了您的视频以来，您的一位粉丝是生活在大自然中的视频以及如何使您的花园里食物的事物，如何准备组合非常有创造力，令人惊奇和有趣的观看...如此健康注意到你有多爱奶奶...
15345,Ugz79LyXro6heKhJHi54AaABAg,0,very creative this beautiful girl ☀️,这个美丽的女孩非常有创造力☀️
15069,UgzHQ-VA7LnAsVBHx594AaABAg,0,i like your video creative,我喜欢你的视频创意
32465,UgyLB22q3qtiG8JIiPJ4AaABAg,0,"continue, creative",继续，创造力
13544,Ugz6-dL78JRpIGItwSp4AaABAg,0,wow !! girl u r damn hardworking n so creative... loved it.,哇 ！！女孩，该死的努力工作如此创意...喜欢它。
33402,UgxMq0ryVj1z2-vvsKh4AaABAg,0,"i like this woman very creative,,wonderful. watching from philippines",我喜欢这个女人非常有创造力，很棒。从菲律宾观看
9146,UgxmhLV0_TQZizFNwPR4AaABAg,0,"she is a very creative girl. congratulations. greetings from veracruz, mexico",她是一个非常有创造力的女孩。恭喜。来自墨西哥Veracruz的问候
34304,UgzzHB4tMuTBNo_Yn1x4AaABAg,0,bravo on you is creative and distinguished in the full sense of the word ๐ ๐ ๐ ๐ syria from aleppo ๐,Bravo on you the trake textive and to and and to and to的叙利亚一词的全部意义
8732,UgyxcBvm7kco5prO4nB4AaABAg,0,women like this must be imitated. creative,这样的女人必须模仿。有创造力的
7464,UgwBlnvRhUeNFHGHnr14AaABAg,0,very creative and beautiful food looking and we sure very yummy...amazing,非常有创造力和美丽的食物，我们肯定非常好吃...很棒
35437,UgwGISL4k6XhnDc196N4AaABAg,0,"you'er so very creative ,smart and so cute. i love u. i am thailand.",您是如此有创造力，聪明和可爱。我爱你。我是泰国。
35913,Ugw7-opj47D-hwuqNrF4AaABAg,0,"very creative, wish i could be this productive when preparing things.๐",非常有创造力，希望我在准备工作时能有效。
35926,UgzXnqu4KqG3oDNF-8N4AaABAg,0,"most beautiful, creative amazing & magical videos on youtube!",YouTube上最美丽，最有创造力的神奇和神奇的视频！
36371,UgxRkN6tb0hRLZxqPNV4AaABAg,0,very creative and talented...and pretty too,非常有创造力和才华...而且也很漂亮
52895,Ugykyy1c5mJdxy7XSk94AaABAg,0,"❤❤❤❤ i like this channel, i like beijing, she is very creative, she does everything by hers","❤❤❤❤ 我喜欢这个频道，我喜欢北京,她很有创造力，她自己做所有事情，我希望我和她一起生活，所以我少跳过去帮助她"
