,cid,votes,time,含cute,含cute中文翻译
12582,Ugx4B7OLwa7XH7yjrFh4AaABAg,290,2 years ago,"it is so cute, when she covered her grandmas ear while the uncle made popcorn : ) hahaha",当叔叔做爆米花时，当她遮住了祖母的耳朵时，真可爱:)哈哈哈
43532,Ugzptg3CQ8sQyFpau5J4AaABAg,283,4 years ago,"cute , hard -working , skillful - these words are for her",可爱，努力，熟练 - 这些单词适合她
15128,UgyBImO-HwdHNbnuMD94AaABAg,240,3 years ago,she is so cute and her grandmother definitly cutes thing ı ever seen.,她是如此可爱，她的祖母肯定地切了从来见过的东西。
9168,UgzfoBX6awgjR5pkPBZ4AaABAg,237,2 years ago (edited),5:55 i love how she run to cover her grandma ear because of the sound but she ended up getting scared that was just so cute....,5:55我喜欢她的跑步，因为声音是因为声音而遮住祖母的耳朵
10599,UgzjqCUUoBsbSh3rOOJ4AaABAg,198,2 years ago,"i like how she brought her pups and her lamb 
the lamb is so cute!
i was really satisfied with this vid, it had really good sounds to it","我喜欢她如何带来幼崽和羔羊
羔羊真可爱！
我真的很满意这个vid，它的声音真的很好"
24715,UgxUd8dMo97h_E39zol4AaABAg,192,3 years ago,the little lamb with his wavy coat is the cutest thing in the world. ๐–๐–,小羔羊穿着波浪形外套是世界上最可爱的东西。
28069,Ugwx9CYly4D5fZye0Oh4AaABAg,191,3 years ago (edited),"the puppies and lamb following you are so cute. such well behaved little cuties. 
poor puppies got scared of the popcorn machine. so precious","跟随你的小狗和羔羊真可爱。表现得很好的小可爱。
可怜的小狗害怕爆米花机。如此宝贵"
27981,UgzgyTx7KjvDMFJs_qt4AaABAg,184,3 years ago,the pups and the sheep were so cute!!!! wonder how many pets she has,幼犬和绵羊真可爱！！！想知道她有几只宠物
44690,UgxwXl_kXZZYcEnLF694AaABAg,172,4 years ago,"i am confused and mesmerized at the same time. i appreciate the simpler life. 

side note: the puppies are so cute!!!","我同时感到困惑和着迷。我感谢更简单的生活。

旁注：小狗真可爱！！！"
35713,UgwzksranQ1ipyZUEqB4AaABAg,146,4 years ago,"just realised that her oven take on the silhouette of a dog and the board is in the shape of the bone, 3:22 really cute! also grandmother's hat at 9:29 is really cute too xd",刚刚意识到她的烤箱沿着狗的轮廓搭配，木板处于骨头的形状上，3:22真的很可爱！还有祖母的帽子在9:29真的很可爱xD
20067,UgzgNxNcygnYpcfDo1J4AaABAg,143,3 years ago,i love those puppies that follow her everywhere - so cute!,我爱那些在任何地方都跟随她的小狗 - 太可爱了！
28236,UgzduZutVIGcwkzgDxh4AaABAg,143,3 years ago,"6:00 ๐๐คฃ๐๐คฃ she's so cute
omg, the way she jumped.","6:00她好可爱
天哪，她跳的方式。"
23620,UgybP1ClGGXJrZWLSdp4AaABAg,130,3 years ago,those three small farts are so cute,那三个小跟屁虫实在太可爱了
22624,UgzSOoLeC0Mde95j3GN4AaABAg,120,3 years ago,"i really love how her puppies and sheep following her, it is so cute !",我真的很喜欢她的小狗和绵羊跟随她，真可爱！
41570,Ugzy49yiAI1nowp4QCR4AaABAg,111,4 years ago,"what a beautiful place and people, those dogs are very cute.",多么美丽的地方，那些狗很可爱。
3070,UgycWxbG6LfdBuBlkXd4AaABAg,101,1 year ago,"those two puppies are so cute, and there is a goat, it is really a fairyland on earth",那两只小狗太可爱了，还有小山羊 ，真是人间仙境
43260,Ugwnz0WxW-tCAPBs9bB4AaABAg,98,4 years ago,she’s so cute tho,她真可爱，就像她可以做饭，爱心，关心她的祖母这样美丽的孙女和妻子材料❤️❤️
53011,UgzsfbpoXhEsqsHDB-94AaABAg,83,4 years ago (edited),omg those puppies are so cute and a little lamb,天哪
48934,Ugy_Uy_ejNzufvE5Irx4AaABAg,82,4 years ago (edited),wow. she is a hardworking young lady and beautiful. she was so cute when she went to cover her grandmas ears. then she was the one who jumped. lol.,哇。她是一位勤奋的小姐，很漂亮。当她去遮住祖母耳朵时，她真可爱。然后她是跳跃的人。哈哈。
52114,Ugzs5gxT0CEiwFvlQ8t4AaABAg,76,4 years ago,"these videos are little gems. i treasure each one and marvel at your life. you bring such joy to the tasks of your days, joy to your grandma and i hope and believe to the people around you. i have gained a whole different perspective of china from watching these glimpses into a way of being i had no concept of before. today i saw some humour in you, the little kick and jump from the loud bang, so cute. you are a blessing to this world.",这些视频是小宝石。我珍惜每个人，并惊叹于你的生活。您为自己的日子的任务带来了如此快乐，对奶奶感到高兴，我希望并相信周围的人们。我从看着这些瞥见的一种方式中获得了一种完全不同的中国观点。今天，我看到了你的幽默，小踢从大声的爆炸中跳了起来，真可爱。你是这个世界的祝福。
47093,UgzfVM2xoQeYFYLSx8x4AaABAg,75,4 years ago,"hahaha has a shot and put back many times by me: when the popcorn is going to explode, zi zi zhe ran away quickly and covered her mother -in -law's ears and was afraid that she was scared. as a result, i was scared to jump. a weak girl also wanted to protect her mother -in -law, cute mother -in -law, beautiful and kind zi yan, hoping her mother -in -law to be healthy!",哈哈哈 有一个镜头被我回放好多遍： 爆米花要爆炸时子柒笨笨的飞快跑去捂着婆婆耳朵怕她被吓着，结果自己被吓得跳起来，好可爱呀。 一个弱小的女孩还想着去保护婆婆，可爱的婆婆，美丽善良的子柒
18317,UgzRKs4d9NmwMOL5lQx4AaABAg,75,3 years ago (edited),"those puppies and the lamb just following her everywhere... so cute
wait....they have a popcorn guy with specialized industrial grade equipment that goes house to house to make popcorn?","那些幼犬和羔羊到处都在跟随她...太可爱了
等等...。他们有一个爆米花家伙，有专门的工业级设备，可以在家中可以制作爆米花？"
30044,Ugxqwf4_jQnXz64cKqt4AaABAg,73,3 years ago,ive watched this video countless times since last night :/ the puppies and the lamb are so cute,自昨晚以来，我看了这段视频无数次：/幼犬和羔羊是如此可爱
23003,UgxZHCAU_6rsFHdy78Z4AaABAg,72,3 years ago,"she's so cute when she cover her grandma's ears, but when the pop corn pops she jumps. she also surprises her grandma with that kind of crispy hot cake or whatever you call it. she's so sweet ๐",当她遮住祖母的耳朵时，她真可爱，但是当流行玉米弹出时，她跳了出来。她还用这种酥脆的热蛋糕或您所说的任何东西使祖母感到惊讶。她真可爱
18079,Ugzm3fEO8_201UGqjzB4AaABAg,63,3 years ago,i literally squealed when i saw 2 dogs and a goat following her around... that’s so cute. also the popcorn scene is so cute ;-;,当我看到2只狗和一只山羊跟着她周围的时候，我从字面上尖叫……真可爱。爆米花场景也很可爱； - ;
50594,Ugy3Zx71H6rFx6OIH_94AaABAg,60,4 years ago,"when picking chestnuts, puppies and lambs who have been behind are so cute. in addition, li ziyi is universal, do everything.","捡栗子时,一直跟在后面的小狗与小羊好可爱啊。另外,李子柒是万能的吧,什么都会做。"
39694,UgwQcWZrlXAU2kq2xUp4AaABAg,58,4 years ago,"i scared and jumped up, it's really cute
่ฑ seeing the full english comments below, i really feel happy for you. people in different countries like your videos very much, and people who watch it also feel easy and happy. i wish you and grandma who can live a happy and healthy manner every day like now ๐","吓到跳起来那下真的太可爱了
"
32273,Ugz36ti5yxP3JCGWhFV4AaABAg,58,4 years ago,"ar you kidddin meeee, how frikin cute is that lamb eating those vegetables my heart!",ar you you kiddin meeee，那羔羊在我心里吃那些蔬菜真是太可爱了！
52420,UgwA78jo5lO967G8sYR4AaABAg,55,4 years ago,the way she closes her grandma's ear was so cute. love you ☺,她关闭奶奶的耳朵的方式是如此可爱。爱你☺
24337,UgzWt6yrfg0meKAAyuJ4AaABAg,52,3 years ago,"so cute when she peeked out behind the door with mango cones like ""surprise grandma!!"":,)))",当她用“惊喜奶奶！”这样的芒果锥露出门后，她真可爱
14119,UgwdK_RLg87nT1M_T2d4AaABAg,47,2 years ago,i don't know why i really like liziqi.. so natural.. cute.. wnderfull life in her village make my heart so happy.. love you liziqi.. from indonesia,我不知道为什么我真的很喜欢Liziqi ..如此自然..可爱.. Wnderfull的生活使我的心变得如此快乐..爱你Liziqi ..来自印度尼西亚
24072,Ugy_lTBpiAx4AqlEJqh4AaABAg,44,3 years ago,"li is so cute, she automatically covers her grandmothers year and jumps so high when the pop corn machine is popped open",李是如此可爱，她会自动覆盖祖母的一年，当流行玉米机被弹出时跳高
15254,Ugxyh2zoTBXzti64sLx4AaABAg,43,3 years ago,that little sheep is cute.,那小绵羊很可爱。
34588,UgwsmwvcLDkPPQyKcIB4AaABAg.8uzOrtFqjkV8vCg0LASNUG,41,4 years ago,that was really cute honestly haha she's covering her grandmas ears and then she freaks out,老实说，那真的很可爱，哈哈，她遮住了祖母的耳朵，然后她吓坏了
49862,UgxfcZpYpNLvxRKPSbp4AaABAg,40,4 years ago,5:56. 9:46. so cute so lovely.,5:56。 9:46。太可爱了。
4823,UgwFw-ruF-1UogWFAX54AaABAg,37,1 year ago,omg! i love how cute the animals are and how they followed her in the beginning! so cute,我的天啊！我喜欢这些动物在一开始如何跟随她的可爱！太可爱了！
19254,UgzP8qSKGpr52hBsGsh4AaABAg,32,3 years ago,the dog cute who arrives behind your sister,那只狗很可爱，他到达你姐姐后面
9095,UgwFRntsacD5CTCgP_l4AaABAg,31,2 years ago,i just realized that the tiny lamb is following her around like her tiny dogs hahah so cute,我只是意识到那只小羔羊像她的小狗一样跟随她，哈哈太可爱了
28180,Ugwog3eU6SdvvmNLfHp4AaABAg,30,3 years ago,"beautiful relaxing nature. beautiful woman. cute grandma. sweet animals. delicious foods.
amazing, just amazing. i love that.","美丽的轻松自然。美丽的女人。可爱的奶奶。甜动物。美味的食物。
太神奇了，真是太神奇了。我喜欢那个。"
31348,Ugx4K-44xuU5_6GM9oR4AaABAg,30,3 years ago,"she acts so cute. she is adorable,sweet and of course so caring and protective towards her grandma. cannot forget the way she covers her granny's ears and herself gets freaked out.",她的举止真可爱。她很可爱，甜美，当然如此关怀和保护她的祖母。不能忘记她遮住奶奶的耳朵的方式，而她自己被吓坏了。
9464,UgxqCtHrvTzS35Wy--l4AaABAg.9H9CoV7Y4L-9HgaulsZW9_,29,2 years ago,your language looks so cute！！,您的语言看起来很可爱！！
14530,UgzeNam1RF8covF8dzt4AaABAg,29,2 years ago,no one's talking about the cute puppies >:(,没有人在谈论可爱的小狗> :(
16710,UgxKTlCAdOs4VwXmy414AaABAg,29,3 years ago,"my family is rich and living in big houses. doing etiquette is not easy since im still young and need to learn. but all i want is that! that kind of life! with no maides , all by yourself. look at that cute puppys and sheep.",我的家人很富有，住在大房子里。做礼节并不容易，因为我还很年轻，需要学习。但是我想要的就是！那种生活！没有女仆，一个人自己。看那个可爱的小狗和绵羊。
43337,Ugzl7MZ0-qYg3suzDOV4AaABAg,28,4 years ago,"anyway cute. everyone is cute.
i am appetizing with ghibli rice, and above all i love the atmosphere of buildings and tools ... (vocabulary)
this is a god channel","无论如何很可爱。每个人都很可爱。
我用吉卜力大米开胃，最重要的是，我喜欢建筑物和工具的气氛...（词汇）
这是神频道"
48350,UgxGx2c3YdgfjBtnnud4AaABAg,28,4 years ago,the jumpy scared at 6:00 :))) she's so cute :))),跳跃在6:00害怕:)））她真可爱:)）））
19736,UgyEl4tF-F8_4eyFqRF4AaABAg,26,3 years ago,"what a healing video that gathered. cute dog and cute sheep, cute sister and cute grandmother",聚集的康复视频。可爱的狗和可爱的绵羊，可爱的姐姐和可爱的祖母
13750,UgwfLwx99C4GC5g_0ld4AaABAg,25,2 years ago,is nobody gonna talk about how cute her grandma is?,没有人会谈论她的祖母有多可爱吗？
52311,UgxzMNnK_Bl8Ecfhykt4AaABAg,25,4 years ago (edited),"when picking up at night, korean red coating ranch gloves
i would recommend it ~^* (all weather)
ah! gangjeong has been made pretty.
make a pretty and delicious food and pack it
it's done! there is no korean subtitle, so it is inferred ~*
brushing your teeth in the video is so cute, and it's cool to wear boots when you work.
when you feel, the main winter is very beautiful to alternate several colors of long mango. ~ ^^
i have the same name in my name! ~ ♥","晚上捡起时，韩国红色涂料牧场手套
我会推荐它〜^*（所有天气）
啊！ Gangjeong变得漂亮。
做一个漂亮可口的食物并打包
完成！没有韩国字幕，因此可以推断〜*
在视频中刷牙是如此可爱，上班时戴靴子很酷。
当您感觉到时，主要的冬天非常美丽，可以交替使用多种颜色的长芒果。 〜^^
我的名字中有相同的名字！〜♥"
29378,UgzaUi1BnSKxfZDQprN4AaABAg,25,3 years ago,"omg the dogs are soo cute ! after watching, iโ€ll never complain about hard work ๐ช",天哪，狗太可爱了！看完之后，我永远不会抱怨辛勤工作
29399,UgwBfNCeOu6BWmsxXQh4AaABAg,25,3 years ago,"i love how dogs climb over her knees, and also try to eat what she eats๐ cute moments",我喜欢狗如何爬过她的膝盖，也尝试吃她吃的东西
41589,Ugxj4SZRfBwppVdGkqh4AaABAg,24,4 years ago,"this girl is very beautifull, wonder, preety, cute and hard work",这个女孩非常美丽，奇迹，预处，可爱和辛勤工作
46908,Ugxt_UgIcBmTXIOOGpt4AaABAg,24,4 years ago (edited),"i love this episode the most! especially when she go cover her grandma ear lol. happy chinese new year to you and your grandma!

scene that you may miss the small cute details
0.42 when she crack the chestnut and puppy feet try to steal it. great shot!
3.33 i guess everyone who cook would want to get that wooden ingredient tray! 
5.55 when they open the popcorn pot 
8.47 the pomelo street look like a fairy tale but you all know that you should not eat those fruit on the floor. (except chestnut and ginko of course!) 
9.30 the puppies look like they gonna jump into fire! and her grandma giggle is adorable! 
9.48 you can see all the love in there","我最喜欢这一集！尤其是当她去遮盖奶奶耳大声笑时。在春节快乐，祝您和您的祖母！

您可能会想念小的可爱细节的场景
0.42当她破裂栗子和小狗时，试图偷走它。好球！
3.33我想每个厨师都想得到那个木制成分托盘！
5.55当他们打开爆米花锅时
8.47 Pomelo Street看起来像个童话，但大家都知道您不应该在地板上吃那些水果。 （当然除了栗子和银杏！）
9.30幼犬看起来像是要跳火了！她奶奶咯咯笑！
9.48您可以看到所有的爱"
49888,Ugw1F5BnK0uaux-Z8qN4AaABAg,24,4 years ago,5:56 so cute.,5:56真可爱。
44577,UgzVdgES-Fg82NAVlmh4AaABAg,24,4 years ago,it's cute to eat snacks every time. nice (^o^),每次吃小吃很可爱。很好（^o^）
29814,UgygIa79VU2vgKBzdyd4AaABAg.8xTvD0vzAJp8xiDN9Cb5cJ,23,3 years ago,peachy bangtan i find that really cute,桃红色的孟买我觉得真的很可爱
11921,UgzEdaoey8_n9nCWitV4AaABAg,23,2 years ago (edited),brooo the little paw at 0:42 im cryinn ๐ญ thatโ€s the cutest thing ever!,Broooo在0:42 Im Cryinn the小爪子
24462,UgxCd3xzPpKU8CM_ofJ4AaABAg,23,3 years ago (edited),"i think li is the true legend. the most talented woman iโ€ve seen on the internet. 

by the way i think 6:52 is not a melon seeds but a sunflower seeds.

edit: i forgot to mention the puppies and lamb. they are so cute ๐๐","我认为李是真正的传奇。我在互联网上见过的最有才华的女人。

顺便说一句，我认为6:52不是瓜子，而是葵花籽。

编辑：我忘了提到幼犬和羔羊。他们是如此可爱"
19845,UgwIXr6DH0IPEQkYYyp4AaABAg,23,3 years ago,so dang cute how you covered your grandmothers ears.,如此可爱，您如何遮盖祖母的耳朵。
46796,UgzbIS4Nqo4EJO8bweJ4AaABAg,23,4 years ago,"i only discovered your videos in youtube. i really have such a life. i just imagined life in the novel. girl, you are really great, not only representing many chinese people, but how to coexist with human beings in harmony with nature, even if human beings are livable in the future, you need your spirit. i am glad to see your video, thank you.
suddenly i thought of the man who met your heart in the future. someone helped you lift your bamboo to make new sofas. some people pick fresh fruits and vegetables with you. one more person at the dining table with you. with cute children, one, two. essence essence then i have always made such a love video for us, oh no, enjoy. essence essence
hope this wish will come true.","我竟然在YouTube才发现你的视频，真的感概还有这样子的人生，只在小说中想象到的人生，姑娘，你真的很棒，不仅代表了华人的许许多多的优秀品质，和文化，甚至代表了人类，要如何与自然和谐共存，即使人类未来宜居其他星球，也需要你这种精神。很高兴看到了你的视频，感谢。
忽然想到了你日后遇到了你心怡的男子，有人帮你抬竹子做新的沙发，有人和你一起采摘新鲜的水果蔬菜，多了一个人在饭桌和你，婆婆谈笑风生，然后不就以后你们有了可爱的孩子，一个，两个。。。然后一直一直做这么有爱的视频给我们看，哦，不，享受。。。
希望这个愿望成真。"
30702,UgzyAczcJbCGgNWKJIt4AaABAg,22,3 years ago,your relationship with your gradma is very cute. (โ€ข~โ€ข),您与Gradma的关系非常可爱。 （•〜•）
16919,UgwjLTt3okTxFirFUOV4AaABAg,22,3 years ago,"cute snacks
i'm working like this
there is no problem to eat","可爱的小吃
我像这样工作
没问题"
48722,UgwUe2aiOHzs0MH7Jh54AaABAg,21,4 years ago,the hat worn by her mother -in -law is so cute xddd ziyi woven her own?,婆婆戴着的帽子好可爱XDDD子柒自己织的？
20209,UgzV4DNCTtBWjzkqTCB4AaABAg.94nOZTTSF0695IrtADrm6o,21,3 years ago,yes really cute. i wonder why the puppies never grow up?,是的，真的很可爱。我想知道为什么小狗永远不会长大？
38323,UgyIbJ3v3sDD4GrxDJd4AaABAg,20,4 years ago,that popcorn scene was cute :')))))))๐’•๐’•๐’•๐’•,那个爆米花场景很可爱：'））））））
52504,UgzOcpm-64uGR2OO5Dx4AaABAg,19,4 years ago,6:00 she's so cute. i really adore her.,6:00她真可爱。我真的很喜欢她。
38041,UgwNz57LmVDeT1qu-RJ4AaABAg,19,4 years ago,"nice life
it looks like a story!
the food looks delicious, but the small items used are wonderful.
cat -shaped kamado, i laughed too cuteness lol","美好的生活
看起来像个故事！
食物看起来很美味，但是所使用的小物品很棒。
猫形的卡马多，我笑了太可爱大声笑"
48328,UgwjnoLPQOCktxwMZlB4AaABAg,19,4 years ago,"those puppies are so cute! and maybe it's just me being sentimental but i teared up when you covered your grandma's ears, that was so beautiful.",那些小狗真可爱！也许只是我很感性，但是当您遮住奶奶的耳朵时，我撕裂了，那真是太漂亮了。
13039,Ugx1ONOUsF2sDXn5bGZ4AaABAg,16,2 years ago,"what a good beauty! !
ideal way of life! !
the dog -shaped kettle is also cute! !","多么美好的美！呢
理想的生活方式！呢
狗形水壶也很可爱！呢"
31201,UgwwGGbu0wy9AfHEKU54AaABAg,16,3 years ago (edited),its so cute when she takes a bite of the foods that she made while packaging them,当她咬一口食物时，它是如此可爱
13168,Ugy_qlC-V7CWgjMWEhJ4AaABAg,16,2 years ago,6:04 how cutee she's like a baby,6:04她像个婴儿有多可爱
6051,UgxWBJXD4nCAGUVz3_d4AaABAg,16,2 years ago,the way she freaked out when the popcorn making thing blown up that was super cute,当爆米花炸毁的东西超级可爱时，她吓坏了
19040,UgyUvOyOo_MY2ntappp4AaABAg,14,3 years ago,"so freaking cute..lol..i love how those puppy’s and that baby lamb (who probably thinks it’s just another dog..lol) follows her every where she goes....i love watching liziqi, she has inspired me to live a much simpler life, i have a huge back yard that i plan on converting to a garden, won’t be easy i know this, but i have such a passion to help others out especially families with small children and the elderly...where i come from fruits and vegetables are ridiculously expensive that we (most people) cant afford it, so i do without (lost my husband to als so having only 1 income makes it virtually impossible to buy what my body needs...good nutrition) so why not plant my own, unfortunately i don’t know how well it will work or succeed as winters here last 6 months out of the year, summers are an average 3 months long, then it cools off....but i’m going to give it a college try!",太可爱了..大声..我喜欢那些小狗和那只小羊羔（可能认为这只是另一只狗..-大狗）跟着她的每一个去的地方....我喜欢看Liziqi，她启发了我活着一个简单得多的生活，我有一个巨大的后院，我打算转换为花园，这并不容易，但我非常热衷于帮助别人，尤其是有小孩和老年人的家庭...我来自水果和蔬菜的地方是我们（大多数人）负担不起的昂贵的，所以我没有（我的丈夫失去了丈夫，只有1个收入，因此几乎不可能购买我的身体需要的东西...好营养）那么为什么不种自己的种植，不幸的是，我不知道它在一年中六个月的冬天，夏季的冬天，平均有3个月的时间，然后冷却了。。。 '我会尝试大学！
5981,UgxybAbQiw0_eFrhdIF4AaABAg,14,2 years ago,"how cool and tasty she cooks! everything is so beautiful, cute, sincere! in a word is gorgeous!",她做饭多么凉爽！一切都是如此美丽，可爱，真诚！一句话很棒！
51644,Ugx7gRvzvtkbgasb7EZ4AaABAg,14,4 years ago,"the puppy is so cute, and the goat is so good followed",小狗狗好可爱，小山羊也那么乖的跟着
47077,UgyXF_SU3c_teZo4Mu94AaABAg,14,4 years ago,is it just me? or this video is so relaxing. plus those 3 cute assistant following her tho hehehe,只有我吗？否则该视频是如此放松。加上她的3个可爱的助手
50449,UgyWAARkaZEMCDHs8CB4AaABAg,14,4 years ago,"i'm glad to see the cute side of the goddess! !
new year pleasure! !
i am looking forward to the work from now on.","我很高兴看到女神的可爱一面！呢
新年快乐！呢
从现在开始，我期待着这项工作。"
26125,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9--Npxk-JY5,13,3 years ago,"@user-sc8cy5qc6e there is nothing wrong with that lol i certainly support whats she's doing 

honestly people hate on anything it could be a puppy just being cute and there will be haters.","@user-sc8cy5qc6e毫无错，我当然支持她在做什么

老实说，人们讨厌任何东西，这可能是一只很可爱的小狗，会有仇恨者。"
15690,Ugw6DdjwBFLgX9f5OV94AaABAg,13,3 years ago,"5:55 it was too cute and cried
very cute! ! ! ! ! ! !","5:55太可爱了
非常可爱！呢呢呢呢呢呢"
39088,Ugz69PZzPOT_BGTH3Nl4AaABAg,13,4 years ago (edited),"i love your dog! he/she is very cute. i also like your videos. i made this comment in chinese so she ""under undistendand it ๐ (btw i take chinese class""",我爱你的狗！ 他/她 是很可爱。 我也喜欢你的视频。I made this comment in Chinese so she could understand it
17269,Ugxi5iU8REs8p8j01Dh4AaABAg,13,3 years ago,so cute! when the qiqi mango roll was given to grandma! little milk dog wants to eat egg rolls!,太可爱了！七七拿芒果卷给奶奶的时候！小奶狗想吃蛋卷！
40507,Ugx40hZeiSJe6CO84GJ4AaABAg,13,4 years ago,the moment she is scared from the popcorn burst is so cute ! my heart melted <3 <3 <3,她从爆米花爆发中害怕的那一刻真可爱！我的心融化<3 <3 <3
12596,Ugym7nUh4334sgWDV254AaABAg,13,2 years ago,"really animals? ! too cute! !
like ghibli","真的动物吗？呢太可爱了！呢
像吉卜力"
13201,UgyQAVdHvJVelb8b9354AaABAg,13,2 years ago,that lamb is like the other dogs following her all around...soo cute,那只羔羊就像其他狗都跟随她四处走动...太可爱了
20389,UgzGymaMYO1Y8FbEujd4AaABAg,12,3 years ago,three little cutes have been following ziyi,三只小可爱一直跟着子柒
38468,UgxFm-nPLFjbhl_zuwZ4AaABAg,12,4 years ago,"the shape of the outside kettle is cute โฅ if you live like this, you will not be sick. dogs are also cute โฅ",外部水壶的形状很可爱♥如果您这样生活，您就不会生病。狗也很可爱♥
48720,UgxG1NnEvR0e-Iqjam54AaABAg,12,4 years ago,i absolutely love this channel i first found her through facebook and kept searching and finally found her channel! so much amazing food and such a hard working girl that loves her grandmother!!! also does anyone notice that the grandma has cute little ears on her hat!!!!!,我绝对喜欢这个频道，我首先通过Facebook找到了她，并一直在搜索并终于找到了她的频道！如此多的美食和如此努力的女孩，爱她的祖母！！！还有人注意到奶奶的帽子上有可爱的小耳朵！
37473,UgzDivvIBUc8OR93rml4AaABAg,12,4 years ago,someone noticed cat stove? cute and funny๐,有人注意到猫炉吗？可爱又有趣
