,cid,votes,time,含cute,含cute中文翻译
29448,UgzV5SRrEU2-VIvbK7h4AaABAg.8yWoRCHc-JA8ya7XV4lsQ5,5,3 years ago,nah pandas are cute but those people are ugly because the jealousy.,不，熊猫很可爱，但这些人很丑陋，因为嫉妒。
6300,Ugw0TUaOiZkCW3BZw7R4AaABAg,5,2 years ago,"she is so cute and cute, she is so good at love ๐’“๐’“",她是如此可爱又可爱，她是如此善于love
24633,Ugw7Nia-Mt2VlTmWXbl4AaABAg,4,3 years ago,she is so cute she makeing videos and she caring her grandma,她是如此可爱，她制作视频，她在乎奶奶
31970,UgyoLoeS4Id_95daiEV4AaABAg,4,3 years ago,this girl so cute and quiet. i like her and her place.,这个女孩是如此可爱和安静。我喜欢她和她的地方。
10652,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU798vUM9JJv60,4,3 years ago,@gwakbm you don't think she do it for money? lol so cute.,@gwakbm您不认为她是为了钱而做的吗？大声笑真可爱。
4518,UgxHWqVbRLZxRc7UoZl4AaABAg,4,2 years ago,grandma is cute,奶奶很可爱
5454,UgzWiidwNwu20QVJaUZ4AaABAg,3,2 years ago,"love you, your are so cute โค๏ธโค๏ธ",爱你，你真可爱❤️❤️
20664,UgwDe-d2d7ed2cd6cWN4AaABAg,3,3 years ago,mother -in -law is really cute,婆婆真的好可爱啊
29285,UgyyBQkcyVSaknaY3qR4AaABAg,3,3 years ago,she is sooo cute an lovley ! huging from morning to night !,她真可爱！从早上到晚上拥抱！
31540,UgwAujlrORFp_eu4JBh4AaABAg,3,3 years ago,"wowww always your food is delicious and excellent i love all your videos such a beautiful house and beautiful landscapes that always accompanies music always your videos transmits me peace, tranquility and harmony always so cute and kind with your sweet grandmother how cute you look together in that beautiful house that looks like a fairy tale i admire you a lot thanks for some very beautiful videos this girl impresses me more every day, knows how to do everything and works hard i admire her a lot i love you friend greetings from spain
","WOWWW总是您的食物美味，很棒，我喜欢您的所有视频，如此美丽的房屋和美丽的景观，总是伴随音乐的视频，您的视频会传递我的和平，宁静和和谐总是如此可爱和友善，与您甜美的祖母一起友善，您可以在那样的可爱在一起看起来像童话的美丽房子，我非常佩服你，谢谢你的一些非常漂亮的视频，这个女孩每天都给我留下更多的印象
"
21334,UgwLQKa-JJgAWpMDA054AaABAg,3,3 years ago,grandma clamped a piece of pink cute ❤️,奶奶夹了一条粉 可爱❤️
18277,Ugz0HSm7t2DGvsE_jfR4AaABAg.92XiLDl10e_92i0c81-Gkb,3,3 years ago,right she’s so cute,是的，她真可爱
935,Ugzj3mOdBOjHgbn6Wr94AaABAg,3,1 year ago,wow! ziyi has a big bamboo shoots so big! grandma's smile is really cute with zi yan!,哇！子柒自己种的山笋好大一颗喔！奶奶的笑容陪伴着子柒真的很可爱喔！
12412,UgwpShru1dJNdtMVxCN4AaABAg,3,3 years ago,who wrote so cute sub :),谁写了这么可爱的sub :)
18623,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92gpvlcs_k1,2,3 years ago,"@alexandernorrie, i am really huh, and it really is more brain -disabled than bai zuo. which country and which nation has no civil war and no internal fighting? according to your statement history, the south american war, during the cold war, mccarthyism strongly persecuted the elite suspected of the communist party, the persecution of the privilege, and so on. are these people who kill their own people? who is more noble than whom? take this kind of stuff to demonstrate how the chinese are ugly. i think you don't read this history. how deep do you know about industrialization? how much can your parents and ancestors contribute to the country?
i'm really not a nationalist. foreign friends mentioned that mao talked about it. the prejudice person like you is full of bias. you have no shame, it is really funny.","@alexandernorrie 我真是呵呵了，果然黄右比白左更脑残。哪个国家哪个民族没有内战没有内部互殴了？按你的说法历史上美国南美战争，冷战期间麦卡锡主义大力迫害有亲共嫌疑的精英，欧洲迫害新教徒等等等等，这些算不算自己人杀自己人啊?谁比谁更高尚啊?拿这种玩意去论证中国人如何丑恶我觉得你这历史不读也罢。你对工业化了解又有多深啊,父辈和祖辈为国家贡献的血汗你又能看到多少?
我还真不是什么民族主义者，外国友人提到毛就说了一下相关而已，像你这种充满偏见的偏激人士还满口you have no shame，真的挺好笑"
30965,UgxOAXRMWagOGOXqz3d4AaABAg,2,3 years ago,i want to see your home and farm trip. you have such a cute video. (google translation),我很想看看你的家和农场之旅。 你有这么可爱的视频。(google translated)
33183,Ugy_3Oowg5BYlD25jKJ4AaABAg,2,3 years ago,"she is cute like a princess !!!
but he is tough like a prince !!!","她像公主一样可爱！！！
但是他像王子一样坚强！！！"
21375,UgyxE2Et6n1W_N2jmJR4AaABAg,2,3 years ago (edited),"""keep in prison :))"" whoever sub is so cute> v <",“入狱:)）”
33173,Ugyiexp9Hvmt1aW5kRh4AaABAg.8yUf5gsIiB18yUihEmVwIb,2,3 years ago,cute,可爱的
9981,Ugx0SwzEThpBs1l3N_J4AaABAg,1,3 years ago,"whoever does vietsub is so bad! writing is messy so that time is too fast to see. the place where the sub is needed, the full translation is not relevant, is also cute anymore. really uncomfortable. i think you don't need to put vietsub in your video, be your seft โค๏ธ",vietsub做的任何人都是如此糟糕！写作很混乱，所以时间太快了，看不到。需要子的地方，完整的翻译不相关，也不再可爱了。真的很不舒服。我认为您不需要将vietsub放入视频中，成为您的Seft❤️
7496,UgzOVuX-F9AMLJLvwLN4AaABAg,1,2 years ago,"like to look at work, cute",喜欢看工作，可爱
7990,UgyOEDBmeaa4Lu69q714AaABAg,1,2 years ago,anyone who cute vietsub is so cute :))),任何可爱vietsub的人都这么可爱:)）））
30770,UgxRQa4A-PaXviCB9Xx4AaABAg.8yVTcamMULC8yX8s9LafIw,1,3 years ago,aww....such a cute comment,aww ....如此可爱的评论
30243,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38z2YvVXquwL,1,3 years ago,cute grandma,可爱的奶奶
30194,UgxaqqjTjoDT9Gxac6d4AaABAg,1,3 years ago,i only put a snail powder ~ so cute^_____________^,姥姥只夹了一根螺蛳粉而已~好可爱喔^____________^
32567,UgwPZ4NfmPlYefDHQd94AaABAg,1,3 years ago (edited),"english is good, so subtitles are good ㅠㅠ
i thought it was so cute that it looked like a bamboo shoot, but it's very thin","英语很好，所以字幕很好ㅠㅠ
我以为它是如此可爱，看起来像竹拍，但是很薄"
9347,UgwRQhaAbzZgua-qHK14AaABAg,1,2 years ago (edited),she is a cute and beautiful woman. it is delicious. if any one married her as wife to be good for his family,她是可爱美丽女人. 好吃. If any one married her as wife to be good for his family
16737,UgxfsnkNNt02jUvHtnp4AaABAg,1,3 years ago,someone who will marry this girl are the most lucky guy for havibg this pretty and cute and also indenpendent girl,一个嫁给这个女孩的人是哈维布最幸运的人
80,UgyLmaByuMxpH9YfDDJ4AaABAg,1,2 weeks ago,wow girl you are really cute marry me i'll take care of your family too,哇，你真的很可爱嫁给我，我也照顾你的家人
10609,UgyGsc2mc3x5uSLMCMp4AaABAg,1,3 years ago,you are so talented and cute ...,你是如此的才华和可爱...
25753,UgyOXXJ7rg-nz715MDB4AaABAg,1,3 years ago,i love your house it’s so cute ❤️,我爱你的房子，太可爱了❤️
717,Ugxbr7A9oW2z_y8P6ip4AaABAg,1,10 months ago,she's so pure and cute she's a gem,她是如此纯洁可爱，她是宝石
11216,Ugzvz2dH77LaZptb_BV4AaABAg,1,3 years ago,cute dog,可爱的狗
28664,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g92YSMO0hXUN,1,3 years ago,"gukklies your commend is so cute.it make him become speechless.although i'm chinese,i can only understand a little of ziqi'dialect.i support u.my english is not good, please forgive me if there is any mistake.",您的称赞是如此可爱。它使他变得无语。尽管我是中国人，但我只能理解一些Ziqi'dialect。我支持U.My英语不好，如果有任何错误，请原谅我。
26400,UgwkGJqCAna7ttBCRl54AaABAg,1,3 years ago,your puppy so cute i really to watch your chanel ^°^,你的小狗是如此可爱，我真的看你的香奈儿 ^° ^
34642,Ugxzy6MAl-butT40_ix4AaABAg.8yUTUIyLaPC8yUVGOlUHhg,1,3 years ago,i too love to watch their vedios so much ... they are great. camera and editing is awesome. and as well she is so cute too ...,我也很喜欢看他们的vedios ...他们很棒。相机和编辑很棒。而且她也很可爱...
12450,UgwCs45BoT2KwSzj5UZ4AaABAg,1,3 years ago,"she was rustic and cute, talented, really admired ❤️",她很乡村和可爱，才华横溢，真的很钦佩❤️
26945,Ugy4lttuWqaNfr6wV1p4AaABAg,1,3 years ago,it's so cute. but isn't the food too salty? i come to busan once.,它真可爱。但是食物不是太咸吗？我曾经来到釜山。
10521,UgwMWcbXZykj4YFb1Et4AaABAg,1,3 years ago,really very cute,真的很可爱
8547,Ugw_N_k_uvso7XdYLUN4AaABAg,1,2 years ago (edited),i listen that chinese eat insect and even dogs too but she have a dog as a pet so cute and the village is beautifullโค,我也听中国人也吃昆虫，甚至还有狗，但她有一只狗，就像宠物一样可爱，村庄很漂亮
5344,UgzETLwFyPb0q9l0lGx4AaABAg,1,2 years ago,"well, she is very good .. cute too.
looks warm","好吧，她很好..也很可爱。
看起来温暖"
31087,Ugxn3mFXeytdovWpbmR4AaABAg,1,3 years ago,the sub is so cute,潜艇是如此可爱
19413,UgwHha3sdEqJrSdLm9p4AaABAg,1,3 years ago,"cute, hahahaha",可爱，哈哈哈哈
20610,UgzNSiPngHqtzdQf_FJ4AaABAg,1,3 years ago,"what an adiment cook, very cute. i would love to know her.",多么可爱的厨师。我很想认识她。
3757,UgwEGE1a2h_A-j5W1zB4AaABAg,1,2 years ago,that cute ✌,那可爱的✌
21032,UgzdQq8FLpwb2IXpe_d4AaABAg,1,3 years ago,you are so cute,你真可爱
33112,UgwZpQJ-CUXYbLLq0K94AaABAg,1,3 years ago,it's amazing really beautiful cute girl assume videos ❤,真是太漂亮了可爱的女孩，假设视频❤
24424,UgyeJf--QO9rKP4DhBx4AaABAg,0,3 years ago,cute,可爱的
25491,UgzonBTg4pG3IkEo6KR4AaABAg,0,3 years ago,the vietnamese translation is very cute. thank you very much.,越南翻译非常可爱。非常感谢。
23390,UgxnxHVVouOswaY4QCF4AaABAg,0,3 years ago,"hello from ukraine.
you are so cute :3","乌克兰你好。
你真可爱：3"
23188,UgwtYeuBtTLx7XSmn1d4AaABAg,0,3 years ago,"how cute the bamboo shoots, you actually eat bamboo shoots, i hate you",竹笋多可爱，你居然吃竹笋，我恨你
26094,UgwP2v_mQDc3njMSYkJ4AaABAg,0,3 years ago,you r so so so so so cute,你是如此可爱
26219,UgzDW2gj-ycnHitJCV94AaABAg,0,3 years ago,grandma is so cute! can't help holding a chopstick hahahaha,奶奶太可爱了！忍不住夹一筷子哈哈哈哈
23187,UgxZJApfSdp4Ao2kjLR4AaABAg,0,3 years ago,"how cute the tank is, you actually eat the cylinder head, i am ruthless you",缸头多可爱，你居然吃缸头，我狠 你
26365,UgyuncZLwhtWRjE8XaF4AaABAg,0,3 years ago,the dog is super cute to keep up with the bottom down,狗超可爱跟上跟下的
26680,UgwAB9qczKq785yHIGt4AaABAg,0,3 years ago,"cute, beautiful",可爱，美丽
26490,UgxN8zuCFP2PD1bIAOV4AaABAg,0,3 years ago,"i love her grandma so mush she’s so cute, hehe",我爱她的奶奶，如此糊状，她是如此可爱，呵呵
25451,UgytcLUwUWgtJRMo3v14AaABAg,0,3 years ago,"grandma is so cute, i hope you can be healthy!",奶奶太可爱了，希望你们都能健健康康！
23185,UgwG4GLPEg6F-KKOHzl4AaABAg,0,3 years ago,"how cute the meat is the meat, you actually eat pickled meat, i hate you",腌肉多可爱，你居然吃腌肉，我恨你
22492,UgyJZHaZ38lSEaQ0Knl4AaABAg,0,3 years ago,whoever vn sub cute is too zayyy: 3,vn sub可爱的人太zayyy：3
26738,Ugwtx3DnNRIRef2Jejx4AaABAg,0,3 years ago,grandma ur soooooo cute,奶奶Ur Sooooo可爱
23184,Ugxf2foRBFxZPpSWHmh4AaABAg,0,3 years ago,"how cute the peppers, you actually eat chili, i hate you",辣椒多可爱，你居然吃辣椒，我恨你
22443,Ugxo2tbxMwGvUId0w2F4AaABAg,0,3 years ago,"pretty cute, sister",姐姐很可爱
27180,UgyC1ZMSSiQgNlTrcYF4AaABAg,0,3 years ago,those look cute,那些看起来很可爱
27275,UgzS89TN3T0Nkht6Pz14AaABAg,0,3 years ago,the cutest,最可爱的
22577,Ugy0Ysh9xJUakiOlZtd4AaABAg,0,3 years ago,great you. so cute,伟大的你。太可爱了
23504,UgzJR4upVjULWpZ-sP54AaABAg,0,3 years ago,did the kittens also give birth to baby? cute!,小猫们也生baby了吗？可爱！
23045,UgwMMM3OjXLy-0-_e454AaABAg,0,3 years ago,"hi li,
you are so cute living doll like your name, you awesome","李，李，
你是如此可爱的活娃娃，就像你的名字一样，你很棒"
24578,UgznTUWtH9DSrrevh6l4AaABAg,0,3 years ago,the girl is so cute,女孩是如此可爱
23791,UgzdxE6uP6ulJoyBfnR4AaABAg,0,3 years ago,so cute -,太可爱了 -
22964,UgxtNBf02Adf6PLvTtN4AaABAg,0,3 years ago (edited),"at 1:14, ziqi: grandma(pó po) look, this bamboo shoot is bigger than my head..haha so cute",在1:14，Ziqi：奶奶（pópo）看，这张竹芽比我的头大..哈哈太可爱了
23789,UgysmMCzJp5jFz0w3FB4AaABAg,0,3 years ago,so cute,太可爱了
24485,Ugx47vAcfGHJP-ZUqr14AaABAg,0,3 years ago,cat cute girl,猫可爱的女孩
23763,UgxQXDZe0yT7dR6X5qh4AaABAg,0,3 years ago,whoever vietsup is so cute hahaha,谁是谁是如此可爱的哈哈哈
22815,UgxJkuFvQ6eCrz_byB94AaABAg,0,3 years ago,"i come for the amazing skills, but stay to see the super cute grandma",我来争取出色的技能，但请留下来看看超级可爱的奶奶
23757,UgwIOBYKi7nyzlRMuC54AaABAg,0,3 years ago,"i marry her , if she agrees ,cute nice cooking",我嫁给她，如果她同意，很可爱的烹饪
22722,UgyI0vNGx5m6YMHUsgF4AaABAg,0,3 years ago,she is so cuteeeeeeee.how much alone she work,她真是太可爱了。
24605,UgwvufLLBkzDS1xVABx4AaABAg,0,3 years ago,cute,可爱的
23507,UgzWcJotcuQNBQgxNDB4AaABAg,0,3 years ago,"like this, will take this person cute ♡",像这样，会把这个人可爱♡
22620,UgyzEaWVvttZFoIreKN4AaABAg,0,3 years ago,"the female village is so cute, beautiful scenery",女村是如此可爱，美丽的风景
24807,UgylGgvBnZmDNfkVtkx4AaABAg,0,3 years ago,"02:50
cute cats","02:50
可爱的猫"
23748,UgxQRTCyYWqGN3HYly94AaABAg,0,3 years ago,it’s so good to see a woman taking care of business. can you imagine if our american women worked like that. it won’t happen though because they’re too busy laying around on their fat asses getting tattoos and watching the view and spending money that some man worked for. look how cute the young woman in this video is. i’ll bet she’s not mouthy like these american women either. the back of her legs don’t look somebody hit them with a bag full of nickles either. i saw a recent video of her wearing shorts. i need to find me a woman like her someday. what a treasure. i’d be glad to leave her my 60 acre farm and everything i own when i died. she certainly would have earned it. have you noticed that even grandma at her age isn’t the size of a cow like our american women? women that get out bed before noon and then work usually don’t get fat and sloppy.,看到一个女人照顾生意真是太好了。您能想象我们的美国女性是否这样工作。不过，这不会发生，因为他们太忙于躺在胖子上纹身，​​看着某个男人工作的景色和花钱。看看这个视频中的年轻女子有多可爱。我敢打赌，她也不像这些美国女性那样嘴。她的腿后部看上去并不是有人用一个装满昵称的袋子击中了他们。我最近看了她穿着短裤的视频。我有一天需要找到一个像她这样的女人。多么宝贵。我很高兴把我60英亩的农场和我死后拥有的一切都留给她。她当然会赢得它。您是否注意到，即使在她这个年龄段的奶奶也不是像我们的美国女性那样的牛的大小？中午之前出门睡觉的女性通常不会变得胖和草率。
25124,Ugyiypo4xjtwpha_qcZ4AaABAg,0,3 years ago,"you are beautiful, cute, cooking. i like it.",你很漂亮，可爱，做饭。我喜欢。
22604,Ugx2Hh6Qt777cg0OgVV4AaABAg,0,3 years ago,"i like her, she is very cute, that is very good, looking forward to gaping, vhuv i show off!",我喜欢她，她很可爱，很好，期待着张开，我炫耀！
25246,Ugzj9BfxBocagkWJAVt4AaABAg,0,3 years ago,dinner very very cute,晚餐非常非常可爱
23594,Ugx4bAq_qfv78jN3-ut4AaABAg,0,3 years ago,the expression after smelling sour bamboo shoots is so cute hahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha,闻酸笋后的那个表情好可爱啊哈哈哈哈哈哈
25409,Ugz9Q_J3HaGXBIOyRhR4AaABAg,0,3 years ago,china is so cute.,中国是如此可爱。
27326,UgxYPYw5SOPSVy4SY_B4AaABAg,0,3 years ago,so cute subtitles,如此可爱的字幕
52,UgzsuJXAwmCwF-Hk3Gp4AaABAg,0,2 weeks ago,"beautiful cute girl lovely body shape the shape of the white flesh skin is pinky ruddy nu nu nu nu a shiny glossy glossy smooth smooth soft and smooth, beautiful and fragrant too fragrant.","Beautiful cute girl lovely body shape The shape of the white flesh skin is pinky ruddy nu nu nu nu a shiny glossy glossy smooth smooth soft and smooth, beautiful and fragrant too fragrant."
27761,UgwVBDBuIAXkhKY1mg54AaABAg,0,3 years ago,"it's great, beautiful and cute woman",好棒吖， 漂亮 可爱的女人
31333,UgxOPq3c0xzwcsUQOAJ4AaABAg,0,3 years ago,"haha! bamboo shoots grow like they’re trying so hard to convince someone that this is how they grow, they look so out of place, and honestly really cute, with their pointy little tops, i kinda want to draw a goofy face on them and give them tiny kisses, they’re adorable. never tasted them, though, but it looks good!",哈哈！竹芽变得像他们很难说服某人那样生长，这就是他们的成长方式，他们看上去是如此不合适，老实说真的很可爱，用尖锐的小上衣，我有点想在他们身上画一张愚蠢的脸并给他们的小吻，他们很可爱。不过，从来没有品尝过它们，但是看起来不错！
31425,Ugz8xZfrdGyzxH-snpR4AaABAg,0,3 years ago,where is lamb that used to follow her around? it was so cute,曾经跟随她的羔羊在哪里？太可爱了
31671,UgwQgAXNF-B1lu9qjRx4AaABAg,0,3 years ago,you have that attitude of making something very special everything is clean will prepared effortlessly and executed step by step very motivated love it.,您有一种使事情变得非常特别的态度，一切都是干净的，将毫不费力地准备并逐步执行，非常有动力的爱。
31672,UgzEcehFNcrWGOFwPvp4AaABAg,0,3 years ago,you have that attitude of making something very special everything is clean will prepared effortlessly and executed step by step very motivated love it.,您有一种使事情变得非常特别的态度，一切都是干净的，将毫不费力地准备并逐步执行，非常有动力的爱。
31870,UgwuAx2xQRv8ObHMGI54AaABAg,0,3 years ago,"ad translated too cute, where there is no word ad does not need to translate, at the end of the video ad writing the word bai bai is ok, writing many words to read. @@! thanks ad.",广告翻译太可爱了，没有单词广告不需要翻译，在视频广告结束时，bai bai还可以，写了很多单词以阅读。@@！谢谢广告。
31887,Ugylqm-z1z6KMUrvPit4AaABAg,0,3 years ago,mother -in -law is so cute,婆婆太可爱了
32072,UgwI8_uwtcmlTuRrbKp4AaABAg,0,3 years ago,who turned the subtitle into vietnamese? it's really cuteee!!,谁将字幕变成越南人？真的是可爱的！
32165,Ugwr96lBtG03pSwaaS14AaABAg,0,3 years ago,she's so cute,她好可爱
32424,UgynsCj4qsiKS3s1EOt4AaABAg,0,3 years ago,the old lady is so cute,老太太真可爱
32438,UgxstV-H--0-mag3Ayp4AaABAg,0,3 years ago,cute vietnamese translators: >> read and laugh,可爱的越南翻译人员：>>阅读和笑
32526,Ugx8mVbKcO4esUfQNwd4AaABAg,0,3 years ago,cute,可爱的
32530,UgxEuVq5opLkNq8QW-F4AaABAg,0,3 years ago,vietsub is so cute. : 3,Vietsub是如此可爱。 ：3
32574,UgxJwmPqKBqU89V7Z_N4AaABAg,0,3 years ago,i just want to know who made those vietsub ??? they're so cute,我只想知道谁制作了那些vietsub ？？？他们很可爱
32589,UgwWXk9qg0v9kB-p0Bx4AaABAg,0,3 years ago,sub cute vc :)),sub可爱的VC :)）
32718,UgyexdgpE90lQ-JED3V4AaABAg,0,3 years ago,cat is cute,猫很可爱的
33169,Ugwg1zIlZ6O3KVoqHzZ4AaABAg.8yUf63ay4nS8yV1T8MpMK8,0,3 years ago,we are cute,我们很可爱
33319,Ugy0-0ia_oXzwMM0iy94AaABAg,0,3 years ago,"dude... i thought bamboo shoots are small and cute, harvest moon why did you lie???",杜德...我以为竹芽很小又可爱，收获的月亮你为什么撒谎？？？
33340,UgzM4pWcVbJ-Piw9tlV4AaABAg.8yUcbxOkQLR8yUn3mA-PuW,0,3 years ago,the animals are too cute,动物太可爱了
33448,UgzuczOQ75Rzzrn5srl4AaABAg,0,3 years ago,grandma so cute wanna try her noodle lol,奶奶太可爱了，想尝试她的面条大声笑
33581,UgxJfTzJnQWJZ8ofzhV4AaABAg,0,3 years ago,i like her grandma very much she is so cute ....,我非常喜欢她的祖母，她真可爱。
33855,UgwFr-kwzwjq1VgoIR94AaABAg,0,3 years ago,look at me so cute,看着我这么可爱
34257,UgyV4DAshCAKudWYDYZ4AaABAg,0,3 years ago,so much acute eat all their lives and nothing: they live up to 100 years.,如此多的急性一生都没有吃掉：他们寿命长达100年。
34400,UgyLCVbWapDr4OTTtTl4AaABAg,0,3 years ago (edited),you so cute and beautiful❤️ from vietnamese:)),你是如此可爱又美丽❤️越南语:)）
34591,Ugx-09ZiL2D1W6vA6gN4AaABAg,0,3 years ago,"looking so cute, the pink ball will never introduce her lover to the people of the people ^^",看起来很可爱，粉红色的球永远不会将她的爱人介绍给人们的人们^^
34840,UgwAitrX7MCDz4aT5np4AaABAg,0,3 years ago,very cute too.,也很可爱。
35007,Ugy5SDYCWvNR0S5SHYB4AaABAg,0,3 years ago,"love you sister ❤ i like your every presentation... u r so cute 
i'm from bangladesh","爱你姐姐❤我喜欢你的每一个演讲...你真可爱
我来自孟加拉国"
31411,UgyWGukZU2jM-A2Wrqx4AaABAg,0,3 years ago,"liziqi didi, your grandma is so cute. she is lucky to have hardworking and caring granddaughter like you. bless you both! wish i had the opportunity to taste what you cook, your dishes look so delicious.",利兹奇·迪迪（Liziqi Didi），你的祖母真可爱。她很幸运能像您一样勤奋和关怀孙女。祝福你们俩！希望我有机会品尝您的烹饪，您的菜看起来很美味。
31304,UgwAxy7g6WjuUryt80l4AaABAg,0,3 years ago,cute,可爱的
27990,UgzQ0mzFECx7SwI3BBh4AaABAg,0,3 years ago,she's cute ☺️,她很可爱☺️
31301,UgwwvraZmkVF4YBTDgx4AaABAg,0,3 years ago,who did such a cute vietsub? ? ?,谁做到了这么可爱的越野酒？ ？ ？
28038,UgxnpnXrTZIbR7-V1Xt4AaABAg,0,3 years ago,"vietsub cute
thank for the video","vietsub可爱
感谢视频"
28069,UgzxH92aO4ICrXfqmLp4AaABAg,0,3 years ago,9:16 omg ur dog really is the cutest,9:16 OMG您的狗真的是最可爱的
28106,Ugz4AW84CXEsHXKGE8h4AaABAg,0,3 years ago,i'm so cute. china is really so many beautiful girls. the country produces the most beautiful women in the world.,我真可爱。中国确实是很多美丽的女孩。该国生产世界上最美丽的女性。
28281,UgwSM00RTEuaga5nxFZ4AaABAg,0,3 years ago,you are so cute.as well as you food,你真可爱。
28288,UgwkMLEhe2CGc6l9hrF4AaABAg,0,3 years ago,"today there is vsub cute too:-*
i don't imagine when i get married to give birth to a child","今天也有可爱的vsub： - *
我不想象我结婚的时候生孩子"
28456,UgyVNGyxqvl2vXOmCoB4AaABAg,0,3 years ago,"haha, my mother -in -law is so cute, i have to eat spicy every time",哈哈，婆婆太可爱了，每次都要吃辣的
28655,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g92Ieu-5mUfI,0,3 years ago,hahahahahahahahahahaa you are so cute,哈哈哈哈哈哈哈哈哈哈，你真可爱
28843,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g995yBVOV3n0,0,3 years ago,"same here, lol, so cute",同样，大声笑，真可爱
28941,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9CQXzKqiUkp,0,2 years ago,she is soo cute like a small girl,她像一个小女孩一样可爱
29086,UgxiDF6AP5g_X6_z6ZZ4AaABAg,0,3 years ago,cute to eat ❤,可爱吃❤
29205,UgzeTCYqkbjiChQQtq14AaABAg,0,3 years ago,cute nature,可爱的大自然
22027,UgwKSN_PD28PZNnveFd4AaABAg,0,3 years ago,so cute! rural girl <3,太可爱了！乡村女孩<3
29286,UgyTs3upPn1CjJVDvXN4AaABAg,0,3 years ago,"sub is so cute ... lately, i feel a bit thin!",Sub是如此可爱...最近，我有点瘦！
29314,UgzuKosCSROlsZR3s4d4AaABAg,0,3 years ago,who vietsub cute,谁可爱的Vietsub
29320,UgxQKn4VvPj-jvy2KF54AaABAg,0,3 years ago,your so cute you smile i love you,你真可爱你微笑我爱你
29378,Ugx40KWKc15oygYrJHt4AaABAg,0,3 years ago,i like everything about your video except one thing that is i never see you feeding your cute dog hahaaaaa.,我喜欢您的视频的所有内容，除了一件事是，我从未见过您喂您可爱的狗Hahaaaaa。
29599,Ugzi89MJUjZ2InzgDtt4AaABAg,0,3 years ago,"why is the vietnamese sub so cute? : "")",为什么越南潜艇如此可爱？ ：“））
29619,UgzdKmTEHTGKv6khhNx4AaABAg,0,3 years ago,grandma also wants to taste really cute!,奶奶也想尝尝的样子真的好可爱！
29627,Ugy9WAHL37fL93p48q94AaABAg,0,3 years ago,"you are so cute, sister",你真可爱，姐姐
29748,Ugz1pw099tEP0YEnQVl4AaABAg,0,3 years ago,cutest jump ever 9:16,有史以来最可爱的跳跃9:16
29875,UgxrGQm0eFnKdwbVVcl4AaABAg,0,3 years ago,you are so cute . i like all of you videos,你太可爱了 。我喜欢你们所有的视频
29919,Ugzxmwc2NYIHfjGksjp4AaABAg.8yVxVy7d9MK8yW-AiGsWj6,0,3 years ago,jie yao oh thankyou . she could have made non spicy rice noodles . grandma is just soooooo cute,Jie Yao哦，谢谢。她本可以做出非辣米粉。奶奶真是太可爱了
30189,UgzvqJ6Gx4MiT7b3jB94AaABAg,0,3 years ago,sub so cute ^^,Sub太可爱了^^
