,cid,votes,time,含pretty,含pretty中文翻译
13349,Ugy2EFfv0hjylyXBje54AaABAg,19,3 years ago,"she is pretty, and calm.. how beautiful..",她很漂亮，镇定..多么美丽。
9410,UgzQ15FwmzA7Hg-juap4AaABAg,15,2 years ago,she is pretty and also love her life style even we know the videos are shoot in purpose,她很漂亮，也喜欢她的生活方式，即使我们知道视频是有目的的拍摄的
10649,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU798pf-9Y7AgB,14,3 years ago,and you don't think she's making money here? she has over 36mil subscribers. she is very very well off from youtube views. i'm pretty sure she's a millionaire at this point. earned it though.,而且您不认为她在这里赚钱吗？她拥有3600万以上的订户。从YouTube的景色中，她非常好。我很确定她现在是百万富翁。虽然赚了。
22398,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-RKeLIpay7,14,3 years ago,"@cyouchin5381 now you are fucking kidding me, what you think china is? third world country? pretty sure almost 90 % of china city have better development than usa, and you really think this channel didnt earn her any money?, let me approximate the number of how much she earns from this channel, around 10 k usd at least pre month",@Cyouchin5381现在您他妈的在开玩笑我，您认为中国是什么？第三世界国家？可以肯定的是，近90％的中国城市的发展比美国更好，您真的认为这个频道没有赚钱吗？让我大概她从这个频道中赚取了多少钱，至少一个月前约10 k美元
7981,UgwkHFOB4PMOJvRjImB4AaABAg,14,2 years ago,"she is pretty, smart, hardworking, and cares for her grandparents she's amazing",她很漂亮，聪明，勤奋，照顾她的祖父母，她很棒
12578,UgwiGnlwnyZ020m-lm94AaABAg,13,3 years ago,"my pretty little girl, i have a lifetime of memories thank you.",我漂亮的小女孩，我一生的回忆谢谢。
24855,Ugw43HpMpzRelTA0BOd4AaABAg,8,3 years ago,"this pretty girl can be representative of a strong woman in society, not mary sue in hollywood.",这个漂亮的女孩可以代表社会上一个坚强的女人，而不是好莱坞的玛丽·苏（Mary Sue）。
26307,UgwQnpWIGgxw_Aj3Qk14AaABAg,8,3 years ago,"you're pretty.. your daily life is full of cooking foods.. the perfect ""ibu rumah tangga"" house wife.. i have to learn from you",你很漂亮..你的日常生活充满了烹饪食物..完美的“ ibu rumah tangga”家庭妻子..我必须向你学习
18816,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792UWt2uqg0_,7,3 years ago,oriolopocholo pretty sure that more youtube users in china than in spain,Oriopocholo可以肯定的是，中国的YouTube用户比西班牙更多
28590,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9-NeaBJpk-V,7,3 years ago (edited),"@yreinyvana6214 pork adobong, my favorite.

this franz peters is so stupid in not knowing that our pretty princess also does a lot of work tending to her plants and animals on their farm, and taking care of grandma, besides making beautiful videos for the whole world to see.

hey, franz peters, spare us your negativity.

get out of here. we don't need you here. layas. do you know the word tagalog, franz peters? do you know what is ""tanga"" in english? that is you, franz peters. apologies!","@yreinyvana6214猪肉Adobong，我的最爱。

这个弗朗兹·彼得斯（Franz Peters）是如此愚蠢，因为不知道我们漂亮的公主在农场上也为她的动植物做了很多工作，还照顾奶奶，除了制作美丽的视频以供全世界观看。

嘿，弗朗兹·彼得斯（Franz Peters），让我们的消极情绪避免了我们。

离开这里。我们在这里不需要你。 Layas。你知道塔洛格一词，弗朗兹·彼得斯吗？你知道英语中的“ tanga”是什么？就是你，弗朗兹·彼得斯。抱歉！"
7508,UgzFpOG-GM2ugSFyhWt4AaABAg,7,2 years ago,i've only ever had the instant version so it's pretty cool seeing it get home made.,我只有即时版本，所以看到它回家了，真是太酷了。
12758,UgxuKpn6MeGJB2VchL14AaABAg,5,3 years ago,a pretty girl just taken us to back1000years of cooking in forest with local utensils and,一个漂亮的女孩刚刚带我们去了带有当地餐具的森林中的Back1000年烹饪。好摄影，声音和美味
14734,UgyvsKDO1aFKa1YOWNp4AaABAg,5,3 years ago,"she pretty, talented, hardworking, and looks humble there aren't that many people with all those quality combined",她漂亮，才华横溢，勤奋，看起来很谦虚
27359,Ugx1EZUxQB45OBd5gm14AaABAg.8yfbcEmcBOG8ypgqunJvHU,4,3 years ago,"i have never seen someone who knows how to do so many things and is beautiful and gracious besides. not only that, she keeps things pretty, clean and natural. i don't see disposable plastic things around. it's like an organic resort. i don't believe my eyes. i've always thought of rural chinese as messy and indifferent to their environment (except royalty way back).",我从未见过一个知道如何做这么多事情的人，除了美丽而亲切。不仅如此，她还可以使事情变得漂亮，干净和自然。我看不到周围的一次性塑料东西。这就像一个有机度假胜地。我不相信我的眼睛。我一直认为中国乡村对环境杂乱无章（除皇室之路）。
33874,UgytIwV9XlyDV21Z5mV4AaABAg,4,3 years ago,"liziqi, you is a pretty girl in my eyes, lov u",liziqi，你是我眼中的漂亮女孩，爱你
21599,Ugxt50sc-69mMxbryxx4AaABAg,3,3 years ago,"hi, 
i just want to say that this week is “asia” week. me & my daughter get to discover & eat great “asia” food. like, “asian” sandwiches. (they are really good & my favorite), “asian” boaba tea. ..there’s this drive thru “asian” small restaurant called “chopsticks”, how pretty. it was a healthy plate from “chopsticks” restaurant. i love videos like this, very healthy & organic.","你好，
我只想说本周是“亚洲”周。我和我的女儿可以发现并吃得很棒的“亚洲”食物。就像“亚洲”三明治。 （他们真的很好，也是我的最爱），“亚洲” Boaba茶。 ..通过“亚洲”的小餐厅，这是一个名为“筷子”的小餐厅，多么漂亮。这是“筷子”餐厅的健康盘子。我喜欢这样的视频，非常健康且有机。"
3197,UgyjtHhIQK1faITfrLF4AaABAg,3,1 year ago,"liqizi wishing you a happy birthday that you spend beautiful in your grandmother's company and your friends, you are a very pretty girl, one day travel to meet you, just want you to spend a very beautiful day and wishing you a long life, chauuuu",Liqizi祝您生日快乐，您在祖母的陪伴和您的朋友中度过美好的生日，您是一个非常漂亮的女孩，有一天旅行去见您，只希望您度过一个非常美好的一天，并祝您长寿，Chauuuu
29189,UgzdaeDTZhLXSrxonp94AaABAg,3,3 years ago,"wow, the fairy is here
my hands are too bad and i can't do anything
who is taking pictures of the video?
too pretty ❤️","哇，仙女在这里
我的手太糟糕了，我什么也没做
谁在为视频拍照？
太漂亮了❤️"
100,UgzIX6v6qNFz5C4zBx94AaABAg.9qE0PYZQ1zp9qHvyoC-3vA,3,2 weeks ago,"she has terminated her contract with her company due to some issues. they took too much of the royalties out of her videos when she did all the job. they couldn't convinced her anymore so she just stop making any videos. i heard she's now doing some tour around other countries to demonstrate china's culture. she pretty much doing fine. i miss her videos as well, but she had chose her right. i always come back to her old videos whenever i feel pretty stress out. probably hope one day she'll come back again .",由于某些问题，她已终止与公司的合同。当她完成所有工作时，他们从她的视频中取出了太多的特许权使用费。他们再也无法说服她了，所以她停止制作任何视频。我听说她现在正在其他国家进行一些巡回演出，以展示中国的文化。她几乎很好。我也想念她的视频，但她选择了她的正确性。每当我感到非常压力时，我总是回到她的旧视频。可能希望有一天她会再次回来。
4624,UgxF-VZNAK-rOEI4FNd4AaABAg,2,2 years ago,pretty,漂亮的
8532,UgziCXRd-TeTqbjqtY54AaABAg,2,2 years ago,it is a calming and wonderful video. the dishes are really great. we support. so prettyโก,这是一个平静而精彩的视频。这些菜真的很棒。我们支持。太漂亮了
16487,Ugwq4iqOcKK2VFo8dMN4AaABAg,2,3 years ago,damn she's pretty hot,该死的她很热
22413,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9I6eiIhtgT_,2,2 years ago,"@jumpoable i am pretty sure my point is clear, her real lifestyle is difference then the one she show in her video, whoever disagree that either show me prove or shut their hole",@jumpoable我很确定我的意思是清楚的，她的真正生活方式与她在视频中展示的那个生活方式是不同的，无论谁不同意，都表明我会证明或关闭他们的洞
22017,UgxUXSYmkPSpsKhT3V14AaABAg,2,3 years ago (edited),"already pretty smart cook again, i want to have a wife like you.
i'm from indonesia.","再次很聪明的厨师，我想有一个像你这样的妻子。
我来自印度尼西亚。"
34815,UgwXDPJRCk9M1RW5eKl4AaABAg.8yUSwqrDIsS8yUUKfz9UPR,2,3 years ago,"allen yeng
because she is pretty and i am a lesbian.","艾伦杨
因为她很漂亮，我是一个女同性恋。"
164,UgzIupmPtR98CBFhc2N4AaABAg,2,1 month ago,she is a very pretty girl ❤️,她是一个非常漂亮的女孩❤️
27834,UgzPDCnKRY_6058BmXt4AaABAg,2,3 years ago,i feel better. the image quality is pretty,我感觉更好。图像质量很漂亮
28154,UgwUHwDU6BpwWuxNgX54AaABAg,1,3 years ago,i think my heart is purifying just by looking at it. i want to taste it because the food is pretty,我认为我的心只是通过看它来净化。我想品尝，因为食物很漂亮
10454,UgyiRwpDgRJEfq19LXV4AaABAg,1,3 years ago,nothing but pretty is still good,没什么，漂亮还是不错
10735,UgwRARf6l0C1lMx_FlN4AaABAg,1,3 years ago,i'm pretty sure this is what feeling smitten is like. i'm absolutely in love and i want to live there and help her with all the things she does <3,我很确定这就是感觉的感觉。我绝对恋爱了，我想住在那里，并帮助她做她所做的所有事情<3
10767,UgyJAUqPIdVOpOdTfq14AaABAg,1,3 years ago,i am pretty curious,我很好奇
14142,UgwdCOlW5kz0lHK8v8Z4AaABAg,1,3 years ago (edited),"oh my god... this chinese woman is more than the wonder woman cuz this is real. and she is my inspiration for my daily life. oh god, please bless this amazing and beautiful/pretty chinese woman....",哦，天哪...这个中国女人不仅仅是神奇女侠，因为这是真实的。她是我日常生活的灵感。哦，天哪，请祝福这个神奇而美丽/漂亮的中国女人。
11106,UgzUJXTAZd7719tG30t4AaABAg,1,3 years ago,"she is really so pretty, come dr northeast india, we r also eat this one",她真的很漂亮，印度东北部来了，我们还吃了这个
11922,Ugw2XYfOmYPzFooSCgJ4AaABAg,1,3 years ago,pretty ~,漂亮〜
26943,UgyPHJjVpcqL4gKu2SZ4AaABAg,1,3 years ago,you are so pretty,你真漂亮
26414,Ugw6iDxXdV8-kY3HuuR4AaABAg,1,3 years ago,"this girl is the most beautiful, on earth! she is good looking too! grandma eats pretty good! what a wonderful look at china. thanxz",这个女孩是地球上最美丽的！她看起来也很不错！奶奶吃得很好！对中国真是太好了。 thanxz
13236,UgzU2AaO0fW7WreVKfx4AaABAg,1,3 years ago,"your videos are pretty awesome, so ive subscribe to your channel miss/mrs lizigi.. i love to plant vegestable also even in a tiny space area of our backyard
wish to go home to our province, to do like what youve been doing in ur farm, its so relaxing, and i love the montage video nice place you have there lizigi family","您的视频非常棒，所以我订阅了您的频道小姐/Lizigi夫人。.我也喜欢在我们的后院的一个小空间区域种植vistable。
希望回到我们省，喜欢您在Ur农场所做的事情，它是如此放松，我喜欢您在那里有Lizigi Family的Montage Video的好地方"
24861,UgwJUh4-zrSpuaBG0Nd4AaABAg,1,3 years ago,"its pretty, it's a smart cooking, smartly .. this idaman ..",它很漂亮，这是一种聪明的烹饪，聪明。
14797,UgyFsGA-8sk0qg3dqhV4AaABAg.93x2w4qvmA194ARrSfqeJi,1,3 years ago,"strait arrow seriously you think everything in china has agenda behind it, are you sure you mind is fine? pretty twisted ive say",认真的海峡箭头，您认为中国的一切背后都有议程，您确定自己介意吗？我很扭曲
24112,Ugxt-RZOfZ5UdauB_oh4AaABAg,1,3 years ago (edited),"pretty princess, those dishes surely do look good to eat.

wish you'd list down the ingredients and the steps to make those tasty dishes. thanks, pretty princess.","漂亮的公主，这些菜肯定看起来很不错。

希望您列出制作这些美味菜肴的成分和步骤。谢谢，漂亮的公主。"
15238,Ugy3MXlGwvdD66gTWhR4AaABAg,1,3 years ago,she's so pretty,她是如此漂亮
15537,UgwclMUBouE3gIMZjzN4AaABAg,1,3 years ago,"i avoided this lifestyle my whole life. now i can't go back...





still avoid it, i'm pretty fine like this.","我一生都避免了这种生活方式。现在我不能回去...





仍然避免它，我很好。"
23168,UgwsQm_XblSEgFlL_Lx4AaABAg,1,3 years ago,pretty banget ... i love you !!!,漂亮的Banget ...我爱你！！！
16737,UgxfsnkNNt02jUvHtnp4AaABAg,1,3 years ago,someone who will marry this girl are the most lucky guy for havibg this pretty and cute and also indenpendent girl,一个嫁给这个女孩的人是哈维布最幸运的人
17525,UgxCQftzjDe0nKOKqs14AaABAg,1,3 years ago,pretty,漂亮
21198,UgwPdZeCUsR0n7j4WZt4AaABAg,1,3 years ago,the pretty environment of the house is more beautiful,屋靓环境靓人更靓
10451,UgzpF67BN6TNPzdJ4VN4AaABAg,1,3 years ago,she works hard but she's so pretty i fell in love with her everytime i watch her video,她努力工作，但她很漂亮，每当我看视频时，我都爱上了她
11945,Ugwg0S3CQz_-WBEFMhx4AaABAg,1,3 years ago,this sister is pretty vl ❤,这个姐姐很漂亮
31129,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO88yW_5dTX_HX,1,3 years ago,"while the food looks interesting, i am pretty sure it's also very spicy.",虽然食物看起来很有趣，但我很确定它也很辣。
1266,Ugwq1AWPiGo05euiL-B4AaABAg,1,1 year ago,"i wonder for such a wonderful lady, pretty yet gentle and detailed, but strong from the inside, where is her man? 
don't tell me he is the camera man? emmm....","我想知道这是一个如此出色的女士，漂亮但又温柔而详尽，但是从里面很强壮，她的男人在哪里？
不要告诉我他是相机的人吗？ emmm ...."
3187,UgycR7R0wOTTXV0WrNV4AaABAg,1,1 year ago,so pretty omg,太好了
5436,Ugyajf5qRpjk-CfVMMN4AaABAg,1,2 years ago,"marshal, so pretty <3 ^_ ^",元帅，太漂亮<3 ^_ ^
6188,Ugzo22bJZr303q1hUNN4AaABAg,1,2 years ago,pretty noisy,漂亮的嘈杂
33526,UgzTOh4iikFll-fIuoF4AaABAg,1,3 years ago,she is so pretty i want to look like that,她是如此漂亮，我想看起来像
4093,Ugxcy0tExEZ-0s5Jekt4AaABAg.9L0BTTF2ncW9MMv3xtsQgw,1,2 years ago,@jameswent48 now i see you always reply to peoples joke on her video pretty clear that you dont understand a joke haha so serious with yo life ha,@jameswent48现在我看到你总是在她的视频上回答peoples的笑话，很清楚你不明白一个笑话哈哈你这么认真
31244,UgxVzkIV9L6gdEZIZgF4AaABAg,1,3 years ago,she's pretty and perfect,她很漂亮
32060,UgxdEhj-cZs-wEm9c4x4AaABAg.8yV0EYhRV0B8yWAQ6S0Crm,1,3 years ago,"pysvtfa4 this is the first comment i have ever gotten a reply to haha! i totally get what you mean, she’s an amazing hardworking goddess. even though she wasn’t super rich, i’m pretty sure that she was decently well off in terms of finance in order to even own this much land anyways. thanks for educating me more about her!",pysvtfa4这是我对哈哈的回复的第一条评论！我完全明白你的意思，她是一个了不起的勤奋女神。即使她不是超级富裕，我也很确定她在金融方面表现不错，以便无论如何都拥有这么多土地。感谢您对我进行更多有关她的教育！
7403,UgxfGQDH_ipwweelIwp4AaABAg,1,2 years ago,very pretty girl โบ๏ธ๐ค โบ๏ธ๐ค ๐ณ๐ณ๐ฅฐ๐ฅฐ๐ฅฐ๐ฅฐ๐ฅฐ๐ฅฐ๐ฅฐ๐ฅฐ,非常漂亮的女孩☺️
32453,UgxEq822L4qbt6rHv114AaABAg,1,3 years ago (edited),"pretty similar culture with my home town, indonesia, jogjakarta",与我的家乡，印度尼西亚，jogjakarta
7102,UgzRUkd0QTqxaN2BOe54AaABAg,1,2 years ago,just pretty,很漂亮
23445,Ugy6JCY4Lf4k4LiaQZh4AaABAg,0,3 years ago,pretty,漂亮的
23104,UgxOYRg2ojZzsjcrckh4AaABAg,0,3 years ago,"mother's child
sister 2, why is 2 so pretty :(","母亲的孩子
姐姐2，为什么2那么漂亮:("
22509,UgwpG4IRc-UAd54R5154AaABAg,0,3 years ago,can someone say me how can a real pretty girl live in such a temperature,有人可以说我一个真正的漂亮女孩如何生活在这样的温度下
32420,Ugxi9nWHbyTZOpqJSvB4AaABAg,0,3 years ago,i'm so pretty,我真漂亮
23906,UgwmmjuSegwknIOZ1h54AaABAg,0,3 years ago,she is pretty,她很漂亮
22958,UgxLdnb-EzZijHbiBs14AaABAg,0,3 years ago,pretty vler ❤️,漂亮的Vler❤️
33722,UgzwErU8rdSrj6YuA454AaABAg,0,3 years ago,"she was just pretty and good at cooking, whoever gained a whole life was not afraid of starvation anymore",她只是漂亮又擅长烹饪，无论谁一生都不害怕饥饿
32744,UgzlY7f6X-AttzeMP7t4AaABAg,0,3 years ago,she is so pretty,她真的好漂亮
33713,Ugyxn2av2ClrHcyExk54AaABAg,0,3 years ago,"she was just pretty and good at cooking, whoever gained a whole life was not afraid of starvation anymore",她只是漂亮又擅长烹饪，无论谁一生都不害怕饥饿
33051,UgwmCRWqIfBz8L1g96l4AaABAg,0,3 years ago,you are so pretty,你真漂亮
23331,Ugw6XDbdvcZclo2TpWh4AaABAg,0,3 years ago,"the channel where a chubby woman is food is eaten by the whole family
is this man mother? wow, i think you're living alone.
i also watched a video taken by thailand, but there were too many insects flies there.
but their dwellings seem to be really clean and healed because they can't see bugs
and that woman is pretty and pretty, but i think it's really in love to see that food and do it alone
and there are about 6 million subscribers
i think i've been doing it since ancient times and it has been upgraded.
whether you have a lot of income, it is why everyone is watching this video.
it's a filial piety
i can't believe it is really that i edit that video in that residence.
i want to go to experience there","全家人吃食物的胖女人的频道
这个男人妈妈吗？哇，我想你一个人住。
我还观看了泰国拍摄的视频，但是那里有太多的昆虫飞了。
但是他们的住宅似乎真的很干净和治愈，因为他们看不到虫子
那个女人漂亮又漂亮，但我认为看到那种食物并独自做到
大约有600万订户
我认为我从远古时代开始就这样做了，并且已经升级了。
无论您是否有很多收入，这就是每个人都在观看此视频的原因。
这是一个虔诚的虔诚
我不敢相信我真的在那个住所中编辑了该视频。
我想去那里体验"
23494,UgxdyilaurhznfhMMpJ4AaABAg,0,3 years ago,pretty,漂亮的
23359,UgyCZHOjOe8eSlEydrF4AaABAg,0,3 years ago,she's so pretty...her cutting style is very nice..bamboo shoot looks crunchy..all are great recipe,她真漂亮...她的剪裁风格非常好.. bamboo拍摄看起来松脆..所有的食谱都很棒
32960,UgwEdYxfIB-c2VcCt5x4AaABAg,0,3 years ago,pretty,漂亮的
23439,Ugx3f9aHNABERPab9yd4AaABAg,0,3 years ago,she's pretty and talented. i wish i have a garden like her.,她很漂亮。我希望我有一个像她一样的花园。
22443,Ugxo2tbxMwGvUId0w2F4AaABAg,0,3 years ago,"pretty cute, sister",姐姐很可爱
28240,UgyIRf-iI89I-bKpf654AaABAg,0,3 years ago,"wifeable is very girl .... pretty, slim, smart, uwu. my type. haha",可爱的是非常女孩....漂亮，苗条，聪明，UWU。我的风格。哈哈
33797,UgwrSbMBK59yOgdcx6x4AaABAg,0,3 years ago,"tsuchiya, somehow pretty",tsuchiya，不知何故漂亮
34759,UgwmMMMRNsB21ofk76N4AaABAg,0,3 years ago,you are sooooo pretty.,你太漂亮了。
20893,UgxAyzHP51Y_iV0-VvF4AaABAg,0,3 years ago,"she is very pretty, the video is very good.",她非常漂亮，视频非常好。
20930,UgwMG5QkaxWk3eS0hjN4AaABAg,0,3 years ago,pretty!,美啊！
21056,UgzHltNSweeZbqpQqYd4AaABAg,0,3 years ago,i feel pretty,我感觉很漂亮
21181,UgyAeltZ2XtNmwutiUx4AaABAg,0,3 years ago,wao is both pretty and good at the kitchen. whoever takes you is very happy ..,Wao在厨房既漂亮又漂亮。谁带你很高兴。
21188,UgxyQTSn_Em-fhO3Tup4AaABAg,0,3 years ago,"i watched the video well. 
the screen was so pretty surprised. 
i wonder what you are shooting with. 
please reply if you are okay.","我很好地看了视频。
屏幕非常惊讶。
我想知道你在拍摄什么。
如果您还可以，请回复。"
34777,UgwlMdOlxAByXEmnLB14AaABAg,0,3 years ago,"the smile is very pretty, a little smile, girl.",笑容很漂亮，有点微笑，女孩。
21203,Ugyd9G9ksPV8_bSDnOt4AaABAg.909ERRD6hCD90gvlf_TbBY,0,3 years ago,"pretty much! they eat watermelon, salad greens, and most other fruit!!",几乎！他们吃西瓜，沙拉蔬菜和大多数其他水果！
21542,Ugy9FPTbYHlgMaMKft14AaABAg,0,3 years ago,you're pretty,你很漂亮
21642,UgzHk0e2c4jhPrAAdPV4AaABAg,0,3 years ago,this looks so pretty,看起来很漂亮
34075,UgyeMWXVE5i-dfw3CZd4AaABAg,0,3 years ago,yours soo pretty,你很漂亮
21741,UgyQ8HNUEeIYwM2RXlZ4AaABAg,0,3 years ago,i want china out việt nam sea . pretty girt,我想要中国占领南海。漂亮的girt
21744,UgzG9IyEvQYWFeBj4g54AaABAg,0,3 years ago,pretty vcl,漂亮的VCL
21964,Ugzb8v7lsmDysnh7zxV4AaABAg,0,3 years ago,nobody is gonna mention the fact that she is so pretty even with so little makeup?,没有人会提到她即使化妆如此少，她这么漂亮？
34744,UgzuhLGdDf7Ozn5Mf3h4AaABAg,0,3 years ago,you are so pretty,你真漂亮
34339,UgyjLH91eZuI8hc8I_J4AaABAg,0,3 years ago,u r looking more pretty in shirt,你穿着衬衫看起来更漂亮
22166,UgycIe-0o0-nZyJk3Oh4AaABAg,0,3 years ago,so pretty,好漂亮
34279,UgyoRlaYxsnZPBKQPVh4AaABAg,0,3 years ago,it's pretty smart cooking again,再次很聪明的厨师
34105,UgzbXuCfOHuZJQgN6KZ4AaABAg,0,3 years ago,the face is very pretty.,脸非常漂亮。
24758,Ugz086771aIDOGTYj8F4AaABAg,0,3 years ago,this little recognition is really good ... just pretty! wish you always succeed ... :))),这个小小的认可真的很好...很漂亮！希望你永远成功... :)）））
25013,UgwQW3UdVHZ64R7jt3Z4AaABAg,0,3 years ago,the pretty girl is next time.,靓女下次整咩啊。
32418,UgzDfNtaqjvaRQWWcp94AaABAg,0,3 years ago,so pretty where u live! u r amazing,你住的地方很漂亮！你很棒
30993,UgyJF1G0k5f2SxBWN7B4AaABAg,0,3 years ago,"so pretty, don't see it",好漂亮，看不到
27462,UgwMAHKJ_snMUPD9_1N4AaABAg,0,3 years ago,the snail hahaha is pretty good,嗦螺 哈哈哈 蛮好恰
27487,Ugx11JeKLR_4Uw_Ixh94AaABAg,0,3 years ago,pretty,漂亮的
27488,Ugw1qW9PipyO8fzMR6d4AaABAg,0,3 years ago,"already pretty good at cooking again, how come the kids?",已经很擅长烹饪了，孩子们怎么了？
20632,Ugy-fPDhwUsuX0fh_VV4AaABAg,0,3 years ago,so pretty,太漂亮了
29534,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58ydK435ei4e,0,3 years ago,"@shiminli3966 liziqi is from pingwu, sichuan, which is pretty far away from nepal....2000 km",@Shiminli3966 Liziqi来自Sichuan的Pingwu，距离尼泊尔很远。...2000 km
27491,Ugz3NrtHCrUlJ_JAo594AaABAg,0,3 years ago,i'm pretty.,我很漂亮。
27544,UgzAZjJKw_o8AI7YzX94AaABAg.8ydt4Y210zF8ypddu4AAB1,0,3 years ago (edited),"please tell me. i didn't think chinese could own enough land to live this lifestyle. her place is so clean, pretty and fresh. how can she live this way? she has resources all around her. is she working for the chinese elite at some grand resort? do such expansive places and people with so much domestic talent and beauty (all-in-one) exist on their own in china?",请告诉我。我认为中国人没有足够的土地来过这种生活方式。她的地方是如此干净，漂亮和新鲜。她怎么能这样生活？她周围有资源。她在一些大度假胜地为中国精英工作吗？如此广阔的地方和拥有如此多的国内人才和美丽（多合一）的人们在中国是否存在？
27582,UgzpucZWPKdKF7jHvpJ4AaABAg,0,3 years ago,pretty girl vl,漂亮的女孩VL
27763,UgybcuXXyxE_50imBvJ4AaABAg,0,3 years ago,just pretty and good at cooking,只是漂亮而擅长烹饪
29418,Ugyww6EiPWRExaYuF-V4AaABAg,0,3 years ago,this sister is so pretty,这个姐姐好漂亮
29122,UgxqfVhubcVcTcRg3tJ4AaABAg,0,3 years ago,im so jealous in her she is pretty lovelg hardworking kind . she is more better than a princess,我对她很嫉妒，她非常勤奋。她比公主好
27879,Ugy7MdDA_DChqhn5zRN4AaABAg,0,3 years ago,pretty,漂亮的
27922,UgyKtMmbKu-RHvM0ucd4AaABAg,0,3 years ago,pretty =)),漂亮=））
29100,UgyoulSszlHsPxTciwd4AaABAg,0,3 years ago,great and pretty,很棒
27998,UgzBIfeYkya2Gp3d36V4AaABAg,0,3 years ago,i am from bangladesh.....i like liziqi....she is so much pretty girl....she is nice person..... personally i like her......i see your cooking episod.....your home environment very much beautiful place....but where is your father mother?,我来自孟加拉国.....我喜欢liziqi ....她是如此漂亮的女孩....她是个好人.....我个人喜欢她...我看到你的烹饪情节.....您的家庭环境非常美丽的地方....但是您父亲的母亲在哪里？
