,cid,votes,time,含pretty,含pretty中文翻译
17623,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh9848IskKRjd,4,3 years ago,"heardistance you have been mentioned so many times that “you should”, “you must”...hmm, why would i follow that? i feel offended by the unfriendly words and bad attitude you had before, if you wrote down comment like this and make it more clearly i may even not argue at all. in addition, german and english are also pretty hard for chinese as they are completely different language system to us but many of us at least make it works. german is also not a global language but it does bring convenience to study, work and travel in german speaking area and help to understand germans better. but of course, if your life has no any relations with china, that’s indeed not necessary to learn chinese at all. but it would be also cool to be able to speak chinese as nowadays so many chinese are around. no matter you hate it or love it, they are there.",听到您已经被提到了很多次，以至于“你应该”，“你必须” ...嗯，我为什么要遵循呢？如果您写下这样的评论并使之更加清楚地说，我什至根本没有争论。此外，对于中文而言，德语和英语也很难，因为它们与我们完全不同，但我们中的许多人至少使它起作用。德语也不是一种全球语言，但它确实带来了在德语讲话地区学习，工作和旅行的便利，并帮助更好地了解德国人。但是，当然，如果您的生活与中国没有任何关系，那确实没有必要学习中文。但是，能够说中文会很酷，因为如今有很多中国人在周围。无论您讨厌或喜欢它，他们都在那里。
22587,Ugyj2E4_XI7nHeOrGyZ4AaABAg,4,3 years ago,"that is chestnut, the one she pick-up from the start of the video - right? you'e really a good chef, and got a lot of cooking talent and pretty face too, but i'm missing to see those beautiful smile from your lovely face... more power to you blog cause it helping a lot of people to understand the real fashion of cooking...",那是栗子，她从视频开始时就拿起了栗子 - 对吗？您真的是一个好厨师，也有很多烹饪才华和漂亮的脸蛋，但是我想念那些美丽的脸上的笑容。了解烹饪的真正方式...
30980,UgwvNDbKM596dyOyQ-R4AaABAg,4,3 years ago,"this woman works a lot way more than me, and looking pretty while doing it",这个女人的工作方式比我要多得多，而且看起来很漂亮
38322,UgxfGYVLXtKVHziVxht4AaABAg,4,4 years ago (edited),"i love what she does very pretty calm and something very natural

what is your name","我爱她做的非常镇定和很自然的事情

你叫什么名字"
1676,UgxpCNf78P4NrPxdAlF4AaABAg.9bgGwKa4MiY9bs-afqOuu0,4,1 year ago,"acctually, be a content creator like this is quite stressful, recently li has a huge problem with the contrac between her and her managing company, things go pretty bad acctually, she can lose her brand and all the ownership of these video any time",在很大程度上，做一个像这样的内容创造者很紧张，最近李与她和她的管理公司之间的违规行为有一个巨大的问题，事情变得非常糟糕，她可以随时失去品牌和所有这些视频的所有权
24382,Ugzpl0UNkc7Sdjcaac94AaABAg.9198C8X3Wbs92ILBgijMLb,3,3 years ago,"people from different province in china make different snacks for sping festival, this video only show a little part of it but the atomosphere is the same. you really should make some chinese friends and im pretty sure that they will invite you to celebrate chinese new year if u ever mention ur love about it.",来自中国不同省份的人们为促销节做了不同的零食，该视频只显示了其中的一小部分，但原子圈是相同的。您真的应该结交一些中国朋友，我很确定，如果您提到您对此的爱，他们会邀请您庆祝农历新年。
44662,UgyXh2K4nrOmQmHP4q94AaABAg,3,4 years ago,she’s so pretty! ❤️❤️❤️,她很漂亮！ ❤️❤️❤️
14131,UgxQIgANHb8hw5nVR_R4AaABAg,3,2 years ago,i like to watch liziqi on the weekends with a beer. best thing ever. i'd love to have a woman like that. she's so pretty in every way.,我喜欢在周末用啤酒看Liziqi。有史以来最好的事情。我很想有一个这样的女人。她在各个方面都很漂亮。
14600,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9AbkQXCkreD,3,2 years ago,pretty?,漂亮的？
16904,UgyIBXJOj3Th9AOuGT54AaABAg,3,3 years ago,after days of cooking she still has the energy to make everything pretty... ill be like: nup i’m not moving anymore,经过几天的烹饪，她仍然有能力使一切变得漂亮...病好：NUP我不再搬家了
17108,Ugwcy1IQZapuQw1IcxF4AaABAg,3,3 years ago,"angel
too pretty","天使
太漂亮"
36938,UgwFYQu0ZjqOQGWD12d4AaABAg.8uLfY_QL-Tn8v1_vQjtrCF,3,4 years ago,shes too pretty to feel at peace,她太漂亮了，无法感觉和平
50373,UgyShuCEJwytDmDfm3t4AaABAg,3,4 years ago (edited),"i had these candied hawthorn berries on a stick in china and they are pretty much my favorite food now...tart, tangy and sweet!",我在中国的一根棍子上放了这些蜜饯的霍桑浆果，现在它们几乎是我最喜欢的食物……酸，浓郁而甜蜜！
4218,UgyPckvhZ2-tHKdp8R14AaABAg,3,1 year ago,i wondered why her hands still look pretty after done so much of work ?,我想知道为什么她的手完成了这么多工作后，为什么她的手看起来仍然很漂亮？
30310,UgzzGCnxq57BhCAB3YR4AaABAg,2,3 years ago,"just pretty and good, love you! ๐๐๐",只是漂亮，很好，爱你！
12250,Ugy8yAPIOGPf7FKLJgF4AaABAg,2,2 years ago,"she's pretty,responsible,and considerate wow ,i loved that,i always want to find a girl like her",她很漂亮，负责和体贴哇，我喜欢那个，我总是想找到一个像她这样的女孩
17235,Ugw8TNhrBDB9BH-sMtZ4AaABAg,2,3 years ago,does popcorn uncle really make the rounds like that? that’s pretty cool,爆米花叔叔真的会这样做吗？太酷了
43619,UgzOF4gYHFtmtI6wHQR4AaABAg,2,4 years ago,"there is such a pretty person in the world ... ❤❤❤
it looks really pretty and great ~~ ^^","世界上有一个漂亮的人...❤❤❤
它看起来真的很漂亮~~ ^^"
33781,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w3o6S1tw-T,2,4 years ago,"park chimmin yeah, this is actually also part of their lifestyle, the labour is just being seen in the video, pretty sure usually they sell what they make.",是的，是的，这实际上也是他们生活方式的一部分，刚刚在视频中看到了工作，通常可以肯定的是，他们通常会出售自己的生产。
17017,UgwBTuX4TtgjOj10-2B4AaABAg,2,3 years ago,"all of the videos are always watching well ♥ ️ you are good at cooking
the face is pretty, and the grandmother is so good.
pretty ♥ ️","所有的视频总是看得很好♥♥您擅长烹饪
脸很漂亮，祖母真是太好了。
漂亮♥谢"
25957,UgzHEPuSPH1f83Z4cBZ4AaABAg.8ztack82egj8zuU3QNgUIh,2,3 years ago,"animeguts _ online shopping is very popular and normal in china. as well as the logistic business, it is pretty well developed. basically you can get anything you want wherever you are in china.(tho xinjiang and tibet might take more shipping cost because of the geographical difficulty. )",Animeguts _在线购物在中国非常受欢迎且正常。除了逻辑业务外，它还发达了。基本上，无论您在中国的任何地方，您都可以得到任何想要的东西。
34698,UgwkTkPL1RSOVusRGth4AaABAg,1,4 years ago,"you're so pretty and lovely ~ it's a clean, refreshing and delicious video that makes you feel good and smooth. grandma is healthy ~ the main character is always happy as it is now ~~ โก",它是如此漂亮可爱〜它干净清爽，美味的食物既好又光滑。奶奶很健康〜主角总是很快乐，因为现在~~♡
20533,UgwR9egSk9R8F_toDxR4AaABAg,1,3 years ago,"damn this really feels like the time when i was still living in a province with my grandmother. we pretty much lived in a mountain and we also do have different types of fruits and vegetables. in fruits we have mangoes, bananas, star apple, star fruit, cashew, rambutan, guavas, jackfruits, soursop, avocado, java plum, grapefruit (pomelo), cocoa (to those who might not know, the seeds is what the chocolate is. it tastes sweet and sour but i guess it depends on the type of cacao fruit since there's this orange(?), light violet(? don't know what the color was called) and green ones tho they all became yellow when ripe. and many more i can't type it all here since probably no one's gonna read this. but if you want to know more about my childhood i can tell you more about it just ask request in the reply sections. btw i'm 20 now and im not living in my grandmother anymore but there's a lot of good memories i could share๐",该死的感觉真的像是我仍然和祖母一起住在一个省的时候。我们几乎生活在山上，我们也有不同类型的水果和蔬菜。在水果中，我们有芒果，香蕉，星苹果，星级，腰果，腰果，番茄，千斤顶，豆腐，酸味，鳄梨，鳄梨，爪哇李子，葡萄柚（Pomelo），可可（Pomelo），可可。它的味道甜而酸，但我想这取决于可可果的类型，因为有这种橙色（？），轻紫罗兰色（？不知道该颜色叫什么），而绿色的果实变成了黄色，当成熟时它们都变成黄色。还有更多我不能在这里键入所有内容，因为可能没有人会读这篇文章。但是，如果您想了解更多有关我的童年的信息，我可以告诉您更多有关它的信息。我不再住在祖母里，但是我可以分享很多美好的回忆
32769,Ugzz_MmcnBWco8k1SUd4AaABAg,1,4 years ago,she is unique so working everything that does rich things and that place so beautiful pairs a paradise and she an angel๐ and very pretty,她是独一无二的，所以要做的一切都可以做丰富的事物，而这个地方如此美丽，一个天堂，她是天使
32984,UgxxOUkIOi6ps9xpIfB4AaABAg,1,4 years ago,"i wanna introduce some background of ziqi for people to know better about her. she was born in sichuan province in china. she actually suffered a lot of difficulties while she was a child, her father died early and her mother left her, she was raised up by her grandma. since her family was pretty poor, she dropped off from school since she can't afford the money. she went to cities and did a lot of hard jobs but when her grandma's health went bad, she quit the jobs and decided to move back to the village her grandma. she started to do self-online business to make money but it was not successful at first, but while chinese short-video industry developing, she started to make the first chinese ancient food cuisine and that video attracted a lot of people to watch. while she got more successful, it appeared a lot of against voices online, they assumed she used different people to act and she had a huge team to edit these videos. the worst thing is that some people even set up cameras in her house to see the shooting process whether it is fake or not.


under so many pressure, she had to move with her grandma to a much more remote place so that people can not find them. she suffered so many difficulties and finally achieved success but she still continues living and surviving, try to express the most beautiful scenery for us to watch. i really wanna appreciate all the hard work you did and every updated video represents an increasing quality. 


don't get injured, take care of yourself, you already did good enough, your videos motivated so many people all around the world, you overcome the language barrier and show the world the best of your life and china. as a chinese person, i really wanna say thank you.","我想介绍Ziqi的一些背景，让人们对她的了解得更好。她出生于中国四川省。实际上，她小时候遇到了很多困难，父亲早就死了，母亲离开了她，她的祖母长大了。由于她的家人非常贫穷，因此由于她负担不起钱，因此她离开了学校。她去了城市，做了很多艰苦的工作，但是当奶奶的健康状况不佳时，她辞去了工作，决定搬回祖母的村庄。她开始从事自我键盘的业务来赚钱，但起初这并没有成功，但是当中国短视频行业发展时，她开始制作第一家中国古老的食品美食，该视频吸引了很多人值得关注。尽管她取得了更大的成功，但似乎在网上反对声音，但他们认为她用不同的人表演，并且有一支庞大的团队来编辑这些视频。最糟糕的是，有些人甚至在她的房子里设置了相机，以查看射击过程是否是假的。


在这么多的压力下，她不得不和祖母一起搬到一个更偏远的地方，以便人们找不到它们。她遇到了很多困难，并最终取得了成功，但她仍然继续生活和生存，试图表达我们最美丽的风景。我真的很想欣赏您所做的所有辛勤工作，每个更新的视频都代表着质量的提高。


不要受伤，照顾好自己，您已经做得足够好了，您的视频激发了世界各地的许多人，您克服了语言障碍，并向世界展示了您的生活和中国。作为一个中国人，我真的想说谢谢。"
43808,UgyyBm-8_ZYK8anhOLN4AaABAg.8rIMvIWiIC08rXKAlmYXxt,1,4 years ago,"jon ridgeon she's on weibo, but her videos got popular, and other people started uploading her vids on youtube. im pretty sure she doesn't upload them here herself.",乔恩·里奇恩（Jon Ridgeon）在微博上，但她的视频很受欢迎，其他人开始将她的视频上传到YouTube上。我很确定她自己不会上传它们。
36653,Ugw9FVHPiGSKnK4o_YN4AaABAg.8uRWNS5pzas8ufQxILv43r,1,4 years ago (edited),"@mothmanifest she heards them in a few videos. besides, this isnt meant to be a vlog, more like an asetethically pretty video",@mothmanifest她在几个视频中听到了它们。此外，这不是一个视频博客，更像是一个崇高的视频
30491,Ugy3FH8j7uSnflmGM5F4AaABAg,1,3 years ago,already pretty good at cooking a woman's ideal woman really,真的很擅长烹饪一个女人的理想女人
33141,UgwXZkqdzMlmcuieMjt4AaABAg,1,4 years ago,"where you live 
what a pretty lady you are","你住的地方
你是个漂亮的女士"
35117,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8zsDD0TmP38,1,3 years ago,im pretty sure its a team effort by all the people involved in these videos. theres propably a film crew in this aswell. no human can do all of this on their own. she has some really supportive people with her. if i started taking videos in so many angles of myself people would think im full of myself or its too much effort so nope. not possible.,我很确定所有参与这些视频的人的团队努力。在这个同上，还有一个电影摄制组。没有人可以自己做所有这一切。她和她有一些非常支持的人。如果我开始以如此多的角度拍摄视频，那么人们会认为我充满了自己或太多的努力，所以不要。不可能。
39947,UgwxghCCztjItQ6zuyx4AaABAg,1,4 years ago,wow .. it's so pretty .. this is beauty ...,哇..太漂亮了..这是美...
30313,UgzEdkmURzFzO9kp-xp4AaABAg,1,3 years ago,1:42 the sun is pretty ...,1:42太阳很漂亮...
21229,Ugyjm1cCASbNHOcCq8l4AaABAg,1,3 years ago,wow she is so pretty and i like the video very much!! :d,哇，她是如此漂亮，我非常喜欢视频！ ：d
37255,UgwmQ8Qp13m7yzezDl94AaABAg,1,4 years ago,her house is pretty,她的房子很漂亮
21494,UgydwjwaYN2VnwADizJ4AaABAg,1,3 years ago,maybe a pretty girl is good at cooking,也许一个漂亮的女孩擅长做饭
22516,Ugx_GmmFjf7_lO76Cv54AaABAg,1,3 years ago,"wow, it's so pretty ...",哇，太漂亮了...
29391,UgwcN9pNc26epUVDuIN4AaABAg,1,3 years ago,it's ridiculous ... i can't do anything ... i'm pretty and i love you.,这太荒谬了...我什么都不做...我很漂亮，我爱你。
29351,UgyqdC6MV3vBSyDi4d14AaABAg,1,3 years ago,"very beautiful! puppies, lambs, pretty girl, amazing nature, cute old people and delicious food. it is a pity that 90% of the chinese in the village do not live like that. but i liked it!",很漂亮！幼犬，羔羊，漂亮的女孩，惊人的大自然，可爱的老人和美味的食物。遗憾的是，村里有90％的中国人不会那样生活。但是我喜欢它！
24021,UgwvyxtiQg0iAGjvyL94AaABAg,1,3 years ago,that pretty chinese girl is a magician....,那个漂亮的中国女孩是魔术师。
37976,UgznpQvgmdo8LCESO3p4AaABAg,1,4 years ago,"splendid!
pretty!","灿烂！
漂亮的！"
28686,UgwzR9_oR6ednis7wKV4AaABAg,1,3 years ago,i started watching this because it was chinese to traditional cooking and utensils. now chinese propaganda. i show this to the people i work with that grew up in china and they get upset and say this is fantasy land like television. another pretty face exploited by the chinese government to show the 1% as the norm in china. i grew up with parents that said eat everything on your plate because there are people starving in china. i hope she is using her money to help the poor and less fortunate but i saw she now has a refrigerator a laptop a cell phone a motor scooter. she should be ashamed to portray chinese tradition and simplisticality as makes people think.,我之所以开始观看，是因为它是中国人的传统烹饪和餐具。现在中国宣传。我向与我合作的人展示了这一点，他们在中国长大，他们感到沮丧，并说这是电视这样的幻想之地。中国政府利用另一个漂亮的面孔，将1％的面孔显示为中国的规范。我和父母一起长大，父母说吃了你盘子上的所有东西，因为中国有些人饿了。我希望她正在利用自己的钱来帮助穷人和不幸的人，但我看到她现在有一台冰箱的笔记本电脑手机是一辆机动踏板车。她应该为描绘中国人的传统和简单性而感到羞耻。
28093,UgwjQuqoHDFaDz1zhuR4AaABAg,1,3 years ago,you are so pretty,你真漂亮
27958,UgxTdi-61dhlZcF-4Th4AaABAg,1,3 years ago,"she's so calm and pretty! 
wish i could live with her too :)","她是如此的镇定和漂亮！
希望我也能和她一起生活:)"
25695,Ugyw3mSIw8T9WNaWwE14AaABAg,1,3 years ago,"i have never seen in my life anyone like her, who can do so many things with nature and work as much as she does! great skills ! everything she does looks delicious and pretty. awesome! keep it up!",我从未见过像她这样的人，他们可以像她一样做很多事情，并且像她一样工作！伟大的技能！她所做的一切看起来都很美味可爱。惊人的！继续努力吧！
53040,Ugw0nRtPV2JZB2Hayed4AaABAg.8qlJOW-Y_X-8qlPeqrArXe,1,4 years ago,"recognizing this e is pretty and good, probably preparing for that tet",认识到这个E是漂亮和不错的，可能为该Tet做准备
43496,Ugzo1FOEREGiFyITaGd4AaABAg.8rLO06elMxx8rawt1ZThFl,1,4 years ago,"@bymenz1388 i beg to differ here sir/mam, both are important. i am currently staying in one of the most polluted cities of the world. not a single green tree around me up to 7-8 miles. sadly, it's pretty late and we have done enough exploitation. there is no going back from here. breathing clean air, watching a clear sky full of stars, listening to the birds chirping, all this means luxury to me today. what can i say more!",@bymenz1388我希望在这里不同，先生/妈妈，都很重要。我目前住在世界上污染最严重的城市之一。我周围没有一棵绿树，最多可以7-8英里。可悲的是，现在已经很晚了，我们已经进行了足够的剥削。从这里没有回去。呼吸干净的空气，看着晴朗的天空充满星星，听着鸟儿鸣叫，这对我来说意味着奢华。我能说什么！
