,cid,votes,含china,含china中文翻译
35267,UgwJHKCLquGEOOHxaet4AaABAg,105,the goddess of china is back to soothe the minds of us mere mortals for a few moments,中国的女神又回到了我们的思想，只是凡人一会儿
28548,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8z2zTnqtJP1,99,"@franzpeters3824 she lives in china among nearly 1,5 billion inhabitants so she does not care about talking english properly",@franzpeters3824她住在中国近15亿居民中，因此她不在乎正确地说英语
30722,UgzL5nyy2lVkZjq6So14AaABAg,76,bamboo shoots is one of the most popular recipe in northeast india.. love from northeast india.our culture something like china thailand maynmer etc,竹芽是印度东北部最受欢迎的食谱之一。来自印度东北部的爱情。我们的文化像中国泰国梅纳默等
30893,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yZyHcD47Jg,73,she is ranked seventh among the top ten online food authors in china.she is very famous,她在中国十大在线食品作家中排名第七。
18980,Ugw1cZqeV_fUti3ordl4AaABAg,63,"this is not the china that cnn, bbc, falungong extremists in hongkong and taiwan etc, talking about",CNN，BBC，香港和台湾的Falungong极端分子等不是中国
1651,Ugx4g3-WEQ5O85RbgLd4AaABAg,58,"i've tried some dishes of oriental cuisine, especially china and japan and say: there is a natural sensitivity in the way of doing and proving! i really like!!
congratulations to this beautiful girl!","我尝试了一些东方美食，尤其是中国和日本的菜肴，并说：做和证明的自然敏感性！我很喜欢！！
祝贺这个美丽的女孩！"
19114,UgzRqph8HRD1OOPR21B4AaABAg,43,certainly the side of china that not many people get to see,当然，没有多少人看到的中国一方
12509,UgyDP07V4dlYFrmaLMJ4AaABAg,40,go china! intersection come on wuhan! intersection,中国加油！ ！武汉加油！ ！
18637,Ugzji7WoQS6IgFJIOvh4AaABAg,37,"the li family has a woman, and she is called ziqi.
may your dedication give the world better to understand china's farming and rural culture.","李家有女，人称子柒。
愿你的付出让世界更了解中国的农耕田园文化。"
18126,UgwFFHbGBnpCqZxUaYx4AaABAg,37,在 国外 的 孩子 看 水 ， ， ，哭辽！！ 吃 想 想 吃！ 超级 ！！ ！！ ！！ i miss chinese food i miss china very much.,在在的孩子，，，，，，，，我想念中国菜，我想念中国食品我非常想念中国。
33022,UgyJyzSzvj6TrTm0FoN4AaABAg,34,one of my favorite dish from china! i'm drooling lol... i miss china so much,我最喜欢的中国菜之一！我在流口水大声笑...我非常想念中国
33606,Ugy-ecltfma1pIQ9t7d4AaABAg,34,"螺蛳粉,river snails rice noodle，a delicious traditional food with special taste in guangxi,china.",螺蛳粉，河蜗牛面条，是一种美味的传统食物，在中国广西地区具有特殊的味道。
19941,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91Xmied6iFl,33,"hi w. w., i saw a clip posted by (very likely) american white males denouncing chinese enterprises that presented food products as clean and healthy but actually filthy and dangerous to health. when some viewers see miss li's clips, they may over-generalize / stereotype and guess miss li is faking everything. many dislikes are definitely from rival camps, many of which are in china.",嗨W。 w。，我看到（很可能）美国白人男性发布了一个剪辑，谴责中国企业，这些企业将食品表现为清洁，健康但实际上对健康的危险。当一些观众看到李小姐的剪辑时，他们可能会过分刻板 /刻板印象，并且猜猜李小姐正在伪造一切。许多不喜欢的人肯定来自竞争对手营地，其中许多是在中国。
3704,Ugw32GE2AijQGiO_GQl4AaABAg,30,"luosifen！! as a chinese living abroad, sometimes i want to eat a bowl of luosifen. i love the liziqi video.she advertised china to the world on video. thank her. look forward to her other videos.",luosifen！！作为一个居住在国外的中国人，有时我想吃一碗luosifen。我喜欢Liziqi视频。她在视频中向世界宣传了中国。谢谢她。期待她的其他视频。
31472,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yVmC7_9k4o,30,"@franzpeters3824 you think youtube doesn't know how to deal with robots? oh,i see,in your opinion,american even don't know how to deal with robots,you're not insulting china, you're insulting america.",@franzpeters3824您认为YouTube不知道如何处理机器人？哦，我认为，在您看来，美国人甚至不知道如何处理机器人，您不是在侮辱中国，而是在侮辱美国。
18599,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92WOHaUMQBH,29,"pedro c mao may be like the devil satan in the west, but people in china don't judge him that way. it feels ridiculous to say that mao will tear up chinese culture. i hope that if you have the chance, you can learn more about mao from the chinese population.",佩德罗·毛（Pedro C Mao）可能就像西方的魔鬼撒旦（Satan），但中国的人们不会那样判断他。说毛泽东会撕毁中国文化真是太荒谬了。我希望，如果您有机会，您可以从中国人口中了解更多有关毛泽东的信息。
20092,UgygE8hrn3kIVWrvBIB4AaABAg,26,"i live in huarez, brazil, walleto, brazil, i love china!",我住在巴西北华塞罗州的华雷斯，我爱中国！
16786,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI92zrvrZ1LXm,24,"@tehkettybear you definitely know a lot about china, i appreciate that.
i just have to remind you 2 things:
1. she's not filming documentary, it's an art work based on her dream of life
2. she's not actress, she's actually filming her hometown. they're real: the house, granny, field, and her personality, her willingness to learn skills on various works.
those real things add up to a seemingly unreal event, just because we can't do it doesn't mean she can't. i think she deserves this fame.","@tehkettybear，您肯定对中国有很多了解，我很感激。
我只需要提醒您2件事：
1.她不是在拍摄纪录片，这是基于她的生活梦想的艺术作品
2.她不是女演员，实际上是在拍摄自己的家乡。他们是真实的：房子，奶奶，田野和她的个性，她愿意学习各种作品的技能。
这些真实的事情加起来似乎是虚幻的事件，只是因为我们做不到，并不意味着她不能做。我认为她值得这个名声。"
26681,UgxtHBgpI_cOqCjmupB4AaABAg,24,i just love her videos. makes me love china even more. beautiful china.,我只是喜欢她的视频。让我更爱中国。美丽的中国。
15380,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss940kXrtZsuM,24,"strait arrow nmsl, your whole life is fake, so your dead brain could never believe anything in china is real",海峡箭头NMSL，您的一生都是假的，所以您的死脑永远无法相信中国的任何东西是真实的
27040,UgzfOdQXR-kL9LG-pdt4AaABAg,23,"thank you for the video, li ziqi. in fact, many foreigners have a lot of misunderstandings about our china, i hope they will change after reading it",谢谢您的视频，李齐。实际上，许多外国人对我们的中国有很多误解，我希望他们在阅读后会改变
15388,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss94JwQ9lN3Zw,22,"strait arrow she was a online store owner selling agricultural products on alibaba, and in the beginning she films her everyday life in order to promote sales. her videos became popular very soon, so she shut the online store and became a professional youtuber, and hired a small filming team to shoot and edit the videos. there are millions more videos with similar or higher quality in china uploaded by individuals, you choose to believe that’s not possible because you still think china is an uncivilized country, so sad.",海峡箭头是她在阿里巴巴销售农产品的在线商店老板，一开始，她拍摄了日常生活以促进销售。她的视频很快就开始流行，因此她关闭了在线商店并成为专业的YouTuber，并雇用了一支小型拍摄团队来拍摄和编辑视频。中国上载的中国有数百万个具有相似或更高质量的视频，您选择认为这是不可能的，因为您仍然认为中国是一个不文明的国家，如此难过。
4474,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9Kxm2OrJYIL,22,"@yjh031 cause china has a long history, but how about korean?",@yjh031，因为中国历史悠久，但是韩国人呢？
17375,UgzpONnO8ysIUopexzB4AaABAg,16,don’t care about the government stuff and come china. i’m absolutely sure that you will love the food there.,不在乎政府的东西，来中国。我绝对确定您会喜欢那里的食物。
29819,UgxUXvTlOvZOkFyubr54AaABAg,15,"after seeing your youtube
i was interested in china.
china, which has such a beautiful living culture, is wonderful!
modern life is also fun
i want you to protect this wonderful culture.
i want to go to china ✈️","看到您的YouTube之后
我对中国感兴趣。
拥有如此美丽的生活文化的中国真是太好了！
现代生活也很有趣
我希望您保护这种美好的文化。
我想去中国✈️"
9028,UgzhzWVbJJOaHS4REKt4AaABAg.9AX5_LiL_FU9AgG9bBAvWJ,14,"not only in china.. but , even the north east india we too have does like u have๐",不仅在中国..而且，即使是印度东北部，我们也都喜欢你
31487,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yW4Y3KgyUo,14,"she has 16 million chinese followers on weibo. although youtube is blocked in china, some who actively want to use it still bypass it through use of vpn. some of the views here are by chinese either through vpn or just because they are overseas, but i do think the vast majority are international fans. it happened about 9 months ago when the comment section under her videos changed from purely chinese to all sorts of languages. i think one of her vids went viral outside of china and then people flocked to her channel here on youtube to check her out. this channel is operated and maintained by one of her fans under her permission, but her base channel is on weibo.",她在微博上有1600万中国追随者。尽管YouTube在中国被阻塞，但有些积极希望使用它仍然通过使用VPN绕过它的人仍在绕过它。这里的某些观点是通过VPN通过中国人，或仅仅是因为它们在海外，但我确实认为绝大多数是国际粉丝。大约9个月前，她的视频下的评论部分从纯粹的中文变为各种语言。我认为她的一位视频在中国以外传播开来，然后人们在YouTube上涌向她的频道检查她。该频道在她的允许下由她的一位粉丝操作和维护，但她的基本频道在微博上。
22398,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-RKeLIpay7,14,"@cyouchin5381 now you are fucking kidding me, what you think china is? third world country? pretty sure almost 90 % of china city have better development than usa, and you really think this channel didnt earn her any money?, let me approximate the number of how much she earns from this channel, around 10 k usd at least pre month",@Cyouchin5381现在您他妈的在开玩笑我，您认为中国是什么？第三世界国家？可以肯定的是，近90％的中国城市的发展比美国更好，您真的认为这个频道没有赚钱吗？让我大概她从这个频道中赚取了多少钱，至少一个月前约10 k美元
18603,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92_IhXI_D3-,13,pedro c yes it is a lie. mao is totally a great leader in many sense from chinese perspective. he built a new regime where china enjoys real freedom post hundreds years of being slaves by foreigners. he had ego and made big mistakes but his contribution outweighs his mistakes. hence people in china still respect and thank him for what he did. western media demonizes him i believe is because he represents communism while ignoring what he did to china and chinese people. it's a totally subjective and political view. i hate they teach that in classroom to brainwash my kids.,Pedro C是的，这是一个谎言。从中国的角度来看，毛面完全是一位伟大的领导者。他建立了一个新的政权，中国在数百年之后成为外国人的奴隶。他有自我，犯了很大的错误，但他的贡献大于他的错误。因此，在中国的人们仍然尊重，并感谢他的所作所为。我认为西方媒体妖魔化了他，因为他代表共产主义，而无视他对中国和中国人民的所作所为。这是一种完全主观和政治观点。我讨厌他们在教室里教我的孩子。
16785,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI92znD8m4jum,13,"it's because the rural areas in china are nothing like this. if you go, the reality actually looks quite decrepit, and you will see lots of poverty and trash everywhere. you also have to shit in an outhouse in a pit with no running water. she doesn't show that. the videos are heavily edited to make them beautiful. even the vegetation. she probably uses her youtube money and hires landscapers to grow all that for her videos.

i'm just providing an explanation for why some people might hate this because it's not accurate depiction of reality. i still appreciate it because it's beautiful art even if it's fake.","这是因为中国的农村地区与众不同。如果您走了，现实实际上看起来很破旧，您会看到许多贫穷和垃圾。您还必须在没有自来水的坑里的外屋里屎。她没有表明。这些视频经过大量编辑，以使其美丽。甚至植被。她可能会用YouTube的钱，并雇用园丁来为自己的视频发展所有这些。

我只是为为什么有人可能讨厌这一点提供了解释，因为这不是对现实的准确描述。我仍然很感激它，因为它是美丽的艺术，即使它是假的。"
22397,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-Ovr5m7pah,13,"it is not work ,this is life.she is farmer。she is from sichuan.china",这是不起作用的，这是生活。
21877,UgyiXGV8dmv6igb5Yxd4AaABAg.9-RuqJI02nf9-W0HRg-sXx,12,"isabelle jiang the reason why the subtitles exist is in china two girls was trying to replicate a meal made by a chinese youtuber xiaoye, and it caused an accidence, their parents sued xiaoye.",Isabelle Jiang出现字幕的原因是在中国两个女孩试图复制中国Youtuber Xiaoye做的一顿饭，这引起了一个严重的味道，他们的父母起诉了肖。
19074,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392De8CnUWQv,11,"welcome to china, it is a beautiful country won't let you down.have a nice travel",欢迎来到中国，这是一个美丽的国家，不会让您失望。
27507,Ugx9pwB5zKaXAcvofKl4AaABAg.8ye2BsPtesT8yi9xuHDWzG,11,@yannirei771 you cannot access youtube in china :) (or facebook...) of course there is ways but non-officials,@yannirei771您无法在中国访问YouTube :)（或Facebook ...）当然还有其他方法
19956,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq920fK0OaLWV,11,"@metalwaves4154 thank you both. if what ms. li's observers posted on some chinese sites are true, she is making around chinese yuan 200 million a year, from videos and online store combined. yt further gives her at least an estimated 1.5 million us dollars a year due to tens of millions of viewer clicks. she disclosed she sometimes worked till 3 a. m. to edit filmed images. at a number of times, she fell ill and was hospitalized due to over-diligence. i respect her since i grew up in south china and i can do 99 % of what she did on camera (due to my deprived childhood). i read and found some dislikes came from opposing camps and competitors. like she does, my daughters and i donate funds to support underprivileged children.",@MetalWaves4154谢谢你们。如果李女士的观察者在某些中文网站上发布的内容是真实的，那么她每年从中国人民币围绕2亿人元来制作视频和在线商店。 YT进一步给她，估计每年至少有150万美元，这是由于数千万的观众点击。她透露她有时工作直到3 a。 m。编辑拍摄的图像。多次，她病了，由于过度填补而住院。我尊重她，因为我在中国南部长大，我可以做她在相机上所做的99％（由于我的童年时代）。我阅读并发现一些不喜欢的来自对立的营地和竞争对手。像她一样，我和我的女儿捐赠了资金来支持贫困儿童。
4587,Ugyn2oPC3jy_yDWl_nB4AaABAg,11,"the chinese past knowledge being documented beautifully and preserved for the future generations. im awed by this, even when china is currently in their the most advanced period in history and the world with their technology and infrastructure.",中国过去的知识被记录在后代的精美并保存下来。我对此感到敬畏，即使中国目前处于历史上最先进的时期，以及他们的技术和基础设施。
32106,Ugweb-BontLqlBEp0ox4AaABAg.8yV-mhPshWV8yVD_o7otfz,10,"north east people have many common things with south asian countries like china, thailand, indonesia, japan, korea, myanmar, vietnam,etc",东北人民与南亚国家（如中国，泰国，印度尼西亚，日本，韩国，缅甸，越南等）有许多常见的事物
30906,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yzTQ9XuUQw,10,"@plush3106 no,no,no,my dear friend.as a chinese, i would say that this girl's cooking is a common step in china.some famous foods in china even take 72 hours to make.when i was young, my mother cooked food, it was as complicated as video, chinese people pay much attention to food, and they are very willing to spend time on the cooking of food.if you know the cooking of different countries in the world, you will find that chinese cooking is really complicated and requires skill and patience.welcome to china，my friend.",@plush3106不，不，不，我亲爱的朋友。作为中国人，我想说这个女孩的烹饪是中国的常见一步。中国的一些著名食品甚至需要72个小时才能赚钱。我年轻时，我的母亲煮熟了食物，就像视频一样复杂，中国人非常关注食物，他们非常愿意花时间做饭。如果您知道世界上不同国家的烹饪，您会发现中国烹饪是真的很复杂，需要技巧和耐心。
34266,Ugxi3tlEsOdlum1V9hx4AaABAg,10,everyone through my channel but watching china tiktok videos,每个人都通过我的频道，但观看中国tiktok视频
17690,Ugyq20sSrsHj5YXUi2l4AaABAg,10,i would love to take a trip to china. be in a place like this for a week to experience the culture,我很想去中国旅行。在这样的地方呆一个星期来体验文化
29517,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58y_Crc9NTCv,9,蘭瑟láncè dude are u even from china. don’t say nonsense to humiliate ur fucking country. it’s already humiliating enough for me to be chinese.,láncè的家伙甚至来自中国。不要对羞辱您他妈的国家说废话。它已经羞辱了我，让我成为中国人。
18228,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92gO_vJWCvr,9,"lucy chan you need a real chinese to show you the good food and good restaurant in china, not just join to a visiting tour. the food they provided is always terrible.",露西·陈（Lucy Chan），您需要一个真正的中国人来向您展示中国的美味佳肴和美味餐厅，而不仅仅是参加访问。他们提供的食物总是很糟糕。
31175,UgzZqTm1a5PmVQ97EaJ4AaABAg,9,ugh i drooled a lot. i had snails and the wild veggie salad before when i was in china. it was delicious and not something i can get often here in america. i miss it.,gh，我流口水。在中国之前，我有蜗牛和野生蔬菜沙拉。这很美味，我在美国经常可以得到的东西。我想念它。
18825,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792W40Z1Rc2U,9,@oriolopocholo i’m chinese and live about 100km where she’s from. see i’m using youtube and even have a bloody gmail. i’m sick of ignorant people put the ccp propaganda hat on everything from china. have you ever thought about why you would think her videos which have absolutely nothing to do with political were propaganda organized for political purposes? could that be the idea was seed in your mind by other propagandas?,@oriolopocholo我是中国人，她的住所约100公里。看到我正在使用YouTube，甚至有血腥的Gmail。我讨厌无知的人在中国的所有事物上都戴上了CCP宣传帽子。您是否曾经想过为什么您会认为与政治无关的她的视频是出于政治目的而组织的宣传？其他宣传在您心中可能是种子吗？
18916,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92ObGNHqtQQ,9,there is a group of hater in yao maoxin in china that people are cultural output .. li ziyi is really rare,姚茂鑫 国内有一群hater说人家是文化输出
23841,UgyCOcOMeCmXXdO_nM94AaABAg,9,"i'm amazing that liziqi is also loved by so many peoples from other countries, welcome to china, there are different scenes and various foods 。",令人惊讶的是，Liziqi也受到来自其他国家的许多人的喜爱，欢迎来到中国，有不同的场景和各种食物。
19963,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92F7w48Sjsj,9,they dislike anything from china.,他们不喜欢来自中国的任何东西。
18712,UgzcCSreyhWEv9DJhlh4AaABAg,8,"in fact, there are a lot of food in china, but what we have promoted is not very sufficient, and the food documentary on the tip of the tongue is not enough wow.",其实中国有很多美食，然而我们宣传的不是很充分，舌尖上的美食纪录片不够哇
19225,UgwL1z8QFM11clnGU3B4AaABAg,8,china is so incredibly beautiful...,中国是如此美丽...
21804,Ugy9dqXp8LnX4nH-tM94AaABAg.9-WHSV2cBSL9-nFLrv2UdE,8,@thegggttt did you ever come to china or know about chinese??? i am assuming that your answer is not. so how dare you insult china by the fake news? you stupid troll who just trust what you want to trust.傻逼玩意儿,@TheGGGTTT您是来中国还是知道中文？？？我假设您的答案不是。那么，假新闻您怎么敢侮辱中国呢？你愚蠢的巨魔，谁只是相信你想信任的东西。
30236,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38z-dEpd7CPd,8,"kie_. from the color of the oil i would like to say it’s camellia oil, a very common used oil in china the mainland.",kie_。从油的颜色来看，我想说的是茶花，这是一种在中国大陆的非常常用的油。
31851,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yVEzTQ45kb,8,"glorify god, he is ""i am,"" ""yehovah,"" .. he made all things for us to marvel at his majesty in the design of nature around us.
her homeland in china is breathtaking.

i want to go visit her to tell her about jesus..

i think most people want to go visit her to see her amazing home, gardens, and eat her food..

i am sick too..

so sorry to hear you are sick and in the hospital. i will pray for god's will in your life..and that you would trust him now, turn to him..

god the father, made a way through his son, jesus..for us to be saved and to live right before him. faith in jesus's death on the cross, burial, and ressurrection from the dead, is what saves us..we have newness of life forever..as our sins are forgiven us. 

there is no other way to be saved from god's judgement and wrath to come. 

jesus, is our only hope, our shield, our rock to stand on, our salvation!

her videos are amazing to watch and she is a very beautiful, talented, and very hard-working, disiplined person..but she does not have any knowledge of the god of abraham, issac, and jacob, and his only begotten son, jesus of nazareth, the kings of kings...the lamb of god.","荣耀上帝，他是“我是”，“耶和华”。
她在中国的家园令人叹为观止。

我想去拜访她告诉她关于耶稣的事。

我认为大多数人都想去拜访她，看看她的奇妙家园，花园和吃她的食物。

我也病了..

很遗憾听到您生病了。我将为您一生中的上帝的旨意祈祷..您现在会相信他，转向他。

父神，通过他的儿子耶稣。对耶稣的死在十字架上的信仰，埋葬和从死里的遗嘱中拯救我们。

没有其他方法可以从上帝的审判和愤怒中拯救出来。

耶稣是我们唯一的希望，我们的盾牌，我们的岩石站在我们的救赎！

她的视频令人惊叹，她是一个非常美丽，才华横溢且非常努力，有教养的人..但是她对亚伯拉罕，伊萨克和雅各布的上帝不了解，他的独一儿子，耶稣，拿撒勒人，国王之王...上帝的羔羊。"
31470,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yVl105ZRYQ,8,i'm assuming this is visible in china too. when you have over a billion people that subscribe and you make good content you're gonna get a lot of views. well earned.,我假设这在中国也可以看到。当您有超过十亿人订阅并制作好内容时，您将获得很多视图。赚钱。
16654,UgwOSqQoejCBoXdbFp14AaABAg,8,is there anyone interested in coming to teach esl in china?,是否有人有兴趣来教中国教ESL？
19972,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92Oyj7jdNES,7,"you are very smart, just like you said. most chinese people do not go to youtude and li ziyi has 20 million fans in china to like her in china. those who pretend to be chinese who say that those who do n’t like li ziyi are chinese. this is the most ridiculous",你很聪明就像你说的，大部分中国人都不上youtude而且李子柒在中国拥有两千万粉丝在中国很多人喜欢她，那些假装自己是中国人说那些不喜欢李子柒的是中国人，这是最可笑的
27511,Ugx9pwB5zKaXAcvofKl4AaABAg.8ye2BsPtesT8yj3pg12PDw,7,"@yannirei771 you can access youtube by vpn in china very easily, just like what i am doing now",@yannirei771您可以很容易地在中国访问VPN，就像我现在正在做的事情一样
16782,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI92xw3HlOptm,7,"they can't see beauty of life, can't enjoy happiness. they only envy and hate this world, especially china",他们看不到生活之美，无法享受幸福。他们只嫉妒和讨厌这个世界，尤其是中国
18816,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792UWt2uqg0_,7,oriolopocholo pretty sure that more youtube users in china than in spain,Oriopocholo可以肯定的是，中国的YouTube用户比西班牙更多
19002,Ugw1cZqeV_fUti3ordl4AaABAg.92C9VVriOb_92OaxHgVqf5,7,"china is nice, some of the news are totally bullshits",中国很好，有些新闻完全是牛棚
20602,UgwM0BB3Iv8hOfTaLV94AaABAg,7,"i am indian 
i randomly search biggest channel of china on youtube 
and find this one very satisfying","我是印度人
我在YouTube上随机搜索中国最大的频道
并发现这个非常令人满意的"
21805,Ugy9dqXp8LnX4nH-tM94AaABAg.9-WHSV2cBSL9-nFeOVWUGN,7,"people in china will welcome the tourist from all over the world, my friend",我的朋友，中国的人们将欢迎来自世界各地的游客
28603,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9-zEyLn98f5,7,"@franzpeters3824 ok can you speak chinese?! i'm obviously assuming not, so why would expect her to know the whole english language when she lives in china!!!! please use ur head when u think and talk. obviously, english isnt spoken everywhere or it is not needed when u live in ur home country. so if u r criticizing her for not speaking english what about you? can u speak chinese?! guess not... absolutely hypocritical. i think u r just hating on her cause she is way more talented and successful. she is obviously smarter and skillful. knowing how to make, grow, and take care of these stuff is very hard... which u cant do. who has millions of subscribers again? oh that's right, her! cuz she is such a hardworker, and what do u do come again? smh",@franzpeters3824好吧，你会说中文吗？我显然没有假设，所以当她住在中国时，为什么要期望她知道整个英语！当您想和交谈时，请使用您的头。显然，当您住在您的祖国时，无处不在，或者不需要英语。因此，如果您批评她不说英语，那您呢？你能说中文吗？猜不要...绝对虚伪。我认为您只是讨厌她，因为她的才华和成功。她显然更聪明和熟练。知道如何制作，成长和照顾这些东西非常困难……你不能做。谁又有数百万订户？哦，是的，她！因为她是一个勤奋的人，你又来了什么？ SMH
4361,UgxLMgOj4HNaegZfhnZ4AaABAg,6,"there is a saying in china: sk invents everything, but china invents sk.",中国有句话：SK发动了一切，但中国发明了SK。
31725,UgzXGcQUxZHhzvFjDeR4AaABAg.8yV6J2m_P458yVT8y1gWOK,6,@sietohojoin it's like everyone who watches her videos are the chosen ones. they are so therapeutic and relaxing. it's like being transported to ancient china.,@sietohojoin就像每个观看视频的人一样。他们是如此的治疗和放松。就像被运送到古代中国一样。
