,cid,votes,time,含china,含china中文翻译
35012,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8v4Sf3JefD8,110,4 years ago,@therewasnochill8997 you mistake china with islam.,@thenwasnochill8997您将中国误认为伊斯兰教。
37029,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8uXq7_IZRCA,100,4 years ago,"@breathecenteraccept120 it might be a hard concept to grasp since we're so involved in technology these days but this is how people used to live in china. it wouldn't be surprising if this is her normal life, the tradition passed down from her grandparents.",@HeartheCenteraccept120这可能是一个很难掌握的概念，因为这些天我们参与了技术，但这就是人们过去在中国生活的方式。如果这是她的正常生活，那是从她的祖父母传来的传统就不足为奇了。
2258,UgwojBqA1rIKuxWouGZ4AaABAg.9ZO-yY69gDD9aVWnPdqKZi,92,1 year ago,"for those who wonder why ziqi hasn’t uploaded any new video, she is going through some tough time fight for the fair share of her name brand. her mcn makes huge money in china selling liziqi brand merchandises, but liziqi did not get much because of her lack of experience when she signed those contracts. that’s why she stopped creating new content to protest. hopefully this whole thing can be settled in her favour and she can get her name brand back.",对于那些想知道Ziqi为什么没有上传任何新视频的人来说，她正在经历艰难的时光争取自己的名字品牌的份额。她的MCN在中国赚了大笔钱，出售Liziqi品牌商品，但是Liziqi签订了这些合同时缺乏经验，没有得到太多。这就是为什么她停止创建新内容进行抗议的原因。希望整个事情能够得到她的青睐，她可以将自己的名字品牌恢复。
49215,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qmkfWvd8Yr,84,4 years ago,she is doing many things in a traditional way. for instance the black machine that she use to make the popcorn is a traditional chinese machine which is hardly seen in big cities in china. and the sugar hawthorn which is is also fabulous is a food in the memory of childhood.,她以传统方式做很多事情。例如，她用来制作爆米花的黑色机器是一种传统的中国机器，在中国的大城市几乎看不到。而且，也很棒的糖山楂是纪念童年的一种食物。
34141,UgwwsJPvwbrWOMAkqUF4AaABAg,77,4 years ago (edited),"it was all the traditional memories and things that i could not see in today's impetuous society. it was shocked that so many foreigners liked and commented. seeing li zizhen's announcement video learned that many foreigners did not know that this was china. i do nโ€t know that li ziyi is the chinese. let them also see that china is not just a world factory, not only haze and industry ... we also have inheritance and good life. let them see chinese characters comment! welcomed to china",全是传统的小时候的回忆和当今浮躁的社会看不到的东西，很震惊有这么多外国人点赞和评论，看到李子柒的申明视频得知，老外有很多并不知道这是中国，不知道李子柒是中国人
52114,Ugzs5gxT0CEiwFvlQ8t4AaABAg,76,4 years ago,"these videos are little gems. i treasure each one and marvel at your life. you bring such joy to the tasks of your days, joy to your grandma and i hope and believe to the people around you. i have gained a whole different perspective of china from watching these glimpses into a way of being i had no concept of before. today i saw some humour in you, the little kick and jump from the loud bang, so cute. you are a blessing to this world.",这些视频是小宝石。我珍惜每个人，并惊叹于你的生活。您为自己的日子的任务带来了如此快乐，对奶奶感到高兴，我希望并相信周围的人们。我从看着这些瞥见的一种方式中获得了一种完全不同的中国观点。今天，我看到了你的幽默，小踢从大声的爆炸中跳了起来，真可爱。你是这个世界的祝福。
12556,UgyDYTKXiEQyhi9m2ll4AaABAg,73,2 years ago,this is why i love china. they are very hardworking and very talented. they made for themselves. and so peaceful place it is,这就是为什么我爱中国。他们非常勤奋，很有才华。他们为自己做了。如此和平的地方是
17667,UgzowBGsC_vObZxvw3l4AaABAg,72,3 years ago,"everything she does is perfect. i mean, i'm in the city right now and she makes the country life like cool. when i went to china to visit my releatvies in the country side, i did not like it. but looking at her just makes me feel like i should go back. but coronavirus yall.",她所做的一切都是完美的。我的意思是，我现在在这座城市，她使乡村生活像酷。当我去中国参观我在乡村方面的依据时，我不喜欢它。但是看着她只是让我觉得我应该回去。但是冠状病毒yall。
6328,UgyPM-2Yk_fhUweauTB4AaABAg,71,2 years ago,"i also grew up in rural china, and although the content of the video is very different from the real-life of most of us rural people, i have to admit that her videos are exceptionally well done, and i really like her videos",我也在中国农村长大，尽管视频的内容与我们大多数农村人的现实生活截然不同，但我必须承认她的视频做得非常好，我真的很喜欢她的视频
41123,UgzonIYreStf3b2FWBp4AaABAg,70,4 years ago,"young people in contemporary china should return to their own culture. modern chinese young people have more than westernized, and they have reached the point of flooding. those who have conditions must return to their parents, grandparents, and put those traditional craftsmanship. the customs, diet inheritance, these are our identity passwords, the imprint of our thousands of years of historical culture, and the foundation that we distinguished from others.",当代中国的年轻人，更多的应该回归自己的文化，现代的中国人年轻人西化有余，已经到泛滥的地步了，有条件的一定要回到自己父母，爷爷奶奶身边，把那些传统的手艺，习俗，饮食继承下来，这些都是我们的身份密码，是我们几千年历史文化的烙印，是我们区别于其他人的根本。
12627,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9Czj5OJdXR7,67,2 years ago,i think all the hate is for the government not the people of china,我认为仇恨是政府而不是中国人民
24971,Ugw04Uimwmp5r-6XhsZ4AaABAg,61,3 years ago,my greatest wish for china is that everyone could afford such a lovely life.,我对中国最大的愿望是，每个人都可以负担得起如此美好的生活。
25225,UgzgYm5066LdARdxrF54AaABAg,59,3 years ago,"her hometown, sichuan, china's countryside",她的家乡，四川，中国的乡村
44884,UgwvadNSiPiMMzuZfJV4AaABAg,56,4 years ago,"translated into russian:

translation: in this video, is it preparing snacks for the chinese new year. year of pig. here is the list of what she did: she climbed the mountain, gathered several chestnuts and fried them in the oven, which she herself built. tsukati from hawthorn on a stick (bing tan hulu). she covered the berries with chinese stone sugar. sesame and peanut sweets. dried mangoes. zephyr squares. spicy and numb, sluggish beef. frying seeds. arachis fried. egg roll note: ms. lee lives in the province of sichuan, china. sichuan from ancient times is called the earth of abundance. you can literally throw the seed to the ground, and the plant will grow like crazy. they have everything there. some of those whom she uses can be inaccessible to people in other countries. a couple of her happy followers on weibo will receive these snacks from her. she loves to give out free things to her followers. she said that she did not exist if her followers had not supported her.","翻译成俄语：

翻译：在此视频中，是为农历新年准备小吃。猪年。这是她所做的事情的清单：她爬上山，收集了几个栗子，然后在烤箱里炸了它们，她自己建造了。 Tsukati来自霍索恩（Hawthorn）的棍子（bing tan hulu）。她用中国石糖覆盖了浆果。芝麻和花生糖。干芒果。 Zephyr正方形。辣，麻木，牛肉缓慢。油炸种子。阿拉奇炸。鸡蛋卷注意：李女士住在中国四川省。来自古代的四川被称为丰富的地球。您可以从字面上将种子扔到地上，植物会疯狂地生长。他们在那里有一切。她使用的一些人在其他国家可能无法访问。她在微博上的几个幸福的追随者将从她那里收到这些小吃。她喜欢给她的追随者免费提供东西。她说，如果她的追随者不支持她，她就不存在。"
52549,UgzkSLrHWLmwdjEq8ZV4AaABAg,48,4 years ago,"so much sweets 
that exploding popcorn maker brings back so much childhood memories in china, the loud bang followed by the aromatic smell.","这么多甜食
爆炸的爆米花制造商在中国带来了如此多的童年回忆，响亮的爆炸声是芳香的气味。"
46857,UgxyHdNFG8GxD0TWdWJ4AaABAg,43,4 years ago,"bless the chinese new year of the world. the new year this year can not return to china because of the exam. ziyi and i came from the same place. when i saw her video, i thought of her grandma, because ziyi did something that many sichuan women would do, passed down from generation to generation. unfortunately, many people in the mother are unwilling to learn. they are very happy to see that young people inherit these things. in addition, i will make most of the dishes she will make. it is also what grandma taught me before i went abroad. i was afraid that i could not eat the taste of my hometown outside. i hope that young people can take the initiative to inherit the traditional culture of our chinese nation ~ i hope to graduate soon and return to sichuan as soon as possible.",祝福全球华人新年快乐。今年过年因为要考试没办法回国啦。我和子柒来自同一个地方，看到她的视频就想起了自己的奶奶，因为子柒做的就是很多四川女人会做的东西，代代相传。可惜到了妈妈辈很多人都不愿意学习了，很开心看到还有年轻人传承这些东西。另外，她做的菜我会做大半部分，也是奶奶在我出国之前教我的，怕我在外面吃不到家乡的味道。希望年轻人都能主动传承发扬我们的中华民族的传统文化吧~ 希望早日毕业，早日回到四川。
13845,UgwC3w1V9TVaQSDZPA94AaABAg,42,2 years ago,"how to love your homeland in order to be able to show the nature and everyday life of people in rural areas so beautifully and unobtrusively! bravo! very talented! and what a rich nature of china, just delight!",如何爱您的家园，以便能够如此美丽，毫不客气地展现人们在农村地区的自然和日常生活！勇敢！很有天赋！中国的丰富本质，只是高兴！
4045,UgzUVCZTimFeB4vl6pd4AaABAg,41,1 year ago,"when i see the negative video of smearing china, then i have to take a look at ziqi's life to purify my mind❤️life is so beautiful❤️",当我看到涂抹中国的负面视频时，我必须看看Ziqi的生活才能净化我的思想❤️Life是如此美丽❤️
32357,UgzJjoNh95w-gpe6dch4AaABAg.8vuWgu4W6ZM8w7OYU21gW0,38,4 years ago (edited),stop arguing that she didnโ€t deserve to be stranded with her. within two days maximum she would build an aircraft and fly back to china,不要再争辩说她不应该与她陷入困境。最多两天之内，她将制造一架飞机并飞回中国
22828,UgxeONDnwrQlHsaOEqd4AaABAg,38,3 years ago,"i'm from china, and i'm proud of liziqi, who presents our culture and civilization, even if who brings back all my old childhood memories in village, wonderful years, also i miss my grandmother so much. chinese always love peace and hardworking from time immemorial . welcome every friends to visit china.^_^",我来自中国，我为利兹奇（Liziqi）感到骄傲，利兹奇（Liziqi）呈现了我们的文化和文明，即使谁带回了我在村里的所有童年记忆，也很想念我的祖母。中国人总是喜欢远古时代的和平与勤奋。欢迎每个朋友访问中国。^_^
17579,UgzZJQLfxZmjWJC-CE94AaABAg.97mGEjwYYmP97pZvcs7Ytt,37,3 years ago,hahaha there is so many people in china have same thought as you,哈哈哈，中国有这么多人与你有同样的想法
37577,UgzyTwBIRtNni_75EWt4AaABAg,37,4 years ago,you are the most beautiful and talented youruber from china. love you.,您是来自中国最美丽，最有才华的您。爱你。
13826,Ugy-s-igq7UeBhfUc894AaABAg,34,2 years ago,"our citizen of chengdu, china, has praised you! sister li, who competes for the country! you are more popular than those of the gulf's political entertainment programs!",我们中国四川省成都市民给您点赞来了！为国争光的李妹妹！您比那些湾湾的政治娱乐节目更加有人气多的多啦！
12626,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9CzZ722bHgF,34,2 years ago,"@danawen555 there definatly shouldn't be racism towards chinese people there is never a reason to be racist.
i wouldn't say that china didnt do anything bad like... the think with the muslims,hong kong,censorship and china kind of has a dictator","@danawen555绝对不应该对中国人民有种族主义，从来没有理由成为种族主义。
我不会说中国没有做任何糟糕的事情，例如……与穆斯林，香港，审查制度和中国有独裁者的想法"
12624,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9Cxp_2hxkmn,33,2 years ago,"i agree, we didnt do anything bad, only because we are good, and some eveil things are jealous about it. dont worry, china has been stand on the earth for over thousands of years, these little trouble wont defeat us : )",我同意，我们没有做任何糟糕的事情，只是因为我们是好事，而有些eveil的事情对此感到嫉妒。不用担心，中国已经站在地球上了数千年，这些小麻烦不会击败我们:)
40930,Ugwc3Uuun-yX8SjhRq14AaABAg,32,4 years ago,"i don't know if sheep will be eaten, but dogs won't. in rural china, people feed dogs to protect their homes. modern chinese basically don't eat dogs.",我不知道绵羊是否会被吃掉，但是狗不会吃。在中国农村，人们喂狗以保护自己的房屋。现代中国人基本上不吃狗。
15032,Ugw-F3AWt21kRGcRhkl4AaABAg.99zjzXzXvaX9AajKreFjQc,31,2 years ago,"you know that if there is good things about china, it’s always ignored by media including youtube",您知道，如果中国有美好的事物，YouTube在内的媒体总是会忽略它
37247,UgycfL3zBI_7tmj6hnR4AaABAg,30,4 years ago,"็ณ–่‘ซ่ฆ are my favorite sweet from living in china. soooooo good, and very simple to make.",糖葫糖葫是我最喜欢的中国甜食。太好了，制作非常简单。
51663,UgxsxcKZBTEGLcFy4n54AaABAg,30,4 years ago,amazing video. the nature is so beautiful and the food looks really delicious. i love it how you show everyone how our ancestors lived⚒️because of your videos i want to visit china. greetings jasmin,惊人的视频。大自然是如此美丽，食物看起来真的很美味。我喜欢它，您如何向所有人展示我们的祖先如何居住⚒️，因为我想访问中国的视频。问候茉莉
35011,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8v4DWzwzTUM,29,4 years ago,"you all say that but this life is potentially the only life she can have in china. we have the opportunity to get an education, and she may not. she may love this life, but she may not have ever accessed education at a higher degree, even if she wanted to. again, though, these are all maybes. i don't know her or her life, but i know that in china women aren't exactly usually offered the option to go off and gain a good education, and this life is the only that they are raised into.",你们都这么说，但是这一生可能是她在中国唯一可以拥有的生活。我们有机会接受教育，她可能没有。她可能喜欢这一生活，但即使她愿意，她也可能从未获得过更高学位的教育。但是，这些都是母狗。我不认识她或她的生活，但我知道在中国，妇女通常并不是提供享受良好教育的选择，而这一生是她们唯一的成长。
34313,UgxSu3ZCTtwfP_xV_jx4AaABAg,28,4 years ago,welcome to our beautiful china!,欢迎来到我们美丽的中国！
10690,UgzggH3LcmPPa1jXggR4AaABAg.9FeQNDjrQiy9FofMko6LRY,27,2 years ago,"land in the middle of nowhere china is actually pretty inexpensive. that being said, sheโ€s basically a celebrity online now and definitely has some money. she may show only the most beautiful 5% of the effort that goes into these videos, but that doesnโ€t make them any less beautiful. if anything, we appreciate them even more because we know how much work it took to get that one perfect shot. ๐",陆地中国中国的土地实际上很便宜。话虽如此，她基本上是一个在线名人，肯定有一些钱。她可能只显示这些视频中最美丽的5％的努力，但这并不能使它们变得不那么美丽。如果有的话，我们会更加感谢他们，因为我们知道要获得一个完美的镜头所需的工作量。
27204,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zdfReVQ8BB,26,3 years ago,@jeieldavid6347 you get 4g reception even in the mountains in china.,@jeieldavid6347即使在中国的山区也可以得到4G接待。
23453,UgwJt5W2j5q1D2nLUbd4AaABAg.92Ld0RvqjFc92Q88Gm8euL,26,3 years ago,"so i hope china is still around the wall, otherwise there are some fools to spray again. since going abroad, some people have really been unable to describe in china. it is really a good thing to give foreigners such an impression, let them understand the cultural traditions and scenery of china.",所以我希望中国还是一直墙着吧，不然有一些傻子又要喷了。自从出国以后越发觉得国内有一些人真的无法形容。能给外国人一个这样的印象真的是好事，让他们了解中国的文化传统，风景。
12631,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D0feMFPjlO,24,2 years ago,hayley hyj you’re going to act like chinese or asians aren’t racist towards us ? wasn’t it your mcdonalds that didn’t allow black peoples in the beginning of covid ? stop acting like everyone else but y’all are evil. there’s plenty black people like me standing up for chinese and asians in general but wrong is wrong and china isn’t all innocent.,海莉·海格（Hayley Hyj）您将像中国人或亚洲人一样行事，不是对我们的种族主义者吗？不是您的麦当劳在库维德开始时不允许黑人吗？不要像其他所有人一样行事，但你们都是邪恶的。总体上，有很多像我这样的黑人代表中国人和亚洲人，但错误是错误的，而中国并不是无辜的。
17608,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982DXstbU_V,24,3 years ago,"@heardistance i have no idea about other chinese area's rural life but in sichuan, more specifically, the countryside area around chengdu, the environment, the village, the landscape and the lifestyle, the food are pretty much the same as what they showed in ziqi's video. i know it because i also come from this area. i agree with it looks too perfect but why it can not even look perfect? she works really hard and shares with us how beautiful and how peaceful life can be...why would she show how sad she is how realistic and shitty the life look like? it doesn't make sense. i guess you have some wrong identifications of this channel or you just misunderstand what things she would like to share us about. it's like doing a project, your boss gives you an appraisal and says ok, it's well done but looks too perfect so it's fake it's impossible....hmmm. i don't think anyone will give any appraisal like that. and this channel is not a documentary about recording how poor chinese people are in china. i would suggest you can look for those videos from bbc or cnn or anywhere on youtube, online etc. i am sure there are a lot of videos or whatever news will keep rising your doubt about the reality of ziqi's video.",@heardistance我不知道其他中国地区的乡村生活，但是在四川，更具体地说，是成都周围的乡村地区，环境，村庄，景观和生活方式，食物与他们在Ziqi中所展示的食物几乎相同视频。我知道，因为我也来自这个领域。我同意它看起来太完美了，但是为什么它甚至看上去都不完美呢？她真的很努力，与我们分享了多么美丽和和平的生活……为什么她会向她表现出多么可悲的生活，这是多么现实和卑鄙的生活？这没有道理。我想您对此频道有一些错误的识别，或者您只是误解了她想分享我们的事情。这就像在进行项目一样，您的老板给您评估，说得好，做得很好，但看起来太完美了，所以这是假的，这是不可能的....嗯。我认为没有人会这样评价。这个渠道并不是关于记录中国人在中国的多么可怜的纪录片。我建议您可以从BBC或CNN或YouTube，Online等任何地方查看这些视频。我敢肯定，有很多视频，或者任何新闻都会不断提高您对Ziqi视频现实的疑问。
9037,Ugz2_YEwH8ojWbwh4ph4AaABAg,24,2 years ago,ziyi showed the real farmers of rural china and ordinary daily life so beautiful!,子柒把中国农村的真实农作及平凡的日常生活展示的如此美丽！
9324,Ugy3C0BEFl3Uww9xseR4AaABAg,23,2 years ago,"i love when puppies and sheep are around her, following her to collect a fruit. i have been in china one time and have test a fruit on a stick with sugar, it's seem like a normal snack for chinese, they sell everywhere in town.",我爱幼犬和绵羊在她身边，跟随她收集水果。我一次去过中国，并用糖粘在糖果上，这似乎是中国人的普通小吃，它们在镇上到处都有销售。
16529,UgwndTs4wucNgNjt5x94AaABAg.98eO-d8XaSd98uH5OVgzNP,22,3 years ago,"@wuxh2708 her mother was dead when she was young!! she was with a cruel step mother! her dad and grand parents were good cooks! her dad cooks allot in the village for almost all the occasions that way she learned alot of recepies from grand parents amd her dad!! she worked various jobs! she wanted to do new things but almost failed in lot of stuff! she got to return to back home, her village upon hearing that her grandma health when was not good and somone needed day and night to take care!! so that struck a thought in her mind to do something and at the same time be with her grandma! her grand parents own some land in mountains so she started what her legacy was cooking, farming, chinese art, etc!!being worked as a dj people say that experience helped her to add music, edit videos while she filmed all her videos on own very early days! her videos initially were posted only in chinese video sharing platforms! when she got good recognition in those platforms for her all the skills she started youtube!! she hired a crew of 3 people who take care of shooting, editing, posting!! all these efforts and dedication made her a massive hit today! some section of people unable to digest her success called her actor, fake, and also few said she is not chinese!! at that time she released a few seconds video saying she belongs to china and she is chinese!! nothing altered her to date!! she is the same loving, caring person!! i just shared what i came to know about her thru many sources!!",@wuxh2708她的母亲小时候死了！她和一个残酷的继母在一起！她的父亲和大父母是好厨师！她的父亲几乎在所有场合都在村子里烹饪分配，从而从父母那里学到了很多回忆！她从事各种工作！她想做新事物，但几乎失败了！她得知她的祖母健康不好，白天和黑夜都需要照顾时，她必须回到家中，她的祖母健康！！这样一来，她就想到了做某事，同时与她的祖母在一起！她的祖父母在山上拥有一些土地，因此她开始了自己的遗产是烹饪，耕种，中国艺术等！被当作DJ的人说，这种经验有助于她添加音乐，编辑视频，而她独自拍摄了所有视频很早！她的视频最初仅发布在中国视频共享平台上！当她在这些平台上为自己的所有技能获得良好的认可时，她就开始了YouTube！她雇用了3个照顾射击，编辑，发布的船员！所有这些努力和奉献精神使她今天受到了巨大的打击！一部分无法消化她的成功，称她的演员是假的，而且很少有人说她不是中国人！那时，她发布了几秒钟的视频，说她属于中国，她是中国人！到目前为止，没有什么改变她！她是同样的爱心，有爱心的人！我刚刚分享了我对她的了解，这是通过许多来源！！
27206,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zgJmmE0gIK,21,3 years ago,"@jeieldavid6347 now in china, for even a village in which is far away from the city, the internet is something easy to get....and which is affordable....",@jeieldavid6347现在在中国，即使是一个距离城市很远的村庄，互联网也很容易获得。
43705,UgxNzJ6PZiQymaiNV3R4AaABAg.8rIvoP8deLE8rMwoP7db3F,21,4 years ago,she living sichuan china,她生活在中国四川
43428,UgxS-cU3wreGJWZO6Fd4AaABAg,20,4 years ago,"just so you guys know that her videos don’t represent the actual living standards of chinese people living in rural areas. her home is probably the only decently organised and tidied country residence in rural areas of china. the vast majority of the people that live in rural or mountainous areas in china are poorly educated and have limited access to natural resources, let alone modern technologies. existence of conventional customs and ways of thinking that are outdated and even seem stupid can easily be found in these remote regions. dog thieves that poison and steal dogs in order to sell the meats to certain restaurants that serve dog meats are quite common in these rural areas as well. i can go on and on all day long to talk about what the actual country life in china looks like, but i want to thank her for making these peaceful videos that show the western world the beautiful side of her life as an ordinary country girl living in mainland china, and for the amazing portrait of hard working chinese people that value the idea of family, especially taking actual care of the elderly, above all.",只是让你们知道她的视频并不代表居住在农村地区的中国人的实际生活水平。她的家可能是中国农村地区唯一有组织和整洁的乡村住所。居住在中国农村或山区的绝大多数人受教育程度不佳，获得自然资源的机会有限，更不用说现代技术了。在这些偏远地区可以很容易地发现常规习俗和过时甚至看起来似乎很愚蠢的思维方式。狗盗贼毒和偷狗以将肉类出售给某些狗肉的餐馆，在这些农村地区也很普遍。我可以整天继续谈论中国的现实乡村生活，但我要感谢她制作的这些和平的视频，这些视频向西方世界展示了她作为一个普通的乡村女孩生活的美丽一面在中国大陆，以及对中国努力工作的惊人肖像，这些肖像重视家庭的想法，尤其是对老年人的实际照顾。
36927,UgwFYQu0ZjqOQGWD12d4AaABAg.8uLfY_QL-Tn8u_oTg_Vtoc,20,4 years ago,now people know that how beautiful is china.,现在人们知道中国有多美丽。
13412,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9CQOhatxrbL,19,2 years ago,"@kaikujawa6063 hehe everything about china has to have a hidden agenda,everything good about china has to be fake or controlled by the government, you know better than our people, even than herself? who's brainwashed? stop making these irresponsible comments that only show your stupidity.",@kaikujawa6063 hehe关于中国的一切都必须有一个隐藏的议程，关于中国的一切都必须是伪造或由政府控制的，您比我们的人民更了解，甚至比她自己更了解？谁洗脑了？停止发表这些不负责任的评论，只会表现出您的愚蠢。
