,cid,votes,time,含god,含god中文翻译
31851,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yVEzTQ45kb,8,3 years ago,"glorify god, he is ""i am,"" ""yehovah,"" .. he made all things for us to marvel at his majesty in the design of nature around us.
her homeland in china is breathtaking.

i want to go visit her to tell her about jesus..

i think most people want to go visit her to see her amazing home, gardens, and eat her food..

i am sick too..

so sorry to hear you are sick and in the hospital. i will pray for god's will in your life..and that you would trust him now, turn to him..

god the father, made a way through his son, jesus..for us to be saved and to live right before him. faith in jesus's death on the cross, burial, and ressurrection from the dead, is what saves us..we have newness of life forever..as our sins are forgiven us. 

there is no other way to be saved from god's judgement and wrath to come. 

jesus, is our only hope, our shield, our rock to stand on, our salvation!

her videos are amazing to watch and she is a very beautiful, talented, and very hard-working, disiplined person..but she does not have any knowledge of the god of abraham, issac, and jacob, and his only begotten son, jesus of nazareth, the kings of kings...the lamb of god.","荣耀上帝，他是“我是”，“耶和华”。
她在中国的家园令人叹为观止。

我想去拜访她告诉她关于耶稣的事。

我认为大多数人都想去拜访她，看看她的奇妙家园，花园和吃她的食物。

我也病了..

很遗憾听到您生病了。我将为您一生中的上帝的旨意祈祷..您现在会相信他，转向他。

父神，通过他的儿子耶稣。对耶稣的死在十字架上的信仰，埋葬和从死里的遗嘱中拯救我们。

没有其他方法可以从上帝的审判和愤怒中拯救出来。

耶稣是我们唯一的希望，我们的盾牌，我们的岩石站在我们的救赎！

她的视频令人惊叹，她是一个非常美丽，才华横溢且非常努力，有教养的人..但是她对亚伯拉罕，伊萨克和雅各布的上帝不了解，他的独一儿子，耶稣，拿撒勒人，国王之王...上帝的羔羊。"
24035,UgzxAwjl_L_TkTKVGVF4AaABAg,8,3 years ago,"you are wonderful, just like the ladies of the past!!! do everything by themselves , without the help of a man!! i’m glad you have subtitles , so we can understand whatever you are doing!!! unfortunately there are at least 2 bloggers who are showing your videos , i hope you will do something about that, you do the work it’s not fair for someone else to get credit for all your efforts !! good night beautiful miss liz may god bless you and you dear grandma ❤️❤️",你真是太好了，就像过去的女士们一样！！！在没有男人的帮助的情况下自己做一切！！我很高兴您有字幕，所以我们可以理解您在做什么！！！不幸的是，至少有2位博客作者正在展示您的视频，希望您能为此做些事情，您做的工作对于别人的所有努力都不公平！！晚安美丽的丽兹小姐愿上帝保佑你和你亲爱的祖母❤️❤️
33386,Ugyw1womNBpfv1uDG7l4AaABAg,7,3 years ago,i love how you take care of your granny liziqi. you’re a goddess of warmth and goodness.,我喜欢您如何照顾您的奶奶Liziqi。您是温暖和善良的女神。
3771,Ugw2r0Qx2SiZT9TCTvp4AaABAg,7,2 years ago,"the god of kissing the earth. the hostess decorates and complements this heavenly land. like a bee working from dawn to dawn, clever, beautiful. live long. the project is wonderful.",亲吻大地的上帝。女主人装饰并补充了这片天堂般的土地。就像从黎明到黎明工作的蜜蜂，聪明，美丽。长命。该项目很棒。
20802,UgwoEcUnHAuNarl3-NN4AaABAg,6,3 years ago,"a huge restaurant needs to hire this chef. wait, she is perfect where she is. o god, need a girl that can cook.",一家庞大的餐厅需要雇用这家厨师。等等，她是完美的地方。天哪，需要一个可以做饭的女孩。
28392,Ugxsyl9qHCJ2n2g0LMt4AaABAg,6,3 years ago,"my god what a perfection, what a dedication, what a zeal, what a love you have for your affairs, you are too much. cherish.",我的上帝是一种完美，多么奉献，多么热情，你对事务的爱，你太多了。珍惜
3936,UgxvqohFAkcpGFFU7T14AaABAg,6,2 years ago,"may god take care and keep you ... may your presence become increasingly strong in your life, protecting you, guiding strengthening your faith ... good morning!",愿上帝照顾并保留您...愿您的存在在您的生活中变得越来越强大，保护您，指导您的信仰...早上好！
23870,Ugxymr0hWQgFwu1wYyl4AaABAg,6,3 years ago,li ziqi everything u do are amazing nd magical. u are more than a beauty. everytime when i watched ur videos it gives me a piece of mind. i always waited for ur new videos. keep it up. lo ziqi ur truly are an inspiration. thank u so much.god bless you always,Li Ziqi您所做的一切都是神奇的。你不仅仅是美女。每次我观看您的视频时，它都会给我一个想法。我一直在等您的新视频。继续努力吧。 lo ziqi ur确实是一个灵感。非常感谢你。上帝永远祝福你
20808,Ugw8avLwiBM_Sj4v57N4AaABAg,6,3 years ago,"oh my god, ziyi fairy is down, i want to go too much",天呐，子柒仙女下凡，太想往了
7679,UgwjOzqXfhZu_E5TQ9h4AaABAg,5,2 years ago,"hi liziqi, your life is so inspiring! i really enjoy watching your video. i think you are so lucky to live a life full of nature. i wish your life be more fruitful and more exciting. thank you and god bless to your channel and your family!",嗨，利兹奇，你的生活真是令人鼓舞！我真的很喜欢看你的视频。我认为您很幸运地过着充满自然的生活。我希望您的生活更加富有成果，更令人兴奋。谢谢您，上帝保佑您的频道和家人！
33372,Ugz26hQlAYS4Io80Gnd4AaABAg,5,3 years ago,iam waiting for ur video.. tq sister.. u r really hard work.. god bless u dr..,我正在等待您的视频.. tq姐妹.. u r真的很努力..上帝保佑你博士。
22866,UgymxalCiD4Huii3wIl4AaABAg.8zuNQpbMst58zvLx6Wg9Eb,5,3 years ago,and she looks so pure.. god!!!!,她看起来很纯净..上帝！
34853,UgyYOUErNJog_8v86F94AaABAg,5,3 years ago,she’d probably outlive us all during a apocalypse while still looking like a forest god.,在启示录中，她可能会像森林神一样使我们所有人都活着。
20153,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91o-5lg7zpI,4,3 years ago (edited),"@johnvuu4679 there is so much land on this earth, have you even driven anywhere? have you ever left the city you live in? cities are tiny little specs compared to what is out there. 

and yes, not all land is fertile, that's why you don't try to live in a desert like all the morons in arizona and many other places. you can turn many deserts into grassland: https://www.youtube.com/watch?v=vpthi7o66pi&t=4s 

we grow fields upon fields upon fields of corn and soy to make garbage food that makes us sick while having useless lawns to show off to our neighbors that we can use a lawnmower when we could be making prime habitats for massive herds of animals that we can use as never ending food sources.

you can't afford to live off the land? that makes no sense, do you understand the concept here? you're living off the land, you don't need money.. nobody needs money for anything. it's worthless paper and digits in computers. you realize a couple hundred years ago people just rode wagons across america and picked a spot to settle right? i don't know the immediate answer to how to get land distributed to people who are willing to homestead, that's the hard part. i definitely wouldn't want the government involved. there is no easy solution for it, but the alternative is much worse. houses will be completely unaffordable throughout the world some day, and we'll all be even more of slaves to the corporate systems and governments than we already are. just wait, or just wait for your children to see... it's going to be a fucking nightmare. and it's going to happen, you're not getting the world to homestead, nobody is doing it. we're going the other direction and it's not stoppable.

ya, the population is growing, but as i said, you don't seem to have a clue how much land is out there, and people who cannot live off the land shouldn't be living.. why do you think we got into this situation? we cater to every little desire and whim of everybody all in the name of profit. if you have a strong family and community you can live off the land, anybody can do it, it's just a matter of not being a coddled sheltered half ass human being.

sure.. we've dug ourselves into a hole by chasing the dollars and carrots in front of our faces for centuries, but the solution has been staring us in the face the entire time.. most people are just too lazy and don't want to give up their lives of convenience for an honest living off the land. if you don't want an honest lifestyle living off the land and you want to live in a city full of conveniences and cancers then you're the problem. but you're in good company, probably 99% of people think that way. 

social backlash? like the social backlash from politics, unjust laws, and profiteering? just wait, you haven't even seen social backlash yet, this world is about to explode with social backlash. you're going to wish you had a homestead off the grid when it does.

the fact that i have to explain this to people shows how far gone the majority of mankind is. it's almost a shame that god has promised not to flood the earth again, we could really use a reset.","@johnvuu4679地球上有很多土地，你甚至在任何地方开车吗？您是否曾经离开过您居住的城市？与那里的城市相比，城市的规格很小。

是的，并非所有的土地都是肥沃的，这就是为什么您不像亚利桑那州和其他许多地方那样尝试生活在沙漠中的原因。您可以将许多沙漠变成草地：https：//www.youtube.com/watch?v=vpthi7o66pi&t=4S

我们在玉米和大豆的田地上种植田地，以制作垃圾食品，使我们生病，而无用的草坪可以向我们的邻居炫耀，我们可以在我们可以为大量动物群创造主要栖息地时使用割草机，我们可以使用割草机。用作永无止境的食物来源。

您负担不起居住的土地吗？那没有道理，您在这里了解这个概念吗？您在土地上生活，不需要钱..没人需要任何钱。这是毫无价值的纸和计算机中的数字。您意识到几百年前，人们只是骑着货车在整个美国都骑着货车，并选择了一个地点来定居吗？我不知道如何将土地分配给愿意居住的人的直接答案，这是困难的部分。我绝对不希望政府参与其中。没有简单的解决方案，但是替代方案更糟。有一天，全世界的房屋将完全负担不起，与我们现在相比，我们所有人都将成为公司系统和政府的奴隶。等一下，或者等待您的孩子看到...这将是一场他妈的噩梦。这将发生，您不会让世界进入宅基地，没有人在做。我们朝另一个方向前进，这是不可停止的。

是的，人口正在增长，但是正如我说的那样，您似乎不知道那里有多少土地，而无法生活的人不应该生存。这个情况？我们以利润的名义迎合每个人的每一个小小的渴望和兴起。如果您有一个强大的家庭和社区，您可以在土地上生活，任何人都可以做到这一点，这只是一个不做一个顽固的庇护半屁股人的问题。

当然..我们已经通过在脸前追着美元和胡萝卜数百年来挖掘了一个洞，但是解决方案一直在整个脸上盯着我们。想要放弃他们的便利生活，以诚实地生活在土地上。如果您不希望诚实的生活方式在土地上生活，而是想住在一个充满便利和癌症的城市中，那么您就是问题所在。但是您的公司很好，大概有99％的人以这种方式思考。

社交反弹？就像政治，不公正法律和盈利的社会反对一样？等一下，您甚至还没有看到社交反弹，这个世界即将在社交反弹的情况下爆炸。您将希望在电网上拥有一个宅基地。

我必须向人们解释这一事实，这表明了大多数人类已经走了多远。上帝已承诺不要再次淹没地球几乎是可惜的，我们可以真正使用重置。"
33338,UgxzTGfctxvW0-lnyQd4AaABAg,4,3 years ago,thank god again .. who is here liziqi update 2 days in a row ...,再次感谢上帝..谁在这里liziqi连续2天更新...
4695,UgwPyeChqFOjUTcCfYt4AaABAg,4,2 years ago,"oh my god, all of which are all foreigners' comments",哦我的天哪，居然全都是老外的评论
5403,Ugyv5qcxdGrEmyunRE94AaABAg,4,2 years ago,this video is so magical. my god i wish i lived off more fresh food like this family. looks so delicious. what an incredible way of life.,该视频是如此神奇。我的上帝，我希望我像这个家庭一样生活在更多新鲜食物中。看起来很美味。多么令人难以置信的生活方式。
21621,UgylmQIdpiszMj7X7Q54AaABAg,4,3 years ago,your garden has everything you need! that is a blessing from god!,您的花园有您需要的一切！那是上帝的祝福！
33848,Ugxyhd0vwFDmW3bnAUh4AaABAg,4,3 years ago,"you have made my life peaceful❤
god bless you","你让我的生活和平❤
上帝保佑你"
31363,Ugz1I8IVDaSZ28ZBANJ4AaABAg.8yVFWEkdlqa8yVRXMBU8v_,3,3 years ago,"gang chen patane is everywhere in the countryside, but be sure to wash it and get it in place, because the dogs like to make a small solution anywhere. my god!",Gang Chen 马齿苋乡下路边到处都是，不过一定要洗干净，要烫到位，因为狗狗喜欢随地小解。my god!
9175,Ugztg3AWD6dCH_KutUp4AaABAg.9AMNSj7YvIf9BDRn2gCsSQ,3,2 years ago,"@yonglu5864 me, i don't mind what after death. but i worry about you, muslim, christianity, and judaism that their lord is the only true god. in case you believe in the wrong, after death, you have to go to hell with us. bleak",@yonglu5864 我呢，是不介意死后怎么样的。倒是担心你，回教，基督教，犹太教都宣称自己的主才是唯一的真神，万一你信错了，死了以后跟我们一起下了地狱，那见了面你说尴尬不尴尬？
30883,UgyUyuaqoPurlHDxo_N4AaABAg,3,3 years ago,"we love love love, all the different things you do, the way you take care of your grandma and your beautiful ranch. we hope to meet you one day! much love from texas. may god continue to bless you and your family!!!",我们爱爱爱，您所做的所有不同的事情，照顾奶奶和美丽的牧场的方式。我们希望有一天见到你！得克萨斯州的爱。愿上帝继续祝福你和你的家人！！！
29114,UgyrqQ2CYFCYTsyST2d4AaABAg,3,3 years ago,yes... thank you liziqi..may god bless you and your grandma.. hope you and your grandma in good health and happy always.,是的...谢谢Liziqi ..愿上帝保佑您和您的奶奶..希望您和您的祖母永远健康和快乐。
32172,Ugw36KyYF9VMQxtbGeV4AaABAg,3,3 years ago,"seeing you living in abundance, i am so happy for you. may god continue to bless for you are a blessing to us.",看到你生活丰富，我为你感到高兴。愿上帝继续祝福你是我们的祝福。
16790,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI932R8mIcHOb,3,3 years ago (edited),"whoever marries her is blessed by her and the god.

i am a taiwanese boy

miss li is really sweet -hearted and beautiful

a fragrance of turbid dust

i hope that in the ancient spiritual trajectory, you can encounter more fresh and noble souls like you

thanks!","Whoever marries her is blessed by her and the God.

我是台湾男生

李小姐真是脸甜心善人美

混浊尘世的一道清香

希望在亘古的精神轨迹中能够遇到更多像妳这样清新脱俗的高贵灵魂

谢谢！"
21896,UgwcX9YQRp7-GIicFyh4AaABAg,3,3 years ago,"omg as soon as i start watching her videos i cant stop myself watching for more,makes me think how i miss my simple life in the village,,,girl you inspire me a lot,,one day gonna go back to the island where i was born,cant wait to go back home and cook like your videos,i learn a lot from your video,god bless you girl,",天哪，一旦我开始观看她的视频，我就不能停止自己观看更多，让我想到我如何想念我在村庄的简单生活，你会激发我的灵感很多，有一天会回到岛上出生了，迫不及待地想回家像你的视频一样做饭，我从你的视频中学到了很多东西，上帝保佑你的女孩，
7374,Ugwqb6F404RCl3skHkF4AaABAg,3,2 years ago,"if u eat like this you'll never get sick, by god bless",如果你这样吃，你永远不会生病，上帝保佑
19918,UgxtiWBQ1RO8mwSh3ct4AaABAg,3,3 years ago,i love how you work with nature. god bless your soul,我喜欢你如何与大自然合作。上帝保佑你的灵魂
33090,Ugz8TkJKDETZdPc5tDR4AaABAg,3,3 years ago (edited),"lallallah kalash sweet paradise on the destination of the good land, kalash is sweet, and i know one complaint. and his wish, god willing, to fulfill the aspirations, lord, in general, and you are the father of a thousand, and i will return to you, and please, lord.",拉拉拉·卡拉什（Lallallah Kalash）甜蜜的天堂在好土地的目的地，卡拉什（Kalash）很甜蜜，我知道一个抱怨。他的愿望，上帝愿意，愿意实现愿望，主，总的来说，你是一千的父亲，我是我的父亲会回到你身边，请，主。
32921,Ugxa7Ek-Nxs4VE9GO714AaABAg,3,3 years ago,"⁝ (⁝) は は は の の の です です.
you are my god, i am so moved everyday
thank you so much !! thank you","⁝( ᵒ̴̶̷̥́௰ᵒ̴̶̷̣̥̀ )⁝贵方は私の神です。
你是我的神了
Thank you so much!!谢谢"
23783,UgyAm7enJjKMRR9AjzV4AaABAg,3,3 years ago,"i fell in love with this goddess, she is beautiful, hardworking, hardworking and loves her elderly, she is beautiful has beautiful feet and hands beyond a beautiful face.
i want to have such a life, i love the field and plant ...","我爱上了这个女神，她美丽，勤奋，勤奋，爱她的老人，她是美丽的脚，双手超出了美丽的脸蛋。
我想拥有这样的生活，我喜欢田地..."
20316,UgyQ3PrPLH5pg0wxOD94AaABAg,2,3 years ago,nice work sister god bless you,好姐姐上帝保佑你
9241,UgyiNUY9ElRSNXAR4_x4AaABAg,2,2 years ago,amazing beautiful nature living bamboo very famous in thailand too some of thai cuisine also the same as chinese cuisine and we have also china town in thailand alot of chinese people live in thailand i really love your video and it look so beautiful nature living god bless you,令人惊叹的美丽大自然活着的竹子在泰国也很有名的泰国美食也与中国美食相同，我们在泰国也有中国小镇，很多中国人都住在泰国
30905,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yzKV4YekrM,2,3 years ago,"bramha's astra do you actually watch any food network chefs? ina garten/barefoot contessa frequently uses fresh ingredients, either grown herself or from her local shops. alton brown (who recently started brand new episodes of good eats) does the same. even on those cooking competition shows (e.g. chopped), they pick fresh fruits and vegetables from the pantry, not from a can. 


the only show where the food was consistently canned/boxed was ""semi-homemade"" with sandra lee and that terrible show was cancelled in 2011, thank god. 


i feel like you are just so obstinately anti-american, you refuse to acknowledge anything positive about the us. and don't say it isn't true. i can tell by the way you falsely described food network shows and american cooking in general.","布拉姆（Bramha）的阿斯特拉（Astra）您实际上看过任何食品网络厨师吗？ Ina Garten/Barefoot Contessa经常使用新鲜食材，无论是自己还是从当地的商店种植。奥尔顿·布朗（Alton Brown）（最近开始了全新的《好吃》剧集）也是如此。即使在那些烹饪比赛中（例如切碎），他们也从储藏室中挑选新鲜的水果和蔬菜，而不是从罐头中挑选。


唯一与桑德拉·李（Sandra Lee）一起罐装/盒装食物的唯一表演是“半摩托马”，而这场可怕的表演在2011年被取消了，感谢上帝。


我觉得您是如此顽固的反美，您拒绝承认对美国的任何积极。而且不要说这不是真的。我可以通过错误地描述食品网络节目和美国烹饪的方式来分辨。"
6401,Ugw13z31ZkXrWP2V6Tl4AaABAg.9EpN7nV-0KV9EuLZcwnae9,2,2 years ago,"i am.
and vitality, glory be to god","我是。
和活力，荣耀归于上帝"
13437,UgxTFgXRxn7MuOxmWCx4AaABAg,2,3 years ago,"

good news for every muslim and muslim

by the grace of god alone, a book was published

the abbreviation of islamic jurisprudence
eighteenth edition

this book contains

on more than thirty thousand legal rulings in
monotheism and faith

virtues and literature


family provisions




the book is easy to browse, easy to download, and easy to send



http://hatha-alisam.com/books/list/80

• ❁❁ •• ❁❁ •

abbreviation of islamic jurisprudence in chinese 

link

https://hatha-alisam.com/books/list/65

• ❁❁ •• ❁❁ •

this is the location of this islam

http://hatha-alislam.com/

","

每个穆斯林和穆斯林的好消息

仅靠上帝的恩典，一本书出版了

伊斯兰法学的缩写
第十八版

这本书包含

在超过三万的法律裁决中
一神教和信仰

美德和文学


家庭规定




这本书易于浏览，易于下载且易于发送



http://hatha-alisam.com/books/list/80

•❁❁••❁❁•

中国伊斯兰法学的缩写

关联

https://hatha-alisam.com/books/list/65

•❁❁••❁❁•

这是这个伊斯兰教的位置

http://hatha-alislam.com/

"
29441,UgzSke45zDzA_f0zEHB4AaABAg,2,3 years ago,"wow, a picturesque nature, god willing",哇，风景如画的天性，上帝愿意
24552,Ugw1jL54jv_Xjg_0Ltl4AaABAg,2,3 years ago,"what a beautiful thing, deserves all and admiration of the world .. my god i was delighted !!",多么美丽的事，应该得到全部和钦佩世界。我的上帝我很高兴！
31258,UgxQaj5c4vJGA_jJm654AaABAg,2,3 years ago,she treats her granny with love and passion god bless,她用爱与激情对待她的奶奶上帝保佑
6417,UgzgF1xkhroFoJjei054AaABAg,2,2 years ago,"you have such a oneness with nature and life,my god bless you and your household. i would love to visit you and maybe get first hand knowledge from you your amazing",您与自然和生命有如此统一，我的上帝保佑您和您的家人。我很想拜访您，也许从您那里获得第一手知识
29948,Ugyk_1KX-HhWt6B0aXl4AaABAg.8yVuvTRQd_W8yYX2ffMvEj,2,3 years ago,"congratulations to you, too, every year, and you're fine. 
god willing, all your days are happy 
from iraq","每年也要恭喜您，您很好。
上帝愿意，你所有的日子都快乐
来自伊拉克"
32529,UgwIkbEqMQUMLe5_Ah94AaABAg,2,3 years ago,may god bless me with your enthusiasm,愿上帝保佑我的热情
17914,UgwunEBEht1UwcutFGt4AaABAg.92eJivXhhyf92oUuVQYgQQ,2,3 years ago,when she is there may be the apocalypse god will postpone it for another day,当她是启示录时，上帝会推迟另一天
30733,UgxlPYyKIRM1iBfTOlp4AaABAg,2,3 years ago,"hi my big fan liziqi love u ....ur very beautyfull . 
god blus u ..love u love u lot","嗨，我的大型粉丝liziqi爱你....你非常美。 
上帝蓝色你..爱你爱你很多"
27815,UgwdOfvdjW6n9IAG3mV4AaABAg,2,3 years ago,"hmm who are the dislikers 





may god blast them","嗯，谁是不喜欢的人





愿上帝炸毁他们"
2899,Ugz-iXrxKxW1eqdcs494AaABAg,2,1 year ago,"i wish i can a meal with my grandmother one last time like this!!!
but she along with the gods!!","我希望我最后一次可以和祖母一起吃饭！！！
但是她和众神一起！"
24816,UgwhU-57nfA9ezv1gnh4AaABAg,2,3 years ago,"this girl is everything that you eat, god willing.",这个女孩是你吃的一切，上帝愿意。
32787,Ugx1CIR2ETt2zDWQz4F4AaABAg,2,3 years ago,the spirit you are a miracle of censorship god will make you a lot of love for you,你的精神是审查的奇迹，上帝会让你对你有很多爱
