,cid,votes,time,含god,含god中文翻译
16752,UgzhkNNhTlG8oHZ4nd54AaABAg,1,3 years ago,there is no god but god ♥,没有上帝，但是上帝♥
18934,UgwBrkN46URlVrA3lrx4AaABAg,1,3 years ago,god bless . during this is a teacher,上帝保佑 。在此期间是老师
40939,UgxGM9cI7yISN3cSuhR4AaABAg,1,4 years ago,just feed those poor dogs for god's sake.... fabricated bullshit.,只是为了上帝的缘故喂那些可怜的狗。
30676,Ugz1X2UiErVP_AkM30h4AaABAg,1,3 years ago,"o god, everything is there, i also live like that",天哪，一切都在那里，我也这样生活
30659,Ugw3hud7WrohZo-B-Fp4AaABAg,1,3 years ago,beautiful as godness,美若天仙
16988,UgzzzrAd-zxVhpzymk14AaABAg,1,3 years ago,"my god, these all look so delicious!!! i want to try it all!!!",我的天哪，这些看起来都很美味！！！我想尝试一下！！！
41187,Ugwk7JzsA_6Q6b_5OYd4AaABAg,1,4 years ago,"i love blessing your parents, may god bless you",我爱祝福你的父母，愿上帝保佑你
41291,Ugyl7VYfUKbEoO2DdUh4AaABAg,1,4 years ago,"oh peace, the best life, the best food, and the best organization of my beloved, and god",哦，和平，最好的生活，最好的食物和我心爱的最好的组织，上帝
30945,UgzhP7ylNqbDX5-XYP54AaABAg,1,3 years ago,"god bless
๐","上帝保佑
"
17858,UgwuVdQ1ichVhgkJcVR4AaABAg,1,3 years ago,oh my god she is so hardworking and creative,哦，天哪，她是如此勤奋和创造力
16322,Ugyl6BAyt6f-kggeWyh4AaABAg.98llsjx6THb99vQjjv-9mi,1,3 years ago,"@user-ce5xg9ko6m oh my god you know my language•́ ‿ ,•̀",@user-ce5xg9ko6m哦，天哪，你知道我的语言•́，•̀
41973,UgxwhpYxWyROwVFWAPZ4AaABAg,1,4 years ago,oh my god. love always,我的天啊。一直爱
18083,UgwksL3L7OigQ8F9uKJ4AaABAg,1,3 years ago,"god willing, he shared tricks and loves her tricks",上帝愿意，他分享把戏并爱她的把戏
30723,UgwkC3U2cPYuJWya2iB4AaABAg,1,3 years ago,you have a lovely grandmother god bless her and you i have love and respect for you2โฅ๏ธโฅ๏ธ,你有一个可爱的祖母上帝保佑她，而你我对你有爱和尊重2♥♥♥父
30653,Ugwq81Vmabzvj4b1OI14AaABAg,1,3 years ago,god is so much work ... well done smart,上帝是如此多的工作...做得好聪明
17149,UgzPpNULJ3ZtgYT1XAF4AaABAg,1,3 years ago (edited),"the puppies and the lamb love li ziqi as if she were their mom...maybe adopted mom...i would follow her around if i could, chestnuts roasting on a kitty fire....:) wow, so many healthy snacks..amazing princess! god bless you and your grandmom...from texas ...usa.ni shi hen hao...:) in 14 years in china, i never trust those popping machines...dangerous...for ears...best spring festival food in the world...done by li ziqi....so great!",小狗和羔羊爱李齐qi好像她是他们的妈妈...也许是收养的妈妈...如果可以的话，我会跟着她，栗子在小猫的火上烤... :)哇，哇，很多健康的零食..杰出的公主！上帝保佑你和你的祖母...来自德克萨斯州...美国。世界上春节的食物...由李Ziqi完成。。。太棒了！
26171,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-qRx2lskwY,1,3 years ago,"@user-sc8cy5qc6e thought that understanding is more clear before making such extreme evaluations. i did not expect that i would never live in china at all. it seems that i do nโ€t know how miss zi has developed in the past four years. it seems to see it. it seems to see it. the video is too good to be different from the imagination of the countryside. it must be sour and sour. this kind of ""although china has nothing to do with me, but seeing a good video about it must scold a few words"", it is also a god. for this kind of negativeness that ""everything is false"" life attitude is sad. you probably can't understand that ziyi's rural people live in china and youtube, because the villagers/home and foundation memories are beautiful, and it is also because of the hard life in the difficult life. chicken soup for people who can see this comment: it is easy to have life without life, but a positive attitude and a serious sense of life to make life feel happy and meaningful in their spare time",@user-sc8cy5qc6e 还以为了解比较清楚才能做出这么极端的评价，没想到其实根本就不住中国，看来也其实并不了解子柒小姐姐这四年来是怎么发展起来的，看来是看到视频太好看了和想象的农村不一样啊就一定要酸里酸气地黑。 这种“虽然中国和我没太大关系了但是看到有关于它的好的视频一定要骂几句的心理”，也是神了， 为这种认为“一切的美好一定是虚假的”的消极人生态度感到悲哀。您大概不能理解，子柒的农村生活在中国和Youtube能火，是因为村落/家和根基的回忆的美好，也是因为在艰难生活中也会认真把生活过得有滋有味的美好。鸡汤一下给能看到这条评论的人：没有生活是容易的，但是积极的态度和认真把生活过好的仪式感让生活在闲暇时候变得愉悦和有意义
39715,UgzLYl2ldQm3YvSzRcx4AaABAg,1,4 years ago (edited),"thank you god for my enemies are arrested by the power of the blood of jesus christ,,, amen they are arrested un jesus milghty name",谢谢上帝，我的敌人被耶稣基督的血的力量逮捕
30362,UgwkP17qJVdF63Jw5b54AaABAg,1,3 years ago,my god it is look so tasty and this province look very beautiful where is this province anyway in china,我的天哪，看起来很美味，这个省看起来很漂亮
27989,UgzZM8k63Evx1atQOLx4AaABAg,1,3 years ago,"by god, you deserve five million subscribers, and you deserve more",上帝，您应该得到500万订户，您应该得到更多
23260,UgyAdtb7iPGQV5sFNtx4AaABAg,1,3 years ago,"her world is a paradise, god ๐’“",她的世界是一个天堂，上帝
38112,Ugw5eA40PalA-26NCM14AaABAg,1,4 years ago,putz what a beautiful life my god ๐ฅบ๐ฅบ๐ฅบ!,我的上帝
27330,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB93awdWS57Xv,1,3 years ago,"somewhere i got a chance to read article about her........ yes her childhood was so awful that we can't even imagine. her hard work and struggle could make inspire all of us. she is the example that ""hard work is always pay, soon or later."" 
god bless her and her grandmother as well.๐๐","在某个地方，我有机会阅读有关她的文章........是的。是的，她的童年太糟糕了，我们甚至无法想象。她的辛勤工作和挣扎可以激发我们所有人的灵感。她就是“努力工作总是付出的榜样，不久或以后。”
上帝也祝福她和她的祖母。"
37892,Ugy-SNDwkxP6cxII1v94AaABAg,1,4 years ago,"god is the beauty of everything settlement and the charming nature, glory be to god",上帝是一切定居和迷人的本性的美丽，荣耀归于上帝
37875,UgxcbpguiWUyqvpjSMR4AaABAg,1,4 years ago,god bless china,上帝保佑中国
34844,UgztRs4f8aRz-_ccuWF4AaABAg,1,4 years ago (edited),all beautiful and sweet things spoiled by the presence of disgusting beef.. may god give her the wisdom to understand that beef instills demonic characteristics in a person and ultimately destroys the entire race and is the biggest contributor to cancer/profits of western pharma manufacturers..,所有美丽而甜美的事物因令人恶心的牛肉而宠坏了。愿上帝赋予她智慧，了解牛肉在一个人中灌输恶魔般的特征，并最终破坏整个种族，并且是西方制药商癌症/利润的最大贡献者。 。
24014,Ugxl3RwugSZITp73Y8Z4AaABAg,1,3 years ago,god....! how beautiful everything is! warm! joyful! you look and rest! right a fairy tale)))),上帝....！一切都多么美丽！温暖的！快乐！你看起来和休息！正确的童话故事）））））
27130,Ugzc-Lrg4mAmpIy3taF4AaABAg,1,3 years ago,"missing you and your grandmother are not alone. god knows you very much. you will definitely never leave her. i promise you that you will be in my prayer. you make me strong and patient. after the pain, i will guarantee",想念你和你的祖母并不孤单，上帝很了解你，你肯定永远不会离开她，我向你保证你会在我的祈祷中，你让我变得坚强并且很快就有耐心上帝耶和华将结束痛苦，我会 我保证
24689,UgwwggdxPwrPPJN8TWl4AaABAg,1,3 years ago,"in the china , a lot of people konw her name , she can doging anyting , she is like god!",在中国，很多人Konw她的名字，她都可以教给任何人，她就像上帝一样！
36196,Ugw3tbjeW0RJKhZDqtJ4AaABAg,1,4 years ago,oh god this is sooooo high quality,哦，天哪，这是如此高质量
26533,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9BHJtwen42E,1,2 years ago (edited),@bugbug6914 i am do happy to hear that you are doing better! super proud of you! keep your positive attitude and know that there are many that care about you! you are not alone! god loves you!๐’•,@bugbug6914我很高兴听到您做得更好！超级为你感到骄傲！保持积极的态度，并知道有很多关心您！你并不孤单！上帝爱你！
26338,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy938Imwjz8lM,1,3 years ago,god bless you,上帝祝福你
36075,Ugy2X721mszGJTIEXL54AaABAg,1,4 years ago,"god, creativity, ruined my uncle, if i would like him once like him",上帝，创造力，毁了我的叔叔，如果我想要他曾经像他一样
25425,UgziGExi2D9trmz74-x4AaABAg,1,3 years ago,god bless your heartโค,上帝保佑你的心❤
35912,UgxHJ9PNgtrXFnqYNs54AaABAg,1,4 years ago,ahaha she cover her grandma ears oh my god my heart ๐ญ๐ฉโฅ๏ธโฅ๏ธโฅ๏ธโฅ๏ธ๐ธ๐ธ,啊哈，她遮住了祖母的耳朵，哦，我的上帝，我的心
35838,UgxxeCHhQQkLditoPH14AaABAg,1,4 years ago,this life is a wonder of god created that i'm going to cry,这一生是上帝创造的奇迹，我要哭泣
25757,UgwQPSLL3y4zcHIjZc94AaABAg,1,3 years ago,"you're a wonderful human being. i would like to make a video about you where you are specifically, what age you are and your family environment. i see your videos very joy. god bless you",你是一个很棒的人。我想制作一个有关您的视频，具体来说，您的年龄以及您的家庭环境。我看到您的视频非常高兴。上帝祝福你
26334,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy934mjjkDQpw,1,3 years ago,"i'm so proud of you.
god bless you.๐๐’ช","我很为你骄傲。
上帝保佑你"
25875,Ugzm3lJHyu_hQOnFDFh4AaABAg,1,3 years ago,"just beautiful , no words , you are amazing , love everything you do , hope god bless you and less you're grandma as well",只是美丽，没话说，你很棒
26184,UgwS8pssw4Ew0eX8NJZ4AaABAg,1,3 years ago,"god, i really want to eat that spicy beef jerky",天啊好想吃那个麻辣牛肉干
27991,UgxyI71zyWk8KMeCNgR4AaABAg,1,3 years ago,god willing ๐๐,上帝愿意
23010,UgyWse2LZF-gabsjVzR4AaABAg,1,3 years ago,40 million views...... god,4000万次观看...上帝
28173,UgxBvYQps39KP7Zm3554AaABAg,1,3 years ago,none of the disney princesses can make food. most of them just enjoy the fantasy from the power and beauty that god give them.,迪士尼公主都没有做饭。他们中的大多数人都享受上帝赋予他们的力量和美丽的幻想。
33970,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49CqAt16ibvE,1,2 years ago,"and it will be again how the true god intended it to be..
isaiah 65:21-25
jw.org","这将再次是真正的上帝的意图。
以赛亚书65：21-25
jw.org"
19578,UgxtxxRG1Jx3Ma-fImN4AaABAg,1,3 years ago (edited),hope you and your grandma are safe from sickness god bless you,希望你和你的祖母免受疾病的侵害，上帝保佑你喂你
30350,Ugy9GgGuXsNZZ5y4gBN4AaABAg,1,3 years ago,i am very relaxed to see your videos is truly beautiful to see that patience with which you do everything you live for that and that way in which you live is a gift from god for your beautiful gift you are very fortunate and those who live with you also if i wanted any desire in this life would be a day on your plot eating your delicious delicacies congratulations god bless you !!,看到您的视频真是太好了，看到您为此而忍受的耐心和生活的方式是上帝的礼物，因为您的美丽礼物，您非常幸运，与您同住的人另外，如果我想要今生的任何欲望，那将是您情节上的一天吃您美味的美味佳肴，祝福上帝保佑您！
19667,UgytgcYQVASKtlEsgyx4AaABAg,1,3 years ago,"

good news for every muslim and muslim

by the grace of god alone, a book was published

the abbreviation of islamic jurisprudence
eighteenth edition

this book contains

on more than thirty thousand legal rulings in
monotheism and faith

virtues and literature


family provisions




the book is easy to browse, easy to download, and easy to send



http://hatha-alisam.com/books/list/80

• ❁❁ •• ❁❁ •

abbreviation of islamic jurisprudence in chinese 

link

https://hatha-alisam.com/books/list/65

• ❁❁ •• ❁❁ •

this is the location of this islam

http://hatha-alislam.com/

","

每个穆斯林和穆斯林的好消息

仅靠上帝的恩典，一本书出版了

伊斯兰法学的缩写
第十八版

这本书包含

在超过三万的法律裁决中
一神教和信仰

美德和文学


家庭规定




这本书易于浏览，易于下载且易于发送



http://hatha-alisam.com/books/list/80

•❁❁••❁❁•

中国伊斯兰法学的缩写

关联

https://hatha-alisam.com/books/list/65

•❁❁••❁❁•

这是这个伊斯兰教的位置

http://hatha-alislam.com/

"
19923,UgwkPdsaw3yf_Fuvbtp4AaABAg,1,3 years ago,calm relaxes. thanks god,冷静放松。感谢上帝
20004,UgzoTlQBebUfr7WuRd54AaABAg,1,3 years ago,"wow, god bless you! it all looks so amazing... like a fairy tale. you are just amazingly organized.",哇，上帝保佑你！一切看起来都很惊人……就像一个童话故事。您只是有组织的。
20118,Ugxy3pSHtyMA25o5Kep4AaABAg,1,3 years ago,i dont know u but i really love u god bless u,我不认识你，但我真的爱你上帝保佑你
20140,UgzuRQE2_Fg0qrEOsSt4AaABAg,1,3 years ago,god bless her and salvation ๐‘๐นโคโคโคโค,上帝保佑她和救赎
33841,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49-g4e_vTnZd,1,3 years ago,kathaleen wood because it is . but we can never live like that for ever with out gods intervention. she does it because she lives in a very beautiful and peaceful place but no one guarantees that any place could stay that peaceful for ever only god is going to make that possible . he will give her and everyone of us a life with a future a forever future .,凯瑟琳·伍德是因为是。但是，我们永远无法像神的干预那样生活。她之所以这样做，是因为她住在一个非常美丽和宁静的地方，但没有人保证任何地方都能保持和平，只有上帝才能实现这一目标。他将为她和我们每个人的生活带来永远的未来。
20288,UgyZUf1mHQHIdCvWhQh4AaABAg,1,3 years ago,"a special peace only for the peoples of arabic, may god release your concern, god willing",仅对阿拉伯语人民的特殊和平，愿上帝释放您的关心，上帝愿意
20651,UgxqdodhqMwYEwRfHSB4AaABAg,1,3 years ago,"god is sweet, is it a place ๐๐",上帝是甜蜜的，它是一个地方
22314,UgwvJ6WKfN-jp7PE8Hh4AaABAg,1,3 years ago,"angel of cooking, god",烹饪的天使，上帝
28996,UgyPy2g5SC-0PBqB0CN4AaABAg,1,3 years ago,your a hard working person somhow you make it look easy and funny however its not god bless you and your familly .. fitghing ๐’ช๐’,您是一个勤奋的人。
20712,UgwGMpomd9RAMMgCtHF4AaABAg,1,3 years ago,"o allah, bless my beloved muhammad, the messenger of god, may god bless him and grant him peace",阿拉，祝福我心爱的上帝的使者穆罕默德，愿上帝保佑他并赐予他和平
38822,Ugx8jzEhjlKR7cEytdd4AaABAg,1,4 years ago,"god willing, a second world is creative, so everything",上帝愿意，第二世界是有创造力的，所以一切
21255,UgzZkBdhr2ikryMfnHF4AaABAg,1,3 years ago,gods of gods,神的神
21284,Ugy3XCUgVit2hL0_J394AaABAg,1,3 years ago,"i really don't know what to say.

i saw almost all your movies.
when you work with a knife or a dangerous tool you always worry about hurting your hand, or when i see you doing hard work i tell myself i wish i was there and doing the hard work for you.

you are very diligent and hard working and i think you are very kind just like your grandmother.

may god bless you all the best.๐โค๐ท","我真的不知道该说些什么。

我看了几乎所有的电影。
当您使用刀子或危险工具工作时，您总是担心会伤害您的手，或者当我看到您做辛勤工作时，我告诉自己我希望我在那里并为您做艰苦的工作。

您非常勤奋和努力工作，我认为您就像您的祖母一样善良。

愿上帝保佑你们一切顺利。"
28749,UgzpR9HUiq5B_SvhvpB4AaABAg,1,3 years ago,youtube goddess ๐‘ from ๐ฎ๐ณ,YouTube女神
21971,Ugwe_HbK5hPImP4NxXJ4AaABAg,1,3 years ago,"god bless you, by god, you and your business is a masterpiece",上帝保佑你，上帝，你和你的生意是杰作
28494,UgxWLWcHf_dnAm-pPwx4AaABAg,1,3 years ago,you are god!,您是神啊！
22258,UgzUicv-XU2E1A1NC_94AaABAg,1,3 years ago,surusuruppa avvalo velai. seyiringa excellent. ziqi madam god pls. u,Surusuruppa Avvalo Velai。 Seyiringa很棒。 Ziqi夫人上帝的顾客。你
21160,UgzzB-bIrHD5NLTIJBt4AaABAg,1,3 years ago,these videos of yours are so satisfying....i watch all your cooking skills...the freshness and the beauty of nature....i was suffering from sleep disorders but now i watch these videos and sleep peacefully....god knows why they make me feel so relaxed.....,您的这些视频是如此令人满意。...我看着您所有的烹饪技巧...自然的新鲜感和美丽。...我患有睡眠障碍，但现在我看了这些视频并安静地睡觉。上帝知道为什么他们让我感到如此放松.....
32144,Ugxn11JOJwq48DaCw4Z4AaABAg,1,4 years ago,my god .... where is this place that stops a paradise ... where everything is taken from nature. curious that she does all this and the clothes get clean ...... kkkk,我的上帝....这个地方在哪里停止天堂...一切都从大自然中夺走了。好奇她做所有这一切，衣服变得干净……KKKK
42436,Ugxdltxx1vBHSk830at4AaABAg,1,4 years ago,"by god, these princes.",上帝，这些王子。
12538,Ugx8KpD9tDhybBSkfGR4AaABAg,1,2 years ago,may god bless you,愿上帝保佑你
12772,UgxZlFI1kz0Jo3t52qV4AaABAg,1,2 years ago,"and god is sweet, my life",上帝是甜蜜的，我的生活
12786,UgypNtRsq6C9jk7KxrZ4AaABAg,1,2 years ago,"peace be upon you and the mercy of god ... what is the most beautiful nature and pure air, and natural food responds to the soul, god willing.",愿你和上帝的怜悯降临……最美丽的天性和纯净的空气是什么，天然食物对灵魂，上帝愿意反应。
3963,UgwxXqJprNv-ONrCh4V4AaABAg,1,1 year ago,what is the hope of whether glory be to god,荣耀是否归于上帝有什么希望
3865,Ugzmli70pm8jtvR3zCV4AaABAg,1,1 year ago,god is the best sons,上帝是最好的儿子
12988,Ugy9aW1zGAu_iHNzc4V4AaABAg,1,2 years ago,"how i came to stop here my god
?????????????","我怎么来这里我的上帝
???????????????????"
3766,Ugwv4BkjVpY0_e_M7fF4AaABAg,1,1 year ago,god is sweet,上帝是甜蜜的
10060,UgwmZmNAR70z3d_JwsV4AaABAg,1,2 years ago,"the most beautiful thing is nature. i wished that i live there, and i would be the best comfortable person in the world. praise be to god",最美丽的事物是自然。我希望自己住在那儿，我会成为世界上最好的舒适人。赞美上帝
12999,UgxHAS06YVlrzMs827x4AaABAg,1,2 years ago (edited),you are an inspiration for me as well as influencer......how u manage everything yourself.. my god... ☺,你是我和有影响力的人的灵感……你如何自己管理一切..我的上帝...☺
3703,UgxFdiyR9p45iUTecIh4AaABAg,1,1 year ago,"oh my god , she's so beautiful",哦，天哪，她是如此美丽
13042,UgymAslXdeuf7pbFJ_J4AaABAg,1,2 years ago,"glory be to god, and praise be to god, glory be to god, glory be to god, praise be to god, there is no god but god, and god is great, and there is no power and no power except with god almighty",荣耀归于上帝，并赞美上帝，荣耀归于上帝，荣耀归于上帝，赞美上帝，除了上帝，而是上帝，上帝是伟大的，除了拥有的上帝，没有力量，没有力量
6234,Ugz-D-FUoe0-OqtH4KJ4AaABAg,1,2 years ago,oh my god she has everything,哦，天哪，她有一切
43859,UgxKiLZ7LEGFveQJh9N4AaABAg.8rI0OL3uPee8rKaQBTznQ3,1,4 years ago,@zhangmr5050 god turn,@zhangmr5050上帝转向
3695,Ugxf3pYdLmTrWUSze-B4AaABAg,1,1 year ago,"wonderful, god willing",美好，上帝愿意
10043,UgwSqC1B7HPaIG9eA6h4AaABAg,1,2 years ago,"god bless the most gracious, may god protect you โค๏ธ",上帝保佑最亲切的，愿上帝保护你❤️
9998,Ugzm9Jn9Ab-d8mcHI9B4AaABAg,1,2 years ago,glory be to god the best of the creators,荣耀是创造者最好的上帝
46615,UgxMQVn7rPKaIWlwUrx4AaABAg,1,4 years ago,"oh my god. another great video. i loved to watch. it seems that you can so everything so perfect. crafting furniture, crafting cloth and great cooking. i could eat you up honey",我的天啊。另一个很棒的视频。我喜欢看。看来您可以如此完美的一切。制作家具，制作布和精美的烹饪。我可以吃你的蜂蜜。请征服
10241,UgyrDxhpZSr-5OWwPaV4AaABAg,1,2 years ago (edited),i am from trinidad and you're a great blessing give praise and thanks to god amen,我来自特立尼达（Trinidad
3366,UgzluKw59cb2IKEJmqx4AaABAg,1,1 year ago,"you see a liar in the truth, god knows that it is a house for it and a car, and this place, but i imagine i am poor",你在事实上看到一个骗子，上帝知道这是一所房子和一辆汽车，但我想我很穷
48784,UgyZab-uCWt5rdkHShl4AaABAg,1,4 years ago,glory be to god and god bless you from algeria,荣耀归于上帝，上帝从阿尔及利亚祝福你
6250,UgwX-4uSHqzixxSZeA54AaABAg,1,2 years ago,"thank god this lady is not cooking snake, lizards weird items",谢天谢
6595,UgzTlQfqEGyINDBLCxF4AaABAg,1,2 years ago,the blessings of god to muhammad and his family,上帝对穆罕默德和他的家人的祝福
5556,Ugzva18NlQJNpv6EJpt4AaABAg,1,2 years ago,these people are rich with god's nature,这些人充满了上帝的本性
11306,Ugwl8ewvsq8P6TWHB4p4AaABAg,1,2 years ago,blessed in wives ... god grant the happiness of motherhood ...,妻子有福...上帝赋予孕产的幸福...
5495,Ugyd1rRiZUxdlsrggxF4AaABAg,1,2 years ago,"even her place seems like a blessing from god .every tree ,crops are having abundance of fruits ,flowers .",甚至她的地方似乎都是上帝的祝福。每棵树，农作物都有丰富的水果，花朵。
11298,UgyhyA3j2td6TrRDv3N4AaABAg,1,2 years ago (edited),"am ur big fan....amaizing videos are publish in ur channel
.....๐๐๐and can u plz introduce the ingredient in english subtitles........ bcz i didn't understood ur language...... so waiting.......๐โบ๐.am a malayali....... from kerala... god's on country๐ฎ๐ณ","我的大粉丝.... amaizing视频已在ur频道发布
....."
45058,UgxPcdbTHsFCZSafXAl4AaABAg.8r8BHPJ-nZi8rGLxj6koC8,1,4 years ago,"@raziko9712
eh, by god, your words are frank","@raziko9712
嗯，上帝，你的话是坦率的"
5086,UgzpLl3VXU1O_03Q-d54AaABAg,1,1 year ago,"jesus is lord and kings of kings 

jesus loves you he die for you and arose to give you life. and still loves you even though you reject him. you beautiful, smart and important human being 

jesus loves you and forgives you for your past choices and mistakes accept him as your lord and savior before its to late start a relationship with him read your holy bible, talk to him every day and pray, he is waiting on you with arms stretch wide open waiting for you he would not force himself on you his a gentleman, kind,loving and patience. put your trust in jesus because he is the only one that will never fail you, worship him day and night , be thankful every day despite of

gospel songs
nobody - casting crowns 
michael w smith- love in his right hand 
communion- tribl
i thank god - tribl 
voice of god - dante bowe 
champion - tribl 

there is much more but accept jesus he loves you and he knows what's best for you, trust his timing, his ways and thoughts are higher than ours","耶稣是国王的主和国王

耶稣爱你，他为你而死，并为你献出生命。即使你拒绝他，仍然爱你。你美丽，聪明和重要的人

耶稣爱你，宽恕你过去的选择和错误接受他作为你的主和救主，然后才开始与他的恋爱关系阅读你的圣经，每天与他交谈并祈祷，他正在用手臂伸展宽阔的你公开等待你，他不会强迫你自己的绅士，善良，充满爱心和耐心。相信耶稣，因为他是唯一一个永远不会失败的人，白天和黑夜崇拜他，每天都要感恩

福音歌曲
没有人 - 铸造冠
迈克尔·史密斯 - 右手
圣餐
我感谢上帝 - Tribl
上帝的声音-Dante Bowe
冠军 - Tribl

还有更多，但接受他爱你的耶稣，他知道什么对你最好，相信他的时机，他的方式和思想比我们的人高。"
50674,Ugyx8GL1FLWqTe1h6g54AaABAg,1,4 years ago,this sweet lil lady is incredible so full of life and energy allways busy and from what i see on time she's truly a delight and a pleasure to watch again i say one of gods lil angels hard at work........,这位可爱的小女士令人难以置信的充满生命和活力，而且从我按时看到的东西来看，她真的很高兴，很高兴再次观看，我说的是一位众神lil天使在工作中努力工作.......
4660,Ugzi272HlbmNrKjW_6l4AaABAg,1,1 year ago,ooohh god. such a beautiful piece ❣️❣️ please tell me which place is this??,哦，上帝。如此美丽的作品❣️❣️请告诉我这是哪个地方？
12370,UgzcMDS8eYlEf0-QRhJ4AaABAg,1,2 years ago,she's so gracious! may god bless her and her granny,她是如此客气！愿上帝保佑她和她的奶奶
4530,Ugw5EtCBatSoGk6QLI94AaABAg,1,1 year ago,"if god rolls me, i will be relieved",如果上帝卷起我，我会放心
7173,UgxsaT32Y3UaiJ0X1o14AaABAg,1,2 years ago,may god keep you,愿上帝保留你
10896,UgwCZ__heCzpr2hzRHJ4AaABAg,1,2 years ago,everyday must be iwatch your channel morning and night good djob god bless you you and your family love you from morocco ๐๐๐,每天都必须是您的频道早晨和晚上，好djob上帝保佑您和您的家人从摩洛哥爱您。
10774,UgwsHrGCwJ6ezckwyGF4AaABAg,1,2 years ago,"the paradise of god in his land and the daughter of god, may god bless her and his activity and operation",上帝在他的土地和上帝的女儿中的天堂，愿上帝保佑她以及他的活动和行动
3390,Ugy4upBeU5I8ZuWIGt14AaABAg,1,1 year ago,glory be to god,荣耀归于上帝
13105,UgyHnVn_OZZRcVA2II54AaABAg,1,2 years ago,i want to live like that god,我想像那个神一样生活
52078,Ugz40hmZjKn5S7XSh6F4AaABAg.8qlPPBK_nqb8qlh2fccxvb,1,4 years ago,"@user-zg4qs2lk9m yes, by god, god is powerful, and there is no power except with god almighty.",@user-zg4qs2lk9m是的，上帝，上帝是强大的，除了全能的上帝之外，没有权力。
51780,UgwcbjBSIcrxac0FQwh4AaABAg.8qlSByVRnOS8qlZZytnfwG,1,4 years ago,"by god, it is true. the girl is creative with the word",上帝，这是真的。女孩具有创造力
2687,UgwRRZIzdugiUXNN2pN4AaABAg,1,1 year ago,"you are the most talented that i have met, apart from beautiful you are very intelligent and hardworking, god always takes care of you, you are a love.",您是我遇到的最有才华的人，除了美丽，您非常聪明和勤奋，上帝总是照顾您，您是爱。
42876,Ugysu1uBy1uCVFd_ZXl4AaABAg,1,4 years ago,god bless excellent presentation,上帝保佑出色的演讲
2721,UgzHCOlPZby79-UbhYN4AaABAg,1,1 year ago,"we are from india,
god bless you","我们来自印度
上帝祝福你"
52076,Ugz40hmZjKn5S7XSh6F4AaABAg.8qlPPBK_nqb8qlgBrkGlIM,1,4 years ago,"@user-zg4qs2lk9m thank you, dear brother, i loved you in god ❤❤❤❤",@user-zg4qs2lk9m谢谢你，亲爱的兄弟，我爱你在上帝里面❤❤❤❤
2882,UgxzC73oZMONYC1Ect54AaABAg,1,1 year ago,i love the cryptologic nature of the chinese personnel. they can keep private secrets to their heart. the nigerians i knew are all deceased or islamic. the christians appear to be stuck in between survival and death. dear goddess help them. i am not the phantom.,我喜欢中国人员的隐秘性。他们可以保留私人秘密。我认识的尼日利亚人都是去世的或伊斯兰的。基督徒似乎被困在生存与死亡之间。亲爱的女神帮助他们。我不是幻影。
51627,Ugzpce_EimPIiOwwzaR4AaABAg,1,4 years ago,i have no words to say what can i say hmmm... you are super strong women i wish u all the success may god bless you more an ur loving grandmother an those chocolates so fantastic... good luck stay blessed,我无话可说我能说些什么...你是超强的女人，我希望你一切成功愿上帝保佑你，你是一个爱你的祖母，那些巧克力如此出色...祝你好运...祝你好运。
2239,Ugw6o1skMO_tPCv1Kj14AaABAg,1,1 year ago,"honestly, by sharing this video you have made the world seem beautiful again by portraying the majesty of god's creation throughout your day ♥️",老实说，通过分享这段视频，您通过描绘了整天的上帝创造的威严，使世界再次变得美丽♥️
52188,UgyB9BTj25FAGDTHKZ94AaABAg.8qlO_53wm378qmbcyVcEPp,1,4 years ago,@gigilamaara81 this is an honor for lina praise be to god,@gigilamaara81这是莉娜（Lina）赞美为上帝的荣誉
8587,UgxUzl-tvOe5yWB05bt4AaABAg,1,2 years ago,omg god bless you you can do many things,天哪，上帝保佑你你可以做很多事情
3259,UgzS8pZY2WAAuhEB3l14AaABAg,1,1 year ago,"cici ziqi .... i hope you are always healthy and god always blessed you with happiness. i swear to miss your content that calms the heart, makes the spirit to learn to cook and love nature. love u always",Cici Ziqi ....我希望您永远健康，上帝总是以幸福祝福您。我发誓要想念您的内容，使您的心脏平静，使精神学会做饭和爱自然。爱你总是
52071,Ugz40hmZjKn5S7XSh6F4AaABAg.8qlPPBK_nqb8ql_dOXDzEw,1,4 years ago,@user-zg4qs2lk9m god is not the only arab here from any country you are my dear brother,@user-zg4qs2lk9m上帝并不是来自任何国家的唯一阿拉伯人，你是我亲爱的兄弟
965,UgxJIZQuME0CqcXbWDN4AaABAg,1,7 months ago,"glory be to god, the badi ... how will heaven be !!! oh lord, grant us paradise",荣耀归于上帝，巴迪...天堂将如何！！！哦，主，给我们天堂
