,cid,votes,time,含best,含best中文翻译
19828,UgyTQdr4ht2C6TjRvft4AaABAg.95I2cr0D_Rv96E1ZXKbSCI,11,3 years ago,"@egoegoegosum https://raknife.com/li-zi-qi/ this article has all the information about her, this is not staged: she started out doing everything alone before she became more famous, earned a bit more money and could therefore hire an assistant and a cameraman. this is the life that she's been living since she was small, and many years of doing such hard labour as this on a daily basis tends to make one stronger. you get used to having to pick up a couple of kilos of fruit if you have to do it every time there's a harvest, and out in the countryside, you've got no choice but to do these kinds of things on your own. there's a ton of footage you have to take of many many different camera angles and when editing, almost half of these are discarded because you're supposed to pick the best angles to give you the feeling in the video that you want to. editing is a form of magic in its own way, just ask anyone who's working in editing",@egoegoegosum https://raknife.com/li-zi-qi/本文拥有有关她的所有信息，这不是上演的：她在她变得更加出名之前就开始独自做所有事情，赚了更多的钱，因此可以雇用助手和摄影师。这是她从小就一直过着的生活，而且每天都在做这类艰苦的工作很多年，往往会使一个人变得更强大。如果您必须每次收获时，就必须习惯于捡起几公斤水果，而在乡村，您别无选择，只能自己做这类事情。您必须了解许多许多不同的摄像头角度，并且在编辑时，几乎其中一半被丢弃，因为您应该选择最佳角度，以使您的视频中的感觉。编辑是一种魔术的形式，只需询问任何正在编辑的人
17191,UgycGdB8SkzL05KPC1Z4AaABAg.9868JbZiHHT98at1vob3fe,11,3 years ago,"nah, they would have the best lucnch in the whole country",不，他们将拥有整个国家最好的
28199,UgzIyFVg_fDALnYMxLJ4AaABAg,10,3 years ago,love this girl and the love for her grandmother i wish them the best,爱这个女孩和对她祖母的爱，我希望他们最好
2143,UgwmarFoGSocNzv3ZOB4AaABAg,10,1 year ago,"her clips are total art,propobly one of the best you can get,and how she delivers,just miracle",她的剪辑是全部艺术品，可以提出您能获得的最好的剪辑，以及她如何提供的方式，只是奇迹
30902,UgywzaYNYoUcV0L0NVF4AaABAg,10,3 years ago,best type of sweet and positive video to watch before bed. i don't think about stressful things and i'm able to have a peaceful sleep.,睡觉前观看的最佳甜美和正面视频类型。我不考虑压力很大的事情，我能够和平的睡眠。
26251,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8ztPVLdRKQ8,9,3 years ago,all the best ๐,最好的
16334,UgwR8QOhpPaILtiUyDd4AaABAg,9,3 years ago (edited),"i cannot believe that this video got 24 lakh dislikes this video should deserve more than 24 lakh likes. today humanity doesn't exists. haters who disliked first make this type of videos, she is the best't feel bad, these haters are like that we all support you",我不敢相信这段视频不喜欢这个视频应该得到超过240万的喜欢。今天人类不存在。不喜欢首先制作此类视频的仇恨者，她是最好的
24917,Ugx_Ei3Cp87O25pQWt14AaABAg,9,3 years ago,"this is the best channel in the world at the moment!
does anyone think like me?
i am a face's mother, i'm from vietnam ...

lร  mรชt k lnh hay nhแบฅt thแบฟ giแปi tแบกi thแปiฤ‘iแปm nร y!
cรณ ai nghแป‘ giing nhฦฐ tรดi khรดng?
tรดi lร  mฦฐแปt ng li mฤ‘แบฟ nรดng dรขn, tรดi ฤ‘แบฟn tแปซ viแปt nam

this is the best channel in the world!
does anyone like me?
i am the mother of farmers, i am from vietnam ...","This is the best channel in the world at the moment!
Does anyone think like me?
I am a farmer's mother, I'm from Vietnam...

Đây là một kênh hay nhất thế giới tại thời điểm này!
Có ai nghĩ giống như tôi không?
Tôi là một người mẹ nông dân, tôi đến từ Việt Nam

这是目前世界上最好的频道！
有人会喜欢我吗？
我是农民的母亲，我来自越南..."
44978,UgxF6fHp5nG5Nh5CLnp4AaABAg.8r9-keU1qqd8rDbh8enZ6_,8,4 years ago,"thanks, i wanted to precise, we have to give frenchies they do the best cheeses, breads and pâtisserie. and none are really healthy in the end.
regarding plastic... i dont know where you ate that.. but it doesnt looks like in this vid for example, neither down my street.","谢谢，我想确切地说，我们必须给法国人做他们最好的奶酪，面包和帕特里。最终没有人真正健康。
关于塑料...我不知道你在哪里吃的..但是在这个vid中看起来不像我的街道。"
28788,UgyJ_a7KgIDbGgiluaR4AaABAg.8yHVeO_oZ6D8yby3dHyy_L,8,3 years ago,"the best part is knowing baby lambs follow like that when you raise them, and bottle feed them. she is the mama for that lamb! so sweet!",最好的部分是知道婴儿羔羊在您饲养时会像这样，然后瓶装它们。她是那个羔羊的妈妈！如此甜蜜！
26199,UgwQLEsxpxuI12T_0-R4AaABAg,8,3 years ago (edited),"okay, this is the best naturally artistic asmr, that i accidentally found. โค๐ i'm in loooooove",好的，这是我不小心发现的最好的自然艺术ASMR。 ❤
3180,UgzXmeQ8i554i1o0WLV4AaABAg.9UW7fZgS7dQ9Wk1Ic0Fd2G,8,1 year ago,"lee, do your best",李，尽力而为
27243,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-42miArLcP,8,3 years ago,"this is from an media interview of her. i read the original interview transcript. unless we think that what she said during the interview was fake, she did deserve a better life and all the respect. i chose to believe her because i have done some of the things shown in her videos while i was young. i could tell that the way she did those jobs is natural and experienced, definitely not fake posing for filming. best wish to this talented, independent and beautiful girl",这是来自她的媒体采访。我读了原始的面试成绩单。除非我们认为她在采访中所说的是假的，否则她确实应该得到更好的生活和所有的尊重。我之所以相信她，是因为我年轻的时候做了她视频中显示的一些事情。我可以说她做这些工作是自然而有经验的方式，绝对不是假装拍摄的假装。祝这个才华横溢，独立和美丽的女孩
45751,UgyWa7oZYQY9RFe3Tdl4AaABAg,8,4 years ago,this has come across a dangerous channel again. the best.,这再次遇到了一个危险的渠道。最好的。
3931,UgwotmtFc10S3wLypwl4AaABAg,7,1 year ago (edited),"2021年9月20日 this is more of a real life recording than staging. incredible genius and artist 

of course now ziqi can afford any kind of “staging “ . but she does not need it. 

her cost of making each video is almost neglect-able relative to the money she is getting out of it. 

talking about the art of making money? ziqi is indeed a genius of making both us dollars as well as rmb. she did not intend it though. to her, it has been a big surprise i guess. 

ziqi deserves everything. she earned it all. 

leave her alone!!!! i mean everyone!!! let her just create more videos. that’s the best way for her to serve this world, serve humanity. 

government involvement of any kind will only destroy this beauty. 

the beauty of the digital world. 

a real person in life. a loving granddaughter. a real “people’s artist “and, an amazingly hard worker","2021年9月20日这更像是现实生活中的记录，而不是舞台。令人难以置信的天才和艺术家

当然，现在Ziqi可以负担任何类型的“分期”。但是她不需要。

相对于她从中赚钱的钱，制作每个视频的成本几乎是可忽略的。

谈论赚钱的艺术？ Ziqi确实是赚钱和rmb的天才。她不打算。对她来说，我猜这真是一个很大的惊喜。

Ziqi应该得到一切。她赢得了全部。

放过她！！！！我的意思是每个人！！！让她创建更多视频。这是她为这个世界服务，为人类服务的最好方法。

政府参与任何形式只会破坏这种美丽。

数字世界的美丽。

生活中的真实人。一个充满爱心的孙女。一个真正的“人民艺术家”，一个非常勤奋的人"
12648,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9DNL6KHMdNf,7,2 years ago,"@aqk-ry5zn the hate directed towards china and chinese people is largely a product of concerted propaganda from western media outlets. if you have a problem with china's territorial claims, then you should hate the americans even more. i mean all of america is literally built on stolen land. the best anti-china argument that people have is that china oppresses its citizens, but how many millions of people have americans killed in vietnam, korea, iraq, afghanistan combined?",@aqk-ry5zn仇恨针对中国和中国人民主要是西方媒体渠道的一致宣传的产物。如果您对中国的领土主张有疑问，那么您应该更讨厌美国人。我的意思是，整个美国都是基于被盗的土地。最好的反中国论点是，中国压迫其公民，但是在越南，韩国，伊拉克，阿富汗杀害的美国人有多少人被杀？
5990,UgwaHxVOpbHHFTTst654AaABAg,6,2 years ago,"welcome to hottest dating zone
—p-ro —v —t -e — —— —s-e — 
erotic full _trending top this year
here ➡️ https://hotslut.live/mymature551xxx

#best_trending 2021
#! the live distribution on this day was quite ridiculous! more than 10,000 people were watching (laughs). it was thrilling that i forgot to cut the camera and made one.
#
# 說 food, unnecessary, so it's a trivial refusal. contrary, other 們 們 們 們 會 會 會 會 忽 忽 忽 忽 忽 忽 忽 忽 忽 忽 忽 忽 忽other 們 們 們 會 會 會 會 會 會 會 會 會 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 蔬 燉 蔬 燉 蔬 燉 （蔬 蔬 蔬 蔬 （蔬 （（（ changed food boiled weather#$^","欢迎来到最热门的约会区
—p-ro-v-t -e - - - - s-e - 
情色全_今年的triver top
这里➡️https://hotslut.live/mymature551xxx

#BEST_TREEND 2021
＃！这一天的现场演出非常荒谬！有10,000多人在看（笑）。我忘了切开相机并制作一台相机真是令人兴奋。
＃
＃说食物，不必要，所以这是一个微不足道的拒绝。相反，其他们们们会会忽忽忽忽忽忽忽忽忽忽忽其他们们会会会会会会炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖蔬蔬蔬蔬（改变食物沸腾的天气＃$^"
18965,UgwTjTrdh-FefoZFfqd4AaABAg,6,3 years ago,"if she needs a husband i'm first in line, how i would cherish this amazingly beautiful woman, best videos on youtube",如果她需要一个丈夫，我是第一个排队的人，我将如何珍惜这个非常美丽的女人，YouTube上最好的视频
50389,UgxrNcvK42-1cPtmHa54AaABAg,6,4 years ago,you are just too awesome at work and your recipes are one of the best.,您的工作太棒了，食谱是最好的食谱之一。
18157,UgyyaE8_ewXPXjqemJt4AaABAg,6,3 years ago,"liziqi, is the best of the best.... knowledge of so many kind of traditional chinese cuisine,.... jz wish her always living happily...",利兹奇（Liziqi），是最好的。。。。。。。。。。。。。。。。。
28464,UgzL4VDpXU0g175_Yj54AaABAg,6,3 years ago,you are such amazing human being ever ....we really love to watch ur video before sleeping ...and yes like other people said...your video brings a good mood and peaceful feeling ...also encourage many people especially woman to keep learning to be their best version ...i wish u always stay healthy and always happy...love from us indonesia,你真是太棒了。继续学习成为他们最好的版本...我希望你永远保持健康和快乐...爱印度尼西亚的爱
32350,UgzJjoNh95w-gpe6dch4AaABAg.8vuWgu4W6ZM8w3oO6RANOS,6,4 years ago,best i could do with her is do the heavy work and use my height since iโ€m a guy,我能和她一起做的最好的就是做重大的工作并使用我的身高，因为我是一个男人
26260,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zwLRG9_aeT,6,3 years ago,that's great! wishing you the best.,那太棒了！祝你一切顺利。
52984,UgzVUw4UnqLW7N-jjil4AaABAg.8qlJT4zF0708qlOC0G-ANW,6,4 years ago (edited),"traveling and living is two different things. rural life is not a paradise. the author just edits the best side to everyone. behind it is invisible hardships. for example, with a series of oranges and a basket of grapefruit, this is not that we can bear it all day long in the air -conditioned room.",旅游和居住是两回事，农村生活并不是世外桃源，作者只是把最好的一面剪辑给大家而已，背后是看不到的辛苦。就拿有一段挑着一筐橘子一筐柚子来说，这就不是整天呆在空调房的我们能受得了的。
33819,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48yTYnQj1TXo,6,3 years ago,"@cessdejesus620 - hi, i'm sorry that it made you cry. i have seen all of her videos since, but this particular video made me miss my childhood. you see my family lived in l.a., california and at 11 we moved up to washington state. we moved around a few times until we found the community that suited us and we became strawberry farmers. we had 1 milk cow and a handful of chickens, but the acres upon acres of strawberries made us farmers. lol. i was a pre-teen and i wanted money to have nicer things, so my parents gave me an acre to tend and all benefits were mine.
the hard work and solitary times allowed me to grow up intellectually. i miss those days because everything i did yielded the effort i put into it and i had physical proof of my efforts. that is to say the first year yeilded poor results because i only wanted to be a teenager, yet the second year produced beautiful premium strawberries because i didn't want the worth of my efforts to be so unsavory. i learned and did a lot of different farming activities as we expanded to a year around farm, but having the best strawberries at 13 made the life style a landmark in my maturity and gave me my best ""self"" at the age of 13.
i am reaching my elderly years now and i have lived my life in many different places, but i am once again in washington state and deep down, i know that this is how life is actually suppose to be. we yeild from life what we put into life.","@cessdejesus620-嗨，很抱歉它使您哭泣。从那以后，我看到了她所有的视频，但是这个特殊的视频使我想念我的童年。您会看到我的家人住在加利福尼亚州洛杉矶，我们搬到了华盛顿州。我们大约几次，直到找到适合我们的社区，并成为草莓农民。我们有1只奶牛和少量鸡，但是英亩的草莓上的英亩使我们成为了农民。哈哈。我是青春期前的，我希望钱能拥有更好的东西，所以我的父母给了我一英亩的趋势，所有的好处都是我的。
艰苦的工作和孤独的时期使我能够在智力上成长。我想念那些日子，因为我所做的一切都付出了我所做的努力，并且我有身体上的努力证明。也就是说，第一年的成绩不佳，因为我只想成为一个少年，但是第二年就生产出了美丽的优质草莓，因为我不希望自己的努力如此不愉快。当我们扩展到农场周围的一年时，我学习并做了许多不同的农业活动，但是在13岁时拥有最好的草莓使生活方式成为我的成熟度中的地标，并在13岁时给了我我最好的“自我”。
我现在已经到达了我的老年，我已经在许多不同的地方过着自己的生活，但是我再次在华盛顿州和深处，我知道这就是生活实际上应该是的。我们从生活中付出的一切。"
30357,UgzGIFwW66N5FjPrNSB4AaABAg,5,3 years ago,the way she covered her grandmother's ears was so cute. grandmother looked unfazed hahaha amazing. she's the best.,她遮住祖母的耳朵的方式是如此可爱。祖母看上去毫无疑问的哈哈哈令人惊叹。她是最好的。
