,cid,votes,time,含chinese,含chinese中文翻译
17966,Ugy9Dzd0HKEAe92QJqh4AaABAg,111,3 years ago,am i only one feel cooking a real chinese traditional food is complicated like alchemy. lol,我只有一个人觉得烹饪真正的中国传统食物像炼金术一样复杂。哈哈
11914,UgxOPdfkgxROJLP3RcJ4AaABAg,103,3 years ago,"in order to write the college entrance examination composition to watch my sister's video ... i really envy my sister's life like this. after reading it, i was so moved. i was very happy to see foreign netizens' messages! intersection thank you sister for the help of spreading chinese culture, and thank you for your dreams for so many people. this may be your dream ~ i'm happy for you. thanks a lot! intersection",为了写高考作文来看姐姐的视频……真的好羡慕姐姐这样的生活啊TAT看了之后好感动，看到外国网友的留言也很开心！！谢谢姐姐为传播中国文化助力，谢谢姐姐替那么多人活出了大家梦想中的样子。这也许是你的梦想吧~为你感到高兴。辛苦你了！！
12006,UgwDZ1mRHX4myouBujF4AaABAg.9744unMbb-s97a57nW7Avu,99,3 years ago,"better not, modern show doesn't suit this chinese style",更好的不是，现代表演不适合这种中国风格
19034,UgyhSJHbnccPmF2NewB4AaABAg,95,3 years ago,"as a chinese, i must tell you all that the river snail rice noodle is smelly(because the sour bamboo shoot is smelly) but taste really good.",作为中国人，我必须告诉你所有的蜗牛米面条臭（因为酸竹芽臭），但味道真的很好。
18752,UgwXLyqJiScjXUxRJYl4AaABAg,90,3 years ago,"i’m so proud that she comes from my hometown sichuan,chinese old saying: the beauties shall come from sichuan. she is the goddess in my heart.",我为她来自我的家乡四川而感到自豪，中国的老话：美女将来自四川。她是我心中的女神。
15548,UgyndjDkVe1nRUSIFul4AaABAg,87,3 years ago,it is just me or is it this beautiful chinese woman inspiring me to live a rural life?,只是我，还是这个美丽的中国女人激励我过上乡村生活？
32893,Ugz3FH_-93t-gEqVUdx4AaABAg,87,3 years ago (edited),"li ziyi ~ always gives people a total fresh and refined, traditional chinese women's beauty. the image that can be great !!
please continue to cheer !! do more and more high -quality and simple chinese style videos to educate more people ~ thank you for your efforts !!","李子柒~总是给人总清新脱俗，传统中国女性的美。能干了不起的形象!! 
请李小姐继续加油!! 做更多更多优质纯朴的中国风视频，来教育更多人~ 感谢有妳的付出!!"
4410,UgwQijjQivUk2JOaWwd4AaABAg,83,2 years ago (edited),"the natural scenery & traditional chinese music, relaxing.",自然风光和传统音乐，放松。
30711,UgyLzQxSX-Xr9lsYQYB4AaABAg,83,3 years ago,i love the chinese culture of living and i want to live in quiet places like this ☺️,我喜欢中国的生活文化，我想住在这样的安静的地方☺️
4766,Ugz-9AfuXVyzFJJ4yi54AaABAg,78,2 years ago,"me：i think there is no doubt that it's chinese food.
south koreans:","我：我认为毫无疑问是中国菜。
韩国人："
11553,UgwOKaIWeB3nIXK7cUJ4AaABAg.97SYDnx5UUw97v3ZT0OXyN,71,3 years ago,"riya guria after june, 2017, she hired the cameraman and a young assistant. before that, she was a one girl team and did exactly what you said to finish the shooting tasks. almost impossible while she made it with her incredible persistence. as for the proof, she showed all the raw materials on chinese webo, a chinese social media platform. one perfect scene may just come from tens of reshoots, especially when she did it alone at the time. and those early elaborate masterworks make her videos go viral.",Riya Guria在2017年6月之后，聘请了摄影师和年轻助手。在此之前，她是一个女团队，并按照您所说的完成射击任务。当她以她令人难以置信的毅力做到这一点时，几乎是不可能的。至于证明，她在中国社交媒体平台中国韦伯（Webo）上展示了所有原材料。一个完美的场景可能来自数十个重新拍摄，尤其是当她当时独自做的时候。那些早期精心制作的杰作使她的视频传播开来。
30221,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yk7WhXnfYj,60,3 years ago,"golden melon grandma was taking care of her when she was young. what she is doing is the gratitude for the love and care received from childhood. this is a part of chinese culture, and it's beautiful.",金瓜奶奶小时候照顾她。她正在做的是对从小就得到的爱与关怀的感谢。这是中国文化的一部分，它很美。
18377,UgwdzQh2Ul3-G5iLe_F4AaABAg,60,3 years ago,"it's really a beautiful life! not to mention foreigners, i am envious of my chinese people seeing ~ come on, zi yan",真真是意想中的美好生活!别说外国人了，我一个中国人都看的心生羡慕~ 加油，子柒
14894,UgxEWna8ZL1zTxibmY54AaABAg.93pAL1epb7l944XeqX0J9v,55,3 years ago,@w4ld0emers0n no....the chinese bacon was homemaded by her. just check her other episodes. traditional chinese bacon doesnt use preservative at all. just strong liquor and salt.....lots of salt...then smoke and sun dry.,@w4ld0emers0n否.....中国培根被她养活。只需检查她的其他情节即可。传统的中国培根根本不使用防腐剂。只是浓的酒和盐.....大量盐...然后烟气干燥。
16221,UgxeNCxUyj34BnW1k8x4AaABAg,46,3 years ago (edited),im glad she was able to make this video. luosifen is one of the most memorable chinese dish for me... tnt smelly yet delish,我很高兴她能够制作此视频。 Luosifen对我来说是最难忘的中国菜之一... Tnt Smelly却美味
4114,Ugye0kSYeLdQW_-j1_54AaABAg,45,2 years ago,"i love your videos! they are so peaceful and the epitome of what i want someday for my life. i always come back to this one and the year of the pig chinese new year! they are two of my favorites (though the newest new years video was amazing!). much love from florida, usa",我爱你的视频！他们是如此的和平，是我一生中想要的东西的缩影。我总是回到这个新年猪新年的那一年！它们是我的两个最爱（尽管最新的新年视频很棒！）。来自美国佛罗里达州的很多爱
17443,UgyxjCNw7PcHy00mFTh4AaABAg,45,3 years ago,now that is real chinese food not the fake stuff i just ordered.,现在，这是真正的中国食品，而不是我刚刚订购的假物品。
34079,UgzFgc3qAoLq8bC9utV4AaABAg,38,3 years ago,"the first chinese comment is me. ziyi, you are the tranquil corner in my heart. i hope you can go well, peace and joy.",第一条中文评论是我。子柒，你是我心中的那份恬静的角落。 希望你能事事顺心，平安喜乐。
18126,UgwFFHbGBnpCqZxUaYx4AaABAg,37,3 years ago,在 国外 的 孩子 看 水 ， ， ，哭辽！！ 吃 想 想 吃！ 超级 ！！ ！！ ！！ i miss chinese food i miss china very much.,在在的孩子，，，，，，，，我想念中国菜，我想念中国食品我非常想念中国。
26257,UgzA1Q8HkCOrZHYuKeF4AaABAg,33,3 years ago,wow chinese food is so great. will surely visit the middle kingdom on day. love from india!,哇，中国菜真棒。一定会在当天参观中间王国。来自印度的爱！
19941,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91Xmied6iFl,33,3 years ago,"hi w. w., i saw a clip posted by (very likely) american white males denouncing chinese enterprises that presented food products as clean and healthy but actually filthy and dangerous to health. when some viewers see miss li's clips, they may over-generalize / stereotype and guess miss li is faking everything. many dislikes are definitely from rival camps, many of which are in china.",嗨W。 w。，我看到（很可能）美国白人男性发布了一个剪辑，谴责中国企业，这些企业将食品表现为清洁，健康但实际上对健康的危险。当一些观众看到李小姐的剪辑时，他们可能会过分刻板 /刻板印象，并且猜猜李小姐正在伪造一切。许多不喜欢的人肯定来自竞争对手营地，其中许多是在中国。
3704,Ugw32GE2AijQGiO_GQl4AaABAg,30,2 years ago,"luosifen！! as a chinese living abroad, sometimes i want to eat a bowl of luosifen. i love the liziqi video.she advertised china to the world on video. thank her. look forward to her other videos.",luosifen！！作为一个居住在国外的中国人，有时我想吃一碗luosifen。我喜欢Liziqi视频。她在视频中向世界宣传了中国。谢谢她。期待她的其他视频。
12015,UgwDZ1mRHX4myouBujF4AaABAg.9744unMbb-s986q6hjVcZ9,29,3 years ago,"@mahie56 i don't think she is an actress, these scenes, is her real life and also the real life of most chinese people who live at rural area.",@mahie56我不认为她是女演员，这些场景是她的现实生活，也是大多数居住在农村地区的中国人的现实生活。
21903,Ugx6FWM-T9bAlv9WLVR4AaABAg,29,3 years ago,"i am from vietnam, i very like chinese culture",我来自越南，我非常喜欢中国文化
18599,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92WOHaUMQBH,29,3 years ago,"pedro c mao may be like the devil satan in the west, but people in china don't judge him that way. it feels ridiculous to say that mao will tear up chinese culture. i hope that if you have the chance, you can learn more about mao from the chinese population.",佩德罗·毛（Pedro C Mao）可能就像西方的魔鬼撒旦（Satan），但中国的人们不会那样判断他。说毛泽东会撕毁中国文化真是太荒谬了。我希望，如果您有机会，您可以从中国人口中了解更多有关毛泽东的信息。
29570,Ugwozk571R6pngLuXUp4AaABAg,26,3 years ago (edited),youtube was pushed and found that i watched a lot of videos in one breath. the shooting is so beautiful. thank you for spreading the traditional chinese culture.,YouTube推送发现的，一口气看了好多视频，拍的真美，谢谢你传播中华传统文化。
7174,UgyKvog_WwPdF2uOBkl4AaABAg,25,2 years ago,"wow. chinese have a great traditional food clothes house and life style.one day i hope i will able to visit this country as a tourist. 
from bangladesh ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ","哇。中国人有一个很棒的传统美食屋和生活方式。我希望我能够作为游客访问这个国家。
来自孟加拉国"
15376,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss93x2t2Mmqdw,22,3 years ago (edited),the thought has passed my mind that these films are chinese communist party financed & assisted. similar in concept to mao's cultural revolution.,我想到的是，这些电影是中国共产党资助和协助的。概念与毛泽东的文化大革命相似。
13416,UgyWW8OH0WIdH9YNC-J4AaABAg,22,3 years ago,"i'm in love with the chinese traditional music so soothing so relaxing.... thank you ,, love you guys from india",我爱上了中国的传统音乐，所以舒缓如此放松。....谢谢你，爱你们来自印度的你们
32943,UgwETcl2LrMnGTF93Pp4AaABAg,22,3 years ago,"jet li
jackie chan
liziqi
chinese people that i know","李连杰
杰基·陈
liziqi
我认识的中国人"
4469,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9KJ3ePVPvL1,19,2 years ago (edited),when has any korean person ever said that? aren’t chinese people the ones who say they own everything?,任何韩国人什么时候曾经说过？中国人不是说自己拥有一切的人吗？
31929,Ugz5SQzSVIB9U4-q1np4AaABAg.8yV2HUWJ-2e8yVRlrub8n6,19,3 years ago,one person carries the burden of chinese culture output,一个人扛起了中华文化输出的重担
28569,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8ztHAy0SMnF,18,3 years ago,"@franzpeters3824 what's wrong with you? she's a chinese, she doesn't need to know how to speak english properly",@franzpeters3824你怎么了？她是中国人，她不需要知道如何正确说英语
18391,UgxnP5R0-pAl19bP4_p4AaABAg,18,3 years ago,"if you marry a wife, you will be in li ziyi
qingya costume li ziyi
mind and clever li ziyi
chinese output li ziyi
huaxia culture li ziyi
there are many children li ziyi
境 境 心","娶妻就要李子柒
清雅古装李子柒
心灵手巧李子柒
中华输出李子柒
华夏文化李子柒
子女多才李子柒
柒来心境李子柒"
22403,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-lhOpwUxK4,17,3 years ago,"@cyouchin5381 nope, as a chinese actually we hold cellphone whole day and busy in city life, that's why we love this lady so much either...she really doing what we enjoyed. in the deep mind of chinese , everyone is a farmer. we want to plant something but we have no time/skill.",@cyouchin5381 nope，作为一个中国人实际上，我们整天都拿着手机，在城市生活中忙碌，这就是为什么我们如此爱这位女士……她真的在做我们喜欢的事情。在中国人的深处，每个人都是农民。我们想种植东西，但我们没有时间/技能。
26967,UgwITGMJzwNv1VoBUpV4AaABAg,17,3 years ago,i am chinese，i really love your videos.i hope that one day i can go home where my motherland.,我是中国人，我真的很喜欢你的视频。我希望有一天我能回家祖国。
18275,Ugz0HSm7t2DGvsE_jfR4AaABAg.92XiLDl10e_92hFkMrhjkU,16,3 years ago,so shocked that there is even more foreigners than chinese in the reviews,如此震惊，以至于外国人在评论中比中国人更多
21567,UgwQXJkyej7bOmoRFFJ4AaABAg,15,3 years ago,i'm an esl teacher and my chinese student brought me here. and she's right! you're good and your videos are oddly satisfying to watch.,我是ESL老师，我的中国学生把我带到这里。她是对的！您很好，您的视频很奇怪地观看。
15802,UgyH6wsy8QkgnHyvcrZ4AaABAg,15,3 years ago,my mom whatches her all the time she is also chinese,我妈妈一直都在她也是中国人
9157,Ugzles7utrIYwnyB4RN4AaABAg,15,2 years ago,"i now understand why sichuan (where liziqi lives) is also called ""heaven (ๅคฉๅบ tianfu)"" in chinese.",我现在明白了为什么四川（Liziqi居住的地方）也被称为“天堂（天府田富）”。
31487,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yW4Y3KgyUo,14,3 years ago,"she has 16 million chinese followers on weibo. although youtube is blocked in china, some who actively want to use it still bypass it through use of vpn. some of the views here are by chinese either through vpn or just because they are overseas, but i do think the vast majority are international fans. it happened about 9 months ago when the comment section under her videos changed from purely chinese to all sorts of languages. i think one of her vids went viral outside of china and then people flocked to her channel here on youtube to check her out. this channel is operated and maintained by one of her fans under her permission, but her base channel is on weibo.",她在微博上有1600万中国追随者。尽管YouTube在中国被阻塞，但有些积极希望使用它仍然通过使用VPN绕过它的人仍在绕过它。这里的某些观点是通过VPN通过中国人，或仅仅是因为它们在海外，但我确实认为绝大多数是国际粉丝。大约9个月前，她的视频下的评论部分从纯粹的中文变为各种语言。我认为她的一位视频在中国以外传播开来，然后人们在YouTube上涌向她的频道检查她。该频道在她的允许下由她的一位粉丝操作和维护，但她的基本频道在微博上。
30625,UgyQAUUTLKxFmVf_xUt4AaABAg,14,3 years ago,"because i want to be chinese, the japanese are just to make these foods


because i want to be a chinese, the japanese can make these foods","因为我想成为中国人，日本人就是为了制作这些食物


因为我想成为中国人，所以日本人能够制作这些食物"
2671,UgwgpdSgJwZnb7u5qU54AaABAg,13,1 year ago,"liziqi is a soothing content creator who wants to share traditional chinese culture. she does most of the work herself in her videos with some help from friends, relatives and neighbors, but she does the final editing of the videos.",利兹奇（Liziqi）是一个舒缓的内容创造者，想分享中国传统文化。她在朋友，亲戚和邻居的一些帮助下自己完成了大部分工作，但她对视频进行了最终编辑。
4268,UgzxygmS5oFjQh8MBqZ4AaABAg,13,2 years ago,luosifen is life it’s so good. i keep buying the instant luosifen packs ever since i first tried it. i wish i can actually go to a authentic chinese luosifen restaurant and try the fresh made ones,Luosifen是生活，真是太好了。自从我第一次尝试以来，我一直在购买即时Luosifen包。我希望我实际上可以去地道的中国luosifen餐厅，然后尝试新鲜的餐厅
18603,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92_IhXI_D3-,13,3 years ago (edited),pedro c yes it is a lie. mao is totally a great leader in many sense from chinese perspective. he built a new regime where china enjoys real freedom post hundreds years of being slaves by foreigners. he had ego and made big mistakes but his contribution outweighs his mistakes. hence people in china still respect and thank him for what he did. western media demonizes him i believe is because he represents communism while ignoring what he did to china and chinese people. it's a totally subjective and political view. i hate they teach that in classroom to brainwash my kids.,Pedro C是的，这是一个谎言。从中国的角度来看，毛面完全是一位伟大的领导者。他建立了一个新的政权，中国在数百年之后成为外国人的奴隶。他有自我，犯了很大的错误，但他的贡献大于他的错误。因此，在中国的人们仍然尊重，并感谢他的所作所为。我认为西方媒体妖魔化了他，因为他代表共产主义，而无视他对中国和中国人民的所作所为。这是一种完全主观和政治观点。我讨厌他们在教室里教我的孩子。
18994,UgxHTezytDFycGVFefd4AaABAg,13,3 years ago,"what has been lived is the life of the ancient chinese people over the past millennium, is it contemporary tao yuanming?","过的简直是千年来中国古人的生活,当代陶渊明吗"
24304,UgxNj9EOoDuNqZaL9PR4AaABAg,12,3 years ago,i can see here why chinese people called for being hard workers,我在这里看到了为什么中国人呼吁成为努力工作的人
21877,UgyiXGV8dmv6igb5Yxd4AaABAg.9-RuqJI02nf9-W0HRg-sXx,12,3 years ago,"isabelle jiang the reason why the subtitles exist is in china two girls was trying to replicate a meal made by a chinese youtuber xiaoye, and it caused an accidence, their parents sued xiaoye.",Isabelle Jiang出现字幕的原因是在中国两个女孩试图复制中国Youtuber Xiaoye做的一顿饭，这引起了一个严重的味道，他们的父母起诉了肖。
26819,Ugzvbm0e1Ojbfnwzq1p4AaABAg,12,3 years ago,"this state of life should be yearning for all chinese people, right?",这种生活状态应该是现在所有国人向往的吧
4587,Ugyn2oPC3jy_yDWl_nB4AaABAg,11,2 years ago,"the chinese past knowledge being documented beautifully and preserved for the future generations. im awed by this, even when china is currently in their the most advanced period in history and the world with their technology and infrastructure.",中国过去的知识被记录在后代的精美并保存下来。我对此感到敬畏，即使中国目前处于历史上最先进的时期，以及他们的技术和基础设施。
5404,UgyEUGjgz3If7omZWFJ4AaABAg,11,2 years ago,an example of how to live right with nature. plus delightful traditional chinese dishes! everyone should watch liziqi.,如何与大自然生活的一个例子。加上令人愉悦的传统中国菜肴！每个人都应该观看Liziqi。
22932,UgxSKjSaOg5l6UTVji14AaABAg,11,3 years ago,it is a video that makes you feel the blessings of the earth and the wisdom of the diverse life of chinese cuisine. looks delicious.,这是一个视频，可让您感受到地球的祝福和中国美食的多样化生活的智慧。看起来很美味。
19956,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq920fK0OaLWV,11,3 years ago,"@metalwaves4154 thank you both. if what ms. li's observers posted on some chinese sites are true, she is making around chinese yuan 200 million a year, from videos and online store combined. yt further gives her at least an estimated 1.5 million us dollars a year due to tens of millions of viewer clicks. she disclosed she sometimes worked till 3 a. m. to edit filmed images. at a number of times, she fell ill and was hospitalized due to over-diligence. i respect her since i grew up in south china and i can do 99 % of what she did on camera (due to my deprived childhood). i read and found some dislikes came from opposing camps and competitors. like she does, my daughters and i donate funds to support underprivileged children.",@MetalWaves4154谢谢你们。如果李女士的观察者在某些中文网站上发布的内容是真实的，那么她每年从中国人民币围绕2亿人元来制作视频和在线商店。 YT进一步给她，估计每年至少有150万美元，这是由于数千万的观众点击。她透露她有时工作直到3 a。 m。编辑拍摄的图像。多次，她病了，由于过度填补而住院。我尊重她，因为我在中国南部长大，我可以做她在相机上所做的99％（由于我的童年时代）。我阅读并发现一些不喜欢的来自对立的营地和竞争对手。像她一样，我和我的女儿捐赠了资金来支持贫困儿童。
11400,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97r1h4y03ef,11,3 years ago,"@logicone5667 that is her home, she still lives there despite her success on youtube. her neighbors and so many other chinese villagers actually live like this. you are only saying that because you are unable to do one tenth of the stuff she is capable to do",@Logicone5667是她的家，尽管她在YouTube上取得了成功，但她仍然住在那里。她的邻居和许多其他中国村民实际上是这样生活的。您只是说，因为您无法做她能够做的十分之一的事情
8071,UgxIa2BUK26ZkulsMjx4AaABAg,10,2 years ago (edited),"growing in a rural area, my hometown (iloilo philippines) i knew almost of the ingredients she uses and seen those in person. the method of how she prepares food is also not a surprise as we do the same thing in my hometown, it's just that the recipe is different. but i love how she promotes classic chinese cuisine๐’
i'm proud being raised in a rural area, being not an 'alien' to these kind of traditional life, tho now i'm working in the city and foreign country..","我的家乡（菲律宾伊洛伊洛）在农村地区生长，我几乎知道她使用的成分，并亲自见到了这些成分。她如何准备食物的方法也不令人惊讶，因为我们在我的家乡做同样的事情，这只是食谱不同。但是我喜欢她如何推广经典中国美食
我很荣幸在农村地区长大，不是这种传统生活的“外星人”，现在我在城市和国外工作。"
4885,UgwBdL8RFnlKoh0KJ0V4AaABAg.9INZ0ibBT3R9I_PD2feCS3,10,2 years ago,"@user-xm4pq8ct2h i know ziqi is chinese. just saw korean people (maybe? anyway, those who use korean language) say such horrible words to her.",@user-xm4pq8ct2h我知道ziqi是中文。刚看到韩国人（也许？无论如何，那些使用韩语的人）对她说如此可怕的话。
29777,UgwoE2mCQ7DmVck-agF4AaABAg,10,3 years ago,"don't watch it, i am the chinese comments you are looking for.","别看了,我就是你要找的中文评论."
30906,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yzTQ9XuUQw,10,3 years ago,"@plush3106 no,no,no,my dear friend.as a chinese, i would say that this girl's cooking is a common step in china.some famous foods in china even take 72 hours to make.when i was young, my mother cooked food, it was as complicated as video, chinese people pay much attention to food, and they are very willing to spend time on the cooking of food.if you know the cooking of different countries in the world, you will find that chinese cooking is really complicated and requires skill and patience.welcome to china，my friend.",@plush3106不，不，不，我亲爱的朋友。作为中国人，我想说这个女孩的烹饪是中国的常见一步。中国的一些著名食品甚至需要72个小时才能赚钱。我年轻时，我的母亲煮熟了食物，就像视频一样复杂，中国人非常关注食物，他们非常愿意花时间做饭。如果您知道世界上不同国家的烹饪，您会发现中国烹饪是真的很复杂，需要技巧和耐心。
4475,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9KySRjWROV_,10,2 years ago (edited),"@amelialiu8084 first of all koreans don't say they own everything, that's my point. 
and if you're saying chinese people can say they own everything because of their long history, shouldn't egyptians own everything since no one in our planet earth has a history longer than theirs?","@amelialiu8084首先，韩国人没有说他们拥有一切，这就是我的意思。
而且，如果您说中国人可以说他们因为悠久的历史而拥有一切，那么埃及人不应该拥有一切，因为地球上没有人比他们的历史更长？"
16768,UgwmnWFOWsQ7L8VuI6V4AaABAg,9,3 years ago,"as a chinese,i think everyone should choose their own lifestyle,i like this peace",作为中国人，我认为每个人都应该选择自己的生活方式，我喜欢这种和平
4922,UgxNJs2i6_8SqB62Rgp4AaABAg,9,2 years ago,chinese message is here ❤️,中文留言在这❤️
