,cid,votes,含chinese,含chinese中文翻译
48782,UgzY9XjMdZTksNhI74J4AaABAg,54,"the best chinese culture ambassador, thousands love from nigeria",中国最好的文化大使，来自尼日利亚的成千上万的爱
48335,UgzNachsIUghyMWqZHt4AaABAg,53,the smell of fresh made egg rolls and nut crunch! it's chinese new year for sure. happy chinese new year to everyone and may everyone have good fortune and prosperity in the year ahead,新鲜制成的鸡蛋卷和坚果紧缩的气味！肯定是农历新年。每个人都祝大家新年快乐，愿每个人在即将到来的一年都有好运和繁荣！
51946,UgyRqoq4BU372cgEWup4AaABAg,53,"a few days will be the new year of the lunar calendar, i wish you all a happy new year! the chinese nation is great because of everyone!",过几天就农历新年了，祝各位同胞新年快乐！中华民族因各位而伟大！
50376,UgwH_tgqjcUGWbgHUjl4AaABAg,52,i wish all chinese and non -chinese chinese happy and happy,我祝愿所有中国人和非中国人的中国人幸福快乐
46784,UgxAZIpHVhLv5gWAjoF4AaABAg,51,"i’m so happy to see someone who can show the the different life of chinese people, neither just the miserable one in some chinese movies and western news, nor modern good life in some big cities from chinese media. from the comments, i found most of us, no matter where are you from, share the similar value and aesthetics. we are not so different.",我很高兴见到一个可以展示中国人民生活的不同生活的人，既不只是中国电影和西方新闻中的痛苦，也不是中国媒体上一些大城市的现代美好生活。从评论中，我发现了我们大多数人，无论您来自哪里，都分享相似的价值和美学。我们没有那么不同。
50413,UgwmMZ5xdhF2Ac0JS9l4AaABAg,48,i love your videos. god bless!!! happy chinese new year,我爱你的视频。上帝保佑！！！农历新年快乐
16361,UgzBycKSOu7vNkvnqgJ4AaABAg,48,"imma speak chinese for ya
hi, i am talking about chinese, yes, i am using google to translate and laugh loudly, and your video is also fascinating. i hope you don’t exit youtube. please make videos for us every day.","Imma speak Chinese for ya
嗨，我是说中文，是的，我正在使用Google翻译大声笑，您的视频也很引人入胜，我希望您不要退出YouTube，请每天为我们制作视频"
12629,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D0H_TeqncF,47,"the hate is not directed towards the citizens, it's the government. and if you fail to see that, then you are part of the problem. chinese government has taken important resources from canada during the start of this pandemic. chinese government has taken over parts of philippines sea. chinese government has taken over the rights of people living in hong kong. chinese government has censored many who wants to spread the truth. chinese government has taken over the country of tibet, and it's resources. i have no hate towards its people. but their government needs to be exposed and taken responsible.",仇恨不是针对公民，而是政府。如果您看不到这一点，那么您就是问题的一部分。在这次大流行期间，中国政府从加拿大占据了重要的资源。中国政府接管了菲律宾海的部分地区。中国政府接管了居住在香港的人们的权利。中国政府对许多想传播真相的人进行了审查。中国政府接管了西藏国家，这是资源。我对它的人没有仇恨。但是他们的政府需要暴露并承担责任。
30695,UgxdG9ru8_pgZdE6FRt4AaABAg,47,"the chinese chestnuts reminded me we have the edible sweet chestnut in england. wonder if they are the same. edit: not the same, but in the same family, and both are edible.",中国栗子提醒我，我们在英格兰有可食用的甜栗子。想知道它们是否一样。编辑：不一样，而是在同一个家庭中，两者都是可食用的。
49527,UgxKGc98LbV5EVRPIqh4AaABAg,45,"this was pure heaven. 
happy chinese new year to all.","这是纯粹的天堂。
所有人的农历新年快乐。"
36623,Ugxm8VmuqlhI1T8Dn2Z4AaABAg.8uRmcVJ_cGD8uXJ3SzcM8Z,45,"sunflower seeds in chinese are called ็“ๅญ, which literally means ""melon seeds"" (and can also refer to actual melon seeds). so it's easy to mistranslate. xd",中文中的葵花籽称为瓜子，这实际上是指“瓜子”（也可以指实际的瓜子种子）。因此，很容易翻译。 XD
13183,UgzGTGnIyu8rpnxgdIV4AaABAg.9C9qthCZ61x9CAk2SVxm9q,44,"that's a chinese traditional tool to make popcorn. it is sealed to keep high pressure inside. once it is opened, the pressure difference make a boom to let the corn become popcorn. it has been using from last century until now.",那是制作爆米花的中国传统工具。它被密封以保持高压内部。一旦打开，压力差就会使玉米变成爆米花。它从上个世纪一直使用。
7774,Ugx9CQFCvBhTm5r0Gk54AaABAg,43,"new year is coming. this video is still my favorite. happy chinese new year, ziqi!",新年即将到来。该视频仍然是我的最爱。农历新年快乐，Ziqi！
46857,UgxyHdNFG8GxD0TWdWJ4AaABAg,43,"bless the chinese new year of the world. the new year this year can not return to china because of the exam. ziyi and i came from the same place. when i saw her video, i thought of her grandma, because ziyi did something that many sichuan women would do, passed down from generation to generation. unfortunately, many people in the mother are unwilling to learn. they are very happy to see that young people inherit these things. in addition, i will make most of the dishes she will make. it is also what grandma taught me before i went abroad. i was afraid that i could not eat the taste of my hometown outside. i hope that young people can take the initiative to inherit the traditional culture of our chinese nation ~ i hope to graduate soon and return to sichuan as soon as possible.",祝福全球华人新年快乐。今年过年因为要考试没办法回国啦。我和子柒来自同一个地方，看到她的视频就想起了自己的奶奶，因为子柒做的就是很多四川女人会做的东西，代代相传。可惜到了妈妈辈很多人都不愿意学习了，很开心看到还有年轻人传承这些东西。另外，她做的菜我会做大半部分，也是奶奶在我出国之前教我的，怕我在外面吃不到家乡的味道。希望年轻人都能主动传承发扬我们的中华民族的传统文化吧~ 希望早日毕业，早日回到四川。
47319,UgzBjxAQxko9UESdin94AaABAg,43,"it's chinese new year 2 days later, the most important day for all chinese every year no matter where they are(if chinese astronauts someday could land mars, it still is). for kids , elder relatives will give them small amount of money(压岁钱) to repress their growing older, that's a tradition with many blessing meanings. the whole family will stay awake the whole night of new year's eve, enjoy feast，watch shows, play fireworks.",两天后，这是农历新年，这是每年最重要的一天，无论他们身在何处（如果有一天中国宇航员有一天可以登陆火星，那仍然是）。对于孩子来说，老年亲戚会给他们少量的钱（压岁压岁）来压制他们的年龄较大，这是一种具有许多祝福的传统。全家人将在除夕整个晚上保持清醒，享受盛宴，表演，玩烟花。
798,UgyRITwQZG9tKfNwfy94AaABAg.9joLMP0xdAV9k7Xf9ZgOww,42,"she won, chinese social media said she took back her company, maybe she can update new video soon",她赢了，中国社交媒体说她收回了她的公司，也许她可以很快更新新视频
30090,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd78xgt-L01NMI,42,billy merlin i'm chinese i never eat dogs. sorry for let you know you are so wrong๏ผthe young generation condemn whoever eat dogs,比利·梅林（Billy Merlin）我是中国人，我从不吃狗。对不起，让您知道您错了，年轻的一代谴责谁吃狗
52122,UgxU9pNshSQpZEJxSsp4AaABAg,39,wow you cook a lot today. is it preparation for chinese new year next week?,哇，你今天做很多。下周为农历新年做准备吗？
22828,UgxeONDnwrQlHsaOEqd4AaABAg,38,"i'm from china, and i'm proud of liziqi, who presents our culture and civilization, even if who brings back all my old childhood memories in village, wonderful years, also i miss my grandmother so much. chinese always love peace and hardworking from time immemorial . welcome every friends to visit china.^_^",我来自中国，我为利兹奇（Liziqi）感到骄傲，利兹奇（Liziqi）呈现了我们的文化和文明，即使谁带回了我在村里的所有童年记忆，也很想念我的祖母。中国人总是喜欢远古时代的和平与勤奋。欢迎每个朋友访问中国。^_^
47902,Ugwxb_pQgGhGPj7AkIN4AaABAg,37,happy chinese new year !!! love from india,农历新年快乐！！！来自印度的爱
47324,UgyokK6B7E47XLXi7OJ4AaABAg,37,"happy chinese new year to u and grandma!!! 
i love watching ur videos! the life u live is beyond beautiful...","在春节快乐，你和奶奶！！！ 
我喜欢看你的视频！你的生活超越美丽..."
48641,UgzqTdOund5JJ71uno54AaABAg,37,"thank you, and happy chinese new year.",谢谢你，春节快乐。
48052,UgxSlmgJ76fpxtlh0pl4AaABAg,36,happy chinese new year miss li!,李小读李小姐快乐！
30988,Ugwr22eLPwBmdeQ8EsF4AaABAg,35,"fantastic work, it reminds me my childhood life! she possesses skills of majority of farmer house wife in a typical traditional chinese community.",出色的工作，这使我想起了我的童年生活！在典型的中国传统社区中，她拥有大多数农民之家妻子的技能。
12626,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9CzZ722bHgF,34,"@danawen555 there definatly shouldn't be racism towards chinese people there is never a reason to be racist.
i wouldn't say that china didnt do anything bad like... the think with the muslims,hong kong,censorship and china kind of has a dictator","@danawen555绝对不应该对中国人民有种族主义，从来没有理由成为种族主义。
我不会说中国没有做任何糟糕的事情，例如……与穆斯林，香港，审查制度和中国有独裁者的想法"
46306,Ugx7UxP47xFbaayUuQV4AaABAg,34,happy chinese new year,春节快乐
