,cid,votes,time,含good,含good中文翻译
23633,UgwM0dySKx7ZUT-Fned4AaABAg,86,3 years ago,"thanksgiving
good to have you
especially with ah, it is even more moved
every day with the 90 -year -old mother, i will enjoy the idyllic scenery nostalgic ancient times ...
have a good mood every day
i am grateful!","感恩子柒
有妳真好
尤其与阿嫲相伴，更是感动
每天与90岁母亲乙起欣赏田园风光怀旧古厝……
每天拥有好心情
我感恩！"
26239,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zqw_NdAXDi,84,3 years ago,itโ€s not stupid at all good job ๐‘๐ป,这一点并不愚蠢
49218,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qmzh1xvz7B,78,4 years ago,"@allisgoodallisbad 
sounds like she should've just used you to salt her sunflower seeds. lets say i have a pencil, but i borrowed it from someone else. does the fact the owner is different change that it's a pencil? no. so does the fact she didn't own the traditional machine for popcorn poping change the fact that's what it was? no.","@allisgoodallisbad
听起来她应该只是用你来加葵花籽。可以说我有一支铅笔，但我从别人那里借了它。所有者是一支铅笔的事实吗？不。那么，她没有拥有传统机器的爆米花爆米花的事实改变了事实吗？不。"
34141,UgwwsJPvwbrWOMAkqUF4AaABAg,77,4 years ago (edited),"it was all the traditional memories and things that i could not see in today's impetuous society. it was shocked that so many foreigners liked and commented. seeing li zizhen's announcement video learned that many foreigners did not know that this was china. i do nโ€t know that li ziyi is the chinese. let them also see that china is not just a world factory, not only haze and industry ... we also have inheritance and good life. let them see chinese characters comment! welcomed to china",全是传统的小时候的回忆和当今浮躁的社会看不到的东西，很震惊有这么多外国人点赞和评论，看到李子柒的申明视频得知，老外有很多并不知道这是中国，不知道李子柒是中国人
26723,Ugz6QOTzmnKwsIwRGnZ4AaABAg,75,3 years ago (edited),"the picture quality is so good. not to forget, this girlโ€s cooking and handicrafts skill is great too.",图片质量太好了。不要忘记，这个女孩的烹饪和手工艺技能也很棒。
51674,Ugyx6yeEdaRcvabmfnF4AaABAg,71,4 years ago,"your a good cook, good baker, nice architect, wonderful craft worker.... awesome",您是一个好厨师，好面包师，漂亮的建筑师，出色的手工艺工人....很棒
21222,UgzU8EfG12_tYDCexlh4AaABAg,70,3 years ago,"it's like watching and historical drama with soothing music and deep down she seems like a special girl...sticks tot the traditional way... for some reason, although she didn't say anything just do her work it means she's focusing and confidence of her ability....its really good to watch...sooo calming",这就像看着和历史戏剧，充满舒缓的音乐，深处她看起来像个特殊的女孩...以传统的方式粘贴在一起...由于某种原因，尽管她什么都没说，但她的工作没有做任何事情，这意味着她正在集中精力和自信她的能力....真的很好看...太平静了
43781,UgyyBm-8_ZYK8anhOLN4AaABAg,64,4 years ago,is this real? i mean she has everything fresh. it is too good to be true and im sure they have production crews. i mean come on camera man are sure everywhere!,这是真的吗？我的意思是她有新鲜的一切。真是太好了，我确定他们有生产人员。我的意思是，摄影师肯定到处都是！
29927,Ugzqygpa7z5-mKY8azh4AaABAg,63,3 years ago,"i really love the nature around you so much, wonderful girl

wish you good health!","我真的很喜欢你周围的大自然，很棒的女孩

祝你身体健康！"
4235,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9SVpoQhtvy-,61,1 year ago,@diogomelo3705 but look at her bro. her video is good enough to be a tv show or documentary. the editing and filing is pro. she’s more like an actor.,@diogomelo3705，但看着她的兄弟。她的视频足以成为电视节目或纪录片。编辑和归档是Pro。她更像是一个演员。
12583,UgwCmVfJPpdoJOFSu1J4AaABAg,60,2 years ago,"me, throughout this video: oh that looks good, oh i don't like nuts but that looks so good, oh what is that it looks so good",我，在整个视频中：哦，看起来不错，哦，我不喜欢坚果，但看起来很不错，哦，它看起来很好
34258,UgwTeLzvn9xOqtnMCwB4AaABAg,60,4 years ago,my feelings of joy almost like crying of happiness good video i love it โค,我的喜悦的感觉几乎像哭泣的幸福好视频，我喜欢它❤
86,UgwzGLDCb21y3L7CPD94AaABAg,57,2 weeks ago,it feels so good to see the amount of views in her channel. she deserves it. miss you li ziqi,看到她的频道中的视野真是太好了。她应得的。想念你李Ziqi
28540,UgyK7Z_kq1QFfkrjgZN4AaABAg,53,3 years ago,"beautiful girl!!! she can do anything, this is so good, i like that ๐๐๐",美丽的女孩！！！她可以做任何事情，这太好了，我喜欢
26240,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zrEMM9JMtx,53,3 years ago,you smell good now.,你现在闻起来很好。
48335,UgzNachsIUghyMWqZHt4AaABAg,53,4 years ago,the smell of fresh made egg rolls and nut crunch! it's chinese new year for sure. happy chinese new year to everyone and may everyone have good fortune and prosperity in the year ahead,新鲜制成的鸡蛋卷和坚果紧缩的气味！肯定是农历新年。每个人都祝大家新年快乐，愿每个人在即将到来的一年都有好运和繁荣！
46784,UgxAZIpHVhLv5gWAjoF4AaABAg,51,4 years ago,"i’m so happy to see someone who can show the the different life of chinese people, neither just the miserable one in some chinese movies and western news, nor modern good life in some big cities from chinese media. from the comments, i found most of us, no matter where are you from, share the similar value and aesthetics. we are not so different.",我很高兴见到一个可以展示中国人民生活的不同生活的人，既不只是中国电影和西方新闻中的痛苦，也不是中国媒体上一些大城市的现代美好生活。从评论中，我发现了我们大多数人，无论您来自哪里，都分享相似的价值和美学。我们没有那么不同。
25348,UgwJVpehKaKELcdYy8p4AaABAg.9-RhCpaDX1W902RsjUdBuk,50,3 years ago,"@sonnen-bogenmensch8694 my life is good and i love ziqi's videos. if it was show it would not matter to me, i would still love the message and warmth she sends. but i believe ziqi's heart is good and that is enough for me. beautiful girl with a sweet grandma making down to earth videos, what's not to love? i think my friend you need to check your own life and see why your so unhappy and attack others for being happy. take care.",@sonnen-bogenmensch8694我的生活很好，我喜欢Ziqi的视频。如果显示出对我来说并不重要，我仍然会喜欢她发送的信息和温暖。但是我相信Ziqi的心是好的，这对我来说就足够了。美丽的女孩，有一个甜美的奶奶播放地球视频，什么不爱？我认为我的朋友您需要检查自己的生活，看看为什么您如此不开心并攻击他人快乐。小心。
14584,UgylFxkG40bbZWf9_hl4AaABAg,49,2 years ago,"she is beautiful
she good at cooking
she is hard working
she is love her grandmother","她很漂亮
她擅长烹饪
她在努力工作
她爱祖母"
4138,UgwFwTgWme_yL7LQ6tR4AaABAg,47,1 year ago,"if i can live with here, my age probably be over 100 years! i love the nature around her home... especially the natural and fresh foods. good luck for you!",如果我能在这里生活，我的年龄可能超过100年！我喜欢她家周围的大自然……尤其是天然和新鲜食品。祝你好运！
50062,UgzTFeN46NIceL3Ox3N4AaABAg,41,4 years ago,"nha ty also prepared for tet, so good, how many things were prepared, cultivating",Nha Ty还为TET做准备，很好，准备了多少东西，培养了chipping
13697,UgwoGipw8OgTdT4h0qB4AaABAg,40,2 years ago,grandma is so lucky that she's got such a beautiful and a hard working granddaughter who looks after her. keep up the good work lizigi ♥️,奶奶很幸运，她有一个如此美丽而勤奋的孙女，照顾她。保持良好的工作Lizigi♥♥
29438,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8xv9Ca_aPud,39,3 years ago,"to be honest, this is the most authentic portrayal
ordinary people just want to live a stable life.
any good song to read more than the head of state world","说老实话 这就是最真实的写照
普通老百姓 只想安稳的生活 谁没事一天扯政治 搞事情
随便一个好听的歌 点阅 比 全世界元首演讲 加起来要多"
14560,Ugyu-ASrt2HH3a5LJJd4AaABAg,38,2 years ago,it’s for 4am and god i’m so hungry watching this.... everything looks so good,那是凌晨4点，上帝，我真饿了。
11981,UgynZCqIwT2Ie2RHXWF4AaABAg,38,2 years ago,"does she sell these goodies or something?
she prepares everything in very large batches. will she'll share some with me??๐","她会卖这些好东西吗？
她在很大的批处理中准备了一切。她会和我分享一些吗？"
31268,UgwjVSi8JohIVtPgqZ14AaABAg,38,3 years ago,this is what fairytale looks like! i can't stop watching your videos. keep up the good work! โค๏ธ๐๐’ฏ,这就是童话的样子！我不能停止观看您的视频。保持良好的工作！ ❤️
27180,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zPkrLTt-_H,35,3 years ago,very good drโค,很好的dr❤
33757,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vZk_8n4Uc4,35,4 years ago,"talk about saving money$$$$ man, wish makes you think of all the things you should be grateful for. the lord is good",谈论省钱$$$$男人，愿望让您想到您应该感谢的所有事情。耶和华很好
12624,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9Cxp_2hxkmn,33,2 years ago,"i agree, we didnt do anything bad, only because we are good, and some eveil things are jealous about it. dont worry, china has been stand on the earth for over thousands of years, these little trouble wont defeat us : )",我同意，我们没有做任何糟糕的事情，只是因为我们是好事，而有些eveil的事情对此感到嫉妒。不用担心，中国已经站在地球上了数千年，这些小麻烦不会击败我们:)
45333,UgwA3tbrbc7jlGRBkSt4AaABAg,33,4 years ago,"a great video, you don't have to learn it, just watch it quietly, you have a good pressure effect. thank you, a beautiful and serious girl!",好棒的视频，不一定要跟着学，只需静静的看，就有很好的舒压效果。谢谢您，美丽而认真的女孩！
28682,UgzzufmWX44VML3gKRN4AaABAg,31,3 years ago,"good friends: there are no background music, nuts, cut vegetables and water, and the surrounding birds are called insects, or grandma and animals have sounds. the real voice is the essence of everyone. we have no nature, no fields, no zen. without slow man's life, please give us these people who live in the city. everything is used to buy money. the people who are controlled by money are alive. please, thank you.",好朋友:没有背景音乐，坚果，切菜洗水跟周围的鸟叫虫鸣或是奶奶跟动物生声音，真实的声音才是阅众要的，我们没有大自然，没有田，没有禅意，没有慢曼的生活，请给我们这些生活在城市里，每一样东西都用钱买，被金钱控制的人一点活着的感觉，拜托，谢谢。
29341,UgxaVokagf651lxJSs54AaABAg,31,3 years ago,"japanese rice is not quite good, but this woman likes",日本大米不是很好，但是这个女人喜欢
15032,Ugw-F3AWt21kRGcRhkl4AaABAg.99zjzXzXvaX9AajKreFjQc,31,2 years ago,"you know that if there is good things about china, it’s always ignored by media including youtube",您知道，如果中国有美好的事物，YouTube在内的媒体总是会忽略它
37247,UgycfL3zBI_7tmj6hnR4AaABAg,30,4 years ago,"็ณ–่‘ซ่ฆ are my favorite sweet from living in china. soooooo good, and very simple to make.",糖葫糖葫是我最喜欢的中国甜食。太好了，制作非常简单。
35011,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8v4DWzwzTUM,29,4 years ago,"you all say that but this life is potentially the only life she can have in china. we have the opportunity to get an education, and she may not. she may love this life, but she may not have ever accessed education at a higher degree, even if she wanted to. again, though, these are all maybes. i don't know her or her life, but i know that in china women aren't exactly usually offered the option to go off and gain a good education, and this life is the only that they are raised into.",你们都这么说，但是这一生可能是她在中国唯一可以拥有的生活。我们有机会接受教育，她可能没有。她可能喜欢这一生活，但即使她愿意，她也可能从未获得过更高学位的教育。但是，这些都是母狗。我不认识她或她的生活，但我知道在中国，妇女通常并不是提供享受良好教育的选择，而这一生是她们唯一的成长。
26123,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-8zzMRAd8B_K,29,3 years ago,"@user-sc8cy5qc6e you buy or you do not buy, it's up to you. i buy nothing from her, but i enjoy her video, and i thank her giving me good feelings about life.",@user-sc8cy5qc6e您购买或不购买，这取决于您。我什么都没有从她那里买，但我喜欢她的视频，我感谢她给我对生活的好感。
38407,UgzHZsc7jjfVz-vGlER4AaABAg,28,4 years ago,"thank you youtube recommendation, you did good today :โ€)",谢谢YouTube建议，您今天做得很好：’）
36895,UgzN7p7-TQIOSwyyhr14AaABAg.8uLiUEbhsvk8uUkpo9TrKe,27,4 years ago,"i'm just gonna use the plane
but climbing across the great wall is also another good option","我只是要用飞机
但是爬过长城也是另一个不错的选择"
23453,UgwJt5W2j5q1D2nLUbd4AaABAg.92Ld0RvqjFc92Q88Gm8euL,26,3 years ago,"so i hope china is still around the wall, otherwise there are some fools to spray again. since going abroad, some people have really been unable to describe in china. it is really a good thing to give foreigners such an impression, let them understand the cultural traditions and scenery of china.",所以我希望中国还是一直墙着吧，不然有一些傻子又要喷了。自从出国以后越发觉得国内有一些人真的无法形容。能给外国人一个这样的印象真的是好事，让他们了解中国的文化传统，风景。
35387,UgyIlNkDFoFy949wgSV4AaABAg.8uf_EUKhc8j8uqGwdMdZIw,26,4 years ago,she's worthy of a puppy and 2 lambs because she's just too damn good at this...;__;,她值得一只小狗和2个羔羊，因为她对此太好了……; __;
41594,Ugz9a7mAhI2vxp5l7Sx4AaABAg,25,4 years ago,"live, work ... only good! why do we need wars on earth? to be very rich? but isn’t such a life for all people? why be super -rich? we could live like this! good!",生活，工作...只好！为什么我们需要地球上的战争？非常有钱？但这不是所有人的生活吗？为什么要变得超级富裕？我们可以这样生活！好的！
52649,UgwPtXITTuZpM_1NuLV4AaABAg,22,4 years ago (edited),"god bless
i tell about the magnificence of nature and its goodness
glory be to god, who mocked the earth and its glory to man

i do not tell about the creativity of the girl, her patience, effort, and strength
it is clear that it is enjoying and it works

the video is beauty and creativity 
praise be to god for the great blessings. this is from the virtue of my lord","上帝保佑
我讲述了自然的宏伟及其善良
荣耀归于上帝，上帝嘲笑地球及其对人的荣耀

我没有说明女孩的创造力，她的耐心，努力和力量
很明显，它很享受，并且起作用

视频是美和创造力
赞美上帝的祝福。这是我主的美德"
26250,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8ztKL4CwYvz,22,3 years ago,anything that can inspire you to take that first step will never sound stupid. good job!,任何可以激发您迈出第一步的事情都不会听起来很愚蠢。好工作！
16529,UgwndTs4wucNgNjt5x94AaABAg.98eO-d8XaSd98uH5OVgzNP,22,3 years ago,"@wuxh2708 her mother was dead when she was young!! she was with a cruel step mother! her dad and grand parents were good cooks! her dad cooks allot in the village for almost all the occasions that way she learned alot of recepies from grand parents amd her dad!! she worked various jobs! she wanted to do new things but almost failed in lot of stuff! she got to return to back home, her village upon hearing that her grandma health when was not good and somone needed day and night to take care!! so that struck a thought in her mind to do something and at the same time be with her grandma! her grand parents own some land in mountains so she started what her legacy was cooking, farming, chinese art, etc!!being worked as a dj people say that experience helped her to add music, edit videos while she filmed all her videos on own very early days! her videos initially were posted only in chinese video sharing platforms! when she got good recognition in those platforms for her all the skills she started youtube!! she hired a crew of 3 people who take care of shooting, editing, posting!! all these efforts and dedication made her a massive hit today! some section of people unable to digest her success called her actor, fake, and also few said she is not chinese!! at that time she released a few seconds video saying she belongs to china and she is chinese!! nothing altered her to date!! she is the same loving, caring person!! i just shared what i came to know about her thru many sources!!",@wuxh2708她的母亲小时候死了！她和一个残酷的继母在一起！她的父亲和大父母是好厨师！她的父亲几乎在所有场合都在村子里烹饪分配，从而从父母那里学到了很多回忆！她从事各种工作！她想做新事物，但几乎失败了！她得知她的祖母健康不好，白天和黑夜都需要照顾时，她必须回到家中，她的祖母健康！！这样一来，她就想到了做某事，同时与她的祖母在一起！她的祖父母在山上拥有一些土地，因此她开始了自己的遗产是烹饪，耕种，中国艺术等！被当作DJ的人说，这种经验有助于她添加音乐，编辑视频，而她独自拍摄了所有视频很早！她的视频最初仅发布在中国视频共享平台上！当她在这些平台上为自己的所有技能获得良好的认可时，她就开始了YouTube！她雇用了3个照顾射击，编辑，发布的船员！所有这些努力和奉献精神使她今天受到了巨大的打击！一部分无法消化她的成功，称她的演员是假的，而且很少有人说她不是中国人！那时，她发布了几秒钟的视频，说她属于中国，她是中国人！到目前为止，没有什么改变她！她是同样的爱心，有爱心的人！我刚刚分享了我对她的了解，这是通过许多来源！！
49230,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qyatE61fC5,21,4 years ago,@allisgoodallisbad oh my god that's what you came back at me with? oh no some rude person on youtube made me feel bad! look you can't take it don't be rude to other maybe? your just mad you got called out for saying something rude sounding for no reason. the point stands however. the popping device is still a popping device reguardless who owns it.,@allisgoodallisbad哦，我的上帝，这就是你回到我身边吗？哦，YouTube上没有一个粗鲁的人让我感到难过！看，你不能对别人不礼貌吗？您只是疯了，您被召唤出来，因为无缘无故地说些粗鲁的声音。但是，这一点是。弹出设备仍然是拥有它的弹出设备。
37011,UgwE6az0IF1Y3ITxy3x4AaABAg,21,4 years ago,you really are a beautiful and very good girl. i often watch your videos very well and meaningfully.,你真的是一个美丽而非常好的女孩。我经常很好地观看您的视频。
52915,UgwHTfgI2KDCfC3tHwV4AaABAg,20,4 years ago,i am so good. love you,我真好。爱你
33779,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w2m0SsWpiH,19,4 years ago,"@kathaleenwood2426 ugliness is two drug addicts murdering a young woman, then cutting her body up and dumping it in a river. which is what happened to nichole. now ... people like you can watch this video and not understand that it is highly produced, that she is deceiving her followers. you have clearly not read through the comments on her videos where people are putting themselves down and judging themselves against this fakery. i have watched many how-to videos on yt and they don't lie to their followers. they show how long it actually takes to make things. they show how dirty you get when you do probably 75% of the things she does. idgaf, she'll eventually be exposed but people will follow her anyway because they'd rather have her fake feel-good life rather than deal with real, difficult things like nichole alloway's murder.",@kathaleenwood2426丑陋是两个吸毒者谋杀一名年轻女子，然后将她的身体倒在河里。尼科尔发生了什么事。现在...像您这样的人可以观看此视频，并且不明白它是高度生产的，她在欺骗她的追随者。显然，您没有阅读她的视频评论，人们将自己放下来并判断自己反对这个伪造的评论。我已经在YT上观看了许多操作视频，但他们不对追随者撒谎。他们表明实际需要多长时间。他们表明，当您做她所做的事情的75％时，您会感到多么肮脏。 IDGAF，她最终会暴露出来，但无论如何人们都会跟随她，因为他们宁愿拥有她的假感觉，而不是处理像Nichole Leceray的谋杀案这样的真实，困难的事情。
31331,UgxerFCSgXBu83Jg6394AaABAg,19,3 years ago,"this is like a historical drama, love it!

good luck for you and your team (maybe)๐…","这就像一部历史戏剧，喜欢它！

祝您和您的团队好运（也许）"
13412,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9CQOhatxrbL,19,2 years ago,"@kaikujawa6063 hehe everything about china has to have a hidden agenda,everything good about china has to be fake or controlled by the government, you know better than our people, even than herself? who's brainwashed? stop making these irresponsible comments that only show your stupidity.",@kaikujawa6063 hehe关于中国的一切都必须有一个隐藏的议程，关于中国的一切都必须是伪造或由政府控制的，您比我们的人民更了解，甚至比她自己更了解？谁洗脑了？停止发表这些不负责任的评论，只会表现出您的愚蠢。
50842,UgxwoMNpgSY2m8P1KpJ4AaABAg,18,4 years ago,"super, goodbye prepared, you can open an online store =)",超级，再见，您可以开设一家在线商店=）
51284,UgxWr2WKqhtE2YsnqoF4AaABAg,18,4 years ago (edited),i hope she's will married with rich & good handsome guy! she's a good girl.,我希望她能与Rich＆Good Hindome Guy结婚！她是一个好女孩。
6246,UgyfvAs8v50Q9qktIkx4AaABAg,17,2 years ago,"thank you ziyi! after watching the video, get healing, and you can face the new week tomorrow. may you, grandma, family members are good. bleak",谢谢子柒! 看完影片，得到疗愈，明天又可以好好面对新的一周。愿妳，奶奶，家人都好。
1883,UgyjL4fFw9-4erCf0Bp4AaABAg,17,1 year ago,"admiring her really, a small but extraordinary girl, everything is good, everything can be done. watch your real peaceful video .",真的很欣赏她，一个小而非凡的女孩，一切都很好，一切都可以做。观看您真正的和平视频。
2054,UgxKuXO04jUL3t_QBnd4AaABAg,16,1 year ago,"this is the first video that i've seen from lizqi back in 2020 if i not mistaken..it really amazed me, and i've been her fans since that..what a talent you had girl. may god bless you and your grandma with good health throughout this year and advance.",这是我在2020年从Lizqi看过的第一部视频，如果我没有误会。愿上帝保佑您和您的祖母在今年健康状况良好，并进步。
29807,UgybT8q9mqVMbmPhgId4AaABAg,16,3 years ago,this could honestly be a hayao miyazaki film this is so good!!,老实说，这可能是一部宫崎骏电影，这真是太好了！
13039,Ugx1ONOUsF2sDXn5bGZ4AaABAg,16,2 years ago,"what a good beauty! !
ideal way of life! !
the dog -shaped kettle is also cute! !","多么美好的美！呢
理想的生活方式！呢
狗形水壶也很可爱！呢"
36642,UgxllgTo3DcZnOuXpVt4AaABAg,16,4 years ago,her and her grandma has such a good relationship ;_;,她和她的祖母有很好的关系； _;
19390,UgxcDvofSHQCR5Cm_Tl4AaABAg,15,3 years ago,"good cooking, good style, beautiful and good -looking ~",好的烹饪，良好的风格，美丽而良好 - 看起来很〜
46929,Ugweae36Q0EEW_Hn6ml4AaABAg,15,4 years ago,"happy chinese new year, li ziqi! may the good prosperity and endless joy be upon you!",农历新年快乐，李Ziqi！愿您的良好繁荣和无尽的喜悦降临在您身上！
46307,UgyBCjLFWEbPMruzmyF4AaABAg,15,4 years ago,very good videos. it is interesting to watch! bravo creators of ideas!,非常好的视频。观看很有趣！勇敢的想法创造者！
33114,UgxGwcIFM7MX8Y9vGzl4AaABAg,15,4 years ago,you work so hard everyday aren't you get tired of so much labour yet you smile and learn so much . i admire your courage and good heart .. โค,您每天都在工作如此努力，并不您厌倦了这么多的劳动，但您微笑和学到了很多东西。我欣赏你的勇气和美好的心..❤
9017,UgwbEQU4x4OA7ihDBkJ4AaABAg,15,2 years ago (edited),who else is now elegantly microwaving popcorn just to feel good?,现在，还有谁是为了感觉良好而优雅的微波爆米花？
19040,UgyUvOyOo_MY2ntappp4AaABAg,14,3 years ago,"so freaking cute..lol..i love how those puppy’s and that baby lamb (who probably thinks it’s just another dog..lol) follows her every where she goes....i love watching liziqi, she has inspired me to live a much simpler life, i have a huge back yard that i plan on converting to a garden, won’t be easy i know this, but i have such a passion to help others out especially families with small children and the elderly...where i come from fruits and vegetables are ridiculously expensive that we (most people) cant afford it, so i do without (lost my husband to als so having only 1 income makes it virtually impossible to buy what my body needs...good nutrition) so why not plant my own, unfortunately i don’t know how well it will work or succeed as winters here last 6 months out of the year, summers are an average 3 months long, then it cools off....but i’m going to give it a college try!",太可爱了..大声..我喜欢那些小狗和那只小羊羔（可能认为这只是另一只狗..-大狗）跟着她的每一个去的地方....我喜欢看Liziqi，她启发了我活着一个简单得多的生活，我有一个巨大的后院，我打算转换为花园，这并不容易，但我非常热衷于帮助别人，尤其是有小孩和老年人的家庭...我来自水果和蔬菜的地方是我们（大多数人）负担不起的昂贵的，所以我没有（我的丈夫失去了丈夫，只有1个收入，因此几乎不可能购买我的身体需要的东西...好营养）那么为什么不种自己的种植，不幸的是，我不知道它在一年中六个月的冬天，夏季的冬天，平均有3个月的时间，然后冷却了。。。 '我会尝试大学！
9706,Ugxv0Kxh35MVn63dO7h4AaABAg,14,2 years ago (edited),"it is a very beautiful video. thank you for up. thank you.
this is where i want to go.
please be careful about your body and spend a good new year holiday.","这是一个非常漂亮的视频。谢谢你的起床。谢谢。
这是我想去的地方。
请小心您的身体，并度过一个美好的新年假期。"
51644,Ugx7gRvzvtkbgasb7EZ4AaABAg,14,4 years ago,"the puppy is so cute, and the goat is so good followed",小狗狗好可爱，小山羊也那么乖的跟着
46308,UgzlK4FQmIyfmacXZe14AaABAg,14,4 years ago (edited),ziyi new year is good ... the majority of chinese new year! anti -chinese banana people! intersection west is your motherland!,子柒新年好...广大华人新年好！反华香蕉人就算了！！西方才是你们祖国！
