,cid,votes,含good,含good中文翻译
26758,UgxV4FnquLweO_BNs-14AaABAg,24,"you're really good at cooking.
i really envy you for living in nature.
i don't have much credit.
i've seen","你真的很擅长做饭。
我真的很羡慕你生活在大自然中。
我没有太多的荣誉。
我见过"
27603,UgwsjVfm4w2IslSFDSR4AaABAg,23,i could watch you all day long! you do exactly what my mom and grandma used to do. i know that it is a lot of hard work to prepare all those delicious meals but worth it! keep up your good work!,我可以整天看着你！您正是我妈妈和奶奶所做的一切。我知道准备所有这些美味的饭菜是很多艰苦的工作，但值得！继续你出色的工作！
1799,UgzafBF-nlayWxz9jRx4AaABAg,22,so much love goes into her food. watching her and mom relaxing makes me feel good. i want to visit.,她的食物如此之多。看着她和妈妈放松，让我感觉很好。我想参观。
2782,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9TGhlV0OwZL,21,"@onyx bunny her videos are good, but i doubt many people actually want to live this way. this lifestyle is hard. that's why many people move to the cities. there is a lot of work that is not seen in the videos. i don't think you will be so attracted to this lifestyle if you actually have to live it for some time.",@onyx兔子她的视频很好，但我怀疑许多人实际上想以这种方式生活。这种生活方式很难。这就是为什么许多人搬到城市的原因。视频中没有看到很多工作。如果您实际上必须生活一段时间，我认为您不会被这种生活方式所吸引。
19953,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91xZDt3yshg,19,"@sweetanzu2231 all due respect, even if its for money you can't deny that it's good content. i don't see why can't it be for money. she's not currently working in the cities and so she posted some meaningful content online to get some income. and it's not easy to get those content filmed so clearly. people who dislikes just find excuses to dislike it.",@sweetanzu2231所有应得的尊重，即使它是为了钱，也不能否认它是很好的内容。我不明白为什么不能赚钱。她目前没有在城市工作，因此她在网上发布了一些有意义的内容以获取一些收入。而且，让这些内容如此清晰地拍摄并不容易。不喜欢的人只是找到不喜欢它的借口。
4262,Ugz4ZThxmr5nBN62K5Z4AaABAg,18,people are beautiful and good. it's a goddess. essence essence,人又美厨艺又好。简直是个女神太棒了。。。
3319,UgwTcx_ve8VU48SdRD54AaABAg,17,what do i say that the talk is unable to describe this content. the beauty of nature and the benefit of the goodness of the earth and the beauty of photography and directing. and the same cooking is something,我怎么说谈话无法描述此内容。大自然的美丽以及地球善良的利益以及摄影和导演的美丽。而且同样的烹饪也是
19899,Ugx3zuXyOf11s3dxiwp4AaABAg.91GSbollkUx91LmkkrrSmA,17,"he must be a good farmer, good provider and protector..jz suggestion",他必须是一个好的农民，优秀的提供者和保护者。
2353,UgyfeiCAweW_2KrNH294AaABAg,16,i love as you are clouded. this is a special gift. i am brazilian here from pernambuco barreiros. i wanted kitchen like you. uhuuuuuu what a good smell. hahahaha,我爱你乌云密布。这是一个特殊的礼物。我是巴西的巴西人，来自佩南布科·巴雷罗斯（Pernambuco Barreiros）。我想要像你这样的厨房。 uhuuuuuu多么美味。哈哈哈哈
21567,UgwQXJkyej7bOmoRFFJ4AaABAg,15,i'm an esl teacher and my chinese student brought me here. and she's right! you're good and your videos are oddly satisfying to watch.,我是ESL老师，我的中国学生把我带到这里。她是对的！您很好，您的视频很奇怪地观看。
34933,UgxtVJ5IFTQrlOzVRcR4AaABAg,15,"it's so good that the update is super fast, it is fun to see, people are beautiful and wise",太好了更新的超级快 ，看的过瘾，人美又有智慧
25843,UgyyRYO-d4a-dm-sMKN4AaABAg,15,"zi yan is really good at cooking, depending on your ingredients can be so delicious, you want to eat",子柒真的好会料理，看你每一样食材都可以做到如此美味，看的都想食
11023,UgzxCAS0Jrwg6fsStv54AaABAg.984qUe8j7ci98hqLx8Aalm,15,good quality food and lots of outdoor living plus that amazing natural environment,优质的食物和大量的户外生活以及那个惊人的自然环境
29851,Ugycl10QiFuIyr9ALVx4AaABAg,14,"i have followed you from ordering 20,000 people. it ’s two years old. it’ s really good, come on!",从订购两万人就跟着你了，到现在两年了吧，真的好好看，加油！
23089,UgymhEjjUGYIENlpCAx4AaABAg,14,"this lady has everything fresh vegetables, fresh fruits,beautiful flowers all in her garden good nature peaceful place what a life she live in paradise simple life but full of good memories she's very talented and very hardworking very loving to her grandmother that's why she is bless and successful because she has good heart she is beautiful inside and out nobody can do what ever she did she can do everything her body is small but she's very strong to carry heavy things wow just wow ❤❤",这位女士有一切新鲜蔬菜，新鲜水果，美丽的花朵在她的花园中的美好自然宁静的地方成功，因为她有良好的心，她的内在和外面都很漂亮
19564,Ugw1BSS4noGQb9hRqIh4AaABAg,14,"the effort this young lady exert is always for the good of others. there’s love in her contents, she feeds your eyes, soul and mind. this is a happy woman because she knows there’s more happiness in giving than receiving.liziqi keep giving us your high quality videos, you’re making a difference in people’s lives.",这位年轻女士的努力始终是为了别人的利益。她的内容中有爱，她养活了您的眼睛，灵魂和思想。这是一个快乐的女人，因为她知道给予比接受更多的幸福。Liziqi继续给我们您的高质量视频，您正在改变人们的生活。
11601,UgyYloXo5WqBJR7gcqJ4AaABAg,14,"live such a good life, xiao nizi, you are so amazing, and filial piety is really beautiful",过着这样的生活不错啊 小妮子 你很了不起呢 又孝义 真是人美心善
4268,UgzxygmS5oFjQh8MBqZ4AaABAg,13,luosifen is life it’s so good. i keep buying the instant luosifen packs ever since i first tried it. i wish i can actually go to a authentic chinese luosifen restaurant and try the fresh made ones,Luosifen是生活，真是太好了。自从我第一次尝试以来，我一直在购买即时Luosifen包。我希望我实际上可以去地道的中国luosifen餐厅，然后尝试新鲜的餐厅
4404,UgwPkuGPxHfvnMQMXcF4AaABAg,13,good ----- are you in this troubled world,好-----你在这个困难的世界中吗？
33305,Ugx5gjMlXyAci7wZBmR4AaABAg.8yUctLSaRRC8yUnWsXf3cR,13,"it doesn't help that if she starts a video picking berries that she could be cooking with it or dying something with it. then just to keep this confusing both use the same tools and she keeps eating the berries. 


magic 8 ball miss liziqi is picking berries what does this episode hold for us? looks at the answer your guess is as good as mine.","如果她开始挑选浆果的视频，她可以用它做饭或用它来死去，这无济于事。然后，只是为了使这两种工具保持相同的工具，她一直在吃浆果。


Magic 8 Ball Liziqi小姐正在挑选浆果这一集对我们有什么影响？看看答案，您的猜测和我的猜测一样好。"
3397,UgwuJPc2TAvaUVPNXYh4AaABAg,13,"watching li ziyi's video, i can feel the unique charm of nature. i feel very good. it is a pleasant enjoyment!",看李子柒的视频，能感觉到大自然的独特魅力，心情非常好，是一种心旷神怡的享受！
8929,UgyL0QeSRSaZnN-Rk794AaABAg,13,"""the little which the good man has is better than the wealth of evil-doers"". psalms 37:16",“好人拥有的一点比邪恶的人要好”。诗篇37:16
27654,UgwFV-nELZzCVufZkxl4AaABAg,12,watching you make food makes me so hungry! even the snail soup looks sooo good and i don't even like snail!,看着你让食物让我如此饿！甚至蜗牛汤看起来都很好，我什至不喜欢蜗牛！
10793,UgxOX1A58bvdzRRQIzB4AaABAg,12,"sister ziyi, grandma zi is good, take care of her body. sister zi, also should be maintained by hand, apply some skin care oil. the show is good, praise, support.",子柒姐，子柒奶奶好，保重身体。子柒姐，手也要保养，涂些护肤油吧。节目好，赞，支持。
31776,UgxnJvlynXyoniJoWY94AaABAg,12,the dislikers are the ones who try to copy you and fail miserably. you are great and keep up the good work.,不喜欢的人是那些试图复制您并惨败的人。您很棒，并保持良好的工作。
1036,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9kChuqrGUn0,12,"ziyi is about to return, good news. she finally got 99 % of her company's equity.",子柒马上就要回归了，好消息。她终于拿到自己公司的99％的股权。
21259,Ugx4Ik49LafJWYFX_pN4AaABAg,12,awesome too good to be true the farm has everything and anything wow.,太棒了，太好了，无法实现农场拥有一切和一切哇。
28342,UgxsePMSzEGaet4r-Z14AaABAg,11,"i found a shocking secret




video poor reviews of the goddess are integer
and click will not increase
(but remember after trying it, please like it)
otherwise, people say that i am a black powder
i wish all the bad reviews are silly b (excluding the person who test)
besides, good -looking videos don’t know how to cherish it. actual bad reviews are really unreasonable.","我发现了个惊天的秘密




女神的视频差评都是整数
而且点一下不会增加
（但是记得的试了之后就点回赞）
要不然被人就说我是黑粉了
祝所有点差评都是傻b（不包括试的人）
再说咋么好看的视频不懂珍惜居然还在那边点差评真的是不可理喻的酸民啊"
13301,UgxDYRKHVNXcbDCaPEp4AaABAg,11,"this meal is good, i have seen it very healing. is it time to reflect on whether modern people should return to the truth.",这餐好，我看了非常 疗愈。反思现代人是不是该返璞归真。
19073,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392CulH9zLhK,10,"hi daisy, the absolute majority of them are friendly and kind. please also use common sense to keep yourself safe. good luck in asia.",嗨，黛西，他们中绝对多数是友好而友善的。还请使用常识来确保自己的安全。在亚洲祝你好运。
31479,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yVxZ_yY3al,10,@franzpeters3824 man that's no good... i just watched tom&jerry which happened to be recommended by youtube yet has 11m views but only 234 comments! no! no tom&jerry please!,@franzpeters3824不好的人...我只是看了youtube推荐的汤姆和杰里，但只有1100万的观看次数，但只有234条评论！不！没有汤姆和杰里！
23801,UgyGl39WXphwFl8C38p4AaABAg,9,i super love the video; but i'm just wondering if she has a production team with her though? the video quality is really good.,我非常喜欢视频；但是我只是想知道她是否与她有生产团队？视频质量真的很好。
6725,Ugy6PO2ka7YBOAZDxIx4AaABAg,9,"what talent !
his preparations seem tasty. she takes care of her grandmother, concocts good little dishes, always smiling.
it radiates with joie de vivre as well.
i wish him a very good life ...","什么才华！
他的准备看起来很美味。她照顾祖母，炮制好菜，总是微笑。
它也随着乔伊·德·维弗（Joie de Vivre）辐射。
我祝他生活很好..."
18228,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92gO_vJWCvr,9,"lucy chan you need a real chinese to show you the good food and good restaurant in china, not just join to a visiting tour. the food they provided is always terrible.",露西·陈（Lucy Chan），您需要一个真正的中国人来向您展示中国的美味佳肴和美味餐厅，而不仅仅是参加访问。他们提供的食物总是很糟糕。
25107,Ugzlz3sojLU7Jb9s0o54AaABAg,9,"that water snail it so good, but now i can't find them at my near home",那水真是太好了，但是现在我在近家找不到它们
24035,UgzxAwjl_L_TkTKVGVF4AaABAg,8,"you are wonderful, just like the ladies of the past!!! do everything by themselves , without the help of a man!! i’m glad you have subtitles , so we can understand whatever you are doing!!! unfortunately there are at least 2 bloggers who are showing your videos , i hope you will do something about that, you do the work it’s not fair for someone else to get credit for all your efforts !! good night beautiful miss liz may god bless you and you dear grandma ❤️❤️",你真是太好了，就像过去的女士们一样！！！在没有男人的帮助的情况下自己做一切！！我很高兴您有字幕，所以我们可以理解您在做什么！！！不幸的是，至少有2位博客作者正在展示您的视频，希望您能为此做些事情，您做的工作对于别人的所有努力都不公平！！晚安美丽的丽兹小姐愿上帝保佑你和你亲爱的祖母❤️❤️
13775,UgxjCxC58UXfRSqor_94AaABAg,8,"i don't know what it is.
but it looks very delicious and good for your body.

... i want such a wife.","我不知道那是什么。
但是它看起来非常美味，对您的身体有益。

...我想要这样的妻子。"
20376,UgzG8D0rsmIpDUruUaB4AaABAg,8,"you are magician! looking your videos, i feel like meditating. and yes - you are very beautiful lady. good luck to your chanel",你是魔术师！观看您的视频，我觉得自己像冥想。是的 - 你是非常漂亮的女士。祝你香奈儿好运
31470,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yVl105ZRYQ,8,i'm assuming this is visible in china too. when you have over a billion people that subscribe and you make good content you're gonna get a lot of views. well earned.,我假设这在中国也可以看到。当您有超过十亿人订阅并制作好内容时，您将获得很多视图。赚钱。
33278,UgyNgzSfPXGIZudbv514AaABAg,8,"you are such a good person, your kindness to those old people is truely beautiful",你真是个好人，你对那些老人的好意真漂亮
5200,Ugw9prFTa6l8r6WDyeZ4AaABAg,8,"how beautiful, ๐ ๐//uction good to authors video",多么美丽，
29449,UgzV5SRrEU2-VIvbK7h4AaABAg.8yWoRCHc-JA8yaExTyjkhI,7,"@franzpeters3824 every country has its sad or tragic history. why not accept we have a good culture and we are being better? this peaceful video still evokes your evil prejudice, shame on you",@franzpeters3824每个国家都有悲伤或悲惨的历史。为什么不接受我们有良好的文化，而且我们正在变得更好？这个和平的视频仍然唤起您的邪恶偏见，对你感到羞耻
6914,UgzhLfv10DLOfN-W8Xl4AaABAg.9DrBV-z1UcC9Dwcee9cLPp,7,@milkknife my statement holds true irrespective of whether marvel is good or not...๐คทโ€โ๏ธ me a thanos fan btwโ๏ธ,@milkknife我的陈述是真正的说法
10656,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU79960s058EO9,7,iram savir yeah it's true. i just think their comments are really annoying. don't be bothered by them. wish you a good life:),iram savir是的。我只是认为他们的评论真的很烦人。不要被他们打扰。祝你生活愉快:)
11211,UgyWvyN1dqTYozgewT54AaABAg,7,i really got try more actual chinese food. this looks so good and i dont even know what it is.,我真的尝试了更多实际的中国菜。这看起来很好，我什至不知道它是什么。
9029,UgzhzWVbJJOaHS4REKt4AaABAg.9AX5_LiL_FU9Ah1T9kjfkY,7,"in russia, they plant potatoes from edge to edge,a good food reserve.",在俄罗斯，他们将土豆从边缘到边缘种植，这是一个好的食物储备。
33386,Ugyw1womNBpfv1uDG7l4AaABAg,7,i love how you take care of your granny liziqi. you’re a goddess of warmth and goodness.,我喜欢您如何照顾您的奶奶Liziqi。您是温暖和善良的女神。
14426,Ugzmc0B8o9ur4Y1QRod4AaABAg.94CWh5dBXqR94Lltn5pFej,7,she interesting because we all see a house wife you never really find now and day that will cook you a good meals when your hungry lol.,她很有趣，因为我们所有人都看到了一个家庭妻子，您现在和一天都从未真正找到，当您饥饿的大声笑时，您会为您烹制美味佳肴。
27396,Ugw46VstcC6MUQ5UIN94AaABAg,7,"why are there more than 2,000 likes such a good video?
is there a problem with your mind?","这么好的视频怎么还有2000多个按倒赞的
是脑子有问题吗？"
24901,UgyYFzWQrREGJVC1kj54AaABAg,7,youre taking good care of your love one. beautiful country!!,你照顾好你的爱。美丽的国家！！
11558,UgwOKaIWeB3nIXK7cUJ4AaABAg.97SYDnx5UUw985cc40zZHt,7,"yes. good job for the cameraman. li ziqi use to direct her videos but also in one of her recent interview, she said she no longer concern herself about that. looks like she trust the cameraman that he knows already li ziqi'style in filming. 
in my opinion it gets better and better.","是的。摄影师的好工作。 Li Ziqi用来指导她的视频，但在最近的一次采访中，她说她不再担心这一点。看来她相信他在拍摄中已经知道的摄影师。 
我认为它越来越好。"
2119,UgzHI6jIDQsDSveexQN4AaABAg,7,"without the communist party, there is no such good life",没有共产党就没有这样美好的生活
16557,UgyfNNvJXVw23KxZbc94AaABAg,6,how good you are cooking congratulations,你做饭的好祝贺
27039,UgzXlDFDWD_hVdaDZqZ4AaABAg,6,"having a quiet life is good. those that talk too much do not know how to listen.

i do not live in a lush country, actually a 1 bedroom flat in the city of london, but i am blessed with a quiet peaceful life amongst the chaos. its just me, my husband and daughter, but taking care of them and my in laws, cooking, studying islam, praying and just playing with the kids has resulted in soo much inner peace and contentment. no tv but internet in home. 

thanks to help make people appreciate the quiet life.","过安静的生活是好的。那些谈论太多的人不知道该怎么听。

我不住在伦敦市的一个郁郁葱葱的国家，实际上是一个1卧室的公寓，但我在混乱中度过了宁静的和平的生活。它只是我，我的丈夫和女儿，但是照顾他们以及我的法律，烹饪，学习伊斯兰教，祈祷和与孩子们一起玩，这使人内在的和平与满足。没有电视，但是在家中的互联网。

感谢帮助人们欣赏安静的生活。"
13703,Ugy0oi5FQjoqMn4BlLR4AaABAg,6,"i want my life to be like this....





but instead my life is filled with peer pressure, stress, depression, homeworks, and projects.
good thing i have friends to forget about my problems","我希望我的生活像这样。





但是相反，我的生活充满了同伴压力，压力，沮丧，作业和项目。
好东西，我有朋友要忘记我的问题"
15016,UgwYecw1FHL-LzOnq-x4AaABAg,6,good meal cooking with grandma to eat good wisdom and wishes the whole family to be healthy,好美做饭跟奶奶一起吃好贤慧，祝福全家安康
18988,UgxDmeQqxqcs8QxcNxp4AaABAg,6,good production exceeds cctv,制作精良都超过央视了
15137,Ugxr-BS9YhA19nBwFtx4AaABAg,6,"i would pay the price of high end french restaurant for her meal, it’s so good and healthy.",我会为她用餐的高端法国餐厅付出代价，它是如此健康和健康。
23862,Ugy-tFD5Uf3x5y32PXN4AaABAg,6,she’s good at everything,她擅长一切
3936,UgxvqohFAkcpGFFU7T14AaABAg,6,"may god take care and keep you ... may your presence become increasingly strong in your life, protecting you, guiding strengthening your faith ... good morning!",愿上帝照顾并保留您...愿您的存在在您的生活中变得越来越强大，保护您，指导您的信仰...早上好！
27253,UgxSafRcwqP8Y38qfml4AaABAg,6,hello! i am a taiwanese who just followed the video. seeing every step of your cooking is easy to heal. i like cooking. i hope it can be as good as you.,妳好！我是刚追踪视频的台湾人，看妳做料理的每一个步骤都好疗愈，我喜欢烹饪，希望可以和妳一样厉害
11403,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97v18fuVoNF,6,"logicone did you even know what a weeb is? people like you? lol 

haters like you are always haters as you only believe what you think so. she does it successfully and somehow show us the beautiful parts of china ( and of course that won’t be the whole of this nation). of course the authority would like to take advantage of it and why won’t they? did she even mention anything good about china in any of her videos? no. she only shows her works and people like them. that’s all. 

you didn’t see how her works started to go viral from the scratch in the past because of her diligence but only see she makes lots of money now because of these elaborate works. what a shame! 

well, since you have used the term “propaganda”, i somehow understand now. you might be just one fo the haters against china, which making you think whatever comes from china is a fake, especially when the authority of china also admires them. i have no issues about that. it’s ok. it’s your freedom. but, don’t claim you did the research. liar!","逻辑您甚至知道WEEB是什么？人们喜欢你吗？哈哈

像您这样的仇恨者永远是仇恨者，因为您只相信自己的想法。她成功地做到了这一点，并以某种方式向我们展示了中国的美丽地区（当然，这不是这个国家的整个国家）。当然，当局想利用它，为什么不这样做？她甚至在任何视频中都提到了关于中国的任何好处吗？不，她只会展示她的作品和喜欢他们的人。就这样。

由于她的勤奋，您看不到她的作品过去如何从划痕开始流行，但只能看到她现在赚了很多钱，因为这些精致的作品。真丢脸！

好吧，由于您已经使用了“宣传”一词，所以我现在以某种方式了解。您可能只是仇恨中国的人，这使您认为来自中国的任何东西都是假的，尤其是当中国的权威也钦佩他们时。我没有问题。没关系。这是你的自由。但是，不要声称您进行了研究。说谎者！"
8093,UgwAFN6lh1StPXmAxxR4AaABAg,6,healthiest man on earth is he who marry this lady. good health is happiness. is there anyway i can marry this young lady?๐ญ,地球上最健康的人是嫁给这位女士的人。身体健康就是幸福。无论如何我可以嫁给这个小姐吗？
35207,UgwKlpoOlupFl_3y8oV4AaABAg,6,"every year, you are a thousand good on the occasion of the blessed eid al -adha",每年，在祝福的开斋节时，您都会有一千件事
7255,UgyQRbcovcsNWpMNbcJ4AaABAg,6,"really like your videos. thank you your channel, i look with pleasure. good luck!",真的很喜欢你的视频。谢谢你的频道，我很高兴。祝你好运！
7775,UgxVc_iZpXIzyoTiQ2R4AaABAg,6,she has everything in her garden.she is also very beautiful and good cooker.i want a nice garden like her.,她的花园里有一切。她也很漂亮且很好的炊具。我想要一个像她一样的花园。
12935,UgytWROnurt7fOcPZJp4AaABAg.968AXRHyf1Z96RB-pjpNd_,6,"@usheffi pls don't bring that false bullshit... an healthy amount of meat is actually good for the body... cos it's good protein... just becos you don't eat it, doenst mean it's bad...",@usheffi请不要带来那个虚假的废话...健康数量的肉实际上对身体有益... cos这是好蛋白质...只是您不吃它，doenst of do noen toen nark toce noce noce nat糟糕...
10654,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU798xy7d2DRDA,6,"@yoongles467 okay haha, you think that's her real life??? i strongly doubt that. she has a whole team filming this for her, including people teaching her how to prepare the ingredients, how to make her food looks good, how to make herself looks good and how to make all these look real.",@yoongles467好吧，哈哈，你认为那是她的现实生活？？？我强烈怀疑。她有一个整个团队为她拍摄这件事，包括教她如何准备食材，如何使自己的食物看起来不错，如何使自己看起来不错以及如何使所有这些看起来真实的人。
3165,UgwOK9gMgYGEHKAX1vt4AaABAg,5,"i've been watching her channel for a long time, i have to say it's very good. i wish you good health.",我已经看了很长时间了，我不得不说这很好。祝你身体健康。
