,cid,votes,含awesome,含awesome中文翻译
48283,UgwBblU4QoNakBytV7p4AaABAg.8qnEvWoqSAp8qpmqIGz7eE,0,"i enjoy her vids as much as the next. but to say that she brings hope to peace on earth is just plain stupid. she is human. i don't know her as a person and i don't need to. she makes awesome vids and i respect her for that. whatever she does besides this, is her choice and her life. you want the world to be better? start with yourself.",我和下一个一样喜欢她的视频。但是要说她给地球上的和平带来了希望，这简直是愚蠢的。她是人类。我不认识她，我不需要。她做了很棒的视频，我为此尊重她。除此之外，她的选择是她的选择和生活。您希望世界变得更好吗？从自己开始。
48429,UgwSTmt6btbOLzhiRDd4AaABAg,0,"why the thumbs down 
this lady is awesome!!","为什么大拇指降低
这位女士很棒！"
48464,UgwLuixiYDao6N1XZXB4AaABAg,0,"i like the nature of the girl, authenticity, and unwillingness. her works make people feel comfortable, heal, and awesome. remind me that the world is still beautiful and hopeful.","喜欢柒姑娘的自然, 真实,不矫情. 她的作品让人看了舒服, 疗愈, 给力. 提醒我这世界还是美好的有希望的."
48678,UgwxtCJouDz8byBN_fx4AaABAg,0,awesome,惊人的
48707,Ugw3qgar4MioMEzYBaR4AaABAg,0,"so many treats! :d and digimon music. awesome. 
the tiny animals are so cute, too.","这么多点心！ ：D和Digimon音乐。惊人的。
小动物也很可爱。"
48862,UgzhlpHS1lycExqS3_h4AaABAg,0,awesome video. i really enjoyed watching it. keep up the good work ❤️,很棒的视频。我真的很喜欢看它。保持良好的工作❤️
48917,UgxLP5hanA253N63LwB4AaABAg,0,rlly awesome video,rlly很棒的视频
48925,UgzpJv0R6zCkt4MZ3-Z4AaABAg,0,awesome,惊人的
47240,UgyCqlDufuEjLNkGAnN4AaABAg,0,awesome video !!!!,很棒的视频！
49006,UgxFxiF3A6WdYtVjqth4AaABAg,0,"happy new year li ziqi & to ur grandmother &happiness ❤❤❤❤❤ ur are 1 in a million unique talented kindhearted young lady 
thank u very much for sharing all your beautiful awesome videos .... iam learning alot from your talent & creative healthy cooking & handicraft & ur grandmother","新年快乐李Ziqi＆tor ur祖母
非常感谢您分享您所有美丽的令人敬畏的视频。...我从您的才华和创意健康烹饪和手工艺品中学习了很多❤"
50173,Ugw_PmeqNQmOlRqwnH54AaABAg,0,you are very awesome great & strong woman.. amazing 'm from indonesia,你是非常棒的伟大而坚强的女人..令人惊讶的
50135,UgzIOzvHu_nUQJIyBYJ4AaABAg,0,happy new year. she is awesome.,新年快乐。她真好棒。
50119,UgxSDFbEMgqwOdrktxV4AaABAg,0,you are so awesome .. really !,你真棒..真的！
49134,UgwJzXzN7Fvq_OaoRs94AaABAg,0,you are unimaginably awesome... lots of love from india,你真是太棒了...印度的很多爱
49183,UgzHk_lLbYCkh04RBXZ4AaABAg,0,u r awesome. love u from india.,你很棒哦。从印度爱你。
49189,UgygEqp8KqZFJNl-VrR4AaABAg,0,awesome video,很棒的视频
49376,UgxepZjzWhPI38d9Mu54AaABAg,0,this girl is awesome.,这个女孩很棒。
49387,UgzkKuk53DoWSlDrkM94AaABAg,0,awesome!,好犀利！
49690,Ugw25kgMb0oznGONtTJ4AaABAg,0,can you make something for the puppies to eat once that be awesome,你能给幼犬做点什么吗
49727,UgxxK3LkyvE6udEkT_x4AaABAg,0,such an awesome one! i love sweets!! how can anyone thumbs down her videos? this is all her hard work!,真棒！我爱甜点！谁能打动她的视频？这是她的全部辛勤工作！
49915,UgxtTTFGRqGBuoXPfrB4AaABAg,0,"woah!!! she’s just amazed me, how awesome she is. watching from laos",哇！！！她只是让我惊讶，她真是太棒了。从老挝看
47292,UgzLd37Socv4eLHbokp4AaABAg,0,happy new year's <3 one day i want to be as awesome as she is <3,新年快乐<3我想像她<3一样很棒
47213,Ugz_ImiNiHvoTQa6FfN4AaABAg,0,"it's all the new year's goods we saw when we were young! the sugar gourds have been lost for a long time. the blogger is awesome, and there is everything in the back of the family. i like to watch the blogger's hands and feet, and i am doing it!",都是我们小时候见到过的年货！糖葫芦江湖失传许久。博主牛逼，家里后山什么都有。喜欢看博主手脚麻利，样样拿手！
43917,UgxYyuhsfsjTG0JBH914AaABAg,0,awesome,真棒
45323,Ugz58X0bq0E2e88QXPx4AaABAg,0,thats an awesome popcorn maker they have here!!,那是一个很棒的爆米花制造商！
43989,UgzkpTJvuub3QgTgOHB4AaABAg,0,awesome,惊人的
44076,Ugxd0lK1ZB94kbyeFBB4AaABAg,0,"she is really awesome!!! 
#shesavage","她真的很棒！！！
#shesavage"
44494,UgyuDWJTE6FQzYlwAzF4AaABAg,0,that popcorn machine is so awesome.,那台爆米花的机器真棒。
44625,UgyimXK_CvpZG8yra-N4AaABAg,0,what a beautiful clip!!! she is awesome!!! so delightful to watch her making all these yummy and healthy goodies!,多么美丽的剪辑！！！她很棒！！！很高兴看到她制作所有这些美味而健康的好东西！
51502,UgyLXSvfttA2GdfAFrJ4AaABAg,0,awesome video tq u,很棒的视频tq u
44626,UgzV4O-nrJQ1Cti-A8R4AaABAg,0,awesome. ❤,惊人的。 ❤
49925,Ugw-WdLYVZ3gGVJLaa54AaABAg,0,awesome video,很棒的视频
44716,Ugyep_MXpgTezuK3ibB4AaABAg,0,awesome video,很棒的视频
44894,UgwwC1j3l3P5TinX6FB4AaABAg,0,awesome channels,很棒的频道
44895,UgxL1C9Ldx8Hl4dM5Ot4AaABAg,0,"she's so awesome but, i was waiting for her to give food to the puppy's",她太棒了，但是，我在等她给小狗的
50477,Ugzzz3OdisGfheRJm_l4AaABAg,0,"when i was in the video, i thought it was when i was in the countryside. as the stars will really fall, the sky shines. you can feel it indirectly. awesome !!",当我在视频中时，我以为是我在乡下的时候。随着星星的真正落下，天空闪耀。您可以间接感觉到它。惊人的 ！！
44967,UgwoZO3R2OBx_foFT2J4AaABAg,0,where the hell on this do you live?? such a soothing place .. those little tots around u are just so awesome.,你住在哪里？如此舒缓的地方。.周围的那些小小孩真是太棒了。
45413,Ugz8eHIPykmwC8Gp5fh4AaABAg,0,ur looking so cute and ur cooking awesome...,你看起来很可爱，你的烹饪真棒...
46789,Ugz6Yl070G25UL9Unmp4AaABAg,0,lovely video i watch all ur videos n ur all videos are perfect n this one is awesome bcz u hav shown all those things which we see in the markets only thnx alot...but still waiting for the methods in english,可爱的视频，我观看了所有视频n ur your所有视频都是完美的，这是很棒的bcz u hav显示了我们在市场上看到的所有这些东西，但仍在等待英语的方法
45538,UgxMB7Fq7kGX5kCebEd4AaABAg,0,awesome! thank you very much for sharing with us...,惊人的！非常感谢您与我们分享...
45554,UgziIi8DkR9svU5QTI54AaABAg,0,she is awesome she works so hard. she is a super women,她很棒，她很努力。她是一个超级女人
45582,Ugzy7m8tJPmP3rN0gDx4AaABAg,0,ur video is awesome. no doubt. but it seems like u dont luv ur pets. u dint even luk at them when they were begging ur luv. u were just busy in ur chores. i felt so bad for them. i wish i had those cuties,您的视频很棒。毫无疑问。但是似乎你不爱你的宠物。当他们乞求你的爱时，你甚至对他们涂了卢克。你只是忙于你的家务。我为他们感到难过。我希望我有那些可爱的
45700,UgyN-TYuhKjl6rzTQTp4AaABAg,0,you are forced to be awesome,你牛逼牛逼牛逼
45901,Ugw9uKK2nohyyRpic5l4AaABAg,0,awesome perfection,很棒的完美
50452,UgwY7koHe7rZhsrWrqt4AaABAg,0,"ohhh my god u r awesome girl,im a women but u r tempting me to marry you",哦，我的上帝，你真棒的女孩，我是一个女人，但你诱使我嫁给你
38790,UgxEkzC-sTg2e597bQJ4AaABAg,0,your cameraperson is just awesome. captures every moment. love all your videos ma'am.,您的Cameraperson真是太棒了。捕捉每一刻。爱你所有的视频女士。
46010,UgzADEJF-RNn8GZEXAV4AaABAg,0,awesome,惊人的
46404,UgzqBD_pvodjcP44-dF4AaABAg,0,awesome!,真棒啊！
46527,UgxZ3ir2VMjBO7ahtjV4AaABAg,0,this lady is awesome... i kept thinking to myself i was like looking at a character straight out of a story book about a country girl from decades ago when the life was more simple.,这位女士很棒...我一直在思考自己，我就像是在一个故事书中直接看着一个关于几十年前生活更简单的乡村女孩的故事。
46632,UgwrgkYQEURL6TSjfiB4AaABAg,0,u r awesome baby,你很棒的宝贝
50359,Ugwq5JcP_iS2yWHMrV54AaABAg.8qlk_qbGlqs8qlsXxz3vvy,0,yes no thats awesome!! thank u for this!,是的，那太棒了！谢谢你！
437,UgzLWfEEYLfpFD4z77l4AaABAg,0,videography is awesome,录像很棒
33437,UgzZf8hm5qUT3Ju-rz54AaABAg.8vG9z0mfQKl8vK2kF4yYkk,0,pia awesome. itโ€s not lemon. it called grapefruit. it tastes like orange and lemon. and the peel of this fruit can make fruit tea with honey.,皮亚很棒。不是柠檬。它称为葡萄柚。它的味道像橙色和柠檬。这种水果的果皮可以用蜂蜜制成水果茶。
38752,UgwBujUK0T_BdwUJrO14AaABAg,0,awesome,惊人的
38684,UgzD0MD8_0Jvaqqi3nt4AaABAg,0,"thisss soooo awesome!!!! ,sub๐’",这太棒了！ ，子
13932,UgyaYLvIXs56z_qS_sV4AaABAg,0,awesome yr,很棒的一年
14258,Ugw15VCKRJEuY5B-2yF4AaABAg,0,"she is incredible!!

you'r awesome lizigi!!","她真是不可思议！

你很棒的利兹吉！"
14317,UgxgDvSRolU3S6533wN4AaABAg,0,"u have a rich life that envied by many people out there. u have it all, the beautiful skies, the green sceneries, the fruit trees, the cute doggos, omg. ur very awesome!",你有很多人羡慕的生活。您拥有一切，美丽的天空，绿色的风景，果树，可爱的狗狗，天哪。你很棒！
14407,Ugyr0orVMbuyMZxq1-V4AaABAg,0,wow your so amazing cooking girl awesome that you are like crazy lods.,哇，你真棒的烹饪女孩真棒，你就像疯狂的洛德。
14485,UgzEX_S8hmlguSWY0qp4AaABAg,0,awesome!,惊人的！
14909,Ugz4a24cxoZZVSzlvEN4AaABAg,0,she has a multifunction pan. awesome!,她有一个多功能锅。惊人的！
15386,UgypViIkZvQY_gbkcyh4AaABAg,0,awesome,惊人的
15508,Ugxk2LAm3th7llmen1F4AaABAg.99WYoclmxVE99WtIzerT9d,0,"awesome, she seems can do anything by her self , from cooking, gardening, farming, raising animal, makes handcraft, even editing video can be done by her self too. such a talented woman",太棒了，她似乎可以自己做任何事情，从烹饪，园艺，耕种，养育动物，制作手工艺，甚至编辑视频也可以由自己完成。如此才华横溢的女人
15984,UgwqH7HBxu_HAT9YAs94AaABAg,0,you are awesome,你太棒了
17540,UgzulEYqx1KIDT35CC14AaABAg,0,omg awesome,天哪，很棒
17655,UgykqT0a-33mFzQIepZ4AaABAg,0,"i just love her❤️❤️❤️♥️
the way she silently and awesomely cooks its just a wow work.. i want to meet her","我只是爱她❤️❤️❤️
她静静而令人敬畏地做饭的方式只是一个哇的作品。我想见了她"
17712,UgxLKd2dBWQzw53lrDV4AaABAg,0,"really awesome, this woman",真的很棒，这个女人
17752,UgxHbT9avdvelle4Z7N4AaABAg,0,she is awesome her food look amazing i wish i can have some,她很棒的食物看起来很棒，我希望我能拥有一些
18188,UgyuOInvdhveomqXXd94AaABAg,0,awesome... very inspirational,太棒了...非常鼓舞人心
18556,UgzTFe9scjLyQNJ428x4AaABAg,0,the bruises are deeply awesome !!!!!!!!!!!!!!!!,瘀伤非常棒！！！！！！！！！！！！！！！！！！
18935,UgxOSOtHFYlnQAdDUJZ4AaABAg,0,this soooooooo awesome .daaaaaaamn i love it,这个太棒了。Daaaaaaamn我喜欢它
18992,UgzuBOyvXuU1l0FnNdx4AaABAg,0,awesome,真厉害
19203,UgxKtOBfep12rF1V8Al4AaABAg,0,this is awesomely plugging?,这是令人难以置信的插头？
19462,Ugy_QzqW3SG-NLjCB-J4AaABAg.95ldyyr5X1u96zeW9srEu_,0,"@amazingabby25 wicked guys,wicked soul，i just merely enjoy the awesome video",@Amazingabby25邪恶的家伙，邪恶的灵魂，我只是喜欢很棒的视频
19550,Ugz4XUuDcFOD8-8JkYB4AaABAg,0,she is just awesome love her place food and she is so cute :),她真是太棒了，爱她的地方的食物，她真可爱:)
19852,UgycrnucLTV0uUY9S414AaABAg,0,"awesome awesome awesome 


","很棒的很棒


"
19862,UgwMrzSLMmdXFT43vZJ4AaABAg,0,you are awesome,你太棒了
20131,UgxyDQaGUzuiliB2T4p4AaABAg,0,qiye is awesome!,七爷牛逼！
20163,UgzFK-X3ZDI-nBXFkeh4AaABAg,0,the outdoor oven is awesome.,室外烤箱很棒。
20994,UgzrOUU-_8FHN9LLjPZ4AaABAg,0,"exploding popcorn?


thats awesome...","爆炸爆米花？


棒极了..."
21857,UgwhRWIcAupqoRtLVYx4AaABAg,0,awesome,惊人的
21858,UgynGa2sH8JGXwxobBx4AaABAg,0,i love everything about her vedio...n videography is just awesome โค,我喜欢她的vedio ... n摄影简直很棒❤
22611,Ugyj1QVemu5bf8s4x4J4AaABAg,0,ziyi is awesome! come on!,子柒真棒！加油！
22745,UgwtEbg7h_0o_5qVr3Z4AaABAg,0,awesome,真厉害
13631,Ugyuaw3GYCQlikOwU4Z4AaABAg,0,"awesome!!!!
what a good granddaughter........
she's sooooo good at coooooking......","惊人的！！！！
多么好孙女........
她很擅长创图……"
13222,UgyARh_1BY8dHAdvtaZ4AaABAg,0,"so awesome but my bad couldn’t read chinese,some of the ingredients are bit confusing it would be awesome if could see it english too",太棒了，但是我的坏读过中文，有些成分有点令人困惑，如果也能看到英语，那将很棒
13123,UgwpRSBPnXtBfJojWi14AaABAg,0,awesome.....ur doing hard work,太棒了.....你做辛苦的工作
7366,Ugy8yceuCc1YLIL9hQ94AaABAg,0,wow everywhere you can created the wonderful food .awesome!!,哇，您可以创建美妙的食物。
2125,UgyG54uYXb8xP5zn8cF4AaABAg,0,you are just awesome ❤️❤️❤️,你只是很棒的❤️❤️❤️
2201,UgzUZ-1n9hMXlb63f294AaABAg,0,awesome,厉害厉害
2314,UgxAkOlWvIod95PEqVx4AaABAg,0,awesome,惊人的
2450,UgzFz9WMjSVxbP_FmAx4AaABAg,0,"despite all awesome things you do this, you do this for your pleasure or you have a business in organic food ?:d",尽管您做到了所有的事情，但您还是为了快乐或从事有机食品的生意？：D
2473,UgxGEo0YhqqJozI2_rB4AaABAg,0,the cameraman is just awesome,摄影师真棒
2621,UgygAXI4Cp0f7tomPA54AaABAg,0,awesome!,惊人的！
3046,UgwWnrMOsB_zRZdOMPx4AaABAg,0,awesome,惊人的
3096,Ugw2stzwDseSmoYP59J4AaABAg,0,how people disliked this awesome masterpiece video...?,人们如何不喜欢这个很棒的杰作视频...？
3375,UgwwgS39wmLZeW65N3t4AaABAg,0,hardworking women great job looking awesome all,勤奋的女人出色的工作看起来很棒
4515,UgyV_E-rfkXpfnBCA0l4AaABAg,0,you are awesome,你太棒了
4607,UgxtQClDePOKK-DJFoZ4AaABAg,0,awesome sister,很棒的姐姐
5441,UgxS7tTueorW9GF60x94AaABAg,0,wow.......awesome,哇.......很棒
7365,UgxBDZpCL9V7wPf9wuN4AaABAg,0,awesome,惊人的
8666,UgwTlHB_SevOKa1xuJl4AaABAg,0,feels like to settle there 's really awesome place close to nature type ❤️❤️❤️... video was awesome,感觉就像要在那里定居。
12967,UgxtZQp9EvjmikfHKpl4AaABAg,0,"who are you and where did you get all that know how..you work like a full grow man...for a small lady,,you have the power of three woman maybe five...you flow in to your work like water..you my dear are awesome and one of a kind...watching you work is like a well planed play with one actor..wow!",你是谁，你从哪里得到的一切知道你的工作。 ..您亲爱的，真是太棒了，也是一种...看着您的工作就像是与一位演员一起计划精良的戏。
9099,UgwFVYDSYZCr4GW5fyR4AaABAg,0,"i love you .
awesome place and girl.
and also shoot very well .","我爱你 。
很棒的地方和女孩。
而且射击也很好。"
11067,UgxqbXAti6A3_kwiabl4AaABAg,0,how many cameraman she has? this is awesome!!!!!! ๐ฅฐ๐ฅฐ,她有多少摄影师？这太棒了！！！！！！
11301,UgzAcENa7gG8m1YLVR14AaABAg.9Elg2pFNdEC9EnrQFUzbZk,0,@moevis1437 thank you so much! awesome name by the way,@moevis1437非常感谢！顺便说一句很棒的名字
11379,UgzNK_gJSV8lho0kq294AaABAg,0,"she is truly an inspiration. ๐i watched almost every videos in her channel. โค๏ธ makes me want to live a simple life too. to everybody enjoying it as well i wanna share with you my friend's music and hopefully liziqi notice it too (would be truly awesome ๐). he writes very good music for free and it's a nice way to enjoy life even on quarantine. let's all share positivity and love. you can check the link below! ๐€
https://m.youtube.com/channel/ucdexl2evplsj8dvfv4cmcga","她确实是一个灵感。 
https://m.youtube.com/channel/ucdexl2evplsj8dvfv4cmcga"
11425,Ugw4x88DGNwK73gpB6l4AaABAg.9EcfTxEEIAV9FkO4ZHx9RV,0,i agree with you ๐‘ she is awesome ๐,我同意你的看法。她很棒
11462,UgwOcJ7TsB6ZVgG8Nuh4AaABAg,0,69 million views?! that's awesome! wow. that some good money for her farm. ๐€,6900万观看次数？棒极了！哇。这对她的农场有些好钱。
11465,UgzSXNQ4TXP_IO-RRol4AaABAg,0,love your talent. you are awesome ๐‘,爱你的才华。你很棒
11865,Ugwl7Gfa6sKeO149uWd4AaABAg,0,li ziqi ur so awesome ๐ฅฐ๐๐คฉ,Li ziqi ur so awesome
12172,UgxByVvzemjHqtyIc3B4AaABAg,0,"ur videos r awesome
melon seeds are edible ah..","您的视频很棒
瓜子是可食用的。"
12753,UgwiOqb-Kzoin8wct8F4AaABAg,0,this is gonna sound sexist.. but i wish she was my wife... i don't even like to get married. that's how awesome she is...,这听起来是性别歧视的。但是我希望她是我的妻子...我什至不喜欢结婚。她真是太棒了...
12794,Ugw27Q4i4NnaLlCObyt4AaABAg,0,awesome! come and cook for me please.,惊人的！快来为我做饭。
12806,Ugx-LhB0EyAcmvIp9eV4AaABAg,0,"is there anything that li ziqi cannot do？this amazing, hardworking lady is the embodiment of all things bright and beautiful. you are simply the best ziqi and you deserve nothing but the very best. thank you for everything that your awesome videos bring to all of us.",李齐（Li Ziqi）做不到的事情是，这位神奇而勤奋的女士是万物明亮和美丽的体现。您只是最好的Ziqi，只有最好的东西。感谢您提供的真棒视频带给我们所有人的一切。
12930,UgzX7aQBtcjil1GYWfZ4AaABAg,0,"you are awesome 
","你太棒了
"
23005,UgxjQisV9M1lC4gUmqF4AaABAg,0,"the shooting is too professional, this photographer is awesome",拍摄太专业了，这个摄影师牛逼
23778,UgzqMMOp4QWQrFyG2OV4AaABAg,0,it would be so awesome if she sold snacks like these on her website. ๐,如果她在网站上出售了类似的小吃，那就太棒了。
24251,UgyMe6wtN4_yvWSg_Cd4AaABAg,0,woman you are pretty cooking awesome,女人，你很烹饪很棒
34892,Ugyy0a61b1EdL-0x4Md4AaABAg,0,it feels like i'm watching real life version of some kind of mental healing japanese anime. my soul is completely purified....awesome video!!!,感觉就像我在看现实生活中的某种心理康复的日本动漫。我的灵魂完全纯化了....很棒的视频！！！
33000,UgzCjokzEJukodH-kQN4AaABAg,0,you are awesome,你太棒了
33191,UgxeKXpFziBL-1OIl_t4AaABAg,0,wouldnโ€t it be awesome to live like that...wait is that ยซ castle in the sky ยป playing in the background ?!!!!!!! yes!,那样的生活会不会很棒...等等，那是“天空中的城堡”在后台玩吗？是的！
33272,Ugy_9cxIrRgPJmppt-R4AaABAg,0,i want to visit this place once in my life time. . this is sooooooooo awesome to be in such a place,我想在我的一生中访问这个地方一次。 。这真是太棒了
1641,Ugwr7Oa-jE1_ZNOHfpB4AaABAg,0,and i love you and ypur grand mom you are awesome i love china and i hope some day i gp and visit this great country,我爱你和ypur大妈妈，你很棒，我爱中国，希望有一天我GP并参观这个伟大的国家
33443,UgxfmviT0sUs0F44q7x4AaABAg,0,"you guys awesome two puppy, little sheep and grand mama also liziqi. proud of you guys. when i was kids i was grow up with my grand ma like you.",你们很棒的两只小狗，小绵羊和大妈妈也是利兹奇。为你们感到骄傲。当我小时候，我像你一样和我的妈妈长大。
33524,UgwbiCwBM5pR5zKNjY14AaABAg,0,that type of lifestyle seems awesome <3,这种生活方式似乎很棒<3
33693,UgxDFJyBbzJ9MIgfDP14AaABAg,0,amazing! will make so many snacks! awesome!,好厉害！会做这么多零食！太赞了！
33808,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48y0lkLaNu-T,0,@cantthinkofausername3185 awesome.. you made me laugh out loud. thank you.,@cantthinkofausername3185太棒了..你让我大声笑了。谢谢。
34149,UgwRdIWgUMrqAYkyh0B4AaABAg,0,awesome vedio๐ค—she is doing really hard work.,很棒的vedio
34248,UgxGV14dj0dp-h_IIeF4AaABAg,0,is nobody gonna ask why she is making so much food? like this is absolutely awesome but from what i saw i thought they were gonna have like 100 guests. almost everything she made is a dessert! their teeth are gonna fall out if all this is for them.. (maybe they gonna sell it? man this is intense stuff),没有人会问她为什么要做这么多食物？像这样，绝对很棒，但是据我所知，我认为他们会有100位客人。她做的几乎所有都是甜点！如果这一切是给他们的，他们的牙齿就会掉下来。
34272,UgwwFlOsPbp3Mwm-jOZ4AaABAg,0,the ending video is awesome .. puppy's trying to eat the ice cream..he he heee,结局的视频很棒..小狗试图吃冰淇淋。
34448,UgzIF_caUgoSp0eUZMF4AaABAg,0,simple things are the warmest things. she is awesome. * . *,简单的事情是最温暖的事情。她很棒。 *。 *
34807,UgwI2yEWIOEoWkJob5F4AaABAg,0,incredible.... awesome......,令人难以置信的....太棒了......
34946,UgyIUCZbX55yJ93aARN4AaABAg,0,"i need the recipe to these like....asap lol she is so awesome, i watch her at work when i should be working, on break, on my way home and before i go to bed. she is what keeps my anxiety down but the treats look really good i wanna try some๐’๐’๐’๐’",我需要这些食谱。她是让我焦虑的原因，但是我想尝试一些痛苦，我想尝试一下
32898,Ugx4-b7D4qwpzxQ-Z794AaABAg,0,awesome! i love watching this videos esp.the last part..the lady and her grandma and also cutie puppies...,惊人的！我喜欢看这些视频，尤其是最后一部分。
35180,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-96eQ3RfOZt6,0,yeah yeah.. she's awesome,是的..她很棒
35248,UgxCEeTtjwa5_js40Jd4AaABAg,0,beautiful woman cooking awesome dish๐,美丽的女人烹饪很棒的菜
35434,Ugy1HoB-jC7sV38v1Pp4AaABAg,0,"wow...its really awesome...
#mashungmizingkhai","哇...真的很棒...
#mashungmizingkhai"
35753,Ugy6qNbSFd6gOIwwTVN4AaABAg,0,this girl is so hard working! her videos look like scenes from an ang lee movie. thank you for sharing your simple but awesome life to us.,这个女孩是如此努力！她的视频看起来像是一部Ang Lee电影中的场景。感谢您向我们分享您简单但很棒的生活。
35894,UgzhMEPnrNT2w_HdQQF4AaABAg,0,ok but who knew sunflower seeds came like that... awesome,好的，但是谁知道向日葵种子来了...很棒
36267,UgwUaiwj-5YoVbJMAP14AaABAg,0,this gal works very hard. awesome things she does,这个女孩非常努力。她做的很棒的事情
36830,UgzOlWc24kS6XeGFYpR4AaABAg,0,the filmmaking is just so awesome,电影制作真棒
37110,Ugy0zShc_YVU0Gs2PpF4AaABAg,0,very awesome. cute too. thai people have,很棒。也很可爱。泰国人有
37380,UgzxKm1oFNgB__QE3Hd4AaABAg,0,awesome ๐,很棒的
38320,UgzDHkvBNdsvWr2ZzFN4AaABAg,0,"in my country, i used to celebrate the new year as well. you remind me of my childhood memories, thank you very much. this video is awesome",在我的国家，我也曾经庆祝新年。您让我想起了我的童年记忆，非常感谢。这个视频很棒
38410,Ugyp_0rvWnpAZwAPiVR4AaABAg,0,"this woman is...whoa.
awesome content!!!","这个女人是...哇。
很棒的内容！！！"
38498,UgyyajrGHiUn5sxK2tp4AaABAg,0,so much work and it's awesome.,这么多工作，真是太棒了。
38548,Ugwk6LmiG9rGZVEFlQB4AaABAg,0,awesome superb business patience and thought everything is superb like i memorized in india olden days present also some places like this people doing like,很棒的业务耐心，认为一切都很棒
32991,UgzjC3VFbJPk_BBnFS94AaABAg,0,awesome. from brazil. good videos.,惊人的。来自巴西。好视频。
32816,Ugz41dqT4kS_mQvAMu14AaABAg,0,awesome! there are so many content in 10 points!,真厉害！10分的时间里这么多的内容！
24335,UgxPUVyt3KI7F4eC_H14AaABAg,0,"i love watching your videos, the music and sound helps me relax and just what youโ€re doing is awesome. iโ€m glad i found your channel last year",我喜欢观看您的视频，音乐和声音可以帮助我放松，而您的工作真是太棒了。我很高兴去年找到了您的频道
28504,Ugx1U3FVMqqEizM9cc54AaABAg.8yULX7QVGYw8yW7u_tbDP2,0,"awesome space yes. she has a team. but i believe that her skills, house, plants and her love to her grandma are true. we can feel the natural life without phone, internet and crowd cities.",很棒的空间是的。她有一个团队。但是我相信她的技能，房屋，植物和对奶奶的爱是真实的。没有电话，互联网和人群城市，我们可以感觉到自然的生活。
24365,Ugx4-fmBDT41bwuiwX54AaABAg,0,"liziqi u r a great women......! now days who else is there to take care of there grandma..? but you are a awesome guy...,!",liziqi u a a伟大的女人......！现在几天还有谁能照顾祖母。但是你是一个很棒的人...，！
24662,Ugyeaowzxes0r4uEYkF4AaABAg,0,wow ๐. awesome ๐.,哇
24739,UgzoZuIlKEcgbp9p_0R4AaABAg,0,"i feel at peace with myself while watching ur all vg videos , feeling just awesome ,,great cool environment, so much peaceful weather, i just speechless , i love mountain area,",我在观看所有VG视频时与自己保持和平，感觉很棒，凉爽的环境，如此宁静的天气，我只是无语，我爱山区，
25432,Ugz6CBmVN8J-FODzfzh4AaABAg,0,the hard work that he knows do awesome ๐๐โบ๏ธ,他知道做的辛勤工作很棒
25804,Ugz_iuQs-VtdhpyrW6l4AaABAg,0,awesome ๐‘๐‘,很棒的
25933,UgwdqNG_AbOyxRhKPyZ4AaABAg,0,i think that its awesome how she does so much for her grandmother. you can see how much she loves and respects her. i wish more people would treat their elders so kindly.,我认为她如何为祖母做很多事情。您可以看到她有多爱和尊重她。我希望更多的人能如此友善地对待他们的长者。
26382,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy956Z8lliB9r,0,awesome โฃ๏ธ,很棒的❣️
26559,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9Calzvn12zu,0,awesome job! i'd also like to encourage you to read god's word. it has completely changed my life. i've suffered with depression myself and i understand how difficult even the most simple tasks can be. keep up the good work and may the lord bless you!,好工作！我也想鼓励您阅读上帝的话。它完全改变了我的生活。我自己遭受了抑郁症的困扰，我知道即使最简单的任务可能是多么困难。保持良好的工作，愿主祝福你！
26995,Ugx4VKPQK7lF3ev0kux4AaABAg,0,very nice i like it so awesome,非常好，我很棒
27123,UgwMAB_-ecZMTWxeLct4AaABAg,0,"her channel is ""life is awesome"" in facebook...",她的频道在Facebook中是“生命真棒” ...
27573,UgySlhWW5S_uaLZsOqN4AaABAg,0,your oven is really awesome,你的烤箱真的很给力哦
28470,UgyfQ02ViY3yHf-ZrDB4AaABAg,0,"li ziyi, i watched your video from douyin to youtube, you are awesome!",李子柒，我从抖音追到YouTube看你的视频，你真棒！
28499,UgziN3U-QDsHhYOLe5V4AaABAg,0,the environment you are living is quite awesome just awesome,您所生活的环境真是太棒了
28508,Ugx8tqFt0jwUSVjVeMx4AaABAg,0,awesome popcorn popper. does anyone know where i can get one ?,很棒的爆米花Popper。有人知道我可以得到一个吗？
32716,Ugy800mmFiW5Y1YrP-N4AaABAg.8vhRnJy5uF09MYwC6Y9qfG,0,awesome ๐,很棒的
28807,UgzlWzKg49AadK2sV5B4AaABAg,0,"wow she can do everything, awesome ๐’๐’",哇，她可以做所有的事情，很棒
28835,Ugw3bB8QgpBb5mLwPsB4AaABAg,0,awesome,惊人的
