,cid,votes,含dream,含dream中文翻译
24536,Ugytrq4-TNi6cBd3mFp4AaABAg,4,"oh my how i wish my life was like that, you're very lucky to be living such a beautiful and calming life i really like your videos they make me relax but a little bit sad because i could never have such life :p i really wish i could visit you it would be like a dream ❤️",哦，我的我希望自己的生活是那样的，你很幸运能过着如此美丽而平静的生活，我真的很喜欢你的视频，让我放松，但有点难过，因为我永远不会过这样的生活：P我真的希望我可以拜访你，就像一个梦想❤️
26445,UgzwBVLSCKpYYNQGsyh4AaABAg,4,this grandma is living the dream,这个奶奶正在实现梦想
14449,UgwPhI7ZQfU02OQjq2Z4AaABAg,3,subscribed! i'm in awe of your channel. it's like a dream!,订阅！我敬畏你的频道。就像一个梦！
11483,Ugw6XL-cuo0eX4BXpzN4AaABAg,3,"the land of my dreams... simple life, simple food i love that",我梦dream以求的土地...简单的生活，简单的食物，我喜欢
10990,UgyIHJ23ElbXk8r6kCh4AaABAg,3,i would love to live a peaceful life like this than in the city......this is my dream life....,我很想过这样的宁静生活，而不是在城市中……这是我的梦想生活。
15196,UgzO2GPrUfwVJd_LP9h4AaABAg,3,"liziqi is every man's dream wifey. <3. 
you are already my wife in my imagination.","利兹奇是每个男人梦dream以求的妻子。 <3。 
你已经是我的妻子。"
16489,UgyKgRtg4V7fuKXbd7l4AaABAg,3,dream wife,梦想的妻子
213,UgxXMZQNKWePC2v-OhN4AaABAg,3,"how wonderful. beautiful scenery and people like in the fairy world. very peaceful, beautiful, dreamy.",多么美妙。美丽的风景和像童话世界一样的人。非常和平，美丽，梦幻。
34723,UgwmUn5JOmEmBbKh4tZ4AaABAg,3,i dream of a wife like her.,我梦见像她这样的妻子。
23637,Ugyi9jeL3s_LpbGq1EZ4AaABAg,3,"hey cutie i love ur all videos
dis is dream house for me,","嘿，可爱的我爱你所有视频
迪斯对我来说是梦想的房子，"
3875,Ugx3SEVgGS0koQn16KR4AaABAg,3,her life like a dreamland.. so amazing !!,她的生活就像一个梦境..太神奇了！！
20154,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91oALfRazuC,3,"@ban_usury_worldwide well first of all making assumptions about people doesn't help your argument. i did study abroad in when i was in school, i've done humanitarian work abroad, i've travelled around the united states, i moved away from the city i grew up in. i'm just saying its unrealistic to live like this for the whole world. i dont want to argue with you cause you're just dreaming of a utopia and throwing insults so i'll just say based on your argument you sound more like stalin and mao than i do",@ban_usury_worldwide首先，对人们做出假设并不帮助您的论点。我在学校上学时确实在国外留学，我在国外完成了人道主义工作，我在美国旅行，我离开了我长大的城市。我只是说这样的生活是不现实的全世界。我不想和你争论，因为你只是在梦见乌托邦并投掷侮辱，所以我只是根据你的论点说，你听起来比我更像斯大林和毛泽东。
3102,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9ZUm5Jh_zMx,3,"this is my dream life! im in canada right now, and my dream would be to asap buy a big portion of land, so i can then go and with the money i am investing right now as a child, with my father, i hope its enough for me to start this. i already have plenty of ideas and watched a lot of videos of people like etienne levesque, who has a aquatonic greenhouse that works really well, even in the cold winters of quebec. im engaged in this, and im already learning my survival instincts as a chef corporal in cadet army. i dont know if i want to have an educaation to be a doctor, or to have and education about greenhouses and such. with my cadet background, i could join the army for a bit, or have a doctorate and be a family doctor, but in the army. with that, i have money, survival instincts and a plan b if anything goes wrong. a passion of mine is cooking and piano, so learning to cook is perfect for having a huge farm like this. i want for me and my family to live in one of those huge house for generations to live in, and my dad would love to help us with all the technologie. my dream would to use mash the ways of my ancestors and the technologie we have now. my dad can help me build the greenhouse and my grandpa too, be grandpa was an architect and my dad is a engineer but in computers. if we use the technologie and the modern world in farming and other stuff like this, and not like we did with machines and stuff. like the futuristic solar boards that capt the sun energy ( english is not my first language sorry haha). what im trying to say, you can see what im talking about by googling : futuristic greenhouse . this is what technology should be used for! i know it may be a really big dream, but i am ambitious and i know that my dreams wont come true unless i start making actions about it. if this comes true, i dont even have the words to say how happy i would be.",这是我的梦想生活！我现在在加拿大，我的梦想是尽快买大部分土地，这样我就可以去，然后用我小时候投资的钱，与父亲一起，我希望它足以让我开始这。我已经有很多想法，并且观看了许多像伊蒂安·莱维斯（Etienne Levesque）这样的人的视频，他的水上园林温室甚至在魁北克寒冷的冬季都非常有效。我从事这一点，我已经在学习我的生存本能，是学员军队中的厨师下士。我不知道我是否想接受教育作为医生，还是要接受有关温室等的教育。在我的学员背景下，我可以加入军队，或者拥有博士学位并成为家庭医生，但在军队中。这样，如果有什么问题，我有钱，生存的本能和计划B。我的热情是烹饪和钢琴，因此学习做饭非常适合拥有这样的巨大农场。我希望我和我的家人住在那些巨大的房子中，供几代人居住，我父亲很想帮助我们所有的技术。我的梦想将使用我的祖先和我们现在拥有的技术的方式。我父亲可以帮助我建造温室，而我的爷爷也是爷爷是一名建筑师，而我父亲是工程师，但在计算机中。如果我们在农业和其他类似的东西中使用技术和现代世界，而不是像机器和东西一样。就像太阳能上尉的未来派太阳能板一样（英语不是我的第一语言，对不起哈哈）。我想说的是，您可以看到我在说什么通过谷歌搜索：未来派温室。这是应该使用的技术！我知道这可能是一个非常大的梦想，但我雄心勃勃，我知道我的梦想不会实现，除非我开始采取行动。如果这是真的，我什至没有话可以说我会多么高兴。
3104,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9_SOyWV68B-,2,"@carlwheezer7792 i loveeee your idea. even i day dream and plan on something like this, i gt tears in my eyes when i see village, and i love such videos. you're so much like me. i would like to know more about your ideas. can we talk on instagram?",@carlwheezer7792我爱你的主意。即使我做的梦想并计划这样的事情，当我看到村庄时，我也会在眼中流泪，我喜欢这样的视频。你非常喜欢我。我想进一步了解您的想法。我们可以在Instagram上交谈吗？
14115,Ugzwu1Eb402Lqu9usEN4AaABAg,2,"every single men in here is looking at her feeling with a dream.

trust me on that.
am included 
","这里的每个男人都在用梦想看着她的感觉。

相信我。
其中包括
"
17225,Ugy7BwlYL68WH73yzpt4AaABAg,2,"this is so beautiful , like.a.dream omg i wish i can went there some day",这是如此美丽，就像a.dream omg，我希望有一天能去那里
22624,UgwJ8scCnalwXShefZx4AaABAg,2,"chinese fairy tail. organic peaceful living. to beautiful to be true. propaganda at its best. 
sweet dreams everyone","中国童话尾巴。有机和平生活。美丽的真实。最好的宣传。
大家甜蜜的梦"
17499,UgxJnZ0kZrSYpzvugMR4AaABAg,2,"she is beautiful, beyond words. this is a perfect wife that every man dreamed.",她很漂亮，超越言语。这是每个男人梦dream以求的完美妻子。
34021,UgzhqLlw1RPT7apnOpB4AaABAg.8yUW_GiXa3r8yV6rfzfo5m,2,george costarica sure you do. dream on son.,乔治·科斯塔里卡（George Costarica）确定您会这样做。梦想儿子。
23898,Ugw8Ch89LPSD7ZJEmRx4AaABAg,2,wife dreame case,妻子Dreame案
29268,Ugz1eBU-9y3MvqPMc_N4AaABAg,2,who else dreamed to have garden like hers?,还有谁梦想着拥有像她一样的花园？
18535,Ugz7vX27tY0R8YBBwyB4AaABAg.92TOl30agtK92_huSFDhvK,2,hahaha i was thinking about chinese/taiwanese rpgs when i was watching it. it fits the dreamy imagination of a different life.,哈哈哈，当我看着它时，我正在考虑中国/台湾RPG。它适合对不同生活的梦幻般的想象。
5138,UgwpC7C41IbwFLAFB5Z4AaABAg,2,"now im feeling why i didn't born in japan๐ญ๐ญ๐ญ
my dream country japan ๐—พโค๏ธโค๏ธ๐‘๐ป



but these are all from china๐๐๐","现在我感到为什么我没有出生在日本
我梦dream以求的日本



但是这些都是来自中国"
14655,UgwWOH4skHZp_2qzRHt4AaABAg,2,dreaming of a life like this.,梦见这样的生活。
20146,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91ZfVzj6XYM,2,have always been dreaming to live like her~,一直梦想着像她一样生活〜
30041,UgxQ4_Cmi-G_yz0HkYp4AaABAg,2,those heavenly dreamy lotus flowers ....!!!,那些天上梦幻的莲花花.... !!!
25481,UgwqtDwWLh5VCLUhX6h4AaABAg,1,hi the first one i think seeing an animation this girl live in dreamland and need a man to why? be happy baby you are fantastic,嗨，第一个我认为看到这个女孩住在梦境中的动画，需要一个男人到为什么？宝贝，你真是太棒了
447,Ugx4nfNOUM9sNODnzb14AaABAg,1,"wow, a great video, i am an indian, but i like china, i want to go to china, this is my dream",哇，多棒的视频啊，我是印度人，但我喜欢中国，我想去中国，这是我的梦想
25713,Ugz5rVrNTGZ9LHqckLZ4AaABAg,1,"the live that she had is the life that everyone dream about ,,,",她拥有的生活是每个人都梦dream以求的生活
35227,UgyZw95PNvuU5AxaV2R4AaABAg.8yURqFgr55j8yUSLCJUg7f,1,"ozdreamtime wizard nope hahaha, the one filming is her assistant",Ozdreamtime向导Nope Hahaha，一部拍摄是她的助手
18797,UgxAVzHYfNIDIWGUTgV4AaABAg,1,the type of wife any man can dream of,任何男人都可以梦想的妻子类型
28643,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g91uuaANb1EJ,1,@franzpeters3824 she does not need to speak foreign language - english. what she's doing now is her work. she earns multi-times than you can dream only. her videos are intended for chinese audience requiring no english. she has more than 20m followers in one chinese video platform like weibo alone aside from other social media accounts. her youtube videos are shared to expand audience outside china.,@franzpeters3824她不需要说外语 - 英语。她现在正在做的是她的工作。她赚取的时间比您梦dream以求的。她的视频适用于不需要英语的中国观众。除其他社交媒体帐户外，她在一个中国视频平台中拥有超过20M的追随者。她的YouTube视频被共享，以扩大中国以外的观众。
28249,UgzFSH_E5j37KtyOwAJ4AaABAg.8yZgGzUAKfx8zBNIBYmbYQ,1,"yeah, let's throw thousands of years of development out of tje window. absolutly what the world is dreaming of...",是的，让我们从TJE窗口中扔掉数千年的发展。绝对是世界梦的...
203,Ugx2RWhCf5guybaXrkd4AaABAg,1,thank you for making me relax n dream,谢谢你让我放松n梦
176,UgwUyZDViIPhFUe4LzV4AaABAg,1,"the more i watch your liziqui videos the more i would have liked to come to your country, in your region so beautiful and above all you meet and meet your grandmother she looks like my deceased mom
unfortunately it is only a dream because i will never have the opportunity to make such a good trip in your regions
i will continue to watch your videos thank you for the courage you send","我观看您的Liziqui视频的越多，我希望来到您所在的国家，在您的地区如此美丽，最重要的是，您看起来像我已故妈妈一样
不幸的是，这只是一个梦，因为我永远不会有机会在您的地区进行如此良好的旅行
我将继续观看您的视频，谢谢您的勇气"
12307,UgzIn6At_NAX9bxyBJh4AaABAg,1,my dream wife,我梦dream以求的妻子
15948,UgygE8WIABCx8lI4oB94AaABAg.931UYOHTdP69358h2K4Chg,1,my dream girl,我梦dream以求的女孩
4369,Ugw1hxnun3v1uN3VzTB4AaABAg,1,this is the kind of woman i dream to be,这是我梦dream以求的女人
27711,UgzX9ow_xBdXZ26fYb54AaABAg,1,wow it is my dream to live a simple life just like her,哇，我的梦想是像她一样过上简单的生活。
3577,Ugzb3Z9vRCdcx7alPBR4AaABAg,1,dream place to live your life fully. ❤,梦想的地方，充分生活。 ❤
26470,UgwFvHiKX-YQrymRxUF4AaABAg,1,"or too want to live a peaceful life in the countryside so much, the scenery is peaceful, the charming trees, the simple food without having to have a strange delicious dish, what a dream life !! !!",或者也想在乡村过上宁静的生活，风景是宁静的，迷人的树木，简单的食物，而不必有一个奇怪的美味菜，多么梦想的生活！！！
31853,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yVb7rPdJgC,1,"no worry, you will be strong, and your dream will come true. best wishes! hug you!!!",不用担心，您会坚强，您的梦想将实现。最好的祝愿！拥抱你！！！
26906,UgyIms1hOLaWVF7KU-t4AaABAg.8yk1CEr2f_e8ynVAQIvMYt,1,@ishtarsummers1981 some turks dream of xinjiang as their place，they create fake news,@ishtarsummers1981一些土耳其人梦想新疆作为他们的位置，他们创造了假新闻
19135,Ugw_tcL4dWI-XqQpJUd4AaABAg,1,dream house village,梦之村村庄
10634,Ugyx6ogDFSmUOunIlXd4AaABAg,1,take care always prinsess in my dreams,在我的梦中始终关心定价
22576,UgxTF-oQculixtstLmZ4AaABAg,1,this is the life i've been dreaming of.,这是我梦dream以求的生活。
10764,Ugzl50uLxzw_UGPFJiN4AaABAg,1,my mother’s dream is to harvest these fresh bamboo...the ones she gets from the supermarket smells and taste funny,我妈妈的梦想是收获这些新鲜的竹子……她从超市闻到的竹子和味道很有趣
11213,UgxSQvKRCe8f5ZEtj4F4AaABAg,1,she is the dream i'd love to meet one day,她是我很想见面的梦想
5897,Ugxzw7a4e9amPV9oPtl4AaABAg,1,"hello!, my name is ariel, i am from mexico. i am trying to raise funds to be able to return to university since i had to abandon it to help my mother and my brother, i currently work repairing clothes, and i do some work such as rehearsals or crafts but i cannot go back to school, i am trying to develop bags for myself, my idea is to incorporate organic materials that do not pollute the planet, so i can help myself to work and thus be able to go back to school, i want to study architecture, please take the time to read my story and my idea to get ahead, if you can help me by donating or sharing my message to more people i would appreciate it, if you have questions ask me, the least i want is for them to think that i want to scam them when all i am looking for is to achieve my dream of being an architect.
this is my campaign where i explain my situation and my idea i hope you can help me:
https://www.airfunding.net/project/173862?hl=es&utm_source=copied_url&utm_medium=social&utm_campaign=project_first_shares&utm_content=project_id_173862
i also made a video that is on youtube if you want to see it:
https://youtu.be/e6xn4etzc5k
you can also make a direct donation in paypal which is linked to my fundraising campaign:
https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=sxu2euq899gqu&source=url
with all my heart thank you for taking the time to read my situation, thank you very much, blessings!!.","您好！，我叫Ariel，我来自墨西哥。我试图筹集资金以便能够返回大学，因为我不得不放弃它来帮助母亲和兄弟，我目前正在修理衣服，我做了一些工作，例如排练或手工艺品，但我不能回到学校，我正在尝试为自己开发袋子，我的想法是纳入不污染地球的有机材料，以便我可以帮助自己工作，因此能够回到学校，我想学习建筑，请进行是时候阅读我的故事和我的想法来取得成功，如果您可以通过向更多的人捐款或分享我的信息来帮助我，如果您有问题问我，我最不想要的就是让他们认为我想要当我想要的只是实现成为建筑师的梦想时，骗它们。
这是我的竞选活动，我在这里解释我的情况，我的想法希望您能帮助我：
https://www.airfunding.net/project/173862？hl = es＆utm_source = copied_url＆utm_medium = social＆campaign = proaign=proight = proign = proign_first_first_sshares&utm_content = prodeject=proteject_proteject_id_id_173838888882
如果您想看到的话，我还制作了一个视频：
https://youtu.be/e6xn4etzc5k
您还可以在PayPal中直接捐款，这与我的筹款活动有关：
https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id = sxu2euq899gqu&source=url
全心全意，感谢您抽出宝贵的时间阅读我的情况，非常感谢，祝福！"
7041,Ugy0wazFcbUQ1lsJDSl4AaABAg,1,this is life* in my imaginati0n* ๐...can't be a dream ๐’ญ* don't care if its acting ๐ฌ but its so i'll rate it 8*** ๐ฅ ๐‘,这是生活*在我的Imaginati0n*
2296,UgyjaIALOOIaV4NV51J4AaABAg,1,"it is ironic to watch a mock idealistic life style and want to believe what is being portrayed as real. the avengers are not real but the result of multi-million production of an entertaining make-believed. winnie xi wants everyone to believe such life style as real and achievable if one follows the same footsteps but wait, can pooh find one production company for each citizen below the poverty line in the mainland to fulfil his or her dream? he must be working on this with his brilliant “common prosperity” cunning plan.",具有讽刺意味的是，观看一种模拟的理想主义生活方式，并想相信被描绘成真实的东西。复仇者不是真实的，而是数百万生产娱乐性的结果。 Winnie XI希望每个人都相信，如果一个人遵循相同的脚步，但请等待，小熊维尼可以为大陆贫困线以下的每个公民找到一家生产公司，以实现他或她的梦想吗？他必须通过他出色的“共同繁荣”狡猾的计划来努力。
26589,UgzzP0OYs2E7NrpGz7N4AaABAg,1,"beautiful young lady leds a simple life with no electronic devices, she's in my dream.",美丽的小姐过着简单的生活，没有电子设备，她在我的梦中。
21618,UgwNYKWncE0UAAnbDt94AaABAg,1,"i like this way to show the cooking lessons : beautiful garden , beautiful vegetables, beautiful young (?) woman in a beautiful traditional old house of nowhere in china...
a lot of work for this inspiring videos- this is living museum !
how many gardeners,designers, and the film -team of the scenario are busy for one video?
but it doesn't matter, we love you, making us dreaming !
thank you","我喜欢这样展示烹饪课的方式：美丽的花园，美丽的蔬菜，美丽的年轻（？）在中国美丽的传统老房子里...
这部鼓舞人心的视频很多工作 - 这是活博物馆！
一段视频忙于有多少园丁，设计师和电影团体忙碌？
但这没关系，我们爱你，让我们做梦！
谢谢"
23470,UgwO_-6RqKXE2A8F9iV4AaABAg,0,i have a dream of wanting to live like this. lived until being bored of the chaos in the city,我梦想着想这样生活。活着直到对城市的混乱感到无聊
23683,Ugy7tbMmzzXRve_a-op4AaABAg,0,"好吃的
you are my dream wife... i mean i wish my wife can cook good like you","好吃
你是我梦dream以求的妻子...我的意思是我希望我的妻子能像你一样做饭"
22951,Ugw5XoUK8GK_CwHJvs14AaABAg,0,dream woman ✨✨,梦想的女人✨✨
163,Ugx6NMceCMozhSXF3Pd4AaABAg,0,"im always dreaming everynight, that i been there with love❤",我总是每天晚上都在做梦，我和爱在一起
22935,UgyxvY_uLQyLrc9uMGF4AaABAg,0,the girl whose rural man also dreams,乡村男人也梦想的女孩
22139,Ugw5Z0GEzWyvqgHvTpB4AaABAg,0,62 which one ... this dream wife,62哪一个...这个梦想的妻子
21283,Ugyr7aRy1-NOrx1L_DZ4AaABAg,0,"millennial style but extraordinary skills.
this dream wife.","千禧一代风格，但技能非凡。
这个梦想中的妻子。"
21548,Ugwz9h7Zbt151V_QcrV4AaABAg.9-kWEitaDyU904MjLX_kAQ,0,"fall in love in the dream, is it haha?",梦里谈恋爱是吧哈哈
21900,Ugw6adz4_TH3vSzxIaR4AaABAg,0,"dreaming scenery, simple food to all people 's dreams",梦dream以求的风景，对所有人的梦想的简单食物
22046,Ugz0dCDdKar-4ORuSPp4AaABAg,0,literally my dream wife :3,从字面上看我梦dream以求的妻子：3
22060,UgyGGRxlA2u2qga-17d4AaABAg,0,i am amazed at your skills and life. i wish that i could learn from you. it's what i can only dream of. living from the produce of the land and being able to make all the things you do is amazing. wish i could taste what you make and learn to make it myself. wow!!!!!,我对您的技能和生活感到惊讶。我希望我能向您学习。这就是我只能梦dream以求的。从土地的农产品中生活并能够制造出您做的所有事情真是太神奇了。希望我可以品尝您的制作并学会自己制作的东西。哇！！！！！
22077,UgxnIy6-JZgrrSi9N194AaABAg,0,ohww...i really didn’t need to know that somewhere in a beautiful countryside is an attractive woman cooking delicious food! this will haunt my dreams.,哦...我真的不需要知道美丽的乡村的某个地方是一个有吸引力的女人烹饪美味的食物！这将困扰我的梦想。
22384,Ugx5EWh1q8iRzE08T5V4AaABAg,0,this type of woman is my dream girl.,这种女人是我梦dream以求的女孩。
22783,UgyH-pZ0AC1xZM4sr6N4AaABAg,0,oh the girl i dream of i love you,哦，我梦到的女孩我爱你
