,cid,votes,time,含dream,含dream中文翻译
33820,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48yTmeeXCYVX,6,3 years ago,"@kathaleenwood2426 thank you for your reply. even if i didn't know you in person, i can still understand how you feel. you're like a mother to me and i wish you happiness and good health as what i always pray for my parents.
i am a 23 year old lady from the philippines. me and my sister used to live in the province but since we need to go in college we moved in the city all by ourselves. after finishing college, the reality will suddenly hit you. this teached me a lot of lessongs in life.
now we are both working as an accountant but deep down in our hearts, we also know that this is not the true meaning of life. you work hard and pay your bills then repeat. life should be living with happiness, love, security and peace.
our time will come and this is only temporary. we will work hard for now to save money and buy farms in our native land.
our dream is to live again with our parents permanently after a decade. employ some local workers,aetas to be specific, and treat them as our own family.
aetas are one of the filipino tribes who live in the mountains. everybody thinks it will be easy to live in the mountains. dig, plant and harvest doesn't yield any assurance every harvest time since climate change happens. i emphatize them for begging money on the road during christmas day and other special holidays. this people will be my advocacy. 
i know i'm still young. but what i have learned is that in my country it is not enough that you are either physically capable of doing things or intellectually excellent to have a good job and understand the fast forwarding modern world. you should acquire both as superior people will surely take advantage of your innocence. imagine companies buying coffee beans from farmers at only 8 pesos per kilo (1 us dollar = 50-54 pesos). 

i will strive harder everyday and make other people live a life the way it should be. i want to have a purpose in life and reconnect with the nature once again during my retirement years :)","@kathaleenwood2426感谢您的答复。即使我不亲自认识您，我仍然可以理解您的感受。您就像我对我的母亲一样，祝您幸福和身体健康，因为我一直为父母祈祷。
我是来自菲律宾的23岁女士。我和我的姐姐曾经住在该省，但是由于我们需要上大学，所以我们独自搬到了这座城市。大学完成后，现实将突然袭击您。这教会了我生活中的很多少数。
现在，我们俩都在为会计师工作，但内心深处，我们也知道这不是生活的真正含义。您努力工作并支付账单，然后重复。生活应该以幸福，爱，安全与和平生活。
我们的时间会到来，这只是暂时的。我们现在将努力省钱，在我们的祖国购买农场。
我们的梦想是在十年后与父母永久与父母一起生活。雇用一些当地工人，特定的AETA，并将其视为我们自己的家庭。
Aetas是住在山上的菲律宾部落之一。每个人都认为住在山上很容易。自气候变化发生以来，挖掘，植物和收获并不能在每次收获时间中获得任何保证。我强调他们在圣诞节和其他特殊假期期间在路上乞讨钱。这个人将是我的倡导。
我知道我还很年轻。但是我了解到的是，在我的国家，您要么身体上有能力做事，要么在智力上出色地做好工作并了解快速转发的现代世界是不够的。您应该获得两者，因为高级人士肯定会利用您的纯真。想象一下，公司从农民那里购买咖啡豆，每公斤仅8比索（1美元= 50-54比索）。

我每天都会更加努力，使其他人按照自己的生活生活。我想在我的退休年中重新与大自然重新建立目标：)"
7566,UgxQOPLmIyi3IGy2-Fx4AaABAg,5,2 years ago,"a very beautiful and caring video... having the greatest respect for seniors within the family! talented beyond comparison to the west. unbelievable insight, and a deep empathy one can only vision in the east! 
i couldn't wait to subscribe to an artist able to see beyond today! 
i was blessed with my wife similar to her but, now senior... may she continue her life's dream!","一个非常美丽和关怀的视频...对家庭中的老年人表示最大的尊重！与西方相比，有才华。令人难以置信的见识，深刻的同理心只能在东方视而不见！
我迫不及待地想订阅一位能够看到今天以外的艺术家！
我很幸运，我的妻子与她相似，但是现在，大四...愿她继续生活的梦想！"
21252,Ugy_2TA7nVyW4XiS-JR4AaABAg,5,3 years ago,this is my dream place.,这是我梦dream以求的地方。
12324,UgyGSnOIgNU80fD4ijp4AaABAg,5,2 years ago,her film brings the dreams and expectations of the unable to get to modern cities. she is not a chef to show each dish.,她的影片给现代城市人带来未能得到的梦想与期待 她不是大厨在展现每道菜的手艺 她也不是在诠释什么叫做农家乐 她只是在演示什么叫做生活 非常棒的影片
25966,Ugyl0Bv2igcOJkptWxx4AaABAg,5,3 years ago,this girl is every manโ€s dream to marry to.,这个女孩是每个男人结婚的梦想。
11182,UgygCVydvd_MDJ07z2B4AaABAg,5,2 years ago,"thank you for your courage ...
i dream with each new video ๐","谢谢你的勇气...
我梦见每个新视频"
19865,UgxzPPXKfY1JhGGiU7J4AaABAg,5,3 years ago,"im so jealous. she living my dream life.i wanted to live in a farm, grew my own food and have a lot of cute pets.but my husband prefer to live in city.",我很羡慕。她过着我梦dream以求的生活。我想住在一个农场，种自己的食物，有很多可爱的宠物。但是我丈夫更喜欢住在城市。
22055,Ugxlko-aCv8bm3F_QJp4AaABAg,5,3 years ago,"recently, li ziyi has been the ""ambassador to the promotional ambassador of the rural rural rural rural rich"", which has triggered a new round of comment boom. after seeing some, i couldn't help but feel like i could provide different perspectives.

the point is, i hope that everyone is calm, discuss things, and try to listen to it as much as possible.

don't bully a diligent, brave and intelligent girl.

according to the good cat catching the mouse, li ziyi is not an outstanding good cat. not to mention the renminbi income, she made a lot of money on the international stage, about tens of thousands of dollars a day, envy everyone, realize her dream of serving her grandmother's life, and obtaining the harvest of no dare to expect. impressive.

nearly 8 million foreign fans, everyone shows the truth, kindness showing the video. unconvinced? if you try it, you will know. jiang feng, the most popular self -media chinese, has subscribed for 280,000, is already an example for many people. it's just 3%of this little girl.

the videos of overseas cattle guo wengui are only watched tens of thousands of people every time. li ziyi's video is five or six million. the best 30 million. the video three years ago was searched every day, and the number of clicks continued to skyrocket.

this is not a general miracle.

i spent the strength of nine niu and tiger to make a video. so far, i only have 160 subscriptions, and the best video is watching more than 1,000 people.

i know li ziyi's weight. everyone also weighs.

everyone has the most discussions. the most misunderstanding of li ziyi is that she is just an actor, and her work is made by a huge team.

please understand her development history a little.

li ziyi had a childhood young man who had been unable to look back, had various workers, and had a long period of time for a person's exploration of experiments. he finally rely on his talents, hard work, hard work, and succeed.

the current situation, i am afraid that zhang yimou is likely to be a director. of course, li ziyi does not need zhang yimou. i have an analogy. li ziyi has no self -learning talent, and the artistic talent shown is no worse than zhang yimou.

li ziyi rely on his own efforts to come to this day. you open your eyes and talk nonsense, and you are unwilling to do basic investigations and research. he maliciously pour dirty girls to a hard -working girl.

really blushing for you. be kind. do nโ€t be so rude and hateful.

true: li ziyi's true, not that she is too beautiful, not what kind of shoes are wearing in the farmland. in my eyes, li zizhen's true, manifested in her hard work, hard work, and manifested in her soul. nothing will do.

of course, she will not seriously and deliberately express the hardships of the peasants in sichuan and the sufferings of rural poor today. li ziyi is pursuing the amount of subscriptions and click volume. her performance is basically impeccable.

li ziyi truly shows her own pursuit of life and her own state of life.

of course, try your best to beautify. otherwise, where can i subscribe?

good: see her depending on the grandmother's life, and take care of each other. thinking that grandma finally got a good life, she was really happy.

thinking of my work hard for a whole life. li ziyi's kindness is one of the biggest highlights of the video.

beauty: needless to say. i admire me and admire from the bottom of my heart. some people will say, team teams, foreign announcements and so on.

you just need to see li ziyi's earliest video to feel her artistic talent.

besides: with the current situation of li ziyi's current daily gold, let alone the government, any of the people with funds will not hesitate to make a behind -the -scenes team.

dawai xuan:

where is this? what big publicity? what a crime is to have no words. a girl mixed with meals, accidentally red and purple, do nโ€t tm โ€s blind eyes?

but here to tell the government and the communist youth league, do not speculate. stir good things. what is the blind ginseng?

the government was not stupid, and i saw li ziyi's success and wanted to use it. in fact, maybe good intentions have become bad things. with my concept, the government, the communist youth league, the best leave her alone. it is not as good as the last four, truth, goodness and beauty.

ziyi, please be careful. no need to cooperate too deeply with the government. tell them to let you develop freely in accordance with their greatest interests. otherwise, the end may not be good for anyone.

cut!

during the seven years of labor in rural areas during the revolution, the hardships of the rural areas of china's rural areas know a little.

the reason why li ziyi feels is because most of the farm work that li ziyi has done has done it, and i will even accept the soles of the shoe. i rushed the cow to rake the ground in the paddy field, and i tried it. if you can't try it, you have to give it to the poor farmers around him. very difficult work. i did not dry the back of the mountain from the mountain. there are no bamboo or mountains there. almost all of the others can't be familiar. rice, wheat, corn, sweet potatoes, pigs and sheep beef, planting vegetables. we do not plant fruit trees. moving the bricks by myself and moving the bricks. at the age of seventeen, he was cooking for fifteen students.

li ziyi used bamboo to make a sofa for me too much. too admire!

ziyi, refueling ๅฟ…๏ธ do not worry about it. take your own way and let others have a way. don't ignore some people's words of talking nonsense.

ps

ziyi does not necessarily know the history of 12 million people starved in sichuan during the great famine. mianyang is the hardest hit area. please know. it is important to your future development.","最近李子柒担任“中国农村青年致富带头人推广大使”，引发新一轮评论热潮。看了一些，忍俊不禁，有感而发，希望能够提供不同视角。

关键是，希望大家平心静气，就事论事，尽量做到兼听则明。

不要语言欺凌一个勤劳勇敢聪慧的女孩子。

按照逮着老鼠就是好猫的说法，李子柒不啻是一只杰出的极其优秀的好猫。不说人民币收入，她大把大把的在国际舞台上赚美元，大概每天几万美元吧，羡煞众人，实现自己养家糊口侍奉奶奶的人生梦想，获得原本不敢奢望的收获，可喜可贺令人钦佩。

将近800万外国粉丝，大家是冲着视频展现的真善美来的。不服气？你试试就知道了。海外最红的自媒体华人江峰，28万订阅，已经是很多人崇拜的榜样。仅仅是这小姑娘的3%。

海外牛人郭文贵每次的视频也只是几万人看。李子柒的视频动辄五六百万。最好的3千万。三年前的视频还在被人每天搜索，点击量继续暴涨。

这可不是一般的奇迹。

我费了九牛二虎之力做视频，至今只有160订阅量，最好的一个视频1000多人观看。

我知道李子柒的分量。大家也掂量掂量。

大家议论最多，对李子柒误解最大的是，她不过是个演员，工作都是一个庞大的团队做的。

请稍微了解一下她的发展史。

李子柒有过不堪回首的童年少年，有过各种打工经验，有过很长时间一个人摸索实验失败，最后靠自己的才华，勤奋，努力，获得了成功。

现在状况，恐怕邀请张艺谋来做导演都有可能。当然李子柒不需要张艺谋我是打个比方。李子柒无师自通自学成才，表现出来的艺术天分，不比张艺谋差一丝一毫。

李子柒完全靠自己的努力走到今天。你们睁着眼睛瞎说八道，连基本的调查研究都不愿意做，恶意向一个勤劳致富的女孩子泼脏水。

真替你们脸红。Be kind. Don’t be so rude and hateful.

真：李子柒的真，不是表现在她穿着过于漂亮，不是表演在穿着什么样的鞋子在农田里劳作。在我的目光里，李子柒的真，表现在她的勤劳，吃苦耐劳，表现在她的心灵手巧。啥都会干。

她当然不会去认真刻意的表现四川绵阳农民的辛苦和今日农村贫困人群的苦难。李子柒追求的是订阅量，点击量。她的表现基本无懈可击。

李子柒真实的表现了她自己对生活的追求，她自己的生活状态。

当然要尽力美化。不然哪里来订阅量？

善：看她和奶奶相依为命，互相关照。想到奶奶终于过上好日子真为子柒高兴。

想起自己姥姥勤劳一生。李子柒的善良，是视频最大亮点之一。

美：毋庸赘言。令我感佩，从心底里佩服。有人又会说了，团队团队，大外宣等等。

你只需要去看看李子柒最早的视频就能感觉到她的艺术天分。

再说一遍：以李子柒目前日进斗金的状况，别说政府，任何一个有资金的人都会毫不犹豫甘作幕后团队。

大外宣：

这哪儿跟哪儿啊？什么大外宣？真是欲加之罪 何患无辞。一个女孩子混口饭吃，不小心大红大紫，别TM的瞎着眼胡说八道好不好？

但是此处敬告政府和共青团，别投机不成舍把米。把好事搅合了。瞎参和什么呢？

政府不傻，看到李子柒的成功趁机想利用起来。其实也许好心办成坏事儿。以我的观念，政府啊共青团啊什么的最好leave her alone. 免得最后四不像，真善美不在。

子柒也请慎重。不必和政府合作太深。告诉他们让你自由发展符合他们的最大利益。不然最后也许结局对谁都不好。

切切！

在下文革时期在农村劳动七年多，对中国农村的苦难农民的艰辛略知一二。

之所以感觉李子柒的真实，就是因为李子柒干过的农活儿大部分我都干过，我甚至会纳鞋底。赶着牛在水田里耙地，我试过。怎么试都不行只好交给身边的贫农代表。很不容易的活计。从山上砍竹子背下山没有干过。我们那里没有竹子也没有山。其它几乎都再熟悉不过。水稻，小麦，玉米，红薯，养猪羊牛，种菜。我们没有种水果树。自己盖房子搬砖头用手推车运转头。十七岁当炊事员专职为十五个同学做饭。

李子柒用竹子做沙发让我太佩服了。太佩服！

子柒，加油

PS

子柒不一定知道大饥荒时期四川饿死1200万人的历史。绵阳是重灾区。请一定了解一下。对你今后发展至关重要。"
10991,UgzVXwN2Sk-mZ8X4ecJ4AaABAg,5,2 years ago,"if you are new here, here is absolutely everything you need to know about liziqi ( li ziyi ): 

in 1990, li ziyi fell to the ground in mianyang, sichuan. her parents divorced when she was very young. later, her father died, and li ziyi became an orphan. his stepmother didnโ€t treat her well. li zizhen mentioned on weibo that he had had a half-dead experience when his stepmother dragged her hair into the gutter and was beaten. 

grandpa and grandma distressed granddaughter, and finally decided to take li ziyu home and live. when li ziyi was in fifth grade, his grandfather died again, and it was difficult for his grandma to raise her to continue school. at the age of 14, li ziyi had to drop out of school and go to the city alone to work hard, and began an 8-year wandering life. her first life was very hard. she slept in a park chair and scratched her head for two months. 

li ziyi has also worked as a waiter in a hotel, with a monthly salary of 300 yuan. in order to earn more income, she went to learn to play discs and sang in the bar. later, when talking about the matter, li zizhen frankly said: โ€i didnโ€t say that i liked music at that time, just to live, i felt that it was well paid.โ€ 

in 2012, because grandma was ill once, li ziyi was worried that she would regret it later, throwing away all work and returning to grandma. โ€being closer, i feel more at ease.โ€ 

after returning, li ziyi opened a taobao shop, but the business has been up and running, and he barely eats. in 2015, under the influence of his younger brother, li ziyi was exposed to the short video platform meipai. until 2016, seeing that his younger brother had some fans on meipai, and holding more fans can improve the mentality of taobao business, li ziyi re-entered meipai to prepare for his own video program. 

the reason why she chose to shoot videos in this style is closely related to her childhood environment. 

in an interview with the living room of sina club, li ziyi mentioned, โ€all these things that are self-sufficient in the countryside, for me, they are jealous. in the short video, she chose to start from the most familiar places. 

in the beginning, li ziyi gave himself a topic called โ€four seasons change, eat while you eatโ€. after the suggestion of meipai editor, it became โ€ancient foodโ€ and it is still used today. 

in september 2016, a new opportunity came quietly, which also became an important promoter for li ziyu to get more attention in the future. sina weibo began to openly search for more outstanding short video creators for resource support. 

as mentioned at the beginning of the article, liu tongming brought her weibo resources support. 

one day in september 2016, li feng, an ancient short video blogger, accidentally received a private weibo message from โ€mr. lโ€. mr. l expressed his love for li ziyuโ€s video content, felt that he had fulfilled his taoyuan dream, and hoped to meet her. 

for a long time after that, li ziyi received mr. lโ€s private letter. โ€it would be a shame for such a good video to let this person see it. this is uschinaโ€s proud traditional culture should be seen by people in china and around the world. โ€mr. l said in a private message. 

at first, after seeing these private messages, li ziyi didnโ€t care too much, even worrying about encountering a liar. until one day, mr. l came to the city where li zizhen was, and wanted to ask her to have a meal and talk. mr. lโ€s politeness and clear logical thinking made li slowly drop his initial alert. 

this accidental meeting has completely changed the life trajectory of li zizhen. not long after the meal was over, with the help of mr. l, li zizheng was supported by a large wave of resources on sina weibo, accelerating her popularity and allowing li zizhen to rush into the queue of the net influencer on the head. 

this experience is partly recorded in a diary of li zizheng that year. some insiders close to the senior executives of weinian technology confirmed to tencentโ€s โ€shenwangโ€ that the โ€mr. lโ€ is actually liu tongming, and his pseudonym was publicly reported. daxiong liu, the founder of wei nian technology, an mcn company to which li zizhen now belongs. 

on december 8th, the reading volume of a weibo topic labeled โ€is li ziyi a cultural outputโ€ climbed to 800 million. li zizheng was once again on the hot search list. 

the video created by li ziyi and her has become a phenomenon worthy of study now. 

extensive overseas communication is an important reason for li zihuanโ€s renewed attention. some people say that she has filmed a desirable rural life and spread the charm of traditional chinese culture and cuisine. others think that her video is not completely true to reflect chinaโ€s rural life. 

even the queries that have been popular since the explosion have been brought up again, such as being a dj, being a rich second generation, whether the video is from my own hands, is there a strong push behind it, and the video is true for rural life itโ€s still just a fiction for character setting. 

an insider of weinian technology told tencentโ€s โ€deep webโ€ that li ziyi was of ordinary origin, and the relevant video content was produced by li ziyi himself. the popularity was not the initiative of the company and himself. in fact, both li zihuan and the micro-reading team behind him were quite low-key, and they were very enthusiastic and declined all the current interview needs. 

until august 17, 2018, li ziyiโ€s eponymous tmall store officially opened. six days after going online, the store with only five products at that time had sales of over 150,000 and sales of over 10 million. a year later, the total sales of 21 products displayed in the li zizhen flagship store exceeded 1.3 million, with total sales reaching 71 million. 
the value behind li ziyiโ€s ip is being quickly tapped. 

li ziyi started from scratch and gained the first fans with his own strength. but now the popularity and gains of fame and fortune are obviously no longer just her achievements. 
according to tianyan search, โ€deep webโ€ shows that mcn hangzhou weinian technology co., ltd., which li ziyi belongs to, was established on february 28, 2013, with a registered capital of rmb 5.208 million. according to the introduction, wei nian is an entertainment entertainment company that incubates kol into ip through short videos and extends to consumer brands. 

the information of qixinbao shows that there are more than 100 pieces of intellectual property information of the trademark โ€li zihuanโ€. the applicant companies are hangzhou weinian technology co., ltd. the product categories include food, clothing, shoes and hats, dyes and fats, beer and beverages, financial property management, catering and accommodation. 

not only that, wei nian also has inextricable links with li ziyuโ€s companies. 

according to the eye inspection, li jiajia (should be the original name of li ziyu) established sichuan ziyu culture communication co., ltd. on july 20, 2017, and wei nian is its shareholder, holding 51% of the shares. supervisor, li jiajia holds 49% of the shares. 

according to other data, there are as many as 50 beneficiary companies behind hangzhou weinian technology co., ltd., including greenland holdings, zte, xinhua media, vanke, light media, etc. . 
among the shareholders of weinian technology, sina weibo is particularly eye-catching. 

from wei nian technology to sina weibo, li ziyi gradually has the best cards that internet celebrities are looking forward to. 
in her own words, she changed from โ€a little transparent to a person who is so useless to societyโ€. after entering the public view and being noticed by more people, li ziyiโ€s sense of responsibility has also become heavier. 
โ€i want to do what i can to do more things that are good for society, such as the spread of traditional culture, non-heritage cultural craftsmen, and i want to show these old things to everyone so that more people know. li ziyi said. 

source: https://www.ww01.net/en/archives/33757","如果您在这里是新手，那么这绝对是您需要了解的有关Liziqi（Li Ziyi）的一切：

1990年，李齐伊（Li Ziyi）跌倒在四川米扬（Mianyang）。她的父母很小的时候就离婚了。后来，她的父亲去世了，李齐伊成为孤儿。他的继母对她不好。李·齐兴（Li Zizhen）在微博上提到，当他的继母将头发拖入排水沟并被殴打时，他有半死的经历。

爷爷和奶奶使孙女感到沮丧，最后决定带李Ziyu回家。当李齐伊（Li Ziyi）五年级时，他的祖父再次去世，他的祖母很难抚养她继续上学。李齐（Li Ziyi）在14岁时不得不辍学，独自去城市努力工作，并开始了八年的流浪生活。她的第一人生非常艰难。她睡在公园椅上，挠头两个月。

Li Ziyi还曾在酒店担任服务生，每月薪水为300元。为了赚取更多的收入，她去学习演奏唱片并在酒吧里唱歌。后来，在谈论此事时，李·齐兴（Li Zizhen）坦率地说：“我不是说当时我喜欢音乐，只是为了生活，我觉得这是付出的。”

2012年，由于奶奶曾经生病，李齐伊（Li Ziyi）担心她后来会后悔，扔掉所有工作并返回奶奶。 “靠近，我感到更加放松。”

返回后，李Ziyi开了一家淘宝商店，但业务一直在运行，他几乎没有吃饭。 2015年，在他的弟弟的影响下，李齐伊（Li Ziyi）接触了短视频平台Meipai。直到2016年，看到他的弟弟在Meipai上有一些粉丝，并且拥有更多的粉丝可以改善淘宝业务的心态，Li Ziyi重新进入Meipai，为自己的视频节目做准备。

她之所以选择以这种风格拍摄视频与她的童年环境密切相关的原因。

李·齐（Li Ziyi）在接受西那俱乐部（Nina Club）的客厅采访时说：“所有这些在农村自给自足的事情，对我来说，它们嫉妒。在简短的视频中，她选择从最熟悉的地方开始。

一开始，李齐伊（Li Ziyi）称自己为“四个季节变化，吃饭时吃饭”。在Meipai编辑的建议之后，它变成了“古老的食物”，并且今天仍然使用。

2016年9月，一个新的机会悄悄地出现了，这也成为李Zyu将来更加关注的重要推动者。 Sina Weibo开始公开寻找更多出色的简短视频创建者以获得资源支持。

正如文章开头所述，刘·汤明（Liu Tongming）为她带来了微博的资源支持。

2016年9月的一天，古老的简短视频博客作者Li Feng意外收到了“先生先生的私人微博消息”。 L”。 L先生表达了对李Ziyu的视频内容的热爱，觉得他已经实现了他的作陶王的梦，并希望与她见面。

此后很长一段时间，Li Ziyi收到了L先生的私人信。 “这样一个好视频让这个人看到它是可惜的。这是中国和世界各地的人们应该看到USCHINA骄傲的传统文化。 “先生。我在一条私人消息中说。

起初，在看到这些私人消息后，李Ziyi并不在乎太多，甚至不必担心遇到骗子。直到一天，L先生来到了李·齐兴（Li Zizhen）所在的城市，并想请她吃饭和聊天。 L先生的礼貌和清晰的逻辑思维使李慢慢地放弃了最初的警报。

这次偶然的会议彻底改变了李·齐兴（Li Zizhen）的生活轨迹。用餐结束后不久，在L先生的帮助下，李·Zizheng（Li Zizheng）得到了Sina Weibo的大量资源的支持，加快了她的知名度，并允许Li Zizhen赶到头部网络影响者的排队。

这种经历部分记录在那年的李Zizheng日记中。一些与温尼安技术高级管理人员接近的内部人士证实了腾讯的“申旺”，即“先生先生L”实际上是刘·汤明（Liu Tongming），他的化名是公开报道的。 Wei Nian Technology的创始人Daxiong Liu是Li Zizhen现在属于的MCN公司。

12月8日，一个标有“是文化产出”的微博主题的阅读量攀升至8亿。李Zizheng再次在热门搜索列表中。

Li Ziyi和她创建的视频现在已成为一个值得研究的现象。

广泛的海外沟通是李齐伊安（Li Zihuan）重新关注的重要原因。有人说她已经拍摄了理想的乡村生活，并传播了中国传统文化和美食的魅力。其他人则认为她的视频并非完全正确地反映中国的乡村生活。

自从爆炸再次提出以来一直很受欢迎的疑问，例如成为DJ，成为富人的第二代，无论是我自己的视频，是否有强烈的推动力，视频是真的对于农村生活，这仍然是角色环境的小说。

Weinian Technology的一位内部人士告诉Tencent的“ Deep Web”，Li Ziyi是普通的，相关的视频内容是由Li Ziyi本人制作的。受欢迎程度不是公司和他本人的倡议。实际上，他背后的李·齐伊安（Li Zihuan）和微读团队都非常低调，他们非常热情，拒绝了当前的所有采访需求。

直到2018年8月17日，Li Ziyi的同名TMALL商店正式开业。上网六天后，当时只有五种产品的商店的销售额超过150,000，销售额超过1000万。一年后，李Zizhen旗舰店展示的21种产品的总销售额超过130万，总销售额达到7100万。
Li Ziyi的IP背后的价值正在迅速挖掘。

Li Ziyi从头开始，并以自己的力量获得了第一批粉丝。但是现在，声名和财富的受欢迎程度和收益显然不再只是她的成就。
根据Tianyan Search的说法，“ Deep Web”表明，Li Ziyi属于的McN Hangzhou Weinian Technology Co.，Ltd。于2013年2月28日成立，其注册资本为5.208亿元。根据引言，Wei Nian是一家娱乐娱乐公司，通过简短的视频将KOL孵化为IP，并扩展到消费者品牌。

Qixinbao的信息表明，商标“ Li Zihuan”有100多种知识产权信息。申请人公司是Hangzhou Weinian Technology Co.，Ltd。产品类别包括食品，服装，鞋子和帽子，染料和脂肪，染料和脂肪，啤酒和饮料，金融物业管理，餐饮和住宿。

不仅如此，Wei Nian还与Li Ziyu的公司建立了不可忽视的联系。

根据眼睛检查，李亚吉亚（应该是李祖的原始名称）于2017年7月20日成立了四川Ziyu文化传播公司有限公司。主管Li Jiajia持有49％的股份。

根据其他数据，Hangzhou Weinian Technology Co.，Ltd。的背后有多达50家受益公司，包括Greenland Holdings，ZTE，新华社媒体，Vanke，Light Media等。
在Weinian技术的股东中，Sina Weibo特别引人注目。

从Wei Nian Technology到Sina Weibo，Li Ziyi逐渐拥有互联网名人期待的最佳卡片。
用她自己的话说，她从“有点透明变成了一个对社会无用的人”。在进入公众观点并被更多人注意到之后，李齐的责任感也变得更加重。
“我想尽我所能，做更多对社会有益的事情，例如传统文化，非遗产文化工匠的传播，我想向所有人展示这些旧事物，以便更多的人知道。李Ziyi说。

资料来源：https：//www.ww01.net/en/archives/33757"
18368,UgwpohfHbjreIwtoLDp4AaABAg,5,3 years ago,"this make me feel ""oh this is how our grandparents are grown being busy the whole day , in a productive way "" 

now it becoming my dream to be like this atleast in near future....","这让我感到“哦，这就是我们的祖父母以一种富有成效的方式整天忙碌的方式”

现在，在不久的将来像这样至少成为我的梦想。"
23325,UgxigyQcm-WglS16ZEd4AaABAg,5,3 years ago,"there are dreams in our life that are shining by different way.
there are dreams in life, each of which is wonderful","there are dreams in our life that are shining by different way.
人生有梦，各自精彩"
30197,UgyI_ZUS1BzNdmSL_w14AaABAg,4,3 years ago (edited),"the dreamed home of ancient chinese, never hungry, never cold and never lonely.",梦dream以求的古代中国人的家，从不饿，从不冷，也从不孤独。
38166,UgyP0Pg6Iwx2CFB10ZF4AaABAg,4,4 years ago,my god ... what a perfection these videos. a dream live in such a place and have such willingness.,我的上帝...这些视频真是太完美了。一个梦想在这样的地方生活，并具有如此愿意。
4339,Ugz5k5jugOEYn2bt3bJ4AaABAg,4,1 year ago,i feel like crying while watching this video. it feels like she and i are are living in different worlds. this is the life i imagined but i'm already in a road that i have to give up on my dream life.,我想在看这部视频时哭泣。感觉就像她和我生活在不同的世界中。这是我想象的生活，但我已经走在一条我的梦想生活中。
41651,UgxP_Cj06aZmLa2bSqp4AaABAg.8ruzrnHtE3L8s1pvskbfw4,3,4 years ago,@atifarshad7043 she said immaginary life but she is not just dreaming out there doing hardwork making food with each season taking care of her grandmother because she doesn't have parents is that an imaginary life must be kidding me,@atifarshad7043她说了不朽的生活，但她不仅在那里做艰苦的工作，每个季节都在照顾祖母，因为她没有父母，因为想象中的生活一定是在开玩笑
39075,UgyWSEmpgzGGO50J3i54AaABAg,3,4 years ago,"this girl of my dreams, and it is a pity that i will never see her๐”",我梦dream以求的女孩，这是我永远不会见到her
25491,UgyoyBEQB5Jqd1G5LwR4AaABAg,3,3 years ago,your videos are like beautiful dreams come to life. i'm so happy youtube recommended your channel!,您的视频就像美丽的梦想成真。我很高兴YouTube推荐您的频道！
14617,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9AjNJ36cLXw,3,2 years ago,"@user-ce5xg9ko6m can no longer agree. the film releases the feelings of life, kindness and beauty, and the positive energy of natural harmony and love ... peace! (she has also released a small snake, and recently persuaded the two puppies not to fight 
7 brother's wenyu is obvious to everyone, and it is no problem to be in charge of copywriting, but ziyi is afraid to find someone to help the plate ... in the end, she will have no food products to shoot ending
come and come to find a few best photography and editing masterpieces to make an appreciation, 7 brothers dream of good night dreams!","@user-ce5xg9ko6m 再同意不过了，片中处处释放出真善美的生活情怀，自然和谐充满爱的正向能量…peace！ (她还放生过小蛇，最近劝两小狗别打架
7兄的文釆大家有目共睹，负责文案没问题的啦，可是子柒怕找人帮端盘子…最后她会没有食物成品可拍ending
睡前来找几部最佳摄影、剪辑大作拜赏一下，7兄晚安好梦！"
24699,UgyR4IgvNuijb-96U0J4AaABAg,3,3 years ago,going to one's place of life has become a dream ! ๐๐,去一个人的生活已经变成了梦想！
28536,Ugwk2DlghIo3FINzOcp4AaABAg,2,3 years ago,"i feel this girl
it's so beautiful when you are serious
like a fairy
everything will be better than girls in the city
tens of thousands of times can cook vegetables for housework
embroidery knows too much
it's what i dream of
wife's style
if you marry him in this life
i have no regrets in my life","我感觉这女生
认真的时候好美
跟仙女一样
什么都会 比城市里的女生
好几万倍 会煮菜 做家事
刺绣 懂得东西太多
是我梦寐以求的
妻子的风范 
如果这辈子娶到他
我这一生一定无憾"
19611,Ugy2yHiwbn7w20m4KWR4AaABAg,2,3 years ago,dream life ..full stock of handmade food with lovely place and cute puppies,梦想生活..充满手工食品的库存，可爱的地方和可爱的小狗
15506,Ugydb_vbaefxZmhO61V4AaABAg,2,3 years ago,a wife like this should make any man happy for life. she is 10 times the woman that i have dreamed of.,这样的妻子应该使任何男人对生活感到高兴。她是我梦dream以求的女人的10倍。
14437,Ugw1S2GntpfaGLnQ-RZ4AaABAg,2,2 years ago,this place is like a dream and paradise to me. i always wanna spend my whole life in this type of place like living in a peaceful environment,这个地方对我来说就像一个梦和天堂。我一直想在这种类型的地方度过一生，例如生活在宁静的环境中
29457,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8ySUSZM2lCi,2,3 years ago,"i feel this girl
it's so beautiful when you are serious
like a fairy
everything will be better than girls in the city
tens of thousands of times can cook vegetables for housework
embroidery knows too much
it's what i dream of
wife's style
if you marry him in this life
i have no regrets in my life","我感觉这女生
认真的时候好美
跟仙女一样
什么都会 比城市里的女生
好几万倍 会煮菜 做家事
刺绣 懂得东西太多
是我梦寐以求的
妻子的风范 
如果这辈子娶到他
我这一生一定无憾"
