,cid,votes,time,含woman,含woman中文翻译
18637,Ugzji7WoQS6IgFJIOvh4AaABAg,37,3 years ago,"the li family has a woman, and she is called ziqi.
may your dedication give the world better to understand china's farming and rural culture.","李家有女，人称子柒。
愿你的付出让世界更了解中国的农耕田园文化。"
20842,Ugzfk2U1ZDYl5ypDmgV4AaABAg,28,3 years ago,"“casually braising foods from different corners of the kitchen” 
i love this woman","“随便从厨房的不同角落炖食物”
我爱这个女人"
30220,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yiKN75zsj7,23,3 years ago,her grandma is lucky to have such hard working woman as her granddaughter.,她的祖母很幸运能拥有如此勤奋的女人，例如她的孙女。
21488,UgxbGliUZtu7vULZE5R4AaABAg,21,3 years ago,this woman really deserves to be loved by her household.,这个女人真的应该受到她的家庭爱。
10114,UgwnUwI1H_DMfQceuh94AaABAg,18,3 years ago,"the woman living in history in history escaped the disputes of the rivers and lakes, come on, ziyi!",活在历史里的柴米油盐的女子，逃离了江湖的纷争，加油，子柒！
1274,UgyH3nU0RVYslOlnZp54AaABAg,18,1 year ago,that important a life where so many food resources is obtained thanks to the work of a woman who lives in harmony with nature. it is also an excellent cook.,由于一位与自然和谐相处的妇女的工作，获得了如此多的食物资源的重要生活。这也是一位出色的厨师。
15518,UgzON0oBvF-QATs0XeB4AaABAg,17,3 years ago,"the most talented woman youtube, i have a great relaxing feeling when watching her make bamboo shoots.",最有才华的女人YouTube，看着她拍竹射击时，我的感觉很轻松。
10605,UgxfEL7_y9AiL4b_IEB4AaABAg,17,3 years ago,you know she's the richest woman in the world because she doesn't need to buy all the stuff they need,你知道她是世界上最富有的女人，因为她不需要购买他们需要的所有东西
30623,UgwTwt_-KvmkjNiWK654AaABAg,14,3 years ago,her life is so wonderful and beautiful and she's also so talanted and strong real wonder woman,她的生活是如此美好而美丽，她也是如此善良而坚强的真实神奇女侠
19564,Ugw1BSS4noGQb9hRqIh4AaABAg,14,3 years ago,"the effort this young lady exert is always for the good of others. there’s love in her contents, she feeds your eyes, soul and mind. this is a happy woman because she knows there’s more happiness in giving than receiving.liziqi keep giving us your high quality videos, you’re making a difference in people’s lives.",这位年轻女士的努力始终是为了别人的利益。她的内容中有爱，她养活了您的眼睛，灵魂和思想。这是一个快乐的女人，因为她知道给予比接受更多的幸福。Liziqi继续给我们您的高质量视频，您正在改变人们的生活。
32162,Ugzuqw9yqd-Ad_LEP5N4AaABAg,13,3 years ago,such a fine woman. i hope i can meet her in person. ❤,如此的好女人。我希望我能亲自见到她。 ❤
10364,UgzOhAf0sg2LzijmoAR4AaABAg.98ojNybWPIt98rG-rLjeNS,13,3 years ago (edited),"she's a very busy woman. she's always out doing things, so she barely snacks. she's more focused on feeding her family, and prefers to eat with them. 
in asian cultures, it's more known to savour food with family, because of how hard they work together to grow and create amazing dishes. 
you don't really think about food when you go buy it from the store. however, when i was in asia, you can see all the hard work people put in to make a filling meal. eating a whole pot of anything would be very disrespectful and a waste of food. 
eat until your full please, don't over eat, and please, please don't waste food when others can have it.","她是一个非常忙碌的女人。她总是在做事，所以几乎没有零食。她更专注于为家人喂养，并且更喜欢和他们一起吃饭。
在亚洲文化中，众所周知，与家人一起品尝食物，因为他们如何共同努力生长和创造令人惊叹的菜肴。
从商店购买食物时，您并没有真正考虑食物。但是，当我在亚洲时，您可以看到人们为填充餐的所有辛勤工作。吃一整锅任何东西都是非常不尊重的，并且浪费食物。
吃饭，直到您吃饱，不要吃饭，请，请不要在别人拥有的时候浪费食物。"
18477,Ugw7oTuP58jYV17rQot4AaABAg,13,3 years ago,i used to think that my mother was the most capable woman. i didn't expect a woman who was about the same as me than my mother. worship! intersection intersection,以前我一直以为我的妈妈是最能干活的女人，想不到一个和我差不多大的女子竟然比我妈妈还要勤劳。崇拜！！！
23700,UgxkeTUrJQ781yZxNZV4AaABAg,12,3 years ago,i always feel cleansed inside when i watch this beautiful woman work.,当我看着这个美丽的女人作品时，我总是会在里面感到清洁。
19173,UgwTtgymNvjmE6aYYr54AaABAg,12,3 years ago,who would not eat at this woman’s table! makes me hungry every time!,谁不会在这个女人的桌子上吃饭！每次都让我饿！
18197,UgziL-FpLq_KflSBvHN4AaABAg,12,3 years ago,it's been a long time since i haven't seen a video of a woman who does not need a beautiful camera ... it is uncomfortable to see the pictures that make the eyes uncomfortable.,好久没有看到不用美颜相机的女up的视频了……那种白的让眼睛难受的画面看的难受。
10829,UgzFc8nD99fxqPZIBTx4AaABAg,11,3 years ago,the living example of strong independent woman.,坚强的独立女人的活泼例子。
12034,UgwDZ1mRHX4myouBujF4AaABAg.9744unMbb-s9CDohUcfEPz,9,2 years ago,"@mahie56 nope she is not. her old videos were made by her own. but after too many people questioned the reality of her videos (just like you), at the end she decided to hire a professional camera man. her reason is since people don't believe in her, why not she just follows the flow to hire a real professional camera man and she herself doesn't have to be so busy. she stays there everyday, it's her hometown. so she is not an actress but a kol. of course, she is also a business woman now as she manufactures her recipes and sell the products. i think u can google her stories",@mahie56不，她不是。她的旧视频是由她自己制作的。但是，在太多的人质疑她的视频的现实之后（就像您一样），最后，她决定雇用一个专业的摄影师。她的理由是因为人们不相信她，所以为什么不遵循流程来雇用一个真正的专业相机男人，而她本人不必那么忙。她每天都留在那里，这是她的家乡。所以她不是女演员，而是科尔。当然，当她制造食谱并出售产品时，她现在也是女商人。我认为你可以谷歌她的故事
16951,UgyNC3YMRklZ5WgbaPZ4AaABAg,9,3 years ago (edited),this woman is amazing. she reminds me of my wife. my wife is korean. she's 54. her mother taught her how to ferment fruits and vegetables from the forest just like this woman does. we live in illinois. my wife loves this spring because we go out into the forest with baskets and collect berries and all kinds of fruits and vegetables. we go back home and my wife she sits on the kitchen for the patio out back and prepares all of the fruits and vegetables to ferment for a year. you haven't tried apple juice until you've had homemade apple juice from apples in the forest. or homemade pure grape juice from grapes in the forest. just one taste of this pure fruits and your body immediately responds to it. it is such a wonderful fresh flavor. it is amazing what fermentation does to plants.,这个女人很棒。她让我想起了我妻子。我的妻子是韩国人。她54岁。她的母亲教她如何像这个女人一样从森林中发酵水果和蔬菜。我们住在伊利诺伊州。我的妻子喜欢今年春天，因为我们带着篮子进入森林，收集浆果以及各种水果和蔬菜。我们回到家，我的妻子她坐在厨房里，将露台放回去，并准备所有的水果和蔬菜发酵一年。在森林中的苹果自制苹果汁之前，您还没有尝试过苹果汁。或来自森林中葡萄的自制纯葡萄汁。只有一种纯净的水果的味道，您的身体立即对其做出反应。这真是一种很棒的新鲜风味。发酵对植物的作用真是令人惊讶。
31185,UgyUnNuQPITvUvhwN514AaABAg,8,3 years ago,"what an amazing woman!
so much knowledge of available edibles and the skills to prepare them.
any man should be lucky to win her heart!","多么了不起的女人！
对可用食品的知识以及准备​​它们的技能。
任何人都应该幸运地赢得自己的心！"
24855,Ugw43HpMpzRelTA0BOd4AaABAg,8,3 years ago,"this pretty girl can be representative of a strong woman in society, not mary sue in hollywood.",这个漂亮的女孩可以代表社会上一个坚强的女人，而不是好莱坞的玛丽·苏（Mary Sue）。
32305,UgzetF2NSQd2MQ5ogHB4AaABAg,7,3 years ago,this will be the only woman to survive the collapse of humanity,这将是唯一在人类崩溃的女人
15143,UgzkcIA56q4T4mnHGl94AaABAg,7,3 years ago,if i find a woman this beautiful and gifted i'm kidnapping her to be my wife... if she's willing,如果我发现一个女人这个美丽而有天赋的人，我将她绑架为我的妻子...如果她愿意
4782,Ugz-9AfuXVyzFJJ4yi54AaABAg.9IcflViauGt9IlevCdCFze,7,2 years ago,this woman is our korean smida,这女人是我们韩国的斯密达
33292,UgzGhs2KL82POMCHYN14AaABAg,7,3 years ago,this woman is so light that they are young but cooked with different eras of cooking people.,这女人真贤惠年纪轻却煮出不同年代的料理人又美。
12150,Ugws0uW8NvIsxTdzjj54AaABAg,7,3 years ago,"it doesn't need to be a professional photographer
it doesn't need to be a professional chef
it doesn't need to be a professional agriculturist for you to come up with this beautiful thing around you. the world is so beautiful when you learn how to appreciate little simple things that surrounds you. and that's this beautiful woman literally did despite of her generation. so much respect","它不需要成为专业摄影师
它不需要成为专业厨师
您不需要成为专业的农业学家就能想出您周围的这一美丽的事情。当您学会如何欣赏周围的小简单事物时，世界就是如此美丽。尽管这一代人来说，这是这个美丽的女人的字面意思。如此尊重"
12657,UgzpAaSBBltv35qF7d14AaABAg,7,3 years ago,who is this talented beautiful woman? she's angelic to say the least,这个才华横溢的美丽女人是谁？至少可以说她是天使般的
19579,Ugw6RDVSohhAycWWd2R4AaABAg,6,3 years ago,i just got to say this woman is my favorite doing this stuff by hand is what we should all be learning,我只是说这个女人是我最喜欢的手工做这些事情的是我们都应该学习的
4654,UgweA5ZxDmv9cPJS5QB4AaABAg,6,2 years ago,"i was surprised that such a delicate and beautiful woman digs crunchy bamboo shoots with nata and cut freely!
it looks delicious! i would like to eat it.","如此精致而美丽的女人与娜塔（Nata）挖松脆的竹芽并自由切割，我感到惊讶！
看起来很好吃！我想吃。"
17956,UgzwJOIY_82wbF_-g214AaABAg,6,3 years ago (edited),"wow, this was such an amazing video. the scenery, and beauty that surrounds her home is something i wish to achieve in life (not to mention the amount of technique, skill and knowledge this woman has, another goal). inside of the home was lovely too. 
reminds me a lot of hayao miyazaki’s art work. just speechless!!!!","哇，这真是一个了不起的视频。我希望在生活中实现的风景和周围的美丽（更不用说这个女人拥有的技巧，技能和知识，另一个目标）。家里也很可爱。
让我想起了许多宫崎骏的艺术作品。只是无语！！！"
23896,UgwGlahT2sg1gqnq06x4AaABAg,6,3 years ago,what a beautiful woman. saddly i am in the united states.,多么美丽的女人。我悲伤地在美国。
19489,UgzaKfXhcX0d1zjU9Rd4AaABAg,5,3 years ago,i feel like i could only dream of finding a woman like this,我觉得我只能梦想找到这样的女人
33737,UgztOIkTepGJIhCTZqZ4AaABAg.8yUZ6-yKGlG8yUjW_qpUAc,5,3 years ago,she's a one of a kind woman. she deserves a one of a kind man.,她是一个善良的女人。她值得一个善良的人。
16111,UgxLaQYwDey6Ali72op4AaABAg,5,3 years ago,"i wish she was my wife. 
an amazing woman such as her must have a loving husband that supports her passion. perhaps he is the person behind the camera who is filming and editing her videos.","我希望她是我的妻子。 
像她这样的了不起的女人必须有一个充满爱心的丈夫来支持她的激情。也许他是摄像机背后的人，正在拍摄和编辑她的视频。"
15886,UgwvQwm4epd5OoI2m5h4AaABAg,5,3 years ago,she is the most hardworking woman i havr ever seen in this technology dependent women world.. i cant even do all those thing by myself,她是我在这个技术依赖的女性世界中见过的最勤奋的女人。我什至无法独自做所有这些事情
26695,UgzOQoEoVjqVgD8dNCx4AaABAg,4,3 years ago,i am so hooked with her videos. they are so calming and informative. just wondering is there anything this woman can't do?,我很喜欢她的视频。他们是如此的平静和信息丰富。只是想知道这个女人不能做什么？
27183,UgwS6S3YbJhuW75g-Kl4AaABAg,4,3 years ago,"i am a girl like her, and i live there ,this is my hometown.she did everything we do,my mom,my grandma,and every woman.but not every woman enjoy these thing.",我是一个像她这样的女孩，我住在那儿，这是我的家乡。她做了我们所做的一切，妈妈，我的祖母和每个女人。但是，并非每个女人都喜欢这些东西。
33841,UgxXAy3rSoqFT_oHIJN4AaABAg,4,3 years ago,what a smart woman! everything does everything and how good it is for you! it is always interesting to see!,多么聪明的女人！一切都会做到一切，对您有多好！看到总是很有趣！
22266,UgxY5PHWyf7r9m9uthB4AaABAg,4,3 years ago,she is the perfect woman. period.,她是完美的女人。时期。
24623,UgzxqrM7qB7raqvHyn94AaABAg,3,3 years ago,webkingston company views - wow i love this woman. she beautiful and kind wow if i find this woman i love here' more than and my company.,Webkingston公司的观点 - 哇，我爱这个女人。如果我在这里找到我爱的女人，她比我的陪伴更美丽而善良。
33341,UgyGNSFC7e1SF0qJWBF4AaABAg.8yUcZkJ2iTC8yUjFaRlhNV,3,3 years ago,"andrew austin like me , always in the morning see this beautiful woman .",安德鲁·奥斯丁（Andrew Austin）像我一样，总是在早上见到这个美丽的女人。
19046,UgygKUWkFawYIzpYmFx4AaABAg,3,3 years ago,"my wife
=
i need & want a woman as such in my life for ever","我的妻子
=
我一生中需要并想要一个女人这样的女人"
18809,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792TktQWaA7x,3,3 years ago,i mean has nobody wondered how this woman is uploading videos to youtube which is banned in china and uses professional film equipment in a village in the middle of nowhere? ffs,我的意思是，没有人想知道这个女人是如何将视频上传到YouTube的，该视频在中国被禁止并在无处的村庄使用专业电影设备？ FFS
22437,UgxlPUbtic-Q3zavkBZ4AaABAg,3,3 years ago,this woman is amazing loves cooking for grandmother i think is wonderful,这个女人很棒，我认为祖母为祖母做饭很棒
17388,UgzqBWsZBuqOzqzmiaV4AaABAg,3,3 years ago,every man wants a woman like her!,每个男人都想要一个像她这样的女人！
11888,UgzCDY_YJ5LAJayIfPZ4AaABAg,3,3 years ago,is xunzi delicious? no! i want to ask: the same woman found in this world!,荀子好吃吗?不!我想问:这世界上那里找的到相同的女子!
29052,UgyxBFiqpKDryhlhXr14AaABAg,3,3 years ago,"what a smart woman she is! i just love to watch liziqi video. such a calm, kind atmosphere.",她是一个聪明的女人！我只是喜欢看Liziqi视频。如此平静，友善的氛围。
2896,UgzLnhrE-YzyBrIMcTR4AaABAg,3,1 year ago,this woman is amazing. thank you for such an artistic treasure. your director/cameraman has a true talent!,这个女人很棒。谢谢您的艺术宝藏。您的导演/摄影师具有真正的才华！
11028,UgzxCAS0Jrwg6fsStv54AaABAg.984qUe8j7ci99JFtZLPcrH,2,3 years ago,"i think it should be because he is a virtuous chinese woman, marry a wife like li ziqi, this is the emotion after we watch her vido.",我认为应该是因为他是一位贤惠的中国女人，嫁给了像李齐（Li Ziqi）这样的妻子，这是我们看着她的视频之后的情感。
14926,Ugyk29PwGhjWl3Fy9Kx4AaABAg,2,3 years ago,this woman be breaking bamboo with her bare hands and i can barely open a water bottle,这个女人用裸露的手打破竹子，我几乎不能打开一个水瓶
33395,UgwyyTX_11oSpbqFpYl4AaABAg.8yUbiACQhhV8yUqQ9htcdN,2,3 years ago,there was three days when she just slept for 5 hours in total. crazy hard-working woman,有三天，她总共睡了5个小时。疯狂的勤奋女人
19170,UgxWWjYUZ7b67kh5D3l4AaABAg,2,3 years ago,"this woman is just like my wife, perfect.",这个女人就像我的妻子一样，完美。
4263,Ugx8-LL9EVufNw0uMvt4AaABAg,2,2 years ago,these videos are amazing. i would give anything for a woman like her.,这些视频很棒。我会给像她这样的女人提供任何东西。
205,Ugxa_YXGJ7VwboyT9FN4AaABAg,2,2 months ago,"a beautiful and elegant woman,in the most beautiful country in the world, nobody understands china, it is the perfect society,",一个美丽而优雅的女人，在世界上最美丽的国家，没有人了解中国，它是一个完美的社会，
34607,Ugyt6byGBsMbKGaiKiV4AaABAg.8yUTWAnSN2D8yUX0DdQz_3,2,3 years ago,almost certainly same your style of food making you are really nice woman,几乎可以肯定的是，您的食物风格使您真是个好女人
4269,UgwkOtqVSkRbGJMqPw14AaABAg,2,2 years ago,excellent meals excellent landscape and excellent woman congratulations,优秀的餐点优秀的风景和出色的女人恭喜
19105,Ugw_NnoHLvh5QTQjP5N4AaABAg,2,3 years ago,"the woman is very beautiful, capable, very diligent, and feels delicious.",女子很漂亮很能干很勤快 而且感觉做的菜好好吃我都流口水了
12480,UgxHzBHmSViLYHxKkgt4AaABAg,2,3 years ago (edited),"she's is living the life i always wanted deep in my heart but never did. she's the woman i always wanted but i am not good enough for her. her skills impress me so much. i am jealous of her peaceful life, art and style. she must be a happy person. she deserve it.",她过着我一直想深入的生活，但从未过。她是我一直想要的女人，但我对她还不够好。她的技能给我留下了深刻的印象。我嫉妒她的和平的生活，艺术和风格。她一定是一个快乐的人。她应得的。
27919,UgybNr0RnhhNq5pdzAd4AaABAg,2,3 years ago,"someone please tell me where this amazing woman is so i can put a ring on her finger. you can have your model girlfriend, you can have your trophy wife i'll take liziqi cuz when i come home from work i know i'll have a great home cooked meal waiting for me and won't starve or go out to eat everyday.",有人请告诉我这个了不起的女人在哪里，这样我就可以在她的手指上戴上戒指。您可以有模特女友，您可以有奖杯妻子，我下班回家时，我会带Liziqi Cuz，我知道我会有一顿很棒的家庭烹饪餐，等待我，不会饿死或每天出去吃饭。
22028,Ugyy03Im99ON2fZ8-5x4AaABAg,2,3 years ago,really puts things in perspective how differently people live around the globe.. this woman works so hard to feed for her family!,确实使人们的生活在全球范围内的不同之处。
22645,UgxS9qH-s7dLvlE-GY94AaABAg,2,3 years ago,"who will find a talented woman? her value is superior to pearl. the heart of a husband trusts in her, he will not lack benefit. all of her life makes her husband gain benefits, do not hurt. she looked for sheep's wool and thorns, lac-italy took her hand to do the work. she was like a merchant ship, she came back from afar. she woke up when it was still dark, gave food to her family members, and cut jobs for her servants. when she thought of a field, she could buy it; thanks to the fruit of her hands, she planted a vineyard. she strapped with force, and made her arms strong. she felt that her work was being beneficial; her lights did not go out at night. she put her hand on the spinning top, and her fingers held him down. she extended her hand to help the needy, raised her hand to meet the poor and needy. she was not afraid of her family being frozen in snow, because all the families were dressed in deep red fur. she took the blankets; her t-shirt made of fine red linen. at the gate of the city of her husband is known to them, when they sit with the elders of the land. she made a bra and sold it; also gave belts to traders. she put on strength and imposing, and when she thought of the next day, she laughed. she opened her mouth wisely, the merciful principle at her tongue. she takes care of the way of her house, and doesn't eat the bread of idleness. her children rise up, wish her blessed; her husband also rose, and praised her, saying, 
proverbs 31: 10-28 vb1925 
https://bible.com/bible/193/pro.31.10-28.vb1925","谁会找到一个才华横溢的女人？她的价值优于珍珠。丈夫的心信任她，他不会缺乏利益。她的一生都会使丈夫受益，不要伤害。她寻找绵羊的羊毛和刺，Lac-titary握住她的手做这项工作。她就像一艘商船，从远处回来。当天黑时，她醒了，给家人吃了食物，并为她的仆人裁员。当她想到一个领域时，她可以买到。多亏了她的手的果实，她种了一个葡萄园。她用武力束缚，使自己的手臂坚强。她觉得自己的工作是有益的。她的灯在晚上没有熄灭。她把手放在旋转的顶部，手指将他压低。她伸出手来帮助有需要的人，举起手来遇到穷人和有需要的人。她不怕家人在雪中冻结，因为所有家庭都穿着深红色的皮毛。她拿了毯子。她的T恤由精美的红色亚麻制成。当他们与土地长老坐在她的丈夫城市的大门上。她制作了胸罩并卖掉了。也给贸易商带来了腰带。她发挥了力量和强烈的态度，当她想到第二天时，她笑了。她明智地张开嘴，舌头上的仁慈原则。她照顾房子的方式，不吃闲散的面包。她的孩子起床，祝她祝福。她的丈夫也升起，称赞她，说，
谚语31：10-28 VB1925
https://bible.com/bible/193/pro.31.10-28.vb1925"
27013,UgyJKoqLhmxxXRuA0W14AaABAg,2,3 years ago (edited),"it's good to see the chinese way of life the old traditions of cooking and that super large garden called the jungle the scenery is breathtaking nearly as much as liziqi i have never seen such a beautiful , stunning , radiant and graceful looking woman as her even in her wellington boots when she walks through the jungle. she is china's snow white and i do not mean to offend you if you've seen the cartoon movie you know what i mean i love watching your videos it shows a life alot different to mine the film footage is clear and sharp to the eye.",很高兴看到中国的生活方式烹饪的古老传统以及那个被称为丛林的超级大花园，风景的刺耳景色几乎和liziqi一样令人叹为观止，我从未见过一个如此美丽，迷人，令人惊叹，辐射和优雅的女人，甚至像她一样当她穿过丛林时，她的惠灵顿靴子。她是中国的白雪公主，如果您看过卡通电影，我并不是要冒犯你，你知道我的意思是我喜欢看你的视频，它显示出与摄影镜头不同的生活，这对眼睛清晰而敏锐。
11780,UgxvnCpZj61BMGzORmJ4AaABAg,1,3 years ago,she is the perfect woman,她是完美的女人
14479,Ugx2n2khSmSGXVKEfXV4AaABAg,1,3 years ago,"every time a man come home lit, i be watching wife harvest happiness fam, what a woman!",每次男人回家点燃时，我都在看妻子收获幸福的家族，那个女人！
13819,UgwzEu7pbuLCUtcJLA94AaABAg,1,3 years ago,"you are a super woman amiga !!!!. your videos chapó. this specifically has wonderful music. thank you. a hug for you and your family from spain. how happy there in nature, how good !!!!!",你是一个超级女人的amiga !!!!您的视频Chapó。这特别有很棒的音乐。谢谢。从西班牙和您的家人拥抱。大自然有多幸福，有多好!!!!!
12411,UgzTLJis-ML6x-00q4V4AaABAg,1,3 years ago,what a wonderful woman this is what you can say about god's creation. congratulations girl you are worthy example ☺,这真是一个很棒的女人，您对上帝的创造可以说的话。恭喜女孩，你是值得榜样☺
11992,UgwHg0zyc9dwY2qfKcx4AaABAg,1,3 years ago,"can marry this woman
life is enough! ❤️","能娶此ㄧ女子 
一生足矣！❤️"
13468,UgxeNCA08xnXnbdYP_R4AaABAg,1,3 years ago,"im totally in love with her, and her videos. what a woman! what a life! such a beauty!",我完全爱上了她和她的视频。那个女人！什么生活！如此美丽！
13226,UgzVt8B8AQP9lN1VBiV4AaABAg.95tELirPvdv96-jjOTYPgj,1,3 years ago,im awoman and think of marrying her,我是awoman，想到嫁给Her
11648,Ugz4v3NDvFwbqZAlNrd4AaABAg,1,3 years ago,"someone, tell who is this woman, where are men in this family, why alone?",有人，告诉这个女人是谁，这个家庭中的男人在哪里，为什么一个人呢？
15307,UgxSY_DFKW660fR5QeF4AaABAg,1,3 years ago,"i am vomiting, i haven't seen such a white woman in the countryside",假到呕，未见过农村有这么白的女
13063,UgxVDqz-xQj3O33nFuR4AaABAg,1,3 years ago,what an amazing woman what a beautiful place and the food looks 5 star,多么神奇的女人是一个美丽的地方和食物看起来5星
12788,UgzM9zcMMIUC5vQA0Mx4AaABAg,1,3 years ago,is it possible to marry this wonderful woman?,有可能嫁给这个好女人吗？
14142,UgwdCOlW5kz0lHK8v8Z4AaABAg,1,3 years ago (edited),"oh my god... this chinese woman is more than the wonder woman cuz this is real. and she is my inspiration for my daily life. oh god, please bless this amazing and beautiful/pretty chinese woman....",哦，天哪...这个中国女人不仅仅是神奇女侠，因为这是真实的。她是我日常生活的灵感。哦，天哪，请祝福这个神奇而美丽/漂亮的中国女人。
21592,Ugw4SL-tQNilKzWf2gV4AaABAg,1,3 years ago,liziqi your a wonderful woman.,liziqi你是一个很棒的女人。
