,cid,votes,time,含woman,含woman中文翻译
11412,Ugw4x88DGNwK73gpB6l4AaABAg,101,2 years ago,"she is so strong,she did so many thingsssssssss from collecting,cooking until serving,wonderwoman in real world๐๐๐",她是如此坚强，她从收藏，烹饪直到服务，在现实世界中的奇妙女性做了很多事情。
28580,UgzIOB13gZ2nytgghjd4AaABAg,93,3 years ago,i don't know how i got to her videos but man am i so happy to know about this woman! im def. a fan,我不知道我是如何看她的视频的，但是伙计，我很高兴知道这个女人！ IM DEF。粉丝
39990,UgzRg2duHRyigXtfcDl4AaABAg,67,4 years ago (edited),loved this video! ms. li and her grandma and uncle are adorable! she's a very hard working woman. these videos should get more likes and no dislikes. wonderful and warming videoโค,喜欢这个视频！李女士和她的祖母和叔叔很可爱！她是一个非常努力的女人。这些视频应该得到更多的喜好，而不喜欢。精彩而温暖的视频❤
27811,Ugw9caR8LBdIHDxANAJ4AaABAg,64,3 years ago,"i have insurmountable respect and admiration for this woman. not just from what i see in the videos, but the fact she's bringing back to new life an archaic way of doing things. because of her i've learned a lot about culture, process and reaction. also because of her, i've gained several new skills.",我对这个女人有无法克服的尊重和钦佩。不仅是从我在视频中看到的内容，而且她将新生活带回了新生活，这是一种古老的做事方式。由于她，我学到了很多关于文化，过程和反应的知识。另外，由于她，我获得了几种新技能。
33759,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48v_8ubCn7Zo,58,4 years ago,"@ingestrauss3826 
that woman lives in a man-made environment as well. it is just less populated and less modern.","@ingestrauss3826
那个女人也生活在人造的环境中。它的人口较少，不那么现代。"
6082,Ugy7-7XUg_03pMGLvSx4AaABAg,56,2 years ago,this video finally broke through 90 million viewing volume! 100 million people are just around the corner. no one can surpass her in the influence of chinese all over the world. it is not an exaggeration to call the chinese first woman. she is the general representative of the top 100 billion chinese in the world and is well deserved.,本视频终于突破了九千万观看量！一亿人次指日可待。全世界华人影响力没有人能超过她，称之为华人第一女性绝不为过，她是全世界十几亿华人的总代表，当之无愧。
22395,Ugy1rajoRJlJJZvua7t4AaABAg,54,3 years ago,she's the most beautiful woman i've ever seen.,她是我见过的最美丽的女人。
38634,Ugye-pyhxOfrY35SrWl4AaABAg,51,4 years ago,"what a simple and delicious life, she is the definition of independent woman!",她是独立女人的定义，这真是一种简单可口的生活！
39982,UgyzIHf0OX9uRF4aWih4AaABAg,50,4 years ago,and here iโ€m debating if i should uber eats or eat out rofl ๐คฃ๐คฆ๐ปโ€โ€๏ธ๐คฆ๐ปโ€โ€๏ธthis woman has made a feast and gathered her ingredients .,在这里，我在辩论我是否应该吃Uber吃饭或外出吃Rofl
5418,UgzXFPB-s3SfFJ2RZc54AaABAg,46,1 year ago (edited),"she is the strongest woman that i have ever seen with multi-skills from the engineer, landscaper, and chef. big love from farmer's son.❤",她是我在工程师，园丁和厨师的多技能中见过的最坚强的女人。农民儿子的大爱。
21346,UgxT2n38AEn7KtU7L4J4AaABAg,38,3 years ago,i need this woman and her family to know that i would absolutely lay my life on the line for them and their puppies.,我需要这个女人和她的家人知道我绝对会为他们和他们的幼犬铺平自己的生命。
9072,Ugzlg9uPKu0sY-5Lbgx4AaABAg,37,2 years ago,i absolutely love this woman. despite living in the mountains shes able to do so much. all i want in life is to sit down and have a meal she cooked.,我绝对爱这个女人。尽管住在山上，她能够做很多事情。我一生中想要的就是坐下来煮一顿饭。
11142,Ugz93V2m1bRLGjYqgi54AaABAg,34,2 years ago,"so many ability and so many skills, l like that kind of woman and very kind.",如此众多的能力和如此多的技能，我喜欢那种女人和非常友善。
49362,Ugys4c6j_DQ2Wt0tRsp4AaABAg,32,4 years ago,your grandma is the happiest grandma to have you by her side. love to see you care for elderly woman.,您的奶奶是最快乐的奶奶，让您陪在她身边。很高兴看到您关心老年女人。
29341,UgxaVokagf651lxJSs54AaABAg,31,3 years ago,"japanese rice is not quite good, but this woman likes",日本大米不是很好，但是这个女人喜欢
28180,Ugwog3eU6SdvvmNLfHp4AaABAg,30,3 years ago,"beautiful relaxing nature. beautiful woman. cute grandma. sweet animals. delicious foods.
amazing, just amazing. i love that.","美丽的轻松自然。美丽的女人。可爱的奶奶。甜动物。美味的食物。
太神奇了，真是太神奇了。我喜欢那个。"
23441,UgydynHddGVxHywYncZ4AaABAg,25,3 years ago,she is a beautiful strong woman.,她是一个美丽的坚强女人。
21033,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO94JLPWyaBNl,24,3 years ago,nolan beatrolyn this woman is chinese you dumb fuck.,诺兰·比阿特罗（Nolan Beatrolyn）这个女人是中国人，你愚蠢的他妈的。
24462,UgxCd3xzPpKU8CM_ofJ4AaABAg,23,3 years ago (edited),"i think li is the true legend. the most talented woman iโ€ve seen on the internet. 

by the way i think 6:52 is not a melon seeds but a sunflower seeds.

edit: i forgot to mention the puppies and lamb. they are so cute ๐๐","我认为李是真正的传奇。我在互联网上见过的最有才华的女人。

顺便说一句，我认为6:52不是瓜子，而是葵花籽。

编辑：我忘了提到幼犬和羔羊。他们是如此可爱"
25140,UgxRrf7qoHh7GG-sSzV4AaABAg,22,3 years ago,this woman lives in heaven.. that much i can say.. everything seems to perfect ๐ฅบ๐ฅบ๐ฅบ... not going to lie.. really jealous๐’๐’๐’,这个女人住在天堂..我能说的那么多..一切似乎完美
11382,UgzwEjcZZMS4bLGJx8d4AaABAg,22,2 years ago,she's the ideal woman : decent clothing; hardworking.......and that place is just awesome... that's where i wanna live ๐’โค๏ธโค๏ธ๐’โค๏ธโค๏ธ,她是理想的女人：体面的衣服；努力工作.......那个地方真是太棒了...那是我想住的地方
29175,UgytiuO8JMZGnEFJAPh4AaABAg.8y091SJ7WWh8ySLxEzDGXc,19,3 years ago,some wives don't like when the husband sees a woman who can do things they can't or won't do.,有些妻子不喜欢丈夫看到一个可以做自己不能或不会做的事情的女人。
33779,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w2m0SsWpiH,19,4 years ago,"@kathaleenwood2426 ugliness is two drug addicts murdering a young woman, then cutting her body up and dumping it in a river. which is what happened to nichole. now ... people like you can watch this video and not understand that it is highly produced, that she is deceiving her followers. you have clearly not read through the comments on her videos where people are putting themselves down and judging themselves against this fakery. i have watched many how-to videos on yt and they don't lie to their followers. they show how long it actually takes to make things. they show how dirty you get when you do probably 75% of the things she does. idgaf, she'll eventually be exposed but people will follow her anyway because they'd rather have her fake feel-good life rather than deal with real, difficult things like nichole alloway's murder.",@kathaleenwood2426丑陋是两个吸毒者谋杀一名年轻女子，然后将她的身体倒在河里。尼科尔发生了什么事。现在...像您这样的人可以观看此视频，并且不明白它是高度生产的，她在欺骗她的追随者。显然，您没有阅读她的视频评论，人们将自己放下来并判断自己反对这个伪造的评论。我已经在YT上观看了许多操作视频，但他们不对追随者撒谎。他们表明实际需要多长时间。他们表明，当您做她所做的事情的75％时，您会感到多么肮脏。 IDGAF，她最终会暴露出来，但无论如何人们都会跟随她，因为他们宁愿拥有她的假感觉，而不是处理像Nichole Leceray的谋杀案这样的真实，困难的事情。
19811,UgzyjnYzf5fCj_83dm54AaABAg,19,3 years ago,after watching this whenever i think about what a goddess would look like this woman comes to mind,每当我想到一个女神会像这个女人时看什么
33656,UgwhKI-ie7EjjQI9ZV14AaABAg,17,4 years ago (edited),"from these videos it blows comfortable, watching them about everything you forget and enjoy viewing. the author of this channel is a great fellow, a real craftswoman ๐’๐๐ฅฐ",从这些视频中，它可以舒适地吹来，看着他们忘记并享受观看的一切。这个频道的作者是一个很棒的家伙，一个真正的工匠
25054,UgzRMGbuowhGZlQ2-0Z4AaABAg,17,3 years ago,whoever gets to marry her ๐ค” shit that man is surely lucky ๐ญ such a graceful woman ๐‘ฉshe is all her works and videos are amazing,谁嫁给她的
7258,UgxJQwjYvy55Gk6TJux4AaABAg,16,2 years ago,i love this woman's life and accomplishments. she makes it look so easy.,我喜欢这个女人的生活和成就。她看起来很容易。
22870,UgzFPkMx9dBv84UV1rB4AaABAg,15,3 years ago,marry a wife to marry li ziyi. it's a pity that i am a woman.,娶妻当娶李子柒。只可惜我是女的。
22171,Ugx-wcC0l6nx1caCGqh4AaABAg,14,3 years ago,"she can be every thing and she can do every thing. i realy like this girl and i like what she do. her work, her style of life. she is a model of a strong and beautiful chineese woman๐",她可以是每件事，她可以做每件事。我真的很喜欢这个女孩，我喜欢她的所作所为。她的工作，生活方式。她是一个坚强而美丽的Chineese Woman的典范
19518,UgxWYh3tKEOvDyMqR1J4AaABAg.95ghD49koAg96GUnNRLwrH,13,3 years ago (edited),"yeah i don’t think she cares at all. she is no one’s princess. she’s her own king, and queen, and knight, and maiden, and farmer, and court wizard, and little fairy. and most importantly, a loving grand daughter. real chinese woman is like this: strong and independent, responsible and free-willed. no princess can bring the joy when she sees her grandmother’s smile on the face.",是的，我认为她根本不在乎。她不是人的公主。她是自己的国王，皇后，骑士，少女，农民，法院向导，以及小仙女。最重要的是，一个充满爱心的大女儿。真正的中国妇女就是这样：坚强，独立，负责任和自由意志。当公主看到祖母在脸上的微笑时，没有公主能带来欢乐。
21461,UgyrOItDtNRNMgYCAA14AaABAg,12,3 years ago,she lives in a wonderland and she is a wonderwoman. damn!,她住在一个仙境中，是个奇特女性。该死！
51876,UgwxlDEq26nUtH0dR514AaABAg,11,4 years ago,an incredible miracle woman,一个令人难以置信的奇迹女人
22951,Ugy_sv8bvUfsW0czCCx4AaABAg,11,3 years ago,"the li family has a woman, known as ziyi, supports the pride of qiye, the motherland",李家有女，人称子柒，支持七爷，祖国的骄傲
20014,UgxHP62FzeTGQ9POGQ94AaABAg,10,3 years ago,"right barbara - beauty, a long braid. needlewoman and beauty :)",右边的芭芭拉 - 美女，长长的辫子。针头和美丽:)
27225,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zv_G55pVcP,10,3 years ago,more proof that you don't need a man to be a great woman. she is amazing,更多证据表明您不需要男人成为一个伟大的女人。她很棒
38089,UgwgDpA2C3QgnRFmkzN4AaABAg,10,4 years ago,amazing woman and i love all of her video so so so so so pretty and beautiful nice lovely,很棒的女人和我爱她的所有视频，如此如此漂亮，美丽的漂亮可爱
38454,Ugwtqcgu7jURm2ORmY94AaABAg,10,4 years ago,is there anything this woman can't do - she's incredible ๐‘๐€,这个女人做不到吗？
43740,UgwAGZH5fxhe2azrTvt4AaABAg,9,4 years ago,"greetings from new york!!!! it's my very first time viewing your channel!! 
i don't speak chinese, but i enjoyed watching it! i was impressed with 
this young, petit woman being so strong & resourceful! it really is fun to see the different culture & its food!(^^). looks like a great new year celebration!!(^^)(^^)","来自纽约的问候！这是我第一次查看您的频道！！
我不会说中文，但我喜欢看它！我印象深刻
这个年轻的小女人是如此坚强和足智多谋！看到不同的文化及其食物真的很有趣！（^^）。看起来像是一个很棒的新年庆祝活动！（^^）（^^）"
28949,UgxVf6GFVVp278yXWlp4AaABAg,9,3 years ago,she is a fantastic woman and i am really loving all of these videos.,她是一个出色的女人，我真的很喜欢所有这些视频。
29374,UgxeKfqa0tR7mEiDPVd4AaABAg,8,3 years ago (edited),you are the most beautiful and courageous woman i have ever seeing...good luck & i most like your this video.it was amazing...๐‘๐‘๐‘๐‘๐‘,您是我见过的最美丽，最勇敢的女人...祝您好运，我最喜欢您的视频。
28091,Ugw4lbejDL1EwEOU9Dd4AaABAg,8,3 years ago,"i want to be a better person after watching her videos..such an inspiration.. she's an amazing woman..i want to be like her, do all things all by myself..",我想在观看视频后成为一个更好的人。
27234,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-0T8Xerhn_,8,3 years ago,"after reading her story, it made me love and adore her more! she is such a one brave woman and she inspires me to become one aswell. liziqi wu ai niiiiii",读完她的故事后，这使我爱并崇拜她！她是一个勇敢的女人，她启发我成为一个同等的女人。 liziqi wu ai niiiiii
32105,UgxrynY7_Tx2sWQGmDh4AaABAg,7,4 years ago,"iโ€ve watch about 10 of her videos... what can she not do? amazing woman, respect.",我看了大约10个视频...她不能做什么？惊人的女人，尊重。
32245,Ugx3NjkpcUzSiCRtC2V4AaABAg,7,4 years ago (edited),"i feel homey homey while watching this . i've never seen something as beautiful as this video
she's such a great woman ๐‘","看着这个时，我感到家常。我从未见过像这个视频那样美丽的东西
她是一个很棒的女人"
48041,UgznQfkm2eJgbONWqB54AaABAg,7,4 years ago (edited),this woman is extraordinary. i just love her loving spirit coupled with her incredible ability. it's wonderful to watch her create extraordinary culinary delights from scratch.,这个女人很非凡。我只是爱她爱的精神，再加上她令人难以置信的能力。看到她从头开始创造出非凡的烹饪美食真是太好了。
23125,UgxCrd6Wgq9w514CSIF4AaABAg,7,3 years ago,it means that woman can be strong and do anything they like! thatโ€s awesome ๐!!!,这意味着女人可以坚强并做自己喜欢的任何事情！太棒了
20082,Ugw_SuPB19LCVW_4oH94AaABAg,7,3 years ago,"this woman, lady is amazing i love just watching her",这个女人，女士很棒，我喜欢看她
50269,UgwVfMEHryxRZiWgoiB4AaABAg,6,4 years ago,i know a lot of people says this to you.. just wanna say you are an awesome woman.,我知道很多人对你说。..只是想说你是一个很棒的女人。
29713,UgwPB8Asmxl0aTBvFop4AaABAg,6,3 years ago,"when i first saw this woman and how she conducted her life in these videos these are the scriptures that came to mind. ) proverbs 31 : 10 - 31 )10 who can find a capable wife?
her value is far more than that of corals
11 her husband trusts her from his heart,
and he lacks nothing of value.
12 she rewards him with good, not bad,
all the days of her life
13 she obtains wool and linen;
she delights to work with her hands.
14 she is like the ships of a merchant,
bringing her food in from afar.
15 she also rises while it is still night,
providing food for her household
and portions for her female servants.
16 she sets her mind on a field and buys it;
she plants a vineyard from her own labors.
17 she prepares herself for hard work,
and she strengthens her arms.
18 she sees that her trading is profitable;
her lamp does not go out at night.
19 her hands seize the distaff,
and her hands take hold of the spindle.
20 she extends her palm to the lowly one,
and she opens her hands to the poor.
21 she does not worry about her household because of the snow,
for her whole household is clothed in warm garments.
22 she makes her own bed covers.
her clothing is of linen and purple wool.
23 her husband is well-known in the city gates, where he sits among the elders of the land.
24 she makes and sells linen garments
and supplies belts to the merchants.
25 she is clothed with strength and splendor,
and she looks to the future with confidence.
26 she opens her mouth in wisdom;
the law of kindness is on her tongue.
27 she watches over the activity of her household,
and the bread of laziness she does not eat.
28 her children rise up and declare her happy;
her husband rises up and praises her.
29 there are many capable women,
but youโ€”you surpass them all.
30 charm may be false, and beauty may be fleeting,
but the woman who fears yahawah will be praised.
31 give her the reward for what she does,
and let her works praise her in the city gates.","当我第一次看到这个女人以及她如何在这些视频中表现生活时，这些都是我想到的经文。 ）谚语31：10-31）10谁能找到有能力的妻子？
她的价值远远超过珊瑚的价值
11她的丈夫发自内心地信任她，
而且他没有任何价值。
12她以好是好，还不错的奖励，
她一生
13她获得了羊毛和亚麻。
她很高兴用手工作。
14她就像商人的船一样，
从远处带来她​​的食物。
15她还在夜晚升起，
为她的家庭提供食物
和她的女仆人的部分。
16她将自己的想法放在田野上并购买。
她从自己的劳动中种了一个葡萄园。
17她为辛勤工作做准备，
她加强了手臂。
18她认为自己的交易是有利可图的。
她的灯在晚上没有外出。
19她的双手抓住了遥远的人，
她的手握住主轴。
20她将手掌延伸到低矮的一个，
她向穷人敞开双手。
21她不必担心自己的家庭，因为下雪了，
对于她的整个家庭来说，穿着温暖的服装。
22她自己制作床罩。
她的衣服是亚麻和紫色的。
23她的丈夫在城市的大门中著名，他坐在这片土地的长老中。
24她制作并出售亚麻服装
并向商人提供皮带。
25她穿着力量和辉煌的衣服，
她充满信心地展望未来。
26她以智慧张开嘴。
善良定律在她的舌头上。
27她看着家庭的活动，
她不吃懒惰的面包。
28她的孩子起床并宣布她快乐；
她的丈夫崛起并赞美她。
29有许多有能力的女性
但是你 - 你超越了他们。
30魅力可能是错误的，美丽可能是短暂的，
但是那个担心Yahawah的女人会受到称赞。
31给她奖励她的所作所为，
并让她的作品在城市大门上赞美她。"
15557,Ugz6Crq1rQZ_uHYCX094AaABAg.99RvttOnJ2p99dCWaR2n3B,6,3 years ago,tixel craft it’s acting. i’m sure a grown woman isn’t scared of a loud sound.,Tixel Craft表演。我敢肯定，一个成年的女人不会害怕大声的声音。
11032,Ugx2j5ZLrUfgpY1h9qN4AaABAg,6,2 years ago,i just adore this woman's life.,我只是喜欢这个女人的生活。
33377,Ugwj38IOnd26urpGOgl4AaABAg,6,4 years ago,"fortunately i found your channel , i love your simplicity and the way how you deal with these stuffs, i mean if i had a woman like you i would be the happiest dude ever ๐’",幸运的是，我找到了您的频道，我喜欢您的简单性以及您如何处理这些东西的方式，我的意思是，如果我有一个像你这样的女人，我将是有史以来最快乐的家伙
39424,UgxOfoa1eUo4_inwDCx4AaABAg,6,4 years ago (edited),"this is a needlewoman!
i have always been delighted and delighted with chinese culture (here you can probably say for all asian cultures)! they have something that others forgot or did not know!","这是一个针头女士！
我一直对中国文化感到高兴和高兴（在这里您可能会为所有亚洲文化说）！他们有别人忘记或不知道的东西！"
32484,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18w8IvCk-oVL,6,4 years ago,she is young๏ผgirl gril not woman,她是年轻的！女孩，不是女人
18965,UgwTjTrdh-FefoZFfqd4AaABAg,6,3 years ago,"if she needs a husband i'm first in line, how i would cherish this amazingly beautiful woman, best videos on youtube",如果她需要一个丈夫，我是第一个排队的人，我将如何珍惜这个非常美丽的女人，YouTube上最好的视频
40393,Ugw9wo4AjMlGZxH0jjZ4AaABAg,6,4 years ago,"let's hope you subscribed to receive your youtube buttons. your videos are amazing.
you are an amazing talented beautiful woman","希望您订阅以接收YouTube按钮。您的视频很棒。
你是一个了不起的才华横溢的美丽女人"
25909,Ugw5j9-EmzKg-H7F1fF4AaABAg,6,3 years ago,"you are really a wonderful woman, i watched your video for the first time! the photographer's actor and the whole process are very good ๐‘",你真乃一奇女子耶，我第一次看你视频！拍摄者出演者以及整个过程都很好
28464,UgzL4VDpXU0g175_Yj54AaABAg,6,3 years ago,you are such amazing human being ever ....we really love to watch ur video before sleeping ...and yes like other people said...your video brings a good mood and peaceful feeling ...also encourage many people especially woman to keep learning to be their best version ...i wish u always stay healthy and always happy...love from us indonesia,你真是太棒了。继续学习成为他们最好的版本...我希望你永远保持健康和快乐...爱印度尼西亚的爱
2984,UgxNvbg3jVHWU7L27AB4AaABAg.9VNt_6ullwN9_q1bqFNzgA,6,1 year ago,@__________________v5517 their team is very rich. don't worry. she is a chinese and i know this woman,@__________________ v5517他们的团队非常富有。别担心。她是中国人，我知道这个女人
16970,UgypOOuHQC0ytLcmXcJ4AaABAg.98HJEXDK_vg98jHksd-HoQ,6,3 years ago,he'll just be jealous of her. this woman is in a different league,他会嫉妒她。这个女人在另一个联盟中
46572,UgyZKLANMDq2uctGTll4AaABAg,5,4 years ago (edited),"how can there be such a virtuous woman, looking at her figure with one hand, there is a sense of happiness and the atmosphere of the chinese new year. ... is it most of the girls in the country? i want to go to the end such a wife, if, everything in front of me is true ... a inexplicable movement",怎么会有如此贤慧的女人，看着她一手一作的身形，就很有种幸福感与过年的气氛了，…乡间的女孩，大多是这样吗？这样的老婆，打死我也要到底，如果，眼前所看一切都是真的……一种莫名的感动
17612,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982OGgen76N,5,3 years ago,"@heardistic can i ask you if you come from germany? i think they are unfortunately not a german. ""size is not everything"". i have no idea what it means is and what do you think for this video here. you may have so much desire for politician order so similarly. but that's just a video of a beautiful woman .... ""the chinese should always consider"" what? i'm sorry, what?",@heardistic我可以问你是否来自德国？我认为他们不是德国人。 “大小不是一切”。我不知道这是什么意思，您在这里对此视频有何看法。您可能对政治家秩序有如此多的渴望。但这只是一个美丽的女人的视频。...“中国人应该总是考虑“什么？对不起，什么？
5766,UgxoCczcZ1pmul3vujF4AaABAg,5,2 years ago,"you are such an amazing young woman. i loved watching your videos. they are so inspiring. i just have so much respect for what you do, how you live and for the love you have and show your grandmother. i would love to spend time there. it's so beautiful. blessings to you and your family.",你真是个了不起的年轻女人。我喜欢看你的视频。他们是如此鼓舞人心。我只是对您的工作，生活方式和爱的爱以及向祖母展示的尊重。我很想在那里度过时光。这个很漂亮。祝福您和您的家人。
16140,UgyZo-1N9S9Izf9JKgV4AaABAg,5,3 years ago,every man wishes to have a woman just like you,每个男人都希望有一个像你一样的女人
7103,Ugzb2_PMojp7ZBkz4KR4AaABAg,5,2 years ago,"okay, don't worry about li ziyi ❤️ i will always support you. since you create this channel, i have always been your loyal fan. it has been a few years, i really like you, and i know that you are a very beautiful woman who is very friendly to you and has a very beautiful woman li ziyi ❤️ do n’t worry. before you achieve greater success, i will always support you, i wish you success, a beautiful lady from china li ziyi ❤️ i am your indonesian fan. i hope you can be a stronger woman, don't be afraid :) i will always support you, i am your indonesian fan, i am your indonesian fan, bleak
continuous success li ziyi ❤️","好的，不用担心 李子柒 ❤️ 我会一直支持您，从您创建这个频道开始，我就一直是您的忠实粉丝。已经有几年了，我真的很喜欢您，而且我知道您是个很漂亮的女人 对你很友善有一个很漂亮的女人 李子柒❤️ 不用担心，在您取得更大成功之前，我会一直支持您，祝您成功，一位来自中国的美丽女士 李子柒❤️ 我是您的印尼粉丝，希望您能成为一个更坚强的女人，不要害怕 :) 我将永远支持你，我是你的印尼粉丝，
持续的成功 李子柒❤️"
43905,UgzjcpdAlTD3jG5Wj_p4AaABAg,5,4 years ago,that woman can cook.,那个女人可以做饭。
38937,UgyEv8IhzxnS3WaSH3x4AaABAg,5,4 years ago (edited),"she is such a strong and inspiring woman..........
my respect for her is over the top now","她是一个坚强而鼓舞人心的女人..........
我对她的尊重现在已经超过了"
17426,Ugw5Ba080mqK5-1G4e54AaABAg,4,3 years ago,"this beautiful young woman is incredible in addition to being beautiful is a woman who makes everything very good.
the truth would be the ideal woman for any good man to value and respect her.
what a great admiration i feel for her.
i send you blessings","这个美丽的年轻女子除了美丽之外，还令人难以置信，这是一个使一切都很好的女人。
事实将是任何好男人重视和尊重她的理想女人。
我对她的钦佩真是太钦佩了。
我给你祝福"
35045,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vI3ASJWaGp,4,4 years ago,"@jones9841 okay. again, i stated i dont know her life. i'm glad someone with an actual experience there actually reached out. i have a few friends that are from china and have told me facts on their experiences and what they've lived and seen in comparison to education in the us. i am in no way trying to be prejudice, and i am not ignorant. i did a study project for school when i went and lived in china for a while, and i still side with saying that if you are not in a private institution with ap to ib courses, your chances (as a smart woman) is much lower. similar to rural parts of the us, if you grow up on a farm, there's always a chance you will be expected to stay there. if that is her situation, then my original comment can be bypassed. you never know.",@jones9841好。再次，我说我不知道​​她的生活。我很高兴在那里拥有实际经验的人实际上已经伸出了脚步。我有几个来自中国的朋友，并告诉我他们的经历以及与美国教育相比的事实以及他们所生活和看到的事实。我绝不试图偏见，而且我并不无知。当我去中国生活了一段时间时，我为学校做了一个学习项目，我仍然支持说，如果您不在AP的私人机构到IB课程，那么您的机会（作为一个聪明的女人）要低得多。与美国的农村地区类似，如果您在农场长大，总是有可能会留在那里。如果那是她的情况，那么我的原始评论就可以被绕开。你永远不会知道。
5614,UgxEcJORCWdG-kn7dwd4AaABAg,4,2 years ago,"such wholesome living, this little woman is just amazing ❤️",这样有益健康的生活，这个小女人真是太神奇了❤️
36120,UgwW3M4OGiY8vVG8u3x4AaABAg,4,4 years ago,"what a pretty woman .... what a beautiful place .... my admiration and respect.
i would like such a wife for me. blessings","多么漂亮的女人....真是一个美丽的地方。...我的钦佩和尊重。
我想要这样的妻子。祝福"
51391,Ugz4T9MJPXg4TiuE5o54AaABAg.8qlWUCBsGdF8qlnv-im8H0,4,4 years ago,"oh my god, i used to take a screenshot of li ziyi's video to the wechat circle of friends, saying that this is the cleanest place in youtube. you can see the praise of many languages ​​in the world. in such a good place, it was finally polluted. it doesn't matter. a certain island, i have sent screenshots of the vicious comments under the dai ziying incident to weibo/post bar/friend's circle, so that more kind chinese people can see hate, visualize it, see what a treasure method is alishan sun moon lan treasure island in textbooks. dai ziying's incident has an islander commented: the woman is a bad kind and other races. the world only has confinement to stretch. if they do not sit, they will die. japan and south korea do not need to applaud the cow fork! haha, in the past few years, i have worked hard to promote friendship between the two sides of the strait in my life and youtube, and i have no longer worked hard since september 18. now i often send a comment on a certain island in youtube to the circle of friends. hehe, and personally persuaded a few elderly relatives and friends who want to travel to a certain island, let them go to new matthew, support our friendship and overseas chinese, ha ha","我的天啊，我之前把李子柒视频下的评论截屏发到微信朋友圈，说这是YouTube里面最干净的地方，你可以看到全世界很多语言的赞美之词。这么好的地方，最终还是被污染了一下下，没关系啦，某岛，我已经把戴资颖事件下的恶毒评论截图发到微博/贴吧/朋友圈，让更多善良的中国人民看到仇恨，visualize it, 看看教科书里的阿里山日月潭宝岛是怎么个宝法。戴资颖事件有个岛民评论: 支那女人是劣等人种，全世界只有他们坐月子来苟延残喘，如果不坐，就会死，日韩就不需要坐 鼓掌"
46862,Ugzy9Ytt29Kbh9V16id4AaABAg.8qr3JM5GtN28quzr_QGizj,4,4 years ago,she's my ideal woman,她是我理想的女人
