,cid,votes,time,含feel,含feel中文翻译
17966,Ugy9Dzd0HKEAe92QJqh4AaABAg,111,3 years ago,am i only one feel cooking a real chinese traditional food is complicated like alchemy. lol,我只有一个人觉得烹饪真正的中国传统食物像炼金术一样复杂。哈哈
17749,Ugx9Q2tr8-wCzJJinfZ4AaABAg,63,3 years ago,"she is a charm in herself man .
it feels so good to see her cook .","她是自己的魅力。
看到她的厨师真是太好了。"
21597,UgxmqdZOcxxK0Zco7ld4AaABAg,57,3 years ago,i think about how much fake food i eat and how weak i always feel... this almost makes me cry. someday i'm going to live like this too. its beautiful.,我想到我吃了多少假的食物，以及我总是感到多么虚弱……这几乎使我哭泣。总有一天，我也会像这样生活。很美丽。
28307,UgzP_2hph4EIUadcx8N4AaABAg,54,3 years ago (edited),"i don’t usually watch these videos to know how to cook things, i watch them because they make me wonder how living this type of lifestyle feels like. it’s just so interesting",我通常不会看这些视频知道如何做饭，我看了它们，因为它们让我想知道这种生活方式的感觉如何。太有趣了
32501,Ugy7pHjjt2tGgtdwxip4AaABAg,53,3 years ago,"today i found this video of her and i can't stop watching it.i feel inspired and positive thought flowing all over me .thank u for opening my eyes.save earth

those who are reading my comment may have a great healthy long life","今天我找到了她的视频，我无法停止观看。

那些正在阅读我的评论的人可能会有很大的健康寿命"
22247,UgysTyDyaKt7NfosbqJ4AaABAg,48,3 years ago,i feel guilty watching this video and there isnt a single ad. some people make worst content and run ads about every minute or two.,看这部视频，我感到内gui，没有一个广告。有些人的内容最糟糕，每分钟或两分钟大约进行广告。
3235,UgzEp0FVwYGUxD5OU-J4AaABAg,47,1 year ago,"i feel like i'm alone. if there are more members who join, it will be more warm",觉得好像很孤单
34854,Ugww8WabgL_AcHDqfb94AaABAg,44,3 years ago,"thank you sooooo muchhhhh for uploading your videos frequently 
god bless you for moving and helping all the people emotionally.
you are such a great person and i want to remind it to you in case if you feel like you havent been told enough how admiring and beautiful young lady you are","谢谢您soooo muchhhhh经常上传您的视频
上帝保佑您动摇和帮助所有人情感上的人。
你真是个好人，我想提醒你，以防万一你觉得自己还没有被告知足够钦佩和美丽的小姐你是"
17923,UgxVd4SOGXAYOUDQbkJ4AaABAg,39,3 years ago,"admire. i need to change the water to the food snail powder once and the people who feel troublesome to add a bag of condiments to see it. seeing that the production process of this snail powder is actually comfortable. sometimes the fast -paced life of the city really makes people upside down, but despise the most basic clothing, food, housing and transportation in life",佩服。我连买速食螺蛳粉需要换一次水和把一袋袋佐料往里加都觉得麻烦的人，看这个螺蛳粉制作过程居然产生舒适。有时候都市快节奏生活确实让人本末倒置，反而轻视生活中最基本的衣食住行
7369,Ugzlr7VPmCeTez98pNV4AaABAg,35,2 years ago,i feel like if she met the primitive tech guy they would make great friends and have a lot to talk about,我觉得如果她遇到了原始技术人员，他们会结交好朋友，并有很多要谈论的
14893,UgxEWna8ZL1zTxibmY54AaABAg.93pAL1epb7l9400w7B6D-U,33,3 years ago (edited),they would live a long time. i had a health problem when i was 50 and had to change my diet to mainly friut&vegies. now i'm 65 and feel like 20 again and i can still sprint and ride bikes fast and jump on the trampoline and stuff. it's mainly my diet that does that. i feel younger now than when i was 50.,他们会忍受很长时间。我50岁时就遇到了健康问题，不得不将饮食改为friut＆Vegies。现在我今年65岁，又感觉像20岁了，我仍然可以冲刺，快速骑自行车，跳上蹦床和东西。主要是我的饮食。我现在比50岁那年年轻。
32579,Ugx9jRTrOEWpq0cDNQt4AaABAg,33,3 years ago,"the coolness of summer, the sound of suzumushi, the flowing water, and the image, and the refreshing feeling of summer is irresistible. it matches with bgm and is beautiful. thank you for watching for free",夏天的凉爽，苏津岛的声音，流动的水和图像以及令人耳目一新的夏天感觉是不可抗拒的。它与BGM匹配，很漂亮。感谢您免费观看
31541,UgyJGMV8YExZR71pJ5R4AaABAg,30,3 years ago,this has a different feel. new camera? different editing?,这有不同的感觉。新相机？不同的编辑？
18599,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92WOHaUMQBH,29,3 years ago,"pedro c mao may be like the devil satan in the west, but people in china don't judge him that way. it feels ridiculous to say that mao will tear up chinese culture. i hope that if you have the chance, you can learn more about mao from the chinese population.",佩德罗·毛（Pedro C Mao）可能就像西方的魔鬼撒旦（Satan），但中国的人们不会那样判断他。说毛泽东会撕毁中国文化真是太荒谬了。我希望，如果您有机会，您可以从中国人口中了解更多有关毛泽东的信息。
14965,UgxdusdS_08GyzPM7q54AaABAg,26,3 years ago,i feel like i'm not a human,我觉得我不是人
4546,Ugy_gFQzD3xEUqAV6ol4AaABAg,23,2 years ago,i feel fragrant across the screen,隔着屏幕都觉得香
1799,UgzafBF-nlayWxz9jRx4AaABAg,22,1 year ago,so much love goes into her food. watching her and mom relaxing makes me feel good. i want to visit.,她的食物如此之多。看着她和妈妈放松，让我感觉很好。我想参观。
17434,Ugw4Y6TdDjlU9zRkSHR4AaABAg,22,3 years ago,feels like i'm watching an old school tv drama show lol.,感觉就像我在看一部老式的电视戏剧大声笑。
19951,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91wW4x7sAQg,22,3 years ago,no violence or crazy sex stuff makes some people feel uncomfortable i guess.,我想没有暴力或疯狂的性爱事物会让某些人感到不舒服。
27845,UgwTWO_iNGdUKRP3snp4AaABAg,20,3 years ago (edited),damn!! i can feel the peacefull life after watch this,该死！！我可以感觉到这次放松之后的和平生活，感觉就像我想在印度尼西亚☘觉之外生活。
30841,Ugz_WWXANDgdgqZRqo54AaABAg,19,3 years ago,when i watch her videos i feel so tranquil and beautiful. i love everything she does. grandmother has beautiful soul as well.,当我观看她的视频时，我感到如此宁静和美丽。我爱她所做的一切。祖母也有美丽的灵魂。
15518,UgzON0oBvF-QATs0XeB4AaABAg,17,3 years ago,"the most talented woman youtube, i have a great relaxing feeling when watching her make bamboo shoots.",最有才华的女人YouTube，看着她拍竹射击时，我的感觉很轻松。
20750,Ugy12Ljj8kqERKD9bG54AaABAg,17,3 years ago,i feel at peace with myself while watching these videos.. this video was only 10 minutes long but i felt like i had lived an entire lifetime and now i truly know peace,我在观看这些视频时与自己保持和平。这段视频只有10分钟，但我觉得自己一生都过着一生，现在我真的知道和平
12515,Ugz80ivmyIbHXgQYwCV4AaABAg.96a7oIarqd-96iU_b_HpaQ,16,3 years ago,"pete g eating bats is part of some people’s culture and even if you feel disgusted by that, you shouldn’t be disrespectful about it.",Pete G吃蝙蝠是某些人文化的一部分，即使您对此感到厌恶，也不应该对此不尊重。
24973,UgykG-Yypb4EG6iBiI54AaABAg,16,3 years ago,"in addition to ziyi's temperament and talent, i also have to praise the cameragers, editing, and color rectors (of course, may be the same person). especially for coloring, how do you feel so professional, so many people in the film and television industry are ashamed!",除了子柒的气质和才华，我还要专门赞一下摄像师、剪辑、调色师（当然有可能是同一个人）。尤其是调色，怎么感觉那么专业，让影视界很多人都汗颜！
21767,UgwHHw9NsEGyLXeYM3F4AaABAg.9-WlF9BrJ_t9-uxfvQqvMt,16,3 years ago,jess _doritowhale i’m so sorry for your loss it must of been tough but i’m glad to hear that these videos help you feel better :),杰西_doritowhale，我为您的损失感到抱歉，这一定很艰难，但我很高兴听到这些视频可以帮助您感觉更好:)
18218,UgwFis8As12YuknLUBZ4AaABAg,15,3 years ago,"there are still pickles. just looking at my heart, i feel very calm, peaceful, and give me a comfortable feeling. i started to like you",竟然还会腌菜，光是看着内心就感到很平静，安祥，给我一种舒服的感觉。开始喜欢你了
31573,UgyidnuEMaTxYjZ-SkF4AaABAg,14,3 years ago,this makes me feel like moving to no where and just being like this haha,这让我觉得自己没有像这样的地方，只是这样哈哈
6155,UgzYBiokQtpqw0leO7Z4AaABAg,14,2 years ago,why does her videos reminds me of my childhood? the feeling is kinda weird ๐,为什么她的视频让我想起了我的童年？感觉很奇怪
3397,UgwuJPc2TAvaUVPNXYh4AaABAg,13,2 years ago,"watching li ziyi's video, i can feel the unique charm of nature. i feel very good. it is a pleasant enjoyment!",看李子柒的视频，能感觉到大自然的独特魅力，心情非常好，是一种心旷神怡的享受！
20274,UgxEAL69eQnciWfKj9N4AaABAg,12,3 years ago (edited),whenever i see her cooking.. i feel hungry even if i had eaten just few minutes before watching..,每当我看到她做饭时。
3972,UgzddFErU7M5OM42IZ94AaABAg.9Lavf9Moto19OA3k3o-lBE,12,2 years ago,"i feel the same. humanity has stray from nature with our modernization and materialism. even though we have riches, we feel empty inside. but whenever we go for hike into nature we feel a sense of happiness and peace. our spirit was born from nature so we are always connected to it.",我也是这么感觉的。人类与我们的现代化和唯物主义相偏离自然。即使我们有财富，我们也会感到内心空虚。但是，每当我们徒步进入大自然时，我们都会感到幸福与和平的感觉。我们的精神是从大自然诞生的，所以我们始终与它联系在一起。
19401,UgwcEonI2Y015f1z-xN4AaABAg,12,3 years ago,dude she makes me feel so lazy on my busiest days!,杜德，她让我在最忙碌的日子里感到如此懒惰！
23700,UgxkeTUrJQ781yZxNZV4AaABAg,12,3 years ago,i always feel cleansed inside when i watch this beautiful woman work.,当我看着这个美丽的女人作品时，我总是会在里面感到清洁。
22038,UgztiZZZoBRktyO5ITR4AaABAg,11,3 years ago,"when the first time i see a video like this.i was so stressed then i feel free when i watch this!
like if u feel the same","当我第一次看到这样的视频时。
就像你有同样的感觉"
22932,UgxSKjSaOg5l6UTVji14AaABAg,11,3 years ago,it is a video that makes you feel the blessings of the earth and the wisdom of the diverse life of chinese cuisine. looks delicious.,这是一个视频，可让您感受到地球的祝福和中国美食的多样化生活的智慧。看起来很美味。
31560,UgyJGMV8YExZR71pJ5R4AaABAg.8yVBX2Ps8Uh8yVdi3bijew,11,3 years ago,"same. i feel as if there are a lot more cuts compare to the other videos, so it feels a little bit more...rushed?",相同的。我觉得与其他视频相比，还有更多的削减，所以感觉更多...匆匆忙忙吗？
6830,Ugyo3IIeBR37EZYBiWl4AaABAg,11,2 years ago (edited),"i swear to god, everytime i watch her vids, it makes me feel like my life is literally a joke. like literally!!! 





well, if i think about it, its not totally wrong though!๐๐๐๐ข๐ข๐ญ๐ญ๐ญ๐ญ","我向上帝发誓，每当我看着她的视频时，这都会让我觉得我的生活实际上是个玩笑。就像字面上！！！





好吧，如果我考虑的话，那不是完全错！"
3868,UgwH74kFciN1-IaiJ0B4AaABAg,10,2 years ago,i just amazed by how she use all the leaves vines ect as packing of food or rope while me struggling going to barware store or supermarket to buy so many plastic products...... 's touching me everytime when she show me the skills and wisdom of how to deal with nature. also i feel sorry that my grandparents are no longer able to pass on me their knowledge of how to use bamboo and traditional local dishes...... all of the short stay in rural area are shining memories to me.,我只是对她如何使用所有叶子葡萄藤作为食物或绳索的包装感到惊讶我们决定找到一所拥有大土地的房子，以创造像她家一样的维度。当她向我展示如何处理大自然的技能和智慧时，每次都会感动我。另外，我感到很抱歉，我的祖父母不再能够传递他们对如何使用竹子和传统当地菜肴的知识……在农村地区的所有短暂住宿都对我来说都是闪耀的回忆。
15060,UgyZFBlw6euQWjOCPmJ4AaABAg,9,3 years ago,i literally have no idea what's going on. it feels like she's cooking 20 different meals at the same time... i don't even know half of those ingredients...,我真的不知道发生了什么。感觉就像她同时在烹饪20种不同的饭菜...我什至不知道这些成分的一半...
20376,UgzG8D0rsmIpDUruUaB4AaABAg,8,3 years ago,"you are magician! looking your videos, i feel like meditating. and yes - you are very beautiful lady. good luck to your chanel",你是魔术师！观看您的视频，我觉得自己像冥想。是的 - 你是非常漂亮的女士。祝你香奈儿好运
25810,Ugy0z-zy7tB7Sg_2Jih4AaABAg,8,3 years ago,hello i am a thai fan. i watch you every day through youtube channel and feel happy every time but i want you to speak. ok thank you,你好，我是泰国球迷。我每天通过YouTube频道看着您，每次都会感到高兴，但我希望您讲话。好的谢谢
14697,UgzsNdcVh6O4edGeWuZ4AaABAg,8,3 years ago,one of the purest things i have ever seen. the fairy talish atmosphere and the process from soil to plate feels like magic,我见过的最纯粹的事情之一。童话般的塔里什气氛和从土壤到盘子的过程就像魔术
32922,UgwqQhKqCwu2TJuCiA54AaABAg,8,3 years ago,your videos are wonderful and always make me feel at peace! thank you for your dedication and hard work!,您的视频很棒，总是让我感到和平！感谢您的奉献精神和辛勤工作！
35238,UgxqtAoU4fxu742tD6N4AaABAg,7,3 years ago,i love your videos! they help me relax...and also make me feel lazy!,我爱你的视频！他们帮助我放松...也让我感到懒惰！
9818,UgyEmPXldvb1Chw0vPN4AaABAg,7,3 years ago,"the entire film looks quite comfortable, which makes people feel like the pastoral life through the screen.",超赞 整个影片看起来相当舒服 让人透过银幕仿佛可以体验到静懿的田园生活
30174,UgyFEcgWfMqUoU4AvAd4AaABAg,7,3 years ago,"so i want to feel life in the house, so natural without the burden of metropolis, without a mall, without traffic without anger that is only relaxed and so happy ... ☺️",因此，我想感受到房子里的生活，自然而然地没有大都市的负担，没有购物中心，没有交通，没有愤怒，只有放松而快乐...☺️
23950,UgxZCZVUrlZeI9qokoh4AaABAg,6,3 years ago,i feel sorry for the baby bamboo but i've tried bamboo shoots before and they taste great . . . such a hard choice,我为小竹子感到难过，但我以前尝试过竹芽，它们的味道很棒。 。 。如此艰难的选择
23453,UgwBNQDYwhYRutE00xF4AaABAg.8zj0F8MxqZ48zqq4yaKKSb,6,3 years ago,amazing！you notice the tiny which creat by nature.everything seem so friendly quite and harmonious，and the gril too！this feeling is called 天（nature）人（human）合（combine）一（origin） in chinese .this video id full of our culture which different to other,惊人的！您注意到自然创造的微小。一切似乎是如此的友好和和谐，而且gril也是如此，这种感觉被称为（人体）（人类）（人类的compine）（compine）（compine）（中文）。充满了我们与其他不同的文化
34086,Ugw8xIAdPg2_hjwD-s94AaABAg,6,3 years ago,i feel more comfortable to follow this channel,我遵循这个频道更舒服
18367,UgxpX6jBZCN6pF96El54AaABAg,5,3 years ago,"although the method of the method is different from our traditional snail powder, thank you for making it so poetic, and thank you for using the correct pronunciation! every time i heard others say luo shi fen, i feel responsible for science.",虽然做法工序跟我们传统的螺蛳粉有所不同，但谢谢你把它变得如此诗意，更谢谢你用了正确的发音！每次听到别人说luo shi fen 我都觉得有责任科普一下 那字读si
34020,UgzhqLlw1RPT7apnOpB4AaABAg.8yUW_GiXa3r8yUlPqZnocn,5,3 years ago,george costarica you are by far the ugliest person in the entire comment thread. so much hate. i actually feel sorry for you that your life is so miserable you need to troll youtube.,乔治·科斯塔里卡（George Costarica），您是迄今为止整个评论主题中最丑陋的人。如此仇恨。实际上，我为您感到难过，您的生活是如此痛苦，需要拖曳YouTube。
12561,Ugz2qJyB_AotIcUxcKJ4AaABAg,5,3 years ago,miss li zizhen's video can always make people feel the beauty of the soul,李子柒小姐姐的视频总能够让人感到心灵上的美好
21942,Ugxqx5Mr07z9pd6YGOp4AaABAg,5,3 years ago (edited),"when have panic attacking on me...i don’t want to see anything just yours videos 
and then tha calm is comoen to me
i don’t want feel like this on me .is soo sadthe depressing and ansiedad but thanks for yours videos i like to wan live ther on the montains","什么时候恐慌对我进行攻击...我不想看到您的视频
然后，我的平静是我的comoen
我不想在我身上感到这样。太可悲了，令人沮丧和安塞达德"
19489,UgzaKfXhcX0d1zjU9Rd4AaABAg,5,3 years ago,i feel like i could only dream of finding a woman like this,我觉得我只能梦想找到这样的女人
10041,Ugx9IEN2pjOIw3lUf8J4AaABAg,5,3 years ago,i feel like whatever she touch and found can be an ingredients for delicious food..♥️,我觉得她碰到的任何东西都可以是美味佳肴的成分。
2446,Ugw--mxBcmRAYDhoo194AaABAg,5,1 year ago,"so many people envy of her that they don't admit liziqi is better than themselves, but i think she is outstanding from the beginning to now, better than most of people. and i'm feel so sad about what she has suffered online. it's not her fault to be so outstanding.",这么多人羡慕她，以至于他们不承认利兹奇比自己更好，但是我认为她从一开始就很出色，比大多数人都好。而且我对她在网上遭受的痛苦感到非常难过。如此出色不​​是她的错。
15838,UgzNAt-JXo0IaQDL1Wl4AaABAg,5,3 years ago,this makes me feel hungry...missing my family now.,这让我感到饥饿...现在想念我的家人。
15261,UgwKM0zS63w5WSYcKAR4AaABAg,5,3 years ago,i feel she could dress the bee's as she is as busy as 1.,我觉得她可以穿蜜蜂的衣服，就像她一样忙。
11916,UgzhKzHiJ1G8iuoOrVB4AaABAg,4,3 years ago,"as i keep watching the video, i feel real, but because of my hands. i miss you, the hands of the farmer.",当我不断观看视频时，我感到真实，但是由于我的手。我想念你，农民的手。
12751,UgyoUyua9jwu177E6KJ4AaABAg,4,3 years ago,"well done, what a thin, fragile, and to any of our peasants, he will give a head start, does not whine, does not whine, the feeling that she can and can do everything. the beauty, as i understand it, is her grandmother, about whom she carefully and respectfully cares. not our silicone installations.",做得好，多么薄，脆弱，对我们的任何农民来说，他会开头，不会抱怨，不会抱怨，她能够并且可以做所有事情的感觉。据我了解，美丽是她的祖母，她精心而尊重的是她。不是我们的硅胶装置。
30222,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38ylyq2xQdwy,4,3 years ago,i do feel the same,我确实有同样的感觉
24386,Ugxhz2Zqy0iR1NB0qQZ4AaABAg,4,3 years ago,"it makes me feel good that even if i live in a city i can grow wild purslane (a super food) and other wild herbs like, epazote, and estafiate. also what we call a malice weed, dandelion, in reality, one of the most misunderstood super food and medicinal plant.",即使我住在一个城市，我也可以种植野生的皮lane（一种超级食物）和其他野生草药，例如，epazote和estafiate，这让我感到很好。实际上，我们称之为恶意杂草，蒲公英，是最误解的超级食品和药用植物之一。
3896,Ugx_NcPcKBlYcyCeUtV4AaABAg.9Lo-UhkEMIm9OA4UBrM0fR,4,2 years ago,"humanity has stray from nature with our modernization and materialism. our spirit was born from nature so we feel joy and peace when we are surrounded by nature. but when we are separated from nature too long, we feel empty inside.",人类与我们的现代化和唯物主义相偏离自然。我们的精神是从大自然诞生的，因此当我们被自然包围时，我们会感到喜悦与和平。但是，当我们与自然分离太长时，我们会感到内心空虚。
3744,UgzxTV12bhXF8vqOm3F4AaABAg,4,2 years ago,"this is what you gotta watch when you’re feeling lazy about which drive through to go to for lunch, then, end up going to the supermarket and buying things to cook, then, feeling like you did something great by cooking, then, realizing you still really didn’t and how you have it so well off in comparison to what others do to make a meal, then, and finally then, you actually realize you’re not that well off since no matter how much easier it is to get things as quickly and easy as you do, this person here has so much more skills and rewards of feeling the feeling she must feel on a daily basis from always learning, doing and providing for her family, in this way. amazing!!! my goodness",这就是当您对哪个开车去吃午餐的懒惰时，您必须看着什么，然后，最终去超市买东西做饭，然后，感觉就像是通过烹饪做得很好，然后才意识到自己做得很好与其他人做饭相比，您仍然真的没有以及如何拥有它，然后，您实际上，您实际上意识到自己的状况并不顺利，因为无论多么容易，像您一样快速，轻松地获得事情，这里的这个人具有更多的技能和回报，感觉她每天都会以这种方式学习，做和为家人供养，她每天都必须感到自己。惊人的！！！我的天哪
16112,Ugzg_BEWsVFk6hDKKax4AaABAg,4,3 years ago,"most of the content is still true, but some things are overly beautified, but it does not affect how we feel this beauty, doesn't it?",大多数内容仍然是正确的，但是有些内容过于美化，但这不会影响我们的感觉，不是吗？
5220,UgwTT-Dl4LSguI1aLFN4AaABAg,4,2 years ago,whenever he saw him cooking i feel like eating all the time. i want to know the recipe. i can't eat. he can't read thai.,每当他看到他做饭时我一直在吃饭。我想知道食谱。我不能吃。他不能读泰语。
19334,Ugx-TnDFzmfGlqqMcWZ4AaABAg,4,3 years ago,when she picked the mushrooms i fell in love. feels like i'm missing out on life eating my can of tamales.,当她选择蘑菇时，我坠入爱河。感觉就像我错过了生活在吃玉米粉罐的生活一样。
23883,Ugw3Cxr5gIo_5_pT_454AaABAg.8z_VHkNqWWZ8zgED2-U0g1,4,3 years ago,@laurarossflyswatter he has to make himself feel better by putting someone else down!!!,@laurarsflyswatter他必须通过让别人放下来使自己感觉更好！！！
20130,UgzWDCM5VHlrVcjpwQ54AaABAg,4,3 years ago,i feel calm while watching this video by the scenic beauty of the nature,我在观看这部视频的自然风光时感到很镇定
15633,UgxsTe0wqfar78hnVmt4AaABAg,3,3 years ago,"i think it's great, just restore the feeling of farmers",我觉得很棒啊，就很还原农家的感觉
34737,Ugzak8p2rONKOfvnHjZ4AaABAg.8yUTA8g_iRf8yUXzgUI6eH,3,3 years ago,"i go to guangxi to play, when i eat snail powder. i don't feel that the good joy snail is delicious, it's delicious, it's delicious",我去广西玩，吃到螺蛳粉的时候。 感觉没网上买的好欢螺好吃
10197,UgzqFlNxzrjZiAGeG914AaABAg,3,3 years ago,"this place is so peaceful and cool, if i were the owner then i would not be busy with life anymore and quietly here, it makes me feel warm and not the pressure to get rich anymore. this seems to me as a far-off wish",这个地方是如此宁静和凉爽，如果我是所有者，那么我就不会再忙于生活，在这里安静地，这会让我感到温暖，而不再是致富的压力。在我看来，这是一个很遥远的愿望
10676,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_77-l3-eY,3,3 years ago,"@mohammedharoon8453 i dont have sth against moslem. but i dislike that everybody tend to associate chinese & the culture with ccp while theyre not... just like the name mohammad gets associated with terrorist. boy! what a world! even u mr. mohammad haroon... u know how it feels to be bullied by western people just bc of ur name. .. but u do that also to the chinese! its u who had started to say bad things about liziqi... despite her awesome work & talents !!
its useless to speak to someone like u. byeee!","@Mohammedharoon8453我没有STH对阵穆斯林。但是，我不喜欢每个人都倾向于将中国和文化与CCP联系在一起，而他们却没有……就像穆罕默德这个名字与恐怖分子相关。男生！真是个世界！甚至你，穆罕默德·哈伦（Mohammad Haroon）先生...你知道只有你名字的西方人被西方人欺负的感觉。 ..但是你也对中国人做到了！它开始对利兹基说坏话...尽管她的工作和才华很棒！！
与像你这样的人说话是毫无用处的。 byeee！"
10687,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799npOD97aXU,3,3 years ago,"@xe2893 ou are such a dumbo. no matter what reason she doing (for money or just for leisure) she make people feel peaceful and stress reliever. if you cant do something like her, you should keep quiet. come back home shut the door and have self reflection and think how could you make your own life better. dont be keyboard warrior coz it will make you like a dumb clown",@xe2893 ou真是无人索。无论她做什么理由（为了钱还是为了休闲），她都会让人们感到和平和压力缓解者。如果您不能像她这样的事情，那应该保持安静。回到家关上门，进行自我反思，并认为您如何使自己的生活变得更好。不要成为键盘战士，因为它会让你像一个愚蠢的小丑
32914,Ugz3FH_-93t-gEqVUdx4AaABAg.8yUkS5gmmql8yV6NVrn4LD,3,3 years ago,watching her video really makes people feel that the self -sufficient life of people in ancient times is really beautiful,看了她视频真的让人感觉到古时候的人自给自足的生活真的很美好
18566,Ugw-vv0KIOpvnH9Tsq54AaABAg,3,3 years ago,"when you see you, you can see the motivation of life. you can feel the present for yourself and your family. such a life can also be colorful. come on!",看到你就看到了生活的动力，为自己、为家人好好努力感受当下，这样的人生同样可以多姿多彩。加油！
15788,UgyA7sRLdVrROsamTEZ4AaABAg,3,3 years ago,it feels like i am watching a movie.,感觉就像我在看电影。
20969,UgydPBWNXutoiA564aV4AaABAg,3,3 years ago,"see your video for the first time
feel good
the busyness of farming is really clever
very good","第一次看妳的视频
感觉还不错
农忙的活 手真巧
很不错"
31269,Ugz2oVF7QZDLKf6o30J4AaABAg,3,3 years ago,feel so comfortable by the way any armies here,在这里的任何军队的过程中感到如此舒适吗？
17459,UgyxjCNw7PcHy00mFTh4AaABAg.92kFCYuSK5v92qdsCt_p5H,3,3 years ago,"come to china then,you will feel differently",那时来中国，你会有不同的感觉
