,cid,votes,含feel,含feel中文翻译
17563,UgzNv4azBWM4KY1hR414AaABAg,250,i feel like her entire life was drawn by miyazaki,我觉得她的一生是宫崎骏绘制的
40283,Ugw-aEsAm6XHGhkx0kZ4AaABAg,153,"every time watch ms. li the video, i feel like i’m inside the villages",每次观看视频李女士时，我都会觉得自己在村庄里。非常爱
47857,UgydpG-QppWLP4uwJwl4AaABAg,152,"i am feeling hungry but my wife's recipes are,,,,,,,,,,,,,,,,,,,,,,,, she is around me, good",我感到饿了，但是我妻子的食谱是
5993,UgzEqCYo4MWItFFqut54AaABAg,143,"every time when i feel overwhelmed by all the annoying things in life, i'd come back to her videos. her videos really sooth me and help me find peace.",每当我对生活中所有烦人的事情感到不知所措时，我都会回到她的视频上。她的视频确实舒缓了我，并帮助我找到和平。
27185,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zSucoUGUY-,142,"where did you get this information? i hope she doesn't feel guilty about her acquired fame, also do they pay for the internet? how do they upload?",您从哪里获得此信息？我希望她对自己获得的名声不感到内gui，他们还为互联网付费吗？他们如何上传？
24364,Ugzpl0UNkc7Sdjcaac94AaABAg,136,these foods are seriously made me feel want to celebrate chinese new year,这些食物很认真地让我觉得想庆祝农历新年
46446,Ugx3xkI2JGadhTYqM0Z4AaABAg,133,when i was a lil girl i had a book of chinese folk tale (written in bengali) which was very close to my heart.there was a girl in that story who used to stay with her granny in a beautiful villlage of china .she too used have a gang of pet...she would also do many household chores just like this girl and her lifestyle was my childhood fantasy..i used have a pretend play just like the lifestyle of that girl mentioned in the story....when i watch this channel i feel very much nostalgic to see this pretty girl and her life....she is an amazing girl...god bless her and her granny..,当我还是个小女孩的时候，我有一本中国民间故事（用孟加拉语写的），它非常接近我的心。这个故事中有一个女孩曾经和她的奶奶一起住在一个美丽的中国村庄里。曾经有一群宠物...她也会像这个女孩一样做很多家务，而她的生活方式是我的童年幻想。我二手的假装就像故事中提到的那个女孩的生活方式一样。当我观看这个频道时，我很怀旧地看到这个漂亮的女孩和她的生活。...她是一个了不起的女孩...上帝保佑她和她的奶奶..
15406,Ugy2OszM2YO_mFVH0Tt4AaABAg,132,so this is what one with everything feels like.,因此，这就是一切的感觉。
34197,Ugyw64mGiMbVKYHy4bV4AaABAg,126,i feel so bad now picking up my phone and ordering food to be delivered to my door,我现在很难拿起我的手机，订购食物要送到我的门口
16566,UgzlpPc-Ymml4G00nv94AaABAg,104,this entire video is just 10 minutes but i feel like i lived one eternity peacefully while watching it,整个视频只有10分钟，但我觉得我在观看时和平地生活了一个永恒
26237,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zpaKgdDgF0,95,oh i know how you feel. i'm really proud of you!,哦，我知道你的感觉。我真的为你感到骄傲！
29303,UgwdVDks-QjjWNlASBl4AaABAg,95,when i watch her videos i feel in fairy world..so emotionally appealing!! i really want to meet this chinese angel and hug her !! lots of love from india,当我观看她的视频时，我会在童话世界中感到。我真的很想见这个中国天使，拥抱她！来自印度的很多爱
22352,UgzLYsI9CIkRk3uK2TN4AaABAg,93,every time i feel lazy. i watch this girl and it inspires me to work harder..,每次我感到懒惰。我看着这个女孩，这激发了我的努力。
45866,UgxVK8SbphPNjXXksal4AaABAg,84,"they live in an enchanted kingdom and i wonder if they even know it!? what a wonderful video to transport me into that place full of traditions, and old ways and all the smells, tastes, and warm feelings. thank you so much for the video. it is a treasure!",他们生活在一个迷人的王国中，我想知道他们是否知道！将我带入充满传统，古老的方式以及所有气味，品味和温暖的感觉的地方真是一个很棒的视频。非常感谢您的视频。这是宝藏！
7424,UgwzWhevUJ9D6TVXfjh4AaABAg,80,"my 18+ photos here sexydates.live


miako -san! ฅ (̳ • · · • ̳ ฅ)
tanta beyezas que dios a hecho en este mundo asere y
disen que dios es malo si dios es malo nadie es bueno asere
mil grasias por tanta beyesas i loro stati di salute rispettivenirli
thank you for the reorganization of the live distribution! the live distribution on this day was quite ridiculous! more than 10,000 people were watching (laughs). it was also exciting that i forgot to cut the camera and did one! i feel 51x61715 in the future","我的18多张照片在这里sexydates.live


miako -san！ ฅ（̳•··•̳ฅ）
Tanta Beyezas que dios a hecho en este mundo asere y
Disen que dios es Malo si dios es Malo Nadie es Bueno Asere
Mil Grasias Por Tanta Beyesas I Loro Stati di致敬Rispettivenirli
感谢您对现场发行的重组！这一天的现场演出非常荒谬！有10,000多人在看（笑）。我忘了切开相机并做一台相机也很令人兴奋！我将来感觉到51x61715"
17667,UgzowBGsC_vObZxvw3l4AaABAg,72,"everything she does is perfect. i mean, i'm in the city right now and she makes the country life like cool. when i went to china to visit my releatvies in the country side, i did not like it. but looking at her just makes me feel like i should go back. but coronavirus yall.",她所做的一切都是完美的。我的意思是，我现在在这座城市，她使乡村生活像酷。当我去中国参观我在乡村方面的依据时，我不喜欢它。但是看着她只是让我觉得我应该回去。但是冠状病毒yall。
35824,UgxA7fqSFSw88yd25Ql4AaABAg.8u_JCCrPamT8ucEOvYy2p5,70,@miranti dwi donโ€t feel ashamed! find inspiration in others and aim to live a life you dream of living!,@miranti DWI不会感到羞耻！在他人中找到灵感，并旨在过着梦dream以求的生活！
14718,UgyCvRqWiyY-JOVVeZF4AaABAg,61,this feels like straight out of a jrpg.,这感觉就像是直接从JRPG出来的。
34258,UgwTeLzvn9xOqtnMCwB4AaABAg,60,my feelings of joy almost like crying of happiness good video i love it โค,我的喜悦的感觉几乎像哭泣的幸福好视频，我喜欢它❤
52946,UgzVUw4UnqLW7N-jjil4AaABAg,60,"i love this video! every time i see li ziyi's video, i have a feeling that i want to travel to sichuan. after reading this time, i have this idea more again",I love this video! 每次看到李子柒的影片，都有一种很想去四川旅游的感觉。这次看完以后又更加有这个想法了
27200,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zcim-ym-k6,59,"@newsionl6092 ah is that so, i'd be curious too considering the garbage wifi and networking we have here in my country. anyways, this guy got his news from the official liziqi shop liziqishop.com, so he is telling the truth, as confirmed in this site's ""liziqi's story section"" i feel bad but at the same time proud of her. <3 keep on moving forward ziqi!",@newsionl6092啊，那是这样，考虑到我们在我的国家 /地区拥有的垃圾WiFi和网络，我也很好奇。无论如何，这个家伙从官方的liziqi Shop liziqishop.com那里得到了他的消息，所以他说的是真相，正如本网站的“ liziqi的故事部分”所证实的那样，我感到难过，但同时为她感到骄傲。 <3继续前进Ziqi！
39694,UgwQcWZrlXAU2kq2xUp4AaABAg,58,"i scared and jumped up, it's really cute
่ฑ seeing the full english comments below, i really feel happy for you. people in different countries like your videos very much, and people who watch it also feel easy and happy. i wish you and grandma who can live a happy and healthy manner every day like now ๐","吓到跳起来那下真的太可爱了
"
86,UgwzGLDCb21y3L7CPD94AaABAg,57,it feels so good to see the amount of views in her channel. she deserves it. miss you li ziqi,看到她的频道中的视野真是太好了。她应得的。想念你李Ziqi
46558,UgxR2ZXCkTAfDHvb0et4AaABAg,56,why do i feel suddenly want to cry watching this beautiful girl work out on all that foods??,为什么我觉得突然想哭泣看着这个美丽的女孩在所有食物上锻炼呢？
22359,UgzRlZRJCxQY48VVls94AaABAg,53,"although i haven't experienced it, i feel like this. this is the process that is missing in the society now. many people say that the taste of the year is because everything can be bought, not to do it by themselves. years, it is because of the process that it tastes.",虽然没经历过，但是感觉好怀念这样的感觉。现在社会里面缺失的就是这样的过程，很多人说年味寡淡，就是因为什么都可以买，而不是亲手去做。年嘛，正是因为过程才变得有味道。
6170,UgxwsnZSo2V99XRIAhZ4AaABAg,52,i suddenly feel the urge to turn my life 180º and become the best version of myself,我突然感到自己的生活180º并成为我自己最好的版本
15204,UgyGOGjRsVqFMSvvag14AaABAg,48,"every time i watch your video, it feels like a healing of the soul. the seemingly bland life has been a poem by you",每次看你的视频感觉都是一种心灵的疗愈，看似平淡的生活被你过成一首诗
33777,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w2S_dU7F9_,47,"@parkchimmin7913 one of my biggest issues with it is that people are saying that they should strive to be like that. it is a highly romanticized depiction of rural life. i see so much self hatred in the comments, and it makes me sad. i'm quite handy, so i know how much time it takes to do a lot of those things, and that you don't always feel like doing those things. i don't like that her videos make people feel bad about themselves, and that is a sentiment i have seen in the comments to all her videos.",@parkchimmin7913我最大的问题之一是人们说他们应该努力那样。这是对农村生活的高度浪漫化描述。我在评论中看到了如此多的自我仇恨，这让我很难过。我很方便，所以我知道做很多事情需要多少时间，而且您并不总是想做这些事情。我不喜欢她的视频会让人们对自己感到难过，这是我对她所有视频的评论中看到的一种观点。
5789,UgzY4We3T-EHrrIwkeh4AaABAg,42,"i wish she could let me stay with her, i wouldn’t even ask for salary and would do all the chores.. i just want live the moments with these people in that village. its so peaceful so soothing. i feel like i could bury all my sins there and start a new life.",我希望她能让我和她在一起，我什至不会要求薪水，也会做所有的琐事。.我只想和那个村庄里的这些人一起生活。它是如此宁静，所以舒缓。我觉得我可以将所有的罪恶埋在那里，开始新的生活。
32181,Ugw98zMUT5-2W4KP6xF4AaABAg.8vxydkDtngx8w9ZZg-UW8V,34,donโ€t you guys just have that feeling in your life that you want to do something and then just donโ€t do it? like you feel like you dislike yourself for being unproductive?,你们难道不只是一生中想要做某事然后不做的感觉吗？就像您觉得自己不喜欢自己的生产力一样？
40578,Ugy9hIfVYANKS6enqBd4AaABAg,34,"i feel like i'm in the mulan movie. very peaceful, natural, and beautiful. thank you! ❤",我觉得我在木兰电影中。非常和平，自然和美丽。谢谢你！ ❤
37269,UgzsOJw5oLPhjWGBUuR4AaABAg.8uCns5ObPCa8uSXxNcF5KI,31,"renz sob-can i feel the same way! i feel sad, especially here in america we have gotten so far off the ""natural path"" i crave this life. i could careless about technology.",renz sob-can我也有同样的感觉！我感到难过，尤其是在美国，我们已经远离了我渴望这一生的“自然道路”。我可以粗心大意的技术。
28757,UgzKi3tB0DdG7t1i2xp4AaABAg,31,i feel like i'm watching some kind of cartoons/anims.,我觉得我正在看某种卡通/动画。
26123,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-8zzMRAd8B_K,29,"@user-sc8cy5qc6e you buy or you do not buy, it's up to you. i buy nothing from her, but i enjoy her video, and i thank her giving me good feelings about life.",@user-sc8cy5qc6e您购买或不购买，这取决于您。我什么都没有从她那里买，但我喜欢她的视频，我感谢她给我对生活的好感。
16050,UgzkPyRgZvhiEsrBHw54AaABAg,28,"it's very beautiful, it's not such a primitive life, but it's very nice to feel the original humanity, but the angle of the camera changes like a drama, so how far is it? i'm curious ...",它非常美丽，不是原始的生活，但是感觉到原始人类非常好，但是相机的角度像戏剧一样变化，所以它有多远？我很好奇...
33217,Ugwse83__zbvc_TWq2h4AaABAg,27,im playing this while cooking my dinner and my soul feels better,我在做饭时玩这个，我的灵魂感觉更好
4210,UgzooBw5L5LBqVxY5_54AaABAg,27,these videos are very useful for those who want peace of mind.it feels so happy and peaceful to see this way of life.the pleasure of living in harmony with nature is something else.,这些视频对于那些想要安心的人来说非常有用。
14950,UgzH0Mc0df0fv7-DYzp4AaABAg,26,"i feel motivated when i watch her channel.
i feel like i wanna clean the mess up on my room","当我看着她的频道时，我会感到有动力。
我觉得我想清理房间里的混乱"
52311,UgxzMNnK_Bl8Ecfhykt4AaABAg,25,"when picking up at night, korean red coating ranch gloves
i would recommend it ~^* (all weather)
ah! gangjeong has been made pretty.
make a pretty and delicious food and pack it
it's done! there is no korean subtitle, so it is inferred ~*
brushing your teeth in the video is so cute, and it's cool to wear boots when you work.
when you feel, the main winter is very beautiful to alternate several colors of long mango. ~ ^^
i have the same name in my name! ~ ♥","晚上捡起时，韩国红色涂料牧场手套
我会推荐它〜^*（所有天气）
啊！ Gangjeong变得漂亮。
做一个漂亮可口的食物并打包
完成！没有韩国字幕，因此可以推断〜*
在视频中刷牙是如此可爱，上班时戴靴子很酷。
当您感觉到时，主要的冬天非常美丽，可以交替使用多种颜色的长芒果。 〜^^
我的名字中有相同的名字！〜♥"
33007,UgyJH_c7SA5V9bq_AI94AaABAg,23,"i love this. but we can't turn this type of life back. because we came a long.
feel guilty.๐๐๐","我喜欢这个。但是我们不能转移这种生活。因为我们来了很长时间。
感到内gui"
35825,UgxA7fqSFSw88yd25Ql4AaABAg.8u_JCCrPamT8ueBNPKaGPF,23,"i feel ashamed as a human, these videos are awesome",我为人类感到羞耻，这些视频很棒
32420,UgylVgrLDVEGWq2lf7V4AaABAg,23,"so beautifull,peace & natural
your videos maka everything looks perfect& feel like in heaven","如此美丽，和平与自然
您的视频Maka一切看起来都完美，感觉在天堂"
12164,UgwyJ1IJAjBcASu44jR4AaABAg,22,"this is how chinese people lived like back in the days, its great to see people still keeping that living habit today and made these amazing videos. it gives me a feeling that brought me back to the past.",这就是中国人像回到时代一样生活的方式，很高兴看到人们今天仍然保留这种生活习惯并制作了这些惊人的视频。它给了我一种让我回到过去的感觉。
14904,UgzJgdZ2vb2VGvf1dPZ4AaABAg,21,i live in a city and feel so lucky to experience these stuff because of my village.,我住在一个城市，由于我的村庄而感到很幸运能体验这些东西。
49230,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qyatE61fC5,21,@allisgoodallisbad oh my god that's what you came back at me with? oh no some rude person on youtube made me feel bad! look you can't take it don't be rude to other maybe? your just mad you got called out for saying something rude sounding for no reason. the point stands however. the popping device is still a popping device reguardless who owns it.,@allisgoodallisbad哦，我的上帝，这就是你回到我身边吗？哦，YouTube上没有一个粗鲁的人让我感到难过！看，你不能对别人不礼貌吗？您只是疯了，您被召唤出来，因为无缘无故地说些粗鲁的声音。但是，这一点是。弹出设备仍然是拥有它的弹出设备。
31998,Ugw-v2ukGlN3XhFP2fN4AaABAg,21,this can be a perfect asmr video...am feeling sleepy,这可能是一个完美的ASMR视频...很困
38541,Ugx1P89G_Bd-0LVKkF54AaABAg,19,"when i watch your videos i feel peaceful, you are a wonderful human being and depending on what i saw, i think you are really talented and experienced in such young age .
amazing .","当我观看您的视频时，我会感到和平，您是一个很棒的人，根据我所看到的，我认为您在如此年轻的时候就非常有才华和经验丰富。
惊人的 。"
33779,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w2m0SsWpiH,19,"@kathaleenwood2426 ugliness is two drug addicts murdering a young woman, then cutting her body up and dumping it in a river. which is what happened to nichole. now ... people like you can watch this video and not understand that it is highly produced, that she is deceiving her followers. you have clearly not read through the comments on her videos where people are putting themselves down and judging themselves against this fakery. i have watched many how-to videos on yt and they don't lie to their followers. they show how long it actually takes to make things. they show how dirty you get when you do probably 75% of the things she does. idgaf, she'll eventually be exposed but people will follow her anyway because they'd rather have her fake feel-good life rather than deal with real, difficult things like nichole alloway's murder.",@kathaleenwood2426丑陋是两个吸毒者谋杀一名年轻女子，然后将她的身体倒在河里。尼科尔发生了什么事。现在...像您这样的人可以观看此视频，并且不明白它是高度生产的，她在欺骗她的追随者。显然，您没有阅读她的视频评论，人们将自己放下来并判断自己反对这个伪造的评论。我已经在YT上观看了许多操作视频，但他们不对追随者撒谎。他们表明实际需要多长时间。他们表明，当您做她所做的事情的75％时，您会感到多么肮脏。 IDGAF，她最终会暴露出来，但无论如何人们都会跟随她，因为他们宁愿拥有她的假感觉，而不是处理像Nichole Leceray的谋杀案这样的真实，困难的事情。
16933,UgzqwpL-O--alsDGEvJ4AaABAg.98Hisv6QB4z98OES-BZHaL,19,mishclauw yup... the jump she had shows a real scared feeling she was having,mishclauw yup ...她的跳跃表现出了一个真正害怕的感觉
22448,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN932RpIWBoj9,19,"to be one with nature, to take only what you need and to give back to it. i feel that no amount of wealth can bring you true joy deep in your soul and heart in life than what she portrays.",成为一个自然的人，只采取您需要的东西并回馈它。我觉得，没有比她所描绘的财富能给您的灵魂和内心深处带给您真正的快乐。
26862,UgzuKoKNpQZKGHdjNiR4AaABAg,18,dogs follows human but never seen a sheep running after or following after consistently.... you must have been feeding them well... i feel like they will be running after you saying she is my favorite human being,狗跟随人类，但从未见过一只绵羊在一贯的后期奔跑或跟随。。
39097,Ugz7DJuzNP_-Qm-B-UR4AaABAg,18,"i feel comfortable to watch
its arab follow -up from iraq, how many arabs, and it is like you like","我很舒服看
它的阿拉伯跟随 - 来自伊拉克，多少阿拉伯人，就像您喜欢"
37030,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8uYJ_PvY3O5,18,"itz m i see you everywhere lol

yeah, if i could live life like this, i would be happy to give up internet and technology. i feel like it makes us unhappy in the end","我到处都看到你大声笑

是的，如果我能像这样生活，我很乐意放弃互联网和技术。我觉得这让我们最终不开心"
40648,UgycEHKp0kQCCcp8gSN4AaABAg,18,i love her videos so much. they're so calming and she's so elegant about the way she prepares things. she looks really peaceful and satisfied and it makes me feel that way too!! i can't get enough of her.,我非常喜欢她的视频。它们是如此的平静，她的准备方式非常优雅。她看起来真的很安静和满足，这也让我感到这种感觉！我不能得到她的足够。
2626,UgwPqnH1HfJzwIQtd7t4AaABAg,17,"oh my god,how i feel so happy when liziqi has answered all my questions on how they make many food such us, peanut 's.your idea ,your perfect",哦，天哪，当liziqi回答了我如何制作这样的许多食物，花生
25598,UgyZk_iawnQJ0shLgE14AaABAg,17,felt like getting sucked into whole new world. feel nice,感觉就像被吸引到全新的世界中。感觉很好
26976,UgwVg0poytupomjwnFh4AaABAg,16,what a world feeling ... wonderful.,真是个世界的感觉...很棒。
9017,UgwbEQU4x4OA7ihDBkJ4AaABAg,15,who else is now elegantly microwaving popcorn just to feel good?,现在，还有谁是为了感觉良好而优雅的微波爆米花？
32267,UgwNKyzvJhA9VeLx53l4AaABAg,14,"these videos make me feel like i'm missing out on a lot 

i know what i'm doing with my money and time when i get to my settling down phase lol","这些视频让我觉得我错过了很多

我知道我在安顿下来的阶段大声笑时我会用我的钱和时间做什么"
4160,Ugywxwa2cd59U71Sdvd4AaABAg,14,"it's the best! i haven't seen it yet, but i feel like that.",这是最好的！我还没有看过，但是我觉得那样。
24016,UgyPax-mjj3J6oqtO5J4AaABAg,13,"i feel that it takes at least a month to sit down in such a whole set, which is too difficult",这样一整套坐下来我感觉至少要一个月，太难了
11210,UgxXk3kEczajaBN5OyJ4AaABAg,13,"every time i watched ziyi's video, i feel so moved",每次看子柒的视频 都会觉得好感动
12232,Ugxnz_IIcO_SpTdTLc14AaABAg,13,camera man is the person who captured this video in a mesmerising feel,摄影师是用令人着迷的感觉捕获此视频的人
29314,UgyNWVnxrf9tPE5i9wZ4AaABAg,13,"i feel i'm fallen in love again even i'm married. emmmm, hope my wife don't watch this ....",我觉得即使我已经结婚，我又坠入爱河。 emmmm，希望我的妻子不要看这个...。
9333,UgxpSpJcShF1C6_PSCl4AaABAg,12,it feels like she works all they to make her self full.,感觉就像她所有的事情都使自己充满自己。
32494,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18y_b39qwBk5,12,"@jewel_sapphire she said in some interviews that she used to work as a waitress and dj in the city because her family was poor. her mother passed away when she was really young so she lived with her father and her step mother. she was mistreated by her step mother so she moved to live with her grand parents when her dad passed away. yeah her grandfather was a chef and she probably learnt a lot from him but we have to agree that her cooking skills and other skills are so amazing, which she must work so hard to gain them. she's a real life princess to me because she doesn't hesitate to do anything, even the tough ones. we all know that she definitely earn a lot money from her videos but come on don't we feel relaxed and satisfied watching her videos? she's successful and she deserves it.",@jewel_sapphire她在一些采访中说，她曾经在城市里担任女服务员，因为她的家人很差。她的母亲在她真的很小的时候就去世了，所以她和父亲和继母住在一起。她的继母虐待她，所以当父亲去世时，她搬到了与祖父的父母住在一起。是的，她的祖父是一名厨师，她可能从他那里学到了很多东西，但我们必须同意她的烹饪技巧和其他技能是如此出色，她必须努力工作才能获得。她是我的现实生活公主，因为她毫不犹豫地做任何事情，甚至是艰难的人。我们都知道她肯定会从视频中赚到很多钱，但是来吧，看着她的视频，我们不感到放松和满意吗？她很成功，她应该得到。
38549,UgzkqiHWKThgCBqXNZF4AaABAg,12,i feel like i watch historical kdrama,我觉得我看着历史杂志
173,UgzyrBVy2Dxzq0njadV4AaABAg,11,when ever i feel low or depressed i came here to watch your videos...right now i have head pain...it's feel so peaceful while watching your videos....thank you so much ❤,每当我感到沮丧或沮丧时，我来这里观看您的视频...现在我感到头疼...在观看视频时感觉很宁静。...非常感谢您
26274,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9-8LFq1wn2R,11,you did well.. i know how it feels to be cooped up in your room because it is how you feel when you are down.. i am very happy to know that there is still something that inspires you to move to do something. just keep finding that.,你做得很好..我知道在您的房间里合作的感觉，因为这是您沮丧时的感受。.我很高兴知道仍然有一些灵感来激发您搬家做某事的感觉。只是继续找到。
19828,UgyTQdr4ht2C6TjRvft4AaABAg.95I2cr0D_Rv96E1ZXKbSCI,11,"@egoegoegosum https://raknife.com/li-zi-qi/ this article has all the information about her, this is not staged: she started out doing everything alone before she became more famous, earned a bit more money and could therefore hire an assistant and a cameraman. this is the life that she's been living since she was small, and many years of doing such hard labour as this on a daily basis tends to make one stronger. you get used to having to pick up a couple of kilos of fruit if you have to do it every time there's a harvest, and out in the countryside, you've got no choice but to do these kinds of things on your own. there's a ton of footage you have to take of many many different camera angles and when editing, almost half of these are discarded because you're supposed to pick the best angles to give you the feeling in the video that you want to. editing is a form of magic in its own way, just ask anyone who's working in editing",@egoegoegosum https://raknife.com/li-zi-qi/本文拥有有关她的所有信息，这不是上演的：她在她变得更加出名之前就开始独自做所有事情，赚了更多的钱，因此可以雇用助手和摄影师。这是她从小就一直过着的生活，而且每天都在做这类艰苦的工作很多年，往往会使一个人变得更强大。如果您必须每次收获时，就必须习惯于捡起几公斤水果，而在乡村，您别无选择，只能自己做这类事情。您必须了解许多许多不同的摄像头角度，并且在编辑时，几乎其中一半被丢弃，因为您应该选择最佳角度，以使您的视频中的感觉。编辑是一种魔术的形式，只需询问任何正在编辑的人
3725,UgyQz4eYXn6AB1r9Z4d4AaABAg,11,i feel peace and free when i see this video.. i love this so peacefully to my heart,当我看到这部影片时，我感到和平与自由。.我如此和平地爱上了这个视频
22086,Ugy54i6lpfFYqH64mCJ4AaABAg,11,my depression is choking me right now until i saw this.damn i 'm surprise that i smile and feels like giving me hope.such a beautiful human being.thank you for making a video thats so inspiring.,我的沮丧现在一直在窒息我，直到我看到这个。Damn我感到惊讶的是，我微笑着，感觉就像给了我希望。像一个美丽的人一样。谢谢您制作一个如此启发的视频。
12731,UgxOLeYiUJZe9pS_q654AaABAg,11,when i see her i start to feel like it is fairytale my heart aches,当我看到她时，我开始觉得这是童话
31426,UgwDx1z_No94yX2oJQ14AaABAg,11,and you just feel like you want to leave everything and live a life like that ๐’๐’๐ญ๐ญ,而且您只是觉得自己想离开一切，过着像这样的生活
5199,Ugwz102iVjD-tEx71l94AaABAg,10,"i feel like my grandmother is surrounded by leeko sen's affection, and tears overflow. the materials are gathered, one thing and space are formed, there is a gathering, surrounding it, and smiling. this grandmother is there and smiling feels dear.",我觉得我的祖母被leeko sen的感情包围着，眼泪溢出。收集材料，一件事，空间形成，周围有一个聚会，微笑着。这个祖母在那里，微笑的感觉很亲爱。
35020,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8v9rDfH2N-6,10,"i think a lot of us feel that way, even people from her country. but your comment is funny nonetheless ๐ it reminds me to reconnect with the land in my own way.",我认为我们很多人都有这种感觉，甚至来自她国家的人。但是您的评论仍然很有趣。尽管如此，它提醒我以自己的方式重新与土地重新建立联系。
43276,Ugwjp6mD_8QH3_IJ_mp4AaABAg,10,"of course, i love this creature .. i feel a creative person. kalashi knows",当然，我喜欢这个生物..我感到一个富有创造力的人。卡拉什知道
36924,UgwFYQu0ZjqOQGWD12d4AaABAg.8uLfY_QL-Tn8uVSznePMuT,10,i feel the same <3,我觉得同样<3
30527,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xHL6ykJGNM,10,"odee i feel sorry that there are uneducated people like you. may i just ask have you even been to china? it is not right to used youtube when itโ€s banned, but it just makes you yourself look stupid when you comment things like that this original comment is just showing support for liziqi. hope everyone has a nice day! maybe try to just focus on the aesthetics of the vid after all we watch youtube for entertainment right?",ODEE，我很抱歉有像您这样的未经教育的人。我可以问你甚至去过中国吗？禁止使用YouTube是不正确的，但是当您评论此类原始评论的内容只是显示对Liziqi的支持时，它只是让您自己看起来很愚蠢。希望大家过得愉快！也许在我们观看YouTube娱乐的所有内容之后，尝试只专注于视频的美学吗？
