,cid,votes,time,含life,含life中文翻译
2767,UgyjokKB5kT-vLggUk54AaABAg,427,1 year ago,i feel so attracted to this lifestyle as if it’s how humans are naturally supposed to live,我对这种生活方式感到如此吸引，好像是人类自然应该生活的方式
31115,Ugw2WElkzBoP_jXGvpJ4AaABAg,373,3 years ago,"i always love your videos! soothing to the spirit. i wish you had the recipes in english. i want to make them so bad! maybe you can create a cookbook and publish it in various languages. living near seattle, washington in the united states, i know i could find all the ingredients in our international district. thank you so much for sharing one aspect of your beautiful life with us.",我总是喜欢你的视频！抚慰圣灵。希望您有英语食谱。我想让它们如此糟糕！也许您可以创建一本食谱并以各种语言发布。居住在美国华盛顿的西雅图附近，我知道我可以在国际区找到所有成分。非常感谢您与我们分享美丽生活的一个方面。
32783,Ugzdz9B1qq9i0ys8Jb54AaABAg,367,3 years ago,"no matter how many millions of money we have in our bank accounts..if there is no peace of mind,healthy body and calm life..nothing can replace these",无论我们在银行帐户中有多少钱。如果没有安心，健康的身体和平静的生活。
11847,Ugxj-NWxRDsYzlG9c1V4AaABAg,327,3 years ago (edited),i love seeing grandma chilling out on the shaded swing. every elderly person should have that opportunity for rest after a long life. and have lovely well prepared meals for them.,我喜欢看到奶奶在阴影的秋千上放松。每个老人都应该在长寿之后有机会休息。并为他们提供可爱的餐点。
29492,Ugw7pdGvQF_fd0s96zJ4AaABAg,272,3 years ago,this is my whole childhood. i am surprised to find out that the lifestyle here in nepal and china is soo similar although i live in terrains.,这是我整个童年。我很惊讶地发现，尽管我住在地形，但尼泊尔和中国的生活方式是如此相似。
34601,Ugyt6byGBsMbKGaiKiV4AaABAg,264,3 years ago,we northeast indians can relate to your content on another level. the simple yet sustainable lifestyle is the way to go. lots of love to you.,我们东北印第安人可以在另一个层面上与您的内容联系起来。简单而可持续的生活方式是必经之路。对你有很多爱。
21681,UgwBRxLOi-ZesieYcjN4AaABAg,259,3 years ago,she gave up the city life and moved back to village to take care of her grandmother,她放弃了城市的生活，搬回村庄，照顾祖母
12355,UgyMVioOggs_pNfQW5R4AaABAg,230,3 years ago,"me: wants this kind of life

also me: lazy as hell","我：想要这种生活

也是我：懒惰"
16371,UgzwGITKQLsjqnmotyd4AaABAg,210,3 years ago,she make me recall my childhood life in southeastern china,她让我回想起我在中国东南部的童年生活
9013,UgzhzWVbJJOaHS4REKt4AaABAg,208,2 years ago,"an interesting observation: many western families grow beautiful flowers in their gardens, but in a chinese garden you are much more likely to see a great variety of vegetables such as peppers, tomatoes, eggplants, etc: just enough to supply a small family. they are as colorful and pretty. i believe such style reflects certain aspects of chinese culture and philosophy of life. grown up in china, i have always been pursuing a quiet, peaceful and self-sufficient life. and i found it in this film.",一个有趣的观察：许多西方家庭在花园里种美丽的花朵，但是在中国花园里，您更有可能看到各种各样的蔬菜，例如辣椒，西红柿，茄子等：足以提供一个小家庭。他们是丰富多彩的。我相信这种风格反映了中国文化和生活哲学的某些方面。在中国长大，我一直在追求安静，和平和自给自足的生活。我在这部电影中找到了它。
9493,Ugz3g7bqRt3Us-xx7mN4AaABAg,205,2 years ago,"@,hello! i am from indonesia (indonesia). i have lived in guangxi, china for 8 years. snailing powder is my favorite food. i can eat two or three times a week, hahaha. when i have time, i often travel, especially to see the beauty of china, as well as the life of the countryside. i have been paying attention to the works you make, and i feel that you are particularly creative. seeing your video, i feel very relaxed, safe, and can decompress. i just want to write a comment this time i just want to tell you thank you. thank you for sharing your life with us. i also want a life like you. life is for life, not for survival. i wish you a good health and happiness every day.",@，你好！我是来自印尼的（印度尼西亚）。我在中国广西生活了8年。螺蛳粉是我最爱吃的东西，我一周能吃两三次，哈哈哈。有空的时候，我经常去旅游，特别是去看中国的美景，还有乡下的生活。我一直在关注你做的作品，我感觉你特别有创意。看到你的视频，我感到很轻松，很平安，能解压。这一次给你写评论只想跟你说一声谢谢。谢谢你跟我们分享了你的生活。我也想要像你这样的生活。生活是为了生活，不是为了生存而已。祝你全家人身体健康，天天幸福。
25479,Ugxkaczi3rRY4eft6Y54AaABAg,198,3 years ago (edited),who else would like to have liziqi’s life ?,还有谁愿意拥有利兹奇的生活？
6903,UgzhLfv10DLOfN-W8Xl4AaABAg,197,2 years ago,"this is the life thanos dreamt of, after his retirement...",这是塔诺斯（Thanos）的生活，他的退休后梦dream以求...
17533,Ugz7qOySXHjdxny0QiZ4AaABAg,190,3 years ago,"i think this is what we call ""inner peace"" - all of us, literally, are desperately pursuing some kind of life like this. it is escapism but not 100 percent, as it is more positive. really really nice, heart-warming video. thank you.",我认为这就是我们所说的“内在和平” - 从字面上看，我们所有人都在拼命追求像这样的生活。它是逃避现实的，但不是100％，因为它更积极。真的很好，令人心动的视频。谢谢。
31588,UgwXcDyacnoVwyUcMid4AaABAg,189,3 years ago,"dear miss lizqi , the bamboo forest looks wonderful , there is always true beauty captured in every amazing video that you make. i wish you mighty blessing to you and your loving grandmother. please continue to share your vast wisdom with us all around the world. the videos you make are truly priceless , the love , the beauty and the healthy life style that you promote is amazing indeed. you help many people to find peace , joy and true releif from the hardships of this life. thanks miss lizqi for you are a wonderful gift to us all. may god bless your videos always. your friend from canada!!!!!!!!!!!!!!!!!!!!!!!!!",亲爱的利兹小姐，竹林看起来很棒，在您制作的每一个令人惊叹的视频中，总会捕捉到真正的美丽。我希望您对您和您充满爱心的祖母祝福。请继续与世界各地的我们分享您的巨大智慧。您制作的视频确实是无价的，您推广的爱，美丽和健康的生活方式确实令人惊讶。您可以帮助许多人从今生的艰辛中找到和平，喜悦和真实的宗教。感谢Lizqi小姐为您提供给我们所有人的美好礼物。愿上帝永远保佑您的视频。您来自加拿大的朋友!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
23472,Ugyemwddq3XxO4I_VYp4AaABAg,168,3 years ago,"hello, greetings from peru south america, i watch your videos and every time i love your lifestyle, they are so relaxing the life you lead, i wish you many successes ...",您好，来自秘鲁南美洲的问候，我看着您的视频，每次我爱您的生活方式时，他们都会如此放松您的生活，希望您能取得许多成功...
8069,UgxT4g-T_edQsH-0bJd4AaABAg,160,2 years ago,this life is way better then living in the life of cityyyy,这种生活比生活在Cityyyy的生活中要好
18895,UgxLNsP-0aqASJwOqrN4AaABAg,142,3 years ago,"seeing her video reminds me of my childhood life, it is really that. my hometown is in rural sichuan. what? because it is shooting videos, many scenes have beautified, in fact, the process will be very hard.",看到她的视频让我想起小时候的生活，真的就是这样，我的老家就在四川农村，然而我们却拼命努力去了城市，为了生活奔波，看了她的视频让我怀疑生活究竟是为了什么？因为是拍摄视频，把很多场景都美化了，其实过程会很辛苦。
15849,UgzXqMmiTZGBoG3lg7x4AaABAg,135,3 years ago,"as a european, i have never had the tangent with the specific food to the area you are from, what you cook, i call healthy food, all kinds of nutrients and vitamins etc, exactly what the body needs. i really like your lifestyle, even if you do not show it all, but seeing from the big perspective you lead a healthy life, we should take an example from you. greetings from romania :)",作为欧洲人，我从来没有与您来自该地区的特定食物，您烹饪的东西，我称之为健康食品，各种营养素和维生素等，这是身体所需的。我真的很喜欢您的生活方式，即使您不展示所有的生活方式，但是从大的角度来看，您过着健康的生活，我们应该以您的榜样为例。罗马尼亚的问候:)
25710,UgwER2qnmVJ7VmOqujl4AaABAg,131,3 years ago,man.... just take me there with her...and i’ll leave my job and shitty things in city life...it’s so peaceful and absolutely satisfying.....,伙计....只带我到那里...我会离开我的工作和卑鄙的事情……这是如此宁静，绝对令人满意.....
21324,Ugw6bGalG6GxpFvlT0B4AaABAg,122,3 years ago,"i am from rural china. many of the pictures in the video remind me of my life, but the clothes i wear when i was young were not so clean.
i am very fortunate to be born in rural china. although there are houses and cars in shenzhen now, i still like and miss the life in rural areas when i was a kid. ... especially in the summer, the air is cool, there are many wild fruits, and you can swim to catch fish in the clear river.
my wife always complains to me why i have to return to the remote countryside every long vacation. where did she understand that only when i returned to the countryside i was familiar with, i could enjoy the peaceful peace of mind.","我来自中国农村，视频里面的很多画面让我想起小时候的生活，只不过我小时候穿的衣服可没这么干净。
我很庆幸出生自中国农村，虽然现在在深圳有房有车了，但我还是喜欢也很怀念小时候在农村的生活。.....尤其是夏天的时候，空气凉爽，野果又多，还可以到清澈的河里游泳抓鱼。
老婆老是向我抱怨，为什么每次长假都要回到边远的农村。她哪里明白，只有回到我熟悉的农村，我才能享受几天心的安宁。"
10999,UgzfiTbmzA5yCUZNBEh4AaABAg,110,3 years ago,who could imagine... living a simple life could make you millions..,谁能想象...过简单的生活可以使您数百万人。
29079,Ugy_rv69BA1VHfhSQsR4AaABAg,107,3 years ago,"hello,i'm from vietnam,my grandfather often watch your videos and he very like it. he said : "" you very beautiful and you cook very well"" .he wishes he had a peaceful life like you . love you",您好，我来自越南，我的祖父经常观看您的视频，他非常喜欢。他说：“你很漂亮，你做得很好。”他希望他过着像你一样和平的生活。爱你
9101,UgwfzJm9c_AVWwZPV694AaABAg,104,2 years ago,"she is a life artist, she make picking vegetable, cooking , so graceful and peaceful. present it so well. love to watch her video.",她是一位生活艺术家，她做菜，烹饪，如此优雅而宁静。很好地呈现。喜欢看她的视频。
11914,UgxOPdfkgxROJLP3RcJ4AaABAg,103,3 years ago,"in order to write the college entrance examination composition to watch my sister's video ... i really envy my sister's life like this. after reading it, i was so moved. i was very happy to see foreign netizens' messages! intersection thank you sister for the help of spreading chinese culture, and thank you for your dreams for so many people. this may be your dream ~ i'm happy for you. thanks a lot! intersection",为了写高考作文来看姐姐的视频……真的好羡慕姐姐这样的生活啊TAT看了之后好感动，看到外国网友的留言也很开心！！谢谢姐姐为传播中国文化助力，谢谢姐姐替那么多人活出了大家梦想中的样子。这也许是你的梦想吧~为你感到高兴。辛苦你了！！
9160,Ugztg3AWD6dCH_KutUp4AaABAg,96,2 years ago,i love your lifestyle and hope to live in this village. sorry. i am an arabs of iraq. i am honored to follow your beautiful channel and hope that you are healthy.,我热爱您的生活方式，希望能住在这个村庄，对不起，我是伊拉克的阿拉伯人，很荣幸能跟随您的美丽频道，希望您身体健康。
9680,UgxeDjXMOCo9vlzxzEZ4AaABAg,92,3 years ago (edited),"i canโ€t get enough of her. she lives the most beautiful, simple, productive life. itโ€s like watching a fairytale",我不能得到她的足够。她过着最美丽，最简单，富有成效的生活。就像看童话
31539,Ugzonvb4zsPJxUzVih54AaABAg,91,3 years ago,"hello 
i am from manipur,a north eastern state of india 
i would like to say that we have similar kind of lifestyle and food habits 
we also eat this kind of food
love from manipur,india","你好
我来自印度东北部的曼尼普尔
我想说我们有类似的生活方式和饮食习惯
我们也吃这种食物
来自印度曼尼普尔的爱"
15548,UgyndjDkVe1nRUSIFul4AaABAg,87,3 years ago,it is just me or is it this beautiful chinese woman inspiring me to live a rural life?,只是我，还是这个美丽的中国女人激励我过上乡村生活？
13180,UgzyEG-x5DvGQc6TjmB4AaABAg,87,3 years ago,"the cinematography and editing has such high quality to it, if she is the one editing it as well on top of all this work and life-style that's even more amazing.",摄影和编辑具有高质量的质量，如果她是在所有这些作品和生活方式上的编辑中，那就更令人惊奇了。
19350,UgxWWLZSky29EJsezpp4AaABAg,83,3 years ago,"this is basically studio ghibli in real life... so peaceful, so beautiful, so natural and so holistic, what a life.",这基本上是现实生活中的吉卜力工作室……如此宁静，如此美丽，如此自然，如此整体，多么美好。
25602,UgxHsgRpANCCm8gOQEx4AaABAg,74,3 years ago,their life is so peaceful.....wanna be like them,他们的生活是如此宁静.....想像他们一样
13183,UgwyIZJTQfi-eoyeS354AaABAg,72,3 years ago,she has been through a lot and seeing her living the life she enjoys and makes her very happy is such a blessing,她经历了很多事情，看到自己的生活过着自己享受的生活，使她非常幸福真是一种祝福
14560,UgzGJkA1_05JZiiafKl4AaABAg,71,3 years ago,i would love to give this lifestyle a try. maybe that would help with depression.,我很想尝试这种生活方式。也许那将有助于抑郁症。
22921,UgwuIIDKTgk1TaxY4qt4AaABAg,67,3 years ago,"i envy the life you have. simple living no comlexities, just being with mother nature.
it used to be like this man was just uncontented and turned into a life full of difficulties.","我羡慕你的生活。简单的生活没有共同点，只是与大自然与大自然在一起。
曾经像这个男人一样毫无意义，变成了充满困难的生活。"
16583,UgznAfnsKzei93y2tlR4AaABAg,63,3 years ago,"every scene and every action remind me of the life of my hometown, everything is so familiar!",每个场景，每个动作，都让我想起了家乡的生活，一切都是那么熟悉！
2740,UgzEDsZzmYAPNawTzGh4AaABAg,62,1 year ago,"its so nice to watch this kind of videos, because this pandemic limits us to travel places, but because of your video i have the luxury to see your place in my own home and this makes me learn something from your beautiful culture!
and most specially thank you for inspiring me to create countryside life content, love from the philippine countryside ❤️","观看这种视频真是太好了，因为这个大流行使我们限制了旅行的地方，但是由于您的视频，我很奢侈地看到您在自己家中的位置，这使我从美丽的文化中学到了一些东西！
最特别感谢您激发我创造乡村生活内容，菲律宾乡村的爱情❤️"
2419,Ugx9V95RGuWqinusZMN4AaABAg,62,1 year ago,why do i just sob when i watch this? i want this life so bad. never thought i would be so sick of technology.,当我看这个时，为什么我只是抽泣？我希望这一生太糟糕了。从来没有想过我会对技术如此讨厌。
18377,UgwdzQh2Ul3-G5iLe_F4AaABAg,60,3 years ago,"it's really a beautiful life! not to mention foreigners, i am envious of my chinese people seeing ~ come on, zi yan",真真是意想中的美好生活!别说外国人了，我一个中国人都看的心生羡慕~ 加油，子柒
10884,Ugwuo9ZvdA39ONQ2enl4AaABAg,58,3 years ago,i love your lifestyle and hope to live in this village. sorry. i am an arabs of iraq. i am honored to follow your beautiful channel and hope that you are healthy.,我热爱您的生活方式，希望能住在这个村庄，对不起，我是伊拉克的阿拉伯人，很荣幸能跟随您的美丽频道，希望您身体健康。
22399,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-S01o6Xmhb,58,3 years ago,"@felixl1865 bruh, yeah she probably uses good cameras and computers to record things, but she does live in the country side and she is doing hard work and this is probably her lifestyle",@felixl1865 bruh，是的，她可能使用好的相机和计算机来录制事物，但她确实生活在乡下，她正在努力工作，这可能是她的生活方式
14789,UgxXgRvVv6x1uCGZ4sR4AaABAg,57,3 years ago,"""simple lifestyle"" 
less is more.","“简单的生活方式”
少即是多。"
28307,UgzP_2hph4EIUadcx8N4AaABAg,54,3 years ago (edited),"i don’t usually watch these videos to know how to cook things, i watch them because they make me wonder how living this type of lifestyle feels like. it’s just so interesting",我通常不会看这些视频知道如何做饭，我看了它们，因为它们让我想知道这种生活方式的感觉如何。太有趣了
30720,UgzErB0qJ6RgkSbR-vx4AaABAg,54,3 years ago,"when i started to watch her videos, i no longer want an extravagant life. sml ❤️",当我开始观看她的视频时，我不再想要奢侈的生活。 SML❤️
32501,Ugy7pHjjt2tGgtdwxip4AaABAg,53,3 years ago,"today i found this video of her and i can't stop watching it.i feel inspired and positive thought flowing all over me .thank u for opening my eyes.save earth

those who are reading my comment may have a great healthy long life","今天我找到了她的视频，我无法停止观看。

那些正在阅读我的评论的人可能会有很大的健康寿命"
13915,UgzgJjGL0q4IQHjGl7J4AaABAg,53,3 years ago,i want your grandmothers life: relaxing on the swing watching my food being prepared!,我想要你的祖母生活：放松秋千，看着我的食物正在准备！
6299,Ugz5wxlPDxlQinAqpsp4AaABAg,51,2 years ago,i would so love to live with that family for a year! what a learning experience of a lifetime.,我很想和那个家庭住一年！一生的学习经历。
22172,Ugzt5VGHr6znPhq6-k14AaABAg,49,3 years ago,"the first time i saw this film was moved by ""a simple life is a kind of happiness"", thank you.
whenever you watch the films you take, you have an inexplicable sense of happiness.","第1次看到这部影片很感动〝简简单单的生活就是一种幸福〞，谢谢妳。
每每看妳拍的影片就有一种莫名的幸福感。"
3886,Ugx_NcPcKBlYcyCeUtV4AaABAg,48,2 years ago,i almost came down to tears after watching this.. maybe we all are so trapped in city life that we almost forgot what staying close to nature is,观看这件事后，我几乎流泪了。也许我们所有人都被困在城市生活中
17477,UgzqAobeEs2HCLN3gQN4AaABAg,46,3 years ago,this has to be some of the most wholesome content i have seen in my life.,这必须是我一生中看到的一些最有益健康的内容。
22765,UgwQ5lNKcDl95hRm-ax4AaABAg,46,3 years ago,here i am watching this while eating a microwaved meat pie! starting to question where my life is heading ha!,在这里，我在吃微波肉派的同时看着这个！开始质疑我的生活在哪里哈！
14790,UgyX2fojD4McHy5R2l94AaABAg,46,3 years ago,"i miss this kind of life in our province.those kind of foods, the way she cooked thats how we cook our food before its a healthy living. this shows simple life in a province. peaceful and contented with what you have.",我想念我们各省的这种生活。这些食物，她烹饪的方式就是我们在健康生活之前烹饪的方式。这显示了一个省的简单生活。和平，满足于您所拥有的。
4114,Ugye0kSYeLdQW_-j1_54AaABAg,45,2 years ago,"i love your videos! they are so peaceful and the epitome of what i want someday for my life. i always come back to this one and the year of the pig chinese new year! they are two of my favorites (though the newest new years video was amazing!). much love from florida, usa",我爱你的视频！他们是如此的和平，是我一生中想要的东西的缩影。我总是回到这个新年猪新年的那一年！它们是我的两个最爱（尽管最新的新年视频很棒！）。来自美国佛罗里达州的很多爱
3038,UgxKtHuOHYK2IvYq_Pd4AaABAg,45,1 year ago,liziqi and dianxi are seriously living my true life dream of living off the land in the countryside making food for the family everyday with wild natural ingredients or plants/livestock i planted and raised from the start. i wish there were areas that are as abundant with farm land and wild edibles as their countryside but i live southern california where the only thing in the wilderness is dead grass and mountain lions lol there are a lot of squirrels rabbits and skunks for a source of meat but i wouldn’t be able to grow or pick any of the amazing types of fruits and vegetables they have in their videos,Liziqi和Dianxi认真地实现了我的真实生活梦想，即生活在乡村的土地上，每天用野生天然成分或植物/牲畜从一开始就植入并养育了植物/牲畜。我希望有些地区与农村一样丰富，但我住在南加利福尼亚州，那里的荒野中唯一的东西是死草和山狮，大声笑有很多松鼠兔子和臭鼬，以提供一种来源肉，但我将无法在视频中种植或选择任何令人惊叹的水果和蔬菜
34415,UgwptJI-ghDrSyrpmMN4AaABAg,45,3 years ago,this is not only hai youtube vedio this is a imagination of beauty and hardwork and i also want to live her life any one else,这不仅是Hai YouTube Vedio，这是对美丽和努力的想象，我也想过她的生活
33416,Ugy03CkKsPIFS7k_9nV4AaABAg,44,3 years ago,"i bet her life is so peaceful...and yet again she is a huge role model for all of us in this materialistic world
...
proud of her... i thank youtube for recommending this channel to me.......
its really great....","我敢打赌，她的生活是如此和平……而且她又是这个唯物主义世界中所有人的巨大榜样
...
为她感到骄傲...我感谢YouTube向我推荐此频道。
它真的很棒。"
24900,UgxnmzxyolLKwv4xRT14AaABAg,41,3 years ago,"this beautiful girl lives my dream everyday of her life , what a peace providing video ! i felt like i was on a journey of my dreamland. thanks",这个美丽的女孩过着我一生中每天梦想的梦想，这是一个提供视频的和平！我觉得自己正在梦境。谢谢
32757,UgyYDVEOAlXNCukIO0R4AaABAg,40,3 years ago,"she is the real princess she lives in beautiful paradise she love her grandma &people around her,she loves working,harvesting,cooking and everything there and one they she will find the future prince they will life happy in peace forevr",她是她生活在美丽的天堂中的真正公主
17923,UgxVd4SOGXAYOUDQbkJ4AaABAg,39,3 years ago,"admire. i need to change the water to the food snail powder once and the people who feel troublesome to add a bag of condiments to see it. seeing that the production process of this snail powder is actually comfortable. sometimes the fast -paced life of the city really makes people upside down, but despise the most basic clothing, food, housing and transportation in life",佩服。我连买速食螺蛳粉需要换一次水和把一袋袋佐料往里加都觉得麻烦的人，看这个螺蛳粉制作过程居然产生舒适。有时候都市快节奏生活确实让人本末倒置，反而轻视生活中最基本的衣食住行
11906,UgyRwbdW02RV45T3Pft4AaABAg,35,3 years ago,whomever is spending his life with this lady should be grateful for her parents and grandparents,谁在与这位女士一起度过一生的人应该感谢她的父母和祖父母
27583,UgynqNWO7BojQw7rABZ4AaABAg,34,3 years ago,just a minute into the video and i already envy her lifestyle. i wish i have a garden like that!,在视频中只有一分钟的时间，我已经羡慕她的生活方式。我希望我有这样的花园！
16778,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI92w1ZbbFbCE,31,3 years ago,"her life is boring, she should eat more gmo vegetables that's contaminated by pesticides, work harder 12hours daily in small office, and not forget she not eat any junk food at all so they decided to dislike it.",她的生活很无聊，她应该吃更多被农药污染的转基因蔬菜，每天在小型办公室里努力工作12小时，并且不要忘记她根本不吃任何垃圾食​​品，所以他们决定不喜欢它。
12703,UgzQgS0dIddq6nW3-R14AaABAg,29,3 years ago,"i wish we could get a backstory of her actual life, her village etc",我希望我们能得到她的实际生活，她的村庄等的背景故事
12015,UgwDZ1mRHX4myouBujF4AaABAg.9744unMbb-s986q6hjVcZ9,29,3 years ago,"@mahie56 i don't think she is an actress, these scenes, is her real life and also the real life of most chinese people who live at rural area.",@mahie56我不认为她是女演员，这些场景是她的现实生活，也是大多数居住在农村地区的中国人的现实生活。
13989,UgxQ0ijZvbspl30fZHd4AaABAg,28,3 years ago (edited),she is living my dreams!!! their way of life is beautiful and perfect!!! the way god meant it to be for us all !!!,她正在实现我的梦想！！！他们的生活方式是美丽而完美的！！！上帝意味着对我们所有人的意义！！！
27399,Ugxi6VIBRmb1l77dQRF4AaABAg,27,3 years ago,"i want to live a life like this
this is the life that i want.. 
im enjoyin watchin this channel","我想过这样的生活
这是我想要的生活。
我喜欢看这个频道"
14327,UgweI4lENirYu5USYYJ4AaABAg,26,3 years ago,"she makes it look so simple, but this lifestyle is a gran skill. gardening itself is a skill that takes time to understand, she knows exactly what she’s doing and in awe. not to mention her filming skills are amazing too!",她使它看起来如此简单，但是这种生活方式是一项格兰技能。园艺本身是一种需要时间来理解的技能，她确切地知道自己在做什么和敬畏。更不用说她的拍摄技巧也很棒！
17481,UgzYg9lV4WPYoS1mPOd4AaABAg,26,3 years ago,wow. what a pure beautiful life. this is how humans are supposed to live.,哇。多么纯洁的美丽生活。这就是人类应该生活的方式。
