,cid,votes,含life,含life中文翻译
16456,UgzO7Q9LG_oAD2wUg3p4AaABAg,1300,if only people would realize that this kind of life is better than living in luxury,如果只有人们意识到这种生活比生活在奢侈品中更好
37494,UgygxPB5Nnh5LDT2LDx4AaABAg,1300,"this is the kind of life that i want, thumbs up if want too ๐",这是我想要的生活，如果也想要的话，请大拇指
16668,UgwL7olMGPJTHMAkYId4AaABAg,1000,this is like the life i want to live but then i remember i don’t know shit and i’m probably gonna die of starvation,这就像我想过的生活，但后来我记得我不知道狗屎，我可能会死于饥饿
19805,UgyTQdr4ht2C6TjRvft4AaABAg,831,"when everything is so perfect it almost feels unreal and like a fantasy. those people who think her labour is fake, i guess they're so used to getting dissapointment from life, that its unreal to them that one girl can be so amazing and live in a life that looks like a fantasy.",当一切都如此完美时，它几乎感觉不真实，就像幻想一样。那些认为她的劳动是假的人，我想他们是如此习惯于从生活中丧生，以至于对他们来说是不真实的，以至于一个女孩可以如此神奇，生活在看起来像幻想的生活中。
15197,UgyHTBxfbnOo063npyt4AaABAg,752,i feel like i'm watching a real life ghibli studio anime.. damn,我觉得我正在看现实生活中的吉卜力工作室动漫。
36994,UgxYTMrxOTvWAg4hDth4AaABAg,743,seems like she has a more fulfilling life that most of working to pay bills,似乎她的生活更充实，大多数人都在努力支付账单
2615,UgyZ3q6ap-2iPQZR5dV4AaABAg,711,"anyone else got the feeling of a magical story come to life straight out of a book or a movie or something? some people want money, riches and stuff.... others want what this beautiful girl has: family, love and appreciation of everything that surrounds her. not to mention the gorgeous way the 2 little dogs and the sheep that are following her everywhere ❤️. i love everything about what i just saw: the love they have in this family, where they live, how organized they are... everything! god bless you all ❤️",还有其他人感觉到一个神奇的故事的感觉直接从书籍，电影之类的东西中栩栩如生？有些人想要钱，有钱和东西。...其他人想要这个美丽的女孩拥有的东西：家庭，爱与欣赏周围的一切。更不用说两只小狗和跟随她到处的绵羊的华丽方式。我喜欢我刚刚看到的一切：他们在这个家庭中拥有的爱，他们居住的地方，他们的组织方式……一切！上帝保佑你们所有❤️
11044,UgzdqJXifDp179lYdYp4AaABAg,693,"wow, canโ€t believe what i am watching. itโ€s like watching a fairytale in real life!",哇，不敢相信我在看什么。就像在现实生活中观看童话！
14206,Ugy3jpKvVKCyGBN4k5V4AaABAg,681,this is life should be. no war no drama no unnecessary pressure,这应该是生活。没有战争没有戏剧没有不必要的压力
9707,UgyocxsR202i9r_0kvJ4AaABAg,636,why does life seem more enjoyable that way?,为什么生活看起来更愉快？
14470,UgzsabbtfW3TuqWsXKF4AaABAg,634,"instead of meeting a hollywood movie star, i'd rather meet you. bravo for finding the purer essence of life.",我宁愿认识你，而不是遇到好莱坞电影明星。勇敢地找到生命的纯洁本质。
24262,UgyLtDwzmglu7qjt6tl4AaABAg,574,the life of her pets are better than the human.,她的宠物的生活比人类更好。
36716,UgwlBcbmXfA4FTQmFKR4AaABAg,573,"i just found your channel today and absolutely love it!! i love the editing, music, quiet/gentleness to your videos. your environment is amazing! you live a very blessed life. i wish i could live with you, be your sister and learn everything i could from you!",我今天刚刚找到了您的频道，绝对喜欢它！我喜欢您的视频的编辑，音乐，安静/温柔。您的环境很棒！你过着非常幸福的生活。我希望我能和你一起生活，成为你的妹妹，并从你那里学习一切！
34352,UgzxESlYraLU_em4Oo54AaABAg,561,"wow, talk about living a life with purpose. this is beautiful. the satisfaction you get from making with your own hands.",哇，谈论有目的的生活。这很漂亮。用自己的手做出的满足感。
23519,UgwrTvJI7cj9ru8jEZ14AaABAg,540,this is the life that thanos expect๐,这就是塔诺斯期望的生活
16164,Ugz2Gjpul13TiuoJj9F4AaABAg,483,the fact that she makes so much money off of these videos but still decides to live this life style. respect.,她从这些视频中赚了很多钱，但仍然决定过这种生活方式。尊重。
21352,UgyMT0oRUzt1BcRJ06t4AaABAg,435,this kind of life is the one thanos dreamed of right after snapped his finger.,这种生活是thanos抓住手指后梦dream以求的人。
43639,UgwTc_fI7gQHGRqoV-F4AaABAg,429,is this heaven ?? wanna go there. what a wonderful life.,这是天堂吗？想去那里。多么美好的生活。
6526,Ugysep0UAKCEBkEPxNh4AaABAg,428,"i feel like if i’m watching a studio ghibli real life movie.

your camera skills are so good and music choice is flawless.","我觉得如果我正在看吉卜力现实生活中的工作室电影。

您的相机技能非常好，音乐选择是完美无瑕的。"
36216,Ugw3qr-9--BZV3PyiBJ4AaABAg,426,even a millionier will feel jealousy with your lifestyle dear...very hard-working girl.!! โฎ๏ธ,即使是百万富翁也会对您的生活方式感到嫉妒...非常勤奋的女孩。 ☮️
26232,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8znk8cbTKoX,395,good going...watch marie kondo videos and learn about the konmari method. it will further change your life and clear your mind of debris. โจ,好吧...观看Marie Kondo视频并了解Konmari方法。它将进一步改变您的生活并清除碎片的思想。 ✨
777,UgyRITwQZG9tKfNwfy94AaABAg,361,i come back to all your videos again and again until you come back with new videos. hope you're okay. i really miss you. you've been a big part of my life. take care,我一次又一次地回到您的所有视频，直到您回来新视频。希望你还好。我真的好想你。你是我一生的重要组成部分。照顾好
6778,Ugxcg1YecqZ1udNnT4V4AaABAg,360,the best life a human can possibly live in harmony with nature....,人类可能与自然和谐相处的最好的生活。
35007,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8uz1hMMzRmI,338,brandon shorkey exactly.... i mean look at her beautiful life. and look at mine... i just eat junk food n surf the net. what shit,布兰登·肖尔基（Brandon Shorkey）正好....我的意思是看她的美丽生活。看看我的...我只是吃垃圾食品，n浪费了网。什么屎
4108,UgyUrXRsMA8pgAIACYd4AaABAg,327,this video is pure love harmony and the perfect definition of a healthy life,该视频是纯粹的爱情和谐，是健康生活的完美定义
43836,Ugzvt3VyGfyew7mfnxN4AaABAg,310,"that physical type of life full of colours, fresh air, products straight from the nature, organisation to every preparation creates calmness in my soul! your videos are an oasis in my difficult, anxious city life. i love watching you! you make my day! god bless you! keep it that way!",从大自然，组织到每种准备工作的那种充满颜色，新鲜空气，产品的物理类型，都会在我的灵魂中镇定！您的视频是我艰难而焦虑的城市生活中的绿洲。我喜欢看你！你让我开心！上帝祝福你！保持这种方式！
22422,UgyqKauAAZRkyW6NhbJ4AaABAg,305,"i see how feminine and strong she is, living with the harmony. it's life that i want it, damnnnn love it so much",我看到她与和谐相处，她是多么的女性化和坚强。我想要的是生活，该死的人非常喜欢它
6265,Ugx8nG2qhN8UfEgsh5R4AaABAg,301,"imagine how beautiful is to have a life like this. living in harmony witg nature,no social media,so there is no insecurities or body shaming,just care about you and the biotic organisms around you,life will be at its best.",想象一下，拥有这样的生活有多美好。生活在和谐的维格大自然中，没有社交媒体，因此没有不安全感或身体羞辱，只是关心您和周围的生物生物，生活将处于最佳状态。
9040,UgwZtzaVjEXFjunv2ht4AaABAg,293,this is what life without having to worry about money would look like.,这就是生活不必担心金钱的样子。
26996,UgyUuyuyl9JkP3v5kA54AaABAg,286,is this the real life version of studio ghibli's ? a life so simple and beautiful nature it brought tears to my eyes t_t,这是吉卜力工作室的现实生活版吗？生活如此简单和美丽的自然，使我眼中的眼泪T_T
43012,Ugw9GZs9TOFagMN7TCV4AaABAg,265,after watching this ! i hate my life and i feel like i'm not healthy at all,看完这个！我讨厌自己的生活，我觉得我一点都不健康
17563,UgzNv4azBWM4KY1hR414AaABAg,250,i feel like her entire life was drawn by miyazaki,我觉得她的一生是宫崎骏绘制的
29964,UgwQP_4zpUALo_ikOQV4AaABAg,241,she is the real life disney princess...her life so full of life ...i love the part where she ran towards her grandma to close her ears,她是现实生活中的迪士尼公主...她的生活如此充满生活...我爱她朝奶奶闭上耳朵的那部分
23825,Ugx0c1L9CyDS9_gJJYl4AaABAg,230,"the desirable rural life can't help but think of childhood 30 years ago, although it is far from being so rich. the bird loves the old forest, the pond fish thinks about the old forest, the wasteland will open up the south, and it will return to the countryside. this is the joy of life!",令人向往的田园生活，不禁想起了30年前童年的日子，虽然远没有这么丰富。羁鸟恋旧林，池鱼思故渊，开荒南野际，守拙归田园。这才是人生的乐趣！
38611,UgzLsfWhfAh-os8v8Jt4AaABAg,227,"now...that's a productive busy lifestyle. very nice and nostalgic, makes you forget of the urban unhealthy hysteria.
by the way, those people who put thumbs downs are very ungratefull ignorants.","现在...这是一种繁荣的生活方式。非常友善和怀旧，让您忘记了城市不健康的歇斯底里。
顺便说一句，那些放下大拇指的人是非常不知所措的人。"
46847,Ugzy9Ytt29Kbh9V16id4AaABAg,222,"i come from the same place with you, li ziqi. everytime i watch your videos, it reminds me of my childhood and my grandmother. we also lived in the small and beautiful village in sichuan province. my grandmother even has the same skills as you, she knows how to planting, cooking and making some useful tools. i'm so glad that you introduce our traditional rural lifestyle to the people all over the world. and let them know there are not only beijing, shanghai and shenzhen in china, but also a land of abundance which last a unique lifestyle for more than thousand years, and named sichuan, also the land of heaven in chinese. but i can't back to sichuan because of exams this year, and your video will accompany with me in the chinese new year. support from a chinese and szechuanese in italy. happy chinese new year!!!!",我和你一起来自同一个地方，李齐。每当我观看您的视频时，它都会让我想起我的童年和祖母。我们还住在四川省美丽而美丽的村庄。我的祖母甚至具有与您相同的技能，她知道如何种植，烹饪和制造一些有用的工具。我很高兴您将我们传统的乡村生活方式介绍给世界各地的人们。让他们知道，中国不仅有北京，上海和深圳，而且还有一片丰富的土地，持续了一千年的独特生活方式，并命名为Sichuan，也是中国人的天堂之地。但是由于今年的考试，我无法回到四川，您的视频将在农历新年陪伴我。意大利的中国和锡古扬人的支持。农历新年快乐!!!!
11895,UgzYUoySdWelX9IcFW54AaABAg,205,"i understand that country life is not easy at all.
it is impossible to me. so i go to buy chestnut today, and make chestnut rice for my mom.","我知道乡村生活并不容易。
对我来说是不可能的。所以我今天去买栗子，为妈妈做栗子米饭。"
15610,UgxTaUm27lABHJq4Pul4AaABAg,204,"this is the life that everyone wants to live, but they can't.......",这是每个人都想过的生活，但他们不能.............
37303,Ugz6mbRxUYbd8kXFoBN4AaABAg,204,this like melted my heart. this is so beautiful. she's like a real life heroine of a drama. her life is so romantic.,这就像融化了我的心。这真是太美了。她就像一部现实生活中的女主角。她的生活是如此浪漫。
17462,UgwjwUJ64AMEJt0Mruh4AaABAg,203,"see how they treat their parents ,grand parents...they respect them most.....what a beautiful country.....what a beautiful life........i love china 
i wish i would be a chinese guy .....love you guys ,.love your country, truly from the bottom of my heart....thank you","看看他们如何对待父母，祖父母...他们最尊重他们.....多么美丽的国家.....多么美好的生活........我爱中国
我希望我会成为一个中国人.....爱你们，爱你的国家，真的是我心底的。"
24882,UgykCd6Iis9HNK6PQKt4AaABAg,200,"this woman is very tough, i've seen her injured several times to create the world's best content.
keep up the spirit, sister and hopefully have a long healthy life.
warm greetings to grandma ๐","这个女人非常艰难，我见过她几次受伤，创造了世界上最好的内容。
保持精神，姐姐，并希望能长寿。
向奶奶的热情问候"
9337,Ugw8QmeHtK9J29UimxB4AaABAg,196,"dear liziqi, everything you do is done with beauty, with grace ,with compassion , humility and love. i am grateful that you share your life for all to see.",亲爱的liziqi，您所做的一切都是用美丽，恩典，同情，谦卑和爱来完成的。我很高兴您分享您的生活，让所有人看到。
35006,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8uxBu33JOcY,190,i think the same thing my life is boring comparing her.,我认为我的生活也很无聊地比较她。
10680,UgzggH3LcmPPa1jXggR4AaABAg,184,"it's all very cool, but these people have some lands!! there's so much abundance of everything. they are rural rich. it's not easy to have that lifestyle.",一切都很酷，但是这些人有一些土地！一切都有很多。他们是农村富人。拥有这种生活方式并不容易。
44595,UgwrDbC6fT5Dglnm0eF4AaABAg,178,"i’m amazed every time by her. she is the hardest working girl i’ve ever seen (sure there are many others but speaking for myself). beautiful life, beautiful being, and beautiful work. ❤️",每次她都会惊讶。她是我见过的最努力的女孩（确定还有很多其他人，但为我自己说话）。美丽的生活，美丽的存在和美丽的工作。 ❤️
16986,Ugz0Hf6YveLEIXEIP7R4AaABAg,175,"i just notice what this peaceful life to animals, even the dogs are so gentle and peaceful.",我只是注意到动物的这种和平生活，即使狗也是如此温柔和宁静。
44690,UgxwXl_kXZZYcEnLF694AaABAg,172,"i am confused and mesmerized at the same time. i appreciate the simpler life. 

side note: the puppies are so cute!!!","我同时感到困惑和着迷。我感谢更简单的生活。

旁注：小狗真可爱！！！"
16508,UgwndTs4wucNgNjt5x94AaABAg,171,this girl is a perfect miracle... a hard past and now look at her... she’s living a happier life... she is my idol!,这个女孩是一个完美的奇迹...一个艰难的过去，现在看着她……她过​​着更快乐的生活……她是我的偶像！
5993,UgzEqCYo4MWItFFqut54AaABAg,143,"every time when i feel overwhelmed by all the annoying things in life, i'd come back to her videos. her videos really sooth me and help me find peace.",每当我对生活中所有烦人的事情感到不知所措时，我都会回到她的视频上。她的视频确实舒缓了我，并帮助我找到和平。
21649,Ugz8JcIkTaDadZUfaAt4AaABAg,133,"the rural girls in a mountain in mianyang, sichuan, my hometown, lost their parents in a few years, and brought them by grandparents. life was bumpy, but through hard work, she succeeded, and a great child.",我家乡四川绵阳一大山里的农村女孩，几岁就失去父母，由爷爷奶奶带大。一生坎坷，但她通过努力，成功了，很了不起的孩子。
46446,Ugx3xkI2JGadhTYqM0Z4AaABAg,133,when i was a lil girl i had a book of chinese folk tale (written in bengali) which was very close to my heart.there was a girl in that story who used to stay with her granny in a beautiful villlage of china .she too used have a gang of pet...she would also do many household chores just like this girl and her lifestyle was my childhood fantasy..i used have a pretend play just like the lifestyle of that girl mentioned in the story....when i watch this channel i feel very much nostalgic to see this pretty girl and her life....she is an amazing girl...god bless her and her granny..,当我还是个小女孩的时候，我有一本中国民间故事（用孟加拉语写的），它非常接近我的心。这个故事中有一个女孩曾经和她的奶奶一起住在一个美丽的中国村庄里。曾经有一群宠物...她也会像这个女孩一样做很多家务，而她的生活方式是我的童年幻想。我二手的假装就像故事中提到的那个女孩的生活方式一样。当我观看这个频道时，我很怀旧地看到这个漂亮的女孩和她的生活。...她是一个了不起的女孩...上帝保佑她和她的奶奶..
1653,UgxpCNf78P4NrPxdAlF4AaABAg,129,wonderful woman. imagine a job so happy living your normal life and get paid so well,了不起的女人。想象一份工作如此快乐，过着自己的正常生活，并获得良好的薪水
35010,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8v0Uis9_0dM,128,right we are just so simple and we make life so stressful when it can be more beautiful and peaceful...,是的，我们是如此简单，当生活变得更加美丽和和平时，我们会让生活如此压力。
35014,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8v5NldAD9mJ,127,โ€ @therewasnochill8997 i l just want taugh at your stupidity. it can be said that your education is not necessarily as high as her. she just chose to escape the big city after experiencing all kinds of life.chinese women usually have no access to higher education๏ผhahahaha this is the biggest joke i have heard this year.,@thenwasnochill8997我我只想taugh以你的愚蠢。可以说，您的教育不一定像她那样高。她只是在体验各种生活后选择逃避这座大城市。中国妇女通常无法接受高等教育。
37029,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8uXq7_IZRCA,100,"@breathecenteraccept120 it might be a hard concept to grasp since we're so involved in technology these days but this is how people used to live in china. it wouldn't be surprising if this is her normal life, the tradition passed down from her grandparents.",@HeartheCenteraccept120这可能是一个很难掌握的概念，因为这些天我们参与了技术，但这就是人们过去在中国生活的方式。如果这是她的正常生活，那是从她的祖父母传来的传统就不足为奇了。
51691,UgzJF68EYULJZmn7f5l4AaABAg,97,happy chinese new year my motivated girl ❤❤❤ wish you luck in your life.,春节快乐，我的积极进取的女孩❤❤❤祝你一生好运。
50817,UgwdLVx_bOeWhbHnmYR4AaABAg,90,fantastic fantastic fantastic really i liked this video and your cook all your cook in fact this life so amazing and wonderful life too thanks my dear for sharing and happy chinese new year-- greetings,神奇太棒了，真是我真的很喜欢这个视频，而且您的厨师实际上是如此，这是如此美好而美好的生活，感谢我的亲爱的分享和春节快乐 - 问候
4950,UgzC97-HLWTIURvWxc94AaABAg,86,"thank you for giving up for your hard work and insisting on being harmed by gossip
dig in the ordinary life and the beauty of life and nature
i also look forward to this video exceeded 1 billion","感谢你一直努力 坚持 没有被流言蜚语伤害而放弃
在平凡的生活中 挖掘着生活和自然的美好
也期待这个视频突破一个亿"
9206,Ugw_Sq-asajwM0tM-JV4AaABAg,81,"she's like a real life anime character.
very wholesome video!","她就像现实生活中的动漫角色。
非常有益健康的视频！"
34141,UgwwsJPvwbrWOMAkqUF4AaABAg,77,"it was all the traditional memories and things that i could not see in today's impetuous society. it was shocked that so many foreigners liked and commented. seeing li zizhen's announcement video learned that many foreigners did not know that this was china. i do nโ€t know that li ziyi is the chinese. let them also see that china is not just a world factory, not only haze and industry ... we also have inheritance and good life. let them see chinese characters comment! welcomed to china",全是传统的小时候的回忆和当今浮躁的社会看不到的东西，很震惊有这么多外国人点赞和评论，看到李子柒的申明视频得知，老外有很多并不知道这是中国，不知道李子柒是中国人
52114,Ugzs5gxT0CEiwFvlQ8t4AaABAg,76,"these videos are little gems. i treasure each one and marvel at your life. you bring such joy to the tasks of your days, joy to your grandma and i hope and believe to the people around you. i have gained a whole different perspective of china from watching these glimpses into a way of being i had no concept of before. today i saw some humour in you, the little kick and jump from the loud bang, so cute. you are a blessing to this world.",这些视频是小宝石。我珍惜每个人，并惊叹于你的生活。您为自己的日子的任务带来了如此快乐，对奶奶感到高兴，我希望并相信周围的人们。我从看着这些瞥见的一种方式中获得了一种完全不同的中国观点。今天，我看到了你的幽默，小踢从大声的爆炸中跳了起来，真可爱。你是这个世界的祝福。
12982,UgzkSMBnaPYBcYc26id4AaABAg,75,"sixty years i have lived on this earth, and this beautiful human being has accumulated & demonstrated more wisdom and knowledge in her young years than i have in my entire lifetime.
i kneel before you humbled, li ziqi. you are amazing.

you are exactly what we should all aspire to be like. i wish you a long and wonderful life, and may the gods reward you and your generations to come.","我已经生活在地球上了六十年，这个美丽的人在她的年轻时代积累并展现了比我一生中更多的智慧和知识。
李齐（Li Ziqi），我跪下来。你很棒。

你们正是我们都应该渴望的。祝您悠久而美好的生活，并愿众神奖励您和您的几代人。"
37025,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8uX2M8LDrvr,74,"it is like a tv show. 
this is not her real life. she is doing all those things for the camera and her subscribers.","就像电视节目。
这不是她的现实生活。她正在为相机和她的订户做所有这些事情。"
36593,UgzQNc8ceqoOm2ZnvXl4AaABAg,74,"beautiful to watch the process, and encouraging. life is harder but more valuable when we work with nature (earth's bounty) instead of against it.",美丽地观看过程和鼓励。当我们与自然合作（地球的赏金）而不是反对时，生活更加艰难，但更有价值。
42269,UgyQoT4InHc0Z8rWo7J4AaABAg,72,this is life..what i am doing in front of computer,这是生活..我在电脑前做什么
17667,UgzowBGsC_vObZxvw3l4AaABAg,72,"everything she does is perfect. i mean, i'm in the city right now and she makes the country life like cool. when i went to china to visit my releatvies in the country side, i did not like it. but looking at her just makes me feel like i should go back. but coronavirus yall.",她所做的一切都是完美的。我的意思是，我现在在这座城市，她使乡村生活像酷。当我去中国参观我在乡村方面的依据时，我不喜欢它。但是看着她只是让我觉得我应该回去。但是冠状病毒yall。
32600,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8vt7B78NnH8,72,"the video reminds me of my childhood, many chinese people used to live a life like that!",该视频使我想起了我的童年，许多中国人曾经过上这样的生活！
6328,UgyPM-2Yk_fhUweauTB4AaABAg,71,"i also grew up in rural china, and although the content of the video is very different from the real-life of most of us rural people, i have to admit that her videos are exceptionally well done, and i really like her videos",我也在中国农村长大，尽管视频的内容与我们大多数农村人的现实生活截然不同，但我必须承认她的视频做得非常好，我真的很喜欢她的视频
35824,UgxA7fqSFSw88yd25Ql4AaABAg.8u_JCCrPamT8ucEOvYy2p5,70,@miranti dwi donโ€t feel ashamed! find inspiration in others and aim to live a life you dream of living!,@miranti DWI不会感到羞耻！在他人中找到灵感，并旨在过着梦dream以求的生活！
16564,Ugy8NX153xGIGHcd5PF4AaABAg,69,"when i retire, i want to have a peaceful life like hers.",当我退休时，我想拥有像她一样和平的生活。
10006,Ugzv1BoF0naJsVmCujl4AaABAg,69,watching hardworking people achieving their goals... suddenly me and my lazy ass thinking i want that life...,看着勤奋的人实现自己的目标...突然我和我懒惰的屁股以为我想要那个生活...
33762,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vdso7ou4My,68,"i really wish to experience lifestyle like this someday. if not now, then when i retire.",我真的很想有一天能体验到这样的生活方式。如果不是现在，那我退休。
37027,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8uXRd6nwocm,68,@breathecenteraccept120 bruh u dont know shit abt her this is her life follow her in weibo and ull see evrything stop assuming shit,@heartherecenteraccept120 bruh你不知道这是她的生活
33758,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48v_8jntxhnu,67,"interesting how wrong one can be, right? 
jokes aside, there is no specific ideal way of living. our lifes are just as normal.","有趣的是，有多错吗？
除了开玩笑，没有具体的理想生活方式。我们的生活一样正常。"
33258,UgzgvjcyULy8bSkeDK94AaABAg,66,"you remind me of my childhood, growing up in a farm with my entire family....we worked the land and ate from it....it was the simplest period of my life....",您让我想起了我的童年，与整个家庭一起在一个农场中长大。...我们从事土地并从中吃掉了。。。这是我一生中最简单的时期。
12707,UgwWCHWN-u-UvxCoPPZ4AaABAg,65,"i wish i had her life.. i'd be happy to do the hardworks than watching netflix and playing mobile legends,",我希望我有她的生活。
27811,Ugw9caR8LBdIHDxANAJ4AaABAg,64,"i have insurmountable respect and admiration for this woman. not just from what i see in the videos, but the fact she's bringing back to new life an archaic way of doing things. because of her i've learned a lot about culture, process and reaction. also because of her, i've gained several new skills.",我对这个女人有无法克服的尊重和钦佩。不仅是从我在视频中看到的内容，而且她将新生活带回了新生活，这是一种古老的做事方式。由于她，我学到了很多关于文化，过程和反应的知识。另外，由于她，我获得了几种新技能。
4231,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9SJwqBQjELa,62,"@quito787 staged in what way? well, of course she has to prepare certain camera angles before she records her actions... but are you implying that her ""real"" lifestyle is not according to the way that she shows in her videos?",@quito787以什么方式上演？好吧，当然，她必须在记录自己的动作之前准备某些相机角度……但是您是否暗示她的“真正”生活方式并不符合她在视频中显示的方式？
24971,Ugw04Uimwmp5r-6XhsZ4AaABAg,61,my greatest wish for china is that everyone could afford such a lovely life.,我对中国最大的愿望是，每个人都可以负担得起如此美好的生活。
24297,UgxX3-kNRDI1OS4QRcJ4AaABAg,61,she just inspire everyone to live a simple but a meaningful happy life ..,她只是激励每个人过上一个简单但有意义的幸福生活。
33767,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vta--Zuy5Q,60,i wish my life was like this. i don't know how the hell life became this way with the 8-5 job and commuting and just constant go go go (in the us at least not sure how it is other places). i found this channel by accident and it is so relaxing and just wish i could live like this.,我希望我的生活就是这样。我不知道通过8-5的工作和通勤，而不断去继续前进（在美国，至少不确定它是其他地方）。我偶然发现了这个频道，它是如此放松，只是希望我能这样生活。
33774,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w0tzQivjZv,59,"maria moonsoon thank you! edit: people need to start differentiating stuff seen on screen and stuff seen in real life. yes, it looks beautiful on screen, but i doubt many people would truly enjoy this life style in real life. the stuff on screen only seems beautiful because it has scenes cherrypicked from reality.",玛丽亚·穆恩（Maria Moonsoon）谢谢！编辑：人们需要开始区分屏幕上看到的东西和现实生活中看到的东西。是的，它在屏幕上看起来很漂亮，但我怀疑许多人会真正享受现实生活中这种生活方式。屏幕上的东西似乎很漂亮，因为它的场景是从现实中挑选出来的。
15936,Ugy8Uw6Od4_Wr7nvFkR4AaABAg,58,"i don't understand why there are 25,000 people who don't like this video. such an excellent work is really beautiful. i hope li ziyi's life will continue to be so beautiful.",我不懂为什么会有2万5千人不喜欢这个视频。这么优秀的作品真是太美了，希望李子柒的生活继续这么美好。
32487,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18wBclm413Dd,56,"@ultramaryna00 so you're saying this entire channel is just an actress and instead of living a ""normal"" life she proceeds to act every single day and produces all this just for the sake of clout? right, because having a different lifestyle, upbringing, and culture is just so unheard of",@ultramaryna00，所以您要说的整个频道只是一名女演员，而不是过着“正常”的生活，而是每天都会表演并为影响力而产生所有这些生活吗？是的，因为拥有不同的生活方式，养育和文化是如此闻所未闻
