,cid,votes,含watch,含watch中文翻译
15600,UgxtDPg0tz8qdQ4IedV4AaABAg,2,"watch the video again and move again.
a pair of clever hands, operating in all things, a brain is unlimited free • how much bitter you can eat can only swallow the belly.
be happy and happier.","再重覆看一次视频，再次感动。
一双巧手，凡事亲自操作，一个脑子无限空闲•吃了多少苦只能往肚里咽下。
要幸福，更要快乐。"
21551,Ugyr4zuLISz-RrVpzHJ4AaABAg,2,i watched the video of the prince and found that it was very interesting,我看了王子的录像带，发现它很有趣
8969,UgznKwWUvlJqV0DUkU54AaABAg,2,"sometimes i feel like watching this is a waste of my time
my diet, actually","有时我觉得看这是我的时间
我的饮食实际上"
30914,UgyWX3rX4u8bymKqaPZ4AaABAg,2,hi liziqi! keep watching your old videos over and over again... ๐’—๐,嗨，liziqi！一遍又一遍地观看旧视频...
32751,UgyXwsAeYegCw1UAMqd4AaABAg,2,"la, and to eat the sabachki? she herself only dates to throw everything into his mouth, poor dogs. only tears! i look there a closet clogged with food to the ceiling. here you have japan, people are of course insanely smart. even the girl is able to collect a bed of non -hijah! and what i like they live with nature, some kind of roots, bast shoes are edible. i watch a few videos, the first thing that she cares about her mother or grandmother is not important. it is just what kind of upbringing! and the second, how hardworking they are, now i understand why they are in such a small country, an order of magnitude higher than other countries live, their head works like a good swiss watch. surprised their work, and especially the mind",洛杉矶，吃萨巴奇（Sabachki）吗？我看着一个壁橱，上面堵塞了天花板上的食物。在这里，您有日本，人们当然是疯狂的。我喜欢他们与大自然生活在一起，根源，冰棍可以食用。我看了一些视频，她关心的母亲或祖母的第一件事并不重要。这就是什么样的成长！第二，他们的勤奋程度，现在我明白了为什么他们在如此小的国家，比其他国家生活高的数量级，他们的头部像一只好瑞士手表一样工作。使他们的工作感到惊讶，尤其是头脑
22717,Ugy0tXJzu1KxBKeHH6l4AaABAg,2,watching this while shoving takis in my mouth,在我的嘴里推着塔卡时看着这一点
7676,UgyvC6gnqRugxFNtwl94AaABAg,2,it feels is calm when i watch this,当我看这个时感觉很平静
32674,UgxUbOdX9Jrf1Yry8Rd4AaABAg,2,"i always feel comfortable whenever i watch your videos, sis! thank you for making such amazing videos <3",每当我观看您的视频时，我总是会感到舒适！感谢您制作如此惊人的视频<3
22152,UgwSWFEg6MtU7NJ88UN4AaABAg.933fknFXf2E93CHEZUx9WS,2,omg i saw ur comment while watching that part ๐ and we have the same mind lol ๐คฃ,天哪，我在看那部分
15121,UgwtZY9TNcFW-b5fm-54AaABAg,2,am so happy to see 53 million views for this . this proves world is such a good place. i wish if everyone in the world could watch & worship content like this,很高兴看到5300万观看次数。这证明世界是一个好地方。我希望如果世界上的每个人都能像这样观看和崇拜内容
31993,UgxPeIw_nKY0Olf5L0V4AaABAg,2,"someday, can i come to your home town? this is so beautiful ๐ญ watching your videos always makes me feeling cozy and relax ~(and also hungry)~ ๐",总有一天，我可以来你的家乡吗？这太漂亮了
31549,Ugy0Soktz65AvEab7Oh4AaABAg,2,"normal human being watching this video: very satisfying and warming.



13 year old girls: she made edible slime with marshmillows.","正常的人观看这段视频：非常令人满意和变暖。



13岁的女孩：她用棉花糖制作了可食用的史莱姆。"
22461,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN93dSshvGTE-,2,"@sourbitters glad to know it. it's an organic living style, providing high quality videos freely and in the same make money to support her and her family, producing more videos and helps make a peaceful world. i will watch the ads on her videos to the end to let her getting more sharing of ads proceeds.",@sourbitters很高兴知道。这是一种有机的生活方式，可以自由地提供高质量的视频，并以同样的赚钱来支持她和她的家人，制作更多的视频并帮助创造一个和平的世界。我将在她的视频中观看广告，以便让她获得更多的广告收益分享。
31843,UgxRlXHXU-vA1fzbK_J4AaABAg,2,beware guys...!!!! this channel is addictive.๐๐๐... i came across this channel randomly & i m watching it continuously last 3 hours....,当心家伙... !!!!这个频道令人上瘾。
31836,UgwcRJWIzWK1xh-ej-l4AaABAg,2,"sat here watching her cook things and thinking, she probably made her own pans.",坐在这里看着她的厨师，思考，她可能自己做了自己的锅。
8468,UgziV_dwKhTpEXfFRkV4AaABAg,2,who’s watching in jan 2021?,谁在2021年1月看？
31760,Ugzkj2Yx4hcL_hNPJrF4AaABAg,2,i feel like iโ€m watching someone play harvest moon. โค๏ธ,我觉得我在看着有人在玩收获月。 ❤️
21550,UgxJnZEYpxrAe4bU7p14AaABAg,2,i watched the video of the prince who found it interesting,我看了王子的视频，发现它很有趣
21772,Ugxhknag0litIL-n8Gd4AaABAg.93L7zOCdC9f93Yax1LWKWq,2,i am moroccan and i discovered this channel a few days ago. i feel comfortable when watching the atmosphere of nature and a different culture from us,我是摩洛哥，几天前我发现了这个频道。看着自然气氛和与我们不同的文化时，我感到很自在
6532,Ugysep0UAKCEBkEPxNh4AaABAg.9Ljc_oPbs6V9Nefg78D1yh,2,"i believe she composed those music by herself. remembering i once watched a video describing how did she manage to use her computer to do everything from recording, music and editing, by herself during the early stage.",我相信她自己创作了这些音乐。记住我曾经看过一个视频，描述了她如何使用计算机在早期阶段独自完成录制，音乐和编辑。
23058,Ugw1aTCq5J-VCzg6dBV4AaABAg,2,"i used to work in rural areas for seven and a half years, so i have a special understanding of rural areas and understanding the hard work of chinese farmers. some villages in china are still messy today, and the garbage has become angry.

these do not become a reason for the video of li ziyi. we all understand that living in the depths of sichuan in dashan is not a simple pastoral scenery and carefree.

li ziyi is not doing great announcements.

she just wants to earn a family -to -family income through her labor creation. i don't believe that she would expect to be popular in the world because of this. return to doujin.

a little exaggerated here [smiling]

li ziyi has experienced a few years of hard work and tried various tasks. her success is by no means accidental.

ten thousand people watch her videos with 10,000 different feelings.

i read that the most direct help to me was that i suddenly realized that the level of cooking was too far away. need to work harder and learn carefully.

of course, as countless fans say, watching li ziyi's video can make people's hearts calm down.

many foreigners leave a message saying that it is hypnosis, treating insomnia [crazy] [crazy] [crazy]

more people admire her omnipipary.

the most exaggerated statement is that ziyi can create a earth [crazy] [crazy] [crazy]","曾经在农村劳动七年半，所以特别了解农村，了解中国农民的勤劳俭朴，贫穷苦难。今日中国有些村庄依然脏乱不堪，垃圾成堆令人愤怒。

这些不成为否定李子柒视频的理由。我们都明白生活在大山深处四川农村不是简单的田园风光，无忧无虑。

李子柒不是在做大外宣。

她只是想通过自己的劳动创作，挣一份养家糊口的收入而已。我不相信她当初会料到因此大红大紫名扬世界。日进斗金。

有点夸张啊此处[偷笑]

李子柒经历了个人苦苦奋斗若干年，尝试过各种不同工作。她的成功，绝非偶然。

一万个人看她的视频会有一万个不同感受。

我看了，对我最直接的帮助就是突然意识到，自己做菜的水平差的太远。需要更加努力，用心学习。

当然，如同无数粉丝所言，看李子柒的视频，能让人的心，静下来。

很多老外留言说是催眠，治疗失眠症[抓狂][抓狂][抓狂]

更多人赞叹她无所不能。

最夸张的说法是，子柒可以再造一个地球[抓狂][抓狂][抓狂]"
6759,UgyPAWGwE7k8hHZ5t7Z4AaABAg,2,i love how clean she about the food ! had to stop watching got really hungry!,我喜欢她对食物的干净！不得不停止观看真的很饿！
10170,UgyaTcZx2PFlv1cbjeV4AaABAg,2,li-we need to ask government leaders to watch your video when there is differences.,李-我们需要要求各地的政府领导人在出现分歧时观看您的视频。
35292,UgzR9shg188GePmMLE94AaABAg,2,these are the kinds of videos youโ€d never get tired of watching,这些是您永远不会厌倦观看的视频
29637,UgwfmAbyoIDDGERSMH14AaABAg,2,are there any hong kong people watching this video?,有香港人在看这个video吗？
6181,Ugxuh2pQl_VnBRtqiQ94AaABAg,2,this is my first ever video that i have watched without skipping,这是我没有跳过的第一个视频
6534,Ugysep0UAKCEBkEPxNh4AaABAg.9Ljc_oPbs6V9NwN-95Y2i3,2,https://www.youtube.com/watch?v=2ohlnmnhj80,https://www.youtube.com/watch?v=2Ohlnmnhj80
23066,UgzLndEc6jsE3-E9naB4AaABAg,2,i feel like i just watched a live monster hunter kitchen tutorial xd,我觉得我只是看着现场怪物猎人厨房教程XD
24873,UgxjBQy_oV2GRmpdQtJ4AaABAg,2,watching her makes me love being chinese,看着她让我爱当中国
21236,UgzVimc1Ym2OEbLgNmd4AaABAg,2,"about! this is my favorite video! everything is so beautiful and tasty, i donโ€t remember how many times i watched it!",关于！这是我最喜欢的视频！一切都是如此美丽，美味，我不记得我看过多少次了！
23613,Ugy1P-5wjBirlyJDFBh4AaABAg.92G5ZWE39tj92KAq6BjxPT,1,"yes, i have watched this video",是的，我看过这个视频
17684,UgwcU9PCMVmc_ZXBZHF4AaABAg.97fWS-XV_rv98J_drP0Yc0,1,mayoumi song is the easiest to watch her video. bleak,mayoumi song 看她的视频最容易饿了。
24397,Ugy6exX5WAuM9Ac9e3F4AaABAg,1,i started gardening after watching your videos... and i feel happy while doing gardening.. ๐’“,观看了您的视频后，我开始园艺...我在做园艺时感到很高兴。
23286,Ugx01h6giGwIhfxYoi14AaABAg,1,isn't she tired? i'm tired only by watching this.,她不是累吗？我只看这个累了。
23270,UgwOTSSiYnHXZ3GtMsd4AaABAg,1,why watch this on the evening of fat reduction. alas.,为什么在减脂的晚上看这个。
22971,Ugxf-r6kRAdTxD3BWX54AaABAg.92cdmOeTdI492gJ9ow1UCb,1,"there are too many domestic black reviews, and the viewing comments are not smooth, affecting the mood of watching the video. if you want to refute too much.",国内黑评太多，看点评论都不顺心，影响看视频的心情。想反驳可太多。
22605,UgwO5DQK8Z6EWFwp0sJ4AaABAg,1,"fire tong ... uh ... liu ming ...
i'm not late ... i watched more than 40 million.","火钳…呃…刘明……
对不起来晚了……都特么四千多万观看了。"
18030,Ugy3LMgRRuVFh81SUkR4AaABAg.97OctMRyFnB97cE1yCgHeo,1,https://youtu.be/d8jrr-e5xw4 great ideas watch this video https://youtu.be/d8jrr-e5xw4,https://youtu.be/d8jrr-e5xw4好主意观看此视频https://youtu.be/d8jrr-e5xw4
22817,UgxqePQ_0FM_81VwcTt4AaABAg,1,"watch: 40,739,708 times. scared the baby ~*โ.โ*~","观看次数：40,739,708次.吓死宝宝了～*⊙.⊙*～"
18125,Ugye7_GU1gP3xrNQZ0R4AaABAg,1,thank you for sharing that shows the true spirit of appreciation.. beautiful to watch xo,感谢您分享表现出真正的欣赏精神..美丽的观看XO
22859,UgwhS5fOt3rZhY-xfHd4AaABAg,1,hi iam from india watch your vedio. i like your vedios. make some good vedios like this.. bless u โบ๏ธโบ๏ธ,来自印度的嗨，我看着你的吠陀。我喜欢你的vedios。做一些这样的好vedios ..祝福你☺️☺️
22936,UgzAoshENl5xzS4QfIB4AaABAg,1,"after watching the video, there are more people who have no comments, but it does not mean that the heart is not touched, but i can't find a suitable word and sentence to express my inner feelings!",看了视频，没有发表评论的人更多，但是不代表内心没有触动，只是找不到合适的词语和句子来表达内心的感受而已！
24618,UgyibtqtyKZzavHCpPp4AaABAg,1,this is pure bliss. i feel so blessed to watch this video..๐’•๐’•,这是纯粹的幸福。我很幸运能观看此视频。
17940,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv9925_YvMcOE,1,just watch any ghibli movie lol,只需看任何吉卜力电影大声笑
18037,Ugy3LMgRRuVFh81SUkR4AaABAg.97OctMRyFnB98EknS2DLPT,1,54 million at the time of me watching,我看着5400万
23744,UgxW5yoN-9TZZhOz5B54AaABAg,1,i feel so stupid cuz as a chinese i donโ€t even know who she is until one of my gfโ€s foreign friend told she about her...and after watched this i feel more stupid cuz all iโ€m watching on youtube is drama and ricefuckinggum...smh,我觉得像中国人一样愚蠢，因为我什至不知道她是谁，直到我的一位GF的外国朋友告诉她关于她的事...在看着这个问题之后，我感到更愚蠢ricefuckinggum ... smh
18309,UgwfFbsvbj5BZ_mPJ5B4AaABAg,1,i like to watch your life,我喜欢看你的生活
22468,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN97cESpiTR6o,1,https://youtu.be/d8jrr-e5xw4 great ideas watch this video guys https://youtu.be/d8jrr-e5xw4,https://youtu.be/d8jrr-e5xw4很棒的想法观看此视频伙计https://youtu.be/d8jrr-e5xw4
20370,UgyglYb-ye0mpABi7M94AaABAg,1,"my fairy sister, finally seeing you put on a glove and watch other videos, my heart does not know how many times it hurts.",我的神仙姐姐，总算看见你戴上一次手套，看其他视频，我的心不知道痛了多少次。
18438,Ugx7_jw_xk8i7kSIBC54AaABAg,1,"this is just amazing. ma sha allah... so peaceful, relaxing and calming to watch. ❤️❤️",这真是太神奇了。马沙·阿拉（Ma Sha Allah）...如此宁静，放松和平静。 ❤️❤️
19668,UgyaBZno58A1ml4kkp94AaABAg,1,"i can't be the only one who has watched all her videos and watching them all over again.
our girl is bout to hit 9m. 
i hope her grandma has recovered as someone in the comment section told that she was unwell and that lizi qi is busy taking care of her.
longitivity to her grandma i would pray.","我不能是唯一观看她所有视频并再次观看它们的人。
我们的女孩正击9m。
我希望她的祖母在评论部分中恢复了一个人，告诉她她不适，而Lizi Qi正忙于照顾她。
对她祖母的纵向，我会祈祷。"
20186,Ugy-URk1qznPLKrtMFh4AaABAg,1,watching this video suddenly felt back to childhood! ~ so amazing! ~,看这个视频 突然感觉 回到童年！~SO AMAZING!~
21047,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO9H5Qfz9TsOK,1,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
21144,UgzgVKTQQaySND3RTct4AaABAg,1,you look so cute and like a kid your all activities๐๐๐๐love to watch you,你看起来很可爱，就像一个孩子一样，你们所有的活动
21160,UgzzB-bIrHD5NLTIJBt4AaABAg,1,these videos of yours are so satisfying....i watch all your cooking skills...the freshness and the beauty of nature....i was suffering from sleep disorders but now i watch these videos and sleep peacefully....god knows why they make me feel so relaxed.....,您的这些视频是如此令人满意。...我看着您所有的烹饪技巧...自然的新鲜感和美丽。...我患有睡眠障碍，但现在我看了这些视频并安静地睡觉。上帝知道为什么他们让我感到如此放松.....
21196,Ugyzd07MuVAUwpSBmPV4AaABAg,1,i am touched every time when i watch her video,每次观看她的视频时，我都会感动
24074,UgwLCkT0Xmpd9qd3dM94AaABAg,1,"thank you for your videos.. when l watching your videos, i am feeling very well.๐",谢谢您的视频..当我看视频时，我感觉很好。
19858,Ugy0MvbX9RjhEoHbR6V4AaABAg,1,"after watch , i really miss my sister and mum that live home town..",观看后，我真的很想念我的姐姐和妈妈那个居住的家乡。
24124,Ugx_TZ7L9ZSeJcBAbId4AaABAg.91U9KIRGN8y92MFT_7qeT7,1,"@zhongwenzhai8286 praise you one, it is indeed a question of the right to speak, i also like to watch the lecture on the video",@zhongwenzhao8286 赞你一个，确实是话语权的问题，我也很爱看观视频的讲座
21450,UgzhDGpzpCSYuEn8xbB4AaABAg,1,"shows me how hard this life is.... soo beautiful, but really a mass of work and daily care for anything there. awesome to watch, my whole respect!",告诉我这一生有多艰难。我的尊重很棒！
19729,UgwR8wOve7iUIW0vzyp4AaABAg.95LYTQak8xN95Lw_XwQu3l,1,"tangqing shen watched? intersection intersection nothing? that is to say, you will do it? will embroidery, farm, and carpenter, there are a lot of people, it's really amazing",Tangqing Shen 都看了？？？没啥？就是说你都会做咯？会刺绣，会种田，会木匠，会的挺多啊，真厉害
19726,UgxT3YcVAi0yU79t81R4AaABAg,1,i keep on watching this since last year. all i can say is paradise. she is a hardworking and loving princess in this paradise,从去年开始，我一直在观看。我只能说是天堂。在这个天堂中，她是一位勤奋而充满爱心的公主
19719,UgxbOUAezwQnpe7nBpF4AaABAg,1,this is where liziqi's living in sichuan province how beautiful https://www.youtube.com/watch?v=ih1l6wb7lhu&list=plwxmmy5furvwpfsdfm8wbnn9hdc-ws8nc&index=2,这就是Liziqi居住在四川省的地方
24271,UgzsQbdr1ulPhwKBomh4AaABAg,1,you donโ€t know how often iโ€ve watched this video,你不知道我多久看过这个视频
18816,UgxdfhIBHtcMprsHF294AaABAg.96U_wjWL5Lw96kyMdP6XTd,1,so funny :) https://www.youtube.com/watch?v=o3ius_bmryk,很有趣:) https://www.youtube.com/watch?v=o3ius_bmryk
19602,Ugz_zaZvz4m0uFX3Tt54AaABAg,1,warning: 90% of this channel is about cooking. don't watch it at night ormake sure you prepare some snacks in your hand.,警告：该渠道的90％是关于烹饪的。晚上不要看它，确保您手中准备一些小吃。
24316,UgzIxkE4wdJBcp1PO6t4AaABAg,1,just watching things makes me feel whole.,只是看着事情让我感到完整。
19560,Ugw2Vyzz9vu--_fzqQZ4AaABAg,1,watching his video is a kind of enjoyment!,看他的视频是一种享受！
19394,UgzBQzjYvHVJQ-txso14AaABAg,1,the only video i watch till end,我唯一观看到结束的视频
19366,UgxCeAccJyDca5jG6w94AaABAg,1,"when i watch your videos. i have peace on my heart. i can't understand what this is connected with. you're just smart,",当我观看您的视频时。我内心有安宁。我不明白这是什么相关的。你只是聪明，
21783,Ugw3malbb4RlxiZgJtp4AaABAg,1,does anyone watch huong's video running here to see,有人在这里观看Huong的视频以查看吗
23960,UgyFmyJOzyK5WWgTewB4AaABAg,1,"shukon from algeria loves her, i die on it .. to worry about watching it",来自阿尔及利亚的舒肯爱她，我死了..担心看它
19136,Ugz05yiXnsJ4FVQH5S54AaABAg,1,this is my favorite channel n i love to watch these videos even though i dont kno cooking but i enjoy these videos alot,这是我最喜欢的频道n我喜欢看这些视频，即使我不知道烹饪，但我喜欢这些视频。
22092,UgwWxe9YRCLsAqU3hr14AaABAg,1,your videos are always very relaxing to watch.. but it also makes me crave hahaโค those who wants to have a nice day must watch her videos.๐’–,您的视频总是很放松。但是，这也让我渴望那些想要度过美好一天的人必须观看她的视频。
20244,UgzV4DNCTtBWjzkqTCB4AaABAg.94nOZTTSF069XZ2IxhJCJv,1,"there is all about her why missing and when come back !!! 
https://www.youtube.com/watch?v=otorjoc0gym","关于她为什么失踪以及回来的一切！！！
https://www.youtube.com/watch?v=OtorJoc0gym"
22347,Ugyxn4F3WSRh0kErrht4AaABAg,1,"liziqi singing video with guitar ๐rare video must watch folks
https://youtu.be/6hf5rgb9jjk","liziqi用吉他演唱视频
https://youtu.be/6hf5rgb9jjk"
18823,UgxdfhIBHtcMprsHF294AaABAg.96U_wjWL5Lw97cE5f_hGdQ,1,https://youtu.be/d8jrr-e5xw4 great ideas watch this video https://youtu.be/d8jrr-e5xw4,https://youtu.be/d8jrr-e5xw4好主意观看此视频https://youtu.be/d8jrr-e5xw4
22234,UgzFiVP_4XjI0Ks1isl4AaABAg,1,watching you working makes me happy ๐,看着你工作让我开心
26493,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy99Y47lbK3v6,1,when ever i feel sad i watch liziqi thank to liziqi plus glad you feel better watching liziqi as well,每当我感到难过时，我都会看着Liziqi感谢Liziqi，也很高兴您也更好地看着Liziqi
24911,UgxeCYZz3oEAKOgUwDV4AaABAg,1,i only just found out about her and binged watched like 40 videos,我只是发现了她，而宾德（Binged）看着40个视频
36783,UgwRFo-eaYSHbYMC5yR4AaABAg.8uPQ7pNVLHx8v70fJTcN9F,1,omg i was just thinking about this game while watching all her vids,天哪，我只是在看她的所有视频时都在想这款游戏
37602,UgxI5mT8FMYhLLV-ZlB4AaABAg,1,"i'm watching her video first time i love her video and i click like button and subscriber this channel





๐‘5.9k plz","我第一次看她的视频，我喜欢她的视频，然后点击按钮和订阅此频道





"
37775,UgxgygUgaZLX0Z5wMy14AaABAg,1,its like i watching harvestmoon real life,就像我看着Harvestmoon现实生活
37778,UgzHvx4E1FIFAHGwqC14AaABAg,1,these videos are so beautiful and relaxing to watch.,这些视频是如此美丽和轻松观看。
37802,UgzOS60iS-2geR87pAR4AaABAg,1,"i watch this video.
then to the wife.
and cry. ๐ญ","我看这个视频。
然后给妻子。
哭。"
37857,UgwHVhbCpY4rgUU7Z7x4AaABAg,1,"her videos are so satisfying, like i cannot stop watching them",她的视频是如此令人满意，就像我无法停止观看它们
38110,Ugxhq2_8Xb0Qlc_-8SZ4AaABAg,1,best video i've ever watched!,我看过的最好的视频！
38182,UgwSit0PDbvMnU3tayJ4AaABAg.8tdcARzaCn08tuN2zbY91J,1,we can only watch her videos and imagine such fairytales,我们只能观看她的视频并想象这样的童话
38828,UgwCoP-JcjTGcMwQ-Kd4AaABAg,1,"i love watching her videos, it shows power and strength along with talent of old culture. i know one thing though. her grandma is cute",我喜欢观看她的视频，它表现出力量和力量以及旧文化的才华。我知道一件事。她的祖母很可爱
39002,UgzPUGK6chZt4DF8D4Z4AaABAg,1,i like watching her work. she makes everything she does look so easy.,我喜欢看她的工作。她使一切看起来都很容易。
39559,Ugyq0UjeWhSBQgi7luV4AaABAg.8spU6MGGnmN8tQ42etg-Oq,1,"znyl nj found the song, it's called shouri zen no
https://www.youtube.com/watch?v=150xu2bhwqy
i was really surprised to see her use digimon music :d","ZNYL NJ找到了这首歌，叫做Shouri Zen no
https://www.youtube.com/watch?v=150xU2bhwqy
看到她使用Digimon Music：D我真的很惊讶"
39906,UgxBu1Dv0u61NXAppA94AaABAg,1,"oops, i found that ziyi questioned in china, so don't even get more domestic channels. wow. come to youtube wow. there are not so much spray here. the advertising income here is also very high. after watching a video, are you the second in the chinese up main ranking?",哎呀呀，发现子柒在国内造质疑了耶，别更国内频道就好了哇。来YouTube哇。这里喷子没那么多啦。这里的广告收入也很高嘛。看了个视频，你是中文up主排行第二嘛
40402,UgydeOYX1Xd5wejEntd4AaABAg.8sMEIDfoSkB8sNDH5SbjUR,1,"this channel is focus on food. watch her other video, she did show her grandma's face.",该渠道专注于食物。观看她的另一个视频，她确实展示了奶奶的脸。
40597,UgzuiLy-s5eypQOQe594AaABAg,1,"r u going to upload the news thing???
i had has finish watch all of them","您要上传新闻吗？？？
我已经完成了所有的观看"
40706,UgyA-tQSS6sT-Ng-JRZ4AaABAg,1,every time i watch her videos just make me imagine i can live in such a beautiful place like hers.. so peaceful ❤️,每当我看她的视频时，都会让我想象我可以住在像她这样美丽的地方。
40724,UgyW2NJsUfw6Xo3zP394AaABAg.8sAFFPdmx8H8sFPiP91tF9,1,啵啵鱼 you can search in google type sunflower seeds on that ...watch and learn!!,啵啵鱼您可以在Google类型的葵花籽中搜索...观看和学习！
40850,Ugw00rEJ2axgUaD46Yt4AaABAg,1,"if you guys like this kind of healing video, i recommend you to watch 'little forest' movie, it has korean and japan version. and i also recommend 'hyori's bed&breakfast(hyori's homestay)' it's a reality show where shot in jeju island. those two show is very calming and relaxing to watch",如果你们喜欢这种治愈视频，我建议您观看“小森林”电影，它具有韩文和日本版本。我还建议“ Hyori's Bed＆Breakfast（Hyori's Homestay）”这是一个真人秀节目，在Jeju Island拍摄。这两个节目非常平静和轻松观看
40859,UgxCCypwqv0nwr6OUEB4AaABAg,1,watching this calms my soul,看着这个平静我的灵魂
37108,UgzZ4OSH2Ymfk2HLO4Z4AaABAg,1,"i am getting really envy watching this , as in malaysia we can't find such environment",我真的很羡慕这一点，就像在马来西亚一样，我们找不到这样的环境
36553,UgzGFiCWclJJ6Nh1ei54AaABAg,1,"where u come from. 
i dont know what r u doing 
n wht is ur language but watching u is peaceful dear. 
love u sister","你来自哪里。
我不知道你在做什么
n是你的语言，但看着你是和平的亲爱的。
爱你姐姐"
33729,UgzJlti5cDY5HE3_XVl4AaABAg,1,absolutely love these videos. nothing quite compares to them. i would love to know the recipes for your creations. i'm hungry just watching lol,绝对喜欢这些视频。没有什么比他们比较了。我很想知道您的创作食谱。我饿了，只是看大声笑
36212,UgxXi5A6q1MVMlh7BCp4AaABAg,1,learned some new things while watching this video. i feel as though i could possiblly do some of these things. goes to show that things are not as hard as they seem. simple living.,观看此视频时学会了一些新事物。我觉得我可能会做一些这些事情。表明事情并不像看起来那样难。简单的生活。
33890,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd495HVQkJtDFB,1,i'm also cooking chinese food๏ผwelcome to watch,我也在烹饪中国菜，欢迎观看
33918,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd497cDuFOwI56,1,exactly https://youtu.be/d8jrr-e5xw4 great ideas watch this https://youtu.be/d8jrr-e5xw4 video,恰恰https://youtu.be/d8jrr-e5xw4很棒的主意观看此https://youtu.be/d8jrr-e5xw4视频
33956,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49BATMwSZCTC,1,"@adarshpp9165 - hi, my parents moved from california to washington state to give my siblings and i a better future. i loved working on our family farm and at the age of 12 my parents gave me an acre of strawberries to work and all the money from it was mine.
i know that farming life is a good life, but as an adult planning om having children, i knew that life in america was centered around education and i didn't want my children missing out on a good education because i liked farming. so deep down i know that is how only my life should be in order to absolutely happy. my youngest child started his adult life about a year and a half ago. watching the video reminded me of my very happy childhood and how much i missed it.","@adarshpp9165-嗨，我的父母从加利福尼亚搬到华盛顿州，给我的兄弟姐妹和我的未来更美好。我喜欢在我们的家庭农场工作，在12岁那年，我的父母给了我一英亩的草莓工作，所有的钱都是我的。
我知道耕种生活是美好的生活，但是作为一个成人计划，有孩子，我知道美国的生活围绕教育为中心，我不希望我的孩子错过良好的教育，因为我喜欢耕种。深入了解，我知道那是我的生活才能绝对幸福的方式。我最小的孩子大约一年半前就开始了他的成年生活。观看视频使我想起了我非常快乐的童年以及我错过了多少。"
33972,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49CtOhaWtzFS,1,"we still living like this at village,watching her video remind me of my grandma",我们仍然生活在村里，看着她的视频让我想起了我的祖母
34269,UgwrDvI8vQNeXscrQ754AaABAg,1,is there thai people who like to watch us?,有泰国人喜欢看我们吗？
34360,Ugz4oE2UswtqfGdlab54AaABAg,1,the very creative lady in the world ๐–ค always watching โค๏ธ,世界上非常有创造力的女士
34423,UgyuqkH9mu58PxtDUjB4AaABAg,1,i don't understand why i have been watching this for a couple of hours,我不明白为什么我一直在看几个小时
34596,UgwsmwvcLDkPPQyKcIB4AaABAg.8uzOrtFqjkV8w3Z_LtGjbP,1,"@pnoplyr14 when we were kids, we used to gathering around watching it and got a jump in the end. then came back waiting for the next round. it is very loud 'boom' , can't see it in the city anymore.",@pnoplyr14当我们小时候时，我们曾经聚集在观看它，最后跳了起来。然后回来等待下一轮。这是非常大声的“繁荣”，在城市中再也看不到它了。
34739,Ugy2u-UV4OMqdopWUVd4AaABAg,1,i love this channel๐ so much๐’— . i will never get tired of watching every videos of this channel,我非常喜欢这个频道。我永远不会厌倦观看此频道的所有视频
35156,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-93XpGTxSAla,1,@therewasnochill8997 i think you need to watch more of her videos. she is a very educated woman and a filmmaker. but instead she chose to live this life where she can do everything she wants to do and for free. that's how life suppose to be freedom not indebt for the rest of your life.,@the When Waywasnochill8997我认为您需要观看更多她的视频。她是一个受过良好教育的女人，也是电影制片人。但是，相反，她选择过这种生活，在那里她可以做自己想做的一切和自由。这就是生活应该成为自由的方式，而不是您一生的余生。
35192,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-97cEDaSCspt,1,https://youtu.be/d8jrr-e5xw4 zabrdast ideas watch this video https://youtu.be/d8jrr-e5xw4 guys,https://youtu.be/d8jrr-e5xw4 zabrdast创意观看此视频https://youtu.be/d8jrr-e5xw4
35533,Ugxzbxmy5h3xC_6EoVF4AaABAg,1,"you are very talented and beautiful. cannot stop watching your videos.







think am in love ๐’","你很有才华和美丽。无法停止观看视频。







认为我恋爱了"
35601,UgzbY5o-NIMAyGeERmN4AaABAg,1,"heyyyyy beautiful,,,,
i don't know how to express my feelings about you nd your vedios. 
they are cool with soothing music. when i watch your videos i feel like i'm in another world. 
stay blessed.","嘿，美丽，
我不知道如何表达我对你的感受。
他们对舒缓的音乐很酷。当我观看您的视频时，我觉得自己在另一个世界。
祝好运。"
