,cid,votes,含watch,含watch中文翻译
11150,Ugwvka4Yj4Kg_oibcz94AaABAg,110,i am watching her videos in quarantine days.. when i watch her videos i just forget what happening out side and my mind fill with peace..,我在隔离的日子里观看她的视频..当我观看她的视频时，我只是忘记了发生的事情，我的思想充满了和平。
29079,Ugy_rv69BA1VHfhSQsR4AaABAg,107,"hello,i'm from vietnam,my grandfather often watch your videos and he very like it. he said : "" you very beautiful and you cook very well"" .he wishes he had a peaceful life like you . love you",您好，我来自越南，我的祖父经常观看您的视频，他非常喜欢。他说：“你很漂亮，你做得很好。”他希望他过着像你一样和平的生活。爱你
9101,UgwfzJm9c_AVWwZPV694AaABAg,104,"she is a life artist, she make picking vegetable, cooking , so graceful and peaceful. present it so well. love to watch her video.",她是一位生活艺术家，她做菜，烹饪，如此优雅而宁静。很好地呈现。喜欢看她的视频。
12921,UgytWROnurt7fOcPZJp4AaABAg,104,"in every episode i watch, it looks like she's creating a cure for cancer in all her wonderful recipes.",在我观看的每一集中，看起来她都在所有美妙的食谱中都在为癌症创造一种治疗方法。
32249,Ugw42gVmNvKE5e4BjBJ4AaABAg,103,me: eating unhealthy and watching healthy,我：吃不健康，看健康
26811,Ugw2CTV6Au8er71Xs2V4AaABAg,103,i find myself watching this channel every sunday afternoon...so relaxing,我发现自己每个星期日下午都在看这个频道...所以放松
11914,UgxOPdfkgxROJLP3RcJ4AaABAg,103,"in order to write the college entrance examination composition to watch my sister's video ... i really envy my sister's life like this. after reading it, i was so moved. i was very happy to see foreign netizens' messages! intersection thank you sister for the help of spreading chinese culture, and thank you for your dreams for so many people. this may be your dream ~ i'm happy for you. thanks a lot! intersection",为了写高考作文来看姐姐的视频……真的好羡慕姐姐这样的生活啊TAT看了之后好感动，看到外国网友的留言也很开心！！谢谢姐姐为传播中国文化助力，谢谢姐姐替那么多人活出了大家梦想中的样子。这也许是你的梦想吧~为你感到高兴。辛苦你了！！
26988,UgyDSnKCZSbwdV2pXO14AaABAg,102,"if you're getting lazy and don't know how to start the day, just watch liziqi's and you'll be energized too js like her",如果您变得懒惰并且不知道该如何开始一天，只需观看Liziqi的工作，您也会像HER
9680,UgxeDjXMOCo9vlzxzEZ4AaABAg,92,"i canโ€t get enough of her. she lives the most beautiful, simple, productive life. itโ€s like watching a fairytale",我不能得到她的足够。她过着最美丽，最简单，富有成效的生活。就像看童话
7695,UgwEHsAWBrM1DUp09dN4AaABAg,77,"the real question is when shes gonna drop a cookbook! every time i watch a video, i have to leave and cook something bc everything she makes looks delicious and it makes me hungry lmao",真正的问题是她何时会放下一本食谱！每次我观看视频时，我都必须离开并烹饪一些她所做的一切看起来很美味的东西，这让我饿了
31839,UgwcNqMFyyFbcw-g-Eh4AaABAg,72,"while i'm laying in this bed... in this boring hospital.. while watching your video suddenly my tears just fall down.. my mom ask me why i'm crying i just answered "" mom, can we visit her before i die"" my mom came and hug me while crying...... "" sure baby but promise me you need to be strong, ok"" 
"" sure mom""... 
thank you for making this movie. i really love it❤️❤️❤️ i wish someday soon i will going to be in a place like that","当我躺在这张床上...在这家无聊的医院中..当您的视频突然看我的眼泪时。死了“我妈妈在哭泣的时候来拥抱我..............................................
“确定妈妈” ...
感谢您拍这部电影。我真的很喜欢它❤️❤️❤️我希望有一天我很快就会成为这样的地方"
28552,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8zF7j7MJpc7,71,@franzpeters3824 nothing to do?... i can see she is working hard... and she posting videos which watch by over 1 million people.. and she get a pretty nice income...,@franzpeters3824无所事事吗？...我可以看到她正在努力工作...她发布了一张超过100万人的视频。
34683,UgzY7D87DSSlVgPicvx4AaABAg,67,even some dishes aren’t look like delicious i’m still watching. i love how she cook.,即使有些菜看起来也不是美味，我仍在看。我喜欢她做饭。
4187,Ugz0fOYcp3pdjVTAsdt4AaABAg,67,"this is really the favorite channel. i often look at the whole family, while watching the distant motherland, is there the same as me?",这真的是最爱的频道了，经常全家四口一起看，边看边想着遥远的祖国，有和我一样的吗？
2740,UgzEDsZzmYAPNawTzGh4AaABAg,62,"its so nice to watch this kind of videos, because this pandemic limits us to travel places, but because of your video i have the luxury to see your place in my own home and this makes me learn something from your beautiful culture!
and most specially thank you for inspiring me to create countryside life content, love from the philippine countryside ❤️","观看这种视频真是太好了，因为这个大流行使我们限制了旅行的地方，但是由于您的视频，我很奢侈地看到您在自己家中的位置，这使我从美丽的文化中学到了一些东西！
最特别感谢您激发我创造乡村生活内容，菲律宾乡村的爱情❤️"
2419,Ugx9V95RGuWqinusZMN4AaABAg,62,why do i just sob when i watch this? i want this life so bad. never thought i would be so sick of technology.,当我看这个时，为什么我只是抽泣？我希望这一生太糟糕了。从来没有想过我会对技术如此讨厌。
4366,UgzTV687H9RI-AJwf3B4AaABAg,61,"watching her cooking while eating was so satisfying, my ordinary food become delicious because what? we shud appreciate what nature gave us to eat.",看着她吃饭时的烹饪是如此令人满意，我的普通食物变得美味，因为什么？我们欣赏大自然给我们吃的东西。
17608,UgxW81R99cPbf3bu0s54AaABAg,59,i watched the video published on the us website with the american internet,我用美国的网络看中国人发布在美国网站上的视频
30791,UgzmqjkWfDbMH9dZX1t4AaABAg,57,"everytime i watched her vids, i heard the nature singing.. nice one. all in all. a million thanks for this wonderful vids! im still amazed",每当我看着她的视频时，我都会听到大自然在唱歌。总而言之。一百万感谢这个美妙的视频！我仍然惊讶
24926,Ugxr0u5Uggi_LMid5Jt4AaABAg,55,"this is my first time watching her video, i think i am in love.
her knowledge is incredible.","这是我第一次观看她的视频，我想我恋爱了。
她的知识令人难以置信。"
28307,UgzP_2hph4EIUadcx8N4AaABAg,54,"i don’t usually watch these videos to know how to cook things, i watch them because they make me wonder how living this type of lifestyle feels like. it’s just so interesting",我通常不会看这些视频知道如何做饭，我看了它们，因为它们让我想知道这种生活方式的感觉如何。太有趣了
30720,UgzErB0qJ6RgkSbR-vx4AaABAg,54,"when i started to watch her videos, i no longer want an extravagant life. sml ❤️",当我开始观看她的视频时，我不再想要奢侈的生活。 SML❤️
32501,Ugy7pHjjt2tGgtdwxip4AaABAg,53,"today i found this video of her and i can't stop watching it.i feel inspired and positive thought flowing all over me .thank u for opening my eyes.save earth

those who are reading my comment may have a great healthy long life","今天我找到了她的视频，我无法停止观看。

那些正在阅读我的评论的人可能会有很大的健康寿命"
13915,UgzgJjGL0q4IQHjGl7J4AaABAg,53,i want your grandmothers life: relaxing on the swing watching my food being prepared!,我想要你的祖母生活：放松秋千，看着我的食物正在准备！
22172,Ugzt5VGHr6znPhq6-k14AaABAg,49,"the first time i saw this film was moved by ""a simple life is a kind of happiness"", thank you.
whenever you watch the films you take, you have an inexplicable sense of happiness.","第1次看到这部影片很感动〝简简单单的生活就是一种幸福〞，谢谢妳。
每每看妳拍的影片就有一种莫名的幸福感。"
3886,Ugx_NcPcKBlYcyCeUtV4AaABAg,48,i almost came down to tears after watching this.. maybe we all are so trapped in city life that we almost forgot what staying close to nature is,观看这件事后，我几乎流泪了。也许我们所有人都被困在城市生活中
22247,UgysTyDyaKt7NfosbqJ4AaABAg,48,i feel guilty watching this video and there isnt a single ad. some people make worst content and run ads about every minute or two.,看这部视频，我感到内gui，没有一个广告。有些人的内容最糟糕，每分钟或两分钟大约进行广告。
22765,UgwQ5lNKcDl95hRm-ax4AaABAg,46,here i am watching this while eating a microwaved meat pie! starting to question where my life is heading ha!,在这里，我在吃微波肉派的同时看着这个！开始质疑我的生活在哪里哈！
10447,UgxWYcGws_9CH4OozQh4AaABAg,45,"oh my goodness, i couldn’t believe my eyes when i watched this - all this still happening in the 21st century. she is a super women and beautiful",哦，天哪，当我看着这一点时，我简直不敢相信我的眼睛 - 这一切仍在21世纪发生。她是一个超级女人，美丽
18578,UgxV_6x8LOYL_slnoot4AaABAg,45,"don't watch her videos while eating, otherwise i saw what she made and what she did.",不要在吃饭的时候看她的视频，不然看到她做的和自己做的那简直是自取其辱
24881,UgxPuSaE6FTw-C5kg-R4AaABAg,45,i love sister :: i am watching nepal,我爱姐姐::我正在看尼泊尔
7563,Ugydj375CIk4ZQlPlyV4AaABAg,43,"this is my first time watching her videos, and i must say, it's very inspiring and how lucky she is to have those wonderful ingredients within reach, or so.",这是我第一次观看她的视频，我必须说，这是非常鼓舞人心的，而且她能够拥有那些出色的成分，这是多么幸运。
23267,UgwXnzev4UAuxOpyjVV4AaABAg,39,"i go on a special vacation every time i watch one of your videos. i'm a new subscriber from the u.s. 
i love your gramma.","每次观看您的视频之一时，我都会去一个特别的假期。我是美国的新订户
我爱你的格拉玛。"
31520,Ugzm7QU5hMp7O0Qqlq54AaABAg,37,this sweet lil angel is always on the go be it cooking making furniture what ever she's very strong and sempley gorgeous its always a pleasure watching her,这个甜美的小天使总是在旅途中，无论是在做家具，她都很坚强和柔和的华丽，它总是很高兴看着她
27667,Ugw5SPAaBjoM3msS03V4AaABAg,36,this seem like i watched an hour and a half long movie! so tranquil i really enjoy,好像我看了一个半小时的电影！所以我真的很喜欢
8878,UgxOBgD3fQC8I59-Qdl4AaABAg,35,"hello! ziyi, our family in hong kong loves you very much, watching the works of vietnamese hype your work. you have used so much effort to do it and be speculated exactly like you. you have to talk more on your show, so that they can hardly speculate on you, and you speak well! we also want to listen to you more! bleak",妳好！子柒，在香港我们一家很爱妳的节目，看倒有越南人炒作妳的作品，你们用了那么多心血去做而被人炒到一模一样，很替妳不值，有少少意见给妳，妳要多在妳的节目里说话，这样她们就难炒作妳，你说话也很好听呀！我们也很想听妳多说话呀！
17083,UgwoGmYYcukjLHjpxMp4AaABAg,35,"i about 5 years of using youtube, this the first and the only youtube channel that i subscribed just after watching a single video. you are amazing and everything about you is so so beautiful.
love and respect from india","我使用YouTube大约5年了，这是我观看单个视频后唯一订阅的第一个也是YouTube频道。您真是太神奇了，关于您的一切都如此美丽。
印度的爱与尊重"
30574,UgzQZItfuNkagVB2f1d4AaABAg,34,i do not know how big i thought bamboo shoots were but i definitely did not think they were that big! i learn so much by watching this channel.,我不知道我以为竹脚的大小，但我绝对不认为它们那么大！我通过观看这个频道学到了很多东西。
8974,Ugw8SKAdgy-kCN4ZD3F4AaABAg,34,itโ€s unhealthy of me to be watching this at 2 midnight,我不健康的是在午夜2午夜观看
32579,Ugx9jRTrOEWpq0cDNQt4AaABAg,33,"the coolness of summer, the sound of suzumushi, the flowing water, and the image, and the refreshing feeling of summer is irresistible. it matches with bgm and is beautiful. thank you for watching for free",夏天的凉爽，苏津岛的声音，流动的水和图像以及令人耳目一新的夏天感觉是不可抗拒的。它与BGM匹配，很漂亮。感谢您免费观看
15508,UgxI85nlNzDeVbVmq9J4AaABAg,33,you are watching one of the world's most blessed grandmothers.,您正在观看世界上最幸运的祖母之一。
29445,UgzV5SRrEU2-VIvbK7h4AaABAg.8yWoRCHc-JA8yY0rLI7Jim,33,"nah, may be people just dislike because watching her video makes them as hungry as hell that they can bare hit like button correctly",不，可能是人们不喜欢的，因为观看她的视频使他们像地狱一样饿了
35124,Ugym8BaNBFABibEdUXR4AaABAg,32,i was eagerly waiting for your new vid by watching your all videos lots of love from india,我热切地等待着您的新视频，看着您的所有视频来自印度
19179,UgyWz1ydIm6Vwc7etEd4AaABAg,31,i didn't know that most plants around me are edible until i've watched this wonderful lady ❤️,我不知道周围的大多数植物是可食用的，直到我看着这位出色的女士❤️
7357,UgxG_gXd-Xm6SLPJ5Sh4AaABAg,30,some of the things she does reminds me of my childhood watching my parents do the same things...fond memories..thank you.,她确实做的一些事情让我想起了我的童年看着父母做同样的事情……美好的回忆..谢谢你。
30216,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38y_3MuPlFRi,29,"i 've been wondering other dog also, we've been watching him since he was little puppy, but he has not been around for a while.",我一直想知道另一只狗，因为他小狗从小就一直在看他，但他已经有一段时间了。
23317,Ugy89zxW2gvVmN6Ispx4AaABAg,29,"indeedly, i can't stop watching her video. i don't know why",确实，我不能停止观看她的视频。我不知道为什么
4365,UgyFlsWsHOhC2C22Pe94AaABAg,29,"this is my first time watching her video, i love how they made this kinda content seriously, with great editing. this is the content we need. imagine if local content like this were made from all over the world, how beautiful it gonna be.",这是我第一次观看她的视频，我喜欢他们如何通过精彩的编辑来认真对待这种内容。这是我们需要的内容。想象一下，如果这样的本地内容是由世界各地制成的，那将是多么美丽。
23879,Ugw3Cxr5gIo_5_pT_454AaABAg.8z_VHkNqWWZ8zdKu0eTrvz,29,@skf358 why are you even watching this?,@SKF358您为什么还要看这个？
18469,UgyjfLr-Lqkia0PcM0d4AaABAg,27,so relaxing to watch i almost fell asleep when suddenly somebody shout outside.,当突然有人在外面大喊时，放松看我几乎睡着了。
27399,Ugxi6VIBRmb1l77dQRF4AaABAg,27,"i want to live a life like this
this is the life that i want.. 
im enjoyin watchin this channel","我想过这样的生活
这是我想要的生活。
我喜欢看这个频道"
10468,UgxIgVflpb_1liWhLvZ4AaABAg,27,"may 16, 2020 who’s with me watching while in home quarantine?",2020年5月16日，谁和我一起在家隔离时看着？
8642,UgwEeceQBwUWUvvNu2p4AaABAg,26,"i used to live at my grandma's house when i was kid, it is located in countryside. watching your video makes me recall my childhood memories. now that my family move to a city, i want to enjoy this kind of nature yet i cant",我小时候曾经住在祖母的房子里，它位于乡村。观看您的视频使我回想起童年的回忆。现在我的家人搬到了一个城市，我想享受这种性质，但是我不能
29570,Ugwozk571R6pngLuXUp4AaABAg,26,youtube was pushed and found that i watched a lot of videos in one breath. the shooting is so beautiful. thank you for spreading the traditional chinese culture.,YouTube推送发现的，一口气看了好多视频，拍的真美，谢谢你传播中华传统文化。
11846,UgzrqQzro_XJy3cqual4AaABAg,26,"who's morning start with watching her videos?

.
.
.
.
mine.❤","谁早上从观看她的视频开始？

。
。
。
。
我的"
4827,UgzfVB4ZePPKK89b3tF4AaABAg,26,"i spent all the time watching my mouth open. it has everything within your reach and looks new, so what you know is cultural? amazing your skill. congratulations",我一直看着我的嘴张开。它拥有您的一切范围，看起来很新，所以您知道的是文化？惊人的技巧。恭喜
10741,Ugw-UGqNpyeBHZRXsjR4AaABAg,26,"every time i watch your video, i want to cry, i do n’t know why, be moved by the beauty of labor, right?",每次看你的视频都有些想流泪，不知道为什么，感动于劳动之美吧
8816,Ugz2WKGZdFk76-wPOzR4AaABAg,25,did you watch this video while eating snail powder? intersection hahaha...,有没有一边吃着螺蛳粉，一边看着这个视频的？！哈哈哈...
2659,Ugw6yTwn-CyeZ2Ba1nh4AaABAg,25,"i didn’t even know bamboo was edible! wow! 
i love watching her cook what is grown on their farm, everything is totally fresh and organic and probably tastes fantastic!","我什至不知道竹子是可食用的！哇！
我喜欢看着她的农场上种植的东西，一切都是新鲜和有机的，可能会很棒！"
20185,UgwZtKiAAF_J4x5Vjoh4AaABAg,25,"she is so beautiful to watch, it is so tranquil, i could have a hard day and i find her and watch her on my phone or tablet and she is so tranquil - i love it, i love her, she is absolutely awesome!!!!!!!",她是如此美丽，它是如此的宁静，我可能会度过艰难的一天，我找到她，在我的手机或平板电脑上看着她，她是如此宁静 - 我爱它，我爱她，她绝对很棒！ !!!!!!
24212,Ugz70msks_b7G0fXLRJ4AaABAg,25,"watching from jamaica 
such a peaceful and calming video
shout out to all the caribbean peeps watching this","从牙买加观看
如此和平与平静的视频
向所有加勒比海窥视大喊看着这个"
27603,UgwsjVfm4w2IslSFDSR4AaABAg,23,i could watch you all day long! you do exactly what my mom and grandma used to do. i know that it is a lot of hard work to prepare all those delicious meals but worth it! keep up your good work!,我可以整天看着你！您正是我妈妈和奶奶所做的一切。我知道准备所有这些美味的饭菜是很多艰苦的工作，但值得！继续你出色的工作！
5303,UgwCHlB6Tjwmuzk0A_t4AaABAg,23,its just so satisfying watching her cook! i mean everything's neat and clean...,看着她的厨师真是令人满意！我的意思是一切都整洁而干净...
25272,Ugz0dZAVhvUTeJ2tdi14AaABAg,23,enjoyed watching you again. god bless you and your family love you my friend,喜欢再次看着你。上帝保佑你和你的家人爱你我的朋友
1799,UgzafBF-nlayWxz9jRx4AaABAg,22,so much love goes into her food. watching her and mom relaxing makes me feel good. i want to visit.,她的食物如此之多。看着她和妈妈放松，让我感觉很好。我想参观。
29590,UgwFOGIGEeMz7wVYh2x4AaABAg,22,"you are beautiful, i have been watching your videos for a long time, i all like them. thank you!!!",你很漂亮，我一直在观看你的视频已经很长时间了，我都喜欢他们。谢谢你！！！
17434,Ugw4Y6TdDjlU9zRkSHR4AaABAg,22,feels like i'm watching an old school tv drama show lol.,感觉就像我在看一部老式的电视戏剧大声笑。
32412,UgyDKVH_WtjF6r-Gd2d4AaABAg,21,always an amazing education as well as joy watching your video and your neverending skills. thank.,始终是一个了不起的教育，也可以喜悦观看您的视频和您永无止境的技能。感谢。
23928,UgwU7nEOIA5U6bs0d2F4AaABAg,21,"how can one watch this and dislike?






oh i get it, they must have not watched the video..... i mean that’s the only explanation.","一个人如何看待这一点和不喜欢？






哦，我明白了，他们一定没有看过视频.....我的意思是这是唯一的解释。"
27845,UgwTWO_iNGdUKRP3snp4AaABAg,20,damn!! i can feel the peacefull life after watch this,该死！！我可以感觉到这次放松之后的和平生活，感觉就像我想在印度尼西亚☘觉之外生活。
24095,Ugxr7k8x-jVgzUhb-h14AaABAg,20,"my mind:why i'm watching this video?
my heart:only for beautiful lady","我的想法：为什么我正在观看此视频？
我的心：只为美丽的女士"
11557,UgwOKaIWeB3nIXK7cUJ4AaABAg.97SYDnx5UUw984jlweWVxd,20,@verratenda304 i guess you should watch her video how she used to film everything and instead of blabbering here just watch her videos and please enjoy it . thank you very much!!,@verratenda304我想您应该观看她的视频如何拍摄所有内容，而不是在这里观看她的视频，而不是在这里观看她的视频。非常感谢！！
26999,UgySTRxH_M-qBYqsoGx4AaABAg,20,"i visited in a korean news article. the video is really pretty, and she is also quite beautiful. the whole green-colored video is really amazing. it's a comfortable video to watch.",我在韩国新闻文章中访问了。该视频真的很漂亮，她也很漂亮。整个绿色视频真的很棒。这是一个舒适的视频。
30841,Ugz_WWXANDgdgqZRqo54AaABAg,19,when i watch her videos i feel so tranquil and beautiful. i love everything she does. grandmother has beautiful soul as well.,当我观看她的视频时，我感到如此宁静和美丽。我爱她所做的一切。祖母也有美丽的灵魂。
18468,Ugwtq1eFmhsUNA28izp4AaABAg,18,"after watching your video, i became diligent!",看了你的视频，我就变勤快了！
9955,UgykU8u40JDLh8OfSS14AaABAg,18,"so serene to watch her! so calm, so peaceful! 
love from india! โฅ๏ธ","如此安静地看着她！如此镇定，如此宁静！
来自印度的爱！ ♥谢"
