,cid,votes,time,含skill,含skill中文翻译
31185,UgyUnNuQPITvUvhwN514AaABAg,8,3 years ago,"what an amazing woman!
so much knowledge of available edibles and the skills to prepare them.
any man should be lucky to win her heart!","多么了不起的女人！
对可用食品的知识以及准备​​它们的技能。
任何人都应该幸运地赢得自己的心！"
28603,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9-zEyLn98f5,7,3 years ago (edited),"@franzpeters3824 ok can you speak chinese?! i'm obviously assuming not, so why would expect her to know the whole english language when she lives in china!!!! please use ur head when u think and talk. obviously, english isnt spoken everywhere or it is not needed when u live in ur home country. so if u r criticizing her for not speaking english what about you? can u speak chinese?! guess not... absolutely hypocritical. i think u r just hating on her cause she is way more talented and successful. she is obviously smarter and skillful. knowing how to make, grow, and take care of these stuff is very hard... which u cant do. who has millions of subscribers again? oh that's right, her! cuz she is such a hardworker, and what do u do come again? smh",@franzpeters3824好吧，你会说中文吗？我显然没有假设，所以当她住在中国时，为什么要期望她知道整个英语！当您想和交谈时，请使用您的头。显然，当您住在您的祖国时，无处不在，或者不需要英语。因此，如果您批评她不说英语，那您呢？你能说中文吗？猜不要...绝对虚伪。我认为您只是讨厌她，因为她的才华和成功。她显然更聪明和熟练。知道如何制作，成长和照顾这些东西非常困难……你不能做。谁又有数百万订户？哦，是的，她！因为她是一个勤奋的人，你又来了什么？ SMH
17956,UgzwJOIY_82wbF_-g214AaABAg,6,3 years ago (edited),"wow, this was such an amazing video. the scenery, and beauty that surrounds her home is something i wish to achieve in life (not to mention the amount of technique, skill and knowledge this woman has, another goal). inside of the home was lovely too. 
reminds me a lot of hayao miyazaki’s art work. just speechless!!!!","哇，这真是一个了不起的视频。我希望在生活中实现的风景和周围的美丽（更不用说这个女人拥有的技巧，技能和知识，另一个目标）。家里也很可爱。
让我想起了许多宫崎骏的艺术作品。只是无语！！！"
18368,UgxPmXnMxuX18jpVmx14AaABAg,6,3 years ago,zi yan's grandmother must also give him a lot of life skills.,子柒的奶奶，肯定也交给了他很多生活技能。
322,UgyPQFPCIu3gD7OOyQZ4AaABAg,6,3 months ago,i am impressed with so many skills,这么多技能给我留下了深刻的印象
16906,UgwRmKcfxMd9L-4WnzF4AaABAg,6,3 years ago,am i the only one who wants a wife like her????? so beautiful and skillful.,我是唯一想要像她这样的妻子的人吗？如此美丽而熟练。
3636,UgxR3TDVIiUtyz7rjpl4AaABAg,5,2 years ago,"how dexterous, fast and skillful!",多么灵巧，快速而熟练！
18258,UgyrjoYKk89-8GXDLJJ4AaABAg,5,3 years ago,"if you want to live a rural life, you need to eat the bitterness of farmers to do some life skills.",想要过得农村的生活也要会一些生活的技能吃得了农做的苦。
19962,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92CHAnDkdeZ,4,3 years ago,"@07diandian thank you for your reply. i praise your mother for her cooking skills. i like ms. li's video clips because i grew up in the countryside in south china. i understand her life is hard, yet she presents it so beautifully and artistically that she is entitled to this full glory from all over the world. ms. li's patience, skills and proximity to mother nature is a great model for us all.",@07diandian谢谢您的答复。我赞美你妈妈的烹饪技巧。我喜欢李女士的视频片段，因为我在中国南部的乡村长大。我了解她的生活很艰难，但她在艺术上如此精美，艺术上的呈现，以至于她有权获得来自世界各地的全部荣耀。李女士的耐心，技巧和与大自然母亲的距离是我们所有人的绝佳典范。
3895,Ugx_NcPcKBlYcyCeUtV4AaABAg.9Lo-UhkEMIm9M5rKedyUc2,4,2 years ago (edited),it’s took her lengthy of time to record one video. it’s not an easy process. she is welling to learn new skill for some of thing she doesn’t know before making this video. she also been thru lots of mosquitoes bites questioning if that the life she wanted?,她花了很长时间才录制一个视频。这不是一个容易的过程。在制作此视频之前，她很乐意学习一些她不知道的事情的新技能。她还经过很多蚊子咬人，询问她想要的生活吗？
3744,UgzxTV12bhXF8vqOm3F4AaABAg,4,2 years ago,"this is what you gotta watch when you’re feeling lazy about which drive through to go to for lunch, then, end up going to the supermarket and buying things to cook, then, feeling like you did something great by cooking, then, realizing you still really didn’t and how you have it so well off in comparison to what others do to make a meal, then, and finally then, you actually realize you’re not that well off since no matter how much easier it is to get things as quickly and easy as you do, this person here has so much more skills and rewards of feeling the feeling she must feel on a daily basis from always learning, doing and providing for her family, in this way. amazing!!! my goodness",这就是当您对哪个开车去吃午餐的懒惰时，您必须看着什么，然后，最终去超市买东西做饭，然后，感觉就像是通过烹饪做得很好，然后才意识到自己做得很好与其他人做饭相比，您仍然真的没有以及如何拥有它，然后，您实际上，您实际上意识到自己的状况并不顺利，因为无论多么容易，像您一样快速，轻松地获得事情，这里的这个人具有更多的技能和回报，感觉她每天都会以这种方式学习，做和为家人供养，她每天都必须感到自己。惊人的！！！我的天哪
4603,Ugwdn5xNe0g3HqSPzH94AaABAg,3,2 years ago,what a clever man. skillful fingers.,多么聪明的人。熟练的手指。
32229,UgxkvJniAslNG5sXQsB4AaABAg,3,3 years ago,"i admire her skills! ♥
but the snails are sorry ;-)","我欣赏她的技能！ ♥
但是蜗牛很抱歉;-)"
19236,UgwiAiSytG6Lt0iXR6l4AaABAg,2,3 years ago,i really enjoy watching her. she is so skilled and the video has a peaceful quality about it.,我真的很喜欢看她。她是如此熟练，视频具有和平品质。
6023,Ugz_EGAhpDoQTcyVPS14AaABAg,2,2 years ago,"wow, well, i have seen a few.of your videos, i am utterly stunned at your skill, and beauty. thank you very much for sharing with the world.",哇，好吧，我看过几个视频，我对您的技巧和美丽完全震惊。非常感谢您与世界分享。
12480,UgxHzBHmSViLYHxKkgt4AaABAg,2,3 years ago (edited),"she's is living the life i always wanted deep in my heart but never did. she's the woman i always wanted but i am not good enough for her. her skills impress me so much. i am jealous of her peaceful life, art and style. she must be a happy person. she deserve it.",她过着我一直想深入的生活，但从未过。她是我一直想要的女人，但我对她还不够好。她的技能给我留下了深刻的印象。我嫉妒她的和平的生活，艺术和风格。她一定是一个快乐的人。她应得的。
19873,UgwLVppGe_u_W9HKWp94AaABAg,2,3 years ago,"five thousand years of cultural precipitation, ordinary chinese girls are displayed in front of everyone with the most innocent image.
a trick on my hand, clean and uplifiers, skillful skills, the most authentic chai oil and salt.
with modern video interaction, it is widely announced, refueling.
take your heart and calm down china. this is beautiful everywhere.","五千年的的文化沉淀，普通的中国女孩以最纯真质朴的形象展现在大家面前。
手上的一招一式，干净麻利，技巧的娴熟，最原汁原味的柴米油盐。
有了现代视频交互方式得以广而宣之，加油
放下心，平静下来中国处处是这番美好。"
18596,Ugyv9X0e36LCvRjpM8p4AaABAg.92QYNbv7o-x92UlBWmq3lA,2,3 years ago,"@user-gh1nn5fb6k, you also play one, at least people will have the skills, do the strength to do it",@user-gh1nn5fb6k 你也演一个啊，最起码人家会各技能，有实力去做
14146,Ugx5LvmYvsAE8wYBhTh4AaABAg,2,3 years ago,"okay but, who filmed her? the content alone is relieving and the skills of the videographer is undeniably good to say the least",好吧，但是谁拍了她？仅内容的内容就可以缓解，并且摄影师的技能至少可以说是不可否认的
3330,Ugwg3-Aok2m6Dn3V3UR4AaABAg,2,1 year ago,in every video i learn so much things nd amazed by her skills awesome,在每个视频中，我都学到了很多东西，她的技能令人惊讶
26843,UgwPsqh0UqLzFY5BOH54AaABAg,2,3 years ago,"hello, i am an american, i am using a translation application. if it is a bit messy, i'm sorry. i really like your video, even if i can't understand it, they always calm me down. they let me calm down, and i emphasized from the school, so i watch your video now. you are a surprising chef, i like your embroidery skills! you are so talented, so maintain a good job!",你好，我是美国人，我正在使用翻译应用程序，如果它有点凌乱，那就很抱歉。我真的很喜欢你的视频，即使我不能理解它，它们总能让我冷静下来。他们让我冷静，并且我从学校强调，所以我现在看你的视频。你是一个令人惊讶的厨师，我喜欢你的刺绣技巧！你是如此有才华，所以保持良好的工作！
33106,Ugx8FE089Sxi_DFEwzV4AaABAg,2,3 years ago,"i really like your videos - the aesthetic, the rustic ambience, the culture, the cinematography, the music, the variety of knowledge and skills you display - everything is just perfection. you make countryside lifestyle romantic, calming, and dare i say much better than urban lifestyle. ❤",我真的很喜欢您的视频 - 美学，乡村氛围，文化，摄影，音乐，您展示的知识和技能的多样性 - 一切都是完美的。您使乡村的生活方式浪漫，镇定和敢于说，我说的要比城市生活方式好得多。 ❤
6887,Ugx-gw9hRnHA_fAvllJ4AaABAg,2,2 years ago,"i appreciate her cooking skills n work ethics. it's not an easy way for her, yet i see how it can be a blessing.",我感谢她的烹饪技巧和职业道德。这对她来说不是一个简单的方法，但是我看到这是一种祝福。
15312,Ugz_OHop8UiSQha9_ZB4AaABAg,2,3 years ago,she is just so amazing with her range of skills. i'd put rings on her fingers,她的技能系列真是太神奇了。我把戒指放在她的手指上
28406,UgyjHPuS0rV1N6E30bJ4AaABAg,1,3 years ago,"""we don't want chopped fermented fingers"" 

....okay, thank you for noticing how average your subscribers' cooking skill","“我们不想切碎发酵的手指”

....好吧，谢谢您注意到您的订户烹饪技巧的平均水平"
18225,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92e84xtj7jC,1,3 years ago,"not sure about gordon, but myself was going to roast on binging with babish, that man pathetically possess zero talent nor skills what so ever.",不确定戈登，但我本人会与巴比什（Babish）一起烘烤，那人可悲地拥有零人才或技能。
28018,UgwXJwA3K0z6uHNgdeF4AaABAg,1,3 years ago,the simplicity of the countryside .. natural cuisine .. skilled skills .. i am a taiwanese .. i am glad to see your video,乡村的朴实..天然的美食..纯熟的技巧..我是台湾人..很高兴看到你的视频
25608,UgyhXwMCkAt-Q2ApWvB4AaABAg,1,3 years ago,this woman knows how to make use of nature and her skills. id love to live with her for a week and eat her cooking using only fresh ingredients! it’s so different from the life in sf!,这个女人知道如何利用自然和她的技能。我喜欢和她一起生活一个星期，只使用新鲜食材吃饭！它与SF的生活如此不同！
26080,Ugz18w-c0HZv-OqtPEt4AaABAg,1,3 years ago,"is there not anything liziqi can't do?
she is absolutely amazing with everything she does.
i love her skills","Liziqi不能做任何事情吗？
她所做的一切绝对令人惊讶。
我爱她的技能"
14316,Ugw2x7Ov6AvWgfvgIq54AaABAg,1,3 years ago,"you should be content with your life and not envy others. it requires skill, experience and a wealth of education to do what she does. she is also rich in wealth but doesn't flaunt it.",您应该对自己的生活感到满意，而不是羡慕别人。它需要技巧，经验和丰富的教育才能做她所做的事情。她也拥有丰富的财富，但没有炫耀它。
23761,UgyHNtND2dUgQ1TIHIJ4AaABAg,1,3 years ago,thankyou for this amazing video of your knowledge and skills,谢谢您的知识和技能的惊人视频
25992,UgxfmBrhnJ6Hp8XGbTt4AaABAg,1,3 years ago,"ii'm sorry i can't speak english. 
material 
of the video 
much 
with skills 
much 
with food 
much 
with charm 
the place 
beautiful 
life 
that is happy 
like heaven on earth.","我很抱歉，我不会说英语。
材料
视频
很多
有技能
很多
带着食物
很多
有魅力
这个地方
美丽的
生活
那很高兴
像地球上的天堂。"
14337,UgweI4lENirYu5USYYJ4AaABAg.94G4Lji73LH94k6MovH9pg,1,3 years ago,"even with someone helping, the camera work is great! i could have people helping me film stuff and i am 100% sure it wouldn't look this good. having help doesn't undermine the skill she has.",即使有帮助的人，相机的工作也很棒！我可以让人们帮助我拍摄东西，我100％确定它看起来不会很好。得到帮助不会破坏她的技能。
26315,Ugx_deUca36dtzLftBB4AaABAg,1,3 years ago,"not only beautiful, also good skills. wish you good health always",不仅美丽，也是好的技能。祝你永远健康
27240,Ugy6yNs0jW8tDmToHfl4AaABAg,1,3 years ago,"hi, so skillful",嗨，这么熟练
24438,UgyI8NoCPH0vb1MxbkJ4AaABAg,1,3 years ago,"wow amazing cooking skills beautifull scenery
mouth water recipesthanks for shareing","哇惊人的烹饪技巧美丽的风景
口水食谱共享"
16916,UgyeHWrQefbDLW0rs-N4AaABAg.92q3xBmk4Wo92vsrgRJJu5,1,3 years ago,good camera +good skills= best scenary,良好的相机 +好技能=最佳场景
22053,UgxYt_jpGJvEKAUOAn94AaABAg,1,3 years ago,what a beautiful and skillful girl! she is just lovely!,多么美丽而熟练的女孩！她只是可爱！
18571,UgwOUb_hho4h6RuU8Xl4AaABAg,1,3 years ago,"i just got to know her today. i watched a few today. she is so amazing. at first, i have so many questions i cannot believe she can shot a movie like this all by herself!!! it is better than anything i watched before, even from many well funded organizations and commercials. but later i got to hear her story from another sources, i am so admire her! her parents divorced and she lived with her daddy, but her daddy passed away when she was five. she then was raised by her grandparents in countryside. at 14, she had to leave for city to make a living. learned many skills and chose back home to take care of her only grandma. shot the movie by herself alone, very difficult but first few nobody noticed her until one. now she hired camera man shot for her... i have to say her food must be better than any michelin’s restaurant. she is the best chef, artist, farmers, movie director!!",我今天只认识她。我今天看了几个。她真是太神奇了。起初，我有很多问题，我不敢相信她可以自己拍摄这样的电影！！！它比我以前看过的任何东西都要好，甚至来自许多资金丰富的组织和广告。但是后来我听到了她的故事，我很佩服她！她的父母离婚了，她和爸爸住在一起，但爸爸五岁时就去世了。然后，她由祖父母在农村长大。 14岁时，她不得不离开曼城谋生。学习了许多技能，然后选择回到家来照顾她唯一的祖母。独自拍摄电影，非常困难，但前几个人直到一部都没有注意到她。现在，她雇用了摄影师为她开枪...我不得不说她的食物一定比任何米其林的餐厅都要好。她是最好的厨师，艺术家，农民，电影导演！
13078,UgyD4lWhvXUWNA0pJTR4AaABAg,1,3 years ago,"i like her.. multi talenta.. cooking, planting, harvesting, all of life skill she has",我喜欢她..多才华..烹饪，种植，收获，她拥有的所有生活技能
22583,UgwOmhNcXJUluURnR6B4AaABAg.9--5CrdeP009-BRhULN5JA,1,3 years ago,"@kateydid18 she can be whatever she want,she is li ziqi...for me she is amazing ...even if she is bi,gay,or straight she could have the possibility to be mother in the way she want to be by natural way,or adoption ...we have so much love and admiration for her that we dont want her amazing skills to be forgotten or stop with her...just that...we just want more from her...
she is free and wise...and we need to respect who she is,and her choices... no matter what...
(sorry about my bad english :) )","@kateydid18她可以成为自己想要的一切，她是李齐（Li Ziqi）...对我来说，她很棒...即使她是双性恋，同性恋或直率，她也可以像她想成为母亲一样成为母亲自然的方式或收养...我们对她充满爱心和钦佩，我们不希望她的惊人技能被遗忘或与她停下来...只是……我们只希望从她那里得到更多...
她是自由和明智的...我们需要尊重她是谁，以及她的选择...无论如何...
（对不起，我的英语不好:)）"
1222,Ugz8g3ZmlnNEGEGjL4F4AaABAg,1,1 year ago,ziyi is very skillful to make food and snack recommendations! it's so beautiful!,子柒很熟练地做美食小吃推荐！真好看喔！
34007,UgxN4xMoPhDEzraXLX94AaABAg,1,3 years ago,"receiving a notification coming from her channel makes me happy. finishing a new video with her never-ending skills just made my day so good!!! kudos to you, girl!",收到她的频道的通知使我感到高兴。用她的永无止境的技能完成了新视频，这使我的一天变得如此美好！！！对你的敬意，女孩！
6548,UgyosQGy4MvnlxDE-f94AaABAg,1,2 years ago,"there's nothing to do it in advance in the refrigerator.
how fresh is this! i admire and admire her skills","在冰箱中没有事先进行。
这有多新鲜！我欣赏并欣赏她的技能"
20944,UgxNXMZVlxdIoqG38mp4AaABAg,1,3 years ago,"your beauty, skills and wisdom surprise me. you, family and friends' health.",你的美丽，技巧和智慧令我惊讶。您，家人和朋友的健康。
32662,UgzOlEDNG7x4nitvzb14AaABAg,1,3 years ago,"aside from the skill and beauty that ziqi possess, i really admire her hardwork and the love she has for her grandma. we all say that she's like a princess because of her beauty and the way she connects with nature and her hardworking attitude but really, what makes her the most princess like is the love that she has for her family. and with that, she must be protected at all cost ♡",除了Ziqi拥有的技巧和美丽之外，我还非常佩服她的辛勤工作和对祖母的爱。我们都说她就像一位公主，因为她的美丽以及她与自然和勤奋的态度的联系方式，但实际上，让她最主要的公主是她对家人的爱。因此，她必须不惜一切代价保护她
20034,UgwiMcIzBnJ1xRFEe3h4AaABAg,1,3 years ago,"take a min and showing respect to the camera man it's was peaks and editor with nature's pleasent music 's beautiful 
and her skills awesome 
literally i don't know what is she cooking but i love it it's finnaly superb","花一分钟，表现出对摄影师的尊重，这是高峰和编辑，大自然的音乐愉快的音乐
她的技能很棒
从字面上看，我不知道她在做什么，但我喜欢它，这是芬纳利的精湛"
18376,UgxPmXnMxuX18jpVmx14AaABAg.92VvW1qBVWT92bB-K2-sgd,1,3 years ago,"zhao huizi grew up with grandparents. grandpa is a chef, and zi ran's cooking skills should be learned from grandpa.",赵辉子柒跟爷爷奶奶长大，爷爷是厨师，子染的厨艺应该是跟爷爷学的。
5204,UgxINGUG7O4gWaNwxLt4AaABAg,1,2 years ago,hi im from philippines...i really admire ur cooking skills and i love watching ur videos.,嗨，我来自菲律宾...我真的很佩服您的烹饪技巧，我喜欢看您的视频。
2449,Ugw--mxBcmRAYDhoo194AaABAg.9TzN1Niu9gl9eKddmwFLXy,1,10 months ago,"​ @aratayuki6238 she was attacked by words seriously, people said she is just a lier and pretends to be skilled at everything, and her colleagues betrayed her together, she is in the mess of lawsuits now.",@aratayuki6238她严重攻击了她，人们说她只是一个谎言，假装熟练的一切都熟练，她的同事们把她背叛了，现在她陷入了诉讼。
5460,Ugwr9DNMjh4Gs9IWJYN4AaABAg,1,2 years ago,wish you have a great day btw i'm new ahhahaha but i like your skills of cooking and harvesting so goodluck on yt,祝您有美好的一天顺便说一句，我是新的Ahhahaha，但我喜欢您在yt上做饭和收获的技巧
12906,UgzaapkizcGb3br3HlF4AaABAg,1,3 years ago,"oh, this looks good, you're very lucky, and a master at what you do, it takes a lot of knowledge and skill, and it turns out really appetising, right, very lucky spot there.",哦，这看起来不错，您很幸运，并且是您所做的事情的主人，这需要很多知识和技巧，事实证明，那里的开胃菜，对，非常幸运。
4110,UgzeoKWTDldQXMLQymt4AaABAg,1,2 years ago,"extraordinary skills.
he is very professional. he is the master chef topnotch.","非凡的技能。
他很专业。他是厨师大师。"
22815,UgxJkuFvQ6eCrz_byB94AaABAg,0,3 years ago,"i come for the amazing skills, but stay to see the super cute grandma",我来争取出色的技能，但请留下来看看超级可爱的奶奶
3279,UgyBMWMQiSG34rzeb_l4AaABAg,0,1 year ago,pretty and skillful,漂亮而熟练
22911,UgzOLLMD6QgWJaHNL8p4AaABAg,0,3 years ago,"kitchen skills are better than ""wildfood brother"", i guess more to learn old grandma",厨艺比“野食小哥”好，估计学老奶奶的多
23349,UgyoIOY4_1AqwkuQVIR4AaABAg,0,3 years ago,what a skill to have! just walk about in your nearby surrounds and know what's edible. i'm sure she probably has certain areas she travels to but still!!,多么的技巧！只需在您附近的周围走来走去，知道什么是可食用的。我敢肯定，她可能有某些旅行的区域，但仍然！
23417,UgyKbo53ewRALP7p2up4AaABAg,0,3 years ago,"i'd like to know what monsters disliked this?
was it some sort of idiot vegan greenies that felt sad for a water snail or something?
seriously, thiese vids are nothing short of magical, and those that live like this are destined to have long and healthy lives.
grandma is probably 110 or something insane. she must feel like the luckiest woman on the planet to have someone so skilled looking after her.
such an idyllic lifestyle!
i love this videos more than you'd believe!
i'm gonna be so sad the day that the vid just shows the young girl.....know what i mean?","我想知道什么怪物不喜欢这个？
是某种白痴纯素食绿色的蜗牛或其他东西感到难过吗？
认真地说，Thiese Vids无非是神奇的，那些像这样生活的人注定要有长期健康的生活。
奶奶大概是110岁，也可能是疯狂的。她必须觉得自己是地球上最幸运的女人，才能让某人如此熟练地照顾她。
这样的田园诗般的生活方式！
我比您相信的更喜欢这段视频！
我会很难过的那一天，以至于vid只是向年轻女孩展示.....知道我的意思吗？"
22294,UgzJqovmjjjVbOXAzOV4AaABAg,0,3 years ago,she got like 1000 skills,她有1000个技能
24778,UgymSLCIUacMNeqKY3Z4AaABAg,0,3 years ago,this skill of making foods are amazing...,这种制作食物的技能令人惊讶...
22137,UgxBp8hFwJeaMwbMFfd4AaABAg,0,3 years ago,beautiful+ skill,美丽+技能
