,cid,votes,time,含festival,含festival中文翻译
29237,UgxcycgGm6xZj9t-Pqt4AaABAg.8xyPsO771ym8yjb-PMBNzH,3,3 years ago,"@echocui3177 that comment above by yakouta hayder, left me scratching my head. wikipedia says she's chinese and she uses chinese traditional methods - ""li ziqi is a chinese food blogger and internet celebrity. she is known for creating food and handicraft preparation videos in her hometown of rural mianyang, sichuan, often from basic ingredients and tools using traditional chinese techniques."" - her caption even says chinese festival too. ๐คท๐ฝโ€โ€๏ธ๐คฆ๐ฝโ€โ€๏ธ",@echocui3177上面的评论Yakouta Hayder，让我挠头。 Wikipedia说她是中国人，她使用了中国传统方法 - “李齐（Li Ziqi中国技术。” - 她的标题甚至也说中国节。
34171,Ugyneks5uAWtWPcM1eh4AaABAg,3,4 years ago,"i enjoy watching you accomplish so much then share with your family. especially with your grandparents. the joy in their faces. i also like seeing how differently you do things like the popcorn. we don't have spring festivals here so its great to see it celebrated else where. you're going to have to do another video explaining why you put all that delicious food in boxes? are they stored for later? or are the boxes gifts or donations or maybe offerings?
keep the videos coming . we enjoy them. thank you for sharing with us","我喜欢看着你完成这么多，然后与家人分享。特别是与祖父母在一起。他们脸上的喜悦。我也喜欢看到您做爆米花之类的事情的不同。我们在这里没有春节，所以很高兴看到它在其他地方庆祝。您将不得不做另一个视频，解释为什么您将所有这些美味的食物都放在盒子里？他们存储以后吗？还是盒子的礼物，捐赠或可能的产品？
保持视频的到来。我们喜欢他们。多谢与我们分享"
20515,UgywBQKFq7-Ev_gdsPF4AaABAg,3,3 years ago,"don't always have a childhood. she doesn't have to live tragic, she is very good now. the 2020 spring festival li ziyi has not been updated in the new year. someone may be wondering because li ziyi has been busy buying medical supplies to support the prevention of epidemic prevention in major hospitals in china. mask, protective clothing, goggles, she has been donating a lot. i believe many domestic netizens know. which english friend, translated to foreigners, let them know that li ziyi is really exporting china's positive energy. ziyi is a fairy! intersection intersection intersection intersection",不要总提子柒的童年了。她不必靠卖惨活着，她现在好得很。2020春节李子柒新年并没更新，可能会有人纳闷，是因为李子柒一直在忙着购买医疗物资支援中国各大医院防疫工作。口罩，防护服，护目镜，她一直在捐，捐了很多了。相信很多国内网友都知道了。哪个英文好的朋友，翻译给外国人看看，让他们知道李子柒是真正的在输出中国的正能量。子柒是仙女！！！！！
17480,UgwjwUJ64AMEJt0Mruh4AaABAg.97qWS9tSYQa981ZzaJk01F,3,3 years ago,@bettyreagan8987 i am not talking about virus i am saying about animals cruelty in your country your festivals where you people take a dog as pet feed him for 2 months then burn him alive during festive day just tell me if i am wrong even you people don't raise your voices against those cruelty on animals you people enjoy it.,@bettyreagan8987我不是在谈论病毒，我说的是在你所在的国家中，你们的节日里你会带狗当狗喂他两个月，然后在节日的日子里活着烧死他，只是告诉我，如果我错了对人们喜欢的动物的残酷行为提高了您的声音。
17484,UgwjwUJ64AMEJt0Mruh4AaABAg.97qWS9tSYQa982E6GJaXu6,2,3 years ago,"@bettyreagan8987 well, what about soi dog foundation? they save a lot of dogs and cats in the yunlin festivals.",@bettyreagan8987好吧，Soi Dog Foundation呢？他们在Yunlin节日节省了很多狗和猫。
22702,UgwS9MEDCI6TXva7w6R4AaABAg.92ne56UVDc492wAWePxpdn,2,3 years ago,"because it's chinese spring festival.during that time, people will prepare many snacks and food to celebrate the spring festival. it calls โ€ๅนด่ดง๏ผnian huo๏ผโ€.you can learn about this custom from the wikipedia. https://en.wikipedia.org/wiki/chinese_new_year",因为这是中国春节。在那个时候，人们会准备许多小吃和食物来庆祝春节。它称为“ nian Huo）。您可以从Wikipedia了解此习惯。 https://en.wikipedia.org/wiki/chinese_new_year
15654,Ugx-g9oMvzL6uXHI0TV4AaABAg,2,3 years ago,"the popcorn was seen at the grandma's house when she was a child, and the snow rice grains next to them were too greedy! as soon as the new year's goods are ready, the festival atmosphere begins",那个爆米花的机子小时候在奶奶家见过，还有旁边的雪米粒太馋了！年货一备齐，节日氛围就开始啦
45870,UgygI5JDA9cUsMR_Z_h4AaABAg,2,4 years ago,happy spring festival!,春节快乐！
7780,UgwVtyQ2Ve-4Y4ozn6h4AaABAg,2,2 years ago,"chinese ny is coming
revisit this video again and again
it's the spring festival that is not at home for a year
i miss the various annual goods when i was young, i can only come here to solve it.","Chinese NY is coming
revisit this video again and again
又是一年不在家的春节
怀念小时候买各种年货 只能来这里解馋了"
27530,UgzsCsAWETg8xWz7itF4AaABAg.8zImuLP4ngU8zKI5U1ul9P,1,3 years ago,"this video was produced at jan.31( before chinese spring festival). those snacks will be treated during festival while neighbor, relative,friends visiting (chinese tradition).",该视频是在1月31日（中国春节之前）制作的。这些小吃将在节日期间对待，而邻居，亲戚，朋友来访（中国传统）。
31400,UgyzByvermtzfYbewBl4AaABAg,1,4 years ago (edited),"does anybody know if she sells the food, or she has a store or something iโ€m just wondering since she packed everything up

edit: itโ€s for the festival just found out","有人知道她是出售食物还是有商店或我只是想知道的东西，因为她收拾好了

编辑：是为节日发现的"
47294,UgwbILs4Ylhr6BvaY1d4AaABAg.8qp9d0li3B98qpnngs-2UN,1,4 years ago,"kerem öztürk i guess those are gifts for neighbors and relatives. it's our tradition to send gifts to our relatives and neighbors during our spring festival , and she might keep some for her grandma and herself as snacks",Keremöztürk我想那是给邻居和亲戚的礼物。在我们的春节期间，向我们的亲戚和邻居发送礼物是我们的传统，她可能会为奶奶和她自己保留一些小吃
35797,UgxUfVXdt_fiu0NPCbR4AaABAg,1,4 years ago,you really are amazing! i wish we had such festivals where iโ€m from,你真的很棒！我希望我们有这样的节日
42569,Ugxg1yr_mB9FkEVO4154AaABAg,1,4 years ago,"dear ms. anastacia fang, i wrote all the spring festival foods down i love different cultures . here in the states we do have some of the ingredients.. love when ms li ziqi jump when the popcorn got done. take me back when i was young and my mom made me popcorn... thank you, great video email me paulblevins1989@yahoo.com",亲爱的Anastacia Fang女士，我写了所有春节食品，我喜欢不同的文化。在美国这里，我们确实有一些成分。.当爆米花完成后，李Ziqi女士跳跃时，爱。我年轻的时候带我回来，妈妈让我爆米花...谢谢你，很棒的视频给我发电子邮件paulblevins1989@yahoo.com
3932,UgxNtd3guunonbyEfuh4AaABAg,1,1 year ago,"o drat, i know nothing about the chinese spring festival but there are quite a lot of items mis named here sunflower seeds as pumpkin ? and all the foods harvested belong to autumn so i suspect the lable is wrong. nice to see toffee apples of both small and large varieties [ definately not hawthorn i do know my plants ] and chestnuts harvested and roasted all very similar to an old fashioned celtic samhain before the americans comercialised it but without the soul cakes. nice video amusing translation",哦，我对中国春节一无所知，但是这里有很多命名为葵花籽的物品吗？所有收获的食物都属于秋天，所以我怀疑lable是错误的。很高兴看到大小品种的太妃糖苹果（肯定不是山楂我知道我的植物），栗子在美国人的合作之前就收获和烤了所有与老式的凯尔特人萨默（Calking），但没有灵魂蛋糕。不错的视频有趣的翻译
42088,UgzHwH53ve_D6Tly_Nh4AaABAg.8rmDL9sXIBN8ro-zxDlfIG,1,4 years ago,t pick only 0.00001%chinese eat dogs on a festival.i wonder you're intended to say this or you really think about that most chinese eat dogs.its only show us your 无知,T在节日中只选择0.00001％的中国吃狗。我想知道这是这样说的，或者您真的想到大多数中国吃狗。它只会向我们展示您的无知
14116,UgwmiwWx1uw_Mxmer2J4AaABAg.9B29OxLKiPX9B84f8pITvb,1,2 years ago,i think the packaging is for longer preservation. chinese spring festival lasts about half a month every year. relatives and friends visit each other. so these snacks are the treats for family and guests.,我认为包装是为了更长的保存。中国春节每年持续大约半个月。亲戚和朋友互相拜访。因此，这些小吃是家庭和客人的零食。
51088,UgyUou8ACOg2bInm7654AaABAg.8ql_WCI7-je8qlsuclc6iN,1,4 years ago,"no, she reserves them for the spring festival, at that time there will be relatives or friends who visit there",不，她保留他们参加春节，当时将有亲戚或朋友访问那里
51722,UgxYasu9FDqzWgUHqsl4AaABAg.8qlSxysCabu8qlhQN70Jrq,1,4 years ago (edited),"@dexter morgan if you trust wikipedia over actual history books then you've got a big storm coming. also you were spreading shit, if you can't take it then don't start it. when it comes to history, you can't argue over what is well-established as ""true"" or not because then you get pseudohistory that is distorted to fit your own agenda. the facts are as follows; rice was not domesticated by the baiyue people but a prehistoric group, the ancient chinese did not eat corn because corn is from mexico and was introduced to china by europeans, the yijing was first written in the zhou dynasty when vietnam did not even exist and china was confined to the north, chinese new year is an indigenous celebration among the han chinese that also originated during the zhou dynasty as a harvest festival.",@dexter Morgan如果您相信Wikipedia对实际历史书籍，那么您将会有一大风暴。另外，您正在散布狗屎，如果您不能接受它，那就不要启动它。当涉及历史时，您不能就“真实”的良好成就的争论，或者不是因为那样，您会得到伪造的伪造，这些历史被扭曲以适合您自己的议程。事实如下；米饭不是被拜牛人驯化的，而是一个史前群体，而古代中国人没有吃玉米，因为玉米来自墨西哥，欧洲人被欧洲人介绍给中国，Yijing首次在周王朝中写成，甚至不存在越南，中国也是如此。农历新年被局限于北部，是汉族中国人中的土著庆祝活动，该庆祝活动也起源于周王朝作为收获节。
13889,UgwTmNK91novuu6NeYp4AaABAg,1,2 years ago,"among all her videos, i love the spring festival ones the most. you can practically feel the festivities and the happiness.",在她的所有视频中，我最喜欢春节。您几乎可以感受到庆祝活动和幸福。
19842,UgzznAYIdSpFsew0Bt14AaABAg,1,3 years ago,"i miss last year spring festival, 2020 sucks",我想念去年春季节，2020年很烂
50006,UgxqcbhlWWnGjDxJbWN4AaABAg.8qlrI3447IP8qmHjs3cZDL,1,4 years ago,"yes! taiwan's name is dougou, after the lunar calendar from october to the new year (wendan produced in the mid -autumn festival, honey pomelo is produced in august to october of the lunar calendar due to regional relations), what is dougou? it's right.",有!台湾名叫斗柚专产于农历十月以后至过年(文旦产于中秋、蜜柚因地域关系有产于农历八月~十月的)，斗柚在大陆叫啥?得问大陆农民了。
19505,UgwJV_vfrpKEnbQP4D14AaABAg,1,3 years ago,now i feel like seeing the actual spring festival.... so lovely,现在我想看到真正的春节。
51726,UgxYasu9FDqzWgUHqsl4AaABAg.8qlSxysCabu8r3133BmdLV,1,4 years ago,dexter morgan that’s our festival which you are celebrating too,德克斯特·摩根（Dexter Morgan）也是您正在庆祝的节日
51712,UgxYasu9FDqzWgUHqsl4AaABAg.8qlSxysCabu8qldX9LcOAC,1,4 years ago (edited),"should call it lunar newyear, because early 1949 you can't call it chinese new year. but this festival existed more than 1000 years ago. like thank giving day of american, we call it thank giving day not ""american holiday"", it express respection and knowledge about culture.",应该称其为Lunar Newear，因为1949年初，您不能称其为农历新年。但是这个节日成立了1000年前。就像感谢美国人的日子一样，我们称其为感谢，而不是“美国假期”，它表达了对文化的敬意和知识。
17149,UgzPpNULJ3ZtgYT1XAF4AaABAg,1,3 years ago (edited),"the puppies and the lamb love li ziqi as if she were their mom...maybe adopted mom...i would follow her around if i could, chestnuts roasting on a kitty fire....:) wow, so many healthy snacks..amazing princess! god bless you and your grandmom...from texas ...usa.ni shi hen hao...:) in 14 years in china, i never trust those popping machines...dangerous...for ears...best spring festival food in the world...done by li ziqi....so great!",小狗和羔羊爱李齐qi好像她是他们的妈妈...也许是收养的妈妈...如果可以的话，我会跟着她，栗子在小猫的火上烤... :)哇，哇，很多健康的零食..杰出的公主！上帝保佑你和你的祖母...来自德克萨斯州...美国。世界上春节的食物...由李Ziqi完成。。。太棒了！
18015,UgzwmdA8rM5MCPHeZkF4AaABAg,1,3 years ago,"honestly,spring festival at my house isn't half of her =(((
how about you ???","老实说，我家的春节不是她的一半=（（（（（（（
你呢 ？？？"
52179,UgzyOpzvmxNkG0kBXYl4AaABAg,0,4 years ago,festival food ❤,节日食品❤
45725,UgwHBbQ5YFxm_k49D-h4AaABAg,0,4 years ago,great video..happy spring festival,很棒的视频..快乐的春节
48566,UgyAclCvzUmN-Vha0hR4AaABAg.8qmnUsiHyZm8r1_n1YFaoG,0,4 years ago,@estefania.25 which beautiful combination. \ m/> _ <\ m/ i go to china on friday to see the festivals until feb 19. i would hinder me to go to japan.,@estefania.25哪个美丽的组合。 \ m/> _ <\ m/ i星期五去中国观看节日，直到2月19日。我会阻碍我去日本。
43998,UgzY-48f0wABiT8vLVN4AaABAg,0,4 years ago,"did anyone else notice that the oven is shaped like a dog? lastly, is anyone else making anything for the festival? i kinda feel like she got stuck making everything.",还有其他人注意到烤箱的形状像狗吗？最后，还有其他人为音乐节做什么吗？我有点觉得她被困在做一切。
43354,Ugxu4EduLR1Bf2SMiqJ4AaABAg,0,4 years ago,"preparation for the festival?
are you a confectionery store with your family?
tell me someone !!!","为节日做准备？
您是与家人的糖果店吗？
告诉我一个人！"
42938,UgxMzJwFbCv1pBka80F4AaABAg,0,4 years ago,i am not sure how i came across this. but what delightful video...we want to come to the festival.,我不确定我是怎么遇到的。但是多么令人愉快的视频...我们想参加音乐节。
42577,Ugx7YBaPo4gM1pfrEnx4AaABAg,0,4 years ago,"please tell me which part of china are u,i was in guizhou last time but i never had the chance to feel spring festival ...as i arrive on march ,n got home on september",请告诉我您上次是中国的哪一部分
52851,Ugym8moMvrvBzfPJw7N4AaABAg.8qlJnikVePi8qlOS3Dt5yq,0,4 years ago,there are apple candy in japan. it is a classic at the festival stalls.,日本有苹果糖果。这是节日摊位的经典。
42180,UgwCEGTdFr83IH0c0X54AaABAg,0,4 years ago,what a beautiful video with happy background music ! can we have a short video from chinese spring festival !!! what a fantastic place ! :),带有快乐的背景音乐的美丽视频！我们可以在中国春节有一个简短的视频！！！真是一个很棒的地方！ :)
52197,Ugzblp5G7BA0CSeuvah4AaABAg,0,4 years ago,for what festivals?,对于什么节日？
50482,Ugw7XxvkR1-IkVw7Y914AaABAg,0,4 years ago,can i go to your house as a guest in the spring festival?,春节可以到你家作客吗？
50672,UgyDy--wfIeHm6nxrbp4AaABAg,0,4 years ago,what a rich new year! happy spring festival!,好丰盛的年货! 春节快乐！
49652,Ugw7W7Ypu6-3BLhoefZ4AaABAg,0,4 years ago,happy spring festival!,春节快乐哟！
46298,Ugy_AEpyu_DA8-qbDSt4AaABAg.8qvQnN5fnX78qxo-3a9LJc,0,4 years ago,"@user-sp4dc9rn1q to school, there is no spring festival holiday in foreign countries",@user-sp4dc9rn1q 上学啊，外国没有春节假
46300,Ugy_AEpyu_DA8-qbDSt4AaABAg.8qvQnN5fnX78r2rIm6ENr1,0,4 years ago,passing by the spring festival for 9 years. essence,9年没回家过春节的路过。。
46681,UgzS0esDHTrayiArjDN4AaABAg,0,4 years ago,happy spring festival!,春节快乐！
46919,UgyrIbHhKvBVvXqxwPd4AaABAg,0,4 years ago,that's a real spring festival !,那是一个真正的春节！
47140,UgyrvlalDPM_a4WRiSV4AaABAg,0,4 years ago,classmates ~ happy spring festival,各位同胞们~春节快乐
47275,UgwC27jNdsc7CN4a8et4AaABAg,0,4 years ago,"ziyi, i wish you a happy spring festival in advance",子柒，提前祝春节快乐
50161,UgzDJ602AR3TZXK6CZx4AaABAg,0,4 years ago,happy spring festival 乐,春节快乐
49879,UgzPTXp5br60-kmFC1h4AaABAg,0,4 years ago (edited),"your mother -in -law's puppy is cute. hehe ~~.

happy new year to you! congratulations on getting rich!
받으세요 받으세요 많이 그리고. (그리고) 부자 되세요.

the spring festival is very happy!","你婆婆的小狗很可爱啊。呵呵~~。

祝你新年快乐! 恭喜发财!
새해 복 많이 받으세요. (그리고) 부자되세요.

春节过得很愉快!"
49745,UgxLJ2BqIVCdZLLyrQh4AaABAg,0,4 years ago,"full -year
fruit basket cabinets can add the spring festival couplet visual year flavor to the upper level","年味十足
水果篮 柜子可以加贴春联 视觉年味更上层"
42090,UgzHwH53ve_D6Tly_Nh4AaABAg.8rmDL9sXIBN8rv-GYFL6zM,0,4 years ago,"@islandfolk2283 it is what the chinese press says! you can see the information (and pictures) from chinese reporters and news sources, here & all over the internet: 
https://www.dw.com/en/chinas-dog-meat-festival-its-a-man-eat-dog-world/g-18535808
as many as 10 million dogs are believed to be killed for their meat annually in china, with up to 10,000 killed for the yulin festival, according to the washington-based humane society. while much of the meat comes through legitimate farms, many dog slaughterhouses are run privately and secretively to avoid scrutiny by food-safety inspectors. 
all you have to do is google ""chinese eat dog"" and read and see a myriad of videos and articles like this one from their south china morning post: https://www.scmp.com/news/hong-kong/community/article/2113704/eating-dog-meat-china-might-only-be-annual-affair-why-does . so sad...... they say that many urban people are no longer eating dog meat daily (mostly a rural mindset now) still the fact that they (as a country) still celebrate eating dogs at that terrible yulin dog meat festival that they beat them and torture them before killing them (they say the adrenaline released during the torture improves the taste of the dog meat) is disturbing to people that love dogs as part of their families.","@Islandfolk2283这就是中国媒体所说的！您可以在此处及其互联网上查看中国记者和新闻来源的信息（和图片）：
https://www.dw.com/en/chinas-dog-meat-festival-is-a-man-eat-dog-world/g-18535808
据总部位于华盛顿的人道协会称，据信每年在中国每年有多达1000万只狗因其肉而杀死10,000只狗。尽管大部分肉来自合法的农场，但许多狗的屠宰场都是私下和秘密地运行的，以避免受到食品安全检查员的审查。
您所要做的就是Google“中国吃狗”，然后阅读并在中国南方早晨观看无数的视频和文章：https：//www.scmp.com/news/news/hong-kong/community/文章/2113704/饮食狗 - 少女 - 少年时代的恋人。很难过……他们说，许多城市人不再每天都在吃狗肉（现在主要是乡村心态）仍然是，他们（作为一个国家）仍然在那个可怕的Yulin狗肉节上庆祝吃狗他们在杀死他们之前殴打他们并折磨他们（他们说在酷刑期间释放的肾上腺素可以改善狗肉的味道），这让爱狗作为家庭的一部分感到不安。"
48267,UgyPM1_C300Oo2AynGd4AaABAg,0,4 years ago,all traditional snacks for the new year (chinese spring festival)!,新年的所有传统小吃（中国春节）！
31578,Ugx41syrnHPrrtsFiKp4AaABAg,0,4 years ago,"this is my third vid of hers, they're so cool. but what i'm trying to figure out is that the melon seeds looked like sunflower seeds especially when she was removing them. also if it's the spring festival, how were there fruits on the trees? ๐คทโ€โ€๏ธ",这是我的第三个视频，它们是如此酷。但是我想弄清楚的是，瓜子看起来像葵花籽，尤其是当她去除它们时。另外，如果是春节，树上的水果如何？
40718,UgxVO0kLpeX6fYiQORl4AaABAg,0,4 years ago,the puppies and a sheep were so cute. she prepared a lot for the festival.,小狗和绵羊是如此可爱。她为节日做了很多准备。
15783,UgwQfv40fMSdoBdGu1V4AaABAg.99ElDe0h6D-99Hwu-7wzjy,0,3 years ago,the title says “snacks for spring festival”.,标题显示“春季小吃”。
21404,UgzGnkwxiM3U9RWyKt14AaABAg,0,3 years ago,reminds me of village life with my oma&opa in the blackvforest germany who were a whole generation behind their time. they used to make everything themselves. i remember the joy of cooking and baking together for family festivals of 40 people up until a few years ago. now they've passed away and we do much less for our family clan gatherings.,让我想起了我在黑弗斯特德国的Oma＆Opa的乡村生活，他们是当时的一代人。他们曾经自己做一切。我记得直到几年前，烹饪和烘焙的乐趣。现在他们已经去世了，我们为我们的家庭氏族聚会所做的少得多。
20983,Ugy2qqnrC8FJpd-Otmp4AaABAg,0,3 years ago,"after two days to the spring festival, will you still have a video about the new year?",过两天又到春节了，还会有关于新年的视频吗
19689,Ugyd7D4JXnkPLgHHwVN4AaABAg,0,3 years ago,"love chinese festival, great food !",热爱中国节，美味的食物！
19534,UgyoqOcRfTtFEt4gOzx4AaABAg.95gC8_tpiSL95gfPCq7-Ln,0,3 years ago,it's just for welcoming spring festival. a traditional chinese festival. of course. she has products in taobao. you can search liziqi if you want to eat her food,这只是为了欢迎春季。传统的中国节。当然。她在淘宝网上有产品。如果您想吃她的食物，可以搜索Liziqi
18625,Ugxze6XMJwhoInHAeEN4AaABAg.96f96-feJyt96fY1XEUBQs,0,3 years ago,it's for a festival. maybe she's selling it or giving it to guests,这是为了一个节日。也许她在卖或给客人
16851,UgwsbQn7_kLT5Klai_V4AaABAg,0,3 years ago,i love your festival.,我爱你的节日。
16702,UgysmGQq_rTJoOVqqxZ4AaABAg,0,3 years ago,"my grandfather has lived like this for over 70 years. i am grateful that my parents have longed for the city and have not forgotten to educate me to cultivate life. before i came to germany, we went through such a spring festival every year, as well as chopping wood and playing fish, many of which are now impossible to experience. although there are program effects, every picture in the video is like a memory, even more beautiful in the memory.",我的祖父生活了70多年。我很感激我的父母渴望这座城市，并没有忘记教育我培养生活。在我来德国之前，我们每年都会参加这样的春节，并切碎木头和玩鱼，其中许多现在是不可能体验的。尽管存在程序效果，但视频中的每张图片都像记忆，甚至在内存中更加美丽。
14892,Ugw3iUjau9lUA75q3oV4AaABAg.9AAESXkJOaw9AKEM6clHzj,0,2 years ago (edited),"i suggest u could spend a little time to understanding the custom of spring festival in china,and u maybe resolve this question on u own.",我建议您可以花一些时间来了解中国春节的习俗，您也许可以自己解决这个问题。
38781,UgyqetjNz15ozjfu-zt4AaABAg.8tDsyxaZXV58tG9wOjP916,0,4 years ago,"go on taobao, search for li ziyi, but only su zhan sauce, beef sauce, ginseng honey, herbal tea, drunk crab or something, she should not be sold on taobao. this is when she made her spring festival. food.",上淘宝啊，搜索李子柒，不过只有苏造酱，牛肉酱，人参蜜，草本茶，醉蟹什么的，这个视频里的零食她应该没在淘宝上卖，这是她做了自己春节的时候吃的。
14113,UgwmiwWx1uw_Mxmer2J4AaABAg.9B29OxLKiPX9B2AUkC7v37,0,2 years ago,grn_ appls7 the description says the chinese spring festival if that helps.,grn_ appls7描述说中国春节是否有帮助。
14105,UgwmiwWx1uw_Mxmer2J4AaABAg,0,2 years ago,does anyone know what they are packaging up all those treats for? the title says spring festival... so do they give them out to friends? there are so many. and i learned so much from this episode! like now i know what those red little candy ball things on a stick are that i see in every chinese period drama!,有人知道他们正在包装所有这些零食吗？标题说春节...那么他们会给朋友吗？有这么多。我从这一集中学到了很多东西！就像现在一样，我知道我在每个中国时期的戏剧中都会看到那些红色的小糖果球！
13294,Ugw0EC25iqXDIDAp08B4AaABAg.9C0EqPKn0UX9C0SXT0Q1yP,0,2 years ago,@chunruiguo2855 well that sounds like fun in the philippines we don't have a spring festival but we do a festival in province pampanga which i forgot the name of but apperantly in the festival there are like a band walking and playing music and a few people sell baby chickens also im not that hood in spelling english kinda stuff since its not my native language i don't know the real spelling of pampanga i don't know why actually,@chunruiguo2855很好，这听起来像菲律宾很有趣，我们没有春节，但是我们在潘ampanga举行了一个节日，我忘记了这个节日出售婴儿鸡也不是拼写英语的东西，因为它不是我的母语
13293,Ugw0EC25iqXDIDAp08B4AaABAg.9C0EqPKn0UX9C0Mac0xtwb,0,2 years ago,it's chinese traditional festival. just like christmas in western countries. on behalf of the most important festival,这是中国传统节。就像西方国家的圣诞节一样。代表最重要的节日
13280,Ugw0EC25iqXDIDAp08B4AaABAg,0,2 years ago,whats spring festival?,什么是春节？
