,cid,votes,time,含fresh,含fresh中文翻译
22113,Ugz_rMHrYJ9bOe3QpG94AaABAg,44,3 years ago,"she's living the real life. while we all are here gossiping ,scamming ,runnin after money .hurting each other .political issues. she's living the life that i wish i had ,one with nature .all the freshness around her....i really love and admire her hard work ๐ข๐ข๐ข๐ง๐๐",她过着现实生活。虽然我们所有人都在这里闲聊，骗子，奔跑，互相抚养。政治问题。她过着我希望的生活，与大自然的生活。她周围的新鲜感。。。
52888,UgxJg4gO5o4mQ86CGp54AaABAg,39,4 years ago,she's getting more and more beautiful living in such peaceful and fresh area.,她在如此宁静和新鲜的地区过着越来越美丽的生活。
21734,UgzfHM6mRDXMF8Kz9ux4AaABAg,39,3 years ago,"woow, what's even more impressive is that she did all this while maintaining clean and fresh looking
brother at me after 5 min of simple task : hello cave man","哇，更令人印象深刻的是，她在保持干净清新的同时完成了所有这些工作
5分钟后，我对我的兄弟很简单：你好洞穴男人"
22449,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN935FNYZNSPp,25,3 years ago (edited),"it's back to basics. i need to go live in a farm eventually. no stress from city living. no commutes. to be surrounded by horses, cows and dogs. in a way my 90 yr old dad is doing this. we have fresh cow's milk everyday. and a full year supply of rice from my brother who tills the land. we learned a lot of skills from our dad. my brothers are very talented (can do many different things) while i, on the other hand, pursued opportunities in the corporate world. one or two more years, i will be leaving the big urban jungle for a simple life.",这回到了基础。我最终需要在农场生活。没有城市生活的压力。没有通勤。被马，牛和狗包围。从某种意义上说，我90岁的爸爸正在这样做。我们每天都有新鲜的牛奶。以及我哥哥耕种土地的全年饭。我们从父亲那里学到了很多技能。我的兄弟们很有才华（可以做很多不同的事情），而另一方面，我在企业界寻求机会。一两年来，我将离开大城市丛林，过着简单的生活。
46796,UgzbIS4Nqo4EJO8bweJ4AaABAg,23,4 years ago,"i only discovered your videos in youtube. i really have such a life. i just imagined life in the novel. girl, you are really great, not only representing many chinese people, but how to coexist with human beings in harmony with nature, even if human beings are livable in the future, you need your spirit. i am glad to see your video, thank you.
suddenly i thought of the man who met your heart in the future. someone helped you lift your bamboo to make new sofas. some people pick fresh fruits and vegetables with you. one more person at the dining table with you. with cute children, one, two. essence essence then i have always made such a love video for us, oh no, enjoy. essence essence
hope this wish will come true.","我竟然在YouTube才发现你的视频，真的感概还有这样子的人生，只在小说中想象到的人生，姑娘，你真的很棒，不仅代表了华人的许许多多的优秀品质，和文化，甚至代表了人类，要如何与自然和谐共存，即使人类未来宜居其他星球，也需要你这种精神。很高兴看到了你的视频，感谢。
忽然想到了你日后遇到了你心怡的男子，有人帮你抬竹子做新的沙发，有人和你一起采摘新鲜的水果蔬菜，多了一个人在饭桌和你，婆婆谈笑风生，然后不就以后你们有了可爱的孩子，一个，两个。。。然后一直一直做这么有爱的视频给我们看，哦，不，享受。。。
希望这个愿望成真。"
12958,Ugzcjv9D9FkmS7YC1Ll4AaABAg,15,2 years ago,"video is so refreshing 
you are my inspiration 
grandma is so lucky that she gots beautiful granddaughter ..

these videos are totally different from other","视频是如此令人耳目一新
你是我的灵感
奶奶很幸运，她得到了美丽的孙女。

这些视频与其他视频完全不同。"
33771,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vyqo-vgdSZ,14,4 years ago,i would love to live this kind of life. surely there must be a natural local alternative for the plastic bags she used. i like the mix of old technology and fresh hd filming.,我很想过这种生活。当然，她使用的塑料袋必须有天然的当地替代品。我喜欢旧技术和新鲜高清拍摄的组合。
25179,Ugxbq_HD1pFNYQhJX-h4AaABAg,12,3 years ago,i would live 1000 years if i eat this fresh vegetables and fruits,如果我吃这些新鲜的蔬菜和水果，我会居住1000年
25488,UgxhHsqt74y-Fohxi6R4AaABAg,11,3 years ago,"i miss the county living in jamaica. all fresh ingredients and peace of mind. 
city life drives people crazy.","我想念住在牙买加的县。所有新鲜的成分和安心。
城市生活使人们发疯。"
34654,UgwIubx7mqS6SYaXx_x4AaABAg,11,4 years ago,"i wish could live like her...
she beautiful,clever and do everthing alone...love you girl...the village so nice and eating fresh fruit and vege...so good...","我希望能像她一样生活...
她美丽，聪明，独自一人做事...爱你的女孩...村庄真好，吃新鲜的水果和蔬菜...太好了..."
19508,Ugw-LfhAQMSxFkTNOcF4AaABAg.95hQGx72lER95oA5rY8aIX,11,3 years ago,"@lucygo6415 hi, i understand your sentiments but isn't it awesome bec this girl right here represents them all? besides, all her videos are therapeutic. meaning, it calms our souls. it is refreshing. brings positive impact to us, viewers. so let us all be happy we've got a channel like this.",@lucygo6415嗨，我理解您的观点，但这不是很棒，因为这个女孩在这里代表了所有人吗？此外，她所有的视频都是治疗性的。意思是，它平静了我们的灵魂。令人耳目一新。观众给我们带来积极影响。因此，让我们所有人都很高兴我们有这样的频道。
45872,UgzO7lfQRj8y3zVrhVZ4AaABAg,9,4 years ago,"man these videos are so refreshing and addictive. every single element is excellently executed in such detail from the recipes, the emotional angle (the grandma/ family relationship, how to be resourceful/ independent etc), the camera shots to the editing. i hope you never stop uploading, as i'll never tire of these. hope you are well, happy new year",这些视频是如此令人耳目一新和上瘾。每个元素都可以从食谱，情感角度（奶奶/家庭关系，如何机智/独立等）中进行如此详细地执行。希望您永远不会停止上传，因为我永远不会厌倦这些。希望你一切都好，新年快乐
16523,UgyJbWRkI2J8lR73ha14AaABAg,8,3 years ago,fresh mango honey cone,鲜芒果蜂蜜甜筒
30037,Ugxqyerx-UFwycbRcr54AaABAg,6,3 years ago (edited),"hi ms liziqi....a few hours ago i started watching your video. 1st video with the lotus... hooked up.. now i don't know how many of your videos i've watched already.. and it's 12midnight here. thank you for the videos... i love how you take good care of your grandmother. you are a smart, loving, talented being.
i just wish and hope to live with you there even just for few days to join you and experience harvesting and eating fresh vegetables and fruits and taste your recipes. take care ๐ค—๐ค—๐ค—๐ค—","嗨，Liziqi女士....几个小时前，我开始观看您的视频。第一个视频与Lotus ...连接。.现在我不知道您已经看过多少个视频了..在这里是12mmid night。谢谢您的视频...我喜欢您如何照顾祖母。您是一个聪明，充满爱心，才华横溢的存在。
我只是希望并希望在那里与您同住，甚至只有几天的时间就可以加入您的行列，体验收获和吃新鲜蔬菜和水果并品尝您的食谱。保重"
36218,Ugwj6ZUCLxf6o6iqhXd4AaABAg,5,4 years ago,you've got a new subscriber . i love these kind of videos. a breath of fresh air away from all the glitz and glamour ...,您有一个新的订户。我喜欢这类视频。远离所有浮华和魅力的新鲜空气...
17038,Ugx2842O4fsvofyDZ994AaABAg,4,3 years ago,"hawthorn red, apple round, rock sugar gourd in a string. peanuts are crispy, sweet sugar, a large plate of sesame soft sugar.
the chestnut fragrance, mango fresh, baked several times in the lid kiln. the dried jujube and dried biscuits, snowflake crispy cakes are rampant.
the meat piece, the big pot, the spicy hand tear the beef jerky. rice white, corn yellow, popcorn sounds safely.
fry the seeds, peanuts, and crispy egg rolls. grapefruit fragrance, sweet orange, ice cream is warm.
the new year's bag is piled into a mountain, and the packaging is a new year!

although i ca n’t eat anything, let my mouth add an addiction. essence essence","山楂红，苹果圆，冰糖葫芦一串串。花生脆，冰糖甜，芝麻软糖一大盘。
板栗香，芒果鲜，锅盖窑里烤几遍。梅干枣干小饼干，雪花酥糕惹人馋。
肉块方，大锅圆，麻辣手撕牛肉干。大米白，玉米黄，爆米花声报平安。
瓜子炒，花生翻，香酥蛋卷摆满盘。柚子香，桔子甜，冰激凌蜜好温暖。
年货袋袋堆成山，包装一新迎大年！

虽然俺啥都吃不上，那就让俺的嘴过一把数来宝的瘾吧。。。"
29743,UgxKTztHWKWnVyQiaYd4AaABAg,3,3 years ago,"natural and simple foods are environmentally friendly, fresh and quiet ... there are elements that urban people have gained and pursuing. it is the best publicity regardless of skin color religion.",天然 朴素 食物 环保 清新 清静...城市人所放弃又在追求的元素都有，不分国借肤色宗教，是最好的宣传了。
38179,UgwSit0PDbvMnU3tayJ4AaABAg.8tdcARzaCn08trm_Jax2FE,3,4 years ago,"yes, a wonderful life far away from noise, waste, pollution...
everything is green!
the air is fresh!
i like such a fairytale!
hope that we will live in such wonderland one day!","是的，远离噪音，浪费，污染的美好生活...
一切都是绿色的！
空气新鲜！
我喜欢这样的童话！
希望我们有一天能住在这样的仙境！"
14619,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9Anh2m4FpL0,3,2 years ago,"@user-ce5xg9ko6m's vegetable fresh grand view garden is open 24h, and you can enjoy the solution at any time. how happy the officials are!
the small red pepper is spicy, and the spicy food will let you enjoy it, ha! try to taste all kinds of delicious cakes, and often eat ... persimmons, moon cakes, flower cakes, purple potato rice cakes, and recent egg yolk crisps are also wrapped in a layer of thin ravioli. taro is moisturizing with pink lips, which is good -looking !!
happy afternoon! 7 brothers, after the afternoon of the ziqi family, after the afternoon, i have a variety of fruit wine, the kiln grilled noodles with various jams, and then a few balls of fruit mix and match ice cream, start the","@user-ce5xg9ko6m 子柒的蔬鲜大观园子24H开放，随时都能尽情光顾解馋，看官们多幸福啊！
小的大约半根小红椒就辣残了，那辣食就全让您享用啰，哈！喜尝各种美味糕点，时常视吃…柿饼、月饼、花饼、紫薯米糕、、、近期的蛋黄酥中还包入一层薄糍粑，她跟奶奶分食后一口咬下拉开…那紫薯芋头润着粉唇，煞是好看哪!!
午后愉快呀！ 7兄，啰嗦完来去子柒家下午茶了"
42233,UgxcBtHPxJc-mrivDMN4AaABAg,3,4 years ago,i really loved your place..very calm nd peace it is.. also everything very fresh nd organic it is,我真的很喜欢你的地方..非常冷静的和平。
30280,UgwDPkGQd0OEgrZTeih4AaABAg,2,3 years ago,i admire this kind of village.. everything u want is just available at ur home or garden.. no need to go fresh market or fruits stalls..aside from china where we will find this kind of place?,我欣赏这种村庄。.您想要的一切都可以在您的家中或花园里买到。.不需要去新的市场或水果摊位。在中国，我们会找到这样的地方吗？
34515,UgzHv7OpWXLr-sveKRF4AaABAg,2,4 years ago,fresh air fresh foods fresh water,新鲜空气新鲜食品淡水
15916,UgzG8-wZIxeBsNQYOXZ4AaABAg,2,3 years ago,i'm jealous! how can that fruits looks so stunning? feel like i smell fresh air from here....i love it..,我嫉妒！这些水果看起来如何如此迷人？感觉就像我从这里闻到新鲜空气。...我喜欢它..
39148,Ugxusw9kTf3tT2823TV4AaABAg,2,4 years ago,"it is not easy to edit this peaceful program. it needs to be close to a gas field to achieve it. each category is just right.
very good, thank you for sharing :) calm, quiet, gentle and comfortable, wisdom, i also see the wisdom of quaint folk, praise !!!! very healing the injuries brought by the city!

i prefer the temperament of the heroine when i don't deliberately dress up with light makeup! very clip! like! ^^
really done ... can stay away from the hustle and bustle for a while,
specific display ... it can be lived, simple, simple and natural, but also live neat and comfortable (although it is not easy)
being able to surround the mountains of gaoli water every day, the air is fresh, the mountains are full of flowers and precious medicinal materials, and the mountains are used to tell the mountains.
you can also choose intermittently .... contacted with today's scientific and technological life ...
if there is a harmonious companion, chun went to qiulai to support the old, this kind of life ... no demand !!!
looking ... watching .... live in the taiji gas field health ... this film is indeed ... rare soul health soup! thank you for sharing :)","编一辑这宁心的节目, 真不容易, 需要有接近的气场走在一起才能成就, 每一范畴每一个配合刚刚好, 
很好佷好, 多谢分享:) 从容, 恬静, 轻柔舒服, 智慧, 还见识到古朴民间的智慧, 赞!!!! 很治愈都市带来的伤!

较喜欢女主角不刻意装扮淡妆时的气质! 很夹! 赞!^^ 
真的做到了...可远离尘嚣一会, 
具体展现了...可以活得既古朴简单自然的同时, 又能整洁舒适不匮乏地生活着 (虽不太易) 
能每天环抱高山高丽水而居, 空气清新, 山峦满是鲜花鲜果及珍贵药材, 用画面诉说了靠山食山, 
又能间歇地选择....与现今科技生活联系着.....看日出观日落, 看银河晚星,! 依四时阴阳作息! 还何求!! 
若有位和谐伴侣春去秋来恩爱扶持到老, 这种生活...无求矣!!! 
看着...看着....活像进入了太极气场养生里...这片的确是...难得心灵养生汤! Thank you for sharing :)"
5523,UgxdKQ-ERMIpDKBaupZ4AaABAg,2,2 years ago,i feel so refreshing after watching this,看完这个后，我感到非常清爽
48212,UgzNw6Y1wzNfmmWZ16R4AaABAg.8qnIxuoIiqi8qoFlSYa-BS,2,4 years ago,"remember to prepare a fresh red vegetable head, it is best to squeeze juice with the noodles. the steamed bun guarantees a big red envelope.",记得准备新鲜的红菜头，最好是和
39849,Ugz1egWuwOBqmq9YjoB4AaABAg,1,4 years ago,exciting video.. fresh & healthy food.. keep it up,令人兴奋的视频..新鲜健康的食物..保持
44548,Ugw4B_1b5i7OnS16bS14AaABAg.8rCXt9otn7j8rLLpb2-hY2,1,4 years ago,"huma first thank you for your comment. well , i am still happy i found her videos, it's like a breeze of fresh air in this ugly world we live in, crowded by ugliness, bad manners and hatred. she is lovely and her videos are not noisy or full of fuss....
again, thank you for your comment","Huma首先感谢您的评论。好吧，我仍然很高兴我找到了她的视频，就像在我们生活的这个丑陋的世界中微风吹拂的新鲜空气，被丑陋，不良的举止和仇恨拥挤。她很可爱，她的视频并不吵或大惊小怪。
再次感谢您的评论"
52319,UgzoVFTcqe2ex4bEovB4AaABAg,1,4 years ago (edited),my dream home is your place. lots of fresh fruits and vegetables around the house. the scenery is lovely too.,我梦dream以求的家是你的住所。房屋周围有许多新鲜的水果和蔬菜。风景也很可爱。
36251,UgzDVWAz8bTkK-7adld4AaABAg,1,4 years ago,this is so refreshing. can anyone suggest anymore channels like this?,这真是令人耳目一新。有人可以建议这样的频道吗？
21160,UgzzB-bIrHD5NLTIJBt4AaABAg,1,3 years ago,these videos of yours are so satisfying....i watch all your cooking skills...the freshness and the beauty of nature....i was suffering from sleep disorders but now i watch these videos and sleep peacefully....god knows why they make me feel so relaxed.....,您的这些视频是如此令人满意。...我看着您所有的烹饪技巧...自然的新鲜感和美丽。...我患有睡眠障碍，但现在我看了这些视频并安静地睡觉。上帝知道为什么他们让我感到如此放松.....
6614,UgzGK5nrNxBrL0LEuep4AaABAg,1,2 years ago,i have watched so many of your videos. i must say.. this by far is my favorite. love you girl you are a fresh inspiration.,我看了很多您的视频。我必须说..到目前为止，这是我的最爱。爱你的女孩，你是一个新的灵感。
8078,UgyAxSbjhrpEGKVazOV4AaABAg,1,2 years ago,r u japanese??? excellent cooking n fresh fruits❤️,r你日本人？？？出色的烹饪n新鲜水果❤️
20036,UgxZFT1uq4rdoPvJ8d94AaABAg,1,3 years ago,wow what a freshness..,哇，真是新鲜。
30360,UgxM0rBJeq-lUg8ubWd4AaABAg,1,3 years ago,"everything looks so fresh, clean & organicโคโค",一切看起来都是如此新鲜，干净和有机❤❤
30381,UgyPNYhwGAGNCckkG2d4AaABAg,1,3 years ago,i am really in love with the greenery fresh environment her beautiful face and dress,我真的爱上了绿色的新鲜环境，她美丽的脸和礼服
8221,UgwU81D16cC1o92Yp4N4AaABAg,1,2 years ago,how fresh everything looks,一切看起来有多新鲜
46547,UgwN7J5ewv9HPlz4K0Z4AaABAg,1,4 years ago,so fresh,好新鲜
34753,UgxlT_KveyDuUM8QGhd4AaABAg,1,4 years ago,everything look fresh and delicious! packing up everything to sell was an art.....all by itself!,一切看起来新鲜又美味！打包所有要卖的都是艺术.....全部！
14763,UgwZ29qKZoeXyfuuXGp4AaABAg.9ANMOVWYQSO9AV5_1APRZl,1,2 years ago,"burning calories, eat healthy fresh from nature",燃烧卡路里，从大自然中吃健康的新鲜
1529,UgzDid6jmioTeE2JANZ4AaABAg,1,11 months ago,good to see your videos it feels us refreshing,很高兴看到您的视频，感觉我们令人耳目一新。
34698,UgwkTkPL1RSOVusRGth4AaABAg,1,4 years ago,"you're so pretty and lovely ~ it's a clean, refreshing and delicious video that makes you feel good and smooth. grandma is healthy ~ the main character is always happy as it is now ~~ โก",它是如此漂亮可爱〜它干净清爽，美味的食物既好又光滑。奶奶很健康〜主角总是很快乐，因为现在~~♡
40754,UgwHgyEZNsBY_lN5Ar14AaABAg,1,4 years ago,woww fresh i am from indonesia,哇，我来自印度尼西亚
1141,UgyNgHHG9lx9dMxqHad4AaABAg,1,9 months ago,"simply fantastic. relaxing, but also very informative about how to cook healthy and gather fresh foods.",简直太棒了。放松，但对于如何烹饪健康和收集新鲜食物也非常有用。
35188,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-97TrYOT6czX,1,3 years ago,"@therewasnochill8997 sorry, but you have a typical misunderstanding of modern china. here we all need to get 9 years education, yes every single kids(boys &girls ).and after the 9years senior free-charge national education, we all have options to choose a university or go abroad or learn a lifetime skill . i am a freshman of a university, a chinese gril myself,and grils like me can all get very well education . and modern china is an interesting place very welcome for you to explore. liziqi 'vlog is unrealstic even in china now , although i had to say it is beautiful.",@thenwasnochill8997对不起，但是您对现代中国有典型的误解。在这里，我们都需要接受9年的教育，是的，每个孩子（男孩和女孩）。在9年的高级自由收费全国教育之后，我们所有人都有选择大学或出国或学习终身技能的选择。我是一所大学的新生，我本人是中国人，像我这样的疯狂都可以接受很好的教育。现代中国是一个有趣的地方，非常欢迎您探索。 Liziqi的视频博客即使在中国也是不切实际的，尽管我不得不说它很漂亮。
39601,UgxDdQIE10ap-RQS4K54AaABAg,0,4 years ago,very very incorrect portrait. china imports it's food from india. these videos are only for views and money ..this is not a real picture of china. same is diana xioage video they show everything is fresh and farm grown just around their house itself . these are made for americans only.,非常非常不正确的肖像。中国从印度进口食品。这些视频仅用于观看和金钱。这不是中国的真实情况。戴安娜Xioage视频也是如此，他们显示一切都是新鲜的，在房屋本身周围种植的农场。这些仅适用于美国人。
40367,UgzJNPHPpOCr8GeFU3F4AaABAg,0,4 years ago,omagash this is really refreshing to watch,Omagash这确实令人耳目一新
41159,Ugw_ItduYii5tnEoOn94AaABAg,0,4 years ago,"great, fresh vegetables and fruits and all home, here it is life.",伟大的新鲜蔬菜和水果以及全家，这里就是生活。
39748,UgwUPw2vOw9ePeq0_J54AaABAg,0,4 years ago,i love to watch her videos. every time i feel fresh.,我喜欢看她的视频。每次我感到新鲜。
39529,Ugx2cJEEtvloVQRlifB4AaABAg,0,4 years ago,i'm so envious of your lifestyle you eat so well and everything is fresh and you take good care of your grandparents. here in the uk most foods are frozen and even the fresh stuff is not that fresh.and our grandchildren don't take care of us.they are to busy running their own families.,我非常羡慕您的生活方式，您吃得很好，一切都是新鲜的，您会很好地照顾您的祖父母。在英国，大多数食物都是冷冻的，甚至新鲜的东西都不是新鲜的。我们的孙子们不照顾我们，他们忙于经营自己的家庭。
41478,UgzP5y37vF0jlKEF9f54AaABAg,0,4 years ago,so refreshing and heartwarming. it just flood my memories of old days where we do most things together manually in the family.,如此令人耳目一新。它只是淹没了我对过去的大多数事情的回忆。
41214,UgzCzU_J_WGwdH1F0x94AaABAg,0,4 years ago,"so fresh ingredient , she can do everything eatable",如此新鲜的成分，她可以做所有可以吃的东西
39202,UgxK4foBXBTL-VgWQwt4AaABAg,0,4 years ago,"so fresh
would love to have some","好新鲜
很想有一些"
41226,Ugy-25HTXMZh6Pvb9_V4AaABAg,0,4 years ago,there is so much fresh foods.. i want to live there,有太多新鲜食物..我想住在那里
40417,UgzTg7teVTWlgHxnvt94AaABAg,0,4 years ago,"there are so luck , they have very delicious and over grown vegetables and fruits , what we need more then that living health life by eating fresh and delicious food",幸运的是，它们的蔬菜和水果非常美味，而且我们需要的是，您需要的是，您需要吃新鲜美味的食物来生活健康
39747,Ugz6xM-7a4l6NmLdCX14AaABAg,0,4 years ago,"every time i see her make fresh food, i practically have smell-a-vision and my eyes make my stomach ravenously hungry! 
groan! 
this is heaven to live like this!","每当我看到她做新鲜食物时，我几乎都会闻起来，我的眼睛使我的肚子狂热地饿了！
呻吟！
这是这样的天堂！"
38712,UgyTIqRLZhqPAlDE9FV4AaABAg,0,4 years ago,fresh fruits๐๐๐๐,新鲜水果
41325,UgxYTLBEb_llTrfyyvt4AaABAg,0,4 years ago,"everything is so refreshing and beautiful, the appliances are self -made, very delicate",一切都是如此心旷神怡的美♥ ，器具都是自制，精巧无比
41077,UgyfuRzQPcSBu9K9ngZ4AaABAg,0,4 years ago,she is beautiful and intelligent and this video is so relaxing and satisfying.love all the fresh ingredients.,她美丽而聪明，这部视频是如此放松和满足。
385,UgzAHbuTJqXEJBDJVI14AaABAg,0,2 months ago (edited),"words to describe a bit of her life: organized, abundant, fresh, clean and healthy, beautiful, great habits, skilled, respect, playful, natural, loving....",言语描述了她的生活：有组织的，丰富的，新鲜的，清洁的，健康的，美丽的习惯，熟练，尊重，嬉戏，自然，爱心...。
41867,Ugy1OfuJWrdLq6Zm5v14AaABAg,0,4 years ago,wow!!! i want to live there.. so refreshing❤️..,哇！！！我想住在那里..真是令人耳目一新。
42320,UgzoZ8yhgXusPAVGTpJ4AaABAg,0,4 years ago,everything is so fresh! i envy her life. living in a city is outrageously stressful. what i'd give up to be in this place even just for a day,一切都很新鲜！我羡慕她的生活。住在城市的压力很大。我放弃的是在这个地方，甚至一天
52367,UgxP9JB78awEXkz7VHR4AaABAg,0,4 years ago,lovely inspiration.... beauty and fresh food... your amazing and great job!!,可爱的灵感....美丽和新鲜食物...您的出色工作！
52313,UgzLD_AQ-RB-64rsJKh4AaABAg,0,4 years ago,amazing farm all vegetable at fruit harvest ur farm love it harvest fresh food yummy,令人惊叹的农场所有蔬菜在水果收获的农场里，菲律宾收获新鲜食品美味
51980,Ugyw3wa-fmOEEqzliv54AaABAg,0,4 years ago (edited),so energetic .... refreshing video...thanks a lot...from india,如此充满活力....令人耳目一新的视频...非常感谢印度
51919,UgxpUvgV5I4RfcsJxOJ4AaABAg,0,4 years ago,"woo, amazing! for you, everything can be made by yourself. fresh and healthy!for us , everything we only purchase :(",哇，太神奇了！对于您来说，一切都可以自己做。新鲜和健康！对我们来说，我们只购买的一切:(
51845,Ugzjjt8YvbQuecvylrx4AaABAg.8qlRWMI1TVh8qlbnS-6_ic,0,4 years ago,leismyqueenbitch yas it is...her reaction is so fresh,Leismyqueenbitch yas是...她的反应是如此新鲜
49957,Ugz2iRD4Vppr_vftBSp4AaABAg,0,4 years ago,how refreshing and peaceful to live in a village,住在村庄多么令人耳目一新
49633,UgxSSNqUAxsxSqnWa7d4AaABAg,0,4 years ago,"your video it's so refreshing... i can see the process of making this food in traditional way, that i only heard it from my mom.",您的视频真是令人耳目一新...我可以看到以传统方式制作食物的过程，以至于我只从妈妈那里听到了。
49379,Ugy2n-ihvTKuwy0jBCB4AaABAg,0,4 years ago,all are fresh vegetables and fruits.....ur a lucky person...have a wonderful life...!!!!.. wishes from sri lanka...,所有人都是新鲜的蔬菜和水果.....您是一个幸运的人...有美好的生活... !!!! ..来自斯里兰卡的祝福...
48737,UgyFDFIww8dWBLLo9Xt4AaABAg,0,4 years ago,love your channel. i wish i could get fresh chestnuts in hawaii.,爱你的频道。我希望我可以在夏威夷买新鲜的栗子。
48626,UgwzV-NXsQAN4HCv6N54AaABAg,0,4 years ago,fresh fruit picking in the winter.,冬季采摘新鲜水果。
48376,UgxuGEF6zaSpeV72s5p4AaABAg,0,4 years ago,your channel is so refreshing and entertaining so inlove with the nature around you.,您的频道是如此令人耳目一新，娱乐性，因此与周围的大自然融为一体。
48226,UgwApDLVyBnG0Aq6hxh4AaABAg,0,4 years ago,couldn't be more happier am so glad i found this channel i feel so refreshed to go to work now ...❤❤,再也不会更快乐了，我很高兴我发现这个频道我感到很清楚地去上班...❤❤
