,cid,votes,time,含fresh,含fresh中文翻译
27336,Ugy98sOwqzBFNiI1K014AaABAg,28,3 years ago (edited),"hello i'm from indonesia, and l like your content because its very traditional and look so beautiful flores, your very creatif and smart women and then my hobby is cooking and eat hehe so i very like your cooking with fresh vegetable and fruit 
i wish i had vegetable and fruit plants in my house too","您好，我来自印度尼西亚，我喜欢您的内容，因为它非常传统，看起来很漂亮，您非常有创造力和聪明的女人，然后我的爱好是烹饪和吃饭，所以我非常喜欢您用新鲜的蔬菜和水果
我希望我家里也有蔬菜和水果植物"
24374,UgztzqbRicDcCw605Zt4AaABAg,27,3 years ago,all i can say is wow... theres no preservatives and artificial flavoring. it's pick from the yard fresh.,我只能说哇...没有防腐剂和人造调味料。这是新鲜的院子。
2659,Ugw6yTwn-CyeZ2Ba1nh4AaABAg,25,1 year ago,"i didn’t even know bamboo was edible! wow! 
i love watching her cook what is grown on their farm, everything is totally fresh and organic and probably tastes fantastic!","我什至不知道竹子是可食用的！哇！
我喜欢看着她的农场上种植的东西，一切都是新鲜和有机的，可能会很棒！"
23089,UgymhEjjUGYIENlpCAx4AaABAg,14,3 years ago,"this lady has everything fresh vegetables, fresh fruits,beautiful flowers all in her garden good nature peaceful place what a life she live in paradise simple life but full of good memories she's very talented and very hardworking very loving to her grandmother that's why she is bless and successful because she has good heart she is beautiful inside and out nobody can do what ever she did she can do everything her body is small but she's very strong to carry heavy things wow just wow ❤❤",这位女士有一切新鲜蔬菜，新鲜水果，美丽的花朵在她的花园中的美好自然宁静的地方成功，因为她有良好的心，她的内在和外面都很漂亮
18499,UgwFsgKBe50sBFkQ9xF4AaABAg,13,3 years ago,"it is true that rural life in many places is more boring and not beautiful in the video, but this is not a documentary in science and education. what is wrong with the lens more wrong with the beautiful side? those who are not absolutely opposed because these videos are true? journey to the west is true? is avatar real? is the avengers really? those films that are completely unreal can be exported as a culture. why can't qi videos? at least the fresh ingredients, forests, sunlight, white clouds, and morning fog in the video are not props. this is a decompression window for people in the metropolis",诚然，实际很多地方的农村生活比视频里的更枯燥、不美丽，但是这又不是拍科教纪录片，镜头更多地对着美好的一面有什么错呢？那些因为这些视频不是绝对真实就反对的人，西游记真实吗？阿凡达真实吗？复仇者真实吗？那些完全不真实的影视都能作为文化来输出，柒的视频为什么不能呢？ 至少视频里的新鲜食材、森林、阳光、白云、晨雾、都不是道具，这是大都市苦逼人士的一个减压窗口
4268,UgzxygmS5oFjQh8MBqZ4AaABAg,13,2 years ago,luosifen is life it’s so good. i keep buying the instant luosifen packs ever since i first tried it. i wish i can actually go to a authentic chinese luosifen restaurant and try the fresh made ones,Luosifen是生活，真是太好了。自从我第一次尝试以来，我一直在购买即时Luosifen包。我希望我实际上可以去地道的中国luosifen餐厅，然后尝试新鲜的餐厅
7859,UgwLvsd4zXhJqiyJX0l4AaABAg,13,2 years ago,"i want daily breakfast lunch dinner by this lady,
specially t with liziqi morning is become fresh","我想要这位女士每天的早餐午餐晚餐，
特别是与liziqi早晨变得新鲜"
5552,UgzkeWzP9oAftmvoact4AaABAg,11,2 years ago,the air must be clear over there... the environment just look amazing and fresh .... i wish i lived there..m,那边的空气一定很清楚...环境看起来很棒，新鲜。...我希望我住在那里。
9497,Ugya2UviT7fIgUH5OiZ4AaABAg,11,2 years ago,"sichuan is the country of tianfu.
primitive life, fresh air, innocent girl and of course network.","四川是天府之国，人杰地灵，人才辈出。
Primitive life, fresh air, innocent girl and of course net celebrity."
16215,UgyL8DlzYS8ypV8wf4V4AaABAg,10,3 years ago,"this is how people eat fresh, clean and healthy without any disease before the urbanization..",这就是人们在城市化之前没有任何疾病的新鲜，干净和健康的方式。
6496,Ugwhicyp1Nf4HoK4U3R4AaABAg,10,2 years ago,i miss my province here in the philippines..i lived a life like here in the province so refreshing..love this vlog..,我想念我在菲律宾的省。我过着像该省一样令人耳目一新的生活。
16951,UgyNC3YMRklZ5WgbaPZ4AaABAg,9,3 years ago (edited),this woman is amazing. she reminds me of my wife. my wife is korean. she's 54. her mother taught her how to ferment fruits and vegetables from the forest just like this woman does. we live in illinois. my wife loves this spring because we go out into the forest with baskets and collect berries and all kinds of fruits and vegetables. we go back home and my wife she sits on the kitchen for the patio out back and prepares all of the fruits and vegetables to ferment for a year. you haven't tried apple juice until you've had homemade apple juice from apples in the forest. or homemade pure grape juice from grapes in the forest. just one taste of this pure fruits and your body immediately responds to it. it is such a wonderful fresh flavor. it is amazing what fermentation does to plants.,这个女人很棒。她让我想起了我妻子。我的妻子是韩国人。她54岁。她的母亲教她如何像这个女人一样从森林中发酵水果和蔬菜。我们住在伊利诺伊州。我的妻子喜欢今年春天，因为我们带着篮子进入森林，收集浆果以及各种水果和蔬菜。我们回到家，我的妻子她坐在厨房里，将露台放回去，并准备所有的水果和蔬菜发酵一年。在森林中的苹果自制苹果汁之前，您还没有尝试过苹果汁。或来自森林中葡萄的自制纯葡萄汁。只有一种纯净的水果的味道，您的身体立即对其做出反应。这真是一种很棒的新鲜风味。发酵对植物的作用真是令人惊讶。
20671,Ugyp7OIylnkF3kW6loZ4AaABAg,8,3 years ago,my dad just brought fresh bamboo shoots to cook.,我父亲刚带来新鲜的竹芽烹饪。
21966,UgwRhyvkA2w3w2Dzrnx4AaABAg,7,3 years ago,wowwww i like tje sorroundings full of fresh vegetables ..,wowwww，我喜欢充满新鲜蔬菜的tje sorroundings。
17616,Ugy8_drWdVCcrpXhotR4AaABAg.92iOjyLRCpT92lj9dTXSnp,7,3 years ago,"there are bamboo shoots in this large bamboo shoots, creamy, which is quite fresh.",这种大笋子芯里面有竹笋精，膏状，相当鲜。
29144,UgysSCU_3oSp6aW4psd4AaABAg,7,3 years ago,"living within nature
breathing fresh air
eating without chemical food
no tension about studies and jobs
family to care about
water full of minerals
animals in their habitat

my unachievable life goals","生活在自然中
呼吸新鲜空气
没有化​​学食品就餐
没有关于研究和工作的紧张
家庭关心
充满矿物质的水
动物在栖息地

我无法实现的生活目标"
3990,UgwSoLo6kXsj2sC65IJ4AaABAg,7,2 years ago (edited),fortunate girl to live this life in a clean and fresh environment...,幸运的女孩在干净，新鲜的环境中生活这一生...
7250,UgzBKTUW3R1K2uuUIEJ4AaABAg,7,2 years ago,i like that she makes everything from her garden which is fresh,我喜欢她从花园里制作的一切都是新鲜的
929,UgwHlm-Oe5nsnX_Chod4AaABAg,6,1 year ago,"that's the life i want to live someday....away from every form of pollution, breathing clean fresh air and eating in every healthy way there's. thank you for the refreshing videos.",那就是我有一天想过的生活。...远离各种形式的污染，呼吸清洁的新鲜空气以及以各种健康的方式进食。感谢您的清爽视频。
27824,Ugwh6h_v-OXwQyX-BmN4AaABAg,6,3 years ago,liziqi reminds me so much of my childhood...we had a garden near our home and we used to pick fresh veggies every morning and evening with my grandma. i miss those days.,利兹奇（Liziqi）让我想起了我童年时代的大部分时间...我们家附近有一个花园，我们曾经每天早晨和傍晚和祖母一起挑选新鲜的蔬菜。我怀念那些日子。
3488,UgwWxo9tbZd8PGB5X9B4AaABAg,5,2 years ago,eating so healthy and fresh. i wish i could eat that good!,饮食如此健康，新鲜。我希望我能吃得好！
17035,UgyfW23zca-F4lew1cd4AaABAg.92oSyiEwCGP92uDixtbwSF,5,3 years ago,kanth king fresh ingredients of food and cooked with wood too! it’s made me hungry! i gave her 5 ⭐️ for all the efforts! great job! well done,Kanth King Fresh Fresh食品的食物，也用木头煮熟！这让我饿了！我给了她5⭐️的所有努力！做得好！做得好
33723,UgyiCmqJ-Iy4o8MxYm94AaABAg,5,3 years ago,"i am always surprised how many different kinds of fresh foods you have on your land. it is great. 
thank you for making this lovely dish. also greetings to grandmother","我总是惊讶于您在土地上有多少种不同种类的新鲜食品。太好了。
感谢您制作这道可爱的菜。也向祖母问候"
33637,UgzD32VatiXq8IT-BeR4AaABAg,5,3 years ago,"bamboo shoot, pork, roasted chillies, fresh water snails, lotus roots.......oh my, oh my
i wish i was home","竹芽，猪肉，烤辣椒，淡水蜗牛，莲根.......哦，我的，哦，我的
我希望我在家"
5403,Ugyv5qcxdGrEmyunRE94AaABAg,4,2 years ago,this video is so magical. my god i wish i lived off more fresh food like this family. looks so delicious. what an incredible way of life.,该视频是如此神奇。我的上帝，我希望我像这个家庭一样生活在更多新鲜食物中。看起来很美味。多么令人难以置信的生活方式。
35392,UgxQ-q93hxMsMnCBp-t4AaABAg,4,3 years ago,"it's great, see it as soon as you refresh",太棒啦，一刷新就看到
18400,UgwdzQh2Ul3-G5iLe_F4AaABAg.92VpQGNVRRm92kkDc_QAQB,3,3 years ago,"i knew at a glance that this must be a very professional team, but it still does not affect my view of her video. can you ask a small fresh meat or a traffic star in china, can you shoot this effect? ​​ziyi is obviously really very powerful in these traditional techniques.",我一看就知道这肯定是有很专业的团队，但仍然不影响我对她视频的看法。试问你在国内请个小鲜肉或者流量明星能拍出这种效果吗? 子柒很明显是真的在这些传统技艺上特别厉害
16790,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI932R8mIcHOb,3,3 years ago (edited),"whoever marries her is blessed by her and the god.

i am a taiwanese boy

miss li is really sweet -hearted and beautiful

a fragrance of turbid dust

i hope that in the ancient spiritual trajectory, you can encounter more fresh and noble souls like you

thanks!","Whoever marries her is blessed by her and the God.

我是台湾男生

李小姐真是脸甜心善人美

混浊尘世的一道清香

希望在亘古的精神轨迹中能够遇到更多像妳这样清新脱俗的高贵灵魂

谢谢！"
21327,Ugz6uw1lxYJruHt5_sJ4AaABAg,3,3 years ago,"oh 
she works hard and also have good qualities and fresh green vegetables","哦
她努力工作，还具有良好的品质和新鲜的绿色蔬菜"
6602,Ugy3xkTYxlTAID94IdJ4AaABAg.9EeYlTw0XI49EiLR8OFVHU,3,2 years ago,"live in asia mr. this is what our life is alhamdulillah ๐๐...fresh fruits, fresh vegetables, fresh cut animals, fresh air....and beautiful nature...at least try to go visit asia...like philippines, china, thailand, taiwan, singapore, malaysia, cambodia and vietnam...this is mostly the life we have......... especially in provinces....๐‘โ๐๐",住在亚洲先生。这就是我们的生活是Alhamdulillah
3706,UgxNlewd3JDuiXS6K914AaABAg,3,2 years ago,❤❤❤..as a chef i always love using fresh ingredients! and enjoy putting smiles on my customers faces is the best thing..love your videos i wish you gud health and keep them videos coming.,❤❤❤..作为厨师，我一直喜欢使用新鲜食材！并喜欢在我的顾客面孔上笑容是最好的。
31187,UgwKSnU6fuOJ1v0dwgd4AaABAg,2,3 years ago,your work seems very calming although sometimes very strenuous. everything you make us so fresh. love watching you perform your talents.,您的工作似乎很平静，尽管有时很艰巨。你让我们如此新鲜的一切。喜欢看着你表演自己的才华。
20310,UgyNHNcsM93cbpeg9V14AaABAg,2,3 years ago,"ma sha allah, how beautiful the nature is, i wanna go there to visit the place & stay there'm a tree loving person & love to eat fresh food",马沙阿拉（Ma Sha Allah），大自然多么美丽，我想去那里参观这个地方并留在那里
27413,Ugyp98V4ewmct70GbYR4AaABAg,2,3 years ago,"so fresh..
after work all day..then our wives cook like this..heaven..","好新鲜..
整天下班后..然后我们的妻子这样做。"
15391,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss96YP8RJre8f,2,3 years ago,"diganta majumder the way they live all is same as our place we eat fresh vegetable which we grw by our own, and taking bamboo shot in forest it look like fairy tale but in real life how much hard or how tired it is just for living",Diganta Majumder他们的生活方式与我们自己吃新鲜蔬菜并在森林中拍摄竹子的新鲜蔬菜一样
25106,Ugw-DdATiRyg1VfnTQB4AaABAg,2,3 years ago,fresh air and water and food drinks .. respect,新鲜空气，水和食品饮料..尊重
23959,UgwLt8L8vVZKcmZ0xwt4AaABAg,2,3 years ago,this bamboo shoot is so tender. i can't bear to make sour bamboo shoots and stir -fry fresh bamboo shoots.,这笋真嫩啊，我都舍不得做酸笋，直接炒着吃鲜笋。
4051,UgzNhfet_Ik5yVGbspN4AaABAg,2,2 years ago (edited),"01:20 such a beautiful shot! 
being surrounded by plants, how fresh the oxygen can be? 

i wonder about these people who disliked, she doesn't even say anything to the camera. just leave her alone. lol","01:20如此美丽的镜头！
被植物包围，氧气有多新鲜？

我想知道这些不喜欢的人，她甚至都不对相机说什么。只是别管她。哈哈"
30905,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yzKV4YekrM,2,3 years ago,"bramha's astra do you actually watch any food network chefs? ina garten/barefoot contessa frequently uses fresh ingredients, either grown herself or from her local shops. alton brown (who recently started brand new episodes of good eats) does the same. even on those cooking competition shows (e.g. chopped), they pick fresh fruits and vegetables from the pantry, not from a can. 


the only show where the food was consistently canned/boxed was ""semi-homemade"" with sandra lee and that terrible show was cancelled in 2011, thank god. 


i feel like you are just so obstinately anti-american, you refuse to acknowledge anything positive about the us. and don't say it isn't true. i can tell by the way you falsely described food network shows and american cooking in general.","布拉姆（Bramha）的阿斯特拉（Astra）您实际上看过任何食品网络厨师吗？ Ina Garten/Barefoot Contessa经常使用新鲜食材，无论是自己还是从当地的商店种植。奥尔顿·布朗（Alton Brown）（最近开始了全新的《好吃》剧集）也是如此。即使在那些烹饪比赛中（例如切碎），他们也从储藏室中挑选新鲜的水果和蔬菜，而不是从罐头中挑选。


唯一与桑德拉·李（Sandra Lee）一起罐装/盒装食物的唯一表演是“半摩托马”，而这场可怕的表演在2011年被取消了，感谢上帝。


我觉得您是如此顽固的反美，您拒绝承认对美国的任何积极。而且不要说这不是真的。我可以通过错误地描述食品网络节目和美国烹饪的方式来分辨。"
34436,UgwptJI-ghDrSyrpmMN4AaABAg.8yUUFOJa2Xg8yU_zDdRCrF,1,3 years ago,come here in northeast the nature food style everything is the same.....fresh n all natural,在东北部来这里自然食品风格一切都是一样的.....新鲜n所有自然
17618,Ugy8_drWdVCcrpXhotR4AaABAg.92iOjyLRCpT92mL5X_YvXp,1,3 years ago,"how long can this kind of bamboo shoots like yu shun can grow so big, and so far, i haven't eaten such a fresh and large bamboo shoots. i am very envious!",虞舜 这种笋子要长多久才能长这么大，到现在都还没吃过这么新鲜大个的笋子，羡慕极了！
5909,UgxSyRdk9kjSTDhIzqR4AaABAg,1,2 years ago,"i am from india ,tamilnadu.i am a great great crazy fan of u, i mostly seen all u r videos and daily searching for more and more .please upload more videos .love and u r grandma. take care of her. u r garden and mainly u r roses made me fresh. great work. always praying for u r great future. don ""t feel ,we r so many for u-,u r well wishers .love u .waiting for ur new videos",我来自印度，泰米尔纳德邦。照顾她。花园和主要的玫瑰使我新鲜。做得好。一直为您的美好未来祈祷。 “感觉，我们为U-，u r w and whorders rove u。
28235,Ugy5s2YAMtFXah2-WQp4AaABAg,1,3 years ago,"i've been craving bamboo shoots these past few days. not fair!
those freshwater snails too. they are so good!","在过去的几天里，我一直渴望竹芽。不公平！
那些淡水蜗牛也是如此。他们真好！"
25608,UgyhXwMCkAt-Q2ApWvB4AaABAg,1,3 years ago,this woman knows how to make use of nature and her skills. id love to live with her for a week and eat her cooking using only fresh ingredients! it’s so different from the life in sf!,这个女人知道如何利用自然和她的技能。我喜欢和她一起生活一个星期，只使用新鲜食材吃饭！它与SF的生活如此不同！
35047,UgymGBA4J8HL0oQXadl4AaABAg,1,3 years ago (edited),"i really love ur content liziqi, its so calm & refreshing!
continue what ur doing.

all the way from the philippines.","我真的很喜欢您的内容liziqi，它是如此的冷静和清新！
继续您的工作。

从菲律宾一直到。"
25908,UgxL7wxM8AJKc3Eid654AaABAg,1,3 years ago (edited),i feel refreshed while watching that video and all of their food is just picked around the area no money needed.,在观看该视频和他们所有的食物时，我感到很清爽，只是在该地区无需钱。
26645,UgzS06kWPFl_gfzwTgF4AaABAg.8ymoowt3A3Y8yph7Dkop2O,1,3 years ago,"wonder when she had time to learn about editing and how to present things so beautifully. it doesn't strike me as a very rural chinese thing, to keep things uncluttered and fresh.",想知道她何时有时间学习编辑以及如何如此精美的内容。让我成为一个非常乡村的中国事物，使事情变得整洁和新鲜。
13853,UgxHpF21yEtg-LXaB7F4AaABAg,1,3 years ago,"this is a smart wrawn boy cooking, smart chair from bamboo. the boy who works !!
it has beautiful bodies fresh sagins.
i don't know but enjoy the one.

greeting from","这是一个聪明的旺克男孩烹饪，竹子的智能椅子。工作的男孩！
它有美丽的身体新鲜的萨金斯。
我不知道，但喜欢那个。

来自"
21723,UgyIb054OyEzSWVT2T54AaABAg,1,3 years ago,"is very a nice place, a big farm big garden, she has a different kind of vegetables. she cooks fresh from the garden. i like this place is such big space.",是一个非常好的地方，一个大型农场大花园，她有另一种蔬菜。她从花园里煮新鲜。我喜欢这个地方是如此大的空间。
27606,Ugzw78p_8MH4QIENE_l4AaABAg,1,3 years ago,"looking at the real ingredients, the fresh ingredients feel that different bamboo shoots can be made from dry goods.",看着真馋人啊 新鲜的食材做出来的感觉就是不一样 笋衣原来可以做干货的 学到了一手 小姐姐啥时候做个干豇豆烧肉让我们过过眼瘾就好了
27669,UgymFct9_-88ZyqRbS14AaABAg,1,3 years ago,"i swear i love all your videos.. can i live there?
so many food to eat and its fresh.","我发誓我爱你所有的视频..我可以住在那里吗？
这么多食物要吃，新鲜的食物。"
12080,Ugxth7ySWyCbkoLR1-B4AaABAg,1,3 years ago,fresh food,新鲜食品
6548,UgyosQGy4MvnlxDE-f94AaABAg,1,2 years ago,"there's nothing to do it in advance in the refrigerator.
how fresh is this! i admire and admire her skills","在冰箱中没有事先进行。
这有多新鲜！我欣赏并欣赏她的技能"
10764,Ugzl50uLxzw_UGPFJiN4AaABAg,1,3 years ago,my mother’s dream is to harvest these fresh bamboo...the ones she gets from the supermarket smells and taste funny,我妈妈的梦想是收获这些新鲜的竹子……她从超市闻到的竹子和味道很有趣
10164,UgxxueVH3pHTeGtZ7ht4AaABAg,1,3 years ago,"how fresh=the environment
the climate 
the weather
the food
the land 
the water 
the girl 
the grandma 
the love 
the god","如何新鲜=环境
气候
天气
食物
那片土地
水
那位女孩
奶奶
爱情
上帝"
29092,Ugy_rv69BA1VHfhSQsR4AaABAg.8yXqMcoFbCJ8ybnKu3vhUp,1,3 years ago,the mountain is now fresh and fresh,山上现采现作新鲜
29541,Ugz_ycaTZMZCyTtReeh4AaABAg.8yWhBE0quJI8yWl9G07JRO,1,3 years ago,fantasia wolf yes fresh bamboo shoots are a bit sweet,Fantasia Wolf是新鲜的竹芽有点甜
23363,UgwFgYbTYSXV4DMciv94AaABAg,0,3 years ago,"sometimes i wish i was born and die in this place. its so calming, refreshing air and far away from city's hustle and bustle. this video showed she really raised well by her grandparents",有时我希望我出生并在这个地方死亡。它如此平静，令人耳目一新，远离城市的喧嚣。这段视频显示她真的由祖父母抚养长大
29956,Ugzbg4_xYptC9h68YH54AaABAg,0,3 years ago,not sure why many poeple be hating this beautiful lady... she is like the gooddess of fresh air.. 't mind her teaching me all this i would love learning something new in my life,不知道为什么有很多人讨厌这个美丽的女士...她就像新鲜空气的好人。
34228,UgwFOAvuECSbdtyOoB14AaABAg,0,3 years ago,it's so refreshing,真是令人耳目一新
23319,Ugzi8KmKT4NwhTeIP6h4AaABAg,0,3 years ago,"how good to use fresh bamboo shoots, pickled bamboo shoots just to preserve for a long time, not to mention the smell",用鲜笋多好啊，腌笋只是为了保存久一点，更何况还有臭味
29874,UgzSQrGj-ndNxPJOAst4AaABAg,0,3 years ago,"ohh how lucky your grandma/mother. she eats fresh foods from the garden. what a simple life. this is the prof that money can't buy all things in this world. no preservatives woahhhh! i hope i could go there at your channel hehehe.
from philippines mabuhay ka!","哦，你的奶奶/母亲多么幸运。她吃了花园里的新鲜食物。多么简单的生活。这是金钱无法购买这个世界上所有东西的教授。没有防腐剂woahhhh！我希望我可以在你的频道上去那里。
来自菲律宾Mabuhay ka！"
34138,UgzCHxRxrBLYKnuYxIJ4AaABAg,0,3 years ago,"bamboo bamboo shoots are large, fresh ingredients are taken from nature. they can enjoy such a life. i hope they will make some good videos in a healthy life. if the mother -in -law will leave in the future, there will be no regrets. modern young people have time to accompany the elderly more. , don’t just take care of work entertainment, go home and take a look at it together. eating together is also a kind of happiness.",竹笋大大的，新鲜食材都取自大自然，她们好享受这样的生活，希望她们健康生活下去再做一些好视频，如果未来婆婆走了也不会留下遗憾，现代年轻人有时间多陪伴老人家，不要只顾工作应酬，常回家看看，一起吃饭谈谈也是一种幸福快乐
23772,UgwxrqGLC9Aathq5WVB4AaABAg,0,3 years ago,so fresh,如此新鲜
34713,Ugyeb2OXkhpVPZWS3m54AaABAg,0,3 years ago,the deliciousness of the labong the fresh,拉隆的美味
