,cid,votes,含disgusting,含disgusting中文翻译
26124,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-8zzNOCGwAPW,0,maple wang it is good feeling by watching her video until you find all the unnecessary disgusting misleading lies behind it.,Maple Wang观看她的视频，直到您发现其背后的所有不必要的令人讨厌的误导性，这是很好的感觉。
40840,UgwzGrh0NUavG9WtWhx4AaABAg.8s6GsnCI1AM8sFtuZ-Dzy1,0,"@minyanzheng5490 calm. it's good to quarrel and go to the program for a good son. recently, it seems that the piracy has been less. it should be a lot of people to help. in fact, it is difficult to avoid it completely, but those pirated numbers actually said that ziyi was a vietnamese indian, which was so disgusting that he couldn't bear it.",@minyanzheng5490 淡定。都是为子柒好就少吵架多走程序就好了。最近似乎盗版号少了点，应该是不少人帮着举报吧。其实也很难完全避免，只是那些盗版号竟然说子柒是越南人印度人，这太恶心下流了，不能忍。
42497,Ugz7N9Z04WgiDq2hQq14AaABAg,0,"what type of meat that you were cooking, it is not sheep meet that you showed first in the video, it is too dark, disgusting. probably those dogs are for slaughter too.",您正在烹饪的哪种类型的肉，不是您在视频中首先展示的绵羊，它太黑了，令人作呕。可能那些狗也是屠杀。
46167,UgziaEOUOHARAdxEiw54AaABAg.8qwp-VycUd_8r1hTC2pXi3,0,disgusting. a taiwanese person who's too cowardly to show their face and posts in chinese characters knowing full well that youtube is mainly an english social media platform. try saying that in english and show your face.,令人作呕。台湾人太怯ward以至于无法展示自己的脸，并以中文角色非常了解YouTube是一个英国社交媒体平台。尝试用英语说这句话，并露出你的脸。
26132,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-3nlBQ8bvo,0,"reichthedog100 is good, you can make that disgusting money with a good family, what kind of tick to me?",reichthedog100 好，你就跟着好好人家赚那恶心钱吧，找我扯什么屌？
1,UgzegKF-M-hzDwoP5WZ4AaABAg,0,"as a sichuan native, i was very moved and knew that you had experienced some disgusting people. give you the best wish, i hope you are happy!",作为四川人，看得很感动，知道你经历了一些恶心人的事情。给你最好的祝愿，希望你过得开心！
25533,UgyRi9iCUNzJnRYIds54AaABAg.9-BZdV6GyD59-L4Au39lap,0,"you want to help ruining it? like that island from the dicaprio movie. it's only beautiful because you ain't in it. and little less indians tourists, with all your disgusting habits.",您想帮助破坏它吗？就像迪卡普里奥电影中的那个岛屿一样。它只是美丽的，因为您不在里面。少了印第安人游客，您的所有令人讨厌的习惯。
2059,UgzsbGDOvZpqJ6PjY494AaABAg,0,mangos+ green leaves + honey rolled in egg roll disgusting combination i ever seen in my life,芒果 +绿叶 +蜂蜜在我一生中见过的鸡蛋卷中滚动
24143,Ugx_TZ7L9ZSeJcBAbId4AaABAg.91U9KIRGN8y92RAK4d_ZzE,0,zefan tan's disgusting little pink,zefan Tan 恶心的小粉红
23093,UgyEGffCSCapYWhPlt14AaABAg.92ZOfZospFJ92qeAl60I32,0,ๆๆ you know what? chinese ไธญ่ฏๆ€ๆณ is why so disgusting. you must to learn right history from democracy country.,李果你知道吗？中文是为什么如此恶心的原因。您必须从民主国家学习正确的历史。
19429,Ugyf87J4JpwgHtyCwJZ4AaABAg,0,"i am an iraqi and i love to watch your videos and love the way you cook, your food and your cleanliness in preparing food .. but i have a question .. i watch chinese food and they eat mice, dogs and cats and this is disgusting .. are all the chinese eating this food ... i hope the answer in the arabic language .. thank you ..",我是伊拉克，我喜欢看你的视频，喜欢你做饭的方式，食物和准备食物的清洁度..但是我有一个问题..我看中国食物，他们吃老鼠，狗和猫，这就是令人作呕的..所有中国人都在吃这种食物...我希望阿拉伯语的答案..谢谢..
18660,UgwbLfWuPUWHN9ThEv94AaABAg,0,"really fucking disgusting, this also adds advertising, disgusting woman.",真的很令人作呕，这也增加了广告，令人恶心的女人。
16418,UgyWQwKdl6o3Gnt4POh4AaABAg.98i0cVQSs-z98pqH6ZpCrB,0,"r j no , it is not. stop lying. we locked up because of chinese people and we suffer because of virus, losing people etc. for what? because chinese people love to eat non-healthy meats/animals(rats, bats, dogs, cats and even human babies). if this is racism then u can call me a racist and whole world find china disgusting. ask why.",R J不，不是。停止说谎。我们因中国人而锁定，我们因病毒而遭受痛苦，失去了人等？因为中国人喜欢吃不健康的肉/动物（老鼠，蝙蝠，狗，猫甚至人类婴儿）。如果这是种族主义，那么您可以称我为种族主义者，整个世界都会感到恶心。问为什么。
8674,UgxyYu7WsGnsddDW2iV4AaABAg.9IMPVU4WzXa9IP2dEkqpLz,0,"@user-rs6ib5sp7p these behaviors are also weird and disgusting enough to other normal chinese people, have you ever seen anything like this in a chinese restaurant?",@user-rs6ib5sp7p这些行为对其他普通中国人来说也很奇怪，令人讨厌，您是否曾经在中餐馆见过类似的东西？
8573,UgzIOu_WyVUvXtxXM6d4AaABAg.9IPupp-MXie9IPwLdyXWt9,0,it's hard to imagine that koreans like to eat living octopus and strange and disgusting living animals.,很难想象韩国人喜欢吃章鱼和奇怪而令人恶心的活动物。
7943,UgwTp6gvt6y9pixDLUt4AaABAg.9JI9Dt7eVSh9Ja49V73s66,0,"really disgusting, foreigners ignore you, is it interesting here?",真恶心啊，外国人又不理你们，在这里自嗨很有意思么？
7838,UgykxnwFHQcNdtcTpVF4AaABAg.9JNs6vbdvmr9JVO1Ngovh0,0,"@shinkurosetta2157 racist piece of sht, what do you have against scandinavia's culture? unbelievable racism towards suomi. disgusting is what it is.",@shinkurosetta2157种族主义者，您对斯堪的纳维亚半岛的文化有什么影响？对Suomi的种族主义令人难以置信。令人作呕的就是它。
4828,UgzJ24s-ulgqMrZoZwt4AaABAg,0,i'm so disgusting ㅗ ㅗ ㅗ,我很恶心ㅗㅗㅗ
24993,Ugw04Uimwmp5r-6XhsZ4AaABAg.9-yq5NvA-dW91gYdOecIEw,0,"@oc-cpa finally you came up with a good question in the last of your reply? yes, why a miserable chinese who doesn't have the freedom of speech or freedom of press could even show up in this website? shouldn't you questioning about what you have been told by the western media now? you are so self-righteous to say people are worldview distorted and brainwashed bla bla by only knowing that i'm a chinese and i speak for china. look who is brainwashed now? i think a mature adult should know to see things dialectically. we or i never say that xi made himself president for life is right or good. actually we were very upset with this even though we know that chinese political system is originally not democratic. but after thinking about the time when all my americans friends had to choose a worse president out of the worst, and the time when the british ordinary voted for brexit but was shocked by the result because they were suppose to vote it for fun, i do think that it might not be a bad thing. because ordinary people have no idea what and who they are voting(americans votes for what they have been promised by the candidates, but god knows if the promises can really became real. most of the time they are fulled by the candidates, or in the end the voted president didn't make his promise come true if though they might want to keep his promises). if xi is a good president and can lead the chinese to better economy and a more united country, why could let him be a life president? i know you would start your noble democracy literature like other westerners. but fuck off democracy! democracy is not the only right way to run a country. actually, is democracy a right way is a good question as well. look at how the democracy has decreased or stopped the economy in most western countries! even america, look at how old their highways are and the terrible road conditions; the average annually income hasn't change much in 10 years, not even mentioning other western countries. they are falling. i like what the former president of singapore lee kuan yew said: countries like us who need to catch up do not need democracy. we have to gather our resources and use it to one and only goal. that is what suitable for us. and now look at what a marvelous country he managed to build from nothing! no homeless, super safe society with diverse culture and people from different background. thus your democracy doesn't work and suits others. don't be bully judging others by thinking only your way is the right way. that is very immature thought. but you are not immature in only that aspect, look at how funny you said about nathan rich. he said things you didn't familiar but contradict to what you thought then you said this person has no integrity but just to please the chinese. why do you stop trying to be a truth-fighter now by criticizing about his content but instead to attack this person? cause you know you don't have the ability to say it out loud that what he had said was unreal. you want to but you cannot.only i and other who truly have ever lived in china can have that right to say if what he said is true or fake. we were arguing if the content in the western media is true or not right? why come to nathan rich's videos, you switched to just subjectively judging a person instead of arguing the objective video contents? so stop lecturing about your so called ""freedom of speech"" cause it's actually not existing in america either. youtube's algorithms has set limits to the reviews of videos which contents the authority don't want you to see. so don't be childish, believe what you have seen by your real eyes. that's why i recommend nathan rich's videos cause the chinese current situations described by him is the one i know of and experienced. i live outside china but i do go back every now and then. i worked and lived in the states from 2012-2018 in a world top tech company having top 5-10% american annually income, but i still feel the huge problems of american society. the extreme white left politicians, the stupid law of letting the criminals to go away if the assets amount they get from robbery or stealing is under $975, the unavoidable frequent car window broking robbery, the drug problem, the disgusting streets of sf with homeless and their shits. your democracy just don't work that well, ok? just accept the truth that not everyone want this and they can live a good life without this. after my american greencard application got current, i had to make a choice if i really wanted to live here and raised my child in a society like this. our answer was no and my family voted by our own feet--we moved out of the states. so all the above came from a person who had really lived in both china and america, sorry to let you down and snapped your face about your brainwashed and worldview distorted conclusion. but if you insist by saying this poor chinese is just so deeply brainwashed even your great truth teller western media couldn't save her back in 7 years, feel free to say so.",@oc-cpa终于在回复的最后一个回复中提出了一个很好的问题吗？是的，为什么一个没有言论自由或新闻自由的痛苦的中国人甚至会出现在本网站上？您现在不应该质疑西方媒体所告诉您的内容吗？您是如此自以为是，以至于人们只知道我是中国人，而我为中国说话，人们就被世界观扭曲和洗脑了。看谁现在被洗脑了？我认为一个成熟的成年人应该知道辩证的事情。我们或我从未说过习近平使自己终身总统是正确的。实际上，即使我们知道中国政治制度本来不是民主的，我们对此感到非常沮丧。但是，在考虑了我所有的美国人朋友都必须从最糟糕的情况下选择更糟糕的总统的时间，而英国普通人投票赞成英国脱欧，但对结果感到震惊，因为他们本来应该投票赞成娱乐，我确实如此认为这可能不是一件坏事。因为普通人不知道他们在投票的是什么（美国人都投票赞成候选人所承诺的东西，但上帝知道承诺是否真的可以变得真实。在大多数情况下，他们都被候选人或在结束选票的总统不会做出他的诺言，尽管他们可能想兑现他的诺言）。如果习近平是一名好总统，可以带领中国人走向更好的经济和更加统一的国家，为什么让他成为终身总统？我知道您会像其他西方人一样开始您的崇高民主文学。但是，滚蛋民主！民主并不是经营一个国家的唯一正确方法。实际上，民主是正确的方法也是一个很好的问题。看看大多数西方国家的民主如何减少或阻止经济！甚至美国，看看他们的高速公路年龄多大和可怕的道路状况。每年的平均收入在10年内没有变化太大，甚至没有提及其他西方国家。他们跌倒了。我喜欢新加坡前总统李·库恩（Lee Kuan Yew）所说的：像我们这样的国家，需要赶上的国家不需要民主。我们必须收集我们的资源，并将其用于一个唯一的目标。那就是适合我们的。现在看看他设法从一无所有地建立了一个奇妙的国家！没有各种文化和来自不同背景的人的无家可归，超级安全的社会。因此，您的民主不起作用并适合他人。不要通过仅思考自己的方式来欺负他人是正确的方法。那是非常不成熟的想法。但是，您并不是在这方面并不成熟，请看看您对Nathan Rich的说法有多有趣。他说您不熟悉的事情，但与您的想法相矛盾，然后您说这个人没有诚信，而只是为了取悦中国人。为什么您现在不再试图通过批评他的内容而试图成为真相战斗机，而要攻击这个人？因为您知道您没有能力大声说出他所说的是虚幻的。您想，但您不能。只有我和其他曾经住在中国的人可以说他说的是真的还是假的。我们在争论西方媒体中的内容是正确的吗？为什么要参加内森·里奇（Nathan Rich）的视频，您改用了主观评判一个人而不是争论客观视频内容？因此，不要再对您所谓的“言论自由”进行讲授，因为它实际上也不存在于美国。 YouTube的算法已设定了视频评论的限制，该视频内容不希望您看到。因此，不要幼稚，相信您的真实眼睛所看到的。这就是为什么我推荐内森·里奇（Nathan Rich）的视频，原因是他所描述的中国当前情况是我知道和经历的。我住在中国以外，但我不时地回去。从2012年至2018年，我在一家世界顶级科技公司中工作并居住在美国，每年获得5-10％的美国收入，但我仍然感到美国社会的巨大问题。极端白人左派政客，如果他们从抢劫或偷窃的资产金额不到975美元，那是让罪犯离开的愚蠢法律，这是不可避免的经常发生的车窗经纪抢劫，毒品问题，令人恶心他们的狗屎。您的民主制度不太好，好吗？只要接受并非每个人都想要这个的事实，没有这个，他们就可以过上美好的生活。在我的美国绿色申请中申请后，如果我真的想住在这里并在这样的社会中抚养我的孩子，我必须做出选择。我们的回答是否定的，我的家人用自己的脚投票 - 我们搬出了美国。因此，以上所有内容都来自一个真正生活在中国和美国的人，很抱歉让您失望，并为您的洗脑和世界观扭曲了结论。但是，如果您坚持说这个可怜的中国人被深深地洗脑了，即使您的伟大真相teller teller teller媒体无法在7年内拯救她，请随时这样说。
