,cid,votes,含nature,含nature中文翻译
28682,UgzzufmWX44VML3gKRN4AaABAg,31,"good friends: there are no background music, nuts, cut vegetables and water, and the surrounding birds are called insects, or grandma and animals have sounds. the real voice is the essence of everyone. we have no nature, no fields, no zen. without slow man's life, please give us these people who live in the city. everything is used to buy money. the people who are controlled by money are alive. please, thank you.",好朋友:没有背景音乐，坚果，切菜洗水跟周围的鸟叫虫鸣或是奶奶跟动物生声音，真实的声音才是阅众要的，我们没有大自然，没有田，没有禅意，没有慢曼的生活，请给我们这些生活在城市里，每一样东西都用钱买，被金钱控制的人一点活着的感觉，拜托，谢谢。
28180,Ugwog3eU6SdvvmNLfHp4AaABAg,30,"beautiful relaxing nature. beautiful woman. cute grandma. sweet animals. delicious foods.
amazing, just amazing. i love that.","美丽的轻松自然。美丽的女人。可爱的奶奶。甜动物。美味的食物。
太神奇了，真是太神奇了。我喜欢那个。"
51663,UgxsxcKZBTEGLcFy4n54AaABAg,30,amazing video. the nature is so beautiful and the food looks really delicious. i love it how you show everyone how our ancestors lived⚒️because of your videos i want to visit china. greetings jasmin,惊人的视频。大自然是如此美丽，食物看起来真的很美味。我喜欢它，您如何向所有人展示我们的祖先如何居住⚒️，因为我想访问中国的视频。问候茉莉
4210,UgzooBw5L5LBqVxY5_54AaABAg,27,these videos are very useful for those who want peace of mind.it feels so happy and peaceful to see this way of life.the pleasure of living in harmony with nature is something else.,这些视频对于那些想要安心的人来说非常有用。
40287,UgxxqoG5v31WuiGOSF94AaABAg,24,i wished i lived like her in a beautiful nature place just so peace ful,我希望我像她一样生活在一个美丽的自然之地
46796,UgzbIS4Nqo4EJO8bweJ4AaABAg,23,"i only discovered your videos in youtube. i really have such a life. i just imagined life in the novel. girl, you are really great, not only representing many chinese people, but how to coexist with human beings in harmony with nature, even if human beings are livable in the future, you need your spirit. i am glad to see your video, thank you.
suddenly i thought of the man who met your heart in the future. someone helped you lift your bamboo to make new sofas. some people pick fresh fruits and vegetables with you. one more person at the dining table with you. with cute children, one, two. essence essence then i have always made such a love video for us, oh no, enjoy. essence essence
hope this wish will come true.","我竟然在YouTube才发现你的视频，真的感概还有这样子的人生，只在小说中想象到的人生，姑娘，你真的很棒，不仅代表了华人的许许多多的优秀品质，和文化，甚至代表了人类，要如何与自然和谐共存，即使人类未来宜居其他星球，也需要你这种精神。很高兴看到了你的视频，感谢。
忽然想到了你日后遇到了你心怡的男子，有人帮你抬竹子做新的沙发，有人和你一起采摘新鲜的水果蔬菜，多了一个人在饭桌和你，婆婆谈笑风生，然后不就以后你们有了可爱的孩子，一个，两个。。。然后一直一直做这么有爱的视频给我们看，哦，不，享受。。。
希望这个愿望成真。"
52649,UgwPtXITTuZpM_1NuLV4AaABAg,22,"god bless
i tell about the magnificence of nature and its goodness
glory be to god, who mocked the earth and its glory to man

i do not tell about the creativity of the girl, her patience, effort, and strength
it is clear that it is enjoying and it works

the video is beauty and creativity 
praise be to god for the great blessings. this is from the virtue of my lord","上帝保佑
我讲述了自然的宏伟及其善良
荣耀归于上帝，上帝嘲笑地球及其对人的荣耀

我没有说明女孩的创造力，她的耐心，努力和力量
很明显，它很享受，并且起作用

视频是美和创造力
赞美上帝的祝福。这是我主的美德"
4148,UgxL3GNJXi179ZSxcBx4AaABAg,21,"thanking you for the beautiful nature based content. just to say, in my newly released book, re-imagining mathematics, by ashna sen, i explore how the whole of mathematics can emerge from nature, the arts and even community...exactly what you do!",感谢您提供的基于自然的内容。只是说，在我新发行的书《重新想象数学》的书中，我探索了整个数学如何从自然，艺术甚至社区中浮现出来……正是您所做的！
33231,UgxfCdb2HYneTKr33Xx4AaABAg,20,"such wonderful life she have, nature and everything natural , no chemicals and pollution and messy in the street with stressful life ๐ข๐ข๐ข",她拥有如此美好的生活，自然和一切自然，没有化学物质，污染和凌乱的生活，充满压力
37516,UgygxPB5Nnh5LDT2LDx4AaABAg.8u1NbgRB1NN8uC6fzJaBYp,20,yes definitely! iโ€m an introvert who unreservedly loves my family and nature so this lifestyle would fit me perfectly. i really have a tough time working with jerks in the city so yeah...,当然是！我是一个性格内向的人，他不保留我的家人和自然，所以这种生活方式将非常适合我。我真的很难与城市的混蛋一起工作，所以是的...
22448,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN932RpIWBoj9,19,"to be one with nature, to take only what you need and to give back to it. i feel that no amount of wealth can bring you true joy deep in your soul and heart in life than what she portrays.",成为一个自然的人，只采取您需要的东西并回馈它。我觉得，没有比她所描绘的财富能给您的灵魂和内心深处带给您真正的快乐。
17535,Ugx5e7PBrJ1AvcxgG-54AaABAg,18,this is so like harvest moon back to nature: girl version.,这就像收获月亮回到大自然：女孩版本。
27828,Ugxn7d9TPCHaajv0a3J4AaABAg,17,such a sensity as if i got into paradise where people and nature live in harmony ...,那种感觉就像我进入了人和大自然和谐相处的天堂...
11295,Ugz0iVl2hZOZelcWATJ4AaABAg,17,"therapeutic video. the fairy tale is of cow, but soothes. professional shooting. beautiful nature.",治疗视频。童话是牛的，但舒缓了。专业射击。美丽的自然。
6684,Ugx2eMwYAPNmda7B-6l4AaABAg,15,with grace & simplicity. pure beauty in harmony with nature,具有优雅与简单性。纯粹与大自然和谐的美丽
32681,Ugy800mmFiW5Y1YrP-N4AaABAg.8vhRnJy5uF08vsmhvXGg1Z,15,200% nature,200％的性质
14959,UgzQFZjwbIZbXdm0Jsx4AaABAg,14,"this warms my heart..everything looks delicious and well prepared..
you are hardworking and kind
i want this kind of life..where everything is simple and with nature","这使我的心温暖..一切看起来都很美味，准备充分。
你在努力工作
我想要这种生活。一切都很简单和自然"
42147,UgzSVJ7ilKmxb3WDJal4AaABAg,14,i wish i had this life that we coexist with harmony in nature,我希望我有这种生活，我们在自然界与和谐共处
48898,UgxUxrzh2_nXib9I-4h4AaABAg.8qmM3fEmDnz8r5wlZgJiEV,13,you people are projecting your prejudices just because she's chinese. there's even a comment that mentions about asians. the way i see it this is really common amoung farmers or people in rural areas anywhere around the world. you don't see people treating their pets like how city dwellers treats their expensive store bought chihuahuas. they are very used to these animals and to them they're part of the environment and nature. these animals don't need special pet food or weekly baths and grooming. bear in mind that these animals are naturally bred and thus may not fit your typical breeder aesthetics but it doesn't mean that they're malnourished or not taken care of.,您的人们只是因为她是中国人而投射出您的偏见。甚至有关于亚洲人的评论。我看到的方式确实是世界各地的农村地区的普通农民或农村地区的人们。您看不到人们像城市居民如何对待他们昂贵的商店购买的奇瓦瓦人一样对待宠物。它们非常习惯这些动物，它们是环境和自然的一部分。这些动物不需要特殊的宠物食物或每周的洗澡和修饰。请记住，这些动物是天然繁殖的，因此可能不符合您典型的育种者美学，但这并不意味着它们是营养不良或不照顾的。
10239,UgwANVw5Z9JnuV5YHMZ4AaABAg,12,"are there arabs here and wearing, i love to watch food and nature",这里有阿拉伯人穿着，我喜欢看食物和大自然
30346,UgxagW4W_5aNuwYrMCd4AaABAg,11,i love the way she lives with nature.i wish i could also live in a place like that. i'm done with these all urban cultures,我喜欢她与大自然的生活方式。我希望我也可以住在这样的地方。我已经完成了所有城市文化
51940,Ugyh3CjDTCJ5_5vXLWV4AaABAg,11,i love nature as rich as nature photography. i am from iraq,我爱大自然，就像自然摄影一样。我来自伊拉克
35040,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vFmr4U8H7N,10,"all i know is i've been depressed all day long and i don't know why. i think too much. and then this video comes across and it has been popping up for a couple of weeks and i hadnt watched it... but today i did. i just observed and soaked in all the beauty of it....and it really just helped me to change my perspective. there's a lot we can learn from her videos. simplicity and beauty. also notice her priorities and how much it piece she is at. there is so much respect for the family and the animals, nature and all the bounty of the earth we can take whatever we want from this without over-thinking it.",我所知道的是，我整天都感到沮丧，我不知道为什么。我多虑了。然后播放了这个视频，它已经弹出了几个星期，但我没有看过...但是今天我做到了。我只是观察到了所有的美丽。...这确实帮助我改变了自己的观点。我们可以从她的视频中学到很多东西。简单和美丽。还要注意她的优先事项以及她的优先次数。人们对家庭和动物，自然以及地球上的所有赏金都有非常尊重，我们可以从中汲取一切，而无需过度思考。
42456,Ugwy3ANLiS69L9Dt00x4AaABAg,10,"in harmony with nature, the worker, beauty, ✊✋ ✊✋",与自然和谐相处，工人，美丽，✊✋✊✋
4149,Ugx0ioy3s3FKESwhuWl4AaABAg,10,"thanking you for the beautiful nature based content. just to say, in my newly released book, re-imagining mathematics, by ashna sen, i explore how the whole of mathematics can emerge from nature, the arts and even community...exactly what you do!",感谢您提供的基于自然的内容。只是说，在我新发行的书《重新想象数学》的书中，我探索了整个数学如何从自然，艺术甚至社区中浮现出来……正是您所做的！
40302,UgwvRDbN_9JIdbl3Yvh4AaABAg,10,sweet simplicity and the beauty of nature.,甜美的简单和自然的美丽。
4541,UgyGeXOxmdPlHTcHa2N4AaABAg,9,amazing lifestyle. wish everyone can live like that. connected closely to the nature and its beauty. every aspect of this video is unique!,惊人的生活方式。希望每个人都能这样生活。与自然及其美丽紧密相连。该视频的每个方面都是独一无二的！
41745,UgyDJlXg--KRf7QEFt54AaABAg,9,"the meaning of life is a love of nature and labor, joy and eternal update.",生活的意义是对自然和劳动，欢乐和永恒更新的热爱。
30705,Ugzyd4T-Kazn8yORN7B4AaABAg,8,"very relax 
simple
amazing
beautiful 
and calm nobody here just you with the nature enjoying your time","非常放松
简单的
惊人的
美丽的
在这里，没有你的大自然享受你的时间"
38332,UgwIFW6isjL7hsR6h8N4AaABAg,7,"insane, the abilities. honestly amazing. the colors , the care, nature;simply delightful.",疯狂，能力。老实说。颜色，关怀，自然；简直令人愉快。
46647,UgznRayRv0aCLiZInI54AaABAg,7,"those who compare li ziqi and little brother in western yunnan (https://www.youtube.com/chaannel/ucqg_fzadcunbtv1kwjkfaqq/videos?dis? pyright? you must be kidding!
those who compare li ziyi and the little brother in western yunnan are fools. what do they say? copyright blablabla, you must be joking!
these beautiful, smart and hard-working ladies are not competing. they are just directly doing some love, and sharing the beaouth and lovely lighting u. s.
these two smart women are not competing. they are just doing what they like, meaningful things, and then share the beauty of nature and life with us.
we are gathered on the channels because we lovephul nature and wonderful food. some people alway them and say some disgusting words. my opinion is that hard-working peoples are resied everywhere, and those who do nothing and talking bad are the most annoying. (my english is not very good)
we gather on these channels because we love beautiful nature and wonderful food culture. some people always use them to compare them and speak some disgusted words. my point is that the hard -working workers are respected no matter where they are, and those who do nothing to do anything are the most annoying.","Those who compare Li ZiQi and 滇西小哥 (https://www.youtube.com/channel/UCQG_fzADCunBTV1KwjkfAQQ/videos?disable_polymer=1) are fools, copycat? copyright? You must be kidding！
那些把李子柒和滇西小哥进行比较的人都是傻瓜，还说什么模仿者，版权blablabla，你一定是在开玩笑！
These beautiful，smart and hard-working ladies are not competing. They are just doing something they love, and sharing the beauty of nature and lovely lifestyle with us.
这两位聪明能干的女性不是在搞竞争，她们都只是在用心地做着自己喜欢的，有意义的事情，然后和我们一起分享自然与生活的美好。
We are gathered on these channels because we love beautiful nature and Wonderful food culture。Some people always compare them and say some disgusting words. My opinion is that Hard-working peoples are respected everywhere, and those who do nothing and talking bad are the most annoying.（My English is not very good）
我们聚集在这些频道是因为我们爱美丽的自然和美妙的饮食文化，有些人总要把她们拿来比较并说一些让人反感的话语。我的观点是，辛勤劳动者无论在哪里都受人尊敬，无所事事还口吐恶言的人是最让人讨厌的。"
4460,Ugy2wW52jxSZrG4vAwt4AaABAg,7,"the fun of this video is to do it yourself, combining the artistic conception of returning to the original nature of ancient chinese traditional culture.❤️",该视频的乐趣是自己做，结合了返回古代中国传统文化原始本质的艺术概念。
13211,Ugwxwr-_qwqfzs3lF-Z4AaABAg,7,video that understands the importance of nature,了解自然重要性的视频
37713,Ugy1MdB_pBSaxUIidh94AaABAg,7,"humans are always sabotaging the nature, but you see this passage. you can go back to life again",人类总是在破坏大自然，但是您会看到这段经文。您可以再次重生
1202,UgxRaQxtxP_Vbh8DHw14AaABAg,7,"amazing girl as always, making ordinary things into beautiful and delicious foods. enjoy the nature scene and peaceful life!",一如既往的惊人女孩，将普通的东西变成美丽可口的食物。享受自然界和和平的生活！
23892,UgzN36PZzuOygNMv-AN4AaABAg,7,"is there an arab here in the comments? what are these beautiful forests where do they live? their food is all of nature
i will comment on english and ask, and god is generous to me, they will answer me","评论中有阿拉伯人吗？这些美丽的森林是什么？他们的食物都是自然的
我会评论英语并问，上帝对我很慷慨，他们会回答我"
13763,UgztB5Rl08wK8xTabzl4AaABAg,6,i think she gonna sell them all.... wow... d beutfl nature nd her life was amazing and bless with that food,我想她会全部卖掉它们。。。
20910,UgxbKRpBovS4jA6rNqJ4AaABAg.946AnDac2eu94VweICoSh2,6,"you know, when i spend my time in nature during holidays , i feel so happy, i prefer to run, to jump, to lie down on the grass",你知道，当我在假期里度过大自然时，我感到很高兴，我更喜欢奔跑，跳跃，躺在草地上
10692,UgzggH3LcmPPa1jXggR4AaABAg.9FeQNDjrQiy9Ft1MHa6Gk8,6,"not really, i used to live in a tropical village close to the mountain ,people were poor in money but rich in nature ,they didn't need a lot of money bec everything was there ,fruits , vegetables, etc ,you don't need a big land to live like this ,if you live in the village that whole village is yours bec it's for everyone",不是真的，我曾经住在靠近山附近的热带村庄，人们的钱很差，但大自然，他们不需要很多钱，因为一切都在那里，水果，蔬菜等，你不需要如果您住在整个村庄是您的村庄，则需要一个大土地才能这样生活
16871,UgzSP_zjVHGXL-5JqZB4AaABAg,6,everyone out there dont let your destiny in hands of capitalism rasing the prices... decreasing the price.... playing with your bread and life .....buy a land and start living with nature in nature and quit slavery,那里的每个人都不要让您的命运掌握在资本主义的手中...降低价格...。
52664,UgwPtXITTuZpM_1NuLV4AaABAg.8qlKxPIZEDV8qlM-crjzf3,6,"god willing, does the daughter god protect her, lord. akkhkh, but arab girls, hebbe. what is the makeup. and brands. is the girl what is not islam, only? may god guide her to them. do you have nature. glory be to god. what is the most beautiful creation",上帝愿意，女儿上帝保护她，主。 akkhkh，但是阿拉伯女孩，赫布。什么是化妆。和品牌。女孩不是伊斯兰教吗？愿上帝指导她。你有大自然。荣耀归于上帝。什么是最美丽的作品
29965,UgybelUDooxtmOt9nud4AaABAg,6,this is the definition of loving the nature if you love the nature it will pour you it's blessings,这是爱自然的定义，如果您爱大自然，它将倾诉您，这是祝福
33820,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48yTmeeXCYVX,6,"@kathaleenwood2426 thank you for your reply. even if i didn't know you in person, i can still understand how you feel. you're like a mother to me and i wish you happiness and good health as what i always pray for my parents.
i am a 23 year old lady from the philippines. me and my sister used to live in the province but since we need to go in college we moved in the city all by ourselves. after finishing college, the reality will suddenly hit you. this teached me a lot of lessongs in life.
now we are both working as an accountant but deep down in our hearts, we also know that this is not the true meaning of life. you work hard and pay your bills then repeat. life should be living with happiness, love, security and peace.
our time will come and this is only temporary. we will work hard for now to save money and buy farms in our native land.
our dream is to live again with our parents permanently after a decade. employ some local workers,aetas to be specific, and treat them as our own family.
aetas are one of the filipino tribes who live in the mountains. everybody thinks it will be easy to live in the mountains. dig, plant and harvest doesn't yield any assurance every harvest time since climate change happens. i emphatize them for begging money on the road during christmas day and other special holidays. this people will be my advocacy. 
i know i'm still young. but what i have learned is that in my country it is not enough that you are either physically capable of doing things or intellectually excellent to have a good job and understand the fast forwarding modern world. you should acquire both as superior people will surely take advantage of your innocence. imagine companies buying coffee beans from farmers at only 8 pesos per kilo (1 us dollar = 50-54 pesos). 

i will strive harder everyday and make other people live a life the way it should be. i want to have a purpose in life and reconnect with the nature once again during my retirement years :)","@kathaleenwood2426感谢您的答复。即使我不亲自认识您，我仍然可以理解您的感受。您就像我对我的母亲一样，祝您幸福和身体健康，因为我一直为父母祈祷。
我是来自菲律宾的23岁女士。我和我的姐姐曾经住在该省，但是由于我们需要上大学，所以我们独自搬到了这座城市。大学完成后，现实将突然袭击您。这教会了我生活中的很多少数。
现在，我们俩都在为会计师工作，但内心深处，我们也知道这不是生活的真正含义。您努力工作并支付账单，然后重复。生活应该以幸福，爱，安全与和平生活。
我们的时间会到来，这只是暂时的。我们现在将努力省钱，在我们的祖国购买农场。
我们的梦想是在十年后与父母永久与父母一起生活。雇用一些当地工人，特定的AETA，并将其视为我们自己的家庭。
Aetas是住在山上的菲律宾部落之一。每个人都认为住在山上很容易。自气候变化发生以来，挖掘，植物和收获并不能在每次收获时间中获得任何保证。我强调他们在圣诞节和其他特殊假期期间在路上乞讨钱。这个人将是我的倡导。
我知道我还很年轻。但是我了解到的是，在我的国家，您要么身体上有能力做事，要么在智力上出色地做好工作并了解快速转发的现代世界是不够的。您应该获得两者，因为高级人士肯定会利用您的纯真。想象一下，公司从农民那里购买咖啡豆，每公斤仅8比索（1美元= 50-54比索）。

我每天都会更加努力，使其他人按照自己的生活生活。我想在我的退休年中重新与大自然重新建立目标：)"
33787,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w8YJE8wrJ0,5,"hmmm. that might actually be right... this isn't about making the most money/being the most rich. more like only having to buy items from the store that you really need that you can't make by yourself, and just living life in nature",嗯。这实际上可能是对的...这不是要赚钱/最富有。更像是只需要从商店购买的物品，您真正需要自己不能独自制作的商品，而只是在自然界生活
21793,Ugwag9NCUwc9dVfASAR4AaABAg,5,i love how she uses nature like this instead of polluting the environment with trash in the sea and smoke in the air,我喜欢她如何使用这种自然，而不是用垃圾在海中污染环境，并在空中吸烟
14966,UgwBnVgDHkJL1L3DEUN4AaABAg,5,"hello everyone, early in the beaming morning i went to look at my
beautiful garden. i cached a sight for sore eye. did you know what is it? it is
a fanciful pumpkin leaves laughing with me. it was amazing. beauty of nature is
my life part and i really enjoy with it. when i was looking beady pumpkin
leaves my mind was remind to me great idea ""in a jiffy, please go and make
a delicious pumpkin leaves mallum"". today i'm going to show you how to
make pumpkin leaves mallum.


if you interest, stay and watch to the end. please don't forget to
click the subscribe button, like, comment and share with your friends. thank
you.


https://www.youtube.com/watch?v=ifksuegazqc","大家好，在灿烂的清晨，我去看我的
美丽的花园。我缓存了一眼酸痛的眼睛。你知道这是什么吗？这是
一个幻想的南瓜叶和我一起笑。这是惊人的。自然之美是
我的生活部分，我真的很喜欢。当我看着珠南瓜
离开我的想法让我想起了一个好主意：“在一个吉菲，请去
一个美味的南瓜叶玛拉姆。今天，我将向您展示如何
做南瓜叶。


如果您感兴趣，请留下来看到最后。请不要忘记
单击“订阅”按钮，喜欢，评论并与您的朋友分享。感谢
你。


https://www.youtube.com/watch?v=ifksuegazqc"
