,cid,votes,time,含nature,含nature中文翻译
28489,UgzIlPfMgT8UA49gInF4AaABAg,116,3 years ago (edited),"what i like so bad and it is so impressive she never uses"" plastic"" no harming nature
terribly wish i could join that bliss for only one day !","我如此糟糕的东西，令人印象深刻，她从不使用“塑料”没有伤害自然
非常希望我只能加入那个幸福！"
14712,UgxCv7t-PZ3g7-WyfWx4AaABAg,67,3 years ago,"the quality, music, sound of nature, the sound of the pots and cutting are so calming to me",质量，音乐，大自然的声音，花盆的声音和割ch的声音对我来说是如此平静
22921,UgwuIIDKTgk1TaxY4qt4AaABAg,67,3 years ago,"i envy the life you have. simple living no comlexities, just being with mother nature.
it used to be like this man was just uncontented and turned into a life full of difficulties.","我羡慕你的生活。简单的生活没有共同点，只是与大自然与大自然在一起。
曾经像这个男人一样毫无意义，变成了充满困难的生活。"
4366,UgzTV687H9RI-AJwf3B4AaABAg,61,2 years ago,"watching her cooking while eating was so satisfying, my ordinary food become delicious because what? we shud appreciate what nature gave us to eat.",看着她吃饭时的烹饪是如此令人满意，我的普通食物变得美味，因为什么？我们欣赏大自然给我们吃的东西。
6462,Ugyqp4Jh5zIYUdG7IRV4AaABAg,58,2 years ago (edited),this is how we supposed to live on the earth cuz we take from nature and give back to nature...,这就是我们应该生活在地球上的方式，因为我们从自然中夺走并回馈自然...
30791,UgzmqjkWfDbMH9dZX1t4AaABAg,57,3 years ago,"everytime i watched her vids, i heard the nature singing.. nice one. all in all. a million thanks for this wonderful vids! im still amazed",每当我看着她的视频时，我都会听到大自然在唱歌。总而言之。一百万感谢这个美妙的视频！我仍然惊讶
5305,UgyaFIYSzsLol9Gr7jF4AaABAg,56,2 years ago,"the sounds, the visuals... everything seems so peaceful! i wish i could spend a month there just to detox and get back close with nature.",声音，视觉效果...一切似乎都很宁静！我希望我可以在那里度过一个月的时间来排毒并与大自然联系起来。
27952,UgwcL7pl3k4GFsOKdSx4AaABAg,54,3 years ago,"she is blessed by mother nature...
i wish if every part of the earth looks like her province one day..
if we love nature...we should also take care of nature..","她被大自然的祝福...
我希望有一天地球的每个地方看起来像她的省。
如果我们爱自然...我们也应该照顾大自然。"
3886,Ugx_NcPcKBlYcyCeUtV4AaABAg,48,2 years ago,i almost came down to tears after watching this.. maybe we all are so trapped in city life that we almost forgot what staying close to nature is,观看这件事后，我几乎流泪了。也许我们所有人都被困在城市生活中
25080,Ugxx19Ia0ByhC1paplt4AaABAg,47,3 years ago,"this way of returning to nature,
reminded. essence
back to the truth, i am worried about chemicals, excessive processing, anticorrosive, and spice pigments. essence
the plate made of the tree trunk, the wooden spoon made me love to death. essence
with such an opportunity to live in such a simple place for a few days, relieve the city's pressure on his back, and it is so stuffy! ~","这种回归自然的生活方式，
真令人回味。。
返璞归真，甭担心化学物质，过度的加工，防腐，香料色素。。
那树干制成的盘子，木料勺子让我爱死了。。
能有这种机会到这样纯朴的地方住上几天，舒解城市人扛在背上，闷在心里的压力，多好！～"
5627,UgwpUI0m8Mk-QT1ICNl4AaABAg.9G4tMmRfxew9GAL19rXl0S,47,2 years ago,"@tomrauhe do you think humans aren't all flesh and blood animals that are part of the same food chain? humans have the same basic right to hunt and kill for food as any other animal. maybe if you were more connected to nature, you would understand that. if something comes to harvest me and i can't fight it off, i guess i'm gonna get ate. it's just the nature of things, dude.",@Tomrauhe您认为人类并不是同一食物链中一部分的肉体和血液动物吗？人类具有与其他动物相同的基本权利进行狩猎和杀害食物的权利。也许，如果您与自然之间的联系更加紧密，您会明白这一点。如果要收获我，而我无法与之抗争，我想我会吃饭。伙计，这只是事物的本质。
847,UgyYhA_042gFmYXkDLp4AaABAg,36,11 months ago,i am delighted with her get everything from nature to make her meals !!,我很高兴她从大自然中得到一切，做饭！！
17399,UgyjpfesSPuwYp3Fnw14AaABAg,33,3 years ago,i don’t know what to say just everything is so perfect and nature,我不知道该说些什么，一切都是如此完美和自然
8822,UgzDfAKViIMTcjDaZON4AaABAg,32,2 years ago,i love that her main dinning area is out door! what a blessing to be enjoying the food surrounded by nature!,我喜欢她的主要用餐区不在门外！享受享受大自然包围的食物的祝福！
31075,UgySDT8GBH6dMKvNr8h4AaABAg,26,3 years ago,my god she s playing with nature and doing cooking like a game...keep going sister..with love from india..,我的天哪，她与大自然一起玩耍，像游戏一样做饭...继续姐妹。
8642,UgwEeceQBwUWUvvNu2p4AaABAg,26,2 years ago (edited),"i used to live at my grandma's house when i was kid, it is located in countryside. watching your video makes me recall my childhood memories. now that my family move to a city, i want to enjoy this kind of nature yet i cant",我小时候曾经住在祖母的房子里，它位于乡村。观看您的视频使我回想起童年的回忆。现在我的家人搬到了一个城市，我想享受这种性质，但是我不能
26758,UgxV4FnquLweO_BNs-14AaABAg,24,3 years ago,"you're really good at cooking.
i really envy you for living in nature.
i don't have much credit.
i've seen","你真的很擅长做饭。
我真的很羡慕你生活在大自然中。
我没有太多的荣誉。
我见过"
33520,UgzGXtm4OPuQrqpm-2J4AaABAg,21,3 years ago,"li ziqi , the princess of nature, the quintessence of perfection ...",Li Ziqi，自然公主，完美的精髓...
32829,Ugz3Z-lWwV0-ffXBZHF4AaABAg,19,3 years ago,your channel is beautiful and the land around you is stunning nature and wonderful views and take you to another world.,您的频道很美，您周围的土地是令人惊叹的自然和美景，并带您前往另一个世界。
1274,UgyH3nU0RVYslOlnZp54AaABAg,18,1 year ago,that important a life where so many food resources is obtained thanks to the work of a woman who lives in harmony with nature. it is also an excellent cook.,由于一位与自然和谐相处的妇女的工作，获得了如此多的食物资源的重要生活。这也是一位出色的厨师。
27031,UgwGlXbdzgnihHJfG094AaABAg,18,3 years ago,"that's why people there have less cardiovascular disease and cancer. they live in harmony with and from nature. in our high industry, only the profit of the pharmaceutical and food industry counts at the expense of health. finally wake up ...",这就是为什么那里的人患心血管疾病和癌症的原因。他们与自然和谐相处。在我们的高层工业中，只有制药和食品行业的利润才能以牺牲健康为代价。终于醒了...
33124,UgxU8sHB2LekqzQgAud4AaABAg,17,3 years ago,heaven is a place on earth right where you live!. i admire your beautiful lifestyle filled with nature's abundance! always making full use of the resources. thank you for all the videos that brightened our life!,天堂是您居住的地球上的一个地方！我欣赏您充满大自然的美丽生活方式！始终充分利用资源。感谢您的所有启发我们生活的视频！
3319,UgwTcx_ve8VU48SdRD54AaABAg,17,1 year ago,what do i say that the talk is unable to describe this content. the beauty of nature and the benefit of the goodness of the earth and the beauty of photography and directing. and the same cooking is something,我怎么说谈话无法描述此内容。大自然的美丽以及地球善良的利益以及摄影和导演的美丽。而且同样的烹饪也是
12162,Ugwe2fsKWeEO0_IqqPF4AaABAg,16,3 years ago,"it's reminded me with my grandma, we life in the nature like that ,and now she was passed away and our life gone change ,",这让我想起了我的祖母，我们在那样生活中的生活，现在她去世了，我们的生活变化了，
4164,UgwLNu47aRbiovdaVCF4AaABAg,16,2 years ago,"wonderful nature, i really miss my childhood memories in the village",奇妙的天性，我真的很想念我在村庄的童年记忆
20144,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91GbGtBlYoG,15,3 years ago,"it would be beautiful, but the amount of effort to keep such nature alive and thriving is equally as difficult. i would love to move to somewhere away from modern civilization and just learn how to live in such an environment..... it would be so worth it.",这将是美丽的，但是保持这种天性和繁荣的努力同样困难。我很想搬到远离现代文明的地方，只是学习如何在这样的环境中生活.....这是非常值得的。
22103,UgwVa8yD1DPNE9IDA514AaABAg,15,3 years ago,"children also like li ziyi's video, very close to nature, and learn to enjoy life ＾ ~ ＾",小朋友也很喜欢李子柒的影片，很贴近自然，也学习享受生活＾～＾
4845,UgyQB62cRBPM8hkdjMF4AaABAg,14,2 years ago,the harmony of beauty and nature in you! happiness to you and your grandmother - health and longevity!,你在你身上的美丽与自然的和谐！祝您和您的祖母幸福 - 健康与长寿！
34524,UgyUieem38jTnsuUj_x4AaABAg,14,3 years ago,"perfect, everything perfect... her so cute and beautiful. i love her and nature here",完美，一切完美...她如此可爱和美丽。我在这里爱她和自然
23089,UgymhEjjUGYIENlpCAx4AaABAg,14,3 years ago,"this lady has everything fresh vegetables, fresh fruits,beautiful flowers all in her garden good nature peaceful place what a life she live in paradise simple life but full of good memories she's very talented and very hardworking very loving to her grandmother that's why she is bless and successful because she has good heart she is beautiful inside and out nobody can do what ever she did she can do everything her body is small but she's very strong to carry heavy things wow just wow ❤❤",这位女士有一切新鲜蔬菜，新鲜水果，美丽的花朵在她的花园中的美好自然宁静的地方成功，因为她有良好的心，她的内在和外面都很漂亮
3397,UgwuJPc2TAvaUVPNXYh4AaABAg,13,2 years ago,"watching li ziyi's video, i can feel the unique charm of nature. i feel very good. it is a pleasant enjoyment!",看李子柒的视频，能感觉到大自然的独特魅力，心情非常好，是一种心旷神怡的享受！
28417,UgwG7Dn9W9JLhCX-ddp4AaABAg,13,3 years ago,"she lives in harmony with nature ....
me ...i watch in youtube..dam i'm usless","她与自然和谐相处。
我...我在YouTube看。"
9135,UgxfZGWrlWvdO6E-l814AaABAg.9APD1y8AgAS9AojaTdWDgj,13,2 years ago,"drama ? it looks like heaven to me, everything รฎs natural and green all around her, what more one can wish for, beautiful nature, rich habitat...",戏剧 ？在我看来，它看起来像天堂，周围的一切都自然而绿色，一个人想要的东西，美丽的大自然，丰富的栖息地...
15280,Ugwg2v98YNGIkwlhtnt4AaABAg,12,3 years ago,food with nature is what we miss in this mechanical world. we are forgetting our interaction with nature. thess video tells what i really missing,在这个机械世界中，我们错过了与自然的食物。我们忘记了我们与自然的互动。 Thess视频告诉我我真正想念的
3972,UgzddFErU7M5OM42IZ94AaABAg.9Lavf9Moto19OA3k3o-lBE,12,2 years ago,"i feel the same. humanity has stray from nature with our modernization and materialism. even though we have riches, we feel empty inside. but whenever we go for hike into nature we feel a sense of happiness and peace. our spirit was born from nature so we are always connected to it.",我也是这么感觉的。人类与我们的现代化和唯物主义相偏离自然。即使我们有财富，我们也会感到内心空虚。但是，每当我们徒步进入大自然时，我们都会感到幸福与和平的感觉。我们的精神是从大自然诞生的，所以我们始终与它联系在一起。
5404,UgyEUGjgz3If7omZWFJ4AaABAg,11,2 years ago,an example of how to live right with nature. plus delightful traditional chinese dishes! everyone should watch liziqi.,如何与大自然生活的一个例子。加上令人愉悦的传统中国菜肴！每个人都应该观看Liziqi。
31349,Ugx_oPEqNBthe4cdrYN4AaABAg,11,3 years ago,like princess mononoke (*'▽ ｀*) i also want to live in nature ☆ it's a very enviable life!,就像蒙诺克公主（*'▽｀*）一样，我也想生活在自然中☆这是一种非常令人羡慕的生活！
32751,UgxAABEpc-SAO_QNBaZ4AaABAg,11,3 years ago,"my dream house is her house.
somewhere far from the city. surrounded by nature and most of all, i have a garden of my own.","我梦dream以求的房子是她的房子。
远离城市的地方。被大自然所包围，最重要的是，我有一个自己的花园。"
3868,UgwH74kFciN1-IaiJ0B4AaABAg,10,2 years ago,i just amazed by how she use all the leaves vines ect as packing of food or rope while me struggling going to barware store or supermarket to buy so many plastic products...... 's touching me everytime when she show me the skills and wisdom of how to deal with nature. also i feel sorry that my grandparents are no longer able to pass on me their knowledge of how to use bamboo and traditional local dishes...... all of the short stay in rural area are shining memories to me.,我只是对她如何使用所有叶子葡萄藤作为食物或绳索的包装感到惊讶我们决定找到一所拥有大土地的房子，以创造像她家一样的维度。当她向我展示如何处理大自然的技能和智慧时，每次都会感动我。另外，我感到很抱歉，我的祖父母不再能够传递他们对如何使用竹子和传统当地菜肴的知识……在农村地区的所有短暂住宿都对我来说都是闪耀的回忆。
1367,UgyK3lkycrWXjxJDwzV4AaABAg,10,1 year ago (edited),"i love watching your videos. our family ties are very nice to take advantage of nature, nature. i am turkish, our food culture is not similar, but i am watching because you like your work and healthy diet.",我喜欢观看您的视频。我们的家庭关系非常适合利用自然，大自然。我是土耳其语，我们的饮食文化并不相似，但我正在看，因为您喜欢您的工作和健康的饮食。
13367,Ugxf_s_q7Zn2Y0ooqNV4AaABAg,9,3 years ago (edited),"aside from the super oily cooking and sometimes too much sweet, everything else is perfection and inspiring. the nature, the mountains, the gardens, the ingredients, the natural environment including appliances, your incredible skill in everything, your strength, the creativity.. the angles, and the video editing..well done~
the sound capturing of every activities is also amazing.. almost like asmr. beautiful background music. relaxing and beautiful.
you potray what you had said.. to show where the food we eat comes from. the works behind it. and the variety of the nature.","除了超级油腻的烹饪，有时太甜了，其他一切都是完美和鼓舞人心的。大自然，山脉，花园，成分，自然环境，包括设备，您的一切都在一切方面，力量，创造力。
每个活动的声音捕获也很棒。几乎就像ASMR一样。美丽的背景音乐。放松和美丽。
您是您所说的话..以展示我们吃的食物来自何处。它背后的作品。以及自然的多样性。"
18552,UgyftR_VY4yxe8ZpG0N4AaABAg,9,3 years ago,"this is so amazing to watch . i wish i could live like this, i'm sure its very hard but being one with nature and being able to supply for your family from what your landscape offers is such a magical thing. i'm jealous of how you live, you are beautiful and smart and doing amazing things for the environment. thanks for letting us watch your beautiful life. its so peaceful",这真是太神奇了。我希望我能像这样生活，我敢肯定这很难，但是与大自然的人成为一个人，并能够从景观提供的东西中为您的家人提供如此神奇的事物。我嫉妒您的生活，您是美丽而聪明的，为环境做了不起的事情。感谢您让我们观看您的美丽生活。它是如此和平
31390,UgyUNuLgMncmFJISwPB4AaABAg,8,3 years ago,"awesome life ....
glory of nature ...
food","很棒的生活...
自然的荣耀...
食物"
31851,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yVEzTQ45kb,8,3 years ago,"glorify god, he is ""i am,"" ""yehovah,"" .. he made all things for us to marvel at his majesty in the design of nature around us.
her homeland in china is breathtaking.

i want to go visit her to tell her about jesus..

i think most people want to go visit her to see her amazing home, gardens, and eat her food..

i am sick too..

so sorry to hear you are sick and in the hospital. i will pray for god's will in your life..and that you would trust him now, turn to him..

god the father, made a way through his son, jesus..for us to be saved and to live right before him. faith in jesus's death on the cross, burial, and ressurrection from the dead, is what saves us..we have newness of life forever..as our sins are forgiven us. 

there is no other way to be saved from god's judgement and wrath to come. 

jesus, is our only hope, our shield, our rock to stand on, our salvation!

her videos are amazing to watch and she is a very beautiful, talented, and very hard-working, disiplined person..but she does not have any knowledge of the god of abraham, issac, and jacob, and his only begotten son, jesus of nazareth, the kings of kings...the lamb of god.","荣耀上帝，他是“我是”，“耶和华”。
她在中国的家园令人叹为观止。

我想去拜访她告诉她关于耶稣的事。

我认为大多数人都想去拜访她，看看她的奇妙家园，花园和吃她的食物。

我也病了..

很遗憾听到您生病了。我将为您一生中的上帝的旨意祈祷..您现在会相信他，转向他。

父神，通过他的儿子耶稣。对耶稣的死在十字架上的信仰，埋葬和从死里的遗嘱中拯救我们。

没有其他方法可以从上帝的审判和愤怒中拯救出来。

耶稣是我们唯一的希望，我们的盾牌，我们的岩石站在我们的救赎！

她的视频令人惊叹，她是一个非常美丽，才华横溢且非常努力，有教养的人..但是她对亚伯拉罕，伊萨克和雅各布的上帝不了解，他的独一儿子，耶稣，拿撒勒人，国王之王...上帝的羔羊。"
12244,UgyoVkSpjiCgORXsKx14AaABAg,8,3 years ago,"just to hear the music, the sounds of nature and you pitter patter around your gardens and kitchen :)",只是为了听音乐，大自然的声音和您的花园和厨房周围的刺激性:)
13092,UgymypA6HinBBANUzuZ4AaABAg.95zW9zXKP0O96MU3XsFM0V,8,3 years ago,@md.yusufshihan477 i love the setup which captures nature's beautiful landscape in that area its wonderful,@md.yusufshihan477我喜欢捕捉大自然在该地区美丽景观的设置
26732,Ugy34oI_3OoR5AXqHUl4AaABAg,8,3 years ago,"i love your world. i like your way of living so much, so simple! the nature that surrounds you is wonderful and generous! how i wish i was there!",我爱你的世界。我喜欢你的生活方式，如此简单！周围的天性是美好而慷慨的！我希望我在那里！
23990,Ugyh4EPC6sE1Uziou7R4AaABAg.8zYBJ5loH278zbuR_tA3_I,8,3 years ago,"yap no plastic, no chemical . all from nature and eco friendly",yap没有塑料，没有化学物质。全部来自大自然和环保的
3837,Ugw2JW9dIHSFogTjR7J4AaABAg,7,2 years ago,"thanks to the authors and the creators of the channel. everything is interesting - nature, life, clothes, dishes, cooking. very, very interesting. thanks again!!!",感谢频道的作者和创建者。一切都很有趣 - 自然，生活，衣服，菜肴，烹饪。非常非常有趣。再次感谢！！！
32299,UgwvN1AcW7Ba8AOSg8d4AaABAg,7,3 years ago,what else is needed? nature-mother gives everything. and the hands of this cinderella - gold !!!,还需要什么？大自然母亲给予了一切。和这个灰姑娘的手 - 黄金！！！
29144,UgysSCU_3oSp6aW4psd4AaABAg,7,3 years ago,"living within nature
breathing fresh air
eating without chemical food
no tension about studies and jobs
family to care about
water full of minerals
animals in their habitat

my unachievable life goals","生活在自然中
呼吸新鲜空气
没有化​​学食品就餐
没有关于研究和工作的紧张
家庭关心
充满矿物质的水
动物在栖息地

我无法实现的生活目标"
31651,UgwxfCeuRgSF9xnSspJ4AaABAg,6,3 years ago,"eat the blessings of nature
eat the blessings of nature.
this is the ""medical and food same source"".
this is exactly ""eat healthy, live healthy"".
i want to live like you!
i want to live like liziqi!","吃自然的祝福
吃自然的祝福。
这是“医疗和食物相同的来源”。
这完全是“健康，健康的健康”。
我想像你一样生活！
我想像利兹基一样生活！"
33252,UgztbIESKD0ThaEHN6V4AaABAg,6,3 years ago,i am exploring the nature through your videos,我正在通过您的视频探索大自然
25634,Ugxq4PaAXK3u34cwx1N4AaABAg,6,3 years ago,"there are no machines or plastics here, just nature and life。",这里没有机器或塑料，只是自然和生命。
23453,UgwBNQDYwhYRutE00xF4AaABAg.8zj0F8MxqZ48zqq4yaKKSb,6,3 years ago,amazing！you notice the tiny which creat by nature.everything seem so friendly quite and harmonious，and the gril too！this feeling is called 天（nature）人（human）合（combine）一（origin） in chinese .this video id full of our culture which different to other,惊人的！您注意到自然创造的微小。一切似乎是如此的友好和和谐，而且gril也是如此，这种感觉被称为（人体）（人类）（人类的compine）（compine）（compine）（中文）。充满了我们与其他不同的文化
29522,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58yatW5TeYRT,5,3 years ago,@rakshapaudel6776 all is from one planet that is earth i really enjoy mostly conected to nature,@rakshapaudel6776全部来自一个地球，我真的很喜欢大自然
33117,Ugw9aKFd2yoU0UK_Q914AaABAg,5,3 years ago,"ziyi, envious you can live in nature, can absorb the energy of nature every day, eat organic food, thank you for sharing the beauty of nature with us.",子柒，好羡慕你能在大自然中生活，每天能吸收大自然的能量，吃有机食物，谢谢你分享给我们大自然的美。
6111,Ugw-HjzxPFzmXVkJr454AaABAg,5,2 years ago,"without talking anything this video expressed everything..after watching your video, i wish to live in a village as yours..your house is soo gorgeous and beautiful.. the nature and weather of your village is so clam and charming that makes everyone wish to have a life like yours..loveโคโคโค you soooo much from bangladesh ๐ง๐ฉ๐ง๐ฉ",在看视频之后，我想像您的村庄一样住在一个村庄。拥有像你一样的生活。
25344,UgzIGbrp6y_tFZowORl4AaABAg,5,3 years ago,"i dnt wnt my future wife to be rich with luxurious things nor beautiful i just wnt like you with full of honour who can cook well n sty beautiful nature place away for pollute city life 
will you marry meh ????","我不愿意我未来的妻子充满奢华的东西，也不是美丽的我，我只是像你一样充满荣誉，可以很好地烹饪美丽的自然风格，以污染城市生活
你愿意嫁给我吗？？？？"
7679,UgwjOzqXfhZu_E5TQ9h4AaABAg,5,2 years ago,"hi liziqi, your life is so inspiring! i really enjoy watching your video. i think you are so lucky to live a life full of nature. i wish your life be more fruitful and more exciting. thank you and god bless to your channel and your family!",嗨，利兹奇，你的生活真是令人鼓舞！我真的很喜欢看你的视频。我认为您很幸运地过着充满自然的生活。我希望您的生活更加富有成果，更令人兴奋。谢谢您，上帝保佑您的频道和家人！
35189,UgxApuGpU_vCZLoOxhx4AaABAg,4,3 years ago,i love a nature sound ❤❤❤ your'e so always beauty,我爱大自然的声音❤❤❤你们总是美丽
11253,UgzXj-Mx5zxZQHYOk2N4AaABAg,4,3 years ago,natures sound with a wonderful music and a gorgeous girl i am in love,出色的音乐听起来很棒的音乐和一个我恋爱中的华丽女孩
13710,UgyMo3RaO9ODJL8ok6V4AaABAg,4,3 years ago,thats y no cancer for them everything is extracted from d nature without adding preservatives,那是没有癌症的y癌症
15080,UgybbDpm6SSjdmGqmu14AaABAg,4,3 years ago,who taught this girl how to cook so many things out of nature,谁教这个女孩如何做这么多大自然的东西
19962,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92CHAnDkdeZ,4,3 years ago,"@07diandian thank you for your reply. i praise your mother for her cooking skills. i like ms. li's video clips because i grew up in the countryside in south china. i understand her life is hard, yet she presents it so beautifully and artistically that she is entitled to this full glory from all over the world. ms. li's patience, skills and proximity to mother nature is a great model for us all.",@07diandian谢谢您的答复。我赞美你妈妈的烹饪技巧。我喜欢李女士的视频片段，因为我在中国南部的乡村长大。我了解她的生活很艰难，但她在艺术上如此精美，艺术上的呈现，以至于她有权获得来自世界各地的全部荣耀。李女士的耐心，技巧和与大自然母亲的距离是我们所有人的绝佳典范。
20130,UgzWDCM5VHlrVcjpwQ54AaABAg,4,3 years ago,i feel calm while watching this video by the scenic beauty of the nature,我在观看这部视频的自然风光时感到很镇定
