,cid,votes,time,含want,含want中文翻译
30711,UgyLzQxSX-Xr9lsYQYB4AaABAg,83,3 years ago,i love the chinese culture of living and i want to live in quiet places like this ☺️,我喜欢中国的生活文化，我想住在这样的安静的地方☺️
12620,UgwXt8TMzqfcyKJivrZ4AaABAg,80,3 years ago,“careful when replicating this at home. we don’t want fermented fingers/fingertips” lol i love the funny caption,“在家里复制此时要小心。我们不想发酵手指/指尖”大声笑我喜欢有趣的标题
6573,UgyJYKtGZcL-3TvQYDt4AaABAg,72,2 years ago,"the house is nice and i want to live there. delicious food...every time i see it, i admire it.๐‘๐‘๐””๐",房子很好，我想住在那里。美味的食物...每次看到它，我都很佩服。
23640,UgzsnaN3UWCEAPnUB8B4AaABAg,63,3 years ago,"""careful when replicating this at home. we dont want fermented fingertips and nails""
me: oh liziqi got jokes huh?","“在家里复制它时要小心。我们不想发酵指尖和指甲”
我：哦，利兹奇开了笑话吧？"
2419,Ugx9V95RGuWqinusZMN4AaABAg,62,1 year ago,why do i just sob when i watch this? i want this life so bad. never thought i would be so sick of technology.,当我看这个时，为什么我只是抽泣？我希望这一生太糟糕了。从来没有想过我会对技术如此讨厌。
30193,UgxrXJV7z1h2IN21zHZ4AaABAg,57,3 years ago,"i really want to meet her and say...
thank you... those twenty minutes were completely worth it...","我真的很想见她说...
谢谢...那二十分钟完全值得..."
30720,UgzErB0qJ6RgkSbR-vx4AaABAg,54,3 years ago,"when i started to watch her videos, i no longer want an extravagant life. sml ❤️",当我开始观看她的视频时，我不再想要奢侈的生活。 SML❤️
13915,UgzgJjGL0q4IQHjGl7J4AaABAg,53,3 years ago,i want your grandmothers life: relaxing on the swing watching my food being prepared!,我想要你的祖母生活：放松秋千，看着我的食物正在准备！
27338,UgyqjPTHhS1Rq92a9Hd4AaABAg,47,3 years ago,we want to see your garden can you just upload the full video and how you are growing plants.,我们希望看到您的花园，您可以上传完整的视频以及如何种植植物。
4114,Ugye0kSYeLdQW_-j1_54AaABAg,45,2 years ago,"i love your videos! they are so peaceful and the epitome of what i want someday for my life. i always come back to this one and the year of the pig chinese new year! they are two of my favorites (though the newest new years video was amazing!). much love from florida, usa",我爱你的视频！他们是如此的和平，是我一生中想要的东西的缩影。我总是回到这个新年猪新年的那一年！它们是我的两个最爱（尽管最新的新年视频很棒！）。来自美国佛罗里达州的很多爱
34415,UgwptJI-ghDrSyrpmMN4AaABAg,45,3 years ago,this is not only hai youtube vedio this is a imagination of beauty and hardwork and i also want to live her life any one else,这不仅是Hai YouTube Vedio，这是对美丽和努力的想象，我也想过她的生活
19440,Ugy-eU4sUYK9WQWxFCx4AaABAg,44,3 years ago (edited),"6:55 captions on.
""careful when replicated this at home. we dont want fermented finger tips and nails"" loll .","6:55字幕。
“在家里复制时要小心。我们不想要发酵的手指尖端和指甲。” Loll。"
34854,Ugww8WabgL_AcHDqfb94AaABAg,44,3 years ago,"thank you sooooo muchhhhh for uploading your videos frequently 
god bless you for moving and helping all the people emotionally.
you are such a great person and i want to remind it to you in case if you feel like you havent been told enough how admiring and beautiful young lady you are","谢谢您soooo muchhhhh经常上传您的视频
上帝保佑您动摇和帮助所有人情感上的人。
你真是个好人，我想提醒你，以防万一你觉得自己还没有被告知足够钦佩和美丽的小姐你是"
28085,UgzpXTttTRI4RfffQXt4AaABAg,43,3 years ago,"3days 3m view...
it mean something.
we all want live like her in deep in our instincts.","3天3M视图...
这意味着什么。
我们都希望像她一样生活在我们的直觉上。"
22395,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-IJdmx0zwj,41,3 years ago,"pretty sure after she finish recording all the video, she go right back into her room which have a 10000usd high end pc plus ac and do wt ever she want",可以肯定的是，她录制了所有视频后，她就回到自己的房间，那里有10000 usd High End PC加上AC，并且她想要的是WT
15311,UgxuNRWtkzCLBUXtt-V4AaABAg,41,3 years ago,lmao “careful when replicating this at home. we don’t want fermented finger tips and nails”,lmao“在家里复制它时要小心。我们不想要发酵的手指技巧和指甲”
2544,UgyjhZ7tnjwF50MpuiV4AaABAg,40,1 year ago,i want to live with her for 2 years and learn the art of her cooking. perhaps just live there forever,我想和她一起生活2年，学习她的烹饪艺术。也许永远生活在那里
8351,UgyoUZl4Nz13bSh4mLR4AaABAg,40,2 years ago,"6:56 captioned ""careful when replicating this at home, we don't want fermented finger tips and nails"" 

she got humour folks! she's just as much of a human like the rest of us. ๐คฃ","6:56标题为“在家里复制此事时，我们不希望发酵的手指技巧和指甲”

她有幽默的人！她就像我们其他人一样的人。"
9582,UgzVKislw8YT9ltJnad4AaABAg,38,3 years ago,the place is so peaceful. i also want to live there.,这个地方是如此和平。我也想住在那里。
8878,UgxOBgD3fQC8I59-Qdl4AaABAg,35,2 years ago,"hello! ziyi, our family in hong kong loves you very much, watching the works of vietnamese hype your work. you have used so much effort to do it and be speculated exactly like you. you have to talk more on your show, so that they can hardly speculate on you, and you speak well! we also want to listen to you more! bleak",妳好！子柒，在香港我们一家很爱妳的节目，看倒有越南人炒作妳的作品，你们用了那么多心血去做而被人炒到一模一样，很替妳不值，有少少意见给妳，妳要多在妳的节目里说话，这样她们就难炒作妳，你说话也很好听呀！我们也很想听妳多说话呀！
9490,UgxUq-fp5ESkSEntd4V4AaABAg,32,2 years ago (edited),"every food she make, makes me drool and wanting to taste it๐ฅ",她制作的每种食物，让我流口水，想品尝它
3704,Ugw32GE2AijQGiO_GQl4AaABAg,30,2 years ago,"luosifen！! as a chinese living abroad, sometimes i want to eat a bowl of luosifen. i love the liziqi video.she advertised china to the world on video. thank her. look forward to her other videos.",luosifen！！作为一个居住在国外的中国人，有时我想吃一碗luosifen。我喜欢Liziqi视频。她在视频中向世界宣传了中国。谢谢她。期待她的其他视频。
32644,UgyAt-e9reVsP9Jq8QR4AaABAg,29,3 years ago,"i was healed today too!
i dreamed of living like lezuchie.
i want to fulfill it in about 3 years","我今天也得到了治愈！
我梦见像勒齐（Lezuchie）一样生活。
我想在大约3年内实现它"
13132,UgzjcqZ5pwmhOoN8xv14AaABAg,27,3 years ago,"“ careful when replicating this at home. we don’t want fermented finger tips and nails “ 
6:58","“在家里复制此时要小心。我们不想要发酵的手指技巧和指甲“
6:58"
27399,Ugxi6VIBRmb1l77dQRF4AaABAg,27,3 years ago,"i want to live a life like this
this is the life that i want.. 
im enjoyin watchin this channel","我想过这样的生活
这是我想要的生活。
我喜欢看这个频道"
10741,Ugw-UGqNpyeBHZRXsjR4AaABAg,26,3 years ago,"every time i watch your video, i want to cry, i do n’t know why, be moved by the beauty of labor, right?",每次看你的视频都有些想流泪，不知道为什么，感动于劳动之美吧
8642,UgwEeceQBwUWUvvNu2p4AaABAg,26,2 years ago (edited),"i used to live at my grandma's house when i was kid, it is located in countryside. watching your video makes me recall my childhood memories. now that my family move to a city, i want to enjoy this kind of nature yet i cant",我小时候曾经住在祖母的房子里，它位于乡村。观看您的视频使我回想起童年的回忆。现在我的家人搬到了一个城市，我想享受这种性质，但是我不能
10707,Ugw53g52J7F45drYcqB4AaABAg,23,3 years ago,"""we don't want fermented fingertips and nails""",“我们不想发酵指尖和指甲”
1799,UgzafBF-nlayWxz9jRx4AaABAg,22,1 year ago,so much love goes into her food. watching her and mom relaxing makes me feel good. i want to visit.,她的食物如此之多。看着她和妈妈放松，让我感觉很好。我想参观。
4078,Ugxcy0tExEZ-0s5Jekt4AaABAg,22,2 years ago (edited),"liziqi be layk""careful wehn replicating this at home.we dont want fermented finger tips and nails""",liziqi be layk“小心韦恩在家中复制这一点。我们不想发酵的手指尖端和指甲”
19631,UgyCM32NPZgMZ4anZ_l4AaABAg,22,3 years ago,"can i just borrow her brains, skills and attitude to build everything i can think of and cook all the things i want to eat please",我可以借用她的大脑，技能和态度来建立我能想到的一切，并烹饪我想吃的所有东西
24783,UgzAjFE8ILTi7PJlxxF4AaABAg,21,3 years ago,"""we don't want fermented fingertips and nails.""",“我们不想要发酵的指尖和指甲。”
2782,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9TGhlV0OwZL,21,1 year ago,"@onyx bunny her videos are good, but i doubt many people actually want to live this way. this lifestyle is hard. that's why many people move to the cities. there is a lot of work that is not seen in the videos. i don't think you will be so attracted to this lifestyle if you actually have to live it for some time.",@onyx兔子她的视频很好，但我怀疑许多人实际上想以这种方式生活。这种生活方式很难。这就是为什么许多人搬到城市的原因。视频中没有看到很多工作。如果您实际上必须生活一段时间，我认为您不会被这种生活方式所吸引。
12022,UgwDZ1mRHX4myouBujF4AaABAg.9744unMbb-s98wFmDOP1Pn,20,3 years ago,"why do people always want more, just enjoy this. making this into netflix would ruin it",为什么人们总是想要更多，只是享受这个。将其纳入Netflix会破坏它
2783,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9TGliqAjNSs,20,1 year ago (edited),"you would want to live this kinda life for maybe 2months at best then you start missing all the convenience we have today. nobody really wants to do backbreaking work on fields all day with insects and other stuff. raising lifestock is also smelly as heck. don't forget all the mosquitoes and flies.

its also not all that uncommon to get parasites in you.

country life is hard and there are no rainbows.","您希望充其量可以过2个月的生活，然后您开始错过我们今天拥有的所有便利。没有人真正愿意整天用昆虫和其他东西在田野上做艰难的工作。升起的生命力也像Heck一样臭。不要忘记所有的蚊子和苍蝇。

在您里面得到寄生虫并不是那么罕见。

乡村生活很艰难，没有彩虹。"
12274,UgzsZeQsXSTci2fL_EB4AaABAg,19,3 years ago,want to live this life..... so badly hate city life,想过这种生活.....非常讨厌城市生活
11155,Ugx2ecOjOYh5ShKvRRp4AaABAg,18,3 years ago,"i appreciate myself very much. when i saw a lot of videos of the beautiful paradise you have, i wanted to come here to live, my greetings, mexico.",我很欣赏自己，当我看到许多您拥有的美丽天堂的视频时，我想来这里生活，我的问候，墨西哥。
27501,UgzzHj9_c0-3901uB514AaABAg,17,3 years ago,"""careful when replicating at home, we don't want fermented fingertips and nails""",“在家复制时要小心，我们不想发酵指尖和指甲”
19109,UgxqKGCp80V6zbdnys94AaABAg,17,3 years ago,if i believed in reincarnation i would want to come back as that girls grandma.,如果我相信轮回，我想作为那个女孩奶奶回来。
27958,UgzSc4oeIJg3L3cR2fR4AaABAg,17,3 years ago,"i honestly don't mind giving this lady a million dollars .... just want her to have a happy life n marry the man she loves.


ps: my 1st comment.","老实说，我不介意给这位女士一百万美元。...只是想让她过上幸福的生活，嫁给了她所爱的男人。


PS：我的第一条评论。"
22403,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-lhOpwUxK4,17,3 years ago,"@cyouchin5381 nope, as a chinese actually we hold cellphone whole day and busy in city life, that's why we love this lady so much either...she really doing what we enjoyed. in the deep mind of chinese , everyone is a farmer. we want to plant something but we have no time/skill.",@cyouchin5381 nope，作为一个中国人实际上，我们整天都拿着手机，在城市生活中忙碌，这就是为什么我们如此爱这位女士……她真的在做我们喜欢的事情。在中国人的深处，每个人都是农民。我们想种植东西，但我们没有时间/技能。
7542,UgwWtfhE2uGcuKMoZsd4AaABAg,17,2 years ago,this is what i want my life to be like. why have i been pretending?,这就是我希望自己的生活的样子。我为什么要假装？
17850,UgyleL6uGY8mI9t3PUx4AaABAg,16,3 years ago,"the color tone of the film has a lot of credit. i do n’t want to do this kind of farm work under the real color: think about how poisonous the sun is under the cicada, there are a lot of mosquitoes in the ground, and the courtyard of the chickens will not be the yard. there will be animals' feces, and it will be more troublesome to burn the pot and brush the pot. but the artistic conception of the video is very beautiful and yearn for it.",影片色调调的好有很大功劳，真实色彩下这种农活我是一点不想去干的：想想蝉鸣下的阳光有多毒，地里的蚊虫有多多，鸡鸣鹅叫的院子会不会有动物的屎尿味儿，土炕烧锅刷锅多麻烦，算了还是窝在家里吹空调舒服。但是视频展现的意境很美好，向往之。
2353,UgyfeiCAweW_2KrNH294AaABAg,16,1 year ago,i love as you are clouded. this is a special gift. i am brazilian here from pernambuco barreiros. i wanted kitchen like you. uhuuuuuu what a good smell. hahahaha,我爱你乌云密布。这是一个特殊的礼物。我是巴西的巴西人，来自佩南布科·巴雷罗斯（Pernambuco Barreiros）。我想要像你这样的厨房。 uhuuuuuu多么美味。哈哈哈哈
29819,UgxUXvTlOvZOkFyubr54AaABAg,15,3 years ago,"after seeing your youtube
i was interested in china.
china, which has such a beautiful living culture, is wonderful!
modern life is also fun
i want you to protect this wonderful culture.
i want to go to china ✈️","看到您的YouTube之后
我对中国感兴趣。
拥有如此美丽的生活文化的中国真是太好了！
现代生活也很有趣
我希望您保护这种美好的文化。
我想去中国✈️"
25843,UgyyRYO-d4a-dm-sMKN4AaABAg,15,3 years ago,"zi yan is really good at cooking, depending on your ingredients can be so delicious, you want to eat",子柒真的好会料理，看你每一样食材都可以做到如此美味，看的都想食
30104,Ugx9FfkqtQRAN1KjpW94AaABAg,14,3 years ago,i originally wanted to ask my grandmother to eat snail lion powder. i saw it after seeing it later.,我原本还想问奶奶能吃螺狮粉吗，看到后来才恍悟，原来那一锅都是子柒的
31487,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yW4Y3KgyUo,14,3 years ago,"she has 16 million chinese followers on weibo. although youtube is blocked in china, some who actively want to use it still bypass it through use of vpn. some of the views here are by chinese either through vpn or just because they are overseas, but i do think the vast majority are international fans. it happened about 9 months ago when the comment section under her videos changed from purely chinese to all sorts of languages. i think one of her vids went viral outside of china and then people flocked to her channel here on youtube to check her out. this channel is operated and maintained by one of her fans under her permission, but her base channel is on weibo.",她在微博上有1600万中国追随者。尽管YouTube在中国被阻塞，但有些积极希望使用它仍然通过使用VPN绕过它的人仍在绕过它。这里的某些观点是通过VPN通过中国人，或仅仅是因为它们在海外，但我确实认为绝大多数是国际粉丝。大约9个月前，她的视频下的评论部分从纯粹的中文变为各种语言。我认为她的一位视频在中国以外传播开来，然后人们在YouTube上涌向她的频道检查她。该频道在她的允许下由她的一位粉丝操作和维护，但她的基本频道在微博上。
30625,UgyQAUUTLKxFmVf_xUt4AaABAg,14,3 years ago,"because i want to be chinese, the japanese are just to make these foods


because i want to be a chinese, the japanese can make these foods","因为我想成为中国人，日本人就是为了制作这些食物


因为我想成为中国人，所以日本人能够制作这些食物"
7859,UgwLvsd4zXhJqiyJX0l4AaABAg,13,2 years ago,"i want daily breakfast lunch dinner by this lady,
specially t with liziqi morning is become fresh","我想要这位女士每天的早餐午餐晚餐，
特别是与liziqi早晨变得新鲜"
8068,Ugxv93EgIfCVvUxH-L94AaABAg,13,2 years ago,i prefer this life ..... i want to convert my life .,我更喜欢这一生.....我想改变自己的生活。
14257,Ugw3yb3V-fIV8fvEiN94AaABAg,13,3 years ago,"""we don't want fermented fingertips and nails""",“我们不想发酵指尖和指甲”
2671,UgwgpdSgJwZnb7u5qU54AaABAg,13,1 year ago,"liziqi is a soothing content creator who wants to share traditional chinese culture. she does most of the work herself in her videos with some help from friends, relatives and neighbors, but she does the final editing of the videos.",利兹奇（Liziqi）是一个舒缓的内容创造者，想分享中国传统文化。她在朋友，亲戚和邻居的一些帮助下自己完成了大部分工作，但她对视频进行了最终编辑。
17276,Ugy7-EdNg3xlEfpKEnJ4AaABAg,13,3 years ago,oh i want a wife like her but im a girl,哦，我想要一个像她一样的妻子，但我是一个女孩
21918,UgwPv-eFbzYc8zMmynF4AaABAg,13,3 years ago,"10.05....""careful when replicating this at home. we don't want fermented finger tips and nails""",10.05...。
15648,Ugyp4rGQj55KkZRgQmt4AaABAg,12,3 years ago,"there is nothing controversial. she just patted the world she wanted to express. no matter whether she had a team to help, she was born in 1990 and is now 30 years old.
just like jin yong's writing, there is a martial arts world. don't take it as the real world. jin yong also makes a lot of money? does anyone scold him?

https://youtu.be/u3i0x95lcmu","没什么可争议的，她只是拍她想表达的世界，不管有没有团队帮忙，她是 1990 年生的，现在也迈入三十岁了。
，就像金庸笔下也有个武侠世界一样，别把它当真实世界就好了，金庸也大赚啊？有人骂他吗？

https://youtu.be/U3I0X95LCmU"
12731,Ugz-KSL7jU9jnm_ZQtt4AaABAg,12,3 years ago,"i just got laugh when i read the. ""we don't want finger nails to be fermented",我读时刚笑了。 “我们不希望指甲发酵
2263,UgwWCiTDwfrQDH_6qQd4AaABAg,12,1 year ago,"i want to try these unusual dishes, especially snails and pedulakives yet",我想尝试这些不寻常的菜肴，尤其是蜗牛和花生
13096,UgymypA6HinBBANUzuZ4AaABAg.95zW9zXKP0O96__wY5zRxd,12,3 years ago,@wajd_th7289 she used to use a tripod for a while before she became famous. back then soooooooo many ppl(and myself) commented under her video and asked if she wanted a cameraman/assistant. (she has one now),@wajd_th7289她曾经使用三脚架一段时间，然后才出名。那时，许多人（和我自己）在她的视频下评论了许多人，问她是否想要摄影师/助手。 （她现在有一个）
10655,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU7993jSt_c0nn,12,3 years ago,"below your comment, this guy @马xe, is one of those who doubt ziqi's videos' reality and firmly believe she has a large group of ppl who help her and train her do all those stuffs. he's one of those haters. i don't know why do they have to say words like this. maybe they are just so jealous. ziqi has pushed another video to explain how did she shot, edit videos and of course farm and cook nearly all by herself(https://www.youtube.com/watch?v=ovoslq-aep8). i just want to remind each ppl with kind heart who watch ziqi's videos. just don't believe every single word of those haters. i was a photographer, i know some techniques of shooting. i can notice some flaws in her video just as she mentioned in the link above, however i choose to ignore them because the entire video is soooo perfect. if she had a group of professional ppl who help her, those mistakes would never happen....definitely.",在您的评论下，这个家伙 @马XE是怀疑Ziqi视频的现实的人之一，坚信她有一大批PPL，可以帮助她并训练她做所有这些事情。他是那些仇恨者之一。我不知道为什么他们必须说这样的话。也许他们真嫉妒。 Ziqi推出了另一个视频，以解释她如何拍摄，编辑视频和当然的农场，并几乎独自烹饪（https://www.youtube.com/watch?v=ovoslq-aep8）。我只想提醒每个PPL，善良的心观看了Ziqi的视频。只是不要相信那些仇恨者的每个单词。我是摄影师，我知道一些射击技术。就像她在上面链接中提到的那样，我可以在她的视频中注意到一些缺陷，但是我选择忽略它们，因为整个视频非常完美。如果她有一群专业人士帮助她，那么这些错误就永远不会发生。
31349,Ugx_oPEqNBthe4cdrYN4AaABAg,11,3 years ago,like princess mononoke (*'▽ ｀*) i also want to live in nature ☆ it's a very enviable life!,就像蒙诺克公主（*'▽｀*）一样，我也想生活在自然中☆这是一种非常令人羡慕的生活！
3264,UgzbhnmdcoHwZ77Gbx14AaABAg,11,1 year ago,this made me want to live in the country side too lol,这让我也想住在乡村方面
32537,UgzzujlAK4O7zAiqAvJ4AaABAg,11,3 years ago,sluts stuttering powder! i want to eat? ☺️look so delicious!,荡妇口吃粉！我想吃？ ☺️看起来很美味！
18912,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92HuzDIZzqo,10,3 years ago,"i also come to beijing in rural sichuan, go to work every morning and go home to sleep at night. sometimes i think, is this a life i want?",我也四川农村，毕业来到北京，每天早上去上班，晚上回家睡觉，有时候在想，这是我想要的生活吗
18580,Ugyv9X0e36LCvRjpM8p4AaABAg,10,3 years ago,it is estimated that there are thousands of men who want to marry this girl around the world.,估计现在有成千上万想娶这个女孩的男人在世界各地。
14218,Ugy-HWbznr4VqeE5bUN4AaABAg,10,3 years ago,"i have anything, so i really want to go to paradise",我有什么，所以我真的很想去天堂
26339,UgwTc-3Tzi-dysuH_pl4AaABAg,9,3 years ago,"i just want to buy
her universal knife
i can cut everything ~ 什么 什么 什么 什么 什么
stronger than the recommendation of shopping ping road","我只想买
她的万用刀
什么都能砍啊~屌炸天
比购物平道推荐的还强"
18395,UgwKJUuSuSi08KA6nUt4AaABAg,9,3 years ago,"at this moment i thought about it, i want an ordinary life. seeking the golden mean.",在这一刻我想清楚了，我想要平凡的生活。寻求中庸的道路。
21694,UgzBAnrWczuGKn1cl0h4AaABAg,9,3 years ago,"please we want to know all the recipes just to do it, give us the details to how we cook the food, please put the recipes on english",请我们想知道所有要做的食谱，给我们详细介绍我们如何烹饪食物，请将食谱放在英语上
18762,UgyxN8NkPrluaEVFJil4AaABAg,9,3 years ago (edited),"i really miss luosifen. i want to snail powder. when i live in liuzhou, i eat snail powder every day.",I really miss luosifen. 我很想螺蛳粉. 我住在柳州的时候我每天都吃螺蛳粉。
16703,UgzGVM1UgRUuWYqDMdV4AaABAg,9,3 years ago (edited),"i think of it! i miss the scene of my grandmother cooking when i was a child.
me: ""do you want a big fire? grandma"", after getting a positive answer, i desperately burned the fire ... then some dishes will be burnt ...","看的我想家了！怀念小时候外婆做饭，我烧火的场景。
我：“要不要大火？外婆”，得到肯定的答案后，我就拼命把火烧旺……然后有些菜就会烧焦……"
16337,UgzhFsf9d6OA9cW5FCp4AaABAg,9,3 years ago,"a quien no le gustaría vivir así?
who would not like to live like this?
who don't want to live like it?
who wouldn't like to live like this?
谁 不 想 这样 生活？","quien no legustaríavivirasí？
谁不想这样生活？
谁不想生活？
谁不想这样生活？
谁谁想这样生活"
10712,Ugx79jz9tMzg20_2tst4AaABAg,9,3 years ago,"this is the ideal chinese country style, full of natural and pioietic splender. for gods sake i want to marry this girl.....",这是理想的中国风格，充满了自然和野性剪接。为了神的缘故，我想嫁给这个女孩.....
31844,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yV8JTmM9bT,9,3 years ago,"hi! i don't know what are you going through! i just want to show you my support! i everything will be ok, i hope you nothing but happy!",你好！我不知道你正在经历什么！我只想向您展示我的支持！我一切都会好起来的，希望你除了快乐！
25810,Ugy0z-zy7tB7Sg_2Jih4AaABAg,8,3 years ago,hello i am a thai fan. i watch you every day through youtube channel and feel happy every time but i want you to speak. ok thank you,你好，我是泰国球迷。我每天通过YouTube频道看着您，每次都会感到高兴，但我希望您讲话。好的谢谢
34959,Ugy0icpBFE6xcCd5UKd4AaABAg,8,3 years ago,"i really want to eat it. when i was on a business trip on the mainland before this screw fan, i often eat superb.",好想吃，这个螺丝粉之前我在大陆出差的时候也常常吃超棒的
13775,UgxjCxC58UXfRSqor_94AaABAg,8,3 years ago (edited),"i don't know what it is.
but it looks very delicious and good for your body.

... i want such a wife.","我不知道那是什么。
但是它看起来非常美味，对您的身体有益。

...我想要这样的妻子。"
27474,UgyZ3AfyOCl5IgGc-cp4AaABAg.8yeOjhy9Yee8yl0pxQ-gqv,8,3 years ago,i want to be with her even without any zombie apocalypse :d,我想和她在一起，即使没有任何僵尸启示：D
31778,UgwQbm3P1warUz0oHKt4AaABAg,8,3 years ago,i want to live in koyu,我想住在科尤
