,cid,votes,time,含want,含want中文翻译
18779,UgzKtMUUDBRw818B_xp4AaABAg,39,3 years ago (edited),"watch more than 49 million times. essence it's almost 5 million real cows
when she looks at what she does, she has appetite and wants to eat, especially the snowflake crispy mango. essence","四千九百多万次观看。。快五千万了 真的牛
她做的东西看着就有食欲 想吃 尤其是那个雪花酥 芒果干。。"
9072,Ugzlg9uPKu0sY-5Lbgx4AaABAg,37,2 years ago,i absolutely love this woman. despite living in the mountains shes able to do so much. all i want in life is to sit down and have a meal she cooked.,我绝对爱这个女人。尽管住在山上，她能够做很多事情。我一生中想要的就是坐下来煮一顿饭。
8055,UgxDe4e7_8Bg1a0PXVx4AaABAg,37,2 years ago,i want to spend time like this ...,我想花时间这样...
34724,UgxdLfohPguCQF7GD6Z4AaABAg.8uuiHXSSyea8v2gaU1Qnhl,35,4 years ago,does she want that?,她想要吗？
32181,Ugw98zMUT5-2W4KP6xF4AaABAg.8vxydkDtngx8w9ZZg-UW8V,34,4 years ago,donโ€t you guys just have that feeling in your life that you want to do something and then just donโ€t do it? like you feel like you dislike yourself for being unproductive?,你们难道不只是一生中想要做某事然后不做的感觉吗？就像您觉得自己不喜欢自己的生产力一样？
30510,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xDNjx_I5o1,33,3 years ago,"odee we have youku instead youtube, so we don't have to break the law, her video will first upload to weibo, meipai, tiktok and so on, youtube may be the last one.she is not poor, she worked in city when she was younger, she came to her hometown because her grandma is old and she wants to take care of her. i grew up in the countryside either, and i am working in beijingnow, if i want , i can do the same thing like she did, of course no gov. her team have three people, include her. but she do most things. why do i know this? because i'm chinese, i broke the law, so i can talk to you here, but most time i scan youku , weibo, bilibili, and so on.",ODEE我们有Youku而不是YouTube，所以我们不必违反法律，她的视频将首先上传到微博，Meipai，Tiktok等，YouTube可能是最后一个。她还年轻，因为她的祖母老了，她想照顾她，所以她来到了家乡。我也在乡村长大，在北京那诺工作，如果我愿意的话，我可以做像她一样的事情，当然没有政府。她的团队有三个人，包括她。但是她做大多数事情。我为什么知道这一点？因为我是中国人，所以我违反了法律，所以我可以在这里与您交谈，但是大多数时候我会扫描Youku，Weibo，Bilibili等。
45109,UgyJgsDlPebcN5HbriZ4AaABAg,33,4 years ago,wanted to cook something...but instead i ended up looking at this beautifull girl for more thank 2 h! 'm just in love with this channel! congrats,想煮一些东西...但是我最终看着这个美丽的女孩，更多地感谢2小时！
14040,UgwKBmmKyRns1xTtCuR4AaABAg,30,2 years ago (edited),"i really want to meet her.

who else wants too!!","我真的很想见她。

还有谁也想要！"
51663,UgxsxcKZBTEGLcFy4n54AaABAg,30,4 years ago,amazing video. the nature is so beautiful and the food looks really delicious. i love it how you show everyone how our ancestors lived⚒️because of your videos i want to visit china. greetings jasmin,惊人的视频。大自然是如此美丽，食物看起来真的很美味。我喜欢它，您如何向所有人展示我们的祖先如何居住⚒️，因为我想访问中国的视频。问候茉莉
35011,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8v4DWzwzTUM,29,4 years ago,"you all say that but this life is potentially the only life she can have in china. we have the opportunity to get an education, and she may not. she may love this life, but she may not have ever accessed education at a higher degree, even if she wanted to. again, though, these are all maybes. i don't know her or her life, but i know that in china women aren't exactly usually offered the option to go off and gain a good education, and this life is the only that they are raised into.",你们都这么说，但是这一生可能是她在中国唯一可以拥有的生活。我们有机会接受教育，她可能没有。她可能喜欢这一生活，但即使她愿意，她也可能从未获得过更高学位的教育。但是，这些都是母狗。我不认识她或她的生活，但我知道在中国，妇女通常并不是提供享受良好教育的选择，而这一生是她们唯一的成长。
34587,UgwsmwvcLDkPPQyKcIB4AaABAg.8uzOrtFqjkV8v8Yt5J8NCe,29,4 years ago,i found that funny too. she said she wanted to pop popcorn and then freaks out like she's never seen it before.,我也发现很有趣。她说她想爆炸爆米花，然后像以前从未见过的那样吓坏了。
16710,UgxKTlCAdOs4VwXmy414AaABAg,29,3 years ago,"my family is rich and living in big houses. doing etiquette is not easy since im still young and need to learn. but all i want is that! that kind of life! with no maides , all by yourself. look at that cute puppys and sheep.",我的家人很富有，住在大房子里。做礼节并不容易，因为我还很年轻，需要学习。但是我想要的就是！那种生活！没有女仆，一个人自己。看那个可爱的小狗和绵羊。
31531,Ugw2kZestzRbqsKnXMF4AaABAg,28,4 years ago,"i want to be one day in villages like this, calming, peaceful, and beautiful",我想在这样的村庄里度过一天，平静，和平与美丽
16475,UgzO7Q9LG_oAD2wUg3p4AaABAg.98fdQ3AeW6l98pyCWUvBdA,27,3 years ago,this is luxury but not wat this world wants..,这是奢侈的，但不是这个世界想要的。
4210,UgzooBw5L5LBqVxY5_54AaABAg,27,1 year ago,these videos are very useful for those who want peace of mind.it feels so happy and peaceful to see this way of life.the pleasure of living in harmony with nature is something else.,这些视频对于那些想要安心的人来说非常有用。
38729,Ugw11hJJQ5uGC3ivwx14AaABAg,27,4 years ago,"woww that place, full of fruits and vegies!! i want to live there!!!",哇，那个地方充满了水果和蔬菜！我想住在那里！！！
5575,UgzUF5WipaM77Mhs8Kx4AaABAg,25,2 years ago,this makes me want to detached myself from reality and just peacefully lived in the mountains.,这使我想脱离现实，并和平地生活在山上。
46908,Ugxt_UgIcBmTXIOOGpt4AaABAg,24,4 years ago (edited),"i love this episode the most! especially when she go cover her grandma ear lol. happy chinese new year to you and your grandma!

scene that you may miss the small cute details
0.42 when she crack the chestnut and puppy feet try to steal it. great shot!
3.33 i guess everyone who cook would want to get that wooden ingredient tray! 
5.55 when they open the popcorn pot 
8.47 the pomelo street look like a fairy tale but you all know that you should not eat those fruit on the floor. (except chestnut and ginko of course!) 
9.30 the puppies look like they gonna jump into fire! and her grandma giggle is adorable! 
9.48 you can see all the love in there","我最喜欢这一集！尤其是当她去遮盖奶奶耳大声笑时。在春节快乐，祝您和您的祖母！

您可能会想念小的可爱细节的场景
0.42当她破裂栗子和小狗时，试图偷走它。好球！
3.33我想每个厨师都想得到那个木制成分托盘！
5.55当他们打开爆米花锅时
8.47 Pomelo Street看起来像个童话，但大家都知道您不应该在地板上吃那些水果。 （当然除了栗子和银杏！）
9.30幼犬看起来像是要跳火了！她奶奶咯咯笑！
9.48您可以看到所有的爱"
41520,Ugx6Kg-s6YnCahHDxrN4AaABAg,23,4 years ago,these videos are truly amazing. it really makes me want to enjoy and appreciate that kind of lifestyle as it is so different from living in an urban society!,这些视频确实很棒。这确实使我想享受和欣赏这种生活方式，因为它与生活在城市社会中截然不同！
16529,UgwndTs4wucNgNjt5x94AaABAg.98eO-d8XaSd98uH5OVgzNP,22,3 years ago,"@wuxh2708 her mother was dead when she was young!! she was with a cruel step mother! her dad and grand parents were good cooks! her dad cooks allot in the village for almost all the occasions that way she learned alot of recepies from grand parents amd her dad!! she worked various jobs! she wanted to do new things but almost failed in lot of stuff! she got to return to back home, her village upon hearing that her grandma health when was not good and somone needed day and night to take care!! so that struck a thought in her mind to do something and at the same time be with her grandma! her grand parents own some land in mountains so she started what her legacy was cooking, farming, chinese art, etc!!being worked as a dj people say that experience helped her to add music, edit videos while she filmed all her videos on own very early days! her videos initially were posted only in chinese video sharing platforms! when she got good recognition in those platforms for her all the skills she started youtube!! she hired a crew of 3 people who take care of shooting, editing, posting!! all these efforts and dedication made her a massive hit today! some section of people unable to digest her success called her actor, fake, and also few said she is not chinese!! at that time she released a few seconds video saying she belongs to china and she is chinese!! nothing altered her to date!! she is the same loving, caring person!! i just shared what i came to know about her thru many sources!!",@wuxh2708她的母亲小时候死了！她和一个残酷的继母在一起！她的父亲和大父母是好厨师！她的父亲几乎在所有场合都在村子里烹饪分配，从而从父母那里学到了很多回忆！她从事各种工作！她想做新事物，但几乎失败了！她得知她的祖母健康不好，白天和黑夜都需要照顾时，她必须回到家中，她的祖母健康！！这样一来，她就想到了做某事，同时与她的祖母在一起！她的祖父母在山上拥有一些土地，因此她开始了自己的遗产是烹饪，耕种，中国艺术等！被当作DJ的人说，这种经验有助于她添加音乐，编辑视频，而她独自拍摄了所有视频很早！她的视频最初仅发布在中国视频共享平台上！当她在这些平台上为自己的所有技能获得良好的认可时，她就开始了YouTube！她雇用了3个照顾射击，编辑，发布的船员！所有这些努力和奉献精神使她今天受到了巨大的打击！一部分无法消化她的成功，称她的演员是假的，而且很少有人说她不是中国人！那时，她发布了几秒钟的视频，说她属于中国，她是中国人！到目前为止，没有什么改变她！她是同样的爱心，有爱心的人！我刚刚分享了我对她的了解，这是通过许多来源！！
9611,UgwiUKs9CznPh4uh4AJ4AaABAg.9H1aNavRHpS9HMUKQVVduD,22,2 years ago,ikrr.. i want some sheep's and dog follow me around,ikrr ..我想要一些绵羊和狗跟着我
35035,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vEbgXfm7j8,22,4 years ago,"@petphotomaster she only has a cameramen and the rest is all her, she lives like this because her grandma isn't able to do the work at the farm anymore.
obviously she doesn't do everything by herself but the thing she does in the videos is all her and because she wants or needs to","@petphotomaster她只有一个摄影师，其余的就是她，她这样的生活是因为她的祖母再也无法在农场做这项工作了。
显然她没有自己做所有事情，但是她在视频中所做的就是她，因为她想要或需要"
6336,Ugyv-EuzdqQe-kkE0L14AaABAg,22,2 years ago (edited),what do you want for your birthday? a giant frying pan and an outdoor over please!,你生日想要什么？请一个巨大的煎锅和一个户外！
4211,UgyKc23AuiJNHvuCVi14AaABAg,22,1 year ago,"i am still baffled how citrus fruits can grow there when they actually have cold winters. if that's the case, why can't these fruits grow in tennessee, usa bc it's something i want to plant lol.",我仍然感到困惑的是，当柑橘类水果实际上有冷冬季时，它们如何在那里长大。如果是这样，为什么这些水果不能在美国田纳西州，不列颠哥伦比亚省田纳西州生长。
34726,UgxdLfohPguCQF7GD6Z4AaABAg.8uuiHXSSyea8v5xgeSr-r9,21,4 years ago,no.. i want it stick on youtube. just watch the ads to support her.,不..我想要它粘在YouTube上。只需看广告支持她即可。
43428,UgxS-cU3wreGJWZO6Fd4AaABAg,20,4 years ago,"just so you guys know that her videos don’t represent the actual living standards of chinese people living in rural areas. her home is probably the only decently organised and tidied country residence in rural areas of china. the vast majority of the people that live in rural or mountainous areas in china are poorly educated and have limited access to natural resources, let alone modern technologies. existence of conventional customs and ways of thinking that are outdated and even seem stupid can easily be found in these remote regions. dog thieves that poison and steal dogs in order to sell the meats to certain restaurants that serve dog meats are quite common in these rural areas as well. i can go on and on all day long to talk about what the actual country life in china looks like, but i want to thank her for making these peaceful videos that show the western world the beautiful side of her life as an ordinary country girl living in mainland china, and for the amazing portrait of hard working chinese people that value the idea of family, especially taking actual care of the elderly, above all.",只是让你们知道她的视频并不代表居住在农村地区的中国人的实际生活水平。她的家可能是中国农村地区唯一有组织和整洁的乡村住所。居住在中国农村或山区的绝大多数人受教育程度不佳，获得自然资源的机会有限，更不用说现代技术了。在这些偏远地区可以很容易地发现常规习俗和过时甚至看起来似乎很愚蠢的思维方式。狗盗贼毒和偷狗以将肉类出售给某些狗肉的餐馆，在这些农村地区也很普遍。我可以整天继续谈论中国的现实乡村生活，但我要感谢她制作的这些和平的视频，这些视频向西方世界展示了她作为一个普通的乡村女孩生活的美丽一面在中国大陆，以及对中国努力工作的惊人肖像，这些肖像重视家庭的想法，尤其是对老年人的实际照顾。
22814,UgwwEIlmX5XSSoN_9_N4AaABAg,20,3 years ago,i don't know why i want to cry a bit like my life when i was a kid,不知为何 有点想哭 非常像我小时候的生活
14154,Ugy_e2ZMWkjFsMe5ybd4AaABAg,20,2 years ago,"i cried because this video reminds me of the times when i was in a village . it's not my hometown but i love the simple way ppl live there. ah, i want to move from this small boring city",我哭了，因为这段视频让我想起了我在村庄的时代。这不是我的家乡，但我喜欢PPL在那里生活的简单方式。啊，我想从这个小无聊的城市搬出
15499,Ugyp7CnRS7m7TIeqCpB4AaABAg,19,3 years ago,i know i’m not the only one who wants to do that but doesn’t know how,我知道我不是唯一一个想这样做的人，但不知道是如何做的。
43971,UgxRf8L4msJevGDrYsF4AaABAg,17,4 years ago,"pretty! if you thought you would eat raw meat with a little grilled, there was after that!
i want to spend time in such a beautiful space!","漂亮的！如果您以为自己会用一点烤生肉吃生肉，那之后就有了！
我想在如此美丽的空间里度过时光！"
15215,UgyHTBxfbnOo063npyt4AaABAg.99n1nHDQ78n9A2ftCbDbq7,17,2 years ago,"me too , this is just like a beautiful dream that i want to become",我也是，这就像我想成为的美丽梦想
48114,UgzeBYsVOfjhxu_mt4h4AaABAg,17,4 years ago,"i did so many things all at once, ah ah ah ah, i really want to eat. i really want to have your family that can do so, come on, let's justify jinlan",一下子做了这么多东西，啊啊啊啊啊，好想吃。好想有你这么能干的家人，来吧，我们义结金兰吧
4095,Ugx3UbEZOeUdEJllAtN4AaABAg,16,1 year ago,"japanese subtitles are increasing again! i'm happy! ✨
chinese mountain inspector and sugar sweets i saw on the way home from work today, i stopped getting lost, but i should have bought it ...! lingering
when i saw leeko's work, i wanted to eat it. lol ✨✨
i can't wait for a new video ... ✨","日本字幕再次增加！我很高兴！ ✨
我今天下班回家的路上看到了中国山区检查员和糖甜点，我不再迷路了，但我应该买...！挥之不去
当我看到Leeko的作品时，我想吃它。大声笑✨✨
我等不及一个新视频了... ✨"
29027,UgwQwR_ioQiZWmuIb3V4AaABAg,16,3 years ago,after all entertainment technology and everything people wants this type of things ....old is gold,毕竟所有娱乐技术以及人们想要这种类型的东西....旧是黄金
8288,UgxXn__yuMDKSJ8dLCB4AaABAg,15,2 years ago,"when you see hawthorn, you know it is rock sugar gourd! intersection intersection i want to eat",看到山楂就知道是冰糖葫芦！！！好想吃
10055,Ugx9wsOv69aXYvdQh6N4AaABAg,15,2 years ago,i also really want to live here so nice and clean air ๐”๐”,我也真的想住在这里如此美味，清洁的空气
13232,UgybmLM2ZKXNCMOixNJ4AaABAg,15,2 years ago,"i want to live like this
my heart seems to be purified","我想这样生活
我的心似乎被净化了"
36928,UgwFYQu0ZjqOQGWD12d4AaABAg.8uLfY_QL-Tn8uaNe21mdUI,15,4 years ago,"itโ€s because you watch people who live a life out of the norm and you may not want to live their life, but you want to live a life like them, thatโ€s how iโ€ve come to understand it, but itโ€s escapism from the norm itโ€s fun. ๐",这是因为您看着那些生活在规范中的人，您可能不想过自己的生活，但是您想过上像他们这样的生活，这就是我的理解方式，但这是逃避现实的逃避现实乐趣。
14959,UgzQFZjwbIZbXdm0Jsx4AaABAg,14,2 years ago,"this warms my heart..everything looks delicious and well prepared..
you are hardworking and kind
i want this kind of life..where everything is simple and with nature","这使我的心温暖..一切看起来都很美味，准备充分。
你在努力工作
我想要这种生活。一切都很简单和自然"
27709,UgyBT_uobGddYNwbPmB4AaABAg.8z8aAC7Hduu8zTxg2yZJZ_,14,3 years ago,"@manumanu5900 - you do know that that sounds kind of creepy and stalkerish, right? famous influencers should never let strangers come into their lives. they could be crazy and want to stay or marry her - anything.",@manumanu5900-您知道这听起来有点令人毛骨悚然和偷偷摸摸，对吗？著名的影响者绝不应该让陌生人进入他们的生活。他们可能疯了，想留下或嫁给她 - 任何东西。
