,cid,votes,含culture,含culture中文翻译
21903,Ugx6FWM-T9bAlv9WLVR4AaABAg,29,"I am from Vietnam, i very like Chinese culture",我来自越南，我非常喜欢中国文化
18599,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92WOHaUMQBH,29,"Pedro c Mao may be like the Devil Satan in the West, but people in China don't judge him that way. It feels ridiculous to say that Mao will tear up Chinese culture. I hope that if you have the chance, you can learn more about Mao from the Chinese population.",佩德罗·毛（Pedro C Mao）可能就像西方的魔鬼撒旦（Satan），但中国的人们不会那样判断他。说毛泽东会撕毁中国文化真是太荒谬了。我希望，如果您有机会，您可以从中国人口中了解更多有关毛泽东的信息。
29570,Ugwozk571R6pngLuXUp4AaABAg,26,YouTube was pushed and found that I watched a lot of videos in one breath. The shooting is so beautiful. Thank you for spreading the traditional Chinese culture.,YouTube推送发现的，一口气看了好多视频，拍的真美，谢谢你传播中华传统文化。
9154,UgxTTEaqCGfOX461hbt4AaABAg,25,"Sichuan is blessed with its natural magnificent landscape, unique culture, food and many historical wonder.. Yading, Jiu Zhai Gou is definitely one of my favourite.",四川拥有其自然宏伟的景观，独特的文化，食物和许多历史奇观。
31929,Ugz5SQzSVIB9U4-q1np4AaABAg.8yV2HUWJ-2e8yVRlrub8n6,19,One person carries the burden of Chinese culture output,一个人扛起了中华文化输出的重担
12515,Ugz80ivmyIbHXgQYwCV4AaABAg.96a7oIarqd-96iU_b_HpaQ,16,"Pete G Eating bats is part of some people’s culture and even if you feel disgusted by that, you shouldn’t be disrespectful about it.",Pete G吃蝙蝠是某些人文化的一部分，即使您对此感到厌恶，也不应该对此不尊重。
29819,UgxUXvTlOvZOkFyubr54AaABAg,15,"After seeing your YouTube
I was interested in China.
China, which has such a beautiful living culture, is wonderful!
Modern life is also fun
I want you to protect this wonderful culture.
I want to go to China ✈️","看到您的YouTube之后
我对中国感兴趣。
拥有如此美丽的生活文化的中国真是太好了！
现代生活也很有趣
我希望您保护这种美好的文化。
我想去中国✈️"
11097,UgwFBvWUt-BC74PMeiJ4AaABAg,13,"I really loved all your videos! Being Indonesian we have similar culture, work ethic and the love of cooking. Thank you so very much far sharing it with us!",我真的很喜欢您的所有视频！作为印尼人，我们具有相似的文化，职业道德和对烹饪的热爱。非常感谢您与我们分享！
18499,UgwFsgKBe50sBFkQ9xF4AaABAg,13,"It is true that rural life in many places is more boring and not beautiful in the video, but this is not a documentary in science and education. What is wrong with the lens more wrong with the beautiful side? Those who are not absolutely opposed because these videos are true? Journey to the West is true? Is Avatar real? Is the Avengers really? Those films that are completely unreal can be exported as a culture. Why can't Qi videos? At least the fresh ingredients, forests, sunlight, white clouds, and morning fog in the video are not props. This is a decompression window for people in the metropolis",诚然，实际很多地方的农村生活比视频里的更枯燥、不美丽，但是这又不是拍科教纪录片，镜头更多地对着美好的一面有什么错呢？那些因为这些视频不是绝对真实就反对的人，西游记真实吗？阿凡达真实吗？复仇者真实吗？那些完全不真实的影视都能作为文化来输出，柒的视频为什么不能呢？ 至少视频里的新鲜食材、森林、阳光、白云、晨雾、都不是道具，这是大都市苦逼人士的一个减压窗口
2671,UgwgpdSgJwZnb7u5qU54AaABAg,13,"Liziqi is a soothing content creator who wants to share traditional Chinese culture. She does most of the work herself in her videos with some help from friends, relatives and neighbors, but she does the final editing of the videos.",利兹奇（Liziqi）是一个舒缓的内容创造者，想分享中国传统文化。她在朋友，亲戚和邻居的一些帮助下自己完成了大部分工作，但她对视频进行了最终编辑。
10364,UgzOhAf0sg2LzijmoAR4AaABAg.98ojNybWPIt98rG-rLjeNS,13,"She's a very busy woman. She's always out doing things, so she barely snacks. She's more focused on feeding her family, and prefers to eat with them. 
In asian cultures, it's more known to savour food with family, because of how hard they work together to grow and create amazing dishes. 
You don't really think about food when you go buy it from the store. However, when I was in asia, you can see all the hard work people put in to make a filling meal. Eating a whole pot of anything would be very disrespectful and a waste of food. 
Eat until your full please, don't over eat, and please, please don't waste food when others can have it.","她是一个非常忙碌的女人。她总是在做事，所以几乎没有零食。她更专注于为家人喂养，并且更喜欢和他们一起吃饭。
在亚洲文化中，众所周知，与家人一起品尝食物，因为他们如何共同努力生长和创造令人惊叹的菜肴。
从商店购买食物时，您并没有真正考虑食物。但是，当我在亚洲时，您可以看到人们为填充餐的所有辛勤工作。吃一整锅任何东西都是非常不尊重的，并且浪费食物。
吃饭，直到您吃饱，不要吃饭，请，请不要在别人拥有的时候浪费食物。"
9446,Ugyn-eR8_uZytfC_fVV4AaABAg,12,"In our culture Meranao, we call that DABONG! And everytime we cook that we sometimes put sardines on it and spices and believe me or not it is verrrrry delicious!!",在我们的文化梅拉诺（Meranao）中，我们称之为dabong！每当我们做饭时，我们有时会在上面放沙丁鱼和香料，并且不相信我，这是美味的！
17690,Ugyq20sSrsHj5YXUi2l4AaABAg,10,I would love to take a trip to China. Be in a place like this for a week to experience the culture,我很想去中国旅行。在这样的地方呆一个星期来体验文化
1367,UgyK3lkycrWXjxJDwzV4AaABAg,10,"I love watching your videos. Our family ties are very nice to take advantage of nature, nature. I am Turkish, our food culture is not similar, but I am watching because you like your work and healthy diet.",我喜欢观看您的视频。我们的家庭关系非常适合利用自然，大自然。我是土耳其语，我们的饮食文化并不相似，但我正在看，因为您喜欢您的工作和健康的饮食。
31553,Ugzonvb4zsPJxUzVih54AaABAg.8yVBbepkC-e8yVaMvnyCZM,9,"please make and publish videos. The world is interested and need to see that people from other cultures are human too. Cheer up! Loads of love for Liziqi and you, Niki.",请制作和发布视频。世界很感兴趣，需要看到其他文化的人也是人类。开心点！对利兹基和你的爱，尼基。
18915,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92LkK8kNJDc,9,"I really hope that many domestic UPs can tell Chinese stories and spread Chinese culture in YouTube. Alas, how foreigners understand the essence of Chinese, they are just curious.",真希望国内众多up主能在youtube讲好中国故事，传播中国文化，唉，中华之精髓外国人怎么懂，都只是好奇。
21687,UgwnU8yySOsS-dfd1zJ4AaABAg,9,Here in the Western culture we are conveniently accustome to microwave food and in the Eastern culture they make their food from scratch with natural ingredients. What a life...,在西方文化中，我们很方便地习惯微波食品，在东方文化中，他们用天然成分从头开始制作食物。什么生活...
31094,UgxWvAxOImrsehQXM4F4AaABAg,7,I like Chinese culture and cooking,我喜欢中国文化和烹饪
29449,UgzV5SRrEU2-VIvbK7h4AaABAg.8yWoRCHc-JA8yaExTyjkhI,7,"@franzpeters3824 Every country has its sad or tragic history. Why not accept we have a good culture and we are being better? This peaceful video still evokes your evil prejudice, shame on you",@franzpeters3824每个国家都有悲伤或悲惨的历史。为什么不接受我们有良好的文化，而且我们正在变得更好？这个和平的视频仍然唤起您的邪恶偏见，对你感到羞耻
23453,UgwBNQDYwhYRutE00xF4AaABAg.8zj0F8MxqZ48zqq4yaKKSb,6,amazing！you notice the tiny which creat by nature.everything seem so friendly quite and harmonious，and the gril too！this feeling is called 天（nature）人（human）合（combine）一（origin） in chinese .this video id full of our culture which different to other,惊人的！您注意到自然创造的微小。一切似乎是如此的友好和和谐，而且gril也是如此，这种感觉被称为（人体）（人类）（人类的compine）（compine）（compine）（中文）。充满了我们与其他不同的文化
16908,UgwkOVUO2hyyb75qMtt4AaABAg,6,"For the first time, I accidentally resonated and truly reflected the daily life of rural people. It reminds me of the flat and real years I walked in the countryside when I was a teenager ...
Rural China is the root of our Chinese culture! Intersection","第一次无意间睇到，甚有共鸣而真实反应了农村人的日常生活，令我想起少年时，自己在农村走过的平淡又实在的岁月……
中国农村，就是我们中华文化的根！ ！"
32913,Ugz3FH_-93t-gEqVUdx4AaABAg.8yUkS5gmmql8yV3gemdsru,6,"Not education, right?
More precisely to spread Chinese culture","算不上教育吧
更准确说是传播中华文化"
20446,UgxLOC1t-WuXVFSqfVp4AaABAg,6,"Everything perfect, in Vietnam many young people like to watch your video. Chinese culture and Vietnamese culture are quite similar. From",一切完美，在越南，许多年轻人喜欢观看您的视频。中国文化和越南文化非常相似。来自
33388,Ugy-4JnvX6DuAnRoFp54AaABAg,5,"It seems that the topic of agriculture and rural areas is not only very popular in the country, but also the same abroad. Do foreigners understand it?",看来三农话题不光在国内很火，国外也一样啊，老外们都看懂了吗？
19084,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392IbfbEjWaW,5,"Wow, I don't understand all of these negativity. I don't know is any of you able to travel to other countries and continents, but I've been to so many countries and cities, even in the places that are in the third red zone of travel safety, and I still enjoyed my trips and vacations. You can be at home and something bad can happen. What is meant to be will happen. My life goal is to visit the whole world, to meet the people, learn from their own culture, try all the food, even the crazy ones and will definitely do that. So like I've said, China, Japan or Korea is next on the list.",哇，我不明白所有这些消极情绪。我不知道你们都可以前往其他国家和大洲，但是我去过许多国家和城市，即使在旅行安全的第三红色地区，我仍然很喜欢我旅行和假期。您可以在家，可能会发生一些不好的事情。将要发生的事情将发生。我的人生目标是拜访全世界，与人民见面，从自己的文化中学习，尝试所有食物，甚至是疯狂的食物，肯定会做到的。因此，就像我说的那样，中国，日本或韩国是下一个。
22405,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-wbU9qHbcD,5,"She picks up something in Chinese culture to show everyone, most Chinese knows she shows a “taoyuan” dream in everyone’s heart.",她在中国文化中捡起一些东西来向所有人展示，大多数中国人都知道她在每个人的心中都表现出“作魔法”的梦想。
15111,UgzYaG8q1xN2uXktZBp4AaABAg.93XMX1w-pmD93dnX8rHnDD,5,"I guess it may be because that, in some cultures and regions it is believed that people should not spend so much time on preparing or enjoying food but on more productive things and hard working. It is a big waste of time in their points of view.",我想可能是因为，在某些文化和地区，人们认为人们不应该花太多时间在准备或享受食物上，而是在富有成效的事情和努力工作上。从他们的角度来看，这是浪费时间。
4519,UgxL_0OtXoltHkHJnHJ4AaABAg,5,"South Korea has always been a colonial in history and ruled their clan (China, Japan, Japan, the United States). When they are in a good mood, they will give them some clothes and food. Now, ridiculous and ignorant Korean people claim that it is their culture. Kimchi has always been the most inconspicuous low -grade food on the Chinese dining table. If the guests are allowed to eat kimchi, they will be considered extremely polite, and the poor Koreans will be treasured after getting the kimchi that they get the racket, claiming that this is the greatest food of the Korean nation. What you see now, Koreans claim that they are their own traditional culture clothes, food, architecture, festivals, etc. (mainly China, and Japanese sushi has been stolen by Koreans). I suggest that Koreans apply for the inventor of the universe from the United Nations.
한국은항상역사상식민지였으며주권국가(중국, 일본, 미국)는기분이좋을때옷과음식을줄것입니다. 이제말도안되게무지하고열등한한국인들은그것이그들의문화라고주장합니다. 김치는항상중국식탁에서가장눈 이었습니다 이었습니다 음식 손님. 음식 음식, 건축, 건축, 축제 등 은 기본 으로 주권 국가 온 온 것 입니다 입니다 입니다 입니다 것 것 입니다 입니다 것 입니다 것 입니다 것 것 입니다 입니다 (주로 중국 일본 스 시도 한국인 에게 도난당 했습니다).
South Korea has always ben a color in history, and their sovereign states (China, JAPAN, and the United States) Will give them some clothes and food when Are in a good mood. Now, ridiculously iGnorant and inferior koreans claim that it is Their Culture. Kimchi has always ben the most inconspicuous low-end the chinese table. It would be considered Extremely Impolite to let guests ear Chi. Poor koreans we like treason after receiving the donated kimchi, Claiming that it is the guatest food food of The korean national. As you can see now, the clothes, food, Architecture, Festivals, ETC. That Koreans Claim to be their own culture are basely f ROM The Sovereign Country (Mainly China, Japanese Sushi Has Also Been Stolen By Koreans). I suggest that koreans apply to the united nations to become the inventor of the universe.
In the history of Korean 歴 に は は であ であ り, the main nation of the main nation (China, Japan, and Mi) は, 気 い い い い い に や や べ べ し し し し し し し ます し. Today, 知 て て っ っ っ Korean people は それ それ ら の の の の と と と し し し ます し.の に に で の は で で で も も も な な な い ロ ロ ン ド の べ べ で し た で し たさ さ べ べ せる は は は は に に に に と と と と え え え し し し し い は は は さ れ れ を け け の の の の ようで ようで ようで の の の の の べ べ べ べ と し し し た.の とお 韩 韩 韩 韩 韩 韩 韩 韩 が が の の 伝 伝 と と と と と と と と と と と と と と と する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する ご覧 ご覧 する ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ” To. Private 人 Korean 宇 の の 発 発 る な る ため ため ため に に に に する する こと proposal.
Hàn queốc luốn là thuộcđịa tronlong lịch sử, và các queốc gia có chủn củan của họ (trung queốc, nhật bản, hoa kỳ) sẽp chhep cho họt sốt sốn áo vực pHẩm kẩm kẩm k hi họcó tạm trạng thoải mái. giờ g, nh nng người hàn queốc thiếu hiểu biết và thấp kém một cách lốch chól rằ yng àn hóa của họ. Kim chi luôn là món ăn thấ thấyyyyyyyyyyn bà n ăn Của Ngủi Trung Quốc. Việc Cho Khách ăn Kim Chi sẽ bẽ coi là vị cùng bất lịch sự. nhưbạn có thể thấyy bây giờ, queần áo, thức ăn, kiến ​​trúc, lễ hội, ... mà người hàn queốc tựn hóa truyền thốnte của h h h ọ v ơ Cề Bản là t ướT nước có chủ cHủ quyền (chủ yếu là trung queốc, sushi của nhật bản cũng đã bị người hàn queốc đ đ đ đ). Queởc để TRà Thành nhà phát minh ra vũ trụ Then, then

COREA DEL SIEMPRE Ha Sido Una Colonia En La Historia, Y SUS Estados Sobernos (China, JAPón, Estados University) Les Darán Algo de Ropa YANDO ESTén De Bu en humor. Ahora, LOS Coreanos Ridículamente Ignarantes E Inferiores Afirman Que ES Su Cultura EL KIMCHI SIEMPRE HA SIDO LA Comida de GAMA BAJA Más Discreta En La Mesa China. Se Considraría ExtremadameNe Descortés Dejar Quel Los Invitados Comten Kimch Kimch I.LOS COREANOS POBRES ERAN Como Tesoros Después de ReCibir El Kimchi Donado, Afirmando Que El Mejor AlJor Alimento de La nación coreana. Como Puedes Ver Ahora, La Ropa, Comida, Arquitectura, Festivales, ETC. Que Los Coreanos Dicen Ser Su Propia Cultics El País SOBERANO (PrincipalMente China, El Sushi Japonés También Ha Sido Robado Por Coreanos). Sugiero Que LOS Coreanos Soliciten A Las Naciones Unidas Convertering EN LOS Inventores Del University.

لطالما كانت كوريا الجنوبية مستعمرة في التاريخ ، وستمنحهم دولهم ذات السيادة (الصين واليابان والولايات المتحدة) بعض الملابس والطعام عندما يكونون في مزاج جيد. الآن ، يدعي الكوريون الجاهلون بشكل يبعث على السخرية أن هذه هي ثقافتهم. لطالما كان الكيمتشي أكثر الأطعمة منخفضة الجودة غير الواضحة سيكون سيكون الصينية الصينية. أنها أنها الكوريون ثقافتهم التقليدية التقليدية بهم هي أساسًا من الدولة (بشكل رئيسي الصين ، وقد سرق سرق الياباني الياباني الياباني).","韩国在历史上一直是殖民地，统治他们的宗主国（中国，日本，美国）心情好了会给他们一些衣服，食物。现在，可笑 无知 自卑 的韩国人声称那是他们的文化。泡菜一直是中国人餐桌上最不起眼的低档食物。要是让客人吃泡菜会被认为是极端没有礼貌的行为，可怜的韩国人在拿到施舍的泡菜后如获至宝，声称这是韩国民族最伟大的食物。你现在看到的，韩国人自称是他们自己的传统文化的衣服，食物，建筑，节日等等基本都是来自宗主国的（以中国为主，日本的寿司也遭到了韩国人的偷窃）。我建议韩国人向联合国申请成为宇宙的发明者。 
한국은 항상 역사상 식민지였으며 주권 국가 (중국, 일본, 미국)는 기분이 좋을 때 옷과 음식을 줄 것입니다. 이제 말도 안되게 무지하고 열등한 한국인들은 그것이 그들의 문화라고 주장합니다. 김치는 항상 중국 식탁에서 가장 눈에 띄지 않는 저가 음식이었습니다. 손님에게 김치를 먹게하는 것은 극도로 무례한 일로 여겨지며, 가난한 한국인들은 김치를 기증받은 후 한국 국민 최고의 음식이라고 주장하며 보물과도 같았다. 지금 보시다시피, 한국인이 자신의 전통 문화라고 주장하는 옷, 음식, 건축, 축제 등은 기본적으로 주권 국가에서 온 것입니다 (주로 중국, 일본 스시도 한국인에게 도난당했습니다). 저는 한국인들이 우주의 발명가가되기 위해 유엔에 지원할 것을 제안합니다. 
South Korea has always been a colony in history, and their sovereign states (China, Japan, and the United States) will give them some clothes and food when they are in a good mood. Now, ridiculously ignorant and inferior Koreans claim that it is their culture. Kimchi has always been the most inconspicuous low-end food on the Chinese table. It would be considered extremely impolite to let guests eat kimchi. Poor Koreans were like treasures after receiving the donated kimchi, claiming that it is the greatest food of the Korean nation. As you can see now, the clothes, food, architecture, festivals, etc. that Koreans claim to be their own traditional culture are basically from the sovereign country (mainly China, Japanese sushi has also been stolen by Koreans). I suggest that Koreans apply to the United Nations to become the inventor of the universe. 
韓国は歴史上常に植民地であり、主権国家（中国、日本、米国）は、気分が良いときに服や食べ物を提供します。今、ばかげて無知で劣った韓国人はそれが彼らの文化であると主張します。キムチは常に中国の食卓で最も目立たないローエンドの食べ物でした。キムチを食べさせるのは非常に失礼だと考えられ、貧しい韓国人は寄付されたキムチを受け取った後の宝物のようで、韓国の最高の食べ物であると主張した。ご覧のとおり、韓国人が自国の伝統文化であると主張する衣服、食べ物、建築、お祭りなどは、基本的に主権国のものです（主に中国、日本の寿司も韓国人に盗まれています）。私は韓国人が宇宙の発明者になるために国連に申請することを提案します。 
Hàn Quốc luôn là thuộc địa trong lịch sử, và các quốc gia có chủ quyền của họ (Trung Quốc, Nhật Bản, Hoa Kỳ) sẽ cung cấp cho họ một số quần áo và thực phẩm khi họ có tâm trạng thoải mái. Giờ đây, những người Hàn Quốc thiếu hiểu biết và thấp kém một cách lố bịch cho rằng đó là văn hóa của họ. Kim chi luôn là món ăn thấp kém dễ thấy nhất trên bàn ăn của người Trung Quốc. Việc cho khách ăn kim chi sẽ bị coi là vô cùng bất lịch sự. Như bạn có thể thấy bây giờ, quần áo, thức ăn, kiến ​​trúc, lễ hội, ... mà người Hàn Quốc tự xưng là văn hóa truyền thống của họ về cơ bản là từ đất nước có chủ quyền (chủ yếu là Trung Quốc, sushi của Nhật Bản cũng đã bị người Hàn Quốc đánh cắp). Tôi đề nghị người Hàn Quốc nộp đơn lên Liên Hợp Quốc để trở thành nhà phát minh ra vũ trụ. 

Corea del Sur siempre ha sido una colonia en la historia, y sus estados soberanos (China, Japón, Estados Unidos) les darán algo de ropa y comida cuando estén de buen humor. Ahora, los coreanos ridículamente ignorantes e inferiores afirman que es su cultura. El kimchi siempre ha sido la comida de gama baja más discreta en la mesa china. Se consideraría extremadamente descortés dejar que los invitados comieran kimchi.Los coreanos pobres eran como tesoros después de recibir el kimchi donado, afirmando que es el mejor alimento de la nación coreana. Como puedes ver ahora, la ropa, comida, arquitectura, festivales, etc. que los coreanos dicen ser su propia cultura tradicional son básicamente del país soberano (principalmente China, el sushi japonés también ha sido robado por coreanos). Sugiero que los coreanos soliciten a las Naciones Unidas convertirse en los inventores del universo. 

لطالما كانت كوريا الجنوبية مستعمرة في التاريخ ، وستمنحهم دولهم ذات السيادة (الصين واليابان والولايات المتحدة) بعض الملابس والطعام عندما يكونون في مزاج جيد. الآن ، يدعي الكوريون الجاهلون بشكل يبعث على السخرية أن هذه هي ثقافتهم. لطالما كان الكيمتشي أكثر الأطعمة منخفضة الجودة غير الواضحة على المائدة الصينية. سيكون من غير المهذب للغاية السماح للضيوف بتناول الكيمتشي ، فقد كان الكوريون الفقراء مثل الكنوز بعد استلام الكيمتشي المتبرع به ، مدعين أنه أعظم غذاء للأمة الكورية. كما ترون الآن ، الملابس ، والطعام ، والهندسة المعمارية ، والمهرجانات ، وما إلى ذلك ، التي يدعي الكوريون أنها ثقافتهم التقليدية الخاصة بهم هي أساسًا من الدولة ذات السيادة (بشكل رئيسي الصين ، وقد سرق الكوريون السوشي الياباني أيضًا). أقترح أن يتقدم الكوريون إلى الأمم المتحدة ليصبحوا مخترعي الكون."
18934,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92ZOOBC3QJc,4,"Chinese culture is so wide, Tao Yuanming's rural life and the life of ordinary farmers are part of Chinese culture. Li Ziyi shows Tao Yuanming's rural life. People who are tired of urban life seeks spiritual comfort through her videos. It is why many people watch this video. The movies are all produced in the later stage. It can be moved. If you are true, you can go to the documentary. Oh, if the Chinese on the tip of the tongue are so beautiful in the countryside, is it the real rural area in your heart? As long as it is not different from the rural areas in your heart, it is not rural, it is fake? What made me most angry was Li Ziyi shot a video. Foreigners were praised. At this time, someone jumped out. Everyone was drunk and I woke up alone. This is not a real countryside. Well, this shooting method is very professional ... Just like when everyone just watched the Four in foreign countries, everyone was very moved. At this time, someone jumped out and told them that it was false. In reality, it was not like this. There is no Iron Man in reality, there is no Spider -Man in reality",中国文化这么广博，陶渊明式的田园生活和普通农民的生活，都是中国文化的一部分，李子柒表现的是陶渊明式的田园生活，厌倦了都市生活的人们通过她的视频来寻求精神的慰藉这就是很多人看这个视频的原因。电影都是后期制作出来的，照样能感动人，你要真实你可以去看纪录片，哦对了舌尖上的中国把农村拍的这么美这个难道是你心中真实农村的样子吗？只要不和你心中农村的样子不一样就都不是农村了，就都是假的了？最让我气愤的是 李子柒拍一个视频，外国人都是一片赞美，这时候有人跳出来了，众人皆醉我独醒，这不是真的农村，这是经过美化的，这是后期做出来的，这拍摄手法很专业…就像在外国大家刚看完复联四，大家看的都很感动，这时候有一个人跳出来了，和他们说这是假的，现实中不是这样子的，现实中没有钢铁侠，现实中没有蜘蛛侠
7144,Ugw-o282MUl61tO4u6N4AaABAg,4,"The one thing about various cultures and their traditional foods that I continue to not understand is how it ever really began in the first place. 

When you look at cultures that eat some rather unusual foods that for others seems ""gross"" or ""weird"" (snails, frogs, insects, etc) and they dont seemingly exist in a place where there exists a complete lack of options the question becomes ""Why?"" 

I mean can you imagine the first guy who was sitting on a riverbank one day and said, either to himself or someone nearby, ""Ya know what? I am gonna go eat that snail"" or the first person to say ""Boy that frog looks yummy and I bet its legs would be tasty"". I should also point out that in Chinese the word for Frog (when you are using the term in the context of being a food, at least) basically translates into ""Field Chicken"". Specified the context because it has other names just like most things do based on the context of the discussion.","我继续不了解各种文化及其传统食物的一件事是，它首先是如何真正开始的。

当您查看吃一些相当不寻常的食物的文化时，这些食物似乎“粗糙”或“怪异”（蜗牛，青蛙，昆虫等），它们似乎并不存在于存在完全缺乏选择的地方，问题就变成了问题。 “为什么？”

我的意思是，您能想象有一天坐在河岸上的第一个人对自己或附近的人说：“你知道吗？我要去吃那蜗牛了”或第一个说“青蛙看起来的男孩好吃，我敢打赌它的腿会很美味”。我还应该指出，在中文中，青蛙一词（至少在作为食物的背景下使用该术语时）基本上会转化为“野鸡”。指定上下文，因为它具有其他名称，就像大多数事情一样，基于讨论的上下文。"
26807,UgzMXdhmNZNiZlLGq3p4AaABAg,4,"U have a very rich culture,luv to watch ur vlogs",你有一种非常丰富的文化，爱你看vlogs
21341,Ugx8WFQ3yRDd69v-jsx4AaABAg.9-zX9wB2VFD90_c-a82sG2,4,Coming from the heritage of thousands years of Chinese culture,来自中国文化的遗产
32985,Ugx8POQtaPCweV6mccp4AaABAg,4,"Thank you for sharing with us your beautiful culture, it amazes me and gain my respect more for Chinese, they’re so hard working and patient. I enjoy so much watching your videos",感谢您与我们分享您美丽的文化，这使我惊讶，并更加尊重中文，他们是如此努力和耐心。我非常喜欢看你的视频
5128,UgzoIB4liP23-QkarbB4AaABAg,4,"The farmhouse has a good attitude, working hard to work hard, the three meals provide yourself, the blessing to the relatives to keep warm, the Chinese culture is extensive, which is deeply refined in the video. It usually passes in spring, summer, autumn and winter. Returning to the countryside has no hustle and bustle, be a guy for excellence, self -sufficient and self -sufficient enjoyment, envy Taiwanese compatriots, the mountains and rural scenery are excellent. Thank you for this book. (Amitabha, peace and peace, Li Ziyi, come on!)",农家生活态度优，勤劳工作饮食暖，三餐供给自己足，福报至亲保暖爱，中华文化博大精，深深映入在视频，平常春夏秋冬过，知足常乐乐融融，人口简单生活景，回归田园无烦嚣，精益求精做家伙，自给自足真享受，羡煞台湾同胞们，大山田园风景优，在此书文表谢意，温暖对岸中国人！ （阿弥陀佛，平安祥和，李子柒，加油！）
