,cid,votes,含culture,含culture中文翻译
22828,UgxeONDnwrQlHsaOEqd4AaABAg,38,"I'm from China, and I'm proud of Liziqi, who presents our culture and civilization, even if who brings back all my old childhood memories in village, wonderful years, also I miss my grandmother so much. Chinese always love peace and hardworking from time immemorial . Welcome every friends to visit China.^_^",我来自中国，我为利兹奇（Liziqi）感到骄傲，利兹奇（Liziqi）呈现了我们的文化和文明，即使谁带回了我在村里的所有童年记忆，也很想念我的祖母。中国人总是喜欢远古时代的和平与勤奋。欢迎每个朋友访问中国。^_^
36000,UgyhyXflybsr2hUCb_B4AaABAg.8uYsqKM0ju78ujHKECo9NE,33,"โ€ @bellabana โ€ bellabana No, it's more a culture thing. In some countries, they don't feed pets pet food, they feed them with whatever they're eating, i.e, human food. So pets get used to the smell & whenever they smell human cooking, they think it's meal time. They might beg for food but that doesn't mean they're hungry. My family used to have pet cats, they're just like that. We could be just feeding them two full plates, they'd still come & meow at our dinner table. 

Our cats eat everything, rice, broccoli, tomato, lettuce... besides meat. You wonder why, huh? Because that's what they grew up eating, and that's what they know as food. As long as it's food to them, they'd follow, even if they're fed. If you own pets, you would know about this. 

My neighborhood doesn't raise our pets like in the West, where owners usually lock them indoor all the time. We let them roam around freely. They all go around begging for food when neighbors are cooking. As a result, we all know about others' pets, and we are fine with them. People don't always feed them, so they know they have to come home for a proper meal, but they'd get a piece here & there, so it's like snacks for them. 

Every once a while a neighborhood auntie would come up to my mom, beaming, and said, hey your cat just frequented me yesterday! ... oh do you hear him? He's frequenting someone else now...! My mom be like, yeah... guess my cooking is his least favored... The auntie be like, that's not true! Pets are like that, they go around for food but they know they can always have it back home.... And then they both laugh it off.... 

This is just a different culture of doing things, it's not necessarily bad or cruel just because it's different from your way of doing it. Calling ppl out without knowing their background is judgmental, and kinda condescending, you know, not nice. So yeah....","@bellabana bellabana不，这更多是一种文化。在某些国家，他们不喂宠物宠物食品，而是用他们吃的任何东西，即人类食品喂食。因此，宠物习惯了气味，每当闻到人类烹饪的气味时，他们都会认为这是用餐时间。他们可能乞求食物，但这并不意味着他们饿了。我的家人曾经有宠物猫，他们就是这样。我们可能只是在给他们喂两个完整的盘子，他们仍然会在我们的餐桌旁来和喵。

我们的猫吃了所有东西，米饭，西兰花，番茄，生菜...除了肉。你想知道为什么，是吗？因为那是他们长大的饮食，这就是他们所知道的食物。只要对他们来说食物，即使他们被喂食，他们也会遵循。如果您拥有宠物，您会知道这一点。

我的邻居不会像西方那样养宠物，那里的业主通常一直在室内锁定它们。我们让他们自由地漫游。当邻居在做饭时，他们都四处乞求食物。结果，我们都知道别人的宠物，我们对它们很好。人们并不总是喂他们，所以他们知道他们必须回家做适当的饭菜，但是他们在这里和那里都会得到一块，所以这就像小吃一样。

每隔一段时间，一个附近的阿姨会来找我妈妈，笑着说，嘿，你的猫昨天只是经常光顾我！ ...哦，你听到他的声音吗？他现在正经常去别人...！我妈妈就像，是的...猜猜我的烹饪是他最不喜欢的……阿姨就像，那不是真的！宠物就是这样，他们四处寻找食物，但他们知道他们总是可以把它放回家。...然后他们俩都笑了...。

这只是做事的一种不同的文化，不一定是坏事或残酷的，因为它与您的方式不同。在不知道自己的背景的情况下召集PPL是有判断力的，有点屈服，您知道，不好。嗯是的...."
42797,UgysGxgQ5Ehy45ioJZ14AaABAg,25,The best heir of traditional Chinese culture,中国传统文化最优秀的继承人
35027,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vDWl-ovE46,17,"@Petphotomaster who cares? it's still a beautiful lifestyle and many people continue traditions like this throughout different countries and cultures to this day. 
it's not completely unheard of, it's just that most westerners cannot wrap their heads around this type of living.","@petphotomaster谁在乎？这仍然是一种美丽的生活方式，许多人在不同国家和文化中继续这样的传统。
这并不是完全闻所未闻的，只是大多数西方人都无法围绕这种生活。"
50219,UgzC_AYMc9iKQDw54AR4AaABAg.8qlnUqpB5Ko8qmBNv7A7X1,14,It is Chinese New Year! This is a festival that is only produced by Chinese culture and tradition from beginning to end.,It is CHINESE New Year! 这是一个从头到尾都是中国文化和传统才产生的节日。
35032,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vE5yI2EshD,14,"@jadesohpuppy you guys are missing the entire point to his comment. We can all ""learn stuff"" but if our modern lifestyle does not require certain things, it's not the same as years worth of culture past down as a means to survival. 
If she was thrown into city life, she would still have the knowledge, of course but she wouldn't need to do and couldn't do most of these things.","@jadesohpuppy你们错过了他的评论的全部要点。我们都可以“学习东西”，但是，如果我们的现代生活方式不需要某些事情，那与过去的文化年代不一样，而不是生存的一种手段。
当然，如果她被扔到城市生活中，她仍然会有知识，但是她不需要做，也不能做大多数事情。"
30346,UgxagW4W_5aNuwYrMCd4AaABAg,11,I love the way she lives with nature.I wish I could also live in a place like that. I'm done with these all urban cultures,我喜欢她与大自然的生活方式。我希望我也可以住在这样的地方。我已经完成了所有城市文化
8520,UgwOstbYE7ECosxz8dN4AaABAg,11,"Well Liziqi doesn’t mean to express Kimchi is Chinese food right? She is Chinese but she can cook food from other cultures, what’s the problem? Only Korean can make kimchi???",好吧，liziqi并不意味着表达泡菜是中国食品吗？她是中国人，但她可以从其他文化中烹饪食物，这是什么问题？只有韩国人可以做泡菜？？？
23324,UgyV0F3W-0TIobj8FJd4AaABAg,10,Watching your video feels good! Thank you for promoting traditional Chinese culture!,看了您的视频感觉很好！谢谢推广中国传统文化！
43740,UgwAGZH5fxhe2azrTvt4AaABAg,9,"Greetings from New York!!!! It's my very first time viewing your channel!! 
I don't speak Chinese, but I enjoyed watching it! I was impressed with 
this young, petit woman being so strong & resourceful! It really is fun to see the different culture & its food!(^^). Looks like a great new year celebration!!(^^)(^^)","来自纽约的问候！这是我第一次查看您的频道！！
我不会说中文，但我喜欢看它！我印象深刻
这个年轻的小女人是如此坚强和足智多谋！看到不同的文化及其食物真的很有趣！（^^）。看起来像是一个很棒的新年庆祝活动！（^^）（^^）"
28151,UgxV6wwjOWPppmiiUF54AaABAg.8ylbPgnyalM8zGQ-N5ibE5,9,China has a rich a beautiful culture which is evident in the many exquisite Chinese dishes. I think Chinese food is the most flavorful and unique experiences I've had. Definitely have a lot of respect for Chinese culture.,中国拥有丰富的美丽文化，在许多精美的中国菜肴中都很明显。我认为中国菜是我拥有的最美味和独特的体验。绝对对中国文化有很多尊重。
39977,UgzqtRde9K0jmUT0jgd4AaABAg,8,"Wow! Young lady with amazing skill and hard working. This is part of wonderful Chinese culture , Thank you ๐",哇！年轻女士的技巧和努力工作。这是奇妙的中国文化的一部分，谢谢
3496,UgxNeO4EdsJeaBeB3uZ4AaABAg,8,My dream is to visit China and all its regions... I really love China with its culture and language and I adore its people... Congratulations to me... I have been studying Chinese for a year,我的梦想是参观中国及其所有地区...我真的很喜欢中国的文化和语言，我崇拜它的人...恭喜我...我已经学习了一年
24111,Ugx_TZ7L9ZSeJcBAbId4AaABAg.91U9KIRGN8y92Erxa0Vt6o,7,It is better to output cultural output to preaching Chinese culture.,把文化输出，改成宣扬中华文化比较好。
8706,UgxTrdQpB5pxOySrAHt4AaABAg.9IK5l71vneV9IYyP6W6RYt,7,"@Windychung is too large because the cake of Chinese culture is too large, Japan, South Korea and Vietnam in Japan, South Korea and Vietnam.",@WINDYCHUNG 因为中国文化这个饼太大了，中国文化圈的日本，韩国、越南都要抢。
46647,UgznRayRv0aCLiZInI54AaABAg,7,"Those who compare li ziqi and little brother in western Yunnan (https://www.youtube.com/chaannel/ucqg_fzadcunbtv1kwjkfaqq/videos?dis? Pyright? You must be kidding!
Those who compare Li Ziyi and the little brother in Western Yunnan are fools. What do they say? Copyright Blablabla, you must be joking!
TheSe Beautiful, Smart and Hard-Working Ladies are not competing. They are just directly doing some love, and sharing the beaouth and lovely lighting u. s.
These two smart women are not competing. They are just doing what they like, meaningful things, and then share the beauty of nature and life with us.
We are gathered on the channels beCAUSE we lovephul nature and wonderful food. SOME people alway them and say some disgusting words. My opinion is that hard-working peopleS are resied everywhere, and those who do nothing and talking bad Are the most annoying. (My English is not very good)
We gather on these channels because we love beautiful nature and wonderful food culture. Some people always use them to compare them and speak some disgusted words. My point is that the hard -working workers are respected no matter where they are, and those who do nothing to do anything are the most annoying.","Those who compare Li ZiQi and 滇西小哥 (https://www.youtube.com/channel/UCQG_fzADCunBTV1KwjkfAQQ/videos?disable_polymer=1) are fools, copycat? copyright? You must be kidding！
那些把李子柒和滇西小哥进行比较的人都是傻瓜，还说什么模仿者，版权blablabla，你一定是在开玩笑！
These beautiful，smart and hard-working ladies are not competing. They are just doing something they love, and sharing the beauty of nature and lovely lifestyle with us.
这两位聪明能干的女性不是在搞竞争，她们都只是在用心地做着自己喜欢的，有意义的事情，然后和我们一起分享自然与生活的美好。
We are gathered on these channels because we love beautiful nature and Wonderful food culture。Some people always compare them and say some disgusting words. My opinion is that Hard-working peoples are respected everywhere, and those who do nothing and talking bad are the most annoying.（My English is not very good）
我们聚集在这些频道是因为我们爱美丽的自然和美妙的饮食文化，有些人总要把她们拿来比较并说一些让人反感的话语。我的观点是，辛勤劳动者无论在哪里都受人尊敬，无所事事还口吐恶言的人是最让人讨厌的。"
21328,Ugw56japdzLAqaFKzLd4AaABAg.93kft2Vm__3944aOBe9whI,7,"phil Tian according to online YouTube sites she could be earning as much as $3 million a year from YouTube alone. Probably not that close, but when you factor in she has over 30 million subscribers on Chinese platforms itโ€s fair to say that $3 million is probably conservative. Although YouTube is technically illegal and banned in China, in cases such as hers, where they make the country and culture look good, the CCP encourages their YouTube participation. Her skills are fantastic, but whomever is doing the filming and editing is doing a fine job too.",菲尔·蒂安（Phil Tian）根据在线YouTube网站，仅YouTube就可以每年收入高达300万美元。可能不是那么接近，但是当您考虑她在中国平台上拥有超过3000万订户时，可以说300万美元可能是保守的。尽管YouTube在技术上是非法的，并且在中国被禁止使用，但在她的情况下，使国家和文化看起来不错，但CCP鼓励他们的YouTube参与。她的技能很棒，但是无论如何都在拍摄和编辑也做得很好。
4460,Ugy2wW52jxSZrG4vAwt4AaABAg,7,"The fun of this video is to do it yourself, combining the artistic conception of returning to the original nature of ancient Chinese traditional culture.❤️",该视频的乐趣是自己做，结合了返回古代中国传统文化原始本质的艺术概念。
9576,UgzNn8VaZkxE7dJka7R4AaABAg.9H4s9lfme1m9I5vpAJ1XzR,6,"@zeflute4586 when Gordon travels he always shows respect for other cultures, that brash attitude is mainly for the US market because that's what sells in the states the shock factor.",@zeflute4586当戈登（Gordon）旅行时，他总是表现出对其他文化的尊重时，野蛮的态度主要针对美国市场，因为这是在州出售的震惊因素。
27726,UgyZku64ZBh-3ei_N4F4AaABAg,6,", Lying ... but why I have no culture, go away ... the world",卧槽，卧槽……奈何自己没文化，一句走…天下
39424,UgxOfoa1eUo4_inwDCx4AaABAg,6,"This is a needlewoman!
I have always been delighted and delighted with Chinese culture (here you can probably say for all Asian cultures)! They have something that others forgot or did not know!","这是一个针头女士！
我一直对中国文化感到高兴和高兴（在这里您可能会为所有亚洲文化说）！他们有别人忘记或不知道的东西！"
41996,UgzFQGqQUA_b3IDA4PN4AaABAg,6,Chinese cuisine and culture is the most i in love with,中国美食和文化是我最喜欢的一种
10991,UgzVXwN2Sk-mZ8X4ecJ4AaABAg,5,"If you are new here, here is absolutely everything you need to know about Liziqi ( Li Ziyi ): 

In 1990, Li Ziyi fell to the ground in Mianyang, Sichuan. Her parents divorced when she was very young. Later, her father died, and Li Ziyi became an orphan. His stepmother didnโ€t treat her well. Li Zizhen mentioned on Weibo that he had had a half-dead experience when his stepmother dragged her hair into the gutter and was beaten. 

Grandpa and Grandma distressed granddaughter, and finally decided to take Li Ziyu home and live. When Li Ziyi was in fifth grade, his grandfather died again, and it was difficult for his grandma to raise her to continue school. At the age of 14, Li Ziyi had to drop out of school and go to the city alone to work hard, and began an 8-year wandering life. Her first life was very hard. She slept in a park chair and scratched her head for two months. 

Li Ziyi has also worked as a waiter in a hotel, with a monthly salary of 300 yuan. In order to earn more income, she went to learn to play discs and sang in the bar. Later, when talking about the matter, Li Zizhen frankly said: โ€I didnโ€t say that I liked music at that time, just to live, I felt that it was well paid.โ€ 

In 2012, because grandma was ill once, Li Ziyi was worried that she would regret it later, throwing away all work and returning to grandma. โ€Being closer, I feel more at ease.โ€ 

After returning, Li Ziyi opened a Taobao shop, but the business has been up and running, and he barely eats. In 2015, under the influence of his younger brother, Li Ziyi was exposed to the short video platform Meipai. Until 2016, seeing that his younger brother had some fans on Meipai, and holding more fans can improve the mentality of Taobao business, Li Ziyi re-entered Meipai to prepare for his own video program. 

The reason why she chose to shoot videos in this style is closely related to her childhood environment. 

In an interview with the living room of Sina Club, Li Ziyi mentioned, โ€All these things that are self-sufficient in the countryside, for me, they are jealous. In the short video, she chose to start from the most familiar places. 

In the beginning, Li Ziyi gave himself a topic called โ€Four Seasons Change, Eat While You Eatโ€. After the suggestion of Meipai editor, it became โ€Ancient Foodโ€ and it is still used today. 

In September 2016, a new opportunity came quietly, which also became an important promoter for Li Ziyu to get more attention in the future. Sina Weibo began to openly search for more outstanding short video creators for resource support. 

As mentioned at the beginning of the article, Liu Tongming brought her Weibo resources support. 

One day in September 2016, Li Feng, an ancient short video blogger, accidentally received a private Weibo message from โ€Mr. Lโ€. Mr. L expressed his love for Li Ziyuโ€s video content, felt that he had fulfilled his Taoyuan dream, and hoped to meet her. 

For a long time after that, Li Ziyi received Mr. Lโ€s private letter. โ€It would be a shame for such a good video to let this person see it. This is usChinaโ€s proud traditional culture should be seen by people in China and around the world. โ€Mr. L said in a private message. 

At first, after seeing these private messages, Li Ziyi didnโ€t care too much, even worrying about encountering a liar. Until one day, Mr. L came to the city where Li Zizhen was, and wanted to ask her to have a meal and talk. Mr. Lโ€s politeness and clear logical thinking made Li slowly drop his initial alert. 

This accidental meeting has completely changed the life trajectory of Li Zizhen. Not long after the meal was over, with the help of Mr. L, Li Zizheng was supported by a large wave of resources on Sina Weibo, accelerating her popularity and allowing Li Zizhen to rush into the queue of the net influencer on the head. 

This experience is partly recorded in a diary of Li Zizheng that year. Some insiders close to the senior executives of Weinian Technology confirmed to Tencentโ€s โ€Shenwangโ€ that the โ€Mr. Lโ€ is actually Liu Tongming, and his pseudonym was publicly reported. Daxiong Liu, the founder of Wei Nian Technology, an MCN company to which Li Zizhen now belongs. 

On December 8th, the reading volume of a Weibo topic labeled โ€Is Li Ziyi a cultural outputโ€ climbed to 800 million. Li Zizheng was once again on the hot search list. 

The video created by Li Ziyi and her has become a phenomenon worthy of study now. 

Extensive overseas communication is an important reason for Li Zihuanโ€s renewed attention. Some people say that she has filmed a desirable rural life and spread the charm of traditional Chinese culture and cuisine. Others think that her video is not completely true To reflect Chinaโ€s rural life. 

Even the queries that have been popular since the explosion have been brought up again, such as being a DJ, being a rich second generation, whether the video is from my own hands, is there a strong push behind it, and the video is true for rural life Itโ€s still just a fiction for character setting. 

An insider of Weinian Technology told Tencentโ€s โ€Deep Webโ€ that Li Ziyi was of ordinary origin, and the relevant video content was produced by Li Ziyi himself. The popularity was not the initiative of the company and himself. In fact, both Li Zihuan and the micro-reading team behind him were quite low-key, and they were very enthusiastic and declined all the current interview needs. 

Until August 17, 2018, Li Ziyiโ€s eponymous Tmall store officially opened. Six days after going online, the store with only five products at that time had sales of over 150,000 and sales of over 10 million. A year later, the total sales of 21 products displayed in the Li Zizhen flagship store exceeded 1.3 million, with total sales reaching 71 million. 
The value behind Li Ziyiโ€s IP is being quickly tapped. 

Li Ziyi started from scratch and gained the first fans with his own strength. But now the popularity and gains of fame and fortune are obviously no longer just her achievements. 
According to Tianyan search, โ€Deep Webโ€ shows that MCN Hangzhou Weinian Technology Co., Ltd., which Li Ziyi belongs to, was established on February 28, 2013, with a registered capital of RMB 5.208 million. According to the introduction, Wei Nian is an entertainment entertainment company that incubates KOL into IP through short videos and extends to consumer brands. 

The information of Qixinbao shows that there are more than 100 pieces of intellectual property information of the trademark โ€Li Zihuanโ€. The applicant companies are Hangzhou Weinian Technology Co., Ltd. The product categories include food, clothing, shoes and hats, dyes and fats, beer and beverages, Financial property management, catering and accommodation. 

Not only that, Wei Nian also has inextricable links with Li Ziyuโ€s companies. 

According to the eye inspection, Li Jiajia (should be the original name of Li Ziyu) established Sichuan Ziyu Culture Communication Co., Ltd. on July 20, 2017, and Wei Nian is its shareholder, holding 51% of the shares. Supervisor, Li Jiajia holds 49% of the shares. 

According to other data, there are as many as 50 beneficiary companies behind Hangzhou Weinian Technology Co., Ltd., including Greenland Holdings, ZTE, Xinhua Media, Vanke, Light Media, etc. . 
Among the shareholders of Weinian Technology, Sina Weibo is particularly eye-catching. 

From Wei Nian Technology to Sina Weibo, Li Ziyi gradually has the best cards that internet celebrities are looking forward to. 
In her own words, she changed from โ€a little transparent to a person who is so useless to societyโ€. After entering the public view and being noticed by more people, Li Ziyiโ€s sense of responsibility has also become heavier. 
โ€I want to do what I can to do more things that are good for society, such as the spread of traditional culture, non-heritage cultural craftsmen, and I want to show these old things to everyone so that more people know. Li Ziyi said. 

Source: https://www.ww01.net/en/archives/33757","如果您在这里是新手，那么这绝对是您需要了解的有关Liziqi（Li Ziyi）的一切：

1990年，李齐伊（Li Ziyi）跌倒在四川米扬（Mianyang）。她的父母很小的时候就离婚了。后来，她的父亲去世了，李齐伊成为孤儿。他的继母对她不好。李·齐兴（Li Zizhen）在微博上提到，当他的继母将头发拖入排水沟并被殴打时，他有半死的经历。

爷爷和奶奶使孙女感到沮丧，最后决定带李Ziyu回家。当李齐伊（Li Ziyi）五年级时，他的祖父再次去世，他的祖母很难抚养她继续上学。李齐（Li Ziyi）在14岁时不得不辍学，独自去城市努力工作，并开始了八年的流浪生活。她的第一人生非常艰难。她睡在公园椅上，挠头两个月。

Li Ziyi还曾在酒店担任服务生，每月薪水为300元。为了赚取更多的收入，她去学习演奏唱片并在酒吧里唱歌。后来，在谈论此事时，李·齐兴（Li Zizhen）坦率地说：“我不是说当时我喜欢音乐，只是为了生活，我觉得这是付出的。”

2012年，由于奶奶曾经生病，李齐伊（Li Ziyi）担心她后来会后悔，扔掉所有工作并返回奶奶。 “靠近，我感到更加放松。”

返回后，李Ziyi开了一家淘宝商店，但业务一直在运行，他几乎没有吃饭。 2015年，在他的弟弟的影响下，李齐伊（Li Ziyi）接触了短视频平台Meipai。直到2016年，看到他的弟弟在Meipai上有一些粉丝，并且拥有更多的粉丝可以改善淘宝业务的心态，Li Ziyi重新进入Meipai，为自己的视频节目做准备。

她之所以选择以这种风格拍摄视频与她的童年环境密切相关的原因。

李·齐（Li Ziyi）在接受西那俱乐部（Nina Club）的客厅采访时说：“所有这些在农村自给自足的事情，对我来说，它们嫉妒。在简短的视频中，她选择从最熟悉的地方开始。

一开始，李齐伊（Li Ziyi）称自己为“四个季节变化，吃饭时吃饭”。在Meipai编辑的建议之后，它变成了“古老的食物”，并且今天仍然使用。

2016年9月，一个新的机会悄悄地出现了，这也成为李Zyu将来更加关注的重要推动者。 Sina Weibo开始公开寻找更多出色的简短视频创建者以获得资源支持。

正如文章开头所述，刘·汤明（Liu Tongming）为她带来了微博的资源支持。

2016年9月的一天，古老的简短视频博客作者Li Feng意外收到了“先生先生的私人微博消息”。 L”。 L先生表达了对李Ziyu的视频内容的热爱，觉得他已经实现了他的作陶王的梦，并希望与她见面。

此后很长一段时间，Li Ziyi收到了L先生的私人信。 “这样一个好视频让这个人看到它是可惜的。这是中国和世界各地的人们应该看到USCHINA骄傲的传统文化。 “先生。我在一条私人消息中说。

起初，在看到这些私人消息后，李Ziyi并不在乎太多，甚至不必担心遇到骗子。直到一天，L先生来到了李·齐兴（Li Zizhen）所在的城市，并想请她吃饭和聊天。 L先生的礼貌和清晰的逻辑思维使李慢慢地放弃了最初的警报。

这次偶然的会议彻底改变了李·齐兴（Li Zizhen）的生活轨迹。用餐结束后不久，在L先生的帮助下，李·Zizheng（Li Zizheng）得到了Sina Weibo的大量资源的支持，加快了她的知名度，并允许Li Zizhen赶到头部网络影响者的排队。

这种经历部分记录在那年的李Zizheng日记中。一些与温尼安技术高级管理人员接近的内部人士证实了腾讯的“申旺”，即“先生先生L”实际上是刘·汤明（Liu Tongming），他的化名是公开报道的。 Wei Nian Technology的创始人Daxiong Liu是Li Zizhen现在属于的MCN公司。

12月8日，一个标有“是文化产出”的微博主题的阅读量攀升至8亿。李Zizheng再次在热门搜索列表中。

Li Ziyi和她创建的视频现在已成为一个值得研究的现象。

广泛的海外沟通是李齐伊安（Li Zihuan）重新关注的重要原因。有人说她已经拍摄了理想的乡村生活，并传播了中国传统文化和美食的魅力。其他人则认为她的视频并非完全正确地反映中国的乡村生活。

自从爆炸再次提出以来一直很受欢迎的疑问，例如成为DJ，成为富人的第二代，无论是我自己的视频，是否有强烈的推动力，视频是真的对于农村生活，这仍然是角色环境的小说。

Weinian Technology的一位内部人士告诉Tencent的“ Deep Web”，Li Ziyi是普通的，相关的视频内容是由Li Ziyi本人制作的。受欢迎程度不是公司和他本人的倡议。实际上，他背后的李·齐伊安（Li Zihuan）和微读团队都非常低调，他们非常热情，拒绝了当前的所有采访需求。

直到2018年8月17日，Li Ziyi的同名TMALL商店正式开业。上网六天后，当时只有五种产品的商店的销售额超过150,000，销售额超过1000万。一年后，李Zizhen旗舰店展示的21种产品的总销售额超过130万，总销售额达到7100万。
Li Ziyi的IP背后的价值正在迅速挖掘。

Li Ziyi从头开始，并以自己的力量获得了第一批粉丝。但是现在，声名和财富的受欢迎程度和收益显然不再只是她的成就。
根据Tianyan Search的说法，“ Deep Web”表明，Li Ziyi属于的McN Hangzhou Weinian Technology Co.，Ltd。于2013年2月28日成立，其注册资本为5.208亿元。根据引言，Wei Nian是一家娱乐娱乐公司，通过简短的视频将KOL孵化为IP，并扩展到消费者品牌。

Qixinbao的信息表明，商标“ Li Zihuan”有100多种知识产权信息。申请人公司是Hangzhou Weinian Technology Co.，Ltd。产品类别包括食品，服装，鞋子和帽子，染料和脂肪，染料和脂肪，啤酒和饮料，金融物业管理，餐饮和住宿。

不仅如此，Wei Nian还与Li Ziyu的公司建立了不可忽视的联系。

根据眼睛检查，李亚吉亚（应该是李祖的原始名称）于2017年7月20日成立了四川Ziyu文化传播公司有限公司。主管Li Jiajia持有49％的股份。

根据其他数据，Hangzhou Weinian Technology Co.，Ltd。的背后有多达50家受益公司，包括Greenland Holdings，ZTE，新华社媒体，Vanke，Light Media等。
在Weinian技术的股东中，Sina Weibo特别引人注目。

从Wei Nian Technology到Sina Weibo，Li Ziyi逐渐拥有互联网名人期待的最佳卡片。
用她自己的话说，她从“有点透明变成了一个对社会无用的人”。在进入公众观点并被更多人注意到之后，李齐的责任感也变得更加重。
“我想尽我所能，做更多对社会有益的事情，例如传统文化，非遗产文化工匠的传播，我想向所有人展示这些旧事物，以便更多的人知道。李Ziyi说。

资料来源：https：//www.ww01.net/en/archives/33757"
25219,UgxOXO3kt8tJ_2r-cxB4AaABAg,5,This is once of my favorites! I've always wondered what snacks and desserts there were in Chinese culture. I know they don't consume as much calories as we Americans do! Lol yummy,这是我的最爱！我一直想知道中国文化中有哪些小吃和甜点。我知道他们不如美国人消耗的卡路里！大声笑美味
17617,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh983zUWghqzH,5,"Heardistance I feel that I am talking about cows and pysteria and ducks. I feel that you don't understand what is the time of the years that many young people are yearning for many young people in China. You even lack some basic respect and education of foreign culture. What do you want to show here and what people want to show here to share the idyllic life. You talk to me here about me, Japan and South Korea ... Does it have anything to do with me? Is it related to this video?",heardistance 我感觉我在对牛谈琴 鸡同鸭讲 我感觉你根本就不懂什么叫意境 中国很多年轻人向往的岁月静好 你甚至缺乏一些基本的对外来文化的尊重和教养 还有这个姑娘在这里想表现什么和你想在这里表现什么 人家分享田园生活 你在这里跟我谈美国日本韩国...跟我有关系吗？跟这个视频有关系吗？
