,cid,votes,time,含culture,含culture中文翻译
32913,Ugz3FH_-93t-gEqVUdx4AaABAg.8yUkS5gmmql8yV3gemdsru,6,3 years ago,"not education, right?
more precisely to spread chinese culture","算不上教育吧
更准确说是传播中华文化"
16908,UgwkOVUO2hyyb75qMtt4AaABAg,6,3 years ago,"for the first time, i accidentally resonated and truly reflected the daily life of rural people. it reminds me of the flat and real years i walked in the countryside when i was a teenager ...
rural china is the root of our chinese culture! intersection","第一次无意间睇到，甚有共鸣而真实反应了农村人的日常生活，令我想起少年时，自己在农村走过的平淡又实在的岁月……
中国农村，就是我们中华文化的根！ ！"
20446,UgxLOC1t-WuXVFSqfVp4AaABAg,6,3 years ago (edited),"everything perfect, in vietnam many young people like to watch your video. chinese culture and vietnamese culture are quite similar. from",一切完美，在越南，许多年轻人喜欢观看您的视频。中国文化和越南文化非常相似。来自
23453,UgwBNQDYwhYRutE00xF4AaABAg.8zj0F8MxqZ48zqq4yaKKSb,6,3 years ago,amazing！you notice the tiny which creat by nature.everything seem so friendly quite and harmonious，and the gril too！this feeling is called 天（nature）人（human）合（combine）一（origin） in chinese .this video id full of our culture which different to other,惊人的！您注意到自然创造的微小。一切似乎是如此的友好和和谐，而且gril也是如此，这种感觉被称为（人体）（人类）（人类的compine）（compine）（compine）（中文）。充满了我们与其他不同的文化
19084,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392IbfbEjWaW,5,3 years ago,"wow, i don't understand all of these negativity. i don't know is any of you able to travel to other countries and continents, but i've been to so many countries and cities, even in the places that are in the third red zone of travel safety, and i still enjoyed my trips and vacations. you can be at home and something bad can happen. what is meant to be will happen. my life goal is to visit the whole world, to meet the people, learn from their own culture, try all the food, even the crazy ones and will definitely do that. so like i've said, china, japan or korea is next on the list.",哇，我不明白所有这些消极情绪。我不知道你们都可以前往其他国家和大洲，但是我去过许多国家和城市，即使在旅行安全的第三红色地区，我仍然很喜欢我旅行和假期。您可以在家，可能会发生一些不好的事情。将要发生的事情将发生。我的人生目标是拜访全世界，与人民见面，从自己的文化中学习，尝试所有食物，甚至是疯狂的食物，肯定会做到的。因此，就像我说的那样，中国，日本或韩国是下一个。
4519,UgxL_0OtXoltHkHJnHJ4AaABAg,5,2 years ago,"south korea has always been a colonial in history and ruled their clan (china, japan, japan, the united states). when they are in a good mood, they will give them some clothes and food. now, ridiculous and ignorant korean people claim that it is their culture. kimchi has always been the most inconspicuous low -grade food on the chinese dining table. if the guests are allowed to eat kimchi, they will be considered extremely polite, and the poor koreans will be treasured after getting the kimchi that they get the racket, claiming that this is the greatest food of the korean nation. what you see now, koreans claim that they are their own traditional culture clothes, food, architecture, festivals, etc. (mainly china, and japanese sushi has been stolen by koreans). i suggest that koreans apply for the inventor of the universe from the united nations.
한국은항상역사상식민지였으며주권국가(중국, 일본, 미국)는기분이좋을때옷과음식을줄것입니다. 이제말도안되게무지하고열등한한국인들은그것이그들의문화라고주장합니다. 김치는항상중국식탁에서가장눈 이었습니다 이었습니다 음식 손님. 음식 음식, 건축, 건축, 축제 등 은 기본 으로 주권 국가 온 온 것 입니다 입니다 입니다 입니다 것 것 입니다 입니다 것 입니다 것 입니다 것 것 입니다 입니다 (주로 중국 일본 스 시도 한국인 에게 도난당 했습니다).
south korea has always ben a color in history, and their sovereign states (china, japan, and the united states) will give them some clothes and food when are in a good mood. now, ridiculously ignorant and inferior koreans claim that it is their culture. kimchi has always ben the most inconspicuous low-end the chinese table. it would be considered extremely impolite to let guests ear chi. poor koreans we like treason after receiving the donated kimchi, claiming that it is the guatest food food of the korean national. as you can see now, the clothes, food, architecture, festivals, etc. that koreans claim to be their own culture are basely f rom the sovereign country (mainly china, japanese sushi has also been stolen by koreans). i suggest that koreans apply to the united nations to become the inventor of the universe.
in the history of korean 歴 に は は であ であ り, the main nation of the main nation (china, japan, and mi) は, 気 い い い い い に や や べ べ し し し し し し し ます し. today, 知 て て っ っ っ korean people は それ それ ら の の の の と と と し し し ます し.の に に で の は で で で も も も な な な い ロ ロ ン ド の べ べ で し た で し たさ さ べ べ せる は は は は に に に に と と と と え え え し し し し い は は は さ れ れ を け け の の の の ようで ようで ようで の の の の の べ べ べ べ と し し し た.の とお 韩 韩 韩 韩 韩 韩 韩 韩 が が の の 伝 伝 と と と と と と と と と と と と と と と する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する ご覧 ご覧 する ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ” to. private 人 korean 宇 の の 発 発 る な る ため ため ため に に に に する する こと proposal.
hàn queốc luốn là thuộcđịa tronlong lịch sử, và các queốc gia có chủn củan của họ (trung queốc, nhật bản, hoa kỳ) sẽp chhep cho họt sốt sốn áo vực phẩm kẩm kẩm k hi họcó tạm trạng thoải mái. giờ g, nh nng người hàn queốc thiếu hiểu biết và thấp kém một cách lốch chól rằ yng àn hóa của họ. kim chi luôn là món ăn thấ thấyyyyyyyyyyn bà n ăn của ngủi trung quốc. việc cho khách ăn kim chi sẽ bẽ coi là vị cùng bất lịch sự. nhưbạn có thể thấyy bây giờ, queần áo, thức ăn, kiến ​​trúc, lễ hội, ... mà người hàn queốc tựn hóa truyền thốnte của h h h ọ v ơ cề bản là t ướt nước có chủ chủ quyền (chủ yếu là trung queốc, sushi của nhật bản cũng đã bị người hàn queốc đ đ đ đ). queởc để trà thành nhà phát minh ra vũ trụ then, then

corea del siempre ha sido una colonia en la historia, y sus estados sobernos (china, japón, estados university) les darán algo de ropa yando estén de bu en humor. ahora, los coreanos ridículamente ignarantes e inferiores afirman que es su cultura el kimchi siempre ha sido la comida de gama baja más discreta en la mesa china. se considraría extremadamene descortés dejar quel los invitados comten kimch kimch i.los coreanos pobres eran como tesoros después de recibir el kimchi donado, afirmando que el mejor aljor alimento de la nación coreana. como puedes ver ahora, la ropa, comida, arquitectura, festivales, etc. que los coreanos dicen ser su propia cultics el país soberano (principalmente china, el sushi japonés también ha sido robado por coreanos). sugiero que los coreanos soliciten a las naciones unidas convertering en los inventores del university.

لطالما كانت كوريا الجنوبية مستعمرة في التاريخ ، وستمنحهم دولهم ذات السيادة (الصين واليابان والولايات المتحدة) بعض الملابس والطعام عندما يكونون في مزاج جيد. الآن ، يدعي الكوريون الجاهلون بشكل يبعث على السخرية أن هذه هي ثقافتهم. لطالما كان الكيمتشي أكثر الأطعمة منخفضة الجودة غير الواضحة سيكون سيكون الصينية الصينية. أنها أنها الكوريون ثقافتهم التقليدية التقليدية بهم هي أساسًا من الدولة (بشكل رئيسي الصين ، وقد سرق سرق الياباني الياباني الياباني).","韩国在历史上一直是殖民地，统治他们的宗主国（中国，日本，美国）心情好了会给他们一些衣服，食物。现在，可笑 无知 自卑 的韩国人声称那是他们的文化。泡菜一直是中国人餐桌上最不起眼的低档食物。要是让客人吃泡菜会被认为是极端没有礼貌的行为，可怜的韩国人在拿到施舍的泡菜后如获至宝，声称这是韩国民族最伟大的食物。你现在看到的，韩国人自称是他们自己的传统文化的衣服，食物，建筑，节日等等基本都是来自宗主国的（以中国为主，日本的寿司也遭到了韩国人的偷窃）。我建议韩国人向联合国申请成为宇宙的发明者。 
한국은 항상 역사상 식민지였으며 주권 국가 (중국, 일본, 미국)는 기분이 좋을 때 옷과 음식을 줄 것입니다. 이제 말도 안되게 무지하고 열등한 한국인들은 그것이 그들의 문화라고 주장합니다. 김치는 항상 중국 식탁에서 가장 눈에 띄지 않는 저가 음식이었습니다. 손님에게 김치를 먹게하는 것은 극도로 무례한 일로 여겨지며, 가난한 한국인들은 김치를 기증받은 후 한국 국민 최고의 음식이라고 주장하며 보물과도 같았다. 지금 보시다시피, 한국인이 자신의 전통 문화라고 주장하는 옷, 음식, 건축, 축제 등은 기본적으로 주권 국가에서 온 것입니다 (주로 중국, 일본 스시도 한국인에게 도난당했습니다). 저는 한국인들이 우주의 발명가가되기 위해 유엔에 지원할 것을 제안합니다. 
South Korea has always been a colony in history, and their sovereign states (China, Japan, and the United States) will give them some clothes and food when they are in a good mood. Now, ridiculously ignorant and inferior Koreans claim that it is their culture. Kimchi has always been the most inconspicuous low-end food on the Chinese table. It would be considered extremely impolite to let guests eat kimchi. Poor Koreans were like treasures after receiving the donated kimchi, claiming that it is the greatest food of the Korean nation. As you can see now, the clothes, food, architecture, festivals, etc. that Koreans claim to be their own traditional culture are basically from the sovereign country (mainly China, Japanese sushi has also been stolen by Koreans). I suggest that Koreans apply to the United Nations to become the inventor of the universe. 
韓国は歴史上常に植民地であり、主権国家（中国、日本、米国）は、気分が良いときに服や食べ物を提供します。今、ばかげて無知で劣った韓国人はそれが彼らの文化であると主張します。キムチは常に中国の食卓で最も目立たないローエンドの食べ物でした。キムチを食べさせるのは非常に失礼だと考えられ、貧しい韓国人は寄付されたキムチを受け取った後の宝物のようで、韓国の最高の食べ物であると主張した。ご覧のとおり、韓国人が自国の伝統文化であると主張する衣服、食べ物、建築、お祭りなどは、基本的に主権国のものです（主に中国、日本の寿司も韓国人に盗まれています）。私は韓国人が宇宙の発明者になるために国連に申請することを提案します。 
Hàn Quốc luôn là thuộc địa trong lịch sử, và các quốc gia có chủ quyền của họ (Trung Quốc, Nhật Bản, Hoa Kỳ) sẽ cung cấp cho họ một số quần áo và thực phẩm khi họ có tâm trạng thoải mái. Giờ đây, những người Hàn Quốc thiếu hiểu biết và thấp kém một cách lố bịch cho rằng đó là văn hóa của họ. Kim chi luôn là món ăn thấp kém dễ thấy nhất trên bàn ăn của người Trung Quốc. Việc cho khách ăn kim chi sẽ bị coi là vô cùng bất lịch sự. Như bạn có thể thấy bây giờ, quần áo, thức ăn, kiến ​​trúc, lễ hội, ... mà người Hàn Quốc tự xưng là văn hóa truyền thống của họ về cơ bản là từ đất nước có chủ quyền (chủ yếu là Trung Quốc, sushi của Nhật Bản cũng đã bị người Hàn Quốc đánh cắp). Tôi đề nghị người Hàn Quốc nộp đơn lên Liên Hợp Quốc để trở thành nhà phát minh ra vũ trụ. 

Corea del Sur siempre ha sido una colonia en la historia, y sus estados soberanos (China, Japón, Estados Unidos) les darán algo de ropa y comida cuando estén de buen humor. Ahora, los coreanos ridículamente ignorantes e inferiores afirman que es su cultura. El kimchi siempre ha sido la comida de gama baja más discreta en la mesa china. Se consideraría extremadamente descortés dejar que los invitados comieran kimchi.Los coreanos pobres eran como tesoros después de recibir el kimchi donado, afirmando que es el mejor alimento de la nación coreana. Como puedes ver ahora, la ropa, comida, arquitectura, festivales, etc. que los coreanos dicen ser su propia cultura tradicional son básicamente del país soberano (principalmente China, el sushi japonés también ha sido robado por coreanos). Sugiero que los coreanos soliciten a las Naciones Unidas convertirse en los inventores del universo. 

لطالما كانت كوريا الجنوبية مستعمرة في التاريخ ، وستمنحهم دولهم ذات السيادة (الصين واليابان والولايات المتحدة) بعض الملابس والطعام عندما يكونون في مزاج جيد. الآن ، يدعي الكوريون الجاهلون بشكل يبعث على السخرية أن هذه هي ثقافتهم. لطالما كان الكيمتشي أكثر الأطعمة منخفضة الجودة غير الواضحة على المائدة الصينية. سيكون من غير المهذب للغاية السماح للضيوف بتناول الكيمتشي ، فقد كان الكوريون الفقراء مثل الكنوز بعد استلام الكيمتشي المتبرع به ، مدعين أنه أعظم غذاء للأمة الكورية. كما ترون الآن ، الملابس ، والطعام ، والهندسة المعمارية ، والمهرجانات ، وما إلى ذلك ، التي يدعي الكوريون أنها ثقافتهم التقليدية الخاصة بهم هي أساسًا من الدولة ذات السيادة (بشكل رئيسي الصين ، وقد سرق الكوريون السوشي الياباني أيضًا). أقترح أن يتقدم الكوريون إلى الأمم المتحدة ليصبحوا مخترعي الكون."
1039,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9kFQ-YzDT4_,5,5 months ago,"@user-gh4ue8zn7y is waiting for it. li ziyi's ip use right is also completely attributed to """" ziyi, and ziyi culture was completely captured by li ziyi, but it is certain that ziyi is for this lawsuit. it should be sacrificed a lot. maybe there will be huge compensation, but since ziyi has chosen, let us support her to return smoothly.",@user-gh4ue8zn7y 再等一等，李子柒这个ip使用权也完全归位“”子柒所有，子柒文化也完全被李子柒夺了回来，但可以肯定的是，子柒为了这次官司，应该要牺牲很大。也许会有巨额的赔偿，不过既然子柒已经这么选择了，接下来就让我们支持她顺利回归好了
22405,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-wbU9qHbcD,5,3 years ago,"she picks up something in chinese culture to show everyone, most chinese knows she shows a “taoyuan” dream in everyone’s heart.",她在中国文化中捡起一些东西来向所有人展示，大多数中国人都知道她在每个人的心中都表现出“作魔法”的梦想。
33388,Ugy-4JnvX6DuAnRoFp54AaABAg,5,3 years ago,"it seems that the topic of agriculture and rural areas is not only very popular in the country, but also the same abroad. do foreigners understand it?",看来三农话题不光在国内很火，国外也一样啊，老外们都看懂了吗？
15111,UgzYaG8q1xN2uXktZBp4AaABAg.93XMX1w-pmD93dnX8rHnDD,5,3 years ago,"i guess it may be because that, in some cultures and regions it is believed that people should not spend so much time on preparing or enjoying food but on more productive things and hard working. it is a big waste of time in their points of view.",我想可能是因为，在某些文化和地区，人们认为人们不应该花太多时间在准备或享受食物上，而是在富有成效的事情和努力工作上。从他们的角度来看，这是浪费时间。
7144,Ugw-o282MUl61tO4u6N4AaABAg,4,2 years ago,"the one thing about various cultures and their traditional foods that i continue to not understand is how it ever really began in the first place. 

when you look at cultures that eat some rather unusual foods that for others seems ""gross"" or ""weird"" (snails, frogs, insects, etc) and they dont seemingly exist in a place where there exists a complete lack of options the question becomes ""why?"" 

i mean can you imagine the first guy who was sitting on a riverbank one day and said, either to himself or someone nearby, ""ya know what? i am gonna go eat that snail"" or the first person to say ""boy that frog looks yummy and i bet its legs would be tasty"". i should also point out that in chinese the word for frog (when you are using the term in the context of being a food, at least) basically translates into ""field chicken"". specified the context because it has other names just like most things do based on the context of the discussion.","我继续不了解各种文化及其传统食物的一件事是，它首先是如何真正开始的。

当您查看吃一些相当不寻常的食物的文化时，这些食物似乎“粗糙”或“怪异”（蜗牛，青蛙，昆虫等），它们似乎并不存在于存在完全缺乏选择的地方，问题就变成了问题。 “为什么？”

我的意思是，您能想象有一天坐在河岸上的第一个人对自己或附近的人说：“你知道吗？我要去吃那蜗牛了”或第一个说“青蛙看起来的男孩好吃，我敢打赌它的腿会很美味”。我还应该指出，在中文中，青蛙一词（至少在作为食物的背景下使用该术语时）基本上会转化为“野鸡”。指定上下文，因为它具有其他名称，就像大多数事情一样，基于讨论的上下文。"
21341,Ugx8WFQ3yRDd69v-jsx4AaABAg.9-zX9wB2VFD90_c-a82sG2,4,3 years ago,coming from the heritage of thousands years of chinese culture,来自中国文化的遗产
18232,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92hpt4TuVUT,4,3 years ago,@sometimesitdown food of north is absolutely not what you called garbage.if you want respected then show your respect to other culture and different lifestyle.,@Sometimesitdown北部的食物绝对不是您所说的垃圾。如果您想受到尊重，然后表现出对其他文化和不同生活方式的尊重。
5128,UgzoIB4liP23-QkarbB4AaABAg,4,2 years ago,"the farmhouse has a good attitude, working hard to work hard, the three meals provide yourself, the blessing to the relatives to keep warm, the chinese culture is extensive, which is deeply refined in the video. it usually passes in spring, summer, autumn and winter. returning to the countryside has no hustle and bustle, be a guy for excellence, self -sufficient and self -sufficient enjoyment, envy taiwanese compatriots, the mountains and rural scenery are excellent. thank you for this book. (amitabha, peace and peace, li ziyi, come on!)",农家生活态度优，勤劳工作饮食暖，三餐供给自己足，福报至亲保暖爱，中华文化博大精，深深映入在视频，平常春夏秋冬过，知足常乐乐融融，人口简单生活景，回归田园无烦嚣，精益求精做家伙，自给自足真享受，羡煞台湾同胞们，大山田园风景优，在此书文表谢意，温暖对岸中国人！ （阿弥陀佛，平安祥和，李子柒，加油！）
