,cid,votes,time,含nice,含nice中文翻译
3077,UgxnoEYcEyxkykti06Z4AaABAg,5,1 year ago,"i like n fall in love with chinese cuisine,,not including pork,
n the costume in ancient times is really beautiful,, with all the herbs is really nice,, i hope in indonesia there are many more like that,, cos i really love n i miss it","我喜欢n爱上中国美食，不包括猪肉，
n古代的服装真的很漂亮，所有草药都非常好，我希望在印度尼西亚还有更多类似的草药"
25952,Ugy3T9UBZIq4uol7Lnt4AaABAg,5,3 years ago,girl it's video beautiful chinese girl cool work nice character and beautiful.,女孩这是视频美丽的中国女孩很酷的作品漂亮的角色和美丽。
27861,UgzbXcUiu3NDTNPT39x4AaABAg,4,3 years ago,who ever watching this video have a nice day,曾经观看此视频的人过得愉快
28331,Ugy-UfRsD7_JQ46ukqx4AaABAg,4,3 years ago,"part of the reason why i enjoy watching these videos so much is that they remind me of how things used to be when i was little. granted, i am not a girl from china living on a vast farm like she does, but i did have a small place in kentucky where we took care of ourselves and harvested our own food like this. it's nice to see that there are some people out there who still take a moment to do things in a more old-fashioned kind of way.",我如此喜欢观看这些视频的部分原因是，它们使我想起了我小时候的情况。诚然，我不是一个像她那样生活在一个庞大的农场上的中国女孩，但是我确实在肯塔基州有一个很小的地方，我们在这里照顾自己并像这样收获了自己的食物。很高兴看到那里有些人仍然花点时间以一种更老式的方式做事。
5904,UgxTppqJZwwpwH5jSYJ4AaABAg,4,2 years ago,"wanting true โค๏ธ love to share happiness๐น
""seeking for someone who wants to share true love & happy life together""
hope to find, out nice warm heart, honesty, faithful, respectful, and sweet partner. ๐น๐’–๐’โ๐•","想要真正的❤️爱分享幸福
“寻求想要共享真正的爱与幸福生活的人”
希望能找到，诚实，忠实，尊重和甜蜜的伴侣，找到美好的心脏，诚实，忠实。"
11479,UgwMNTBfwxhzAnzQdCh4AaABAg,4,3 years ago,"nice love this nurture 
watching from philippines 
i'm your new subscribe and new follow
4/16/2020","好爱这个养育
从菲律宾观看
我是您的新订阅，新的关注
4/16/2020"
222,UgwpAtBflsNp7wqgwKh4AaABAg,4,2 months ago,"i first watch the video, very nice video, very good and the food is great. thank you.",我首先观看视频，非常好的视频，非常好，食物很棒。谢谢。
23525,UgyUpwHixjK79S0vbpV4AaABAg,4,3 years ago,"looks like a very nice chef, so good",看起来像一个非常好的厨师，太好了
24194,Ugz5zEh-f60meazAxZ94AaABAg,3,3 years ago,"aah delicious food . i can feel the aroma from my phone . 
nice channel . nice spirit.","aah美味的食物。我可以从手机上感觉到香气。
不错的频道。好精神。"
28394,UgwUIpxwSyasjhBUl9h4AaABAg,3,3 years ago,beauty coming out of the inside. i respect you who live in nature. i thought it was nice.,美丽从内部出来。我尊重你生活在大自然中的人。我以为很好。
5676,UgwoVwKtjWAhazfBoyp4AaABAg,3,2 years ago,wowwww look nice place n verry delicious ur food n presentation..i like your style๐,wowwww看起来不错的地方n verry美味的食物n呈现..我喜欢你的风格
19123,Ugx886IfmdSWfAg3v0l4AaABAg,3,3 years ago,"hello i'm from indonesia .. i like your video, you are also beautiful and charming .. i love you .. nice to meet you from indonesia",你好，我来自印度尼西亚..我喜欢你的视频，你也美丽而迷人..我爱你..很高兴从印度尼西亚认识你
6405,Ugzf70cPsPH67pHqP_d4AaABAg,3,2 years ago,"this is one of the nicest channels i have ever watched. seems perfect, almost like a video game.",这是我看过的最好的频道之一。看起来很完美，几乎就像电子游戏。
10682,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799bhs_TkVlm,3,3 years ago (edited),"@kobebryantt237 i never said sex is wrong. i simply believe we've distorted and diminished it into something completely base and meaningless. sex can be a beautiful thing, but modern society has objectified it, turned it into a commodity devoid of any notion of love or romance. we take it for granted, just like we take everything else for granted. nothing is held sacred anymore: not nature, not animals, not communities, not people, not love, not life itself. everything now is expendable, and can be turned into an item and exploited to make a quick profit. we have collectively abandoned the pursuit of higher spiritual values for the sake of base materialistic desires. and it's only when we're lying on our deathbeds that we truly realize the tragedy of seeing things this way. have a nice day.",@kobebryantt237我从没说性行为是错误的。我只是相信我们已经扭曲并将其减少到了完全且毫无意义的东西中。性可能是一件美丽的事物，但是现代社会已经对其进行了客观化，将其变成了没有任何爱或浪漫概念的商品。我们认为这是理所当然的，就像我们把其他一切都视为理所当然一样。再也没有神圣的人：不是自然，不是动物，不是社区，不是人，不是爱，而不是生命本身。现在的一切都是可以消耗的，可以变成一个物品并被利用以快速获利。为了基本的唯物主义欲望，我们共同放弃了对更高精神价值的追求。只有当我们躺在死床上时，我们才真正意识到这种方式看到事物的悲剧。祝你今天过得愉快。
5930,Ugxbo9UV7tJZLo3Ydc14AaABAg,3,2 years ago,"wanting true โค๏ธ love to share happiness๐น
""seeking for someone who wants to share true love & happy life together""
hope to find, out nice warm heart, honesty, faithful, respectful, and sweet partner. ๐น๐’–๐’โ๐•","想要真正的❤️爱分享幸福
“寻求想要共享真正的爱与幸福生活的人”
希望能找到，诚实，忠实，尊重和甜蜜的伴侣，找到美好的心脏，诚实，忠实。"
23891,Ugz5VVNjAvtGED9UzlN4AaABAg,3,3 years ago,wow nice vedio i'love the nature hope someday i came that pls pls sponsor me,哇，尼斯·韦迪奥，我爱大自然，有一天我来了，请赞助我
23864,Ugwyw-j-vvQ_FpJA9uF4AaABAg,3,3 years ago,every time i watch your video it is amazing for me it vrey nice it nice video i give you a gold video,每次我观看您的视频时，对我来说真是太神奇
31607,UgwXcDyacnoVwyUcMid4AaABAg.8yVAfDgpCIP8yVYa1L1Awn,3,3 years ago,yes ! i agree with you . her video's are so peaceful & nice info too .,是的 ！我同意你的看法 。她的视频也是如此和平，也很好。
31194,UgzZqTm1a5PmVQ97EaJ4AaABAg.8yVK7gKNOF78yVz33BbC4d,2,3 years ago,"people always say the chinese are disgusting because of all the things they eat, like snails. it’s nice to see someone appreciate the food there. i’m chinese but i live here, in america.",人们总是说中国人因为吃的所有东西，例如蜗牛而感到恶心。很高兴看到有人欣赏那里的食物。我是中国人，但我住在美国。
2411,UgwVI6CzCJoOb7YFmUF4AaABAg,2,1 year ago,li ziqi's such a nice granddaughter,李齐（Li Ziqi）的一个好孙女
14568,UgzGJkA1_05JZiiafKl4AaABAg.947wSBzYSTb94l2pYWQQeP,2,3 years ago,"tala taptap please dont try pushing your beliefs on other people. believe what you want, but please don't try discouraging other peoples beliefs just because it isn't your own. its really nice to know that you are loyal to your own beliefs though. i hope you have a nice day or night.",Tala Taptap请不要尝试将您的信念推向其他人。相信您想要的东西，但请不要只是因为这不是您自己的信念而劝阻其他人的信念。不过，很高兴知道您忠于自己的信念。希望您有一天或晚上愉快。
16556,UgwntRlzQaXcKUNhnqh4AaABAg,2,3 years ago (edited),this is some garden of eden shit! feels so nice.,这是伊甸园的一些花园！感觉很好。
3641,Ugz3jEDHt5o8KgTVRDd4AaABAg,2,2 years ago,such a nice life. i rather live that plain and simple life rather a luxurious one,如此美好的生活。我宁愿过着简单而简单的生活而不是奢侈的生活
15829,Ugz9yIW0_sTfOVZcda54AaABAg.933dWSf5Viy936hC-8Dy95,2,3 years ago (edited),shelly g old chinese culture spirit for this in fact，so we do really for peace ，friendly and hardworking . hello from a 5000years’ country . nice day lady.,雪莉·古老的中国文化精神实际上是为了，所以我们确实为和平，友好而勤奋而做。您好，来自5000年的国家。美好的一天女士。
19894,UgwIJ2xbp1jcvHaWy5t4AaABAg,2,3 years ago,is she god gifted?? she is different from all. very nice person,她上帝有天赋吗？她与所有人不同。非常好的人
16386,UgzwGITKQLsjqnmotyd4AaABAg.92vu5wyg244931aJrJquH-,2,3 years ago,was it a nice time?,是个好时机吗？
12353,UgyyLMkP4MtuTbl6VaB4AaABAg,2,3 years ago,everything you want and everything you need is already at the surroundings everything has all around you it's so nice live peacefully in this kind of place.,您想要的一切和所需的一切都已经在周围的环境中，一切都在您周围，在这种地方真是太好了。
20316,UgyQ3PrPLH5pg0wxOD94AaABAg,2,3 years ago,nice work sister god bless you,好姐姐上帝保佑你
6575,UgzZD3E2I3UUy3WnK5R4AaABAg,2,2 years ago,a nice landscape! nice dish! a nice family โช,一个不错的风景！不错的菜！一个不错的家庭♪
20470,UgxpVNbdQosrzl4gzaN4AaABAg,2,3 years ago,how nice to be able to ask for such a daughter -in -law.,能讨个这样的媳妇多好。
5947,UgxBZlK643skj4gvMxZ4AaABAg,2,2 years ago,"wanting true โค๏ธ love to share happiness๐น
""seeking for someone who wants to share true love & happy life together""
hope to find, out nice warm heart, honesty, faithful, respectful, and sweet partner. ๐น๐’–๐’โ๐•","想要真正的❤️爱分享幸福
“寻求想要共享真正的爱与幸福生活的人”
希望能找到，诚实，忠实，尊重和甜蜜的伴侣，找到美好的心脏，诚实，忠实。"
209,UgxsAWxx-f0Q7oJMgV14AaABAg,2,2 months ago,thanks for the nice art,感谢您的美好艺术
32945,UgyKxDG2sweyla-S9Rd4AaABAg,2,3 years ago,nice your videos. watch your videos continuosly,很好的视频。连续观看视频
34607,Ugyt6byGBsMbKGaiKiV4AaABAg.8yUTWAnSN2D8yUX0DdQz_3,2,3 years ago,almost certainly same your style of food making you are really nice woman,几乎可以肯定的是，您的食物风格使您真是个好女人
21733,Ugyl_DFiso8i4_KaEJ54AaABAg,1,3 years ago,nice,好的
5714,Ugx89YlV4SOKOiMoPGp4AaABAg,1,2 years ago,nice to see you โค๏ธ,很高兴见到你❤️
5671,UgwpUI0m8Mk-QT1ICNl4AaABAg.9G4tMmRfxew9JeFfwdXoiG,1,2 years ago,"@tomrauhe don't think you are right and the rest of the world is wrong. tried to be nice with you, but you showed you are narrow-minded paranoid. just leave the channel.",@Tomrauhe认为您是对的，世界其他地方是错误的。试图和你在一起，但你表明你是狭narrow的偏执狂。只需离开频道即可。
22098,UgwiByV7i7WLKxVIasV4AaABAg,1,3 years ago,very nice,很不错
22037,Ugw_ALxoZxltfzN_pUR4AaABAg,1,3 years ago,"thanks for video amazing, relax music.... and the beautiful girls very nice job",感谢您的视频令人惊叹，放松音乐....和美丽的女孩非常出色的工作
236,UgwgMdBmIGjTyJFz2xt4AaABAg,1,2 months ago,nice,很好
29363,UgzBCETLKkpjr6Uk0GV4AaABAg,1,3 years ago,beautiful face and very nice video,美丽的脸和非常漂亮的视频
14107,Ugyzn0jR9_MVKf_fFrl4AaABAg,1,3 years ago,very nice to watch your videos ❤️,很高兴观看您的视频❤️
21831,Ugy_0HQl5RD_m_9X6QV4AaABAg,1,3 years ago,nice to,很好
5834,UgzNxJt4f-vUBIBHlhR4AaABAg,1,2 years ago,"hello, nice to meet you, i like your profile. i am interested in serious relationships. i would be very happy to hear from you. my name is timmy",您好，很高兴认识您，我喜欢您的个人资料。我对认真的关系感兴趣。我很高兴收到您的来信。我叫蒂米
29033,UgyESDbJD32KjnrPOZ14AaABAg,1,3 years ago,"oh my good
nice video","哦，我很好
不错的视频"
29036,UgzVX1s3HdmhWmmILgN4AaABAg.8yXyAuH9Z1Y8ybCLHMOgOU,1,3 years ago,"@martishakryll4937 i, honestly, did not think about it, do you think they eat them all the same ??? i don't want to think about it, but still the video is beautiful, thanks for the clarification !!! it was nice to talk, good luck !!",@martishakryll4937 i，老实说，我没有考虑过，你认为他们都吃了一样吗？？？我不想考虑它，但是视频仍然很漂亮，谢谢您的澄清！
21779,UgwHHw9NsEGyLXeYM3F4AaABAg.9-WlF9BrJ_t979-q-V5BKG,1,3 years ago,"my mom died too, in the usa. he also loves to bake pastries and cakes.

ziqi's great, what? and it's still nice!","我妈妈在美国也死了。他还喜欢烤糕点和蛋糕。

Ziqi很棒，什么？而且还不错！"
5968,UgxBZlK643skj4gvMxZ4AaABAg.9FF-ZvuKkMT9FK5T0TISDm,1,2 years ago,"wanting true โค๏ธ love to share happiness๐น
""seeking for someone who wants to share true love & happy life together""
hope to find, out nice warm heart, honesty, faithful, respectful, and sweet partner. ๐น๐’–๐’โ๐•","想要真正的❤️爱分享幸福
“寻求想要共享真正的爱与幸福生活的人”
希望能找到，诚实，忠实，尊重和甜蜜的伴侣，找到美好的心脏，诚实，忠实。"
25964,UgzRJLYhXfDMUfr3I3h4AaABAg,1,3 years ago,nice,好的
22431,Ugy1kKD8N_74PGQAcS54AaABAg.9-3jSt4Dier9-5FpEirWtK,1,3 years ago,"the people's liberation army is in hong kong. if you want to revolutionize the army camp, don't shout nice, okay!",解放军就在香港，要革命去炸军营啊，别光喊着好听，行吗！
28591,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9-R90XLFeCW,1,3 years ago,nice!!!!!!!!!!!!!!!!!!!,好的！！！！！！！！！！！！！！！！！！！
6847,UgyRV-ZitwAendP0GTp4AaABAg,1,2 years ago,very nice,很不错
10501,UgzEBhZMJzuREOq576l4AaABAg,1,3 years ago,nice,好的
9356,UgxCpS7maCPpyEvHD6J4AaABAg,1,2 years ago,"nice u r hard work sister god blas u ,",辛勤工作的辛勤工作姐妹上帝us u，
9348,UgzN599uh_tlX4xr-pR4AaABAg,1,2 years ago,nice when i tested,我测试时很好
9116,Ugy5NlJebTYB-gXw_rR4AaABAg,1,2 years ago,"she is so nice, so great...amazing ladyโค",她真好，真是太好了...神奇的女士❤
11127,UgxS3m6P5-5nxlPHYY94AaABAg.97zCCgz7tT298T3YaRGD3J,1,3 years ago,nice,好的
25866,UgwUSWcRLWE9oKBL1yd4AaABAg,1,3 years ago,"here from grumps 
and they weren't kidding when they said this is nice","这里是脾气暴躁的
当他们说这很好时，他们不是在开玩笑"
25931,UgxDDqbewBEVqPFraQl4AaABAg.8ywsIU928nF8z2LPB56W0u,1,3 years ago,i'm vegan but i love seeing people cook nonvegan meals. either way it's nice to watch people put so much care into simple things like cooking.,我是素食主义者，但我喜欢看到人们煮不素食的饭菜。无论哪种方式，都可以看到人们将这么多照顾到诸如烹饪之类的简单事物中。
8383,UgycNLd-p0cw5PY72oB4AaABAg,1,2 years ago,nice,好的
26349,UgyH1cVx3GC5Do489rR4AaABAg.8yrFbc8y1bE8yzPkZFJRp6,1,3 years ago,mine too i remember one of the video's on this channel showed a section of her garden with the puppies following her it was nice.,我也记得我也记得这个频道上的一个视频显示了她花园里的一部分，跟着她的小狗很好。
23972,Ugw81vFIYBdoax9ldC54AaABAg,1,3 years ago,"from iraq
you very nice","来自伊拉克
你真好"
23562,UgzAiGPIeVejnrgm6PZ4AaABAg,1,3 years ago,nice,很好
27054,Ugx4lHJvvCLvs4oTuM14AaABAg,1,3 years ago,"very nice clip i have never been seen before. i am so interesting on you producing so much. i will always to wait for the new clip more. 
especial i always keep watching you channel more and more .","我以前从未见过的非常好的剪辑。我对您的生产如此有趣。我将永远等待新的剪辑。
特别是我一直在看着你越来越多的渠道。"
7718,Ugx8ltE9u2Dqq-LMSKl4AaABAg,1,2 years ago,nice,好的
12598,UgwfQzSv2iGG5pSDEOJ4AaABAg,1,3 years ago,nice work i like it,很好，我喜欢它
22785,UgzN4986sghqxeoJ91V4AaABAg,1,3 years ago,it is admirable everything that is girl does. i arrived by chance and it has amazed me. it's nice to see how everything collects in your own village. congratulations from colombia lo ziqi,这是女孩所做的一切令人钦佩。我偶然到达了，这让我惊讶。很高兴看到您自己村庄的所有内容如何收集。来自哥伦比亚的恭喜
7503,UgzXt-2Y0WrDejdYL_Z4AaABAg,1,2 years ago,very nice ๐‘,非常好
12837,Ugxf_za02R93kk5Lk654AaABAg,1,3 years ago,what the nice life,美好的生活
22587,UgwOmhNcXJUluURnR6B4AaABAg.9--5CrdeP009-CXcZGWE-z,1,3 years ago,"@choink2558 yes indeed...you know as brazilian is really complicated...i. remember when i went to college by walking in manaus/amazonas i used to have my earphones as louder as possible just to not listen disrespectful words towards me, we feel like an object ...some men talk like we are rude if we don't pay attention to their stupid words,here in north brazil the most part of men are really rude,disrespectful,stupid about the way they treat women...brazil has a long way to change many things in our society... we have many rights which is nice... but we need more we deserve more! ❤",@choink2558是的，确实...你知道巴西人真的很复杂...我。请记住，当我上大学时，我曾经在马纳斯/亚马逊群岛上行走时，我曾经让我的耳机尽可能响，只是不听我的不尊重的话，我们觉得自己像个对象……有些人说话，就像我们不去的话一样粗鲁t注意他们愚蠢的话，在北巴西，男人的大部分人真的很粗鲁，不尊重，愚蠢的对待女人的方式……巴西有很长的路要改变我们社会的许多事情……我们有许多很好的权利...但是我们需要更多我们应该得到更多的权利！ ❤
270,UgyLHqhLp4VRqJKkKMV4AaABAg,1,2 months ago,nice one,好一个
13161,UgwiNjwgK5yh8sjR2PB4AaABAg,1,3 years ago,iove her life style it's hard working but calm and peaceful it seems nice,我使她的生活方式很难工作，但是平静而和平，看起来不错
29805,Ugyo-zNNOrTd02WhoK94AaABAg,1,3 years ago,very nice music,非常好的音乐
13233,UgxuwU1FU-KjA1ye1Yl4AaABAg,1,3 years ago,nice video.....,不错的视频.....
13236,UgzU2AaO0fW7WreVKfx4AaABAg,1,3 years ago,"your videos are pretty awesome, so ive subscribe to your channel miss/mrs lizigi.. i love to plant vegestable also even in a tiny space area of our backyard
wish to go home to our province, to do like what youve been doing in ur farm, its so relaxing, and i love the montage video nice place you have there lizigi family","您的视频非常棒，所以我订阅了您的频道小姐/Lizigi夫人。.我也喜欢在我们的后院的一个小空间区域种植vistable。
希望回到我们省，喜欢您在Ur农场所做的事情，它是如此放松，我喜欢您在那里有Lizigi Family的Montage Video的好地方"
7168,UgwHrF2O9thYhYnxeaB4AaABAg,1,2 years ago,very nice:),很不错：）
35100,UgwPtAXmqIr9ZzbM-NF4AaABAg.8yUS2-MVzry8yUVXMsApkU,1,3 years ago,sameee 1 yr i'm a fan. it's nice because of the content e,Sameee 1年，我是粉丝。很高兴，因为内容e
5369,UgzOl8eMHVeSXpNguct4AaABAg,1,2 years ago,beautiful nice,美丽漂亮
21723,UgyIb054OyEzSWVT2T54AaABAg,1,3 years ago,"is very a nice place, a big farm big garden, she has a different kind of vegetables. she cooks fresh from the garden. i like this place is such big space.",是一个非常好的地方，一个大型农场大花园，她有另一种蔬菜。她从花园里煮新鲜。我喜欢这个地方是如此大的空间。
3505,UgyFliw6bXAPe7PI4Rl4AaABAg,1,2 years ago,very nice video,非常好的视频
32600,Ugy3JoJvK3tJqvkzAod4AaABAg,1,3 years ago,liziqi... i love you... your video very nice... love from indonesia,liziqi ...我爱你...你的视频非常好...来自印度尼西亚的爱。
20226,UgzNWHNRZISiwNXtOCR4AaABAg,1,3 years ago,"☀️amazing very amazing but beautiful work... very nice video.
weldone good job. best of luck☀️","☀quingamiging非常令人惊奇，但很漂亮的作品...非常不错的视频。
Weldone好。最好的buck☀️"
1279,UgwK556Dfg91OIk1RQt4AaABAg,1,1 year ago,it is really nice.,真的很好。
20026,Ugz9iA4oOVuuWtQCYex4AaABAg,1,3 years ago,it's really nice,这太好了
3364,Ugw8WHnx6GMitRN9xGJ4AaABAg,1,1 year ago,nice,好的
31710,UgwkViv_w8z9bLZG6hN4AaABAg,1,3 years ago,"
nice food.
i would love to live there !!!","
好吃的食物。
我很想住在那里！！！"
33769,UgwCJNhRHVU1I7skuyF4AaABAg,1,3 years ago,nice cooking,不错的烹饪
33726,UgyTYggl1o1gqXfOlEd4AaABAg,1,3 years ago,i wish i could understand what liziqi and grandma say to each other. they always look like they are having such a nice conversation.,我希望我能理解利兹奇和奶奶彼此说什么。他们总是看起来像是进行了很好的交谈。
32534,UgwEpE5MzJvMjg4r_8d4AaABAg,1,3 years ago,young bambo is nice,年轻的班博很好
16247,UgyLxo2IxadT3K6mQHx4AaABAg,1,3 years ago,it's nice to see so many foreigners appreciated ziyi! ❤,看到这么多外国人欣赏子柒真好！❤
17672,UgwmK2CE-ut17z9dL7N4AaABAg,1,3 years ago,english would be nice to know what that all is i really enjoy watching channel but i can not read chinese wish i could ti find out just curious,英语很高兴知道我真的很喜欢看频道，但我不能读中文，希望我能发现好奇
15705,UgwLot7CjKhuYaXNaSV4AaABAg,1,3 years ago,"hello from spain, very nice !!",来自西班牙的你好，非常好！
32814,UgzhWn_e9ZKfhEXdCgN4AaABAg,1,3 years ago,"the shire from the lord of the rings when everything looks very nice, magical. magnificent video",当一切看起来都很好，神奇时，戒指之王的郡。宏伟的视频
33280,Ugz6RAYLXRi8fsFdIZd4AaABAg,1,3 years ago,nice vlog love from pakistan,来自巴基斯坦的好vlog爱情
17577,Ugwys5uGYJng3aj99o94AaABAg,1,3 years ago,im indonesian...i have been cooking like this 20 years ago....nice..,我的印度尼西亚人...我20年前一直在做饭。
230,UgwI7ygk9HhR6FzADh94AaABAg,1,2 months ago,"umbrella atmosphere so nice to sleep, so jealous. i like the atmosphere.",雨伞气氛很高兴入睡，太嫉妒了。我喜欢气氛。
16657,UgzaWbxIQ7jtdY1EyHF4AaABAg.92syMjW-6cz934_ndjvSrc,1,3 years ago,"@garytang7740 i mean she is making a lot of money through this channel, if i was her, i would buy new and nice potteries too.",@garytang7740我的意思是，她正在通过这个频道赚很多钱，如果我是她，我也会买新的和不错的陶器。
16753,Ugz-voqvSlNThP6XzdF4AaABAg,1,3 years ago,nice food.,好吃的食物。
2161,Ugw15oTbIQZyUHmULsB4AaABAg,1,1 year ago,nice,好的
33003,UgweTN5lZEduK1s-jzR4AaABAg,1,3 years ago,hi very nice cooking lovely hours,嗨，非常好烹饪美好的时光
1895,UgzHEE361sYyfUlj_5h4AaABAg,1,1 year ago,very mantapppp. nice to meet you,非常曼塔普普。很高兴见到你
3884,UgwfzjhEODQlgJeDNBB4AaABAg,1,2 years ago,nice video!,不错的视频！
1977,UgwiDoBOzFxQnaG_2Ml4AaABAg,1,1 year ago,"i suddenly remember my mom, she loves eating river snails. we would always go to the river to catch snails every sunday for her. nice video",我突然记得我妈妈，她喜欢吃河蜗牛。我们总是会在每个星期日去河里抓蜗牛。不错的视频
35206,Ugwx1VvDTzsKvEVWNdd4AaABAg,1,3 years ago,nice....,好的....
18429,UgxzbZWW4kFq0SrkTxp4AaABAg,1,3 years ago,nice video just the background,不错的视频只是背景
34396,UgzymzM30h1WGcSyyo54AaABAg,1,3 years ago,wow nice...,喔不错哟...
