,cid,votes,time,含nice,含nice中文翻译
16050,UgzkPyRgZvhiEsrBHw54AaABAg,28,3 years ago,"it's very beautiful, it's not such a primitive life, but it's very nice to feel the original humanity, but the angle of the camera changes like a drama, so how far is it? i'm curious ...",它非常美丽，不是原始的生活，但是感觉到原始人类非常好，但是相机的角度像戏剧一样变化，所以它有多远？我很好奇...
45236,UgzKwudAMia_62W8Xbt4AaABAg,26,4 years ago,it's too nice ... like a live -action version of ghibli,太好了...就像吉卜力的现场演出版本
44577,UgzVdgES-Fg82NAVlmh4AaABAg,24,4 years ago,it's cute to eat snacks every time. nice (^o^),每次吃小吃很可爱。很好（^o^）
48435,UgzX3I_1VpyiGc_z1sl4AaABAg,22,4 years ago,"happy new year
god
i started tracking from about the year's vegetable film
it's been a year
nice to have you","新年快乐
天啊
之前大约从年菜影片开始追踪的
也已经一年啦
有你真好"
8796,UgxHiKN650nqupt9CgJ4AaABAg,22,2 years ago,nice,很好
38041,UgwNz57LmVDeT1qu-RJ4AaABAg,19,4 years ago,"nice life
it looks like a story!
the food looks delicious, but the small items used are wonderful.
cat -shaped kamado, i laughed too cuteness lol","美好的生活
看起来像个故事！
食物看起来很美味，但是所使用的小物品很棒。
猫形的卡马多，我笑了太可爱大声笑"
26246,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zsykX9AuMq,17,3 years ago,"@raininthesouth yes , just realized that the other day! nicely put and thanks",@raininthesouth是的，只是意识到前几天！很好，谢谢
25598,UgyZk_iawnQJ0shLgE14AaABAg,17,3 years ago,felt like getting sucked into whole new world. feel nice,感觉就像被吸引到全新的世界中。感觉很好
48881,UgxUxrzh2_nXib9I-4h4AaABAg.8qmM3fEmDnz8qn5PzbuLma,17,4 years ago,i just hope that they're looked after as pets and not part of their livestock. i haven't seen her being nice to them and instead she just shoos them whenever they're on her way. she even used her cleaver to scare away the poor kitty.their fur look so unkempt and both seem eager or longing to be fed. perhaps they're being used as props for the production but still they need to be given better attention.,我只是希望他们被照顾为宠物，而不是牲畜的一部分。我还没有看到她对他们很好，相反，每当他们在路上时，她只是在他们。她甚至用自己的砍刀来吓take可怜的小猫。他们的皮毛看起来很不自如，看上去渴望或渴望被喂食。也许它们被用作生产的道具，但仍需要给予更好的关注。
32483,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18w5SNYS1ewq,17,4 years ago,"this is a project. a movie. and this girl is an actres... don't believe in everything what you see on yt ๐

but yeah... it's nice","这是一个项目。电影。这个女孩是一个actres ...不要相信您在yt上看到的一切

但是，是的...很好"
47995,UgydtevGG0OGcz8ztkF4AaABAg,15,4 years ago,"nice,very nice video,im so happy.thanks so much n happy imlek,chinnese new year...gong xi gong xi pa cai",不错，非常好的视频，我很高兴。谢谢n快乐的iMlek，Chinnese新年...
10055,Ugx9wsOv69aXYvdQh6N4AaABAg,15,2 years ago,i also really want to live here so nice and clean air ๐”๐”,我也真的想住在这里如此美味，清洁的空气
10340,UgzkPMZFkosUHteXSQ94AaABAg,14,2 years ago,"how everything is beautiful and neatly cooks, itโ€s nice to look at it. happiness to you....",一切如何美丽，整齐地烹饪，很高兴看它。祝你幸福...
3702,UgyfvU5uUvcOG9HtmJJ4AaABAg,14,1 year ago (edited),"very nice video! i like the funny dog so much! i'm so happy to see ""tang hu lu"" candies i like this so much when i was in china. awesome people and things in china. thanks liziqi to remember me the great time i had in your country!",非常好的视频！我非常喜欢有趣的狗！我很高兴看到我在中国时非常喜欢的“ Tang Hu Lu”糖果。令人敬畏的人和中国的事物。感谢Liziqi记得我在您国家度过的美好时光！
986,Ugz4U2BlrY_GhxALcmF4AaABAg,14,7 months ago (edited),"i loved it so much, so nice snacks, the nut bar and gourd candy are also indian traditional sweets. also the fried peanuts.
so got a lot of similarities, also came to know about such delicious food.","我非常喜欢它，非常好吃的小吃，坚果棒和葫芦糖也是印度的传统糖果。还有炸花生。
因此，有很多相似之处，也知道这种美味的食物。"
48079,Ugwek5my90OxP2WM2iV4AaABAg,12,4 years ago,"what a sweet, smart, working girl. very nice to watch!",多么甜蜜，聪明，工作的女孩。很好看！
9619,UgwiUKs9CznPh4uh4AJ4AaABAg.9H1aNavRHpS9HTnQ3gDQ0y,12,2 years ago,@deepakjoshi664 you should be more aware of what you’re saying thank you have a nice night dipshit,@deepakjoshi664您应该更了解您的意思，谢谢您的夜晚愉快
34654,UgwIubx7mqS6SYaXx_x4AaABAg,11,4 years ago,"i wish could live like her...
she beautiful,clever and do everthing alone...love you girl...the village so nice and eating fresh fruit and vege...so good...","我希望能像她一样生活...
她美丽，聪明，独自一人做事...爱你的女孩...村庄真好，吃新鲜的水果和蔬菜...太好了..."
26003,UgzUCNrMk2PDrZkV2Yx4AaABAg,10,3 years ago,14/7/2019 iโ€m from in vietnamese.i like u and nice to meet u....๐,14/7/2019我来自越南人。我喜欢你，很高兴认识你....
30527,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xHL6ykJGNM,10,3 years ago,"odee i feel sorry that there are uneducated people like you. may i just ask have you even been to china? it is not right to used youtube when itโ€s banned, but it just makes you yourself look stupid when you comment things like that this original comment is just showing support for liziqi. hope everyone has a nice day! maybe try to just focus on the aesthetics of the vid after all we watch youtube for entertainment right?",ODEE，我很抱歉有像您这样的未经教育的人。我可以问你甚至去过中国吗？禁止使用YouTube是不正确的，但是当您评论此类原始评论的内容只是显示对Liziqi的支持时，它只是让您自己看起来很愚蠢。希望大家过得愉快！也许在我们观看YouTube娱乐的所有内容之后，尝试只专注于视频的美学吗？
38089,UgwgDpA2C3QgnRFmkzN4AaABAg,10,4 years ago,amazing woman and i love all of her video so so so so so pretty and beautiful nice lovely,很棒的女人和我爱她的所有视频，如此如此漂亮，美丽的漂亮可爱
53023,Ugy2qHcNtLBrlKso_d54AaABAg,10,4 years ago,nice video.......,不错的视频.......
45046,UgzDBeundE-nle_tXgd4AaABAg,10,4 years ago,nice. which of the russian speakers are watching here?,好的。哪个俄罗斯演讲者在这里看？
16137,Ugyzt2wmyBaQ28tfqBd4AaABAg,9,3 years ago,it's so nice ... (*´˘`*) ♡,真是太好了...（*``*）♡
33782,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w5TgvN3r4z,9,4 years ago,"kathaleen wood โ€try being niceโ€ while you insult them for just stating their opinion? of course you can state yours too but your comment speaks against itself lol

people getting triggered so much these days (including me haha)","凯瑟琳·伍德（Kathaleen Wood）侮辱他们的意见时，“尝试变得友善”？当然，您也可以说明自己的评论，但您的评论反对自己大声笑

这些天人们被这么多触发了（包括我哈哈）"
28828,Ugy6oj8M_9yTHYcEYGt4AaABAg,8,3 years ago,how to get money all day. how nice it is to watch overโค๏ธโค๏ธโค๏ธโค๏ธโค๏ธ,如何整天赚钱。观看❤️❤️❤️❤️❤️
30099,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd78yENepOerfA,8,3 years ago,@janicetarot mulan is a story about a girl who goes off to train in the army and goes to war to take her father's place. love how people say she's mulan just because she's chinese and mulan is the only disney princess they know about. ๐,@Janicetarot Mulan是一个讲述一个女孩，她在军队中训练并参加战争以取代父亲的位置。喜欢人们说她是花木兰，只是因为她是中国人，而花木兰是他们唯一知道的迪士尼公主。
37739,UgzdqA8YfoGbtHSInKx4AaABAg,8,4 years ago,"8:52 nice hiroshima lemon. 
jk nice video, you are very talented and hardworking!","8:52漂亮的广岛柠檬。
JK不错的视频，您非常有才华和勤奋！"
9670,Ugxmi1WsGKgCgWurZgV4AaABAg,7,2 years ago,"this was really satisfying, quite and a nice lifestyle",这真的很令人满意，一种美好的生活方式
34785,UgyQpM0HVnaBQhUMEap4AaABAg.8usp0Ub-hJg8vfIXjaAbJO,7,4 years ago,"yall bothered. true she has internet and also she lives in nice house, i have seen it in one of her videos, she also has two people, camera man and editor, plus she earns alot from youtube and has garden, living in beautiful area.",你们都打扰了。的确，她拥有互联网，还住在漂亮的房子里，我在她的一个视频中看到了它，她也有两个人，相机的人和编辑，而且她从YouTube赚了很多钱，还有花园，住在美丽的地区。
39282,UgwiUx2Wr99inTbPZ5t4AaABAg,6,4 years ago (edited),"oh, nice. that's how i remembered how life used to be...๐•",不错哦。这就是我记得生活的方式...
6324,UgxpwBzT_d-M7-2bryR4AaABAg,6,2 years ago,"b.e.s.t f'u'l'l'l d.a.t.i.g h.o.t g.i.r.l's
-e-r-t-i-c---. ❤️ 垃圾
private snap: ️⤵️ trending top 2021
hotlove.monster/nudebrunettesnice433xxx

√ ™ lorsqu'une pilule qui donne aux utilisateurs cinutes de super pouvoirs inattendus arrive dans las rues dee

√ ™ must unite with a former soldier to destroy the group, √ ™ responsible for its creation","b.e.s.t f'u'l'l'l d.a.t.i.g h.o.t g.i.r.l
-e-r-t-i-c ---。❤️垃圾
私人快照：️⤵️趋势前2021年
hotlove.monster/nudebrunettesnice433xxx

√™Lorsqu'une Pilule qui donne aux litilisateurs cinutes cinuts d de super pouvoirs inttendus inattendus到达dans las lues rues dee

√™必须与一名前士兵团结起来摧毁该小组，√™负责其创建"
20304,UgyeqcSGjeokOTs7WxN4AaABAg,6,3 years ago,i just love to see how she treats her granny so nicely! u go girl.,我只是喜欢看到她如何很好地对待她的奶奶！你去女孩。
33026,Ugx7Rv9A23jXWYtsUKt4AaABAg,6,4 years ago,"amazing. you are one lucky girl.
so nice. ๐‘๐‘๐‘๐‘๐‘๐‘๐‘๐‘ be happy.","惊人的。你是一个幸运的女孩。
太赞了。"
33819,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48yTYnQj1TXo,6,3 years ago,"@cessdejesus620 - hi, i'm sorry that it made you cry. i have seen all of her videos since, but this particular video made me miss my childhood. you see my family lived in l.a., california and at 11 we moved up to washington state. we moved around a few times until we found the community that suited us and we became strawberry farmers. we had 1 milk cow and a handful of chickens, but the acres upon acres of strawberries made us farmers. lol. i was a pre-teen and i wanted money to have nicer things, so my parents gave me an acre to tend and all benefits were mine.
the hard work and solitary times allowed me to grow up intellectually. i miss those days because everything i did yielded the effort i put into it and i had physical proof of my efforts. that is to say the first year yeilded poor results because i only wanted to be a teenager, yet the second year produced beautiful premium strawberries because i didn't want the worth of my efforts to be so unsavory. i learned and did a lot of different farming activities as we expanded to a year around farm, but having the best strawberries at 13 made the life style a landmark in my maturity and gave me my best ""self"" at the age of 13.
i am reaching my elderly years now and i have lived my life in many different places, but i am once again in washington state and deep down, i know that this is how life is actually suppose to be. we yeild from life what we put into life.","@cessdejesus620-嗨，很抱歉它使您哭泣。从那以后，我看到了她所有的视频，但是这个特殊的视频使我想念我的童年。您会看到我的家人住在加利福尼亚州洛杉矶，我们搬到了华盛顿州。我们大约几次，直到找到适合我们的社区，并成为草莓农民。我们有1只奶牛和少量鸡，但是英亩的草莓上的英亩使我们成为了农民。哈哈。我是青春期前的，我希望钱能拥有更好的东西，所以我的父母给了我一英亩的趋势，所有的好处都是我的。
艰苦的工作和孤独的时期使我能够在智力上成长。我想念那些日子，因为我所做的一切都付出了我所做的努力，并且我有身体上的努力证明。也就是说，第一年的成绩不佳，因为我只想成为一个少年，但是第二年就生产出了美丽的优质草莓，因为我不希望自己的努力如此不愉快。当我们扩展到农场周围的一年时，我学习并做了许多不同的农业活动，但是在13岁时拥有最好的草莓使生活方式成为我的成熟度中的地标，并在13岁时给了我我最好的“自我”。
我现在已经到达了我的老年，我已经在许多不同的地方过着自己的生活，但是我再次在华盛顿州和深处，我知道这就是生活实际上应该是的。我们从生活中付出的一切。"
21589,UgySwho-EzdlrZj87G94AaABAg.93VtNQiyGug93dCkyGfuL5,6,3 years ago,lol.. nice idea! ghibli should make a movie of her,大声笑..好主意！吉卜力应该拍她的电影
32334,Ugy5u7NaEU3Gr20NUF94AaABAg,6,4 years ago,nice work ๐‘๐‘the girl is so talented,做得好
27078,UgwTaz5srvJ5RDg1h3h4AaABAg,6,3 years ago,"first background music is from ever17-a visual novel game. the second one is from digimon adventure anime.
nice vid as always.","第一个背景音乐来自Ever17-A视觉小说游戏。第二个来自Digimon冒险动漫。
一如既往的vid。"
33867,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd492acFTRhwh3,6,3 years ago,"justicefornichole 

i am a 66 year old chinese guy living now in california. i have done a lot of things li ziqi has been showing here when we were forced to go to rural areas during the cultural revolution between 1966 to 1976. 

only difference is that li ziqi does things so much better than us at similar age. 

i am deeply touched, inspired, and most importantly, i am quite motivated, realizing i could learn tremendously from a girl much younger than my child.

ziqi suffered so much in her life earlier and started this all by herself alone, in the beginning. 

and of course she has a team now and no longer working alone . she literally earned everything and deserves it. 

the great majority of the people here are showing respect, admiration and love. 

let us just be nice and kind to one another.","JusticeFornichole

我是一个66岁的中国人，现在住在加利福尼亚。当我们在1966年至1976年之间被迫去农村地区时，我做了很多李齐（Li Ziqi）在这里展出的事情。

唯一的区别是，李齐（Li Ziqi）在类似年龄的情况下做的事情比我们要好得多。

我深深地感动，受到启发，最重要的是，我很有动力，意识到我可以从一个比孩子年轻得多的女孩那里学到很多东西。

Ziqi在她的生活中遭受了很大的痛苦，一开始就独自一人开始。

当然，她现在有一个团队，并且不再独自工作。她从字面上赢得了一切并应得的。

这里的绝大多数人都表现出尊重，钦佩和爱。

让我们变得友善，彼此友善。"
35054,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vVsHdTUO8t,5,4 years ago,"if you all feel like you want to do something productive, pick up hobbies instead of being glued to a screen. i think a great hobby to pick up is to learn a musical instrument. i got a violin recently and i feel great learning something new; and i'm sure you can too :)
have a nice day ^^/","如果大家都觉得自己想做一些富有成效的事情，请拿起爱好而不是被粘在屏幕上。我认为要捡到的一个伟大的爱好是学习乐器。我最近得到了小提琴，学习新东西感到很高兴。我敢肯定你也可以:)
祝你有美好的一天^^/"
16690,UgwL7olMGPJTHMAkYId4AaABAg.98WDNW2-zKp98vgnRmU7oX,5,3 years ago,ahhh me to i wanna live in a nice place with my cat and dog and write letters to people drinking tea all day but then i think of how i'm so lazy and probably not do anything all day like rn,啊，我想和我的猫和狗一起住在一个不错的地方，整天写信给人们喝茶，但后来我想到了我这么懒惰，可能整天不做RN
39632,UgyYonPw5KRaX6cODox4AaABAg,5,4 years ago,"well done, it's nice to watch. everything is with love with love!",做得好，很高兴观看。一切都充满爱！
8620,UgyVb141-diyWkUbJst4AaABAg,5,2 years ago,i found a nice channel ☺️,我找到了一个不错的频道☺️
36637,UgwlKYhQlX-awXpbXsF4AaABAg,5,4 years ago (edited),"๐๐i love cooking thats why i really like your vedios so very nice and interesting ๐๐your so amazing and your future husband is so very lucky with you๐
#godbless_you_always.","
＃上帝永远保佑你。"
27016,UgyUuyuyl9JkP3v5kA54AaABAg.8zXOB8yN2te8zkUUCO2mV7,5,3 years ago,"yes,
very similar with soothing background music and nice countryside landscape","是的，
与舒缓的背景音乐和漂亮的乡村风景非常相似"
10623,UgzoBW8zvx-Y3EDq3wF4AaABAg,5,2 years ago,i saw it very nice and bite,我看到它非常好咬
26923,Ugx319gG5vZkZaMznJh4AaABAg,5,3 years ago,she is too nice with her grandmother thats why i'm subscribe and while i'm watching this i am feel relaxing.,她和她的祖母太好了，这就是为什么我订阅的原因，而当我看着这个时，我感到很放松。
10793,UgytWFRxezN-duRKI1V4AaABAg,4,2 years ago,how nice to look at it. what a beauty. :) thank you for such videos!,看到它真是太好了。真漂亮。 :)谢谢您的视频！
16409,UgzRNqpI4i6bP0FyOcJ4AaABAg,4,3 years ago,"it's too nice that such a beautiful person is working hard and working hard

i want to eat everything because it looks delicious","如此美丽的人正在努力并努力工作真是太好了

我想吃一切，因为它看起来很美味"
24165,UgyzelBmx3xU_6SIPDp4AaABAg,4,3 years ago,"oh she has so cute company ,little dogs and sheep,birds are singing,cows,pigs,grass,flowers,unusual nice fruits and vegetables,garden,nice old village house,no plastic,nothing artificial, simply people,life without stress",哦，她有如此可爱的陪伴，小狗和绵羊，鸟儿在唱歌，牛，猪，草，花，不寻常的水果和蔬菜，花园，漂亮的老村房子，没有塑料，没有人造的，简单的人，没有压力的生活
38960,UgwTKWPFDWNSZOnwJex4AaABAg,4,4 years ago,greetings from bolivia very practical and very nice that you transmit a lot of peace. thank you,玻利维亚的问候非常实用，非常好，您传达了很多和平。谢谢
27799,Ugw9Y1sQv0ltv8kF6eN4AaABAg,4,3 years ago,i feel like reading a novel with many beautiful depictions ... beautiful ... nice,我觉得读一本带有许多美丽描绘的小说...美丽...不错
47578,UgxG57O0c9soGPyPfdN4AaABAg.8qoRm7vLKGd8qss-eC7Ppr,4,4 years ago,"as always, it’s nice to meet a compatriot, among thousands of other people's comments, in foreign languages. ♥",与往常一样，在其他人的评论中，以外语结识了同胞，这是很高兴的。 ♥
26281,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9-R9w6KHOkv,4,3 years ago,nice!!!!!!!!!!!!,好的！！！！！！！！！！！！
12453,UgzFqyeJjyu6pK_CIet4AaABAg,4,2 years ago,"every time i'm watching her vidio, it seems like i'm wacthing a short movie with a nice cinematography ..",每次我看着她的视野时，似乎我都在为一部漂亮的摄影作品吧，这是一部简短的电影。
51477,UgyEGv8Ois3Dsjb5cHF4AaABAg,4,4 years ago,"0:02 i was like ""wait, one of dogs seems a bit... different? ohh yeah"" 
nice video ! really enjoyable to watch.","0:02我就像“等等，其中一只狗似乎有点...哦？哦，是的”
不错的视频 ！真的很有趣。"
37061,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8w1xx6PG2LW,4,4 years ago,"@deemah4219 lol i make videos not even a little bit this nice and if you think she does these by herself, you're nuts. the editing alone would take days.",@deemah4219大声笑我做的视频甚至不那么好，如果您认为她自己做这些，那您就疯了。仅编辑将需要几天。
40131,UgxmhV4WkKMbf7SytpR4AaABAg,4,4 years ago,very nice,非常好
47371,UgyNAFV9fdwJVF--MPl4AaABAg,3,4 years ago,"this woman is incredible, it's too much, how nice to know everything she knows",这个女人令人难以置信，太多了，很高兴知道她所知道的一切
50902,UgwgdxkzLocvnrsCmMF4AaABAg.8qlbwQdOZYk8qnjK1ckhJz,3,4 years ago,@dontmindmeimjusteverywhere2236 thanks! have a nice day!,@dontmindmeimjusteverywhere2236谢谢！祝你今天过得愉快！
7797,UgykxnwFHQcNdtcTpVF4AaABAg,3,2 years ago,"she is a culture thief
to those who don't know her true self, she described kimchi, which is actually korean, as chinese, in her kimchi making video. china is now trying to take away all of korea's unique cultures. some even claim that bts is chinese. please don't stand up for cultural thieves like this.
her channel is very nice but she did a bad behavior please dont watch her videos..","她是一个文化小偷
对于那些不知道自己的真实自我的人，她在泡菜制作视频中描述了实际上是韩语的泡菜。中国现在正试图夺走韩国的所有独特文化。有些人甚至声称BTS是中国人。请不要像这样的文化小偷站起来。
她的频道非常好，但她的行为不好，请不要看她的视频。"
50560,Ugwh9MiRxG2QfW7P68J4AaABAg,3,4 years ago,very nice chines life style,非常好的下巴生活方式
50527,UgxJoig7rabsjrkYN1Z4AaABAg,3,4 years ago,a nice video...happy new year,一个不错的视频...新年快乐
34974,UgyCO8aceVUgWIWc1YJ4AaABAg,3,4 years ago (edited),"i donโ€t know what is happening here, but having looked at a couple of vidos, i want such a wife even if i am a girl)) p.s. i'm not a lesbian, but it's really nice to watch)",我不知道这里发生了什么，但是看了几个视频，即使我是女孩，我也想要这样的妻子）P.S.我不是女同性恋，但是看来真的很高兴）
49347,UgxU-Y-zewyUyd5An6t4AaABAg,3,4 years ago,digimon ost!!! <3 nice bgm ohhh,Digimon Ost ！！！ <3好bgm哦
41750,Ugx4_J6g5aPAJWKg_Z54AaABAg.8rtZncIiuei8s2LQ0qs-SV,2,4 years ago,so nice and romantic,好又浪漫
45687,UgyZ7Pj4VHZTAFwi7d54AaABAg,2,4 years ago,very nice and beautiful,非常漂亮
5741,UgxPn8LTtzNxcESk4SV4AaABAg,2,2 years ago,hii i am from india odisha state i always se your video it's very nice evry things natural face cream n natural fooln gardening also superb..,嗨，我是来自印度奥里萨州的我总是看到你的视频，这是非常不错的事物天然面霜n天然愚蠢的园艺也很棒。
48327,Ugym60kdcy5X3hciLL54AaABAg,2,4 years ago,she cooks like a pro....nice to watch her vid. and i always craving for food to eat....love from philippines,她像专业人士一样做饭。...很高兴看她的vid。而且我总是渴望吃食物。...来自菲律宾的爱
39349,Ugyh58SjL0UukkR2VIJ4AaABAg,2,4 years ago (edited),"i'm so obsessed with your this type of video. light music on the background and the sound of whatever you're making, so satisfying. you rapped everything so nicely so beautifully. everything is so perfect ๐‘ love from pakistan. your work is absolutely awesome ๐‘๐‘",我非常着迷于您的这类视频。背景上的淡音乐和您所做的任何声音，如此令人满意。您很好地说了一切。一切都是完美的
9196,UgxOJ67Kc-KAxaR4P2N4AaABAg,2,2 years ago,"nice share videos.
i'am new friend from indonesia 
greeting success for you and god bless you always my friend, amen.","不错的分享视频。
我是来自印度尼西亚的新朋友
向您致意，上帝保佑您永远是我的朋友Amen。"
7983,UgwAWRA7bl-fCRa-iSh4AaABAg,2,2 years ago,everyone has a beautiful memories.nice video.,每个人都有美好的回忆。尼斯视频。
5486,Ugw1LdHfZ5jyZQXzshZ4AaABAg,2,2 years ago,nice,好的
16722,UgxKTlCAdOs4VwXmy414AaABAg.98ULgDRBjBw98ZHhZdjGMd,2,3 years ago,clim jimin looool must be nice to be rich,攀登Jimin looool必须很富裕
43782,UgwhXil8SgAk8TB0GzJ4AaABAg,2,4 years ago,very nice and good luck,非常好，祝你好运
30513,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xEa64EJu40,2,3 years ago,hongwei geng lol nice youโ€re breaking the law,Hongwei Geng大声笑很好，您正在违反法律
17711,Ugz9UGvZ1XOEP9gkA-R4AaABAg,2,3 years ago,"i just noticed the woodfire oven is shaped like a doggo head! 
the cover with a bone shaped handle is a nice touch.","我只是注意到木炉烤箱的形状像狗头一样！
带有骨头手柄的盖子是一种很好的触感。"
17141,UgxM-6Ca8XkHUIOwDLh4AaABAg.989803PlCkG98CUvXteTf3,2,3 years ago,you are so nice！,你人真好！
39125,UgzQRl-Ctl87WxIyEzp4AaABAg,2,4 years ago,"i know this is the second comment i've made today, but i think your videos are very nice. they're very relaxing to watch, and the food in this one looks very good. your dogs (and your lamb) are cute too!",我知道这是我今天发表的第二个评论，但我认为您的视频非常好。他们非常放松，而且食物看起来非常好。您的狗（和羊羔）也很可爱！
42222,UgwVttV1wLxSEUhjyKl4AaABAg,2,4 years ago,it was too nice to go goose bumps,太好了，无法去鹅颠簸
13886,Ugze4tJ4AMAzHKmVKyR4AaABAg,2,2 years ago,nice forest,漂亮的森林
