,cid,votes,time,含lovely,含lovely中文翻译
24983,Ugw04Uimwmp5r-6XhsZ4AaABAg.9-yq5NvA-dW906bPqMHwZZ,7,3 years ago (edited),"dude, no offense but this is very usual daily life in chinese rural area, and we have much more ambitions for a better life than this. everyone in this world deserve a modern life. china is not what you think, or learning from the western media, china is much complicated than this, you should come here and see it yourself. but i do agree this is a very lovely life, just not very convenient",杜德（Dude），没有冒犯，但这是中国农村地区通常的日常生活，我们拥有比这更好的生活的野心。这个世界上的每个人都应该拥有现代生活。中国不是您的想法，也不是向西方媒体学习，中国比这要复杂得多，您应该来这里自己看看。但是我确实同意这是一种非常可爱的生活，只是不是很方便
1430,Ugz0z5fhSnU5jc0fpfx4AaABAg,7,11 months ago,"she is such a lovely girl & very hardworking also. the vibes of her video really attracts those people who are interested to rural area but they can't stay & they missed also the rural area's beauty. so from her everyone can get a sweet taste of it.
love from bangladesh liziqiโค๏ธโค๏ธ","她是一个如此可爱的女孩，也很努力。她的视频的共鸣确实吸引了那些对农村地区感兴趣的人，但他们不能留下来，他们也错过了农村地区的美丽。因此，从她那里，每个人都可以获得甜美的味道。
来自孟加拉国的爱情"
22587,Ugyj2E4_XI7nHeOrGyZ4AaABAg,4,3 years ago,"that is chestnut, the one she pick-up from the start of the video - right? you'e really a good chef, and got a lot of cooking talent and pretty face too, but i'm missing to see those beautiful smile from your lovely face... more power to you blog cause it helping a lot of people to understand the real fashion of cooking...",那是栗子，她从视频开始时就拿起了栗子 - 对吗？您真的是一个好厨师，也有很多烹饪才华和漂亮的脸蛋，但是我想念那些美丽的脸上的笑容。了解烹饪的真正方式...
31204,UgxBPmGw0xIG1aIl6ZF4AaABAg.8wR1zKZ8whC8w_Z_qsAIcP,4,3 years ago,she's lovely,她很可爱
41549,UgwmsxpTFt69pOmyP4p4AaABAg,3,4 years ago (edited),"it’s so calming and lovely to watch
i just wish the background instrumental music isn’t there or isn’t played throughout the whole video","看着很平静和可爱
我只希望背景乐器音乐不存在或在整个视频中都没有播放"
28663,Ugw2rjxLvt1r2euKffJ4AaABAg,3,3 years ago (edited),"omg thats sweet the lamb n puppy together following her, so lovely",天哪，这很甜蜜的羔羊n小狗跟着她，真可爱
3551,UgzE-Wod3VP1JCvclkF4AaABAg,3,1 year ago,lovely food .not added insects great,可爱的食物。不增加昆虫很棒
50533,Ugy97wmfNQ6qcGlXh0R4AaABAg,3,4 years ago,"wish you happy new year 
to lovely girl","祝你新年快乐
对可爱的女孩"
30633,UgzCbSF1mVfht7Lfj_t4AaABAg,3,3 years ago,man look at those lovely healthy snacks whilst we have what... graze boxes and chocolate dipped rice cakes๐ญ๐ญ,男人看着那些可爱的健康零食，而我们有什么...放牧盒和巧克力蘸米糕
26861,UgwZA9yogYkYkzF_T2x4AaABAg,3,3 years ago (edited),the sheep and puppies are so lovely,绵羊和小狗是如此可爱
31172,Ugya7qXwjL47BST99bx4AaABAg,2,3 years ago,"how lovely you are and your works โคโค i really feel lucky to see youโคโคโค
love and respect form bangladesh ๐","你有多可爱，你的作品我真的很幸运见到你❤❤❤
爱与尊重形式孟加拉国"
42461,Ugz42-dZATW_txiTGyZ4AaABAg,2,4 years ago,"lovely video
hen hao!","可爱的视频
hen hao！"
48134,Ugxsgf77Op-o-xNSbWh4AaABAg,2,4 years ago (edited),"so lovely craftsmanship of her food and lifestyle. i love the scenery and also love,care that is put in all of her food.",她的食物和生活方式是如此可爱的工艺。我喜欢风景，也喜欢爱，照顾她所有的食物。
30374,UgwKsv0QAMgwnAxm1Cx4AaABAg,2,3 years ago,the lovely sheep puppies !! โคโคโค,可爱的绵羊小狗！
26318,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy92ZwdBx6H1i,2,3 years ago,"good for you, bro ๐‘, and that how positive way of life of ziqi can affect people, i'm too be inspired. cheers for our lovely lady.",兄弟对您有好处，Ziqi的积极生活方式会影响人们，我也受到启发。为我们可爱的女士欢呼。
11672,UgxMyFohOuxhbfSynHt4AaABAg,2,2 years ago,i feel so useless when i see her doing her thing...โจ lovely โจ,当我看到她在做她的事情时，我感到毫无用处...✨可爱✨
23332,UgytiSxxVbO8dtfVqGp4AaABAg,2,3 years ago,"how cute, you have dogs and lamb following you everywhere. using that outside oven you made with your own hands is awesome. that large wok is amazing. your'e so loving with your grandma, which is lovely to see.",多么可爱，您到处都有狗和羔羊跟随您。用自己用自己的手制成的外烤箱真是太棒了。那大炒锅很棒。你们对奶奶如此热爱，很高兴看到。
19611,Ugy2yHiwbn7w20m4KWR4AaABAg,2,3 years ago,dream life ..full stock of handmade food with lovely place and cute puppies,梦想生活..充满手工食品的库存，可爱的地方和可爱的小狗
32890,UgzEGtY7Y-jcZ4dWeRB4AaABAg,2,4 years ago,this is lovely well done you it's so magical xxxxxx,这真是太好了，你真是太神奇了xxxxxx
20858,UgzUuv4wq4-uwWnBcc14AaABAg,2,3 years ago,"stunning photography, scenery (where is this filmed in china), and lovely young lady who is very talented. her grandmother is fortunate to have her. thank you for doing these videos.",令人惊叹的摄影，风景（这是在中国拍摄的地方）和很有才华的可爱小姐。她的祖母很幸运能拥有她。感谢您制作这些视频。
25526,UgyRi9iCUNzJnRYIds54AaABAg,2,3 years ago,"i wana visit your place once ..lovely ..its like heaven๐
love from india","我想拜访你的家一次.. lovely ..它像天堂
来自印度的爱"
25455,UgwSu0uDkFvQraLDnrV4AaABAg,2,3 years ago,grandmaโ€s hat is so lovely ๐,奶奶的帽子是如此可爱
48489,UgxXXIbNChtL-954PKl4AaABAg,2,4 years ago,"the lovely ziyi is really exquisite in craftsmanship and unique taste. i wish you a happy new year, prosperous year of the pig, good luck ~",可爱的子柒真的手艺精湛，而且独具品味，祝福妳新年快乐，猪年旺旺，好运连连～
33458,UgxFx6YsKpm-3R7RJ6d4AaABAg,2,4 years ago,you're quite lovely and your videos are very relaxing and enjoyable. thank you!,您非常可爱，您的视频非常放松和愉快。谢谢你！
7274,UgwCnFQhIGt1iHFF_854AaABAg,2,2 years ago,lovely china~ ♡,可爱的中国〜♡
39489,UgxjfURUD54bctxPPmp4AaABAg,2,4 years ago,its such a modest and lovely way of living and cooking.,它是一种适度而可爱的生活和烹饪方式。
10673,Ugxr-LQVYRCSNnhz-It4AaABAg,2,2 years ago,the lovely snacks have a new year atmosphere. it makes people feel lively and warm.,可爱的小吃有新的一年气氛。它使人们感到活跃和温暖。
4338,UgysBWH_2YZ9tA-Eazt4AaABAg,2,1 year ago,"hi my dear liziqi, my lovely liziqi 
i like your video, i love u very very much. i am little baby mahiba islam pata. i live in bangladesh . where are you live in??????","嗨，我亲爱的liziqi，我可爱的liziqi
我喜欢你的视频，我非常爱你。我是小宝贝大教堂伊斯兰帕塔。我住在孟加拉国。你住在哪里？"
50584,UgyIf9B7LC3o_ShFBdJ4AaABAg.8qlh0C1jtGZ8qm1rQgGA9h,1,4 years ago,that's lovely! :),这是可爱的！ :)
8820,UgyIqnDvtk99LFNi4wF4AaABAg,1,2 years ago,"what a well done, lovely. straight sight. and how you love grandmother. that's why millions of views",做得好，可爱。直视。以及你如何爱祖母。这就是为什么数百万观看的原因
19702,Ugw8zVfijnF81fkgXTV4AaABAg,1,3 years ago,i want to visit this place ... lovely ❤️❤️ heaven on the earth ...i'm stuck of this city and its pollution and fucking office work.. really i ❤️ their work,我想去这个地方...可爱的❤️❤️天堂在地球上...我被这座城市及其污染和他妈的办公室工作。
50872,Ugxk7Tr2ABeYCHcVdTt4AaABAg.8qlcLA7JNVW8qlpAuRPeQB,1,4 years ago,"hahahaha, this transliteration is really lovely",哈哈哈哈，这种音译真的很可爱
32873,UgwBeE7QVCt3Pz3scTJ4AaABAg,1,4 years ago,i watched this until finish in order to see her lovely grandma face. and i hate myself when it doesnt exist,我一直看着这个直到结束，以看到她可爱的奶奶脸。我讨厌自己不存在
20771,Ugy9qpOjf4-T3x5RkzV4AaABAg,1,3 years ago,what a lovely environment n snacks n most of these snacks i still hv the blessings to enjoy dm in my pakistan,零食多大的零食，大多数这些小吃，我仍然祝福在我的巴基斯坦享受DM
40581,UgxPQZEBg0LtcQld_1R4AaABAg,1,4 years ago,lovely,迷人的
21155,UgwBs62ydppk-8Bk1M94AaABAg,1,3 years ago,look the dogs so cuteee and her lovely sheep ๐,看着狗真可爱和她可爱的绵羊
21361,UgwFQ1jXK9KTrgUJW754AaABAg,1,3 years ago,she's lovely,她很可爱
11906,Ugy__xvH0iVBoIvdTn54AaABAg,1,2 years ago,"she behaves like a k drama heroine
lovely ๐’•๐’•๐’•๐’•๐’•","她的行为就像是K戏剧女主角
可爱"
37363,UgxkG1d2Vaq6MI_llFd4AaABAg,1,4 years ago (edited),dog lovely,狗可爱
22047,UgywP34BxXmjaMn313p4AaABAg,1,3 years ago,lovely โค,可爱❤
22380,UgxeFpyrL7XWhqRU1PN4AaABAg.92xnq6f9oza93bvYyb3PC3,1,3 years ago,"i like the warmly, lovely image. we make a video to comment.",我喜欢热情，可爱的形象。我们制作一个视频来发表评论。
32102,UgyCChAq1jg5eymF2Cl4AaABAg,1,4 years ago,i like your videos better without music. the sound is so crisp and clear and lovely all on its own. the music distracts from it,我没有音乐，更喜欢您的视频。声音本身就是如此清晰，清晰可爱。音乐使它分心
36145,UgzNrRFf3VzthhtF9Dp4AaABAg,1,4 years ago,wow yammy best channel ever i love it keep it up your grand mother is very lovely too๐.,哇，Yammy最好的频道，我喜欢它，请继续保持您的大母亲也很可爱。
4781,Ugze8CE3383hC-7hOsF4AaABAg,1,1 year ago,"what a lovely video. beautiful cinematography, beautiful people....",多么可爱的视频。美丽的摄影，美丽的人。
5135,Ugy9axFkhBfqmrFSLnV4AaABAg,1,1 year ago,so so lovely,如此可爱
44548,Ugw4B_1b5i7OnS16bS14AaABAg.8rCXt9otn7j8rLLpb2-hY2,1,4 years ago,"huma first thank you for your comment. well , i am still happy i found her videos, it's like a breeze of fresh air in this ugly world we live in, crowded by ugliness, bad manners and hatred. she is lovely and her videos are not noisy or full of fuss....
again, thank you for your comment","Huma首先感谢您的评论。好吧，我仍然很高兴我找到了她的视频，就像在我们生活的这个丑陋的世界中微风吹拂的新鲜空气，被丑陋，不良的举止和仇恨拥挤。她很可爱，她的视频并不吵或大惊小怪。
再次感谢您的评论"
24068,UgyxHkfjPqGetkT5qjR4AaABAg,1,3 years ago,hey..you have a lovely animals like puppy..goat,嘿..你有一个像小狗一样可爱的动物。
5864,UgzlKJYcg79MA8oCowR4AaABAg,1,2 years ago,do you sell your lovely garments on line and what age groups etc....do you make sleepwear at all...night gowns ...???.simply love that incredible purple coat ...thank you kindly ...is it possible to buy on line ...???...,您是否在线上出售您可爱的衣服以及哪些年龄段等。...您根本做睡衣...夜礼服... ???。简单地爱那种令人难以置信的紫色外套...谢谢...可以在线购买吗？
19505,UgwJV_vfrpKEnbQP4D14AaABAg,1,3 years ago,now i feel like seeing the actual spring festival.... so lovely,现在我想看到真正的春节。
49896,UgxLFOz8BKAHMWJyAkp4AaABAg,1,4 years ago,happy new year lovely one.,新年快乐可爱。
43573,UgyZYa4tvQca0SLeM-d4AaABAg,1,4 years ago,wow the video quality and the content itself is so relaxing to watch .. well my first time seeing ur videos today .. ur so lovely too .. keep it up,哇，视频质量和内容本身令人放松。
33334,UgwAGADMqgzYcrx9gP94AaABAg,1,4 years ago,wow this lovely lady is amazing! i gladly make an exception and watch all her ads.lol,哇，这位可爱的女士很棒！我很乐意做一个例外，看着她所有的广告。
13050,UgxY6_Unq2kljH3neix4AaABAg,1,2 years ago,pop corn 6:00 that jump was soooooooooo lovely,流行玉米6:00跳跃很可爱
48820,UgwR4wqnSFMVhNscbIh4AaABAg,1,4 years ago,"your r different from other people,you r ausome,hard working lady u r .your video make me relax l was thinking that u r not form world....and u have lovely grand mother...",您的r与其他人不同，您是ausome，努力工作的女士。
11294,UgxWHCHMraFSsndhmqp4AaABAg,1,2 years ago,lovely scenes about mother nature and a talented diligent girl......https://youtu.be/1hznsbjczc0,关于大自然母亲和一个有才华的勤奋女孩的可爱场景……https：//youtu.be/1hznsbjczc0
52319,UgzoVFTcqe2ex4bEovB4AaABAg,1,4 years ago (edited),my dream home is your place. lots of fresh fruits and vegetables around the house. the scenery is lovely too.,我梦dream以求的家是你的住所。房屋周围有许多新鲜的水果和蔬菜。风景也很可爱。
30629,UgzMmRk6M7zCwSyObEF4AaABAg,1,3 years ago,hi im new to your channel and i like what you do and how your so creative of what you do and the things you make and how they turn out very lovely at what you do keep it up,嗨，我是您的频道新手，我喜欢您的工作，以及您如何创造自己的工作以及您所做的事情以及它们如何非常可爱的事情，
27949,UgxE8GMWmRQ0pNuBUe54AaABAg.8yxVfjb9y3A8zEE-38RzH-,1,3 years ago,"i, too, am a lovely who decided to come here after mario maker... and iโ€m glad i did",我也是一个可爱的人，决定在马里奥制造商之后来这里...我很高兴我做到了
14039,UgzjZxGQ0S1LdU58aDh4AaABAg,1,2 years ago,5:57 lovely❤️❤️,5:57Lovely❤️❤️
2542,UgwP1ACkM1cnjWijE_l4AaABAg,1,1 year ago (edited),"she has the whole world at home 
lovely","她在家中拥有整个世界
迷人的"
30723,UgwkC3U2cPYuJWya2iB4AaABAg,1,3 years ago,you have a lovely grandmother god bless her and you i have love and respect for you2โฅ๏ธโฅ๏ธ,你有一个可爱的祖母上帝保佑她，而你我对你有爱和尊重2♥♥♥父
24509,Ugx53-56pJUMNxKDii54AaABAg,1,3 years ago,"two dogs and one sheep follow her,so lovely!",两只狗和一只绵羊跟着她，真可爱！
15421,Ugy5lFktCLCqCDsFLeF4AaABAg,1,3 years ago,"these videos are seriously such a lovely calming thing to watch, i saw the potato video and fell down a rabbithole because every video is equally as captivating!",这些视频非常认真地观看，我看到了土豆视频，并掉下了一个拉比索尔，因为每个视频都同样令人着迷！
30892,UgyI2q84avVDLPG47W54AaABAg,1,3 years ago,her 3 lovely pet is one of my favorite๐,她的3只可爱的宠物是我最喜欢的
33959,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49BQt92kGu1W,1,2 years ago,"@warpnin3 
it is mind-boggling how so many have decided to air grievances because of this video, which shows how these people gather and prepare foods, which cost a pretty penny in health food stores.
the very ones throwing darts back and forth either have to pay the high cost of natural nutritious food or ""junk it"".
no one asked them nor expects them to give up their high mortgages and credit card debts.
it is some other ones lifestyle, not for all, but nevertheless, an excellent one.
(i think it's the sugar or something in the water being out all that anger.)
i am 70, living in a bit of not too rural area, but away from the town in my homeland.
finally, i am planting food and more ""overjoyed"" than stevie because it's a truly lovely experience, after years in the corporate world.
i never wanted it, but my mother impressed upon me that going to school, then getting a good job and hopefully, a pension, was necessary.
no!
i wanted to draw, sketch, paint, design!
i did some, and custom make my clothes all of my life.
but, i never continued with that part of my desires.
so, this skinny grandmother is learning five languages and gardening.
i'm not done living yet!","@warpnin3
令人难以置信的是，由于这段视频，有多少人决定宣布申诉，这显示了这些人如何收集和准备食物，这在健康食品商店中花费了一分钱。
那些来回扔飞镖的人要么必须支付自然营养食品的高昂费用，要么必须“垃圾”。
没有人要求他们也没有期望他们放弃他们的高抵押贷款和信用卡债务。
它是其他一些生活方式，不是所有的生活方式，但仍然是一种出色的生活方式。
（我认为这是糖或水中的某些愤怒。）
我今年70岁，住在不太农村地区，而是远离我家乡的小镇。
最后，我正在种植食物，比Stevie更“高兴”，因为这是一次真正可爱的经历，经过多年的企业世界。
我从来没有想要它，但是我母亲给我留下了深刻的印象，那就是上学，得到一份好工作，希望退休金是必要的。
不！
我想画，素描，绘画，设计！
我做了一些，并习惯了一生。
但是，我从未继续遵守自己的欲望。
因此，这个瘦的祖母正在学习五种语言和园艺。
我还没有生活！"
33807,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48y0ld3t1kgX,1,3 years ago,"@ingestrauss3826 that's very true.. but if not for some of the hardships that have been created from development.. we wouldn't have the immense pleasure of watching and being inspired by this lovely family on an electronic device.. so , there is that.",@ingestrauss3826是真的。但是，如果不是因为开发产生的一些困难。.我们不会在电子设备上观看和受到这个可爱的家庭的启发。那。
40036,Ugw0zE0-EotIgMlL4IN4AaABAg,1,4 years ago,5:57 to care grandma with lovely fear- awesome,5:57用可爱的恐惧照顾奶奶 - 很棒
34698,UgwkTkPL1RSOVusRGth4AaABAg,1,4 years ago,"you're so pretty and lovely ~ it's a clean, refreshing and delicious video that makes you feel good and smooth. grandma is healthy ~ the main character is always happy as it is now ~~ โก",它是如此漂亮可爱〜它干净清爽，美味的食物既好又光滑。奶奶很健康〜主角总是很快乐，因为现在~~♡
18956,UgxAryoPCM8dkD0AtbR4AaABAg.96OGs3x7ABz96U3UGUZXjg,1,3 years ago,lovely,迷人的
39200,UgzqR1spLi70ymQDGJ94AaABAg,0,4 years ago,2 puppies and a lamb made my day... so lovelyโค๏ธโค๏ธโค๏ธ,2只幼犬和一只羔羊让我一天...太可爱了❤️❤️❤️
39688,UgyUF-kand6vAHUupFp4AaABAg,0,4 years ago,lovely video. subtitles . i saw one wrong thing in the translation. she made salted sunflower ๐ป seeds not melon ๐.,可爱的视频。字幕。我在翻译中看到了一件错误的东西。她做了咸的向日葵
42355,UgxqBv4GamO26TpQwYV4AaABAg,0,4 years ago,"what a lovely day! share a spring warm with family, and all made by self, and pick it up freshly in your gardens.. love from indonesia!",多么美好的一天！与家人共享一个温暖的春天，全部由自我制造，然后在您的花园里刚捡起它..来自印度尼西亚的爱！
39103,Ugz9piOGZmmRZcHLX0l4AaABAg,0,4 years ago (edited),"this is by far the best 10 minutes i have ever spent on youtube ,lovely , calmfull and peacefull music .i am amazed with the way most recepies are done here but regarding the way the popcorn is made ..waaw ,never seen anything like it ... what is the name of the baric chamber where you pour the corn pips in ? anyone ?",这是我在YouTube上度过的最好的10分钟，可爱，冷静和和平的音乐。我对大多数回收的方式感到惊讶，但是关于爆米花的制作方式。.Waaw，从未见过这样的东西...倒入玉米的Baric室的名字是什么？任何人 ？
39892,Ugw5ZYCX5T3DleMa-HZ4AaABAg,0,4 years ago,lovelyโคโคโค,可爱
39975,UgxKiCgE95RPnb6z9UB4AaABAg,0,4 years ago,lovely li.,可爱的李。
42205,UgzONjMFoQksKftmLQF4AaABAg,0,4 years ago,thus is lovely!,所以很可爱！
42140,UgwUgFUCjOtaA8JZPaR4AaABAg,0,4 years ago,wow..shes so lovely...i would love to live with her and her family and help out...this is how you truly live!!!,哇。
40594,Ugx613JfAGuf9vbbwoN4AaABAg,0,4 years ago,"the girl is lovely, knowing how to find happiness in her place. really hope ly that can find a partner. live with her in the fairy.",这个女孩很可爱，知道如何在她的地方找到幸福。真的希望能找到合作伙伴。和她一起住在童话中。
40640,UgwTbjNd5BhKpxXiH-h4AaABAg,0,4 years ago,"beautiful.
i feel lovely to work in a hurry","美丽的。
我很高兴工作很高兴"
40714,Ugw3Ph2rNga7WOsv4s54AaABAg,0,4 years ago,it's just me or at 5:17 kinda remembered me digimon song? and the video itself makes me feel like i'm in heaven since it's so calm and lovely. but i know that since i've been raised in a city i'll never survive normally like her. you are awesome <3,只是我还是5:17记得我的Digimon歌曲？视频本身使我觉得自己在天堂，因为它是如此平静和可爱。但是我知道，自从我在一个城市长大以来，我将永远无法像她那样正常生存。你很棒<3
40937,UgyUZxSGEifiLqmJvOR4AaABAg,0,4 years ago,"so sweet beautiful cute pretty ,,lovely very good job,,best off luck gd bless you,,,,",如此甜美美丽的可爱漂亮
41083,UgxL7zHQ-lWqBkFpYEh4AaABAg,0,4 years ago,all of your snacks are lovely it was a complete privilege to watch this video much apreciated!!!,您所有的小吃都很可爱，观看这部视频的完全荣幸！！！
41115,UgwH6Snqn7lSfYj-_cJ4AaABAg,0,4 years ago,what a lovely lifestyle i like this so mcch,我喜欢这个多么可爱的生活方式
40418,UgwmVeEU1gALmr1px754AaABAg,0,4 years ago,lovely and yummy,可爱又好吃
42524,UgyGnxpvaWlWDRXaDe94AaABAg,0,4 years ago,such a beautiful video...i loved it a lot.. n the cute puppys n sheep the way they were following is just amazing and lovely lot of love to them,如此美丽的视频...我非常喜欢它.. n可爱的小狗N绵羊像他们所关注的方式真是太神奇而可爱的爱对他们很可爱
41372,UgyG1W2y_xEwj8DXQFN4AaABAg,0,4 years ago,that is so much work but looks lovely,那是如此多的工作，但看起来很可爱
41523,UgzChSHHQTP4kkABrEl4AaABAg,0,4 years ago,i like this woman....you're lovely,我喜欢这个女人....你很可爱
40180,UgzD-UU15XU5Tep0nad4AaABAg,0,4 years ago,lovely,迷人的
41554,UgyL1HKK2YVyXtd_OJd4AaABAg,0,4 years ago,<3 lovely! such a skillful lady. i wish i'll have a wonder woman like her in my life!! ^0^,<3可爱！如此熟练的女士。我希望我一生中有一个像她这样的神奇女侠！！ ^0^
39987,UgwWV0D1YdHZnMyzerx4AaABAg,0,4 years ago,lovely,迷人的
41586,Ugz1_lboBmJZVGljQ254AaABAg,0,4 years ago,lovely view!,可爱的景色！
41597,UgxH9NSM9uH8zUf20k54AaABAg,0,4 years ago,lovely girl,可爱的女孩
42085,UgwLV3Wm9IWHrhAw6dd4AaABAg,0,4 years ago,omg which place is this? so lovely... i want to go thr..,天哪，这是哪个地方？太可爱了...我想去。
39934,Ugz9RjleGh25Z5RKL4l4AaABAg,0,4 years ago,"the way she try to get away from the dogs, it doesn't seem very lovely. i am sorry to say that.",她试图摆脱狗的方式似乎并不可爱。我很遗憾地这么说。
41347,Ugzm6kD-jANsyrC_hvt4AaABAg,0,4 years ago,how lovely,多么可爱
45294,Ugx8h3aSfv3zlKzsQF54AaABAg,0,4 years ago,such a heart work she is doing lovelyyyyy,她正在做可爱的人的心脏工作
42613,UgzNwIDNCLGZuH-Z0hN4AaABAg,0,4 years ago,lovely dear.....,可爱的亲爱的.....
42846,UgzzoULC8x6Rx-xvXBZ4AaABAg,0,4 years ago,"lovely ,peaceful great videos ! i wish i was there !",可爱，和平的伟大视频！真希望我当时也在 ！
47591,Ugw5u2MyYRbYEgc9n194AaABAg,0,4 years ago,"i like ur house u so lovely lady and good girl for take care of ur mom.
love u","我喜欢你的房子你真可爱的女士和好女孩，以照顾你的妈妈。
爱你"
47895,UgzN6tIwGgNBsXZ8RV14AaABAg,0,4 years ago,lovely........vedios,可爱........ Vedios
48034,Ugy2CRjUX5TAxGl3SAN4AaABAg,0,4 years ago,the most lovely li li,最可爱的李
48037,Ugz4MQLi3QFSqJj80jF4AaABAg,0,4 years ago,lovely!,迷人的！
48218,Ugwd7P77vZ9DFe4Vvpt4AaABAg,0,4 years ago,lovely,可爱了
