,cid,votes,time,含lovely,含lovely中文翻译
11920,Ugz7ZE-5vJyxMJ2NLe54AaABAg,1,3 years ago,the girl is so lovely,这个女孩是如此可爱
11174,UgzUVB8vI2wBd2A43_h4AaABAg.97v2B2mRWdF97zXosnv1D1,1,3 years ago,@user-ze6fo2bl6y thank you! this sounds lovely!,@user-ze6fo2bl6y谢谢！这听起来很可爱！
5975,UgwngJsA4DhjB3ll6tl4AaABAg,1,2 years ago,i like a lot the dog. he seems happy. lovely.,我很喜欢狗。他似乎很高兴。迷人的。
11995,UgzYOY3JQOQIFTju_w14AaABAg,1,3 years ago,i just found out about subtitles in english .. it's hilarious 6.56 what a lovely sense of humour!,我刚刚发现了英文字幕。.6.56这真是一种可爱的幽默感！
33003,UgweTN5lZEduK1s-jzR4AaABAg,1,3 years ago,hi very nice cooking lovely hours,嗨，非常好烹饪美好的时光
3186,UgxhDH3lnNEqQayeIJ54AaABAg,1,1 year ago,"if i didn't keep snails as pets, this video would be perfect lol. can't wait to see more lovely relaxing vids, just snail free! xd",如果我不把蜗牛作为宠物，那么这个视频将是完美的大声笑。等不及要看到更多可爱的放松视频，只需免费蜗牛！ XD
12081,UgzmhgvOiPEKsrR3L094AaABAg,1,3 years ago,lovely,迷人的
19602,Ugyg69hqBu0_CLEj7R14AaABAg,1,3 years ago,she was so lovely,她是如此可爱
25896,UgxSMAHEkgkmk6ujsM54AaABAg,1,3 years ago,"i wish there where more often people like her, not like the uk or usa because they don't think about nature and think of new things e.g if there's a apocolips she will know what to do why are nobody like this like her she's smart disciplined and lovely and all the people care is that money, getting married, getting everything and not thinking about what is in front of their eyes and toes and future in life of survival in life of life in age in nearly anything that is possible to them.
this is how much love we give to her
|
|
♡","我希望在那里人们经常喜欢她，不喜欢英国或美国，因为他们不考虑大自然，并想到新事物，例如，如果有一个apocolips，她会知道该怎么办可爱的和所有人都在乎的是，钱，结婚了，结婚，得到一切，没有思考他们眼前的事物，脚趾和未来的生活，在年龄的生活中生存的生命几乎所有可能对他们来说是可能的。
这就是我们给她的爱
|
|
♡"
24020,UgzZUnnQ3rPAzP6r9jd4AaABAg,1,3 years ago,she reminds me that my grandma is very lovely person. she raised me from 6 months when my parents couldn't take care of me because of something. o feel i love my grandma then my parents,她提醒我，我的祖母是非常可爱的人。她从6个月开始抚养我，因为我的父母因某件事而无法照顾我。 o觉得我爱我的祖母，然后我的父母
25202,UgyYIUMm7wDCVbDcCwN4AaABAg,0,3 years ago,"awwwww so peaceful there, to live there until the end would be awesome, away from all the dramas. even the food is lovely. as for the hard working young lady she's beautiful, princess of the garden. thanks for sharing your paradise with us.",在那里如此宁静，到那里住在那里，直到最后会很棒，远离所有戏剧。甚至食物也很可爱。至于勤奋的小姐，她很漂亮，是花园的公主。感谢您与我们分享您的天堂。
23127,UgyVEdk0EsjnR_f-lqV4AaABAg,0,3 years ago,that's lovely,这是可爱的
24206,UgxUlqxHcboD7vpI_0d4AaABAg,0,3 years ago,"absolutely lovely and professional filmmaking, a joy to watch, thank you very much from thailand :)",绝对可爱又专业的电影制作，很高兴观看，非常感谢泰国:)
23708,UgzrlWRsBKHrf21TrSt4AaABAg,0,3 years ago,aaa～lovely 李子柒 eating me.（look my id）.lol,AAA〜可爱李子柒吃我。
23423,UgwSvTKuxurcCD34ezV4AaABAg,0,3 years ago,lovely place....,可爱的地方....
23264,UgxudAAMufjiga_nbRR4AaABAg,0,3 years ago,lovely place,可爱的地方
22716,UgyMuuraVxTf-_WfzBN4AaABAg,0,3 years ago,what a lovely video! so relaxing! now i am hungry! thank you for giving a beautiful start to the day...,多么可爱的视频！如此放松！现在我饿了！谢谢您为一天的美好开端...
22678,UgyjePu7ytPRLIVgRA94AaABAg,0,3 years ago,thank you very much for sharing these lovely videos! your cooking is so very charming!,非常感谢您分享这些可爱的视频！您的烹饪非常迷人！
21688,Ugyf5IogaB_IMpAwBhp4AaABAg,0,3 years ago,"i am from indonesia, so lovely to watch this video...",我来自印度尼西亚，看这部视频真是太可爱了...
21565,Ugz_0YMomNNb02R7kRZ4AaABAg,0,3 years ago,"beautiful scenery really looks so lovely naturally, i wish i would be in one place in the future",美丽的风景确实很自然地看起来很可爱，我希望我将来会在一个地方
21255,UgzPqprrn6cV6HJQrml4AaABAg,0,3 years ago,can you add the titles for your background music please? they are all very lovely.,您可以为您的背景音乐添加标题吗？他们都很可爱。
21169,UgwaIJOI5jM-1fm7km14AaABAg,0,3 years ago,the video is lovely. i like so much.,视频很可爱。我非常喜欢。
25591,Ugz9BfiYCILsO1zRuiB4AaABAg,0,3 years ago,lovely,迷人的
52,UgzsuJXAwmCwF-Hk3Gp4AaABAg,0,2 weeks ago,"beautiful cute girl lovely body shape the shape of the white flesh skin is pinky ruddy nu nu nu nu a shiny glossy glossy smooth smooth soft and smooth, beautiful and fragrant too fragrant.","Beautiful cute girl lovely body shape The shape of the white flesh skin is pinky ruddy nu nu nu nu a shiny glossy glossy smooth smooth soft and smooth, beautiful and fragrant too fragrant."
25838,UgwzXbFJnWRkvmoEOJB4AaABAg,0,3 years ago,"everything is fresh picked, beautiful presentation, lovely animals too! nice to see your grandma enjoying your cooking, wish her well and happy day ❤️",一切都是新鲜的，美丽的演讲，也是可爱的动物！很高兴看到您的奶奶喜欢做饭，祝她一切顺利，快乐的一天❤️
29616,UgztGthTyv69w1GN8tJ4AaABAg,0,3 years ago,"lovely video.
i love watching your videos to see what tools and techniques you use, as well as your magnificent garden. you grow and harvest so much food, while i only seem to kill any plant i grow except for herbs.
thank you for the awesome videos you create!","可爱的视频。
我喜欢观看您的视频，以查看您使用的工具和技术以及宏伟的花园。您生长并收获太多食物，而我似乎只杀死除草药以外的任何植物。
感谢您创建的很棒的视频！"
34481,UgxEiYmGGWuxpDa--Fd4AaABAg,0,3 years ago,do you make your own rice noodles as well? of so i would love to see the process for that! have a lovely evning from the united states.,您也自己做米饭吗？因此，我很想看到这个过程！从美国有一个可爱的杂志。
34354,UgxIy5A4QOnJNYOBvS94AaABAg,0,3 years ago,lovely,可爱的liziqi
33807,UgzQcL7SmF8sw_c4JQR4AaABAg,0,3 years ago,she still lovely chinese girl,她仍然可爱的中国女孩
32753,Ugw88N9tmsRIAI-mOcN4AaABAg,0,3 years ago,i can not understand what's your comment but you so lovely and profile pick my husband i am neelam,我不明白您的评论是什么，但是您是如此可爱和个人资料，选择我的丈夫，我是Neelam
32601,UgxrTiL9zhkGjIYOs4d4AaABAg,0,3 years ago,lovely,可爱
30370,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39AG6NFJdcxf,0,2 years ago,@mutfaginizdayim lovely,@mutfaginizdayim可爱
30078,UgxFXJKr-rrvuMuKX1h4AaABAg,0,3 years ago,lovely video! i just kept thinking of animal crossing for some reason when she was harvesting the bamboo shoots. >_<,可爱的视频！当她收获竹芽时，我只是出于某种原因一直在想着动物穿越。 > _ <
30046,Ugz1r3schcPA9zsGFB54AaABAg,0,3 years ago,love the use of so many vegetables in your cuisine. lovely video as always.,喜欢在美食中使用这么多蔬菜。一如既往的可爱视频。
29414,UgwnnV5C_WkVPJohf994AaABAg,0,3 years ago,lovely lady so beautiful,可爱的女士如此美丽
27107,Ugx1dXgi_LXcl5FVusZ4AaABAg,0,3 years ago,"after a stressful day at work with a rush life, there is nothing better than get home and watch such a relaxing video and let my mouth water with that home made lovely food made by such a specialist. you're great lady long.",经过紧张的一天的紧张生活，没有什么比回家了，看着这样一个轻松的视频，让我的嘴里用这家专家制作的可爱食物让我的口水。你很棒的女士。
29368,UgydfiTMa48i3LJ_hJZ4AaABAg,0,3 years ago,"sorry, you have so many subscribers, but you can’t buy new teeth for your lovely grandma?",抱歉，您有这么多订户，但是您无法为可爱的奶奶购买新牙齿吗？
29245,Ugzgb0bnR-ifKyYaTX94AaABAg,0,3 years ago,lovely,可爱
28494,UgxTQ0xleYI-lQYGNWB4AaABAg,0,3 years ago (edited),are lovely chinese girl dutiful wife mother tradition china meal prepare. l am invite bubble tea hot pot. i am excellent work hard technology study calculus differential equation united state.,是可爱的中国女孩尽职尽责的妻子母亲传统中国餐的准备。我邀请泡泡茶热锅。我是一项出色的工作硬技术研究微微分方程美国。
28199,UgzB3XONKipmT8VkIIt4AaABAg,0,3 years ago,most lovely girl beautiful girl,最可爱的女孩美丽的女孩
27810,UgwXlfVcBVIpeJ315Gh4AaABAg,0,3 years ago,"lovely, peaceful...",可爱，和平...
27695,Ugxo_b_KF7MMRNsjtOR4AaABAg,0,3 years ago,you lovely,你很可爱
20717,UgwkYK6mMz3NO1xF2OF4AaABAg,0,3 years ago,lovely grande mather,可爱的格兰德·马瑟（Grande Mather）
27259,UgwokF7-1ICeaLKLR8F4AaABAg,0,3 years ago,so lovely <3,如此可爱<3
21015,UgyWaevWid6-59vF39l4AaABAg,0,3 years ago,"so immensely satisfying. this is such a beautiful place, and such a beautiful way of life. not to mention a lovely person,!",如此令人满意。这是一个美丽的地方，也是一种美丽的生活方式。更不用说一个可爱的人了！
17216,UgwAoOPE44ZKCBvkM8h4AaABAg,0,3 years ago,lovely young woman who works her tail off and appears to make it look easy.thank you for sharing your beautiful life for this brief video,可爱的年轻女子，她的尾巴努力，似乎使它看起来很容易。谢谢您为这个简短的视频分享美丽的生活
20368,UgzJpsTklQyzHbSqgYl4AaABAg,0,3 years ago,she is lovely i hope the little dog gets some to eat to?,她很可爱，我希望小狗能吃点东西吗？
9971,Ugyz--5Fev3KqfzVnvR4AaABAg,0,3 years ago,lovely girls,可爱的女孩
9420,UgykeaoQVXoEJSFWavF4AaABAg,0,2 years ago,lovely fairytales on this channel.,这个频道上可爱的童话。
9069,Ugz139-Js_Ry1rGE3_V4AaABAg,0,2 years ago,lovely girl! love you.,可爱的女孩！爱你。
8029,UgxVcGJH_yqrQLLLaOR4AaABAg,0,2 years ago,"beatiful girl.beatiful live ,,verry lovely",美丽的女孩。美好的现场直播，verry可爱
7705,UgzZLBIz6--mgoVucHh4AaABAg,0,2 years ago,hello' sis you are my all-time favourite.your just amazing.big hug to your beautiful lovely grandma.๐๐’–๐’–๐’–๐’–๐’–๐’–๐’–๐’–๐’–๐’–๐’–,你好'sis你是我历史上的最爱。你真是太神奇了。
7006,UgxGNzhMbxl4x79WWRZ4AaABAg,0,2 years ago,lovely life journey and best idea๐’๐‘๐’๐‘๐‘๐‘,可爱的人生旅程和最好的主意
6834,UgxEb_J8dljQkEdyQqp4AaABAg,0,2 years ago,dish bakbas hai but nature is so much lovely,菜bakbas hai，但大自然太可爱了
6736,UgwIEcc8pyb132s8ew14AaABAg,0,2 years ago,that's lovely,这是可爱的
6618,UgwGadiRjKChsGsGQCd4AaABAg,0,2 years ago,"lovely. 

yahweh bless you both in jesus' mighty, holy, precious name!","迷人的。

耶和华以耶稣的强大，圣洁，珍贵的名字祝福你们！"
6367,UgxV--9wamvlUakaDPF4AaABAg,0,2 years ago,she's so lovely๐.,她真可爱。
6204,UgzPWkQHrwzcEaFdGhl4AaABAg,0,2 years ago,good lovely,好可爱
5269,Ugw2kfiu0zKZ5sUWjIh4AaABAg,0,2 years ago,really lovely video. i love those bamboo drying racks,真的很可爱的视频。我喜欢那些竹干架
4871,UgzgwOWdwExCwzY22dB4AaABAg,0,2 years ago,she is lovely,她很可爱
4242,UgxP4ssXIXV1R45h3OZ4AaABAg,0,2 years ago,i want to sit in the swing with grandma... after going to the bamboo forest... lovely,我想和奶奶一起坐在秋千上...去竹林后...可爱
3816,UgzCnnJCpCYSsKHzNfl4AaABAg,0,2 years ago,lovely my love,可爱的我的爱
3650,UgzcHt9nzjma85QHJlF4AaABAg,0,2 years ago,"amazing, lovely spicy",令人惊叹，可爱的辣
3342,UgxIAIpV-kTlrFYnuPN4AaABAg,0,1 year ago,my lovely,我可爱的
1761,Ugxp74_yiafTkGa-6vR4AaABAg,0,1 year ago,lovely good girl. i love this girl so much.,可爱的好女孩。我非常爱这个女孩。
1495,UgyBGNWHU8HprQGDk9h4AaABAg,0,1 year ago,"i really like this lovely little girl, rustic cooking but very good h.",我真的很喜欢这个可爱的小女孩，质朴的烹饪，但是很好。
1380,UgzA9fUxWhSph1rigjx4AaABAg,0,1 year ago,lovely nature...,可爱的大自然...
9803,UgwTfSlA9ubKjnxGcCV4AaABAg,0,3 years ago,lovely sichuan dialect! i like sichuan dialect the most,Lovely Sichuan dialect！最喜欢四川方言啦
10525,UgyAW1AQ8TcrsSJ4W_F4AaABAg,0,3 years ago (edited),lovely video - but you skipped the bit where you kill the pig. would be interested to see if you can make that appear serene and beautiful.,可爱的视频 - 但是您跳过了杀死猪的位。有兴趣看看您是否可以使它显得宁静和美丽。
19667,Ugx71AYPvGVMAhM8AB54AaABAg,0,3 years ago,"thank you for sharing with us these lovely videos. may god bless you, continue to provide for you, and keep you & your grandma safe and healthy. remember that he loves you.",感谢您与我们分享这些可爱的视频。愿上帝保佑您，继续为您提供服务，并确保您和您的奶奶安全健康。记住他爱你。
11008,Ugy4SRDcmz0tcnkReEp4AaABAg,0,3 years ago,"wondeful, lovely, peaceful, calming, soothing, beautiful, creative........",奇妙，可爱，和平，平静，舒缓，美丽，创造力........
19307,Ugw33KwAOIPiFFC7Fap4AaABAg,0,3 years ago,"love love lovely women angel 
like a dreaming","爱爱可爱的女人天使
就像一个梦想"
19262,Ugzm4OoUilenI4z8Yal4AaABAg,0,3 years ago,this was so lovely to watch. thank you for sharing your life with us ❤️,这真是太可爱了。感谢您与我们分享生活❤️
19098,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392Y3PgKjGuT,0,3 years ago,"welcome to china! i don’t know how to visit chinese little villages without knowing speaking mandarin( even so , a lot small villages can’t even speak mandarin) but still, it is muuuuch more interesting to visit small villages than big citys. i really hope to accompany you as i see you are such a lovely and positive lady",欢迎来到中国！我不知道如何在不知道讲普通话的情况下访问中国小村庄（即使如此，小村庄甚至无法说普通话），但是，访问小村庄比大城市更有趣。我真的希望陪着你，因为我看到你是一个如此可爱而积极的女士。
19036,UgzKRArmG6HsPSQFeUB4AaABAg,0,3 years ago,lovely video,可爱的视频
17846,UgxQAz3_kgT3zbHRsdV4AaABAg,0,3 years ago,amazing lovely indostrious beautiful angelic woman...liziqi.,令人惊叹的可爱的印度美丽的美丽的天使般的女人... liziqi。
941,UgxYlw4CqXUqmMLLZ6N4AaABAg,0,1 year ago,"so lovely women , nice and delicious eating",如此可爱的女人，美味可口的吃
16470,UgzIT6kqEDVKzHOyqJZ4AaABAg,0,3 years ago,lovely,迷人的
15700,UgxoW1ebE1qYZBNgF0N4AaABAg,0,3 years ago,lovely video! i wanted to both eat all the food and learn how to cook it!,可爱的视频！我都想吃所有的食物，并学习如何烹饪！
15532,UgyStwQavUqGAER6Ich4AaABAg,0,3 years ago,"beautiful video, lovely food!!",美丽的视频，可爱的食物！
15500,UgzlORsQR6JfNlDl1k94AaABAg,0,3 years ago,so lovely,好可爱
15404,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss97uvbghEZAu,0,3 years ago (edited),"that's a lot of manual labor for a fairytale, still the results are lovely and these videos are so relaxing, in some ways they remind me of my childhood home, it was simpler then...",这是童话般的手动劳动，结果仍然很可爱，这些视频在某些方面使我想起了我的童年家，那就更简单了...
15013,Ugz3-Q9R4H5VFLeX56Z4AaABAg,0,3 years ago,"i lovely your channel, congratulations",我很高兴你的频道，恭喜
14360,Ugz1IPbqws8gQ65lj0B4AaABAg,0,3 years ago,"just lovely ! i wanna live on that life ,,",只是可爱！我想生活在那一生中，
14310,UgyTRxcuTUPQlWXjMYB4AaABAg,0,3 years ago,she cooks well and eats well. this woman is lovely also.,她做得很好，吃得很好。这个女人也很可爱。
13332,UgzA7Y_b5jiuNb7O1nl4AaABAg,0,3 years ago,"she is such a treasure. but i have to say the ultra hd hyper realistic video quality almost takes away from an authentic visual of nature in real life, as you see it, which takes a wee bit off the lovely charm of seeing her videos . just saying!!",她是如此的宝藏。但是我不得不说，正如您所看到的那样，Ultra HD超级逼真的视频质量几乎可以从现实生活中的真实自然视觉效果中消失，这使观看她的视频的可爱魅力丝毫不可能。只是说！
12198,UgyPZR8FHanBZd8iCDd4AaABAg,0,3 years ago,wow! you're amazing! lovely garden vegetable,哇！你太棒了！可爱的花园蔬菜
11956,UgxsuHQpUMt9lI16FT14AaABAg,0,3 years ago,lovely and love u,可爱和爱你
11748,UgwWuFkQ1qoL6J-xwN14AaABAg,0,3 years ago,how nice if we can live in such a place like this and be as hardworking as she is.... lovely. she is gifted. she must have learnt a lot from her appoh... grandma...we are gifted too... we get the chance to watch these videos...,如果我们能住在这样的地方，并且像她一样勤奋。她有天赋。她一定从她的appoh中学到了很多东西...奶奶...我们也有天赋...我们有机会观看这些视频...
11543,Ugwx_jt01p6BaK3AA554AaABAg,0,3 years ago,lovely,可爱
34636,Ugxn3GffeKKbChLoB6d4AaABAg,0,3 years ago,"thanks for a new video!!
lovely !!","感谢您的新视频！
迷人的 ！！"
