,cid,votes,time,含super,含super中文翻译
24956,Ugz0gzWxt2T8PYtnZBN4AaABAg,18,3 years ago,"wow, this is super relaxing...",哇，这是超级放松的...
22477,Ugz9lA5uVrP8R6Mucet4AaABAg,15,3 years ago,"how aesthetically every frame is removed!
the operator is super","如何删除每个帧的美学！
操作员是超级"
34933,UgxtVJ5IFTQrlOzVRcR4AaABAg,15,3 years ago,"it's so good that the update is super fast, it is fun to see, people are beautiful and wise",太好了更新的超级快 ，看的过瘾，人美又有智慧
20449,UgyOxXJszmzjRywfQg54AaABAg,13,3 years ago (edited),what an incredible mother earth which gives everything for our survival.... what else we need ... still in the name of technology we destroying our planet.... super likes from india..for this angel girl...and for her cooking varieties...,多么令人难以置信的地球母亲为​​我们的生存提供一切。...我们还需要什么...仍然以技术的名义摧毁了我们的星球。因为她的烹饪品种...
22630,UgxE5SFQK0an5Va8sZl4AaABAg,11,3 years ago,super delicious noodles,超级美味的面条
30900,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8ytWCxtiBol,10,3 years ago,"bramha's astra well... that is what cooking is... its definitely not ""food eating"" or ""food storing""... putting together dishes doesnt need to be original or super creative. i really dislike how americans are looked down on on everything. im not saying american cuisine is anything impressive, weve been around for a handful of generations tbh and were all just bunch of cultural foods mixed together, but dont disrespect american chefs or food lovers that genuinely enjoy their creations...",布拉姆（Bramha）的阿斯特拉（Astra）很好...那就是烹饪...绝对不是“食物吃”或“食物存储” ...将菜肴放在一起不需要原始或超级创意。我真的不喜欢美国人如何看待一切。我并不是说美国美食令人印象深刻，我们已经待了几代人，只有一堆文化食品混合在一起，但不要不尊重美国厨师或食物爱好者，这些爱好者真正喜欢他们的创造...
3868,UgwH74kFciN1-IaiJ0B4AaABAg,10,2 years ago,i just amazed by how she use all the leaves vines ect as packing of food or rope while me struggling going to barware store or supermarket to buy so many plastic products...... 's touching me everytime when she show me the skills and wisdom of how to deal with nature. also i feel sorry that my grandparents are no longer able to pass on me their knowledge of how to use bamboo and traditional local dishes...... all of the short stay in rural area are shining memories to me.,我只是对她如何使用所有叶子葡萄藤作为食物或绳索的包装感到惊讶我们决定找到一所拥有大土地的房子，以创造像她家一样的维度。当她向我展示如何处理大自然的技能和智慧时，每次都会感动我。另外，我感到很抱歉，我的祖父母不再能够传递他们对如何使用竹子和传统当地菜肴的知识……在农村地区的所有短暂住宿都对我来说都是闪耀的回忆。
23801,UgyGl39WXphwFl8C38p4AaABAg,9,3 years ago,i super love the video; but i'm just wondering if she has a production team with her though? the video quality is really good.,我非常喜欢视频；但是我只是想知道她是否与她有生产团队？视频质量真的很好。
13367,Ugxf_s_q7Zn2Y0ooqNV4AaABAg,9,3 years ago (edited),"aside from the super oily cooking and sometimes too much sweet, everything else is perfection and inspiring. the nature, the mountains, the gardens, the ingredients, the natural environment including appliances, your incredible skill in everything, your strength, the creativity.. the angles, and the video editing..well done~
the sound capturing of every activities is also amazing.. almost like asmr. beautiful background music. relaxing and beautiful.
you potray what you had said.. to show where the food we eat comes from. the works behind it. and the variety of the nature.","除了超级油腻的烹饪，有时太甜了，其他一切都是完美和鼓舞人心的。大自然，山脉，花园，成分，自然环境，包括设备，您的一切都在一切方面，力量，创造力。
每个活动的声音捕获也很棒。几乎就像ASMR一样。美丽的背景音乐。放松和美丽。
您是您所说的话..以展示我们吃的食物来自何处。它背后的作品。以及自然的多样性。"
16351,Ugz-PxPeXDViQ__23cl4AaABAg.92w9T32MS-2930OeAjFVna,8,3 years ago,yeah it only took 10 minutes to do all that. super human.,是的，只需10分钟即可完成所有操作。超人。
34959,Ugy0icpBFE6xcCd5UKd4AaABAg,8,3 years ago,"i really want to eat it. when i was on a business trip on the mainland before this screw fan, i often eat superb.",好想吃，这个螺丝粉之前我在大陆出差的时候也常常吃超棒的
25868,UgxS3ja9DCqxVeYqzat4AaABAg,7,3 years ago,super cute ♡ ❤️,超级可爱♡❤️
13091,UgymypA6HinBBANUzuZ4AaABAg.95zW9zXKP0O96LUOgVmF9o,5,3 years ago,super jay she use tripod to create video,超级周杰伦，她使用三脚架创建视频
4349,UgyzNLitPWRTTdMT6rl4AaABAg,5,2 years ago,"my wife is from guangzhou china. so cute, lovely and super smart. i love china ~ ^0^",我的妻子来自中国广州。如此可爱，可爱和超级聪明。我爱中国〜 ^0 ^
33295,UgxMR6LIbUgNgGCiaKR4AaABAg,5,3 years ago (edited),"its astonishing how calming her videos are...simply amazing.... superb video quality all organic food... 
i wish i could live there...
great video. looking forward for the next upload","令人惊讶的是她的视频的平静……简直令人赞叹。
我希望我能住在那里...
很棒的视频。期待下一个上传"
1023,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9f6WOui7GJr,5,9 months ago,"@sais55 i just know that this channel was founded first and then the company asked her to hold a contract with her, but the contract super locomotive of li zi ran to the company's liziran owned the contract was not conforming to the contract and was deceived. it is so circulating on the internet, and i don't know if it is right.",@SAiS55 这个我刚好知道 这个频道是她先创立的 然后那个公司找她 和她牵了合同 但是合同超级机车 把有关li zi ran 这个使用权给公司 任何liziran 的都归公司所有 ，与liziran 之前和公司谈的合同不符 ，被骗了。网上是这么流传的，我也不知道对不对。
24386,Ugxhz2Zqy0iR1NB0qQZ4AaABAg,4,3 years ago,"it makes me feel good that even if i live in a city i can grow wild purslane (a super food) and other wild herbs like, epazote, and estafiate. also what we call a malice weed, dandelion, in reality, one of the most misunderstood super food and medicinal plant.",即使我住在一个城市，我也可以种植野生的皮lane（一种超级食物）和其他野生草药，例如，epazote和estafiate，这让我感到很好。实际上，我们称之为恶意杂草，蒲公英，是最误解的超级食品和药用植物之一。
23252,Ugx5VsnUwvV3aih37h14AaABAg.8znT4HyokJX9-6nMLMl7i_,4,3 years ago,"same, living that modern life has made us all lazy and weak. li is super women.",同样的是，现代生活使我们所有人懒惰和虚弱。李是超级女人。
3744,UgzxTV12bhXF8vqOm3F4AaABAg,4,2 years ago,"this is what you gotta watch when you’re feeling lazy about which drive through to go to for lunch, then, end up going to the supermarket and buying things to cook, then, feeling like you did something great by cooking, then, realizing you still really didn’t and how you have it so well off in comparison to what others do to make a meal, then, and finally then, you actually realize you’re not that well off since no matter how much easier it is to get things as quickly and easy as you do, this person here has so much more skills and rewards of feeling the feeling she must feel on a daily basis from always learning, doing and providing for her family, in this way. amazing!!! my goodness",这就是当您对哪个开车去吃午餐的懒惰时，您必须看着什么，然后，最终去超市买东西做饭，然后，感觉就像是通过烹饪做得很好，然后才意识到自己做得很好与其他人做饭相比，您仍然真的没有以及如何拥有它，然后，您实际上，您实际上意识到自己的状况并不顺利，因为无论多么容易，像您一样快速，轻松地获得事情，这里的这个人具有更多的技能和回报，感觉她每天都会以这种方式学习，做和为家人供养，她每天都必须感到自己。惊人的！！！我的天哪
23826,UgzsPObAb-0S4t-kTKN4AaABAg,4,3 years ago,super natural beauty/green land/organic/hard work,超自然美女/绿地/有机/辛勤工作
6324,UgyqJ-dwJ0rbNemgb194AaABAg,3,2 years ago,"damn, well, do i have such tears of joy, or from such a video, the creators of a big respect just super i watch in one breath. .",该死的，好吧，我有如此喜悦的眼泪，或者从这样的视频中，我一口气地观看了一个非常尊重的创作者。 。
31614,UgxlIGJXXNNrFdBALC54AaABAg.8yVA6raRS7Q8yV_GZRWY2M,3,3 years ago,"i think ziqi is super busy. she probably doesn't have enough time to take good care of her hair and skin. most of girls in sichuan where ziqi lives with good skin. i guess it's just about genetic background, climate(sichuan is surrounded by mountain and with less sunshine and more humidity ) and eating habit(a lot of vegetables, fruit and spicy food).",我认为Ziqi超级忙。她可能没有足够的时间来照顾自己的头发和皮肤。 Ziqi的大多数女孩在Ziqi的皮肤良好的地方。我想这只是遗传背景，气候（四川被山所包围，阳光更少，湿度更多）和饮食习惯（很多蔬菜，水果和辛辣食物）。
4633,UgyqlJVXVRBt5hYfviJ4AaABAg.9JC7ArXt6XW9JGiuzBAOkH,3,2 years ago,"are you sick, do you have any superiority to compete for a small kimchi under the snail powder video? so why don't you grab the new crown and fill your country's gap in the history of your country about the history of virus history",你是不是有病，在螺蛳粉视频下面争一个小泡菜有什么优越感吗，那么爱抢怎么不把新冠抢走填补一下你们国家关于病毒历史的空白
4193,UgxzU7-fJEVhcmVO_6J4AaABAg,3,2 years ago,"the snail powder is really a super favorite issue now. now that my sister is really improving, i really have improved! intersection",螺蛳粉真的是我超级喜欢的一期 现在看回来姐姐真的进步了超级多！！
8003,UgzPvgssniZDSIo3vsx4AaABAg,2,2 years ago,omg! she is super nd her hardwork is very well...finally she' s wonderful cooking also amezing...i like her all routine life....,我的天啊！她的辛勤工作非常好...最后，她的烹饪也很棒……我喜欢她所有的日常生活。
14487,UgxNQpH893KFveBdOml4AaABAg,2,3 years ago (edited),i think you are an absolutely beautiful young lady and i would love to taste you food. but i am not able to eat super spicy foods.,我认为您是一个绝对美丽的小姐，我很想品尝您的食物。但是我无法吃超级辣的食物。
27013,UgyJKoqLhmxxXRuA0W14AaABAg,2,3 years ago (edited),"it's good to see the chinese way of life the old traditions of cooking and that super large garden called the jungle the scenery is breathtaking nearly as much as liziqi i have never seen such a beautiful , stunning , radiant and graceful looking woman as her even in her wellington boots when she walks through the jungle. she is china's snow white and i do not mean to offend you if you've seen the cartoon movie you know what i mean i love watching your videos it shows a life alot different to mine the film footage is clear and sharp to the eye.",很高兴看到中国的生活方式烹饪的古老传统以及那个被称为丛林的超级大花园，风景的刺耳景色几乎和liziqi一样令人叹为观止，我从未见过一个如此美丽，迷人，令人惊叹，辐射和优雅的女人，甚至像她一样当她穿过丛林时，她的惠灵顿靴子。她是中国的白雪公主，如果您看过卡通电影，我并不是要冒犯你，你知道我的意思是我喜欢看你的视频，它显示出与摄影镜头不同的生活，这对眼睛清晰而敏锐。
13100,UgymypA6HinBBANUzuZ4AaABAg.95zW9zXKP0O96wAYvTi_dN,2,3 years ago,"super jay i think there’s a whole team behind her videos, the completion of those videos are just totally prefect, and it’s impossible for only one camera man and liziqi to do that.",超级杰伊（Super Jay）我认为她的视频背后有一个团队，这些视频的完成只是完整的，而且只有一个摄影师和利兹奇只能做到这一点。
16342,UgzF35ISRZZjEFD05Bt4AaABAg,2,3 years ago,her garden is better than supermarket near my house,她的花园比我家附近的超市更好
218,UgwcdY9hogRE2akKdr14AaABAg,2,2 months ago,living on the mountains with super strong beauty!,生活在山上独立性超级强的美女！
20607,UgxCBe9GXeP9WbQmPsx4AaABAg,2,3 years ago,super relaxing ❤,超级放松❤
22645,UgxS9qH-s7dLvlE-GY94AaABAg,2,3 years ago,"who will find a talented woman? her value is superior to pearl. the heart of a husband trusts in her, he will not lack benefit. all of her life makes her husband gain benefits, do not hurt. she looked for sheep's wool and thorns, lac-italy took her hand to do the work. she was like a merchant ship, she came back from afar. she woke up when it was still dark, gave food to her family members, and cut jobs for her servants. when she thought of a field, she could buy it; thanks to the fruit of her hands, she planted a vineyard. she strapped with force, and made her arms strong. she felt that her work was being beneficial; her lights did not go out at night. she put her hand on the spinning top, and her fingers held him down. she extended her hand to help the needy, raised her hand to meet the poor and needy. she was not afraid of her family being frozen in snow, because all the families were dressed in deep red fur. she took the blankets; her t-shirt made of fine red linen. at the gate of the city of her husband is known to them, when they sit with the elders of the land. she made a bra and sold it; also gave belts to traders. she put on strength and imposing, and when she thought of the next day, she laughed. she opened her mouth wisely, the merciful principle at her tongue. she takes care of the way of her house, and doesn't eat the bread of idleness. her children rise up, wish her blessed; her husband also rose, and praised her, saying, 
proverbs 31: 10-28 vb1925 
https://bible.com/bible/193/pro.31.10-28.vb1925","谁会找到一个才华横溢的女人？她的价值优于珍珠。丈夫的心信任她，他不会缺乏利益。她的一生都会使丈夫受益，不要伤害。她寻找绵羊的羊毛和刺，Lac-titary握住她的手做这项工作。她就像一艘商船，从远处回来。当天黑时，她醒了，给家人吃了食物，并为她的仆人裁员。当她想到一个领域时，她可以买到。多亏了她的手的果实，她种了一个葡萄园。她用武力束缚，使自己的手臂坚强。她觉得自己的工作是有益的。她的灯在晚上没有熄灭。她把手放在旋转的顶部，手指将他压低。她伸出手来帮助有需要的人，举起手来遇到穷人和有需要的人。她不怕家人在雪中冻结，因为所有家庭都穿着深红色的皮毛。她拿了毯子。她的T恤由精美的红色亚麻制成。当他们与土地长老坐在她的丈夫城市的大门上。她制作了胸罩并卖掉了。也给贸易商带来了腰带。她发挥了力量和强烈的态度，当她想到第二天时，她笑了。她明智地张开嘴，舌头上的仁慈原则。她照顾房子的方式，不吃闲散的面包。她的孩子起床，祝她祝福。她的丈夫也升起，称赞她，说，
谚语31：10-28 VB1925
https://bible.com/bible/193/pro.31.10-28.vb1925"
31518,UgxyEORnn2s8SpxTLbV4AaABAg,2,3 years ago,"ziyi will definitely have a super rich life in the future, but i think she will still like to do everything in person, hoping that zi yan will take care of her body! don't fight too much",子柒以后一定会有一个超级富有的生活，但我想她还是会喜欢亲自动手做每一件事情，希望子柒保重身体！不要太拼了
28614,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g90HTtd5dRkl,2,3 years ago,she is super amazing... “i,她非常了不起...
4026,UgyGXFz2hcbNz_dv0h54AaABAg,2,2 years ago,"in nepal, we call that bamboo root as tama. it is sour plus has a very good fragrance. here is a superstition that tama shouldn't be cut by the people having children as it is said that cutting the tama is like killing your son or daughter. so, only people who doesn't have child could cut them!",在尼泊尔，我们将那个竹根称为多摩。它是酸味加的香水非常好。这是一种迷信，认为生孩子的人不应该削减多摩，因为据说割草就像杀死您的儿子或女儿一样。因此，只有没有孩子的人才能割伤他们！
219,UgwFnrCKGenrDXYWZPJ4AaABAg,2,2 months ago,i am you super fan all the way from philippines ❤❤❤,我是菲律宾一路超级粉丝❤❤❤
4220,Ugz3awuBkd7Q4yftcK94AaABAg,2,2 years ago,you are super ! ! ! good luck ! ! ! thank you very much for this video ! ! ! ❤️,你很棒 ！呢呢祝你好运 ！呢呢非常感谢您的视频！呢呢❤️
33480,Ugxi62w6Jt8MlO_OpJl4AaABAg.8yUau3LzW8Y8yUrh9AWCnn,2,3 years ago,@superpayaseria ok thank you,@superpayaseria好的，谢谢
28674,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g92izS_H3e9M,1,3 years ago,"@franzpeters3824 you're funny bro. you don't have the right to demand others and speaking english doesn't equal to any superiority. please be respectful and don't say something like this next time, otherwise the only thing you get to learn is to merely judge people in front the screen. 别做杠精。",@franzpeters3824你是有趣的兄弟。您无权要求他人，说英语不等于任何优势。请尊重，下次不要说这样的话，否则，您唯一要学习的就是在屏幕前判断人们。别做杠精
11062,UgxruKSHZaKy67OCvLJ4AaABAg,1,3 years ago,"i'm so speechless. she is so talented. she is a master of gardening, cooking, sewing, making furniture such as bamboo sofa's. superb..",我很无语。她是如此有才华。她是园艺，烹饪，缝纫，制作竹沙发等家具的大师。超级..
10764,Ugzl50uLxzw_UGPFJiN4AaABAg,1,3 years ago,my mother’s dream is to harvest these fresh bamboo...the ones she gets from the supermarket smells and taste funny,我妈妈的梦想是收获这些新鲜的竹子……她从超市闻到的竹子和味道很有趣
3669,UgwlDeCG3ulWJEcgwG54AaABAg,1,2 years ago,it is super delicious,超级美味
10202,UgxbtMjMG0WcZeZHaVd4AaABAg,1,3 years ago (edited),i am curious who is shooting this while she does activities? if it’s her i am absolutely empresses with her cinematic scope!! what can’t she do? wow you are a superwoman!! and your grandmother’ hero!! one can only hope to have a child / grandchild this talented.,我很好奇谁在做活动时正在拍摄这件事？如果是她的话，我绝对是她的电影范围！她不能做什么？哇，你是一个超级女性！还有你祖母的英雄！一个人只能希望有一个有才华的孩子 /孙子。
10049,Ugzs5GeTNUcT0vo2mhZ4AaABAg,1,3 years ago (edited),"bamboo is amazing. it provides food, it can be used to make pipes, build shelters, make rugs, furniture, baskets, etc... and it grows super quickly, so if collected in reasonable amounts, its supply will never end.",竹子很棒。它提供食物，可用于制造管道，建造避难所，制作地毯，家具，篮子等...并且它会迅速增长，因此，如果以合理的数量收集，其供应将永远不会结束。
35248,UgzZL9pfT7T6op9uoMJ4AaABAg,1,3 years ago,all videos r super... i love u sis......,所有视频r超级...我爱你姐姐......
2343,UgwMaGWEbbL1Ps8wAyx4AaABAg,1,1 year ago,super to 65m who watched ... ah i repeated and keep watching even though it's been a long time ... because it's not boring ..,超级到65m的人看着...啊，我重复着看，即使已经很长一段时间……因为这并不无聊。
29000,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9GF1MZa0kr-,1,2 years ago,@franzpeters3824 does speaking english really make you feel you are superior to those who speak other languages? do you know people who can speak multiple languages talk to you in english just because you are able to speak english only? ignorance and prejudices made you lose your brain.,@franzpeters3824说英语真的让您觉得自己比讲其他语言的人优越吗？您知道可以说多种语言的人用英语与您交谈，只是因为您只能说英语吗？无知和偏见使您失去了大脑。
34001,UgyqNWQWEiTqYHBOni54AaABAg,1,3 years ago,"she builds, she cooks and a real beauty. she is a real life superwoman",她建造，做饭和真实的美。她是一个现实生活中的超级女性
18242,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92p4bU1ZxJO,1,3 years ago,@lucychan2822 food from the north are usually more hearty and dense so if you happen to have super wasp/vietnam-southasian-ish taste you prob won't enjoy those. but she cooks for her family--and what's the point of making modified pho or some psuedo og superfood bamboo salad when one could appreciate a good slurp of good ol' mifen? it's never about the food,@lucychan2822来自北方的食物通常会更加丰盛和稠密，因此，如果您碰巧拥有超级黄蜂/越南 - 南方风味，那么您可能会喜欢这些。但是她为家人做饭 - 当人们能欣赏好善良的好ol'Mifen时，做改良的pho或一些Superfood竹沙拉有什么意义？从来都不是关于食物的
8801,Ugyh00rlccPE1v2wQh14AaABAg,1,2 years ago (edited),"her ""supermarkets"" definitely everywhere. and even she walks much everyday, her calves didn't got bigger. still sexier than behati prinsloo's or gigi hadid's. awesome! ๐…๐…๐…",她的“超市”绝对到处都是。即使她每天都走很多，她的小腿也没有变大。仍然比Behati Prinsloo或Gigi Hadid更性感。惊人的！
8790,UgwF7HKuwUE8JOLeh0x4AaABAg,1,2 years ago,who shoots these videos?perfect timing! and she has everything nearby! just a smart marketing gimmik . this liziqi. for online brand! no woman is a superwoman like her!,谁拍摄这些视频？完美的时机！她附近有一切！只是一个明智的营销gimmik。这个liziqi。对于在线品牌！没有女人是像她这样的超人！
28806,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97tHT6iIWa4,1,3 years ago,"franz peters 
does speaking english make someone superior to another person?","弗朗兹·彼得斯
说英语会使某人优于另一个人吗？"
27129,UgzTvfehkX7r5SFaGMV4AaABAg,1,3 years ago,greetings from international superstar: nanning light zhou yinting,来自国际巨星：南宁之光周阴婷的问候
11582,UgxUyUQuaBIkftWoClB4AaABAg,1,3 years ago,"i often eat liuzhou snail powder in guilin. makyus, super pedas endul.","我在桂林经常吃柳州螺蛳粉 超喜欢哦。makyus, super pedas endul."
8443,UgzjvQOmyxlXB4eUceh4AaABAg,1,2 years ago,background music super,背景音乐超级
27022,UgyugoXs5jUSlaLH8zp4AaABAg,1,3 years ago,super,极好的
12165,UgxHWJpAgeuLCTsN3Pp4AaABAg,1,3 years ago,"relaxing life there, no rat race, no politics etc super good and healthy life living off the forest, coolest :d ""d 
what do you think?","在那里放松生活，没有老鼠种族，没有政治等，超级健康的生活，生活在森林旁，最酷：D” D
你怎么认为？"
3462,UgweM1YnN-XmOk11Inl4AaABAg,1,2 years ago,a superb cameraman. breathtaking views an every angle,一位出色的摄影师。令人叹为观止的视图每个角度
32084,UgwAyN9jApqHWGboo5F4AaABAg,1,3 years ago (edited),"animals are a full yard and never in any video is not visible that they are fed. supervision, fed dogs and cats! and not first of all, stuff your stomach !!!",动物是一个完整的院子，在任何视频中都看不到它们被喂食。监督，喂狗和猫！首先，塞满了你的肚子！！！
2351,UgyMUQ_GZVh-0ODFWfh4AaABAg,1,1 year ago,cooking good dishes are super may be i don't,烹饪好菜超级可能是我
26559,UgyYuf7IXwPqZ_xgZjF4AaABAg,1,3 years ago,this sister is super,这个姐姐是超级
33475,UgxloP2ft62aF1uYF9B4AaABAg.8yUawL81jcE8yUtao8yeEp,1,3 years ago,the giant super spicy bamboo shoots super spicy,巨大的超级辣竹芽超辣
33483,Ugxi62w6Jt8MlO_OpJl4AaABAg.8yUau3LzW8Y8yUx_0i5vhG,1,3 years ago,@superpayaseria love you,@superpayaseria爱你
13518,UgzG7pkLjmINEGdf9i94AaABAg,1,3 years ago,super cooking,超级烹饪
13819,UgwzEu7pbuLCUtcJLA94AaABAg,1,3 years ago,"you are a super woman amiga !!!!. your videos chapó. this specifically has wonderful music. thank you. a hug for you and your family from spain. how happy there in nature, how good !!!!!",你是一个超级女人的amiga !!!!您的视频Chapó。这特别有很棒的音乐。谢谢。从西班牙和您的家人拥抱。大自然有多幸福，有多好!!!!!
25462,UgzuLZq936O3CCFN6n54AaABAg,1,3 years ago,"when i am watching this videio, i just want to go to a chinese supermarket and buy a luosifen.",当我观看此视频时，我只想去一家中国超市购买luosifen。
