,cid,votes,time,含super,含super中文翻译
21071,UgzafY5rcsjlX78aOYd4AaABAg,8,3 years ago,when i watched this i feel stupid of myself even cooking fried chicken cant handle hahhaha.. such a genius super.....,当我看这件事时，即使煮炸鸡也无法处理哈哈哈，我也感到自己很愚蠢。
2635,UgyZ3q6ap-2iPQZR5dV4AaABAg.9XG_cHHUo9u9YviLxcStY2,7,1 year ago,ms. li's video production skills are superb.,李女士的视频制作技巧非常出色。
37356,UgzG5C_ih7AEjutI0x14AaABAg,7,4 years ago,u r sooooo super talented...from india with love..piu..wanna see more of such videos๐๐,你是超级才华的...来自印度的爱情.. piu .. wanna查看更多此类视频
33820,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48yTmeeXCYVX,6,3 years ago,"@kathaleenwood2426 thank you for your reply. even if i didn't know you in person, i can still understand how you feel. you're like a mother to me and i wish you happiness and good health as what i always pray for my parents.
i am a 23 year old lady from the philippines. me and my sister used to live in the province but since we need to go in college we moved in the city all by ourselves. after finishing college, the reality will suddenly hit you. this teached me a lot of lessongs in life.
now we are both working as an accountant but deep down in our hearts, we also know that this is not the true meaning of life. you work hard and pay your bills then repeat. life should be living with happiness, love, security and peace.
our time will come and this is only temporary. we will work hard for now to save money and buy farms in our native land.
our dream is to live again with our parents permanently after a decade. employ some local workers,aetas to be specific, and treat them as our own family.
aetas are one of the filipino tribes who live in the mountains. everybody thinks it will be easy to live in the mountains. dig, plant and harvest doesn't yield any assurance every harvest time since climate change happens. i emphatize them for begging money on the road during christmas day and other special holidays. this people will be my advocacy. 
i know i'm still young. but what i have learned is that in my country it is not enough that you are either physically capable of doing things or intellectually excellent to have a good job and understand the fast forwarding modern world. you should acquire both as superior people will surely take advantage of your innocence. imagine companies buying coffee beans from farmers at only 8 pesos per kilo (1 us dollar = 50-54 pesos). 

i will strive harder everyday and make other people live a life the way it should be. i want to have a purpose in life and reconnect with the nature once again during my retirement years :)","@kathaleenwood2426感谢您的答复。即使我不亲自认识您，我仍然可以理解您的感受。您就像我对我的母亲一样，祝您幸福和身体健康，因为我一直为父母祈祷。
我是来自菲律宾的23岁女士。我和我的姐姐曾经住在该省，但是由于我们需要上大学，所以我们独自搬到了这座城市。大学完成后，现实将突然袭击您。这教会了我生活中的很多少数。
现在，我们俩都在为会计师工作，但内心深处，我们也知道这不是生活的真正含义。您努力工作并支付账单，然后重复。生活应该以幸福，爱，安全与和平生活。
我们的时间会到来，这只是暂时的。我们现在将努力省钱，在我们的祖国购买农场。
我们的梦想是在十年后与父母永久与父母一起生活。雇用一些当地工人，特定的AETA，并将其视为我们自己的家庭。
Aetas是住在山上的菲律宾部落之一。每个人都认为住在山上很容易。自气候变化发生以来，挖掘，植物和收获并不能在每次收获时间中获得任何保证。我强调他们在圣诞节和其他特殊假期期间在路上乞讨钱。这个人将是我的倡导。
我知道我还很年轻。但是我了解到的是，在我的国家，您要么身体上有能力做事，要么在智力上出色地做好工作并了解快速转发的现代世界是不够的。您应该获得两者，因为高级人士肯定会利用您的纯真。想象一下，公司从农民那里购买咖啡豆，每公斤仅8比索（1美元= 50-54比索）。

我每天都会更加努力，使其他人按照自己的生活生活。我想在我的退休年中重新与大自然重新建立目标：)"
45807,UgzFNynPolBMfBTg9BN4AaABAg,6,4 years ago (edited),super like,超级喜欢
6324,UgxpwBzT_d-M7-2bryR4AaABAg,6,2 years ago,"b.e.s.t f'u'l'l'l d.a.t.i.g h.o.t g.i.r.l's
-e-r-t-i-c---. ❤️ 垃圾
private snap: ️⤵️ trending top 2021
hotlove.monster/nudebrunettesnice433xxx

√ ™ lorsqu'une pilule qui donne aux utilisateurs cinutes de super pouvoirs inattendus arrive dans las rues dee

√ ™ must unite with a former soldier to destroy the group, √ ™ responsible for its creation","b.e.s.t f'u'l'l'l d.a.t.i.g h.o.t g.i.r.l
-e-r-t-i-c ---。❤️垃圾
私人快照：️⤵️趋势前2021年
hotlove.monster/nudebrunettesnice433xxx

√™Lorsqu'une Pilule qui donne aux litilisateurs cinutes cinuts d de super pouvoirs inttendus inattendus到达dans las lues rues dee

√™必须与一名前士兵团结起来摧毁该小组，√™负责其创建"
19580,UgxTQM4kUU8tXlMhUch4AaABAg,5,3 years ago,li ziyi is superb! intersection intersection chong duck! intersection intersection,李子柒超棒！！！冲鸭！！！
15620,UgxTaUm27lABHJq4Pul4AaABAg.99QkHLfSHD_9AJ-vF4gRjG,5,2 years ago,"this kind of life is super hard, and besically impossible to homestead by yourself like she ""shows"" . only big family well trained could reach that kind of natural rythm",这种生活非常艰难，而且就像她的“表演”一样，您自己不可能自己居住。只有大家庭训练有素才能达到这种自然的节奏
10991,UgzVXwN2Sk-mZ8X4ecJ4AaABAg,5,2 years ago,"if you are new here, here is absolutely everything you need to know about liziqi ( li ziyi ): 

in 1990, li ziyi fell to the ground in mianyang, sichuan. her parents divorced when she was very young. later, her father died, and li ziyi became an orphan. his stepmother didnโ€t treat her well. li zizhen mentioned on weibo that he had had a half-dead experience when his stepmother dragged her hair into the gutter and was beaten. 

grandpa and grandma distressed granddaughter, and finally decided to take li ziyu home and live. when li ziyi was in fifth grade, his grandfather died again, and it was difficult for his grandma to raise her to continue school. at the age of 14, li ziyi had to drop out of school and go to the city alone to work hard, and began an 8-year wandering life. her first life was very hard. she slept in a park chair and scratched her head for two months. 

li ziyi has also worked as a waiter in a hotel, with a monthly salary of 300 yuan. in order to earn more income, she went to learn to play discs and sang in the bar. later, when talking about the matter, li zizhen frankly said: โ€i didnโ€t say that i liked music at that time, just to live, i felt that it was well paid.โ€ 

in 2012, because grandma was ill once, li ziyi was worried that she would regret it later, throwing away all work and returning to grandma. โ€being closer, i feel more at ease.โ€ 

after returning, li ziyi opened a taobao shop, but the business has been up and running, and he barely eats. in 2015, under the influence of his younger brother, li ziyi was exposed to the short video platform meipai. until 2016, seeing that his younger brother had some fans on meipai, and holding more fans can improve the mentality of taobao business, li ziyi re-entered meipai to prepare for his own video program. 

the reason why she chose to shoot videos in this style is closely related to her childhood environment. 

in an interview with the living room of sina club, li ziyi mentioned, โ€all these things that are self-sufficient in the countryside, for me, they are jealous. in the short video, she chose to start from the most familiar places. 

in the beginning, li ziyi gave himself a topic called โ€four seasons change, eat while you eatโ€. after the suggestion of meipai editor, it became โ€ancient foodโ€ and it is still used today. 

in september 2016, a new opportunity came quietly, which also became an important promoter for li ziyu to get more attention in the future. sina weibo began to openly search for more outstanding short video creators for resource support. 

as mentioned at the beginning of the article, liu tongming brought her weibo resources support. 

one day in september 2016, li feng, an ancient short video blogger, accidentally received a private weibo message from โ€mr. lโ€. mr. l expressed his love for li ziyuโ€s video content, felt that he had fulfilled his taoyuan dream, and hoped to meet her. 

for a long time after that, li ziyi received mr. lโ€s private letter. โ€it would be a shame for such a good video to let this person see it. this is uschinaโ€s proud traditional culture should be seen by people in china and around the world. โ€mr. l said in a private message. 

at first, after seeing these private messages, li ziyi didnโ€t care too much, even worrying about encountering a liar. until one day, mr. l came to the city where li zizhen was, and wanted to ask her to have a meal and talk. mr. lโ€s politeness and clear logical thinking made li slowly drop his initial alert. 

this accidental meeting has completely changed the life trajectory of li zizhen. not long after the meal was over, with the help of mr. l, li zizheng was supported by a large wave of resources on sina weibo, accelerating her popularity and allowing li zizhen to rush into the queue of the net influencer on the head. 

this experience is partly recorded in a diary of li zizheng that year. some insiders close to the senior executives of weinian technology confirmed to tencentโ€s โ€shenwangโ€ that the โ€mr. lโ€ is actually liu tongming, and his pseudonym was publicly reported. daxiong liu, the founder of wei nian technology, an mcn company to which li zizhen now belongs. 

on december 8th, the reading volume of a weibo topic labeled โ€is li ziyi a cultural outputโ€ climbed to 800 million. li zizheng was once again on the hot search list. 

the video created by li ziyi and her has become a phenomenon worthy of study now. 

extensive overseas communication is an important reason for li zihuanโ€s renewed attention. some people say that she has filmed a desirable rural life and spread the charm of traditional chinese culture and cuisine. others think that her video is not completely true to reflect chinaโ€s rural life. 

even the queries that have been popular since the explosion have been brought up again, such as being a dj, being a rich second generation, whether the video is from my own hands, is there a strong push behind it, and the video is true for rural life itโ€s still just a fiction for character setting. 

an insider of weinian technology told tencentโ€s โ€deep webโ€ that li ziyi was of ordinary origin, and the relevant video content was produced by li ziyi himself. the popularity was not the initiative of the company and himself. in fact, both li zihuan and the micro-reading team behind him were quite low-key, and they were very enthusiastic and declined all the current interview needs. 

until august 17, 2018, li ziyiโ€s eponymous tmall store officially opened. six days after going online, the store with only five products at that time had sales of over 150,000 and sales of over 10 million. a year later, the total sales of 21 products displayed in the li zizhen flagship store exceeded 1.3 million, with total sales reaching 71 million. 
the value behind li ziyiโ€s ip is being quickly tapped. 

li ziyi started from scratch and gained the first fans with his own strength. but now the popularity and gains of fame and fortune are obviously no longer just her achievements. 
according to tianyan search, โ€deep webโ€ shows that mcn hangzhou weinian technology co., ltd., which li ziyi belongs to, was established on february 28, 2013, with a registered capital of rmb 5.208 million. according to the introduction, wei nian is an entertainment entertainment company that incubates kol into ip through short videos and extends to consumer brands. 

the information of qixinbao shows that there are more than 100 pieces of intellectual property information of the trademark โ€li zihuanโ€. the applicant companies are hangzhou weinian technology co., ltd. the product categories include food, clothing, shoes and hats, dyes and fats, beer and beverages, financial property management, catering and accommodation. 

not only that, wei nian also has inextricable links with li ziyuโ€s companies. 

according to the eye inspection, li jiajia (should be the original name of li ziyu) established sichuan ziyu culture communication co., ltd. on july 20, 2017, and wei nian is its shareholder, holding 51% of the shares. supervisor, li jiajia holds 49% of the shares. 

according to other data, there are as many as 50 beneficiary companies behind hangzhou weinian technology co., ltd., including greenland holdings, zte, xinhua media, vanke, light media, etc. . 
among the shareholders of weinian technology, sina weibo is particularly eye-catching. 

from wei nian technology to sina weibo, li ziyi gradually has the best cards that internet celebrities are looking forward to. 
in her own words, she changed from โ€a little transparent to a person who is so useless to societyโ€. after entering the public view and being noticed by more people, li ziyiโ€s sense of responsibility has also become heavier. 
โ€i want to do what i can to do more things that are good for society, such as the spread of traditional culture, non-heritage cultural craftsmen, and i want to show these old things to everyone so that more people know. li ziyi said. 

source: https://www.ww01.net/en/archives/33757","如果您在这里是新手，那么这绝对是您需要了解的有关Liziqi（Li Ziyi）的一切：

1990年，李齐伊（Li Ziyi）跌倒在四川米扬（Mianyang）。她的父母很小的时候就离婚了。后来，她的父亲去世了，李齐伊成为孤儿。他的继母对她不好。李·齐兴（Li Zizhen）在微博上提到，当他的继母将头发拖入排水沟并被殴打时，他有半死的经历。

爷爷和奶奶使孙女感到沮丧，最后决定带李Ziyu回家。当李齐伊（Li Ziyi）五年级时，他的祖父再次去世，他的祖母很难抚养她继续上学。李齐（Li Ziyi）在14岁时不得不辍学，独自去城市努力工作，并开始了八年的流浪生活。她的第一人生非常艰难。她睡在公园椅上，挠头两个月。

Li Ziyi还曾在酒店担任服务生，每月薪水为300元。为了赚取更多的收入，她去学习演奏唱片并在酒吧里唱歌。后来，在谈论此事时，李·齐兴（Li Zizhen）坦率地说：“我不是说当时我喜欢音乐，只是为了生活，我觉得这是付出的。”

2012年，由于奶奶曾经生病，李齐伊（Li Ziyi）担心她后来会后悔，扔掉所有工作并返回奶奶。 “靠近，我感到更加放松。”

返回后，李Ziyi开了一家淘宝商店，但业务一直在运行，他几乎没有吃饭。 2015年，在他的弟弟的影响下，李齐伊（Li Ziyi）接触了短视频平台Meipai。直到2016年，看到他的弟弟在Meipai上有一些粉丝，并且拥有更多的粉丝可以改善淘宝业务的心态，Li Ziyi重新进入Meipai，为自己的视频节目做准备。

她之所以选择以这种风格拍摄视频与她的童年环境密切相关的原因。

李·齐（Li Ziyi）在接受西那俱乐部（Nina Club）的客厅采访时说：“所有这些在农村自给自足的事情，对我来说，它们嫉妒。在简短的视频中，她选择从最熟悉的地方开始。

一开始，李齐伊（Li Ziyi）称自己为“四个季节变化，吃饭时吃饭”。在Meipai编辑的建议之后，它变成了“古老的食物”，并且今天仍然使用。

2016年9月，一个新的机会悄悄地出现了，这也成为李Zyu将来更加关注的重要推动者。 Sina Weibo开始公开寻找更多出色的简短视频创建者以获得资源支持。

正如文章开头所述，刘·汤明（Liu Tongming）为她带来了微博的资源支持。

2016年9月的一天，古老的简短视频博客作者Li Feng意外收到了“先生先生的私人微博消息”。 L”。 L先生表达了对李Ziyu的视频内容的热爱，觉得他已经实现了他的作陶王的梦，并希望与她见面。

此后很长一段时间，Li Ziyi收到了L先生的私人信。 “这样一个好视频让这个人看到它是可惜的。这是中国和世界各地的人们应该看到USCHINA骄傲的传统文化。 “先生。我在一条私人消息中说。

起初，在看到这些私人消息后，李Ziyi并不在乎太多，甚至不必担心遇到骗子。直到一天，L先生来到了李·齐兴（Li Zizhen）所在的城市，并想请她吃饭和聊天。 L先生的礼貌和清晰的逻辑思维使李慢慢地放弃了最初的警报。

这次偶然的会议彻底改变了李·齐兴（Li Zizhen）的生活轨迹。用餐结束后不久，在L先生的帮助下，李·Zizheng（Li Zizheng）得到了Sina Weibo的大量资源的支持，加快了她的知名度，并允许Li Zizhen赶到头部网络影响者的排队。

这种经历部分记录在那年的李Zizheng日记中。一些与温尼安技术高级管理人员接近的内部人士证实了腾讯的“申旺”，即“先生先生L”实际上是刘·汤明（Liu Tongming），他的化名是公开报道的。 Wei Nian Technology的创始人Daxiong Liu是Li Zizhen现在属于的MCN公司。

12月8日，一个标有“是文化产出”的微博主题的阅读量攀升至8亿。李Zizheng再次在热门搜索列表中。

Li Ziyi和她创建的视频现在已成为一个值得研究的现象。

广泛的海外沟通是李齐伊安（Li Zihuan）重新关注的重要原因。有人说她已经拍摄了理想的乡村生活，并传播了中国传统文化和美食的魅力。其他人则认为她的视频并非完全正确地反映中国的乡村生活。

自从爆炸再次提出以来一直很受欢迎的疑问，例如成为DJ，成为富人的第二代，无论是我自己的视频，是否有强烈的推动力，视频是真的对于农村生活，这仍然是角色环境的小说。

Weinian Technology的一位内部人士告诉Tencent的“ Deep Web”，Li Ziyi是普通的，相关的视频内容是由Li Ziyi本人制作的。受欢迎程度不是公司和他本人的倡议。实际上，他背后的李·齐伊安（Li Zihuan）和微读团队都非常低调，他们非常热情，拒绝了当前的所有采访需求。

直到2018年8月17日，Li Ziyi的同名TMALL商店正式开业。上网六天后，当时只有五种产品的商店的销售额超过150,000，销售额超过1000万。一年后，李Zizhen旗舰店展示的21种产品的总销售额超过130万，总销售额达到7100万。
Li Ziyi的IP背后的价值正在迅速挖掘。

Li Ziyi从头开始，并以自己的力量获得了第一批粉丝。但是现在，声名和财富的受欢迎程度和收益显然不再只是她的成就。
根据Tianyan Search的说法，“ Deep Web”表明，Li Ziyi属于的McN Hangzhou Weinian Technology Co.，Ltd。于2013年2月28日成立，其注册资本为5.208亿元。根据引言，Wei Nian是一家娱乐娱乐公司，通过简短的视频将KOL孵化为IP，并扩展到消费者品牌。

Qixinbao的信息表明，商标“ Li Zihuan”有100多种知识产权信息。申请人公司是Hangzhou Weinian Technology Co.，Ltd。产品类别包括食品，服装，鞋子和帽子，染料和脂肪，染料和脂肪，啤酒和饮料，金融物业管理，餐饮和住宿。

不仅如此，Wei Nian还与Li Ziyu的公司建立了不可忽视的联系。

根据眼睛检查，李亚吉亚（应该是李祖的原始名称）于2017年7月20日成立了四川Ziyu文化传播公司有限公司。主管Li Jiajia持有49％的股份。

根据其他数据，Hangzhou Weinian Technology Co.，Ltd。的背后有多达50家受益公司，包括Greenland Holdings，ZTE，新华社媒体，Vanke，Light Media等。
在Weinian技术的股东中，Sina Weibo特别引人注目。

从Wei Nian Technology到Sina Weibo，Li Ziyi逐渐拥有互联网名人期待的最佳卡片。
用她自己的话说，她从“有点透明变成了一个对社会无用的人”。在进入公众观点并被更多人注意到之后，李齐的责任感也变得更加重。
“我想尽我所能，做更多对社会有益的事情，例如传统文化，非遗产文化工匠的传播，我想向所有人展示这些旧事物，以便更多的人知道。李Ziyi说。

资料来源：https：//www.ww01.net/en/archives/33757"
25150,UgzZExPLbl7eijwpUHN4AaABAg,4,3 years ago,lord! there are no words of emotions. everything is just super.,主！没有情感的话。一切都是超级。
30630,UgwBxxvSNnIa4c9cBxh4AaABAg,4,3 years ago,"oh god what a climate, her cooking simply super",哦，天哪，她的烹饪只是超级
14615,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9AgqP_Zcrzo,4,2 years ago,"@user-ce5xg9ko6m ohhahaha, the title of the film is really good, from time to time, you have to come and look at it. it's too delicious. look at the big screen super comfortable. the heroine should win the academy award.
7 brothers vividly and appropriate text descriptions are particularly powerful. essence essence princess qi is coming to take this person into the team and play.","@user-ce5xg9ko6m 呵呵哈哈哈，片名取得真好，时不时就要来重看一下的，太有滋味了这部，看大屏幕超舒心，女主角很该得奥斯卡奖的
7兄生动贴切的文字描述特厉害。 。 。柒公主快来将此人揽入团队效力呀"
32918,UgxD0wxxjIclMKUOl6d4AaABAg.8vaxRcrRtwq8viVWAgaP9j,3,4 years ago,"a potato who defines herself as mooblink 
i experienced it when i was a child. the sound of ""peng"" is super loud and scary. hahaha, this is the traditional physics ""popcorn"".","将自己定义为mooblink的土豆
我小时候经历了它。 “彭”的声音超大而恐怖。哈哈哈，这是传统的物理“爆米花”。"
32616,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8wx8ju7uqYK,3,3 years ago,"frydac definitely bot simple, you are right. this lady saying it's simple, must be crazy๐ i don't find anything simple, everything has a level of complexity in it, the video making, and not to mention all the cooking, and every day chores. it might look like a simple country life, not fancy, but yet so busy life, they don't go to the super market and buy almost anything. they make it. god bless those people and the girl for taking the time in making this video. that's the life i aim to live in few years.",Frydac绝对简单，您是对的。这位女士说这很简单，一定是疯狂的。它看起来像是一种简单的乡村生活，而不是花哨的生活，但是如此繁忙的生活，他们并没有去超级市场购买几乎任何东西。他们做到了。上帝保佑那些人和女孩花时间制作这部视频。那是我打算在几年中生活的生活。
17096,Ugxqzu_rPZDgHsMeHud4AaABAg,3,3 years ago,the dog shaped oven with a bone shaped door cover...brilliant and super cute!,狗形烤箱带有骨头的门盖...辉煌而超级可爱！
34800,Ugwvxp9o_f1MlqGz26l4AaABAg,3,4 years ago,this is the real fairy! super immortal and versatile fairy!,这才是真正的仙女下凡来着！超仙气又多才多艺的仙女！
23033,UgxrfKUw4S1nzLc9Gvt4AaABAg,3,3 years ago,"when i was young, my mother (sichuan) also started preparing dry goods in the new year for a long time, but now i bought it in the supermarket.",小的时候我妈妈在家（四川）也是过年提前好久就开始准备干货，不过现在都在超市买的
43384,UgwmxmKBaIuQB8S-VR94AaABAg,3,4 years ago,very beautiful!!! thank you! you are super mega cool !!!,很漂亮！！！谢谢你！你很酷！！！
9674,UgxHa3Sx6s4K9AiwRO94AaABAg,3,2 years ago,just well done! super!,做得好！超级！
9268,Ugy4zt3HCNoV4R9JZHN4AaABAg,3,2 years ago,seeing sheep and dogs are super cute,看到羊跟狗狗跟着走超可爱
21767,Ugw1YJntTkCmvrWq1jV4AaABAg.93Lidwt3ONp93UMCPn4Ybc,2,3 years ago,"yeah, i m ashame of my life too. shes a superwoman",是的，我也是我一生的able。她是一个超人
49269,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9DmEtK2MHJe,2,2 years ago,"@allisgoodallisbad why not. the european luxury products prices are so exorbitant. the mjr costs derived from astronomical pay to media ads, super models & celebs endorsements. while the products made in bangladesh, india, cambodia ...
her products, design, ingredients are made in china. she's a super model & celeb herself, trained & paid by herself. let say how much some pr companies would pay her to influence voters with chinese heritage in australia, america, canada, uk, ... election campaigns. in fact, the conservative parties deployed chinese speakers to carry the battle on tweeter, fb, instagram, wechat social media in recent australian federal election late last yr. she may wield tremendous power to boycott certain product sales in china & perhaps beyond china. 
what would louis vuiton share price would be if she wears its product while cooking & caring her nana. china is the greatest nation as louis vuiton. asia excluding japan account for 29% louis vuiton market & growing fast.
somebody pls advice liziqi do not wear or show any brand lightly. tiger wood could earn billion usd just for endorsement on nike.","@allisgoodallisbad为什么不。欧洲奢侈品价格如此高昂。 MJR成本来自天文工资，媒体广告，超级模特和名人代言。虽然产品在印度孟加拉国生产的柬埔寨...
她的产品，设计，成分是在中国生产的。她自己是一个超级模特与名人，自己受过训练和付款。假设有多少公关公司会付钱给她，以在澳大利亚，美国，加拿大，英国，...竞选活动中使用中国遗产来影响选民。实际上，保守党部署了中国发言人，在最近一年后期最近的澳大利亚联邦大选中，在高音扬声器，FB，Instagram，微信社交媒体上进行战斗。她可能会发挥巨大的权力来抵制中国乃至中国以外的某些产品销售。
如果路易斯·维顿（Louis Vuiton）的股价在烹饪和关心娜娜（Nana）时享用其产品。中国是路易·维顿（Louis Vuiton）的最伟大国家。亚洲不包括日本的路易·维顿市场29％，并迅速增长。
有人建议Liziqi不会佩戴或轻轻地显示任何品牌。老虎伍德可能会赚取10亿美元，仅仅是为了认可耐克。"
50793,UgyhoMbM5B-LcrTMRMd4AaABAg,2,4 years ago,first time knowing how tanghulu was made. happy chinese new year supergirl!,第一次知道坦格鲁是如何制作的。中国新年快乐超级女孩！
28746,UgxU9I_wF037Up6dC6d4AaABAg,2,3 years ago,those little babies are super cute.... awww,那些小婴儿超级可爱.... awww
17860,UgxZKF6jGg3JqrU4sIp4AaABAg,2,3 years ago (edited),"i have a chestnut tree in my yard! we collect and roast them every year. ~ good choice to use a tong type tool to get them out of the shell, those things are super prickly!",我的院子里有一棵栗树！我们每年都会收集和烤。 〜最好选择使用Tong型工具将它们从外壳中取出，这些东西超级刺！
31163,Ugz9CENtduCnTp74aKR4AaABAg,2,3 years ago,everything is so perfect and she super perfect๐‘๐โค๏ธ,一切都是如此完美，她超级完美
