,cid,votes,time,含girl,含girl中文翻译
47093,UgzfVM2xoQeYFYLSx8x4AaABAg,75,4 years ago,"hahaha has a shot and put back many times by me: when the popcorn is going to explode, zi zi zhe ran away quickly and covered her mother -in -law's ears and was afraid that she was scared. as a result, i was scared to jump. a weak girl also wanted to protect her mother -in -law, cute mother -in -law, beautiful and kind zi yan, hoping her mother -in -law to be healthy!",哈哈哈 有一个镜头被我回放好多遍： 爆米花要爆炸时子柒笨笨的飞快跑去捂着婆婆耳朵怕她被吓着，结果自己被吓得跳起来，好可爱呀。 一个弱小的女孩还想着去保护婆婆，可爱的婆婆，美丽善良的子柒
21222,UgzU8EfG12_tYDCexlh4AaABAg,70,3 years ago,"it's like watching and historical drama with soothing music and deep down she seems like a special girl...sticks tot the traditional way... for some reason, although she didn't say anything just do her work it means she's focusing and confidence of her ability....its really good to watch...sooo calming",这就像看着和历史戏剧，充满舒缓的音乐，深处她看起来像个特殊的女孩...以传统的方式粘贴在一起...由于某种原因，尽管她什么都没说，但她的工作没有做任何事情，这意味着她正在集中精力和自信她的能力....真的很好看...太平静了
32980,UgytxdEvkOgBuBCs6CN4AaABAg,69,4 years ago,so this is literally harvest moon back to nature girl edition ๐‘ฉโ€๐พ,所以这实际上是收获月亮回到自然女孩版
32174,Ugw98zMUT5-2W4KP6xF4AaABAg.8vxydkDtngx8w2IW-qYR_M,65,4 years ago,iโ€d turn it 180ยฐ to marry this girl,我会把它转180°嫁给这个女孩
29927,Ugzqygpa7z5-mKY8azh4AaABAg,63,3 years ago,"i really love the nature around you so much, wonderful girl

wish you good health!","我真的很喜欢你周围的大自然，很棒的女孩

祝你身体健康！"
46558,UgxR2ZXCkTAfDHvb0et4AaABAg,56,4 years ago,why do i feel suddenly want to cry watching this beautiful girl work out on all that foods??,为什么我觉得突然想哭泣看着这个美丽的女孩在所有食物上锻炼呢？
45196,UgwkDPqmPWCWdXCPOo14AaABAg,55,4 years ago,beautiful girl and chinese culture ❤️,美丽的女孩和中国文化❤️
14512,UgyJkhMiaXH04REetKp4AaABAg,55,2 years ago,"girl zi, you are great! your video is exquisite and real, which inspires my memories as the chinese. for thousands of years, our ancestors have been diligent and capable like you, and they are working hard, sunrise, and chunhua qiu shi ... i hope that the chinese can return to the original origin of life. one day, oriental civilization returns.",子柒姑娘，你太棒了! 你的视频精致而又真实，激发了我作为中国人的回忆。几千年来，我们的祖祖辈辈就是象你这样勤劳、能干，日出而作，春华秋实…… 希望中国人能回归生活的本原，有朝一日，东方文明回归。
28540,UgyK7Z_kq1QFfkrjgZN4AaABAg,53,3 years ago,"beautiful girl!!! she can do anything, this is so good, i like that ๐๐๐",美丽的女孩！！！她可以做任何事情，这太好了，我喜欢
25348,UgwJVpehKaKELcdYy8p4AaABAg.9-RhCpaDX1W902RsjUdBuk,50,3 years ago,"@sonnen-bogenmensch8694 my life is good and i love ziqi's videos. if it was show it would not matter to me, i would still love the message and warmth she sends. but i believe ziqi's heart is good and that is enough for me. beautiful girl with a sweet grandma making down to earth videos, what's not to love? i think my friend you need to check your own life and see why your so unhappy and attack others for being happy. take care.",@sonnen-bogenmensch8694我的生活很好，我喜欢Ziqi的视频。如果显示出对我来说并不重要，我仍然会喜欢她发送的信息和温暖。但是我相信Ziqi的心是好的，这对我来说就足够了。美丽的女孩，有一个甜美的奶奶播放地球视频，什么不爱？我认为我的朋友您需要检查自己的生活，看看为什么您如此不开心并攻击他人快乐。小心。
52032,Ugzdk1HPTpfp3h7txhl4AaABAg,47,4 years ago,"know what i like most about her style of living? the only plastic products i see are her toothbrush and the bags. everyone is bitching and moaning how much plastic is polluting our environment, yet not a damn thing is done; except, this girl is living with minimal plastic. she got my utmost respect and love.",知道我最喜欢她的生活方式吗？我看到的唯一塑料产品是她的牙刷和袋子。每个人都在bit子和抱怨塑料多少污染我们的环境，但没有该死的事情。除此之外，这个女孩的塑料最小。她得到了我的最大尊重和爱。
30289,Ugy6JrTPht_jLiRRDm94AaABAg,46,3 years ago,there are not so many girls like her nowadays. a hard working girl and i'm really imprrssed with the way picking up 2 basket full of fruits is impressive. salute for girl like her,如今，没有那么多女孩。一个努力工作的女孩，我真的很不满意，因为捡起2个装满水果的篮子的方式令人印象深刻。像她一样向女孩致敬
31990,UgxoZwaSr0HRmhoQL-54AaABAg,44,4 years ago,seriously girl.... is there anything you can't do?? love your videos ๐‘๐‘,认真的女孩....你有什么你不能做的吗？爱你的视频
35315,UgxZ97A7Jb-DjGDgjzF4AaABAg,41,4 years ago,"the music is from digimon!!!! thats why is so nostalgic and amazing for everyone!!! is the epic part when somethimg amazing happend in the episode!
this girl is so clever but me moooreee 
insta teddygarsa","音乐来自Digimon ！！！这就是为什么对每个人都如此怀旧和惊人的原因！！！当Somethimg在这一集中出现惊人时，是史诗般的部分！
这个女孩是如此聪明，但是我
Insta Teddygarsa"
4985,Ugxug93oZ6xYah9Kh-94AaABAg,35,1 year ago,"next to my mother, liziqi is my role model. the girl who help me a lot to fight my depression and laziness. i'm very thankful that i found your channel, you're an angel..",在我母亲旁边，利兹奇是我的榜样。那个帮助我与我的沮丧和懒惰作斗争的女孩。我非常感谢我找到了您的频道，您是天使。
16889,UgxaNn7e91UyEhrSphh4AaABAg,34,3 years ago,"that popcorn device is so old school. i remember as a kid once in a few days these popcorn man will come in the neighbourhood like ice cream truck , everyone is so excited. girls are hiding behind boys when the machine pops",那个爆米花设备是如此古老。我记得几天小时候，这些爆米花男子会像冰淇淋卡车一样进入附近，每个人都很兴奋。当机器弹出时，女孩躲在男孩后面
45333,UgwA3tbrbc7jlGRBkSt4AaABAg,33,4 years ago,"a great video, you don't have to learn it, just watch it quietly, you have a good pressure effect. thank you, a beautiful and serious girl!",好棒的视频，不一定要跟着学，只需静静的看，就有很好的舒压效果。谢谢您，美丽而认真的女孩！
45109,UgyJgsDlPebcN5HbriZ4AaABAg,33,4 years ago,wanted to cook something...but instead i ended up looking at this beautifull girl for more thank 2 h! 'm just in love with this channel! congrats,想煮一些东西...但是我最终看着这个美丽的女孩，更多地感谢2小时！
12854,UgzaynMUyEnzlo5p4cl4AaABAg,32,2 years ago,she is a talented young girl she has a bright future,她是一个才华横溢的年轻女孩，她的未来有光明
6925,Ugz18_v8Xqv-b4x54Q54AaABAg,31,2 years ago,"i have been signed for a long time! i love this girl! tell me, is this another world? there are no evil neighbors and greedy relatives! like is definitely!",我已经签了很长时间了！我爱这个女孩！告诉我，这是另一个世界吗？没有邪恶的邻居和贪婪的亲戚！就像绝对！
35700,Ugw4vMv4BFU05Ku0vQd4AaABAg,29,4 years ago,girl sorceress. how she easily cooks. appetizing. everything is natural. super.,女孩女巫。她如何轻松做饭。开胃。一切都是自然的。极好的。
27224,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zvAelFBZOU,28,3 years ago,"during the hardest time in city, she even slept on street benches. what a hard life for a young girl! she deserves what she gets today! god bless her! bless all the people who are striving all their best to live in the hardest mode of life! big respect!",在城市最艰难的时期，她甚至睡在街头长凳上。对于一个年轻的女孩来说，这真是艰难的生活！她应该得到今天得到的！上帝保佑她！祝福所有尽力生活在最艰难的生活方式的人们！大尊重！
10870,UgyPnd9ImxLsy8UKjuF4AaABAg,25,2 years ago,oh no those baskets looks really heavy.and she's carrying them on the ahoulders. poor girl.shes amazing in whatever she does,哦，没有那些篮子看起来真的很重。可怜的女孩。她做什么
41589,Ugxj4SZRfBwppVdGkqh4AaABAg,24,4 years ago,"this girl is very beautifull, wonder, preety, cute and hard work",这个女孩非常美丽，奇迹，预处，可爱和辛勤工作
51678,UgyNaIpO8VnwyflZDM14AaABAg,24,4 years ago,"open the video, i saw ziyi again. you are a great girl! find your own fun in your life! doing something is the tao, what do you have, you can be too grocery store. i hope you will introduce you to the cooking techniques for us for a year! i wish you a happy and happy grandma!",打开视频， 我又见到子柒了。你是一个很了不起慨女孩子! 在生活里面找寻自己慨乐趣! 做起事来头头是道， 你有什么事情难道你， 你可以太杂货店了。希望你你来 一年 介绍你多啲烹饪技术给我们睇! 祝你和奶奶幸福 快乐!
46796,UgzbIS4Nqo4EJO8bweJ4AaABAg,23,4 years ago,"i only discovered your videos in youtube. i really have such a life. i just imagined life in the novel. girl, you are really great, not only representing many chinese people, but how to coexist with human beings in harmony with nature, even if human beings are livable in the future, you need your spirit. i am glad to see your video, thank you.
suddenly i thought of the man who met your heart in the future. someone helped you lift your bamboo to make new sofas. some people pick fresh fruits and vegetables with you. one more person at the dining table with you. with cute children, one, two. essence essence then i have always made such a love video for us, oh no, enjoy. essence essence
hope this wish will come true.","我竟然在YouTube才发现你的视频，真的感概还有这样子的人生，只在小说中想象到的人生，姑娘，你真的很棒，不仅代表了华人的许许多多的优秀品质，和文化，甚至代表了人类，要如何与自然和谐共存，即使人类未来宜居其他星球，也需要你这种精神。很高兴看到了你的视频，感谢。
忽然想到了你日后遇到了你心怡的男子，有人帮你抬竹子做新的沙发，有人和你一起采摘新鲜的水果蔬菜，多了一个人在饭桌和你，婆婆谈笑风生，然后不就以后你们有了可爱的孩子，一个，两个。。。然后一直一直做这么有爱的视频给我们看，哦，不，享受。。。
希望这个愿望成真。"
48657,UgxO5xURd6JZzLOpPBN4AaABAg.8qmeC3Lx1YV8qndeJPivJd,23,4 years ago,but that girl inspire us to change our lives,但是那个女孩激发了我们改变生活
38588,UgyjGNSakITNOdMDrIx4AaABAg,22,4 years ago,"what a wonder to live there, all my respect for this girl is incredible !! ๐๐ท๐ท๐๐๐๐‘๐‘๐‘",住在那儿真是一个奇迹，我对这个女孩的所有尊重都是不可思议的！
52649,UgwPtXITTuZpM_1NuLV4AaABAg,22,4 years ago (edited),"god bless
i tell about the magnificence of nature and its goodness
glory be to god, who mocked the earth and its glory to man

i do not tell about the creativity of the girl, her patience, effort, and strength
it is clear that it is enjoying and it works

the video is beauty and creativity 
praise be to god for the great blessings. this is from the virtue of my lord","上帝保佑
我讲述了自然的宏伟及其善良
荣耀归于上帝，上帝嘲笑地球及其对人的荣耀

我没有说明女孩的创造力，她的耐心，努力和力量
很明显，它很享受，并且起作用

视频是美和创造力
赞美上帝的祝福。这是我主的美德"
36835,Ugyq23dN7RDpxiYNIV54AaABAg,22,4 years ago,you look beautiful i wish i have you to be my sister i m a girl i love you ๐,你看起来很漂亮，我希望我有你成为我的妹妹，我是一个女孩，我爱你
37352,UgydjmNScfHJlJWNQFF4AaABAg,22,4 years ago,"the girl is just smart, beauty, hostess. molodnik.",这个女孩只是聪明，美丽，女主人。莫洛德尼克。
37011,UgwE6az0IF1Y3ITxy3x4AaABAg,21,4 years ago,you really are a beautiful and very good girl. i often watch your videos very well and meaningfully.,你真的是一个美丽而非常好的女孩。我经常很好地观看您的视频。
1215,UgwtVl-I1_kum00S8jR4AaABAg,21,9 months ago,"this girl is really filial, and she is busy coming out. she returns home to bake the fire and warm her hands. i do nโ€t forget to prepare snacks for my grandmother.",这女孩儿真孝顺，自己忙进忙出的，回到家来烤火暖暖手，不忘给奶奶准备点心一起吃，还淘气逗奶奶笑呢~好样儿
43428,UgxS-cU3wreGJWZO6Fd4AaABAg,20,4 years ago,"just so you guys know that her videos don’t represent the actual living standards of chinese people living in rural areas. her home is probably the only decently organised and tidied country residence in rural areas of china. the vast majority of the people that live in rural or mountainous areas in china are poorly educated and have limited access to natural resources, let alone modern technologies. existence of conventional customs and ways of thinking that are outdated and even seem stupid can easily be found in these remote regions. dog thieves that poison and steal dogs in order to sell the meats to certain restaurants that serve dog meats are quite common in these rural areas as well. i can go on and on all day long to talk about what the actual country life in china looks like, but i want to thank her for making these peaceful videos that show the western world the beautiful side of her life as an ordinary country girl living in mainland china, and for the amazing portrait of hard working chinese people that value the idea of family, especially taking actual care of the elderly, above all.",只是让你们知道她的视频并不代表居住在农村地区的中国人的实际生活水平。她的家可能是中国农村地区唯一有组织和整洁的乡村住所。居住在中国农村或山区的绝大多数人受教育程度不佳，获得自然资源的机会有限，更不用说现代技术了。在这些偏远地区可以很容易地发现常规习俗和过时甚至看起来似乎很愚蠢的思维方式。狗盗贼毒和偷狗以将肉类出售给某些狗肉的餐馆，在这些农村地区也很普遍。我可以整天继续谈论中国的现实乡村生活，但我要感谢她制作的这些和平的视频，这些视频向西方世界展示了她作为一个普通的乡村女孩生活的美丽一面在中国大陆，以及对中国努力工作的惊人肖像，这些肖像重视家庭的想法，尤其是对老年人的实际照顾。
11705,Ugxu1Fd_6H0qtWKPL-14AaABAg,19,2 years ago,"i'm really proud of this girl, because she's really clean and very hardworking๐‘๐‘๐‘๐’ช๐๐",我真的为这个女孩感到骄傲，因为她真的很干净而且很努力工作
29254,UgxB2B-6k92WOgnfWZ94AaABAg,19,3 years ago,"wow they have so much to eat,the girl she is pretty and very hard-working",哇，他们有很多东西要吃，她漂亮又勤奋的女孩
42663,UgwY4i8rNc2RBHSU7mB4AaABAg,19,4 years ago,i am surprised....this type of place and the amazing girl really exists !!!!!!,我很惊讶....这种类型的地方，而神奇的女孩真的存在！！！！
34373,Ugy9Gua_ThhMeAwifHN4AaABAg.8v49t1LxqD68vA3nmpEG4W,19,4 years ago,"must be bots, because this girl is so impressive it's impossible to dislike otherwise!",必须是机器人，因为这个女孩如此令人印象深刻，否则就不可能不喜欢！
43903,UgyvvciMRf8_achl4HN4AaABAg,19,4 years ago,"stunning videos! i love this girl! i traveled a lot in china and with great pleasure i plunge into this calm, peaceful atmosphere of rural life. as we all, in our time, do not have enough enjoying our life, pleasure from our work, skill will focus on the beautiful present! thank you! !",令人惊叹的视频！我爱这个女孩！我在中国旅行很多，很高兴我陷入了这种镇定，宁静的乡村生活的氛围。在我们时代，我们所有人都没有足够的享受，我们的工作很高兴，技能将集中在美丽的礼物上！谢谢！
17535,Ugx5e7PBrJ1AvcxgG-54AaABAg,18,3 years ago,this is so like harvest moon back to nature: girl version.,这就像收获月亮回到大自然：女孩版本。
19431,Ugw8krDESej9Y8_vK1B4AaABAg,18,3 years ago,"it's really filial to a girl. you moved me. it is not easy for a girl to bear all the business. i really admire you, and it ’s not easy to worship you. i follow you, thank you for let me know something",真的很孝顺一个女孩，您让我感动了，一个女孩承担所有的业务真不容易呀，我真心佩服你，和崇拜你人又长的这么好看又能干活，真是不容易的一件事情，我关注了你谢谢你让我知道一些东西
51284,UgxWr2WKqhtE2YsnqoF4AaABAg,18,4 years ago (edited),i hope she's will married with rich & good handsome guy! she's a good girl.,我希望她能与Rich＆Good Hindome Guy结婚！她是一个好女孩。
28895,UgyvfL-vABuUnx3wpsR4AaABAg,18,3 years ago,she did all these things by her self... she really is a hard working girl <3,她自己做了所有这些事情...她真的是一个努力工作的女孩<3
1883,UgyjL4fFw9-4erCf0Bp4AaABAg,17,1 year ago,"admiring her really, a small but extraordinary girl, everything is good, everything can be done. watch your real peaceful video .",真的很欣赏她，一个小而非凡的女孩，一切都很好，一切都可以做。观看您真正的和平视频。
22370,UgxeFpyrL7XWhqRU1PN4AaABAg.92xnq6f9oza93Ait2Za1NJ,17,3 years ago,"sheโ€s literally a disney princess. but she actually works hard. this is who girls should look up to, not the kardashians!",她实际上是迪斯尼公主。但是她实际上努力工作。这是女孩应该仰望的人，而不是卡戴珊人！
37497,UgzhkGHwjVwKAfdWPYZ4AaABAg,17,4 years ago,"my god what kind of girl well done, i would also like to live, working funnyly makes takuyuyvyki",我的上帝做什么样的女孩做得好，我也想生活，开心地工作使takuyuyvyki
32483,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18w5SNYS1ewq,17,4 years ago,"this is a project. a movie. and this girl is an actres... don't believe in everything what you see on yt ๐

but yeah... it's nice","这是一个项目。电影。这个女孩是一个actres ...不要相信您在yt上看到的一切

但是，是的...很好"
52404,Ugyfn3GGP_3ySLqYf594AaABAg,17,4 years ago,diz girl is multitalented n very hard working,diz女孩是多元化的N非常努力的工作
31264,UgwBHMGguXljvNp565V4AaABAg,16,3 years ago,this is what everyone had been dreams of. live in the village with all we need. super talented girl thumbs up ๐‘๐‘,这就是每个人都是梦想的。我们所需要的一切都住在村庄。超级才华的女孩大拇指
40484,Ugx49brmge0nfoJx1I14AaABAg,16,4 years ago (edited),"everything is so cultural and clean, well done girl is a very hard work, i admire",一切都是文化和干净，做得好的女孩，这是一个非常艰苦的工作，我很欣赏
37120,UgwA-4glOyOblf3Vlat4AaABAg.8uJNdG3PRmb8uVRYcwo2Ar,16,4 years ago,@conjae8474 most girls ? oh please lmao she's stronger than most grown men lmaooo,@conjae8474大多数女孩？哦，请lmao她比大多数成年男子更强壮
2657,UgyARoOLM2QWfR5YADh4AaABAg,16,1 year ago,very tender girl. such calmness and kindness from it blows,非常温柔的女孩。这种镇定和善良的打击
2054,UgxKuXO04jUL3t_QBnd4AaABAg,16,1 year ago,"this is the first video that i've seen from lizqi back in 2020 if i not mistaken..it really amazed me, and i've been her fans since that..what a talent you had girl. may god bless you and your grandma with good health throughout this year and advance.",这是我在2020年从Lizqi看过的第一部视频，如果我没有误会。愿上帝保佑您和您的祖母在今年健康状况良好，并进步。
3696,UgwvF-DpNZxiUBKQGOF4AaABAg,16,1 year ago,"i love this girl's videos, i find them too relaxing",我喜欢这个女孩的视频，我发现他们太放松了
40054,UgygK98eVwoBeT_8F1R4AaABAg,15,4 years ago,"oh what a beautiful video !!!! ... so much peace transmitted to me, and the girl is so beautiful and so hardworking,",哦，多么美丽的视频！
