,cid,votes,time,含girl,含girl中文翻译
24900,UgxnmzxyolLKwv4xRT14AaABAg,41,3 years ago,"this beautiful girl lives my dream everyday of her life , what a peace providing video ! i felt like i was on a journey of my dreamland. thanks",这个美丽的女孩过着我一生中每天梦想的梦想，这是一个提供视频的和平！我觉得自己正在梦境。谢谢
20621,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg,41,3 years ago,it's really great video! thanks to the girl to show more people's lives to more people! i wish you and your grandma healthy and happy! i do n’t know who has such a good blessing to marry such a daughter -in -law!,真的是很棒的视频啊！感谢姑娘把真实的美好的中国人的生活展现给更多人!祝你和你奶奶健康快乐!不知道谁有这么好福气能够娶到这样的媳妇啊！
18462,Ugx_6yBpjTMVexlpwQ54AaABAg,38,3 years ago,"occasionally speaking, a strong hometown accent, girl, i am proud of you. her grandma looks very happy",偶尔开口说话，浓浓的家乡口音，姑娘，我很为你骄傲。她奶奶过得很开心的样子
12997,Ugx1okKIJ3LO4u5-Dyd4AaABAg,38,3 years ago,has she married yet? who deserves to have this type of girl man? oh man.... that person is so lucky!!!!,她结婚了吗？谁应该拥有这种女性男人？哦，伙计。
34539,UgyKZmhJjnH56Qv_--J4AaABAg,34,3 years ago,"at that time, the grandmother guarded the little girl to grow up safely and happily. now the girl grows up with an excellent glorious family, and she also protects her grandma live in her old age!",当年奶奶守护这位小女孩平安快乐长大，现在女孩长大成人优秀的光耀家族，并也守护奶奶晚年生活！
20073,Ugz2jByJe7rvjC06cf14AaABAg,34,3 years ago,"if i were a man , i would truely married with a wife like this . unfortunately , i'm a girl",如果我是男人，我会真正与这样的妻子结婚。不幸的是，我是一个女孩
6063,UgyWRUCvUkUaO3UtSst4AaABAg,31,2 years ago,this girl is cooking a lot of yummies for just two persons.,这个女孩只为两个人烹饪很多美味。
15930,UgygE8WIABCx8lI4oB94AaABAg,31,3 years ago,i'm here to see how many boy dreams a wife just like this girl!,我在这里看看有多少男孩像这个女孩一样梦见一个妻子！
18890,UgyvvXnelgtX1G9j7P94AaABAg,27,3 years ago,this girl makes me think how lazy i am,这个女孩让我想我有多懒
34373,UgzLmA5jjWuAHu_6eHd4AaABAg,27,3 years ago,i do not cease to admire the skills of an amazing girl.,我不停地欣赏一个了不起的女孩的技能。
8659,UgzdsTWfitOY34RZRW14AaABAg,24,2 years ago,this girl is so hardworking. i can't even do a percent of it,这个女孩是如此努力。我什至不能做一百分点
11267,UgwkjCRJfUStAY0PQ_N4AaABAg,23,3 years ago,“be careful when replicating at home” girl i wish i could make that,“在家里复制时要小心”，我希望我能做到这一点
34936,UgyWoKUW3E9J-T9K7714AaABAg,21,3 years ago,"i wish my mother -in -law healthy and long -lived ... ❤❤, i also bless the girl who is young and beautiful forever ... 's really wise ...",祝福婆婆身体健康、长命百岁……❤❤，也祝福柒姑娘永远青春美丽……
14932,Ugy4ckHjEWYqhT8iq914AaABAg,19,3 years ago,"imagine all girl can do thing like her, instead of making tiktok.",想象所有女孩都可以像她这样做的事情，而不是做蒂克托克。
10248,UgyGiZ9fbnqIcHpup4p4AaABAg,19,3 years ago,drink afternoon tea and see li ziyi! intersection support girls with talented and talented!,喝着下午茶， 看看李子柒！！ 支持一下有爱有才的姑娘！
31342,Ugz5Jd8DkC7vmU128sh4AaABAg,18,3 years ago (edited),everytime this girl uploaded new video i see to it that i will watch it after work,每当这个女孩上传新视频时，我都会看到它，我会在上班后观看它，因此在观看视频时放松一下，这是我最喜欢的YouTube频道之一。
19109,UgxqKGCp80V6zbdnys94AaABAg,17,3 years ago,if i believed in reincarnation i would want to come back as that girls grandma.,如果我相信轮回，我想作为那个女孩奶奶回来。
32403,UgwqJxznO9sIJi-NOmd4AaABAg,15,3 years ago,i swear youre the most beautiful asian girl on earth. <3,我发誓你是地球上最美丽的亚洲女孩。 <3
33157,Ugyiexp9Hvmt1aW5kRh4AaABAg,13,3 years ago,my 4 year old son calls you his girl,我4岁的儿子叫你他的女孩
12578,UgwiGnlwnyZ020m-lm94AaABAg,13,3 years ago,"my pretty little girl, i have a lifetime of memories thank you.",我漂亮的小女孩，我一生的回忆谢谢。
21546,Ugz7YYmvT85M2dhZs9R4AaABAg,13,3 years ago,this gifted girl leads chines middle class lifestyle ten years ahead,这个有天赋的女孩带领Chines中产阶级生活方式提前十年
21231,Ugw5KrgJOc184PWC1A54AaABAg,13,3 years ago,dude this girls eat like queens while for me my top dish is rice with chicken hahaha,杜德，这个女孩像皇后一样吃饭，而我的顶菜是米饭和鸡肉哈哈哈
17276,Ugy7-EdNg3xlEfpKEnJ4AaABAg,13,3 years ago,oh i want a wife like her but im a girl,哦，我想要一个像她一样的妻子，但我是一个女孩
35039,UgzyXKWhqzaqVCC9PDx4AaABAg,13,3 years ago,"you are very hard working girl
taking care of grandma too
keep it up
lots of love❤","你是非常努力的女孩
也照顾奶奶
继续努力吧
很多爱"
20449,UgyOxXJszmzjRywfQg54AaABAg,13,3 years ago (edited),what an incredible mother earth which gives everything for our survival.... what else we need ... still in the name of technology we destroying our planet.... super likes from india..for this angel girl...and for her cooking varieties...,多么令人难以置信的地球母亲为​​我们的生存提供一切。...我们还需要什么...仍然以技术的名义摧毁了我们的星球。因为她的烹饪品种...
21877,UgyiXGV8dmv6igb5Yxd4AaABAg.9-RuqJI02nf9-W0HRg-sXx,12,3 years ago,"isabelle jiang the reason why the subtitles exist is in china two girls was trying to replicate a meal made by a chinese youtuber xiaoye, and it caused an accidence, their parents sued xiaoye.",Isabelle Jiang出现字幕的原因是在中国两个女孩试图复制中国Youtuber Xiaoye做的一顿饭，这引起了一个严重的味道，他们的父母起诉了肖。
26168,UgwVEbvvq2a4zpZTHOV4AaABAg,12,3 years ago,liziqi? do you have a girlfriend? volunteering myself to live with you and cook,liziqi？你有女朋友吗？自愿与您同住并做饭
27849,UgwE4wgU1T--6F8lNTh4AaABAg,11,3 years ago,"i am also by chance here, i liked the girl, how amousing she is, well done, well done, goddess !!!!!",我也偶然地在这里，我喜欢那个女孩，她是多么有趣，做得好，做得好，女神！
21240,Ugz1v1OrVPtjEbP4xcl4AaABAg,11,3 years ago,"this channel is similar to the advertising of this girl, how much she knows and knows how. respect to her, all the same, not everyone can)",这个频道类似于这个女孩的广告，她知道和知道了多少。尊重她，都是一样的，并非每个人都可以
9497,Ugya2UviT7fIgUH5OiZ4AaABAg,11,2 years ago,"sichuan is the country of tianfu.
primitive life, fresh air, innocent girl and of course network.","四川是天府之国，人杰地灵，人才辈出。
Primitive life, fresh air, innocent girl and of course net celebrity."
22034,UgzciFjA6fFivG0BGLp4AaABAg,10,3 years ago,i wish i have a garden/fields like that so that i could ever work and cook with whatever i got and marry a local girl and have kids and slowly die staring at the sky........... but its 3am here i have to go to the office in 6hrs :smile:,我希望我有一个类似的花园/田地，以便我能够与任何我得到的东西一起工作和做饭，嫁给当地女孩，让孩子们慢慢死去盯着天空............但它的凌晨3点，我必须去6小时的办公室：微笑：
18580,Ugyv9X0e36LCvRjpM8p4AaABAg,10,3 years ago,it is estimated that there are thousands of men who want to marry this girl around the world.,估计现在有成千上万想娶这个女孩的男人在世界各地。
30906,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yzTQ9XuUQw,10,3 years ago,"@plush3106 no,no,no,my dear friend.as a chinese, i would say that this girl's cooking is a common step in china.some famous foods in china even take 72 hours to make.when i was young, my mother cooked food, it was as complicated as video, chinese people pay much attention to food, and they are very willing to spend time on the cooking of food.if you know the cooking of different countries in the world, you will find that chinese cooking is really complicated and requires skill and patience.welcome to china，my friend.",@plush3106不，不，不，我亲爱的朋友。作为中国人，我想说这个女孩的烹饪是中国的常见一步。中国的一些著名食品甚至需要72个小时才能赚钱。我年轻时，我的母亲煮熟了食物，就像视频一样复杂，中国人非常关注食物，他们非常愿意花时间做饭。如果您知道世界上不同国家的烹饪，您会发现中国烹饪是真的很复杂，需要技巧和耐心。
25650,Ugz_Oz7HfjRCdoax9zF4AaABAg,9,3 years ago,i don't know how many times i see this video. its blow my mind how beautiful this girl and she look like a lady in fairy tale. i send love from indonesia,我不知道看这部视频有多少次。我的想法让这个女孩多么美丽，她看起来像个童话中的女士。我从印度尼西亚发送爱
5414,Ugz-P4ivOdt7Ygc1UFt4AaABAg,9,2 years ago (edited),this girl's even stronger than my man,这个女孩比我的男人更强壮
10712,Ugx79jz9tMzg20_2tst4AaABAg,9,3 years ago,"this is the ideal chinese country style, full of natural and pioietic splender. for gods sake i want to marry this girl.....",这是理想的中国风格，充满了自然和野性剪接。为了神的缘故，我想嫁给这个女孩.....
30901,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yu3Or1W6C2,8,3 years ago,"bramha's astra but if they went to their garden and grabbed those ingredients, chopped them up, put dressing or grilled them or something itd be cooking right? lol idk why you think there needs to be a 30 step process for it to be real cooking, or take a long time, or prepared from scratch. this girl is amazing and talented, but do you think most chinese people cook like that? japanese people? italians, etc? plenty of people just season their foods, stir-fry them, and eat because theyre not fixing complicated full-course meals. cooking does not need to be complex. idk why youre convinced it does...",布拉姆（Bramha）的阿斯特拉（Astra），但是如果他们去了花园，抓住了这些食材，将它们切碎，放敷料或烤它们，或者它可以烹饪的东西吗？大声笑IDK为什么您认为需要有30个步骤才能真正做饭，或者花很长时间或从头开始准备。这个女孩很棒又有才华，但是您认为大多数中国人都这样做吗？日本人？意大利人等？很多人只是调味食物，炒食物并吃饭，因为他们没有修复复杂的全书餐。烹饪不需要复杂。 idk你为什么说服这是...
19859,UgwM-llmdj7iJ0gpTCV4AaABAg,8,3 years ago,i’m disappointed with city girls. isn’t this beautiful,我对城市女孩感到失望。这不是美丽的
22310,Ugy9ApYtXllXi1u4ujZ4AaABAg,8,3 years ago,amazing lifestyle and gorgeous handcraft，i wish that i can meet a girl just like the beauty in the video.xddddd,惊人的生活方式和华丽的手工艺品，我希望我能像视频中的美女一样遇到一个女孩。xddddd
24855,Ugw43HpMpzRelTA0BOd4AaABAg,8,3 years ago,"this pretty girl can be representative of a strong woman in society, not mary sue in hollywood.",这个漂亮的女孩可以代表社会上一个坚强的女人，而不是好莱坞的玛丽·苏（Mary Sue）。
21287,Ugwkr48z4mu7hF4xWct4AaABAg,8,3 years ago,"incredibly beautiful shots, the girl of course decorates the overall picture.",当然，女孩的镜头令人难以置信的美丽镜头，装饰了整体图片。
23448,UgzUJFsjexVHtAYIVQp4AaABAg.8zjK3KSSJ1L8zm6UywW_cS,8,3 years ago,"a girl has no name well if she isn't, whoever marries her needs to treasure her.",一个女孩如果不这样做的名字就没有好的名字，无论谁嫁给她需要珍惜她的人。
2025,UgzVW-0QgsfRLOkc-0Z4AaABAg,7,1 year ago,i love this channel! the girl is just incredible! i admire it !!!,我喜欢这个频道！这个女孩真是不可思议！我很欣赏！！！
4856,UgzA1_JT30Whgirkezd4AaABAg,7,2 years ago,"come on, a great sichuan girl!",加油，棒棒的川妹儿！
3990,UgwSoLo6kXsj2sC65IJ4AaABAg,7,2 years ago (edited),fortunate girl to live this life in a clean and fresh environment...,幸运的女孩在干净，新鲜的环境中生活这一生...
20840,UgznRL3EC1mjFtJNHOd4AaABAg,6,3 years ago (edited),"seriously, i was the girl who would do everything for the first time, and the people were beautiful.",说真的我还是头一次看到什么都会做的女孩，人长得又漂亮。
20802,UgwoEcUnHAuNarl3-NN4AaABAg,6,3 years ago,"a huge restaurant needs to hire this chef. wait, she is perfect where she is. o god, need a girl that can cook.",一家庞大的餐厅需要雇用这家厨师。等等，她是完美的地方。天哪，需要一个可以做饭的女孩。
34976,UgzLFHMzGMij6HvDO154AaABAg,6,3 years ago,liziqi finally realizing that youtube is gonna make her rich (she's already rich in more important aspects of life but rich in monetary funds is also great!) girl more uploads pls!,Liziqi最终意识到YouTube将使她有钱（她已经富有生活的更重要的生活，但富裕的货币资金也很棒！）女孩更多地上传了！
20145,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91InjEXoZug,6,3 years ago (edited),"@ayumuchorizo4486 as much as it's hard to keep such an environment, it wouldn't be difficult if each individual worked hard just like this girl",@ayumuchorizo​​4486毫无疑问地保持这样的环境，如果每个人都像这个女孩一样努力工作并不困难。
19913,Ugx3zuXyOf11s3dxiwp4AaABAg.91GSbollkUx91tlZ1aK1ZF,6,3 years ago,"david hutchins not everything has to do with politics. some people just can’t enjoy a nice video of a beautiful girl who cooks delicious food in a beautiful village. btw china is a big country, there’s plenty of capable people. we can fool ourselves, but not the whole world.",大卫·哈钦斯（David Hutchins）并不与政治有关。有些人只是无法欣赏一个漂亮的女孩，一个漂亮的女孩在一个美丽的村庄里烹饪美味的食物。顺便说一句，中国是一个大国，有很多有能力的人。我们可以自欺欺人，但不能自欺欺人。
21081,UgxUmvduQqLwUYS54FF4AaABAg,6,3 years ago,"versatile this girl,
indonesia attention ...","这个女孩的多才多艺，
印度尼西亚的关注..."
14356,UgyaF2_3GihTBtO00TN4AaABAg,5,3 years ago (edited),i want to be the grandma of this girl! hahaha,我想成为这个女孩的祖母！哈哈哈
15491,UgxeHC0PohKFfAal8mh4AaABAg,5,3 years ago,"how simple is life, just like that beautiful hardworking girl",生活有多简单，就像那个美丽的勤奋女孩
16297,UgwRPsROyKFVcOzv2C94AaABAg,5,3 years ago,"i see great landscapes, a gorgeous girl, great food, a puppy and a grandma. the editing is 1000% great stuff.",我看到了很棒的景观，一个美丽的女孩，美味的食物，一只小狗和祖母。编辑是1000％的好东西。
21311,Ugz2DrWr7IGKrK-Id6p4AaABAg,5,3 years ago,well this girl taught us that ..... she can eat anything in this world,好吧，这个女孩告诉我们.....她可以在这个世界上吃任何东西
13875,UgwTUUhtG5HwRv_M2AJ4AaABAg,5,3 years ago,"no internet, no phones, just there is no time to sit in them. a simple girl walks all day, doing things.
this is a very good video)","没有互联网，没有电话，只是没有时间坐在其中。一个简单的女孩整天散步，做事。
这是一个很好的视频）"
12758,UgxuKpn6MeGJB2VchL14AaABAg,5,3 years ago,a pretty girl just taken us to back1000years of cooking in forest with local utensils and,一个漂亮的女孩刚刚带我们去了带有当地餐具的森林中的Back1000年烹饪。好摄影，声音和美味
29223,UgyHa_v00Vh4BYN0BPt4AaABAg,5,3 years ago,this girl the the primitive tech guy are gonna build another civilization from dust.,这个女孩这位原始科技人将从尘土中建立另一个文明。
19979,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92UJia27S48,5,3 years ago,"@user-fh4rc2by4x thank you. i agree with your positive comment. i grew up in south china in the countryside. in those 1950 and 1960 years, my parents and siblings all worked hard in planting crops as ms. li for subsistence until my brothers and i could pick up part-time jobs to help with family finances. i believe ms. li is a real country girl who has great potential to become a brilliant star, which she did. some people chose not to believe her, which is ok since we all have the freedom of belief and choice. please pardon me for using english as i am old and type chinese very slowly; english is my daily medium at work, in north america.",@user-fh4rc2by4x谢谢。我同意您的积极评论。我在中国南部在乡村长大。在1950年和1960年的那段时间里，我的父母和兄弟姐妹都在努力种植农作物作为李女士的生存，直到我和我的兄弟们可以兼职工作来帮助家庭财政。我相信李女士是一个真实的乡村女孩，她有很大的潜力成为一颗辉煌的明星，她做到了。有些人选择不相信她，这是可以的，因为我们都有信仰和选择的自由。请原谅我使用英语，因为我年纪大了，并且非常缓慢地键入中文。英语是我在北美工作的日常媒介。
5171,Ugy3zZwFAxnaHUQPYbx4AaABAg,5,2 years ago,"this thin 40-45 kg girl is amazing.
its heart became fan","这个瘦的40-45公斤的女孩很棒。
它的心成为粉丝"
24681,UgwlJKfrHW3KSVa7ROx4AaABAg,5,3 years ago,not only this girl can do a lot of things ..im sure she is also a kongfu master ..^^,这个女孩不仅可以做很多事情。
25952,Ugy3T9UBZIq4uol7Lnt4AaABAg,5,3 years ago,girl it's video beautiful chinese girl cool work nice character and beautiful.,女孩这是视频美丽的中国女孩很酷的作品漂亮的角色和美丽。
2691,UgyyYChth_3diDSbnRh4AaABAg.9RpCLS3qrED9aI86U_SsZc,5,1 year ago (edited),"@wht8349 yeah....an actress that can cook, farm and present hard labors, can you city boy/girl do all these things or what?",@wht8349是的。。。。。。。。。。。。。。。。。。。
11253,UgzXj-Mx5zxZQHYOk2N4AaABAg,4,3 years ago,natures sound with a wonderful music and a gorgeous girl i am in love,出色的音乐听起来很棒的音乐和一个我恋爱中的华丽女孩
34502,UgyxLO7z60WrmLWwOdx4AaABAg,4,3 years ago,i envy her 's such a hard-working multi talented girl,我羡慕她
22543,Ugz0SQ0HDZcnuxq1dYl4AaABAg,4,3 years ago (edited),this is the hostess !!! perfect wife!))) such girls in their arms should be worn ..,这是女主人！！！完美的妻子！））应该戴上这样的女孩。
15080,UgybbDpm6SSjdmGqmu14AaABAg,4,3 years ago,who taught this girl how to cook so many things out of nature,谁教这个女孩如何做这么多大自然的东西
6321,UgxLIswg7zR5sar8B_x4AaABAg,4,2 years ago,this girl needs to inhabit the truth of the olets of goodness of goodness ..,这个女孩需要居住在Olets修正善良的真相。
7885,UgyhbV2wOPTJF2QEtbN4AaABAg,4,2 years ago,i want my wife like this girl..โค๏ธ,我要我的妻子喜欢这个女孩..
21325,Ugx8WT8asrQAfCGe0cZ4AaABAg,4,3 years ago,"who r u girl?..... the man that win ur heart is so bless....
i'm blown of this video....","你是谁？.​​....赢得心的男人如此祝福。
我对这个视频感到震惊。"
33874,UgytIwV9XlyDV21Z5mV4AaABAg,4,3 years ago,"liziqi, you is a pretty girl in my eyes, lov u",liziqi，你是我眼中的漂亮女孩，爱你
20089,Ugz2jByJe7rvjC06cf14AaABAg.91BATr3_WH391HLMeDoSdf,4,3 years ago,girls can marry girls too,女孩也可以嫁给女孩
28331,Ugy-UfRsD7_JQ46ukqx4AaABAg,4,3 years ago,"part of the reason why i enjoy watching these videos so much is that they remind me of how things used to be when i was little. granted, i am not a girl from china living on a vast farm like she does, but i did have a small place in kentucky where we took care of ourselves and harvested our own food like this. it's nice to see that there are some people out there who still take a moment to do things in a more old-fashioned kind of way.",我如此喜欢观看这些视频的部分原因是，它们使我想起了我小时候的情况。诚然，我不是一个像她那样生活在一个庞大的农场上的中国女孩，但是我确实在肯塔基州有一个很小的地方，我们在这里照顾自己并像这样收获了自己的食物。很高兴看到那里有些人仍然花点时间以一种更老式的方式做事。
27183,UgwS6S3YbJhuW75g-Kl4AaABAg,4,3 years ago,"i am a girl like her, and i live there ,this is my hometown.she did everything we do,my mom,my grandma,and every woman.but not every woman enjoy these thing.",我是一个像她这样的女孩，我住在那儿，这是我的家乡。她做了我们所做的一切，妈妈，我的祖母和每个女人。但是，并非每个女人都喜欢这些东西。
25019,UgwLSv-QH-hB4XOOrm54AaABAg,4,3 years ago,im in love with that girl,我爱上了那个女孩
22019,UgyNznBkcEkdjIm0MHF4AaABAg,4,3 years ago (edited),"this girl was well taught, and she still carries obedience takes good care of grandma in return too",这个女孩教得很好，她仍然服从奶奶也很照顾好
31970,UgyoLoeS4Id_95daiEV4AaABAg,4,3 years ago,this girl so cute and quiet. i like her and her place.,这个女孩是如此可爱和安静。我喜欢她和她的地方。
4360,UgwEqC3nAOCNZ2oDyS94AaABAg,3,2 years ago,"in the west many girls get bored of frying an egg, and this girl from morning till night is so busy doing so many things, that it is admirable.! her grandmother will be the happiest grandmother in the world!",在西方，许多女孩对油炸鸡蛋感到无聊，这个女孩从早上到黑夜都很忙于做很多事情，以至于令人钦佩。她的祖母将是世界上最快乐的祖母！
277,UgxDGyv3TDpQn1zOtzF4AaABAg,3,2 months ago,girl i'm your fan!,女孩，我是你的粉丝！
17720,UgyCdCSCx4Ijxqf2rjJ4AaABAg,3,3 years ago,"i really want to marry a sichuan girl, but my family does not agree, especially my daughter -in -law, and resolutely oppose it.",非常想娶一个川妹子， 但是家人就是不同意，尤其是我媳妇，坚决反对。
8957,Ugx_emxpsDHGQ0XNwdl4AaABAg,3,2 years ago,"the beautyfull girl 
love you
i'm from viet nam","美丽的女孩
爱你
我来自越南"
4152,UgwZQZ1L6Qd2jr-spa94AaABAg,3,2 years ago,"wow. wonderful, i love to see you when you are working, you are a wonderful girl, i wish for you to succeed with my regards and my love for you to follow you from iraq.",哇。太好了，当你这样做时，我很喜欢见你。
29531,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58yc0272Tc8b,3,3 years ago,"@shiminli3966 we too love and respect chinese people, i have a chinese girlfriend she is so kind and respectful",@shiminli3966我们也爱和尊重中国人，我有一个中国女朋友，她是如此善良和尊重
30543,UgwWXLtdOOwGqk72CvF4AaABAg.8yVczaElyLQ8yVzInUkWf1,3,3 years ago,this nature is fascinating the girl preparing the gifts of flora and fauna as an artificial cooking is beautiful !!!,这种性质令人着迷，因为人造烹饪是美丽的女孩，准备了动植物的礼物的女孩！！！
12963,UgwMgluBzt94kjqU2wF4AaABAg,3,3 years ago,"from me 1000 thousand likes to a girl. beautiful, smart, very kind and caring. i wish her happiness and good luck!",从我的100万喜欢给一个女孩。美丽，聪明，非常友善和关怀。祝她幸福和好运！
15327,UgxSY_DFKW660fR5QeF4AaABAg.93Ja7rwh5qQ93JwNJyYJTP,3,3 years ago,"don't sour, sichuan girls have good skin",别酸，四川妹子皮肤都很好
20767,UgzgnP8B47BBQj4swAF4AaABAg,3,3 years ago,"delicious, smart and hardworking girls, we love you!",人间美味，聪明勤劳的姑娘我们爱您！
3197,UgyjtHhIQK1faITfrLF4AaABAg,3,1 year ago,"liqizi wishing you a happy birthday that you spend beautiful in your grandmother's company and your friends, you are a very pretty girl, one day travel to meet you, just want you to spend a very beautiful day and wishing you a long life, chauuuu",Liqizi祝您生日快乐，您在祖母的陪伴和您的朋友中度过美好的生日，您是一个非常漂亮的女孩，有一天旅行去见您，只希望您度过一个非常美好的一天，并祝您长寿，Chauuuu
23628,UgwUwpLFnyGeUSq_pjl4AaABAg,3,3 years ago,"she is amazing girl, she makes her cook more beautifull.",她是一个了不起的女孩，她使厨师更美丽。
22329,UgzalH_OucQr_GSfdLx4AaABAg.9-64FCcmi-g9-D3YzvOP-8,3,3 years ago,"bob bob ""this girl"" spoken like an egotistical man",鲍勃·鲍勃·“这个女孩”像一个自负的男人说
13919,UgyS7OQn55OBGKVZdo94AaABAg,3,3 years ago,"what a strong knife, a sensible girl",好劲的刀功，好懂事的女孩
14244,UgwlbLN7mOcdhvxAw6p4AaABAg,3,3 years ago,that girl could be the perfect one for any man that love to eat warm food.,那个女孩可能是任何喜欢吃温暖食物的男人的理想选择。
19959,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq923HPsDiCn3,3,3 years ago,because they are evil beings and seem to be very jealous of this beautiful girl,因为它们是邪恶的生物，似乎对这个美丽的女孩非常嫉妒
21896,UgwcX9YQRp7-GIicFyh4AaABAg,3,3 years ago,"omg as soon as i start watching her videos i cant stop myself watching for more,makes me think how i miss my simple life in the village,,,girl you inspire me a lot,,one day gonna go back to the island where i was born,cant wait to go back home and cook like your videos,i learn a lot from your video,god bless you girl,",天哪，一旦我开始观看她的视频，我就不能停止自己观看更多，让我想到我如何想念我在村庄的简单生活，你会激发我的灵感很多，有一天会回到岛上出生了，迫不及待地想回家像你的视频一样做饭，我从你的视频中学到了很多东西，上帝保佑你的女孩，
5116,UgzHapYJAbmcj4eq3kt4AaABAg,3,2 years ago,"ok i have watch different recipe on bamboo shoot,from sros ,her and 2 other asians girl but the varieties but the complex and varieties in her channel is unique to her ,and yes i found a different cooking with the same ingredients. although they are all asians.that is beautiful.",好的，我看过与Sros，她和其他2个亚洲女孩的竹脚芽的不同食谱，但是品种，但是她的频道中的复杂和品种对她来说是独一无二的，是的，我发现了另一种用相同的食材烹饪。尽管他们都是亚洲人。这很漂亮。
34187,Ugw9BEF1PyJR8qA2BCd4AaABAg,3,3 years ago,heaven i don't no but this girl living in this area that is called heaven confirm .,天堂，我不是没有，但是这个生活在这个被称为天堂的女孩确认。
