,cid,votes,time,含kind,含kind中文翻译
14790,UgyX2fojD4McHy5R2l94AaABAg,46,3 years ago,"i miss this kind of life in our province.those kind of foods, the way she cooked thats how we cook our food before its a healthy living. this shows simple life in a province. peaceful and contented with what you have.",我想念我们各省的这种生活。这些食物，她烹饪的方式就是我们在健康生活之前烹饪的方式。这显示了一个省的简单生活。和平，满足于您所拥有的。
21758,Ugy9dqXp8LnX4nH-tM94AaABAg,38,3 years ago (edited),she has every kind of vegetables in her house..,她的房子里有各种蔬菜。
4365,UgyFlsWsHOhC2C22Pe94AaABAg,29,2 years ago (edited),"this is my first time watching her video, i love how they made this kinda content seriously, with great editing. this is the content we need. imagine if local content like this were made from all over the world, how beautiful it gonna be.",这是我第一次观看她的视频，我喜欢他们如何通过精彩的编辑来认真对待这种内容。这是我们需要的内容。想象一下，如果这样的本地内容是由世界各地制成的，那将是多么美丽。
8642,UgwEeceQBwUWUvvNu2p4AaABAg,26,2 years ago (edited),"i used to live at my grandma's house when i was kid, it is located in countryside. watching your video makes me recall my childhood memories. now that my family move to a city, i want to enjoy this kind of nature yet i cant",我小时候曾经住在祖母的房子里，它位于乡村。观看您的视频使我回想起童年的回忆。现在我的家人搬到了一个城市，我想享受这种性质，但是我不能
9131,Ugz2srM7s5meV--7YVl4AaABAg,24,2 years ago,"like this kind of lifestyle, peaceful and quiet.",像这种生活方式，和平与安静。
2783,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9TGliqAjNSs,20,1 year ago (edited),"you would want to live this kinda life for maybe 2months at best then you start missing all the convenience we have today. nobody really wants to do backbreaking work on fields all day with insects and other stuff. raising lifestock is also smelly as heck. don't forget all the mosquitoes and flies.

its also not all that uncommon to get parasites in you.

country life is hard and there are no rainbows.","您希望充其量可以过2个月的生活，然后您开始错过我们今天拥有的所有便利。没有人真正愿意整天用昆虫和其他东西在田野上做艰难的工作。升起的生命力也像Heck一样臭。不要忘记所有的蚊子和苍蝇。

在您里面得到寄生虫并不是那么罕见。

乡村生活很艰难，没有彩虹。"
17850,UgyleL6uGY8mI9t3PUx4AaABAg,16,3 years ago,"the color tone of the film has a lot of credit. i do n’t want to do this kind of farm work under the real color: think about how poisonous the sun is under the cicada, there are a lot of mosquitoes in the ground, and the courtyard of the chickens will not be the yard. there will be animals' feces, and it will be more troublesome to burn the pot and brush the pot. but the artistic conception of the video is very beautiful and yearn for it.",影片色调调的好有很大功劳，真实色彩下这种农活我是一点不想去干的：想想蝉鸣下的阳光有多毒，地里的蚊虫有多多，鸡鸣鹅叫的院子会不会有动物的屎尿味儿，土炕烧锅刷锅多麻烦，算了还是窝在家里吹空调舒服。但是视频展现的意境很美好，向往之。
13354,UgyTPPiVkGNGZRNt4EB4AaABAg,14,3 years ago,"a mysterious video that you can watch for some reason
does human life say this kind of thing?","您可以出于某种原因可以观看的神秘视频
人类的生活说这种话吗？"
6155,UgzYBiokQtpqw0leO7Z4AaABAg,14,2 years ago,why does her videos reminds me of my childhood? the feeling is kinda weird ๐,为什么她的视频让我想起了我的童年？感觉很奇怪
18731,UgzQpRkzQ4SS1A4R3Wp4AaABAg,13,3 years ago,"1:14 this bamboo shoot is larger than my brain, ahaha ~ what kind of you are, what kind of you are",1:14 这个笋子比我脑壳还大，啊哈哈～ 你这个算啥子哦
10655,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU7993jSt_c0nn,12,3 years ago,"below your comment, this guy @马xe, is one of those who doubt ziqi's videos' reality and firmly believe she has a large group of ppl who help her and train her do all those stuffs. he's one of those haters. i don't know why do they have to say words like this. maybe they are just so jealous. ziqi has pushed another video to explain how did she shot, edit videos and of course farm and cook nearly all by herself(https://www.youtube.com/watch?v=ovoslq-aep8). i just want to remind each ppl with kind heart who watch ziqi's videos. just don't believe every single word of those haters. i was a photographer, i know some techniques of shooting. i can notice some flaws in her video just as she mentioned in the link above, however i choose to ignore them because the entire video is soooo perfect. if she had a group of professional ppl who help her, those mistakes would never happen....definitely.",在您的评论下，这个家伙 @马XE是怀疑Ziqi视频的现实的人之一，坚信她有一大批PPL，可以帮助她并训练她做所有这些事情。他是那些仇恨者之一。我不知道为什么他们必须说这样的话。也许他们真嫉妒。 Ziqi推出了另一个视频，以解释她如何拍摄，编辑视频和当然的农场，并几乎独自烹饪（https://www.youtube.com/watch?v=ovoslq-aep8）。我只想提醒每个PPL，善良的心观看了Ziqi的视频。只是不要相信那些仇恨者的每个单词。我是摄影师，我知道一些射击技术。就像她在上面链接中提到的那样，我可以在她的视频中注意到一些缺陷，但是我选择忽略它们，因为整个视频非常完美。如果她有一群专业人士帮助她，那么这些错误就永远不会发生。
10106,UgzANMaAlqqhuhQW_AR4AaABAg,11,3 years ago,she is just proving genesis where god creates man and put him in a garden and tell man kind it will get all its needs,她只是证明了创世纪上帝创造人并将他放在花园里并告诉人类的创世纪，它将满足所有需求
19073,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392CulH9zLhK,10,3 years ago,"hi daisy, the absolute majority of them are friendly and kind. please also use common sense to keep yourself safe. good luck in asia.",嗨，黛西，他们中绝对多数是友好而友善的。还请使用常识来确保自己的安全。在亚洲祝你好运。
8071,UgxIa2BUK26ZkulsMjx4AaABAg,10,2 years ago (edited),"growing in a rural area, my hometown (iloilo philippines) i knew almost of the ingredients she uses and seen those in person. the method of how she prepares food is also not a surprise as we do the same thing in my hometown, it's just that the recipe is different. but i love how she promotes classic chinese cuisine๐’
i'm proud being raised in a rural area, being not an 'alien' to these kind of traditional life, tho now i'm working in the city and foreign country..","我的家乡（菲律宾伊洛伊洛）在农村地区生长，我几乎知道她使用的成分，并亲自见到了这些成分。她如何准备食物的方法也不令人惊讶，因为我们在我的家乡做同样的事情，这只是食谱不同。但是我喜欢她如何推广经典中国美食
我很荣幸在农村地区长大，不是这种传统生活的“外星人”，现在我在城市和国外工作。"
16951,UgyNC3YMRklZ5WgbaPZ4AaABAg,9,3 years ago (edited),this woman is amazing. she reminds me of my wife. my wife is korean. she's 54. her mother taught her how to ferment fruits and vegetables from the forest just like this woman does. we live in illinois. my wife loves this spring because we go out into the forest with baskets and collect berries and all kinds of fruits and vegetables. we go back home and my wife she sits on the kitchen for the patio out back and prepares all of the fruits and vegetables to ferment for a year. you haven't tried apple juice until you've had homemade apple juice from apples in the forest. or homemade pure grape juice from grapes in the forest. just one taste of this pure fruits and your body immediately responds to it. it is such a wonderful fresh flavor. it is amazing what fermentation does to plants.,这个女人很棒。她让我想起了我妻子。我的妻子是韩国人。她54岁。她的母亲教她如何像这个女人一样从森林中发酵水果和蔬菜。我们住在伊利诺伊州。我的妻子喜欢今年春天，因为我们带着篮子进入森林，收集浆果以及各种水果和蔬菜。我们回到家，我的妻子她坐在厨房里，将露台放回去，并准备所有的水果和蔬菜发酵一年。在森林中的苹果自制苹果汁之前，您还没有尝试过苹果汁。或来自森林中葡萄的自制纯葡萄汁。只有一种纯净的水果的味道，您的身体立即对其做出反应。这真是一种很棒的新鲜风味。发酵对植物的作用真是令人惊讶。
25824,Ugw9DO2HYEsxbdQXYMp4AaABAg,9,3 years ago,"game grumps sent me! i'm subbing, i love these kinds of videos.",游戏脾气使我寄给我！我正在招募，我喜欢这类视频。
31933,Ugz5SQzSVIB9U4-q1np4AaABAg.8yV2HUWJ-2e8yVXbrQDQOQ,9,3 years ago,"you look at her hands very rough. at first glance, it is the body of the work. i think this kind of often doing farm work. although it looks thin, the strength is definitely not small and the body is healthy.",你看她的手很粗糙，一看就是劳作的身体，我觉得这种经常做农活的，虽然看着瘦，但是力量绝对不小，身体也很健康。
9172,Ugztg3AWD6dCH_KutUp4AaABAg.9AMNSj7YvIf9BCWNiidmsC,8,2 years ago,"@yonglu5864 says this kind of words, who is ignorant?",@yonglu5864 说出这种话，谁才无知呢
33278,UgyNgzSfPXGIZudbv514AaABAg,8,3 years ago,"you are such a good person, your kindness to those old people is truely beautiful",你真是个好人，你对那些老人的好意真漂亮
10268,UgzRKZWNrShSMlevQKl4AaABAg,8,3 years ago,only people that living in provinces who can relate on this kind of life..!,只有生活在这种生活中的省份的人。
13197,UgzyEG-x5DvGQc6TjmB4AaABAg.95vgk7mV1I696HblQ90pZT,7,3 years ago,i think this big team work ! 1 or 2 person can't do this kind of production.,我认为这个大团队工作！ 1或2人不能做这种作品。
26877,UgyIms1hOLaWVF7KU-t4AaABAg,6,3 years ago (edited),"the western media often report that china is a terrible country. the government is very dictatorial, and always bully people, such as hong kong, xinjiang, and tibet. but china is very vast with 56 different nationalities, they also have a lot of social problems, but the government is working hard to solve it and narrow the gap between the rich and the poor, they try to make the chinese live better. i have lived in china for 35 years, the chinese are lovely and kind, they are peaceful, work hard and enjoy life, that's why the chinese love to cooking food so much!",西方媒体经常报告中国是一个可怕的国家。政府是独裁的，总是欺负人，例如香港，新疆和西藏。但是中国非常庞大，有56个不同的国籍，他们也有很多社会问题，但是政府正在努力解决这个问题，并缩小富人与穷人之间的差距，他们试图使中国人的生活变得更好。我在中国生活了35年，中国人既可爱又善良，他们宁静，努力工作并享受生活，这就是为什么中国人喜欢这么多烹饪食物的原因！
2385,Ugy9OSFGVlqSYNwMd0t4AaABAg,6,1 year ago,cant wait to go back to our hometown and have this kind of life too. i miss home!,不能等待回到我们的家乡，也有这种生活。我想念家！
17451,Ugwfj1qUkogV_c2cRmp4AaABAg,6,3 years ago,the advertisements kind of ruin the atmosphere. i wish there were no advertisements on these videos.,广告破坏了气氛。我希望这些视频上没有广告。
23409,UgxBVBYCMS7tNk1AeQh4AaABAg,5,3 years ago,i the kind of life you have... peaceful and bountiful... haaayyysss,我的生活……和平与富裕... haaayyysss
33723,UgyiCmqJ-Iy4o8MxYm94AaABAg,5,3 years ago,"i am always surprised how many different kinds of fresh foods you have on your land. it is great. 
thank you for making this lovely dish. also greetings to grandmother","我总是惊讶于您在土地上有多少种不同种类的新鲜食品。太好了。
感谢您制作这道可爱的菜。也向祖母问候"
33737,UgztOIkTepGJIhCTZqZ4AaABAg.8yUZ6-yKGlG8yUjW_qpUAc,5,3 years ago,she's a one of a kind woman. she deserves a one of a kind man.,她是一个善良的女人。她值得一个善良的人。
9437,Ugz1kYWQlRw1T-kH_nB4AaABAg,4,2 years ago,"iโ€m really hoping that she has a significant other that loves her and cherish her a lot. when i see someone that is as talented, kind, and overall a great person like her. i just want someone else to take care of her as she takes care of her grandma. maybe she is better off without the significant other. but for me, i just want that.",我真的希望她有一个重要的其他人爱她并珍惜她。当我看到一个有才华，善良且总体上像她这样的好人时。我只希望别人照顾她，因为她照顾奶奶。如果没有重要的另一个，也许她会更好。但是对我来说，我只想要那个。
13600,UgzL7SDZT3dRWnVUwKd4AaABAg,4,3 years ago,i don’t enjoy cooking shows and i don’t eat weird food (i’m more of a steak-and-potatoes-kind-a-guy) but that river snail soup does look damn good!!,我不喜欢烹饪表演，也不喜欢吃奇怪的食物（我更像是牛排和果仁奶酪 - 葡萄酒），但是那条河蜗牛汤看起来确实很好！
6411,UgyI9nz4i_lbbPOJ4YZ4AaABAg,4,2 years ago,the current society that is not named by the world is too abominable in this kind of life.,响往这种与世无争的生活 为名为利的现今社会太可憎了
28331,Ugy-UfRsD7_JQ46ukqx4AaABAg,4,3 years ago,"part of the reason why i enjoy watching these videos so much is that they remind me of how things used to be when i was little. granted, i am not a girl from china living on a vast farm like she does, but i did have a small place in kentucky where we took care of ourselves and harvested our own food like this. it's nice to see that there are some people out there who still take a moment to do things in a more old-fashioned kind of way.",我如此喜欢观看这些视频的部分原因是，它们使我想起了我小时候的情况。诚然，我不是一个像她那样生活在一个庞大的农场上的中国女孩，但是我确实在肯塔基州有一个很小的地方，我们在这里照顾自己并像这样收获了自己的食物。很高兴看到那里有些人仍然花点时间以一种更老式的方式做事。
20153,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91o-5lg7zpI,4,3 years ago (edited),"@johnvuu4679 there is so much land on this earth, have you even driven anywhere? have you ever left the city you live in? cities are tiny little specs compared to what is out there. 

and yes, not all land is fertile, that's why you don't try to live in a desert like all the morons in arizona and many other places. you can turn many deserts into grassland: https://www.youtube.com/watch?v=vpthi7o66pi&t=4s 

we grow fields upon fields upon fields of corn and soy to make garbage food that makes us sick while having useless lawns to show off to our neighbors that we can use a lawnmower when we could be making prime habitats for massive herds of animals that we can use as never ending food sources.

you can't afford to live off the land? that makes no sense, do you understand the concept here? you're living off the land, you don't need money.. nobody needs money for anything. it's worthless paper and digits in computers. you realize a couple hundred years ago people just rode wagons across america and picked a spot to settle right? i don't know the immediate answer to how to get land distributed to people who are willing to homestead, that's the hard part. i definitely wouldn't want the government involved. there is no easy solution for it, but the alternative is much worse. houses will be completely unaffordable throughout the world some day, and we'll all be even more of slaves to the corporate systems and governments than we already are. just wait, or just wait for your children to see... it's going to be a fucking nightmare. and it's going to happen, you're not getting the world to homestead, nobody is doing it. we're going the other direction and it's not stoppable.

ya, the population is growing, but as i said, you don't seem to have a clue how much land is out there, and people who cannot live off the land shouldn't be living.. why do you think we got into this situation? we cater to every little desire and whim of everybody all in the name of profit. if you have a strong family and community you can live off the land, anybody can do it, it's just a matter of not being a coddled sheltered half ass human being.

sure.. we've dug ourselves into a hole by chasing the dollars and carrots in front of our faces for centuries, but the solution has been staring us in the face the entire time.. most people are just too lazy and don't want to give up their lives of convenience for an honest living off the land. if you don't want an honest lifestyle living off the land and you want to live in a city full of conveniences and cancers then you're the problem. but you're in good company, probably 99% of people think that way. 

social backlash? like the social backlash from politics, unjust laws, and profiteering? just wait, you haven't even seen social backlash yet, this world is about to explode with social backlash. you're going to wish you had a homestead off the grid when it does.

the fact that i have to explain this to people shows how far gone the majority of mankind is. it's almost a shame that god has promised not to flood the earth again, we could really use a reset.","@johnvuu4679地球上有很多土地，你甚至在任何地方开车吗？您是否曾经离开过您居住的城市？与那里的城市相比，城市的规格很小。

是的，并非所有的土地都是肥沃的，这就是为什么您不像亚利桑那州和其他许多地方那样尝试生活在沙漠中的原因。您可以将许多沙漠变成草地：https：//www.youtube.com/watch?v=vpthi7o66pi&t=4S

我们在玉米和大豆的田地上种植田地，以制作垃圾食品，使我们生病，而无用的草坪可以向我们的邻居炫耀，我们可以在我们可以为大量动物群创造主要栖息地时使用割草机，我们可以使用割草机。用作永无止境的食物来源。

您负担不起居住的土地吗？那没有道理，您在这里了解这个概念吗？您在土地上生活，不需要钱..没人需要任何钱。这是毫无价值的纸和计算机中的数字。您意识到几百年前，人们只是骑着货车在整个美国都骑着货车，并选择了一个地点来定居吗？我不知道如何将土地分配给愿意居住的人的直接答案，这是困难的部分。我绝对不希望政府参与其中。没有简单的解决方案，但是替代方案更糟。有一天，全世界的房屋将完全负担不起，与我们现在相比，我们所有人都将成为公司系统和政府的奴隶。等一下，或者等待您的孩子看到...这将是一场他妈的噩梦。这将发生，您不会让世界进入宅基地，没有人在做。我们朝另一个方向前进，这是不可停止的。

是的，人口正在增长，但是正如我说的那样，您似乎不知道那里有多少土地，而无法生活的人不应该生存。这个情况？我们以利润的名义迎合每个人的每一个小小的渴望和兴起。如果您有一个强大的家庭和社区，您可以在土地上生活，任何人都可以做到这一点，这只是一个不做一个顽固的庇护半屁股人的问题。

当然..我们已经通过在脸前追着美元和胡萝卜数百年来挖掘了一个洞，但是解决方案一直在整个脸上盯着我们。想要放弃他们的便利生活，以诚实地生活在土地上。如果您不希望诚实的生活方式在土地上生活，而是想住在一个充满便利和癌症的城市中，那么您就是问题所在。但是您的公司很好，大概有99％的人以这种方式思考。

社交反弹？就像政治，不公正法律和盈利的社会反对一样？等一下，您甚至还没有看到社交反弹，这个世界即将在社交反弹的情况下爆炸。您将希望在电网上拥有一个宅基地。

我必须向人们解释这一事实，这表明了大多数人类已经走了多远。上帝已承诺不要再次淹没地球几乎是可惜的，我们可以真正使用重置。"
7604,UgyiOeDT8xjbOe8VYPh4AaABAg,4,2 years ago,the kind of discipline that i wish for myself...,我希望自己的那种学科...
17135,UgyTRI0spDFjmAXU5N94AaABAg.92nbZezvUnI92w5LY9MXwp,4,3 years ago,there are such kind of landscape in sw china everywhere,到处都是西南部的景观
15892,UgwFl1E_w9r47AutTh14AaABAg,3,3 years ago,"finally i found your channel youtube... natural and amazing i wish to live like this , i am in love with this kind of life",最后，我找到了您的YouTube频道...自然而神奇的我希望这样生活，我爱上了这种生活
16930,UgxJYvl-p7IYAGwuQcV4AaABAg,3,3 years ago,"the video is beautiful, but i like it, but i want to sue you. this kind of video is easy to mislead and be happy. the video is made by beautiful special,",视频很美我也喜欢但我要告你的是这种视频容易误导容易被幸福那些为生话而忙碌还不能幸福的老百女姓，你应该注解此视频不代表所有生活中的农民，此视频经过唯美特一制作，
20151,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91nqHK_iwRR,3,3 years ago,"@johnvuu4679 ok, so everybody lives on farms/homesteads and lives off the land like mankind did all throughout history. any questions?",@johnvuu4679好的，所以每个人都住在农场/宅基地上，像人类一样在整个历史上都生活在土地上。任何问题？
14888,UgznPteHz5GEMIMJmBR4AaABAg,3,3 years ago,she kinda looks like mina from twice,她有点像Mina两次
23357,Ugy5za9syylAFV3JprR4AaABAg,3,3 years ago,we can't get these kind of healthy and pure food in any city... even not after paying a hefty amount .... she is an true inspiration for all us,我们在任何城市都无法获得这种健康而纯净的食物...即使在支付了大量金额之后。
19978,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92TP0tybcJj,3,3 years ago,@craneywang2584 but most people in china is so kind,@craneywang2584，但中国的大多数人都很友善
31540,UgwAujlrORFp_eu4JBh4AaABAg,3,3 years ago,"wowww always your food is delicious and excellent i love all your videos such a beautiful house and beautiful landscapes that always accompanies music always your videos transmits me peace, tranquility and harmony always so cute and kind with your sweet grandmother how cute you look together in that beautiful house that looks like a fairy tale i admire you a lot thanks for some very beautiful videos this girl impresses me more every day, knows how to do everything and works hard i admire her a lot i love you friend greetings from spain
","WOWWW总是您的食物美味，很棒，我喜欢您的所有视频，如此美丽的房屋和美丽的景观，总是伴随音乐的视频，您的视频会传递我的和平，宁静和和谐总是如此可爱和友善，与您甜美的祖母一起友善，您可以在那样的可爱在一起看起来像童话的美丽房子，我非常佩服你，谢谢你的一些非常漂亮的视频，这个女孩每天都给我留下更多的印象
"
24623,UgzxqrM7qB7raqvHyn94AaABAg,3,3 years ago,webkingston company views - wow i love this woman. she beautiful and kind wow if i find this woman i love here' more than and my company.,Webkingston公司的观点 - 哇，我爱这个女人。如果我在这里找到我爱的女人，她比我的陪伴更美丽而善良。
12963,UgwMgluBzt94kjqU2wF4AaABAg,3,3 years ago,"from me 1000 thousand likes to a girl. beautiful, smart, very kind and caring. i wish her happiness and good luck!",从我的100万喜欢给一个女孩。美丽，聪明，非常友善和关怀。祝她幸福和好运！
27199,UgzyK0rw1VxjXSpxtz94AaABAg,3,3 years ago,her mountain land really has all kinds of wonderful edibles and plants. heaven on earth !,她的山地确实有各种各样的美食和植物。天上人间 ！
29052,UgyxBFiqpKDryhlhXr14AaABAg,3,3 years ago,"what a smart woman she is! i just love to watch liziqi video. such a calm, kind atmosphere.",她是一个聪明的女人！我只是喜欢看Liziqi视频。如此平静，友善的氛围。
29531,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58yc0272Tc8b,3,3 years ago,"@shiminli3966 we too love and respect chinese people, i have a chinese girlfriend she is so kind and respectful",@shiminli3966我们也爱和尊重中国人，我有一个中国女朋友，她是如此善良和尊重
8195,UgxGf1AqpM-LUUmY1_h4AaABAg,3,2 years ago,"it reminds me of my childhood, l like so much that kind of food .you cooking very well",这让我想起了我的童年，我很喜欢那种食物。你做得很好
18623,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92gpvlcs_k1,2,3 years ago,"@alexandernorrie, i am really huh, and it really is more brain -disabled than bai zuo. which country and which nation has no civil war and no internal fighting? according to your statement history, the south american war, during the cold war, mccarthyism strongly persecuted the elite suspected of the communist party, the persecution of the privilege, and so on. are these people who kill their own people? who is more noble than whom? take this kind of stuff to demonstrate how the chinese are ugly. i think you don't read this history. how deep do you know about industrialization? how much can your parents and ancestors contribute to the country?
i'm really not a nationalist. foreign friends mentioned that mao talked about it. the prejudice person like you is full of bias. you have no shame, it is really funny.","@alexandernorrie 我真是呵呵了，果然黄右比白左更脑残。哪个国家哪个民族没有内战没有内部互殴了？按你的说法历史上美国南美战争，冷战期间麦卡锡主义大力迫害有亲共嫌疑的精英，欧洲迫害新教徒等等等等，这些算不算自己人杀自己人啊?谁比谁更高尚啊?拿这种玩意去论证中国人如何丑恶我觉得你这历史不读也罢。你对工业化了解又有多深啊,父辈和祖辈为国家贡献的血汗你又能看到多少?
我还真不是什么民族主义者，外国友人提到毛就说了一下相关而已，像你这种充满偏见的偏激人士还满口you have no shame，真的挺好笑"
16980,UgwVz01figG9pcPUCHB4AaABAg,2,3 years ago,i wish we can go back and live like this kind of healthy and peaceful life.,我希望我们能像这种健康与和平的生活一样回去生活。
