,cid,votes,time,含kind,含kind中文翻译
36000,UgyhyXflybsr2hUCb_B4AaABAg.8uYsqKM0ju78ujHKECo9NE,33,4 years ago,"โ€ @bellabana โ€ bellabana no, it's more a culture thing. in some countries, they don't feed pets pet food, they feed them with whatever they're eating, i.e, human food. so pets get used to the smell & whenever they smell human cooking, they think it's meal time. they might beg for food but that doesn't mean they're hungry. my family used to have pet cats, they're just like that. we could be just feeding them two full plates, they'd still come & meow at our dinner table. 

our cats eat everything, rice, broccoli, tomato, lettuce... besides meat. you wonder why, huh? because that's what they grew up eating, and that's what they know as food. as long as it's food to them, they'd follow, even if they're fed. if you own pets, you would know about this. 

my neighborhood doesn't raise our pets like in the west, where owners usually lock them indoor all the time. we let them roam around freely. they all go around begging for food when neighbors are cooking. as a result, we all know about others' pets, and we are fine with them. people don't always feed them, so they know they have to come home for a proper meal, but they'd get a piece here & there, so it's like snacks for them. 

every once a while a neighborhood auntie would come up to my mom, beaming, and said, hey your cat just frequented me yesterday! ... oh do you hear him? he's frequenting someone else now...! my mom be like, yeah... guess my cooking is his least favored... the auntie be like, that's not true! pets are like that, they go around for food but they know they can always have it back home.... and then they both laugh it off.... 

this is just a different culture of doing things, it's not necessarily bad or cruel just because it's different from your way of doing it. calling ppl out without knowing their background is judgmental, and kinda condescending, you know, not nice. so yeah....","@bellabana bellabana不，这更多是一种文化。在某些国家，他们不喂宠物宠物食品，而是用他们吃的任何东西，即人类食品喂食。因此，宠物习惯了气味，每当闻到人类烹饪的气味时，他们都会认为这是用餐时间。他们可能乞求食物，但这并不意味着他们饿了。我的家人曾经有宠物猫，他们就是这样。我们可能只是在给他们喂两个完整的盘子，他们仍然会在我们的餐桌旁来和喵。

我们的猫吃了所有东西，米饭，西兰花，番茄，生菜...除了肉。你想知道为什么，是吗？因为那是他们长大的饮食，这就是他们所知道的食物。只要对他们来说食物，即使他们被喂食，他们也会遵循。如果您拥有宠物，您会知道这一点。

我的邻居不会像西方那样养宠物，那里的业主通常一直在室内锁定它们。我们让他们自由地漫游。当邻居在做饭时，他们都四处乞求食物。结果，我们都知道别人的宠物，我们对它们很好。人们并不总是喂他们，所以他们知道他们必须回家做适当的饭菜，但是他们在这里和那里都会得到一块，所以这就像小吃一样。

每隔一段时间，一个附近的阿姨会来找我妈妈，笑着说，嘿，你的猫昨天只是经常光顾我！ ...哦，你听到他的声音吗？他现在正经常去别人...！我妈妈就像，是的...猜猜我的烹饪是他最不喜欢的……阿姨就像，那不是真的！宠物就是这样，他们四处寻找食物，但他们知道他们总是可以把它放回家。...然后他们俩都笑了...。

这只是做事的一种不同的文化，不一定是坏事或残酷的，因为它与您的方式不同。在不知道自己的背景的情况下召集PPL是有判断力的，有点屈服，您知道，不好。嗯是的...."
2424,Ugw1PwIYK0oZ3iaLDRB4AaABAg,31,1 year ago,"the first time i saw this kind of video, watch 100 million times to watch",第一次看见这种视频1亿次观看
28757,UgzKi3tB0DdG7t1i2xp4AaABAg,31,3 years ago,i feel like i'm watching some kind of cartoons/anims.,我觉得我正在看某种卡通/动画。
16710,UgxKTlCAdOs4VwXmy414AaABAg,29,3 years ago,"my family is rich and living in big houses. doing etiquette is not easy since im still young and need to learn. but all i want is that! that kind of life! with no maides , all by yourself. look at that cute puppys and sheep.",我的家人很富有，住在大房子里。做礼节并不容易，因为我还很年轻，需要学习。但是我想要的就是！那种生活！没有女仆，一个人自己。看那个可爱的小狗和绵羊。
32603,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8w-cJxkTj0s,24,4 years ago,my parents use to live like that in vietnam but they were kind of poor. they usually make traditional foods like these and now we live in australia.,我的父母曾经在越南生活过这样的生活，但他们有点贫穷。他们通常制作这样的传统食物，现在我们住在澳大利亚。
41520,Ugx6Kg-s6YnCahHDxrN4AaABAg,23,4 years ago,these videos are truly amazing. it really makes me want to enjoy and appreciate that kind of lifestyle as it is so different from living in an urban society!,这些视频确实很棒。这确实使我想享受和欣赏这种生活方式，因为它与生活在城市社会中截然不同！
18350,UgyVnU8FwUnNwJQ_NBZ4AaABAg,22,3 years ago,i truly admire this lady. she is so well rounded and skilled at so many things and is kind to her family. best wishes always to her.,我真的很佩服这位女士。她在很多事情上都非常圆润，熟练，对她的家人很友善。祝她最好。
15469,UgyjBdbZkjS2XC_c5hd4AaABAg,22,3 years ago,"2020 - this time of pandemic, it seems that i wanna go back to our province, and do all these kinds of living, so simple but pure of happiness no stress and so relaxing.
i like your lifestyle ms. liziqi, keep it up and god bless u always.
i'm your avid fan's from the philippines.","2020年 - 这一次大流行，似乎我想回到我们的省，做所有这些生活，如此简单但纯净的幸福没有压力和放松。
我喜欢您的生活方式Liziqi女士，请继续前进，上帝永远保佑您。
我是菲律宾的狂热球迷。"
30194,Ugx4D3n1zdfLT9adqXl4AaABAg,22,3 years ago (edited),"how could someone dislike this kind of video? so relaxing and admirable.
perhaps those who dislike it are envious of your life and skills.","有人怎么会不喜欢这种视频？如此放松和令人钦佩。
也许那些不喜欢它的人羡慕您的生活和技能。"
22324,UgwhJSpwyVaG7QPVBvl4AaABAg,21,3 years ago (edited),she kinda resembles mina from twice. both look elegant and demure.,她有点像Mina两次。两者看起来都优雅而肮脏。
19119,UgzePYYBvt4RUQ5XovJ4AaABAg,18,3 years ago,i'm holding my grandmother's ears .... what kind of kind (´ ； ω ； ｀),我握着祖母的耳朵....什么样（´；ω；）
37497,UgzhkGHwjVwKAfdWPYZ4AaABAg,17,4 years ago,"my god what kind of girl well done, i would also like to live, working funnyly makes takuyuyvyki",我的上帝做什么样的女孩做得好，我也想生活，开心地工作使takuyuyvyki
30158,Ugyaxtud1qUg1J1622F4AaABAg,17,3 years ago,i have never ever saw this kind of a youtube channel. this is so amazing and i just can't stop watching. keep making such a wonderful videos.,我从未见过这种YouTube频道。这真是太神奇了，我只是不能停止观看。继续制作如此精彩的视频。
6059,UgypDTBfFVTh94R9RAB4AaABAg,17,2 years ago,"watching more than 90 million times, all kinds of languages, so scary! it's so beautiful, i can really evoke my childhood memories",9000多万次观看，各种语言评论，好吓人啊！太美了，真的能勾起童年回忆
2261,UgwojBqA1rIKuxWouGZ4AaABAg.9ZO-yY69gDD9ckQnnMY4Mb,17,11 months ago,@annagoland i just watched a show about the american designer halston who kinda sold his name as a trademark to a huge business corporation and got kicked out later on. sounds like li is in a similar situation here. hope she gets her shares back,@Annagoland我刚刚看了一场关于美国设计师Halston的节目，他有点名字作为商标卖给了一家大型商业公司，后来被踢出去。听起来像是李在这里处于类似情况。希望她能回分享
2657,UgyARoOLM2QWfR5YADh4AaABAg,16,1 year ago,very tender girl. such calmness and kindness from it blows,非常温柔的女孩。这种镇定和善良的打击
13405,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9C0DvuZfcSq,16,2 years ago,"this story kinda reminds me of a game
tour of neverland:*pops right outta no where* me?","这个故事让我想起了一个游戏
梦游之旅：*弹出在哪里*我在哪里？"
27709,UgyBT_uobGddYNwbPmB4AaABAg.8z8aAC7Hduu8zTxg2yZJZ_,14,3 years ago,"@manumanu5900 - you do know that that sounds kind of creepy and stalkerish, right? famous influencers should never let strangers come into their lives. they could be crazy and want to stay or marry her - anything.",@manumanu5900-您知道这听起来有点令人毛骨悚然和偷偷摸摸，对吗？著名的影响者绝不应该让陌生人进入他们的生活。他们可能疯了，想留下或嫁给她 - 任何东西。
14959,UgzQFZjwbIZbXdm0Jsx4AaABAg,14,2 years ago,"this warms my heart..everything looks delicious and well prepared..
you are hardworking and kind
i want this kind of life..where everything is simple and with nature","这使我的心温暖..一切看起来都很美味，准备充分。
你在努力工作
我想要这种生活。一切都很简单和自然"
48533,UgyklUqYt3lQKlQVPNZ4AaABAg.8qmpdK4kzrT8qoS1pOFkN5,14,4 years ago (edited),"@user-iv6iv5co1v period, she was also at the beginning of the period as us, like us, as much as a white-collar worker like the crowds like most nine to five. later, her only relative grandmother was not in good health. the savings of hard work are not enough. later, she thought of the internet and started selling her hand made cosmetics, but you also knew that competition in the sea of ​​taobao was so fierce. her cosmetics had no reputation at all. the scenery of the scenery, unlike other anchors, do everything possible to win the eye -catching things, but the realistic daily life, that is, cooking, cooking, cleaning the courtyard, and taking some of their hometown of the beautiful scenery. essence when various information is explosive, all kinds of dazzling visuals cause aesthetic fatigue to return to the truth. and li ziyi's bland, beautiful, beautiful and simple rural local customs meets this demand, so she has become an internet celebrity.",@user-iv6iv5co1v 期初她也是和我们一样在大都会随着人潮像大多数朝九晚五的白领，后来她唯一的亲人奶奶身体不好，她不得不回到家乡照料奶奶，但是光靠那点打拼的积蓄是不够的啊。后来她就想到了网络，开始销售自己hand made化妆品，但你也知道在淘宝那个大海中竞争那么激烈，她那个化妆品根本没什么名气几乎没什么收入，后来她想到了想让大家分享她在家乡的美丽风光风土人情，不像别的主播千方百计想博得吸引眼球做奇葩的事情，而是很写实的她的日常生活，就是做菜，做饭，打扫庭院，拍些她们家乡那些美丽风光，结果火了。在繁杂各种信息爆棚，各种各样眼花缭乱的视觉造成审美疲劳时人们常常追求的就是返璞归真。而李子柒的平淡无奇唯美朴实的乡村风土恰恰满足了这种需求，所以她成为了网红。
33771,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vyqo-vgdSZ,14,4 years ago,i would love to live this kind of life. surely there must be a natural local alternative for the plastic bags she used. i like the mix of old technology and fresh hd filming.,我很想过这种生活。当然，她使用的塑料袋必须有天然的当地替代品。我喜欢旧技术和新鲜高清拍摄的组合。
14076,UgyLs6BMaZ8dBk8sHH54AaABAg,13,2 years ago,"nostalgic sight, this kind of life is happy.",怀旧的景象，这种生活很幸福。
30529,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xHhTbtbPLL,13,3 years ago,"@odee126 man you're just brainwashed by west propaganda. this girl made videos on china's website such as bilibili far more early than youtube along with other video makers. they join youtube because of competition and the huge benefits. another reason is that almost every village of china now connects to 4g, so you see more villager using youtube and upload videos now. talking about their tool vpn, it is legal to use but illegal sell it, we have no problem if we just use it. furthermore, this is also not a better image of china, the real better image of china is an advanced, tech-originated country which we are going to meet soon lead by our government. so i am pretty sure that there is no national support for this kind of videos, it is just your own imagination based on the bias to china and anti-china's west propaganda you've received in decades.",@odee126男人，你只是被西部宣传洗脑了。这个女孩在中国网站上制作了视频，例如比利比利（Bilibili）和其他视频制作人更早。他们由于竞争和巨大好处而加入YouTube。另一个原因是，中国几乎每个村庄现在都连接到4G，因此您现在看到更多的村民使用YouTube并上传视频。谈论他们的工具VPN，使用合法，但非法出售它，如果我们只使用它，我们就没有问题。此外，这也不是中国更好的形象，中国的真正更好形象是一个先进的，以技术培养的国家，我们将很快见到政府的领导。因此，我很确定没有国家对这种视频的支持，这只是您自己的想象力，基于对中国的偏见和您几十年来您收到的反中国的西方宣传。
26998,Ugw91qCHqH9O7yiFqPd4AaABAg,12,3 years ago,"peaceful land vs. overstimulated city. this kind of things makes value those litle moments, sunrises, good food and company. bring my grandma back to life and share this kind of journey with her, would be the most priceless experience. if you read this comment, wish you the most beautiful trip to the happiness.",和平土地与过度刺激的城市。这种事情使那些散布的时刻，日出，美食和公司都珍视。将我的祖母重新栩栩如生，与她分享这种旅程，这将是最无价的经历。如果您阅读此评论，请祝您幸福的最美丽之旅。
12011,UgwMefpZ7ECwSgwsdIx4AaABAg,12,2 years ago,this beautiful young lady lives in heaven. she is caring and kind.,这个美丽的小姐住在天堂。她在关怀和友善。
36651,Ugw9FVHPiGSKnK4o_YN4AaABAg.8uRWNS5pzas8uZ3ZGihmw2,11,4 years ago (edited),mike rotch she uses the sheep for wool- normally its more affordable to get profit off of annual wool rather than killing an animal you poured so much work into. she does seem to use meat products but it kind of looks like beef to me,迈克·罗奇（Mike Rotch）她使用羊毛来羊毛 - 通常是从每年的羊毛中获利，而不是杀死您倒入大量工作的动物。她似乎确实在使用肉类产品，但对我来说看起来像牛肉
19828,UgyTQdr4ht2C6TjRvft4AaABAg.95I2cr0D_Rv96E1ZXKbSCI,11,3 years ago,"@egoegoegosum https://raknife.com/li-zi-qi/ this article has all the information about her, this is not staged: she started out doing everything alone before she became more famous, earned a bit more money and could therefore hire an assistant and a cameraman. this is the life that she's been living since she was small, and many years of doing such hard labour as this on a daily basis tends to make one stronger. you get used to having to pick up a couple of kilos of fruit if you have to do it every time there's a harvest, and out in the countryside, you've got no choice but to do these kinds of things on your own. there's a ton of footage you have to take of many many different camera angles and when editing, almost half of these are discarded because you're supposed to pick the best angles to give you the feeling in the video that you want to. editing is a form of magic in its own way, just ask anyone who's working in editing",@egoegoegosum https://raknife.com/li-zi-qi/本文拥有有关她的所有信息，这不是上演的：她在她变得更加出名之前就开始独自做所有事情，赚了更多的钱，因此可以雇用助手和摄影师。这是她从小就一直过着的生活，而且每天都在做这类艰苦的工作很多年，往往会使一个人变得更强大。如果您必须每次收获时，就必须习惯于捡起几公斤水果，而在乡村，您别无选择，只能自己做这类事情。您必须了解许多许多不同的摄像头角度，并且在编辑时，几乎其中一半被丢弃，因为您应该选择最佳角度，以使您的视频中的感觉。编辑是一种魔术的形式，只需询问任何正在编辑的人
10917,Ugx2ovKTQW2bqzLBB1t4AaABAg,11,2 years ago,"it's kind, the doggy and mr. yagi are chasing for a long time โ",很善良，狗狗和Yagi先生很长一段时间
27606,UgxAdc2OTCtdIOn125V4AaABAg,10,3 years ago,"the fellow unintentionally saw your video and liked you so much. this kind of life has always been my dream, support you!",老乡无意中看到你的视频，太喜欢你了，这样的生活一直是我的梦想，支持你哦！
37308,UgwpqObiQnRWC5Q2taR4AaABAg,10,4 years ago,kindly write ur channels name in english.. so that we can find it easily!,请用英语编写您的频道名称。.这样我们可以很容易地找到它！
40757,UgwVD-90Mel6IjnH2Ip4AaABAg,9,4 years ago (edited),wooow this kind of life is so beautiful healthy and relaxing.. i wish i was you,哇，这种生活是如此美丽而放松。我希望我是你
17610,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982KQSHMxyA,8,3 years ago,"@heardistance hmm, not well educated... if a german phd candidate is not well educated i really do not know what kind of country's people can be identified as so much better well educated. of course, you can debate german professors are pretty bad quality even work with me who comes from such a poor country called china, so poor, unbelievable.",@heardistance嗯，受过良好的教育...如果德国博士学位候选人受过良好的教育，我真​​的不知道可以将哪种国家的人确定为受过良好教育的人。当然，您可以辩论德国教授的质量也很差，甚至与我来自如此贫穷的中国国家，如此贫穷，令人难以置信的国家。
21145,Ugz6_DFAdzCQp_yfrwN4AaABAg,8,3 years ago,"it is a kind of enjoyment to see the girl's mali and clean work. of course, the beautiful picture is more divided. rural life can be a realistic documentary or a story movie, but the form of art is different.",看姑娘麻利干净的干活是一种享受，画面美丽当然更加分。田园生活可以是写实纪录片，也可以是故事电影，不过艺术形式不同而已。
14186,UgxUTMsIUuBAwoeci1V4AaABAg,8,2 years ago,"the pastoral planting 100 kinds of fruits, the handwriting twist is the diverse food of the ingredients
world ranking bread masters have pk","田园自栽种百种果实,信手捻来都是食材做出多样化的美食
世界排名面包师傅都有得pk"
16591,UgzHnM9DE-mphHZ0cix4AaABAg.98_wi1tgMYI98aY0KHLq56,8,3 years ago,spongebob trickstar the sand heats the peanuts evenly，besides，this kind of stove is not easy to control the fire， sand keeps the peanuts from burning,Spongebob Trickstar沙子将花生均匀加热，此外，这种炉子不容易控制火，沙子可以防止花生燃烧
17369,UgwwyD_r_6zu0aiCzul4AaABAg.97yQCtu0tAY989lyToLmuC,8,3 years ago,yes and she's a kind hearted person the animals kept following her around. haha,是的，她是一个善良的人，动物一直跟随她。哈哈
5688,UgwFofQEUR1ml_w4_Td4AaABAg,8,2 years ago,man....this is soo unreal ...but real kind of a place ...and...this girl tooooo,伙计....这是个虚幻的...但是真是一个地方...而且...这个女孩Tooooo
8833,Ugwk2-mjoa5udeePtLR4AaABAg,8,2 years ago,"omg, it's my first time seeing a mango without seed. what kind of mango is that?",天哪，这是我第一次看到没有种子的芒果。那是什么样的芒果？
16181,Ugz2Gjpul13TiuoJj9F4AaABAg.98rhLA7jw4W99cQZTm-Ip0,7,3 years ago,"she made money out of this but her friend said liziqi is just so humble. so much simplicity n her. she chose this kind of lifestyle bcause its how she'd been raised. most of her life, she spent it with her grandparents so i dont understand that there are still hate towards her.",她从中赚了钱，但她的朋友说利兹基太谦虚了。她这么简单。她选择了这种生活方式，因为她的成长方式。她一生的大部分时间，她都与祖父母一起度过，所以我不知道仍然对她有仇恨。
42066,UgwCNzUMmIO5PpyGlmp4AaABAg.8rn06hdeAi58ryQC18nYRO,7,4 years ago,"in china people call many different kinds of seeds as 'melon seeds', such as watermelon seeds, pumpkin seeds, etc. especially sunflower seeds although it has nothing to do with any melon, but chinese people are used to call it melon seeds. it is difficult for foreigners to understand it literally, but this is just like some conventional words people have used for thousands of years.",在中国，人们称许多种类的种子为“瓜籽”，例如西瓜种子，南瓜种子等。尤其是葵花籽，尽管与任何瓜无关，但中国人被用来称为瓜子。外国人很难从字面上理解它，但这就像人们数千年来使用的一些传统词一样。
15504,Ugxc3P4gm9ZdXO3xNup4AaABAg,7,3 years ago,"your work is great. congratulations to your friends and kind friends, thank you deeply",您的工作很棒。祝贺您的朋友和亲切的朋友，深表谢意
35325,UgwUwHhKpxIoaF5fLF94AaABAg,7,4 years ago,she is a fairy beauty immediately visible a kind clerk ๐โ€โ€๏ธ๐orn,她是一位童话美女，立即可见一个善良的文员
3931,UgwotmtFc10S3wLypwl4AaABAg,7,1 year ago (edited),"2021年9月20日 this is more of a real life recording than staging. incredible genius and artist 

of course now ziqi can afford any kind of “staging “ . but she does not need it. 

her cost of making each video is almost neglect-able relative to the money she is getting out of it. 

talking about the art of making money? ziqi is indeed a genius of making both us dollars as well as rmb. she did not intend it though. to her, it has been a big surprise i guess. 

ziqi deserves everything. she earned it all. 

leave her alone!!!! i mean everyone!!! let her just create more videos. that’s the best way for her to serve this world, serve humanity. 

government involvement of any kind will only destroy this beauty. 

the beauty of the digital world. 

a real person in life. a loving granddaughter. a real “people’s artist “and, an amazingly hard worker","2021年9月20日这更像是现实生活中的记录，而不是舞台。令人难以置信的天才和艺术家

当然，现在Ziqi可以负担任何类型的“分期”。但是她不需要。

相对于她从中赚钱的钱，制作每个视频的成本几乎是可忽略的。

谈论赚钱的艺术？ Ziqi确实是赚钱和rmb的天才。她不打算。对她来说，我猜这真是一个很大的惊喜。

Ziqi应该得到一切。她赢得了全部。

放过她！！！！我的意思是每个人！！！让她创建更多视频。这是她为这个世界服务，为人类服务的最好方法。

政府参与任何形式只会破坏这种美丽。

数字世界的美丽。

生活中的真实人。一个充满爱心的孙女。一个真正的“人民艺术家”，一个非常勤奋的人"
31770,Ugy3BWnJT-NjdW67RWN4AaABAg,7,4 years ago,what kind of camera do you use to record your videos with?,您使用哪种相机录制视频？
18157,UgyyaE8_ewXPXjqemJt4AaABAg,6,3 years ago,"liziqi, is the best of the best.... knowledge of so many kind of traditional chinese cuisine,.... jz wish her always living happily...",利兹奇（Liziqi），是最好的。。。。。。。。。。。。。。。。。
9903,UgzP0xpo1CJeEK2pr7V4AaABAg,6,2 years ago,this is the kind of life i wanna live ~,这是我想要过的生活〜
362,UgwrX2qYR0to4LbN5-Z4AaABAg,6,2 months ago,i am also from sichuan. rural sichuan can really live like this. the richness of all kinds of products is the kind that small countries cannot imagine. i have been in europe for nine years.,我也是四川人，四川农村还真可以过成这样，各种物产之丰富是小国想象不到的那种，唉欧洲呆了九年了，想家
33867,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd492acFTRhwh3,6,3 years ago,"justicefornichole 

i am a 66 year old chinese guy living now in california. i have done a lot of things li ziqi has been showing here when we were forced to go to rural areas during the cultural revolution between 1966 to 1976. 

only difference is that li ziqi does things so much better than us at similar age. 

i am deeply touched, inspired, and most importantly, i am quite motivated, realizing i could learn tremendously from a girl much younger than my child.

ziqi suffered so much in her life earlier and started this all by herself alone, in the beginning. 

and of course she has a team now and no longer working alone . she literally earned everything and deserves it. 

the great majority of the people here are showing respect, admiration and love. 

let us just be nice and kind to one another.","JusticeFornichole

我是一个66岁的中国人，现在住在加利福尼亚。当我们在1966年至1976年之间被迫去农村地区时，我做了很多李齐（Li Ziqi）在这里展出的事情。

唯一的区别是，李齐（Li Ziqi）在类似年龄的情况下做的事情比我们要好得多。

我深深地感动，受到启发，最重要的是，我很有动力，意识到我可以从一个比孩子年轻得多的女孩那里学到很多东西。

Ziqi在她的生活中遭受了很大的痛苦，一开始就独自一人开始。

当然，她现在有一个团队，并且不再独自工作。她从字面上赢得了一切并应得的。

这里的绝大多数人都表现出尊重，钦佩和爱。

让我们变得友善，彼此友善。"
