,cid,votes,time,含perfect,含perfect中文翻译
17608,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982DXstbU_V,24,3 years ago,"@heardistance i have no idea about other chinese area's rural life but in sichuan, more specifically, the countryside area around chengdu, the environment, the village, the landscape and the lifestyle, the food are pretty much the same as what they showed in ziqi's video. i know it because i also come from this area. i agree with it looks too perfect but why it can not even look perfect? she works really hard and shares with us how beautiful and how peaceful life can be...why would she show how sad she is how realistic and shitty the life look like? it doesn't make sense. i guess you have some wrong identifications of this channel or you just misunderstand what things she would like to share us about. it's like doing a project, your boss gives you an appraisal and says ok, it's well done but looks too perfect so it's fake it's impossible....hmmm. i don't think anyone will give any appraisal like that. and this channel is not a documentary about recording how poor chinese people are in china. i would suggest you can look for those videos from bbc or cnn or anywhere on youtube, online etc. i am sure there are a lot of videos or whatever news will keep rising your doubt about the reality of ziqi's video.",@heardistance我不知道其他中国地区的乡村生活，但是在四川，更具体地说，是成都周围的乡村地区，环境，村庄，景观和生活方式，食物与他们在Ziqi中所展示的食物几乎相同视频。我知道，因为我也来自这个领域。我同意它看起来太完美了，但是为什么它甚至看上去都不完美呢？她真的很努力，与我们分享了多么美丽和和平的生活……为什么她会向她表现出多么可悲的生活，这是多么现实和卑鄙的生活？这没有道理。我想您对此频道有一些错误的识别，或者您只是误解了她想分享我们的事情。这就像在进行项目一样，您的老板给您评估，说得好，做得很好，但看起来太完美了，所以这是假的，这是不可能的....嗯。我认为没有人会这样评价。这个渠道并不是关于记录中国人在中国的多么可怜的纪录片。我建议您可以从BBC或CNN或YouTube，Online等任何地方查看这些视频。我敢肯定，有很多视频，或者任何新闻都会不断提高您对Ziqi视频现实的疑问。
38356,Ugye3_5jXS-UcerUzbp4AaABAg,23,4 years ago,that place look so perfect that seems a hollywood studio. is this video really true?,那个地方看起来很完美，看起来好莱坞工作室。这个视频真的吗？
32420,UgylVgrLDVEGWq2lf7V4AaABAg,23,4 years ago,"so beautifull,peace & natural
your videos maka everything looks perfect& feel like in heaven","如此美丽，和平与自然
您的视频Maka一切看起来都完美，感觉在天堂"
25140,UgxRrf7qoHh7GG-sSzV4AaABAg,22,3 years ago,this woman lives in heaven.. that much i can say.. everything seems to perfect ๐ฅบ๐ฅบ๐ฅบ... not going to lie.. really jealous๐’๐’๐’,这个女人住在天堂..我能说的那么多..一切似乎完美
31998,Ugw-v2ukGlN3XhFP2fN4AaABAg,21,4 years ago,this can be a perfect asmr video...am feeling sleepy,这可能是一个完美的ASMR视频...很困
45892,Ugzwdeqs57AzTAoMvY14AaABAg,21,4 years ago,"your video production and edit skills are so perfect. you do everything so well and when you combine that with all the skills you show in these videos, i find it inspiring.",您的视频制作和编辑技能是如此完美。您会做得很好，当您将其与这些视频中显示的所有技能结合在一起时，我会发现它令人鼓舞。
37516,UgygxPB5Nnh5LDT2LDx4AaABAg.8u1NbgRB1NN8uC6fzJaBYp,20,4 years ago,yes definitely! iโ€m an introvert who unreservedly loves my family and nature so this lifestyle would fit me perfectly. i really have a tough time working with jerks in the city so yeah...,当然是！我是一个性格内向的人，他不保留我的家人和自然，所以这种生活方式将非常适合我。我真的很难与城市的混蛋一起工作，所以是的...
19825,UgyTQdr4ht2C6TjRvft4AaABAg.95I2cr0D_Rv95mupd-ekvY,19,3 years ago,"everything on the internet is real xd . 

dude offscreen there are people helping . more than half is staged .
you think all these perfect camera angles and perfect timings are apearing by magic ? 
i just love the visuals and eye candy and this channel makes me n lots people happy .","互联网上的所有内容都是真正的XD。

杜德（Dude）在屏幕外，有人在帮助。一半以上是上演的。
您认为所有这些完美的相机角度和完美的时机都是魔术的嘲笑吗？
我只是喜欢视觉效果和眼睛的糖果，这个频道使我很高兴。"
2626,UgwPqnH1HfJzwIQtd7t4AaABAg,17,1 year ago,"oh my god,how i feel so happy when liziqi has answered all my questions on how they make many food such us, peanut 's.your idea ,your perfect",哦，天哪，当liziqi回答了我如何制作这样的许多食物，花生
28834,Ugz6U7SiDjwjCyp4wK14AaABAg,15,3 years ago (edited),"i can watch ur videos whole day long... i am from arunachal pradesh, india... we r similar in many ways... its my pleasure watching you... u r just perfect.. lots of love from india..๐",我整天都可以观看您的视频...我来自印度的阿鲁纳恰尔邦...我们在许多方面都相似...我很高兴看着您...您只是完美的..来自印度的很多爱。 .
2362,UgyXSyqGaLU2zkz0hzt4AaABAg,12,1 year ago,she's the true definition of perfection she's so majestic . ah i'm missing her,她是完美的真正定义，她是如此雄伟。啊，我想念她
14355,Ugxj-HMcH61y0Or4_9N4AaABAg,9,2 years ago,"this videos are the most perfect beautiful audiovisual i ever seen.
just the sound is enough to sleep me in perfect peace. i use this for sleep for real.
this are masterpieces.","这些视频是我见过的最完美的视听。
只是声音足以让我在完美的和平中睡觉。我将其用于睡觉。
这是杰作。"
41835,UgwNbCX3XHxMP1LcKRJ4AaABAg,8,4 years ago,perfect. greetings from turkey,完美的。土耳其的问候
32280,Ugx678sLlGtdoqFjWBd4AaABAg,8,4 years ago,"perfect combination of brain with beauty !!! love those cute puppies and the environment around !! 
so satisfying","大脑与美丽的完美结合！！！爱那些可爱的小狗和周围的环境！
如此令人满意"
18945,UgxAryoPCM8dkD0AtbR4AaABAg,7,3 years ago,"she is picture perfect her elegance evident. purely sojourned the earth in quiet majesties. traveling time within true pursuits, her devotees follow by her side adoring always how genuine the effort at life rewards. partakers one an all is precious, all together joined is divine.",她的画面很明显。纯粹是在安静的少年中逗留地球。在真正的追求中旅行的时间，她的奉献者跟随她的身边，始终崇拜人生奖励的真实努力。党派一个全部是宝贵的，共同加入的是神圣。
9318,UgwKA_X8DCx5oWgaWTt4AaABAg,7,2 years ago,"li ziqi: slices her mango to perfection 
me: cant even cut it into the hedgehog thing","李齐（Li Ziqi）：将她的芒果切成完美
我：甚至无法将其切入刺猬"
7863,UgyefPvWKW1BWLo737Z4AaABAg,6,2 years ago,such a perfect life on earth she's living..,她生活在地球上的完美生活。
21791,Ugy7hAlrhiGOW4UxzV94AaABAg,6,3 years ago,i want to know whoโ€s the videographer? because video and camera lens are perfect.,我想知道谁是摄影师？因为视频和相机镜头非常完美。
51234,UgwjZ1JkNulZFHS2BTd4AaABAg,5,4 years ago,"on earth, a person cannot be more perfect than life and activity in it !!!! a glorious girl, there is no limit to the knowledge of a person, if you really want it, to comprehend tirelessly !!! with a deep sense of respect and gratitude with chechnya.",在地球上，一个人不能比其中的生活和活动更完美！！！！一个光荣的女孩，如果您真的想要一个人的知识没有限制，那么不懈地理解！！！对车臣有深切的尊重和感激之情。
50415,UgxWk7EIJyLkIDdBjFF4AaABAg,5,4 years ago,she looks like the perfect model for ning xi,她看起来像是宁XI的完美模特
20691,UgwmBbWwG-M28NvSmQB4AaABAg,5,3 years ago,i feel like this is too perfect for being real,我觉得这太完美了，无法成为现实
718,Ugxp7iMqKphxesA4YRt4AaABAg,5,5 months ago,"her lawsuits in china have been solved perfectly. although time has passed for so long, i have not forgotten her. i believe she will bring us a new surprise
her troubles have ben solved, and maybe in another month or two will see her new video: elbowcough:","她在中国的官司已经完美解决，虽然时间过去这么久，但我没有忘记她，我相信她会给我们带来新的惊喜
Her troubles have been solved, and maybe in another month or two will see her new video:elbowcough:"
39942,Ugz9keDm7kuWfSo_fLJ4AaABAg,5,4 years ago (edited),wonderful ... you have art in your hands ... and you beautiful and harmonious home makes everything more perfect! from argentina a strong hug โค๐ฆ๐ท,很棒...您手中有艺术...您美丽而和谐的家使一切都变得更加完美！来自阿根廷一个强烈的拥抱❤
12389,UgzOAWCsMMsdzXEJwIl4AaABAg,5,2 years ago,we should also appreciate the cameraman for filming her and her life so perfectly..,我们还应该感谢摄影师如此完美地拍摄她和她的生活。
35044,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vHbsA732E4,5,4 years ago,"@therewasnochill8997 i'm from china and i can't agree with you at all.liziqi did not receive any higher education, but that was because of her family when she was a child.china's higher education is perfect and universal, and men and women are equal. no girl or poor person will be unable to complete higher education because of poverty, unless they are not good enough or unwilling to go.you also can't think that this is the only way they grow up, it's full of prejudice and ignorance.i used the translation software, but i'm sure you can understand what i'm saying",@thenwasnochill8997我来自中国，我根本不同意你的看法。Liziqi没有接受任何高等教育，但这是因为她小时候的家人。妇女是平等的。除非他们不够好或不愿意去，否则任何女孩或穷人都不会因为贫穷而无法完成高等教育。我使用了翻译软件，但我确定您可以理解我的意思
41655,UgxP_Cj06aZmLa2bSqp4AaABAg.8ruzrnHtE3L8s3Xj1HlU8D,4,4 years ago,@manjitrai1567 i thought that at first too but man it's too perfect to be real.,@manjitrai1567我也以为一开始，但是伙计，它太完美了，无法实现。
15581,Ugz6Crq1rQZ_uHYCX094AaABAg.99RvttOnJ2p9A9g7TMzcTs,4,2 years ago (edited),"@lindseyrubenstein6028 pfft scripted?...they should've repeated that shot multiple times to get the perfect scene. plus,her only videographer and her only assistant only arrive at the day of the shoot. which means,she directs and plans the next video herself,then directly shoot.",@lindseyrubenstein6028 pfft脚本编写？...他们应该多次重复该拍摄以获得完美的场景。另外，她唯一的摄影师和唯一的助手只能到达拍摄的那一天。这意味着，她自己指导并计划下一个视频，然后直接拍摄。
35327,UgwddHgk02je44_cOUF4AaABAg,4,4 years ago,this movie?? there is no such thing in life ... so that everything is so perfect.,这部电影？？生活中没有这样的事情……所以一切都是如此完美。
23087,UgyEGffCSCapYWhPlt14AaABAg.92ZOfZospFJ92j-NkdgFBj,4,3 years ago,reshma sonavale she looks like an ordinary girl living perfectly,Reshma Sonavale她看起来像一个普通的女孩
6593,UgyuETti9yT9qllrJgF4AaABAg,4,2 years ago (edited),this is my first time here and im so impressed at how perfect this video is! how can something be so perfect?!,这是我第一次在这里，我对这个视频的完美印象深刻！怎么会这么完美的东西？
38166,UgyP0Pg6Iwx2CFB10ZF4AaABAg,4,4 years ago,my god ... what a perfection these videos. a dream live in such a place and have such willingness.,我的上帝...这些视频真是太完美了。一个梦想在这样的地方生活，并具有如此愿意。
15516,UgxIucjgjwjIUPrq5Md4AaABAg,4,3 years ago,everything to perfection!,一切都完美！
37220,UgyuuhCSBE1mb14rsqx4AaABAg,3,4 years ago,i did not know perfection until now๐ข,直到现在我才知道完美
13230,UgxBEzbQGTqXXKjQwFZ4AaABAg,3,2 years ago,how can you get a simple life this perfect?. i'm so jealous.,您如何才能获得这个完美的简单生活？我很羡慕。
38918,UgzaXiSdXlj-zXxpMEV4AaABAg,3,4 years ago,"i love how she does all the gathering, cleaning, cooking, tending, creating, all the while looking perfectly dainty as a princess and cute as a pea, with her beautiful hair and face, and nimble hands! watching this girl go about her day is almost therapeutic! โค๏ธ",我喜欢她如何完成所有聚会，清洁，烹饪，养育，创造，同时看起来像公主一样精致，像豌豆一样可爱，拥有美丽的头发和脸，还有敏捷的手！看着这个女孩去看她的一天几乎是治疗性的！ ❤️
20823,UgyrTyhClWgVatpwsVB4AaABAg,3,3 years ago,"is that the ""perfect tanghulu recipe""",是“完美的Tanghulu食谱”
15730,Ugxp2AETn10a-1LHj0t4AaABAg.99Iu-wWnXSS9A0P4qs9LNj,3,2 years ago,"just put ""reminds"" in place for ""remembers"" otherwise your english is perfect",只需将“提醒”放在适当的位置，以便“记住”，否则您的英语是完美的
20716,UgzUCPLTl3GkYuwi9Ip4AaABAg,3,3 years ago (edited),"you know what? i've watched this video uncountable times. i'm so in love with this video. and a video completes when you have not only skills but you have a good camera man, a good editor and that's make a video complete. this video film so beautifully and edit very beautifully and of course your work, your skills are perfect not everyone can do all these things. you are a very hard working person. and the efforts of your camera man and your editor are also praiseworthy. keep it up guys. you all are working perfectly. ๐‘ love from pakistan ๐ต๐ฐ",你知道吗？我看了这个视频无数的时间。我很喜欢这个视频。当您拥有技能，而且有一个好的相机人，一个好的编辑器，这是一个完整的视频，视频就完成了。这部视频电影如此精美，非常漂亮，当然您的作品是完美的，并不是每个人都可以做所有这些事情。你是一个非常勤奋的人。相机人和编辑的努力也值得称赞。保持伙计们。你们都工作得很好。
16740,Ugx53dRaunGipg_w8uF4AaABAg,3,3 years ago,"i just love liziqi. she is a modern princess and is just amazing. but... she is not a goddess like all ya’ll think she is. she is human just like us. this video is proof that humans are not perfect, even is they are hardworking and talented. (https://www.youtube.com/watch?v=auw1_2xbywm) watch till the end and you’ll see what i mean.",我只是爱Liziqi。她是一位现代公主，真是太神奇了。但是...她不是像所有人一样的女神。她像我们一样是人类。该视频证明了人类并不完美，即使他们在努力工作和才华横溢。 （https://www.youtube.com/watch?v=AUW1_2XBYWM）直到最后，您就会明白我的意思。
23801,UgzJD8TjJs97H2cjGaN4AaABAg,3,3 years ago,"perfect, perfect, perfect...

everything!๐๐๐","完美，完美，完美...

一切！"
22593,UgzH4Xez5u1I2A2vESJ4AaABAg,3,3 years ago,how someone can be so perfect? like wonderful fairy tale),有人怎么这么完美？像奇妙的童话故事）
38067,UgzfTmGMxTaVjIMAbh54AaABAg,3,4 years ago,she is perfection x,她是完美的x
10005,UgyV1fsGmxaqKOfLg7d4AaABAg,3,2 years ago,feeling the camera man heart and his perfection viewโค๏ธ peaceful to watchโค๏ธ,感觉到相机的人的心和他的完美视野❤️宁静观看❤️
38003,UgwpW2Riowc9_afPyMZ4AaABAg,3,4 years ago,"cutie)) and hardworking, perfect wife;) b",可爱）和勤奋，完美的妻子;）b
49764,Ugxn7pd_D-6PSN884yh4AaABAg,3,4 years ago,"from 0:00 to 5:13 the background music is ""karma"" by takeshi abo. it's a soundtrack for the sci-fi mystery thriller game ""ever 17 - the out of infinity"". a great game.

the music fits perfectly well with the video.

ps. takeshi abo is also the one who work on the soundtrack for steins;gate, another sci-fi mystery thriller which was a big hit. 
oh and one of the writers of ""ever17"", koutarou uchikoshi, would eventually became the writer and director of the zero escape game series. yet another great sci-fi mystery thriller games.

sorry about all this info dumping. i don't know why i wrote all this. when i heard ""karma"" playing in the background, i just felt the need to. i guess i'm just that much of a big fan of those games/series i've mentioned. or maybe i'm just obsessed. welp","从0:00到5:13背景音乐是​​Takeshi Abo的“业力”。这是科幻神秘惊悚片游戏“ Ever 17 - Out Infinity”的配乐。一个很棒的游戏。

音乐非常适合视频。

PS。 Takeshi Abo也是Steins的配乐； Gate，这是另一个科幻神秘惊悚片，这是一个很大的成功。
哦，“ Ever17”的作家之一Koutarou Uchikoshi最终将成为零逃脱游戏系列的作家和导演。另一个很棒的科幻神秘惊悚片。

对不起，所有这些信息转储。我不知道为什么我写这一切。当我听到背景中的“业力”演奏时，我只是觉得有必要。我想我只是我提到的那些游戏/系列的忠实拥护者。也许我只是痴迷。韦尔普"
8612,Ugzoggjmf8hDjpTVZCJ4AaABAg,3,2 years ago,"ahh yes, the perfection that nobody actually achieves.. yet it is here on video!",啊，是的，没有人真正取得的完美。.然而，它在视频中！
1353,UgzAfR2qpesNlTm7E6h4AaABAg,3,10 months ago,this girl is the epitome of a perfect housewife. i really wanna be like her.,这个女孩是一个完美的家庭主妇的缩影。我真的很想像她一样。
8792,Ugxzh9avRBjIdXm4Z9x4AaABAg,3,2 years ago,the perfect woman dosent exi-,完美的女人dosent Exi-
29021,UgyJvswfhEBPDtRAww14AaABAg.8y81tmDNuXW8yFMuZ0iw4-,2,3 years ago,did they seriously just heat up a pressure vessel with just scalding air in it then discharge it into a bad of corn to pop the entire thing perfectly at once?,他们是否认真地加热了一个只有烫伤空气的压力容器，然后将其排放到不良的玉米中，可以一次完美地弹出整个东西？
31163,Ugz9CENtduCnTp74aKR4AaABAg,2,3 years ago,everything is so perfect and she super perfect๐‘๐โค๏ธ,一切都是如此完美，她超级完美
31508,Ugxf3yFhXpVjnJzR-0B4AaABAg,2,4 years ago,"this is beautiful, but how is it this perfect?! i wanna know the behind the scenes!!!",这很漂亮，但是这是如何完美的？我想知道幕后！！！
27604,UgxbItUQ2NhmasotPZd4AaABAg,2,3 years ago,"a perfect woman, how can i marry her? oh, maybe she is a angel.",一个完美的女人，我该如何嫁给她？哦，也许她是天使。
31948,UgxthP9wo7QChMAp9N54AaABAg,2,4 years ago,100 points perfect girls.,100分的完美女孩儿。
17634,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98RpLOPrgDw,2,3 years ago,"even if it's not 100% real as it is in rural areas (i mean, i think we all kind of know that living on the countryside and on a farm is a lot of work, come on guys), but people on the internet constantly show only the good side, show things that are aesthetically pleasing, etc. even cooking videos do that, it's always a mess in the kitchen when you cook but not in their videos, doesn't mean it's wrong and you should bash them. sometimes people want to show things in a good light, show their hard work as something beautiful. i don't really seem a problem with it being ""too perfect"", it's just a video on youtube",即使不是在农村地区不是100％真实的（我的意思是，我都知道我们都知道住在乡村和农场上是很多工作，而是互联网上的人们仅显示好的一面，显示出美学上令人愉悦的事物，等等。即使是烹饪视频也可以做到这一点，当您做饭但不在他们的视频中时，这总是一团糟，并不意味着这是错误的，您应该抨击他们。有时人们想以良好的光线展示事物，将辛勤的工作视为美丽的东西。我似乎并不是一个“太完美”，这只是YouTube上的视频
30470,UgyXNQPk6xTUEdX74uB4AaABAg,2,3 years ago,"seeing that your work has a feeling of seeing each other and hate, it is really as treasured! in the influence of the philosophical thoughts of yin and yang five elements in traditional chinese culture education, confucian ethical and moral concepts, traditional chinese medicine nutritional photography, and cultural and artistic achievements, diet aesthetic style, and many factors of national characteristics, they created the chinese cooking skills of the book of history. form a broad and profound chinese food culture. your profound understanding of the traditional chinese diet and culture is perfectly presented with the beautiful chinese style that is so beautiful! as a native of china, the chinese are also amazing, and they are intoxicated! under the influence of the world's multiculturalism, many excellent cultures have been forgotten, the outlook on life, and values โ€โ€have also changed in the long -term subtle way. whether it is chinese or the people of the world, there are always things in common in the hearts of human beings. they all advocate true, good, and beautiful. they like tranquility and peace, and they are eager to happiness and happiness. the environment of your life is like a paradise, the mountains and rivers are beautiful, and the ecological environment that people and nature live in harmony are enviable. your work can help us calm down the impetuous heart, re -think about life, and find the most precious beauty in the original memory of human beings!",看到您的作品有种相见恨晚的感觉，真的如获至宝！在中国传统文化教育中的阴阳五行哲学思想，儒家伦理道德观念，中医营养摄生学说，还有文化艺术成就，饮食审美风尚，民族性格特征诸多因素的影响下，创造出彪炳史册的中国烹饪技艺，形成博大精深的中国饮食文化。您对中华传统饮食和文化的深刻理解并用美到令人窒息的唯美中国风完美呈现出来！作为土生土长的中国人也都叹为观止，如痴如醉！在世界多元文化的影响下，好多优秀的曾经引以为荣的文化已经被淡忘，人生观，价值观也在长久的潜移默化中改变。无论是中国人还是世界人民，在人类心灵深处，总有一些东西是共通的，都崇尚真善美，都喜欢宁静与祥和，都渴望幸福与快乐。您生活的环境犹如世外桃源，山青水秀，人与自然和谐相处的生态环境让人羡慕不已。您的作品能帮助我们静下浮躁不安的心，重新思考人生，找寻人类最初的记忆中最珍贵的美好！
2098,Ugwikgh1wmlujIalcCp4AaABAg,2,1 year ago,"you are talented, beautiful, silent, hard work, perfect",你是才华横溢，美丽，沉默，辛勤工作，完美的
43726,UgxNzJ6PZiQymaiNV3R4AaABAg.8rIvoP8deLE8rtrw2uT1MX,2,4 years ago,@johannalange802 . you don't sound mean but just fear mongering. i don't think this is propaganda. she probably hired a film team and it is meant to look perfect for the veiwers liks us not some ccp propaganda. brainwashed by western media has made you think this way.,@johannalange802。您听起来并不意味着卑鄙，而只是害怕杂种。我认为这不是宣传。她可能雇用了一支电影团队，这对于Veiwers来说，看起来很完美，而不是CCP宣传。西方媒体洗脑使您这样思考。
24399,UgyuT7rc1qitM69TN6h4AaABAg,2,3 years ago,you are perfectโก love from korea,你是韩国的完美♡
33323,UgyEwos0ASnQEQNphYV4AaABAg,2,4 years ago,"such a perfect life. just wondering, is youtube allowed in china? i thought chinese government has banned youtube in their country?",如此完美的生活。只是想知道，中国是否允许YouTube？我以为中国政府禁止在他们的国家使用YouTube？
24345,UgyQAMmANW_77J2u1xt4AaABAg.91AgDmPxghl92EX2iAowUa,2,3 years ago,"@softclouds123 i am sorry about my english if i did any mistake but.. can i really advice onething ; if you really want to learn this story you should read "" quran-i kerim"" with mean.. there explaining so perfect. they ate this fruit and allah make them out of heaven cos allah (cc) was told them "" dont eat. "" allah check them only.. but at end they ask forgiveness perfectly... talking about this like that is not good.. they are our "" mother and father "". they are father and mother for all muslims..",@softclouds123我对我的英语感到抱歉，如果我犯了任何错误，但是..我真的可以建议吗？如果您真的想学习这个故事，则应该以卑鄙的方式阅读“古兰经”。他们吃了这种水果，真主使他们离开天堂，cos cos cos Allah（CC）被告知他们“不要吃。他们是我们的“母亲和父亲”。他们是所有穆斯林的父亲和母亲。
17805,Ugy0lUevJ96pOfhrPnZ4AaABAg,2,3 years ago,oh my.. the original music before and background sound was a perfect combination... it was my favorite.. why did it changed???,哦，我的..原始音乐和背景声音是完美的组合...这是我的最爱..为什么它改变了？？？
19768,UgzmQ-ENkjs0c6wmtyh4AaABAg.95Jnp0OjZJ095OYP_Fh3Sj,2,3 years ago,for me she do perfect job in planet only i dont know who kill animal and fisch because im vegan cannot acept killing animal and make them for lunch,对我来说，她在星球上做得很好
49394,Ugwc2G9zgVIeMLRaiRB4AaABAg.8qm7ZLnWwLu8qmsw0monsw,2,4 years ago,she is utterly amazing at all her endeavors!! everything does look perfect and i love it!!!!,她的所有努力都非常了不起！一切看起来都很完美，我喜欢它！
5667,UgzuMXRkJq3I41oX24t4AaABAg,2,2 years ago,is this all real? everything is so picture-perfect it almost seems unbelievable or a disney set in epcot. :),这是真的吗？一切都如此完美，几乎令人难以置信，或者是Epcot中的迪士尼。 :)
37639,UgwGR_0YaXTf76rv9nJ4AaABAg,2,4 years ago,"o my god, everything is so so so so perfect this woman are amazing",天哪，一切都如此完美
3837,UgwnZN6NmG4lSc7TjB14AaABAg,2,1 year ago,how can someone's life be so perfect? i mean they basically dont need to spend money on anything. i pray for this. eating natural food is life itself.,某人的生活如何如此完美？我的意思是，他们基本上不需要花钱。我为此祈祷。吃天然食物是生命本身。
22778,Ugx1TX6aCcrq69H0n7F4AaABAg,2,3 years ago,learn how to divide the lens in the middle of the night to discharge the perfect video ๐,半夜来学如何分镜头来排出完美视频
20537,UgyppSjpy_V__Ukn4Kh4AaABAg,2,3 years ago,"that's how we're supposed to live! love her perfectionism, grace and skillset! so gorgeous too! love from norway ๐ณ๐ด",这就是我们应该生活的方式！爱她的完美主义，恩典和技能！太漂亮了！来自挪威的爱
48415,UgwEjSUwkws6EmjoV2Z4AaABAg,2,4 years ago,is just perfect life,只是完美的生活
36685,UgylTM1tk7rRFvWtYkJ4AaABAg.8uRIOVFo2EQ8ucLHxBdAji,2,4 years ago,tianxing yuan she is just take more cares about hers skin and good culture๏ผactually she shows how a perfect traditional chinese girl should be,天王者她只是对她的皮肤和良好的文化更加关心，实际上她展示了一个完美的传统中国女孩应该是什么
40687,UgyTV3dpGxKQ08_3gaF4AaABAg,2,4 years ago,there are popcorn artifacts! intersection intersection perfect!,有爆米花神器！！！完美！
39349,Ugyh58SjL0UukkR2VIJ4AaABAg,2,4 years ago (edited),"i'm so obsessed with your this type of video. light music on the background and the sound of whatever you're making, so satisfying. you rapped everything so nicely so beautifully. everything is so perfect ๐‘ love from pakistan. your work is absolutely awesome ๐‘๐‘",我非常着迷于您的这类视频。背景上的淡音乐和您所做的任何声音，如此令人满意。您很好地说了一切。一切都是完美的
23292,Ugxs5FkAwG-wq3532b14AaABAg,1,3 years ago,the perfect woman exists โฅ๏ธโฅ๏ธโฅ๏ธ,完美的女人存在♥谢♥谢♥♥
43565,UgxkDT8Lu6UgbrULtpB4AaABAg,1,4 years ago,a perfect place exists,一个完美的地方
28900,UgymEMy_a6OzPKXiQlB4AaABAg,1,3 years ago,her life is literal perfection,她的生活是真正的完美
28723,UgyCeV6nWCPkcIGhwAl4AaABAg,1,3 years ago,everything is perfect.i love it.i wish i was there.,一切都很完美。我喜欢它。我希望我在那里。
43436,Ugz31APUJdZ-XhgXzuJ4AaABAg,1,4 years ago,"beautiful girl, amazing video, fairytale food! when i seeing that, i rest my soul because that perfectly!",美丽的女孩，令人惊叹的视频，童话般的食物！当我看到那个时，我安息了我的灵魂，因为那完美！
4982,UgwExwZiukBDHO7bpbV4AaABAg,1,1 year ago,perfect life,完美的生活
27770,Ugw22DAhQas2yxYH-t54AaABAg,1,3 years ago,"the video ๏ผthe music,everything just perfect",视频，音乐，一切都完美
27105,Ugy47nhqEG9OBr-jHXB4AaABAg,1,3 years ago (edited),"i feel alive watching your videos, whenever i'm off mood..โบ๏ธ you are a perfect woman when compared to the girls of this generation...",每当我心情不好时，我都会活着观看您的视频。
