,cid,votes,time,含perfect,含perfect中文翻译
15156,Ugz-v-TV0pUOr1y0z5l4AaABAg,8,3 years ago (edited),"she so perfect , not just beautiful , she also hard working women







wife material","她是如此完美，不仅美丽，还努力工作的女人







妻子材料"
15877,UgxvveJSSMCrSiZuKQB4AaABAg,7,3 years ago,"this period must be rhythmic, picture, and duration, it should be the most perfect.",这一期得节奏感、画面、时长，应该是最完美的.
28392,Ugxsyl9qHCJ2n2g0LMt4AaABAg,6,3 years ago,"my god what a perfection, what a dedication, what a zeal, what a love you have for your affairs, you are too much. cherish.",我的上帝是一种完美，多么奉献，多么热情，你对事务的爱，你太多了。珍惜
20802,UgwoEcUnHAuNarl3-NN4AaABAg,6,3 years ago,"a huge restaurant needs to hire this chef. wait, she is perfect where she is. o god, need a girl that can cook.",一家庞大的餐厅需要雇用这家厨师。等等，她是完美的地方。天哪，需要一个可以做饭的女孩。
20446,UgxLOC1t-WuXVFSqfVp4AaABAg,6,3 years ago (edited),"everything perfect, in vietnam many young people like to watch your video. chinese culture and vietnamese culture are quite similar. from",一切完美，在越南，许多年轻人喜欢观看您的视频。中国文化和越南文化非常相似。来自
5328,UgyWAQvyj3pb_moqy7J4AaABAg,4,2 years ago (edited),"liziqi: gets more than 2m++ views for each of her video
everyone else: commenting bout their opinion
while;
me:thinking how much that she got for her channel for this past 3 years till now.lol
*sorry my eng is not perfect*","Liziqi：她的每个视频都能获得超过2M ++的视图
其他所有人：发表评论
尽管;
我：思考她过去三年来她为自己的频道得到了多少
*对不起，我的英语不是完美的*"
22543,Ugz0SQ0HDZcnuxq1dYl4AaABAg,4,3 years ago (edited),this is the hostess !!! perfect wife!))) such girls in their arms should be worn ..,这是女主人！！！完美的妻子！））应该戴上这样的女孩。
22266,UgxY5PHWyf7r9m9uthB4AaABAg,4,3 years ago,she is the perfect woman. period.,她是完美的女人。时期。
19957,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq920np5wzz6H,4,3 years ago,@ashoretoo i took it a bit personal i am a mutt american male from indiana. i child of the 80s i think was probably the last good generation we had i know life is not perfect but i try to do what i can i see. to much hate and it frustrates me because we know better. thank you,@ashoretoo我有点个性化，我是来自印第安纳州的杂种美国男性。我认为80年代的孩子可能是我们知道生活并不完美的最后一代，但我试图做我能看到的。令人讨厌，这让我感到沮丧，因为我们知道得更多。谢谢
6405,Ugzf70cPsPH67pHqP_d4AaABAg,3,2 years ago,"this is one of the nicest channels i have ever watched. seems perfect, almost like a video game.",这是我看过的最好的频道之一。看起来很完美，几乎就像电子游戏。
3102,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9ZUm5Jh_zMx,3,1 year ago,"this is my dream life! im in canada right now, and my dream would be to asap buy a big portion of land, so i can then go and with the money i am investing right now as a child, with my father, i hope its enough for me to start this. i already have plenty of ideas and watched a lot of videos of people like etienne levesque, who has a aquatonic greenhouse that works really well, even in the cold winters of quebec. im engaged in this, and im already learning my survival instincts as a chef corporal in cadet army. i dont know if i want to have an educaation to be a doctor, or to have and education about greenhouses and such. with my cadet background, i could join the army for a bit, or have a doctorate and be a family doctor, but in the army. with that, i have money, survival instincts and a plan b if anything goes wrong. a passion of mine is cooking and piano, so learning to cook is perfect for having a huge farm like this. i want for me and my family to live in one of those huge house for generations to live in, and my dad would love to help us with all the technologie. my dream would to use mash the ways of my ancestors and the technologie we have now. my dad can help me build the greenhouse and my grandpa too, be grandpa was an architect and my dad is a engineer but in computers. if we use the technologie and the modern world in farming and other stuff like this, and not like we did with machines and stuff. like the futuristic solar boards that capt the sun energy ( english is not my first language sorry haha). what im trying to say, you can see what im talking about by googling : futuristic greenhouse . this is what technology should be used for! i know it may be a really big dream, but i am ambitious and i know that my dreams wont come true unless i start making actions about it. if this comes true, i dont even have the words to say how happy i would be.",这是我的梦想生活！我现在在加拿大，我的梦想是尽快买大部分土地，这样我就可以去，然后用我小时候投资的钱，与父亲一起，我希望它足以让我开始这。我已经有很多想法，并且观看了许多像伊蒂安·莱维斯（Etienne Levesque）这样的人的视频，他的水上园林温室甚至在魁北克寒冷的冬季都非常有效。我从事这一点，我已经在学习我的生存本能，是学员军队中的厨师下士。我不知道我是否想接受教育作为医生，还是要接受有关温室等的教育。在我的学员背景下，我可以加入军队，或者拥有博士学位并成为家庭医生，但在军队中。这样，如果有什么问题，我有钱，生存的本能和计划B。我的热情是烹饪和钢琴，因此学习做饭非常适合拥有这样的巨大农场。我希望我和我的家人住在那些巨大的房子中，供几代人居住，我父亲很想帮助我们所有的技术。我的梦想将使用我的祖先和我们现在拥有的技术的方式。我父亲可以帮助我建造温室，而我的爷爷也是爷爷是一名建筑师，而我父亲是工程师，但在计算机中。如果我们在农业和其他类似的东西中使用技术和现代世界，而不是像机器和东西一样。就像太阳能上尉的未来派太阳能板一样（英语不是我的第一语言，对不起哈哈）。我想说的是，您可以看到我在说什么通过谷歌搜索：未来派温室。这是应该使用的技术！我知道这可能是一个非常大的梦想，但我雄心勃勃，我知道我的梦想不会实现，除非我开始采取行动。如果这是真的，我什至没有话可以说我会多么高兴。
14244,UgwlbLN7mOcdhvxAw6p4AaABAg,3,3 years ago,that girl could be the perfect one for any man that love to eat warm food.,那个女孩可能是任何喜欢吃温暖食物的男人的理想选择。
32515,UgxhD_D9UwIGA4yav1R4AaABAg,3,3 years ago,"she is perfect, i hope she adopts me!",她很完美，我希望她收养我！
16724,Ugx_B8R8o6hOYICx7T14AaABAg,3,3 years ago,she is literally the perfect waifu. i'd love to learn from her.,她实际上是完美的waifu。我很想向她学习。
33106,Ugx8FE089Sxi_DFEwzV4AaABAg,2,3 years ago,"i really like your videos - the aesthetic, the rustic ambience, the culture, the cinematography, the music, the variety of knowledge and skills you display - everything is just perfection. you make countryside lifestyle romantic, calming, and dare i say much better than urban lifestyle. ❤",我真的很喜欢您的视频 - 美学，乡村氛围，文化，摄影，音乐，您展示的知识和技能的多样性 - 一切都是完美的。您使乡村的生活方式浪漫，镇定和敢于说，我说的要比城市生活方式好得多。 ❤
14464,UgwC1BG8OG690PtX4iB4AaABAg.94C3z5UoImQ94TxOQwv9gG,2,3 years ago,right's perfect!!,右图与那首背景歌曲。这是完美的！！
27727,UgzTcPl19U_0IiEwiu14AaABAg,2,3 years ago,"my snail powder in guangxi ~~ the screw powder is cooked a bit, but unfortunately, the other processes are almost perfect, hahaha",我大广西的螺蛳粉~~螺丝粉煮的有点融了，可惜哈~其它工序几乎完美，哈哈哈
32709,Ugwy_pkw5JbtRLduzq14AaABAg,2,3 years ago,she is a perfectionist!!,她是一个完美主义者！
32212,UgyJO5CyZJ18X1lCFEV4AaABAg,2,3 years ago,eid mubarek to every muslims and you are perfect and beatiful dear lizi qi ✨,开斋节给每个穆斯林，您是完美而美丽的亲爱的Lizi Qi✨
17499,UgxJnZ0kZrSYpzvugMR4AaABAg,2,3 years ago,"she is beautiful, beyond words. this is a perfect wife that every man dreamed.",她很漂亮，超越言语。这是每个男人梦dream以求的完美妻子。
19170,UgxWWjYUZ7b67kh5D3l4AaABAg,2,3 years ago,"this woman is just like my wife, perfect.",这个女人就像我的妻子一样，完美。
27637,UgzhVH4VcZ2FcnTbNqd4AaABAg,2,3 years ago (edited),"hello, how are you? well now here in brazil it's 18:51, and as always your videos are splendid, i especially liked the nature where everything seems to be in perfect harmony, once again i leave here my gratitude for another great video, that's all for now. congratulations and good luck ...,",你好吗？好吧，现在在巴西是18:51，一如既往，您的视频很棒，我特别喜欢一切似乎都处于完美和谐状态的本性，我再次在这里留下了我对另一个很棒的视频的感激之情。恭喜，祝你好运...，
20023,UgyZY0AL_QAsZH2AYed4AaABAg,2,3 years ago,you are the most perfect girl in the world ❤️❤️,你是世界上最完美的女孩❤️❤️
20651,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg.90frsqbFNBE91TxCTX8Vrf,2,3 years ago,"brother jacky phantom, i climb the wall and come out, do you think of this? it is also a word. my country is not perfect, and the ruling party is not perfect. but i think it's not bad now, and don't require them to be perfect. in addition, your behavior is annoying.",Jacky Phantom 兄弟，我爬墙出来你当我不知道这些？同样是一面之词。我的国绝不完美，执政党也绝不完美。不过我觉得现在还不错，也不要求他们完美。另外，你这个行为很烦人。
21556,UgylbD1ru_JpcdPTlQR4AaABAg,2,3 years ago,perfect,完美
20641,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg.90frsqbFNBE913ffVhocuG,2,3 years ago,"jacky phantom i am speechless. know part of a country's history and attack people from there for that reason because it has to be their fault! you, wherever you are from, please stop insulting your origin by talking to me like that. i had no ill intentions replying to you in the first place, but i don't like how you brought our conversation to this end. what does this piece of information has to do with what i said or what ziqi posted? this is not somewhere you want to brag about you newly-learned knowledge towards someone's homeland and come up showing off with them because it gets personal. many ethnic minorities are not driven out, but the people choose to convert because that fits the modern lifestyle better. plus, many southern ethnic minorities are getting awareness from the government and given protection by helping them booming tourism so that they can make a living withholding their traditions and customs. on the other hand, the u.s. undoubtedly invaded the indigenous people on n.a. and hawaii islands, and try talk to americans with that piece of information and see if they would think you so genius or the other way around. if you happen to be american, perfect, seems like my country isn't hardly as bad as yours speaking of invading, oh no, killing, indigenous people, let alone the culture. i know that i won't be able to overturn your negativity towards china and i don't want to leave you even more downside impressions on us, but i sincerely hope that you would one day drop that bias and look slightly more into the positive side -- because every country is more than what you can read in the media.",Jacky Phantom我无语。知道一个国家历史的一部分，并因此从那里攻击人们，因为这必须是他们的错！无论您来自哪里，请不要再与我交谈，不要再侮辱您的来源。首先，我对您没有任何不良意图，但是我不喜欢您将我们的谈话带到这一目标。这条信息与我所说的内容或Ziqi发布的内容有什么关系？这不是您想吹牛的地方，因为您是个人的，因为它是个人的，因此对某人的家园进行了新的知识并与他们一起炫耀。许多少数民族并没有被驱逐出境，但是人们选择convert依，因为这更适合现代生活方式。另外，许多南部少数民族正在从政府中获得认识，并通过帮助他们蓬勃发展的旅游业来保护他们，以便他们可以谋生自己的传统和习俗。另一方面，美国无疑入侵了北卡罗来纳州和夏威夷群岛的土著人民，并尝试用这片信息与美国人交谈，看看他们是否会认为您是如此天才或相反的方式。如果您碰巧是美国人，那么完美，看来我的国家并不像您说入侵的人那样糟糕，哦，不，杀人，土著人，更不用说文化了。我知道我将无法推翻您对中国的消极情绪，我不想让您对我们有更多的下行印象，但我真诚地希望您有一天会放弃这种偏见，并使您更加偏向积极方面 - 因为每个国家都比您在媒体上阅读的内容还要多。
205,Ugxa_YXGJ7VwboyT9FN4AaABAg,2,2 months ago,"a beautiful and elegant woman,in the most beautiful country in the world, nobody understands china, it is the perfect society,",一个美丽而优雅的女人，在世界上最美丽的国家，没有人了解中国，它是一个完美的社会，
18611,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92cbocOpMqD,2,3 years ago,"nationalism always finds its place and pride in patriotism, i may love china, but never because of communism or some certain regime, and the so-called great political leaders only exist in highlighted profile on tv or in books with perfect iamges, while in fact most chinese even don't know who are in charger as their local chief government ofiicers, let alone meeting them face to face, and everything about great leaders are from the elaborated official publicity, since no one is allowed to comment on them in a negative tone in china publicly. anyway, it's my personal experience, observation and perspectives based on my current decades of life in china. the point is that you can love or be in favor of some politicians or political ideology, but you can't represent all the population or force others to believe in only one political doctrine, for you can only stand for your ownself, while other people should have their rights to have their own sayings and stances at their free will.",民族主义总是找到自己对爱国主义的地位和自豪感，我可能爱中国，但从来没有因为共产主义或某些政权，而所谓的伟大的政治领导人只有在电视上或具有完美iamges的书籍中存在于强调的个人资料中，而实际上大多数中国人甚至都不知道谁是当地的首席政府，更不用说面对面与他们会面，而关于伟大领导人的一切都来自详细的官方宣传公开中国的语气。无论如何，这是我的个人经验，观察和观点，基于我目前在中国的生命。关键是您可以爱或赞成某些政治家或政治意识形态，但是您不能代表所有人口，也不能强迫他人仅相信一种政治学说，因为您只能代表自己，而其他人应该有权自由意志拥有自己的言论和立场。
2718,UgzFVG48wpQpmD3TAZd4AaABAg,2,1 year ago,delicious!! just a little bit of everything to make it perfect ;),可口的！！只有一点点才能使其完美;）
6004,UgxJT6TxzsEACJqGwkh4AaABAg,2,2 years ago,this women does so much. she is the picture perfect bride,这个女人做了很多。她是图片完美的新娘
8803,UgyTRz1YrHNDd8JvRoV4AaABAg,2,2 years ago,constantly preparing and cooking. no other purpose in life. this so perfect life. just like a movie.,不断准备和烹饪。人生中没有其他目的。这种完美的生活。就像电影一样。
26905,UgyIms1hOLaWVF7KU-t4AaABAg.8yk1CEr2f_e8ymNIqYFIBM,1,3 years ago,@ishtarsummers1981 so what? your country is innocent and perfect?,@ishtarsummers1981那呢？您的国家是无辜而完美的？
30311,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw392qVMOtiXMD,1,3 years ago,she'll live long with that kind of living like the food she eats are healthy and her environment is just so perfect and not polluted,她会像她所吃的食物那样健康的生活中生活很长一段
16292,UgzGo8lfYU11R34rFF54AaABAg.92wzyoDy2Ws935WwKrfGLK,1,3 years ago,@xiaolongbaoenthusiaist457 perfect place for me,@Xiaolongbaoenthusiaist457对我的理想场所
3186,UgxhDH3lnNEqQayeIJ54AaABAg,1,1 year ago,"if i didn't keep snails as pets, this video would be perfect lol. can't wait to see more lovely relaxing vids, just snail free! xd",如果我不把蜗牛作为宠物，那么这个视频将是完美的大声笑。等不及要看到更多可爱的放松视频，只需免费蜗牛！ XD
3753,UgxUSbzprrcpSl9PR694AaABAg,1,2 years ago,very delicious vegetables ... and cooked by a perfect woman,非常美味的蔬菜...由一个完美的女人煮熟
27520,Ugyzo6rXO14bXZBc5xZ4AaABAg,1,3 years ago,"what a pity ... you have to lower the volume a lot for music (almost continuous) not to bother, and the sounds are lost a lot, which are already music without any more. the video would be perfect without music or with it much lower and sporadic.",可惜...您必须大大降低音乐（几乎连续）的大量卷，而不必打扰，而且声音会丢失很多，这已经是音乐已经没有了。没有音乐，该视频将是完美的，或者零星的视频将是完美的。
17752,UgwWyE65JvhUv8_DQ6N4AaABAg,1,3 years ago (edited),really perfect wife ❤️,真的很完美的妻子❤️
8790,UgwF7HKuwUE8JOLeh0x4AaABAg,1,2 years ago,who shoots these videos?perfect timing! and she has everything nearby! just a smart marketing gimmik . this liziqi. for online brand! no woman is a superwoman like her!,谁拍摄这些视频？完美的时机！她附近有一切！只是一个明智的营销gimmik。这个liziqi。对于在线品牌！没有女人是像她这样的超人！
15422,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9A_CeenNcK9,1,2 years ago (edited),"strait arrow listen you punk, the dimwit is the one who shoots its mouth with impunity and hides behind a juvenile avatar as its profile. any self respecting human adult will use his/her real name and real profile in an open chat forum. that said, not once did i disrespect you as i clearly allow the fact that i may have misunderstood and preemptively offered an apology. this is class and education-which you obviously lack. so don’t address me without asking for an audience in the future you hoy polloi! ( i bet you don’t even know what that term means as it perfectly describes you). you simply don’t deserve my effort. while you are at it, check you spelling. dimwit ( that’s you) is in one word. 
comme on dit en français, tu es un crétin sans éducation ni savoir-vivre.","海峡箭头聆听您的朋克，Dimwit是那些不受惩罚地射出嘴并躲在少年化身作为其轮廓的人。任何自我尊重的人类成年人都将在一个公开的聊天论坛中使用他/她的真实姓名和真实个人资料。就是说，我没有一次不尊重你，因为我显然允许我误解并先发出道歉的事实。这是班级和教育 - 您显然缺乏什么。因此，不要在未来询问观众的情况下向我讲话！ （我敢打赌，您甚至都不知道该术语的含义，因为它完美地描述了您）。你根本不应该得到我的努力。当您使用它时，请检查您的拼写。 Dimwit（就是您）一句话。
在dit enfrançais上，the es uncrétinsanséducationni savoir-vivre。"
19405,UgzkDsGMO1OS6o_y5Tp4AaABAg,1,3 years ago,i think man are waist. she is doing everything alone. what a perfection. really awesome job. hats off y,我认为男人是腰。她一个人做所有事情。多么完美。真的很棒。戴上Y。
26096,Ugwtf9mRYWCbnoAjc_x4AaABAg,1,3 years ago,beauty girl n u can cooking. this is perfect,美容女孩，你可以做饭。太棒了
19911,Ugx3zuXyOf11s3dxiwp4AaABAg.91GSbollkUx91sCSGr2xvS,1,3 years ago,bond lu agree!!! it’s too perfect,邦·卢同意！！！太完美了
6923,UgzhLfv10DLOfN-W8Xl4AaABAg.9DrBV-z1UcC9F9iSDJuJtS,1,2 years ago,@milkknife you are thee perfect example of a person who hates life in general and hates themselves and takes it out on others. it's sad you're this way life is too beautiful and you haven't even discovered 1% of all the things to experience within it. hope you find some light in your life.,@milkknife，您是一个人的完美典范，他讨厌生活并讨厌自己并将其带到他人身上。这是可悲的，您的生活太美了，您甚至还没有发现其中有1％的人体验。希望您在生活中找到一些光明。
5831,Ugzb269XuK03ADFIAFt4AaABAg,1,2 years ago,"i am a simple and a loving man. with the qualifying attitude that everyone will like. loving, honest and understanding. i am not perfect. but i am ready to compromise, with full understanding!",我是一个简单而充满爱心的人。以每个人都喜欢的合格态度。充满爱心，诚实和理解。我并不完美。但是我准备好妥协，并充分理解！
24075,Ugyc5XlGOx1KwedRhWd4AaABAg,1,3 years ago,"i appreciate your hard working dear, i think you have all the qualities ,perfect woman i have ever seen,",感谢您的辛勤工作，亲爱的，我认为您拥有我见过的所有品质，完美的女人，
21369,Ugw8wKfIqS7Tw_ZFwoN4AaABAg,1,3 years ago,perfect in everything you do !!,您所做的一切完美！！
5121,Ugxg2Cs4y3YIzUxAKzV4AaABAg,1,2 years ago,they are all perfect.,他们都是完美的。
30580,UgyhPtplFJDRHW_aP154AaABAg,1,3 years ago,"i have watched your every videos coz i like it. but you should show the eating of snail. in my knowledge we need to chop the snail tail part & have to remove the front cover, so that we can eat the meat. the way you have cooked i don't think you will able to eat the snail. make the videos with perfection coz viewers can find the error. we do eat snail & we know it well. no abuse..!!",我看过您的所有视频，我喜欢它。但是您应该表明蜗牛的饮食。据我所知，我们需要切碎蜗牛尾部部分并必须取下前盖，以便我们可以吃肉。您煮熟的方式，我认为您无法吃蜗牛。与完美的视频一起制作视频，可以查看该错误。我们确实吃蜗牛，我们很了解。没有虐待.. !!
9532,UgwzyOlCNXXWXcM8VBt4AaABAg,1,3 years ago,"her contents, background music, beautiful nature, the camera man capturing perfect angles all are doing great job!",她的内容，背景音乐，美丽的大自然，捕捉完美角度的相机人都做得很好！
31244,UgxVzkIV9L6gdEZIZgF4AaABAg,1,3 years ago,she's pretty and perfect,她很漂亮
14070,UgwMMchXSHiNr6Dp4714AaABAg.94X-OXeU5p895jDN1fgSBY,1,3 years ago,"galadreana lopez i dont know people here on the philippiness (not all but majority) has this crab mentality they tend to think they are better than others, they mock people as if they are perfect, they dont seem to know how to give credit when it's due. this mentality it's like cancer",Galadreana Lopez，我不认识philipminess上的人（并非全部，但多数）具有这种螃蟹的心态，他们倾向于认为自己比其他人更好，他们嘲笑人们，好像他们是完美的，他们似乎不知道如何在当时给予信用到期的。这种心态就像癌症
32959,UgyTxOlBeKk2O7ZTumd4AaABAg,1,3 years ago,her garden is a perfect grocery store.,她的花园是一家完美的杂货店。
11780,UgxvnCpZj61BMGzORmJ4AaABAg,1,3 years ago,she is the perfect woman,她是完美的女人
30755,Ugzb3qnOmFXbgCh4J5J4AaABAg,0,3 years ago,i want to marry that perfect girl,我想嫁给那个完美的女孩
33445,UgwpB4pidpakHViIqBt4AaABAg,0,3 years ago,"wow.. what a beautiful life, beautiful woman, hard working woman, full of dedication and determination. her husband will be so lucky. she deserves to get paradise where she lives. btw it's young bamboo. in indonesia language we call rebung. my greeting from indonesia. perfect life style.",哇..多么美好的生活，美丽的女人，勤奋的女人，充满奉献和决心。她的丈夫会很幸运。她应该得到天堂的住所。顺便说一句，这是年轻的竹子。在印度尼西亚语言中，我们称之为rebung。我来自印度尼西亚的问候。完美的生活方式。
33068,Ugy3Px0cOeq62n4wFXF4AaABAg,0,3 years ago,"they did perfectly
i looked with pleasure","他们做得很好
我很高兴地看着"
26063,UgzY64VyRYjxIjfu-hB4AaABAg,0,3 years ago,"i really like your videos, i am a kitchen fan and i enjoy you prepare the dishes. that you also do with much love and with a wonderful cleaning and perfection. but regardless of food, their videos convey a lot of peace and positive energy. and you seem to me a very nice and beautiful girl. very good person. thanks for your videos.",我真的很喜欢您的视频，我是厨房迷，我很喜欢您准备菜肴。您也充满爱心，清洁和完美。但是，无论食物如何，他们的视频都传达了很多和平与积极的能量。在我看来，你似乎是一个非常漂亮和美丽的女孩。很好的人。感谢您的视频。
25414,Ugy-8L7pSMNTDdoqbYF4AaABAg,0,3 years ago,she would be a perfect wife. lol,她将是一个完美的妻子。哈哈
1124,UgxszZwhMzFvMM0HMNZ4AaABAg,0,1 year ago,"the music, cinematography, and everything is perfect.",音乐，摄影以及一切都是完美的。
33190,UgxjVeEJOD0lWS9yBE54AaABAg,0,3 years ago,"this is the perfect life, what more can you ask for, there's happiness, food, peace and your love one",这是完美的生活，您还能要求什么，还有幸福，食物，和平与您的爱
25265,UgxS6mR6K9VAPDuJE514AaABAg,0,3 years ago,beautiful lady perfect !,美丽的女士完美！
