,cid,votes,time,含talent,含talent中文翻译
6725,Ugy6PO2ka7YBOAZDxIx4AaABAg,9,2 years ago,"what talent !
his preparations seem tasty. she takes care of her grandmother, concocts good little dishes, always smiling.
it radiates with joie de vivre as well.
i wish him a very good life ...","什么才华！
他的准备看起来很美味。她照顾祖母，炮制好菜，总是微笑。
它也随着乔伊·德·维弗（Joie de Vivre）辐射。
我祝他生活很好..."
31851,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yVEzTQ45kb,8,3 years ago,"glorify god, he is ""i am,"" ""yehovah,"" .. he made all things for us to marvel at his majesty in the design of nature around us.
her homeland in china is breathtaking.

i want to go visit her to tell her about jesus..

i think most people want to go visit her to see her amazing home, gardens, and eat her food..

i am sick too..

so sorry to hear you are sick and in the hospital. i will pray for god's will in your life..and that you would trust him now, turn to him..

god the father, made a way through his son, jesus..for us to be saved and to live right before him. faith in jesus's death on the cross, burial, and ressurrection from the dead, is what saves us..we have newness of life forever..as our sins are forgiven us. 

there is no other way to be saved from god's judgement and wrath to come. 

jesus, is our only hope, our shield, our rock to stand on, our salvation!

her videos are amazing to watch and she is a very beautiful, talented, and very hard-working, disiplined person..but she does not have any knowledge of the god of abraham, issac, and jacob, and his only begotten son, jesus of nazareth, the kings of kings...the lamb of god.","荣耀上帝，他是“我是”，“耶和华”。
她在中国的家园令人叹为观止。

我想去拜访她告诉她关于耶稣的事。

我认为大多数人都想去拜访她，看看她的奇妙家园，花园和吃她的食物。

我也病了..

很遗憾听到您生病了。我将为您一生中的上帝的旨意祈祷..您现在会相信他，转向他。

父神，通过他的儿子耶稣。对耶稣的死在十字架上的信仰，埋葬和从死里的遗嘱中拯救我们。

没有其他方法可以从上帝的审判和愤怒中拯救出来。

耶稣是我们唯一的希望，我们的盾牌，我们的岩石站在我们的救赎！

她的视频令人惊叹，她是一个非常美丽，才华横溢且非常努力，有教养的人..但是她对亚伯拉罕，伊萨克和雅各布的上帝不了解，他的独一儿子，耶稣，拿撒勒人，国王之王...上帝的羔羊。"
23877,Ugw3Cxr5gIo_5_pT_454AaABAg.8z_VHkNqWWZ8zcDWCCNhCh,8,3 years ago,arga _ that whole family is so damn talented!,arga _整个家庭是如此有才华！
30901,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yu3Or1W6C2,8,3 years ago,"bramha's astra but if they went to their garden and grabbed those ingredients, chopped them up, put dressing or grilled them or something itd be cooking right? lol idk why you think there needs to be a 30 step process for it to be real cooking, or take a long time, or prepared from scratch. this girl is amazing and talented, but do you think most chinese people cook like that? japanese people? italians, etc? plenty of people just season their foods, stir-fry them, and eat because theyre not fixing complicated full-course meals. cooking does not need to be complex. idk why youre convinced it does...",布拉姆（Bramha）的阿斯特拉（Astra），但是如果他们去了花园，抓住了这些食材，将它们切碎，放敷料或烤它们，或者它可以烹饪的东西吗？大声笑IDK为什么您认为需要有30个步骤才能真正做饭，或者花很长时间或从头开始准备。这个女孩很棒又有才华，但是您认为大多数中国人都这样做吗？日本人？意大利人等？很多人只是调味食物，炒食物并吃饭，因为他们没有修复复杂的全书餐。烹饪不需要复杂。 idk你为什么说服这是...
27620,UgzhfE1Lhy7YF1hzB4V4AaABAg,8,3 years ago,"i just subbed to you channel and i am amazed at your talents. the mold was broken after you were created, you are simply amazing.",我只是向您介绍了频道，我对您的才华感到惊讶。创建后，模具被打破了，您真是太神奇了。
27567,Ugy_tMfm8SysdsfqI1x4AaABAg,8,3 years ago,she is literally the most talented and amazing person,她实际上是最有才华，最神奇的人
12657,UgzpAaSBBltv35qF7d14AaABAg,7,3 years ago,who is this talented beautiful woman? she's angelic to say the least,这个才华横溢的美丽女人是谁？至少可以说她是天使般的
28603,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9-zEyLn98f5,7,3 years ago (edited),"@franzpeters3824 ok can you speak chinese?! i'm obviously assuming not, so why would expect her to know the whole english language when she lives in china!!!! please use ur head when u think and talk. obviously, english isnt spoken everywhere or it is not needed when u live in ur home country. so if u r criticizing her for not speaking english what about you? can u speak chinese?! guess not... absolutely hypocritical. i think u r just hating on her cause she is way more talented and successful. she is obviously smarter and skillful. knowing how to make, grow, and take care of these stuff is very hard... which u cant do. who has millions of subscribers again? oh that's right, her! cuz she is such a hardworker, and what do u do come again? smh",@franzpeters3824好吧，你会说中文吗？我显然没有假设，所以当她住在中国时，为什么要期望她知道整个英语！当您想和交谈时，请使用您的头。显然，当您住在您的祖国时，无处不在，或者不需要英语。因此，如果您批评她不说英语，那您呢？你能说中文吗？猜不要...绝对虚伪。我认为您只是讨厌她，因为她的才华和成功。她显然更聪明和熟练。知道如何制作，成长和照顾这些东西非常困难……你不能做。谁又有数百万订户？哦，是的，她！因为她是一个勤奋的人，你又来了什么？ SMH
32269,Ugwttm-HcB8DcHla8ZR4AaABAg,5,3 years ago,"prithila astha 
2 小时前 
i wonder, how you carry yourself with so much talent 

lots and lots of love for you","Prithila Astha
2小时
我想知道，你是怎么带着这么多才华的

对你有很多爱心"
14734,UgyvsKDO1aFKa1YOWNp4AaABAg,5,3 years ago,"she pretty, talented, hardworking, and looks humble there aren't that many people with all those quality combined",她漂亮，才华横溢，勤奋，看起来很谦虚
35134,UgxYND322dbc3foA9W94AaABAg,4,3 years ago,she is the most talented and hardworking lady i've ever seen!! her videos are really worth watching!!,她是我见过的最有才华和勤奋的女士！她的视频真的值得一看！
34502,UgyxLO7z60WrmLWwOdx4AaABAg,4,3 years ago,i envy her 's such a hard-working multi talented girl,我羡慕她
9437,Ugz1kYWQlRw1T-kH_nB4AaABAg,4,2 years ago,"iโ€m really hoping that she has a significant other that loves her and cherish her a lot. when i see someone that is as talented, kind, and overall a great person like her. i just want someone else to take care of her as she takes care of her grandma. maybe she is better off without the significant other. but for me, i just want that.",我真的希望她有一个重要的其他人爱她并珍惜她。当我看到一个有才华，善良且总体上像她这样的好人时。我只希望别人照顾她，因为她照顾奶奶。如果没有重要的另一个，也许她会更好。但是对我来说，我只想要那个。
11602,Ugx1A23X49ImVRMaVi54AaABAg,4,3 years ago,"so beautiful, grandmother so proud of the traditions of preperation and talent for cooking passed on",如此美丽，祖母为准备的预期和烹饪才华而感到自豪
9698,UgxeDjXMOCo9vlzxzEZ4AaABAg.99hgqgWegqn9AGGtKeGPb1,3,2 years ago,"dessa dessa please stop being a hater. even if she has someone to help her, sheโ€s still unbelievably talented smh .",Dessa Dessa请不要再讨厌。即使她有人可以帮助她，她仍然很有才华。
10676,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_77-l3-eY,3,3 years ago,"@mohammedharoon8453 i dont have sth against moslem. but i dislike that everybody tend to associate chinese & the culture with ccp while theyre not... just like the name mohammad gets associated with terrorist. boy! what a world! even u mr. mohammad haroon... u know how it feels to be bullied by western people just bc of ur name. .. but u do that also to the chinese! its u who had started to say bad things about liziqi... despite her awesome work & talents !!
its useless to speak to someone like u. byeee!","@Mohammedharoon8453我没有STH对阵穆斯林。但是，我不喜欢每个人都倾向于将中国和文化与CCP联系在一起，而他们却没有……就像穆罕默德这个名字与恐怖分子相关。男生！真是个世界！甚至你，穆罕默德·哈伦（Mohammad Haroon）先生...你知道只有你名字的西方人被西方人欺负的感觉。 ..但是你也对中国人做到了！它开始对利兹基说坏话...尽管她的工作和才华很棒！！
与像你这样的人说话是毫无用处的。 byeee！"
4850,Ugxdttt8he_c-BocX3l4AaABAg,3,2 years ago,29000 unlike so stupid people don't know this amazing video and multitalent girl in the world,29000与如此愚蠢的人不同，世界上不知道这个神奇的视频和多元女孩
11482,UgzR0OW8k9dCN0m1oNJ4AaABAg,3,3 years ago,wow...i'm new to this channel and you are so beautiful and talented. i enjoy your videos and food. i love your culture and country. so so beautiful !,哇...我是这个频道的新手，您是如此美丽和才华。我喜欢你的视频和食物。我爱你的文化和国家。如此美丽！
33094,UgzE3laav_gV9veF8_l4AaABAg,3,3 years ago,liziqi have to be named « a very talented and hardworking girl in the world »,Liziqi必须被命名为“世界上非常有才华和勤奋的女孩”
2896,UgzLnhrE-YzyBrIMcTR4AaABAg,3,1 year ago,this woman is amazing. thank you for such an artistic treasure. your director/cameraman has a true talent!,这个女人很棒。谢谢您的艺术宝藏。您的导演/摄影师具有真正的才华！
34791,UgyBsvalcXdnIo6sKS14AaABAg,3,3 years ago,"hi liziqi , you are so talented so beautiful so much hard worker and so much careing i love your videos very much love from bangladesh ❤❤❤❤❤",嗨，利兹奇，你是如此的才华横溢，如此美丽，如此勤奋，如此照顾我，我非常爱你的视频，非常喜欢孟加拉国。
185,UgweR-xDykIZutFfjrl4AaABAg,2,1 month ago,"i love all the liziqi video cooking,amazing,interesting,talented",我喜欢所有的Liziqi视频烹饪，很棒，有趣，才华横溢
22645,UgxS9qH-s7dLvlE-GY94AaABAg,2,3 years ago,"who will find a talented woman? her value is superior to pearl. the heart of a husband trusts in her, he will not lack benefit. all of her life makes her husband gain benefits, do not hurt. she looked for sheep's wool and thorns, lac-italy took her hand to do the work. she was like a merchant ship, she came back from afar. she woke up when it was still dark, gave food to her family members, and cut jobs for her servants. when she thought of a field, she could buy it; thanks to the fruit of her hands, she planted a vineyard. she strapped with force, and made her arms strong. she felt that her work was being beneficial; her lights did not go out at night. she put her hand on the spinning top, and her fingers held him down. she extended her hand to help the needy, raised her hand to meet the poor and needy. she was not afraid of her family being frozen in snow, because all the families were dressed in deep red fur. she took the blankets; her t-shirt made of fine red linen. at the gate of the city of her husband is known to them, when they sit with the elders of the land. she made a bra and sold it; also gave belts to traders. she put on strength and imposing, and when she thought of the next day, she laughed. she opened her mouth wisely, the merciful principle at her tongue. she takes care of the way of her house, and doesn't eat the bread of idleness. her children rise up, wish her blessed; her husband also rose, and praised her, saying, 
proverbs 31: 10-28 vb1925 
https://bible.com/bible/193/pro.31.10-28.vb1925","谁会找到一个才华横溢的女人？她的价值优于珍珠。丈夫的心信任她，他不会缺乏利益。她的一生都会使丈夫受益，不要伤害。她寻找绵羊的羊毛和刺，Lac-titary握住她的手做这项工作。她就像一艘商船，从远处回来。当天黑时，她醒了，给家人吃了食物，并为她的仆人裁员。当她想到一个领域时，她可以买到。多亏了她的手的果实，她种了一个葡萄园。她用武力束缚，使自己的手臂坚强。她觉得自己的工作是有益的。她的灯在晚上没有熄灭。她把手放在旋转的顶部，手指将他压低。她伸出手来帮助有需要的人，举起手来遇到穷人和有需要的人。她不怕家人在雪中冻结，因为所有家庭都穿着深红色的皮毛。她拿了毯子。她的T恤由精美的红色亚麻制成。当他们与土地长老坐在她的丈夫城市的大门上。她制作了胸罩并卖掉了。也给贸易商带来了腰带。她发挥了力量和强烈的态度，当她想到第二天时，她笑了。她明智地张开嘴，舌头上的仁慈原则。她照顾房子的方式，不吃闲散的面包。她的孩子起床，祝她祝福。她的丈夫也升起，称赞她，说，
谚语31：10-28 VB1925
https://bible.com/bible/193/pro.31.10-28.vb1925"
14663,Ugxhc8sbgDpmMi7T8Dl4AaABAg,2,3 years ago,gorgeous and talented..... thank you to the youtube algorithm!,华丽而有才华的.....谢谢YouTube算法！
14469,UgwC1BG8OG690PtX4iB4AaABAg.94C3z5UoImQ95XgKXFGVLj,2,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
19990,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq95Xghtdkcdz,2,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
26843,UgwPsqh0UqLzFY5BOH54AaABAg,2,3 years ago,"hello, i am an american, i am using a translation application. if it is a bit messy, i'm sorry. i really like your video, even if i can't understand it, they always calm me down. they let me calm down, and i emphasized from the school, so i watch your video now. you are a surprising chef, i like your embroidery skills! you are so talented, so maintain a good job!",你好，我是美国人，我正在使用翻译应用程序，如果它有点凌乱，那就很抱歉。我真的很喜欢你的视频，即使我不能理解它，它们总能让我冷静下来。他们让我冷静，并且我从学校强调，所以我现在看你的视频。你是一个令人惊讶的厨师，我喜欢你的刺绣技巧！你是如此有才华，所以保持良好的工作！
31187,UgwKSnU6fuOJ1v0dwgd4AaABAg,2,3 years ago,your work seems very calming although sometimes very strenuous. everything you make us so fresh. love watching you perform your talents.,您的工作似乎很平静，尽管有时很艰巨。你让我们如此新鲜的一切。喜欢看着你表演自己的才华。
4225,UgxZi-t6fPxwZvbCXyd4AaABAg,2,2 years ago (edited),"we would all like to see more liziqi videos. i have seen her earlier videos when she had to do the whole video by herself. she is hard working and talented. those who are skeptical about her abilities should spend time with her. i admire her.
greetings from the u.s.a.","我们都希望看到更多的Liziqi视频。当她必须自己制作整个视频时，我已经看过她的较早视频。她很努力，才华横溢。那些对自己能力持怀疑态度的人应该与她共度时光。我钦佩她。
美国的问候"
25690,UgxxWSJiwNrv5wPbMnl4AaABAg,2,3 years ago,"hello, li ziqi, how do you do in china? i hope so! i am your fan, you are a master of beauty and talent, a master of princess and art life. congratulations to you have learned a lot of inspiring videos from us, i really want to see your motherland",你好，李子琪，你在中国做得怎么样？我希望如此！我是你的粉丝你是美丽聪明才华，公主和艺术生活的大师。恭喜你从我们那里学到很多鼓舞人心的视频，我很想看到你们的祖国
26846,Ugztr1K7azmiUkhpOC54AaABAg,2,3 years ago,"liziqi you should come to england and show our so called celebrity television chefs how to cook, love you videos you are so good looking and talented in many many ways",Liziqi您应该来英国，向我们所谓的名人电视厨师展示如何做饭，爱您的视频，您在很多方面都很漂亮和才华横溢
33430,Ugy03CkKsPIFS7k_9nV4AaABAg.8yUbaCQrcWw8yUoU33xsVo,2,3 years ago,"it's just a show with amazing team work for making money, but they are very talented.",这只是一场令人惊叹的团队赚钱的表演，但他们很有才华。
33163,Ugz3aOhcpkb6lBWQqpJ4AaABAg,2,3 years ago,"zi yan's mountains are all the ingredients in bao, but you are too talented and you will everything you have",子柒 你家大山里面全部都是宝 食材应有尽有 不过你也太有才了什么都会
5184,UgwsKRxyXLy7miJrziR4AaABAg,2,2 years ago,i want marry this girl.she was very talented.give me my lord,我要结婚这个女孩。她很有才华。
24852,Ugx0iiFmeWAyAqNxJRJ4AaABAg,2,3 years ago,such a highly talented young & beautiful girl .... the envy of minimum half female population all around the world,如此才华横溢的年轻和美丽的女孩。
13820,UgyQULkxDt5bwWlf3Z14AaABAg,1,3 years ago,my gf so talented..proud to be ur bf..lol...jk,我的女友如此有才华。
14126,UgwTzlyRqx6hvQfl5eh4AaABAg.94TvRLTDZFr95XgPKBOpFS,1,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
35109,UgwPtAXmqIr9ZzbM-NF4AaABAg.8yUS2-MVzry8yUWGP7mftw,1,3 years ago,luh !!! me too!!!! she's amazing very talented pa love her!,Luh ！！！我也是！！！！她很有才华的PA爱她！
34699,Ugw8zhZcHdCj4BGutNR4AaABAg,1,3 years ago,"it looks delicious!
thanks for so much talent!
","看起来很好吃！
感谢您的才华！
"
32857,Ugz9RRyVXLbE4zD5aax4AaABAg,1,3 years ago,"beautiful, talented and hard working.... somehow feel a bit sad for her. she deserves a loving man and have some little sunshines.",美丽，才华横溢且努力工作。...不知何故为她感到难过。她应该得到一个充满爱心的人，并有一些阳光。
24717,UgyqMBguct1-7tqi0XB4AaABAg,1,3 years ago,"the feeling of excitement in learning traditional chinese cuisine every time i watch her videos is greatly influenced by this young and talented lady. 
i wonder if you could finish eating that big bowl of noodles though? :)
naguumipaw sa sahog! oh my i can barely count how many ingredients she put in just one dish. amazing! keep up posting please :)","每次我观看她的视频时，都会在学习传统的中国美食中的兴奋感受到这位年轻而才华横溢的女士的极大影响。
我想知道您是否可以吃那大碗面条？ :)
Naguumipaw Sa Sahog！哦，我几乎不能数她只放一道菜的成分。惊人的！请继续发布:)"
15107,UgzeC47PVWTZ3o0aSL54AaABAg.93YZt3DfB0Q95XgbiEbWd7,1,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
15638,Ugx9qhd8l5Hf0xuDZJB4AaABAg,1,3 years ago,i would love for her to be my mentor and teacher. she is so smart and talented.,我希望她成为我的导师和老师。她是如此聪明和有才华。
28772,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g978bUZIp4WL,1,3 years ago,"@franzpeters3824 don't be picky on this talented young landy! a lot of people in this world cannot speak english, so what?",@franzpeters3824不要对这个才华横溢的年轻兰迪挑剔！这个世界上的很多人不会说英语，那又如何呢？
18071,UgzuwvWAPHSR6uHMKD94AaABAg,1,3 years ago,"china is indeed famous for bearing talented people. no such a country can compete with this point, no doubt.",中国的确以拥有才华横溢的人而闻名。毫无疑问，没有这样的国家可以与这一点竞争。
18225,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92e84xtj7jC,1,3 years ago,"not sure about gordon, but myself was going to roast on binging with babish, that man pathetically possess zero talent nor skills what so ever.",不确定戈登，但我本人会与巴比什（Babish）一起烘烤，那人可悲地拥有零人才或技能。
26510,UgxrY1aBsry8fQ-xjG94AaABAg,1,3 years ago,she’s gorgeous and very talented. i wish i could find a woman like her.,她很漂亮，很有才华。我希望我能找到一个像她这样的女人。
24982,UgykG-Yypb4EG6iBiI54AaABAg.8zA389pIhAV8zF4ZE5YkE6,1,3 years ago,"at first, she made it alone. she said in the old video that a shot needs to shoot several times. but she is really talented.",最初是她一个人做的，老视频里她有讲，一个镜头需要拍摄好几遍。不过她的确很有天赋。
13078,UgyD4lWhvXUWNA0pJTR4AaABAg,1,3 years ago,"i like her.. multi talenta.. cooking, planting, harvesting, all of life skill she has",我喜欢她..多才华..烹饪，种植，收获，她拥有的所有生活技能
10,UgygwyYbZIMBKh9QzxZ4AaABAg,1,3 days ago,ziyi is really a movie that is not only beautiful and more talented and versatile.,子柒真的是前无古人后无来者不但人美又多才多艺 看子柒的影片能使人愉悦放松心情 感觉与世无争 在世外桃源做着自己喜欢的事物这样的人生足矣❤❤❤
10609,UgyGsc2mc3x5uSLMCMp4AaABAg,1,3 years ago,you are so talented and cute ...,你是如此的才华和可爱...
10202,UgxbtMjMG0WcZeZHaVd4AaABAg,1,3 years ago (edited),i am curious who is shooting this while she does activities? if it’s her i am absolutely empresses with her cinematic scope!! what can’t she do? wow you are a superwoman!! and your grandmother’ hero!! one can only hope to have a child / grandchild this talented.,我很好奇谁在做活动时正在拍摄这件事？如果是她的话，我绝对是她的电影范围！她不能做什么？哇，你是一个超级女性！还有你祖母的英雄！一个人只能希望有一个有才华的孩子 /孙子。
4617,UgzUMw9XssH9TpzYald4AaABAg,1,2 years ago,i have been watching her videos since from 2020 n i love it soo much n iam just wandering how talent she is ❤️ i mean her cooking style is soo good the way she cock different kind of dishes,自2020年以来，我一直在观看她的视频，我很喜欢它，这么多niam在徘徊，她的才华是多么❤️，我的意思是她的烹饪风格真是太好了，就像她从印度那样狂欢的菜肴的方式
6150,UgwAiAFzjQrTZ2jQqsV4AaABAg,1,2 years ago (edited),so talented. everything looks so tasty ๐‘๐ป,如此有才华。一切看起来都很美味
11062,UgxruKSHZaKy67OCvLJ4AaABAg,1,3 years ago,"i'm so speechless. she is so talented. she is a master of gardening, cooking, sewing, making furniture such as bamboo sofa's. superb..",我很无语。她是如此有才华。她是园艺，烹饪，缝纫，制作竹沙发等家具的大师。超级..
11299,UgxLV5tVWrtmLFEDU1R4AaABAg,1,3 years ago,wonderful garden with magic growing vegetables and amazing hardworking lady with wonderful talent!,奇妙的花园与魔术种植蔬菜和令人惊叹的勤奋女士，具有出色的才华！
12450,UgwCs45BoT2KwSzj5UZ4AaABAg,1,3 years ago,"she was rustic and cute, talented, really admired ❤️",她很乡村和可爱，才华横溢，真的很钦佩❤️
25989,Ugw28mmAyNz-mjLaeHZ4AaABAg,0,3 years ago,1 week and over 6 million views...a true youtube star....amazing. beautiful and talented!,1周和超过600万的观看次数...真正的YouTube明星。美丽而有才华！
26014,UgzwNVQ-MpHFIo_TBhl4AaABAg,0,3 years ago,pretty and talented like her must be very rare,像她这样漂亮又有才华必须非常罕见
30779,UgwJW6DeqF6-egIF7yV4AaABAg,0,3 years ago (edited),as always amazed at her talents. i kind of feel stupid when it comes to cooking now.,一如既往地对她的才华感到惊讶。现在，我有点愚蠢。
30477,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39anSYqbUPgT,0,1 year ago,"@yolanday391 so much experience, skill, talent crushed by homelessness... it came from a little girl who was raised with the experiences of her elders. may her life always be a happy smile, hardworking woman.",@yolanday391如此丰富的经验，技巧，才华横溢的无家可归者……它来自一个小女孩，她的长者经历了。愿她的生活永远是一个快乐的微笑，勤奋的女人。
30335,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw395XgMp1Pk-X,0,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
30096,UgxO8Dq59X8fd3VdfQJ4AaABAg,0,3 years ago (edited),wow what a talent. what are the ingredients? can you buy in brazil? the names of the ingredients? doesn't this animal of the disease?,哇，真是个才华。有哪些成分？你可以在巴西买吗？成分的名称？这种疾病的动物不是吗？
29900,Ugz8d8lq1s5egqlGl7d4AaABAg,0,3 years ago,your always so dammm beautiful and your so talented keep it up...❤️❤️❤️❤️love you,你总是那么贵族美丽，你如此才华横溢...❤️❤️❤️❤早太chove you you you
29799,UgwBlkcN4K3ZOON0IPt4AaABAg,0,3 years ago,"lisiqi- !!
no check comments- ??
no speak on videos ..
i learn from her so a lot- ""
lisiqi ... how much talent*
you make nutritious food
you make furniture- '
you do make up- '
you do seams- '
please smile to videos -'","lisiqi- !!
没有检查评论 - ??
没有在视频上发言。
我从她那里学到了很多东西 - ”
Lisiqi ...多少才能*
你做营养的食物
你做家具 - '
你做的 - '
你做接缝 - '
请对视频微笑 - '"
29211,UgyzHCzDT2Ku4hJMSMh4AaABAg,0,3 years ago,these videos are pure poetry in motion. such a talented lady who leaves me in awe. wonderful.,这些视频是纯粹的诗歌。如此有才华的女士，让我敬畏。精彩的。
29115,UgxKaaykZ_TP37Ir8EZ4AaABAg,0,3 years ago,"envy living in such a leisurely environment (natural), of course, you must have your talents to learn the skills to complement each other! bleak",羡慕能住在如此悠然自得的环境中（天然），当然要拥有妳的才学手艺才能相得益彰！
29099,Ugw1heFkJ9v281Q4CAF4AaABAg,0,3 years ago,this girl is very talented,这个女孩很有才华
29004,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9Jd9LuKCnlX,0,2 years ago,@franzpeters3824 excuse me!! who are you to judge someone....what is your talent?? she can't speak english properly right? can you speak chinese?? no one is perfect in this world... it's easy to judge someone but it's harder to understand....if you don't like her video than please don't watch but at least don't spread hate to her here....,@franzpeters3824对不起！你是谁评判某人。...你的才华是什么？她说英语不能正确吗？你能说中文吗？在这个世界上，没有人是完美的...判断某人很容易，但是很难理解。...如果您不喜欢她的视频，请不要看，但至少不要在这里向她传播仇恨。 ...
