,cid,votes,time,含talent,含talent中文翻译
30037,Ugxqyerx-UFwycbRcr54AaABAg,6,3 years ago (edited),"hi ms liziqi....a few hours ago i started watching your video. 1st video with the lotus... hooked up.. now i don't know how many of your videos i've watched already.. and it's 12midnight here. thank you for the videos... i love how you take good care of your grandmother. you are a smart, loving, talented being.
i just wish and hope to live with you there even just for few days to join you and experience harvesting and eating fresh vegetables and fruits and taste your recipes. take care ๐ค—๐ค—๐ค—๐ค—","嗨，Liziqi女士....几个小时前，我开始观看您的视频。第一个视频与Lotus ...连接。.现在我不知道您已经看过多少个视频了..在这里是12mmid night。谢谢您的视频...我喜欢您如何照顾祖母。您是一个聪明，充满爱心，才华横溢的存在。
我只是希望并希望在那里与您同住，甚至只有几天的时间就可以加入您的行列，体验收获和吃新鲜蔬菜和水果并品尝您的食谱。保重"
41976,Ugw8Hjjy2bVyzaF9Tth4AaABAg,5,4 years ago (edited),"the talents are both well, xiuwai huizhong, soft and rigid, live and work in peace, filial piety to the family, and a blessing family on the world.
praise!","才貌双全，秀外慧中，外柔内刚，安居乐业，孝顺持家，为人间有福报的家庭。
赞美!"
7566,UgxQOPLmIyi3IGy2-Fx4AaABAg,5,2 years ago,"a very beautiful and caring video... having the greatest respect for seniors within the family! talented beyond comparison to the west. unbelievable insight, and a deep empathy one can only vision in the east! 
i couldn't wait to subscribe to an artist able to see beyond today! 
i was blessed with my wife similar to her but, now senior... may she continue her life's dream!","一个非常美丽和关怀的视频...对家庭中的老年人表示最大的尊重！与西方相比，有才华。令人难以置信的见识，深刻的同理心只能在东方视而不见！
我迫不及待地想订阅一位能够看到今天以外的艺术家！
我很幸运，我的妻子与她相似，但是现在，大四...愿她继续生活的梦想！"
22055,Ugxlko-aCv8bm3F_QJp4AaABAg,5,3 years ago,"recently, li ziyi has been the ""ambassador to the promotional ambassador of the rural rural rural rural rich"", which has triggered a new round of comment boom. after seeing some, i couldn't help but feel like i could provide different perspectives.

the point is, i hope that everyone is calm, discuss things, and try to listen to it as much as possible.

don't bully a diligent, brave and intelligent girl.

according to the good cat catching the mouse, li ziyi is not an outstanding good cat. not to mention the renminbi income, she made a lot of money on the international stage, about tens of thousands of dollars a day, envy everyone, realize her dream of serving her grandmother's life, and obtaining the harvest of no dare to expect. impressive.

nearly 8 million foreign fans, everyone shows the truth, kindness showing the video. unconvinced? if you try it, you will know. jiang feng, the most popular self -media chinese, has subscribed for 280,000, is already an example for many people. it's just 3%of this little girl.

the videos of overseas cattle guo wengui are only watched tens of thousands of people every time. li ziyi's video is five or six million. the best 30 million. the video three years ago was searched every day, and the number of clicks continued to skyrocket.

this is not a general miracle.

i spent the strength of nine niu and tiger to make a video. so far, i only have 160 subscriptions, and the best video is watching more than 1,000 people.

i know li ziyi's weight. everyone also weighs.

everyone has the most discussions. the most misunderstanding of li ziyi is that she is just an actor, and her work is made by a huge team.

please understand her development history a little.

li ziyi had a childhood young man who had been unable to look back, had various workers, and had a long period of time for a person's exploration of experiments. he finally rely on his talents, hard work, hard work, and succeed.

the current situation, i am afraid that zhang yimou is likely to be a director. of course, li ziyi does not need zhang yimou. i have an analogy. li ziyi has no self -learning talent, and the artistic talent shown is no worse than zhang yimou.

li ziyi rely on his own efforts to come to this day. you open your eyes and talk nonsense, and you are unwilling to do basic investigations and research. he maliciously pour dirty girls to a hard -working girl.

really blushing for you. be kind. do nโ€t be so rude and hateful.

true: li ziyi's true, not that she is too beautiful, not what kind of shoes are wearing in the farmland. in my eyes, li zizhen's true, manifested in her hard work, hard work, and manifested in her soul. nothing will do.

of course, she will not seriously and deliberately express the hardships of the peasants in sichuan and the sufferings of rural poor today. li ziyi is pursuing the amount of subscriptions and click volume. her performance is basically impeccable.

li ziyi truly shows her own pursuit of life and her own state of life.

of course, try your best to beautify. otherwise, where can i subscribe?

good: see her depending on the grandmother's life, and take care of each other. thinking that grandma finally got a good life, she was really happy.

thinking of my work hard for a whole life. li ziyi's kindness is one of the biggest highlights of the video.

beauty: needless to say. i admire me and admire from the bottom of my heart. some people will say, team teams, foreign announcements and so on.

you just need to see li ziyi's earliest video to feel her artistic talent.

besides: with the current situation of li ziyi's current daily gold, let alone the government, any of the people with funds will not hesitate to make a behind -the -scenes team.

dawai xuan:

where is this? what big publicity? what a crime is to have no words. a girl mixed with meals, accidentally red and purple, do nโ€t tm โ€s blind eyes?

but here to tell the government and the communist youth league, do not speculate. stir good things. what is the blind ginseng?

the government was not stupid, and i saw li ziyi's success and wanted to use it. in fact, maybe good intentions have become bad things. with my concept, the government, the communist youth league, the best leave her alone. it is not as good as the last four, truth, goodness and beauty.

ziyi, please be careful. no need to cooperate too deeply with the government. tell them to let you develop freely in accordance with their greatest interests. otherwise, the end may not be good for anyone.

cut!

during the seven years of labor in rural areas during the revolution, the hardships of the rural areas of china's rural areas know a little.

the reason why li ziyi feels is because most of the farm work that li ziyi has done has done it, and i will even accept the soles of the shoe. i rushed the cow to rake the ground in the paddy field, and i tried it. if you can't try it, you have to give it to the poor farmers around him. very difficult work. i did not dry the back of the mountain from the mountain. there are no bamboo or mountains there. almost all of the others can't be familiar. rice, wheat, corn, sweet potatoes, pigs and sheep beef, planting vegetables. we do not plant fruit trees. moving the bricks by myself and moving the bricks. at the age of seventeen, he was cooking for fifteen students.

li ziyi used bamboo to make a sofa for me too much. too admire!

ziyi, refueling ๅฟ…๏ธ do not worry about it. take your own way and let others have a way. don't ignore some people's words of talking nonsense.

ps

ziyi does not necessarily know the history of 12 million people starved in sichuan during the great famine. mianyang is the hardest hit area. please know. it is important to your future development.","最近李子柒担任“中国农村青年致富带头人推广大使”，引发新一轮评论热潮。看了一些，忍俊不禁，有感而发，希望能够提供不同视角。

关键是，希望大家平心静气，就事论事，尽量做到兼听则明。

不要语言欺凌一个勤劳勇敢聪慧的女孩子。

按照逮着老鼠就是好猫的说法，李子柒不啻是一只杰出的极其优秀的好猫。不说人民币收入，她大把大把的在国际舞台上赚美元，大概每天几万美元吧，羡煞众人，实现自己养家糊口侍奉奶奶的人生梦想，获得原本不敢奢望的收获，可喜可贺令人钦佩。

将近800万外国粉丝，大家是冲着视频展现的真善美来的。不服气？你试试就知道了。海外最红的自媒体华人江峰，28万订阅，已经是很多人崇拜的榜样。仅仅是这小姑娘的3%。

海外牛人郭文贵每次的视频也只是几万人看。李子柒的视频动辄五六百万。最好的3千万。三年前的视频还在被人每天搜索，点击量继续暴涨。

这可不是一般的奇迹。

我费了九牛二虎之力做视频，至今只有160订阅量，最好的一个视频1000多人观看。

我知道李子柒的分量。大家也掂量掂量。

大家议论最多，对李子柒误解最大的是，她不过是个演员，工作都是一个庞大的团队做的。

请稍微了解一下她的发展史。

李子柒有过不堪回首的童年少年，有过各种打工经验，有过很长时间一个人摸索实验失败，最后靠自己的才华，勤奋，努力，获得了成功。

现在状况，恐怕邀请张艺谋来做导演都有可能。当然李子柒不需要张艺谋我是打个比方。李子柒无师自通自学成才，表现出来的艺术天分，不比张艺谋差一丝一毫。

李子柒完全靠自己的努力走到今天。你们睁着眼睛瞎说八道，连基本的调查研究都不愿意做，恶意向一个勤劳致富的女孩子泼脏水。

真替你们脸红。Be kind. Don’t be so rude and hateful.

真：李子柒的真，不是表现在她穿着过于漂亮，不是表演在穿着什么样的鞋子在农田里劳作。在我的目光里，李子柒的真，表现在她的勤劳，吃苦耐劳，表现在她的心灵手巧。啥都会干。

她当然不会去认真刻意的表现四川绵阳农民的辛苦和今日农村贫困人群的苦难。李子柒追求的是订阅量，点击量。她的表现基本无懈可击。

李子柒真实的表现了她自己对生活的追求，她自己的生活状态。

当然要尽力美化。不然哪里来订阅量？

善：看她和奶奶相依为命，互相关照。想到奶奶终于过上好日子真为子柒高兴。

想起自己姥姥勤劳一生。李子柒的善良，是视频最大亮点之一。

美：毋庸赘言。令我感佩，从心底里佩服。有人又会说了，团队团队，大外宣等等。

你只需要去看看李子柒最早的视频就能感觉到她的艺术天分。

再说一遍：以李子柒目前日进斗金的状况，别说政府，任何一个有资金的人都会毫不犹豫甘作幕后团队。

大外宣：

这哪儿跟哪儿啊？什么大外宣？真是欲加之罪 何患无辞。一个女孩子混口饭吃，不小心大红大紫，别TM的瞎着眼胡说八道好不好？

但是此处敬告政府和共青团，别投机不成舍把米。把好事搅合了。瞎参和什么呢？

政府不傻，看到李子柒的成功趁机想利用起来。其实也许好心办成坏事儿。以我的观念，政府啊共青团啊什么的最好leave her alone. 免得最后四不像，真善美不在。

子柒也请慎重。不必和政府合作太深。告诉他们让你自由发展符合他们的最大利益。不然最后也许结局对谁都不好。

切切！

在下文革时期在农村劳动七年多，对中国农村的苦难农民的艰辛略知一二。

之所以感觉李子柒的真实，就是因为李子柒干过的农活儿大部分我都干过，我甚至会纳鞋底。赶着牛在水田里耙地，我试过。怎么试都不行只好交给身边的贫农代表。很不容易的活计。从山上砍竹子背下山没有干过。我们那里没有竹子也没有山。其它几乎都再熟悉不过。水稻，小麦，玉米，红薯，养猪羊牛，种菜。我们没有种水果树。自己盖房子搬砖头用手推车运转头。十七岁当炊事员专职为十五个同学做饭。

李子柒用竹子做沙发让我太佩服了。太佩服！

子柒，加油

PS

子柒不一定知道大饥荒时期四川饿死1200万人的历史。绵阳是重灾区。请一定了解一下。对你今后发展至关重要。"
35697,UgwM-V2zKtRYzZZ4GuN4AaABAg,5,4 years ago,iโ€m pretty sure all the men out there are very attracted to her how talent and hard working she is wanting to marry her~ ^_^,我很确定那里的所有男人都对她非常吸引她的才华和努力工作，她想嫁给她〜 ^_ ^
5368,UgxvvNvzHEFfHr50n5h4AaABAg,5,1 year ago,"mashaallah, to see such a beautiful girl is as beautiful as it is, an impossible talent,",马沙阿拉（Mashaallah
31205,UgxBPmGw0xIG1aIl6ZF4AaABAg.8wR1zKZ8whC8wb2bNgjPAq,4,3 years ago,she's beautifully and yet a talented woman,她很漂亮，却是一个才华横溢的女人
26100,UgzjJycvUIuLciLvHAB4AaABAg,4,3 years ago (edited),luv u liziqi. u are a talented person .may god bless u dear for ur efforts๐‘๐‘,Luv u Liziqi。你是一个才华横溢的人。愿上帝保佑你亲爱的你的努力
29150,Ugx5WSC5XCu2dUH3qWp4AaABAg,4,3 years ago,really chinese are the most talented and most hardworking people in the world....,真正的中国人是世界上最有才华，最勤奋的人。
50174,Ugx4Ercm48acxgFmjSJ4AaABAg,4,4 years ago,you are so talented. i love your videos .thank you so much .,你是如此有才华。我爱你的视频。非常感谢你。
22587,Ugyj2E4_XI7nHeOrGyZ4AaABAg,4,3 years ago,"that is chestnut, the one she pick-up from the start of the video - right? you'e really a good chef, and got a lot of cooking talent and pretty face too, but i'm missing to see those beautiful smile from your lovely face... more power to you blog cause it helping a lot of people to understand the real fashion of cooking...",那是栗子，她从视频开始时就拿起了栗子 - 对吗？您真的是一个好厨师，也有很多烹饪才华和漂亮的脸蛋，但是我想念那些美丽的脸上的笑容。了解烹饪的真正方式...
49401,Ugwc2G9zgVIeMLRaiRB4AaABAg.8qm7ZLnWwLu8qubYsvt_qe,4,4 years ago,"@mick1937 of course it's great editing and phenomenal cinematography, and that's why this channel is so good. but you can't make something out of nothing. you ca see she's so talented and hardworking.",@mick1937当然是很棒的编辑和惊人的摄影，这就是为什么这个频道如此出色的原因。但是你不能一无所有。您看到她是如此有才华和勤奋。
33585,Ugwi6MPmUUHVJiZrO-V4AaABAg.8vCZsi2p9r28z9bhhugmgC,4,3 years ago,such a talent girl!!,这样的才华横溢的女孩！
31644,UgwVh4YRkiSlN-CJ3Lx4AaABAg,4,4 years ago,you have more talent in ur thumb than i do in my whole body,您在拇指上的才能比我整个身体都要多
32464,UgyJoPFhPcaTzR8sdXx4AaABAg,3,4 years ago,"you are such a talented women, a lot of patience...oh my god!!! what not!!! and you are leading such a beautiful and amazing life๐
just keep going!!!!","你是一个才华横溢的女人，很有耐心...哦，天哪！没有什么！！！而且您过着如此美丽而神奇的生活
尽管继续！！！！"
35545,UgyleE_eGPPXJUAxq6V4AaABAg,3,4 years ago,you are so talented and hard working. beauty with brain,您是如此有才华和努力。大脑的美丽
29273,UgxFnfqq4OFtZhQBTsh4AaABAg,3,3 years ago,"with a sweetness like her, you'll never go hungry. or complain you eat the same stuff over and over. i've never seen so much mad skills and talent in just one person. she's truly my hero๐๐’•๐’•๐’•.",像她一样的甜蜜，您永远不会饿。或抱怨您一遍又一遍地吃同样的东西。我从来没有看到过如此多的疯狂技能和才华。她确实是我的英雄。
26786,UgzvYOt0H_2OgL8sLth4AaABAg,3,3 years ago (edited),"liziqi you are a very special girl, i wish i was as talented as you are hopefully you will find your prince one day. god bless you and lots of love to granny ๐’–๐’–๐๐ฌ๐ง",Liziqi您是一个非常特别的女孩，我希望我像您希望有一天能找到您的王子一样有才华。上帝保佑你，对奶奶的爱心很多
32451,UgyX1udEsbOGstSL1LV4AaABAg,3,4 years ago,multitalented girl...i don't kw how she is cooking these items bt it's making me hungry....i would like to come that place bt there is no chance fa me really feeling sad while seeing that place.....,多元化的女孩...我不kw她如何烹饪这些物品，这让我饿了。...我想来的那个地方Bt没有机会在看到那个地方时感到非常难过。 。
40094,Ugy0ApgdRp06CzBHsD14AaABAg,3,4 years ago,"very good video great compositions lighting and beautiful story. i admire your works. she is very talented, i would like to see your video behind the sense",很好的视频很棒的作品灯光和美丽的故事。我很佩服你的作品。她很有才华，我想看看您的视频背后的视频
16740,Ugx53dRaunGipg_w8uF4AaABAg,3,3 years ago,"i just love liziqi. she is a modern princess and is just amazing. but... she is not a goddess like all ya’ll think she is. she is human just like us. this video is proof that humans are not perfect, even is they are hardworking and talented. (https://www.youtube.com/watch?v=auw1_2xbywm) watch till the end and you’ll see what i mean.",我只是爱Liziqi。她是一位现代公主，真是太神奇了。但是...她不是像所有人一样的女神。她像我们一样是人类。该视频证明了人类并不完美，即使他们在努力工作和才华横溢。 （https://www.youtube.com/watch?v=AUW1_2XBYWM）直到最后，您就会明白我的意思。
36492,UgyvmxmPJmXATBXTYnV4AaABAg.8uUOtMcYkny8uaeuB8gLtd,3,4 years ago,"it's not talent, she's hardworking",这不是才华，她在努力工作
42793,UgzCiYFRn7KZC3eMaSl4AaABAg,2,4 years ago,multi talented gurl,多才华横溢的Gurl
30844,UgzxiTIAOXZ7tjiKsr14AaABAg,2,3 years ago,she is so talented!!! love her grandma too :),她是如此有才华！！！也爱她的奶奶:)
20858,UgzUuv4wq4-uwWnBcc14AaABAg,2,3 years ago,"stunning photography, scenery (where is this filmed in china), and lovely young lady who is very talented. her grandmother is fortunate to have her. thank you for doing these videos.",令人惊叹的摄影，风景（这是在中国拍摄的地方）和很有才华的可爱小姐。她的祖母很幸运能拥有她。感谢您制作这些视频。
2098,Ugwikgh1wmlujIalcCp4AaABAg,2,1 year ago,"you are talented, beautiful, silent, hard work, perfect",你是才华横溢，美丽，沉默，辛勤工作，完美的
43259,UgyH4EJzua1DPw0EQeh4AaABAg,2,4 years ago,she makes her own snacks and jerky like talented can this woman get!?,她自己做零食，就像才华横溢的那个女人能得到！？
871,UgzUbBhuVy5emo55GfN4AaABAg,2,6 months ago,we miss your new videos. can you again start giving videos? your content are really worthy of appreciation. respect you for being soo hard working. such a talented soul i have ever came across in my life. words are not enough to praise your talents and creativity.,我们想念您的新视频。您可以再次开始给视频吗？您的内容真的值得赞赏。尊重您的努力工作。我一生中遇到过的一个才华横溢的灵魂。言语不足以赞美您的才能和创造力。
