,cid,votes,含respect,含respect中文翻译
26335,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy935VP72yXYT,1,"iโ€m so sorry, but i laughed, i get it, at least this is what we can do to show her the respect right? lol",我很抱歉，但我笑了，我明白了，至少这是我们向她展示尊重的能力吗？哈哈
26445,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy984htLzr3W8,1,when i had depression the most difficult part of it all was cleaning my room. so big respect for that!!,当我沮丧的时候，最困难的部分是打扫我的房间。对此非常尊重！！
24148,Ugx_TZ7L9ZSeJcBAbId4AaABAg.91U9KIRGN8y92S7WHr62mE,1,"irritable little pink diss, rather than patriotism, do nโ€t say that people who are patriotic are small pink. i said that you will be happy if your traitors walk away from dogs? people and people do nโ€t understand basic respect. do you still want others to listen to you? there should also be patriotism that should not be scolded. if you have a country, you should not use chinese characters if you don't like your country. don't live in this land. if you have the ability, you can leave china in the whole family, learn more english, remove chinese characters, and be your slave sex.",暴躁小粉红diss 宁不爱国就不要说人家爱国的人是小粉红，我说你汉奸走狗你会开心吗？人和人基本尊重都不懂，你还想别人听你的话？还有爱国不应该被骂，有国才有家，你要是不喜欢你的国家就不要用中国字，不要在这片土地生活。有本事你就全家移民离开中国，多学英语，把中文字去掉，做你的奴性爱外国就可以了。
49505,UgxwchYl386UcKraHdt4AaABAg,1,"nature is like mother always loving,providing,forgiving all she wants back is love and respect. happy chinese new year. love this channel so much.love from the universe.",大自然就像母亲总是爱，提供，宽恕她想要的一切都是爱与尊重。农历新年快乐。非常喜欢这个频道。
27258,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB91ngYWv6reK,1,"""and even with the fly cams and papparazi, she still continues to create videos"" - geez, people can't just leave her alone? i would hate to see her stop doing videos because of these morons who don't respect her privacy.",“即使有了苍蝇摄像头和帕帕拉齐，她仍然继续制作视频” - 哎呀，人们不能只是让她一个人吗？我不愿看到她停止拍摄视频，因为这些白痴不尊重她的隐私。
29784,UgxN4R5bsoOD2G__EjZ4AaABAg.8xVDk1l9z8t8yQRmf8bUZ3,1,respect china from poland,尊重波兰的中国
30723,UgwkC3U2cPYuJWya2iB4AaABAg,1,you have a lovely grandmother god bless her and you i have love and respect for you2โฅ๏ธโฅ๏ธ,你有一个可爱的祖母上帝保佑她，而你我对你有爱和尊重2♥♥♥父
32059,UgwlrcsnlxBK_XQhCXd4AaABAg.8vztA6WkhKN8zafp5J5UZe,1,"it is her only living relative as far as i know. no wonder she would do anything for her, but in china or most of the asian countries, you are supposed to treat elders with respect and dedicate yourself for them because they lived longer than you and/or probably raised you or your parents up.",据我所知，这是她唯一的亲戚。难怪她会为她做任何事情，但是在中国或大多数亚洲国家，您应该尊重长者，并为他们奉献自己，因为他们的寿命比您更长和/或可能抚养您或您的父母。
51712,UgxYasu9FDqzWgUHqsl4AaABAg.8qlSxysCabu8qldX9LcOAC,1,"should call it lunar newyear, because early 1949 you can't call it chinese new year. but this festival existed more than 1000 years ago. like thank giving day of american, we call it thank giving day not ""american holiday"", it express respection and knowledge about culture.",应该称其为Lunar Newear，因为1949年初，您不能称其为农历新年。但是这个节日成立了1000年前。就像感谢美国人的日子一样，我们称其为感谢，而不是“美国假期”，它表达了对文化的敬意和知识。
34548,Ugw5s9z3MVHWUuAa_XR4AaABAg.8uztCsvLOer8vWdF_4SGpd,1,"sumdyude it's rude to assume that just because they're chinese,they'll eat the doggies and the lambs. they could bc it's just their culture (which you shouldn't disrespect) but they could also be loving them. ik that bc some people from my place eat them but i still don't bc i love them",Sumdyude认为仅仅因为他们是中国人，他们就会吃狗狗和羔羊。他们可以公元前这只是他们的文化（您不应该不尊重），但他们也可以爱他们。 ik卑诗省有些人从我家吃了他们，但我仍然不bc我爱他们
22985,UgxsdVLdbVYEPdXqgbl4AaABAg,1,"regardless of whether these videos are suspected of hype, the video does spread traditional chinese culture. the chinese do not need to admire yangmei. a country's own culture is the root. for a chestnut, taekwondo can become olympic sports. why can't chinese kung fu, why did china have only bruce lee and jackie chan, no succession? because the flow star vase is full of the current entertainment industry, is it that the inheritance has a fault in the inheritance? first of all, if you like the culture of others, you must first love your own culture. if a country ignores its own culture and vigorously promote foreign culture. this country, this nation will lose the soul, and will not get it in the future. the respect of others, too many excellent culture in china for 5,000 years is worthy of promoting. the thoughts in guang confucianism and taoism are enough for you to dig. china is actually unique.",不管这些视频是否有炒作嫌疑，但视频确确实实在传播中国传统文化，中国人不需要崇洋媚外，一个国家自己的文化才是根，邻国日本韩国确实比我们做的好，而且做到了文化输出，举个栗子，跆拳道可以成为奥运体育项目，为什么中国功夫不可以，为什么中国只出了李小龙和成龙，后继无人？因为流量明星花瓶充斥着现在的娱乐圈，是不是功夫在传承方面有迹象已经出现断层了？国内首先你喜欢别人的文化，你就要先爱自己的文化，一个国家如果连自己的文化都忽视，去大力弘扬外来的文化，这个国家，这个民族是失了魂的，将来也不会得到别人的尊重，中华上下五千年太多优秀的文化值得弘扬了，光儒释道里的思想就够你挖掘的了，中国其实是独一无二的.
35793,UgwSDbzoduI5_ylyTkt4AaABAg,1,such a nice video with little effort done so beautiful and great things. respect,如此漂亮的录像带，很少努力如此美丽而伟大的事情。尊重
38859,UgwRTb4glaE_MA7I_3B4AaABAg,1,respect frome morocco ๐ฒ๐ฆ๐ฒ๐ฆ๐ฒ๐ฆ๐‘๐‘๐‘๐‘,尊重摩洛哥弗罗姆
39731,Ugz7jZTGvnlkB_rhPq94AaABAg.8slSxGTrJb38sr4ZFLl_ny,1,"well, this is the project, the same commercial. smart people do. this is not a way of life now. everything is staged. but with such respect for the traditions, skills of ancestors and nature. well done and they themselves earn money and people are the pleasure of only every minute of viewing. well, you carefully look at every frame, everything is thought out both a bouquet and dogs and cleanliness from snow -white napkins for a simple stove ... but do not tear the eye .... charm. these are specially re -tinkers. i am also delighted with their work.",好吧，这是一个项目，同一广告。聪明的人做。这不是现在的生活方式。一切都上演了。但是，尊重祖先和自然的传统，技能。做得好，他们自己赚钱，人们只是每分钟观看的乐趣。好吧，您仔细查看每个框架，一切都被认为是一束花束和狗，以及雪 - 白色餐巾纸的清洁度，用于简单的炉子...但是不要撕开眼睛....魅力。这些是特别的调整器。我也对他们的工作感到高兴。
50861,Ugy8ps3yYM_3K2NI7_V4AaABAg,1,i am always soo hungry after watchng your video. you really talented. my respect from indonesia,观看您的视频后，我总是很饿。你真的很有才华。我对印度尼西亚的尊重
52932,UgwHTfgI2KDCfC3tHwV4AaABAg.8qlJWxRpsFj8qlQitV7SXO,1,"hello..i have been watching your videos from last year and each video is a masterpiece..i respect you,i love your channel..daily before going to bed i use to watch your videos so that i get a peaceful sleep..your videos had inspired me in many ways..as i am from india..i don't understand your language,so if you don't mind please add a subtitles in english...
can you or anyone translate her message in english..??","你好..我一直在看你去年的视频，每个视频都是杰作。我尊重你，我爱你的频道..每天睡觉前，我都用来观看你的视频，以便我宁静的睡眠。您的视频在许多方面都启发了我。
您或任何人都可以用英语翻译她的信息.. ??"
19774,UgzmQ-ENkjs0c6wmtyh4AaABAg.95Jnp0OjZJ095aruap7GmL,1,"@razorwu7369 very true. i think we've lost touch of where our food has come from. raising, killing, and eating animals and paying respects to the fact their life has now given you life is something to consider. i have many friends that are vegetarian and vegan. the understand this concept to a degree. i think it's the way people raise their livestock, quite literal, is very important.",@razorwu7369非常真实。我认为我们已经失去了食物的来源。养育，杀人和吃动物，并向他们的生命赋予您生活的事实表示敬意。我有很多素食主义者和素食主义者。在一定程度上了解这个概念。我认为这是人们举起牲畜的方式，非常重要。
22914,Ugy4QKtD9cbzrOoUVFd4AaABAg.92dymxS8pg192tbeS-0V6j,1,"@priscillayang499 of course, the people who eat dogs don't respect you too, and they don't care about what you mind. and, what can you do? 
you just love your human friends the dogs, but you hate your human of the same kind with you. is it a joke? 
your friend of the dogs bit more than 3000 people to die every year and hurt more than 50 million people. is this thing you call it your friends? 
btw, the cow helps humans do lots of farming work and provide the milk for humans, it's much better than dogs, why you don't censure the people eat beef? 
i think the kind of person of you are just a selfish person who cares about yourself feeling only.","@priscillayang499当然，吃狗的人也不尊重你，他们也不在乎你所介意的。而且，你能做什么？
您只是爱您的人类朋友狗，但您恨您的人类。这是个玩笑吗？
您的狗的朋友每年有超过3000人死亡，并伤害超过5000万人。这是您称之为您的朋友吗？
顺便说一句，牛帮助人类做很多农业工作，为人类提供牛奶，它比狗好得多，为什么您不谴责人们吃牛肉？
我认为，您的那种人只是一个自私的人，他们只关心自己。"
14974,UgwNoWhvO5cOgS7sial4AaABAg,1,her video quality and editing is just as perfect as her life. big respect and much,她的视频质量和编辑与她的生活一样完美。大尊重和很多
22599,UgzvMw8oHviheTkqdZR4AaABAg,1,hi i. gerasimenko lydia from. russia. the good mistress is so skillfully prepared just a super cook. what a beautiful video. i have a great respect for your nation. you and happiness in the new year.,嗨，我Gerasimenko Lydia来自。俄罗斯。好情妇是如此巧妙地准备了一个超级厨师。多么美丽的视频。我非常尊重你的国家。你和新年的幸福。
7451,UgzKvntQVN6Pb2w001B4AaABAg,1,"i am very pleased that the world still has a lot of positive energy. li ziqi ’s sincere sincere sharing has been the result and appreciation of the point of the world, and let the world undertame china 
i am very pleased that the world is still more positive. li ziyi sincerely shared the respect and appreciation of the people of the world, so that the world can understand the chinese cricket. you can only do it with history, you can only do it eastwardly)","I am very pleased that the world still has a lot of positive energy. Li Ziqi’s sincere sharing has won the respect and appreciation of the people of the world, and let the world understand China 
很欣慰世界还是正能量多，李子柒真诚的分享赢得世界人民的尊重和欣赏，让世界了解中国"
2833,UgwpOC_PbiZm7JmJEu14AaABAg,1,much respect to a person who knows the meaning of life is in the family and friends in your life not money not gold or silver but love,非常尊重一个知道生命意义的人在您一生中的家人和朋友而不是金钱或银色，而是爱
20340,Ugxt_RmYZFtGzBpyJGN4AaABAg,1,"when i feel bad at heart, i see how this girl is working, bewitching picture !!! it seems you get into paradise! respect and respect to the girl. what's the secret? like no scenery, special effects, nanotechnology, hollywood stars?",当我对自己的灵魂感到难过时，我看到这个女孩是如何工作的，迷惑了图片！！！看来您进入天堂！尊重和尊重女孩。什么是秘密？就像没有风景，特殊效果，纳米技术，好莱坞明星吗？
22913,Ugy4QKtD9cbzrOoUVFd4AaABAg.92dymxS8pg192t_imW1VQb,1,"jongson ho because i donโ€t respect people who eat dogs, so i donโ€t want to be a part of that. he said โ€chinese people eat dogsโ€ when iโ€ve never met another person in my life who has (chinese). regarding the place you said that has a tradition of eating them, thatโ€s fine, but still that is only of 0.1% of chinese people. dogs evolved along with humans as friends, so it is taboo to think that a culture of eating them was created. but thatโ€s fine, itโ€s their choice, but not mine. it is not my part of china, i can accept it, but nothing more.",Jongson Ho是因为我不尊重吃狗的人，所以我不想成为其中的一部分。当我一生中从未见过另一个人（中国人）时，他说“中国人吃狗”。关于您所说的那个地方，那具有食用它们的传统，这很好，但仍然只有0.1％的中国人。狗与人类一起演变为朋友，因此认为创造了一种食用它们的文化是禁忌。但这很好，这是他们的选择，但不是我的。这不是我在中国的一部分，我可以接受，但仅此而已。
21450,UgzhDGpzpCSYuEn8xbB4AaABAg,1,"shows me how hard this life is.... soo beautiful, but really a mass of work and daily care for anything there. awesome to watch, my whole respect!",告诉我这一生有多艰难。我的尊重很棒！
1870,UgwubblQRUIRTzOMa6x4AaABAg,1,"i would like to go and see her and help her in these days. for example, i would just like to stay behind her to carry her bag. frankly, i will be able to leave everything in france for this girl, and it's rare that i say that. but his way of life and his sweetness, it would put any man. above all, that she does not change like the women we have here. with us, they prefer rich men, even if they get hit on the mouth every night. as long as they have the banking card of the rich guy to make the big shops and spend their money, they would even be ready to accept the worst. serious, this kind of woman really has all my respect.",我想去看她并在这些日子里帮助她。例如，我只想留在她身后携带她的书包。坦白说，我将能够将所有东西留给法国，为这个女孩，我很少这样说。但是他的生活方式和甜蜜的方式将使任何男人都放在。最重要的是，她不会像我们在这里拥有的女人那样改变。即使他们每天晚上都会被撞到嘴，他们也喜欢有钱人。只要他们拥有有钱人的银行卡来赚大商店并花钱，他们甚至准备好接受最坏的情况。认真的，这种女人确实得到了我的全部尊重。
12657,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9DaeKujLY-e,1,"i love how different people from all over the world, till there's racism.. still have no idea why people made such big fuss over race, nationality, or color. is not that what makes people unique in their own way? how human disrespect something so wonderful is just stupid and useless. the worst part is racism is already sensitive topic, and many people that want to support justice and spread equality that're only making statement in such a hateful manners which only pouring oil into fire, lets start by stop fighting hate with hate smh",我喜欢与世界各地的不同人，直到种族主义。.仍然不知道为什么人们在种族，国籍或色彩上大惊小怪。这不是什么使人们以自己的方式独一无二？人类多么不尊重如此美妙的事物是愚蠢和无用的。最糟糕的部分是种族主义已经是敏感的话题，许多想要支持正义和传播平等的人只在这种可恶的举止中发表声明，而只将石油倒入火中，首先让我们停止与仇恨与仇恨SMH作斗争
8501,UgxClTbDm4NcZC8ZjB54AaABAg,0,"please respect that china itself has a kimchi culture. if you don't want to see his video, leave right now.
narrow democracy only makes koreans hate from other countries.
there are 18 million koreans in china, and do you admit that chinese koreans share the same traditional culture as koreans? .
in china, there are dozens of kimchi soaked in china.
we are not worth lying to you, and narrow nationalism makes you unable to see this.","请尊重中国本身具有泡菜文化。如果您不想看他的视频，请立即离开。
狭窄的民主只会使韩国人仇恨其他国家。
中国有1800万韩国人，您是否承认中国韩国人与韩国人有着相同的传统文化？
在中国，中国浸泡了数十个泡菜。
我们不值得向您撒谎，狭窄的民族主义使您无法看到这一点。"
40909,UgyDectpFxPFxf1Heg94AaABAg,0,i respect u mama.,我尊重你妈妈。
8503,UgzgG65dlc4qTkYKVFB4AaABAg,0,"please respect that china itself has a kimchi culture. if you don't want to see his video, leave right now.
narrow democracy only makes koreans hate from other countries.
there are 18 million koreans in china, and do you admit that chinese koreans share the same traditional culture as koreans? .
in china, there are dozens of kimchi soaked in china.
we are not worth lying to you, and narrow nationalism makes you unable to see this.","请尊重中国本身具有泡菜文化。如果您不想看他的视频，请立即离开。
狭窄的民主只会使韩国人仇恨其他国家。
中国有1800万韩国人，您是否承认中国韩国人与韩国人有着相同的传统文化？
在中国，中国浸泡了数十个泡菜。
我们不值得向您撒谎，狭窄的民族主义使您无法看到这一点。"
42168,UgwLbGa2NA34Ba5aRCJ4AaABAg,0,i pay my respect to you,我对你表示敬意
44433,UgxppsQH8M5Yy2VBO-J4AaABAg,0,"all is just perfect: wonderful nature, beauuuutiful girl, but hard worker and she know how to love her homeland! chapeau!!!! my respect!!! ❤️ geeetings from belgade, serbia",一切都是完美的：美好的天性，美丽的女孩，但是勤奋的人，她知道如何爱她的家园！ Chapeau !!!!我的尊敬！！！ selbia Belgade的Geeetings
44918,Ugz-cx1WqrUPwDiEEIB4AaABAg,0,"assalam alaykoum, i'm so glad today sending you these words, i'm from an other culture, morocco, i like absolutely everything you do, you work too much, you live in an incredible environement, you're really a great woman..
big respect for you madam..
i'll be very glad if you contact me, and more happy if you decide someday to visit my country, you'll be my gest. thank you for everything.","Assalam Alaykoum，我很高兴今天向您发送这些话，我来自其他文化，摩洛哥，我绝对喜欢您所做的一切，您的工作太多了，您生活在一个令人难以置信的环境中，您真的是一个很棒的女人..
对你夫人的极大尊重..
如果您与我联系，我会非常高兴的，如果您有一天决定访问我的国家，您会很高兴，您将成为我的最新信息。谢谢你为我做的一切。"
45766,Ugw99ATdOTpfSLjz_BB4AaABAg.8r0DpRagQy88r9GhDmnypW,0,"@designqq8905 i guess you are bent upon your prejudices and understanding and don't want to consider anyone else's. i accepted your response and respectfully answered your queries. pointed out obvious discrepancies. but i guess you are just too obsessed with your own views to understand. 
i know about youtube and how it can affect people, i appreciate your help but i don't need it. and that's all i have to say to you. good day.","@DesignQQQ8905我想您弯曲了自己的偏见和理解，不想考虑别人的偏见和理解。我接受了您的回答，并谨此回答您的疑问。指出了明显的差异。但是我想您太着迷于自己的观点，无法理解。
我知道YouTube及其如何影响人们，感谢您的帮助，但我不需要。这就是我要对你说的。再会。"
45768,Ugw99ATdOTpfSLjz_BB4AaABAg.8r0DpRagQy88r9LsiHdSCf,0,"@designqq8905 hmm. okay, i see where my comment singed you. let me make it clear that you are reading a lot of things into it. no, i don't mean that if i see a joint project by china, i should jump to the conclusion that it is propaganda. that's your interpretation, i hope that you will admit your mistake when you see it. because that's not what i meant. 
when i said, 'knowing i shouldn't, if you are right....', i meant that i wouldn't disrespect or disregard or be ignorant of the hurt it might cause people who know the truth, whatever it may be, since i have no access to it, which is why, the former comment was followed by my desire of confirmation. don't conveniently choose to see one part and ignore the other. 
i can see your point that the subtitles are inconsistently strewn over videos, and had it been truly propaganda, it would have been differently so. wish you had said it sooner. 
as for me asking you to read the thread, i truly believed you didn't. since your comment about semantics was wrongly placed. i was talking about my language. however, i didn't mean to condescend to you, and if you felt bad about it, then i apologize. hope you will accept it. if you feel that, that was my intention, let me assure you it wasn't. and no, i don't mean that just because you belong from china, i see all chinese people that way. you have absolutely no grounds to base that upon. i merely enquired about it. and i am having a reasonably calm discussion with a stranger on a dangerous virtual platform, does that indicate that i am putting everyone in the same category? as for technology, i know for a fact that she has an imac, a professional editing machine. she edits her own videos. before you twist that as well, let me make it clear that she doesn't do it on her phone, is all i am saying. i can't help but feel like a lot of your feelings about my comments are culled from your perception of how the world sees china. and please stop seeing it from the angle that i am criticizing her videos. i can't press enough on the fact that i never did. i am very glad to know that she is a positive source of inspiration for the people of china. so please, i insist you stop dragging that cat through the mortar. i have been courteous to you, and apologized if your sentiments were hurt. i will have to request you stop misinterpreting my every word. and you did read things that you wanted to read. since i didn't mean them, i know i am speaking the truth. 
yes, every country does try to promote itself, and i will wager that a lot of it is actually propaganda. my country does it, so does the others. the difference is that the people have a right to prove them wrong on a public platform. we have the right to criticize them openly and call them on their misrepresentation. and here, the remark is about the government, not your culture or people. 
finally, i will reiterate that my intention was not to hurt your feelings. you think there was an ulterior motive. there wasn't. you think that i think the apples don't fall far from the tree. i don't. and my deduction was just that, presence of a crew. that could indicate a joint project of a political nature, but in this case, as you rightly suggested, it doesn't, since the subtitles are spare. 

now, i am tired of explaining things again and again. i hope you understand. and good day.","@DesignQQQ8905 hmm。好吧，我看到我的评论在哪里唱歌。让我清楚地表明您正在阅读很多东西。不，我并不是说，如果我看到中国的联合项目，我应该得出这样的结论：这是宣传。那是您的解释，希望您在看到错误时会承认自己的错误。因为那不是我的意思。
当我说：“知道我不应该，如果你对... ，由于我无法访问它，这就是为什么，前者的评论之后是我对确认的愿望。不要方便地选择看到一部分而忽略另一部分。
我可以看到您的观点是，字幕在视频上不一致，如果确实是宣传，那将是不同的。希望您早日说。
至于我要你阅读线程，我真的相信你没有。由于您对语义的评论被错误地放置了。我在谈论我的语言。但是，我并不是要屈服于您，如果您对此感到难过，那我深表歉意。希望你会接受。如果您觉得那是我的意图，让我向您保证不是。不，我并不是说仅仅因为您属于中国，我都会看到所有中国人。您绝对没有理由以此为基础。我只是询问它。而且我正在与一个危险的虚拟平台上的陌生人进行相当平静的讨论，这是否表明我将每个人都属于同一类别？至于技术，我知道她拥有一台专业编辑机器的iMac。她编辑自己的视频。我只说，在您扭转这一点之前，让我清楚地表明她不在手机上做到这一点。我忍不住想像您对世界如何看待中国的看法，您对我的评论的许多感觉都被淘汰了。并且请不要从我批评她的视频的角度看到它。我从未做过的事实不足。我很高兴知道她是中国人民的积极灵感。所以，我坚持要你停止将那只猫拖到砂浆上。我对你很有礼貌，如果你的情绪受伤，道歉。我将不得不要求您停止误解我的每个单词。您确实阅读了想阅读的东西。由于我不是他们的意思，所以我知道我在说实话。
是的，每个国家都试图提升自己，我会敢打赌，其中很多实际上都是宣传。我的国家也这样做，其他人也这样做。不同之处在于，人们有权在公共平台上证明他们是错误的。我们有权公开批评他们，并致电他们的虚假陈述。在这里，言论是关于政府的，而不是您的文化或人民。
最后，我将重申我的意图不是伤害您的感受。您认为存在别有用心。没有。您认为我认为苹果不会落在树上。我不。我的推论就是，船员的存在。这可能表明一个政治性质的联合项目，但是在这种情况下，正如您正确建议的那样，这不是，因为字幕是备用的。

现在，我厌倦了一次又一次的解释。我希望你明白。和美好的一天。"
42075,UgxhOCCvSmgl0CZjODZ4AaABAg,0,"the director’s work is worthy of respect, bravo!",导演的工作值得尊重，布拉沃！
46327,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418r1kAyu-IQS,0,"all chinese people love china. the opposition is generally opposed to the communist party. mainly the chinese ruling party treats ordinary people as slaves, and many people who go abroad obviously feel this. as a second -class citizen abroad, he is also a second -class citizen in china, so it is better to stay abroad. foreign abroad is the target of their citizens as the targets, and all the benefits are left to their citizens. china is the object of exploitation of the people as the target of the people. i don't understand. in china, how can a lot of charges be free to foreigners and charges the chinese. is china china, or chinese or chinese? if the chinese governments at all levels do not treat the chinese so much, the people will not be blame. that is, there is a problem with the chinese political system. the chinese government does not take the chinese people seriously, but the foreigners are favored by their ancestors. however, foreign governments spoiled their people to the sky and improperly incidents such as china. as a result, the chinese were not only bullied abroad, but also bullied in china. china's government, when to learn to respect their citizens, treat their citizens as their ancestors, let's talk about letting chinese love the party. i love china, but i absolutely hate the communist party. although the communist party has contributed a lot to china, the development of china's economy has great contributions. however, it is really unbearable to not see chinese citizens as a person. it is estimated that because it was not selected by citizens, they would not look at the people.",所有的华人都是爱中国的。反对的一般都是反对共产党。主要是中国执政党把老百姓当奴隶，很多出国的人明显这种感觉。在国外被当二等公民，在中国也被当二等公民，所以还不如留在国外呢。国外是把他们的公民当巴结的对象，什么好处都留给本国公民，中国是把百姓当剥削的对象，什么好处都给外国公民。我就不明白了，在中国，怎么很多收费的地方给外国人免费，对中国人收费，中国到底是外国人的中国，还是中国人的中国？如果中国各级政府再这么不把中国人当人看，百姓不反才怪。就是中国政治体制出问题了，中国政府不把中国老百姓当回事，却把外国人当祖宗宠上天。而国外的政府却把自己的百姓宠上天，把中国这种外来人不当回事。结果就是中国人不仅在国外受欺负，在中国也受欺负。中国这个政府，等什么时候学会尊重自己的公民，把自己的公民当祖宗来对待的时候，再来说让华人爱党不爱党吧。我爱中国，但是我绝对讨厌共产党，虽然共产党为中国也贡献了不少，中国经济的发展有他们很大的功劳。但是不把中国公民当人看，这点真让人忍无可忍，估计是因为不是公民选出来的，就不把百姓当人看。
41126,Ugwo8mnqiH70eJkqxht4AaABAg,0,love and respect from iraq,伊拉克的爱与尊重
8502,UgzVPZQrTKCOeKYpiu54AaABAg,0,"please respect that china itself has a kimchi culture. if you don't want to see his video, leave right now.
narrow democracy only makes koreans hate from other countries.
there are 18 million koreans in china, and do you admit that chinese koreans share the same traditional culture as koreans? .
in china, there are dozens of kimchi soaked in china.
we are not worth lying to you, and narrow nationalism makes you unable to see this.","请尊重中国本身具有泡菜文化。如果您不想看他的视频，请立即离开。
狭窄的民主只会使韩国人仇恨其他国家。
中国有1800万韩国人，您是否承认中国韩国人与韩国人有着相同的传统文化？
在中国，中国浸泡了数十个泡菜。
我们不值得向您撒谎，狭窄的民族主义使您无法看到这一点。"
8504,UgwYNRrUDtOnDkAinhJ4AaABAg,0,"please respect that china itself has a kimchi culture. if you don't want to see his video, leave right now.
narrow democracy only makes koreans hate from other countries.
there are 18 million koreans in china, and do you admit that chinese koreans share the same traditional culture as koreans? .
in china, there are dozens of kimchi soaked in china.
we are not worth lying to you, and narrow nationalism makes you unable to see this.","请尊重中国本身具有泡菜文化。如果您不想看他的视频，请立即离开。
狭窄的民主只会使韩国人仇恨其他国家。
中国有1800万韩国人，您是否承认中国韩国人与韩国人有着相同的传统文化？
在中国，中国浸泡了数十个泡菜。
我们不值得向您撒谎，狭窄的民族主义使您无法看到这一点。"
40399,UgydeOYX1Xd5wejEntd4AaABAg,0,"why was the elderly's face never shown? was it her wish not to show her face, or someone didn't want to show her face? by just giving her yummy food and beautiful garments, for me it was just a show, without really respecting her.",为什么老年人的脸从未表现出来？是她希望不展示她的脸，还是有人不想露面？通过给她美味的食物和漂亮的衣服，对我来说，这只是一个表演，而没有真正尊重她。
46336,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418rLIUUrFcFB,0,"@user-hj7dn5sz7i chinese communist party suppressing the chinese people in the internal high pressure. yes, the communist party has developed the chinese economy. however, the communist party implemented the set of signs of governing the country in the han dynasty of the qing dynasty. it implemented slavery and suppression of the chinese people and disrespectful. there are chinese discharge abroad to drive the chinese, and beijing, china, drives the low -end population. the chinese have no dignity in their own country. they said that they were beaten for a meal, saying that they were packed and packed for a meal, and they could not raise their heads abroad. if a big family, parents have the ability to make money, but the brutal domestic violence, the abuse of the family members, outsiders come to your family to eat the sea and drink the best, the parents welcomed each other with a smile; the worst ones are still the worst. parents from time to time are cold to you to make you a few times. if you do something wrong, you can accept the parents. you can accept this kind of parents. and unfair treatment!","@user-hj7dn5sz7i 中国共产党对内高压打压中国百姓，是，共产党是发展了中国的经济，这点华人都感谢共产党。但是共产党实行的是清朝满族奴化汉族的那一套治国方案，对中国百姓实行的是奴化和打压，不尊重。国外有排华，驱赶华人，中国北京有驱赶低端人口。中国人在自己的国家都没尊严，说被打一顿就被打一顿，说被收拾一顿就被收拾一顿，在国外就更抬不起头来。如果一个大家族，家长很有挣钱能力，但是残暴的家暴，虐打家族成员，外人来你家能海吃海喝还处处用最好的，家长笑脸相迎；自己家人吃糠吃最烂的还用最差的,家长不时的横眉冷对揍你两下扇你几下，做得不对还受家长的收拾，你能接受这种家长是你的选择，不代表我们要忍受家暴和不公平待遇!"
8505,Ugz3KrinNkdeGuY2l9d4AaABAg,0,"please respect that china itself has a kimchi culture. if you don't want to see his video, leave right now.
narrow democracy only makes koreans hate from other countries.
there are 18 million koreans in china, and do you admit that chinese koreans share the same traditional culture as koreans? .
in china, there are dozens of kimchi soaked in china.
we are not worth lying to you, and narrow nationalism makes you unable to see this.","请尊重中国本身具有泡菜文化。如果您不想看他的视频，请立即离开。
狭窄的民主只会使韩国人仇恨其他国家。
中国有1800万韩国人，您是否承认中国韩国人与韩国人有着相同的传统文化？
在中国，中国浸泡了数十个泡菜。
我们不值得向您撒谎，狭窄的民族主义使您无法看到这一点。"
39073,UgzGPC_y19VQW-HglFZ4AaABAg,0,full respect,充分尊重
8506,UgxwVtviid_I-f49GTN4AaABAg,0,"please respect that china itself has a kimchi culture. if you don't want to see his video, leave right now.
narrow democracy only makes koreans hate from other countries.
there are 18 million koreans in china, and do you admit that chinese koreans share the same traditional culture as koreans? .
in china, there are dozens of kimchi soaked in china.
we are not worth lying to you, and narrow nationalism makes you unable to see this.","请尊重中国本身具有泡菜文化。如果您不想看他的视频，请立即离开。
狭窄的民主只会使韩国人仇恨其他国家。
中国有1800万韩国人，您是否承认中国韩国人与韩国人有着相同的传统文化？
在中国，中国浸泡了数十个泡菜。
我们不值得向您撒谎，狭窄的民族主义使您无法看到这一点。"
38913,UgxJ0Qcc_M2Z-KRO9WF4AaABAg,0,so much respect for this woman. thank you so much.,非常尊重这个女人。太感谢了。
