,cid,votes,time,含great,含great中文翻译
19075,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392E5FxqZwBR,7,3 years ago,"yupppp! asian food is so great!!! ps: i am a chinese and there are still sooooo many different food i got to explore and want to eat in the future cuz there are different representative food found in different region, different city... also chinese food is divided into eight big cuisines, or say, eight styles, such as cantonese food, sichuan food, shandong food, etc. (just too much to say about it",yupppp！亚洲美食真棒！！！ PS：我是中国人，仍然有很多不同的食物要探索并想在将来吃饭，因为在不同地区有不同的代表性食物，不同的城市……也将中国食品分为八种大美食或说八种款式，例如粤菜，四川食物，山东食物等（关于它的话太多了）和您的旅行好运！
4856,UgzA1_JT30Whgirkezd4AaABAg,7,2 years ago,"come on, a great sichuan girl!",加油，棒棒的川妹儿！
6705,UgyBl7cRJKT-KY4nOkt4AaABAg,7,2 years ago,"i save your videos for when i'm sad about the city.
great content all the pace is just right. really delighful to watch !","当我对这座城市感到难过时，我为您保存了您的视频。
伟大的内容所有步伐都是正确的。真的很狡猾地观看！"
8662,UgyYba6tS4A6BseBIFt4AaABAg,7,2 years ago,"great, support li ziyi!",很棒，支持李子柒！
26457,UgzODUlH-UCpp64jfbR4AaABAg,6,3 years ago,help liuzhou snail powder made a great publicity,帮柳州螺蛳粉做了一个超棒的宣传
18158,Ugwtj8EkZ4YoiDEUefx4AaABAg,6,3 years ago,"music and editing are really great, thank you!",音乐和剪辑真的很棒，感恩！
7055,UgwE2PoCbV6_EMU4YTV4AaABAg,6,2 years ago,"this is one of the all-time greatest channels on youtube. if we ever had to send a capsule into space, all footage from liziqi should be in there. it's 'youtube done right', instead of all the ugliness, stupidity and filth that's usually out there for our consumption. beautiful channel. xoxo",这是YouTube上最伟大的频道之一。如果我们不得不将胶囊送入太空，那么Liziqi的所有录像都应该在那里。这是“ YouTube完成的”，而不是通常供我们消费的所有丑陋，愚蠢和肮脏。美丽的频道。 xoxo
4746,UgzeAliRHFdFB7tlmtV4AaABAg,6,2 years ago,instead of young bamboo it is gatel ... liziqi is great ... from indonesia here qt one team .... proud of you liziqi .. you are my inspiration ..,而不是年轻的竹子，而是gatel ... liziqi很棒...来自印度尼西亚的QT一支球队....为您感到骄傲。
23950,UgxZCZVUrlZeI9qokoh4AaABAg,6,3 years ago,i feel sorry for the baby bamboo but i've tried bamboo shoots before and they taste great . . . such a hard choice,我为小竹子感到难过，但我以前尝试过竹芽，它们的味道很棒。 。 。如此艰难的选择
34976,UgzLFHMzGMij6HvDO154AaABAg,6,3 years ago,liziqi finally realizing that youtube is gonna make her rich (she's already rich in more important aspects of life but rich in monetary funds is also great!) girl more uploads pls!,Liziqi最终意识到YouTube将使她有钱（她已经富有生活的更重要的生活，但富裕的货币资金也很棒！）女孩更多地上传了！
25792,UgxtzSAQ_8VQoAoOD2x4AaABAg,6,3 years ago,looks very tasty. great soulful video.,看起来很美味。伟大的深情视频。
4519,UgxL_0OtXoltHkHJnHJ4AaABAg,5,2 years ago,"south korea has always been a colonial in history and ruled their clan (china, japan, japan, the united states). when they are in a good mood, they will give them some clothes and food. now, ridiculous and ignorant korean people claim that it is their culture. kimchi has always been the most inconspicuous low -grade food on the chinese dining table. if the guests are allowed to eat kimchi, they will be considered extremely polite, and the poor koreans will be treasured after getting the kimchi that they get the racket, claiming that this is the greatest food of the korean nation. what you see now, koreans claim that they are their own traditional culture clothes, food, architecture, festivals, etc. (mainly china, and japanese sushi has been stolen by koreans). i suggest that koreans apply for the inventor of the universe from the united nations.
한국은항상역사상식민지였으며주권국가(중국, 일본, 미국)는기분이좋을때옷과음식을줄것입니다. 이제말도안되게무지하고열등한한국인들은그것이그들의문화라고주장합니다. 김치는항상중국식탁에서가장눈 이었습니다 이었습니다 음식 손님. 음식 음식, 건축, 건축, 축제 등 은 기본 으로 주권 국가 온 온 것 입니다 입니다 입니다 입니다 것 것 입니다 입니다 것 입니다 것 입니다 것 것 입니다 입니다 (주로 중국 일본 스 시도 한국인 에게 도난당 했습니다).
south korea has always ben a color in history, and their sovereign states (china, japan, and the united states) will give them some clothes and food when are in a good mood. now, ridiculously ignorant and inferior koreans claim that it is their culture. kimchi has always ben the most inconspicuous low-end the chinese table. it would be considered extremely impolite to let guests ear chi. poor koreans we like treason after receiving the donated kimchi, claiming that it is the guatest food food of the korean national. as you can see now, the clothes, food, architecture, festivals, etc. that koreans claim to be their own culture are basely f rom the sovereign country (mainly china, japanese sushi has also been stolen by koreans). i suggest that koreans apply to the united nations to become the inventor of the universe.
in the history of korean 歴 に は は であ であ り, the main nation of the main nation (china, japan, and mi) は, 気 い い い い い に や や べ べ し し し し し し し ます し. today, 知 て て っ っ っ korean people は それ それ ら の の の の と と と し し し ます し.の に に で の は で で で も も も な な な い ロ ロ ン ド の べ べ で し た で し たさ さ べ べ せる は は は は に に に に と と と と え え え し し し し い は は は さ れ れ を け け の の の の ようで ようで ようで の の の の の べ べ べ べ と し し し た.の とお 韩 韩 韩 韩 韩 韩 韩 韩 が が の の 伝 伝 と と と と と と と と と と と と と と と する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する ご覧 ご覧 する ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ” to. private 人 korean 宇 の の 発 発 る な る ため ため ため に に に に する する こと proposal.
hàn queốc luốn là thuộcđịa tronlong lịch sử, và các queốc gia có chủn củan của họ (trung queốc, nhật bản, hoa kỳ) sẽp chhep cho họt sốt sốn áo vực phẩm kẩm kẩm k hi họcó tạm trạng thoải mái. giờ g, nh nng người hàn queốc thiếu hiểu biết và thấp kém một cách lốch chól rằ yng àn hóa của họ. kim chi luôn là món ăn thấ thấyyyyyyyyyyn bà n ăn của ngủi trung quốc. việc cho khách ăn kim chi sẽ bẽ coi là vị cùng bất lịch sự. nhưbạn có thể thấyy bây giờ, queần áo, thức ăn, kiến ​​trúc, lễ hội, ... mà người hàn queốc tựn hóa truyền thốnte của h h h ọ v ơ cề bản là t ướt nước có chủ chủ quyền (chủ yếu là trung queốc, sushi của nhật bản cũng đã bị người hàn queốc đ đ đ đ). queởc để trà thành nhà phát minh ra vũ trụ then, then

corea del siempre ha sido una colonia en la historia, y sus estados sobernos (china, japón, estados university) les darán algo de ropa yando estén de bu en humor. ahora, los coreanos ridículamente ignarantes e inferiores afirman que es su cultura el kimchi siempre ha sido la comida de gama baja más discreta en la mesa china. se considraría extremadamene descortés dejar quel los invitados comten kimch kimch i.los coreanos pobres eran como tesoros después de recibir el kimchi donado, afirmando que el mejor aljor alimento de la nación coreana. como puedes ver ahora, la ropa, comida, arquitectura, festivales, etc. que los coreanos dicen ser su propia cultics el país soberano (principalmente china, el sushi japonés también ha sido robado por coreanos). sugiero que los coreanos soliciten a las naciones unidas convertering en los inventores del university.

لطالما كانت كوريا الجنوبية مستعمرة في التاريخ ، وستمنحهم دولهم ذات السيادة (الصين واليابان والولايات المتحدة) بعض الملابس والطعام عندما يكونون في مزاج جيد. الآن ، يدعي الكوريون الجاهلون بشكل يبعث على السخرية أن هذه هي ثقافتهم. لطالما كان الكيمتشي أكثر الأطعمة منخفضة الجودة غير الواضحة سيكون سيكون الصينية الصينية. أنها أنها الكوريون ثقافتهم التقليدية التقليدية بهم هي أساسًا من الدولة (بشكل رئيسي الصين ، وقد سرق سرق الياباني الياباني الياباني).","韩国在历史上一直是殖民地，统治他们的宗主国（中国，日本，美国）心情好了会给他们一些衣服，食物。现在，可笑 无知 自卑 的韩国人声称那是他们的文化。泡菜一直是中国人餐桌上最不起眼的低档食物。要是让客人吃泡菜会被认为是极端没有礼貌的行为，可怜的韩国人在拿到施舍的泡菜后如获至宝，声称这是韩国民族最伟大的食物。你现在看到的，韩国人自称是他们自己的传统文化的衣服，食物，建筑，节日等等基本都是来自宗主国的（以中国为主，日本的寿司也遭到了韩国人的偷窃）。我建议韩国人向联合国申请成为宇宙的发明者。 
한국은 항상 역사상 식민지였으며 주권 국가 (중국, 일본, 미국)는 기분이 좋을 때 옷과 음식을 줄 것입니다. 이제 말도 안되게 무지하고 열등한 한국인들은 그것이 그들의 문화라고 주장합니다. 김치는 항상 중국 식탁에서 가장 눈에 띄지 않는 저가 음식이었습니다. 손님에게 김치를 먹게하는 것은 극도로 무례한 일로 여겨지며, 가난한 한국인들은 김치를 기증받은 후 한국 국민 최고의 음식이라고 주장하며 보물과도 같았다. 지금 보시다시피, 한국인이 자신의 전통 문화라고 주장하는 옷, 음식, 건축, 축제 등은 기본적으로 주권 국가에서 온 것입니다 (주로 중국, 일본 스시도 한국인에게 도난당했습니다). 저는 한국인들이 우주의 발명가가되기 위해 유엔에 지원할 것을 제안합니다. 
South Korea has always been a colony in history, and their sovereign states (China, Japan, and the United States) will give them some clothes and food when they are in a good mood. Now, ridiculously ignorant and inferior Koreans claim that it is their culture. Kimchi has always been the most inconspicuous low-end food on the Chinese table. It would be considered extremely impolite to let guests eat kimchi. Poor Koreans were like treasures after receiving the donated kimchi, claiming that it is the greatest food of the Korean nation. As you can see now, the clothes, food, architecture, festivals, etc. that Koreans claim to be their own traditional culture are basically from the sovereign country (mainly China, Japanese sushi has also been stolen by Koreans). I suggest that Koreans apply to the United Nations to become the inventor of the universe. 
韓国は歴史上常に植民地であり、主権国家（中国、日本、米国）は、気分が良いときに服や食べ物を提供します。今、ばかげて無知で劣った韓国人はそれが彼らの文化であると主張します。キムチは常に中国の食卓で最も目立たないローエンドの食べ物でした。キムチを食べさせるのは非常に失礼だと考えられ、貧しい韓国人は寄付されたキムチを受け取った後の宝物のようで、韓国の最高の食べ物であると主張した。ご覧のとおり、韓国人が自国の伝統文化であると主張する衣服、食べ物、建築、お祭りなどは、基本的に主権国のものです（主に中国、日本の寿司も韓国人に盗まれています）。私は韓国人が宇宙の発明者になるために国連に申請することを提案します。 
Hàn Quốc luôn là thuộc địa trong lịch sử, và các quốc gia có chủ quyền của họ (Trung Quốc, Nhật Bản, Hoa Kỳ) sẽ cung cấp cho họ một số quần áo và thực phẩm khi họ có tâm trạng thoải mái. Giờ đây, những người Hàn Quốc thiếu hiểu biết và thấp kém một cách lố bịch cho rằng đó là văn hóa của họ. Kim chi luôn là món ăn thấp kém dễ thấy nhất trên bàn ăn của người Trung Quốc. Việc cho khách ăn kim chi sẽ bị coi là vô cùng bất lịch sự. Như bạn có thể thấy bây giờ, quần áo, thức ăn, kiến ​​trúc, lễ hội, ... mà người Hàn Quốc tự xưng là văn hóa truyền thống của họ về cơ bản là từ đất nước có chủ quyền (chủ yếu là Trung Quốc, sushi của Nhật Bản cũng đã bị người Hàn Quốc đánh cắp). Tôi đề nghị người Hàn Quốc nộp đơn lên Liên Hợp Quốc để trở thành nhà phát minh ra vũ trụ. 

Corea del Sur siempre ha sido una colonia en la historia, y sus estados soberanos (China, Japón, Estados Unidos) les darán algo de ropa y comida cuando estén de buen humor. Ahora, los coreanos ridículamente ignorantes e inferiores afirman que es su cultura. El kimchi siempre ha sido la comida de gama baja más discreta en la mesa china. Se consideraría extremadamente descortés dejar que los invitados comieran kimchi.Los coreanos pobres eran como tesoros después de recibir el kimchi donado, afirmando que es el mejor alimento de la nación coreana. Como puedes ver ahora, la ropa, comida, arquitectura, festivales, etc. que los coreanos dicen ser su propia cultura tradicional son básicamente del país soberano (principalmente China, el sushi japonés también ha sido robado por coreanos). Sugiero que los coreanos soliciten a las Naciones Unidas convertirse en los inventores del universo. 

لطالما كانت كوريا الجنوبية مستعمرة في التاريخ ، وستمنحهم دولهم ذات السيادة (الصين واليابان والولايات المتحدة) بعض الملابس والطعام عندما يكونون في مزاج جيد. الآن ، يدعي الكوريون الجاهلون بشكل يبعث على السخرية أن هذه هي ثقافتهم. لطالما كان الكيمتشي أكثر الأطعمة منخفضة الجودة غير الواضحة على المائدة الصينية. سيكون من غير المهذب للغاية السماح للضيوف بتناول الكيمتشي ، فقد كان الكوريون الفقراء مثل الكنوز بعد استلام الكيمتشي المتبرع به ، مدعين أنه أعظم غذاء للأمة الكورية. كما ترون الآن ، الملابس ، والطعام ، والهندسة المعمارية ، والمهرجانات ، وما إلى ذلك ، التي يدعي الكوريون أنها ثقافتهم التقليدية الخاصة بهم هي أساسًا من الدولة ذات السيادة (بشكل رئيسي الصين ، وقد سرق الكوريون السوشي الياباني أيضًا). أقترح أن يتقدم الكوريون إلى الأمم المتحدة ليصبحوا مخترعي الكون."
16297,UgwRPsROyKFVcOzv2C94AaABAg,5,3 years ago,"i see great landscapes, a gorgeous girl, great food, a puppy and a grandma. the editing is 1000% great stuff.",我看到了很棒的景观，一个美丽的女孩，美味的食物，一只小狗和祖母。编辑是1000％的好东西。
5391,UgzYarYsJDSDYdYzoSR4AaABAg,5,2 years ago,the struggle of making such a great video and taking care of your mom is deserving all praise and respect unlike many who had kept their parents at old age home just to fulfill their selfish economic interest.,制作如此出色的视频和照顾您妈妈的斗争值得所有的赞美和尊重，这与许多在老年家之家保持父母只是为了满足他们自私的经济利益而不同。
18601,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92YjhUPgmzY,5,3 years ago,pedro c seriously？i wanna say that‘s literally fxxking ridiculous and absurd！！mao did something wrong（the great cultural revolution）but he led to the establishment of our country.,佩德罗（Pedro C）认真地说，我想说的是，从字面上看，荒谬而荒谬的毛泽东做错了一些（伟大的文化大革命），但他导致了我们国家的建立。
17035,UgyfW23zca-F4lew1cd4AaABAg.92oSyiEwCGP92uDixtbwSF,5,3 years ago,kanth king fresh ingredients of food and cooked with wood too! it’s made me hungry! i gave her 5 ⭐️ for all the efforts! great job! well done,Kanth King Fresh Fresh食品的食物，也用木头煮熟！这让我饿了！我给了她5⭐️的所有努力！做得好！做得好
29943,Ugyk_1KX-HhWt6B0aXl4AaABAg.8yVuvTRQd_W8yWpaEUMEbD,5,3 years ago,"eid mubarak dear. have a great day with your friends and family.
with love, from india. ☺","开斋节穆巴拉克亲爱的。与您的朋友和家人度过美好的一天。
有爱，来自印度。 ☺"
19979,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92UJia27S48,5,3 years ago,"@user-fh4rc2by4x thank you. i agree with your positive comment. i grew up in south china in the countryside. in those 1950 and 1960 years, my parents and siblings all worked hard in planting crops as ms. li for subsistence until my brothers and i could pick up part-time jobs to help with family finances. i believe ms. li is a real country girl who has great potential to become a brilliant star, which she did. some people chose not to believe her, which is ok since we all have the freedom of belief and choice. please pardon me for using english as i am old and type chinese very slowly; english is my daily medium at work, in north america.",@user-fh4rc2by4x谢谢。我同意您的积极评论。我在中国南部在乡村长大。在1950年和1960年的那段时间里，我的父母和兄弟姐妹都在努力种植农作物作为李女士的生存，直到我和我的兄弟们可以兼职工作来帮助家庭财政。我相信李女士是一个真实的乡村女孩，她有很大的潜力成为一颗辉煌的明星，她做到了。有些人选择不相信她，这是可以的，因为我们都有信仰和选择的自由。请原谅我使用英语，因为我年纪大了，并且非常缓慢地键入中文。英语是我在北美工作的日常媒介。
33723,UgyiCmqJ-Iy4o8MxYm94AaABAg,5,3 years ago,"i am always surprised how many different kinds of fresh foods you have on your land. it is great. 
thank you for making this lovely dish. also greetings to grandmother","我总是惊讶于您在土地上有多少种不同种类的新鲜食品。太好了。
感谢您制作这道可爱的菜。也向祖母问候"
33295,UgxMR6LIbUgNgGCiaKR4AaABAg,5,3 years ago (edited),"its astonishing how calming her videos are...simply amazing.... superb video quality all organic food... 
i wish i could live there...
great video. looking forward for the next upload","令人惊讶的是她的视频的平静……简直令人赞叹。
我希望我能住在那里...
很棒的视频。期待下一个上传"
23154,UgyEjxiRcAoQo1Ge5NJ4AaABAg.8zq8M6TathJ8zt_OJ5Y8W3,5,3 years ago,and a heavyweight when washing it after cookin' a great meal! hahaha!,煮一顿饭后，洗净时，重量级人物是重量级人物！哈哈哈！
21769,UgwHHw9NsEGyLXeYM3F4AaABAg.9-WlF9BrJ_t90H5qQmYAoG,5,3 years ago,your words touched my heart. i hope that you have a happy life with great memories.,你的话触动了我的心。我希望您过着美好的回忆。
