,cid,votes,time,含great,含great中文翻译
24971,Ugw04Uimwmp5r-6XhsZ4AaABAg,61,3 years ago,my greatest wish for china is that everyone could afford such a lovely life.,我对中国最大的愿望是，每个人都可以负担得起如此美好的生活。
14512,UgyJkhMiaXH04REetKp4AaABAg,55,2 years ago,"girl zi, you are great! your video is exquisite and real, which inspires my memories as the chinese. for thousands of years, our ancestors have been diligent and capable like you, and they are working hard, sunrise, and chunhua qiu shi ... i hope that the chinese can return to the original origin of life. one day, oriental civilization returns.",子柒姑娘，你太棒了! 你的视频精致而又真实，激发了我作为中国人的回忆。几千年来，我们的祖祖辈辈就是象你这样勤劳、能干，日出而作，春华秋实…… 希望中国人能回归生活的本原，有朝一日，东方文明回归。
51946,UgyRqoq4BU372cgEWup4AaABAg,53,4 years ago,"a few days will be the new year of the lunar calendar, i wish you all a happy new year! the chinese nation is great because of everyone!",过几天就农历新年了，祝各位同胞新年快乐！中华民族因各位而伟大！
842,UgyaWS8UuyEJl7SHLEZ4AaABAg,49,6 months ago,your cooking skills are great! ❤️,您的烹饪技巧很棒！ ❤️
5399,Ugwqvmf7kfb71sksyB94AaABAg,44,1 year ago (edited),"something great to watch when i’m stuck in bed, depressed and sick. it definitely brings me joy to see people like this out there

i have a bad immune system, soo it’s really disappointing to me when i get sick..again","当我躺在床上，沮丧和生病时，值得一看的东西。看到这样的人，我肯定会让我高兴

我的免疫系统不好，当我生病时，我真的很失望。"
8024,Ugz6IxDNzVy1W6qpOQp4AaABAg,42,2 years ago,who ever shot this video has great skills he shot this video like a movie,曾经拍摄过这段视频的人，他像电影一样拍摄了这段视频
26242,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zrY59vsUAr,37,3 years ago,it's great you've moved pass it a bit! i believe in you!,很棒，您已经移动了一下！我相信你！
45333,UgwA3tbrbc7jlGRBkSt4AaABAg,33,4 years ago,"a great video, you don't have to learn it, just watch it quietly, you have a good pressure effect. thank you, a beautiful and serious girl!",好棒的视频，不一定要跟着学，只需静静的看，就有很好的舒压效果。谢谢您，美丽而认真的女孩！
36895,UgzN7p7-TQIOSwyyhr14AaABAg.8uLiUEbhsvk8uUkpo9TrKe,27,4 years ago,"i'm just gonna use the plane
but climbing across the great wall is also another good option","我只是要用飞机
但是爬过长城也是另一个不错的选择"
38283,UgyeBVCvEzh4hTJsNQh4AaABAg,25,4 years ago (edited),"hello from siberia)
great!
ma-sha 'allah, very beautiful!","西伯利亚你好）
伟大的！
Ma-Sha'Allah，非常美丽！"
46908,Ugxt_UgIcBmTXIOOGpt4AaABAg,24,4 years ago (edited),"i love this episode the most! especially when she go cover her grandma ear lol. happy chinese new year to you and your grandma!

scene that you may miss the small cute details
0.42 when she crack the chestnut and puppy feet try to steal it. great shot!
3.33 i guess everyone who cook would want to get that wooden ingredient tray! 
5.55 when they open the popcorn pot 
8.47 the pomelo street look like a fairy tale but you all know that you should not eat those fruit on the floor. (except chestnut and ginko of course!) 
9.30 the puppies look like they gonna jump into fire! and her grandma giggle is adorable! 
9.48 you can see all the love in there","我最喜欢这一集！尤其是当她去遮盖奶奶耳大声笑时。在春节快乐，祝您和您的祖母！

您可能会想念小的可爱细节的场景
0.42当她破裂栗子和小狗时，试图偷走它。好球！
3.33我想每个厨师都想得到那个木制成分托盘！
5.55当他们打开爆米花锅时
8.47 Pomelo Street看起来像个童话，但大家都知道您不应该在地板上吃那些水果。 （当然除了栗子和银杏！）
9.30幼犬看起来像是要跳火了！她奶奶咯咯笑！
9.48您可以看到所有的爱"
51678,UgyNaIpO8VnwyflZDM14AaABAg,24,4 years ago,"open the video, i saw ziyi again. you are a great girl! find your own fun in your life! doing something is the tao, what do you have, you can be too grocery store. i hope you will introduce you to the cooking techniques for us for a year! i wish you a happy and happy grandma!",打开视频， 我又见到子柒了。你是一个很了不起慨女孩子! 在生活里面找寻自己慨乐趣! 做起事来头头是道， 你有什么事情难道你， 你可以太杂货店了。希望你你来 一年 介绍你多啲烹饪技术给我们睇! 祝你和奶奶幸福 快乐!
40330,UgyVuhwPNeigCXUXGMZ4AaABAg,23,4 years ago,just found your channel. love it! great camera man and beautiful lady. loving your home and cooking. great work,刚找到您的频道。爱它！伟大的相机男人和美丽的女士。爱你的家和做饭。做得好
46796,UgzbIS4Nqo4EJO8bweJ4AaABAg,23,4 years ago,"i only discovered your videos in youtube. i really have such a life. i just imagined life in the novel. girl, you are really great, not only representing many chinese people, but how to coexist with human beings in harmony with nature, even if human beings are livable in the future, you need your spirit. i am glad to see your video, thank you.
suddenly i thought of the man who met your heart in the future. someone helped you lift your bamboo to make new sofas. some people pick fresh fruits and vegetables with you. one more person at the dining table with you. with cute children, one, two. essence essence then i have always made such a love video for us, oh no, enjoy. essence essence
hope this wish will come true.","我竟然在YouTube才发现你的视频，真的感概还有这样子的人生，只在小说中想象到的人生，姑娘，你真的很棒，不仅代表了华人的许许多多的优秀品质，和文化，甚至代表了人类，要如何与自然和谐共存，即使人类未来宜居其他星球，也需要你这种精神。很高兴看到了你的视频，感谢。
忽然想到了你日后遇到了你心怡的男子，有人帮你抬竹子做新的沙发，有人和你一起采摘新鲜的水果蔬菜，多了一个人在饭桌和你，婆婆谈笑风生，然后不就以后你们有了可爱的孩子，一个，两个。。。然后一直一直做这么有爱的视频给我们看，哦，不，享受。。。
希望这个愿望成真。"
52649,UgwPtXITTuZpM_1NuLV4AaABAg,22,4 years ago (edited),"god bless
i tell about the magnificence of nature and its goodness
glory be to god, who mocked the earth and its glory to man

i do not tell about the creativity of the girl, her patience, effort, and strength
it is clear that it is enjoying and it works

the video is beauty and creativity 
praise be to god for the great blessings. this is from the virtue of my lord","上帝保佑
我讲述了自然的宏伟及其善良
荣耀归于上帝，上帝嘲笑地球及其对人的荣耀

我没有说明女孩的创造力，她的耐心，努力和力量
很明显，它很享受，并且起作用

视频是美和创造力
赞美上帝的祝福。这是我主的美德"
12164,UgwyJ1IJAjBcASu44jR4AaABAg,22,2 years ago,"this is how chinese people lived like back in the days, its great to see people still keeping that living habit today and made these amazing videos. it gives me a feeling that brought me back to the past.",这就是中国人像回到时代一样生活的方式，很高兴看到人们今天仍然保留这种生活习惯并制作了这些惊人的视频。它给了我一种让我回到过去的感觉。
35826,UgxA7fqSFSw88yd25Ql4AaABAg.8u_JCCrPamT8ufLki63pWp,20,4 years ago,miranti dwi you shouldnโ€t. you live in a different circumstance. youโ€re great just the way you are,miranti dwi你不应该。您生活在不同的情况下。你很棒
27184,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zSs5c53XX9,20,3 years ago,great,伟大的
7593,UgwTI7dQPta4CmB7AGh4AaABAg,20,2 years ago,"i like ziqi so much. forever full of positive energy and skills. watching her video is a great enjoyment and happiness. i also like her chinese windbreaker, so beautiful and comfortable. blessing ziqi, come on!",太喜欢子柒了。永远充满了无限的正能量和技能。看她的视频真是一大享受和幸福。我也好喜欢她的中国风衣着，真漂亮舒适。祝福子柒，加油！
43903,UgyvvciMRf8_achl4HN4AaABAg,19,4 years ago,"stunning videos! i love this girl! i traveled a lot in china and with great pleasure i plunge into this calm, peaceful atmosphere of rural life. as we all, in our time, do not have enough enjoying our life, pleasure from our work, skill will focus on the beautiful present! thank you! !",令人惊叹的视频！我爱这个女孩！我在中国旅行很多，很高兴我陷入了这种镇定，宁静的乡村生活的氛围。在我们时代，我们所有人都没有足够的享受，我们的工作很高兴，技能将集中在美丽的礼物上！谢谢！
25636,Ugx9lb8B3rtMtybYACV4AaABAg,19,3 years ago,"to people who disliked her video: 
you missed a great opportunity to be happy. 
life is short, focus on the positive side, otherwise you're just wasting your life.","给那些不喜欢她的视频的人：
您错过了一个快乐的机会。
生活很短，专注于积极的一面，否则您只是在浪费自己的生活。"
18512,UgxxYvHDiF1Y9HkMc9x4AaABAg,18,3 years ago (edited),"cool video！ i watched with great pleasure. everything is natural, and i think everything is delicious. the quality, not the collision.",很酷的视频！我非常高兴地看着。一切都是自然的，我认为一切都很美味。质量，而不是碰撞。
52798,UgyofG3zkY_2YNd0HwJ4AaABAg,17,4 years ago,"i usually see this candy on chinese ancient films. and now i know how to make it, great job!",我通常会在中国古代电影上看到这种糖果。现在，我知道如何做到这一点，出色的工作！
28153,UgyfZt1srEV6MZYvEt94AaABAg,17,3 years ago,"li ziqi, let me tell you something, the world is still great because it has someone like you. i mean, the world needs a lot like you. i promise i'll watch all your videos everytime i get a chance, too bad i just found out your channel today. no, it's not bad, it's great coz i had a chance to find this out, i subscribed right away. keep it up!",李齐（Li Ziqi），让我告诉你一些事情，世界仍然很棒，因为它有像你这样的人。我的意思是，世界需要很多像你一样。我保证，每当我有机会时，我都会观看您的所有视频，太糟糕了，我今天刚刚发现您的频道。不，这还不错，很棒，因为我有机会找到这个问题，我立即订阅了。继续努力吧！
33656,UgwhKI-ie7EjjQI9ZV14AaABAg,17,4 years ago (edited),"from these videos it blows comfortable, watching them about everything you forget and enjoy viewing. the author of this channel is a great fellow, a real craftswoman ๐’๐๐ฅฐ",从这些视频中，它可以舒适地吹来，看着他们忘记并享受观看的一切。这个频道的作者是一个很棒的家伙，一个真正的工匠
32589,Ugzt2MilbG8g3PAkTEJ4AaABAg,16,4 years ago,"i am so grateful that you allow us a peek into your very practical way of living and in that you have incorporated a healthy eating and living style. i have witnessed so many resourceful ways you process your food, i am definitely enviable. chinese art is the greatest teacher of survival.",我非常感激，您可以让我们窥视您非常实用的生活方式，并且您已经融入了健康的饮食和生活方式。我目睹了您处理食物的许多足智多谋的方式，我绝对令人羡慕。中国艺术是最伟大的生存老师。
47338,Ugxo9sYwIb3oXSuggc54AaABAg,16,4 years ago,happy chinese new year! great video as always.,农历新年快乐！一如既往的精彩视频。
45791,UgxyF6EtxppIRP5tSul4AaABAg.8r-zcZtw6-O8r1Xml211T8,15,4 years ago,"please stay in great india, thank you!",请待在伟大的印度，谢谢！
28932,UgwMqsCihChClZzuD7p4AaABAg,15,3 years ago,"glory be to god, the greatest creation.
this beauty is on earth?!
so how about the paradise in which mulla ain rat, no permission, have heard, and there is no danger to my heart.
oh god, we see you the highest paradise of paradise","荣耀归于上帝，是最伟大的创造。
这种美丽在地球上吗？
因此，穆拉·艾因·鼠（Mulla Ain Rat）的天堂，没有许可，听到，对我的内心没有危险。
哦，天哪，我们看到你是天堂的最高天堂"
27020,Ugz7XFeLPeJyuCygkIN4AaABAg,14,3 years ago,"i am in love with this lady, the way she is living, her dedication towards surviving is great. this is how you have to manage everything in life.",我爱上了这位女士，她的生活方式，她对生存的奉献精神很棒。这就是您必须管理生活中一切的方式。
50774,UgyKUcf7SCfDlQCsLN14AaABAg,14,4 years ago,wow. such a great passion and talent. you are very bless li. happy new year,哇。如此伟大的热情和才华。你很祝福李。新年快乐
3702,UgyfvU5uUvcOG9HtmJJ4AaABAg,14,1 year ago (edited),"very nice video! i like the funny dog so much! i'm so happy to see ""tang hu lu"" candies i like this so much when i was in china. awesome people and things in china. thanks liziqi to remember me the great time i had in your country!",非常好的视频！我非常喜欢有趣的狗！我很高兴看到我在中国时非常喜欢的“ Tang Hu Lu”糖果。令人敬畏的人和中国的事物。感谢Liziqi记得我在您国家度过的美好时光！
44492,UgwOd-PBy7581Mgz9lF4AaABAg,13,4 years ago,she would make a great wife and mother.,她会成为一个伟大的妻子和母亲。
26257,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zvDqLCQta4,13,3 years ago,"cleaning may seem like a hussle, i know, but it helps your mindset a lot! li's videos are great and i'm happy they help people๐ and good job on making a change in your life, keep them coming, don't give up!!",我知道，清洁似乎像是一头恐怖的，但这对您的心态有很大帮助！李的视频很棒，我很高兴他们能帮助人们
33270,UgzYAPal7GjkZkDP3yZ4AaABAg,13,4 years ago,"the best youtube channel with great music,cinematography,beauty young girl& super talented&cooking",最好的YouTube频道，具有出色的音乐，摄影，美丽的年轻女孩和超级才华和烹饪
32974,UgyGQ5lnLQ1ywd23_lR4AaABAg,12,4 years ago (edited),"your all video are great and i don't want to miss any video
but it's best if add english subtittle. love from nepal","您的所有视频都很棒，我不想错过任何视频
但是最好是添加英文小块。来自尼泊尔的爱"
30509,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xDDWH0AzX7,11,3 years ago,"@hongweigeng5546 so youre saying shes breaking the law, buying expensive film equipment, just to show how great china is to ther chinese people who is also breaking the law? doesnt sound very patriotic to break the law and buy american cameras. even if youtube is banned in china, the government still uses it. for example, gaming events in china stream to american websites like youtube and twitch. its also ridiculous to think someone in rural china who lives like this has enough money to buy expensive cameras.",@hongweigeng5546所以你说她打破法律，购买昂贵的电影设备，只是为了表明中国对也正在违反法律的中国人有多伟大？听起来并不是很爱国，可以违反法律和购买美国相机。即使在中国禁止YouTube，政府仍然使用它。例如，中国的游戏活动访问了YouTube和Twitch等美国网站。认为在中国农村生活的人有足够的钱来购买昂贵的相机，这也很荒谬。
27225,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zv_G55pVcP,10,3 years ago,more proof that you don't need a man to be a great woman. she is amazing,更多证据表明您不需要男人成为一个伟大的女人。她很棒
10869,UgyCQHl4D-54jCDW4BR4AaABAg,10,2 years ago,"it seems that few chinese people leave a message here in li ziyi, but it's really great, good !!","好像很少华人在李子柒这里留言,但真的很棒,好样!!"
44695,UgzVCEuOLohvv2U_zHp4AaABAg,10,4 years ago,you are a great working girl! i send you a big hug from mexico.,你是一个很棒的工作女孩！我从墨西哥给你一个大拥抱。
51128,UgwhC8hRvnyJSi9iTyt4AaABAg,10,4 years ago,"3:30, what a great idea! chestnuts and candied apples make me think of all saint's day.",3:30，真是个好主意！栗子和蜜饯的苹果让我想到了所有圣徒的日子。
43740,UgwAGZH5fxhe2azrTvt4AaABAg,9,4 years ago,"greetings from new york!!!! it's my very first time viewing your channel!! 
i don't speak chinese, but i enjoyed watching it! i was impressed with 
this young, petit woman being so strong & resourceful! it really is fun to see the different culture & its food!(^^). looks like a great new year celebration!!(^^)(^^)","来自纽约的问候！这是我第一次查看您的频道！！
我不会说中文，但我喜欢看它！我印象深刻
这个年轻的小女人是如此坚强和足智多谋！看到不同的文化及其食物真的很有趣！（^^）。看起来像是一个很棒的新年庆祝活动！（^^）（^^）"
45193,UgzKTck-MKWa9T7wXPJ4AaABAg,9,4 years ago (edited),"great ❤
it looks like you're watching a movie","太好了
看来你在看电影"
3763,UgyYdBGjsM-n-Ct9qyd4AaABAg,8,1 year ago,i can't believe that this video already has 100 million visits !! it really is incredible all the videos! very good for this great achievement !!,我简直不敢相信该视频已经有1亿次访问！！真是令人难以置信的所有视频！这项伟大的成就非常好！
41134,UgzonIYreStf3b2FWBp4AaABAg.8s0jWMEbRgJ8s8Ickji63l,8,4 years ago,"seeing these videos of the up lord, i thought of the atmosphere of rural uncle and grandma's house when i was a kid. i felt like i was full of movement for a while when i returned to the new year and new year. thank you, the lord, it is great* ^ ^* b must like it ~~~ now returning to china for the new year is really deserted. essence essence",看到up主的这些视频就想到小时候农村姥姥和奶奶家过年过节时的那种氛围，有那么一瞬间感觉好像回到了十几年前，满满都是感动。要谢谢up主，太棒了*^ ^* b必须赞~~~现在回国过年真的是冷清的要死。。。
36550,Ugwqn0FPDGUTzew6CDZ4AaABAg,8,4 years ago,"she's so amazing๐, while i'm watching the video the background music of the scene is great",她真是太神奇了，当我看视频时，场景的背景音乐很棒
13715,Ugy86UOIMSstMsKOLNZ4AaABAg,8,2 years ago,"i love watching her cook. you can see when she is handling the food she puts love into it. also the clothes that is makes are inspiring. one of her greatest qualities is the respect and love that she shows her family , all of them. they must be very proud of her i know i would be",我喜欢看她做饭。您可以看到她何时要处理自己的爱。而且，制造的衣服也令人鼓舞。她最大的品质之一是她向家人展示的尊重和爱。他们一定为她感到骄傲，我知道我会
51796,Ugx0kneOMIw1-4Y41Dl4AaABAg,7,4 years ago,love you dear i like your videos most god bless you you are so sweet your work is so great and you are where you living that surrounding is very very good so you have great life thanks god bless you.,爱你亲爱的，我喜欢你的视频，最上帝保佑你你真是太好了，你的工作真是太好了，你在你住的地方，周围非常好，所以你过着美好的生活，谢谢上帝保佑你。
15504,Ugxc3P4gm9ZdXO3xNup4AaABAg,7,3 years ago,"your work is great. congratulations to your friends and kind friends, thank you deeply",您的工作很棒。祝贺您的朋友和亲切的朋友，深表谢意
30776,UgwQ2xhVnvpq1XezpcV4AaABAg,7,3 years ago,"god bless you dear๐๐‘u r simple great,hi grandma,love frm indiaโค๐‘๐‘๐ค๐’",上帝保佑你亲爱的
23233,UgzVQPxmKVM3WZptSzp4AaABAg,7,3 years ago,"it's really great, it is really 1,000 cgtn.",真的是太棒了，真的是顶1000个CGTN。
27923,UgxNkWh1YYDWI7UZPVB4AaABAg,7,3 years ago,"your such an hardworking ,did you done masters in cooking, ๐๐ great ..",您这么努力的工作，您在烹饪方面做过硕士学位吗？
42676,UgyM8bkcASCFZWRewY14AaABAg,7,4 years ago,this lady is great ~ whoever married her is a great blessing,这个小姐姐好棒啊~谁要娶了她是莫大的福气
36683,UgylTM1tk7rRFvWtYkJ4AaABAg.8uRIOVFo2EQ8ublnsxipJZ,7,4 years ago (edited),@xuanvatuoitrebalamat those clips are not from the same day. keep in mind these things are edited to make them look great.,@xuanvatuoitrebalamat这些剪辑不是从同一天开始的。请记住，这些东西被编辑以使它们看起来很棒。
50275,UgxPLH3UwdqmhM_3dIB4AaABAg,7,4 years ago,"i'd like to eat at her house for dinner...and then stay for dessert, if you know what i mean (that's not a euphemism...i really just want to eat the desserts...they look great).",我想在她家吃晚饭...然后留下甜点，如果您知道我的意思（那不是委婉语……我真的只想吃甜点...它们看起来很棒）。
32245,Ugx3NjkpcUzSiCRtC2V4AaABAg,7,4 years ago (edited),"i feel homey homey while watching this . i've never seen something as beautiful as this video
she's such a great woman ๐‘","看着这个时，我感到家常。我从未见过像这个视频那样美丽的东西
她是一个很棒的女人"
40646,UgwCCXsK8NugoeJm50d4AaABAg,7,4 years ago,why are you so great?,你怎么这么棒？
25244,Ugytr1-nLxAiGxc2xmF4AaABAg,6,3 years ago,"iโ€m a south korean
so look like beautiful place and beautiful cooking well 
and beautiful lady-!
great. ๐‘๐‘๐‘","我是韩国人
所以看起来像美丽的地方和美丽的烹饪
和美丽的女士！
伟大的。"
25662,UgzsuyYqpWh-NROlzkF4AaABAg.9-6D8C6Q_lL9-yP0VMnW0T,6,3 years ago,"world oา“ ส€ึ…สษplay what else do you know except tiananmen?? how many years passed, you guys canโ€t say anything but tiananmen, cuz there are too many great things in china but little wrong thing and you always clung to it. even an developing country canโ€t explore their road? why canโ€t see yourself country? why you always are biased to the government of china ? my uncle has been experienced with tiananmen . he told us the truth is similar as the document that government openness. before you talk about this why canโ€t you go to see the website of government, they have public six pages documentation about the tiananmen . every media has its own ideology . should our media make efforts to propagate the tiananmen??cant understand you. your media have your ideology, so you can see too many fake and negative things about china .but however they resort , china is just be there, and the people here are happy for their live,they are freedom to learn what they interest in, travel where they love to and buy what they want to buy ,and they have a understand and contain and dialectical heart.",世界oғғ ^播放除了天安门，你还知道什么？多少年过去了，除了天安门，你什么也没说，因为中国有太多伟大的事情，但不错的事情，你总是坚持不懈。即使是发展中国家也无法探索他们的道路？为什么看不到自己的国家？为什么您总是偏向中国政府？我的叔叔与天安门经历过。他告诉我们，事实与政府开放的文件类似。在您谈论这件事之前，为什么您不能去看政府网站，他们有关于Tiananmen的公开六页文档。每个媒体都有自己的意识形态。我们的媒体应该努力传播天安门吗？您的媒体有您的意识形态，因此您可以看到有关中国的假冒和负面事情。但是，他们求助，中国只是在那里，而这里的人们为自己的生活感到高兴，他们可以自由地了解他们对什么兴趣，他们喜欢去的地方旅行并购买他们想要购买的东西，并且他们有理解和围绕辩证的心。
48684,Ugy9fcd7aT_b7GhGey14AaABAg,6,4 years ago,sincerely this is extremely impressive! i loved! you have a great gift! i think all this is more and more! ^_^,真诚的这是非常令人印象深刻的！我喜欢！你有很棒的礼物！我认为所有这些越来越多！ ^_^
26260,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zwLRG9_aeT,6,3 years ago,that's great! wishing you the best.,那太棒了！祝你一切顺利。
33867,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd492acFTRhwh3,6,3 years ago,"justicefornichole 

i am a 66 year old chinese guy living now in california. i have done a lot of things li ziqi has been showing here when we were forced to go to rural areas during the cultural revolution between 1966 to 1976. 

only difference is that li ziqi does things so much better than us at similar age. 

i am deeply touched, inspired, and most importantly, i am quite motivated, realizing i could learn tremendously from a girl much younger than my child.

ziqi suffered so much in her life earlier and started this all by herself alone, in the beginning. 

and of course she has a team now and no longer working alone . she literally earned everything and deserves it. 

the great majority of the people here are showing respect, admiration and love. 

let us just be nice and kind to one another.","JusticeFornichole

我是一个66岁的中国人，现在住在加利福尼亚。当我们在1966年至1976年之间被迫去农村地区时，我做了很多李齐（Li Ziqi）在这里展出的事情。

唯一的区别是，李齐（Li Ziqi）在类似年龄的情况下做的事情比我们要好得多。

我深深地感动，受到启发，最重要的是，我很有动力，意识到我可以从一个比孩子年轻得多的女孩那里学到很多东西。

Ziqi在她的生活中遭受了很大的痛苦，一开始就独自一人开始。

当然，她现在有一个团队，并且不再独自工作。她从字面上赢得了一切并应得的。

这里的绝大多数人都表现出尊重，钦佩和爱。

让我们变得友善，彼此友善。"
40519,UgycKJugj830eYoa0jh4AaABAg,6,4 years ago,"essence essence essence essence the moving video is simple and exquisite that reminds me of this great presentation when i was a kid ,,,",。。。。真是令人感动的视频 质朴而精致 让我想起小时候 谢谢这么棒的呈现，，，
22508,Ugw93MiOcqW02pI7bJx4AaABAg.92v2O1F4NaK92yIvCprY85,5,3 years ago,"tian seem like you believe government can do something great like this, i hope so, but itโ€s a joke. maybe she get government support now, but not from beginning and beginning is the hardest part.",田似乎您相信政府可以做这样的事情，我希望如此，但这是个玩笑。也许她现在得到了政府的支持，但是从头开始，最困难的部分。
7566,UgxQOPLmIyi3IGy2-Fx4AaABAg,5,2 years ago,"a very beautiful and caring video... having the greatest respect for seniors within the family! talented beyond comparison to the west. unbelievable insight, and a deep empathy one can only vision in the east! 
i couldn't wait to subscribe to an artist able to see beyond today! 
i was blessed with my wife similar to her but, now senior... may she continue her life's dream!","一个非常美丽和关怀的视频...对家庭中的老年人表示最大的尊重！与西方相比，有才华。令人难以置信的见识，深刻的同理心只能在东方视而不见！
我迫不及待地想订阅一位能够看到今天以外的艺术家！
我很幸运，我的妻子与她相似，但是现在，大四...愿她继续生活的梦想！"
7103,Ugzb2_PMojp7ZBkz4KR4AaABAg,5,2 years ago,"okay, don't worry about li ziyi ❤️ i will always support you. since you create this channel, i have always been your loyal fan. it has been a few years, i really like you, and i know that you are a very beautiful woman who is very friendly to you and has a very beautiful woman li ziyi ❤️ do n’t worry. before you achieve greater success, i will always support you, i wish you success, a beautiful lady from china li ziyi ❤️ i am your indonesian fan. i hope you can be a stronger woman, don't be afraid :) i will always support you, i am your indonesian fan, i am your indonesian fan, bleak
continuous success li ziyi ❤️","好的，不用担心 李子柒 ❤️ 我会一直支持您，从您创建这个频道开始，我就一直是您的忠实粉丝。已经有几年了，我真的很喜欢您，而且我知道您是个很漂亮的女人 对你很友善有一个很漂亮的女人 李子柒❤️ 不用担心，在您取得更大成功之前，我会一直支持您，祝您成功，一位来自中国的美丽女士 李子柒❤️ 我是您的印尼粉丝，希望您能成为一个更坚强的女人，不要害怕 :) 我将永远支持你，我是你的印尼粉丝，
持续的成功 李子柒❤️"
5026,UgzxdbYtRFzXJh-GX7h4AaABAg,5,1 year ago,your are great we family all like ur vedio god bless u ❤️❤️❤️,你是伟大的我们都像ur vedio god bless u❤️❤️❤️
