,cid,votes,time,含channel,含channel中文翻译
39844,UgyO3Z2tzQA_VEFvmVN4AaABAg,218,4 years ago,"his name is li ziqi. she was orphaned since an early age, so she was raised by her grandparents.


he moved to the city and lived there for a while since he was 14 years old he had to work as a waitress and then had the opportunity to work as dj, but when his grandfather died, he returned to the field to take care of his grandmother. especially she was the one who raised her.


now load videos in weibo, a chinese platform, since people in china do not have access to youtube or facebook, etc. and his fans raise their videos on youtube so that the other part of the world can enjoy this beauty.


here is an edition to answer your questions:


1-this is an official youtube account and she benefits from this account but is not sure of the other channels.


2 - it used to produce its content alone, but after receiving recognition she began working with a small team to help her photograph, but i think she is not pretending the way she lives.


3-vive in sichuan (china).


i translated it from another message, so that people who do not understand english very well, or just prefer to read it in spanish, or many more reasons. you are welcome! :^




ps: thank you for reading it, i wait for my likes! > :, 3","他的名字叫李齐。她从小就开始孤儿院，所以她是由祖父母抚养长大的。


他搬到这座城市，从14岁起就在那里住了一段时间，他必须担任女服务员，然后有机会担任DJ，但是当他的祖父去世时，他回到野外照顾他祖母。特别是她是抚养她的人。


现在，在中国平台上加载视频，因为中国的人们无法访问YouTube或Facebook等。他的粉丝在YouTube上提出了视频，以便世界的另一部分可以享受这种美丽。


这是回答您的问题的版本：


1-这是一个YouTube官方帐户，她从该帐户中受益，但不确定其他渠道。


2-它曾经单独生产其内容，但是在得到认可之后，她开始与一支小型团队一起帮助她的照片，但我认为她没有假装自己的生活方式。


3-Vive在四川（中国）。


我从另一条消息中翻译了它，以便那些不太了解英语的人，或者只是更喜欢用西班牙语阅读或更多原因。不客气！ ：^




PS：谢谢您阅读，我等待我的喜欢！ >：，3"
50886,UgwgdxkzLocvnrsCmMF4AaABAg,170,4 years ago,you are the most my favorite channel! i'm trying to inform your channel for my subscribers!,您是我最喜欢的频道！我试图将您的订户告知您的频道！
40550,UgyUVF-ukZhG5S_N7a54AaABAg,164,4 years ago,"her youtube channel is only 1 year old and she already has 3m subscribers and more that 1m views on every single video, some of them have more that 5m views.this girl is amazing!",她的YouTube频道只有1岁，她已经拥有300万订阅者，并且在每个视频中有100万次观看次数，其中一些视频具有5m的视图。这个女孩真是太神奇了！
19487,Ugw-LfhAQMSxFkTNOcF4AaABAg,155,3 years ago,protect this person at all cost. she is an inspiration. my bad for discovering her channel at this time only. but binge-watching won't hurt anyway.,不惜一切代价保护这个人。她是一个灵感。我目前只发现她的频道不好。但是，狂欢观看不会伤害。
34949,UgxHJ5YCpiZzJNrJhHp4AaABAg,141,4 years ago (edited),"this channel is really awe inspiring. from the cooking and food presentation, and the music chosen. totally transports me to a fantastical realm. the production is really top quality. super fan here thank you!",这个频道确实令人鼓舞。从烹饪和食物演示以及选择的音乐中。完全把我带到了一个梦幻般的领域。生产确实是最优质的。超级粉丝在这里谢谢！
49776,UgxYLjNZHC2ZCH5UdHt4AaABAg,139,4 years ago,this is the first youtube's channel where i watched all the videos. you always amaze me !!!,这是我观看所有视频的第一个YouTube频道。你总是让我惊讶！！！
46446,Ugx3xkI2JGadhTYqM0Z4AaABAg,133,4 years ago,when i was a lil girl i had a book of chinese folk tale (written in bengali) which was very close to my heart.there was a girl in that story who used to stay with her granny in a beautiful villlage of china .she too used have a gang of pet...she would also do many household chores just like this girl and her lifestyle was my childhood fantasy..i used have a pretend play just like the lifestyle of that girl mentioned in the story....when i watch this channel i feel very much nostalgic to see this pretty girl and her life....she is an amazing girl...god bless her and her granny..,当我还是个小女孩的时候，我有一本中国民间故事（用孟加拉语写的），它非常接近我的心。这个故事中有一个女孩曾经和她的奶奶一起住在一个美丽的中国村庄里。曾经有一群宠物...她也会像这个女孩一样做很多家务，而她的生活方式是我的童年幻想。我二手的假装就像故事中提到的那个女孩的生活方式一样。当我观看这个频道时，我很怀旧地看到这个漂亮的女孩和她的生活。...她是一个了不起的女孩...上帝保佑她和她的奶奶..
36757,UgxCLSmif0mx5Hvc-kx4AaABAg,119,4 years ago,"this is the best channel everrrrrrrrr
i am so serious omg wow","这是最好的频道Everrrrrrrrr
我好认真的天哪哇"
42612,Ugx7O2f_d5NDecHu3Vx4AaABAg,100,4 years ago,i'm so glad i found this channel. something about watching people do what they love so skillfully is just so satisfying. idk how else to explain it. i love these videos to pieces. please keep them coming! <3 <3 <3,我很高兴找到了这个频道。看着人们如此熟练地做自己喜欢的事情是如此令人满意。 idk还有其他解释。我喜欢这些视频。请让他们来！ <3 <3 <3
19048,Ugw0U3HcaI-WINoQCrx4AaABAg,75,3 years ago,i've seen several channels like this and all that i can do is heavily admire the cinematography and quality. imagine doing all that work plus taking a video of everything,我已经看到了这样的几个渠道，而我所能做的就是欣赏摄影和质量。想象一下所有的工作，并拍摄所有内容
47584,UgwgzydsHM_WqD7TLO54AaABAg,73,4 years ago,"i think this must be one of the best videos in this channel. all the foods prepared by li are very delicious. i like those puppies who have been following her. watching such a video makes me happy and calm my thoughts. you are great, li ziyi",我认为这必须是这个频道中最好的视频之一。李准备的所有食品都非常好吃。我喜欢那些一直跟着她的小狗。观看这样的视频让我感到高兴，让我的思绪平静下来。你太棒了李子柒
3545,UgyjQEf8f2BxUGAs1oN4AaABAg,63,1 year ago,"how i wish i could live with ms lizqi for a week, to enjoy nature, her cooking and her friendship. i simply love her channel. nothing compares.",我希望我能和利兹女士一起生活一个星期，享受自然，烹饪和友谊。我只是爱她的频道。没有任何比较。
823,Ugwg_jZPIx0oa2J2lEx4AaABAg,60,6 months ago,this is the only cooking channel i never skipped any part and never missed any video first to last second,这是我从未跳过任何部分的唯一烹饪频道，也从未错过任何视频，
33767,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vta--Zuy5Q,60,4 years ago,i wish my life was like this. i don't know how the hell life became this way with the 8-5 job and commuting and just constant go go go (in the us at least not sure how it is other places). i found this channel by accident and it is so relaxing and just wish i could live like this.,我希望我的生活就是这样。我不知道通过8-5的工作和通勤，而不断去继续前进（在美国，至少不确定它是其他地方）。我偶然发现了这个频道，它是如此放松，只是希望我能这样生活。
86,UgwzGLDCb21y3L7CPD94AaABAg,57,2 weeks ago,it feels so good to see the amount of views in her channel. she deserves it. miss you li ziqi,看到她的频道中的视野真是太好了。她应得的。想念你李Ziqi
32487,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18wBclm413Dd,56,4 years ago,"@ultramaryna00 so you're saying this entire channel is just an actress and instead of living a ""normal"" life she proceeds to act every single day and produces all this just for the sake of clout? right, because having a different lifestyle, upbringing, and culture is just so unheard of",@ultramaryna00，所以您要说的整个频道只是一名女演员，而不是过着“正常”的生活，而是每天都会表演并为影响力而产生所有这些生活吗？是的，因为拥有不同的生活方式，养育和文化是如此闻所未闻
43933,Ugwet4BbhmZEME41JiF4AaABAg,54,4 years ago,"
i’ll be watching more videos on this channel. no words say a lot. 
","
我将在此频道上观看更多视频。没有话说很多。 
camera质量很棒。"
14213,UgwchI37wN07m2HybS14AaABAg,48,2 years ago,this us my favourite video on her channel. never tired of coming here again and again,这是我在她的频道上最喜欢的视频。从来没有厌倦一次又一次地来到这里
22415,UgxKcQ7dpNNpmXNzxD54AaABAg,46,3 years ago,i love how she uses modern tools and doesn't try to show off like them primitive survival channels.,我喜欢她如何使用现代工具，也不会试图像原始生存渠道那样炫耀。
35574,UgxMNV1wT5Az_R6nxqd4AaABAg,45,4 years ago,i just discovered the real life mulan. this is my new favourite channel,我刚刚发现了现实生活中的木兰。这是我最喜欢的频道
48793,UgwG8_Gqso-xuHrhi5J4AaABAg,44,4 years ago,"got addicted to this channel, cant stop watching here videos",沉迷于这个频道，不能停止在这里观看视频
37037,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8uaLcKkVXR2,43,4 years ago,"@taayri she had a hard childhood with lots of family problems & was cared for by her grandparents. dropped out of school at 14 to earn money in lots of different jobs, even as a dj. when her grandpa died she returned to live and care for her grandmother. then she started this channel",@taayri她度过了一个辛苦的童年时代，有很多家庭问题，并受到祖父母的照顾。即使是DJ，也14岁辍学，从很多不同的工作中赚钱。当她的爷爷去世时，她回到了生活和照顾祖母。然后她开始了这个频道
42715,UgykQi5WLI8pw7KzNat4AaABAg,38,4 years ago,i just thought to myself 'this is beautiful' when i saw the beginning but when the digimon music actually kicked in at 5:16 i genuinely fell in love with this channel.,当我看到开始时，我只是想着自己“这是美丽的”，但是当数码兽音乐实际上在5:16开始时，我真正地爱上了这个频道。
32985,UgwQs0yX0gqfp6dq9eR4AaABAg,36,4 years ago,quality content like this here on youtube are very rare! i'm so happy i found this channel! ๐๐๐ญ,YouTube上这样的优质内容非常罕见！我很高兴找到这个频道！
4985,Ugxug93oZ6xYah9Kh-94AaABAg,35,1 year ago,"next to my mother, liziqi is my role model. the girl who help me a lot to fight my depression and laziness. i'm very thankful that i found your channel, you're an angel..",在我母亲旁边，利兹奇是我的榜样。那个帮助我与我的沮丧和懒惰作斗争的女孩。我非常感谢我找到了您的频道，您是天使。
5764,Ugxl3_aEEeHJs88R2VZ4AaABAg,35,2 years ago,"am i seeing a sheep? 

those puppies are so lovely
your channel won our hearts. so natural, so peaceful. ❤️❤️

","我看到绵羊吗？ 

那些小狗是如此可爱
您的频道赢得了我们的心。如此自然，如此和平。 ❤️❤️

nagaland"
45109,UgyJgsDlPebcN5HbriZ4AaABAg,33,4 years ago,wanted to cook something...but instead i ended up looking at this beautifull girl for more thank 2 h! 'm just in love with this channel! congrats,想煮一些东西...但是我最终看着这个美丽的女孩，更多地感谢2小时！
46911,Ugw5hxcQINMIaUYcc0p4AaABAg,33,4 years ago,"hi... from thailand.
i very like this channel.
happy chainese new year!!","嗨...来自泰国。
我非常喜欢这个频道。
链链新年快乐！！"
6922,UgyrQ9K7L0e09rYxm1t4AaABAg,32,2 years ago,it's very interesting i found myself productive throughout the day lately after i started watching this channel. she is not only a beautiful lady .. but everything she does is beautiful. every dish she makes looks soooooo delicious. even da land where she lives must be how the paradise is. priceless.,我开始观看此频道后，最近一天整天都发现自己很有成果。她不仅是一位美丽的女士..而且她所做的一切都是美丽的。她让她看起来很美味的每道菜。即使是她所居住的da土地也必须是天堂的样子。无价。
22889,UgwmY7-7oRmSmYPbylZ4AaABAg,28,3 years ago,"finally youtube recommended something iโ€ll forever thankful for !!๐ญ๐ญ her channel is so relaxing and i canโ€t stop watching her vidoes 
2019/ 2020 
whereโ€s my late squad at ??!","终于，YouTube推荐了一些我永远感谢的东西！！她的频道很放松，我无法停止观看她的视频
2019/2020
我晚期的球队在哪里？"
43337,Ugzl7MZ0-qYg3suzDOV4AaABAg,28,4 years ago,"anyway cute. everyone is cute.
i am appetizing with ghibli rice, and above all i love the atmosphere of buildings and tools ... (vocabulary)
this is a god channel","无论如何很可爱。每个人都很可爱。
我用吉卜力大米开胃，最重要的是，我喜欢建筑物和工具的气氛...（词汇）
这是神频道"
14950,UgzH0Mc0df0fv7-DYzp4AaABAg,26,2 years ago,"i feel motivated when i watch her channel.
i feel like i wanna clean the mess up on my room","当我看着她的频道时，我会感到有动力。
我觉得我想清理房间里的混乱"
43625,UgwEjFsNd0cxZjZo9sN4AaABAg,26,4 years ago,"everything about this channel is so soothing and relaxing, the best way to end the day! very thank you! happy new year! may you be happy and prosperous!","Everything about this channel is so soothing and relaxing, the best way to end the day! 很谢谢！ 新年好！ 恭喜发财！"
32588,UgzEuIKPYuBcoTLXMG94AaABAg,24,4 years ago,"ok i found this channel
and iโ€m obsessed ๐ฅฐ๐ฅฐ genius","好的，我找到了这个频道
我痴迷于天才"
17608,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982DXstbU_V,24,3 years ago,"@heardistance i have no idea about other chinese area's rural life but in sichuan, more specifically, the countryside area around chengdu, the environment, the village, the landscape and the lifestyle, the food are pretty much the same as what they showed in ziqi's video. i know it because i also come from this area. i agree with it looks too perfect but why it can not even look perfect? she works really hard and shares with us how beautiful and how peaceful life can be...why would she show how sad she is how realistic and shitty the life look like? it doesn't make sense. i guess you have some wrong identifications of this channel or you just misunderstand what things she would like to share us about. it's like doing a project, your boss gives you an appraisal and says ok, it's well done but looks too perfect so it's fake it's impossible....hmmm. i don't think anyone will give any appraisal like that. and this channel is not a documentary about recording how poor chinese people are in china. i would suggest you can look for those videos from bbc or cnn or anywhere on youtube, online etc. i am sure there are a lot of videos or whatever news will keep rising your doubt about the reality of ziqi's video.",@heardistance我不知道其他中国地区的乡村生活，但是在四川，更具体地说，是成都周围的乡村地区，环境，村庄，景观和生活方式，食物与他们在Ziqi中所展示的食物几乎相同视频。我知道，因为我也来自这个领域。我同意它看起来太完美了，但是为什么它甚至看上去都不完美呢？她真的很努力，与我们分享了多么美丽和和平的生活……为什么她会向她表现出多么可悲的生活，这是多么现实和卑鄙的生活？这没有道理。我想您对此频道有一些错误的识别，或者您只是误解了她想分享我们的事情。这就像在进行项目一样，您的老板给您评估，说得好，做得很好，但看起来太完美了，所以这是假的，这是不可能的....嗯。我认为没有人会这样评价。这个渠道并不是关于记录中国人在中国的多么可怜的纪录片。我建议您可以从BBC或CNN或YouTube，Online等任何地方查看这些视频。我敢肯定，有很多视频，或者任何新闻都会不断提高您对Ziqi视频现实的疑问。
40330,UgyVuhwPNeigCXUXGMZ4AaABAg,23,4 years ago,just found your channel. love it! great camera man and beautiful lady. loving your home and cooking. great work,刚找到您的频道。爱它！伟大的相机男人和美丽的女士。爱你的家和做饭。做得好
48332,Ugyff1sCUTwgrhhFv2t4AaABAg,22,4 years ago,"ziyi new year, happy i like this channel too much",子柒新年快乐 我太喜欢这个频道了
17393,UgySSC_ltvJMdrAiaT54AaABAg,22,3 years ago,i swear everything in this channel's videos are satisfiying. too satisfying,我发誓该频道视频中的所有内容都令人满意。太满意了
503,UgwEOJpXiAP-eG7qasd4AaABAg,21,4 months ago (edited),"god, what a cozy channel you look straight and the soul is so warm as at home in the village",上帝，你看上去是一个舒适的频道，灵魂像在村里的家中一样温暖
40734,UgwLj0_8Vb5gT5GeR8h4AaABAg,21,4 years ago,hey cutie... u are so hard worker... from today your channel is on the top list of my favorite channels wow...,嘿，可爱...你是如此勤奋...从今天开始，您的频道在我最喜欢的频道的最高列表中哇...
43794,UgyyBm-8_ZYK8anhOLN4AaABAg.8rIMvIWiIC08rJu6Rwr-lK,21,4 years ago,"she started uploading her videos in 2016, and in may 2017 she hired a photographer who worked on tv and an assistant for her team, you can watch her early videos (all by herself)in weibo.
her original channel http://weibo.com/u/2970452952","她于2016年开始上传视频，并于2017年5月聘请了一位摄影师，他在电视上工作并为她的团队助理，您可以在微博中观看她的早期视频（全部）。
她的原始频道http://weibo.com/u/2970452952"
53035,UgwOm3YTDH_FGa_w5IN4AaABAg,20,4 years ago,hello from massachusetts! i love your channel,您好，来自马萨诸塞州！我爱你的频道
19825,UgyTQdr4ht2C6TjRvft4AaABAg.95I2cr0D_Rv95mupd-ekvY,19,3 years ago,"everything on the internet is real xd . 

dude offscreen there are people helping . more than half is staged .
you think all these perfect camera angles and perfect timings are apearing by magic ? 
i just love the visuals and eye candy and this channel makes me n lots people happy .","互联网上的所有内容都是真正的XD。

杜德（Dude）在屏幕外，有人在帮助。一半以上是上演的。
您认为所有这些完美的相机角度和完美的时机都是魔术的嘲笑吗？
我只是喜欢视觉效果和眼睛的糖果，这个频道使我很高兴。"
33656,UgwhKI-ie7EjjQI9ZV14AaABAg,17,4 years ago (edited),"from these videos it blows comfortable, watching them about everything you forget and enjoy viewing. the author of this channel is a great fellow, a real craftswoman ๐’๐๐ฅฐ",从这些视频中，它可以舒适地吹来，看着他们忘记并享受观看的一切。这个频道的作者是一个很棒的家伙，一个真正的工匠
30158,Ugyaxtud1qUg1J1622F4AaABAg,17,3 years ago,i have never ever saw this kind of a youtube channel. this is so amazing and i just can't stop watching. keep making such a wonderful videos.,我从未见过这种YouTube频道。这真是太神奇了，我只是不能停止观看。继续制作如此精彩的视频。
28153,UgyfZt1srEV6MZYvEt94AaABAg,17,3 years ago,"li ziqi, let me tell you something, the world is still great because it has someone like you. i mean, the world needs a lot like you. i promise i'll watch all your videos everytime i get a chance, too bad i just found out your channel today. no, it's not bad, it's great coz i had a chance to find this out, i subscribed right away. keep it up!",李齐（Li Ziqi），让我告诉你一些事情，世界仍然很棒，因为它有像你这样的人。我的意思是，世界需要很多像你一样。我保证，每当我有机会时，我都会观看您的所有视频，太糟糕了，我今天刚刚发现您的频道。不，这还不错，很棒，因为我有机会找到这个问题，我立即订阅了。继续努力吧！
41650,UgxP_Cj06aZmLa2bSqp4AaABAg.8ruzrnHtE3L8s1mlHgD20V,16,4 years ago,"@farwahehee8087 fyi she has a 3 people team to help her with the production of such high quality video. also li ziqi said in an interview, “i am shooting about my imaginary life.” so yeah all of this is her imaginary life but it's not that i don't appreciate her work. i love this channel and can see how much hard work she puts in her videos.",@farwahehee8087仅供参考，她有一个3人团队来帮助她制作如此高质量的视频。李齐（Li Ziqi）在接受采访时说：“我正在为自己的虚构生活拍摄。”是的，所有这一切都是她的想象中的生活，但这并不是我不欣赏她的工作。我喜欢这个频道，可以看到她在视频中投入了多少努力。
30948,UgzE40l6rTlYiv3zGrt4AaABAg,15,3 years ago,"hello liziqi!
i recently found your channel. your lifestyle is very beautiful and inspiring. the videos you make are very calming. thank you!","你好liziqi！
我最近找到了你的频道。您的生活方式非常美丽和鼓舞人心。您制作的视频非常平静。谢谢你！"
29443,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8yDJGqlymGS,15,3 years ago,"it is really facing, taiwan has been open to youtube, and no one who has subscribed to 3 million subscribers has not won! li ziyi, ono, and the youtube channel of the little brother in western yunnan have created it for a long time? there is almost no way to play in taiwan. the first place is higher than the little brother in western yunnan. the key is that the little brother in western yunnan also surpass him!


i really admire li ziyi and ono, one of more than 5.4 million subscribed, one is more than 7 million! they are all villagers! can the youtuber in sichuan anymore be awesome? the yam is 1 million immediately, wang gang is 930,000, and there are three cats and ao factory director in the back!","真的很打脸，台湾一直开放YouTube，上300万订阅的还一个都没得！李子柒，小野，还有滇西小哥的YouTube频道才创了好久？台湾能打的几乎都没有了，就第一名比滇西小哥高，关键是滇西小哥也要超越他了！


李子柒和小野我是真的佩服，一个540多万订阅，一个更是700多万！还都是老乡！我大四川的YouTuber能不能再牛逼点？山药马上100万，王刚93万，后面还有三猫和敖厂长也有四五十万订阅！"
19740,UgwvgiChsbkPfMNji4J4AaABAg,15,3 years ago,"i absolutely love this channel. the beauty, wholesomeness, purity and most importantly love of family. better than any richness you can find on the planet. thank you so much and blessings to you.",我绝对喜欢这个频道。美的美感，纯洁，最重要的是对家庭的热爱。比您在地球上找到的任何丰富性要好。非常感谢您，祝福您。
10090,Ugz9teFE6G-_fbzLTEV4AaABAg.9GS8QbE7mJ29GVuLO5iTcF,14,2 years ago,"@tubaamirichannel6890 she does do all this work herself, itโ€s just that now sheโ€s able to have people help her film. in her older videos, she had to do everything and itโ€s noticeable.",@tubaamirichannel6890她自己做了所有这些工作，只是现在她能够让人们帮助她的电影。在她的旧视频中，她必须做所有事情，这很明显。
17923,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv97zwZsbcJi2,14,3 years ago,asma khuram stop promoting on others channel bitch .....,Asma Khuram停止推广其他渠道母狗.....
5545,UgxtsHt7oFimDzVx_j14AaABAg,13,2 years ago (edited),"favorite channel. i am a good liziki. the girl is glorious. darling. beautiful and very talented. your channel, my girl, is a pleasure to watch. god forbid you a paw and your grandmother of health and many years of life",最喜欢的频道。我是一个很好的利兹基。这个女孩很光荣。亲爱的。美丽而很有才华。我的频道，我的女孩，很高兴观看。上帝禁止你是爪子和你的祖母健康和多年的生活
33270,UgzYAPal7GjkZkDP3yZ4AaABAg,13,4 years ago,"the best youtube channel with great music,cinematography,beauty young girl& super talented&cooking",最好的YouTube频道，具有出色的音乐，摄影，美丽的年轻女孩和超级才华和烹饪
48720,UgxG1NnEvR0e-Iqjam54AaABAg,12,4 years ago,i absolutely love this channel i first found her through facebook and kept searching and finally found her channel! so much amazing food and such a hard working girl that loves her grandmother!!! also does anyone notice that the grandma has cute little ears on her hat!!!!!,我绝对喜欢这个频道，我首先通过Facebook找到了她，并一直在搜索并终于找到了她的频道！如此多的美食和如此努力的女孩，爱她的祖母！！！还有人注意到奶奶的帽子上有可爱的小耳朵！
235,UgxbcTEnmDwXY0p_B2B4AaABAg,12,1 month ago,i thank the channel for showing me the wonderful life ❤❤❤❤,我感谢频道向我展示美好的生活❤❤❤❤
28646,Ugye9uTD8Jl5_SegN7t4AaABAg,12,3 years ago,"i recently found this channel and i love this girl so much, such an inspiration ๐ฅฐ",我最近发现了这个频道，我非常喜欢这个女孩，这是一个灵感
19508,Ugw-LfhAQMSxFkTNOcF4AaABAg.95hQGx72lER95oA5rY8aIX,11,3 years ago,"@lucygo6415 hi, i understand your sentiments but isn't it awesome bec this girl right here represents them all? besides, all her videos are therapeutic. meaning, it calms our souls. it is refreshing. brings positive impact to us, viewers. so let us all be happy we've got a channel like this.",@lucygo6415嗨，我理解您的观点，但这不是很棒，因为这个女孩在这里代表了所有人吗？此外，她所有的视频都是治疗性的。意思是，它平静了我们的灵魂。令人耳目一新。观众给我们带来积极影响。因此，让我们所有人都很高兴我们有这样的频道。
43226,Ugz8r6Kq3ZU7gJmT51t4AaABAg,11,4 years ago,"you're amazing,i see you from vietnam.i love your channel !",你很棒，我从越南见到你。我喜欢你的频道！
12566,UgyDYTKXiEQyhi9m2ll4AaABAg.9CyVJLQm4YV9Daz3W24g9K,10,2 years ago (edited),i don't think you should generalize the whole country by saying that. not everything in china is like this channel. the big cities are completely different.,我认为您不应该这样说。并非中国的一切都像这个频道。大城市完全不同。
37308,UgwpqObiQnRWC5Q2taR4AaABAg,10,4 years ago,kindly write ur channels name in english.. so that we can find it easily!,请用英语编写您的频道名称。.这样我们可以很容易地找到它！
30682,UgwfkZ5egI5L1cpEO1B4AaABAg,9,3 years ago,"dont knw why i like her videos too much ..i knw abt ts channel by my frnd and started watching frm just 3 days....these videos r too relaxing ..
.love from tamil nadu indiaโฅ๏ธโฅ๏ธ","不要知道为什么我太喜欢她的视频了..我在我的frnd knw abt ts频道，然后开始观看FRM仅3天。...这些视频太放松了..
。"
43740,UgwAGZH5fxhe2azrTvt4AaABAg,9,4 years ago,"greetings from new york!!!! it's my very first time viewing your channel!! 
i don't speak chinese, but i enjoyed watching it! i was impressed with 
this young, petit woman being so strong & resourceful! it really is fun to see the different culture & its food!(^^). looks like a great new year celebration!!(^^)(^^)","来自纽约的问候！这是我第一次查看您的频道！！
我不会说中文，但我喜欢看它！我印象深刻
这个年轻的小女人是如此坚强和足智多谋！看到不同的文化及其食物真的很有趣！（^^）。看起来像是一个很棒的新年庆祝活动！（^^）（^^）"
32818,UgxQTyOAJvdanxly7kd4AaABAg,9,4 years ago,i love watching and rewatching your videos. they make me so happy. it's just awful how many people on youtube copy your videos for their own channels. you deserve 100% of the credit for all your hard work.,我喜欢观看和重新观看您的视频。他们让我很高兴。 YouTube上有多少人将视频复制到自己的频道上真是可怕。您应该为您的所有辛勤工作获得100％的信用。
24917,Ugx_Ei3Cp87O25pQWt14AaABAg,9,3 years ago,"this is the best channel in the world at the moment!
does anyone think like me?
i am a face's mother, i'm from vietnam ...

lร  mรชt k lnh hay nhแบฅt thแบฟ giแปi tแบกi thแปiฤ‘iแปm nร y!
cรณ ai nghแป‘ giing nhฦฐ tรดi khรดng?
tรดi lร  mฦฐแปt ng li mฤ‘แบฟ nรดng dรขn, tรดi ฤ‘แบฟn tแปซ viแปt nam

this is the best channel in the world!
does anyone like me?
i am the mother of farmers, i am from vietnam ...","This is the best channel in the world at the moment!
Does anyone think like me?
I am a farmer's mother, I'm from Vietnam...

Đây là một kênh hay nhất thế giới tại thời điểm này!
Có ai nghĩ giống như tôi không?
Tôi là một người mẹ nông dân, tôi đến từ Việt Nam

这是目前世界上最好的频道！
有人会喜欢我吗？
我是农民的母亲，我来自越南..."
4122,UgyUrXRsMA8pgAIACYd4AaABAg.9Rx3e3xqjGI9TlNolBe3sk,9,1 year ago,"i totally agree with you, i use to watch this channel when i'm frustrated and wanna calm down myself.",我完全同意您的观点，当我感到沮丧并想让自己平静下来时，我经常观看这个频道。
