,cid,votes,含channel,含channel中文翻译
9342,UgyXINFFtQb_wIUno-t4AaABAg,45,her channel just started coming up for me i'm loving this young lady she's in heaven โค๏ธ๐,她的频道刚刚开始为我出现，我爱这个小姐她在天堂❤️
33416,Ugy03CkKsPIFS7k_9nV4AaABAg,44,"i bet her life is so peaceful...and yet again she is a huge role model for all of us in this materialistic world
...
proud of her... i thank youtube for recommending this channel to me.......
its really great....","我敢打赌，她的生活是如此和平……而且她又是这个唯物主义世界中所有人的巨大榜样
...
为她感到骄傲...我感谢YouTube向我推荐此频道。
它真的很棒。"
17083,UgwoGmYYcukjLHjpxMp4AaABAg,35,"i about 5 years of using youtube, this the first and the only youtube channel that i subscribed just after watching a single video. you are amazing and everything about you is so so beautiful.
love and respect from india","我使用YouTube大约5年了，这是我观看单个视频后唯一订阅的第一个也是YouTube频道。您真是太神奇了，关于您的一切都如此美丽。
印度的爱与尊重"
30574,UgzQZItfuNkagVB2f1d4AaABAg,34,i do not know how big i thought bamboo shoots were but i definitely did not think they were that big! i learn so much by watching this channel.,我不知道我以为竹脚的大小，但我绝对不认为它们那么大！我通过观看这个频道学到了很多东西。
11549,UgwOKaIWeB3nIXK7cUJ4AaABAg.97SYDnx5UUw97fEejIhBSw,31,@riyaguria9609 where can i find that interview. cause i just discovered he channel. but i don't understand how she can do everything.,@riyaguria9609我在哪里可以找到采访。因为我刚刚发现他频道。但是我不明白她如何做一切。
27613,UgyQ5qViNvz63BDZfG94AaABAg,27,"hi, from chile, i really love your channel!",嗨，来自智利，我真的很喜欢您的频道！
24611,UgzoKu7yIdHzVtpuSzt4AaABAg,27,"these videos are so beautiful, and interesting! love from poland i love your channel :)",这些视频是如此美丽，有趣！来自波兰的爱我爱你的频道:)
27399,Ugxi6VIBRmb1l77dQRF4AaABAg,27,"i want to live a life like this
this is the life that i want.. 
im enjoyin watchin this channel","我想过这样的生活
这是我想要的生活。
我喜欢看这个频道"
15970,UgxDX_CkTY_gptXSund4AaABAg,26,i'm hungover and stumbled upon this channel and wow this is all so relaxing and nice,我宿醉了，偶然发现了这个频道，哇，这一切都很放松和不错
30179,Ugw1b8zu42GHQvyAEjF4AaABAg,25,i've been following your channel for almost a year,我已经关注您的频道近一年了
29571,UgzEUZUMf9O4GqDcxOZ4AaABAg,25,"the best channel in youtube unlike some channel she didn't even have to promote her channel to her subscribers once you are here its contagious...btw love every single episode of your video, i'm from a from a small town of meghalaya, india i'm tribal we have some cuisine similarity.",YouTube上最好的频道与某些频道不同，她甚至不必将自己的频道推广到订户，一旦您来到这里，它的传染性...顺便，印度我是部落，我们有一些美食的相似之处。
32829,Ugz3Z-lWwV0-ffXBZHF4AaABAg,19,your channel is beautiful and the land around you is stunning nature and wonderful views and take you to another world.,您的频道很美，您周围的土地是令人惊叹的自然和美景，并带您前往另一个世界。
29732,Ugz3SQWDuku2EyRlrQV4AaABAg,19,"the first time you follow you are in a beautiful shot. at that time, the update was too slow. i repeatedly read the previous works every day. later, i was too busy to forget it. i did n’t expect yesterday to search for the youtube channel on tv yesterday. see your work again! intersection it's great. every time you look at your work, you just enjoy it. from raw materials to the last finished product, it is like showing the life of each food.",第一次关注你是在美拍，那时候更新太慢了，每天就重复的看之前的作品，后来太忙就慢慢给淡忘了，没想到昨天无聊在电视上搜YouTube频道竟然在油管又重新看到你的作品！！太棒了，每次看你的作品简直就是享受，从原材料到最后的成品，简直就像展示每个食物的一生归宿
23271,Ugxe5e3fIautK1xmID14AaABAg,18,"is that possible for me to visit such place? the director of this channel is out of this world i guess, such a great artist.",我有可能参观这样的地方吗？我想这个频道的导演不在这个世界上，这是一位伟大的艺术家。
2790,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9UYfiO3-g3B,16,"@lxixi2105 actually no. she actually used to be a dj but when her mum and dad died she went back to the country to live with her grandma. she then started doing what see is doing now. she decided to put it on youtube and as her channel grew more popularity she hired a filming crew. nothing here is fake, and if you think about it how can someone fake doing something even though they are actually doing it",@lxixi2105实际上没有。她实际上曾经是DJ，但是当她的妈妈和爸爸去世时，她回到乡下和奶奶住在一起。然后，她开始做现在正在做的事情。她决定将其放在YouTube上，随着她的频道越来越受欢迎，她雇用了一名拍摄人员。这里没有什么是假的，如果您考虑一下，即使有人实际上在做
28572,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8zy1IBXM_PX,16,"franz peters are you mentally okay? do you need someone to talk to? there’s absolutely no need for such a negative view and or opinion, on a beautiful, inspirational, amazing channel/video! don’t dwell on negativity.",弗朗兹·彼得斯（Franz Peters）你在精神上还好吗？您需要有人与之交谈吗？绝对不需要在美丽，鼓舞人心，惊人的频道/视频上使用如此负面的视野和或意见！不要沉迷于消极情绪。
26703,Ugx6cy971MA3ppqHkK94AaABAg,15,"i am a taiwanese, i like to see your channel",我是台湾人我喜欢看你的频道
32622,Ugye2ai1nuuRTzO_MeJ4AaABAg,15,one of the best channel on earth. i really like ur place. i hope someday i will visit ur place.,地球上最好的渠道之一。我真的很喜欢你的地方。我希望有一天我会去你的地方。
10329,UgzSRnA7_urjUQ_vzzp4AaABAg.98qQ9IjkkeR99S5JeCHTOa,14,i always do this whenver i'm inspired by someone's channel. and so far i watched all her ads as a way of thanks for her.,当我受到某人的频道启发时，我总是这样做。到目前为止，我看了她所有的广告，以感谢她。
31487,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yW4Y3KgyUo,14,"she has 16 million chinese followers on weibo. although youtube is blocked in china, some who actively want to use it still bypass it through use of vpn. some of the views here are by chinese either through vpn or just because they are overseas, but i do think the vast majority are international fans. it happened about 9 months ago when the comment section under her videos changed from purely chinese to all sorts of languages. i think one of her vids went viral outside of china and then people flocked to her channel here on youtube to check her out. this channel is operated and maintained by one of her fans under her permission, but her base channel is on weibo.",她在微博上有1600万中国追随者。尽管YouTube在中国被阻塞，但有些积极希望使用它仍然通过使用VPN绕过它的人仍在绕过它。这里的某些观点是通过VPN通过中国人，或仅仅是因为它们在海外，但我确实认为绝大多数是国际粉丝。大约9个月前，她的视频下的评论部分从纯粹的中文变为各种语言。我认为她的一位视频在中国以外传播开来，然后人们在YouTube上涌向她的频道检查她。该频道在她的允许下由她的一位粉丝操作和维护，但她的基本频道在微博上。
22398,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-RKeLIpay7,14,"@cyouchin5381 now you are fucking kidding me, what you think china is? third world country? pretty sure almost 90 % of china city have better development than usa, and you really think this channel didnt earn her any money?, let me approximate the number of how much she earns from this channel, around 10 k usd at least pre month",@Cyouchin5381现在您他妈的在开玩笑我，您认为中国是什么？第三世界国家？可以肯定的是，近90％的中国城市的发展比美国更好，您真的认为这个频道没有赚钱吗？让我大概她从这个频道中赚取了多少钱，至少一个月前约10 k美元
6109,UgzHHroDozG-C7F3qMF4AaABAg,14,"i loved your channel and your recipes, congratulations!",我喜欢您的频道和您的食谱，恭喜！
34799,Ugzn7GEQyTJdnfDNNsN4AaABAg,14,"the only channel for the convict i signed up .. the whores of dirt and politicians, without vulgarity and jaundice. all beautiful, and most importantly with meaning. surgery!",我签署了罪犯的唯一渠道。.污垢和政治的妓女，没有粗俗和黄疸。一切都很美丽，最重要的是意义。手术！
29515,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58yZpBBV_MSl,13,"@xiaonianchannel who said its same?
they're just similar in someway.","@xiaonianChannel说同样的话？
它们在某种程度上只是相似。"
32533,UgxCqOcbQ88nFS6lOUt4AaABAg,13,"love this channel. 
greetings from italy 
❤","喜欢这个频道。
来自意大利的问候
❤"
26730,UgzSCo0VkWxvthGn8Kx4AaABAg,13,i just found your channel. it's hard to find in south korea. it's so exciting. i joined your channel. i am a cooking youtuber. would you come and see me?,我刚找到你的频道。在韩国很难找到。它是如此令人兴奋。我加入了你的频道。我是一个烹饪YouTuber。你会来看我吗？
19593,UgxWI5MP2WrJW_Ip1FF4AaABAg,12,this is the best ever youtube channel i 've come across so far! at the end of every video i find myself smiling and wanna change myself and be productive like her! hatss off liziqi,这是我到目前为止遇到的有史以来最好的YouTube频道！在每个视频的结尾，我都会发现自己微笑着，想改变自己，像她一样富有成效！ hatss off liziqi
10653,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU798x4D9sc3SL,12,"@xe2893 you think she does? shes mentioned before, what she is doing is just filming her everyday life, and uploading it to youtube. sure, the videos still make money but she wouldn't be living any different right now then before if she hadn't started this channel.",@xe2893您认为她会吗？她之前提到的，她正在做的只是拍摄她的日常生活，然后将其上传到YouTube。当然，这些视频仍然赚钱，但是如果她没有开始这个频道，她现在不会有任何不同的生活。
25895,UgztQUXiZ2hfNW8SQ9N4AaABAg,11,"and just like that i have a new favorite youtube channel.
thanks dan and arin.","就像那样，我有一个新的YouTube频道。
感谢Dan和Arin。"
21240,Ugz1v1OrVPtjEbP4xcl4AaABAg,11,"this channel is similar to the advertising of this girl, how much she knows and knows how. respect to her, all the same, not everyone can)",这个频道类似于这个女孩的广告，她知道和知道了多少。尊重她，都是一样的，并非每个人都可以
34266,Ugxi3tlEsOdlum1V9hx4AaABAg,10,everyone through my channel but watching china tiktok videos,每个人都通过我的频道，但观看中国tiktok视频
18379,UgzCB_PORgzg3qapZMp4AaABAg,10,"this is like watching those diy woodworker channels and thinking you could do the same thing, but then realizing you need $242,000 worth of land and tools to achieve the result.","这就像看那些DIY木工频道，并认为您可以做同样的事情，但随后意识到您需要价值242,000美元的土地和工具才能实现结果。"
1191,Ugz5pJMyHYZC2mzia1h4AaABAg,10,"i found your channel in quora, because someone there recommended this channel. and now i found no regret at all subscribing this channel. sending much love to you and your granny, liziqi.",我在Quora找到了您的频道，因为那里有人推荐了此频道。现在，我完全不后悔地订阅了此频道。向您和您的奶奶liziqi发送很多爱。
26489,UgxdJlQRjMSmEdoWTzp4AaABAg,10,your channel is the most beloved! i always look at any time! thanks for your very work !!!)))),您的频道是最受欢迎的频道！我总是随时看！感谢您的工作！！）））））
17412,UgwV-uzw6206Qx2IoKZ4AaABAg.92kaKG0I8dO92oNfq9mjmd,9,"@kichayagarichaitanya8165 she is a hardworker, if you know her history and how she started her channel..then u will understand.",@kichayagarichaitanya8165她是一个勤奋的人，如果您知道自己的历史以及如何开始频道。
20287,UgzbnC94T6gIv-n__494AaABAg,9,i’m craving healthy food watching her channel.,我渴望看着她的频道健康食品。
23992,Ugyh4EPC6sE1Uziou7R4AaABAg.8zYBJ5loH278zduG-WThsa,9,@erlina5814 to be fair. her channel evolved over time. she used ice and glass and regular knives before look at her old stuff. she really transform this into an experience. a lot of hard work and detail,@erlina5814公平。她的频道随着时间的流逝而发展。在看她的旧东西之前，她用冰，玻璃和常规刀。她确实将其转变为一种体验。很多辛勤的工作和细节
30274,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39-GLYVYcWAT,9,@franzpeters3824 sorry for your loss i guess. but why is it that you spread such comments towards liziqi's channel? i saw you from other comment sections too.,@franzpeters3824对您的损失很抱歉。但是，为什么您将这样的评论传播到Liziqi的频道？我也从其他评论部分看到了您。
27620,UgzhfE1Lhy7YF1hzB4V4AaABAg,8,"i just subbed to you channel and i am amazed at your talents. the mold was broken after you were created, you are simply amazing.",我只是向您介绍了频道，我对您的才华感到惊讶。创建后，模具被打破了，您真是太神奇了。
2916,UgzHlGk1wTEg62gIeFp4AaABAg,8,"all of videos in this channel always catch my eyes every second of that.....

wonderful creation...","这个频道中的所有视频总是每一秒钟吸引我的眼睛.....

美妙的创造..."
24351,Ugy4Fq37iVHPlH74FCZ4AaABAg,8,looks appetizing. granny fed) an interesting channel,看起来开胃。奶奶喂养）一个有趣的频道
25810,Ugy0z-zy7tB7Sg_2Jih4AaABAg,8,hello i am a thai fan. i watch you every day through youtube channel and feel happy every time but i want you to speak. ok thank you,你好，我是泰国球迷。我每天通过YouTube频道看着您，每次都会感到高兴，但我希望您讲话。好的谢谢
19181,Ugz5XQwnnfJZl44kW254AaABAg,8,i don’t know how i found her channel but i’m glad i did!,我不知道我是怎么找到她的频道，但我很高兴自己做到了！
18585,Ugwa_gDXpRAQgUQomoF4AaABAg,8,the best food channel i ever saw in my entire life.,我一生中见过的最好的食物频道。
3837,Ugw2JW9dIHSFogTjR7J4AaABAg,7,"thanks to the authors and the creators of the channel. everything is interesting - nature, life, clothes, dishes, cooking. very, very interesting. thanks again!!!",感谢频道的作者和创建者。一切都很有趣 - 自然，生活，衣服，菜肴，烹饪。非常非常有趣。再次感谢！！！
2025,UgzVW-0QgsfRLOkc-0Z4AaABAg,7,i love this channel! the girl is just incredible! i admire it !!!,我喜欢这个频道！这个女孩真是不可思议！我很欣赏！！！
29417,UgzWo8pUJZSL2vo1Kpd4AaABAg,7,pewdiepie's channel comparing with liziqi is a crap,Pewdiepie的频道与Liziqi进行比较是一个废话
30229,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yvbrb0UAvD,7,do n’t talk about politics on such a sacred channel? everyone is watching the video with the attitude of appreciation and learning,巨魔工厂厂长 别在这么神圣的频道上讲政治好吗？大家都是抱着欣赏跟学习的态度看视频
20602,UgwM0BB3Iv8hOfTaLV94AaABAg,7,"i am indian 
i randomly search biggest channel of china on youtube 
and find this one very satisfying","我是印度人
我在YouTube上随机搜索中国最大的频道
并发现这个非常令人满意的"
33519,Ugxv4oAVc8cEH804hmh4AaABAg,7,i love your content sooooooo much ❤️!! it’s so satisfying. i could watch your channel for hours.,我爱你的内容太多了❤️！太令人满意了。我可以看你的频道几个小时。
21254,UgxuzJy2PzfgN-cIjOJ4AaABAg,7,"still watching in 2019...fav channel 
love from nagaland (india)","仍在2019年观看...最喜欢的频道
纳加兰（印度）的爱"
7255,UgyQRbcovcsNWpMNbcJ4AaABAg,6,"really like your videos. thank you your channel, i look with pleasure. good luck!",真的很喜欢你的视频。谢谢你的频道，我很高兴。祝你好运！
805,UgwqvrE7ebbGMuNZ7-d4AaABAg,6,i miss when i received notifications from this channel. come back soon!!!,当我收到此频道的通知时，我想念。很快回来！！！
34086,Ugw8xIAdPg2_hjwD-s94AaABAg,6,i feel more comfortable to follow this channel,我遵循这个频道更舒服
34018,UgzhqLlw1RPT7apnOpB4AaABAg.8yUW_GiXa3r8yUjTnoC6kZ,6,george costarica the ducks and chickens are livestock dude. relax - this is not the vegan channel. i like how she includes the catch and kill part because it is part of village life.,乔治·科斯塔里卡（George Costarica）鸭子和鸡是牲畜花花公子。放松 - 这不是素食通道。我喜欢她如何包括捕获和杀死部分，因为它是乡村生活的一部分。
7055,UgwE2PoCbV6_EMU4YTV4AaABAg,6,"this is one of the all-time greatest channels on youtube. if we ever had to send a capsule into space, all footage from liziqi should be in there. it's 'youtube done right', instead of all the ugliness, stupidity and filth that's usually out there for our consumption. beautiful channel. xoxo",这是YouTube上最伟大的频道之一。如果我们不得不将胶囊送入太空，那么Liziqi的所有录像都应该在那里。这是“ YouTube完成的”，而不是通常供我们消费的所有丑陋，愚蠢和肮脏。美丽的频道。 xoxo
126,UgzZOnu68sFynRTPH6t4AaABAg,5,李子柒 has been a real inspiration for us. she did a wonderful job of sharing her countryside living channel before some scummy people took her hard work and monetized themselves while ruining her. i hope she'll well.,李子柒对我们来说是一个真正的灵感。在一些笨拙的人们努力工作并在破坏她的同时，她努力工作，在分享自己的乡村生活频道方面做得非常出色。我希望她会很好。
3165,UgwOK9gMgYGEHKAX1vt4AaABAg,5,"i've been watching her channel for a long time, i have to say it's very good. i wish you good health.",我已经看了很长时间了，我不得不说这很好。祝你身体健康。
7679,UgwjOzqXfhZu_E5TQ9h4AaABAg,5,"hi liziqi, your life is so inspiring! i really enjoy watching your video. i think you are so lucky to live a life full of nature. i wish your life be more fruitful and more exciting. thank you and god bless to your channel and your family!",嗨，利兹奇，你的生活真是令人鼓舞！我真的很喜欢看你的视频。我认为您很幸运地过着充满自然的生活。我希望您的生活更加富有成果，更令人兴奋。谢谢您，上帝保佑您的频道和家人！
1023,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9f6WOui7GJr,5,"@sais55 i just know that this channel was founded first and then the company asked her to hold a contract with her, but the contract super locomotive of li zi ran to the company's liziran owned the contract was not conforming to the contract and was deceived. it is so circulating on the internet, and i don't know if it is right.",@SAiS55 这个我刚好知道 这个频道是她先创立的 然后那个公司找她 和她牵了合同 但是合同超级机车 把有关li zi ran 这个使用权给公司 任何liziran 的都归公司所有 ，与liziran 之前和公司谈的合同不符 ，被骗了。网上是这么流传的，我也不知道对不对。
25855,Ugy6jBzeF2W5U0OobSl4AaABAg,5,"this is a wonderful channel. i wish, though, we could get someone to narrate or translate, in english, and explain the recipes.",这是一个很棒的频道。不过，我希望我们可以让某人用英语叙述或翻译，并解释食谱。
28290,UgzBeOl07MgSJcYe3894AaABAg,4,"wow! 
amazing! 
we are so blessed to have your channel. thank you! ♥
moira 
from england.","哇！
惊人的！
我们很幸运能拥有您的频道。谢谢你！ ♥
莫伊拉
来自英国。"
12710,UgzQgS0dIddq6nW3-R14AaABAg.96Oem-QJ_LG96WK3tESteH,4,"i think the yt channel ""goldthread"" has some content and interviews with her!!",我认为YT频道“ Goldthread”有一些内容和与她的访谈！！
1022,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9f6CcxlYfLN,4,"this channel was probably created by her cooperative company, not her own. unless the court judged that the channel was owned by her own, otherwise it would probably not post a video here.",这个频道大概也是她合作公司创的，不是她本人的，除非法院判决这个频道归她本人所有，不然大概不会在这边发影片了。
33659,UgxFyDDM9XsX0q0evCx4AaABAg,4,it made me happy everytime i got notif from ur channel,每当我从Ur Channel
12044,UgwDZ1mRHX4myouBujF4AaABAg.9744unMbb-s9EkKCpRl5dh,4,"she isnt an actress, but she is famous in china and even all over the world through her youtube channel.",她不是女演员，但她在中国甚至通过YouTube频道在世界各地闻名。
2591,UgyGlJW8MhoEzdZZAgJ4AaABAg,4,she's really amazing.. i love all of her videos & always support this channel,她真的很棒。我喜欢她的所有视频，并且总是支持此频道
25500,Ugxkaczi3rRY4eft6Y54AaABAg.8z1M5cLp9qc8zAmVy8ZK4_,4,@saddleboi7601 how does she check her youtube channel then?,@saddleboi7601她如何检查YouTube频道？
31126,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO88yWSLd5yEjg,4,"if you are really into chinese cooking, there is a channel for you by the name of ""souped up recipe""",如果您真的喜欢中文烹饪，那么您就有一个名称为“汤汤”的频道
31480,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yVxeyEOjfT,4,"no...she is a paid actress
and this channel is a product from a company","不...她是一个有偿女演员
这个渠道是公司的产品"
5328,UgyWAQvyj3pb_moqy7J4AaABAg,4,"liziqi: gets more than 2m++ views for each of her video
everyone else: commenting bout their opinion
while;
me:thinking how much that she got for her channel for this past 3 years till now.lol
*sorry my eng is not perfect*","Liziqi：她的每个视频都能获得超过2M ++的视图
其他所有人：发表评论
尽管;
我：思考她过去三年来她为自己的频道得到了多少
*对不起，我的英语不是完美的*"
11482,UgzR0OW8k9dCN0m1oNJ4AaABAg,3,wow...i'm new to this channel and you are so beautiful and talented. i enjoy your videos and food. i love your culture and country. so so beautiful !,哇...我是这个频道的新手，您是如此美丽和才华。我喜欢你的视频和食物。我爱你的文化和国家。如此美丽！
6405,Ugzf70cPsPH67pHqP_d4AaABAg,3,"this is one of the nicest channels i have ever watched. seems perfect, almost like a video game.",这是我看过的最好的频道之一。看起来很完美，几乎就像电子游戏。
5116,UgzHapYJAbmcj4eq3kt4AaABAg,3,"ok i have watch different recipe on bamboo shoot,from sros ,her and 2 other asians girl but the varieties but the complex and varieties in her channel is unique to her ,and yes i found a different cooking with the same ingredients. although they are all asians.that is beautiful.",好的，我看过与Sros，她和其他2个亚洲女孩的竹脚芽的不同食谱，但是品种，但是她的频道中的复杂和品种对她来说是独一无二的，是的，我发现了另一种用相同的食材烹饪。尽管他们都是亚洲人。这很漂亮。
25802,UgwKoiT4vIVqpqlYTel4AaABAg,3,you are living a life so connected to nature and it's inspiring me so much! thank you for creating your channel!,您过着与自然有联系的生活，这激发了我的激励！感谢您创建频道！
12285,UgwGKHdXaxgn3fpwnGh4AaABAg,3,"i didn't know her channel when i was living in china, now i'm in switzerland, living chinese food so much and wanna learn a few dishes myself, i discovered her channel. so amazing...thank you, ziqi :)",当我住在中国时，我不知道她的频道，现在我在瑞士，在中国食物中过得很愉快，想自己学习一些菜，我发现了她的频道。太棒了...谢谢Ziqi :)
22320,UgxvOcsgSWOIVbVyCsB4AaABAg,3,i love that when this channel started she did everything so gracefully and now we get to watch her aggressively rip things from the ground.,我喜欢这个频道开始时，她做得如此优雅地做了一切，现在我们可以看着她从地面上积极地撕开东西。
33503,Ugxj88EPcQtPn_--TQJ4AaABAg,3,one of the most beautiful relaxing channels i watch thank you for your hard work and dedication,我观看的最美丽的放松频道之一谢谢您的辛勤工作和奉献精神
32059,UgxdEhj-cZs-wEm9c4x4AaABAg.8yV0EYhRV0B8yVSkmhup7l,3,"@katelyn252 i discovered her channel just after she started procrastinating it. at the time she had less than 250 thousand followers. 

she did all the work herself in the beginning. as she became more popular they discovered she was being stalked (jealous people i guess), she added a camera assistant and now there are 4 people, her included, that make up her small crew now. 

will that grow bigger, that's up to her. personally i like the small format, makes it more personal for the viewers.","@katelyn252我开始拖延了她的频道。当时她的追随者不到25万。

她一开始就做了所有工作。当她变得越来越受欢迎时，他们发现自己正在缠扰（我猜是嫉妒的人），她增加了一个相机助手，现在有4个人（包括她）现在构成了她的小型船员。

那会变得更大，这取决于她。我个人喜欢小型格式，使观众更具个性化。"
15892,UgwFl1E_w9r47AutTh14AaABAg,3,"finally i found your channel youtube... natural and amazing i wish to live like this , i am in love with this kind of life",最后，我找到了您的YouTube频道...自然而神奇的我希望这样生活，我爱上了这种生活
21724,UgwW7Oa1fPxehQYBDYd4AaABAg,3,second video i see from this channel and i'm already in love,我从这个频道中看到的第二个视频，我已经恋爱了
24194,Ugz5zEh-f60meazAxZ94AaABAg,3,"aah delicious food . i can feel the aroma from my phone . 
nice channel . nice spirit.","aah美味的食物。我可以从手机上感觉到香气。
不错的频道。好精神。"
14449,UgwPhI7ZQfU02OQjq2Z4AaABAg,3,subscribed! i'm in awe of your channel. it's like a dream!,订阅！我敬畏你的频道。就像一个梦！
14928,UgzJpaHQ54xSw79gzK94AaABAg,3,she's a genius. like her channel.,她是个天才。像她的频道。
33007,UgyWGxEhpXc4O4vdwNZ4AaABAg,3,yesterday onward i seen the vedio in other channel liziqi ur vedio leak,昨天，我在其他频道Liziqi ur Vedio泄漏中看到了Vedio liziqi ul vedio。
10099,Ugx2Vh8UBoQsUBoyJJN4AaABAg,2,"hi, i'm alex, i am sick and i don't go to work, so i decided to create a youtube channel. i know i am not good at providing content, but i hope to get your support subscription channel, thank you",嗨，我是亚历克斯 我生病了并且不上班，所以我决定创建一个YouTube频道 我知道我也不擅长提供内容，但我希望得到您的支持 订阅频道，谢谢
