,cid,votes,time,含wonderful,含wonderful中文翻译
48773,UgyO-IXmSf4UQ1Ic1nZ4AaABAg,0,4 years ago,happy new year and you are wonderful :)),新年快乐，你真好:)）
48728,Ugxc7hCpITbRWvCequF4AaABAg,0,4 years ago,wonderful...,精彩的...
48712,UgzhL5kdhe_874_fpqt4AaABAg,0,4 years ago,"you are a unique man who in the most poetic way can show what we all miss so much. in poland, our kitchen is not as complicated as yours, but if you would like to try it, i invite you to visit me in the polish countryside. i greet you cordially and thank you for this wonderful movie.",您是一个独特的人，以最诗意的方式可以展示我们都非常想念的东西。在波兰，我们的厨房不像您的厨房那么复杂，但是如果您想尝试一下，我邀请您在波兰乡村拜访我。我亲切地向您致意，感谢您的这部精彩电影。
48329,UgytMuAAuZmK3eq-wQ14AaABAg,0,4 years ago,"the videos of this channel bring me a lot of peace!
wonderful job.","这个频道的视频给我带来了很多和平！
出色的工作。"
48241,Ugyg3vZHZXCLLvMS8gh4AaABAg,0,4 years ago,"great, excellent, wonderfull",伟大，出色，很棒
48069,UgyFkRxruq-EQ9GqdKF4AaABAg,0,4 years ago,wonderful,很棒
48033,UgxoBbXIAfrGOXP0IWF4AaABAg,0,4 years ago,such a wonderful channel in youtube and the best.. u make me calm... thank u for this video,在YouTube和最好的频道中如此出色的频道..您让我冷静...谢谢您的视频
47887,Ugzxb8ONs_4gXn8MIRV4AaABAg,0,4 years ago,wonderful woman,了不起的女人
744,UgwQmYXMzR0K22mSXSB4AaABAg,0,5 months ago,wonderful and beautiful cooking you,美妙而美丽的烹饪你
49839,UgzC5lRwFmCZb_u3oNR4AaABAg,0,4 years ago,wonderful,精彩的
49919,UgzRieqdwzqW2c510ul4AaABAg,0,4 years ago,wonderfullll,奇妙
49928,Ugx_0NARAZKVYagOcCB4AaABAg,0,4 years ago,"oh god, what a wonderful life for you curses abu al -tahdar, al -madinah and al -zabat. their life is a paradise and all the food is from nature, as i am my lord",哦，天哪，对你来说，真是美好的生活，诅咒阿布·阿尔·塔赫达尔，阿尔 - 马迪纳和al -zabat。他们的生活是天堂，所有的食物都来自自然，因为我是我的主
50050,UgwskEGidU9luvrNW3d4AaABAg,0,4 years ago,very talented young lady! it is wonderful how she cares and respects grandmother!,非常有才华的小姐！她如何关心和尊重祖母真是太好了！
52903,UgzTXhmFgnPAzKtcvu54AaABAg,0,4 years ago,"wonderful
iam russia","精彩的
Iam俄罗斯"
52717,UgxwP1U6FtauTlmleMB4AaABAg,0,4 years ago,everything you do seems to be wonderful. i want to have lunch with you one day to eat your delights. congratulations.,您所做的一切似乎都很棒。我想有一天和你共进午餐，吃你的乐趣。恭喜。
52601,UgyVK-hm92xqwMpJLIh4AaABAg,0,4 years ago,i always wonder why they don't touch the skin of that fruit. is it itchy or something? please tell me in a nice way. tsk. anyway. your video is great! thank you for uploading such a wonderful video. it calms me down. i love you. :),我总是想知道为什么他们不碰到那种水果的皮肤。是痒吗？请以一种很好的方式告诉我。 TSK。反正。您的视频很棒！感谢您上传如此精彩的视频。它使我平静下来。我爱你。 :)
52537,UgzPrB6jJLdIb_wUg854AaABAg,0,4 years ago,a wonderful normal life,美好的正常生活
52481,Ugxy7O5zdbulgMUpb1p4AaABAg,0,4 years ago,thank you for this wonderful video... evry time i m wching that cute puppys,谢谢您的精彩视频... evry Time，我想起那只可爱的小狗...爱你...来自印度喀拉拉邦。
52279,UgzDELAotxtU-kRDeW54AaABAg,0,4 years ago,so peaceful . what a wonderful life. love your. videos,很平静 。多么美好的生活。爱你的。视频
52210,UgyPHZKJeWbazM4uZnt4AaABAg,0,4 years ago,"good morning
wonderful ❤❤❤","早上好
很棒"
51970,UgxZjMXuNr3VWvzlkCx4AaABAg,0,4 years ago,"you are amazing woman. i really happy see u , take care of your grandma. hope you have wonderful chinese new year. and prosperity and happiness always surround you. gbu",你是很棒的女人。我真的很高兴见到你，照顾你的祖母。希望您有美好的农历新年。繁荣和幸福总是包围你。 gbu
51943,UgzZAojlBjIqb_GlRpt4AaABAg,0,4 years ago,wonderful!,精彩的！
51871,Ugxhz94ELX06mkfmDtF4AaABAg,0,4 years ago,"the splendor of the wonderful living, the best of the world is the world, i live",美好生活的辉煌，世界上最好的是世界，我活着
354,UgyJmQ-Vr8ynp85JQVV4AaABAg,0,2 months ago,something is very beautiful and very wonderful. your follower from iraq. i would like more ❤❤❤,有些东西非常美丽，非常美妙。您来自伊拉克的追随者。我想更多❤❤❤
51637,UgwoAwjkZZ2q_sfW9O94AaABAg,0,4 years ago,you and nature is a great wonderful wonderful i wish i could have a law,你和大自然是一个很棒的美妙，我希望我能有法律
51621,UgzgcuKXSTgy3S271-14AaABAg,0,4 years ago,u are an angel your videos are amazing thank you soo much for given this wonderful vedios and happy chainees new year,你是一个天使，您的视频很棒，感谢您对这个美妙的Vedios和快乐的Chainees新年
51308,Ugz4eJvE4oe3z0YQpZl4AaABAg,0,4 years ago,look what a wonderful place !! what beautiful animals! what a wonderful recipe! bjs from brazil,看看一个很棒的地方！什么美丽的动物！多么美妙的食谱！来自巴西的BJ
51035,UgycKfwzuYcMmZJGMRh4AaABAg,0,4 years ago,"you have a wonderfull life sist,fan from indonesia",你有美好的生活，来自印度尼西亚的粉丝
51010,Ugzh2mSdgV7N3Raxr014AaABAg,0,4 years ago,so wonderful like from morocco,像摩洛哥一样很棒
50940,Ugw6yFmj4ZDr3xOx7b14AaABAg,0,4 years ago,wonderful (y),很棒（Y）
612,UgzqDslBCMaxtws5YVV4AaABAg,0,5 months ago,wonderful,精彩的
50770,UgxEMMsgx1SNBQkYCcR4AaABAg,0,4 years ago,"you are so beautiful, thank you for these wonderful videos.",您是如此美丽，谢谢您的精彩视频。
50677,UgxZO1GIspzFljujB2d4AaABAg,0,4 years ago (edited),"simply fantastic as always! unbelievably great. but why this distracting not fitting music? your wonderful videos with pure working/cooking sounds are much better in my opinion respectively for my kind of taste. nevertheless: thanks a lot for making, taping, editing, uploading and sharing.",一如既往的奇妙！令人难以置信的很棒。但是为什么这种分散注意力不适合音乐呢？在我看来，您对我的品味分别使用纯净的工作/烹饪声音的视频分别更好。但是：非常感谢您的制作，录音，编辑，上传和共享。
50627,UgzIkhCV3elocb4bkT94AaABAg,0,4 years ago,happy chinese new year to year. hoping that you have wonderful year ahead ❤️,农历新年快乐。希望您能在美好的一年
50556,UgwoZlVfMh7izkGjbhJ4AaABAg,0,4 years ago,wonderful,精彩的
50538,UgwBxqMfm72rsnhyZoV4AaABAg,0,4 years ago,wonderfulness of the most beautiful place and creativity,最美丽的地方和创造力的奇妙性
50239,UgyRpjDsW1L2rLXqoeh4AaABAg,0,4 years ago,wonderful work art...i need someone just like u to work for my restaurant...nice enjoy it.,出色的工作艺术...我需要像你这样的人来为我的餐厅工作...非常享受它。
50238,Ugyd_Jt3VfAsxptPqzx4AaABAg,0,4 years ago,"who shoot all this will be, some brother? it is wonderful",谁会拍摄所有这些，有些兄弟？这真是棒极了
47565,UgygJUdGEjgolUeWxtx4AaABAg,0,4 years ago,"great, excellent, wonderfull.",太好了，很棒，很棒。
47529,Ugx0_Tpwpksv-GUcYvt4AaABAg,0,4 years ago,"happy chinese new year! i was surprised at the beauty of this video. probably it was fun to see various chinese sweets that have been around. the high artificiality of the video and the unique view of the world are wonderful. anyway, women are very beautiful.",农历新年快乐！我对这个视频的美丽感到惊讶。看到周围有各种中国糖果很有趣。视频的高度人为性和世界独特的景色是很棒的。无论如何，女人很漂亮。
47365,UgyeCl8ZcapDD1S1zKJ4AaABAg,0,4 years ago,"my sister, you are wonderful, halal",我姐姐，你很棒，清真
44620,UgwMBDqos42RjjTr5lV4AaABAg,0,4 years ago,❤ hi i am argentinian. i love your videos. you are wonderfull good bess you.,❤嗨，我是阿根廷人。我爱你的视频。你真是太好了。
44525,UgyvhEgfHoKpyxNyZVh4AaABAg,0,4 years ago,how is this wonderful girl and why i dont hear more about her???,这个很棒的女孩怎么样？为什么我听不到更多关于她的信息？？？
44493,UgytBCkPhkQ9_tAYHPd4AaABAg,0,4 years ago,this is so wonderfully relaxing to watch.,这真是太放松了。
44433,UgxppsQH8M5Yy2VBO-J4AaABAg,0,4 years ago,"all is just perfect: wonderful nature, beauuuutiful girl, but hard worker and she know how to love her homeland! chapeau!!!! my respect!!! ❤️ geeetings from belgade, serbia",一切都是完美的：美好的天性，美丽的女孩，但是勤奋的人，她知道如何爱她的家园！ Chapeau !!!!我的尊敬！！！ selbia Belgade的Geeetings
44315,UgwoxZ1i87qZjjoJ-nh4AaABAg,0,4 years ago,"this is a beautiful video.
you and grandma are wonderful people. thanks for letting me share your day.
greetings from canada.","这是一个美丽的视频。
你和奶奶是很棒的人。感谢您让我分享您的一天。
来自加拿大的问候。"
44221,Ugws8xNjASG8RjfwV4l4AaABAg,0,4 years ago,"like a ghibli world, it's wonderful",像吉卜力世界一样，真是太好了
44199,Ugx2teqkJzvBW07ky-h4AaABAg,0,4 years ago,"it is healed by the clean scenery and the colorful of the ingredients, and the skill is good.
it's a wonderful video","它通过干净的风景和色彩丰富的成分来治愈，技能很好。
这是一个很棒的视频"
44141,Ugwik1EIXjvdZLjx2GZ4AaABAg,0,4 years ago,it is wonderful .,这真是棒极了 。
44128,UgyGdq91MnRrYo1IoYt4AaABAg,0,4 years ago,wonderful girl!),很棒的女孩！）
43913,UgwSelW2QZ7WMfP4mTN4AaABAg,0,4 years ago,amazing girl and wonderful dogs,惊人的女孩和美妙的狗
43844,Ugz6yWLvtBXnXBdQB3Z4AaABAg,0,4 years ago,wow..wonderful girl..,哇..闻名的女孩..
954,UgwsgTfSBliikw-qMRh4AaABAg,0,7 months ago,wonderful video.....i love,很棒的视频.....我爱
43822,Ugz3qq6VvJkZeg6WVsV4AaABAg,0,4 years ago,"beautifull! 
(i need you translate youtube, please!) 
wonderful knowledge of other cultures","美丽！ 
（我需要你翻译YouTube！）
其他文化的奇妙知识"
43672,Ugz7bNOzHzjG-ekqhBB4AaABAg,0,4 years ago,the wild installments are wonderful,野外分期很棒
43667,UgzbHAam_UDv4xx2qH54AaABAg,0,4 years ago,wonderful!!! yesterday i saw this video. i fell in love with your channel. i am your subscriber already. what a beautiful place where you live and what a beautiful young man you are. thanks for sharing everything. i love nature and your funny animals relax your videos a lot for the rhythm of life. greetings from el salvador america central.,精彩的！！！昨天我看了这个视频。我爱上了你的频道。我现在是您的订户。您住的地方多么美丽，您是一个美丽的年轻人。感谢您分享所有内容。我喜欢大自然，您的有趣动物在生活的节奏中非常放松您的视频。来自El Salvador America Central的问候。
43650,Ugy3Vawzw1Mm5FBqsh14AaABAg,0,4 years ago,"these videos are beautiful. in addition to showing how real chinese dishes are prepared, you can see a wonderful nature. a huge greeting from italy",这些视频很漂亮。除了显示真正的中国菜肴的准备方式外，您还可以看到一种美妙的本性。来自意大利的巨大问候
1287,Ugyxte63M_61IgugGx94AaABAg,0,10 months ago,you are a beautiful woman. it brings peace to see a face as wonderful as yours,你是个美丽的女人。看到一张像你一样美妙的脸，这使和平
43631,UgwMdkY2v_34tvFt5FR4AaABAg,0,4 years ago,"wonderful world, except the beef jerky. loved animal all around and than eating them...",美好的世界，除了牛肉干。在周围和吃它们的地方都爱动物...
43584,UgzNYh4x3RONgQKfAi14AaABAg,0,4 years ago,you are wonderful ... we love you ...,你很棒...我们爱你...
43311,UgzheHQ_twpqWvJo-XR4AaABAg,0,4 years ago,"i hope and i am living with you is the most wonderful place and living style in this wonderful, but i can't because of lack of money.",我希望和我和你一起生活是这个美妙的最美妙的地方和生活方式，但我不能因为缺乏钱而不能。
43282,UgzQKtjY64DBWWzPPc94AaABAg,0,4 years ago,wow . what a wonderful life... so natural and surely you will never go hungry.,哇 。多么美好的生活……如此自然而肯定永远不会饿。
43117,UgxqZbatEnW84URLlQN4AaABAg,0,4 years ago,wonderful,精彩的
43107,UgzZWOgIzo4bYejn4Qx4AaABAg,0,4 years ago,"she’s living my dream. 
i always dream to have a life like that, simple but, wonderful.","她是我的梦想。
我总是梦想着拥有这样的生活，很简单，但很棒。"
42917,Ugzf5ym_8_sirdGtSnl4AaABAg,0,4 years ago,wonderful ~,太好了〜
42773,UgzQgY24TvWtWijfq094AaABAg,0,4 years ago,wonderful,很棒
1349,UgwLKOp_V_XS2yMV6qV4AaABAg,0,10 months ago,that's wonderful..,那好极了..
44535,Ugwq27U0SqVChD3u2XF4AaABAg,0,4 years ago,very soothing experience. the dogs and sheep are so cute and your process of preparing the chinese delicacies is wonderful experience.,非常舒缓的经历。狗和绵羊是如此可爱，您准备中国美食的过程是很棒的体验。
44857,UgxJ4uoRzTAT9EpdArh4AaABAg,0,4 years ago,wonderful place for living!!,生活的好地方！
47282,UgxcDn5cXPE8DRbPwp14AaABAg,0,4 years ago,you are really one of the greatest women and an example to follow you are wonderful and creative i hope to like you one day,您确实是最伟大的女人之一，也是跟随您的榜样，我很棒，很有创造力，我希望有一天喜欢您
45027,UgwPrw6ADxbt9Bk65sh4AaABAg,0,4 years ago,wowwwww. wonderful time,哇。美好的时光
47195,UgwdhJh80mCsAbmX0xl4AaABAg,0,4 years ago,what wonderful looking treats...,多么美妙的零食...
47190,UgzNp1CwaRpa5L_-ir94AaABAg,0,4 years ago,wonderful,精彩的
47174,UgyZ1eTjdS7iMhN3s2h4AaABAg,0,4 years ago,"this can't be real. nobodies life is that perfect! a very wonderful, well done high quality video!",这不是真实的。 Nobodies的生活就是如此完美！一个非常精彩的高质量视频！
46956,UgzSjzbzR3Lx27R5oSR4AaABAg,0,4 years ago,this part is wonderful.. i love u so much and lhope speak with you ❤️,这部分很棒。我非常爱你，与你说话❤️
46883,Ugw_zABY3I0zhu0ImtV4AaABAg,0,4 years ago,so wonderful,如此精彩
46720,UgykAA-bFRV96svRl-94AaABAg,0,4 years ago,"i subscribed without understanding what they say, but i really liked their videos, that i would know these wonderful places and customs, very natural meals without conservatives, already look at almost all the videos, they are very relaxing ..... :)",我订阅了不了解他们说的话，但我真的很喜欢他们的视频，我会知道这些奇妙的地方和习俗，没有保守派的非常自然的餐点，已经看过几乎所有的视频，他们非常放松..... :)
46703,Ugz_8SX3QOpX0fYGtUV4AaABAg,0,4 years ago,i'm in love with you 's a wonderful i couldn't stop watching,我爱上了你。这是一个很棒的我无法停止观看
46683,Ugw7T92Y_ai6mMbwqzx4AaABAg,0,4 years ago,oh! you're really a wonderful girl!,哦！你真的是一个很棒的女孩！
46591,UgyZzau8MP_slyZ0jCh4AaABAg,0,4 years ago,wonderful video! small -loving people! ♥,很棒的视频！小的人！ ♥
46544,UgyIS5_AQ3A3Bu-6I-h4AaABAg,0,4 years ago,wonderful video !!! i looked with the fire pleasure! why with a light raid sad? ..,精彩的视频！！！我用火愉快地看着！为什么轻轻袭击悲伤？
46402,Ugy-4C6CuzD3USVB5UB4AaABAg,0,4 years ago,just wonderful,只是很棒
46358,UgyF5kREauo9nneuFXl4AaABAg,0,4 years ago,thank you for another beautiful video. i always feel so in touch with nature watching your videos. it would be a wonderful experience to be able to spend some time with you cooking and learning some of your traditions.,谢谢您的另一个美丽的视频。我总是与观看您的视频保持联系。能够花一些时间与您一起做饭和学习一些传统，这将是一次很棒的经历。
46219,Ugz1aYUFvTHens79FMt4AaABAg,0,4 years ago,"wow, you are wonderful",哇，你很棒
46148,UgyRoXx5nlliVFSFpqF4AaABAg,0,4 years ago,"today, in the market, the ministry has signs with a music, which says: your silence corrode me! and i was worried about you. i mean that if you have been disturbed by the ministry, because of me; i want you to become neutral, society, make signs good, but it is to cause the impression that there are a lot of good people, but things never appease. stay neutral in the future we can be happy just. if it doesn't work; i want you to know, that life in the countryside, is a wonderful life that many wanted to have. you are already happy and do not know, the nausea of ​​this monotony, makes you not realize so much happiness, you can realize this happiness, watching the needy or hell in my life. and even if i had a good financial life, my life, it was going to be almost the same as yours, the difference is that i would have money to buy things, kkkkk. glad you like me, i like you too. it gets neutral, i'm over, just watch, knowing that only god, you know tomorrow. keep reflecting good things. a hug, dear.",今天，在市场上，该部的迹象带有音乐，上面写着：您的沉默腐蚀了我！我担心你。我的意思是，如果您因我而受到事工的干扰；我希望您变得中立，社会，使迹象变得良好，但这是因为有很多好人的印象，但是事情永远不会安抚。将来保持中立，我们可以快乐。如果它不起作用；我想让您知道，乡村生活是许多人想要的美好生活。您已经快乐，不知道这种单调的恶心，使您没有意识到这么多幸福，您可以意识到这种幸福，看着我生活中有需要的人或地狱。即使我过着良好的财务生活，我的生活，也将与您的生活几乎相同，不同的是，我将有钱买东西，kkkkk。很高兴你喜欢我，我也喜欢你。它变得中立，我已经结束了，只是看着，知道只有上帝，你明天就知道。继续反映美好的事物。拥抱，亲爱的。
46112,UgxJbHi6F5U36oPGlqN4AaABAg,0,4 years ago,"i love this youtube channel, it transmits tranquility, although life in the field can be complicated, it is wonderful that they can share part of their days",我喜欢这个YouTube频道，它传递了宁静，尽管在野外的生活可能很复杂，但他们可以分享一部分时代真是太好了
46063,UgwsCNWF62WUWYe8VQt4AaABAg,0,4 years ago,i would love to spend my time over there ! such a simple life yet such a wonderful life ! please invite me :),我很想花时间在那儿！如此简单的生活，却如此美好的生活！请邀请我:)
45774,Ugx1DOJSF3WKoLxIV7t4AaABAg,0,4 years ago,wonderful,很棒
45717,UgwQAa0DuGT4NjGhN8h4AaABAg,0,4 years ago,wonderful what is the most beautiful nature and its products,很棒的是最美丽的大自然及其产品
45691,UgxdSuXYVLj8ubQGn_h4AaABAg,0,4 years ago,wonderful,很棒
45652,UgzVlbS5rNe672N3PN14AaABAg,0,4 years ago,wonderful landscapes,美妙的风景
45491,UgxglR6Jm_CUvQrL5T94AaABAg.8r3ZX_2tI028r7P9MN6Xz4,0,4 years ago,"yes, a wonderful country",是的，一个很棒的国家
45479,UgyyUqGPK0x77WWc-cF4AaABAg,0,4 years ago,wonderful .... everything is beautiful .....,太好了....一切都很漂亮.....
45313,UgxKY-GvAAy0HN-VFOB4AaABAg,0,4 years ago,everything is wonderful.,一切都很棒。
45282,UgyojiYRCBCf6-KK7BF4AaABAg,0,4 years ago,"bro, what a wonderful place, even without understanding anything written is very good to see videos like that, pass a peace",兄弟，即使没有理解任何书面的东西，也很高兴看到这样的视频，这是一个很棒的地方
45225,Ugxau9ZgWj-YwM0XMGx4AaABAg,0,4 years ago,i'm not from china but this made it feel like a home. thank you for such a wonderful video. it is wonderful from every aspect. :),我不是来自中国，但这使它感觉像是家。谢谢您的精彩视频。从各个方面来看，这都是很棒的。 :)
37098,Ugy1Zq1akzwHyN6AoZ94AaABAg,0,4 years ago,"so wonderful video why 7n dislike ,so sad",如此出色的视频为什么7n不喜欢，如此难过
2949,UgyfoTXysMYacEJ8CWF4AaABAg,0,1 year ago,"ly tu that: the girl from poor and unhappy, introducing rural life and traditional chinese food to the world.

and what else? why do you have 16 million sub.

very talented, overcome difficulties, commendable, wonderful!","ly tu：来自贫穷和不开心的女孩，向世界介绍了农村生活和传统的中国菜。

还有什么？为什么您有1600万个子。

非常有才华，克服困难，值得称赞，很棒！"
36833,Ugw4pN2F1ELxSuo0VFl4AaABAg,0,4 years ago,what a wonderful life! i imagine she makes it look easier than it is though...,多么美好的生活！我想她使它看起来比以前容易...
14319,UgxLn112gJ9XXQVQ9mF4AaABAg,0,2 years ago,wonderful,精彩的
17742,UgyP4A1HPewBbiqkcaV4AaABAg,0,3 years ago,"where 's she live, her life so amazing , what a beautiful place and she is a wonderful girl .",她住的地方，她的生活如此神奇，多么美丽的地方，她是一个很棒的女孩。
17715,UgzGddk23B5-5vxcSQ14AaABAg,0,3 years ago,"wow, something above the imagination, the magic of nature is wonderful",哇，超越想象力的东西，大自然的魔力很棒
17697,UgzwcTLyIEZvVb0FlK14AaABAg,0,3 years ago,wow wonderful ❤️ content,哇很棒❤️内容
17536,Ugw6R1Tivcx8dlwCYcd4AaABAg,0,3 years ago,wonderful,很棒
17400,UgwR6XBNyG--9EYt_AB4AaABAg,0,3 years ago,"i know space, your home, your region is wonderful! a paradise on earth! just one question ... do you give food to your animals and dogs what a moment? they look hungry kkkk",我知道空间，您的家，您的地区很棒！地球上的天堂！只是一个问题...您是否给动物和狗吃食物，这片刻是什么？他们看起来饥饿
17134,UgzzBjFkA4n081Dk0mF4AaABAg,0,3 years ago,"i wish i could have life like you, so wonderful",我希望我能像你这样的生活，真是太好了
17028,UgzsdlRlUzv0lBWzenJ4AaABAg,0,3 years ago,no wonder they live a wonderfull life,难怪他们过着美好的生活
2811,UgzHNEsrKpilMQ__1m14AaABAg,0,1 year ago,wonderful !,精彩的 ！
16788,UgypaqHWtcIh5Yf3nGh4AaABAg,0,3 years ago,how wonderful,多么美妙
16677,UgwRGQ4EmUtRn92QMSx4AaABAg,0,3 years ago,"wonderful girl, can you interact with me on my page, please",很棒的女孩，你能在我的页面上与我互动吗？
16605,Ugx_T2cJ3T9NhXJKefZ4AaABAg,0,3 years ago,this is probably the garden in the clouds .. so wonderful,这可能是云中的花园..太好了
16342,UgzrNSwpxNdUSGMZgZt4AaABAg,0,3 years ago,wonderful,很棒
16287,Ugx5BJn9gC8Tc3rjZhx4AaABAg,0,3 years ago,wow their life is wonderful . i also like a life like her . she is so happy . i love nature a lot . but the modern technology is a very bad thing . may be there are good effect also . but the nature is wonderful amazing . there is no words to discribe that .,哇，他们的生活很棒。我也喜欢像她一样的生活。她很高兴。我非常爱大自然。但是现代技术是一件非常糟糕的事情。可能也有很好的效果。但是大自然真是太神奇了。没有话可以归因于此。
16211,UgyGkfci-vd0Xg6uzFN4AaABAg,0,3 years ago,"watching her channel from only 1.2 million sub. only 2 years, now 10 million sub. i really like watching the beautiful idyllic in her videos. she is a wonderful girl. wishing you and her always healthy and happy ❤️❤️❤️❤️❤️",看着她的频道只有120万个子。仅2年，现在1000万个子。我真的很喜欢在她的视频中观看美丽的田园风光。她是一个很棒的女孩。祝你和她永远健康快乐❤️❤️❤️❤️❤️❤️
16148,Ugx_Aoe07YEZJV2tY6N4AaABAg,0,3 years ago,wonderful this lady,这位女士很棒
16081,UgwTR4KxPz1CNSoCngt4AaABAg,0,3 years ago,she is wonderful and beautiful and beautiful,她很棒，美丽和美丽
15369,Ugw6CEJhmfX_IDBBHxB4AaABAg,0,3 years ago,"this girl is beautiful, good at labor, and has a wonderful wife.",这个女孩很漂亮，擅长劳动，有一个很棒的妻子。
15318,Ugyp8No7Wt3zDgMjNi14AaABAg,0,3 years ago,"wow, how delicious! such wonderful, inspiring videos!",哇，多么美味！如此精彩，鼓舞人心的视频！
15316,UgzxI2UFRCDopHKJuRx4AaABAg,0,3 years ago,"fantastic snacks ...
everything liziqi does is wonderful !!!
i would like to see a video where you can see what you feed and caress your puppies, is it possible?
thank you!!!
conxita ^: ^","很棒的小吃...
Liziqi所做的一切都很棒！！！
我想看一个视频，您可以看到您的幼犬喂食和爱抚您的幼犬吗？
谢谢你！！！
conxita ^： ^"
15278,Ugyk6NTk-BU2L5kYqIN4AaABAg,0,3 years ago,the wonderful content has expanded to this day. religious beliefs of various martial arts. the performance of product insurance resources that have been seriously affected has greatly reduced proliferation. the suspension of the financial marketing will be suspended is the influence of the premeditated crime method of the incidence of crimes in the incident of many disaster -oriented casualties.,真是精彩内容扩大到至今。各门派的宗教信仰人物。遭受严重影响的产物保险资源业绩大幅减少增殖。金融市场营销会遭遇停工是您们群组成员不伦不类所造就不少祸端伤亡事件发生率的预谋犯案手法相当大的影响力。
15264,UgwsRIrM84az2pwVyrZ4AaABAg,0,3 years ago,wonderful china,美妙的中国
15145,UgyOyetyx71J6TT2m2d4AaABAg,0,3 years ago,"i follow you from argentina, i congratulate you for everything you allow us to enjoy, wonderful !!!",我从阿根廷跟随你，我祝贺你允许我们享受的一切，很棒！！！
14883,UgxU9dy4MneOvKqZ-XB4AaABAg,0,2 years ago,beautiful video. where did all the wonderful treats go?????,美丽的视频。所有美好的零食都去了哪里？？？？
17754,UgxeebIRdTNXg_CsWRx4AaABAg,0,3 years ago,"wao! i was happy to listen to the old music , it was wonderful",哇！我很高兴听旧音乐，真是太好了
17792,UgyusPyQ9zd5zpmRM8V4AaABAg,0,3 years ago,"wonderful ,,,,,,, how, you live in winter?","奇妙，,,,,，您如何住在冬天？"
18183,UgxnzosV_kNuR30JAe54AaABAg,0,3 years ago,fascinating imaginary and wonderful world of her....,她迷人的想象中和美好的世界。
20005,UgySnGrTcOV4TWSXP9J4AaABAg,0,3 years ago,wonderful i really like to watch.,很棒，我真的很喜欢看。
20622,UgwUe77lbM6av_C-KZR4AaABAg,0,3 years ago,such a wonderful view nd dish like dream world i want to go there nd i want to meet u,如此美妙的菜肴，例如梦想世界，我想去那儿，我想见你
20436,UgytwvpPqSYOpvtw0NF4AaABAg,0,3 years ago,whata a wonderful life,什么美好的生活
20345,Ugxd_U4_q-uC1llmqWl4AaABAg,0,3 years ago,wonderful,精彩的
20264,UgyitDfiQCeAjwUbkO14AaABAg,0,3 years ago,very wonderful,非常好
20162,UgzpDQ5sNe2vGgcljs54AaABAg,0,3 years ago,"wonderful, i love your style and style of living more than distinctive ,,,, think so about the continuation of the rest of my life.",太好了，我喜欢您的风格和生活方式，而不是独特的，又对我余生的延续如此思考。
20132,Ugysg6b41EmONYbRJst4AaABAg,0,3 years ago,what beauty of place ... their custom they prepare is wonderful ... greetings from argentina,什么地方的美丽...他们准备的习俗是很棒的...来自阿根廷的问候
20049,UgzCX1DVi1FUEJoZE3R4AaABAg,0,3 years ago,how i wish i live there๐ thanks for sharing your life to us. your such a influencer. alot of us watching you is envying you for have a wonderful talent.,我希望我住在那里吗？感谢您与我们分享您的生活。您这样的影响者。我们中的很多人看着你羡慕你，因为有着出色的才能。
20041,UgyCPaVKJ9VYT_k-R3N4AaABAg,0,3 years ago,"you are a wonderful girl
i get to look at you !!","你是一个美妙的女孩
我要看你！"
20018,UgyMEFgBvYLRqIYboL94AaABAg,0,3 years ago,"how wonderful, i watched it forever without leaving a moment. love โคโคโค",我多么美妙，我永远看着它而没有离开时刻。爱
20012,UgyuCqoxpFi6gcZYUJR4AaABAg,0,3 years ago,the molodes rage is a wonderful girl,摩洛哥愤怒是一个很棒的女孩
19990,Ugz3Ug3SiSyOvAKd-qt4AaABAg,0,3 years ago,wonderful to me fabulous video <3,对我来说很棒的神话般的视频<3
18367,Ugxo29bQGEQJcRewGhl4AaABAg,0,3 years ago,她 chinese chinese 吗? i think that japan had such a wonderful scenery in the past. life in which people and nature are integrated.,她中国中国人吗？我认为日本过去有如此美妙的风景。人们和自然的生活。
19926,UgzsMqEuUXZzInc_fDF4AaABAg,0,3 years ago,wonderful,精彩的
19883,UgxRy3gsq7l2V6O4ISV4AaABAg,0,3 years ago,"there are too many things that up master will do. the lens is too beautiful. it seems to be a simple day for chinese farmers, but it is so bland and wonderful.","up主会做的东西也太多了. 镜头拍摄的也太唯美的, 看似中国农民简单的一天, 却又如此的平淡而精彩. 平平淡淡才是真,"
19746,Ugwx0l7Ft5SSdnnZN7V4AaABAg,0,3 years ago,a wonderful country,一个美好的国家
19738,UgwJspi4kdiXXoxO7r14AaABAg,0,3 years ago,what wonderful dogs do the girl have ❣️❣️❣️,女孩有什么奇妙的狗有❣️❣️❣️
19134,UgxYFrM6GL03y0ZfVMl4AaABAg,0,3 years ago,i hope you and your family are okay and not getting or soon hopefully you are surviving the coronavirus. i always find your shows really neat and unique and wonderful,我希望您和您的家人都可以，不会得到或希望您能在冠状病毒中幸存下来。我总是发现您的节目真的很整洁，独特而美妙
19113,UgwJTwPLa7-dhgJ6Eu54AaABAg,0,3 years ago,"don't you think it's wonderful? there is no plastic, nothing at all. there is nothing that damages nature, and yet everything you use is ideal, very useful and beautiful.",您不认为这很棒吗？没有塑料，根本没有。没有什么可以损害大自然的，但是您使用的一切都是理想的，非常有用和美丽的。
