,cid,votes,含wonderful,含wonderful中文翻译
19179,UgyWz1ydIm6Vwc7etEd4AaABAg,31,i didn't know that most plants around me are edible until i've watched this wonderful lady ❤️,我不知道周围的大多数植物是可食用的，直到我看着这位出色的女士❤️
29163,Ugyjb8J7_EIB6XfPR5d4AaABAg,30,"i'm japanese, but i'm very impressed by those who live like this
i thought it was wonderful to see!
i support you forever","我是日本人，但是那些这样生活的人给我留下了深刻的印象
我认为看到真是太好了！
我永远支持你"
4138,UgwxyAqLmzSEPFtP6kJ4AaABAg,25,"it's a very big bamboo shoot. in japan, it will be harvested a little from the soil, but the type of bamboo shoot will be different.
every time, it is a wonderful video of the permanent preservation version.","这是一个非常大的竹芽。在日本，它将从土壤中收获一点，但是竹芽的类型将有所不同。
每次，这都是永久保存版本的精彩视频。"
32829,Ugz3Z-lWwV0-ffXBZHF4AaABAg,19,your channel is beautiful and the land around you is stunning nature and wonderful views and take you to another world.,您的频道很美，您周围的土地是令人惊叹的自然和美景，并带您前往另一个世界。
2505,UgyoGO1hmLz43jfW6A54AaABAg,18,"wonderful this way of living and eating, it would be great to translate everything, and know the ingredients",这种生活和饮食方式很棒，可以翻译所有内容并知道成分很棒
4164,UgwLNu47aRbiovdaVCF4AaABAg,16,"wonderful nature, i really miss my childhood memories in the village",奇妙的天性，我真的很想念我在村庄的童年记忆
29819,UgxUXvTlOvZOkFyubr54AaABAg,15,"after seeing your youtube
i was interested in china.
china, which has such a beautiful living culture, is wonderful!
modern life is also fun
i want you to protect this wonderful culture.
i want to go to china ✈️","看到您的YouTube之后
我对中国感兴趣。
拥有如此美丽的生活文化的中国真是太好了！
现代生活也很有趣
我希望您保护这种美好的文化。
我想去中国✈️"
30623,UgwTwt_-KvmkjNiWK654AaABAg,14,her life is so wonderful and beautiful and she's also so talanted and strong real wonder woman,她的生活是如此美好而美丽，她也是如此善良而坚强的真实神奇女侠
32025,UgwaJkkIiTT3KCcCCtZ4AaABAg,11,"if it's possible i wanna visit this beautiful place 
wonderful place guys!!
everytime i watches her videos i too get to have love for the place apart from organic foods ♥️","如果有可能，我想参观这个美丽的地方
很棒的地方的家伙！
每当我观看她的视频时，我也都会爱上这个地方，除了有机食品♥️"
19499,Ugwji6titTVDIE9JdEx4AaABAg,11,"everyone:
wowie she's so wonderful and amazing i wish i could do that
me:
yall right but where can i get that snazzy knife spatula she uses cause damn","每个人：
哇，她真是太棒了，很棒，我希望我能做到
我：
你们好吧，但是我在哪里可以得到那个时髦的刀子，她使用了该死的"
16637,UgzP2kEHbLIkgsLlbGZ4AaABAg,9,every aspect is stunning. a wonderful depiction of paradise.,每个方面都是惊人的。对天堂的精彩描绘。
33360,UgwxZQ4DEcDWB2Tx3694AaABAg,9,i just love your peaceful videos living simple wonderful life and the noodle dish looks great.,我只是喜欢您的和平视频，过着简单的美好生活，面条菜看起来很棒。
16951,UgyNC3YMRklZ5WgbaPZ4AaABAg,9,this woman is amazing. she reminds me of my wife. my wife is korean. she's 54. her mother taught her how to ferment fruits and vegetables from the forest just like this woman does. we live in illinois. my wife loves this spring because we go out into the forest with baskets and collect berries and all kinds of fruits and vegetables. we go back home and my wife she sits on the kitchen for the patio out back and prepares all of the fruits and vegetables to ferment for a year. you haven't tried apple juice until you've had homemade apple juice from apples in the forest. or homemade pure grape juice from grapes in the forest. just one taste of this pure fruits and your body immediately responds to it. it is such a wonderful fresh flavor. it is amazing what fermentation does to plants.,这个女人很棒。她让我想起了我妻子。我的妻子是韩国人。她54岁。她的母亲教她如何像这个女人一样从森林中发酵水果和蔬菜。我们住在伊利诺伊州。我的妻子喜欢今年春天，因为我们带着篮子进入森林，收集浆果以及各种水果和蔬菜。我们回到家，我的妻子她坐在厨房里，将露台放回去，并准备所有的水果和蔬菜发酵一年。在森林中的苹果自制苹果汁之前，您还没有尝试过苹果汁。或来自森林中葡萄的自制纯葡萄汁。只有一种纯净的水果的味道，您的身体立即对其做出反应。这真是一种很棒的新鲜风味。发酵对植物的作用真是令人惊讶。
31692,Ugzwq0QZyJaOcraGqYh4AaABAg,9,this meal looks absolutely delicious and healthy. thanks for sharing. this video shows great respect for the wonderful foods on earth and how we can present them.,这顿饭看起来绝对美味又健康。感谢分享。该视频非常尊重地球上美妙的食物以及我们如何展示它们。
32922,UgwqQhKqCwu2TJuCiA54AaABAg,8,your videos are wonderful and always make me feel at peace! thank you for your dedication and hard work!,您的视频很棒，总是让我感到和平！感谢您的奉献精神和辛勤工作！
2916,UgzHlGk1wTEg62gIeFp4AaABAg,8,"all of videos in this channel always catch my eyes every second of that.....

wonderful creation...","这个频道中的所有视频总是每一秒钟吸引我的眼睛.....

美妙的创造..."
26732,Ugy34oI_3OoR5AXqHUl4AaABAg,8,"i love your world. i like your way of living so much, so simple! the nature that surrounds you is wonderful and generous! how i wish i was there!",我爱你的世界。我喜欢你的生活方式，如此简单！周围的天性是美好而慷慨的！我希望我在那里！
24035,UgzxAwjl_L_TkTKVGVF4AaABAg,8,"you are wonderful, just like the ladies of the past!!! do everything by themselves , without the help of a man!! i’m glad you have subtitles , so we can understand whatever you are doing!!! unfortunately there are at least 2 bloggers who are showing your videos , i hope you will do something about that, you do the work it’s not fair for someone else to get credit for all your efforts !! good night beautiful miss liz may god bless you and you dear grandma ❤️❤️",你真是太好了，就像过去的女士们一样！！！在没有男人的帮助的情况下自己做一切！！我很高兴您有字幕，所以我们可以理解您在做什么！！！不幸的是，至少有2位博客作者正在展示您的视频，希望您能为此做些事情，您做的工作对于别人的所有努力都不公平！！晚安美丽的丽兹小姐愿上帝保佑你和你亲爱的祖母❤️❤️
13092,UgymypA6HinBBANUzuZ4AaABAg.95zW9zXKP0O96MU3XsFM0V,8,@md.yusufshihan477 i love the setup which captures nature's beautiful landscape in that area its wonderful,@md.yusufshihan477我喜欢捕捉大自然在该地区美丽景观的设置
3771,Ugw2r0Qx2SiZT9TCTvp4AaABAg,7,"the god of kissing the earth. the hostess decorates and complements this heavenly land. like a bee working from dawn to dawn, clever, beautiful. live long. the project is wonderful.",亲吻大地的上帝。女主人装饰并补充了这片天堂般的土地。就像从黎明到黎明工作的蜜蜂，聪明，美丽。长命。该项目很棒。
12922,Ugw_rYCW-Phnt9iWmmJ4AaABAg,6,"wonderful! chinese food, life is beautiful.",好棒啊！中华美食，人生美好尽在其中。
23818,UgwBpzKd-TId4mJu_e14AaABAg,5,"what an amazing young lady, filial to her grandmother, cultivates, cares for and then harvests all of her own food. builds her own furniture, makes her own cooking utensils, her own clothing. she must be incredibly strong, obviously very intelligent, and to top it all off she is beautiful. her program is wonderful to watch, to listen to and to enjoy. thank you.",多么了不起的小姐，向她的祖母申请，培养，关心然后收获自己的所有食物。建造自己的家具，制作自己的炊具，自己的衣服。她必须非常坚强，显然非常聪明，最重要的是，她很漂亮。她的节目很棒，可以观看，倾听和享受。谢谢。
25855,Ugy6jBzeF2W5U0OobSl4AaABAg,5,"this is a wonderful channel. i wish, though, we could get someone to narrate or translate, in english, and explain the recipes.",这是一个很棒的频道。不过，我希望我们可以让某人用英语叙述或翻译，并解释食谱。
5321,UgxvQYk7Qv8Bg6YjVmx4AaABAg,5,"i love your videos, you are wonderful .โค๏ธ",我爱你的视频，你很棒。
126,UgzZOnu68sFynRTPH6t4AaABAg,5,李子柒 has been a real inspiration for us. she did a wonderful job of sharing her countryside living channel before some scummy people took her hard work and monetized themselves while ruining her. i hope she'll well.,李子柒对我们来说是一个真正的灵感。在一些笨拙的人们努力工作并在破坏她的同时，她努力工作，在分享自己的乡村生活频道方面做得非常出色。我希望她会很好。
3732,UgwJMZ3G-G_jhLDS_3N4AaABAg,5,"wonderful! china, japo and koreas, the most intelligent races.
how beautiful!
how wonderful! china, japan and keeds, the smartest races.","精彩的！中国，贾波和韩国，最聪明的种族。
多么美丽！
多么美妙！中国，日本和国王，最聪明的种族。"
11742,Ugy__xNax-2lUgP3rTN4AaABAg,5,"she's wonderful , i fall in love with her,,,,,,",她很棒，我爱上了她
17212,Ugz2bj6Ah1AffkxcflN4AaABAg,4,"i was born in liuzhou but lived in london for the past 20 years. thank you for this video, it reminds me very much of home and the wonderful childhood i had there :)",我出生于刘州，但在过去的20年里住在伦敦。谢谢您的视频，它使我想起了很多家，我在那里度过了美好的童年:)
21265,UgwEyuFD604RahsMfqd4AaABAg,4,each scene is very beautiful! the relationship with the grandmother is also wonderful ♡,每个场景都很漂亮！与祖母的关系也很棒♡♡
11253,UgzXj-Mx5zxZQHYOk2N4AaABAg,4,natures sound with a wonderful music and a gorgeous girl i am in love,出色的音乐听起来很棒的音乐和一个我恋爱中的华丽女孩
34996,UgzyQCFC9OmLgujD_C54AaABAg,4,"00:23 in indonesia we call it ""rebung"". we love you liziqi, your videos so wonderfull",00:23在印度尼西亚，我们称其为“ rebung”。我们爱你liziqi，你的视频真是太棒了
7219,UgwQkpBXoN7Psidke-94AaABAg,4,the video is wonderful! it is good that grandmother ๐‘ต will appear again! something relieved!,视频很棒！祖母
6845,UgzLwASjPJ6o-tw46gx4AaABAg,4,"how beautiful! what a wonderful sound! what a beauty! please show the process of food longer! how beautifully they cook food, still show in more detail how they eat this food, it is very interesting!",多么美丽！多么美妙的声音！真漂亮！请显示食物的过程更长！他们烹饪食物的美味，仍然更详细地显示他们如何吃这种食物，这非常有趣！
22437,UgxlPUbtic-Q3zavkBZ4AaABAg,3,this woman is amazing loves cooking for grandmother i think is wonderful,这个女人很棒，我认为祖母为祖母做饭很棒
4152,UgwZQZ1L6Qd2jr-spa94AaABAg,3,"wow. wonderful, i love to see you when you are working, you are a wonderful girl, i wish for you to succeed with my regards and my love for you to follow you from iraq.",哇。太好了，当你这样做时，我很喜欢见你。
3446,Ugz52awlurniXXBVGwx4AaABAg,3,"so beautiful, amazing, lovely, and wonderful. much blessings to you. thanks for sharing, lord-jesus-christ com",如此美丽，惊人，可爱和美妙。祝福你。感谢您的分享，耶和华 - 基督教
27199,UgzyK0rw1VxjXSpxtz94AaABAg,3,her mountain land really has all kinds of wonderful edibles and plants. heaven on earth !,她的山地确实有各种各样的美食和植物。天上人间 ！
3493,UgyvWBjB1NMkQfgIwWl4AaABAg,3,what a wonderful world !,世界多么精彩 ！
8955,UgxUqA9kGjrprC8BKxB4AaABAg,3,"2:18 the perspective of picking beans seemed to have returned to my childhood. at that time, i was only 5-7 years old. i was really happy to make my soul briefly back to the happy time before. i was moved again, but my mother is not as good as before. i like the wonderful gesture of picking beans!",2:18那摘豆子的视角仿佛回到了我的童年，那时我才5-7岁真的很开心能让我心灵短暂的回到以前的快乐时光，看着妈妈认真做事的模样，好开心又感动，但是妈妈现在体力不如从前。超喜欢摘豆子的那美妙姿态！
213,UgxXMZQNKWePC2v-OhN4AaABAg,3,"how wonderful. beautiful scenery and people like in the fairy world. very peaceful, beautiful, dreamy.",多么美妙。美丽的风景和像童话世界一样的人。非常和平，美丽，梦幻。
10046,UgzLsJGiry0dWwH7Crd4AaABAg,2,"wonderful, tasty, healthy food.. so eyecatching... love every single food she cooks..",美味，美味，健康的食物。
14992,Ugwp9OlEgNDadsY4KFh4AaABAg,2,"wonderful! please visit the best place, laguna beach from dr. dotori tv❤️",精彩的！请访问DotoriTV❤️
8532,UgziCXRd-TeTqbjqtY54AaABAg,2,it is a calming and wonderful video. the dishes are really great. we support. so prettyโก,这是一个平静而精彩的视频。这些菜真的很棒。我们支持。太漂亮了
21999,Ugx1S3F_HcEVF0Xfeox4AaABAg.9-JqhM84H-m904JxwyNd_F,2,"her grandmother planted the wonderful garden years ago on a family farm. such a wonderful gift that the children have kept the love for it. they are wealthy enough to abandon that life, but so much would be lost, no?",几年前，她的祖母在一个家庭农场种植了美妙的花园。如此奇妙的礼物，孩子们对此保持了热爱。他们足够富有，可以放弃那种生命，但会丢失很多东西，不是吗？
13422,UgwkIaSwezAbMibO7Td4AaABAg,2,2:50 awww kitties! and this is a wonderful eeeeeee!!!!!!! this is the traditional way to cook and how to live in the countryside. so relaxing!,2:50 awww kitties！这是一个很棒的eeeeeee !!!!!!!这是传统的烹饪方式以及如何在农村生活。如此放松！
8003,UgzPvgssniZDSIo3vsx4AaABAg,2,omg! she is super nd her hardwork is very well...finally she' s wonderful cooking also amezing...i like her all routine life....,我的天啊！她的辛勤工作非常好...最后，她的烹饪也很棒……我喜欢她所有的日常生活。
15269,Ugxtcs8mulRwErKHwjx4AaABAg,2,"good stuttering
it is wonderful to be compassionate about nature.","口吃好
对大自然有同情心真是太好了。"
24361,UgwR_WKapgXFAJ0wbIl4AaABAg,2,"another wonderful and inspiring video, thanks for sharing a bit of your life.",另一个精彩而鼓舞人心的视频，感谢您分享您的一生。
2483,UgwpAPVCgkQhh8En2lZ4AaABAg,2,wonderful girlavy man️,奇妙的女孩娃娃该
24289,UgypzaPOZRvfsC_Xnm14AaABAg,2,wow what a wonderful cool lifestyle is why these oriental asian women are so beautiful wonderful,哇，真是一种美妙的生活方式，这就是为什么这些东方亚洲妇女如此美丽的奇妙之处
3565,UgyRxS9TvOOV6mKZaPB4AaABAg,2,this video is wonderful,这个视频很棒
33154,UgwIVhHTtYXrZhZe23V4AaABAg,2,i feel comfortable when watching this picturesque nature is the most wonderful,看着这种风景如画的天性是最美妙的
31092,UgxD4M4eN8wTeVGPihB4AaABAg,2,love your cooking and wonderful culture love from the philippines,爱你的烹饪和菲律宾的美妙文化爱情
6042,Ugy9VqH5uUoz8nRCtFl4AaABAg,2,this is just the ordinary countryside life in china. and the food she cooked very common as well. chinese people donโ€t think itโ€s very special actually. but she made these videos so good! and let the rest of the world know how we live. sheโ€s wonderful! :)) btw welcome to china! to see what the real life is like here in person.,这只是中国普通的乡村生活。她烹制的食物也很普遍。中国人实际上并不特别。但是她使这些视频很好！并让世界其他地方知道我们的生活。她很棒！ :)）顺便欢迎来到中国！看看现实的现实生活。
27377,UgwxXt64u2Xn7AH3Gnp4AaABAg,2,you are wonderful i get calm when i see you cook.,当我看到你做饭时，我很棒。
23084,UgwuNTo_1RrGmSBFjZ94AaABAg,1,"how did you get such a wonderful life ❤ 
keep doing what your doing","你是怎么得到如此美好的生活❤
继续做你的事情"
30603,UgxyK8dRQ-HFZpzsIIF4AaABAg,1,can i come visit maybe stay for ever so i can enjoy all of ur wonderful cooking and all the beautiful surroundings u have i absolutely love ur videos and all of ur knowledge thank u so much,我可以来拜访，也许永远留下来，这样我可以享受所有美好的烹饪，而所有美丽的环境，我绝对喜欢您的视频，所有您的知识都非常感谢您
31514,UgzuQTChk2LJaL3e3DR4AaABAg,1,"a wonderful girl, a real ""cinderella"" for this can also fight with the dragon. if there is an apocalypse, only she survives))",一个很棒的女孩，一个真正的“灰姑娘”，也可以与龙战斗。如果有启示录，只有她幸存下来））
14667,Ugxwd6KQQyqwiZ41t914AaABAg,1,when someone asks if there is paradise: show this video what a wonderful little place! ❤,当有人问是否有天堂时：展示这段视频真是一个很棒的小地方！ ❤
13819,UgwzEu7pbuLCUtcJLA94AaABAg,1,"you are a super woman amiga !!!!. your videos chapó. this specifically has wonderful music. thank you. a hug for you and your family from spain. how happy there in nature, how good !!!!!",你是一个超级女人的amiga !!!!您的视频Chapó。这特别有很棒的音乐。谢谢。从西班牙和您的家人拥抱。大自然有多幸福，有多好!!!!!
31610,UgwXcDyacnoVwyUcMid4AaABAg.8yVAfDgpCIP8yVsT2jKsgx,1,"@authenictruthoid thanks for your support of this very fine young woman and her wonderfully made videos. her videos help people in so many ways that i could not list them all. i wish you and all the members of your family , love , joy and peace. your friend from canada!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",@authenictruthoid感谢您对这个非常好的年轻女子和她精彩的视频的支持。她的视频以多种方式帮助人们，以至于我无法列出所有这些。祝您和家人的所有成员，爱与和平。您来自加拿大的朋友!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
13727,UgxsnAnyMvm8QznO1VZ4AaABAg,1,your life is filled with seriousness and perseverance ... i think it has a wonderful taste that is not like our empty life that turned us to consumers,您的生活充满了严肃和毅力...我认为它具有美好的味道，不像我们的空虚生活，使我们变成了消费者
17073,Ugyb3U862Qmm8G-0Ukh4AaABAg,1,"natural beauty in the countryside, wonderful!",农村的天然美，精彩！
13229,UgyEjj02AF1n5IC-Y554AaABAg,1,you are very beautiful and wonderful and adore the work you do every day,您非常美丽，很棒，喜欢每天所做的工作
31611,UgwXcDyacnoVwyUcMid4AaABAg.8yVAfDgpCIP8yVsjgBqcHh,1,"@windaadiffa7626 thanks for the like of my comments for this wonderful lady and her videos. i wish you and your family a great day , your friend from canada!!!!!!!!!!!!!!!!!!!!!!",@windaadiffa7626感谢您对这位出色的女士和她的视频的评论。祝您和您的家人美好的一天，您来自加拿大的朋友！！！！！！！！！！！！！！！！
31622,Ugy_oSCgTeJ9BgfEqrN4AaABAg,1,wonderful video,精彩的视频
34763,UgyVWTrdk9OEb1xZx714AaABAg,1,greetings from poland. you live in a wonderful place,来自波兰的问候。你住在一个很棒的地方
12807,UgzM9zcMMIUC5vQA0Mx4AaABAg.96J_XdlmXiL96LHF10RYhj,1,@liyishu4201 i am wonderful and unique!,@liyishu4201我很棒，独特！
29700,UgxzKLZeBoUOKPV8i_14AaABAg,1,wonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderful;d,wonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderfulwonderful;D
29416,UgxYJ_d44ZI46wCmc1l4AaABAg,1,everything in her hand will be come wonderful items. love you,她手中的一切都会出现很棒的物品。爱你
29553,UgzTKDNn_F1BspoA2114AaABAg,1,"your video is wonderful, conveys a lot of peace and tranquility!",您的视频很棒，传达了很多和平与安宁！
24003,Ugzz1spHGpGbq6xmJWV4AaABAg,1,it's a wonderful video. calm and tidy.,这是一个很棒的视频。平静而整洁。
22997,Ugxh8-sqjWkZuXreEV54AaABAg,1,wonderful typical natural dish ... i'm still in love with you ... i say..i say for the wonderful dishes you do.,美妙的典型天然菜...我仍然爱上你...我说..我说的是你所做的精美菜。
12788,UgzM9zcMMIUC5vQA0Mx4AaABAg,1,is it possible to marry this wonderful woman?,有可能嫁给这个好女人吗？
24670,UgydREOszKEsHJvlcBJ4AaABAg,1,wonderful...i love you... i want ... i can not... i know...,太好了...我爱你...我想要...我不能...我知道...
21592,Ugw4SL-tQNilKzWf2gV4AaABAg,1,liziqi your a wonderful woman.,liziqi你是一个很棒的女人。
26414,Ugw6iDxXdV8-kY3HuuR4AaABAg,1,"this girl is the most beautiful, on earth! she is good looking too! grandma eats pretty good! what a wonderful look at china. thanxz",这个女孩是地球上最美丽的！她看起来也很不错！奶奶吃得很好！对中国真是太好了。 thanxz
21006,UgxIs9OXSVxqQBrNujR4AaABAg,1,amazing. if life was simply like this it would be wonderful.,惊人的。如果生活就是这样，那将是很棒的。
20581,UgwRMI6uEhJwnexNEBh4AaABAg,1,"if you have my ancestor, how beautiful ancestors or grandparents and your life will be ... you must make them a wonderful day.",如果您有我的祖先，祖先或祖父母与您的生活将是多么美好的事情……您必须让他们成为美好的一天。
20244,UgwPTX5H-dI0RrHgO7V4AaABAg,1,"a wonderful life, with wonderful people. so sad that the cpp always damage everything they touch.",美好的生活，有美好的人。如此可悲的是，CPP总是损害他们触摸的一切。
19563,UgwAYsnuqL1nv1Pnp-d4AaABAg,1,"wonderfulness, god willing, a natural life.",奇妙，上帝愿意，自然的生活。
27655,Ugyg0rme08RTB1VQcOx4AaABAg,1,wonderful jinan in an arab limit here others,精彩的Jinan在阿拉伯限制下其他人
19411,UgyKE8QoJQfs_XIlGzt4AaABAg,1,what a wonderful woman every time she uploads my heart skips a beat <3 <3 ... <3. keep it up ! ^^,每当她上传我的心脏都会跳动<3 <3 ... <3时，这真是一个很棒的女人。继续努力吧 ！ ^^
27860,UgwFORV0OWZ1_ayC1H14AaABAg,1,"in a wonderful place, i can feel that the verse of ""linjiangxian"" written by yang shen ""shan shan is still there"".
pick bamboo shoots and find fungus.
wash your feet in the clear stream and find shellfish.
naturally, it is very rich, and there is no waste at work.
i want you to cherish naturally the treasure of china.
thank you for your good video. i will also watch the past videos.","一个美妙的地方,我可以感受到杨慎写的“临江仙”的诗句”靑山依旧在”.
采摘竹笋,找到木耳.
在清澈的溪水中洗脚,找到贝类.
自然是非常丰富的，工作中没有浪费.
我要你珍惜自然是中国的宝藏.
谢谢你的好视频.我还会观看过去的视频."
28129,UgznsKDxtGoD8CZgDuh4AaABAg,1,wonderful,精彩的
19096,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392WwEs105vv,1,"korea is very very nice! people, food, heritage~ everything is wonderful! but now winter! very cold~",韩国非常非常好！人，食物，遗产〜一切都很棒！但是现在冬天！很冷〜
18392,UgwE4wBEB-OCPPhxNHN4AaABAg,1,wonderful natural live! protect our earth,奇妙的自然生活！保护我们的地球
12806,UgzM9zcMMIUC5vQA0Mx4AaABAg.96J_XdlmXiL96Kl1IjriBG,1,you should be wonderful too,你也应该很棒
35128,Ugzfs4xjpJC6w74HjLZ4AaABAg,1,god is on nature and simplicity is wonderful. the hands are wonderful,上帝是自然的，简单是很棒的。手很棒
7132,UgwCAKJW45K78yiAuoF4AaABAg,1,"do not die about such a wonderful girl.
๐๐‘ธ๐น","不要为这样一个美好的女孩而死。
"
1266,Ugwq1AWPiGo05euiL-B4AaABAg,1,"i wonder for such a wonderful lady, pretty yet gentle and detailed, but strong from the inside, where is her man? 
don't tell me he is the camera man? emmm....","我想知道这是一个如此出色的女士，漂亮但又温柔而详尽，但是从里面很强壮，她的男人在哪里？
不要告诉我他是相机的人吗？ emmm ...."
7111,UgziCtL_OrqMcX3tmAl4AaABAg,1,"your living wonderful life,,, no pollutions. i wanna live such life..",您的生活美好生活，没有污染。我想过这样的生活。
11085,UgwZW_ArGmwql7S3Dr14AaABAg,1,i love your videos! you are wonderful!,我爱你的视频！你太棒了！
11299,UgxLV5tVWrtmLFEDU1R4AaABAg,1,wonderful garden with magic growing vegetables and amazing hardworking lady with wonderful talent!,奇妙的花园与魔术种植蔬菜和令人惊叹的勤奋女士，具有出色的才华！
11338,UgzfPRYkxgLhtaJoA5F4AaABAg,1,what a wonderful life. beautiful!!!,多么美好的生活。美丽的！！！
9454,Ugz4SbjMsUuAJBd7AE94AaABAg,1,"just watching the videos of this lovely girl get me out of stress and fatigue, i feel like i have moved in my soul to this wonderful and quiet place",只是看这个可爱的女孩的视频使我摆脱了压力和疲劳，我觉得自己已经搬到了这个奇妙而安静的地方
8784,UgxYprYQ6OuZjAJaG854AaABAg,1,"what wonderful women !!! as a fairy tale, i look, amazing! !! sincerely!!! happiness, health to you !!!",我看，真是个童话，真是个童话！ !!真挚地！！！幸福，健康！！！
4745,UgxtOF5ojBIwYnReGi94AaABAg,1,"you are a really simple and wonderful person, i want to live this life",你是一个非常简单而很棒的人，我想这一生活
2427,UgxBR5Q0QvtuqVIDQC54AaABAg,1,'s so wonderful,最好。太好了
6261,Ugz4wT2YmvAiz2nwWMF4AaABAg,1,where did this wonderful person learn all of this? who has been teaching her?,这个很棒的人在哪里学习所有这些？谁一直在教她？
11670,Ugz4v3NDvFwbqZAlNrd4AaABAg.97MWmJxtxx_97QMWDK_iAI,1,"@user-fw7ep5ve9r hello sania, thanks for answering! if this is an artistic one, then this is a wonderful work full of relaxation when you look!",@user-fw7ep5ve9r hello sania，感谢您的回答！如果这是一种艺术，那么当您看时，这是一件很棒的工作！
4625,Ugzbfyyvq5Rmws8NCIh4AaABAg,1,wonderfull,奇妙
794,UgyowN13RiRW8jejRv14AaABAg,1,wonderful video. you made my day. thanks for sharing,精彩的视频。你让我今天一整天都感觉很好。感谢您分享
12411,UgzTLJis-ML6x-00q4V4AaABAg,1,what a wonderful woman this is what you can say about god's creation. congratulations girl you are worthy example ☺,这真是一个很棒的女人，您对上帝的创造可以说的话。恭喜女孩，你是值得榜样☺
28408,UgyjWzJxHaNOp8JhBcR4AaABAg,0,miss you are very wonderful with what you do .. you admired it !!,想念你对你的工作非常出色..你很欣赏！
