,cid,votes,time,含traditional,含traditional中文翻译
18239,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92oCuPjG7gh,1,3 years ago,"@sometimesitdown hold on a sec, what you called the garbage? we do have good food in the north, do you know the lu of the four styles of chinese cook? have you even tried some real good restaurant in the north? duck of beijing, hot pot of north muslim, noodle in variable north style, the four northeastern simmerings ... not like those shitty recent restaurant you can find everywhere, those real traditional restaurants are always stay where they were, waiting for their regular clients",@SometimesItdown在SEC上保留，您称之为垃圾？我们在北部确实有美味的食物，您知道四种中国厨师的lu吗？您甚至在北部尝试过一些真正的好餐厅吗？北京的鸭子，北穆斯林的火锅，北方风格的面条，东北四个小火……不像那些近乎糟糕的餐厅，您可以在任何地方找到，那些真正的传统餐厅总是留在他们所在的地方，等待他们的常规客户
8118,Ugzu1ax0cm43g4jBZmB4AaABAg,1,2 years ago,"this is called bamboo shoots in indonesia mah ... it's good to make lunpia
in indonesia its calling ""bamboo shoot"" very delicious to make spring roll named ""lunpia"" traditional snack","这被称为印度尼西亚的竹芽...很好地做lunpia是很好的
在印度尼西亚，其称为“竹芽”非常美味，可以使弹簧卷被称为“ lunpia”传统小吃"
18694,UgztIKf9gD2-a_dVV6N4AaABAg.92O8su2D1Md92hX_kRBWIm,0,3 years ago,"haha, this should be the most traditional way of raw fire in the world, right?",哈哈，这应该是全世界最传统的生火方式吧
19253,Ugz4DR9zp0sBqD6g_np4AaABAg,0,3 years ago,"has anyone else noticed that from garden or wild harvest all of the produce was pristine without a hint of insect predation? in the us i can't even grow produce without a barrier cover over it and they still get inside. the video production values and content were exceptional. except for a couple of vegan epileptic fits (i'm better now) over the snails and the canadian fat back, the meals were absolutely delicious (i could taste them vicariously). use of traditional fermentation crocks was a refreshing sight. this was my first video introduction to this channel and what a video.",是否有人注意到，从花园或野生收获中，所有农产品都是原始的，没有昆虫捕食的迹象？在美国，我什至无法在没有障碍物覆盖的情况下生长农产品，他们仍然进入内部。视频生产价值和内容非常出色。除了蜗牛和加拿大脂肪的几个纯素食癫痫病（我现在更好）外，饭菜绝对美味（我可以替代地品尝它们）。使用传统发酵锅是令人耳目一新的景象。这是我第一次对此频道的视频介绍，以及什么视频。
19101,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392bv-d6X2Jk,0,3 years ago,"i am thinking to visit too. if visit at same time, perhaps we can make companionship. lets be away from big city to visit some small place to taste some native food and experience traditional way of living.",我也在想访问。如果同时访问，也许我们可以陪伴。让我们离开大城市去一些小地方品尝一些本地食物，并体验传统的生活方式。
18697,UgztIKf9gD2-a_dVV6N4AaABAg.92O8su2D1Md92iQa0x0Tvo,0,3 years ago,@user-nd5sl8dn6k shouldn't it be a traditional roasted pepper?,@user-nd5sl8dn6k 不应该是 传统的烤辣椒吗
22230,Ugy1uHPHsBWvkqLgFf14AaABAg,0,3 years ago,one of the daily life of traditional chinese people reminds me of taohuayuanji,传统中国人日常生活的一种，让我想起了桃花源记
28079,UgynUmoM-i0kkjfq8hd4AaABAg,0,3 years ago,good traditional food chines,好的传统食品下巴
30070,UgylRiFzwPFV2BUEC2t4AaABAg,0,3 years ago,"two women, grandmother and grand daughter are bringing traditional sichuan life to the entire world. i hope the chinese people are aware and recognise the great contribution women and girls have made for their families and their nation throughout their history, because there has been appalling disrespect for girls during the one child policy. this is why 30 million men cannot find a wife, due to the widespread selective abortion of infant girls. can the chinese people now see the value of women?",两个女人，祖母和大女儿正在为整个世界带来传统的四川生活。我希望中国人民意识到并认识到妇女和女孩在整个历史上为自己的家人和国家做出的巨大贡献，因为在一个儿童政策中，人们一直对女孩感到不尊重。这就是为什么3000万男人由于堕胎的婴儿堕胎而找不到妻子的原因。中国人现在可以看到女性的价值吗？
30786,UgwNZ1qDe3ODeguAZGp4AaABAg,0,3 years ago,this rice noodle is a kind of traditional food in guangxi.,这种米饭是广西的一种传统食物。
31388,UgwrhOWoKTMzxxewMah4AaABAg,0,3 years ago,i really like when you add english subtitles to your videos. i can recognize most foods in your videos but am also so curious about the ones i don’t recognize. your videos are amazing and i feel motivated to craft things and learn more about traditional methods after watching.,当您在视频中添加英文字幕时，我真的很喜欢。我可以识别您的视频中的大多数食物，但对我不认识的食物也很好奇。您的视频很棒，我有动力制作事物并在观看后了解有关传统方法的更多信息。
18540,Ugz7vX27tY0R8YBBwyB4AaABAg.92TOl30agtK92iKPHXND6_,0,3 years ago,"this is also the rural life that traditional chinese is longing for, calm, peaceful and natural",这也是中国传统所向往的乡村生活，平静且安详且自然
32706,UgzS3w3sO1Xh5UN9WsN4AaABAg,0,3 years ago,its totally local traditional dishes #bambooshoot.love from arunachal pradesh northeast (india),它完全本地的传统菜肴＃bambooshoot.love来自Arunachal Pradesh东北（印度）
27483,UgzIITh8Yk5MKvJa4LJ4AaABAg,0,3 years ago,traditional chinese culture,中国传统文化
20815,UgzFyEs7OLABjNJ8cJ54AaABAg,0,3 years ago,wooow i love this video>< so traditional!,哇，我喜欢这个视频> <如此传统！
20252,Ugx67u2dlK6rDomf7Yx4AaABAg,0,3 years ago,the traditional beauty of chinese women is reflected in you. the kitchen in the hall is not all vases. whoever can marry you is happiness.,中国女人的传统美在你身上得到了体现，上得厅堂下得厨房，长的漂亮也不都是花瓶，谁能娶到你才是幸福。
20811,UgwKeVgZoaekArc0xZ54AaABAg,0,3 years ago,"firstly thank you for sharing your amazing videos. this is by far my favourite channel, there is something special about the traditional ways and you are mesmerising to watch.",首先，感谢您分享您的惊人视频。到目前为止，这是我最喜欢的频道，传统方式有一些特别之处，您正在关注。
22026,UgyNznBkcEkdjIm0MHF4AaABAg.9-I7M9BVLBX9-ZEtyWtJse,0,3 years ago,@meichan9572 yes i completely understand i'm a native american from the navajo tribe i hope this young lady if she doesn't already have childrenhas children and teach her children the tradition so they can keep it up for myself i feel bad that i am not practicing my native culture for one i don't speak fluent navajo i also do not practice many of the traditional ways although i can cook some of the food but i can see that she is carrying on from the old ways i love that i'm proud of her,是的我不会说流利的纳瓦霍人，但我也不会练习许多传统的方式，尽管我可以烹饪一些食物，但我可以看到她正在从我喜欢的旧方式中继续前进，我为她感到骄傲
20873,Ugzsk1seD_N8jsFfg6J4AaABAg,0,3 years ago,"bamboo shoots, traditional indonesian food too, if the celebration is also usually there is a side dish",如果庆祝活动通常也有配菜
21008,Ugyy68szkVUolypKINR4AaABAg,0,3 years ago,it turns out that in china is still traditional,事实证明，在中国仍然是传统的
26551,Ugy6JJ1SntrlhwChdhR4AaABAg,0,3 years ago,"traditional lifestyle, relaxed",传统生活方式，怡然自得
21200,Ugzz4dAka2YbOpQrvS54AaABAg,0,3 years ago,this is the traditional woman i really like:,这是我真正喜欢的传统女人：
23392,Ugy8NakTFx7bMlT_FKt4AaABAg,0,3 years ago,"amazing channel, professional video editing. best traditional food culture. if in indonesia the name is stir -fried bamboo shoots, many gluguts.",惊人的频道，专业视频编辑。最好的传统饮食文化。如果在印度尼西亚，该名称是搅动的，则有许多格鲁格特。
21735,UgzAZ5LA2Fo4o85dMRV4AaABAg,0,3 years ago,"hard, hard work filmed and edited to look effortless. this is a traditional but not simple life. liziqi is beautiful and talented but do the viewers seriously think everything she cooks is just for granny and her? this girl is a very intelligent business woman and makes a living from everything she makes. and good for her!! congratulations liziqi and all the best wishes for success.",拍摄和编辑艰苦，艰苦的工作看起来毫不费力。这是传统但不是简单的生活。 Liziqi美丽而有才华，但观众是否认真地认为她烹饪的一切都适合奶奶和她？这个女孩是一个非常聪明的商人，她的赚钱谋生。对她有好处！恭喜Liziqi和成功的一切祝福。
22891,UgymxalCiD4Huii3wIl4AaABAg.8zuNQpbMst59-QaCshm9r3,0,3 years ago,chinese traditional farming life,中国传统农耕生活
21812,Ugy9dqXp8LnX4nH-tM94AaABAg.9-WHSV2cBSL90dRdq3FHAR,0,3 years ago,"china welcome friends from all the world。
li ziqi's life is traditional chinese life。
this nature with people.","中国欢迎来自世界全世界的朋友。
李Ziqi的生活是中国传统生活。
这种天性与人。"
22014,UgyAEruq4XKqz6rtRm14AaABAg,0,3 years ago,it's so pure and traditional ......the greenery and herself........,它是如此纯洁和传统……绿色植物和她自己........
24411,Ugzwj8pMyj9JYYHvkKt4AaABAg,0,3 years ago,"wife: busy doing everyday life using traditional items.
husband: busy taking videos using latest technology.","妻子：忙于使用传统物品进行日常生活。
丈夫：忙于使用最新技术拍摄视频。"
370,UgxmFI0Z0q8doBhHFMl4AaABAg,0,4 months ago,ziyi. you play traditional chinese food into a realm of god. it is you who made me want to eat traditional chinese food. the ambassador is well -known.,子柒.你把传统中国美食发挥到神一样的境界.是妳让我有意念想吃中国传统美食.大使美名配得.配得...
18022,UgwQ3GJlBs24T5KortV4AaABAg,0,3 years ago,"that is young bamboo most asian like to eat that, i found this in traditional market in thailand and indonesia and abit stinky..",那是年轻的竹子最喜欢吃的竹子，我在泰国和印度尼西亚的传统市场上发现了这一点，并abit stinky ..
11036,UgxId9g1L5p1yxJDkbJ4AaABAg,0,3 years ago,i would honestly love to go to a retreat where i would stay at a host home and live a simple life for a month helping maintain the garden and go out gathering ingredients learning how to cook authentic traditional food,老实说，我会喜欢去静修处，在那里我会住在房屋中，过一个月的生活一个月，帮助维持花园，然后收集食材，学习如何烹饪真实的传统食物
10785,UgxVwoOxjWWPHYNrm7l4AaABAg,0,3 years ago,sri lankan chanel... traditional me,斯里兰卡香奈儿...传统我
10631,UgzF4060sc1_0WgtQLl4AaABAg,0,3 years ago,i have a question liziqi... you are such a sweet lady... you are preparing all this traditional chinese food. do u prepare for your self or do u sell in local market,我有一个问题liziqi ...你真是个可爱的女士...您正在准备所有这些传统的中国菜。您是为自己做准备还是在当地市场上销售
10226,UgzbTJgct5t5V_ZWt5h4AaABAg,0,3 years ago,"i like ziqi so much, she is smart, capable, and very kind. her video reminds me of a beautiful experience of living with her grandmother in the rural hometown in jiangxi when she was young. zi yan's cultivation is what my grandma often taught me what i want to have when i was a child. zi yan reflects the traditional virtues of many chinese women. in the future, the person who marrys ziyi will be blessed. i am making a dream and hope she can be my daughter -in -law. essence essence essence essence",我太喜欢子柒了， 她聪明，能干，而且非常的善良。她的视频让我想起小的时候在江西的农村老家和奶奶一起生活的美好经历。子柒的修养就是我奶奶在我小时候常常教导我要具备的。子柒身上体现了很多中国妇女的传统美德。将来娶子柒为妻的那个人一定得福了。我在做美梦希望她能成为我的儿媳。。。。。
9992,UgzuZLn7MUBcuJqg2Eh4AaABAg,0,3 years ago,amazing traditional tecnology..๐‘๐‘,惊人的传统tecnology..
9031,UgzhzWVbJJOaHS4REKt4AaABAg.9AX5_LiL_FU9AhVms8RgbE,0,2 years ago,"ira k 
good points thank you. honestly i havenโ€t been to india or russia and my observations were totally based on my personal impressions. what i really wanted to present was an interesting difference in attitudes towards life, and my own understanding to a traditional chinese lifestyle. and i understand there are such differences and similarities between every two cultures. thank you for pointing out.","艾拉·K
好点谢谢你。老实说，我没有去过印度或俄罗斯，我的观察完全是基于我的个人印象。我真正想提出的是对生活的态度和对中国传统生活方式的理解的有趣差异。我知道每两种文化之间存在这种差异和相似之处。谢谢您指出的。"
8772,UgxXaicA5uOieUfBIrR4AaABAg,0,2 years ago (edited),"https://m.youtube.com/watch?v=vkk1r79xxae , traditional food ethnik. like and subscribe ๐๐thanks๐",https://m.youtube.com/watch?v=vkk1r79xxae，传统的食物Ethnik。喜欢并订阅
8765,Ugxn8_Vmu0cWMRUxXI14AaABAg,0,2 years ago,"https://www.youtube.com/channel/ucd9jid_izhym-lxw3jjcwga
next traditional food
like, share & subscribe
thanks โบ๐","https://www.youtube.com/channel/ucd9jid_izhym-lxw3jjcwga
下一个传统食物
喜欢，分享和订阅
谢谢"
8759,UgwF-sGXssmtg_dyvgR4AaABAg,0,2 years ago,"https://www.youtube.com/channel/ucd9jid_izhym-lxw3jjcwga
traditional food
share and subscribe..
thanks.. โบ๏ธ๐","https://www.youtube.com/channel/ucd9jid_izhym-lxw3jjcwga
传统食品
分享和订阅..
谢谢..☺️"
8338,Ugy8rnuqGGUWlCJz1xV4AaABAg,0,2 years ago,i love no drama..usually young bamboo cook in various recipes.in my country usual for coconut milk soup or filled spring roll for traditional meal/snack..,我不喜欢戏剧。通常在各种食谱中年轻的竹作厨师。在我的乡下，通常要椰奶汤或填充的春卷传统餐/小吃。
7236,UgwrPsIVj2lI_BP2wLR4AaABAg,0,2 years ago,indian karbi people traditional same,印度卡比人传统
7165,Ugw-o282MUl61tO4u6N4AaABAg.9DJF9tB10KN9DZTE2EFOYZ,0,2 years ago,"i think that in most cases the say ""desperate times call for desperate measures"" is very much true. keep in mind that most traditional food (not only the chinese one) is usually made by all those plates that the poors would eat. in the past, poor people had to try and survive with what they had, hence they would try and eat whatever edible.
so i wouldn't say that someday a random person decided that ""oh that frog looks delicius"", but rather ""i have a family to feed, and frogs are everywhere around here. let's see if i can do something with them.""","我认为，在大多数情况下，“绝望的时期要求采取绝望的措施”是非常真实的。请记住，大多数传统食物（不仅是中国食品）通常是由po肉吃的所有盘子制成的。过去，穷人不得不尝试以自己的身份生存，因此他们会尝试吃任何可食用的东西。
因此，我不会说有一天一个随机的人决定“哦，那只青蛙看起来很熟食”，而是“我有一个家庭要喂食，而青蛙到处都是。让我们看看我是否可以对它们做某事。”"
5981,UgxvAuJTFlMG5TuJm3F4AaABAg,0,2 years ago,"if you are new here, here is absolutely everything you need to know about liziqi ( li ziyi ): 

in 1990, li ziyi fell to the ground in mianyang, sichuan. her parents divorced when she was very young. later, her father died, and li ziyi became an orphan. his stepmother didnโ€t treat her well. li zizhen mentioned on weibo that he had had a half-dead experience when his stepmother dragged her hair into the gutter and was beaten. 

grandpa and grandma distressed granddaughter, and finally decided to take li ziyu home and live. when li ziyi was in fifth grade, his grandfather died again, and it was difficult for his grandma to raise her to continue school. at the age of 14, li ziyi had to drop out of school and go to the city alone to work hard, and began an 8-year wandering life. her first life was very hard. she slept in a park chair and scratched her head for two months. 

li ziyi has also worked as a waiter in a hotel, with a monthly salary of 300 yuan. in order to earn more income, she went to learn to play discs and sang in the bar. later, when talking about the matter, li zizhen frankly said: โ€i didnโ€t say that i liked music at that time, just to live, i felt that it was well paid.โ€ 

in 2012, because grandma was ill once, li ziyi was worried that she would regret it later, throwing away all work and returning to grandma. โ€being closer, i feel more at ease.โ€ 

after returning, li ziyi opened a taobao shop, but the business has been up and running, and he barely eats. in 2015, under the influence of his younger brother, li ziyi was exposed to the short video platform meipai. until 2016, seeing that his younger brother had some fans on meipai, and holding more fans can improve the mentality of taobao business, li ziyi re-entered meipai to prepare for his own video program. 

the reason why she chose to shoot videos in this style is closely related to her childhood environment. 

in an interview with the living room of sina club, li ziyi mentioned, โ€all these things that are self-sufficient in the countryside, for me, they are jealous. in the short video, she chose to start from the most familiar places. 

in the beginning, li ziyi gave himself a topic called โ€four seasons change, eat while you eatโ€. after the suggestion of meipai editor, it became โ€ancient foodโ€ and it is still used today. 

in september 2016, a new opportunity came quietly, which also became an important promoter for li ziyu to get more attention in the future. sina weibo began to openly search for more outstanding short video creators for resource support. 

as mentioned at the beginning of the article, liu tongming brought her weibo resources support. 

one day in september 2016, li feng, an ancient short video blogger, accidentally received a private weibo message from โ€mr. lโ€. mr. l expressed his love for li ziyuโ€s video content, felt that he had fulfilled his taoyuan dream, and hoped to meet her. 

for a long time after that, li ziyi received mr. lโ€s private letter. โ€it would be a shame for such a good video to let this person see it. this is uschinaโ€s proud traditional culture should be seen by people in china and around the world. โ€mr. l said in a private message. 

at first, after seeing these private messages, li ziyi didnโ€t care too much, even worrying about encountering a liar. until one day, mr. l came to the city where li zizhen was, and wanted to ask her to have a meal and talk. mr. lโ€s politeness and clear logical thinking made li slowly drop his initial alert. 

this accidental meeting has completely changed the life trajectory of li zizhen. not long after the meal was over, with the help of mr. l, li zizheng was supported by a large wave of resources on sina weibo, accelerating her popularity and allowing li zizhen to rush into the queue of the net influencer on the head. 

this experience is partly recorded in a diary of li zizheng that year. some insiders close to the senior executives of weinian technology confirmed to tencentโ€s โ€shenwangโ€ that the โ€mr. lโ€ is actually liu tongming, and his pseudonym was publicly reported. daxiong liu, the founder of wei nian technology, an mcn company to which li zizhen now belongs. 

on december 8th, the reading volume of a weibo topic labeled โ€is li ziyi a cultural outputโ€ climbed to 800 million. li zizheng was once again on the hot search list. 

the video created by li ziyi and her has become a phenomenon worthy of study now. 

extensive overseas communication is an important reason for li zihuanโ€s renewed attention. some people say that she has filmed a desirable rural life and spread the charm of traditional chinese culture and cuisine. others think that her video is not completely true to reflect chinaโ€s rural life. 

even the queries that have been popular since the explosion have been brought up again, such as being a dj, being a rich second generation, whether the video is from my own hands, is there a strong push behind it, and the video is true for rural life itโ€s still just a fiction for character setting. 

an insider of weinian technology told tencentโ€s โ€deep webโ€ that li ziyi was of ordinary origin, and the relevant video content was produced by li ziyi himself. the popularity was not the initiative of the company and himself. in fact, both li zihuan and the micro-reading team behind him were quite low-key, and they were very enthusiastic and declined all the current interview needs. 

until august 17, 2018, li ziyiโ€s eponymous tmall store officially opened. six days after going online, the store with only five products at that time had sales of over 150,000 and sales of over 10 million. a year later, the total sales of 21 products displayed in the li zizhen flagship store exceeded 1.3 million, with total sales reaching 71 million. 
the value behind li ziyiโ€s ip is being quickly tapped. 

li ziyi started from scratch and gained the first fans with his own strength. but now the popularity and gains of fame and fortune are obviously no longer just her achievements. 
according to tianyan search, โ€deep webโ€ shows that mcn hangzhou weinian technology co., ltd., which li ziyi belongs to, was established on february 28, 2013, with a registered capital of rmb 5.208 million. according to the introduction, wei nian is an entertainment entertainment company that incubates kol into ip through short videos and extends to consumer brands. 

the information of qixinbao shows that there are more than 100 pieces of intellectual property information of the trademark โ€li zihuanโ€. the applicant companies are hangzhou weinian technology co., ltd. the product categories include food, clothing, shoes and hats, dyes and fats, beer and beverages, financial property management, catering and accommodation. 

not only that, wei nian also has inextricable links with li ziyuโ€s companies. 

according to the eye inspection, li jiajia (should be the original name of li ziyu) established sichuan ziyu culture communication co., ltd. on july 20, 2017, and wei nian is its shareholder, holding 51% of the shares. supervisor, li jiajia holds 49% of the shares. 

according to other data, there are as many as 50 beneficiary companies behind hangzhou weinian technology co., ltd., including greenland holdings, zte, xinhua media, vanke, light media, etc. . 
among the shareholders of weinian technology, sina weibo is particularly eye-catching. 

from wei nian technology to sina weibo, li ziyi gradually has the best cards that internet celebrities are looking forward to. 
in her own words, she changed from โ€a little transparent to a person who is so useless to societyโ€. after entering the public view and being noticed by more people, li ziyiโ€s sense of responsibility has also become heavier. 
โ€i want to do what i can to do more things that are good for society, such as the spread of traditional culture, non-heritage cultural craftsmen, and i want to show these old things to everyone so that more people know. li ziyi said. 

source: https://www.ww01.net/en/archives/33757","如果您在这里是新手，那么这绝对是您需要了解的有关Liziqi（Li Ziyi）的一切：

1990年，李齐伊（Li Ziyi）跌倒在四川米扬（Mianyang）。她的父母很小的时候就离婚了。后来，她的父亲去世了，李齐伊成为孤儿。他的继母对她不好。李·齐兴（Li Zizhen）在微博上提到，当他的继母将头发拖入排水沟并被殴打时，他有半死的经历。

爷爷和奶奶使孙女感到沮丧，最后决定带李Ziyu回家。当李齐伊（Li Ziyi）五年级时，他的祖父再次去世，他的祖母很难抚养她继续上学。李齐（Li Ziyi）在14岁时不得不辍学，独自去城市努力工作，并开始了八年的流浪生活。她的第一人生非常艰难。她睡在公园椅上，挠头两个月。

Li Ziyi还曾在酒店担任服务生，每月薪水为300元。为了赚取更多的收入，她去学习演奏唱片并在酒吧里唱歌。后来，在谈论此事时，李·齐兴（Li Zizhen）坦率地说：“我不是说当时我喜欢音乐，只是为了生活，我觉得这是付出的。”

2012年，由于奶奶曾经生病，李齐伊（Li Ziyi）担心她后来会后悔，扔掉所有工作并返回奶奶。 “靠近，我感到更加放松。”

返回后，李Ziyi开了一家淘宝商店，但业务一直在运行，他几乎没有吃饭。 2015年，在他的弟弟的影响下，李齐伊（Li Ziyi）接触了短视频平台Meipai。直到2016年，看到他的弟弟在Meipai上有一些粉丝，并且拥有更多的粉丝可以改善淘宝业务的心态，Li Ziyi重新进入Meipai，为自己的视频节目做准备。

她之所以选择以这种风格拍摄视频与她的童年环境密切相关的原因。

李·齐（Li Ziyi）在接受西那俱乐部（Nina Club）的客厅采访时说：“所有这些在农村自给自足的事情，对我来说，它们嫉妒。在简短的视频中，她选择从最熟悉的地方开始。

一开始，李齐伊（Li Ziyi）称自己为“四个季节变化，吃饭时吃饭”。在Meipai编辑的建议之后，它变成了“古老的食物”，并且今天仍然使用。

2016年9月，一个新的机会悄悄地出现了，这也成为李Zyu将来更加关注的重要推动者。 Sina Weibo开始公开寻找更多出色的简短视频创建者以获得资源支持。

正如文章开头所述，刘·汤明（Liu Tongming）为她带来了微博的资源支持。

2016年9月的一天，古老的简短视频博客作者Li Feng意外收到了“先生先生的私人微博消息”。 L”。 L先生表达了对李Ziyu的视频内容的热爱，觉得他已经实现了他的作陶王的梦，并希望与她见面。

此后很长一段时间，Li Ziyi收到了L先生的私人信。 “这样一个好视频让这个人看到它是可惜的。这是中国和世界各地的人们应该看到USCHINA骄傲的传统文化。 “先生。我在一条私人消息中说。

起初，在看到这些私人消息后，李Ziyi并不在乎太多，甚至不必担心遇到骗子。直到一天，L先生来到了李·齐兴（Li Zizhen）所在的城市，并想请她吃饭和聊天。 L先生的礼貌和清晰的逻辑思维使李慢慢地放弃了最初的警报。

这次偶然的会议彻底改变了李·齐兴（Li Zizhen）的生活轨迹。用餐结束后不久，在L先生的帮助下，李·Zizheng（Li Zizheng）得到了Sina Weibo的大量资源的支持，加快了她的知名度，并允许Li Zizhen赶到头部网络影响者的排队。

这种经历部分记录在那年的李Zizheng日记中。一些与温尼安技术高级管理人员接近的内部人士证实了腾讯的“申旺”，即“先生先生L”实际上是刘·汤明（Liu Tongming），他的化名是公开报道的。 Wei Nian Technology的创始人Daxiong Liu是Li Zizhen现在属于的MCN公司。

12月8日，一个标有“是文化产出”的微博主题的阅读量攀升至8亿。李Zizheng再次在热门搜索列表中。

Li Ziyi和她创建的视频现在已成为一个值得研究的现象。

广泛的海外沟通是李齐伊安（Li Zihuan）重新关注的重要原因。有人说她已经拍摄了理想的乡村生活，并传播了中国传统文化和美食的魅力。其他人则认为她的视频并非完全正确地反映中国的乡村生活。

自从爆炸再次提出以来一直很受欢迎的疑问，例如成为DJ，成为富人的第二代，无论是我自己的视频，是否有强烈的推动力，视频是真的对于农村生活，这仍然是角色环境的小说。

Weinian Technology的一位内部人士告诉Tencent的“ Deep Web”，Li Ziyi是普通的，相关的视频内容是由Li Ziyi本人制作的。受欢迎程度不是公司和他本人的倡议。实际上，他背后的李·齐伊安（Li Zihuan）和微读团队都非常低调，他们非常热情，拒绝了当前的所有采访需求。

直到2018年8月17日，Li Ziyi的同名TMALL商店正式开业。上网六天后，当时只有五种产品的商店的销售额超过150,000，销售额超过1000万。一年后，李Zizhen旗舰店展示的21种产品的总销售额超过130万，总销售额达到7100万。
Li Ziyi的IP背后的价值正在迅速挖掘。

Li Ziyi从头开始，并以自己的力量获得了第一批粉丝。但是现在，声名和财富的受欢迎程度和收益显然不再只是她的成就。
根据Tianyan Search的说法，“ Deep Web”表明，Li Ziyi属于的McN Hangzhou Weinian Technology Co.，Ltd。于2013年2月28日成立，其注册资本为5.208亿元。根据引言，Wei Nian是一家娱乐娱乐公司，通过简短的视频将KOL孵化为IP，并扩展到消费者品牌。

Qixinbao的信息表明，商标“ Li Zihuan”有100多种知识产权信息。申请人公司是Hangzhou Weinian Technology Co.，Ltd。产品类别包括食品，服装，鞋子和帽子，染料和脂肪，染料和脂肪，啤酒和饮料，金融物业管理，餐饮和住宿。

不仅如此，Wei Nian还与Li Ziyu的公司建立了不可忽视的联系。

根据眼睛检查，李亚吉亚（应该是李祖的原始名称）于2017年7月20日成立了四川Ziyu文化传播公司有限公司。主管Li Jiajia持有49％的股份。

根据其他数据，Hangzhou Weinian Technology Co.，Ltd。的背后有多达50家受益公司，包括Greenland Holdings，ZTE，新华社媒体，Vanke，Light Media等。
在Weinian技术的股东中，Sina Weibo特别引人注目。

从Wei Nian Technology到Sina Weibo，Li Ziyi逐渐拥有互联网名人期待的最佳卡片。
用她自己的话说，她从“有点透明变成了一个对社会无用的人”。在进入公众观点并被更多人注意到之后，李齐的责任感也变得更加重。
“我想尽我所能，做更多对社会有益的事情，例如传统文化，非遗产文化工匠的传播，我想向所有人展示这些旧事物，以便更多的人知道。李Ziyi说。

资料来源：https：//www.ww01.net/en/archives/33757"
5189,UgzKPbFPL91Sp7ta8J94AaABAg,0,2 years ago,"traditional wedding vidio
pls must see once
https://youtu.be/q5hpjjbobzg","传统的婚礼vidio
请看一次
https://youtu.be/q5hpjjbobzg"
4873,UgyaQLYJGmKLe6GHeAV4AaABAg,0,2 years ago,"it's shameless.
how could 'kimchi' be chinese food?
there are no side dishes spiced with red sauce,such as red pepper paste, in china.
kimchi is korean food, not chinese traditional food.
please don't be fooled.","这是无耻的。
“泡菜”怎么可能是中国食品？
在中国，没有配音的配菜，例如红辣椒酱。
泡菜是韩国食品，而不是中国传统食品。
请不要上当。"
4793,Ugz-9AfuXVyzFJJ4yi54AaABAg.9IcflViauGt9OF2urcIFlv,0,2 years ago (edited),"@user-bz5iy9oy2q do you agree if americans insist, ""pasta is our traditional food, not italian food!""? likewise, the chinese claim that kimchi is their own food. it's crazy. that sounds like 3*7=28 :^)",@user-bz5iy9oy2q您是否同意美国人坚持说：“面食是我们的传统食物，而不是意大利美食！”？同样，中国人声称泡菜是他们自己的食物。这很疯狂。这听起来像3*7 = 28：^）
4703,Ugwj-Z92VKq7v0GdVjp4AaABAg,0,2 years ago,isn't this traditional korean food? :),这不是传统的韩国食品吗？ :)
3928,UgzL8KrmMeCjSXHsCs54AaABAg.9LicT_rORKf9LrFUbro6HA,0,2 years ago,"@jhhhkjhbkhjh3563 nothing, but you are more commonly used in traditional chinese characters?",@jhhhkjhbkhjh3563 没啥的，只是你比较常用繁体字？
3927,UgzL8KrmMeCjSXHsCs54AaABAg.9LicT_rORKf9LqTVRWiL4V,0,2 years ago,"@coconutboy8198 well, sichuan dialect is special? can't say traditional characters?",@coconutboy8198 咋，四川话特殊？不能用繁体字说？
3926,UgzL8KrmMeCjSXHsCs54AaABAg.9LicT_rORKf9LpqhDH_Zpg,0,2 years ago,@jhhhkjhbkhjh3563 this is the life brother dei. how do i speak sichuan dialect in traditional chinese characters?,@jhhhkjhbkhjh3563 这就是生活兄dei，怎么用繁体字说四川话？
3843,Ugwwfcvnc6mwSiMUq-h4AaABAg,0,2 years ago,your bgm is very traditional,您的BGM非常传统
2669,UgznRYmnwpAIPI_mMZ54AaABAg,0,1 year ago,"traditional kerala, indian wedding

https://youtu.be/lfowpbtsdxi","传统喀拉拉邦，印度婚礼

https://youtu.be/lfowpbtsdxi"
10902,Ugx73LE_CE4ZPKonTOl4AaABAg.98CJ31Wgm1E98FGQOHpYDN,0,3 years ago,"@fanyang8533 i know china is modern okay...china have skycrapers, new cars, high technologies. infact the phone i'm using is from china and the longest bridge made so far is in china. i watch chinese shows and i can see the modern places where they shoot videos. no one said china is not modern. besides i only said i admire her. you're acting like she is not chinese, as if being a villager will ruin china's reputation of being modern. she is representing traditional chinese values which you should be proud. rural doesn't mean it's not china.",@fanyang8533我知道中国是现代的...中国有天空剪刀，新车，高技术。实际上，我使用的电话是来自中国，到目前为止，最长的桥梁是在中国。我看中文节目，可以看到他们拍摄视频的现代场所。没有人说中国不是现代的。此外，我只说我很佩服她。您的举止就像她不是中国人一样，好像是村民会破坏中国的现代声誉。她代表传统的中国价值观，您应该为此感到自豪。农村并不意味着这不是中国。
