,cid,votes,time,含traditional,含traditional中文翻译
4532,Ugyp7-T49IaiYft3_It4AaABAg,65,1 year ago,i really like watching your videos and as someone who’s really into cultural history and related topics it’s very nice to see traditional chinese methods that you use ! loads of love from bangladesh,我真的很喜欢观看您的视频，并且作为真正从事文化历史和相关主题的人，很高兴看到您使用的传统中国方法！来自孟加拉国的大量爱
13183,UgzGTGnIyu8rpnxgdIV4AaABAg.9C9qthCZ61x9CAk2SVxm9q,44,2 years ago,"that's a chinese traditional tool to make popcorn. it is sealed to keep high pressure inside. once it is opened, the pressure difference make a boom to let the corn become popcorn. it has been using from last century until now.",那是制作爆米花的中国传统工具。它被密封以保持高压内部。一旦打开，压力差就会使玉米变成爆米花。它从上个世纪一直使用。
46857,UgxyHdNFG8GxD0TWdWJ4AaABAg,43,4 years ago,"bless the chinese new year of the world. the new year this year can not return to china because of the exam. ziyi and i came from the same place. when i saw her video, i thought of her grandma, because ziyi did something that many sichuan women would do, passed down from generation to generation. unfortunately, many people in the mother are unwilling to learn. they are very happy to see that young people inherit these things. in addition, i will make most of the dishes she will make. it is also what grandma taught me before i went abroad. i was afraid that i could not eat the taste of my hometown outside. i hope that young people can take the initiative to inherit the traditional culture of our chinese nation ~ i hope to graduate soon and return to sichuan as soon as possible.",祝福全球华人新年快乐。今年过年因为要考试没办法回国啦。我和子柒来自同一个地方，看到她的视频就想起了自己的奶奶，因为子柒做的就是很多四川女人会做的东西，代代相传。可惜到了妈妈辈很多人都不愿意学习了，很开心看到还有年轻人传承这些东西。另外，她做的菜我会做大半部分，也是奶奶在我出国之前教我的，怕我在外面吃不到家乡的味道。希望年轻人都能主动传承发扬我们的中华民族的传统文化吧~ 希望早日毕业，早日回到四川。
49219,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qn2pve3xGL,40,4 years ago,"it's still traditional, doesn't matter if it's hers or not.",它仍然是传统的，无论她是否都没关系。
30988,Ugwr22eLPwBmdeQ8EsF4AaABAg,35,3 years ago,"fantastic work, it reminds me my childhood life! she possesses skills of majority of farmer house wife in a typical traditional chinese community.",出色的工作，这使我想起了我的童年生活！在典型的中国传统社区中，她拥有大多数农民之家妻子的技能。
37239,UgzDyOGv9HFuNVAYXuh4AaABAg,31,4 years ago,"i have been on youtube for eight years. for the first time i wrote a comment, thank you for showing the traditional chinese things in a beautiful expression. follow you",上youtube八年了，第一次写评论，谢谢你把中国传统东西以唯美的表现出来。关注你
42797,UgysGxgQ5Ehy45ioJZ14AaABAg,25,4 years ago,the best heir of traditional chinese culture,中国传统文化最优秀的继承人
32603,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8w-cJxkTj0s,24,4 years ago,my parents use to live like that in vietnam but they were kind of poor. they usually make traditional foods like these and now we live in australia.,我的父母曾经在越南生活过这样的生活，但他们有点贫穷。他们通常制作这样的传统食物，现在我们住在澳大利亚。
32755,UgzyACHDBD-6pLdRhcx4AaABAg,18,4 years ago,"i hope she's the one benefiting the subscriptions... i really really like the video.. very traditional..
love ur vlog....","我希望她是一个受益于订阅的人...我真的很喜欢视频..非常传统。
爱你的vlog ...."
986,Ugz4U2BlrY_GhxALcmF4AaABAg,14,7 months ago (edited),"i loved it so much, so nice snacks, the nut bar and gourd candy are also indian traditional sweets. also the fried peanuts.
so got a lot of similarities, also came to know about such delicious food.","我非常喜欢它，非常好吃的小吃，坚果棒和葫芦糖也是印度的传统糖果。还有炸花生。
因此，有很多相似之处，也知道这种美味的食物。"
45187,UgzTCXyKQeyX7chJclt4AaABAg,13,4 years ago,keep making this traditional videos because i love china and i love chinese tradition also there is no such thing that i don't like about china,继续制作这些传统视频，因为我爱中国，而且我爱中国传统也没有我不喜欢中国的事情
37460,UgxN89XW3cuXrgRbvld4AaABAg,12,4 years ago,so this is what traditional modern version of cny is like. this is so cool!!!! and here i thought people in china just buy stuff to give away. wow!!!,因此，这就是传统现代版本的CNY的样子。这太酷了！！！在这里，我认为中国的人们只是买东西要放弃。哇！！！
50216,UgzC_AYMc9iKQDw54AR4AaABAg.8qlnUqpB5Ko8qm8ZhgeNCN,11,4 years ago,@myle-fo6pu traditional chinese calendar is not lunar calender，so chinese new year is not lunar new year.,@myle-fo6pu传统中国日历不是农历，所以农历新年不是农历新年。
23324,UgyV0F3W-0TIobj8FJd4AaABAg,10,3 years ago,watching your video feels good! thank you for promoting traditional chinese culture!,看了您的视频感觉很好！谢谢推广中国传统文化！
4460,Ugy2wW52jxSZrG4vAwt4AaABAg,7,1 year ago,"the fun of this video is to do it yourself, combining the artistic conception of returning to the original nature of ancient chinese traditional culture.❤️",该视频的乐趣是自己做，结合了返回古代中国传统文化原始本质的艺术概念。
18157,UgyyaE8_ewXPXjqemJt4AaABAg,6,3 years ago,"liziqi, is the best of the best.... knowledge of so many kind of traditional chinese cuisine,.... jz wish her always living happily...",利兹奇（Liziqi），是最好的。。。。。。。。。。。。。。。。。
23798,Ugx1SC411oxqHF8UhIl4AaABAg,6,3 years ago (edited),"haha, all the traditional chinese snack foods. love it!",哈哈，所有传统的中国零食食品。爱它！
29231,UgxcycgGm6xZj9t-Pqt4AaABAg.8xyPsO771ym8yXf28kVudn,5,3 years ago,the ways she make food are very authentic in traditional chinese methods.,她制作食物的方式在传统的中国方法中非常真实。
10991,UgzVXwN2Sk-mZ8X4ecJ4AaABAg,5,2 years ago,"if you are new here, here is absolutely everything you need to know about liziqi ( li ziyi ): 

in 1990, li ziyi fell to the ground in mianyang, sichuan. her parents divorced when she was very young. later, her father died, and li ziyi became an orphan. his stepmother didnโ€t treat her well. li zizhen mentioned on weibo that he had had a half-dead experience when his stepmother dragged her hair into the gutter and was beaten. 

grandpa and grandma distressed granddaughter, and finally decided to take li ziyu home and live. when li ziyi was in fifth grade, his grandfather died again, and it was difficult for his grandma to raise her to continue school. at the age of 14, li ziyi had to drop out of school and go to the city alone to work hard, and began an 8-year wandering life. her first life was very hard. she slept in a park chair and scratched her head for two months. 

li ziyi has also worked as a waiter in a hotel, with a monthly salary of 300 yuan. in order to earn more income, she went to learn to play discs and sang in the bar. later, when talking about the matter, li zizhen frankly said: โ€i didnโ€t say that i liked music at that time, just to live, i felt that it was well paid.โ€ 

in 2012, because grandma was ill once, li ziyi was worried that she would regret it later, throwing away all work and returning to grandma. โ€being closer, i feel more at ease.โ€ 

after returning, li ziyi opened a taobao shop, but the business has been up and running, and he barely eats. in 2015, under the influence of his younger brother, li ziyi was exposed to the short video platform meipai. until 2016, seeing that his younger brother had some fans on meipai, and holding more fans can improve the mentality of taobao business, li ziyi re-entered meipai to prepare for his own video program. 

the reason why she chose to shoot videos in this style is closely related to her childhood environment. 

in an interview with the living room of sina club, li ziyi mentioned, โ€all these things that are self-sufficient in the countryside, for me, they are jealous. in the short video, she chose to start from the most familiar places. 

in the beginning, li ziyi gave himself a topic called โ€four seasons change, eat while you eatโ€. after the suggestion of meipai editor, it became โ€ancient foodโ€ and it is still used today. 

in september 2016, a new opportunity came quietly, which also became an important promoter for li ziyu to get more attention in the future. sina weibo began to openly search for more outstanding short video creators for resource support. 

as mentioned at the beginning of the article, liu tongming brought her weibo resources support. 

one day in september 2016, li feng, an ancient short video blogger, accidentally received a private weibo message from โ€mr. lโ€. mr. l expressed his love for li ziyuโ€s video content, felt that he had fulfilled his taoyuan dream, and hoped to meet her. 

for a long time after that, li ziyi received mr. lโ€s private letter. โ€it would be a shame for such a good video to let this person see it. this is uschinaโ€s proud traditional culture should be seen by people in china and around the world. โ€mr. l said in a private message. 

at first, after seeing these private messages, li ziyi didnโ€t care too much, even worrying about encountering a liar. until one day, mr. l came to the city where li zizhen was, and wanted to ask her to have a meal and talk. mr. lโ€s politeness and clear logical thinking made li slowly drop his initial alert. 

this accidental meeting has completely changed the life trajectory of li zizhen. not long after the meal was over, with the help of mr. l, li zizheng was supported by a large wave of resources on sina weibo, accelerating her popularity and allowing li zizhen to rush into the queue of the net influencer on the head. 

this experience is partly recorded in a diary of li zizheng that year. some insiders close to the senior executives of weinian technology confirmed to tencentโ€s โ€shenwangโ€ that the โ€mr. lโ€ is actually liu tongming, and his pseudonym was publicly reported. daxiong liu, the founder of wei nian technology, an mcn company to which li zizhen now belongs. 

on december 8th, the reading volume of a weibo topic labeled โ€is li ziyi a cultural outputโ€ climbed to 800 million. li zizheng was once again on the hot search list. 

the video created by li ziyi and her has become a phenomenon worthy of study now. 

extensive overseas communication is an important reason for li zihuanโ€s renewed attention. some people say that she has filmed a desirable rural life and spread the charm of traditional chinese culture and cuisine. others think that her video is not completely true to reflect chinaโ€s rural life. 

even the queries that have been popular since the explosion have been brought up again, such as being a dj, being a rich second generation, whether the video is from my own hands, is there a strong push behind it, and the video is true for rural life itโ€s still just a fiction for character setting. 

an insider of weinian technology told tencentโ€s โ€deep webโ€ that li ziyi was of ordinary origin, and the relevant video content was produced by li ziyi himself. the popularity was not the initiative of the company and himself. in fact, both li zihuan and the micro-reading team behind him were quite low-key, and they were very enthusiastic and declined all the current interview needs. 

until august 17, 2018, li ziyiโ€s eponymous tmall store officially opened. six days after going online, the store with only five products at that time had sales of over 150,000 and sales of over 10 million. a year later, the total sales of 21 products displayed in the li zizhen flagship store exceeded 1.3 million, with total sales reaching 71 million. 
the value behind li ziyiโ€s ip is being quickly tapped. 

li ziyi started from scratch and gained the first fans with his own strength. but now the popularity and gains of fame and fortune are obviously no longer just her achievements. 
according to tianyan search, โ€deep webโ€ shows that mcn hangzhou weinian technology co., ltd., which li ziyi belongs to, was established on february 28, 2013, with a registered capital of rmb 5.208 million. according to the introduction, wei nian is an entertainment entertainment company that incubates kol into ip through short videos and extends to consumer brands. 

the information of qixinbao shows that there are more than 100 pieces of intellectual property information of the trademark โ€li zihuanโ€. the applicant companies are hangzhou weinian technology co., ltd. the product categories include food, clothing, shoes and hats, dyes and fats, beer and beverages, financial property management, catering and accommodation. 

not only that, wei nian also has inextricable links with li ziyuโ€s companies. 

according to the eye inspection, li jiajia (should be the original name of li ziyu) established sichuan ziyu culture communication co., ltd. on july 20, 2017, and wei nian is its shareholder, holding 51% of the shares. supervisor, li jiajia holds 49% of the shares. 

according to other data, there are as many as 50 beneficiary companies behind hangzhou weinian technology co., ltd., including greenland holdings, zte, xinhua media, vanke, light media, etc. . 
among the shareholders of weinian technology, sina weibo is particularly eye-catching. 

from wei nian technology to sina weibo, li ziyi gradually has the best cards that internet celebrities are looking forward to. 
in her own words, she changed from โ€a little transparent to a person who is so useless to societyโ€. after entering the public view and being noticed by more people, li ziyiโ€s sense of responsibility has also become heavier. 
โ€i want to do what i can to do more things that are good for society, such as the spread of traditional culture, non-heritage cultural craftsmen, and i want to show these old things to everyone so that more people know. li ziyi said. 

source: https://www.ww01.net/en/archives/33757","如果您在这里是新手，那么这绝对是您需要了解的有关Liziqi（Li Ziyi）的一切：

1990年，李齐伊（Li Ziyi）跌倒在四川米扬（Mianyang）。她的父母很小的时候就离婚了。后来，她的父亲去世了，李齐伊成为孤儿。他的继母对她不好。李·齐兴（Li Zizhen）在微博上提到，当他的继母将头发拖入排水沟并被殴打时，他有半死的经历。

爷爷和奶奶使孙女感到沮丧，最后决定带李Ziyu回家。当李齐伊（Li Ziyi）五年级时，他的祖父再次去世，他的祖母很难抚养她继续上学。李齐（Li Ziyi）在14岁时不得不辍学，独自去城市努力工作，并开始了八年的流浪生活。她的第一人生非常艰难。她睡在公园椅上，挠头两个月。

Li Ziyi还曾在酒店担任服务生，每月薪水为300元。为了赚取更多的收入，她去学习演奏唱片并在酒吧里唱歌。后来，在谈论此事时，李·齐兴（Li Zizhen）坦率地说：“我不是说当时我喜欢音乐，只是为了生活，我觉得这是付出的。”

2012年，由于奶奶曾经生病，李齐伊（Li Ziyi）担心她后来会后悔，扔掉所有工作并返回奶奶。 “靠近，我感到更加放松。”

返回后，李Ziyi开了一家淘宝商店，但业务一直在运行，他几乎没有吃饭。 2015年，在他的弟弟的影响下，李齐伊（Li Ziyi）接触了短视频平台Meipai。直到2016年，看到他的弟弟在Meipai上有一些粉丝，并且拥有更多的粉丝可以改善淘宝业务的心态，Li Ziyi重新进入Meipai，为自己的视频节目做准备。

她之所以选择以这种风格拍摄视频与她的童年环境密切相关的原因。

李·齐（Li Ziyi）在接受西那俱乐部（Nina Club）的客厅采访时说：“所有这些在农村自给自足的事情，对我来说，它们嫉妒。在简短的视频中，她选择从最熟悉的地方开始。

一开始，李齐伊（Li Ziyi）称自己为“四个季节变化，吃饭时吃饭”。在Meipai编辑的建议之后，它变成了“古老的食物”，并且今天仍然使用。

2016年9月，一个新的机会悄悄地出现了，这也成为李Zyu将来更加关注的重要推动者。 Sina Weibo开始公开寻找更多出色的简短视频创建者以获得资源支持。

正如文章开头所述，刘·汤明（Liu Tongming）为她带来了微博的资源支持。

2016年9月的一天，古老的简短视频博客作者Li Feng意外收到了“先生先生的私人微博消息”。 L”。 L先生表达了对李Ziyu的视频内容的热爱，觉得他已经实现了他的作陶王的梦，并希望与她见面。

此后很长一段时间，Li Ziyi收到了L先生的私人信。 “这样一个好视频让这个人看到它是可惜的。这是中国和世界各地的人们应该看到USCHINA骄傲的传统文化。 “先生。我在一条私人消息中说。

起初，在看到这些私人消息后，李Ziyi并不在乎太多，甚至不必担心遇到骗子。直到一天，L先生来到了李·齐兴（Li Zizhen）所在的城市，并想请她吃饭和聊天。 L先生的礼貌和清晰的逻辑思维使李慢慢地放弃了最初的警报。

这次偶然的会议彻底改变了李·齐兴（Li Zizhen）的生活轨迹。用餐结束后不久，在L先生的帮助下，李·Zizheng（Li Zizheng）得到了Sina Weibo的大量资源的支持，加快了她的知名度，并允许Li Zizhen赶到头部网络影响者的排队。

这种经历部分记录在那年的李Zizheng日记中。一些与温尼安技术高级管理人员接近的内部人士证实了腾讯的“申旺”，即“先生先生L”实际上是刘·汤明（Liu Tongming），他的化名是公开报道的。 Wei Nian Technology的创始人Daxiong Liu是Li Zizhen现在属于的MCN公司。

12月8日，一个标有“是文化产出”的微博主题的阅读量攀升至8亿。李Zizheng再次在热门搜索列表中。

Li Ziyi和她创建的视频现在已成为一个值得研究的现象。

广泛的海外沟通是李齐伊安（Li Zihuan）重新关注的重要原因。有人说她已经拍摄了理想的乡村生活，并传播了中国传统文化和美食的魅力。其他人则认为她的视频并非完全正确地反映中国的乡村生活。

自从爆炸再次提出以来一直很受欢迎的疑问，例如成为DJ，成为富人的第二代，无论是我自己的视频，是否有强烈的推动力，视频是真的对于农村生活，这仍然是角色环境的小说。

Weinian Technology的一位内部人士告诉Tencent的“ Deep Web”，Li Ziyi是普通的，相关的视频内容是由Li Ziyi本人制作的。受欢迎程度不是公司和他本人的倡议。实际上，他背后的李·齐伊安（Li Zihuan）和微读团队都非常低调，他们非常热情，拒绝了当前的所有采访需求。

直到2018年8月17日，Li Ziyi的同名TMALL商店正式开业。上网六天后，当时只有五种产品的商店的销售额超过150,000，销售额超过1000万。一年后，李Zizhen旗舰店展示的21种产品的总销售额超过130万，总销售额达到7100万。
Li Ziyi的IP背后的价值正在迅速挖掘。

Li Ziyi从头开始，并以自己的力量获得了第一批粉丝。但是现在，声名和财富的受欢迎程度和收益显然不再只是她的成就。
根据Tianyan Search的说法，“ Deep Web”表明，Li Ziyi属于的McN Hangzhou Weinian Technology Co.，Ltd。于2013年2月28日成立，其注册资本为5.208亿元。根据引言，Wei Nian是一家娱乐娱乐公司，通过简短的视频将KOL孵化为IP，并扩展到消费者品牌。

Qixinbao的信息表明，商标“ Li Zihuan”有100多种知识产权信息。申请人公司是Hangzhou Weinian Technology Co.，Ltd。产品类别包括食品，服装，鞋子和帽子，染料和脂肪，染料和脂肪，啤酒和饮料，金融物业管理，餐饮和住宿。

不仅如此，Wei Nian还与Li Ziyu的公司建立了不可忽视的联系。

根据眼睛检查，李亚吉亚（应该是李祖的原始名称）于2017年7月20日成立了四川Ziyu文化传播公司有限公司。主管Li Jiajia持有49％的股份。

根据其他数据，Hangzhou Weinian Technology Co.，Ltd。的背后有多达50家受益公司，包括Greenland Holdings，ZTE，新华社媒体，Vanke，Light Media等。
在Weinian技术的股东中，Sina Weibo特别引人注目。

从Wei Nian Technology到Sina Weibo，Li Ziyi逐渐拥有互联网名人期待的最佳卡片。
用她自己的话说，她从“有点透明变成了一个对社会无用的人”。在进入公众观点并被更多人注意到之后，李齐的责任感也变得更加重。
“我想尽我所能，做更多对社会有益的事情，例如传统文化，非遗产文化工匠的传播，我想向所有人展示这些旧事物，以便更多的人知道。李Ziyi说。

资料来源：https：//www.ww01.net/en/archives/33757"
28112,UgzEGnYnYEuCFcLc_ax4AaABAg,5,3 years ago (edited),"she is knowledgeable about traditional dishes plus creativity.
so admirably!
she has the guts to run and inspires an entire company that serves traditional food.
more than 30 million views are not easy to find.
if i am a single man, i will choose a wife such.","她了解传统菜肴和创造力。
令人钦佩！
她的胆量可以奔跑，并激发了整个服务传统食品的公司。
超过3000万的观看次数并不容易找到。
如果我是一个单身男人，我会选择这样的妻子。"
24558,Ugw4rDDKMbA16xkYbfJ4AaABAg,4,3 years ago,"i think you can serve as ""the art director of movies"", or ""gift box packaging designer"", because your videos and gift box packaging are very ""beautiful""!
you inject the elements of traditional chinese culture into it! it is an alternative self -media performance!","我觉得妳可担任「电影的艺术指导」，或「礼盒包装设计师」，因为妳的视频及礼盒包装都很“唯美”!
妳将中国传统文化的元素，注入于其中!是另类的自媒体表现!"
24981,UgzQHb8Vd1gmVltXuix4AaABAg,4,3 years ago,"in ancient chinese traditional small snacks, after seeing that i think about it, the new year's new year's dumplings, dumplings, and fried soybeans",中国古代传统小零嘴，看的我回想小时后，过年的翻饺，馓子，炸黄豆
32544,UgxOLEDy3Zru6XfOBRp4AaABAg,4,4 years ago,thank you for sharing your story. i love to see the traditional way of cooking. teaches me a lot.,谢谢你分享你的故事。我喜欢看到传统的烹饪方式。教我很多。
19663,UgySx0Pfrkf7sB9k-914AaABAg.95SlwKCChPm95YM7B3Jndk,4,3 years ago,that thing is kind of popcorn machine that often used in traditional chinese culture.,那东西是一种爆米花机，经常在中国传统文化中使用。
12899,Ugw_x_-SG-UCXNC2fHt4AaABAg,4,2 years ago,"this reminds me"" the village food channel""
they do similar traditional cook of south india","这使我想起了“乡村食品频道”
他们在印度南部做类似的传统厨师。"
19405,UgyL4btV4k9B8FdZcEB4AaABAg,4,3 years ago (edited),"as a non chinese national, i never knew how these traditional snacks were made. i got a chance to do so through such a beautiful video. thank you! :)",作为一个非中国国民，我从来不知道这些传统小吃是如何制作的。我有机会通过如此美丽的视频来做到这一点。谢谢你！ :)
32918,UgxD0wxxjIclMKUOl6d4AaABAg.8vaxRcrRtwq8viVWAgaP9j,3,4 years ago,"a potato who defines herself as mooblink 
i experienced it when i was a child. the sound of ""peng"" is super loud and scary. hahaha, this is the traditional physics ""popcorn"".","将自己定义为mooblink的土豆
我小时候经历了它。 “彭”的声音超大而恐怖。哈哈哈，这是传统的物理“爆米花”。"
17081,UgyzyjTe0wUmC5pDBX94AaABAg,3,3 years ago,thanks liziqi for bringing chinese traditional nature to the world,感谢Liziqi将中国传统本性带到世界上
29237,UgxcycgGm6xZj9t-Pqt4AaABAg.8xyPsO771ym8yjb-PMBNzH,3,3 years ago,"@echocui3177 that comment above by yakouta hayder, left me scratching my head. wikipedia says she's chinese and she uses chinese traditional methods - ""li ziqi is a chinese food blogger and internet celebrity. she is known for creating food and handicraft preparation videos in her hometown of rural mianyang, sichuan, often from basic ingredients and tools using traditional chinese techniques."" - her caption even says chinese festival too. ๐คท๐ฝโ€โ€๏ธ๐คฆ๐ฝโ€โ€๏ธ",@echocui3177上面的评论Yakouta Hayder，让我挠头。 Wikipedia说她是中国人，她使用了中国传统方法 - “李齐（Li Ziqi中国技术。” - 她的标题甚至也说中国节。
50908,UgxmG2wdFYPjiTnHSth4AaABAg.8qlbtwK52oe8qtokmQHExe,3,4 years ago,@sparklelee4368 she prepared for traditional chinese new year. this is a festival that all chinese people will celebrate.chinese people usually prepare some traditional food and snacks at this festival.,@Sparklee4368她为传统的农历新年做准备。这是所有中国人都会庆祝的节日。中国人通常在这个节日上准备一些传统的食物和小吃。
41142,UgzonIYreStf3b2FWBp4AaABAg.8s0jWMEbRgJ8sC20WTzlFf,3,4 years ago,"kun kim first, this kind of life requires a certain economic ability. the tradition of inheritance does not mean that it is necessary to abandon modern life. on the contrary, with the convenience provided by modern life, it will make traditional things look like this. beautiful and delicate, her puppy stove, various containers installed with food, and some things you can't see are like this",kun kim 第一、这种生活是需要一定的经济能力的 第二、传承传统不代表要摒弃现代生活，相反，正是有了现代生活提供的种种便利，才会让传统的东西看起来这样的美好和精致，她的小狗型炉子、装食物的种种容器还有你看不到的一些东西都是如此
22861,UgxdLnK5TNFY5ZXsUvt4AaABAg,3,3 years ago,"very well described the traditional chinese culture, traditional food, zhanzi",很好的阐述了中国的传统文化，传统美食，赞子柒
30084,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd78xZJc3-kJY-,2,3 years ago,misty sisco she is a traditional countryside chinese girl uwu,迷雾sisco她是一个传统的乡村中国女孩UWU
28358,UgzKhC45H4weq5MwpKR4AaABAg,2,3 years ago,"great cameraman, great sound technicien, great video editor technicien, good video storyline writters, amazing team behind the beautiful recepies, amazing new traditional tools in every video, and good beautiful actress lisiqi mastering her angles. huge production. hat off to using vlogging to promote chinese culture.",Great Cameraman，Great Sound Technicien，出色的视频编辑Technicien，出色的视频故事情节编写者，美丽的Recepies背后的出色团队，每个视频中令人惊叹的新传统工具以及优秀的漂亮女演员Lisiqi掌握了她的角度。巨大的生产。使用视频博物馆来促进中国文化。
18064,Ugw2iJFhvTmtJ-lCyw14AaABAg.97MfFon2pe597qB3K-FuB2,2,3 years ago,chinese traditional sweets,中国传统糖果
